Orthogroup	HILL.longest_only	DGUA.longest_only
OG0001127	LOC119648123|XP_037905573.1|HILL, LOC119647815|XP_037904971.1|HILL, LOC119647572|XP_037904500.1|HILL, LOC119647816|XP_037904972.1|HILL, LOC119647817|XP_037904973.1|HILL, LOC119647820|XP_037904978.1|HILL	LOC117587496|XP_034134159.1|DGUA
OG0001128	LOC119660463|XP_037924958.1|HILL	LOC117589957|XP_034138150.1|DGUA
OG0001129	LOC119650885|XP_037909986.1|HILL	LOC117588177|XP_034135183.1|DGUA
OG0001130	LOC119653058|XP_037913465.1|HILL	LOC117588107|XP_034135069.1|DGUA
OG0001131	LOC119660936|XP_037925859.1|HILL	LOC117590669|XP_034139428.1|DGUA
OG0001133	LOC119647256|XP_037904063.1|HILL	LOC117584379|XP_034129117.1|DGUA
OG0001134	LOC119656169|XP_037918443.1|HILL, LOC119656168|XP_037918442.1|HILL, LOC119655305|XP_037917062.1|HILL, LOC119654050|XP_037915138.1|HILL, LOC119654064|XP_037915156.1|HILL, LOC119653774|XP_037914701.1|HILL	LOC117592358|XP_034141949.1|DGUA
OG0001135	LOC119654839|XP_037916342.1|HILL, LOC119654481|XP_037915830.1|HILL	LOC117589683|XP_034137728.1|DGUA
OG0001136	LOC119660441|XP_037924921.1|HILL	LOC117590034|XP_034138220.1|DGUA
OG0001137	LOC119659607|XP_037923706.1|HILL, LOC119659962|XP_037924244.1|HILL, LOC119659283|XP_037923219.1|HILL, LOC119659485|XP_037923526.1|HILL, LOC119659510|XP_037923568.1|HILL, LOC119659576|XP_037923661.1|HILL, LOC119659818|XP_037924029.1|HILL, LOC119659917|XP_037924170.1|HILL, LOC119660171|XP_037924505.1|HILL, LOC119659452|XP_037923465.1|HILL, LOC119659493|XP_037923539.1|HILL, LOC119659623|XP_037923751.1|HILL, LOC119659635|XP_037923762.1|HILL	LOC117585363|XP_034130701.1|DGUA
OG0001138	LOC119655094|XP_037916728.1|HILL	LOC117586873|XP_034133062.1|DGUA
OG0001140	LOC119647169|XP_037903902.1|HILL, LOC119656962|XP_037919610.1|HILL, LOC119656930|XP_037919552.1|HILL	LOC117583209|XP_034127314.1|DGUA
OG0001141	LOC119648620|XP_037906317.1|HILL	LOC117589856|XP_034138012.1|DGUA
OG0001144	LOC119655340|XP_037917115.1|HILL	LOC117581405|XP_034124451.1|DGUA
OG0001148	LOC119646878|XP_037903432.1|HILL	LOC117582618|XP_034126383.1|DGUA, LOC117582619|XP_034126384.1|DGUA, LOC117581875|XP_034125232.1|DGUA
OG0001149	LOC119648939|XP_037906780.1|HILL, LOC119649425|XP_037907500.1|HILL	LOC117579563|XP_034121376.1|DGUA
OG0001153	LOC119660793|XP_037925528.1|HILL	LOC117586737|XP_034132930.1|DGUA
OG0001154	LOC119651636|XP_037911228.1|HILL	LOC117588194|XP_034135211.1|DGUA
OG0001155	LOC119656861|XP_037919444.1|HILL	LOC117581453|XP_034124557.1|DGUA
OG0001157	LOC119651295|XP_037910744.1|HILL	LOC117589511|XP_034137386.1|DGUA
OG0001158	LOC119657603|XP_037920533.1|HILL	LOC117584486|XP_034129301.1|DGUA
OG0001159	LOC119656717|XP_037919167.1|HILL	LOC117585563|XP_034130977.1|DGUA
OG0001160	LOC119653171|XP_037913646.1|HILL	LOC117582898|XP_034126882.1|DGUA
OG0001161	LOC119650746|XP_037909750.1|HILL	LOC117589904|XP_034138064.1|DGUA
OG0001162	LOC119658310|XP_037921547.1|HILL	LOC117586687|XP_034132835.1|DGUA, LOC117590147|XP_034138418.1|DGUA
OG0001163	LOC119650564|XP_037909297.1|HILL	LOC117589617|XP_034137587.1|DGUA
OG0001164	LOC119651647|XP_037911251.1|HILL	LOC117583142|XP_034127223.1|DGUA, LOC117583049|XP_034127102.1|DGUA
OG0001165	LOC119657120|XP_037919808.1|HILL, LOC119657495|XP_037920353.1|HILL	LOC117579637|XP_034121508.1|DGUA
OG0001166	LOC119649162|XP_037907104.1|HILL	LOC117588911|XP_034136359.1|DGUA
OG0001167	LOC119646574|XP_037902992.1|HILL	LOC117592466|XP_034142189.1|DGUA
OG0001168	LOC119655740|XP_037917721.1|HILL	LOC117592173|XP_034141662.1|DGUA
OG0001169	LOC119658036|XP_037921197.1|HILL	LOC117581354|XP_034124377.1|DGUA
OG0001170	LOC119659790|XP_037923985.1|HILL	LOC117583060|XP_034127123.1|DGUA
OG0001171	LOC119650467|XP_037909262.1|HILL	LOC117579868|XP_034121873.1|DGUA
OG0001172	LOC119661407|XP_037926664.1|HILL	LOC117578736|XP_034120291.1|DGUA
OG0001173	LOC119660364|XP_037924800.1|HILL, LOC119658996|XP_037922805.1|HILL	LOC117582766|XP_034126621.1|DGUA
OG0001174	LOC119647791|XP_037904916.1|HILL	LOC117587110|XP_034133494.1|DGUA
OG0001175	LOC119654794|XP_037916271.1|HILL	LOC117591823|XP_034141051.1|DGUA
OG0001176	LOC119655006|XP_037916605.1|HILL	LOC117592125|XP_034141560.1|DGUA
OG0001178	LOC119661423|XP_037926694.1|HILL	LOC117579987|XP_034122072.1|DGUA
OG0001179	LOC119646342|XP_037902696.1|HILL	LOC117592256|XP_034141788.1|DGUA
OG0001180	LOC119660988|XP_037926002.1|HILL	LOC117590584|XP_034139231.1|DGUA
OG0001181	LOC119648244|XP_037905804.1|HILL	LOC117582346|XP_034125889.1|DGUA, LOC117582345|XP_034125888.1|DGUA, LOC117580557|XP_034123049.1|DGUA
OG0001182	LOC119659498|XP_037923550.1|HILL, LOC119659994|XP_037924297.1|HILL	LOC117582983|XP_034126998.1|DGUA
OG0001183	LOC119660414|XP_037924881.1|HILL	LOC117590181|XP_034138472.1|DGUA
OG0001185	LOC119658701|XP_037922219.1|HILL	LOC117586309|XP_034132159.1|DGUA
OG0001186	LOC119659434|XP_037923445.1|HILL	LOC117584030|XP_034128657.1|DGUA, LOC117586518|XP_034132541.1|DGUA
OG0001187	LOC119656116|XP_037918366.1|HILL	LOC117584372|XP_034129146.1|DGUA
OG0001188	LOC119653813|XP_037914766.1|HILL	LOC117592664|XP_034142504.1|DGUA
OG0001189	LOC119654676|XP_037916107.1|HILL	LOC117589987|XP_034138168.1|DGUA
OG0001190	LOC119655814|XP_037917847.1|HILL, LOC119655837|XP_037917871.1|HILL, LOC119655662|XP_037917574.1|HILL	LOC117591183|XP_034140202.1|DGUA
OG0001191	LOC119654289|XP_037915506.1|HILL	LOC117587786|XP_034134621.1|DGUA
OG0001192	LOC119649057|XP_037906966.1|HILL, LOC119659885|XP_037924131.1|HILL	LOC117584764|XP_034129757.1|DGUA
OG0001193	LOC119654818|XP_037916306.1|HILL	LOC117589568|XP_034137510.1|DGUA
OG0001194	LOC119648370|XP_037906025.1|HILL	LOC117590830|XP_034139697.1|DGUA
OG0001195	LOC119654582|XP_037915969.1|HILL	LOC117590800|XP_034139659.1|DGUA
OG0001200	LOC119657572|XP_037920465.1|HILL	LOC117585799|XP_034131395.1|DGUA
OG0001201	LOC119659691|XP_037923872.1|HILL, LOC119660477|XP_037924996.1|HILL, LOC119660451|XP_037924938.1|HILL	LOC117586124|XP_034131879.1|DGUA
OG0001202	LOC119658232|XP_037921438.1|HILL	LOC117581447|XP_034124549.1|DGUA
OG0001203	LOC119660998|XP_037926022.1|HILL, LOC119660891|XP_037925745.1|HILL	LOC117590631|XP_034139339.1|DGUA
OG0001204	LOC119657884|XP_037920948.1|HILL	LOC117584062|XP_034128694.1|DGUA
OG0001205	LOC119654814|XP_037916298.1|HILL	LOC117586654|XP_034132783.1|DGUA
OG0001206	LOC119652245|XP_037912149.1|HILL	LOC117585319|XP_034130642.1|DGUA
OG0001207	LOC119658299|XP_037921525.1|HILL	LOC117587117|XP_034133503.1|DGUA, LOC117590977|XP_034139941.1|DGUA
OG0001208	LOC119657034|XP_037919714.1|HILL	LOC117581275|XP_034124177.1|DGUA
OG0001209	LOC119652741|XP_037912967.1|HILL	LOC117589603|XP_034137569.1|DGUA
OG0001210	LOC119657755|XP_037920737.1|HILL	LOC117590291|XP_034138669.1|DGUA
OG0001211	LOC119652060|XP_037911926.1|HILL	LOC117589903|XP_034138063.1|DGUA
OG0001212	LOC119658512|XP_037921913.1|HILL	LOC117590879|XP_034139798.1|DGUA
OG0001213	LOC119659447|XP_037923459.1|HILL	LOC117590390|XP_034138867.1|DGUA
OG0001214	LOC119652669|XP_037912863.1|HILL	LOC117589496|XP_034137352.1|DGUA
OG0001215	LOC119652850|XP_037913130.1|HILL	LOC117583790|XP_034128262.1|DGUA
OG0001216	LOC119653102|XP_037913545.1|HILL	LOC117583808|XP_034128279.1|DGUA
OG0001217	LOC119651703|XP_037911344.1|HILL	LOC117587532|XP_034134227.1|DGUA
OG0001218	LOC119659492|XP_037923538.1|HILL	LOC117579095|XP_034120709.1|DGUA, LOC117583061|XP_034127124.1|DGUA
OG0001220	LOC119652163|XP_037912039.1|HILL	LOC117591897|XP_034141173.1|DGUA
OG0001221	LOC119650451|XP_037909237.1|HILL	LOC117592318|XP_034141890.1|DGUA
OG0001222	LOC119661029|XP_037926116.1|HILL	LOC117589691|XP_034137741.1|DGUA
OG0001223	LOC119654577|XP_037915964.1|HILL	LOC117587677|XP_034134463.1|DGUA, LOC117578647|XP_034120154.1|DGUA
OG0001224	LOC119655657|XP_037917569.1|HILL	LOC117592231|XP_034141755.1|DGUA
OG0001225	LOC119646976|XP_037903609.1|HILL	LOC117578603|XP_034120085.1|DGUA
OG0001226	LOC119657789|XP_037920804.1|HILL, LOC119646174|XP_037902482.1|HILL, LOC119661587|XP_037926917.1|HILL	LOC117584598|XP_034129495.1|DGUA
OG0001227	LOC119647209|XP_037903963.1|HILL, LOC119647103|XP_037903808.1|HILL	LOC117583937|XP_034128510.1|DGUA
OG0001229	LOC119646290|XP_037902629.1|HILL	LOC117591328|XP_034140433.1|DGUA
OG0001230	LOC119661031|XP_037926123.1|HILL	LOC117592485|XP_034142215.1|DGUA
OG0001231	LOC119652521|XP_037912644.1|HILL	LOC117587586|XP_034134317.1|DGUA
OG0001232	LOC119658989|XP_037922801.1|HILL, LOC119658979|XP_037922791.1|HILL	LOC117581715|XP_034124984.1|DGUA
OG0001233	LOC119661290|XP_037926495.1|HILL	LOC117581691|XP_034124959.1|DGUA
OG0001234	LOC119659090|XP_037922934.1|HILL	LOC117592585|XP_034142363.1|DGUA
OG0001235	LOC119646499|XP_037902882.1|HILL	LOC117582281|XP_034125804.1|DGUA
OG0001236	LOC119649757|XP_037907979.1|HILL	LOC117586952|XP_034133212.1|DGUA
OG0001237	LOC119659116|XP_037922967.1|HILL	LOC117586484|XP_034132472.1|DGUA
OG0001238	LOC119659152|XP_037923023.1|HILL	LOC117591117|XP_034140108.1|DGUA
OG0001239	LOC119653018|XP_037913384.1|HILL	LOC117583583|XP_034127855.1|DGUA
OG0001240	LOC119660382|XP_037924834.1|HILL	LOC117591106|XP_034140099.1|DGUA
OG0001241	LOC119658765|XP_037922391.1|HILL	LOC117591993|XP_034141329.1|DGUA, LOC117590154|XP_034138431.1|DGUA
OG0001242	LOC119655416|XP_037917230.1|HILL	LOC117581883|XP_034125240.1|DGUA, LOC117581577|XP_034124819.1|DGUA
OG0001243	LOC119648820|XP_037906605.1|HILL	LOC117580332|XP_034122720.1|DGUA, LOC117590386|XP_034138851.1|DGUA
OG0001244	LOC119661188|XP_037926337.1|HILL	LOC117580868|XP_034123508.1|DGUA, LOC117590444|XP_034138954.1|DGUA, LOC117583775|XP_034128220.1|DGUA
OG0001245	LOC119651974|XP_037911806.1|HILL	LOC117585360|XP_034130698.1|DGUA
OG0001246	LOC119655399|XP_037917208.1|HILL	LOC117578720|XP_034120267.1|DGUA
OG0001247	LOC119653750|XP_037914607.1|HILL	LOC117591301|XP_034140396.1|DGUA
OG0001248	LOC119650077|XP_037908504.1|HILL, LOC119649838|XP_037908111.1|HILL, LOC119647933|XP_037905201.1|HILL, LOC119650285|XP_037908840.1|HILL, LOC119650080|XP_037908511.1|HILL, LOC119648509|XP_037906206.1|HILL, LOC119648725|XP_037906464.1|HILL, LOC119649642|XP_037907825.1|HILL, LOC119649535|XP_037907650.1|HILL, LOC119649939|XP_037908286.1|HILL, LOC119649581|XP_037907713.1|HILL	LOC117580199|XP_034122471.1|DGUA
OG0001249	LOC119658028|XP_037921186.1|HILL	LOC117581410|XP_034124454.1|DGUA
OG0001255	LOC119653588|XP_037914266.1|HILL	LOC117578677|XP_034120194.1|DGUA, LOC117580750|XP_034123332.1|DGUA, LOC117590476|XP_034139023.1|DGUA
OG0001257	LOC119660950|XP_037925892.1|HILL	LOC117590640|XP_034139361.1|DGUA
OG0001258	LOC119650730|XP_037909685.1|HILL	LOC117585337|XP_034130667.1|DGUA
OG0001259	LOC119658496|XP_037921886.1|HILL	LOC117581371|XP_034124397.1|DGUA
OG0001260	LOC119652828|XP_037913084.1|HILL	LOC117583261|XP_034127377.1|DGUA
OG0001261	LOC119657335|XP_037920135.1|HILL	LOC117581297|XP_034124228.1|DGUA
OG0001262	LOC119660928|XP_037925839.1|HILL	LOC117579260|XP_034120938.1|DGUA
OG0001263	LOC119656996|XP_037919660.1|HILL	LOC117583490|XP_034127719.1|DGUA
OG0001264	LOC119646944|XP_037903561.1|HILL	LOC117582240|XP_034125742.1|DGUA
OG0001265	LOC119657638|XP_037920570.1|HILL	LOC117580927|XP_034123598.1|DGUA
OG0001266	LOC119656260|XP_037918605.1|HILL	LOC117592312|XP_034141879.1|DGUA
OG0001267	LOC119651389|XP_037910899.1|HILL	LOC117583314|XP_034127461.1|DGUA
OG0001268	LOC119652894|XP_037913194.1|HILL	LOC117580854|XP_034123492.1|DGUA
OG0001269	LOC119659654|XP_037923790.1|HILL	LOC117580978|XP_034123667.1|DGUA
OG0001270	LOC119659052|XP_037922887.1|HILL	LOC117586651|XP_034132777.1|DGUA
OG0001271	LOC119658672|XP_037922162.1|HILL	LOC117586411|XP_034132342.1|DGUA
OG0001272	LOC119649825|XP_037908089.1|HILL	LOC117587013|XP_034133314.1|DGUA, LOC117590733|XP_034139532.1|DGUA
OG0001273	LOC119651602|XP_037911179.1|HILL	LOC117583001|XP_034127042.1|DGUA
OG0001274	LOC119649786|XP_037908019.1|HILL	LOC117580461|XP_034122925.1|DGUA
OG0001275	LOC119655439|XP_037917261.1|HILL	LOC117590210|XP_034138556.1|DGUA
OG0001276	LOC119648094|XP_037905520.1|HILL	LOC117587261|XP_034133726.1|DGUA
OG0001277	LOC119649433|XP_037907511.1|HILL, LOC119649427|XP_037907503.1|HILL	LOC117580363|XP_034122784.1|DGUA
OG0001278	LOC119649514|XP_037907615.1|HILL	LOC117580025|XP_034122140.1|DGUA
OG0001279	LOC119648237|XP_037905794.1|HILL	LOC117580037|XP_034122156.1|DGUA
OG0001280	LOC119648137|XP_037905610.1|HILL	LOC117588999|XP_034136501.1|DGUA
OG0001281	LOC119647691|XP_037904703.1|HILL	LOC117587032|XP_034133349.1|DGUA
OG0001282	LOC119648273|XP_037905856.1|HILL, LOC119649296|XP_037907318.1|HILL, LOC119650007|XP_037908401.1|HILL, LOC119649909|XP_037908236.1|HILL	LOC117584580|XP_034129447.1|DGUA
OG0001283	LOC119661427|XP_037926698.1|HILL	LOC117592411|XP_034142043.1|DGUA
OG0001284	LOC119651440|XP_037910970.1|HILL	LOC117587863|XP_034134719.1|DGUA
OG0001285	LOC119654710|XP_037916157.1|HILL, LOC119646154|XP_037902453.1|HILL	LOC117588897|XP_034136337.1|DGUA
OG0001286	LOC119646226|XP_037902542.1|HILL	LOC117581803|XP_034125135.1|DGUA
OG0001287	LOC119650430|XP_037909177.1|HILL, LOC119650431|XP_037909178.1|HILL, LOC119660177|XP_037924513.1|HILL, LOC119660484|XP_037924999.1|HILL	LOC117586378|XP_034132297.1|DGUA
OG0001288	LOC119651059|XP_037910316.1|HILL	LOC117582352|XP_034125896.1|DGUA
OG0001289	LOC119656549|XP_037918844.1|HILL, LOC119646325|XP_037902674.1|HILL, LOC119646338|XP_037902691.1|HILL	LOC117583869|XP_034128406.1|DGUA
OG0001290	LOC119653199|XP_037913690.1|HILL	LOC117584232|XP_034128905.1|DGUA
OG0001291	LOC119654813|XP_037916297.1|HILL	LOC117580899|XP_034123550.1|DGUA, LOC117592619|XP_034142400.1|DGUA
OG0001292	LOC119653512|XP_037914101.1|HILL	LOC117578815|XP_034120457.1|DGUA
OG0001293	LOC119655415|XP_037917229.1|HILL	LOC117580693|XP_034123210.1|DGUA
OG0001294	LOC119654231|XP_037915382.1|HILL	LOC117586273|XP_034132112.1|DGUA
OG0001295	LOC119653879|XP_037914923.1|HILL	LOC117591490|XP_034140669.1|DGUA, LOC117585981|XP_034131689.1|DGUA
OG0001296	LOC119655784|XP_037917802.1|HILL	LOC117591929|XP_034141223.1|DGUA
OG0001297	LOC119659209|XP_037923105.1|HILL	LOC117583811|XP_034128284.1|DGUA
OG0001298	LOC119652500|XP_037912615.1|HILL, LOC119659762|XP_037923951.1|HILL, LOC119658977|XP_037922785.1|HILL	LOC117589782|XP_034137870.1|DGUA
OG0001299	LOC119649607|XP_037907753.1|HILL	LOC117579541|XP_034121350.1|DGUA
OG0001300	LOC119655461|XP_037917290.1|HILL	LOC117585087|XP_034130246.1|DGUA
OG0001301	LOC119654217|XP_037915358.1|HILL	LOC117584762|XP_034129755.1|DGUA
OG0001302	LOC119658796|XP_037922442.1|HILL, LOC119658797|XP_037922444.1|HILL, LOC119658798|XP_037922445.1|HILL, LOC119658800|XP_037922447.1|HILL	LOC117587183|XP_034133597.1|DGUA
OG0001303	LOC119657687|XP_037920649.1|HILL	LOC117584926|XP_034129969.1|DGUA
OG0001304	LOC119653815|XP_037914773.1|HILL	LOC117578623|XP_034120118.1|DGUA
OG0001305	LOC119658890|XP_037922616.1|HILL	LOC117586656|XP_034132787.1|DGUA
OG0001306	LOC119658704|XP_037922241.1|HILL, LOC119659011|XP_037922824.1|HILL, LOC119659009|XP_037922822.1|HILL	LOC117588576|XP_034135862.1|DGUA, LOC117585444|XP_034130811.1|DGUA
OG0001307	LOC119659990|XP_037924289.1|HILL	LOC117580307|XP_034122690.1|DGUA, LOC117580388|XP_034122818.1|DGUA
OG0001308	LOC119653629|XP_037914332.1|HILL	LOC117580744|XP_034123320.1|DGUA, LOC117580003|XP_034122095.1|DGUA
OG0001309	LOC119660286|XP_037924685.1|HILL	LOC117586724|XP_034132910.1|DGUA
OG0001310	LOC119655898|XP_037917977.1|HILL	LOC117581438|XP_034124528.1|DGUA
OG0001311	LOC119656610|XP_037918975.1|HILL	LOC117581653|XP_034124920.1|DGUA
OG0001313	LOC119648111|XP_037905557.1|HILL	LOC117578735|XP_034120290.1|DGUA
OG0001314	LOC119657885|XP_037920950.1|HILL	LOC117584063|XP_034128696.1|DGUA
OG0001318	LOC119646413|XP_037902790.1|HILL	LOC117584903|XP_034129936.1|DGUA
OG0001320	LOC119654141|XP_037915233.1|HILL	LOC117580885|XP_034123528.1|DGUA, LOC117581513|XP_034124696.1|DGUA
OG0001321	LOC119661425|XP_037926696.1|HILL, LOC119646386|XP_037902757.1|HILL	LOC117590373|XP_034138812.1|DGUA
OG0001326	LOC119652653|XP_037912831.1|HILL	LOC117582750|XP_034126580.1|DGUA
OG0001328	LOC119654838|XP_037916341.1|HILL, LOC119657878|XP_037920937.1|HILL	LOC117588526|XP_034135773.1|DGUA
OG0001329	LOC119658047|XP_037921219.1|HILL	LOC117580979|XP_034123664.1|DGUA
OG0001330	LOC119657748|XP_037920727.1|HILL	LOC117590417|XP_034138915.1|DGUA, LOC117590416|XP_034138907.1|DGUA
OG0001331	LOC119656876|XP_037919468.1|HILL	LOC117588306|XP_034135384.1|DGUA
OG0001332	LOC119656586|XP_037918919.1|HILL	LOC117590427|XP_034138936.1|DGUA
OG0001333	LOC119656813|XP_037919365.1|HILL	LOC117584444|XP_034129247.1|DGUA
OG0001334	LOC119657942|XP_037921060.1|HILL	LOC117583203|XP_034127298.1|DGUA
OG0001335	LOC119652343|XP_037912293.1|HILL	LOC117586637|XP_034132757.1|DGUA
OG0001337	LOC119657100|XP_037919783.1|HILL	LOC117581407|XP_034124448.1|DGUA
OG0001338	LOC119657367|XP_037920178.1|HILL	LOC117586287|XP_034132135.1|DGUA
OG0001339	LOC119655050|XP_037916668.1|HILL	LOC117584604|XP_034129508.1|DGUA
OG0001340	LOC119649314|XP_037907349.1|HILL	LOC117590025|XP_034138212.1|DGUA
OG0001341	LOC119651654|XP_037911265.1|HILL	LOC117583338|XP_034127492.1|DGUA
OG0001342	LOC119653250|XP_037913786.1|HILL	LOC117583120|XP_034127201.1|DGUA
OG0001343	LOC119652246|XP_037912155.1|HILL, LOC119651876|XP_037911617.1|HILL	LOC117583134|XP_034127215.1|DGUA
OG0001344	LOC119651796|XP_037911507.1|HILL	LOC117583255|XP_034127370.1|DGUA
OG0001345	LOC119652847|XP_037913127.1|HILL	LOC117583186|XP_034127278.1|DGUA
OG0001346	LOC119651609|XP_037911190.1|HILL	LOC117583492|XP_034127722.1|DGUA
OG0001347	LOC119656995|XP_037919658.1|HILL	LOC117578473|XP_034119897.1|DGUA, LOC117592311|XP_034141877.1|DGUA, LOC117581593|XP_034124840.1|DGUA
OG0001348	LOC119646138|XP_037902422.1|HILL	LOC117590301|XP_034138679.1|DGUA
OG0001349	LOC119650338|XP_037908930.1|HILL, LOC119648621|XP_037906319.1|HILL	LOC117586923|XP_034133169.1|DGUA
OG0001350	LOC119656031|XP_037918222.1|HILL	LOC117579776|XP_034121724.1|DGUA
OG0001351	LOC119646934|XP_037903549.1|HILL	LOC117586432|XP_034132363.1|DGUA
OG0001352	LOC119646485|XP_037902868.1|HILL	LOC117588489|XP_034135686.1|DGUA
OG0001353	LOC119657814|XP_037920854.1|HILL	LOC117591231|XP_034140296.1|DGUA
OG0001354	LOC119661661|XP_037927022.1|HILL	LOC117591979|XP_034141310.1|DGUA
OG0001355	LOC119647144|XP_037903866.1|HILL	LOC117592081|XP_034141484.1|DGUA
OG0001356	LOC119659914|XP_037924167.1|HILL	LOC117585160|XP_034130387.1|DGUA
OG0001357	LOC119650158|XP_037908633.1|HILL, LOC119650159|XP_037908634.1|HILL, LOC119655198|XP_037916898.1|HILL	LOC117586861|XP_034133047.1|DGUA
OG0001358	LOC119649831|XP_037908101.1|HILL	LOC117579307|XP_034121007.1|DGUA
OG0001359	LOC119649801|XP_037908041.1|HILL	LOC117584301|XP_034129018.1|DGUA
OG0001360	LOC119660268|XP_037924655.1|HILL	LOC117585270|XP_034130584.1|DGUA
OG0001361	LOC119649638|XP_037907817.1|HILL	LOC117580021|XP_034122134.1|DGUA
OG0001362	LOC119649515|XP_037907624.1|HILL	LOC117585063|XP_034130215.1|DGUA, LOC117588428|XP_034135599.1|DGUA, LOC117591427|XP_034140578.1|DGUA, LOC117580036|XP_034122155.1|DGUA
OG0001363	LOC119660259|XP_037924645.1|HILL	LOC117586369|XP_034132286.1|DGUA
OG0001364	LOC119653200|XP_037913699.1|HILL	LOC117581078|XP_034123856.1|DGUA
OG0001365	LOC119648268|XP_037905850.1|HILL	LOC117580943|XP_034123617.1|DGUA, LOC117589217|XP_034136853.1|DGUA
OG0001366	LOC119649229|XP_037907216.1|HILL	LOC117589305|XP_034136989.1|DGUA
OG0001367	LOC119646490|XP_037902877.1|HILL	LOC117578793|XP_034120410.1|DGUA
OG0001368	LOC119658811|XP_037922460.1|HILL	LOC117583754|XP_034128170.1|DGUA
OG0001369	LOC119654759|XP_037916228.1|HILL	LOC117588517|XP_034135738.1|DGUA
OG0001370	LOC119646383|XP_037902755.1|HILL	LOC117579596|XP_034121424.1|DGUA
OG0001371	LOC119653164|XP_037913632.1|HILL	LOC117584747|XP_034129726.1|DGUA
OG0001373	LOC119653079|XP_037913495.1|HILL	LOC117587814|XP_034134661.1|DGUA
OG0001374	LOC119661235|XP_037926392.1|HILL	LOC117579745|XP_034121654.1|DGUA, LOC117592129|XP_034141565.1|DGUA
OG0001375	LOC119659993|XP_037924293.1|HILL	LOC117586235|XP_034132062.1|DGUA
OG0001376	LOC119646276|XP_037902613.1|HILL	LOC117589073|XP_034136602.1|DGUA
OG0001377	LOC119650354|XP_037908968.1|HILL	LOC117582593|XP_034126342.1|DGUA
OG0001378	LOC119656648|XP_037919037.1|HILL, LOC119657864|XP_037920917.1|HILL	LOC117583897|XP_034128458.1|DGUA, LOC117587865|XP_034134721.1|DGUA
OG0001379	LOC119651100|XP_037910387.1|HILL	LOC117582119|XP_034125586.1|DGUA
OG0001380	LOC119661414|XP_037926677.1|HILL	LOC117586560|XP_034132615.1|DGUA
OG0001381	LOC119647953|XP_037905272.1|HILL	LOC117588346|XP_034135451.1|DGUA
OG0001382	LOC119661475|XP_037926765.1|HILL	LOC117584740|XP_034129705.1|DGUA
OG0001383	LOC119647254|XP_037904062.1|HILL	LOC117588182|XP_034135192.1|DGUA, LOC117578415|XP_034119768.1|DGUA
OG0001384	LOC119650590|XP_037909365.1|HILL	LOC117587866|XP_034134723.1|DGUA
OG0001385	LOC119648519|XP_037906217.1|HILL	LOC117587709|XP_034134504.1|DGUA
OG0001386	LOC119648014|XP_037905349.1|HILL	LOC117584603|XP_034129500.1|DGUA
OG0001387	LOC119658144|XP_037921342.1|HILL	LOC117584388|XP_034129133.1|DGUA
OG0001388	LOC119647241|XP_037904032.1|HILL	LOC117584735|XP_034129696.1|DGUA
OG0001389	LOC119652995|XP_037913350.1|HILL	LOC117583401|XP_034127575.1|DGUA
OG0001390	LOC119659069|XP_037922906.1|HILL	LOC117582316|XP_034125852.1|DGUA
OG0001391	LOC119659041|XP_037922869.1|HILL, LOC119660450|XP_037924937.1|HILL	LOC117579668|XP_034121540.1|DGUA, LOC117588000|XP_034134911.1|DGUA
OG0001392	LOC119654285|XP_037915501.1|HILL	LOC117588580|XP_034135871.1|DGUA
OG0001393	LOC119658993|XP_037922803.1|HILL	LOC117591429|XP_034140582.1|DGUA
OG0001394	LOC119660939|XP_037925866.1|HILL	LOC117584605|XP_034129505.1|DGUA
OG0001395	LOC119659967|XP_037924255.1|HILL	LOC117586668|XP_034132807.1|DGUA, LOC117586038|XP_034131775.1|DGUA
OG0001396	LOC119654659|XP_037916078.1|HILL	LOC117584170|XP_034128826.1|DGUA, LOC117588645|XP_034135969.1|DGUA
OG0001397	LOC119660543|XP_037925106.1|HILL	LOC117590007|XP_034138184.1|DGUA
OG0001398	LOC119658900|XP_037922631.1|HILL, LOC119660834|XP_037925631.1|HILL	LOC117581302|XP_034124234.1|DGUA
OG0001399	LOC119653725|XP_037914561.1|HILL	LOC117591308|XP_034140403.1|DGUA
OG0001400	LOC119649562|XP_037907686.1|HILL, LOC119649358|XP_037907399.1|HILL	LOC117589812|XP_034137931.1|DGUA
OG0001401	LOC119650076|XP_037908503.1|HILL	LOC117587493|XP_034134156.1|DGUA
OG0001402	LOC119649300|XP_037907323.1|HILL	LOC117580260|XP_034122587.1|DGUA
OG0001403	LOC119657757|XP_037920740.1|HILL	LOC117579752|XP_034121664.1|DGUA
OG0001404	LOC119653478|XP_037914032.1|HILL	LOC117578743|XP_034120311.1|DGUA
OG0001405	LOC119654372|XP_037915653.1|HILL, LOC119654030|XP_037915121.1|HILL, LOC119655178|XP_037916858.1|HILL, LOC119654029|XP_037915120.1|HILL	LOC117579070|XP_034120670.1|DGUA
OG0001406	LOC119655945|XP_037918064.1|HILL	LOC117581824|XP_034125159.1|DGUA, LOC117588304|XP_034135381.1|DGUA
OG0001407	LOC119649363|XP_037907405.1|HILL	LOC117589407|XP_034137227.1|DGUA
