Orthogroup	HILL.longest_only	DHYD.longest_only
OG0001714	LOC119660448|XP_037924929.1|HILL	LOC111604906|XP_023178914.2|DHYD
OG0001715	LOC119651565|XP_037911127.1|HILL	LOC111603362|XP_023176676.2|DHYD
OG0001716	LOC119652970|XP_037913302.1|HILL	LOC111593511|XP_023162066.2|DHYD, LOC111595001|XP_023164269.2|DHYD
OG0001717	LOC119651035|XP_037910280.1|HILL	LOC111598234|XP_023169163.2|DHYD
OG0001718	LOC119650787|XP_037909830.1|HILL	LOC111602668|XP_023175621.2|DHYD
OG0001719	LOC119656637|XP_037919005.1|HILL	LOC111596599|XP_030080723.1|DHYD
OG0001720	LOC119650761|XP_037909780.1|HILL	LOC111601320|XP_023173618.2|DHYD, LOC115483700|XP_030081628.1|DHYD
OG0001721	LOC119652390|XP_037912419.1|HILL	LOC111596260|XP_023166164.2|DHYD
OG0001722	LOC119648853|XP_037906658.1|HILL, LOC119649076|XP_037906998.1|HILL, LOC119650269|XP_037908820.1|HILL	LOC111598680|XP_023169809.1|DHYD
OG0001723	LOC119659078|XP_037922919.1|HILL, LOC119660005|XP_037924311.1|HILL, LOC119649821|XP_037908084.1|HILL	LOC111600877|XP_023172977.1|DHYD, LOC115483411|XP_030081107.1|DHYD
OG0001724	LOC119647260|XP_037904068.1|HILL	LOC111593560|XP_030081358.1|DHYD
OG0001725	LOC119658869|XP_037922558.1|HILL	LOC115483452|XP_030081321.1|DHYD, LOC115483439|XP_030081279.1|DHYD, LOC111593725|XP_023162471.2|DHYD
OG0001726	LOC119650313|XP_037908896.1|HILL	LOC111592966|XP_023161226.1|DHYD
OG0001727	LOC119652567|XP_037912708.1|HILL	LOC111605434|XP_023179718.1|DHYD
OG0001728	LOC119653008|XP_037913368.1|HILL, LOC119652940|XP_037913258.1|HILL	LOC111603275|XP_023176559.1|DHYD
OG0001729	LOC119661747|XP_037927141.1|HILL	LOC111605391|XP_023179655.2|DHYD
OG0001730	LOC119646998|XP_037903652.1|HILL	LOC111602498|XP_023175337.2|DHYD
OG0001731	LOC119661387|XP_037926637.1|HILL	LOC111595326|XP_023164751.2|DHYD
OG0001732	LOC119648975|XP_037906825.1|HILL	LOC111602219|XP_023174965.1|DHYD
OG0001733	LOC119646388|XP_037902759.1|HILL	LOC115483068|XP_030079787.1|DHYD, LOC111593181|XP_023161559.1|DHYD
OG0001734	LOC119661548|XP_037926861.1|HILL	LOC111597733|XP_023168346.1|DHYD
OG0001735	LOC119650184|XP_037908668.1|HILL	LOC111601564|XP_023173978.2|DHYD
OG0001736	LOC119661518|XP_037926821.1|HILL	LOC111604074|XP_023177728.1|DHYD
OG0001737	LOC119660090|XP_037924397.1|HILL	LOC111593789|XP_023162575.2|DHYD
OG0001738	LOC119648310|XP_037905918.1|HILL	LOC111605171|XP_023179327.2|DHYD
OG0001739	LOC119660084|XP_037924392.1|HILL	LOC111601629|XP_023174068.1|DHYD
OG0001740	LOC119661112|XP_037926235.1|HILL	LOC111603835|XP_023177368.2|DHYD
OG0001741	LOC119646911|XP_037903510.1|HILL	LOC111594473|XP_023163542.1|DHYD
OG0001742	LOC119649624|XP_037907787.1|HILL	LOC111600646|XP_023172631.1|DHYD
OG0001743	LOC119648346|XP_037905970.1|HILL	LOC111596967|XP_023167209.2|DHYD
OG0001744	LOC119649874|XP_037908212.1|HILL	LOC115482847|XP_030078947.1|DHYD, LOC111598211|XP_023169119.2|DHYD
OG0001745	LOC119660852|XP_037925677.1|HILL	LOC111604336|XP_023178199.2|DHYD
OG0001746	LOC119648796|XP_037906569.1|HILL	LOC111599795|XP_023171339.2|DHYD
OG0001747	LOC119661675|XP_037927040.1|HILL	LOC111605346|XP_023179588.2|DHYD
OG0001748	LOC119648513|XP_037906210.1|HILL	LOC111592732|XP_023160892.2|DHYD
OG0001749	LOC119647052|XP_037903738.1|HILL	LOC111604096|XP_023177761.1|DHYD
OG0001750	LOC119656311|XP_037918690.1|HILL	LOC111604111|XP_023177786.2|DHYD
OG0001751	LOC119647600|XP_037904554.1|HILL	LOC111594875|XP_023164126.2|DHYD
OG0001752	LOC119648958|XP_037906804.1|HILL	LOC111594853|XP_023164098.2|DHYD
OG0001753	LOC119649117|XP_037907046.1|HILL	LOC111601566|XP_023173980.2|DHYD
OG0001754	LOC119661680|XP_037927046.1|HILL	LOC111593546|XP_023162167.1|DHYD
OG0001755	LOC119649001|XP_037906870.1|HILL, LOC119648998|XP_037906857.1|HILL	LOC111601591|XP_030081156.1|DHYD
OG0001756	LOC119646516|XP_037902900.1|HILL	LOC111594019|XP_023162889.1|DHYD, LOC111595628|XP_023165206.1|DHYD
OG0001757	LOC119655543|XP_037917390.1|HILL	LOC111602252|XP_023175011.1|DHYD
OG0001758	LOC119648834|XP_037906624.1|HILL	LOC111595052|XP_023164348.1|DHYD
OG0001759	LOC119646476|XP_037902858.1|HILL	LOC111600579|XP_023172534.1|DHYD
OG0001760	LOC119648400|XP_037906104.1|HILL	LOC111602108|XP_023174818.2|DHYD
OG0001761	LOC119652565|XP_037912706.1|HILL	LOC111604148|XP_023177840.2|DHYD
OG0001762	LOC119651874|XP_037911610.1|HILL	LOC111602244|XP_023175002.1|DHYD
OG0001763	LOC119651913|XP_037911667.1|HILL	LOC111605023|XP_023179122.2|DHYD, LOC111605029|XP_023179127.2|DHYD
OG0001764	LOC119659463|XP_037923478.1|HILL	LOC111603464|XP_023176821.1|DHYD
OG0001765	LOC119661249|XP_037926416.1|HILL	LOC111604618|XP_030081093.1|DHYD
OG0001766	LOC119650699|XP_037909613.1|HILL	LOC111603920|XP_023177513.2|DHYD
OG0001767	LOC119647214|XP_037903968.1|HILL	LOC111599494|XP_023170929.2|DHYD
OG0001768	LOC119654969|XP_037916560.1|HILL	LOC111599092|XP_023170400.1|DHYD
OG0001769	LOC119652173|XP_037912046.1|HILL	LOC111602300|XP_023175068.2|DHYD
OG0001770	LOC119647062|XP_037903747.1|HILL	LOC111600845|XP_023172922.2|DHYD
OG0001771	LOC119651116|XP_037910422.1|HILL	LOC111602499|XP_023175338.2|DHYD, LOC111602482|XP_023175313.1|DHYD
OG0001772	LOC119661431|XP_037926704.1|HILL	LOC111597781|XP_023168414.1|DHYD
OG0001773	LOC119652398|XP_037912433.1|HILL	LOC111603868|XP_023177443.2|DHYD
OG0001774	LOC119647111|XP_037903818.1|HILL	LOC111593833|XP_023162639.2|DHYD
OG0001776	LOC119651493|XP_037911035.1|HILL	LOC111596281|XP_023166196.1|DHYD
OG0001777	LOC119650180|XP_037908664.1|HILL	LOC111600698|XP_023172724.2|DHYD
OG0001778	LOC119653702|XP_037914504.1|HILL	LOC111602536|XP_023175434.1|DHYD
OG0001779	LOC119651725|XP_037911377.1|HILL	LOC111603983|XP_030079083.1|DHYD
OG0001780	LOC119646630|XP_037903066.1|HILL	LOC115482829|XP_030078922.1|DHYD, LOC111600899|XP_023173008.1|DHYD
OG0001781	LOC119653022|XP_037913393.1|HILL	LOC111600369|XP_023172213.2|DHYD
OG0001782	LOC119652414|XP_037912459.1|HILL	LOC111594776|XP_023163994.2|DHYD
OG0001783	LOC119652306|XP_037912244.1|HILL	LOC111600384|XP_023172229.1|DHYD
OG0001784	LOC119646844|XP_037903394.1|HILL	LOC111595795|XP_023165453.2|DHYD
OG0001785	LOC119646632|XP_037903070.1|HILL, LOC119646635|XP_037903076.1|HILL	LOC111605246|XP_023179451.2|DHYD
OG0001786	LOC119646394|XP_037902766.1|HILL	LOC111600724|XP_023172768.2|DHYD
OG0001787	LOC119646256|XP_037902584.1|HILL	LOC111601053|XP_030080281.1|DHYD
OG0001788	LOC119657844|XP_037920894.1|HILL	LOC111595569|XP_023165134.2|DHYD
OG0001789	LOC119648971|XP_037906821.1|HILL	LOC111593927|XP_023162774.1|DHYD, LOC111593133|XP_023161505.2|DHYD
OG0001790	LOC119646437|XP_037902816.1|HILL	LOC111601111|XP_023173329.2|DHYD
OG0001791	LOC119650337|XP_037908927.1|HILL	LOC111605415|XP_023179689.2|DHYD
OG0001792	LOC119646135|XP_037902415.1|HILL	LOC111605541|XP_023179871.2|DHYD
OG0001793	LOC119647243|XP_037904036.1|HILL	LOC111593288|XP_030081006.1|DHYD
OG0001794	LOC119647312|XP_037904158.1|HILL	LOC111602535|XP_023175433.2|DHYD
OG0001796	LOC119653945|XP_037915034.1|HILL	LOC111598302|XP_023169258.1|DHYD
OG0001797	LOC119661047|XP_037926168.1|HILL	LOC111598115|XP_023168940.1|DHYD
OG0001800	LOC119647110|XP_037903816.1|HILL	LOC111601898|XP_023174512.2|DHYD
OG0001801	LOC119649603|XP_037907747.1|HILL	LOC111598745|XP_023169913.2|DHYD
OG0001802	LOC119660149|XP_037924477.1|HILL	LOC111595302|XP_023164730.1|DHYD
OG0001803	LOC119659364|XP_037923344.1|HILL	LOC111592379|XP_030078720.1|DHYD
OG0001804	LOC119659141|XP_037923003.1|HILL	LOC111603589|XP_023177013.1|DHYD
OG0001805	LOC119648083|XP_037905500.1|HILL	LOC111601024|XP_023173200.1|DHYD
OG0001806	LOC119658939|XP_037922721.1|HILL	LOC111598897|XP_023170131.2|DHYD, LOC111593361|XP_030078732.1|DHYD
OG0001807	LOC119658706|XP_037922243.1|HILL	LOC111602986|XP_023176150.1|DHYD
OG0001809	LOC119660235|XP_037924611.1|HILL	LOC111600859|XP_023172946.2|DHYD
OG0001810	LOC119648878|XP_037906698.1|HILL	LOC111599593|XP_023171044.2|DHYD
OG0001811	LOC119656076|XP_037918285.1|HILL	LOC111593286|XP_023161727.2|DHYD
OG0001812	LOC119651076|XP_037910345.1|HILL	LOC111604186|XP_023177949.1|DHYD
OG0001813	LOC119660390|XP_037924842.1|HILL	LOC111604277|XP_030080854.1|DHYD
OG0001814	LOC119658850|XP_037922528.1|HILL	LOC111596232|XP_023166120.2|DHYD
OG0001815	LOC119660115|XP_037924432.1|HILL	LOC111604843|XP_023178843.2|DHYD
OG0001816	LOC119655746|XP_037917728.1|HILL	LOC111599709|XP_023171208.1|DHYD, LOC111600168|XP_023171928.1|DHYD
OG0001817	LOC119653661|XP_037914419.1|HILL	LOC111600143|XP_030081219.1|DHYD, LOC111600020|XP_030081215.1|DHYD
OG0001818	LOC119655406|XP_037917217.1|HILL	LOC111605416|XP_023179694.2|DHYD
OG0001819	LOC119655833|XP_037917869.1|HILL	LOC111597000|XP_023167269.2|DHYD
OG0001820	LOC119654292|XP_037915524.1|HILL	LOC111602856|XP_023175939.1|DHYD
OG0001821	LOC119654320|XP_037915574.1|HILL	LOC111593846|XP_023162660.2|DHYD
OG0001822	LOC119654392|XP_037915694.1|HILL, LOC119654840|XP_037916346.1|HILL	LOC111593744|XP_023162505.1|DHYD
OG0001823	LOC119649125|XP_037907058.1|HILL	LOC111604418|XP_023178242.1|DHYD
OG0001824	LOC119660170|XP_037924504.1|HILL	LOC111596286|XP_023166208.2|DHYD
OG0001825	LOC119655946|XP_037918065.1|HILL	LOC111594467|XP_023163557.2|DHYD
OG0001826	LOC119655762|XP_037917745.1|HILL	LOC111600045|XP_023171738.1|DHYD
OG0001827	LOC119654394|XP_037915702.1|HILL	LOC111592165|XP_023159986.2|DHYD
OG0001828	LOC119653863|XP_037914848.1|HILL	LOC111593003|XP_023161297.2|DHYD, LOC111598712|XP_023169869.2|DHYD
OG0001829	LOC119655295|XP_037917043.1|HILL	LOC111595434|XP_023164926.1|DHYD
OG0001830	LOC119655843|XP_037917883.1|HILL	LOC111599663|XP_023171134.2|DHYD
OG0001831	LOC119647884|XP_037905100.1|HILL	LOC111593520|XP_023162076.1|DHYD
OG0001832	LOC119660892|XP_037925751.1|HILL	LOC115482747|XP_030079449.1|DHYD, LOC111592331|XP_023160246.1|DHYD
OG0001833	LOC119654266|XP_037915461.1|HILL	LOC111596673|XP_023166745.2|DHYD, LOC111600091|XP_023171798.2|DHYD
OG0001834	LOC119651393|XP_037910903.1|HILL	LOC115483096|XP_030080065.1|DHYD, LOC111605443|XP_023179728.2|DHYD
OG0001848	LOC119650675|XP_037909558.1|HILL	LOC111598636|XP_023169748.2|DHYD
OG0001849	LOC119650802|XP_037909869.1|HILL	LOC111598355|XP_023169334.1|DHYD
OG0001850	LOC119660900|XP_037925766.1|HILL	LOC111594139|XP_023163074.2|DHYD
OG0001851	LOC119660999|XP_037926025.1|HILL	LOC111600230|XP_030079833.1|DHYD
OG0001852	LOC119648791|XP_037906565.1|HILL	LOC115482982|XP_030079462.1|DHYD, LOC111601098|XP_023173302.2|DHYD
OG0001853	LOC119651794|XP_037911489.1|HILL	LOC111596097|XP_023165930.2|DHYD
OG0001854	LOC119657167|XP_037919880.1|HILL	LOC111604042|XP_023177665.2|DHYD
OG0001855	LOC119657085|XP_037919768.1|HILL	LOC111594945|XP_023164210.1|DHYD
OG0001856	LOC119656794|XP_037919330.1|HILL	LOC111603129|XP_023176371.1|DHYD
OG0001857	LOC119658348|XP_037921631.1|HILL	LOC111593031|XP_023161365.2|DHYD
OG0001858	LOC119658315|XP_037921567.1|HILL	LOC111603213|XP_030079318.1|DHYD
OG0001859	LOC119656734|XP_037919204.1|HILL	LOC111603384|XP_023176711.1|DHYD
OG0001860	LOC119648757|XP_037906511.1|HILL	LOC111599785|XP_023171327.2|DHYD
OG0001861	LOC119657655|XP_037920607.1|HILL, LOC119657656|XP_037920608.1|HILL	LOC111600624|XP_023172594.1|DHYD
OG0001862	LOC119656726|XP_037919181.1|HILL, LOC119656727|XP_037919183.1|HILL	LOC111604236|XP_023177981.2|DHYD
OG0001863	LOC119657322|XP_037920111.1|HILL	LOC111598257|XP_023169200.1|DHYD
OG0001864	LOC119661721|XP_037927106.1|HILL	LOC111602017|XP_023174682.2|DHYD
OG0001865	LOC119657944|XP_037921064.1|HILL	LOC111600817|XP_023172886.1|DHYD, LOC111598300|XP_023169255.1|DHYD
OG0001866	LOC119659495|XP_037923540.1|HILL	LOC111594523|XP_023163621.2|DHYD
OG0001867	LOC119647424|XP_037904251.1|HILL	LOC111601092|XP_023173286.2|DHYD
OG0001868	LOC119652674|XP_037912867.1|HILL	LOC111602214|XP_023174959.2|DHYD
OG0001869	LOC119660246|XP_037924627.1|HILL, LOC119660334|XP_037924745.1|HILL	LOC111599767|XP_023171295.2|DHYD
OG0001870	LOC119646980|XP_037903618.1|HILL	LOC111597332|XP_030078957.1|DHYD
OG0001871	LOC119657333|XP_037920130.1|HILL, LOC119657197|XP_037919930.1|HILL, LOC119657102|XP_037919785.1|HILL, LOC119657440|XP_037920276.1|HILL, LOC119657585|XP_037920492.1|HILL, LOC119657304|XP_037920092.1|HILL	LOC111605448|XP_023179736.2|DHYD
OG0001872	LOC119657360|XP_037920160.1|HILL	LOC111592477|XP_023160461.2|DHYD
OG0001873	LOC119652394|XP_037912429.1|HILL	LOC111595801|XP_023165462.2|DHYD
OG0001874	LOC119657327|XP_037920118.1|HILL	LOC111598573|XP_023169642.2|DHYD
OG0001875	LOC119646791|XP_037903303.1|HILL	LOC111601977|XP_023174627.2|DHYD
OG0001876	LOC119658387|XP_037921683.1|HILL	LOC111593726|XP_023162476.2|DHYD, LOC115483462|XP_030081404.1|DHYD
OG0001877	LOC119657237|XP_037919979.1|HILL	LOC111605310|XP_023179537.1|DHYD
OG0001878	LOC119656553|XP_037918847.1|HILL	LOC111605477|XP_023179778.1|DHYD
OG0001879	LOC119658469|XP_037921815.1|HILL	LOC111598585|XP_023169663.2|DHYD
OG0001880	LOC119653041|XP_037913425.1|HILL, LOC119651221|XP_037910605.1|HILL	LOC111601503|XP_023173865.1|DHYD
OG0001881	LOC119658476|XP_037921841.1|HILL	LOC111602653|XP_023175594.1|DHYD
OG0001882	LOC119657673|XP_037920627.1|HILL	LOC111597768|XP_030080617.1|DHYD
OG0001883	LOC119651092|XP_037910374.1|HILL	LOC111599610|XP_023171065.2|DHYD
OG0001884	LOC119650850|XP_037909924.1|HILL	LOC111600786|XP_023172844.2|DHYD
OG0001885	LOC119657133|XP_037919832.1|HILL	LOC111602475|XP_023175305.1|DHYD, LOC111601163|XP_023173409.1|DHYD
OG0001886	LOC119651262|XP_037910690.1|HILL	LOC111595707|XP_023165320.2|DHYD
OG0001887	LOC119654633|XP_037916033.1|HILL	LOC111592118|XP_023159917.1|DHYD
OG0001888	LOC119646671|XP_037903129.1|HILL	LOC111604798|XP_023178783.1|DHYD
OG0001889	LOC119656485|XP_037918737.1|HILL	LOC111593042|XP_023161377.2|DHYD
OG0001890	LOC119651162|XP_037910508.1|HILL	LOC111591873|XP_023159524.2|DHYD
OG0001891	LOC119652430|XP_037912482.1|HILL	LOC111595977|XP_030080699.1|DHYD
OG0001892	LOC119650670|XP_037909548.1|HILL	LOC111592630|XP_030079102.1|DHYD
OG0001893	LOC119652824|XP_037913081.1|HILL	LOC111597811|XP_023168468.2|DHYD
OG0001894	LOC119652620|XP_037912792.1|HILL	LOC111605297|XP_030079961.1|DHYD, LOC111599909|XP_023171502.1|DHYD
OG0001895	LOC119658873|XP_037922570.1|HILL	LOC111594135|XP_023163066.2|DHYD
OG0001897	LOC119656602|XP_037918959.1|HILL	LOC111603570|XP_023176984.1|DHYD
OG0001898	LOC119658001|XP_037921149.1|HILL	LOC111596764|XP_023166881.2|DHYD
OG0001899	LOC119651575|XP_037911139.1|HILL	LOC111604224|XP_023177962.1|DHYD
OG0001900	LOC119648331|XP_037905953.1|HILL	LOC111605088|XP_023179193.2|DHYD
OG0001901	LOC119651068|XP_037910333.1|HILL	LOC111596980|XP_023167232.2|DHYD
OG0001902	LOC119652347|XP_037912302.1|HILL	LOC111597431|XP_023167896.2|DHYD
OG0001903	LOC119652506|XP_037912622.1|HILL	LOC111595719|XP_023165338.1|DHYD
OG0001904	LOC119652679|XP_037912878.1|HILL	LOC111603264|XP_023176544.2|DHYD
OG0001905	LOC119651490|XP_037911032.1|HILL	LOC111600199|XP_023171982.1|DHYD, LOC111592196|XP_023160031.1|DHYD
OG0001906	LOC119650954|XP_037910123.1|HILL, LOC119650953|XP_037910117.1|HILL	LOC111603514|XP_023176898.1|DHYD
OG0001907	LOC119652852|XP_037913137.1|HILL	LOC111598868|XP_023170084.2|DHYD
OG0001908	LOC119651753|XP_037911418.1|HILL	LOC111593235|XP_023161656.2|DHYD
OG0001909	LOC119657004|XP_037919671.1|HILL	LOC111603120|XP_023176362.1|DHYD
OG0001910	LOC119652713|XP_037912926.1|HILL	LOC111594619|XP_023163777.1|DHYD
OG0001911	LOC119651203|XP_037910572.1|HILL	LOC111598651|XP_023169766.2|DHYD
OG0001912	LOC119647546|XP_037904464.1|HILL, LOC119647543|XP_037904461.1|HILL, LOC119647547|XP_037904465.1|HILL, LOC119647548|XP_037904466.1|HILL	LOC111602587|XP_023175512.2|DHYD
OG0001914	LOC119650748|XP_037909758.1|HILL	LOC111597178|XP_030080836.1|DHYD
OG0001915	LOC119649037|XP_037906924.1|HILL	LOC111598669|XP_023169790.1|DHYD
OG0001916	LOC119659318|XP_037923266.1|HILL	LOC111592402|XP_023160345.2|DHYD
OG0001917	LOC119648161|XP_037905664.1|HILL	LOC111601710|XP_030080875.1|DHYD, LOC111601678|XP_023174145.2|DHYD
OG0001918	LOC119648279|XP_037905861.1|HILL	LOC111598689|XP_023169822.2|DHYD
OG0001919	LOC119661109|XP_037926233.1|HILL, LOC119660811|XP_037925584.1|HILL	LOC111600674|XP_023172692.1|DHYD
OG0001920	LOC119650198|XP_037908693.1|HILL	LOC111596298|XP_023166223.2|DHYD, LOC111601461|XP_023173809.2|DHYD
OG0001921	LOC119650073|XP_037908499.1|HILL	LOC111599696|XP_023171184.1|DHYD
OG0001922	LOC119650082|XP_037908513.1|HILL	LOC111600878|XP_023172979.1|DHYD, LOC115482828|XP_030078921.1|DHYD
OG0001923	LOC119650384|XP_037909052.1|HILL	LOC111601116|XP_023173332.2|DHYD
OG0001924	LOC119647996|XP_037905309.1|HILL	LOC111594685|XP_023163872.2|DHYD
OG0001925	LOC119649855|XP_037908139.1|HILL, LOC119650048|XP_037908461.1|HILL	LOC111601657|XP_023174109.2|DHYD
OG0001926	LOC119649480|XP_037907577.1|HILL	LOC111601565|XP_023173979.1|DHYD, LOC111601589|XP_030081179.1|DHYD
OG0001927	LOC119646736|XP_037903241.1|HILL	LOC111593553|XP_023162176.1|DHYD
OG0001928	LOC119647619|XP_037904589.1|HILL	LOC111599775|XP_023171305.1|DHYD, LOC115483479|XP_030081493.1|DHYD
OG0001929	LOC119656183|XP_037918461.1|HILL, LOC119647768|XP_037904830.1|HILL	LOC115483178|XP_030080196.1|DHYD, LOC111599851|XP_030081077.1|DHYD
OG0001930	LOC119651261|XP_037910688.1|HILL	LOC111603156|XP_023176405.2|DHYD
OG0001931	LOC119648402|XP_037906072.1|HILL	LOC111604781|XP_023178760.2|DHYD
OG0001932	LOC119648398|XP_037906067.1|HILL	LOC111604760|XP_023178719.2|DHYD
OG0001933	LOC119648765|XP_037906522.1|HILL	LOC111600565|XP_023172517.1|DHYD
OG0001934	LOC119649388|XP_037907437.1|HILL	LOC111597456|XP_023167973.2|DHYD
OG0001935	LOC119648672|XP_037906388.1|HILL, LOC119649360|XP_037907401.1|HILL	LOC111600468|XP_023172342.2|DHYD
OG0001937	LOC119661170|XP_037926313.1|HILL	LOC111600913|XP_023173044.2|DHYD
OG0001938	LOC119661149|XP_037926289.1|HILL	LOC111605265|XP_023179471.1|DHYD
OG0001939	LOC119659184|XP_037923072.1|HILL	LOC111602116|XP_030079716.1|DHYD
OG0001940	LOC119647200|XP_037903942.1|HILL	LOC111595322|XP_023164748.2|DHYD
OG0001941	LOC119648112|XP_037905558.1|HILL	LOC111601412|XP_023173742.2|DHYD
OG0001943	LOC119649455|XP_037907537.1|HILL, LOC119649625|XP_037907788.1|HILL, LOC119649112|XP_037907039.1|HILL	LOC111604668|XP_023178598.2|DHYD
OG0001944	LOC119649745|XP_037907962.1|HILL	LOC115482992|XP_030079486.1|DHYD, LOC111596898|XP_023167116.1|DHYD
OG0001945	LOC119661393|XP_037926646.1|HILL	LOC111599899|XP_023171490.2|DHYD
OG0001946	LOC119653908|XP_037914985.1|HILL	LOC111593722|XP_023162461.1|DHYD, LOC115483444|XP_030081281.1|DHYD
OG0001947	LOC119661314|XP_037926534.1|HILL	LOC111605355|XP_023179600.2|DHYD
OG0001948	LOC119648154|XP_037905653.1|HILL	LOC111599797|XP_023171343.1|DHYD
OG0001949	LOC119649181|XP_037907136.1|HILL	LOC111594359|XP_023163387.2|DHYD
OG0001950	LOC119661016|XP_037926092.1|HILL	LOC115483351|XP_030080775.1|DHYD, LOC111603662|XP_023177113.1|DHYD
OG0001951	LOC119647100|XP_037903799.1|HILL	LOC111604175|XP_023177900.2|DHYD
OG0001952	LOC119659888|XP_037924136.1|HILL	LOC111600004|XP_023171673.1|DHYD
OG0001953	LOC119661457|XP_037926741.1|HILL	LOC111605273|XP_023179484.2|DHYD
OG0001954	LOC119647112|XP_037903819.1|HILL	LOC111592234|XP_023160089.2|DHYD
OG0001955	LOC119647118|XP_037903833.1|HILL	LOC111599252|XP_023170623.1|DHYD
OG0001956	LOC119647496|XP_037904382.1|HILL	LOC111603058|XP_023176285.2|DHYD
OG0001957	LOC119659267|XP_037923194.1|HILL	LOC111593734|XP_023162488.1|DHYD, LOC115483447|XP_030081291.1|DHYD
OG0001958	LOC119661584|XP_037926911.1|HILL	LOC111602362|XP_023175141.2|DHYD
OG0001959	LOC119648719|XP_037906455.1|HILL	LOC111605668|XP_023180100.2|DHYD
OG0001960	LOC119647828|XP_037904996.1|HILL	LOC111592452|XP_023160406.1|DHYD
OG0001961	LOC119661384|XP_037926630.1|HILL	LOC111593820|XP_030080900.1|DHYD
OG0001962	LOC119653650|XP_037914398.1|HILL	LOC111599908|XP_023171500.1|DHYD
OG0001963	LOC119648319|XP_037905928.1|HILL	LOC111605658|XP_023180089.1|DHYD
OG0001964	LOC119648632|XP_037906330.1|HILL, LOC119648643|XP_037906341.1|HILL	LOC111602894|XP_023175998.2|DHYD
OG0001965	LOC119649847|XP_037908129.1|HILL	LOC111592318|XP_023160201.1|DHYD
OG0001966	LOC119646800|XP_037903318.1|HILL	LOC111601534|XP_023173934.2|DHYD
OG0001967	LOC119659887|XP_037924171.1|HILL	LOC111604090|XP_023177753.1|DHYD
OG0001968	LOC119649424|XP_037907499.1|HILL	LOC111592971|XP_023161232.1|DHYD
OG0001969	LOC119661195|XP_037926345.1|HILL	LOC111595614|XP_023165187.2|DHYD
OG0001970	LOC119648481|XP_037906174.1|HILL	LOC111604156|XP_023177853.1|DHYD
OG0001971	LOC119655219|XP_037916926.1|HILL	LOC111594852|XP_023164099.1|DHYD
OG0001972	LOC119659168|XP_037923047.1|HILL	LOC111600003|XP_023171672.1|DHYD
OG0001973	LOC119646351|XP_037902713.1|HILL	LOC111603810|XP_030081312.1|DHYD
OG0001974	LOC119646579|XP_037902999.1|HILL	LOC111593904|XP_023162742.1|DHYD
OG0001975	LOC119648358|XP_037905999.1|HILL	LOC111596617|XP_023166672.2|DHYD
OG0001976	LOC119654729|XP_037916185.1|HILL	LOC111602203|XP_023174941.1|DHYD
OG0001978	LOC119646769|XP_037903279.1|HILL	LOC111594197|XP_023163162.2|DHYD
OG0001979	LOC119661563|XP_037926885.1|HILL	LOC111592815|XP_023160995.1|DHYD, LOC111592919|XP_023161140.1|DHYD
OG0001980	LOC119649846|XP_037908130.1|HILL	LOC111595991|XP_023165751.1|DHYD
OG0001981	LOC119653257|XP_037913793.1|HILL	LOC111603970|XP_023177578.1|DHYD
OG0001982	LOC119651562|XP_037911123.1|HILL	LOC111592064|XP_023159834.1|DHYD
OG0001983	LOC119660966|XP_037925954.1|HILL	LOC111594390|XP_023163424.2|DHYD
OG0001984	LOC119651214|XP_037910593.1|HILL	LOC111596359|XP_023166324.2|DHYD
OG0001985	LOC119650304|XP_037908878.1|HILL	LOC111598800|XP_030079127.1|DHYD, LOC115482938|XP_030079168.1|DHYD
OG0001986	LOC119647314|XP_037904168.1|HILL	LOC111596267|XP_030080563.1|DHYD
OG0001987	LOC119660727|XP_037925308.1|HILL	LOC111592987|XP_023161252.2|DHYD
OG0001988	LOC119661433|XP_037926706.1|HILL	LOC111600571|XP_023172524.2|DHYD, LOC115482818|XP_030078841.1|DHYD
OG0001989	LOC119651051|XP_037910305.1|HILL, LOC119652146|XP_037912018.1|HILL	LOC111599122|XP_023170452.1|DHYD
OG0001990	LOC119653176|XP_037913650.1|HILL, LOC119652300|XP_037912228.1|HILL	LOC111592632|XP_023160739.2|DHYD
OG0001991	LOC119646940|XP_037903558.1|HILL	LOC111594765|XP_023163981.2|DHYD
OG0001992	LOC119647247|XP_037904053.1|HILL	LOC111599306|XP_023170684.2|DHYD
OG0001993	LOC119651039|XP_037910285.1|HILL	LOC111596273|XP_023166180.1|DHYD
OG0001994	LOC119661576|XP_037926903.1|HILL	LOC115483784|XP_030081898.1|DHYD, LOC115483330|XP_030080623.1|DHYD
OG0001995	LOC119652957|XP_037913281.1|HILL	LOC111594779|XP_023164000.2|DHYD
OG0001996	LOC119646634|XP_037903074.1|HILL	LOC111599044|XP_023170328.2|DHYD
OG0001997	LOC119661401|XP_037926657.1|HILL	LOC111593802|XP_023162596.1|DHYD
OG0001998	LOC119646269|XP_037902604.1|HILL	LOC111593786|XP_023162572.2|DHYD
OG0001999	LOC119654824|XP_037916320.1|HILL	LOC111592089|XP_023159884.2|DHYD, LOC115482838|XP_030078932.1|DHYD
OG0002000	LOC119657620|XP_037920554.1|HILL	LOC111595775|XP_023165424.1|DHYD
OG0002001	LOC119651608|XP_037911192.1|HILL	LOC111594205|XP_023163171.1|DHYD
OG0002002	LOC119646462|XP_037902838.1|HILL	LOC111593565|XP_023162195.1|DHYD, LOC111603829|XP_023177359.2|DHYD
