Orthogroup	HILL.longest_only	DEUG.longest_only
OG0000465	LOC119651651|XP_037911257.1|HILL	LOC108117506|XP_017085480.1|DEUG
OG0000466	LOC119652476|XP_037912578.1|HILL	LOC108117044|XP_017084708.1|DEUG
OG0000466	LOC119661330|XP_037926559.1|HILL	LOC108104194|XP_017065627.1|DEUG
OG0000467	LOC119661560|XP_037926879.1|HILL	LOC108112641|XP_017078244.1|DEUG, LOC108112906|XP_017078762.1|DEUG
OG0000468	LOC119660125|XP_037924447.1|HILL	LOC108109366|XP_017073331.1|DEUG
OG0000468	LOC119661743|XP_037927136.1|HILL	LOC108106543|XP_017069185.1|DEUG
OG0000469	LOC119647237|XP_037904027.1|HILL	LOC108104076|XP_017065454.1|DEUG
OG0000469	LOC119656080|XP_037918298.1|HILL	LOC108104055|XP_017065389.1|DEUG
OG0000470	LOC119650356|XP_037908966.1|HILL	LOC108108694|XP_017072288.1|DEUG
OG0000470	LOC119649541|XP_037907656.1|HILL	LOC108114403|XP_017080865.1|DEUG
OG0000471	LOC119646402|XP_037902775.1|HILL, LOC119647055|XP_037903740.1|HILL	LOC108113949|XP_017080154.1|DEUG, LOC108111235|XP_017076127.1|DEUG
OG0000473	LOC119657995|XP_037921141.1|HILL	LOC108103293|XP_017064196.1|DEUG, LOC108103648|XP_017064693.1|DEUG
OG0000474	LOC119657943|XP_037921063.1|HILL	LOC108103488|XP_017064485.1|DEUG, LOC108114006|XP_017080241.1|DEUG
OG0000475	LOC119650677|XP_037909555.1|HILL	LOC108115695|XP_017082753.1|DEUG, LOC108115661|XP_017082708.1|DEUG, LOC108109183|XP_017073107.1|DEUG
OG0000476	LOC119652617|XP_037912785.1|HILL	LOC108110184|XP_017074616.1|DEUG, LOC108110182|XP_017074600.1|DEUG
OG0000476	LOC119650856|XP_037909934.1|HILL	LOC108109580|XP_017073649.1|DEUG
OG0000477	LOC119650705|XP_037909632.1|HILL, LOC119651325|XP_037910788.1|HILL	LOC108109584|XP_017073650.1|DEUG, LOC108109485|XP_017073503.1|DEUG
OG0000478	LOC119661441|XP_037926715.1|HILL	LOC108118348|XP_017086479.1|DEUG, LOC108113618|XP_017079768.1|DEUG
OG0000479	LOC119649774|XP_037908003.1|HILL, LOC119648325|XP_037905946.1|HILL	LOC108109331|XP_017073290.1|DEUG
OG0000480	LOC119656137|XP_037918398.1|HILL	LOC108110665|XP_017075271.1|DEUG, LOC108116268|XP_017083581.1|DEUG, LOC108110998|XP_017075796.1|DEUG
OG0000482	LOC119659577|XP_037923662.1|HILL	LOC108117325|XP_017085185.1|DEUG
OG0000483	LOC119659859|XP_037924096.1|HILL	LOC108116583|XP_017084013.1|DEUG, LOC108116550|XP_017083977.1|DEUG
OG0000484	LOC119658954|XP_037922754.1|HILL, LOC119658953|XP_037922753.1|HILL	LOC108117209|XP_017085014.1|DEUG, LOC108117205|XP_017085009.1|DEUG
OG0000485	LOC119648226|XP_037905772.1|HILL	LOC108108644|XP_017072234.1|DEUG, LOC108108646|XP_017072237.1|DEUG
OG0000486	LOC119653660|XP_037914412.1|HILL	LOC108109199|XP_017073124.1|DEUG, LOC108109197|XP_017073121.1|DEUG
OG0000489	LOC119658089|XP_037921281.1|HILL	LOC108109346|XP_017073294.1|DEUG, LOC108111834|XP_017076928.1|DEUG
OG0000490	LOC119657695|XP_037920656.1|HILL	LOC108118299|XP_017086400.1|DEUG
OG0000490	LOC119658436|XP_037921765.1|HILL	LOC108117718|XP_017085762.1|DEUG
OG0000491	LOC119648261|XP_037905837.1|HILL	LOC108106697|XP_017069418.1|DEUG, LOC108106225|XP_017068640.1|DEUG, LOC108106696|XP_017069417.1|DEUG
OG0000492	LOC119659843|XP_037924069.1|HILL	LOC108104591|XP_017066243.1|DEUG
OG0000492	LOC119659794|XP_037923991.1|HILL	LOC108105147|XP_017067071.1|DEUG
OG0000493	LOC119654907|XP_037916463.1|HILL, LOC119651623|XP_037911213.1|HILL, LOC119654945|XP_037916531.1|HILL, LOC119649021|XP_037906904.1|HILL, LOC119649081|XP_037907006.1|HILL, LOC119657347|XP_037920148.1|HILL, LOC119655031|XP_037916636.1|HILL	LOC108116110|XP_017083321.1|DEUG, LOC108115932|XP_017083057.1|DEUG
OG0000494	LOC119660730|XP_037925321.1|HILL	LOC108105826|XP_017068059.1|DEUG
OG0000495	LOC119647993|XP_037905310.1|HILL	LOC108103670|XP_017064718.1|DEUG, LOC108112202|XP_017077506.1|DEUG
OG0000496	LOC119650970|XP_037910158.1|HILL	LOC108102495|XP_017063001.1|DEUG
OG0000496	LOC119651936|XP_037911713.1|HILL	LOC108104024|XP_017065345.1|DEUG
OG0000497	LOC119661602|XP_037926930.1|HILL	LOC108107146|XP_017070039.1|DEUG
OG0000497	LOC119661786|XP_037927197.1|HILL	LOC108106968|XP_017069755.1|DEUG
OG0000498	LOC119656972|XP_037919630.1|HILL, LOC119648555|XP_037906280.1|HILL, LOC119646198|XP_037902509.1|HILL, LOC119647192|XP_037903932.1|HILL	LOC108116567|XP_017083996.1|DEUG, LOC108109315|XP_017073289.1|DEUG, LOC108116574|XP_017084004.1|DEUG
OG0000499	LOC119655299|XP_037917052.1|HILL	LOC108112866|XP_017078681.1|DEUG
OG0000499	LOC119659001|XP_037922814.1|HILL	LOC108105502|XP_017067615.1|DEUG
OG0000500	LOC119649406|XP_037907469.1|HILL	LOC108108457|XP_017072000.1|DEUG, LOC108108623|XP_017072211.1|DEUG
OG0000504	LOC119649782|XP_037908015.1|HILL	LOC108114636|XP_017081192.1|DEUG
OG0000505	LOC119657570|XP_037920458.1|HILL	LOC108118153|XP_017086199.1|DEUG, LOC108118155|XP_017086203.1|DEUG
OG0000506	LOC119651603|XP_037911184.1|HILL	LOC108113704|XP_017079872.1|DEUG, LOC108113760|XP_017079945.1|DEUG
OG0000507	LOC119648339|XP_037905962.1|HILL	LOC108110139|XP_017074542.1|DEUG
OG0000507	LOC119652182|XP_037912056.1|HILL	LOC108110140|XP_017074543.1|DEUG
OG0000508	LOC119648498|XP_037906193.1|HILL	LOC108102768|XP_017063414.1|DEUG, LOC108104706|XP_017066413.1|DEUG
OG0000509	LOC119658193|XP_037921390.1|HILL	LOC108112856|XP_017078668.1|DEUG
OG0000509	LOC119646503|XP_037902887.1|HILL	LOC108112730|XP_017078457.1|DEUG
OG0000510	LOC119660366|XP_037924803.1|HILL, LOC119660008|XP_037924313.1|HILL	LOC108106460|XP_017069014.1|DEUG, LOC108106459|XP_017069013.1|DEUG
OG0000511	LOC119652776|XP_037913012.1|HILL, LOC119652931|XP_037913249.1|HILL, LOC119652289|XP_037912214.1|HILL	LOC108110365|XP_017074906.1|DEUG, LOC108118436|XP_017086630.1|DEUG
OG0000512	LOC119653845|XP_037914818.1|HILL, LOC119655068|XP_037916690.1|HILL	LOC108112316|XP_017077636.1|DEUG, LOC108114370|XP_017080810.1|DEUG
OG0000513	LOC119652870|XP_037913157.1|HILL, LOC119651212|XP_037910591.1|HILL, LOC119651501|XP_037911047.1|HILL	LOC108106395|XP_017068892.1|DEUG
OG0000513	LOC119651635|XP_037911227.1|HILL	LOC108106964|XP_017069752.1|DEUG
OG0000514	LOC119646131|XP_037902408.1|HILL	LOC108104101|XP_017065487.1|DEUG
OG0000514	LOC119661601|XP_037926929.1|HILL	LOC108104084|XP_017065469.1|DEUG
OG0000515	LOC119660807|XP_037925575.1|HILL	LOC108102383|XP_017062810.1|DEUG
OG0000515	LOC119648428|XP_037906110.1|HILL	LOC108114405|XP_017080869.1|DEUG
OG0000516	LOC119655902|XP_037917986.1|HILL, LOC119655903|XP_037917987.1|HILL	LOC108104336|XP_017065811.1|DEUG, LOC108104330|XP_017065806.1|DEUG
OG0000517	LOC119647446|XP_037904299.1|HILL	LOC108117344|XP_017085207.1|DEUG, LOC108117349|XP_017085213.1|DEUG
OG0000521	LOC119658404|XP_037921721.1|HILL	LOC108106060|XP_017068407.1|DEUG, LOC108106032|XP_017068368.1|DEUG
OG0000522	LOC119656723|XP_037919178.1|HILL	LOC108115121|XP_017081862.1|DEUG, LOC108103026|XP_017063842.1|DEUG
OG0000523	LOC119650710|XP_037909643.1|HILL	LOC108113770|XP_017079957.1|DEUG
OG0000523	LOC119656872|XP_037919458.1|HILL	LOC108117687|XP_017085703.1|DEUG
OG0000524	LOC119651168|XP_037910515.1|HILL	LOC108114639|XP_017081201.1|DEUG, LOC108115701|XP_017082760.1|DEUG, LOC108113792|XP_017079990.1|DEUG, LOC108113779|XP_017079969.1|DEUG
OG0000525	LOC119659179|XP_037923064.1|HILL, LOC119659178|XP_037923063.1|HILL, LOC119659013|XP_037922825.1|HILL	LOC108104605|XP_017066265.1|DEUG, LOC108104555|XP_017066186.1|DEUG
OG0000526	LOC119651156|XP_037910492.1|HILL	LOC108114811|XP_017081421.1|DEUG, LOC108109215|XP_017073149.1|DEUG
OG0000527	LOC119649636|XP_037907814.1|HILL	LOC108110657|XP_017075258.1|DEUG, LOC108111032|XP_017075848.1|DEUG
OG0000528	LOC119656123|XP_037918378.1|HILL, LOC119655675|XP_037917593.1|HILL, LOC119654042|XP_037915133.1|HILL, LOC119654043|XP_037915134.1|HILL	LOC108110490|XP_017075057.1|DEUG
OG0000529	LOC119661253|XP_037926429.1|HILL	LOC108110538|XP_017075108.1|DEUG, LOC108102546|XP_017063095.1|DEUG
OG0000530	LOC119649071|XP_037906991.1|HILL, LOC119648770|XP_037906525.1|HILL	LOC108114155|XP_017080435.1|DEUG, LOC108113616|XP_017079769.1|DEUG
OG0000531	LOC119651247|XP_037910655.1|HILL	LOC108108871|XP_017072578.1|DEUG, LOC108105668|XP_017067857.1|DEUG, LOC108112197|XP_017077500.1|DEUG
OG0000532	LOC119659773|XP_037923962.1|HILL, LOC119659624|XP_037923752.1|HILL, LOC119658879|XP_037922578.1|HILL, LOC119658880|XP_037922579.1|HILL, LOC119660520|XP_037925069.1|HILL	LOC108117098|XP_017084799.1|DEUG, LOC108117086|XP_017084747.1|DEUG
OG0000533	LOC119657802|XP_037920826.1|HILL	LOC108117714|XP_017085758.1|DEUG
OG0000533	LOC119659208|XP_037923104.1|HILL	LOC108109477|XP_017073491.1|DEUG
OG0000535	LOC119654975|XP_037916563.1|HILL	LOC108112462|XP_017077804.1|DEUG, LOC108109288|XP_017073270.1|DEUG
OG0000537	LOC119656131|XP_037918391.1|HILL	LOC108113355|XP_017079408.1|DEUG
OG0000538	LOC119653804|XP_037914750.1|HILL	LOC108113053|XP_017078972.1|DEUG, LOC108104551|XP_017066181.1|DEUG
OG0000539	LOC119659391|XP_037923380.1|HILL	LOC108113537|XP_017079621.1|DEUG
OG0000539	LOC119660385|XP_037924838.1|HILL, LOC119659605|XP_037923704.1|HILL, LOC119660298|XP_037924699.1|HILL	LOC108113649|XP_017079809.1|DEUG
OG0000540	LOC119655990|XP_037918159.1|HILL	LOC108115548|XP_017082544.1|DEUG, LOC108115424|XP_017082349.1|DEUG, LOC108115549|XP_017082545.1|DEUG, LOC108115550|XP_017082546.1|DEUG
OG0000542	LOC119658932|XP_037922694.1|HILL	LOC108113718|XP_017079888.1|DEUG
OG0000542	LOC119659583|XP_037923667.1|HILL	LOC108102311|XP_017062563.1|DEUG
OG0000543	LOC119650586|XP_037909350.1|HILL	LOC108108840|XP_017072537.1|DEUG, LOC108108882|XP_017072589.1|DEUG
OG0000544	LOC119656656|XP_037919055.1|HILL	LOC108114631|XP_017081186.1|DEUG, LOC108115167|XP_017081974.1|DEUG
OG0000545	LOC119651800|XP_037911512.1|HILL, LOC119658244|XP_037921449.1|HILL	LOC108117292|XP_017085137.1|DEUG, LOC108117263|XP_017085105.1|DEUG
OG0000546	LOC119657382|XP_037920195.1|HILL	LOC108116177|XP_017083407.1|DEUG, LOC108102901|XP_017063608.1|DEUG
OG0000547	LOC119647208|XP_037903959.1|HILL	LOC108111865|XP_017076979.1|DEUG, LOC108111045|XP_017075862.1|DEUG
OG0000548	LOC119648167|XP_037905674.1|HILL	LOC108114171|XP_017080455.1|DEUG, LOC108114172|XP_017080456.1|DEUG
OG0000549	LOC119660128|XP_037924458.1|HILL	LOC108109191|XP_017073115.1|DEUG
OG0000550	LOC119650203|XP_037908697.1|HILL	LOC108104653|XP_017066321.1|DEUG, LOC108105269|XP_017067238.1|DEUG, LOC108104657|XP_017066328.1|DEUG
OG0000551	LOC119661503|XP_037926798.1|HILL	LOC108112494|XP_017077851.1|DEUG
OG0000551	LOC119661514|XP_037926818.1|HILL	LOC108112497|XP_017077865.1|DEUG
OG0000552	LOC119657020|XP_037919696.1|HILL, LOC119657023|XP_037919700.1|HILL, LOC119657073|XP_037919758.1|HILL, LOC119656915|XP_037919535.1|HILL	LOC108111351|XP_017076272.1|DEUG, LOC108111451|XP_017076411.1|DEUG
OG0000553	LOC119652353|XP_037912361.1|HILL, LOC119651107|XP_037910399.1|HILL, LOC119652197|XP_037912068.1|HILL, LOC119652782|XP_037913025.1|HILL, LOC119652904|XP_037913208.1|HILL, LOC119652988|XP_037913340.1|HILL, LOC119653119|XP_037913572.1|HILL, LOC119652708|XP_037912917.1|HILL, LOC119652693|XP_037912898.1|HILL, LOC119651106|XP_037910398.1|HILL	LOC108110939|XP_017075722.1|DEUG
OG0000554	LOC119651856|XP_037911586.1|HILL, LOC119652805|XP_037913057.1|HILL	LOC108116704|XP_017084210.1|DEUG, LOC108116705|XP_017084211.1|DEUG
OG0000555	LOC119648055|XP_037905444.1|HILL	LOC108104636|XP_017066299.1|DEUG, LOC108107775|XP_017070959.1|DEUG
OG0000556	LOC119659049|XP_037922885.1|HILL	LOC108105371|XP_017067396.1|DEUG, LOC108116500|XP_017083922.1|DEUG
OG0000557	LOC119659626|XP_037923754.1|HILL	LOC108111741|XP_017076783.1|DEUG, LOC108111736|XP_017076779.1|DEUG
OG0000558	LOC119659239|XP_037923147.1|HILL	LOC108116321|XP_017083617.1|DEUG, LOC108104947|XP_017066800.1|DEUG
OG0000559	LOC119647433|XP_037904272.1|HILL	LOC108112189|XP_017077528.1|DEUG
OG0000560	LOC119654637|XP_037916040.1|HILL	LOC108113247|XP_017079283.1|DEUG, LOC108113246|XP_017079281.1|DEUG
OG0000561	LOC119650153|XP_037908622.1|HILL	LOC108108172|XP_017071603.1|DEUG, LOC108107573|XP_017070622.1|DEUG
OG0000562	LOC119649585|XP_037907718.1|HILL	LOC108114401|XP_017080863.1|DEUG, LOC108114579|XP_017081122.1|DEUG
OG0000564	LOC119649867|XP_037908166.1|HILL, LOC119648690|XP_037906417.1|HILL, LOC119650426|XP_037909168.1|HILL, LOC119648337|XP_037905960.1|HILL, LOC119648889|XP_037906714.1|HILL, LOC119649866|XP_037908165.1|HILL	LOC108114025|XP_017080262.1|DEUG, LOC108113996|XP_017080229.1|DEUG
OG0000566	LOC119660791|XP_037925522.1|HILL	LOC108117297|XP_017085145.1|DEUG, LOC108108062|XP_017071427.1|DEUG
OG0000567	LOC119657916|XP_037921030.1|HILL	LOC108103197|XP_017064074.1|DEUG
OG0000567	LOC119658459|XP_037921792.1|HILL	LOC108103213|XP_017064097.1|DEUG
OG0000568	LOC119651423|XP_037910946.1|HILL	LOC108104311|XP_017065784.1|DEUG, LOC108115030|XP_017081764.1|DEUG
OG0000569	LOC119652715|XP_037912930.1|HILL	LOC108117015|XP_017084672.1|DEUG
OG0000570	LOC119651757|XP_037911423.1|HILL, LOC119651789|XP_037911477.1|HILL	LOC108116717|XP_017084227.1|DEUG, LOC108116695|XP_017084198.1|DEUG
OG0000571	LOC119650737|XP_037909726.1|HILL	LOC108116057|XP_017083247.1|DEUG, LOC108115998|XP_017083159.1|DEUG
OG0000572	LOC119656874|XP_037919466.1|HILL	LOC108116814|XP_017084352.1|DEUG, LOC108116825|XP_017084364.1|DEUG
OG0000573	LOC119647662|XP_037904661.1|HILL	LOC108108099|XP_017071489.1|DEUG, LOC108109145|XP_017073037.1|DEUG
OG0000574	LOC119648800|XP_037906577.1|HILL	LOC108114187|XP_017080485.1|DEUG, LOC108117259|XP_017085099.1|DEUG
OG0000575	LOC119649338|XP_037907372.1|HILL	LOC108108107|XP_017071505.1|DEUG, LOC108108142|XP_017071558.1|DEUG
OG0000576	LOC119654044|XP_037915135.1|HILL, LOC119656149|XP_037918413.1|HILL	LOC108116190|XP_017083420.1|DEUG, LOC108116188|XP_017083418.1|DEUG, LOC108116187|XP_017083417.1|DEUG
OG0000577	LOC119647125|XP_037903840.1|HILL	LOC108107018|XP_017069854.1|DEUG
OG0000578	LOC119653922|XP_037915010.1|HILL	LOC108110704|XP_017075336.1|DEUG, LOC108113167|XP_017079171.1|DEUG
OG0000579	LOC119649997|XP_037908386.1|HILL	LOC108116830|XP_017084370.1|DEUG, LOC108114503|XP_017081011.1|DEUG
OG0000580	LOC119659551|XP_037923629.1|HILL	LOC108116459|XP_017083877.1|DEUG, LOC108116414|XP_017083787.1|DEUG
OG0000581	LOC119660219|XP_037924581.1|HILL	LOC108110214|XP_017074681.1|DEUG
OG0000581	LOC119656791|XP_037919319.1|HILL	LOC108102943|XP_017063702.1|DEUG
OG0000582	LOC119654484|XP_037915832.1|HILL	LOC108116844|XP_017084432.1|DEUG, LOC108114379|XP_017080823.1|DEUG
OG0000582	LOC119655822|XP_037917856.1|HILL	LOC108109179|XP_017073096.1|DEUG
OG0000583	LOC119652023|XP_037911888.1|HILL	LOC108109046|XP_017072834.1|DEUG, LOC108109045|XP_017072832.1|DEUG
OG0000590	LOC119657678|XP_037920635.1|HILL	LOC108110396|XP_017074945.1|DEUG
OG0000592	LOC119659301|XP_037923242.1|HILL	LOC108113022|XP_017078939.1|DEUG, LOC108106343|XP_017068812.1|DEUG
OG0000593	LOC119657963|XP_037921095.1|HILL	LOC108115956|XP_017083082.1|DEUG, LOC108104940|XP_017066791.1|DEUG
OG0000594	LOC119650603|XP_037909390.1|HILL	LOC108116047|XP_017083234.1|DEUG, LOC108111724|XP_017076766.1|DEUG, LOC108114825|XP_017081448.1|DEUG
OG0000595	LOC119656301|XP_037918671.1|HILL	LOC108115988|XP_017083137.1|DEUG
OG0000596	LOC119660452|XP_037924939.1|HILL	LOC108105413|XP_017067450.1|DEUG, LOC108116276|XP_017083552.1|DEUG, LOC108110693|XP_017075316.1|DEUG
OG0000597	LOC119649414|XP_037907516.1|HILL	LOC108117476|XP_017085387.1|DEUG, LOC108104001|XP_017065280.1|DEUG
OG0000598	LOC119658412|XP_037921737.1|HILL, LOC119658411|XP_037921736.1|HILL	LOC108116917|XP_017084545.1|DEUG
OG0000599	LOC119648545|XP_037906242.1|HILL	LOC108107664|XP_017070741.1|DEUG
OG0000599	LOC119649853|XP_037908137.1|HILL	LOC108104715|XP_017066425.1|DEUG
OG0000600	LOC119649439|XP_037907520.1|HILL	LOC108113328|XP_017079374.1|DEUG, LOC108113283|XP_017079321.1|DEUG
OG0000601	LOC119651174|XP_037910521.1|HILL	LOC108107110|XP_017069988.1|DEUG, LOC108110865|XP_017075601.1|DEUG
OG0000602	LOC119652820|XP_037913075.1|HILL	LOC108111242|XP_017076134.1|DEUG, LOC108110493|XP_017075061.1|DEUG
OG0000603	LOC119648835|XP_037906632.1|HILL	LOC108117040|XP_017084699.1|DEUG, LOC108110507|XP_017075076.1|DEUG, LOC108106149|XP_017068538.1|DEUG
OG0000604	LOC119646162|XP_037902463.1|HILL	LOC108110868|XP_017075604.1|DEUG, LOC108110870|XP_017075605.1|DEUG
OG0000605	LOC119648165|XP_037905672.1|HILL, LOC119648166|XP_037905673.1|HILL, LOC119646796|XP_037903313.1|HILL, LOC119646425|XP_037902800.1|HILL	LOC108115505|XP_017082486.1|DEUG
OG0000606	LOC119654719|XP_037916167.1|HILL	LOC108115657|XP_017082705.1|DEUG
OG0000607	LOC119658756|XP_037922377.1|HILL	LOC108117020|XP_017084677.1|DEUG, LOC108117278|XP_017085120.1|DEUG, LOC108110244|XP_017074720.1|DEUG
OG0000608	LOC119660519|XP_037925068.1|HILL	LOC108113538|XP_017079622.1|DEUG, LOC108113572|XP_017079653.1|DEUG
OG0000609	LOC119656119|XP_037918372.1|HILL	LOC108110750|XP_017075452.1|DEUG, LOC108110310|XP_017074809.1|DEUG
OG0000610	LOC119649121|XP_037907051.1|HILL, LOC119649122|XP_037907055.1|HILL	LOC108108627|XP_017072216.1|DEUG, LOC108112393|XP_017077723.1|DEUG
OG0000611	LOC119653447|XP_037913970.1|HILL	LOC108109142|XP_017073029.1|DEUG, LOC108113308|XP_017079349.1|DEUG
OG0000614	LOC119656554|XP_037918852.1|HILL	LOC108111298|XP_017076180.1|DEUG, LOC108109678|XP_017073757.1|DEUG
OG0000615	LOC119660425|XP_037924901.1|HILL	LOC108109938|XP_017074228.1|DEUG, LOC108110053|XP_017074421.1|DEUG
OG0000616	LOC119658084|XP_037921275.1|HILL	LOC108109997|XP_017074322.1|DEUG, LOC108110001|XP_017074327.1|DEUG
OG0000617	LOC119657838|XP_037920889.1|HILL	LOC108115802|XP_017082876.1|DEUG, LOC108111820|XP_017076917.1|DEUG
OG0000618	LOC119661044|XP_037926164.1|HILL	LOC108108749|XP_017072394.1|DEUG
OG0000619	LOC119651694|XP_037911332.1|HILL, LOC119651645|XP_037911248.1|HILL, LOC119651681|XP_037911308.1|HILL, LOC119661509|XP_037926807.1|HILL, LOC119660050|XP_037924358.1|HILL, LOC119651560|XP_037911121.1|HILL, LOC119652374|XP_037912399.1|HILL, LOC119651320|XP_037910781.1|HILL, LOC119652003|XP_037911861.1|HILL	LOC108111979|XP_017077181.1|DEUG
OG0000620	LOC119648679|XP_037906400.1|HILL	LOC108105014|XP_017066902.1|DEUG, LOC108117355|XP_017085222.1|DEUG
OG0000621	LOC119657646|XP_037920585.1|HILL	LOC108117147|XP_017084894.1|DEUG, LOC108105470|XP_017067558.1|DEUG
OG0000622	LOC119648724|XP_037906463.1|HILL	LOC108114602|XP_017081151.1|DEUG, LOC108108321|XP_017071838.1|DEUG
OG0000623	LOC119660837|XP_037925637.1|HILL	LOC108102839|XP_017063521.1|DEUG
OG0000624	LOC119661506|XP_037926802.1|HILL	LOC108113155|XP_017079153.1|DEUG, LOC108113154|XP_017079152.1|DEUG
OG0000625	LOC119647703|XP_037904716.1|HILL	LOC108107929|XP_017071244.1|DEUG, LOC108107930|XP_017071248.1|DEUG
OG0000626	LOC119659286|XP_037923227.1|HILL	LOC108104769|XP_017066494.1|DEUG, LOC108109243|XP_017073209.1|DEUG
OG0000627	LOC119659638|XP_037923770.1|HILL	LOC108108604|XP_017072192.1|DEUG, LOC108110276|XP_017074751.1|DEUG
OG0000628	LOC119651049|XP_037910302.1|HILL	LOC108110580|XP_017075165.1|DEUG, LOC108110804|XP_017075523.1|DEUG
OG0000629	LOC119648529|XP_037906227.1|HILL	LOC108116526|XP_017083953.1|DEUG, LOC108115487|XP_017082461.1|DEUG
OG0000630	LOC119651180|XP_037910537.1|HILL	LOC108107029|XP_017069866.1|DEUG, LOC108107090|XP_017069956.1|DEUG
OG0000631	LOC119652812|XP_037913063.1|HILL	LOC108104117|XP_017065506.1|DEUG, LOC108105175|XP_017067115.1|DEUG
OG0000632	LOC119646777|XP_037903288.1|HILL	LOC108102667|XP_017063296.1|DEUG, LOC108102530|XP_017063056.1|DEUG
OG0000633	LOC119647661|XP_037904660.1|HILL, LOC119649813|XP_037908072.1|HILL	LOC108105626|XP_017067836.1|DEUG
OG0000634	LOC119654420|XP_037915738.1|HILL	LOC108112903|XP_017078749.1|DEUG
OG0000635	LOC119654737|XP_037916196.1|HILL	LOC108109171|XP_017073084.1|DEUG, LOC108115221|XP_017082066.1|DEUG
OG0000636	LOC119655022|XP_037916625.1|HILL	LOC108106897|XP_017069635.1|DEUG, LOC108106905|XP_017069643.1|DEUG
OG0000637	LOC119654896|XP_037916444.1|HILL	LOC108103691|XP_017064769.1|DEUG, LOC108103690|XP_017064768.1|DEUG
OG0000638	LOC119655413|XP_037917226.1|HILL	LOC108116715|XP_017084225.1|DEUG, LOC108103947|XP_017065200.1|DEUG
OG0000639	LOC119650418|XP_037909141.1|HILL	LOC108114134|XP_017080399.1|DEUG
OG0000642	LOC119660062|XP_037924369.1|HILL	LOC108105728|XP_017067931.1|DEUG
OG0000644	LOC119661516|XP_037926820.1|HILL	LOC108114651|XP_017081212.1|DEUG, LOC108114007|XP_017080242.1|DEUG, LOC108113919|XP_017080114.1|DEUG
OG0000645	LOC119655188|XP_037916881.1|HILL, LOC119654809|XP_037916292.1|HILL, LOC119653941|XP_037915029.1|HILL, LOC119656165|XP_037918438.1|HILL, LOC119656265|XP_037918614.1|HILL	LOC108102610|XP_017063203.1|DEUG, LOC108113184|XP_017079200.1|DEUG
OG0000646	LOC119652293|XP_037912218.1|HILL	LOC108116686|XP_017084188.1|DEUG, LOC108116025|XP_017083201.1|DEUG
OG0000647	LOC119657425|XP_037920255.1|HILL	LOC108115405|XP_017082332.1|DEUG, LOC108104307|XP_017065774.1|DEUG
OG0000648	LOC119657729|XP_037920700.1|HILL	LOC108105322|XP_017067304.1|DEUG
OG0000649	LOC119656729|XP_037919190.1|HILL	LOC108109958|XP_017074262.1|DEUG, LOC108109965|XP_017074270.1|DEUG
OG0000650	LOC119656608|XP_037918973.1|HILL	LOC108116610|XP_017084063.1|DEUG
OG0000650	LOC119660809|XP_037925577.1|HILL	LOC108102382|XP_017062809.1|DEUG
OG0000651	LOC119651087|XP_037910365.1|HILL	LOC108114205|XP_017080513.1|DEUG, LOC108108089|XP_017071469.1|DEUG
OG0000652	LOC119647563|XP_037904526.1|HILL	LOC108113185|XP_017079201.1|DEUG, LOC108104435|XP_017065982.1|DEUG
OG0000653	LOC119652971|XP_037913303.1|HILL	LOC108111757|XP_017076803.1|DEUG, LOC108115014|XP_017081744.1|DEUG
OG0000654	LOC119648654|XP_037906354.1|HILL	LOC108114343|XP_017080764.1|DEUG
OG0000655	LOC119661453|XP_037926732.1|HILL	LOC108112546|XP_017077971.1|DEUG, LOC108102558|XP_017063118.1|DEUG
OG0000656	LOC119659574|XP_037923659.1|HILL	LOC108111793|XP_017076871.1|DEUG, LOC108111794|XP_017076872.1|DEUG
OG0000657	LOC119647275|XP_037904095.1|HILL	LOC108104638|XP_017066303.1|DEUG
OG0000657	LOC119661159|XP_037926303.1|HILL, LOC119651892|XP_037911641.1|HILL	LOC108111009|XP_017075810.1|DEUG
OG0000658	LOC119653510|XP_037914098.1|HILL	LOC108105385|XP_017067418.1|DEUG, LOC108116173|XP_017083402.1|DEUG
OG0000660	LOC119646862|XP_037903412.1|HILL	LOC108111148|XP_017076005.1|DEUG
OG0000661	LOC119658210|XP_037921405.1|HILL	LOC108102739|XP_017063377.1|DEUG, LOC108102586|XP_017063176.1|DEUG
OG0000662	LOC119649469|XP_037907554.1|HILL	LOC108108110|XP_017071509.1|DEUG, LOC108117089|XP_017084776.1|DEUG
OG0000664	LOC119653762|XP_037914671.1|HILL	LOC108110316|XP_017074818.1|DEUG
OG0000665	LOC119660145|XP_037924473.1|HILL	LOC108113690|XP_017079855.1|DEUG, LOC108113805|XP_017080003.1|DEUG
OG0000666	LOC119659675|XP_037923827.1|HILL	LOC108109163|XP_017073075.1|DEUG, LOC108117598|XP_017085603.1|DEUG
OG0000667	LOC119659459|XP_037923471.1|HILL	LOC108102454|XP_017062949.1|DEUG, LOC108116415|XP_017083789.1|DEUG
OG0000668	LOC119658829|XP_037922491.1|HILL	LOC108116182|XP_017083415.1|DEUG, LOC108116873|XP_017084453.1|DEUG
OG0000670	LOC119654928|XP_037916507.1|HILL	LOC108105499|XP_017067607.1|DEUG, LOC108110330|XP_017074850.1|DEUG
OG0000671	LOC119660816|XP_037925587.1|HILL	LOC108110149|XP_017074553.1|DEUG, LOC108116077|XP_017083284.1|DEUG
