Orthogroup	HILL.longest_only	SLEB.longest_only
OG0000696	LOC119661444|XP_037926717.1|HILL	LOC115631207|XP_030383771.1|SLEB
OG0000697	LOC119650562|XP_037909296.1|HILL	LOC115626630|XP_030377894.1|SLEB
OG0000698	LOC119658246|XP_037921452.1|HILL	LOC115631784|XP_030384478.1|SLEB
OG0000698	LOC119647067|XP_037903752.1|HILL	LOC115631797|XP_030384494.1|SLEB
OG0000699	LOC119651230|XP_037910634.1|HILL	LOC115631361|XP_030383939.1|SLEB, LOC115621427|XP_030370939.1|SLEB
OG0000700	LOC119646407|XP_037902779.1|HILL	LOC115630522|XP_030382986.1|SLEB
OG0000701	LOC119646960|XP_037903587.1|HILL	LOC115633828|XP_030387176.1|SLEB, LOC115627353|XP_030378861.1|SLEB
OG0000702	LOC119660330|XP_037924740.1|HILL	LOC115623432|XP_030373638.1|SLEB, LOC115623431|XP_030373622.1|SLEB
OG0000703	LOC119654345|XP_037915612.1|HILL	LOC115626522|XP_030377762.1|SLEB, LOC115632207|XP_030385123.1|SLEB
OG0000704	LOC119656221|XP_037918548.1|HILL	LOC115629751|XP_030382150.1|SLEB, LOC115620514|XP_030369639.1|SLEB
OG0000705	LOC119647711|XP_037904729.1|HILL	LOC115632166|XP_030385053.1|SLEB
OG0000707	LOC119653490|XP_037914046.1|HILL	LOC115634062|XP_030387466.1|SLEB, LOC115628046|XP_030379850.1|SLEB
OG0000708	LOC119656653|XP_037919046.1|HILL	LOC115627708|XP_030379316.1|SLEB, LOC115627653|XP_030379253.1|SLEB
OG0000709	LOC119653532|XP_037914134.1|HILL	LOC115621323|XP_030370803.1|SLEB, LOC115626872|XP_030378240.1|SLEB
OG0000710	LOC119654565|XP_037915943.1|HILL	LOC115623330|XP_030373453.1|SLEB, LOC115634159|XP_030387599.1|SLEB
OG0000711	LOC119656215|XP_037918541.1|HILL	LOC115622779|XP_030372697.1|SLEB, LOC115621892|XP_030371581.1|SLEB, LOC115629865|XP_030382313.1|SLEB
OG0000713	LOC119655497|XP_037917327.1|HILL	LOC115621208|XP_030370649.1|SLEB, LOC115628094|XP_030379931.1|SLEB
OG0000714	LOC119648844|XP_037906647.1|HILL	LOC115633315|XP_030386605.1|SLEB, LOC115623265|XP_030373395.1|SLEB
OG0000716	LOC119649173|XP_037907129.1|HILL	LOC115633996|XP_030387379.1|SLEB, LOC115624701|XP_030375377.1|SLEB
OG0000717	LOC119646150|XP_037902445.1|HILL, LOC119648535|XP_037906231.1|HILL, LOC119650388|XP_037909075.1|HILL, LOC119648930|XP_037906771.1|HILL	LOC115632838|XP_030385954.1|SLEB
OG0000718	LOC119660961|XP_037925932.1|HILL	LOC115627755|XP_030379400.1|SLEB
OG0000719	LOC119649989|XP_037908372.1|HILL, LOC119649354|XP_037907390.1|HILL	LOC115622473|XP_030372276.1|SLEB, LOC115622387|XP_030372171.1|SLEB
OG0000724	LOC119657926|XP_037921041.1|HILL	LOC115633429|XP_030386749.1|SLEB, LOC115626300|XP_030377488.1|SLEB
OG0000726	LOC119653055|XP_037913462.1|HILL	LOC115624214|XP_030374686.1|SLEB
OG0000727	LOC119658886|XP_037922601.1|HILL	LOC115624337|XP_030374846.1|SLEB, LOC115624335|XP_030374844.1|SLEB
OG0000728	LOC119650595|XP_037909372.1|HILL	LOC115630207|XP_030382636.1|SLEB
OG0000729	LOC119652827|XP_037913083.1|HILL	LOC115620938|XP_030370310.1|SLEB, LOC115620939|XP_030370311.1|SLEB
OG0000730	LOC119647745|XP_037904788.1|HILL	LOC115632855|XP_030385975.1|SLEB
OG0000731	LOC119646681|XP_037903161.1|HILL	LOC115622743|XP_030372650.1|SLEB, LOC115633836|XP_030387186.1|SLEB
OG0000732	LOC119648801|XP_037906578.1|HILL	LOC115632506|XP_030385555.1|SLEB, LOC115632505|XP_030385554.1|SLEB
OG0000733	LOC119648378|XP_037906038.1|HILL	LOC115621490|XP_030371018.1|SLEB, LOC115622518|XP_030372333.1|SLEB
OG0000734	LOC119650154|XP_037908624.1|HILL	LOC115629183|XP_030381425.1|SLEB, LOC115622143|XP_030371864.1|SLEB
OG0000735	LOC119651169|XP_037910516.1|HILL	LOC115627337|XP_030378842.1|SLEB
OG0000736	LOC119651873|XP_037911608.1|HILL	LOC115630795|XP_030383313.1|SLEB, LOC115630588|XP_030383066.1|SLEB
OG0000738	LOC119651288|XP_037910731.1|HILL	LOC115630461|XP_030382886.1|SLEB, LOC115626486|XP_030377730.1|SLEB
OG0000739	LOC119659661|XP_037923798.1|HILL	LOC115623627|XP_030373927.1|SLEB
OG0000740	LOC119660242|XP_037924623.1|HILL	LOC115628455|XP_030380428.1|SLEB
OG0000741	LOC119660617|XP_037925245.1|HILL	LOC115628044|XP_030379847.1|SLEB
OG0000742	LOC119655245|XP_037916962.1|HILL	LOC115627583|XP_030379167.1|SLEB, LOC115627481|XP_030379020.1|SLEB
OG0000743	LOC119647882|XP_037905097.1|HILL	LOC115633054|XP_030386259.1|SLEB, LOC115634620|XP_030388329.1|SLEB
OG0000744	LOC119654872|XP_037916395.1|HILL, LOC119655078|XP_037916705.1|HILL, LOC119655079|XP_037916706.1|HILL, LOC119653866|XP_037914852.1|HILL	LOC115629175|XP_030381413.1|SLEB
OG0000745	LOC119659729|XP_037923913.1|HILL, LOC119657154|XP_037919858.1|HILL	LOC115634146|XP_030387579.1|SLEB, LOC115627071|XP_030378479.1|SLEB, LOC115634664|XP_030388387.1|SLEB
OG0000746	LOC119654765|XP_037916233.1|HILL	LOC115633815|XP_030387160.1|SLEB, LOC115620015|XP_030368977.1|SLEB
OG0000747	LOC119653703|XP_037914507.1|HILL	LOC115632487|XP_030385525.1|SLEB, LOC115632957|XP_030386116.1|SLEB
OG0000748	LOC119657475|XP_037920323.1|HILL	LOC115630703|XP_030383216.1|SLEB, LOC115626976|XP_030378352.1|SLEB
OG0000750	LOC119649340|XP_037907375.1|HILL, LOC119649569|XP_037907732.1|HILL, LOC119651028|XP_037910304.1|HILL, LOC119651099|XP_037910421.1|HILL	LOC115625460|XP_030376367.1|SLEB, LOC115625461|XP_030376368.1|SLEB
OG0000753	LOC119651896|XP_037911650.1|HILL	LOC115621110|XP_030370512.1|SLEB
OG0000754	LOC119657544|XP_037920415.1|HILL	LOC115627163|XP_030378607.1|SLEB, LOC115627856|XP_030379577.1|SLEB
OG0000755	LOC119652498|XP_037912609.1|HILL	LOC115620993|XP_030370373.1|SLEB, LOC115620992|XP_030370371.1|SLEB
OG0000756	LOC119651830|XP_037911552.1|HILL	LOC115629548|XP_030381890.1|SLEB
OG0000757	LOC119647880|XP_037905096.1|HILL	LOC115630488|XP_030382932.1|SLEB, LOC115628322|XP_030380237.1|SLEB
OG0000758	LOC119648790|XP_037906564.1|HILL	LOC115624504|XP_030375069.1|SLEB
OG0000759	LOC119648906|XP_037906739.1|HILL	LOC115632664|XP_030385757.1|SLEB, LOC115632137|XP_030385012.1|SLEB
OG0000760	LOC119661608|XP_037926952.1|HILL	LOC115634764|XP_030388519.1|SLEB
OG0000760	LOC119651140|XP_037910471.1|HILL	LOC115633671|XP_030386976.1|SLEB
OG0000761	LOC119650713|XP_037909650.1|HILL	LOC115631320|XP_030383897.1|SLEB, LOC115632011|XP_030384801.1|SLEB
OG0000762	LOC119661373|XP_037926619.1|HILL	LOC115625652|XP_030376640.1|SLEB
OG0000763	LOC119646339|XP_037902693.1|HILL, LOC119647079|XP_037903764.1|HILL	LOC115630747|XP_030383261.1|SLEB, LOC115630695|XP_030383207.1|SLEB
OG0000764	LOC119654962|XP_037916548.1|HILL	LOC115621927|XP_030371631.1|SLEB
OG0000765	LOC119654298|XP_037915532.1|HILL	LOC115628365|XP_030380302.1|SLEB, LOC115627771|XP_030379429.1|SLEB
OG0000766	LOC119654919|XP_037916494.1|HILL	LOC115629736|XP_030382131.1|SLEB
OG0000767	LOC119649895|XP_037908215.1|HILL	LOC115625324|XP_030376207.1|SLEB, LOC115628797|XP_030380869.1|SLEB
OG0000768	LOC119650429|XP_037909174.1|HILL	LOC115627924|XP_030379678.1|SLEB, LOC115629400|XP_030381717.1|SLEB
OG0000769	LOC119657753|XP_037920735.1|HILL	LOC115627782|XP_030379452.1|SLEB
OG0000770	LOC119661185|XP_037926332.1|HILL, LOC119653991|XP_037915091.1|HILL, LOC119661671|XP_037927036.1|HILL, LOC119653978|XP_037915071.1|HILL, LOC119654016|XP_037915109.1|HILL, LOC119653984|XP_037915075.1|HILL, LOC119658450|XP_037921786.1|HILL	LOC115628059|XP_030379884.1|SLEB
OG0000771	LOC119658887|XP_037922605.1|HILL	LOC115632497|XP_030385534.1|SLEB
OG0000772	LOC119647072|XP_037903758.1|HILL, LOC119646422|XP_037902795.1|HILL, LOC119661462|XP_037926751.1|HILL, LOC119646139|XP_037902424.1|HILL	LOC115634665|XP_030388384.1|SLEB
OG0000774	LOC119657784|XP_037920791.1|HILL	LOC115634000|XP_030387384.1|SLEB
OG0000778	LOC119657401|XP_037920220.1|HILL, LOC119657973|XP_037921113.1|HILL	LOC115620701|XP_030369933.1|SLEB, LOC115628096|XP_030379935.1|SLEB
OG0000779	LOC119657107|XP_037919794.1|HILL	LOC115626746|XP_030378057.1|SLEB
OG0000780	LOC119657989|XP_037921134.1|HILL	LOC115623469|XP_030373696.1|SLEB
OG0000781	LOC119658295|XP_037921520.1|HILL	LOC115626655|XP_030377922.1|SLEB, LOC115632546|XP_030385621.1|SLEB
OG0000782	LOC119657096|XP_037919779.1|HILL	LOC115623231|XP_030373340.1|SLEB, LOC115629137|XP_030381342.1|SLEB
OG0000783	LOC119657280|XP_037920052.1|HILL	LOC115633212|XP_030386459.1|SLEB
OG0000784	LOC119646893|XP_037903460.1|HILL	LOC115632956|XP_030386115.1|SLEB, LOC115622106|XP_030371808.1|SLEB, LOC115628703|XP_030380744.1|SLEB
OG0000785	LOC119652372|XP_037912397.1|HILL, LOC119651286|XP_037910728.1|HILL	LOC115621118|XP_030370522.1|SLEB
OG0000786	LOC119650690|XP_037909584.1|HILL	LOC115620536|XP_030369671.1|SLEB
OG0000787	LOC119649883|XP_037908188.1|HILL	LOC115632438|XP_030385442.1|SLEB, LOC115629947|XP_030382416.1|SLEB
OG0000788	LOC119647630|XP_037904613.1|HILL	LOC115631634|XP_030384303.1|SLEB, LOC115628252|XP_030380128.1|SLEB
OG0000789	LOC119651528|XP_037911088.1|HILL	LOC115629061|XP_030381237.1|SLEB, LOC115629060|XP_030381236.1|SLEB
OG0000790	LOC119658287|XP_037921510.1|HILL	LOC115628530|XP_030380551.1|SLEB
OG0000791	LOC119653209|XP_037913704.1|HILL	LOC115629879|XP_030382336.1|SLEB, LOC115621525|XP_030371051.1|SLEB
OG0000793	LOC119659841|XP_037924067.1|HILL	LOC115623565|XP_030373822.1|SLEB
OG0000794	LOC119658328|XP_037921598.1|HILL, LOC119661720|XP_037927102.1|HILL	LOC115629864|XP_030382312.1|SLEB
OG0000795	LOC119654215|XP_037915356.1|HILL	LOC115629651|XP_030382021.1|SLEB, LOC115625331|XP_030376215.1|SLEB
OG0000796	LOC119654527|XP_037915899.1|HILL	LOC115620420|XP_030369504.1|SLEB, LOC115626807|XP_030378137.1|SLEB
OG0000797	LOC119659393|XP_037923383.1|HILL	LOC115623362|XP_030373508.1|SLEB
OG0000798	LOC119653731|XP_037914572.1|HILL	LOC115626864|XP_030378234.1|SLEB, LOC115628315|XP_030380233.1|SLEB
OG0000799	LOC119653680|XP_037914462.1|HILL	LOC115622877|XP_030372826.1|SLEB, LOC115629792|XP_030382211.1|SLEB
OG0000801	LOC119655634|XP_037917534.1|HILL	LOC115626800|XP_030378133.1|SLEB
OG0000802	LOC119655789|XP_037917810.1|HILL	LOC115628822|XP_030380912.1|SLEB
OG0000803	LOC119661390|XP_037926641.1|HILL	LOC115630694|XP_030383206.1|SLEB, LOC115622649|XP_030372516.1|SLEB
OG0000804	LOC119655918|XP_037918011.1|HILL	LOC115623042|XP_030373079.1|SLEB, LOC115622933|XP_030372921.1|SLEB
OG0000805	LOC119658085|XP_037921276.1|HILL	LOC115633725|XP_030387052.1|SLEB, LOC115633387|XP_030386694.1|SLEB, LOC115633782|XP_030387119.1|SLEB, LOC115631591|XP_030384252.1|SLEB
OG0000807	LOC119651447|XP_037910980.1|HILL	LOC115626077|XP_030377190.1|SLEB
OG0000810	LOC119652580|XP_037912724.1|HILL	LOC115633165|XP_030386437.1|SLEB
OG0000811	LOC119659042|XP_037922871.1|HILL	LOC115634013|XP_030387397.1|SLEB, LOC115627523|XP_030379086.1|SLEB
OG0000812	LOC119647943|XP_037905233.1|HILL	LOC115628035|XP_030379838.1|SLEB
OG0000813	LOC119659686|XP_037923852.1|HILL	LOC115621588|XP_030371142.1|SLEB
OG0000813	LOC119649371|XP_037907416.1|HILL	LOC115631533|XP_030384166.1|SLEB
OG0000814	LOC119646163|XP_037902464.1|HILL, LOC119661727|XP_037927120.1|HILL, LOC119646661|XP_037903122.1|HILL, LOC119646655|XP_037903113.1|HILL, LOC119661251|XP_037926427.1|HILL, LOC119660561|XP_037925132.1|HILL	LOC115631370|XP_030383951.1|SLEB
OG0000815	LOC119661476|XP_037926767.1|HILL, LOC119652622|XP_037912797.1|HILL	LOC115628494|XP_030380489.1|SLEB
OG0000816	LOC119652594|XP_037912747.1|HILL, LOC119646619|XP_037903054.1|HILL	LOC115626829|XP_030378170.1|SLEB, LOC115623329|XP_030373452.1|SLEB
OG0000818	LOC119653492|XP_037914048.1|HILL	LOC115627273|XP_030378763.1|SLEB, LOC115627208|XP_030378687.1|SLEB
OG0000819	LOC119655961|XP_037918111.1|HILL	LOC115629908|XP_030382373.1|SLEB, LOC115629909|XP_030382374.1|SLEB
OG0000820	LOC119654911|XP_037916472.1|HILL	LOC115629748|XP_030382144.1|SLEB, LOC115633748|XP_030387083.1|SLEB
OG0000821	LOC119649066|XP_037906982.1|HILL	LOC115634734|XP_030388480.1|SLEB
OG0000824	LOC119661374|XP_037926621.1|HILL	LOC115634217|XP_030387667.1|SLEB, LOC115631358|XP_030383935.1|SLEB, LOC115631355|XP_030383932.1|SLEB
OG0000830	LOC119657934|XP_037921050.1|HILL, LOC119652615|XP_037912781.1|HILL, LOC119651988|XP_037911831.1|HILL	LOC115627051|XP_030378454.1|SLEB
OG0000831	LOC119651526|XP_037911086.1|HILL, LOC119651216|XP_037910598.1|HILL	LOC115620550|XP_030369694.1|SLEB
OG0000832	LOC119646406|XP_037902778.1|HILL	LOC115630056|XP_030382550.1|SLEB, LOC115626117|XP_030377232.1|SLEB
OG0000833	LOC119648899|XP_037906731.1|HILL	LOC115633915|XP_030387287.1|SLEB
OG0000834	LOC119650167|XP_037908642.1|HILL	LOC115622025|XP_030371744.1|SLEB
OG0000835	LOC119649256|XP_037907253.1|HILL	LOC115630731|XP_030383245.1|SLEB
OG0000836	LOC119651568|XP_037911131.1|HILL	LOC115631033|XP_030383516.1|SLEB
OG0000837	LOC119653598|XP_037914275.1|HILL	LOC115629286|XP_030381586.1|SLEB
OG0000838	LOC119656045|XP_037918241.1|HILL	LOC115631443|XP_030384046.1|SLEB, LOC115631811|XP_030384508.1|SLEB
OG0000839	LOC119659633|XP_037923760.1|HILL	LOC115623518|XP_030373759.1|SLEB, LOC115623788|XP_030374190.1|SLEB
OG0000840	LOC119646376|XP_037902743.1|HILL, LOC119660962|XP_037925935.1|HILL	LOC115629508|XP_030381849.1|SLEB, LOC115627464|XP_030378996.1|SLEB
OG0000841	LOC119660594|XP_037925196.1|HILL	LOC115621899|XP_030371588.1|SLEB
OG0000841	LOC119660163|XP_037924495.1|HILL	LOC115620566|XP_030369715.1|SLEB
OG0000842	LOC119653816|XP_037914775.1|HILL	LOC115634348|XP_030387864.1|SLEB, LOC115620792|XP_030370072.1|SLEB
OG0000843	LOC119654815|XP_037916301.1|HILL	LOC115623677|XP_030374010.1|SLEB
OG0000844	LOC119653876|XP_037914916.1|HILL	LOC115620021|XP_030368985.1|SLEB, LOC115623803|XP_030374206.1|SLEB
OG0000846	LOC119651372|XP_037910875.1|HILL, LOC119652727|XP_037912953.1|HILL, LOC119654612|XP_037916012.1|HILL	LOC115621852|XP_030371524.1|SLEB
OG0000848	LOC119658671|XP_037922165.1|HILL	LOC115632007|XP_030384796.1|SLEB, LOC115626119|XP_030377233.1|SLEB
OG0000849	LOC119647307|XP_037904149.1|HILL	LOC115630527|XP_030382990.1|SLEB, LOC115623659|XP_030373977.1|SLEB
OG0000850	LOC119653529|XP_037914170.1|HILL, LOC119646372|XP_037902736.1|HILL	LOC115634453|XP_030388034.1|SLEB, LOC115633707|XP_030387028.1|SLEB
OG0000854	LOC119658525|XP_037921931.1|HILL	LOC115627108|XP_030378530.1|SLEB
OG0000855	LOC119657117|XP_037919806.1|HILL, LOC119658156|XP_037921351.1|HILL	LOC115626856|XP_030378217.1|SLEB, LOC115620282|XP_030369316.1|SLEB
OG0000856	LOC119661011|XP_037926086.1|HILL	LOC115624521|XP_030375100.1|SLEB
OG0000857	LOC119657417|XP_037920242.1|HILL, LOC119658236|XP_037921441.1|HILL	LOC115633358|XP_030386658.1|SLEB
OG0000858	LOC119651400|XP_037910915.1|HILL	LOC115620449|XP_030369539.1|SLEB
OG0000860	LOC119650458|XP_037909242.1|HILL	LOC115632420|XP_030385419.1|SLEB
OG0000861	LOC119660138|XP_037924469.1|HILL	LOC115634652|XP_030388369.1|SLEB
OG0000862	LOC119647046|XP_037903730.1|HILL	LOC115634668|XP_030388388.1|SLEB
OG0000864	LOC119655864|XP_037917914.1|HILL	LOC115626614|XP_030377867.1|SLEB, LOC115629280|XP_030381572.1|SLEB
OG0000865	LOC119660267|XP_037924654.1|HILL	LOC115623571|XP_030373827.1|SLEB
OG0000866	LOC119651344|XP_037910827.1|HILL	LOC115632046|XP_030384877.1|SLEB
OG0000867	LOC119661534|XP_037926842.1|HILL	LOC115629843|XP_030382284.1|SLEB
OG0000868	LOC119651020|XP_037910251.1|HILL	LOC115626754|XP_030378069.1|SLEB
OG0000869	LOC119659879|XP_037924126.1|HILL	LOC115624085|XP_030374534.1|SLEB
OG0000870	LOC119655994|XP_037918160.1|HILL	LOC115631395|XP_030384015.1|SLEB
OG0000871	LOC119655804|XP_037917831.1|HILL	LOC115623615|XP_030373897.1|SLEB
OG0000872	LOC119653635|XP_037914344.1|HILL	LOC115629607|XP_030381963.1|SLEB, LOC115633646|XP_030386947.1|SLEB
OG0000873	LOC119649384|XP_037907430.1|HILL	LOC115624746|XP_030375434.1|SLEB, LOC115634051|XP_030387456.1|SLEB
OG0000874	LOC119653451|XP_037913986.1|HILL	LOC115633322|XP_030386614.1|SLEB, LOC115628366|XP_030380306.1|SLEB
OG0000875	LOC119648335|XP_037905957.1|HILL	LOC115624168|XP_030374625.1|SLEB, LOC115624766|XP_030375459.1|SLEB
OG0000877	LOC119647632|XP_037904617.1|HILL, LOC119648809|XP_037906587.1|HILL	LOC115633565|XP_030386882.1|SLEB, LOC115629824|XP_030382255.1|SLEB
OG0000878	LOC119654988|XP_037916580.1|HILL	LOC115627482|XP_030379021.1|SLEB, LOC115632195|XP_030385101.1|SLEB
OG0000879	LOC119655355|XP_037917134.1|HILL	LOC115634304|XP_030387816.1|SLEB
OG0000880	LOC119646237|XP_037902555.1|HILL, LOC119661511|XP_037926810.1|HILL, LOC119647788|XP_037904907.1|HILL	LOC115626970|XP_030378345.1|SLEB, LOC115622390|XP_030372175.1|SLEB
OG0000882	LOC119657550|XP_037920431.1|HILL	LOC115629213|XP_030381474.1|SLEB
OG0000883	LOC119658367|XP_037921656.1|HILL	LOC115629813|XP_030382240.1|SLEB
OG0000884	LOC119657713|XP_037920680.1|HILL	LOC115629830|XP_030382265.1|SLEB
OG0000886	LOC119650614|XP_037909425.1|HILL	LOC115621674|XP_030371245.1|SLEB
OG0000887	LOC119654667|XP_037916090.1|HILL, LOC119654834|XP_037916334.1|HILL	LOC115626660|XP_030377932.1|SLEB
OG0000888	LOC119647432|XP_037904268.1|HILL	LOC115633127|XP_030386383.1|SLEB, LOC115632606|XP_030385693.1|SLEB
OG0000889	LOC119649708|XP_037907907.1|HILL	LOC115632962|XP_030386122.1|SLEB
OG0000890	LOC119647425|XP_037904258.1|HILL	LOC115620765|XP_030370030.1|SLEB
OG0000891	LOC119651506|XP_037911062.1|HILL	LOC115631029|XP_030383507.1|SLEB, LOC115631138|XP_030383667.1|SLEB
OG0000892	LOC119650186|XP_037908674.1|HILL	LOC115623089|XP_030373155.1|SLEB, LOC115630075|XP_030382571.1|SLEB
OG0000893	LOC119661300|XP_037926517.1|HILL	LOC115623838|XP_030374239.1|SLEB
OG0000894	LOC119659992|XP_037924292.1|HILL	LOC115625115|XP_030375881.1|SLEB
OG0000895	LOC119655493|XP_037917323.1|HILL	LOC115633662|XP_030386967.1|SLEB
OG0000896	LOC119655524|XP_037917362.1|HILL	LOC115629791|XP_030382210.1|SLEB
OG0000899	LOC119659559|XP_037923636.1|HILL	LOC115620964|XP_030370345.1|SLEB
OG0000907	LOC119657822|XP_037920864.1|HILL	LOC115623688|XP_030374022.1|SLEB
OG0000909	LOC119657311|XP_037920098.1|HILL	LOC115629921|XP_030382386.1|SLEB, LOC115629451|XP_030381776.1|SLEB
OG0000910	LOC119647744|XP_037904787.1|HILL	LOC115629094|XP_030381271.1|SLEB
OG0000911	LOC119659735|XP_037923922.1|HILL	LOC115628689|XP_030380728.1|SLEB
OG0000912	LOC119649903|XP_037908223.1|HILL, LOC119648205|XP_037905735.1|HILL	LOC115633636|XP_030386934.1|SLEB
OG0000913	LOC119648598|XP_037906296.1|HILL	LOC115624511|XP_030375083.1|SLEB
OG0000913	LOC119649914|XP_037908241.1|HILL	LOC115624512|XP_030375084.1|SLEB
OG0000914	LOC119659280|XP_037923220.1|HILL	LOC115634220|XP_030387671.1|SLEB
OG0000915	LOC119661273|XP_037926469.1|HILL	LOC115634001|XP_030387386.1|SLEB
OG0000916	LOC119649969|XP_037908336.1|HILL	LOC115631986|XP_030384763.1|SLEB
OG0000917	LOC119653264|XP_037913804.1|HILL	LOC115632603|XP_030385688.1|SLEB, LOC115632019|XP_030384822.1|SLEB
OG0000918	LOC119661271|XP_037926460.1|HILL	LOC115625872|XP_030376943.1|SLEB
OG0000920	LOC119655503|XP_037917334.1|HILL	LOC115633279|XP_030386550.1|SLEB
OG0000921	LOC119646868|XP_037903420.1|HILL	LOC115630018|XP_030382512.1|SLEB
OG0000922	LOC119648848|XP_037906650.1|HILL, LOC119648849|XP_037906654.1|HILL	LOC115628430|XP_030380378.1|SLEB
OG0000923	LOC119659268|XP_037923196.1|HILL	LOC115623827|XP_030374230.1|SLEB
OG0000924	LOC119653921|XP_037915008.1|HILL	LOC115629931|XP_030382395.1|SLEB
OG0000925	LOC119654032|XP_037915122.1|HILL, LOC119654830|XP_037916325.1|HILL	LOC115621220|XP_030370664.1|SLEB
OG0000926	LOC119659217|XP_037923118.1|HILL	LOC115623884|XP_030374296.1|SLEB, LOC115624201|XP_030374664.1|SLEB
OG0000931	LOC119650289|XP_037908847.1|HILL	LOC115624492|XP_030375055.1|SLEB, LOC115634172|XP_030387617.1|SLEB
OG0000935	LOC119652079|XP_037911945.1|HILL	LOC115620735|XP_030369981.1|SLEB
OG0000936	LOC119658888|XP_037922606.1|HILL	LOC115630040|XP_030382533.1|SLEB
OG0000937	LOC119657145|XP_037919850.1|HILL, LOC119657808|XP_037920833.1|HILL, LOC119658309|XP_037921544.1|HILL, LOC119658006|XP_037921155.1|HILL, LOC119657604|XP_037920530.1|HILL, LOC119649299|XP_037907321.1|HILL, LOC119649212|XP_037907197.1|HILL	LOC115621318|XP_030370797.1|SLEB
OG0000938	LOC119657122|XP_037919814.1|HILL	LOC115629870|XP_030382325.1|SLEB
OG0000939	LOC119661716|XP_037927099.1|HILL	LOC115631095|XP_030383606.1|SLEB
OG0000940	LOC119656570|XP_037918885.1|HILL	LOC115629373|XP_030381691.1|SLEB, LOC115628257|XP_030380135.1|SLEB
OG0000941	LOC119657198|XP_037919932.1|HILL	LOC115626463|XP_030377705.1|SLEB, LOC115630089|XP_030382576.1|SLEB
OG0000942	LOC119648309|XP_037905916.1|HILL	LOC115623244|XP_030373364.1|SLEB
OG0000943	LOC119661204|XP_037926354.1|HILL	LOC115620354|XP_030369421.1|SLEB
OG0000944	LOC119660771|XP_037925462.1|HILL	LOC115627130|XP_030378563.1|SLEB
OG0000945	LOC119661753|XP_037927151.1|HILL	LOC115624796|XP_030375500.1|SLEB
OG0000946	LOC119661296|XP_037926510.1|HILL	LOC115630459|XP_030382884.1|SLEB
OG0000947	LOC119659221|XP_037923125.1|HILL	LOC115634584|XP_030388277.1|SLEB
OG0000948	LOC119650053|XP_037908470.1|HILL	LOC115632809|XP_030385921.1|SLEB
OG0000949	LOC119655964|XP_037918123.1|HILL	LOC115629933|XP_030382398.1|SLEB, LOC115629932|XP_030382397.1|SLEB
OG0000950	LOC119656859|XP_037919440.1|HILL	LOC115624154|XP_030374611.1|SLEB
OG0000951	LOC119660211|XP_037924573.1|HILL	LOC115620607|XP_030369781.1|SLEB, LOC115631589|XP_030384250.1|SLEB, LOC115629565|XP_030381917.1|SLEB, LOC115629566|XP_030381918.1|SLEB, LOC115630781|XP_030383297.1|SLEB
OG0000952	LOC119647108|XP_037903814.1|HILL	LOC115631113|XP_030383633.1|SLEB
OG0000957	LOC119649988|XP_037908370.1|HILL	LOC115632493|XP_030385572.1|SLEB, LOC115632571|XP_030385690.1|SLEB
OG0000960	LOC119651998|XP_037911850.1|HILL, LOC119652437|XP_037912507.1|HILL, LOC119652292|XP_037912217.1|HILL, LOC119652421|XP_037912472.1|HILL	LOC115626902|XP_030378272.1|SLEB
OG0000963	LOC119658492|XP_037921883.1|HILL, LOC119657269|XP_037920030.1|HILL	LOC115627565|XP_030379148.1|SLEB
OG0000964	LOC119660339|XP_037924753.1|HILL	LOC115629928|XP_030382396.1|SLEB
OG0000965	LOC119657119|XP_037919807.1|HILL	LOC115633244|XP_030386499.1|SLEB
OG0000966	LOC119659817|XP_037924028.1|HILL	LOC115633760|XP_030387095.1|SLEB
OG0000968	LOC119650278|XP_037908831.1|HILL, LOC119648563|XP_037906261.1|HILL, LOC119648564|XP_037906262.1|HILL, LOC119648565|XP_037906263.1|HILL, LOC119649022|XP_037906905.1|HILL, LOC119650083|XP_037908515.1|HILL, LOC119649837|XP_037908109.1|HILL, LOC119650193|XP_037908687.1|HILL	LOC115628295|XP_030380202.1|SLEB
OG0000969	LOC119655293|XP_037917046.1|HILL	LOC115629995|XP_030382487.1|SLEB, LOC115633028|XP_030386225.1|SLEB, LOC115621359|XP_030370843.1|SLEB
OG0000970	LOC119660558|XP_037925126.1|HILL	LOC115620768|XP_030370032.1|SLEB
OG0000971	LOC119646696|XP_037903188.1|HILL	LOC115631506|XP_030384125.1|SLEB
OG0000972	LOC119655462|XP_037917295.1|HILL	LOC115632559|XP_030385633.1|SLEB, LOC115633225|XP_030386479.1|SLEB
OG0000975	LOC119659274|XP_037923207.1|HILL	LOC115621202|XP_030370641.1|SLEB, LOC115623709|XP_030374048.1|SLEB
OG0000976	LOC119659502|XP_037923556.1|HILL	LOC115625384|XP_030376281.1|SLEB, LOC115625075|XP_030375823.1|SLEB
OG0000977	LOC119658812|XP_037922463.1|HILL	LOC115625370|XP_030376266.1|SLEB
OG0000978	LOC119659555|XP_037923632.1|HILL	LOC115623541|XP_030373784.1|SLEB
OG0000981	LOC119660927|XP_037925836.1|HILL	LOC115632018|XP_030384815.1|SLEB
OG0000988	LOC119656493|XP_037918752.1|HILL	LOC115631067|XP_030383573.1|SLEB, LOC115631590|XP_030384251.1|SLEB, LOC115629834|XP_030382271.1|SLEB
