Orthogroup	HILL.longest_only	DBUS.longest_only
OG0000870	LOC119655994|XP_037918160.1|HILL	LOC108594947|XP_017835570.1|DBUS
OG0000871	LOC119655804|XP_037917831.1|HILL	LOC108597673|XP_017839835.1|DBUS
OG0000872	LOC119653635|XP_037914344.1|HILL	LOC108605992|XP_017851302.1|DBUS, LOC117135020|XP_033150710.1|DBUS
OG0000873	LOC119649384|XP_037907430.1|HILL	LOC108600372|XP_017843398.2|DBUS
OG0000874	LOC119653451|XP_037913986.1|HILL	LOC108605790|XP_017851082.1|DBUS, LOC108597521|XP_017839603.1|DBUS
OG0000875	LOC119648335|XP_037905957.1|HILL	LOC108601430|XP_017844817.1|DBUS, LOC108605091|XP_033150417.1|DBUS, LOC108605090|XP_017850145.1|DBUS, LOC108599113|XP_017841362.1|DBUS
OG0000877	LOC119647632|XP_037904617.1|HILL, LOC119648809|XP_037906587.1|HILL	LOC108601144|XP_017844561.1|DBUS, LOC108605956|XP_017851265.1|DBUS
OG0000878	LOC119654988|XP_037916580.1|HILL	LOC108597569|XP_017839669.1|DBUS
OG0000879	LOC119655355|XP_037917134.1|HILL	LOC108595727|XP_017836498.1|DBUS
OG0000880	LOC119646237|XP_037902555.1|HILL, LOC119661511|XP_037926810.1|HILL, LOC119647788|XP_037904907.1|HILL	LOC108605972|XP_017851283.1|DBUS, LOC108601299|XP_017844688.1|DBUS
OG0000882	LOC119657550|XP_037920431.1|HILL	LOC108606798|XP_017852748.1|DBUS
OG0000883	LOC119658367|XP_037921656.1|HILL	LOC108605814|XP_017851109.1|DBUS
OG0000884	LOC119657713|XP_037920680.1|HILL	LOC108605122|XP_017850173.1|DBUS
OG0000886	LOC119650614|XP_037909425.1|HILL	LOC108603290|XP_017847448.1|DBUS, LOC108603288|XP_017847447.1|DBUS
OG0000887	LOC119654667|XP_037916090.1|HILL, LOC119654834|XP_037916334.1|HILL	LOC108605045|XP_033150279.1|DBUS
OG0000888	LOC119647432|XP_037904268.1|HILL	LOC108600263|XP_017843198.1|DBUS
OG0000889	LOC119649708|XP_037907907.1|HILL	LOC108600744|XP_017843978.2|DBUS
OG0000890	LOC119647425|XP_037904258.1|HILL	LOC108596525|XP_017837901.1|DBUS
OG0000891	LOC119651506|XP_037911062.1|HILL	LOC108600338|XP_017843349.1|DBUS, LOC108594287|XP_017834917.1|DBUS
OG0000892	LOC119650186|XP_037908674.1|HILL	LOC108600066|XP_017842906.1|DBUS
OG0000893	LOC119661300|XP_037926517.1|HILL	LOC108601243|XP_033150118.1|DBUS
OG0000894	LOC119659992|XP_037924292.1|HILL	LOC108602541|XP_017846163.1|DBUS, LOC108601666|XP_017845056.1|DBUS
OG0000895	LOC119655493|XP_037917323.1|HILL	LOC108597263|XP_017839209.1|DBUS, LOC108597264|XP_017839211.1|DBUS
OG0000896	LOC119655524|XP_037917362.1|HILL	LOC108605176|XP_017850253.1|DBUS
OG0000899	LOC119659559|XP_037923636.1|HILL	LOC108601967|XP_017845444.2|DBUS, LOC108604489|XP_033149809.1|DBUS
OG0000907	LOC119657822|XP_037920864.1|HILL	LOC108596757|XP_017838327.1|DBUS
OG0000909	LOC119657311|XP_037920098.1|HILL	LOC108603143|XP_017847169.1|DBUS
OG0000910	LOC119647744|XP_037904787.1|HILL	LOC108606860|XP_017852853.1|DBUS
OG0000911	LOC119659735|XP_037923922.1|HILL	LOC108594798|XP_017835425.1|DBUS
OG0000912	LOC119649903|XP_037908223.1|HILL, LOC119648205|XP_037905735.1|HILL	LOC108598654|XP_017840854.1|DBUS
OG0000913	LOC119649914|XP_037908241.1|HILL	LOC108600466|XP_017843549.2|DBUS
OG0000914	LOC119659280|XP_037923220.1|HILL	LOC108595832|XP_017836612.1|DBUS
OG0000915	LOC119661273|XP_037926469.1|HILL	LOC108595762|XP_017836540.1|DBUS
OG0000916	LOC119649969|XP_037908336.1|HILL	LOC108607968|XP_017854586.1|DBUS
OG0000917	LOC119653264|XP_037913804.1|HILL	LOC108607696|XP_033150850.1|DBUS
OG0000918	LOC119661271|XP_037926460.1|HILL	LOC108604377|XP_017849324.1|DBUS, LOC108600439|XP_017843512.1|DBUS
OG0000920	LOC119655503|XP_037917334.1|HILL	LOC108606697|XP_017852555.1|DBUS
OG0000921	LOC119646868|XP_037903420.1|HILL	LOC108605313|XP_017850471.1|DBUS
OG0000922	LOC119648848|XP_037906650.1|HILL, LOC119648849|XP_037906654.1|HILL	LOC108598404|XP_017840515.1|DBUS, LOC108598387|XP_017840494.1|DBUS
OG0000923	LOC119659268|XP_037923196.1|HILL	LOC108604421|XP_017849376.1|DBUS
OG0000924	LOC119653921|XP_037915008.1|HILL	LOC108605305|XP_017850460.2|DBUS
OG0000925	LOC119654032|XP_037915122.1|HILL, LOC119654830|XP_037916325.1|HILL	LOC108601980|XP_017845464.1|DBUS, LOC108601979|XP_017845462.1|DBUS
OG0000926	LOC119659217|XP_037923118.1|HILL	LOC108601544|XP_017844932.1|DBUS, LOC108602539|XP_017846161.1|DBUS
OG0000931	LOC119650289|XP_037908847.1|HILL	LOC108595511|XP_017836252.1|DBUS, LOC108602246|XP_017848722.1|DBUS
OG0000935	LOC119652079|XP_037911945.1|HILL	LOC108602793|XP_033149804.1|DBUS
OG0000936	LOC119658888|XP_037922606.1|HILL	LOC117134673|XP_033149000.1|DBUS, LOC108606026|XP_017851341.1|DBUS
OG0000937	LOC119657145|XP_037919850.1|HILL, LOC119657808|XP_037920833.1|HILL, LOC119658309|XP_037921544.1|HILL, LOC119658006|XP_037921155.1|HILL, LOC119657604|XP_037920530.1|HILL, LOC119649299|XP_037907321.1|HILL, LOC119649212|XP_037907197.1|HILL	LOC108604711|XP_017849770.1|DBUS
OG0000938	LOC119657122|XP_037919814.1|HILL	LOC108605942|XP_017851251.1|DBUS
OG0000939	LOC119661716|XP_037927099.1|HILL	LOC108607450|XP_017853776.2|DBUS, LOC108606105|XP_017851439.1|DBUS
OG0000940	LOC119656570|XP_037918885.1|HILL	LOC108605830|XP_017851125.1|DBUS, LOC108598523|XP_017840693.2|DBUS
OG0000941	LOC119657198|XP_037919932.1|HILL	LOC108606949|XP_017852995.1|DBUS
OG0000942	LOC119648309|XP_037905916.1|HILL	LOC108600328|XP_017843330.1|DBUS
OG0000943	LOC119661204|XP_037926354.1|HILL	LOC108596911|XP_017838605.1|DBUS
OG0000944	LOC119660771|XP_037925462.1|HILL	LOC108605870|XP_017851172.1|DBUS, LOC108602211|XP_017845747.1|DBUS
OG0000945	LOC119661753|XP_037927151.1|HILL	LOC108599847|XP_017842464.1|DBUS
OG0000946	LOC119661296|XP_037926510.1|HILL	LOC108608430|XP_017855289.1|DBUS
OG0000947	LOC119659221|XP_037923125.1|HILL	LOC108596081|XP_017836987.1|DBUS
OG0000948	LOC119650053|XP_037908470.1|HILL	LOC108597933|XP_017840038.1|DBUS
OG0000949	LOC119655964|XP_037918123.1|HILL	LOC108606546|XP_017852234.1|DBUS, LOC108606548|XP_017852236.1|DBUS
OG0000950	LOC119656859|XP_037919440.1|HILL	LOC108606209|XP_017851573.1|DBUS, LOC108602274|XP_017845820.1|DBUS
OG0000951	LOC119660211|XP_037924573.1|HILL	LOC108600517|XP_017843691.1|DBUS
OG0000952	LOC119647108|XP_037903814.1|HILL	LOC108608531|XP_017855435.1|DBUS
OG0000957	LOC119649988|XP_037908370.1|HILL	LOC108594881|XP_017835508.1|DBUS
OG0000960	LOC119651998|XP_037911850.1|HILL, LOC119652437|XP_037912507.1|HILL, LOC119652292|XP_037912217.1|HILL, LOC119652421|XP_037912472.1|HILL	LOC108605781|XP_017851072.1|DBUS, LOC108607435|XP_017853755.1|DBUS, LOC108594451|XP_017835115.2|DBUS
OG0000963	LOC119658492|XP_037921883.1|HILL, LOC119657269|XP_037920030.1|HILL	LOC108606582|XP_017852297.1|DBUS
OG0000964	LOC119660339|XP_037924753.1|HILL	LOC108594887|XP_017835513.1|DBUS
OG0000965	LOC119657119|XP_037919807.1|HILL	LOC108607151|XP_017853285.1|DBUS
OG0000966	LOC119659817|XP_037924028.1|HILL	LOC108595733|XP_017836505.1|DBUS
OG0000968	LOC119650278|XP_037908831.1|HILL, LOC119648563|XP_037906261.1|HILL, LOC119648564|XP_037906262.1|HILL, LOC119648565|XP_037906263.1|HILL, LOC119649022|XP_037906905.1|HILL, LOC119650083|XP_037908515.1|HILL, LOC119649837|XP_037908109.1|HILL, LOC119650193|XP_037908687.1|HILL	LOC108599815|XP_017842404.1|DBUS
OG0000969	LOC119655293|XP_037917046.1|HILL	LOC108597295|XP_017839263.1|DBUS
OG0000970	LOC119660558|XP_037925126.1|HILL	LOC108604074|XP_017848832.1|DBUS
OG0000971	LOC119646696|XP_037903188.1|HILL	LOC108607728|XP_017854241.2|DBUS
OG0000972	LOC119655462|XP_037917295.1|HILL	LOC108600254|XP_017843181.2|DBUS
OG0000975	LOC119659274|XP_037923207.1|HILL	LOC108602406|XP_017846007.1|DBUS, LOC108602407|XP_017846009.1|DBUS, LOC108604090|XP_017848860.1|DBUS
OG0000976	LOC119659502|XP_037923556.1|HILL	LOC117134631|XP_017847712.1|DBUS
OG0000977	LOC119658812|XP_037922463.1|HILL	LOC108604845|XP_017849954.2|DBUS
OG0000978	LOC119659555|XP_037923632.1|HILL	LOC108603456|XP_017847776.1|DBUS
OG0000981	LOC119660927|XP_037925836.1|HILL	LOC108597617|XP_017839750.1|DBUS
OG0000988	LOC119656493|XP_037918752.1|HILL	LOC108598092|XP_017840195.1|DBUS, LOC108603653|XP_017848161.2|DBUS
OG0000990	LOC119658075|XP_037921263.1|HILL	LOC108607168|XP_017853310.1|DBUS
OG0000991	LOC119656681|XP_037919092.1|HILL	LOC108606644|XP_017852432.1|DBUS
OG0000992	LOC119646600|XP_037903022.1|HILL	LOC108602198|XP_017845736.1|DBUS
OG0000993	LOC119650867|XP_037909956.1|HILL	LOC108604790|XP_017849878.1|DBUS
OG0000994	LOC119658292|XP_037921515.1|HILL	LOC108605561|XP_017850815.1|DBUS
OG0000995	LOC119658915|XP_037922663.1|HILL	LOC108605916|XP_017851221.1|DBUS
OG0000996	LOC119646992|XP_037903636.1|HILL	LOC108606580|XP_017852295.1|DBUS, LOC108595540|XP_017836284.1|DBUS
OG0000997	LOC119661765|XP_037927163.1|HILL	LOC108595325|XP_033149153.1|DBUS, LOC108594679|XP_017835309.2|DBUS
OG0000998	LOC119647895|XP_037905126.1|HILL, LOC119647894|XP_037905121.1|HILL	LOC108600670|XP_017843856.1|DBUS
OG0000999	LOC119653389|XP_037913868.1|HILL	LOC108606776|XP_017852685.1|DBUS
OG0001000	LOC119661572|XP_037926898.1|HILL	LOC117135038|XP_033150756.1|DBUS
OG0001001	LOC119661125|XP_037926250.1|HILL	LOC108597086|XP_017838928.1|DBUS
OG0001002	LOC119654243|XP_037915413.1|HILL	LOC108598644|XP_017840845.1|DBUS, LOC108596304|XP_017837392.1|DBUS
OG0001003	LOC119658682|XP_037922174.1|HILL	LOC108603826|XP_033150461.1|DBUS, LOC108603978|XP_017848693.1|DBUS
OG0001004	LOC119660421|XP_037924896.1|HILL	LOC108602791|XP_017846491.1|DBUS
OG0001005	LOC119653619|XP_037914316.1|HILL	LOC108605425|XP_017850589.1|DBUS
OG0001006	LOC119649453|XP_037907535.1|HILL	LOC108598703|XP_017840917.1|DBUS
OG0001007	LOC119656271|XP_037918622.1|HILL	LOC108607353|XP_017853535.1|DBUS, LOC108599792|XP_017842340.1|DBUS
OG0001008	LOC119655408|XP_037917219.1|HILL	LOC108605191|XP_017850272.1|DBUS
OG0001009	LOC119656127|XP_037918388.1|HILL	LOC108602090|XP_017845603.1|DBUS
OG0001013	LOC119650229|XP_037908736.1|HILL	LOC108599055|XP_017841324.2|DBUS
OG0001014	LOC119655082|XP_037916710.1|HILL	LOC108599110|XP_017841388.1|DBUS
OG0001019	LOC119657389|XP_037920202.1|HILL	LOC108602930|XP_017846762.1|DBUS
OG0001020	LOC119657985|XP_037921129.1|HILL, LOC119657205|XP_037919940.1|HILL, LOC119657634|XP_037920567.1|HILL	LOC108605796|XP_017851088.1|DBUS
OG0001021	LOC119651094|XP_037910375.1|HILL	LOC108607999|XP_017854649.1|DBUS, LOC108607998|XP_017854648.1|DBUS
OG0001022	LOC119658389|XP_037921700.1|HILL	LOC117134924|XP_033150319.1|DBUS
OG0001024	LOC119659862|XP_037924098.1|HILL, LOC119660009|XP_037924314.1|HILL	LOC108604103|XP_017848872.1|DBUS
OG0001025	LOC119649739|XP_037907949.1|HILL	LOC108598015|XP_017840119.1|DBUS, LOC108598017|XP_017840120.1|DBUS, LOC108598018|XP_033149507.1|DBUS, LOC108598656|XP_017840856.1|DBUS
OG0001026	LOC119655498|XP_037917331.1|HILL	LOC108600168|XP_017843062.1|DBUS, LOC108594903|XP_017835530.1|DBUS
OG0001027	LOC119648947|XP_037906790.1|HILL, LOC119647827|XP_037904993.1|HILL	LOC108600201|XP_017843104.1|DBUS
OG0001028	LOC119649985|XP_037908355.1|HILL	LOC108604114|XP_017848890.1|DBUS
OG0001031	LOC119650960|XP_037910134.1|HILL	LOC108607683|XP_017854129.1|DBUS
OG0001032	LOC119653033|XP_037913407.1|HILL	LOC108608220|XP_017854987.2|DBUS
OG0001033	LOC119656017|XP_037918195.1|HILL	LOC108594834|XP_017835460.1|DBUS
OG0001034	LOC119650231|XP_037908738.1|HILL	LOC108598184|XP_017840288.2|DBUS
OG0001042	LOC119646639|XP_037903080.1|HILL	LOC108601652|XP_017845041.1|DBUS
OG0001043	LOC119658007|XP_037921157.1|HILL	LOC108605170|XP_017850244.1|DBUS
OG0001043	LOC119657881|XP_037920940.1|HILL, LOC119657268|XP_037920029.1|HILL	LOC108608542|XP_017855451.2|DBUS
OG0001044	LOC119647224|XP_037903984.1|HILL	LOC108594671|XP_017835301.1|DBUS
OG0001045	LOC119652268|XP_037912181.1|HILL	LOC108597686|XP_017839850.1|DBUS
OG0001046	LOC119654795|XP_037916272.1|HILL	LOC108595821|XP_017836601.1|DBUS
OG0001047	LOC119657541|XP_037920411.1|HILL	LOC108596391|XP_017837558.1|DBUS
OG0001048	LOC119647179|XP_037903915.1|HILL	LOC108595004|XP_017835628.1|DBUS
OG0001049	LOC119647474|XP_037904341.1|HILL	LOC108600752|XP_017843995.1|DBUS
OG0001050	LOC119647631|XP_037904616.1|HILL	LOC108606837|XP_017852819.1|DBUS, LOC108600638|XP_017843819.1|DBUS
OG0001051	LOC119652144|XP_037912013.1|HILL, LOC119652142|XP_037912011.1|HILL, LOC119652143|XP_037912012.1|HILL	LOC108607720|XP_017854225.2|DBUS
OG0001052	LOC119646181|XP_037902491.1|HILL	LOC108607995|XP_017854645.2|DBUS
OG0001053	LOC119655659|XP_037917572.1|HILL	LOC108607181|XP_017853326.1|DBUS, LOC108600249|XP_017843906.2|DBUS
OG0001054	LOC119660306|XP_037924708.1|HILL	LOC108604574|XP_017849594.1|DBUS
OG0001056	LOC119655097|XP_037916740.1|HILL	LOC108605667|XP_017850947.1|DBUS
OG0001057	LOC119653748|XP_037914605.1|HILL	LOC108600031|XP_017842841.1|DBUS, LOC108600029|XP_017842839.1|DBUS
OG0001058	LOC119653471|XP_037914017.1|HILL	LOC108606604|XP_017852353.1|DBUS
OG0001059	LOC119647686|XP_037904696.1|HILL	LOC108599123|XP_017841400.2|DBUS
OG0001060	LOC119657290|XP_037920065.1|HILL	LOC108601684|XP_017845082.1|DBUS
OG0001061	LOC119649749|XP_037907966.1|HILL	LOC108602610|XP_017846236.1|DBUS
OG0001072	LOC119653742|XP_037914594.1|HILL	LOC108599242|XP_017841528.2|DBUS
OG0001073	LOC119656558|XP_037918865.1|HILL, LOC119656559|XP_037918867.1|HILL, LOC119656562|XP_037918871.1|HILL, LOC119656561|XP_037918870.1|HILL, LOC119656557|XP_037918863.1|HILL	LOC108604201|XP_033149922.1|DBUS
OG0001074	LOC119653482|XP_037914037.1|HILL, LOC119653483|XP_037914038.1|HILL	LOC108595378|XP_017836094.1|DBUS
OG0001075	LOC119648135|XP_037905605.1|HILL	LOC108601025|XP_017844390.1|DBUS
OG0001077	LOC119658889|XP_037922615.1|HILL	LOC108601650|XP_017845039.1|DBUS
OG0001078	LOC119656783|XP_037919297.1|HILL, LOC119647701|XP_037904714.1|HILL	LOC108605494|XP_033150288.1|DBUS
OG0001079	LOC119650348|XP_037908950.1|HILL	LOC108600250|XP_017843175.1|DBUS
OG0001080	LOC119650340|XP_037908935.1|HILL	LOC108600145|XP_017843028.1|DBUS
OG0001081	LOC119654600|XP_037915997.1|HILL	LOC108595457|XP_017836187.1|DBUS, LOC108595079|XP_017835719.1|DBUS
OG0001082	LOC119658666|XP_037922151.1|HILL	LOC108597660|XP_017839808.1|DBUS
OG0001083	LOC119648140|XP_037905614.1|HILL	LOC108599964|XP_017842706.1|DBUS
OG0001084	LOC119658838|XP_037922509.1|HILL	LOC108597324|XP_017839304.1|DBUS
OG0001085	LOC119661259|XP_037926439.1|HILL	LOC108595556|XP_033148997.1|DBUS, LOC108594946|XP_033149252.1|DBUS
OG0001086	LOC119654908|XP_037916469.1|HILL	LOC108597096|XP_017838950.1|DBUS
OG0001087	LOC119661246|XP_037926413.1|HILL	LOC108608044|XP_033149145.1|DBUS
OG0001088	LOC119647748|XP_037904795.1|HILL	LOC108597920|XP_017840026.2|DBUS
OG0001089	LOC119649506|XP_037907604.1|HILL	LOC108598487|XP_033149373.1|DBUS
OG0001090	LOC119650125|XP_037908578.1|HILL	LOC108599013|XP_017841280.1|DBUS
OG0001091	LOC119648589|XP_037906287.1|HILL, LOC119650284|XP_037908839.1|HILL, LOC119650359|XP_037908974.1|HILL, LOC119649844|XP_037908117.1|HILL, LOC119648299|XP_037905885.1|HILL	LOC108600566|XP_017843720.2|DBUS
OG0001092	LOC119651442|XP_037910974.1|HILL	LOC108600319|XP_017843314.1|DBUS
OG0001093	LOC119651291|XP_037910736.1|HILL, LOC119652250|XP_037912158.1|HILL	LOC108599730|XP_017842224.1|DBUS
OG0001094	LOC119653073|XP_037913485.1|HILL	LOC108601054|XP_033150057.1|DBUS
OG0001095	LOC119651165|XP_037910511.1|HILL	LOC108598464|XP_017840597.1|DBUS
OG0001096	LOC119654769|XP_037916238.1|HILL, LOC119655109|XP_037916759.1|HILL	LOC108607817|XP_017854353.1|DBUS
OG0001097	LOC119661406|XP_037926663.1|HILL	LOC108596759|XP_017838333.1|DBUS
OG0001099	LOC119649218|XP_037907205.1|HILL, LOC119648717|XP_037906453.1|HILL, LOC119649369|XP_037907413.1|HILL	LOC108598330|XP_017840435.2|DBUS, LOC108600151|XP_017843035.1|DBUS
OG0001100	LOC119655645|XP_037917552.1|HILL	LOC108601762|XP_017845175.1|DBUS
OG0001101	LOC119656262|XP_037918608.1|HILL	LOC108596769|XP_017838350.1|DBUS
OG0001102	LOC119647913|XP_037905163.1|HILL	LOC117134979|XP_033150552.1|DBUS, LOC108598214|XP_033149403.1|DBUS
OG0001103	LOC119651483|XP_037911022.1|HILL	LOC108602193|XP_017845730.1|DBUS
OG0001104	LOC119654690|XP_037916128.1|HILL	LOC108605934|XP_017851244.1|DBUS, LOC108596952|XP_017838679.1|DBUS
OG0001105	LOC119654540|XP_037915913.1|HILL	LOC108605239|XP_017850341.1|DBUS
OG0001106	LOC119660910|XP_037925785.1|HILL	LOC108607389|XP_017853631.1|DBUS
OG0001112	LOC119647107|XP_037903817.1|HILL	LOC108595780|XP_017836561.1|DBUS
OG0001118	LOC119658022|XP_037921179.1|HILL	LOC108606121|XP_017851463.1|DBUS
OG0001119	LOC119658275|XP_037921494.1|HILL	LOC117134713|XP_033149138.1|DBUS
OG0001120	LOC119651250|XP_037910659.1|HILL	LOC108602369|XP_017845960.1|DBUS
OG0001122	LOC119650129|XP_037908586.1|HILL	LOC108598440|XP_017840562.2|DBUS
OG0001124	LOC119661581|XP_037926908.1|HILL, LOC119653509|XP_037914097.1|HILL	LOC108603667|XP_017848151.1|DBUS
OG0001125	LOC119648754|XP_037906506.1|HILL	LOC108601789|XP_017845212.1|DBUS
OG0001126	LOC119650445|XP_037909228.1|HILL	LOC108599516|XP_033149420.1|DBUS
OG0001127	LOC119648123|XP_037905573.1|HILL, LOC119647815|XP_037904971.1|HILL, LOC119647572|XP_037904500.1|HILL, LOC119647816|XP_037904972.1|HILL, LOC119647817|XP_037904973.1|HILL, LOC119647820|XP_037904978.1|HILL	LOC108598165|XP_017840271.2|DBUS
OG0001128	LOC119660463|XP_037924958.1|HILL	LOC108597779|XP_017839983.1|DBUS
OG0001129	LOC119650885|XP_037909986.1|HILL	LOC108608259|XP_033150727.1|DBUS
OG0001130	LOC119653058|XP_037913465.1|HILL	LOC108602684|XP_017846354.2|DBUS
OG0001131	LOC119660936|XP_037925859.1|HILL	LOC108607382|XP_033150543.1|DBUS
OG0001133	LOC119647256|XP_037904063.1|HILL	LOC108596929|XP_033150025.1|DBUS
OG0001134	LOC119656169|XP_037918443.1|HILL, LOC119656168|XP_037918442.1|HILL, LOC119655305|XP_037917062.1|HILL, LOC119654050|XP_037915138.1|HILL, LOC119654064|XP_037915156.1|HILL, LOC119653774|XP_037914701.1|HILL	LOC108597562|XP_017839660.1|DBUS
OG0001135	LOC119654839|XP_037916342.1|HILL, LOC119654481|XP_037915830.1|HILL	LOC108602839|XP_017846579.1|DBUS
OG0001136	LOC119660441|XP_037924921.1|HILL	LOC108601248|XP_033149955.1|DBUS, LOC108601257|XP_033149797.1|DBUS
OG0001137	LOC119659607|XP_037923706.1|HILL, LOC119659962|XP_037924244.1|HILL, LOC119659283|XP_037923219.1|HILL, LOC119659485|XP_037923526.1|HILL, LOC119659510|XP_037923568.1|HILL, LOC119659576|XP_037923661.1|HILL, LOC119659818|XP_037924029.1|HILL, LOC119659917|XP_037924170.1|HILL, LOC119660171|XP_037924505.1|HILL, LOC119659452|XP_037923465.1|HILL, LOC119659493|XP_037923539.1|HILL, LOC119659623|XP_037923751.1|HILL, LOC119659635|XP_037923762.1|HILL	LOC108601265|XP_017844654.1|DBUS
OG0001138	LOC119655094|XP_037916728.1|HILL	LOC108600147|XP_017843029.1|DBUS
OG0001139	LOC119647597|XP_037904547.1|HILL	LOC117134797|XP_033149599.1|DBUS, LOC108598162|XP_017840268.2|DBUS
OG0001140	LOC119647169|XP_037903902.1|HILL, LOC119656962|XP_037919610.1|HILL, LOC119656930|XP_037919552.1|HILL	LOC108603554|XP_017847962.1|DBUS
OG0001141	LOC119648620|XP_037906317.1|HILL	LOC108601445|XP_017844831.2|DBUS
OG0001144	LOC119655340|XP_037917115.1|HILL	LOC108594995|XP_017835617.1|DBUS
OG0001148	LOC119646878|XP_037903432.1|HILL	LOC108605277|XP_017850415.1|DBUS, LOC108596961|XP_017838697.1|DBUS
OG0001149	LOC119648939|XP_037906780.1|HILL, LOC119649425|XP_037907500.1|HILL	LOC108598985|XP_017841249.1|DBUS
OG0001153	LOC119660793|XP_037925528.1|HILL	LOC108597662|XP_017839816.1|DBUS
OG0001154	LOC119651636|XP_037911228.1|HILL	LOC108607513|XP_017853868.1|DBUS
OG0001155	LOC119656861|XP_037919444.1|HILL	LOC108606509|XP_017852168.1|DBUS
OG0001157	LOC119651295|XP_037910744.1|HILL	LOC108603075|XP_033149778.1|DBUS
OG0001158	LOC119657603|XP_037920533.1|HILL	LOC108607471|XP_017853798.1|DBUS
OG0001159	LOC119656717|XP_037919167.1|HILL	LOC108602985|XP_017846860.1|DBUS
OG0001160	LOC119653171|XP_037913646.1|HILL	LOC108600008|XP_017842800.1|DBUS, LOC108603258|XP_017847395.1|DBUS
OG0001161	LOC119650746|XP_037909750.1|HILL	LOC108602836|XP_017846574.1|DBUS
OG0001162	LOC119658310|XP_037921547.1|HILL	LOC108604725|XP_017849793.1|DBUS
OG0001163	LOC119650564|XP_037909297.1|HILL	LOC108604245|XP_017849109.1|DBUS
OG0001164	LOC119651647|XP_037911251.1|HILL	LOC108602513|XP_017846132.1|DBUS
OG0001165	LOC119657120|XP_037919808.1|HILL, LOC119657495|XP_037920353.1|HILL	LOC108596973|XP_017838715.1|DBUS, LOC108594929|XP_017835554.1|DBUS, LOC108594928|XP_017835553.1|DBUS
OG0001166	LOC119649162|XP_037907104.1|HILL	LOC108599428|XP_017841728.1|DBUS
OG0001167	LOC119646574|XP_037902992.1|HILL	LOC108594649|XP_033149226.1|DBUS
OG0001168	LOC119655740|XP_037917721.1|HILL	LOC108597682|XP_017839845.1|DBUS
OG0001169	LOC119658036|XP_037921197.1|HILL	LOC108606895|XP_017852911.1|DBUS
OG0001170	LOC119659790|XP_037923985.1|HILL	LOC108604581|XP_017849601.1|DBUS
OG0001171	LOC119650467|XP_037909262.1|HILL	LOC108599800|XP_017842362.2|DBUS, LOC117134805|XP_033149666.1|DBUS
OG0001172	LOC119661407|XP_037926664.1|HILL	LOC108594993|XP_017835615.1|DBUS
OG0001173	LOC119660364|XP_037924800.1|HILL, LOC119658996|XP_037922805.1|HILL	LOC108604048|XP_017848799.1|DBUS
OG0001174	LOC119647791|XP_037904916.1|HILL	LOC108599682|XP_017842163.1|DBUS
OG0001175	LOC119654794|XP_037916271.1|HILL	LOC108597518|XP_017839601.1|DBUS
OG0001176	LOC119655006|XP_037916605.1|HILL	LOC108594810|XP_017835437.1|DBUS
OG0001178	LOC119661423|XP_037926694.1|HILL	LOC108595785|XP_017836566.1|DBUS
OG0001179	LOC119646342|XP_037902696.1|HILL	LOC108596995|XP_017838754.1|DBUS
OG0001180	LOC119660988|XP_037926002.1|HILL	LOC108607350|XP_017853525.1|DBUS
OG0001181	LOC119648244|XP_037905804.1|HILL	LOC108598483|XP_017840627.2|DBUS
OG0001182	LOC119659498|XP_037923550.1|HILL, LOC119659994|XP_037924297.1|HILL	LOC108604519|XP_017849513.1|DBUS
OG0001183	LOC119660414|XP_037924881.1|HILL	LOC108607166|XP_017853306.1|DBUS, LOC108599378|XP_017841673.1|DBUS, LOC108604172|XP_017848993.1|DBUS
OG0001185	LOC119658701|XP_037922219.1|HILL	LOC108602843|XP_017846588.1|DBUS
OG0001186	LOC119659434|XP_037923445.1|HILL	LOC117134948|XP_033150415.1|DBUS
OG0001187	LOC119656116|XP_037918366.1|HILL	LOC108596885|XP_017838555.1|DBUS
OG0001188	LOC119653813|XP_037914766.1|HILL	LOC108597720|XP_017839900.1|DBUS
OG0001189	LOC119654676|XP_037916107.1|HILL	LOC108595252|XP_017835945.1|DBUS
OG0001190	LOC119655814|XP_037917847.1|HILL, LOC119655837|XP_037917871.1|HILL, LOC119655662|XP_037917574.1|HILL	LOC108605723|XP_017851005.1|DBUS
OG0001191	LOC119654289|XP_037915506.1|HILL	LOC108607785|XP_017854312.2|DBUS
OG0001192	LOC119649057|XP_037906966.1|HILL, LOC119659885|XP_037924131.1|HILL	LOC108594290|XP_017834921.1|DBUS
OG0001193	LOC119654818|XP_037916306.1|HILL	LOC108603201|XP_017847272.1|DBUS
OG0001194	LOC119648370|XP_037906025.1|HILL	LOC108605290|XP_017850428.1|DBUS
OG0001195	LOC119654582|XP_037915969.1|HILL	LOC108595419|XP_017836136.1|DBUS
OG0001200	LOC119657572|XP_037920465.1|HILL	LOC108600284|XP_017843244.1|DBUS
OG0001201	LOC119659691|XP_037923872.1|HILL, LOC119660477|XP_037924996.1|HILL, LOC119660451|XP_037924938.1|HILL	LOC108601769|XP_017845183.2|DBUS
OG0001202	LOC119658232|XP_037921438.1|HILL	LOC108606385|XP_017851939.1|DBUS
OG0001203	LOC119660998|XP_037926022.1|HILL, LOC119660891|XP_037925745.1|HILL	LOC108607376|XP_017853587.2|DBUS
OG0001204	LOC119657884|XP_037920948.1|HILL	LOC108608408|XP_017855255.1|DBUS
