Orthogroup	CCAP.longest_only	HILL.longest_only
OG0000832	CCAP1982_LOCUS22663|CAD7014678.1|CCAP	LOC119646406|XP_037902778.1|HILL
OG0000833	CCAP1982_LOCUS14574|CAD7006248.1|CCAP	LOC119648899|XP_037906731.1|HILL
OG0000834	CCAP1982_LOCUS3177|CAD6994426.1|CCAP, CCAP1982_LOCUS2133|CAD6993316.1|CCAP, CCAP1982_LOCUS2134|CAD6993317.1|CCAP, CCAP1982_LOCUS2135|CAD6993318.1|CCAP	LOC119650167|XP_037908642.1|HILL
OG0000835	CCAP1982_LOCUS3035|CAD6994274.1|CCAP, CCAP1982_LOCUS5915|CAD6997282.1|CCAP, CCAP1982_LOCUS5931|CAD6997298.1|CCAP, CCAP1982_LOCUS23447|CAD7015508.1|CCAP, CCAP1982_LOCUS5910|CAD6997277.1|CCAP, CCAP1982_LOCUS5907|CAD6997274.1|CCAP	LOC119649256|XP_037907253.1|HILL
OG0000836	CCAP1982_LOCUS5624|CAD6996957.1|CCAP	LOC119651568|XP_037911131.1|HILL
OG0000839	CCAP1982_LOCUS770|CAD6991879.1|CCAP	LOC119659633|XP_037923760.1|HILL
OG0000841	CCAP1982_LOCUS4224|CAD6995511.1|CCAP	LOC119660594|XP_037925196.1|HILL
OG0000842	CCAP1982_LOCUS21103|CAD7013014.1|CCAP	LOC119653816|XP_037914775.1|HILL
OG0000843	CCAP1982_LOCUS5498|CAD6996825.1|CCAP	LOC119654815|XP_037916301.1|HILL
OG0000844	CCAP1982_LOCUS21108|CAD7013021.1|CCAP	LOC119653876|XP_037914916.1|HILL
OG0000846	CCAP1982_LOCUS1614|CAD6992773.1|CCAP, CCAP1982_LOCUS2141|CAD6993325.1|CCAP, CCAP1982_LOCUS2145|CAD6993329.1|CCAP, CCAP1982_LOCUS2146|CAD6993330.1|CCAP, CCAP1982_LOCUS2142|CAD6993326.1|CCAP, CCAP1982_LOCUS2144|CAD6993328.1|CCAP, CCAP1982_LOCUS2143|CAD6993327.1|CCAP, CCAP1982_LOCUS2140|CAD6993324.1|CCAP	LOC119651372|XP_037910875.1|HILL, LOC119652727|XP_037912953.1|HILL, LOC119654612|XP_037916012.1|HILL
OG0000848	CCAP1982_LOCUS8247|CAD6999721.1|CCAP, CCAP1982_LOCUS8237|CAD6999711.1|CCAP	LOC119658671|XP_037922165.1|HILL
OG0000849	CCAP1982_LOCUS8441|CAD6999928.1|CCAP, CCAP1982_LOCUS8442|CAD6999929.1|CCAP, CCAP1982_LOCUS8443|CAD6999930.1|CCAP	LOC119647307|XP_037904149.1|HILL
OG0000850	CCAP1982_LOCUS22786|CAD7014819.1|CCAP	LOC119653529|XP_037914170.1|HILL, LOC119646372|XP_037902736.1|HILL
OG0000856	CCAP1982_LOCUS13873|CAD7005513.1|CCAP	LOC119661011|XP_037926086.1|HILL
OG0000858	CCAP1982_LOCUS3995|CAD6995275.1|CCAP	LOC119651400|XP_037910915.1|HILL
OG0000860	CCAP1982_LOCUS12607|CAD7004188.1|CCAP	LOC119650458|XP_037909242.1|HILL
OG0000861	CCAP1982_LOCUS23355|CAD7015412.1|CCAP, CCAP1982_LOCUS23353|CAD7015410.1|CCAP	LOC119660138|XP_037924469.1|HILL
OG0000865	CCAP1982_LOCUS4953|CAD6996270.1|CCAP	LOC119660267|XP_037924654.1|HILL
OG0000866	CCAP1982_LOCUS8871|CAD7000396.1|CCAP	LOC119651344|XP_037910827.1|HILL
OG0000867	CCAP1982_LOCUS6476|CAD6997852.1|CCAP	LOC119661534|XP_037926842.1|HILL
OG0000869	CCAP1982_LOCUS4368|CAD6995661.1|CCAP, CCAP1982_LOCUS4369|CAD6995662.1|CCAP	LOC119659879|XP_037924126.1|HILL
OG0000870	CCAP1982_LOCUS20504|CAD7012418.1|CCAP	LOC119655994|XP_037918160.1|HILL
OG0000871	CCAP1982_LOCUS19771|CAD7011687.1|CCAP	LOC119655804|XP_037917831.1|HILL
OG0000872	CCAP1982_LOCUS21128|CAD7013046.1|CCAP	LOC119653635|XP_037914344.1|HILL
OG0000873	CCAP1982_LOCUS11773|CAD7003312.1|CCAP, CCAP1982_LOCUS11691|CAD7003230.1|CCAP, CCAP1982_LOCUS11692|CAD7003231.1|CCAP	LOC119649384|XP_037907430.1|HILL
OG0000875	CCAP1982_LOCUS2405|CAD6993595.1|CCAP, CCAP1982_LOCUS14457|CAD7006125.1|CCAP	LOC119648335|XP_037905957.1|HILL
OG0000878	CCAP1982_LOCUS20172|CAD7012072.1|CCAP, CCAP1982_LOCUS20173|CAD7012073.1|CCAP, CCAP1982_LOCUS20174|CAD7012074.1|CCAP, CCAP1982_LOCUS20175|CAD7012075.1|CCAP	LOC119654988|XP_037916580.1|HILL
OG0000886	CCAP1982_LOCUS2115|CAD6993301.1|CCAP	LOC119650614|XP_037909425.1|HILL
OG0000888	CCAP1982_LOCUS11353|CAD7002884.1|CCAP, CCAP1982_LOCUS11349|CAD7002880.1|CCAP, CCAP1982_LOCUS11355|CAD7002886.1|CCAP	LOC119647432|XP_037904268.1|HILL
OG0000889	CCAP1982_LOCUS13751|CAD7005391.1|CCAP	LOC119649708|XP_037907907.1|HILL
OG0000890	CCAP1982_LOCUS23265|CAD7015320.1|CCAP	LOC119647425|XP_037904258.1|HILL
OG0000891	CCAP1982_LOCUS8035|CAD6999510.1|CCAP	LOC119651506|XP_037911062.1|HILL
OG0000892	CCAP1982_LOCUS14260|CAD7005922.1|CCAP	LOC119650186|XP_037908674.1|HILL
OG0000893	CCAP1982_LOCUS4761|CAD6996054.1|CCAP	LOC119661300|XP_037926517.1|HILL
OG0000894	CCAP1982_LOCUS5163|CAD6996494.1|CCAP	LOC119659992|XP_037924292.1|HILL
OG0000895	CCAP1982_LOCUS22848|CAD7014884.1|CCAP	LOC119655493|XP_037917323.1|HILL
OG0000899	CCAP1982_LOCUS2195|CAD6993379.1|CCAP	LOC119659559|XP_037923636.1|HILL
OG0000909	CCAP1982_LOCUS3768|CAD6995038.1|CCAP	LOC119657311|XP_037920098.1|HILL
OG0000911	CCAP1982_LOCUS21662|CAD7013610.1|CCAP	LOC119659735|XP_037923922.1|HILL
OG0000912	CCAP1982_LOCUS14320|CAD7005984.1|CCAP	LOC119649903|XP_037908223.1|HILL, LOC119648205|XP_037905735.1|HILL
OG0000913	CCAP1982_LOCUS10762|CAD7002267.1|CCAP	LOC119648598|XP_037906296.1|HILL
OG0000913	CCAP1982_LOCUS10773|CAD7002278.1|CCAP	LOC119649914|XP_037908241.1|HILL
OG0000914	CCAP1982_LOCUS21261|CAD7013190.1|CCAP	LOC119659280|XP_037923220.1|HILL
OG0000915	CCAP1982_LOCUS21547|CAD7013485.1|CCAP	LOC119661273|XP_037926469.1|HILL
OG0000916	CCAP1982_LOCUS8269|CAD6999743.1|CCAP	LOC119649969|XP_037908336.1|HILL
OG0000917	CCAP1982_LOCUS8922|CAD7000445.1|CCAP	LOC119653264|XP_037913804.1|HILL
OG0000918	CCAP1982_LOCUS5537|CAD6996863.1|CCAP	LOC119661271|XP_037926460.1|HILL
OG0000922	CCAP1982_LOCUS12740|CAD7004321.1|CCAP, CCAP1982_LOCUS12739|CAD7004320.1|CCAP, CCAP1982_LOCUS12737|CAD7004318.1|CCAP	LOC119648848|XP_037906650.1|HILL, LOC119648849|XP_037906654.1|HILL
OG0000923	CCAP1982_LOCUS5176|CAD6996508.1|CCAP, CCAP1982_LOCUS22264|CAD7014261.1|CCAP	LOC119659268|XP_037923196.1|HILL
OG0000925	CCAP1982_LOCUS1840|CAD6993005.1|CCAP	LOC119654032|XP_037915122.1|HILL, LOC119654830|XP_037916325.1|HILL
OG0000931	CCAP1982_LOCUS14267|CAD7005929.1|CCAP	LOC119650289|XP_037908847.1|HILL
OG0000935	CCAP1982_LOCUS3212|CAD6994467.1|CCAP	LOC119652079|XP_037911945.1|HILL
OG0000936	CCAP1982_LOCUS4121|CAD6995403.1|CCAP	LOC119658888|XP_037922606.1|HILL
OG0000937	CCAP1982_LOCUS3421|CAD6994686.1|CCAP, CCAP1982_LOCUS3422|CAD6994687.1|CCAP	LOC119657145|XP_037919850.1|HILL, LOC119657808|XP_037920833.1|HILL, LOC119658309|XP_037921544.1|HILL, LOC119658006|XP_037921155.1|HILL, LOC119657604|XP_037920530.1|HILL, LOC119649299|XP_037907321.1|HILL, LOC119649212|XP_037907197.1|HILL
OG0000939	CCAP1982_LOCUS8572|CAD7000071.1|CCAP	LOC119661716|XP_037927099.1|HILL
OG0000942	CCAP1982_LOCUS13068|CAD7004674.1|CCAP	LOC119648309|XP_037905916.1|HILL
OG0000943	CCAP1982_LOCUS23191|CAD7015240.1|CCAP	LOC119661205|XP_037926357.1|HILL
OG0000945	CCAP1982_LOCUS22125|CAD7014119.1|CCAP	LOC119661753|XP_037927151.1|HILL
OG0000947	CCAP1982_LOCUS19572|CAD7011472.1|CCAP	LOC119659221|XP_037923125.1|HILL
OG0000948	CCAP1982_LOCUS11573|CAD7003110.1|CCAP	LOC119650053|XP_037908470.1|HILL
OG0000951	CCAP1982_LOCUS166|CAD6991229.1|CCAP	LOC119660211|XP_037924573.1|HILL
OG0000952	CCAP1982_LOCUS7797|CAD6999267.1|CCAP	LOC119647108|XP_037903814.1|HILL
OG0000957	CCAP1982_LOCUS13628|CAD7005271.1|CCAP	LOC119649988|XP_037908370.1|HILL
OG0000964	CCAP1982_LOCUS19682|CAD7011593.1|CCAP	LOC119660339|XP_037924753.1|HILL
OG0000966	CCAP1982_LOCUS5066|CAD6996391.1|CCAP	LOC119659817|XP_037924028.1|HILL
OG0000968	CCAP1982_LOCUS11834|CAD7003375.1|CCAP	LOC119650278|XP_037908831.1|HILL, LOC119648563|XP_037906261.1|HILL, LOC119648564|XP_037906262.1|HILL, LOC119648565|XP_037906263.1|HILL, LOC119649022|XP_037906905.1|HILL, LOC119650083|XP_037908515.1|HILL, LOC119649837|XP_037908109.1|HILL, LOC119650193|XP_037908687.1|HILL
OG0000969	CCAP1982_LOCUS23334|CAD7015390.1|CCAP	LOC119655293|XP_037917046.1|HILL
OG0000970	CCAP1982_LOCUS2746|CAD6993961.1|CCAP	LOC119660558|XP_037925126.1|HILL
OG0000971	CCAP1982_LOCUS8220|CAD6999693.1|CCAP	LOC119646696|XP_037903188.1|HILL
OG0000972	CCAP1982_LOCUS11059|CAD7002571.1|CCAP	LOC119655462|XP_037917295.1|HILL
OG0000975	CCAP1982_LOCUS5108|CAD6996435.1|CCAP, CCAP1982_LOCUS5109|CAD6996436.1|CCAP, CCAP1982_LOCUS5107|CAD6996434.1|CCAP	LOC119659274|XP_037923207.1|HILL
OG0000976	CCAP1982_LOCUS4860|CAD6996168.1|CCAP, CCAP1982_LOCUS4863|CAD6996171.1|CCAP, CCAP1982_LOCUS4859|CAD6996167.1|CCAP	LOC119659502|XP_037923556.1|HILL
OG0000977	CCAP1982_LOCUS4904|CAD6996216.1|CCAP, CCAP1982_LOCUS4902|CAD6996214.1|CCAP	LOC119658812|XP_037922463.1|HILL
OG0000978	CCAP1982_LOCUS4767|CAD6996059.1|CCAP	LOC119659555|XP_037923632.1|HILL
OG0000992	CCAP1982_LOCUS4021|CAD6995302.1|CCAP	LOC119646600|XP_037903022.1|HILL
OG0000995	CCAP1982_LOCUS22836|CAD7014872.1|CCAP	LOC119658915|XP_037922663.1|HILL
OG0000996	CCAP1982_LOCUS21390|CAD7013320.1|CCAP	LOC119646992|XP_037903636.1|HILL
OG0000997	CCAP1982_LOCUS23125|CAD7015172.1|CCAP, CCAP1982_LOCUS23124|CAD7015171.1|CCAP	LOC119661765|XP_037927163.1|HILL
OG0000998	CCAP1982_LOCUS11164|CAD7002685.1|CCAP, CCAP1982_LOCUS11162|CAD7002682.1|CCAP, CCAP1982_LOCUS11161|CAD7002681.1|CCAP, CCAP1982_LOCUS11159|CAD7002677.1|CCAP	LOC119647895|XP_037905126.1|HILL, LOC119647894|XP_037905121.1|HILL
OG0001000	CCAP1982_LOCUS7177|CAD6998602.1|CCAP	LOC119661572|XP_037926898.1|HILL
OG0001001	CCAP1982_LOCUS7241|CAD6998682.1|CCAP	LOC119661125|XP_037926250.1|HILL
OG0001002	CCAP1982_LOCUS8673|CAD7000182.1|CCAP, CCAP1982_LOCUS8675|CAD7000184.1|CCAP, CCAP1982_LOCUS8672|CAD7000181.1|CCAP	LOC119654243|XP_037915413.1|HILL
OG0001004	CCAP1982_LOCUS519|CAD6991602.1|CCAP	LOC119660421|XP_037924896.1|HILL
OG0001005	CCAP1982_LOCUS13375|CAD7004999.1|CCAP	LOC119653619|XP_037914316.1|HILL
OG0001006	CCAP1982_LOCUS13426|CAD7005058.1|CCAP	LOC119649453|XP_037907535.1|HILL
OG0001007	CCAP1982_LOCUS21101|CAD7013012.1|CCAP	LOC119656271|XP_037918622.1|HILL
OG0001009	CCAP1982_LOCUS8077|CAD6999557.1|CCAP	LOC119656127|XP_037918388.1|HILL
OG0001013	CCAP1982_LOCUS13472|CAD7005110.1|CCAP	LOC119650229|XP_037908736.1|HILL
OG0001014	CCAP1982_LOCUS14739|CAD7006419.1|CCAP	LOC119655082|XP_037916710.1|HILL
OG0001019	CCAP1982_LOCUS3433|CAD6994698.1|CCAP	LOC119657389|XP_037920202.1|HILL
OG0001021	CCAP1982_LOCUS6394|CAD6997764.1|CCAP, CCAP1982_LOCUS20090|CAD7011979.1|CCAP, CCAP1982_LOCUS20092|CAD7011981.1|CCAP	LOC119651094|XP_037910375.1|HILL
OG0001024	CCAP1982_LOCUS3439|CAD6994704.1|CCAP, CCAP1982_LOCUS3438|CAD6994703.1|CCAP	LOC119659862|XP_037924098.1|HILL, LOC119660009|XP_037924314.1|HILL
OG0001025	CCAP1982_LOCUS14956|CAD7006653.1|CCAP	LOC119649739|XP_037907949.1|HILL
OG0001026	CCAP1982_LOCUS21674|CAD7013623.1|CCAP	LOC119655498|XP_037917331.1|HILL
OG0001027	CCAP1982_LOCUS11668|CAD7003208.1|CCAP	LOC119648947|XP_037906790.1|HILL, LOC119647827|XP_037904993.1|HILL
OG0001028	CCAP1982_LOCUS8649|CAD7000156.1|CCAP	LOC119649985|XP_037908355.1|HILL
OG0001031	CCAP1982_LOCUS6157|CAD6997518.1|CCAP, CCAP1982_LOCUS6156|CAD6997517.1|CCAP, CCAP1982_LOCUS6151|CAD6997512.1|CCAP	LOC119650960|XP_037910134.1|HILL
OG0001034	CCAP1982_LOCUS13833|CAD7005473.1|CCAP	LOC119650231|XP_037908738.1|HILL
OG0001034	CCAP1982_LOCUS13844|CAD7005484.1|CCAP	LOC119648464|XP_037906150.1|HILL
OG0001042	CCAP1982_LOCUS1764|CAD6992931.1|CCAP	LOC119646639|XP_037903080.1|HILL
OG0001045	CCAP1982_LOCUS20913|CAD7012813.1|CCAP	LOC119652268|XP_037912181.1|HILL
OG0001046	CCAP1982_LOCUS19960|CAD7011851.1|CCAP	LOC119654795|XP_037916272.1|HILL
OG0001047	CCAP1982_LOCUS20366|CAD7012270.1|CCAP	LOC119657541|XP_037920411.1|HILL
OG0001048	CCAP1982_LOCUS21371|CAD7013300.1|CCAP	LOC119647179|XP_037903915.1|HILL
OG0001049	CCAP1982_LOCUS12233|CAD7003800.1|CCAP, CCAP1982_LOCUS12232|CAD7003799.1|CCAP	LOC119647474|XP_037904341.1|HILL
OG0001050	CCAP1982_LOCUS11755|CAD7003293.1|CCAP	LOC119647631|XP_037904616.1|HILL
OG0001051	CCAP1982_LOCUS7727|CAD6999191.1|CCAP	LOC119652144|XP_037912013.1|HILL, LOC119652142|XP_037912011.1|HILL, LOC119652143|XP_037912012.1|HILL
OG0001051	CCAP1982_LOCUS7728|CAD6999192.1|CCAP	LOC119649498|XP_037907593.1|HILL
OG0001052	CCAP1982_LOCUS5814|CAD6997172.1|CCAP	LOC119646181|XP_037902491.1|HILL
OG0001054	CCAP1982_LOCUS3180|CAD6994429.1|CCAP	LOC119660306|XP_037924708.1|HILL
OG0001057	CCAP1982_LOCUS20701|CAD7012617.1|CCAP	LOC119653748|XP_037914605.1|HILL
OG0001059	CCAP1982_LOCUS14475|CAD7006147.1|CCAP, CCAP1982_LOCUS14471|CAD7006143.1|CCAP	LOC119647686|XP_037904696.1|HILL
OG0001060	CCAP1982_LOCUS398|CAD6991473.1|CCAP	LOC119657290|XP_037920065.1|HILL
OG0001061	CCAP1982_LOCUS21406|CAD7013338.1|CCAP, CCAP1982_LOCUS4091|CAD6995373.1|CCAP	LOC119649749|XP_037907966.1|HILL
OG0001073	CCAP1982_LOCUS2980|CAD6994218.1|CCAP	LOC119656558|XP_037918865.1|HILL, LOC119656559|XP_037918867.1|HILL, LOC119656562|XP_037918871.1|HILL, LOC119656561|XP_037918870.1|HILL, LOC119656557|XP_037918863.1|HILL
OG0001074	CCAP1982_LOCUS22501|CAD7014499.1|CCAP	LOC119653482|XP_037914037.1|HILL, LOC119653483|XP_037914038.1|HILL
OG0001075	CCAP1982_LOCUS14895|CAD7006581.1|CCAP	LOC119648135|XP_037905605.1|HILL
OG0001077	CCAP1982_LOCUS4172|CAD6995457.1|CCAP	LOC119658889|XP_037922615.1|HILL
OG0001079	CCAP1982_LOCUS12708|CAD7004289.1|CCAP	LOC119650348|XP_037908950.1|HILL
OG0001080	CCAP1982_LOCUS11124|CAD7002641.1|CCAP	LOC119650340|XP_037908935.1|HILL
OG0001081	CCAP1982_LOCUS996|CAD6992112.1|CCAP	LOC119654600|XP_037915997.1|HILL
OG0001082	CCAP1982_LOCUS22051|CAD7014045.1|CCAP	LOC119658666|XP_037922151.1|HILL
OG0001083	CCAP1982_LOCUS14891|CAD7006577.1|CCAP	LOC119648140|XP_037905614.1|HILL
OG0001084	CCAP1982_LOCUS21820|CAD7013799.1|CCAP, CCAP1982_LOCUS21819|CAD7013798.1|CCAP	LOC119658838|XP_037922509.1|HILL
OG0001085	CCAP1982_LOCUS21337|CAD7013266.1|CCAP	LOC119661259|XP_037926439.1|HILL
OG0001086	CCAP1982_LOCUS21090|CAD7013000.1|CCAP	LOC119654908|XP_037916469.1|HILL
OG0001088	CCAP1982_LOCUS12834|CAD7004425.1|CCAP	LOC119647748|XP_037904795.1|HILL
OG0001089	CCAP1982_LOCUS12321|CAD7003891.1|CCAP	LOC119649506|XP_037907604.1|HILL
OG0001090	CCAP1982_LOCUS12515|CAD7004092.1|CCAP	LOC119650125|XP_037908578.1|HILL
OG0001091	CCAP1982_LOCUS11183|CAD7002706.1|CCAP	LOC119648589|XP_037906287.1|HILL, LOC119650284|XP_037908839.1|HILL, LOC119650359|XP_037908974.1|HILL, LOC119649844|XP_037908117.1|HILL, LOC119648299|XP_037905885.1|HILL
OG0001092	CCAP1982_LOCUS8406|CAD6999896.1|CCAP	LOC119651442|XP_037910974.1|HILL
OG0001093	CCAP1982_LOCUS6559|CAD6997942.1|CCAP, CCAP1982_LOCUS6558|CAD6997941.1|CCAP	LOC119651291|XP_037910736.1|HILL, LOC119652250|XP_037912158.1|HILL
OG0001094	CCAP1982_LOCUS6585|CAD6997967.1|CCAP, CCAP1982_LOCUS6594|CAD6997977.1|CCAP	LOC119653073|XP_037913485.1|HILL
OG0001095	CCAP1982_LOCUS5633|CAD6996967.1|CCAP	LOC119651165|XP_037910511.1|HILL
OG0001096	CCAP1982_LOCUS8252|CAD6999726.1|CCAP	LOC119654769|XP_037916238.1|HILL, LOC119655109|XP_037916759.1|HILL
OG0001097	CCAP1982_LOCUS5730|CAD6997077.1|CCAP	LOC119661406|XP_037926663.1|HILL
OG0001098	CCAP1982_LOCUS13085|CAD7004691.1|CCAP	LOC119649387|XP_037907436.1|HILL, LOC119659096|XP_037922943.1|HILL, LOC119657654|XP_037920605.1|HILL
OG0001099	CCAP1982_LOCUS12524|CAD7004101.1|CCAP	LOC119649218|XP_037907205.1|HILL, LOC119648717|XP_037906453.1|HILL, LOC119649369|XP_037907413.1|HILL
OG0001100	CCAP1982_LOCUS908|CAD6992026.1|CCAP	LOC119655645|XP_037917552.1|HILL
OG0001101	CCAP1982_LOCUS20125|CAD7012014.1|CCAP	LOC119656262|XP_037918608.1|HILL
OG0001102	CCAP1982_LOCUS14212|CAD7005870.1|CCAP, CCAP1982_LOCUS14202|CAD7005860.1|CCAP	LOC119647913|XP_037905163.1|HILL
OG0001103	CCAP1982_LOCUS3837|CAD6995115.1|CCAP, CCAP1982_LOCUS3835|CAD6995113.1|CCAP	LOC119651483|XP_037911022.1|HILL
OG0001104	CCAP1982_LOCUS20148|CAD7012046.1|CCAP	LOC119654690|XP_037916128.1|HILL
OG0001106	CCAP1982_LOCUS19510|CAD7011410.1|CCAP, CCAP1982_LOCUS19502|CAD7011402.1|CCAP, CCAP1982_LOCUS19508|CAD7011408.1|CCAP, CCAP1982_LOCUS19504|CAD7011404.1|CCAP	LOC119660910|XP_037925785.1|HILL
OG0001119	CCAP1982_LOCUS4136|CAD6995419.1|CCAP	LOC119658275|XP_037921494.1|HILL
OG0001120	CCAP1982_LOCUS3124|CAD6994371.1|CCAP	LOC119651250|XP_037910659.1|HILL
OG0001121	CCAP1982_LOCUS22189|CAD7014183.1|CCAP	LOC119647714|XP_037904737.1|HILL
OG0001122	CCAP1982_LOCUS12577|CAD7004157.1|CCAP	LOC119650129|XP_037908586.1|HILL
OG0001124	CCAP1982_LOCUS3530|CAD6994799.1|CCAP	LOC119661581|XP_037926908.1|HILL, LOC119653509|XP_037914097.1|HILL
OG0001125	CCAP1982_LOCUS12956|CAD7004560.1|CCAP	LOC119648754|XP_037906506.1|HILL
OG0001126	CCAP1982_LOCUS12937|CAD7004540.1|CCAP	LOC119650445|XP_037909228.1|HILL
OG0001127	CCAP1982_LOCUS13446|CAD7005083.1|CCAP	LOC119648123|XP_037905573.1|HILL, LOC119647815|XP_037904971.1|HILL, LOC119647572|XP_037904500.1|HILL, LOC119647816|XP_037904972.1|HILL, LOC119647817|XP_037904973.1|HILL, LOC119647820|XP_037904978.1|HILL
OG0001128	CCAP1982_LOCUS23086|CAD7015136.1|CCAP	LOC119660463|XP_037924958.1|HILL
OG0001129	CCAP1982_LOCUS5497|CAD6996824.1|CCAP, CCAP1982_LOCUS5496|CAD6996823.1|CCAP	LOC119650885|XP_037909986.1|HILL
OG0001130	CCAP1982_LOCUS5744|CAD6997091.1|CCAP	LOC119653058|XP_037913465.1|HILL
OG0001131	CCAP1982_LOCUS10341|CAD7001852.1|CCAP	LOC119660936|XP_037925859.1|HILL
OG0001133	CCAP1982_LOCUS6900|CAD6998291.1|CCAP, CCAP1982_LOCUS6901|CAD6998292.1|CCAP, CCAP1982_LOCUS6888|CAD6998279.1|CCAP, CCAP1982_LOCUS6889|CAD6998280.1|CCAP, CCAP1982_LOCUS6904|CAD6998295.1|CCAP, CCAP1982_LOCUS6899|CAD6998290.1|CCAP	LOC119647256|XP_037904063.1|HILL
OG0001134	CCAP1982_LOCUS20005|CAD7011894.1|CCAP	LOC119656169|XP_037918443.1|HILL, LOC119656168|XP_037918442.1|HILL, LOC119655305|XP_037917062.1|HILL, LOC119654050|XP_037915138.1|HILL, LOC119654064|XP_037915156.1|HILL, LOC119653774|XP_037914701.1|HILL
OG0001135	CCAP1982_LOCUS54|CAD6991107.1|CCAP	LOC119654839|XP_037916342.1|HILL
OG0001135	CCAP1982_LOCUS53|CAD6991106.1|CCAP	LOC119654481|XP_037915830.1|HILL
OG0001136	CCAP1982_LOCUS933|CAD6992052.1|CCAP, CCAP1982_LOCUS945|CAD6992064.1|CCAP, CCAP1982_LOCUS948|CAD6992067.1|CCAP, CCAP1982_LOCUS946|CAD6992065.1|CCAP, CCAP1982_LOCUS932|CAD6992051.1|CCAP	LOC119660441|XP_037924921.1|HILL
OG0001137	CCAP1982_LOCUS5134|CAD6996465.1|CCAP	LOC119659607|XP_037923706.1|HILL, LOC119659962|XP_037924244.1|HILL, LOC119659283|XP_037923219.1|HILL, LOC119659485|XP_037923526.1|HILL, LOC119659510|XP_037923568.1|HILL, LOC119659576|XP_037923661.1|HILL, LOC119659818|XP_037924029.1|HILL, LOC119659917|XP_037924170.1|HILL, LOC119660171|XP_037924505.1|HILL, LOC119659452|XP_037923465.1|HILL, LOC119659493|XP_037923539.1|HILL, LOC119659623|XP_037923751.1|HILL, LOC119659635|XP_037923762.1|HILL
OG0001138	CCAP1982_LOCUS11127|CAD7002644.1|CCAP, CCAP1982_LOCUS11125|CAD7002642.1|CCAP	LOC119655094|XP_037916728.1|HILL
OG0001139	CCAP1982_LOCUS14528|CAD7006200.1|CCAP	LOC119647597|XP_037904547.1|HILL
OG0001140	CCAP1982_LOCUS30|CAD6991082.1|CCAP, CCAP1982_LOCUS29|CAD6991081.1|CCAP	LOC119647169|XP_037903902.1|HILL, LOC119656962|XP_037919610.1|HILL, LOC119656930|XP_037919552.1|HILL
OG0001141	CCAP1982_LOCUS1431|CAD6992583.1|CCAP, CCAP1982_LOCUS1434|CAD6992585.1|CCAP	LOC119648620|XP_037906317.1|HILL
OG0001144	CCAP1982_LOCUS20324|CAD7012226.1|CCAP	LOC119655340|XP_037917115.1|HILL
OG0001153	CCAP1982_LOCUS20531|CAD7012450.1|CCAP	LOC119660793|XP_037925528.1|HILL
OG0001154	CCAP1982_LOCUS5972|CAD6997338.1|CCAP	LOC119651636|XP_037911228.1|HILL
OG0001157	CCAP1982_LOCUS4065|CAD6995346.1|CCAP	LOC119660564|XP_037925135.1|HILL
OG0001157	CCAP1982_LOCUS4069|CAD6995350.1|CCAP, CCAP1982_LOCUS4068|CAD6995349.1|CCAP	LOC119651295|XP_037910744.1|HILL
OG0001158	CCAP1982_LOCUS8483|CAD6999978.1|CCAP	LOC119657603|XP_037920533.1|HILL
OG0001159	CCAP1982_LOCUS1413|CAD6992567.1|CCAP, CCAP1982_LOCUS1411|CAD6992565.1|CCAP	LOC119656717|XP_037919167.1|HILL
OG0001160	CCAP1982_LOCUS1437|CAD6992588.1|CCAP, CCAP1982_LOCUS1439|CAD6992590.1|CCAP	LOC119653171|XP_037913646.1|HILL
OG0001161	CCAP1982_LOCUS44|CAD6991097.1|CCAP	LOC119650746|XP_037909750.1|HILL
OG0001162	CCAP1982_LOCUS861|CAD6991974.1|CCAP, CCAP1982_LOCUS3527|CAD6994796.1|CCAP	LOC119658310|XP_037921547.1|HILL
OG0001163	CCAP1982_LOCUS1187|CAD6992319.1|CCAP	LOC119650564|XP_037909297.1|HILL
OG0001164	CCAP1982_LOCUS3746|CAD6995015.1|CCAP, CCAP1982_LOCUS3747|CAD6995016.1|CCAP	LOC119651647|XP_037911251.1|HILL
OG0001165	CCAP1982_LOCUS2339|CAD6993527.1|CCAP	LOC119657120|XP_037919808.1|HILL, LOC119657495|XP_037920353.1|HILL
OG0001166	CCAP1982_LOCUS13107|CAD7004714.1|CCAP, CCAP1982_LOCUS13125|CAD7004732.1|CCAP	LOC119649162|XP_037907104.1|HILL
OG0001167	CCAP1982_LOCUS23222|CAD7015275.1|CCAP	LOC119646574|XP_037902992.1|HILL
OG0001168	CCAP1982_LOCUS22756|CAD7014785.1|CCAP	LOC119655740|XP_037917721.1|HILL
OG0001170	CCAP1982_LOCUS4015|CAD6995296.1|CCAP, CCAP1982_LOCUS8446|CAD6999937.1|CCAP, CCAP1982_LOCUS4014|CAD6995295.1|CCAP	LOC119659790|XP_037923985.1|HILL
OG0001171	CCAP1982_LOCUS11094|CAD7002610.1|CCAP, CCAP1982_LOCUS11093|CAD7002609.1|CCAP, CCAP1982_LOCUS11087|CAD7002601.1|CCAP	LOC119650467|XP_037909262.1|HILL
OG0001172	CCAP1982_LOCUS23142|CAD7015192.1|CCAP, CCAP1982_LOCUS23145|CAD7015194.1|CCAP, CCAP1982_LOCUS23141|CAD7015190.1|CCAP	LOC119661407|XP_037926664.1|HILL
