Orthogroup	CCAP.longest_only	DEUG.longest_only
OG0000288	CCAP1982_LOCUS6603|CAD6997987.1|CCAP, CCAP1982_LOCUS6604|CAD6997988.1|CCAP	LOC108105719|XP_017067923.1|DEUG, LOC108105721|XP_017067925.1|DEUG, LOC108105718|XP_017067921.1|DEUG, LOC108105811|XP_017068039.1|DEUG
OG0000289	CCAP1982_LOCUS12905|CAD7004506.1|CCAP	LOC108108227|XP_017071682.1|DEUG
OG0000289	CCAP1982_LOCUS12469|CAD7004044.1|CCAP	LOC108107629|XP_017070687.1|DEUG
OG0000289	CCAP1982_LOCUS12479|CAD7004054.1|CCAP	LOC108108228|XP_017071683.1|DEUG
OG0000292	CCAP1982_LOCUS19738|CAD7011652.1|CCAP	LOC108113356|XP_017079410.1|DEUG
OG0000292	CCAP1982_LOCUS14548|CAD7006222.1|CCAP	LOC108107886|XP_017071162.1|DEUG
OG0000293	CCAP1982_LOCUS1805|CAD6992974.1|CCAP	LOC108116547|XP_017083974.1|DEUG
OG0000293	CCAP1982_LOCUS1818|CAD6992987.1|CCAP	LOC108116581|XP_017084011.1|DEUG
OG0000294	CCAP1982_LOCUS9357|CAD7000883.1|CCAP, CCAP1982_LOCUS9356|CAD7000882.1|CCAP	LOC108118243|XP_017062874.1|DEUG
OG0000297	CCAP1982_LOCUS20965|CAD7012866.1|CCAP, CCAP1982_LOCUS20966|CAD7012867.1|CCAP, CCAP1982_LOCUS20964|CAD7012865.1|CCAP	LOC108113329|XP_017079378.1|DEUG, LOC108113385|XP_017079446.1|DEUG
OG0000299	CCAP1982_LOCUS2375|CAD6993563.1|CCAP	LOC108116947|XP_017084584.1|DEUG
OG0000299	CCAP1982_LOCUS2378|CAD6993566.1|CCAP, CCAP1982_LOCUS2379|CAD6993567.1|CCAP	LOC108116985|XP_017084638.1|DEUG, LOC108116980|XP_017084631.1|DEUG
OG0000300	CCAP1982_LOCUS14184|CAD7005840.1|CCAP, CCAP1982_LOCUS14186|CAD7005842.1|CCAP	LOC108108481|XP_017072028.1|DEUG, LOC108108422|XP_017071963.1|DEUG, LOC108108477|XP_017072024.1|DEUG
OG0000301	CCAP1982_LOCUS10127|CAD7001633.1|CCAP	LOC108102385|XP_017062811.1|DEUG
OG0000301	CCAP1982_LOCUS8306|CAD6999785.1|CCAP	LOC108118319|XP_017086424.1|DEUG
OG0000302	CCAP1982_LOCUS10823|CAD7002335.1|CCAP	LOC108114548|XP_017081081.1|DEUG
OG0000302	CCAP1982_LOCUS11854|CAD7003397.1|CCAP	LOC108114549|XP_017081082.1|DEUG
OG0000303	CCAP1982_LOCUS9710|CAD7001212.1|CCAP	LOC108114392|XP_017080851.1|DEUG, LOC108106058|XP_017068405.1|DEUG, LOC108107165|XP_017070066.1|DEUG
OG0000304	CCAP1982_LOCUS899|CAD6992014.1|CCAP	LOC108109387|XP_017073373.1|DEUG, LOC108109393|XP_017073379.1|DEUG, LOC108109392|XP_017073378.1|DEUG
OG0000305	CCAP1982_LOCUS13487|CAD7005125.1|CCAP	LOC108118256|XP_017086335.1|DEUG
OG0000305	CCAP1982_LOCUS13486|CAD7005124.1|CCAP	LOC108118255|XP_017086334.1|DEUG
OG0000305	CCAP1982_LOCUS13485|CAD7005123.1|CCAP	LOC108118240|XP_017086313.1|DEUG
OG0000307	CCAP1982_LOCUS4947|CAD6996264.1|CCAP	LOC108105271|XP_017067246.1|DEUG
OG0000307	CCAP1982_LOCUS2700|CAD6993908.1|CCAP	LOC108115794|XP_017082860.1|DEUG
OG0000312	CCAP1982_LOCUS5594|CAD6996924.1|CCAP	LOC108108341|XP_017071869.1|DEUG
OG0000312	CCAP1982_LOCUS8736|CAD7000244.1|CCAP	LOC108110934|XP_017075714.1|DEUG
OG0000313	CCAP1982_LOCUS6026|CAD6997385.1|CCAP	LOC108110834|XP_017075563.1|DEUG
OG0000313	CCAP1982_LOCUS6027|CAD6997386.1|CCAP	LOC108105867|XP_017068132.1|DEUG
OG0000314	CCAP1982_LOCUS7021|CAD6998421.1|CCAP	LOC108111170|XP_017076038.1|DEUG, LOC108111077|XP_017075897.1|DEUG
OG0000315	CCAP1982_LOCUS9179|CAD7000706.1|CCAP	LOC108110605|XP_017075192.1|DEUG, LOC108110629|XP_017075217.1|DEUG, LOC108110496|XP_017075065.1|DEUG, LOC108110436|XP_017074992.1|DEUG
OG0000316	CCAP1982_LOCUS21932|CAD7013919.1|CCAP	LOC108111917|XP_017077047.1|DEUG
OG0000320	CCAP1982_LOCUS3506|CAD6994775.1|CCAP	LOC108116421|XP_017083798.1|DEUG, LOC108110433|XP_017074988.1|DEUG, LOC108116796|XP_017084333.1|DEUG
OG0000321	CCAP1982_LOCUS5968|CAD6997334.1|CCAP	LOC108104061|XP_017065412.1|DEUG
OG0000321	CCAP1982_LOCUS6789|CAD6998173.1|CCAP	LOC108104060|XP_017065411.1|DEUG
OG0000323	CCAP1982_LOCUS7856|CAD6999329.1|CCAP	LOC108105868|XP_017068133.1|DEUG
OG0000323	CCAP1982_LOCUS2694|CAD6993901.1|CCAP	LOC108116708|XP_017084215.1|DEUG
OG0000324	CCAP1982_LOCUS20550|CAD7012470.1|CCAP, CCAP1982_LOCUS20551|CAD7012471.1|CCAP	LOC108114898|XP_017081557.1|DEUG
OG0000325	CCAP1982_LOCUS14564|CAD7006238.1|CCAP	LOC108108660|XP_017072254.1|DEUG
OG0000325	CCAP1982_LOCUS14537|CAD7006209.1|CCAP, CCAP1982_LOCUS14573|CAD7006247.1|CCAP	LOC108108661|XP_017072255.1|DEUG
OG0000327	CCAP1982_LOCUS21685|CAD7013638.1|CCAP, CCAP1982_LOCUS21684|CAD7013637.1|CCAP, CCAP1982_LOCUS21688|CAD7013644.1|CCAP	LOC108112767|XP_017078516.1|DEUG, LOC108113367|XP_017079423.1|DEUG, LOC108112184|XP_017077483.1|DEUG
OG0000328	CCAP1982_LOCUS11450|CAD7002987.1|CCAP	LOC108107199|XP_017070105.1|DEUG, LOC108114000|XP_017080235.1|DEUG, LOC108113999|XP_017080234.1|DEUG
OG0000331	CCAP1982_LOCUS7694|CAD6999156.1|CCAP	LOC108106193|XP_017068608.1|DEUG, LOC108106169|XP_017068574.1|DEUG
OG0000332	CCAP1982_LOCUS2276|CAD6993463.1|CCAP	LOC108111167|XP_017076034.1|DEUG
OG0000333	CCAP1982_LOCUS14968|CAD7006666.1|CCAP	LOC108114119|XP_017080381.1|DEUG, LOC108114658|XP_017081221.1|DEUG
OG0000333	CCAP1982_LOCUS14967|CAD7006665.1|CCAP	LOC108107999|XP_017071339.1|DEUG
OG0000334	CCAP1982_LOCUS20995|CAD7012896.1|CCAP, CCAP1982_LOCUS19902|CAD7011792.1|CCAP	LOC108113174|XP_017079179.1|DEUG
OG0000335	CCAP1982_LOCUS6099|CAD6997453.1|CCAP	LOC108114805|XP_017081408.1|DEUG
OG0000335	CCAP1982_LOCUS6100|CAD6997454.1|CCAP	LOC108114774|XP_017081373.1|DEUG
OG0000336	CCAP1982_LOCUS705|CAD6991802.1|CCAP	LOC108116488|XP_017083909.1|DEUG, LOC108113808|XP_017080006.1|DEUG, LOC108113789|XP_017079986.1|DEUG
OG0000337	CCAP1982_LOCUS4380|CAD6995673.1|CCAP	LOC108108669|XP_017072263.1|DEUG, LOC108102451|XP_017062944.1|DEUG, LOC108108425|XP_017071966.1|DEUG
OG0000338	CCAP1982_LOCUS10874|CAD7002380.1|CCAP	LOC108102837|XP_017063519.1|DEUG
OG0000338	CCAP1982_LOCUS23221|CAD7015274.1|CCAP	LOC108104832|XP_017066618.1|DEUG
OG0000339	CCAP1982_LOCUS14878|CAD7006564.1|CCAP	LOC108114279|XP_017080665.1|DEUG
OG0000340	CCAP1982_LOCUS19733|CAD7011646.1|CCAP	LOC108113124|XP_017079116.1|DEUG
OG0000343	CCAP1982_LOCUS1051|CAD6992177.1|CCAP	LOC108109831|XP_017074065.1|DEUG
OG0000344	CCAP1982_LOCUS22694|CAD7014712.1|CCAP	LOC108112243|XP_017077554.1|DEUG
OG0000344	CCAP1982_LOCUS2029|CAD6993210.1|CCAP	LOC108111339|XP_017076255.1|DEUG
OG0000345	CCAP1982_LOCUS22702|CAD7014723.1|CCAP	LOC108112624|XP_017078215.1|DEUG
OG0000345	CCAP1982_LOCUS20163|CAD7012061.1|CCAP	LOC108111936|XP_017077088.1|DEUG
OG0000346	CCAP1982_LOCUS21350|CAD7013279.1|CCAP	LOC108106715|XP_017069437.1|DEUG
OG0000347	CCAP1982_LOCUS12932|CAD7004535.1|CCAP	LOC108110148|XP_017074552.1|DEUG, LOC108107639|XP_017070713.1|DEUG
OG0000347	CCAP1982_LOCUS8872|CAD7000397.1|CCAP	LOC108102564|XP_017063127.1|DEUG
OG0000349	CCAP1982_LOCUS5504|CAD6996831.1|CCAP, CCAP1982_LOCUS5503|CAD6996830.1|CCAP	LOC108114873|XP_017081515.1|DEUG
OG0000350	CCAP1982_LOCUS13445|CAD7005081.1|CCAP	LOC108107633|XP_017070692.1|DEUG, LOC108107640|XP_017070715.1|DEUG
OG0000350	CCAP1982_LOCUS13444|CAD7005080.1|CCAP	LOC108115740|XP_017082800.1|DEUG
OG0000351	CCAP1982_LOCUS19932|CAD7011822.1|CCAP	LOC108112177|XP_017077474.1|DEUG
OG0000353	CCAP1982_LOCUS1631|CAD6992792.1|CCAP, CCAP1982_LOCUS1641|CAD6992802.1|CCAP, CCAP1982_LOCUS1649|CAD6992810.1|CCAP	LOC108109547|XP_017073606.1|DEUG
OG0000353	CCAP1982_LOCUS5604|CAD6996934.1|CCAP	LOC108113425|XP_017079472.1|DEUG
OG0000354	CCAP1982_LOCUS8239|CAD6999713.1|CCAP	LOC108110557|XP_017075136.1|DEUG
OG0000355	CCAP1982_LOCUS21870|CAD7013851.1|CCAP	LOC108109066|XP_017072896.1|DEUG
OG0000355	CCAP1982_LOCUS21864|CAD7013844.1|CCAP	LOC108112228|XP_017077537.1|DEUG
OG0000356	CCAP1982_LOCUS21448|CAD7013383.1|CCAP, CCAP1982_LOCUS21447|CAD7013382.1|CCAP	LOC108107057|XP_017069909.1|DEUG, LOC108107056|XP_017069908.1|DEUG
OG0000359	CCAP1982_LOCUS14692|CAD7006370.1|CCAP	LOC108118198|XP_017086248.1|DEUG, LOC108118171|XP_017086218.1|DEUG, LOC108118174|XP_017086221.1|DEUG, LOC108118196|XP_017086246.1|DEUG, LOC108118176|XP_017086224.1|DEUG
OG0000361	CCAP1982_LOCUS5571|CAD6996898.1|CCAP	LOC108117316|XP_017085173.1|DEUG, LOC108109621|XP_017073687.1|DEUG, LOC108108498|XP_017072056.1|DEUG
OG0000362	CCAP1982_LOCUS13419|CAD7005048.1|CCAP	LOC108118552|XP_017086793.1|DEUG
OG0000362	CCAP1982_LOCUS14636|CAD7006314.1|CCAP	LOC108116764|XP_017084277.1|DEUG
OG0000363	CCAP1982_LOCUS4780|CAD6996073.1|CCAP	LOC108116604|XP_017084052.1|DEUG
OG0000363	CCAP1982_LOCUS11893|CAD7003437.1|CCAP, CCAP1982_LOCUS11894|CAD7003438.1|CCAP	LOC108114094|XP_017080336.1|DEUG
OG0000364	CCAP1982_LOCUS11310|CAD7002841.1|CCAP, CCAP1982_LOCUS11307|CAD7002837.1|CCAP, CCAP1982_LOCUS11309|CAD7002840.1|CCAP	LOC108113606|XP_017079757.1|DEUG
OG0000364	CCAP1982_LOCUS11306|CAD7002836.1|CCAP	LOC108103587|XP_017064601.1|DEUG
OG0000364	CCAP1982_LOCUS11303|CAD7002833.1|CCAP	LOC108103598|XP_017064615.1|DEUG
OG0000364	CCAP1982_LOCUS11295|CAD7002825.1|CCAP, CCAP1982_LOCUS11297|CAD7002827.1|CCAP	LOC108103601|XP_017064620.1|DEUG
OG0000365	CCAP1982_LOCUS22064|CAD7014056.1|CCAP	LOC108109206|XP_017073137.1|DEUG
OG0000365	CCAP1982_LOCUS7434|CAD6998887.1|CCAP	LOC108112421|XP_017077756.1|DEUG
OG0000366	CCAP1982_LOCUS89|CAD6991147.1|CCAP	LOC108113625|XP_017079776.1|DEUG
OG0000367	CCAP1982_LOCUS7492|CAD6998946.1|CCAP	LOC108114320|XP_017080722.1|DEUG
OG0000367	CCAP1982_LOCUS20529|CAD7012448.1|CCAP	LOC108109083|XP_017072936.1|DEUG
OG0000368	CCAP1982_LOCUS13421|CAD7005051.1|CCAP	LOC108114446|XP_017080933.1|DEUG
OG0000368	CCAP1982_LOCUS14032|CAD7005679.1|CCAP	LOC108114445|XP_017080930.1|DEUG
OG0000378	CCAP1982_LOCUS6736|CAD6998125.1|CCAP	LOC108103715|XP_017064801.1|DEUG
OG0000379	CCAP1982_LOCUS21660|CAD7013606.1|CCAP	LOC108112810|XP_017078596.1|DEUG, LOC108112190|XP_017077490.1|DEUG, LOC108112811|XP_017078597.1|DEUG
OG0000380	CCAP1982_LOCUS12650|CAD7004231.1|CCAP	LOC108114891|XP_017081538.1|DEUG
OG0000380	CCAP1982_LOCUS12649|CAD7004230.1|CCAP	LOC108114679|XP_017081258.1|DEUG
OG0000381	CCAP1982_LOCUS5374|CAD6996690.1|CCAP	LOC108111039|XP_017075856.1|DEUG
OG0000383	CCAP1982_LOCUS8613|CAD7000118.1|CCAP	LOC108110882|XP_017075629.1|DEUG
OG0000383	CCAP1982_LOCUS8611|CAD7000116.1|CCAP	LOC108118466|XP_017086676.1|DEUG
OG0000384	CCAP1982_LOCUS21415|CAD7013347.1|CCAP	LOC108106769|XP_017069497.1|DEUG
OG0000384	CCAP1982_LOCUS21411|CAD7013343.1|CCAP, CCAP1982_LOCUS21405|CAD7013337.1|CCAP	LOC108106645|XP_017069348.1|DEUG
OG0000386	CCAP1982_LOCUS2499|CAD6993693.1|CCAP	LOC108107653|XP_017070728.1|DEUG, LOC108107655|XP_017070730.1|DEUG, LOC108116093|XP_017083300.1|DEUG
OG0000389	CCAP1982_LOCUS19656|CAD7011568.1|CCAP	LOC108108329|XP_017071847.1|DEUG
OG0000390	CCAP1982_LOCUS21890|CAD7013874.1|CCAP	LOC108111808|XP_017076902.1|DEUG
OG0000391	CCAP1982_LOCUS21905|CAD7013892.1|CCAP	LOC108111939|XP_017077097.1|DEUG
OG0000391	CCAP1982_LOCUS21907|CAD7013893.1|CCAP	LOC108112028|XP_017077261.1|DEUG
OG0000392	CCAP1982_LOCUS6845|CAD6998235.1|CCAP	LOC108102690|XP_017063321.1|DEUG
OG0000393	CCAP1982_LOCUS7644|CAD6999099.1|CCAP	LOC108103058|XP_017063860.1|DEUG
OG0000393	CCAP1982_LOCUS7637|CAD6999091.1|CCAP	LOC108103060|XP_017063877.1|DEUG
OG0000395	CCAP1982_LOCUS13447|CAD7005084.1|CCAP	LOC108107949|XP_017071270.1|DEUG, LOC108107535|XP_017070565.1|DEUG, LOC108107537|XP_017070566.1|DEUG
OG0000396	CCAP1982_LOCUS8304|CAD6999782.1|CCAP, CCAP1982_LOCUS8303|CAD6999781.1|CCAP, CCAP1982_LOCUS8305|CAD6999783.1|CCAP	LOC108105647|XP_017067823.1|DEUG, LOC108118324|XP_017086431.1|DEUG, LOC108118321|XP_017086427.1|DEUG, LOC108118317|XP_017086422.1|DEUG, LOC108105642|XP_017067819.1|DEUG, LOC108105651|XP_017067828.1|DEUG, LOC108118318|XP_017086423.1|DEUG, LOC108118325|XP_017086432.1|DEUG, LOC108105644|XP_017067821.1|DEUG, LOC108106827|XP_017069553.1|DEUG, LOC108105716|XP_017067919.1|DEUG, LOC108106901|XP_017069638.1|DEUG, LOC108106890|XP_017069626.1|DEUG, LOC108106873|XP_017069608.1|DEUG
OG0000397	CCAP1982_LOCUS22197|CAD7014192.1|CCAP, CCAP1982_LOCUS22198|CAD7014193.1|CCAP	LOC108104508|XP_017066114.1|DEUG, LOC108104509|XP_017066115.1|DEUG, LOC108104506|XP_017066113.1|DEUG, LOC108104505|XP_017066112.1|DEUG
OG0000399	CCAP1982_LOCUS1621|CAD6992781.1|CCAP	LOC108115881|XP_017083010.1|DEUG
OG0000399	CCAP1982_LOCUS3083|CAD6994327.1|CCAP	LOC108112913|XP_017078783.1|DEUG
OG0000403	CCAP1982_LOCUS1259|CAD6992395.1|CCAP	LOC108111431|XP_017076386.1|DEUG
OG0000403	CCAP1982_LOCUS22013|CAD7014006.1|CCAP	LOC108109123|XP_017073008.1|DEUG
OG0000404	CCAP1982_LOCUS1097|CAD6992227.1|CCAP	LOC108111290|XP_017076167.1|DEUG
OG0000406	CCAP1982_LOCUS11897|CAD7003443.1|CCAP	LOC108114709|XP_017081297.1|DEUG
OG0000406	CCAP1982_LOCUS21278|CAD7013207.1|CCAP	LOC108106695|XP_017069416.1|DEUG
OG0000407	CCAP1982_LOCUS12843|CAD7004436.1|CCAP	LOC108108302|XP_017071805.1|DEUG
OG0000407	CCAP1982_LOCUS12844|CAD7004437.1|CCAP	LOC108108301|XP_017071800.1|DEUG
OG0000408	CCAP1982_LOCUS7779|CAD6999248.1|CCAP	LOC108116843|XP_017084388.1|DEUG, LOC108103409|XP_017064355.1|DEUG
OG0000409	CCAP1982_LOCUS21376|CAD7013305.1|CCAP, CCAP1982_LOCUS21379|CAD7013308.1|CCAP	LOC108106268|XP_017068721.1|DEUG, LOC108104527|XP_017066148.1|DEUG
OG0000411	CCAP1982_LOCUS957|CAD6992077.1|CCAP	LOC108109506|XP_017073537.1|DEUG
OG0000411	CCAP1982_LOCUS6392|CAD6997762.1|CCAP	LOC108108035|XP_017071400.1|DEUG
OG0000412	CCAP1982_LOCUS13595|CAD7005237.1|CCAP	LOC108105995|XP_017068321.1|DEUG
OG0000413	CCAP1982_LOCUS275|CAD6991346.1|CCAP	LOC108109449|XP_017073437.1|DEUG
OG0000413	CCAP1982_LOCUS5039|CAD6996361.1|CCAP, CCAP1982_LOCUS5038|CAD6996360.1|CCAP, CCAP1982_LOCUS5040|CAD6996362.1|CCAP	LOC108115231|XP_017082078.1|DEUG
OG0000414	CCAP1982_LOCUS19440|CAD7011335.1|CCAP	LOC108106280|XP_017068736.1|DEUG, LOC108106304|XP_017068764.1|DEUG, LOC108110366|XP_017074908.1|DEUG
OG0000415	CCAP1982_LOCUS19715|CAD7011626.1|CCAP	LOC108112835|XP_017078632.1|DEUG
OG0000415	CCAP1982_LOCUS19713|CAD7011624.1|CCAP	LOC108113128|XP_017079119.1|DEUG
OG0000417	CCAP1982_LOCUS1624|CAD6992785.1|CCAP	LOC108117548|XP_017085546.1|DEUG
OG0000417	CCAP1982_LOCUS1860|CAD6993024.1|CCAP, CCAP1982_LOCUS1861|CAD6993025.1|CCAP	LOC108111323|XP_017076209.1|DEUG
OG0000419	CCAP1982_LOCUS21861|CAD7013841.1|CCAP	LOC108112632|XP_017078227.1|DEUG
OG0000421	CCAP1982_LOCUS8404|CAD6999894.1|CCAP	LOC108105839|XP_017068084.1|DEUG
OG0000421	CCAP1982_LOCUS8319|CAD6999803.1|CCAP	LOC108118333|XP_017086457.1|DEUG
OG0000422	CCAP1982_LOCUS4204|CAD6995489.1|CCAP	LOC108106062|XP_017068409.1|DEUG
OG0000422	CCAP1982_LOCUS4201|CAD6995486.1|CCAP	LOC108106063|XP_017068410.1|DEUG
OG0000423	CCAP1982_LOCUS19616|CAD7011527.1|CCAP	LOC108113016|XP_017078927.1|DEUG
OG0000423	CCAP1982_LOCUS19615|CAD7011526.1|CCAP	LOC108112982|XP_017078879.1|DEUG
OG0000424	CCAP1982_LOCUS19629|CAD7011540.1|CCAP	LOC108112083|XP_017077321.1|DEUG, LOC108109397|XP_017073384.1|DEUG
OG0000424	CCAP1982_LOCUS19630|CAD7011542.1|CCAP	LOC108111940|XP_017077099.1|DEUG
OG0000425	CCAP1982_LOCUS20315|CAD7012217.1|CCAP	LOC108112410|XP_017077740.1|DEUG
OG0000425	CCAP1982_LOCUS20895|CAD7012794.1|CCAP	LOC108109270|XP_017073248.1|DEUG
OG0000426	CCAP1982_LOCUS4810|CAD6996114.1|CCAP, CCAP1982_LOCUS6894|CAD6998285.1|CCAP	LOC108112458|XP_017077799.1|DEUG, LOC108112459|XP_017077800.1|DEUG, LOC108106743|XP_017069469.1|DEUG
OG0000428	CCAP1982_LOCUS20636|CAD7012551.1|CCAP, CCAP1982_LOCUS20637|CAD7012552.1|CCAP	LOC108113926|XP_017080122.1|DEUG, LOC108114649|XP_017081210.1|DEUG, LOC108114647|XP_017081207.1|DEUG
OG0000429	CCAP1982_LOCUS20662|CAD7012577.1|CCAP, CCAP1982_LOCUS20663|CAD7012578.1|CCAP	LOC108106227|XP_017068642.1|DEUG
OG0000433	CCAP1982_LOCUS10907|CAD7002416.1|CCAP	LOC108107927|XP_017071239.1|DEUG
OG0000434	CCAP1982_LOCUS20167|CAD7012067.1|CCAP	LOC108115886|XP_017083018.1|DEUG
OG0000437	CCAP1982_LOCUS5654|CAD6996993.1|CCAP	LOC108110825|XP_017075550.1|DEUG
OG0000437	CCAP1982_LOCUS7931|CAD6999405.1|CCAP	LOC108111121|XP_017075962.1|DEUG
OG0000438	CCAP1982_LOCUS1066|CAD6992194.1|CCAP, CCAP1982_LOCUS1067|CAD6992195.1|CCAP	LOC108108670|XP_017072264.1|DEUG, LOC108111380|XP_017076301.1|DEUG
OG0000439	CCAP1982_LOCUS6443|CAD6997819.1|CCAP	LOC108111051|XP_017075869.1|DEUG
OG0000439	CCAP1982_LOCUS12270|CAD7003837.1|CCAP	LOC108106028|XP_017068366.1|DEUG
OG0000440	CCAP1982_LOCUS22496|CAD7014494.1|CCAP	LOC108113210|XP_017079233.1|DEUG
OG0000440	CCAP1982_LOCUS22497|CAD7014495.1|CCAP	LOC108112004|XP_017077229.1|DEUG
OG0000441	CCAP1982_LOCUS21648|CAD7013593.1|CCAP, CCAP1982_LOCUS21647|CAD7013592.1|CCAP	LOC108108863|XP_017072569.1|DEUG
OG0000441	CCAP1982_LOCUS21646|CAD7013591.1|CCAP	LOC108108955|XP_017072698.1|DEUG
OG0000443	CCAP1982_LOCUS7793|CAD6999263.1|CCAP	LOC108104721|XP_017066442.1|DEUG, LOC108104626|XP_017066290.1|DEUG
OG0000444	CCAP1982_LOCUS11680|CAD7003219.1|CCAP	LOC108110953|XP_017075738.1|DEUG
OG0000444	CCAP1982_LOCUS11679|CAD7003218.1|CCAP	LOC108111156|XP_017076015.1|DEUG
OG0000446	CCAP1982_LOCUS20865|CAD7012761.1|CCAP	LOC108115194|XP_017082003.1|DEUG, LOC108118366|XP_017086526.1|DEUG
OG0000446	CCAP1982_LOCUS13488|CAD7005126.1|CCAP	LOC108104823|XP_017066599.1|DEUG
OG0000448	CCAP1982_LOCUS3324|CAD6994585.1|CCAP, CCAP1982_LOCUS3323|CAD6994584.1|CCAP	LOC108104217|XP_017065649.1|DEUG
OG0000449	CCAP1982_LOCUS11067|CAD7002580.1|CCAP	LOC108108513|XP_017072071.1|DEUG
OG0000449	CCAP1982_LOCUS6102|CAD6997459.1|CCAP	LOC108114836|XP_017081466.1|DEUG
OG0000453	CCAP1982_LOCUS3225|CAD6994480.1|CCAP	LOC108117008|XP_017084667.1|DEUG
OG0000453	CCAP1982_LOCUS3229|CAD6994484.1|CCAP, CCAP1982_LOCUS3228|CAD6994483.1|CCAP	LOC108117009|XP_017084668.1|DEUG
OG0000454	CCAP1982_LOCUS23327|CAD7015383.1|CCAP, CCAP1982_LOCUS23322|CAD7015378.1|CCAP, CCAP1982_LOCUS23324|CAD7015380.1|CCAP, CCAP1982_LOCUS23323|CAD7015379.1|CCAP, CCAP1982_LOCUS23320|CAD7015376.1|CCAP, CCAP1982_LOCUS23326|CAD7015382.1|CCAP, CCAP1982_LOCUS23321|CAD7015377.1|CCAP, CCAP1982_LOCUS23325|CAD7015381.1|CCAP	LOC108115263|XP_017082109.1|DEUG, LOC108113811|XP_017080012.1|DEUG
OG0000455	CCAP1982_LOCUS22327|CAD7014330.1|CCAP	LOC108112179|XP_017077476.1|DEUG, LOC108113157|XP_017079156.1|DEUG, LOC108112550|XP_017077975.1|DEUG
OG0000456	CCAP1982_LOCUS10154|CAD7001662.1|CCAP	LOC108102340|XP_017062665.1|DEUG
OG0000456	CCAP1982_LOCUS6580|CAD6997962.1|CCAP	LOC108105799|XP_017068020.1|DEUG
OG0000457	CCAP1982_LOCUS5601|CAD6996931.1|CCAP	LOC108111164|XP_017076025.1|DEUG
OG0000457	CCAP1982_LOCUS6131|CAD6997489.1|CCAP	LOC108113457|XP_017079526.1|DEUG
OG0000458	CCAP1982_LOCUS8276|CAD6999754.1|CCAP	LOC108104069|XP_017065429.1|DEUG
OG0000460	CCAP1982_LOCUS8651|CAD7000158.1|CCAP	LOC108111207|XP_017076097.1|DEUG
OG0000462	CCAP1982_LOCUS4493|CAD6995789.1|CCAP	LOC108117210|XP_017085015.1|DEUG, LOC108117207|XP_017085011.1|DEUG, LOC108117211|XP_017085016.1|DEUG
OG0000465	CCAP1982_LOCUS3256|CAD6994512.1|CCAP, CCAP1982_LOCUS3257|CAD6994513.1|CCAP	LOC108117465|XP_017085376.1|DEUG
OG0000465	CCAP1982_LOCUS3258|CAD6994514.1|CCAP	LOC108117506|XP_017085480.1|DEUG
OG0000466	CCAP1982_LOCUS7016|CAD6998416.1|CCAP	LOC108104194|XP_017065627.1|DEUG
OG0000467	CCAP1982_LOCUS21515|CAD7013450.1|CCAP, CCAP1982_LOCUS21512|CAD7013447.1|CCAP	LOC108112641|XP_017078244.1|DEUG
OG0000467	CCAP1982_LOCUS21490|CAD7013426.1|CCAP, CCAP1982_LOCUS21482|CAD7013418.1|CCAP	LOC108112906|XP_017078762.1|DEUG
OG0000468	CCAP1982_LOCUS150|CAD6991212.1|CCAP	LOC108109366|XP_017073331.1|DEUG
OG0000468	CCAP1982_LOCUS22943|CAD7014985.1|CCAP	LOC108106543|XP_017069185.1|DEUG
OG0000469	CCAP1982_LOCUS7328|CAD6998774.1|CCAP	LOC108104076|XP_017065454.1|DEUG
OG0000469	CCAP1982_LOCUS7318|CAD6998764.1|CCAP	LOC108104055|XP_017065389.1|DEUG
OG0000471	CCAP1982_LOCUS8931|CAD7000454.1|CCAP	LOC108113949|XP_017080154.1|DEUG, LOC108111235|XP_017076127.1|DEUG
OG0000473	CCAP1982_LOCUS9253|CAD7000778.1|CCAP	LOC108103189|XP_017064065.1|DEUG
OG0000473	CCAP1982_LOCUS9254|CAD7000779.1|CCAP	LOC108103293|XP_017064196.1|DEUG, LOC108103648|XP_017064693.1|DEUG
OG0000475	CCAP1982_LOCUS2720|CAD6993933.1|CCAP	LOC108115695|XP_017082753.1|DEUG
OG0000476	CCAP1982_LOCUS3783|CAD6995057.1|CCAP	LOC108110184|XP_017074616.1|DEUG, LOC108110182|XP_017074600.1|DEUG
OG0000476	CCAP1982_LOCUS3784|CAD6995059.1|CCAP	LOC108109580|XP_017073649.1|DEUG
OG0000477	CCAP1982_LOCUS3910|CAD6995190.1|CCAP	LOC108109584|XP_017073650.1|DEUG
OG0000477	CCAP1982_LOCUS5900|CAD6997267.1|CCAP, CCAP1982_LOCUS3911|CAD6995191.1|CCAP, CCAP1982_LOCUS3912|CAD6995192.1|CCAP	LOC108109485|XP_017073503.1|DEUG
OG0000478	CCAP1982_LOCUS23105|CAD7015155.1|CCAP	LOC108118348|XP_017086479.1|DEUG, LOC108113618|XP_017079768.1|DEUG
OG0000479	CCAP1982_LOCUS1329|CAD6992477.1|CCAP, CCAP1982_LOCUS1331|CAD6992479.1|CCAP, CCAP1982_LOCUS1330|CAD6992478.1|CCAP	LOC108109331|XP_017073290.1|DEUG
OG0000480	CCAP1982_LOCUS7806|CAD6999277.1|CCAP	LOC108110665|XP_017075271.1|DEUG, LOC108116268|XP_017083581.1|DEUG, LOC108110998|XP_017075796.1|DEUG
