Orthogroup	CCAP.longest_only	DFIC.longest_only
OG0001093	CCAP1982_LOCUS6559|CAD6997942.1|CCAP, CCAP1982_LOCUS6558|CAD6997941.1|CCAP	LOC108090048|XP_017044043.1|DFIC
OG0001094	CCAP1982_LOCUS6594|CAD6997977.1|CCAP	LOC108090059|XP_017044056.1|DFIC
OG0001095	CCAP1982_LOCUS5633|CAD6996967.1|CCAP	LOC108090966|XP_017045401.1|DFIC
OG0001096	CCAP1982_LOCUS8252|CAD6999726.1|CCAP	LOC108096068|XP_017052918.1|DFIC
OG0001097	CCAP1982_LOCUS5730|CAD6997077.1|CCAP	LOC108086484|XP_017038896.1|DFIC, LOC108093518|XP_017049099.1|DFIC
OG0001098	CCAP1982_LOCUS13085|CAD7004691.1|CCAP	LOC108100201|XP_017059464.1|DFIC
OG0001099	CCAP1982_LOCUS12524|CAD7004101.1|CCAP	LOC108093240|XP_017048704.1|DFIC
OG0001100	CCAP1982_LOCUS908|CAD6992026.1|CCAP	LOC108099674|XP_017058802.1|DFIC, LOC108096987|XP_017054459.1|DFIC
OG0001101	CCAP1982_LOCUS20125|CAD7012014.1|CCAP	LOC108093706|XP_017049387.1|DFIC
OG0001102	CCAP1982_LOCUS14202|CAD7005860.1|CCAP	LOC108086905|XP_017039466.1|DFIC
OG0001103	CCAP1982_LOCUS3837|CAD6995115.1|CCAP, CCAP1982_LOCUS3835|CAD6995113.1|CCAP	LOC108087050|XP_017039717.1|DFIC
OG0001104	CCAP1982_LOCUS20148|CAD7012046.1|CCAP	LOC108086733|XP_017039253.1|DFIC
OG0001106	CCAP1982_LOCUS19510|CAD7011410.1|CCAP, CCAP1982_LOCUS19502|CAD7011402.1|CCAP, CCAP1982_LOCUS19508|CAD7011408.1|CCAP, CCAP1982_LOCUS19504|CAD7011404.1|CCAP	LOC108098396|XP_017056756.1|DFIC
OG0001119	CCAP1982_LOCUS4136|CAD6995419.1|CCAP	LOC108087402|XP_017040232.1|DFIC
OG0001120	CCAP1982_LOCUS3124|CAD6994371.1|CCAP	LOC108091700|XP_017046522.1|DFIC
OG0001121	CCAP1982_LOCUS22188|CAD7014182.1|CCAP	LOC108101781|XP_017061746.1|DFIC
OG0001121	CCAP1982_LOCUS22185|CAD7014179.1|CCAP	LOC108101351|XP_017061147.1|DFIC
OG0001121	CCAP1982_LOCUS22189|CAD7014183.1|CCAP	LOC108101728|XP_017061668.1|DFIC
OG0001122	CCAP1982_LOCUS12577|CAD7004157.1|CCAP	LOC108100689|XP_017060195.1|DFIC
OG0001124	CCAP1982_LOCUS3530|CAD6994799.1|CCAP	LOC108097885|XP_017055915.1|DFIC
OG0001125	CCAP1982_LOCUS12956|CAD7004560.1|CCAP	LOC108093365|XP_017048875.1|DFIC
OG0001126	CCAP1982_LOCUS12942|CAD7004545.1|CCAP, CCAP1982_LOCUS12937|CAD7004540.1|CCAP	LOC108089721|XP_017043578.1|DFIC
OG0001126	CCAP1982_LOCUS12934|CAD7004537.1|CCAP	LOC108093035|XP_017048428.1|DFIC
OG0001129	CCAP1982_LOCUS5497|CAD6996824.1|CCAP, CCAP1982_LOCUS5496|CAD6996823.1|CCAP	LOC108088132|XP_017041282.1|DFIC
OG0001130	CCAP1982_LOCUS5744|CAD6997091.1|CCAP	LOC108101241|XP_017060984.1|DFIC
OG0001131	CCAP1982_LOCUS10341|CAD7001852.1|CCAP	LOC108095016|XP_017051365.1|DFIC
OG0001133	CCAP1982_LOCUS6899|CAD6998290.1|CCAP	LOC108098331|XP_017056648.1|DFIC, LOC108094887|XP_017051214.1|DFIC
OG0001134	CCAP1982_LOCUS20005|CAD7011894.1|CCAP	LOC108094907|XP_017051242.1|DFIC
OG0001135	CCAP1982_LOCUS54|CAD6991107.1|CCAP, CCAP1982_LOCUS53|CAD6991106.1|CCAP	LOC108092011|XP_017046933.1|DFIC
OG0001136	CCAP1982_LOCUS933|CAD6992052.1|CCAP, CCAP1982_LOCUS945|CAD6992064.1|CCAP, CCAP1982_LOCUS948|CAD6992067.1|CCAP, CCAP1982_LOCUS946|CAD6992065.1|CCAP, CCAP1982_LOCUS932|CAD6992051.1|CCAP	LOC108099274|XP_017058143.1|DFIC
OG0001137	CCAP1982_LOCUS5134|CAD6996465.1|CCAP	LOC108097690|XP_017055647.1|DFIC
OG0001138	CCAP1982_LOCUS11127|CAD7002644.1|CCAP, CCAP1982_LOCUS11125|CAD7002642.1|CCAP	LOC108100580|XP_017060048.1|DFIC
OG0001139	CCAP1982_LOCUS14528|CAD7006200.1|CCAP	LOC108095468|XP_017052073.1|DFIC
OG0001140	CCAP1982_LOCUS30|CAD6991082.1|CCAP, CCAP1982_LOCUS29|CAD6991081.1|CCAP	LOC108099360|XP_017058335.1|DFIC
OG0001141	CCAP1982_LOCUS1431|CAD6992583.1|CCAP, CCAP1982_LOCUS1434|CAD6992585.1|CCAP	LOC108093372|XP_017048883.1|DFIC
OG0001142	CCAP1982_LOCUS1037|CAD6992159.1|CCAP	LOC108093341|XP_017048833.1|DFIC
OG0001142	CCAP1982_LOCUS1038|CAD6992161.1|CCAP	LOC108093342|XP_017048834.1|DFIC
OG0001144	CCAP1982_LOCUS20324|CAD7012226.1|CCAP	LOC108098478|XP_017056878.1|DFIC, LOC108090272|XP_017044372.1|DFIC
OG0001145	CCAP1982_LOCUS20697|CAD7012613.1|CCAP	LOC108090760|XP_017045081.1|DFIC, LOC108090963|XP_017045396.1|DFIC
OG0001146	CCAP1982_LOCUS14012|CAD7005655.1|CCAP	LOC108092759|XP_017047980.1|DFIC, LOC108098084|XP_017056277.1|DFIC
OG0001153	CCAP1982_LOCUS20531|CAD7012450.1|CCAP	LOC108090929|XP_017045351.1|DFIC
OG0001154	CCAP1982_LOCUS5972|CAD6997338.1|CCAP	LOC108089218|XP_017042861.1|DFIC
OG0001157	CCAP1982_LOCUS4069|CAD6995350.1|CCAP, CCAP1982_LOCUS4068|CAD6995349.1|CCAP	LOC108087223|XP_017039991.1|DFIC
OG0001158	CCAP1982_LOCUS8483|CAD6999978.1|CCAP	LOC108089856|XP_017043790.1|DFIC
OG0001159	CCAP1982_LOCUS1413|CAD6992567.1|CCAP	LOC108086531|XP_017038949.1|DFIC
OG0001160	CCAP1982_LOCUS1437|CAD6992588.1|CCAP, CCAP1982_LOCUS1439|CAD6992590.1|CCAP	LOC108098588|XP_017057123.1|DFIC
OG0001161	CCAP1982_LOCUS44|CAD6991097.1|CCAP	LOC108092008|XP_017046927.1|DFIC
OG0001162	CCAP1982_LOCUS861|CAD6991974.1|CCAP	LOC108098959|XP_017057661.1|DFIC
OG0001163	CCAP1982_LOCUS1187|CAD6992319.1|CCAP	LOC108091672|XP_017046479.1|DFIC
OG0001164	CCAP1982_LOCUS3746|CAD6995015.1|CCAP, CCAP1982_LOCUS3747|CAD6995016.1|CCAP	LOC108099396|XP_017058388.1|DFIC
OG0001165	CCAP1982_LOCUS2339|CAD6993527.1|CCAP	LOC108101409|XP_017061224.1|DFIC
OG0001166	CCAP1982_LOCUS13125|CAD7004732.1|CCAP	LOC108099003|XP_017057724.1|DFIC
OG0001167	CCAP1982_LOCUS23222|CAD7015275.1|CCAP	LOC108096946|XP_017054395.1|DFIC
OG0001168	CCAP1982_LOCUS22756|CAD7014785.1|CCAP	LOC108090517|XP_017044725.1|DFIC
OG0001170	CCAP1982_LOCUS4015|CAD6995296.1|CCAP, CCAP1982_LOCUS8446|CAD6999937.1|CCAP, CCAP1982_LOCUS4014|CAD6995295.1|CCAP	LOC108091636|XP_017046426.1|DFIC
OG0001171	CCAP1982_LOCUS11094|CAD7002610.1|CCAP, CCAP1982_LOCUS11093|CAD7002609.1|CCAP	LOC108095952|XP_017052782.1|DFIC
OG0001172	CCAP1982_LOCUS23142|CAD7015192.1|CCAP, CCAP1982_LOCUS23145|CAD7015194.1|CCAP, CCAP1982_LOCUS23141|CAD7015190.1|CCAP	LOC108101417|XP_017061232.1|DFIC
OG0001173	CCAP1982_LOCUS137|CAD6991199.1|CCAP	LOC108100754|XP_017060275.1|DFIC
OG0001174	CCAP1982_LOCUS13231|CAD7004846.1|CCAP	LOC108093085|XP_017048501.1|DFIC
OG0001175	CCAP1982_LOCUS19961|CAD7011852.1|CCAP	LOC108093886|XP_017049731.1|DFIC, LOC108099724|XP_017058835.1|DFIC, LOC108099725|XP_017058836.1|DFIC
OG0001176	CCAP1982_LOCUS7150|CAD6998569.1|CCAP	LOC108101543|XP_017061420.1|DFIC
OG0001177	CCAP1982_LOCUS7053|CAD6998455.1|CCAP	LOC108090617|XP_017044881.1|DFIC
OG0001178	CCAP1982_LOCUS22089|CAD7014082.1|CCAP	LOC108095135|XP_017051562.1|DFIC
OG0001179	CCAP1982_LOCUS21397|CAD7013328.1|CCAP	LOC108086425|XP_017038815.1|DFIC
OG0001180	CCAP1982_LOCUS10405|CAD7001918.1|CCAP, CCAP1982_LOCUS10404|CAD7001917.1|CCAP, CCAP1982_LOCUS10411|CAD7001924.1|CCAP, CCAP1982_LOCUS10408|CAD7001921.1|CCAP, CCAP1982_LOCUS10409|CAD7001922.1|CCAP, CCAP1982_LOCUS10410|CAD7001923.1|CCAP, CCAP1982_LOCUS10413|CAD7001926.1|CCAP, CCAP1982_LOCUS10406|CAD7001919.1|CCAP, CCAP1982_LOCUS10412|CAD7001925.1|CCAP, CCAP1982_LOCUS10407|CAD7001920.1|CCAP, CCAP1982_LOCUS10415|CAD7001928.1|CCAP, CCAP1982_LOCUS10414|CAD7001927.1|CCAP	LOC108098413|XP_017056797.1|DFIC
OG0001181	CCAP1982_LOCUS13780|CAD7005417.1|CCAP, CCAP1982_LOCUS13817|CAD7005457.1|CCAP	LOC108096415|XP_017053480.1|DFIC
OG0001182	CCAP1982_LOCUS461|CAD6991542.1|CCAP	LOC108091686|XP_017046499.1|DFIC
OG0001184	CCAP1982_LOCUS14608|CAD7006285.1|CCAP	LOC108087310|XP_017040118.1|DFIC
OG0001185	CCAP1982_LOCUS235|CAD6991306.1|CCAP	LOC108096513|XP_017053625.1|DFIC
OG0001186	CCAP1982_LOCUS4357|CAD6995650.1|CCAP	LOC108098616|XP_017057171.1|DFIC
OG0001187	CCAP1982_LOCUS20646|CAD7012561.1|CCAP	LOC108086705|XP_017039199.1|DFIC
OG0001188	CCAP1982_LOCUS20310|CAD7012211.1|CCAP, CCAP1982_LOCUS20309|CAD7012208.1|CCAP, CCAP1982_LOCUS20311|CAD7012212.1|CCAP, CCAP1982_LOCUS20308|CAD7012207.1|CCAP	LOC108096787|XP_017054151.1|DFIC
OG0001191	CCAP1982_LOCUS19467|CAD7011363.1|CCAP	LOC108100574|XP_017060045.1|DFIC, LOC108091274|XP_017045877.1|DFIC
OG0001192	CCAP1982_LOCUS5423|CAD6996743.1|CCAP	LOC108088227|XP_017041425.1|DFIC
OG0001193	CCAP1982_LOCUS1428|CAD6992580.1|CCAP	LOC108093327|XP_017048807.1|DFIC
OG0001195	CCAP1982_LOCUS21002|CAD7012903.1|CCAP	LOC108101449|XP_017061276.1|DFIC
OG0001200	CCAP1982_LOCUS4180|CAD6995465.1|CCAP	LOC108098214|XP_017056477.1|DFIC
OG0001201	CCAP1982_LOCUS703|CAD6991799.1|CCAP	LOC108095740|XP_017052410.1|DFIC
OG0001202	CCAP1982_LOCUS12204|CAD7003768.1|CCAP	LOC108102179|XP_017062371.1|DFIC
OG0001203	CCAP1982_LOCUS9590|CAD7001118.1|CCAP, CCAP1982_LOCUS9348|CAD7000874.1|CCAP	LOC108095029|XP_017051387.1|DFIC
OG0001205	CCAP1982_LOCUS4555|CAD6995854.1|CCAP	LOC108090178|XP_017044250.1|DFIC
OG0001206	CCAP1982_LOCUS3112|CAD6994358.1|CCAP, CCAP1982_LOCUS3113|CAD6994359.1|CCAP, CCAP1982_LOCUS3114|CAD6994360.1|CCAP	LOC108093333|XP_017048818.1|DFIC
OG0001209	CCAP1982_LOCUS1956|CAD6993130.1|CCAP	LOC108087385|XP_017040217.1|DFIC
OG0001211	CCAP1982_LOCUS2793|CAD6994016.1|CCAP	LOC108098459|XP_017056853.1|DFIC
OG0001213	CCAP1982_LOCUS4317|CAD6995611.1|CCAP	LOC108092155|XP_017047162.1|DFIC
OG0001214	CCAP1982_LOCUS1460|CAD6992611.1|CCAP	LOC108095931|XP_017052757.1|DFIC
OG0001215	CCAP1982_LOCUS2002|CAD6993180.1|CCAP	LOC108094778|XP_017051044.1|DFIC, LOC108090230|XP_017044314.1|DFIC
OG0001216	CCAP1982_LOCUS2004|CAD6993182.1|CCAP	LOC108091995|XP_017046909.1|DFIC, LOC108091907|XP_017046780.1|DFIC
OG0001217	CCAP1982_LOCUS6159|CAD6997520.1|CCAP	LOC108098875|XP_017057553.1|DFIC, LOC108096983|XP_017054456.1|DFIC
OG0001218	CCAP1982_LOCUS3380|CAD6994645.1|CCAP	LOC108091637|XP_017046427.1|DFIC
OG0001220	CCAP1982_LOCUS21522|CAD7013457.1|CCAP	LOC108094233|XP_017050181.1|DFIC
OG0001221	CCAP1982_LOCUS22041|CAD7014035.1|CCAP	LOC108094845|XP_017051137.1|DFIC
OG0001222	CCAP1982_LOCUS5153|CAD6996484.1|CCAP	LOC108097695|XP_017055655.1|DFIC
OG0001223	CCAP1982_LOCUS22608|CAD7014617.1|CCAP	LOC108101761|XP_017061715.1|DFIC
OG0001224	CCAP1982_LOCUS20318|CAD7012220.1|CCAP	LOC108090475|XP_017044660.1|DFIC
OG0001225	CCAP1982_LOCUS21678|CAD7013628.1|CCAP	LOC108093944|XP_017049819.1|DFIC
OG0001226	CCAP1982_LOCUS21755|CAD7013718.1|CCAP, CCAP1982_LOCUS21759|CAD7013728.1|CCAP, CCAP1982_LOCUS21756|CAD7013719.1|CCAP, CCAP1982_LOCUS21757|CAD7013724.1|CCAP, CCAP1982_LOCUS21758|CAD7013727.1|CCAP, CCAP1982_LOCUS21765|CAD7013734.1|CCAP	LOC108086445|XP_017038852.1|DFIC
OG0001227	CCAP1982_LOCUS8848|CAD7000368.1|CCAP	LOC108100844|XP_017060411.1|DFIC
OG0001227	CCAP1982_LOCUS8849|CAD7000369.1|CCAP	LOC108100784|XP_017060314.1|DFIC
OG0001229	CCAP1982_LOCUS21558|CAD7013498.1|CCAP	LOC108101398|XP_017061207.1|DFIC, LOC108101089|XP_017060785.1|DFIC, LOC108101619|XP_017061521.1|DFIC
OG0001230	CCAP1982_LOCUS22839|CAD7014875.1|CCAP	LOC108090471|XP_017044658.1|DFIC
OG0001231	CCAP1982_LOCUS5440|CAD6996761.1|CCAP	LOC108100860|XP_017060432.1|DFIC
OG0001232	CCAP1982_LOCUS6770|CAD6998154.1|CCAP, CCAP1982_LOCUS6767|CAD6998152.1|CCAP, CCAP1982_LOCUS6769|CAD6998153.1|CCAP, CCAP1982_LOCUS6766|CAD6998151.1|CCAP	LOC108101826|XP_017061818.1|DFIC, LOC108100837|XP_017060398.1|DFIC
OG0001233	CCAP1982_LOCUS8292|CAD6999769.1|CCAP	LOC108100782|XP_017060311.1|DFIC
OG0001233	CCAP1982_LOCUS8291|CAD6999768.1|CCAP	LOC108100803|XP_017060355.1|DFIC
OG0001234	CCAP1982_LOCUS19773|CAD7011689.1|CCAP	LOC108093923|XP_017049781.1|DFIC
OG0001235	CCAP1982_LOCUS7409|CAD6998860.1|CCAP	LOC108091548|XP_017046308.1|DFIC
OG0001236	CCAP1982_LOCUS14234|CAD7005894.1|CCAP	LOC108100559|XP_017060022.1|DFIC, LOC108100406|XP_017059781.1|DFIC
OG0001237	CCAP1982_LOCUS96|CAD6991156.1|CCAP	LOC108086916|XP_017039481.1|DFIC, LOC108101050|XP_017060723.1|DFIC
OG0001238	CCAP1982_LOCUS5052|CAD6996373.1|CCAP	LOC108095819|XP_017052581.1|DFIC
OG0001240	CCAP1982_LOCUS286|CAD6991356.1|CCAP	LOC108095700|XP_017052360.1|DFIC
OG0001241	CCAP1982_LOCUS4194|CAD6995478.1|CCAP	LOC108086647|XP_017039114.1|DFIC
OG0001243	CCAP1982_LOCUS13382|CAD7005007.1|CCAP	LOC108088882|XP_017042366.1|DFIC
OG0001244	CCAP1982_LOCUS2040|CAD6993221.1|CCAP	LOC108091983|XP_017046882.1|DFIC
OG0001245	CCAP1982_LOCUS2940|CAD6994175.1|CCAP, CCAP1982_LOCUS2941|CAD6994176.1|CCAP	LOC108093303|XP_017048767.1|DFIC
OG0001247	CCAP1982_LOCUS21110|CAD7013024.1|CCAP	LOC108101831|XP_017061833.1|DFIC, LOC108098771|XP_017057396.1|DFIC
OG0001251	CCAP1982_LOCUS4741|CAD6996035.1|CCAP	LOC108096121|XP_017052986.1|DFIC, LOC108096130|XP_017052996.1|DFIC
OG0001252	CCAP1982_LOCUS3201|CAD6994454.1|CCAP, CCAP1982_LOCUS3202|CAD6994455.1|CCAP	LOC108097605|XP_017055502.1|DFIC
OG0001253	CCAP1982_LOCUS5362|CAD6996678.1|CCAP	LOC108086638|XP_017039104.1|DFIC
OG0001254	CCAP1982_LOCUS22056|CAD7014049.1|CCAP	LOC108094801|XP_017051061.1|DFIC
OG0001255	CCAP1982_LOCUS20294|CAD7012192.1|CCAP	LOC108094034|XP_017049955.1|DFIC
OG0001257	CCAP1982_LOCUS10591|CAD7002103.1|CCAP, CCAP1982_LOCUS10594|CAD7002106.1|CCAP, CCAP1982_LOCUS10593|CAD7002105.1|CCAP	LOC108095004|XP_017051328.1|DFIC
OG0001258	CCAP1982_LOCUS1633|CAD6992794.1|CCAP, CCAP1982_LOCUS1643|CAD6992804.1|CCAP, CCAP1982_LOCUS1652|CAD6992813.1|CCAP, CCAP1982_LOCUS1634|CAD6992795.1|CCAP, CCAP1982_LOCUS1644|CAD6992805.1|CCAP, CCAP1982_LOCUS1653|CAD6992814.1|CCAP	LOC108097742|XP_017055738.1|DFIC
OG0001260	CCAP1982_LOCUS3092|CAD6994336.1|CCAP	LOC108098965|XP_017057668.1|DFIC
OG0001262	CCAP1982_LOCUS13374|CAD7004998.1|CCAP	LOC108099826|XP_017058945.1|DFIC
OG0001263	CCAP1982_LOCUS1201|CAD6992337.1|CCAP	LOC108099578|XP_017058671.1|DFIC
OG0001264	CCAP1982_LOCUS8734|CAD7000242.1|CCAP, CCAP1982_LOCUS8733|CAD7000241.1|CCAP	LOC108092540|XP_017047657.1|DFIC
OG0001266	CCAP1982_LOCUS20417|CAD7012323.1|CCAP, CCAP1982_LOCUS20418|CAD7012324.1|CCAP	LOC108096907|XP_017054346.1|DFIC
OG0001267	CCAP1982_LOCUS3717|CAD6994986.1|CCAP	LOC108099590|XP_017058687.1|DFIC
OG0001269	CCAP1982_LOCUS20837|CAD7012733.1|CCAP	LOC108093776|XP_017049536.1|DFIC
OG0001270	CCAP1982_LOCUS1004|CAD6992122.1|CCAP	LOC108090133|XP_017044158.1|DFIC
OG0001271	CCAP1982_LOCUS22619|CAD7014628.1|CCAP	LOC108093967|XP_017049862.1|DFIC
OG0001272	CCAP1982_LOCUS10784|CAD7002292.1|CCAP, CCAP1982_LOCUS10783|CAD7002291.1|CCAP	LOC108100611|XP_017060089.1|DFIC
OG0001273	CCAP1982_LOCUS3030|CAD6994269.1|CCAP	LOC108091920|XP_017046795.1|DFIC
OG0001274	CCAP1982_LOCUS14515|CAD7006186.1|CCAP	LOC108100517|XP_017059963.1|DFIC
OG0001276	CCAP1982_LOCUS11502|CAD7003039.1|CCAP	LOC108099901|XP_017059053.1|DFIC, LOC108099192|XP_017058053.1|DFIC
OG0001277	CCAP1982_LOCUS13150|CAD7004758.1|CCAP	LOC108099032|XP_017057777.1|DFIC
OG0001279	CCAP1982_LOCUS11832|CAD7003373.1|CCAP	LOC108087578|XP_017040499.1|DFIC
OG0001280	CCAP1982_LOCUS12570|CAD7004150.1|CCAP, CCAP1982_LOCUS10454|CAD7001967.1|CCAP	LOC108099119|XP_017057940.1|DFIC
OG0001281	CCAP1982_LOCUS12999|CAD7004604.1|CCAP	LOC108100655|XP_017060155.1|DFIC
OG0001282	CCAP1982_LOCUS5546|CAD6996873.1|CCAP	LOC108092459|XP_017047537.1|DFIC
OG0001283	CCAP1982_LOCUS22647|CAD7014659.1|CCAP	LOC108093722|XP_017049421.1|DFIC
OG0001284	CCAP1982_LOCUS6493|CAD6997874.1|CCAP	LOC108086362|XP_017038751.1|DFIC, LOC108096102|XP_017052968.1|DFIC, LOC108101730|XP_017061671.1|DFIC
OG0001285	CCAP1982_LOCUS11810|CAD7003351.1|CCAP	LOC108099616|XP_017058731.1|DFIC
OG0001286	CCAP1982_LOCUS7999|CAD6999475.1|CCAP	LOC108095204|XP_017051704.1|DFIC
OG0001286	CCAP1982_LOCUS7997|CAD6999473.1|CCAP	LOC108089976|XP_017043966.1|DFIC
OG0001287	CCAP1982_LOCUS907|CAD6992023.1|CCAP	LOC108098972|XP_017057677.1|DFIC
OG0001288	CCAP1982_LOCUS6082|CAD6997436.1|CCAP	LOC108091443|XP_017046126.1|DFIC
OG0001289	CCAP1982_LOCUS7968|CAD6999444.1|CCAP	LOC108089962|XP_017043944.1|DFIC
OG0001290	CCAP1982_LOCUS8371|CAD6999861.1|CCAP	LOC108090142|XP_017044219.1|DFIC
OG0001291	CCAP1982_LOCUS21121|CAD7013037.1|CCAP	LOC108090965|XP_017045400.1|DFIC
OG0001294	CCAP1982_LOCUS4430|CAD6995724.1|CCAP	LOC108089690|XP_017043526.1|DFIC, LOC108098793|XP_017057422.1|DFIC
OG0001295	CCAP1982_LOCUS9728|CAD7001230.1|CCAP, CCAP1982_LOCUS9729|CAD7001231.1|CCAP	LOC108094703|XP_017050928.1|DFIC
OG0001296	CCAP1982_LOCUS23289|CAD7015344.1|CCAP	LOC108101523|XP_017061386.1|DFIC
OG0001297	CCAP1982_LOCUS856|CAD6991969.1|CCAP	LOC108099338|XP_017058302.1|DFIC
OG0001298	CCAP1982_LOCUS2803|CAD6994026.1|CCAP	LOC108098657|XP_017057221.1|DFIC
OG0001299	CCAP1982_LOCUS12486|CAD7004061.1|CCAP, CCAP1982_LOCUS12484|CAD7004059.1|CCAP	LOC108096318|XP_017053311.1|DFIC
OG0001300	CCAP1982_LOCUS4632|CAD6995930.1|CCAP	LOC108087203|XP_017039958.1|DFIC
OG0001301	CCAP1982_LOCUS19842|CAD7011729.1|CCAP	LOC108088140|XP_017041293.1|DFIC
OG0001302	CCAP1982_LOCUS5077|CAD6996403.1|CCAP, CCAP1982_LOCUS5079|CAD6996405.1|CCAP	LOC108094946|XP_017051296.1|DFIC
OG0001303	CCAP1982_LOCUS3529|CAD6994798.1|CCAP	LOC108097875|XP_017055903.1|DFIC
OG0001304	CCAP1982_LOCUS20156|CAD7012054.1|CCAP	LOC108096813|XP_017054193.1|DFIC
OG0001305	CCAP1982_LOCUS228|CAD6991299.1|CCAP	LOC108090134|XP_017044159.1|DFIC
OG0001306	CCAP1982_LOCUS4381|CAD6995674.1|CCAP	LOC108087001|XP_017039627.1|DFIC
OG0001307	CCAP1982_LOCUS10909|CAD7002418.1|CCAP	LOC108093114|XP_017048544.1|DFIC
OG0001309	CCAP1982_LOCUS5112|CAD6996440.1|CCAP, CCAP1982_LOCUS5113|CAD6996441.1|CCAP	LOC108087016|XP_017039672.1|DFIC
OG0001310	CCAP1982_LOCUS8196|CAD6999666.1|CCAP	LOC108092983|XP_017048401.1|DFIC, LOC108094890|XP_017051254.1|DFIC, LOC108094984|XP_017051351.1|DFIC
OG0001312	CCAP1982_LOCUS12830|CAD7004421.1|CCAP	LOC108099756|XP_017058875.1|DFIC, LOC108099702|XP_017058813.1|DFIC
OG0001313	CCAP1982_LOCUS20437|CAD7012343.1|CCAP, CCAP1982_LOCUS20438|CAD7012344.1|CCAP	LOC108086759|XP_017039287.1|DFIC
OG0001314	CCAP1982_LOCUS5817|CAD6997175.1|CCAP	LOC108098363|XP_017056698.1|DFIC
OG0001316	CCAP1982_LOCUS22757|CAD7014787.1|CCAP	LOC108090458|XP_017044639.1|DFIC
OG0001317	CCAP1982_LOCUS7889|CAD6999362.1|CCAP, CCAP1982_LOCUS7890|CAD6999363.1|CCAP	LOC108098441|XP_017056827.1|DFIC, LOC108098656|XP_017057224.1|DFIC
OG0001319	CCAP1982_LOCUS6593|CAD6997976.1|CCAP	LOC108092605|XP_017047734.1|DFIC, LOC108090061|XP_017044058.1|DFIC, LOC108090020|XP_017044009.1|DFIC, LOC108090024|XP_017044011.1|DFIC, LOC108090010|XP_017044000.1|DFIC, LOC108090060|XP_017044057.1|DFIC
OG0001320	CCAP1982_LOCUS20037|CAD7011925.1|CCAP	LOC108086767|XP_017039301.1|DFIC
OG0001321	CCAP1982_LOCUS1849|CAD6993014.1|CCAP, CCAP1982_LOCUS20384|CAD7012288.1|CCAP, CCAP1982_LOCUS20385|CAD7012289.1|CCAP	LOC108088826|XP_017042282.1|DFIC
OG0001326	CCAP1982_LOCUS1119|CAD6992249.1|CCAP	LOC108099489|XP_017058538.1|DFIC
OG0001334	CCAP1982_LOCUS1135|CAD6992268.1|CCAP, CCAP1982_LOCUS1130|CAD6992263.1|CCAP, CCAP1982_LOCUS1136|CAD6992269.1|CCAP	LOC108099594|XP_017058692.1|DFIC
OG0001335	CCAP1982_LOCUS5161|CAD6996492.1|CCAP	LOC108088046|XP_017041170.1|DFIC
OG0001339	CCAP1982_LOCUS21898|CAD7013883.1|CCAP	LOC108086719|XP_017039228.1|DFIC
OG0001341	CCAP1982_LOCUS9216|CAD7000743.1|CCAP	LOC108092153|XP_017047163.1|DFIC, LOC108090602|XP_017044859.1|DFIC
OG0001341	CCAP1982_LOCUS3260|CAD6994516.1|CCAP	LOC108099633|XP_017058751.1|DFIC
OG0001342	CCAP1982_LOCUS2024|CAD6993204.1|CCAP	LOC108088525|XP_017041855.1|DFIC
OG0001344	CCAP1982_LOCUS2156|CAD6993338.1|CCAP	LOC108086785|XP_017039314.1|DFIC
OG0001345	CCAP1982_LOCUS1741|CAD6992908.1|CCAP	LOC108098818|XP_017057461.1|DFIC
OG0001348	CCAP1982_LOCUS22946|CAD7014988.1|CCAP	LOC108098040|XP_017056194.1|DFIC
OG0001349	CCAP1982_LOCUS14892|CAD7006578.1|CCAP	LOC108089006|XP_017042568.1|DFIC
OG0001351	CCAP1982_LOCUS21830|CAD7013810.1|CCAP	LOC108093699|XP_017049378.1|DFIC
OG0001352	CCAP1982_LOCUS21313|CAD7013242.1|CCAP	LOC108091132|XP_017045651.1|DFIC
OG0001354	CCAP1982_LOCUS23423|CAD7015484.1|CCAP	LOC108087693|XP_017040691.1|DFIC
OG0001355	CCAP1982_LOCUS21737|CAD7013696.1|CCAP	LOC108096872|XP_017054290.1|DFIC
OG0001356	CCAP1982_LOCUS404|CAD6991479.1|CCAP	LOC108092118|XP_017047107.1|DFIC
OG0001357	CCAP1982_LOCUS12062|CAD7003622.1|CCAP	LOC108096226|XP_017053109.1|DFIC
OG0001358	CCAP1982_LOCUS14516|CAD7006187.1|CCAP	LOC108088284|XP_017041494.1|DFIC
OG0001359	CCAP1982_LOCUS5267|CAD6996597.1|CCAP, CCAP1982_LOCUS5262|CAD6996592.1|CCAP	LOC108088158|XP_017041311.1|DFIC
OG0001360	CCAP1982_LOCUS21902|CAD7013888.1|CCAP	LOC108090733|XP_017045045.1|DFIC
OG0001361	CCAP1982_LOCUS11412|CAD7002948.1|CCAP	LOC108087421|XP_017040257.1|DFIC
OG0001362	CCAP1982_LOCUS11823|CAD7003364.1|CCAP	LOC108087431|XP_017040274.1|DFIC
OG0001363	CCAP1982_LOCUS87|CAD6991145.1|CCAP	LOC108101018|XP_017060672.1|DFIC
OG0001364	CCAP1982_LOCUS21222|CAD7013151.1|CCAP	LOC108086608|XP_017039072.1|DFIC
