Orthogroup	CCAP.longest_only	DBIA.longest_only
OG0000337	CCAP1982_LOCUS4380|CAD6995673.1|CCAP	LOC108024923|XP_016950609.1|DBIA, LOC108024922|XP_016950608.1|DBIA, LOC108024108|XP_016949375.1|DBIA, LOC108034619|XP_016965044.1|DBIA
OG0000338	CCAP1982_LOCUS10874|CAD7002380.1|CCAP	LOC108029296|XP_016956998.1|DBIA
OG0000338	CCAP1982_LOCUS23221|CAD7015274.1|CCAP	LOC108022899|XP_016947589.1|DBIA
OG0000339	CCAP1982_LOCUS14878|CAD7006564.1|CCAP	LOC108035026|XP_016965859.1|DBIA
OG0000340	CCAP1982_LOCUS19733|CAD7011646.1|CCAP	LOC108022890|XP_016947576.1|DBIA
OG0000343	CCAP1982_LOCUS1051|CAD6992177.1|CCAP	LOC108032064|XP_016961371.1|DBIA, LOC108029953|XP_016957945.1|DBIA
OG0000344	CCAP1982_LOCUS22694|CAD7014712.1|CCAP	LOC108022941|XP_016947643.1|DBIA
OG0000344	CCAP1982_LOCUS2029|CAD6993210.1|CCAP	LOC108025450|XP_016951438.1|DBIA
OG0000345	CCAP1982_LOCUS22702|CAD7014723.1|CCAP	LOC108036350|XP_016967913.1|DBIA
OG0000345	CCAP1982_LOCUS20163|CAD7012061.1|CCAP	LOC108029496|XP_016957257.1|DBIA
OG0000346	CCAP1982_LOCUS21350|CAD7013279.1|CCAP	LOC108026829|XP_016953489.1|DBIA, LOC108026486|XP_016952923.1|DBIA, LOC108022130|XP_016946460.1|DBIA, LOC108026514|XP_016952949.1|DBIA, LOC108026487|XP_016952924.1|DBIA
OG0000347	CCAP1982_LOCUS12932|CAD7004535.1|CCAP	LOC108025592|XP_016951610.1|DBIA, LOC108028718|XP_016956165.1|DBIA
OG0000347	CCAP1982_LOCUS8872|CAD7000397.1|CCAP	LOC108027870|XP_016954973.1|DBIA
OG0000349	CCAP1982_LOCUS5504|CAD6996831.1|CCAP, CCAP1982_LOCUS5503|CAD6996830.1|CCAP	LOC108032393|XP_016961703.1|DBIA, LOC108032778|XP_016962269.1|DBIA
OG0000350	CCAP1982_LOCUS13445|CAD7005081.1|CCAP	LOC108034586|XP_016965008.1|DBIA, LOC108034607|XP_016965030.1|DBIA
OG0000350	CCAP1982_LOCUS13444|CAD7005080.1|CCAP	LOC108025223|XP_016951059.1|DBIA
OG0000351	CCAP1982_LOCUS19932|CAD7011822.1|CCAP	LOC108022167|XP_016946500.1|DBIA
OG0000353	CCAP1982_LOCUS1631|CAD6992792.1|CCAP, CCAP1982_LOCUS1641|CAD6992802.1|CCAP, CCAP1982_LOCUS1649|CAD6992810.1|CCAP	LOC108031936|XP_016961205.1|DBIA
OG0000353	CCAP1982_LOCUS5604|CAD6996934.1|CCAP	LOC108027412|XP_016954343.1|DBIA
OG0000354	CCAP1982_LOCUS8239|CAD6999713.1|CCAP	LOC108029041|XP_016956581.1|DBIA
OG0000355	CCAP1982_LOCUS21870|CAD7013851.1|CCAP	LOC108029653|XP_016957567.1|DBIA
OG0000355	CCAP1982_LOCUS21864|CAD7013844.1|CCAP	LOC108026921|XP_016953621.1|DBIA
OG0000356	CCAP1982_LOCUS21448|CAD7013383.1|CCAP, CCAP1982_LOCUS21447|CAD7013382.1|CCAP	LOC108034165|XP_016964460.1|DBIA, LOC108034228|XP_016964563.1|DBIA
OG0000359	CCAP1982_LOCUS14692|CAD7006370.1|CCAP	LOC108030504|XP_016958881.1|DBIA, LOC108030551|XP_016958933.1|DBIA, LOC108030545|XP_016958928.1|DBIA, LOC108030501|XP_016958879.1|DBIA
OG0000361	CCAP1982_LOCUS5571|CAD6996898.1|CCAP	LOC108024875|XP_016950509.1|DBIA, LOC108027175|XP_016953949.1|DBIA, LOC108036809|XP_016968645.1|DBIA
OG0000362	CCAP1982_LOCUS13419|CAD7005048.1|CCAP	LOC108036683|XP_016968453.1|DBIA
OG0000362	CCAP1982_LOCUS14636|CAD7006314.1|CCAP	LOC108030837|XP_016959451.1|DBIA
OG0000363	CCAP1982_LOCUS4780|CAD6996073.1|CCAP	LOC108026139|XP_016952353.1|DBIA
OG0000363	CCAP1982_LOCUS11893|CAD7003437.1|CCAP, CCAP1982_LOCUS11894|CAD7003438.1|CCAP	LOC108034824|XP_016965411.1|DBIA
OG0000364	CCAP1982_LOCUS11310|CAD7002841.1|CCAP, CCAP1982_LOCUS11307|CAD7002837.1|CCAP, CCAP1982_LOCUS11309|CAD7002840.1|CCAP, CCAP1982_LOCUS11306|CAD7002836.1|CCAP	LOC108034477|XP_016964861.1|DBIA
OG0000364	CCAP1982_LOCUS11295|CAD7002825.1|CCAP, CCAP1982_LOCUS11297|CAD7002827.1|CCAP	LOC108034875|XP_016965561.1|DBIA
OG0000365	CCAP1982_LOCUS22064|CAD7014056.1|CCAP	LOC108022985|XP_016947700.1|DBIA
OG0000365	CCAP1982_LOCUS7434|CAD6998887.1|CCAP	LOC108034212|XP_016964540.1|DBIA
OG0000366	CCAP1982_LOCUS89|CAD6991147.1|CCAP	LOC108025533|XP_016951549.1|DBIA
OG0000367	CCAP1982_LOCUS7492|CAD6998946.1|CCAP	LOC108034988|XP_016965807.1|DBIA
OG0000367	CCAP1982_LOCUS20529|CAD7012448.1|CCAP	LOC108026730|XP_016953330.1|DBIA
OG0000368	CCAP1982_LOCUS13421|CAD7005051.1|CCAP	LOC108030635|XP_016959132.1|DBIA
OG0000368	CCAP1982_LOCUS14032|CAD7005679.1|CCAP	LOC108030637|XP_016959136.1|DBIA
OG0000378	CCAP1982_LOCUS6736|CAD6998125.1|CCAP	LOC108023680|XP_016948791.1|DBIA
OG0000379	CCAP1982_LOCUS21660|CAD7013606.1|CCAP	LOC108036373|XP_016967953.1|DBIA, LOC108036372|XP_016967951.1|DBIA, LOC108036371|XP_016967949.1|DBIA
OG0000380	CCAP1982_LOCUS12650|CAD7004231.1|CCAP	LOC108029415|XP_016957140.1|DBIA
OG0000380	CCAP1982_LOCUS12649|CAD7004230.1|CCAP	LOC108028737|XP_016956192.1|DBIA
OG0000381	CCAP1982_LOCUS5374|CAD6996690.1|CCAP	LOC108036779|XP_016968609.1|DBIA
OG0000383	CCAP1982_LOCUS8613|CAD7000118.1|CCAP	LOC108029283|XP_016956971.1|DBIA
OG0000383	CCAP1982_LOCUS8611|CAD7000116.1|CCAP	LOC108034312|XP_016964674.1|DBIA
OG0000384	CCAP1982_LOCUS21415|CAD7013347.1|CCAP	LOC108030376|XP_016958735.1|DBIA
OG0000384	CCAP1982_LOCUS21411|CAD7013343.1|CCAP, CCAP1982_LOCUS21405|CAD7013337.1|CCAP	LOC108030352|XP_016958708.1|DBIA
OG0000386	CCAP1982_LOCUS2499|CAD6993693.1|CCAP	LOC108034635|XP_016965061.1|DBIA, LOC108034637|XP_016965064.1|DBIA, LOC108026437|XP_016952863.1|DBIA
OG0000389	CCAP1982_LOCUS19656|CAD7011568.1|CCAP	LOC108031085|XP_016959783.1|DBIA
OG0000390	CCAP1982_LOCUS21890|CAD7013874.1|CCAP	LOC108033251|XP_016963006.1|DBIA, LOC108033730|XP_016963771.1|DBIA
OG0000391	CCAP1982_LOCUS21905|CAD7013892.1|CCAP	LOC108030313|XP_016958640.1|DBIA
OG0000391	CCAP1982_LOCUS21907|CAD7013893.1|CCAP	LOC108030373|XP_016958732.1|DBIA
OG0000392	CCAP1982_LOCUS6845|CAD6998235.1|CCAP	LOC108029294|XP_016956985.1|DBIA
OG0000393	CCAP1982_LOCUS7644|CAD6999099.1|CCAP	LOC108033637|XP_016963545.1|DBIA
OG0000393	CCAP1982_LOCUS7637|CAD6999091.1|CCAP	LOC108033865|XP_016963996.1|DBIA
OG0000395	CCAP1982_LOCUS13447|CAD7005084.1|CCAP	LOC108034630|XP_016965057.1|DBIA, LOC108034435|XP_016964809.1|DBIA, LOC108034437|XP_016964810.1|DBIA
OG0000396	CCAP1982_LOCUS8304|CAD6999782.1|CCAP, CCAP1982_LOCUS8303|CAD6999781.1|CCAP, CCAP1982_LOCUS8305|CAD6999783.1|CCAP	LOC108033492|XP_016963319.1|DBIA, LOC108033298|XP_016963054.1|DBIA, LOC108033450|XP_016963271.1|DBIA, LOC108033313|XP_016963078.1|DBIA
OG0000397	CCAP1982_LOCUS22197|CAD7014192.1|CCAP, CCAP1982_LOCUS22198|CAD7014193.1|CCAP	LOC108036363|XP_016967933.1|DBIA, LOC108036174|XP_016967654.1|DBIA, LOC108036176|XP_016967655.1|DBIA, LOC108036362|XP_016967932.1|DBIA
OG0000399	CCAP1982_LOCUS1621|CAD6992781.1|CCAP	LOC108025445|XP_016951430.1|DBIA
OG0000399	CCAP1982_LOCUS3083|CAD6994327.1|CCAP	LOC108022857|XP_016947521.1|DBIA
OG0000403	CCAP1982_LOCUS1259|CAD6992395.1|CCAP	LOC108025374|XP_016951331.1|DBIA
OG0000403	CCAP1982_LOCUS22013|CAD7014006.1|CCAP	LOC108022687|XP_016947248.1|DBIA
OG0000404	CCAP1982_LOCUS1097|CAD6992227.1|CCAP	LOC108025490|XP_016951494.1|DBIA
OG0000406	CCAP1982_LOCUS11897|CAD7003443.1|CCAP	LOC108035627|XP_016966809.1|DBIA
OG0000406	CCAP1982_LOCUS21278|CAD7013207.1|CCAP	LOC108022156|XP_016946487.1|DBIA
OG0000407	CCAP1982_LOCUS12843|CAD7004436.1|CCAP	LOC108031194|XP_016959907.1|DBIA
OG0000407	CCAP1982_LOCUS12844|CAD7004437.1|CCAP	LOC108029789|XP_016957793.1|DBIA
OG0000408	CCAP1982_LOCUS7779|CAD6999248.1|CCAP	LOC108023702|XP_016948823.1|DBIA, LOC108034162|XP_016964458.1|DBIA
OG0000409	CCAP1982_LOCUS21376|CAD7013305.1|CCAP, CCAP1982_LOCUS21379|CAD7013308.1|CCAP	LOC108022226|XP_016946573.1|DBIA, LOC108036619|XP_016968374.1|DBIA
OG0000411	CCAP1982_LOCUS957|CAD6992077.1|CCAP	LOC108031603|XP_016960671.1|DBIA
OG0000411	CCAP1982_LOCUS6392|CAD6997762.1|CCAP	LOC108032383|XP_016961693.1|DBIA
OG0000412	CCAP1982_LOCUS13595|CAD7005237.1|CCAP	LOC108035567|XP_016966725.1|DBIA
OG0000413	CCAP1982_LOCUS275|CAD6991346.1|CCAP	LOC108031308|XP_016960042.1|DBIA
OG0000413	CCAP1982_LOCUS5039|CAD6996361.1|CCAP, CCAP1982_LOCUS5038|CAD6996360.1|CCAP, CCAP1982_LOCUS5040|CAD6996362.1|CCAP	LOC108023803|XP_016948933.1|DBIA, LOC108032855|XP_016962345.1|DBIA
OG0000414	CCAP1982_LOCUS19440|CAD7011335.1|CCAP	LOC108022034|XP_016946369.1|DBIA, LOC108024274|XP_016949656.1|DBIA
OG0000415	CCAP1982_LOCUS19715|CAD7011626.1|CCAP	LOC108022564|XP_016947051.1|DBIA
OG0000415	CCAP1982_LOCUS19713|CAD7011624.1|CCAP	LOC108022889|XP_016947574.1|DBIA
OG0000417	CCAP1982_LOCUS1624|CAD6992785.1|CCAP	LOC108032012|XP_016961301.1|DBIA
OG0000417	CCAP1982_LOCUS1860|CAD6993024.1|CCAP, CCAP1982_LOCUS1861|CAD6993025.1|CCAP	LOC108025446|XP_016951432.1|DBIA
OG0000419	CCAP1982_LOCUS21861|CAD7013841.1|CCAP	LOC108026692|XP_016953270.1|DBIA
OG0000421	CCAP1982_LOCUS8404|CAD6999894.1|CCAP	LOC108029102|XP_016956686.1|DBIA
OG0000421	CCAP1982_LOCUS8319|CAD6999803.1|CCAP	LOC108033639|XP_016963546.1|DBIA
OG0000422	CCAP1982_LOCUS4204|CAD6995489.1|CCAP	LOC108028870|XP_016956349.1|DBIA
OG0000423	CCAP1982_LOCUS19616|CAD7011527.1|CCAP	LOC108030231|XP_016958511.1|DBIA
OG0000423	CCAP1982_LOCUS19615|CAD7011526.1|CCAP	LOC108030113|XP_016958298.1|DBIA
OG0000424	CCAP1982_LOCUS19629|CAD7011540.1|CCAP	LOC108030243|XP_016958538.1|DBIA, LOC108023890|XP_016949065.1|DBIA
OG0000424	CCAP1982_LOCUS19630|CAD7011542.1|CCAP	LOC108030382|XP_016958743.1|DBIA
OG0000425	CCAP1982_LOCUS20315|CAD7012217.1|CCAP	LOC108036295|XP_016967794.1|DBIA
OG0000425	CCAP1982_LOCUS20895|CAD7012794.1|CCAP	LOC108029763|XP_016957757.1|DBIA
OG0000426	CCAP1982_LOCUS4810|CAD6996114.1|CCAP, CCAP1982_LOCUS6894|CAD6998285.1|CCAP	LOC108027613|XP_016954626.1|DBIA, LOC108027625|XP_016954638.1|DBIA
OG0000428	CCAP1982_LOCUS20636|CAD7012551.1|CCAP, CCAP1982_LOCUS20637|CAD7012552.1|CCAP	LOC108028047|XP_016955174.1|DBIA, LOC108028683|XP_016956112.1|DBIA, LOC108028685|XP_016956114.1|DBIA
OG0000429	CCAP1982_LOCUS20662|CAD7012577.1|CCAP, CCAP1982_LOCUS20663|CAD7012578.1|CCAP	LOC108022995|XP_016947713.1|DBIA
OG0000429	CCAP1982_LOCUS20666|CAD7012581.1|CCAP, CCAP1982_LOCUS20665|CAD7012580.1|CCAP, CCAP1982_LOCUS20664|CAD7012579.1|CCAP	LOC108023073|XP_016947813.1|DBIA
OG0000433	CCAP1982_LOCUS10907|CAD7002416.1|CCAP	LOC108028785|XP_016956254.1|DBIA
OG0000434	CCAP1982_LOCUS20167|CAD7012067.1|CCAP	LOC108024853|XP_016950484.1|DBIA
OG0000434	CCAP1982_LOCUS22714|CAD7014736.1|CCAP	LOC108029679|XP_016957618.1|DBIA
OG0000437	CCAP1982_LOCUS5654|CAD6996993.1|CCAP	LOC108034267|XP_016964615.1|DBIA
OG0000437	CCAP1982_LOCUS7931|CAD6999405.1|CCAP	LOC108033857|XP_016963981.1|DBIA
OG0000438	CCAP1982_LOCUS1066|CAD6992194.1|CCAP, CCAP1982_LOCUS1067|CAD6992195.1|CCAP	LOC108024919|XP_016950606.1|DBIA, LOC108025359|XP_016951308.1|DBIA
OG0000439	CCAP1982_LOCUS6443|CAD6997819.1|CCAP	LOC108036789|XP_016968623.1|DBIA
OG0000439	CCAP1982_LOCUS12270|CAD7003837.1|CCAP	LOC108034590|XP_016965012.1|DBIA
OG0000440	CCAP1982_LOCUS22496|CAD7014494.1|CCAP	LOC108026542|XP_016952979.1|DBIA
OG0000440	CCAP1982_LOCUS22497|CAD7014495.1|CCAP	LOC108029713|XP_016957677.1|DBIA
OG0000441	CCAP1982_LOCUS21648|CAD7013593.1|CCAP, CCAP1982_LOCUS21647|CAD7013592.1|CCAP	LOC108026498|XP_016952933.1|DBIA
OG0000441	CCAP1982_LOCUS21646|CAD7013591.1|CCAP	LOC108026594|XP_016953055.1|DBIA
OG0000443	CCAP1982_LOCUS7793|CAD6999263.1|CCAP	LOC108031345|XP_016960101.1|DBIA, LOC108031217|XP_016959944.1|DBIA
OG0000444	CCAP1982_LOCUS11680|CAD7003219.1|CCAP	LOC108036774|XP_016968602.1|DBIA
OG0000444	CCAP1982_LOCUS11679|CAD7003218.1|CCAP	LOC108036797|XP_016968633.1|DBIA
OG0000446	CCAP1982_LOCUS20865|CAD7012761.1|CCAP	LOC108032989|XP_016962555.1|DBIA, LOC108033151|XP_016962866.1|DBIA
OG0000446	CCAP1982_LOCUS13488|CAD7005126.1|CCAP	LOC108036381|XP_016967972.1|DBIA
OG0000448	CCAP1982_LOCUS3324|CAD6994585.1|CCAP, CCAP1982_LOCUS3323|CAD6994584.1|CCAP	LOC108025472|XP_016951473.1|DBIA
OG0000449	CCAP1982_LOCUS11067|CAD7002580.1|CCAP	LOC108028601|XP_016956009.1|DBIA
OG0000449	CCAP1982_LOCUS6102|CAD6997459.1|CCAP	LOC108032659|XP_016962107.1|DBIA
OG0000453	CCAP1982_LOCUS3225|CAD6994480.1|CCAP	LOC108032247|XP_016961599.1|DBIA
OG0000453	CCAP1982_LOCUS3229|CAD6994484.1|CCAP, CCAP1982_LOCUS3228|CAD6994483.1|CCAP	LOC108031168|XP_016959877.1|DBIA
OG0000454	CCAP1982_LOCUS23327|CAD7015383.1|CCAP, CCAP1982_LOCUS23322|CAD7015378.1|CCAP, CCAP1982_LOCUS23324|CAD7015380.1|CCAP, CCAP1982_LOCUS23323|CAD7015379.1|CCAP, CCAP1982_LOCUS23320|CAD7015376.1|CCAP, CCAP1982_LOCUS23326|CAD7015382.1|CCAP, CCAP1982_LOCUS23321|CAD7015377.1|CCAP, CCAP1982_LOCUS23325|CAD7015381.1|CCAP	LOC108027454|XP_016954396.1|DBIA, LOC108034942|XP_016965710.1|DBIA
OG0000455	CCAP1982_LOCUS22327|CAD7014330.1|CCAP	LOC108029339|XP_016957021.1|DBIA, LOC108029379|XP_016957095.1|DBIA, LOC108029561|XP_016957393.1|DBIA
OG0000456	CCAP1982_LOCUS10154|CAD7001662.1|CCAP	LOC108036686|XP_016968466.1|DBIA
OG0000456	CCAP1982_LOCUS6580|CAD6997962.1|CCAP	LOC108032629|XP_016962057.1|DBIA
OG0000457	CCAP1982_LOCUS5601|CAD6996931.1|CCAP	LOC108032808|XP_016962308.1|DBIA
OG0000457	CCAP1982_LOCUS6131|CAD6997489.1|CCAP	LOC108021921|XP_016946237.1|DBIA
OG0000458	CCAP1982_LOCUS8276|CAD6999754.1|CCAP	LOC108033629|XP_016963522.1|DBIA
OG0000460	CCAP1982_LOCUS8651|CAD7000158.1|CCAP	LOC108027678|XP_016954713.1|DBIA
OG0000462	CCAP1982_LOCUS4493|CAD6995789.1|CCAP	LOC108031519|XP_016960526.1|DBIA, LOC108031516|XP_016960523.1|DBIA, LOC108031517|XP_016960524.1|DBIA
OG0000465	CCAP1982_LOCUS3256|CAD6994512.1|CCAP, CCAP1982_LOCUS3257|CAD6994513.1|CCAP	LOC108032205|XP_016961552.1|DBIA
OG0000465	CCAP1982_LOCUS3258|CAD6994514.1|CCAP	LOC108031649|XP_016960768.1|DBIA
OG0000466	CCAP1982_LOCUS7016|CAD6998416.1|CCAP	LOC108036856|XP_016968718.1|DBIA
OG0000467	CCAP1982_LOCUS21515|CAD7013450.1|CCAP, CCAP1982_LOCUS21512|CAD7013447.1|CCAP	LOC108030045|XP_016958106.1|DBIA
OG0000467	CCAP1982_LOCUS21490|CAD7013426.1|CCAP, CCAP1982_LOCUS21482|CAD7013418.1|CCAP	LOC108030333|XP_016958684.1|DBIA
OG0000468	CCAP1982_LOCUS150|CAD6991212.1|CCAP	LOC108023873|XP_016949042.1|DBIA
OG0000468	CCAP1982_LOCUS22943|CAD7014985.1|CCAP	LOC108030047|XP_016958111.1|DBIA
OG0000469	CCAP1982_LOCUS7328|CAD6998774.1|CCAP	LOC108033680|XP_016963625.1|DBIA
OG0000469	CCAP1982_LOCUS7318|CAD6998764.1|CCAP	LOC108033732|XP_016963773.1|DBIA
OG0000471	CCAP1982_LOCUS8931|CAD7000454.1|CCAP	LOC108034539|XP_016964954.1|DBIA, LOC108034444|XP_016964818.1|DBIA, LOC108029221|XP_016956904.1|DBIA
OG0000473	CCAP1982_LOCUS9253|CAD7000778.1|CCAP	LOC108023683|XP_016948794.1|DBIA
OG0000473	CCAP1982_LOCUS9254|CAD7000779.1|CCAP	LOC108023694|XP_016948807.1|DBIA
OG0000475	CCAP1982_LOCUS2720|CAD6993933.1|CCAP	LOC108031608|XP_016960684.1|DBIA
OG0000476	CCAP1982_LOCUS3783|CAD6995057.1|CCAP	LOC108031141|XP_016959845.1|DBIA, LOC108031183|XP_016959892.1|DBIA
OG0000476	CCAP1982_LOCUS3784|CAD6995059.1|CCAP	LOC108031887|XP_016961140.1|DBIA
OG0000477	CCAP1982_LOCUS3910|CAD6995190.1|CCAP	LOC108032192|XP_016961537.1|DBIA
OG0000477	CCAP1982_LOCUS5900|CAD6997267.1|CCAP, CCAP1982_LOCUS3911|CAD6995191.1|CCAP, CCAP1982_LOCUS3912|CAD6995192.1|CCAP	LOC108032232|XP_016961584.1|DBIA
OG0000478	CCAP1982_LOCUS23105|CAD7015155.1|CCAP	LOC108032954|XP_016962514.1|DBIA, LOC108025355|XP_016951303.1|DBIA
OG0000479	CCAP1982_LOCUS1329|CAD6992477.1|CCAP, CCAP1982_LOCUS1331|CAD6992479.1|CCAP, CCAP1982_LOCUS1330|CAD6992478.1|CCAP	LOC108032006|XP_016961293.1|DBIA, LOC108031028|XP_016959718.1|DBIA
OG0000480	CCAP1982_LOCUS7806|CAD6999277.1|CCAP	LOC108027834|XP_016954909.1|DBIA, LOC108027876|XP_016954981.1|DBIA
OG0000482	CCAP1982_LOCUS441|CAD6991522.1|CCAP	LOC108031109|XP_016959809.1|DBIA
OG0000483	CCAP1982_LOCUS408|CAD6991483.1|CCAP	LOC108026128|XP_016952320.1|DBIA, LOC108026074|XP_016952262.1|DBIA
OG0000484	CCAP1982_LOCUS4492|CAD6995788.1|CCAP, CCAP1982_LOCUS4488|CAD6995784.1|CCAP	LOC108031512|XP_016960516.1|DBIA
OG0000484	CCAP1982_LOCUS4489|CAD6995785.1|CCAP	LOC108031513|XP_016960518.1|DBIA
OG0000485	CCAP1982_LOCUS14117|CAD7005769.1|CCAP	LOC108028810|XP_016956285.1|DBIA
OG0000486	CCAP1982_LOCUS21710|CAD7013667.1|CCAP, CCAP1982_LOCUS22884|CAD7014920.1|CCAP	LOC108022760|XP_016947353.1|DBIA, LOC108022758|XP_016947348.1|DBIA
OG0000487	CCAP1982_LOCUS21983|CAD7013974.1|CCAP	LOC108022257|XP_016946605.1|DBIA
OG0000487	CCAP1982_LOCUS21979|CAD7013970.1|CCAP, CCAP1982_LOCUS21981|CAD7013972.1|CCAP, CCAP1982_LOCUS21980|CAD7013971.1|CCAP, CCAP1982_LOCUS21976|CAD7013967.1|CCAP	LOC108022968|XP_016947682.1|DBIA
OG0000489	CCAP1982_LOCUS1170|CAD6992302.1|CCAP	LOC108023847|XP_016948981.1|DBIA
OG0000489	CCAP1982_LOCUS1171|CAD6992303.1|CCAP	LOC108032066|XP_016961377.1|DBIA
OG0000491	CCAP1982_LOCUS12181|CAD7003745.1|CCAP, CCAP1982_LOCUS12180|CAD7003744.1|CCAP	LOC108030092|XP_016958220.1|DBIA, LOC108030093|XP_016958221.1|DBIA, LOC108030091|XP_016958219.1|DBIA
OG0000492	CCAP1982_LOCUS22810|CAD7014843.1|CCAP	LOC108036310|XP_016967809.1|DBIA
OG0000494	CCAP1982_LOCUS6227|CAD6997588.1|CCAP	LOC108029101|XP_016956683.1|DBIA
OG0000495	CCAP1982_LOCUS22934|CAD7014974.1|CCAP, CCAP1982_LOCUS22857|CAD7014893.1|CCAP	LOC108023679|XP_016948790.1|DBIA
OG0000495	CCAP1982_LOCUS22933|CAD7014973.1|CCAP	LOC108030361|XP_016958717.1|DBIA
OG0000496	CCAP1982_LOCUS7748|CAD6999214.1|CCAP	LOC108033846|XP_016963965.1|DBIA
OG0000497	CCAP1982_LOCUS7339|CAD6998785.1|CCAP	LOC108034284|XP_016964631.1|DBIA
OG0000497	CCAP1982_LOCUS7343|CAD6998789.1|CCAP, CCAP1982_LOCUS7347|CAD6998793.1|CCAP	LOC108034014|XP_016964232.1|DBIA
OG0000498	CCAP1982_LOCUS412|CAD6991488.1|CCAP	LOC108026107|XP_016952296.1|DBIA
OG0000498	CCAP1982_LOCUS414|CAD6991490.1|CCAP	LOC108026102|XP_016952291.1|DBIA
OG0000499	CCAP1982_LOCUS1341|CAD6992489.1|CCAP	LOC108023768|XP_016948897.1|DBIA
OG0000500	CCAP1982_LOCUS14122|CAD7005774.1|CCAP	LOC108028146|XP_016955292.1|DBIA
OG0000500	CCAP1982_LOCUS14118|CAD7005770.1|CCAP	LOC108028779|XP_016956247.1|DBIA
OG0000501	CCAP1982_LOCUS20961|CAD7012862.1|CCAP	LOC108032510|XP_016961830.1|DBIA, LOC108029346|XP_016957026.1|DBIA
OG0000504	CCAP1982_LOCUS11753|CAD7003291.1|CCAP	LOC108035366|XP_016966453.1|DBIA
OG0000506	CCAP1982_LOCUS3861|CAD6995138.1|CCAP	LOC108026013|XP_016952193.1|DBIA
OG0000506	CCAP1982_LOCUS3860|CAD6995137.1|CCAP	LOC108026313|XP_016952689.1|DBIA
OG0000508	CCAP1982_LOCUS11138|CAD7002655.1|CCAP	LOC108027817|XP_016954889.1|DBIA, LOC108028312|XP_016955538.1|DBIA
OG0000509	CCAP1982_LOCUS22430|CAD7014434.1|CCAP	LOC108036551|XP_016968274.1|DBIA
OG0000509	CCAP1982_LOCUS22451|CAD7014456.1|CCAP	LOC108036488|XP_016968168.1|DBIA
OG0000510	CCAP1982_LOCUS22883|CAD7014919.1|CCAP	LOC108036921|XP_016968822.1|DBIA
OG0000510	CCAP1982_LOCUS22881|CAD7014917.1|CCAP	LOC108036920|XP_016968821.1|DBIA
OG0000511	CCAP1982_LOCUS7895|CAD6999368.1|CCAP	LOC108034001|XP_016964222.1|DBIA
OG0000511	CCAP1982_LOCUS7894|CAD6999367.1|CCAP	LOC108033719|XP_016963744.1|DBIA
OG0000512	CCAP1982_LOCUS7057|CAD6998460.1|CCAP	LOC108032524|XP_016961862.1|DBIA
OG0000512	CCAP1982_LOCUS6661|CAD6998045.1|CCAP	LOC108030649|XP_016959156.1|DBIA
OG0000513	CCAP1982_LOCUS7011|CAD6998411.1|CCAP	LOC108030070|XP_016958160.1|DBIA
OG0000514	CCAP1982_LOCUS6954|CAD6998353.1|CCAP	LOC108034050|XP_016964291.1|DBIA
OG0000514	CCAP1982_LOCUS6964|CAD6998363.1|CCAP	LOC108034047|XP_016964285.1|DBIA
OG0000515	CCAP1982_LOCUS9878|CAD7001381.1|CCAP	LOC108036019|XP_016967434.1|DBIA
OG0000515	CCAP1982_LOCUS5206|CAD6996538.1|CCAP, CCAP1982_LOCUS1034|CAD6992156.1|CCAP	LOC108034523|XP_016964936.1|DBIA
OG0000517	CCAP1982_LOCUS14093|CAD7005742.1|CCAP, CCAP1982_LOCUS14091|CAD7005740.1|CCAP, CCAP1982_LOCUS14092|CAD7005741.1|CCAP	LOC108030559|XP_016958943.1|DBIA, LOC108030560|XP_016958944.1|DBIA
OG0000518	CCAP1982_LOCUS21631|CAD7013575.1|CCAP	LOC108028827|XP_016956305.1|DBIA, LOC108034744|XP_016965181.1|DBIA, LOC108034551|XP_016964968.1|DBIA
OG0000520	CCAP1982_LOCUS22721|CAD7014744.1|CCAP	LOC108034494|XP_016964888.1|DBIA
OG0000523	CCAP1982_LOCUS4144|CAD6995427.1|CCAP	LOC108026230|XP_016952554.1|DBIA
OG0000524	CCAP1982_LOCUS2835|CAD6994063.1|CCAP	LOC108031975|XP_016961258.1|DBIA, LOC108031034|XP_016959725.1|DBIA, LOC108031033|XP_016959724.1|DBIA
OG0000525	CCAP1982_LOCUS22367|CAD7014370.1|CCAP, CCAP1982_LOCUS22369|CAD7014372.1|CCAP, CCAP1982_LOCUS22368|CAD7014371.1|CCAP, CCAP1982_LOCUS22373|CAD7014378.1|CCAP	LOC108036418|XP_016968034.1|DBIA, LOC108036417|XP_016968032.1|DBIA
OG0000526	CCAP1982_LOCUS5509|CAD6996836.1|CCAP	LOC108032399|XP_016961709.1|DBIA, LOC108029592|XP_016957449.1|DBIA
OG0000527	CCAP1982_LOCUS9186|CAD7000713.1|CCAP	LOC108029207|XP_016956876.1|DBIA
OG0000528	CCAP1982_LOCUS6932|CAD6998327.1|CCAP	LOC108034361|XP_016964742.1|DBIA
OG0000529	CCAP1982_LOCUS8941|CAD7000464.1|CCAP	LOC108028959|XP_016956487.1|DBIA
OG0000530	CCAP1982_LOCUS11031|CAD7002542.1|CCAP, CCAP1982_LOCUS11032|CAD7002543.1|CCAP	LOC108028796|XP_016956268.1|DBIA
