Orthogroup	CCAP.longest_only	CQUI.longest_only
OG0000734	CCAP1982_LOCUS11176|CAD7002699.1|CCAP, CCAP1982_LOCUS11177|CAD7002700.1|CCAP	LOC6052234|XP_038116578.1|CQUI
OG0000735	CCAP1982_LOCUS5622|CAD6996955.1|CCAP	LOC6044469|XP_001861983.1|CQUI
OG0000736	CCAP1982_LOCUS7876|CAD6999349.1|CCAP	LOC6037099|XP_038112503.1|CQUI
OG0000737	CCAP1982_LOCUS14759|CAD7006440.1|CCAP, CCAP1982_LOCUS14757|CAD7006438.1|CCAP	LOC6050421|XP_001867033.2|CQUI
OG0000739	CCAP1982_LOCUS4635|CAD6995933.1|CCAP	LOC6036343|XP_038110352.1|CQUI
OG0000740	CCAP1982_LOCUS7812|CAD6999283.1|CCAP	LOC6045778|XP_038107229.1|CQUI
OG0000740	CCAP1982_LOCUS851|CAD6991963.1|CCAP	LOC6038854|XP_038113339.1|CQUI
OG0000743	CCAP1982_LOCUS12884|CAD7004479.1|CCAP	LOC6050273|XP_001866910.2|CQUI
OG0000744	CCAP1982_LOCUS20285|CAD7012184.1|CCAP	LOC6047300|XP_001864379.2|CQUI, LOC6047301|XP_001864380.2|CQUI
OG0000746	CCAP1982_LOCUS7111|CAD6998524.1|CCAP	LOC6043117|XP_001855912.2|CQUI
OG0000753	CCAP1982_LOCUS3763|CAD6995033.1|CCAP, CCAP1982_LOCUS3762|CAD6995032.1|CCAP	LOC6048959|XP_038122824.1|CQUI
OG0000756	CCAP1982_LOCUS3474|CAD6994741.1|CCAP	LOC6046145|XP_001863379.2|CQUI
OG0000757	CCAP1982_LOCUS12322|CAD7003892.1|CCAP	LOC6046554|XP_038118070.1|CQUI
OG0000758	CCAP1982_LOCUS10824|CAD7002337.1|CCAP, CCAP1982_LOCUS10825|CAD7002339.1|CCAP	LOC6040607|XP_038119298.1|CQUI
OG0000762	CCAP1982_LOCUS5527|CAD6996851.1|CCAP	LOC6037908|XP_001847768.1|CQUI
OG0000764	CCAP1982_LOCUS9835|CAD7001338.1|CCAP, CCAP1982_LOCUS9837|CAD7001340.1|CCAP	LOC6039471|XP_038122347.1|CQUI
OG0000767	CCAP1982_LOCUS13379|CAD7005004.1|CCAP	LOC6033818|XP_001844213.2|CQUI
OG0000768	CCAP1982_LOCUS13967|CAD7005608.1|CCAP	LOC6037757|XP_038118780.1|CQUI
OG0000770	CCAP1982_LOCUS23234|CAD7015287.1|CCAP, CCAP1982_LOCUS23236|CAD7015289.1|CCAP, CCAP1982_LOCUS23235|CAD7015288.1|CCAP, CCAP1982_LOCUS23208|CAD7015260.1|CCAP, CCAP1982_LOCUS23233|CAD7015286.1|CCAP	LOC119766679|XP_038107821.1|CQUI, LOC6032313|XP_001842945.1|CQUI
OG0000771	CCAP1982_LOCUS11323|CAD7002853.1|CCAP	LOC6037662|XP_038113592.1|CQUI
OG0000778	CCAP1982_LOCUS4113|CAD6995395.1|CCAP	LOC6038198|XP_038117770.1|CQUI
OG0000785	CCAP1982_LOCUS2663|CAD6993869.1|CCAP	LOC6046529|XP_001863710.2|CQUI, LOC6046527|XP_001863709.2|CQUI
OG0000786	CCAP1982_LOCUS1450|CAD6992600.1|CCAP, CCAP1982_LOCUS1451|CAD6992602.1|CCAP	LOC6037507|XP_038107901.1|CQUI
OG0000787	CCAP1982_LOCUS11438|CAD7002975.1|CCAP	LOC6035614|XP_001845763.1|CQUI
OG0000788	CCAP1982_LOCUS11851|CAD7003393.1|CCAP	LOC6045925|XP_001863200.1|CQUI
OG0000789	CCAP1982_LOCUS7762|CAD6999230.1|CCAP	LOC6047537|XP_001864587.2|CQUI
OG0000790	CCAP1982_LOCUS7014|CAD6998414.1|CCAP	LOC119767740|XP_038113035.1|CQUI
OG0000791	CCAP1982_LOCUS2495|CAD6993689.1|CCAP	LOC6036471|XP_001846521.1|CQUI
OG0000792	CCAP1982_LOCUS22816|CAD7014849.1|CCAP, CCAP1982_LOCUS8894|CAD7000418.1|CCAP, CCAP1982_LOCUS8893|CAD7000417.1|CCAP, CCAP1982_LOCUS8892|CAD7000416.1|CCAP	LOC119767396|XP_038111828.1|CQUI, LOC6046623|XP_001863795.2|CQUI
OG0000793	CCAP1982_LOCUS1000|CAD6992116.1|CCAP	LOC6046063|XP_001863318.1|CQUI
OG0000797	CCAP1982_LOCUS4428|CAD6995722.1|CCAP	LOC6037066|XP_001847023.1|CQUI, LOC6046197|XP_001863428.1|CQUI
OG0000798	CCAP1982_LOCUS20568|CAD7012491.1|CCAP	LOC6052446|XP_038107346.1|CQUI
OG0000799	CCAP1982_LOCUS23391|CAD7015450.1|CCAP	LOC6054174|XP_038108545.1|CQUI
OG0000801	CCAP1982_LOCUS20234|CAD7012137.1|CCAP	LOC6046949|XP_001864068.1|CQUI
OG0000802	CCAP1982_LOCUS12829|CAD7004420.1|CCAP	LOC6040365|XP_001849765.2|CQUI, LOC6051527|XP_038106125.1|CQUI, LOC6040366|XP_038110323.1|CQUI
OG0000803	CCAP1982_LOCUS7929|CAD6999403.1|CCAP	LOC6036009|XP_001846113.1|CQUI
OG0000811	CCAP1982_LOCUS23414|CAD7015474.1|CCAP	LOC6032795|XP_001843334.2|CQUI
OG0000814	CCAP1982_LOCUS189|CAD6991255.1|CCAP	LOC6042898|XP_038118763.1|CQUI
OG0000815	CCAP1982_LOCUS6833|CAD6998221.1|CCAP, CCAP1982_LOCUS6832|CAD6998220.1|CCAP	LOC6031268|XP_038112299.1|CQUI, LOC6031267|XP_001842093.2|CQUI, LOC119766437|XP_038106914.1|CQUI, LOC6031271|XP_038111478.1|CQUI, LOC6031270|XP_038110981.1|CQUI
OG0000820	CCAP1982_LOCUS607|CAD6991694.1|CCAP, CCAP1982_LOCUS20527|CAD7012446.1|CCAP	LOC6038086|XP_038108938.1|CQUI
OG0000831	CCAP1982_LOCUS2876|CAD6994107.1|CCAP	LOC6032985|XP_038104688.1|CQUI, LOC6032982|XP_001843494.2|CQUI, LOC6039734|XP_001849286.2|CQUI
OG0000832	CCAP1982_LOCUS22663|CAD7014678.1|CCAP	LOC6038039|XP_001847884.1|CQUI
OG0000833	CCAP1982_LOCUS14574|CAD7006248.1|CCAP	LOC119770850|XP_038122366.1|CQUI, LOC6043801|XP_038117043.1|CQUI
OG0000834	CCAP1982_LOCUS3177|CAD6994426.1|CCAP, CCAP1982_LOCUS2133|CAD6993316.1|CCAP, CCAP1982_LOCUS2134|CAD6993317.1|CCAP, CCAP1982_LOCUS2135|CAD6993318.1|CCAP	LOC6049792|XP_001866498.2|CQUI
OG0000836	CCAP1982_LOCUS5624|CAD6996957.1|CCAP	LOC6033191|XP_038110903.1|CQUI
OG0000839	CCAP1982_LOCUS770|CAD6991879.1|CCAP	LOC6032544|XP_001843124.2|CQUI
OG0000842	CCAP1982_LOCUS21103|CAD7013014.1|CCAP	LOC6052627|XP_038111165.1|CQUI
OG0000843	CCAP1982_LOCUS5498|CAD6996825.1|CCAP	LOC6047696|XP_038104663.1|CQUI, LOC6052901|XP_001869081.2|CQUI
OG0000844	CCAP1982_LOCUS21108|CAD7013021.1|CCAP	LOC6040955|XP_038108140.1|CQUI
OG0000853	CCAP1982_LOCUS10161|CAD7001670.1|CCAP	LOC119770194|XP_038120568.1|CQUI, LOC119766069|XP_038106376.1|CQUI
OG0000856	CCAP1982_LOCUS13873|CAD7005513.1|CCAP	LOC6042751|XP_038104746.1|CQUI
OG0000858	CCAP1982_LOCUS3995|CAD6995275.1|CCAP	LOC6033717|XP_001844137.2|CQUI
OG0000860	CCAP1982_LOCUS12607|CAD7004188.1|CCAP	LOC6032867|XP_038115886.1|CQUI
OG0000861	CCAP1982_LOCUS23355|CAD7015412.1|CCAP, CCAP1982_LOCUS23353|CAD7015410.1|CCAP	LOC6037309|XP_001847235.1|CQUI
OG0000863	CCAP1982_LOCUS13300|CAD7004917.1|CCAP, CCAP1982_LOCUS13301|CAD7004918.1|CCAP	LOC6044024|XP_038115592.1|CQUI
OG0000865	CCAP1982_LOCUS4953|CAD6996270.1|CCAP	LOC6032934|XP_038112958.1|CQUI
OG0000866	CCAP1982_LOCUS8871|CAD7000396.1|CCAP	LOC6041493|XP_038110702.1|CQUI
OG0000867	CCAP1982_LOCUS6476|CAD6997852.1|CCAP	LOC6050061|XP_001866728.2|CQUI
OG0000869	CCAP1982_LOCUS4368|CAD6995661.1|CCAP, CCAP1982_LOCUS4369|CAD6995662.1|CCAP	LOC119767364|XP_038111763.1|CQUI
OG0000871	CCAP1982_LOCUS19771|CAD7011687.1|CCAP	LOC6038540|XP_001848327.2|CQUI, LOC6038577|XP_038106280.1|CQUI, LOC6038538|XP_001848325.2|CQUI
OG0000872	CCAP1982_LOCUS21128|CAD7013046.1|CCAP	LOC6038131|XP_001847929.1|CQUI
OG0000873	CCAP1982_LOCUS11773|CAD7003312.1|CCAP, CCAP1982_LOCUS11691|CAD7003230.1|CCAP, CCAP1982_LOCUS11692|CAD7003231.1|CCAP	LOC6047243|XP_001864326.2|CQUI, LOC6038744|XP_038111904.1|CQUI, LOC6036763|XP_038106219.1|CQUI
OG0000875	CCAP1982_LOCUS2405|CAD6993595.1|CCAP, CCAP1982_LOCUS14457|CAD7006125.1|CCAP	LOC6040537|XP_038110191.1|CQUI
OG0000885	CCAP1982_LOCUS3879|CAD6995158.1|CCAP	LOC6048168|XP_001865124.1|CQUI, LOC6048169|XP_001865125.1|CQUI, LOC6048170|XP_001865126.1|CQUI
OG0000888	CCAP1982_LOCUS11353|CAD7002884.1|CCAP, CCAP1982_LOCUS11349|CAD7002880.1|CCAP, CCAP1982_LOCUS11355|CAD7002886.1|CCAP	LOC6036591|XP_038115396.1|CQUI, LOC6036581|XP_038118642.1|CQUI
OG0000889	CCAP1982_LOCUS13751|CAD7005391.1|CCAP	LOC6033544|XP_001843978.2|CQUI
OG0000890	CCAP1982_LOCUS23265|CAD7015320.1|CCAP	LOC6043796|XP_001861395.2|CQUI
OG0000891	CCAP1982_LOCUS8035|CAD6999510.1|CCAP	LOC6041067|XP_038111593.1|CQUI
OG0000892	CCAP1982_LOCUS14260|CAD7005922.1|CCAP	LOC6041555|XP_001850801.2|CQUI
OG0000893	CCAP1982_LOCUS4761|CAD6996054.1|CCAP	LOC6034999|XP_001845244.2|CQUI, LOC6034994|XP_038116648.1|CQUI, LOC6034998|XP_038115749.1|CQUI, LOC6034997|XP_038115753.1|CQUI, LOC6034995|XP_001845241.2|CQUI, LOC119768921|XP_038116647.1|CQUI, LOC119768764|XP_038115747.1|CQUI, LOC119768763|XP_038115744.1|CQUI, LOC119768765|XP_038115748.1|CQUI
OG0000894	CCAP1982_LOCUS5163|CAD6996494.1|CCAP	LOC6043434|XP_001859054.2|CQUI
OG0000895	CCAP1982_LOCUS22848|CAD7014884.1|CCAP	LOC6050900|XP_001867421.2|CQUI
OG0000909	CCAP1982_LOCUS3768|CAD6995038.1|CCAP	LOC6039203|XP_038105481.1|CQUI
OG0000911	CCAP1982_LOCUS21662|CAD7013610.1|CCAP	LOC6033485|XP_001843927.2|CQUI
OG0000912	CCAP1982_LOCUS14320|CAD7005984.1|CCAP	LOC6033531|XP_001843968.1|CQUI, LOC6033530|XP_001843967.1|CQUI
OG0000914	CCAP1982_LOCUS21261|CAD7013190.1|CCAP	LOC6032957|XP_001843473.2|CQUI, LOC6032960|XP_001843476.1|CQUI, LOC6032959|XP_001843475.1|CQUI, LOC6042107|XP_001851258.1|CQUI
OG0000915	CCAP1982_LOCUS21547|CAD7013485.1|CCAP	LOC6049126|XP_038107760.1|CQUI
OG0000916	CCAP1982_LOCUS8269|CAD6999743.1|CCAP	LOC6044540|XP_038107414.1|CQUI, LOC6044537|XP_038109271.1|CQUI
OG0000917	CCAP1982_LOCUS8922|CAD7000445.1|CCAP	LOC6036130|XP_038112959.1|CQUI
OG0000918	CCAP1982_LOCUS5537|CAD6996863.1|CCAP	LOC6053853|XP_038107451.1|CQUI
OG0000922	CCAP1982_LOCUS12740|CAD7004321.1|CCAP, CCAP1982_LOCUS12739|CAD7004320.1|CCAP, CCAP1982_LOCUS12737|CAD7004318.1|CCAP	LOC6035826|XP_001845946.2|CQUI
OG0000923	CCAP1982_LOCUS5176|CAD6996508.1|CCAP, CCAP1982_LOCUS22264|CAD7014261.1|CCAP	LOC6039960|XP_001849453.1|CQUI
OG0000925	CCAP1982_LOCUS1840|CAD6993005.1|CCAP	LOC6037245|XP_038114185.1|CQUI, LOC6037244|XP_001847173.1|CQUI
OG0000935	CCAP1982_LOCUS3212|CAD6994467.1|CCAP	LOC6041293|XP_038115420.1|CQUI
OG0000936	CCAP1982_LOCUS4121|CAD6995403.1|CCAP	LOC6044999|XP_001862423.1|CQUI
OG0000937	CCAP1982_LOCUS3421|CAD6994686.1|CCAP, CCAP1982_LOCUS3422|CAD6994687.1|CCAP	LOC6047549|XP_038122304.1|CQUI, LOC6038645|XP_038109622.1|CQUI
OG0000939	CCAP1982_LOCUS8572|CAD7000071.1|CCAP	LOC6044428|XP_001861946.1|CQUI
OG0000942	CCAP1982_LOCUS13068|CAD7004674.1|CCAP	LOC6050303|XP_001866931.2|CQUI
OG0000943	CCAP1982_LOCUS23191|CAD7015240.1|CCAP	LOC6036204|XP_038120020.1|CQUI
OG0000945	CCAP1982_LOCUS22125|CAD7014119.1|CCAP	LOC6040018|XP_001849494.2|CQUI
OG0000947	CCAP1982_LOCUS19572|CAD7011472.1|CCAP	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI
OG0000948	CCAP1982_LOCUS11573|CAD7003110.1|CCAP	LOC6048908|XP_001865747.2|CQUI
OG0000951	CCAP1982_LOCUS166|CAD6991229.1|CCAP	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI
OG0000952	CCAP1982_LOCUS7797|CAD6999267.1|CCAP	LOC119770231|XP_038120613.1|CQUI, LOC6045137|XP_001862538.2|CQUI
OG0000953	CCAP1982_LOCUS7587|CAD6999040.1|CCAP, CCAP1982_LOCUS4618|CAD6995916.1|CCAP, CCAP1982_LOCUS6433|CAD6997809.1|CCAP, CCAP1982_LOCUS1476|CAD6992628.1|CCAP, CCAP1982_LOCUS11638|CAD7003176.1|CCAP	LOC119766237|XP_038106605.1|CQUI, LOC119770105|XP_038120274.1|CQUI, LOC119770160|XP_038120495.1|CQUI
OG0000964	CCAP1982_LOCUS19682|CAD7011593.1|CCAP	LOC6035895|XP_038106137.1|CQUI, LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI
OG0000966	CCAP1982_LOCUS5066|CAD6996391.1|CCAP	LOC6034419|XP_038105028.1|CQUI
OG0000969	CCAP1982_LOCUS23334|CAD7015390.1|CCAP	LOC6043792|XP_001861393.1|CQUI
OG0000970	CCAP1982_LOCUS2746|CAD6993961.1|CCAP	LOC6033272|XP_001843743.2|CQUI
OG0000971	CCAP1982_LOCUS8220|CAD6999693.1|CCAP	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI
OG0000972	CCAP1982_LOCUS11059|CAD7002571.1|CCAP	LOC6031858|XP_038113015.1|CQUI
OG0000974	CCAP1982_LOCUS12256|CAD7003823.1|CCAP, CCAP1982_LOCUS12257|CAD7003824.1|CCAP	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI
OG0000975	CCAP1982_LOCUS5108|CAD6996435.1|CCAP, CCAP1982_LOCUS5109|CAD6996436.1|CCAP, CCAP1982_LOCUS5107|CAD6996434.1|CCAP	LOC6046902|XP_001864030.2|CQUI
OG0000977	CCAP1982_LOCUS4904|CAD6996216.1|CCAP, CCAP1982_LOCUS4902|CAD6996214.1|CCAP	LOC6053094|XP_038112904.1|CQUI
OG0000978	CCAP1982_LOCUS4767|CAD6996059.1|CCAP	LOC6051170|XP_038108380.1|CQUI
OG0000992	CCAP1982_LOCUS4021|CAD6995302.1|CCAP	LOC6042422|XP_001851542.2|CQUI
OG0000995	CCAP1982_LOCUS22836|CAD7014872.1|CCAP	LOC6041608|XP_001850846.1|CQUI
OG0000996	CCAP1982_LOCUS21390|CAD7013320.1|CCAP	LOC6030996|XP_001841849.2|CQUI, LOC119769660|XP_038118872.1|CQUI
OG0000997	CCAP1982_LOCUS23125|CAD7015172.1|CCAP, CCAP1982_LOCUS23124|CAD7015171.1|CCAP	LOC6052525|XP_038120680.1|CQUI
OG0000998	CCAP1982_LOCUS11164|CAD7002685.1|CCAP, CCAP1982_LOCUS11162|CAD7002682.1|CCAP, CCAP1982_LOCUS11161|CAD7002681.1|CCAP, CCAP1982_LOCUS11159|CAD7002677.1|CCAP	LOC6047261|XP_001864343.2|CQUI, LOC6047263|XP_038117138.1|CQUI, LOC6047258|XP_038118868.1|CQUI
OG0001000	CCAP1982_LOCUS7177|CAD6998602.1|CCAP	LOC6032922|XP_038108749.1|CQUI
OG0001002	CCAP1982_LOCUS8673|CAD7000182.1|CCAP, CCAP1982_LOCUS8675|CAD7000184.1|CCAP, CCAP1982_LOCUS8672|CAD7000181.1|CCAP	LOC6031176|XP_001842019.1|CQUI, LOC6031178|XP_038111945.1|CQUI, LOC6031180|XP_038106920.1|CQUI
OG0001004	CCAP1982_LOCUS519|CAD6991602.1|CCAP	LOC6038961|XP_001848650.1|CQUI
OG0001005	CCAP1982_LOCUS13375|CAD7004999.1|CCAP	LOC6047963|XP_038122308.1|CQUI
OG0001006	CCAP1982_LOCUS13426|CAD7005058.1|CCAP	LOC6032307|XP_001842939.1|CQUI
OG0001007	CCAP1982_LOCUS21101|CAD7013012.1|CCAP	LOC6032328|XP_001842958.1|CQUI
OG0001009	CCAP1982_LOCUS8077|CAD6999557.1|CCAP	LOC6038900|XP_001848599.2|CQUI
OG0001019	CCAP1982_LOCUS3424|CAD6994689.1|CCAP	LOC6050264|XP_038104074.1|CQUI
OG0001019	CCAP1982_LOCUS3433|CAD6994698.1|CCAP	LOC6052564|XP_001868810.2|CQUI
OG0001021	CCAP1982_LOCUS20092|CAD7011981.1|CCAP	LOC6050121|XP_038116561.1|CQUI, LOC6050119|XP_038116583.1|CQUI, LOC119768888|XP_038116570.1|CQUI
OG0001024	CCAP1982_LOCUS3439|CAD6994704.1|CCAP, CCAP1982_LOCUS3438|CAD6994703.1|CCAP	LOC6034941|XP_001845202.2|CQUI, LOC6048000|XP_001864975.2|CQUI
OG0001025	CCAP1982_LOCUS14956|CAD7006653.1|CCAP	LOC6044075|XP_038116060.1|CQUI
OG0001026	CCAP1982_LOCUS21674|CAD7013623.1|CCAP	LOC6037044|XP_001847005.2|CQUI, LOC6037036|XP_001846998.2|CQUI
OG0001027	CCAP1982_LOCUS11668|CAD7003208.1|CCAP	LOC6036423|XP_001846475.1|CQUI, LOC6036424|XP_038121459.1|CQUI
OG0001028	CCAP1982_LOCUS8649|CAD7000156.1|CCAP	LOC6053346|XP_001869449.2|CQUI, LOC119769210|XP_038117057.1|CQUI, LOC6031308|XP_001842125.1|CQUI
OG0001031	CCAP1982_LOCUS6157|CAD6997518.1|CCAP, CCAP1982_LOCUS6156|CAD6997517.1|CCAP, CCAP1982_LOCUS6151|CAD6997512.1|CCAP	LOC6038935|XP_038109238.1|CQUI
OG0001042	CCAP1982_LOCUS1764|CAD6992931.1|CCAP	LOC6051046|XP_038122684.1|CQUI, LOC6053042|XP_038105133.1|CQUI, LOC6053041|XP_038122772.1|CQUI
OG0001044	CCAP1982_LOCUS21192|CAD7013119.1|CCAP, CCAP1982_LOCUS21189|CAD7013116.1|CCAP, CCAP1982_LOCUS21193|CAD7013120.1|CCAP	LOC119767848|XP_038113446.1|CQUI, LOC6052536|XP_001868789.2|CQUI
OG0001045	CCAP1982_LOCUS20913|CAD7012813.1|CCAP	LOC6049796|XP_001866502.2|CQUI, LOC6046964|XP_001864077.2|CQUI, LOC6049795|XP_001866501.2|CQUI, LOC6040700|XP_001850055.1|CQUI
OG0001046	CCAP1982_LOCUS19960|CAD7011851.1|CCAP	LOC6037425|XP_001847339.1|CQUI
OG0001047	CCAP1982_LOCUS20366|CAD7012270.1|CCAP	LOC6052938|XP_001869113.1|CQUI
OG0001048	CCAP1982_LOCUS21371|CAD7013300.1|CCAP	LOC6030972|XP_001841824.2|CQUI, LOC6037859|XP_038106191.1|CQUI, LOC6036643|XP_038113731.1|CQUI
OG0001049	CCAP1982_LOCUS12233|CAD7003800.1|CCAP, CCAP1982_LOCUS12232|CAD7003799.1|CCAP	LOC6043980|XP_038117725.1|CQUI
OG0001050	CCAP1982_LOCUS11755|CAD7003293.1|CCAP	LOC119770659|XP_038121888.1|CQUI, LOC6033574|XP_038117779.1|CQUI
OG0001051	CCAP1982_LOCUS7727|CAD6999191.1|CCAP	LOC6044460|XP_038112405.1|CQUI
OG0001051	CCAP1982_LOCUS7728|CAD6999192.1|CCAP	LOC6037151|XP_038120303.1|CQUI
OG0001052	CCAP1982_LOCUS5814|CAD6997172.1|CCAP	LOC6034904|XP_038107542.1|CQUI
OG0001054	CCAP1982_LOCUS3180|CAD6994429.1|CCAP	LOC6046359|XP_001863576.2|CQUI
OG0001057	CCAP1982_LOCUS20701|CAD7012617.1|CCAP	LOC6039782|XP_001849304.1|CQUI
OG0001059	CCAP1982_LOCUS14475|CAD7006147.1|CCAP, CCAP1982_LOCUS14471|CAD7006143.1|CCAP	LOC6036107|XP_038110474.1|CQUI
OG0001073	CCAP1982_LOCUS2980|CAD6994218.1|CCAP	LOC6040802|XP_038122600.1|CQUI
OG0001074	CCAP1982_LOCUS22501|CAD7014499.1|CCAP	LOC6040958|XP_001850279.1|CQUI
OG0001077	CCAP1982_LOCUS4172|CAD6995457.1|CCAP	LOC6037330|XP_001847254.1|CQUI
OG0001079	CCAP1982_LOCUS12708|CAD7004289.1|CCAP	LOC6051664|XP_001868064.2|CQUI
OG0001080	CCAP1982_LOCUS11124|CAD7002641.1|CCAP	LOC6041053|XP_001850364.2|CQUI
OG0001081	CCAP1982_LOCUS996|CAD6992112.1|CCAP	LOC6041039|XP_001850350.2|CQUI, LOC6042831|XP_001870828.1|CQUI
OG0001082	CCAP1982_LOCUS22051|CAD7014045.1|CCAP	LOC6043330|XP_038119590.1|CQUI
OG0001083	CCAP1982_LOCUS14891|CAD7006577.1|CCAP	LOC6031062|XP_038119861.1|CQUI
OG0001084	CCAP1982_LOCUS21820|CAD7013799.1|CCAP, CCAP1982_LOCUS21819|CAD7013798.1|CCAP	LOC6042294|XP_038114789.1|CQUI, LOC6047368|XP_038115486.1|CQUI
OG0001085	CCAP1982_LOCUS21337|CAD7013266.1|CCAP	LOC6042005|XP_038115817.1|CQUI
OG0001086	CCAP1982_LOCUS21090|CAD7013000.1|CCAP	LOC6036258|XP_001846326.2|CQUI
OG0001088	CCAP1982_LOCUS12834|CAD7004425.1|CCAP	LOC6040518|XP_001849904.2|CQUI, LOC6033568|XP_038117163.1|CQUI, LOC6049750|XP_038119401.1|CQUI
OG0001089	CCAP1982_LOCUS12321|CAD7003891.1|CCAP	LOC6037275|XP_038117998.1|CQUI
OG0001090	CCAP1982_LOCUS12515|CAD7004092.1|CCAP	LOC6034576|XP_038120156.1|CQUI, LOC6034579|XP_038120153.1|CQUI, LOC6034580|XP_038120154.1|CQUI
OG0001091	CCAP1982_LOCUS11183|CAD7002706.1|CCAP	LOC6030795|XP_001841707.2|CQUI, LOC6030816|XP_001841702.2|CQUI, LOC6030812|XP_001841704.2|CQUI, LOC119770851|XP_038122367.1|CQUI, LOC6030822|XP_001841703.2|CQUI, LOC6030813|XP_001841708.2|CQUI
OG0001092	CCAP1982_LOCUS8406|CAD6999896.1|CCAP	LOC6036149|XP_038109368.1|CQUI
OG0001093	CCAP1982_LOCUS6559|CAD6997942.1|CCAP, CCAP1982_LOCUS6558|CAD6997941.1|CCAP	LOC6036146|XP_001846236.2|CQUI
OG0001094	CCAP1982_LOCUS6585|CAD6997967.1|CCAP, CCAP1982_LOCUS6594|CAD6997977.1|CCAP	LOC6031336|XP_038112557.1|CQUI
OG0001095	CCAP1982_LOCUS5633|CAD6996967.1|CCAP	LOC6049911|XP_001866601.1|CQUI, LOC6049910|XP_038111983.1|CQUI, LOC6049913|XP_001866603.1|CQUI
OG0001096	CCAP1982_LOCUS8252|CAD6999726.1|CCAP	LOC6031955|XP_038113300.1|CQUI, LOC6031954|XP_038108739.1|CQUI
OG0001097	CCAP1982_LOCUS5730|CAD6997077.1|CCAP	LOC6031863|XP_038109276.1|CQUI
OG0001099	CCAP1982_LOCUS12524|CAD7004101.1|CCAP	LOC6040335|XP_001849740.2|CQUI
OG0001100	CCAP1982_LOCUS908|CAD6992026.1|CCAP	LOC6052097|XP_038112579.1|CQUI
OG0001101	CCAP1982_LOCUS20125|CAD7012014.1|CCAP	LOC6037726|XP_038113843.1|CQUI
OG0001102	CCAP1982_LOCUS14212|CAD7005870.1|CCAP, CCAP1982_LOCUS14202|CAD7005860.1|CCAP	LOC6040098|XP_038110990.1|CQUI, LOC6040089|XP_038110333.1|CQUI
OG0001103	CCAP1982_LOCUS3837|CAD6995115.1|CCAP, CCAP1982_LOCUS3835|CAD6995113.1|CCAP	LOC6040179|XP_001849630.2|CQUI, LOC6040178|XP_038112931.1|CQUI, LOC6040177|XP_001849628.2|CQUI
OG0001104	CCAP1982_LOCUS20148|CAD7012046.1|CCAP	LOC6051930|XP_001868284.2|CQUI
OG0001106	CCAP1982_LOCUS19510|CAD7011410.1|CCAP, CCAP1982_LOCUS19502|CAD7011402.1|CCAP, CCAP1982_LOCUS19508|CAD7011408.1|CCAP, CCAP1982_LOCUS19504|CAD7011404.1|CCAP	LOC6047766|XP_038112893.1|CQUI, LOC6047173|XP_038113034.1|CQUI
OG0001119	CCAP1982_LOCUS4136|CAD6995419.1|CCAP	LOC6040361|XP_038114062.1|CQUI, LOC6048162|XP_038104643.1|CQUI
OG0001120	CCAP1982_LOCUS3124|CAD6994371.1|CCAP	LOC6033952|XP_038104598.1|CQUI, LOC6033958|XP_038105273.1|CQUI
OG0001121	CCAP1982_LOCUS22189|CAD7014183.1|CCAP	LOC6047867|XP_038122205.1|CQUI
OG0001122	CCAP1982_LOCUS12577|CAD7004157.1|CCAP	LOC6047533|XP_038119301.1|CQUI
OG0001124	CCAP1982_LOCUS3530|CAD6994799.1|CCAP	LOC6044079|XP_038120683.1|CQUI
OG0001125	CCAP1982_LOCUS12956|CAD7004560.1|CCAP	LOC6039443|XP_001849053.2|CQUI
OG0001126	CCAP1982_LOCUS12937|CAD7004540.1|CCAP	LOC6049107|XP_038118915.1|CQUI
OG0001127	CCAP1982_LOCUS13446|CAD7005083.1|CCAP	LOC6052725|XP_001868949.2|CQUI, LOC6034690|XP_001844974.2|CQUI
OG0001128	CCAP1982_LOCUS23086|CAD7015136.1|CCAP	LOC6030950|XP_038115818.1|CQUI, LOC6040847|XP_038111443.1|CQUI
OG0001129	CCAP1982_LOCUS5497|CAD6996824.1|CCAP, CCAP1982_LOCUS5496|CAD6996823.1|CCAP	LOC6041308|XP_038109340.1|CQUI
OG0001130	CCAP1982_LOCUS5744|CAD6997091.1|CCAP	LOC6046734|XP_001863893.2|CQUI
OG0001131	CCAP1982_LOCUS10341|CAD7001852.1|CCAP	LOC6044602|XP_038107721.1|CQUI, LOC6042975|XP_038110225.1|CQUI, LOC6044604|XP_038107498.1|CQUI
