Orthogroup	CCAP.longest_only	DGUA.longest_only
OG0001472	CCAP1982_LOCUS12411|CAD7003989.1|CCAP	LOC117589087|XP_034136616.1|DGUA
OG0001473	CCAP1982_LOCUS2309|CAD6993496.1|CCAP	LOC117590176|XP_034138462.1|DGUA
OG0001474	CCAP1982_LOCUS22192|CAD7014186.1|CCAP	LOC117588661|XP_034135995.1|DGUA, LOC117591934|XP_034141234.1|DGUA
OG0001475	CCAP1982_LOCUS21622|CAD7013566.1|CCAP	LOC117586172|XP_034131977.1|DGUA, LOC117586186|XP_034132003.1|DGUA
OG0001476	CCAP1982_LOCUS23001|CAD7015044.1|CCAP	LOC117591332|XP_034140443.1|DGUA
OG0001478	CCAP1982_LOCUS6943|CAD6998341.1|CCAP	LOC117582637|XP_034126408.1|DGUA
OG0001480	CCAP1982_LOCUS7499|CAD6998952.1|CCAP	LOC117581380|XP_034124409.1|DGUA, LOC117582634|XP_034126403.1|DGUA
OG0001481	CCAP1982_LOCUS7609|CAD6999063.1|CCAP, CCAP1982_LOCUS7608|CAD6999062.1|CCAP	LOC117584077|XP_034128714.1|DGUA
OG0001482	CCAP1982_LOCUS22940|CAD7014980.1|CCAP	LOC117588384|XP_034135503.1|DGUA
OG0001483	CCAP1982_LOCUS5446|CAD6996770.1|CCAP	LOC117587575|XP_034134293.1|DGUA
OG0001484	CCAP1982_LOCUS2927|CAD6994161.1|CCAP	LOC117581869|XP_034125223.1|DGUA
OG0001485	CCAP1982_LOCUS13494|CAD7005132.1|CCAP	LOC117579615|XP_034121441.1|DGUA
OG0001486	CCAP1982_LOCUS8832|CAD7000350.1|CCAP	LOC117581711|XP_034124979.1|DGUA
OG0001487	CCAP1982_LOCUS5886|CAD6997253.1|CCAP	LOC117588171|XP_034135173.1|DGUA
OG0001488	CCAP1982_LOCUS22517|CAD7014516.1|CCAP	LOC117581975|XP_034125356.1|DGUA
OG0001489	CCAP1982_LOCUS6375|CAD6997743.1|CCAP, CCAP1982_LOCUS6361|CAD6997729.1|CCAP	LOC117587869|XP_034134727.1|DGUA
OG0001490	CCAP1982_LOCUS6385|CAD6997753.1|CCAP	LOC117584591|XP_034129459.1|DGUA
OG0001491	CCAP1982_LOCUS8226|CAD6999700.1|CCAP, CCAP1982_LOCUS8228|CAD6999702.1|CCAP	LOC117582493|XP_034126156.1|DGUA
OG0001495	CCAP1982_LOCUS22388|CAD7014394.1|CCAP	LOC117578870|XP_034120555.1|DGUA
OG0001497	CCAP1982_LOCUS22948|CAD7014991.1|CCAP, CCAP1982_LOCUS8341|CAD6999830.1|CCAP	LOC117588980|XP_034136463.1|DGUA
OG0001498	CCAP1982_LOCUS4395|CAD6995688.1|CCAP	LOC117586107|XP_034131859.1|DGUA
OG0001500	CCAP1982_LOCUS21162|CAD7013087.1|CCAP	LOC117592220|XP_034141738.1|DGUA, LOC117591707|XP_034140917.1|DGUA, LOC117592211|XP_034141714.1|DGUA, LOC117592034|XP_034141386.1|DGUA
OG0001501	CCAP1982_LOCUS4853|CAD6996161.1|CCAP, CCAP1982_LOCUS384|CAD6991459.1|CCAP	LOC117586638|XP_034132759.1|DGUA
OG0001502	CCAP1982_LOCUS19881|CAD7011769.1|CCAP, CCAP1982_LOCUS19882|CAD7011770.1|CCAP	LOC117592141|XP_034141587.1|DGUA
OG0001503	CCAP1982_LOCUS20213|CAD7012114.1|CCAP, CCAP1982_LOCUS20215|CAD7012116.1|CCAP	LOC117585163|XP_034130397.1|DGUA
OG0001505	CCAP1982_LOCUS15016|CAD7006717.1|CCAP	LOC117580793|XP_034123384.1|DGUA
OG0001506	CCAP1982_LOCUS20292|CAD7012190.1|CCAP	LOC117592622|XP_034142449.1|DGUA
OG0001507	CCAP1982_LOCUS15035|CAD7006736.1|CCAP	LOC117580295|XP_034122670.1|DGUA
OG0001508	CCAP1982_LOCUS19705|CAD7011617.1|CCAP	LOC117583291|XP_034127424.1|DGUA
OG0001509	CCAP1982_LOCUS21064|CAD7012973.1|CCAP	LOC117592436|XP_034142084.1|DGUA
OG0001510	CCAP1982_LOCUS5603|CAD6996933.1|CCAP	LOC117591111|XP_034140105.1|DGUA, LOC117587821|XP_034134670.1|DGUA
OG0001512	CCAP1982_LOCUS12364|CAD7003942.1|CCAP	LOC117579925|XP_034121960.1|DGUA
OG0001513	CCAP1982_LOCUS14667|CAD7006345.1|CCAP, CCAP1982_LOCUS14668|CAD7006346.1|CCAP, CCAP1982_LOCUS14665|CAD7006343.1|CCAP	LOC117588880|XP_034136297.1|DGUA
OG0001517	CCAP1982_LOCUS2393|CAD6993582.1|CCAP	LOC117583268|XP_034127386.1|DGUA
OG0001518	CCAP1982_LOCUS2328|CAD6993515.1|CCAP, CCAP1982_LOCUS2327|CAD6993514.1|CCAP	LOC117590392|XP_034138874.1|DGUA
OG0001519	CCAP1982_LOCUS4702|CAD6995996.1|CCAP	LOC117586329|XP_034132212.1|DGUA
OG0001521	CCAP1982_LOCUS6137|CAD6997495.1|CCAP, CCAP1982_LOCUS6136|CAD6997494.1|CCAP	LOC117584620|XP_034129528.1|DGUA
OG0001524	CCAP1982_LOCUS20848|CAD7012744.1|CCAP	LOC117592163|XP_034141626.1|DGUA
OG0001537	CCAP1982_LOCUS7541|CAD6998994.1|CCAP	LOC117581972|XP_034125349.1|DGUA
OG0001539	CCAP1982_LOCUS22236|CAD7014233.1|CCAP	LOC117578728|XP_034120278.1|DGUA
OG0001540	CCAP1982_LOCUS8379|CAD6999869.1|CCAP, CCAP1982_LOCUS8380|CAD6999870.1|CCAP	LOC117581851|XP_034125199.1|DGUA
OG0001541	CCAP1982_LOCUS13746|CAD7005386.1|CCAP	LOC117580432|XP_034122878.1|DGUA
OG0001542	CCAP1982_LOCUS3519|CAD6994788.1|CCAP, CCAP1982_LOCUS3518|CAD6994787.1|CCAP	LOC117585256|XP_034130558.1|DGUA
OG0001549	CCAP1982_LOCUS7896|CAD6999369.1|CCAP	LOC117584420|XP_034129195.1|DGUA
OG0001550	CCAP1982_LOCUS2172|CAD6993354.1|CCAP	LOC117589685|XP_034137732.1|DGUA
OG0001551	CCAP1982_LOCUS3146|CAD6994394.1|CCAP	LOC117584920|XP_034129957.1|DGUA
OG0001552	CCAP1982_LOCUS3882|CAD6995161.1|CCAP	LOC117583494|XP_034127725.1|DGUA
OG0001554	CCAP1982_LOCUS1047|CAD6992172.1|CCAP	LOC117589662|XP_034137689.1|DGUA
OG0001555	CCAP1982_LOCUS8800|CAD7000315.1|CCAP	LOC117582050|XP_034125484.1|DGUA
OG0001556	CCAP1982_LOCUS21904|CAD7013890.1|CCAP	LOC117592180|XP_034141670.1|DGUA
OG0001559	CCAP1982_LOCUS1563|CAD6992718.1|CCAP, CCAP1982_LOCUS1557|CAD6992712.1|CCAP, CCAP1982_LOCUS1558|CAD6992713.1|CCAP	LOC117585268|XP_034130578.1|DGUA
OG0001560	CCAP1982_LOCUS4333|CAD6995627.1|CCAP	LOC117589956|XP_034138145.1|DGUA
OG0001561	CCAP1982_LOCUS1554|CAD6992709.1|CCAP, CCAP1982_LOCUS1545|CAD6992700.1|CCAP, CCAP1982_LOCUS1555|CAD6992710.1|CCAP, CCAP1982_LOCUS1546|CAD6992701.1|CCAP	LOC117583511|XP_034127745.1|DGUA
OG0001562	CCAP1982_LOCUS1189|CAD6992322.1|CCAP	LOC117584307|XP_034129023.1|DGUA
OG0001563	CCAP1982_LOCUS20081|CAD7011970.1|CCAP	LOC117590068|XP_034138289.1|DGUA
OG0001564	CCAP1982_LOCUS2912|CAD6994146.1|CCAP	LOC117585388|XP_034130728.1|DGUA
OG0001565	CCAP1982_LOCUS2206|CAD6993390.1|CCAP, CCAP1982_LOCUS2201|CAD6993385.1|CCAP	LOC117589699|XP_034137751.1|DGUA
OG0001566	CCAP1982_LOCUS2933|CAD6994168.1|CCAP	LOC117581666|XP_034124940.1|DGUA, LOC117585764|XP_034131330.1|DGUA
OG0001567	CCAP1982_LOCUS20683|CAD7012598.1|CCAP	LOC117590347|XP_034138769.1|DGUA
OG0001568	CCAP1982_LOCUS4089|CAD6995371.1|CCAP, CCAP1982_LOCUS4088|CAD6995370.1|CCAP, CCAP1982_LOCUS4087|CAD6995368.1|CCAP, CCAP1982_LOCUS4081|CAD6995362.1|CCAP	LOC117583802|XP_034128274.1|DGUA
OG0001569	CCAP1982_LOCUS1296|CAD6992434.1|CCAP	LOC117583350|XP_034127510.1|DGUA
OG0001570	CCAP1982_LOCUS2355|CAD6993543.1|CCAP	LOC117589887|XP_034138049.1|DGUA
OG0001571	CCAP1982_LOCUS5652|CAD6996990.1|CCAP	LOC117584011|XP_034128632.1|DGUA
OG0001573	CCAP1982_LOCUS11585|CAD7003123.1|CCAP, CCAP1982_LOCUS11587|CAD7003125.1|CCAP	LOC117579054|XP_034120644.1|DGUA
OG0001575	CCAP1982_LOCUS3773|CAD6995046.1|CCAP	LOC117585654|XP_034131131.1|DGUA
OG0001576	CCAP1982_LOCUS117|CAD6991178.1|CCAP	LOC117585132|XP_034130351.1|DGUA
OG0001577	CCAP1982_LOCUS9052|CAD7000578.1|CCAP	LOC117582932|XP_034126924.1|DGUA, LOC117582743|XP_034126574.1|DGUA
OG0001580	CCAP1982_LOCUS23298|CAD7015353.1|CCAP, CCAP1982_LOCUS23296|CAD7015351.1|CCAP, CCAP1982_LOCUS23297|CAD7015352.1|CCAP	LOC117592687|XP_034142542.1|DGUA, LOC117591763|XP_034140965.1|DGUA, LOC117592685|XP_034142537.1|DGUA
OG0001582	CCAP1982_LOCUS22748|CAD7014775.1|CCAP	LOC117592138|XP_034141578.1|DGUA
OG0001583	CCAP1982_LOCUS22705|CAD7014727.1|CCAP	LOC117582100|XP_034125558.1|DGUA
OG0001584	CCAP1982_LOCUS10967|CAD7002478.1|CCAP	LOC117587251|XP_034133715.1|DGUA, LOC117587250|XP_034133714.1|DGUA
OG0001586	CCAP1982_LOCUS11853|CAD7003396.1|CCAP	LOC117580112|XP_034122282.1|DGUA
OG0001587	CCAP1982_LOCUS23022|CAD7015066.1|CCAP	LOC117588970|XP_034136452.1|DGUA
OG0001588	CCAP1982_LOCUS21201|CAD7013129.1|CCAP	LOC117590665|XP_034139421.1|DGUA
OG0001589	CCAP1982_LOCUS5882|CAD6997249.1|CCAP	LOC117587770|XP_034134597.1|DGUA
OG0001590	CCAP1982_LOCUS20139|CAD7012036.1|CCAP	LOC117591600|XP_034140807.1|DGUA
OG0001592	CCAP1982_LOCUS8353|CAD6999841.1|CCAP	LOC117582373|XP_034125924.1|DGUA
OG0001593	CCAP1982_LOCUS8340|CAD6999829.1|CCAP	LOC117582137|XP_034125610.1|DGUA
OG0001594	CCAP1982_LOCUS8198|CAD6999668.1|CCAP	LOC117583889|XP_034128434.1|DGUA
OG0001595	CCAP1982_LOCUS5937|CAD6997304.1|CCAP, CCAP1982_LOCUS5948|CAD6997315.1|CCAP, CCAP1982_LOCUS22469|CAD7014473.1|CCAP, CCAP1982_LOCUS22468|CAD7014472.1|CCAP	LOC117587330|XP_034133857.1|DGUA
OG0001596	CCAP1982_LOCUS6097|CAD6997451.1|CCAP	LOC117584621|XP_034129533.1|DGUA
OG0001597	CCAP1982_LOCUS5570|CAD6996897.1|CCAP	LOC117587606|XP_034134348.1|DGUA
OG0001598	CCAP1982_LOCUS6570|CAD6997953.1|CCAP	LOC117584830|XP_034129849.1|DGUA
OG0001599	CCAP1982_LOCUS6415|CAD6997790.1|CCAP	LOC117587664|XP_034134446.1|DGUA
OG0001601	CCAP1982_LOCUS9239|CAD7000764.1|CCAP	LOC117588103|XP_034135065.1|DGUA
OG0001603	CCAP1982_LOCUS5630|CAD6996964.1|CCAP	LOC117588008|XP_034134923.1|DGUA
OG0001607	CCAP1982_LOCUS7005|CAD6998405.1|CCAP	LOC117584051|XP_034128682.1|DGUA
OG0001608	CCAP1982_LOCUS5486|CAD6996813.1|CCAP	LOC117588153|XP_034135141.1|DGUA
OG0001609	CCAP1982_LOCUS7242|CAD6998684.1|CCAP	LOC117592175|XP_034141665.1|DGUA
OG0001610	CCAP1982_LOCUS5695|CAD6997037.1|CCAP	LOC117587904|XP_034134773.1|DGUA
OG0001612	CCAP1982_LOCUS8268|CAD6999742.1|CCAP	LOC117581789|XP_034125110.1|DGUA
OG0001613	CCAP1982_LOCUS5623|CAD6996956.1|CCAP	LOC117584513|XP_034129344.1|DGUA
OG0001614	CCAP1982_LOCUS22551|CAD7014550.1|CCAP	LOC117588893|XP_034136336.1|DGUA
OG0001615	CCAP1982_LOCUS6168|CAD6997529.1|CCAP	LOC117588084|XP_034135043.1|DGUA
OG0001616	CCAP1982_LOCUS7604|CAD6999057.1|CCAP	LOC117584255|XP_034128950.1|DGUA
OG0001617	CCAP1982_LOCUS5479|CAD6996806.1|CCAP, CCAP1982_LOCUS5480|CAD6996807.1|CCAP	LOC117588210|XP_034135239.1|DGUA
OG0001619	CCAP1982_LOCUS5387|CAD6996703.1|CCAP	LOC117588216|XP_034135249.1|DGUA
OG0001620	CCAP1982_LOCUS20177|CAD7012077.1|CCAP	LOC117581391|XP_034124428.1|DGUA
OG0001621	CCAP1982_LOCUS22660|CAD7014672.1|CCAP, CCAP1982_LOCUS22659|CAD7014671.1|CCAP	LOC117579213|XP_034120875.1|DGUA
OG0001623	CCAP1982_LOCUS7557|CAD6999010.1|CCAP	LOC117582069|XP_034125516.1|DGUA
OG0001624	CCAP1982_LOCUS5456|CAD6996781.1|CCAP	LOC117591561|XP_034140757.1|DGUA
OG0001625	CCAP1982_LOCUS6407|CAD6997782.1|CCAP	LOC117584761|XP_034129754.1|DGUA
OG0001626	CCAP1982_LOCUS8185|CAD6999655.1|CCAP	LOC117581866|XP_034125220.1|DGUA
OG0001627	CCAP1982_LOCUS760|CAD6991866.1|CCAP	LOC117585983|XP_034131691.1|DGUA
OG0001628	CCAP1982_LOCUS314|CAD6991387.1|CCAP	LOC117585416|XP_034130780.1|DGUA
OG0001629	CCAP1982_LOCUS4164|CAD6995449.1|CCAP	LOC117590142|XP_034138406.1|DGUA
OG0001631	CCAP1982_LOCUS4669|CAD6995958.1|CCAP	LOC117585890|XP_034131536.1|DGUA
OG0001633	CCAP1982_LOCUS5110|CAD6996438.1|CCAP	LOC117590009|XP_034138188.1|DGUA
OG0001634	CCAP1982_LOCUS4191|CAD6995475.1|CCAP, CCAP1982_LOCUS4192|CAD6995476.1|CCAP, CCAP1982_LOCUS4190|CAD6995474.1|CCAP	LOC117590141|XP_034138405.1|DGUA
OG0001635	CCAP1982_LOCUS787|CAD6991897.1|CCAP	LOC117591101|XP_034140094.1|DGUA
OG0001636	CCAP1982_LOCUS500|CAD6991582.1|CCAP	LOC117586373|XP_034132292.1|DGUA
OG0001637	CCAP1982_LOCUS2588|CAD6993790.1|CCAP	LOC117582735|XP_034126556.1|DGUA
OG0001640	CCAP1982_LOCUS4427|CAD6995721.1|CCAP	LOC117586412|XP_034132338.1|DGUA
OG0001641	CCAP1982_LOCUS523|CAD6991608.1|CCAP	LOC117590019|XP_034138199.1|DGUA
OG0001642	CCAP1982_LOCUS7454|CAD6998907.1|CCAP	LOC117590520|XP_034139125.1|DGUA, LOC117585177|XP_034130411.1|DGUA
OG0001643	CCAP1982_LOCUS14069|CAD7005717.1|CCAP	LOC117581925|XP_034125291.1|DGUA
OG0001644	CCAP1982_LOCUS14033|CAD7005680.1|CCAP	LOC117579426|XP_034121197.1|DGUA
OG0001645	CCAP1982_LOCUS21147|CAD7013069.1|CCAP	LOC117587802|XP_034134649.1|DGUA
OG0001647	CCAP1982_LOCUS20197|CAD7012098.1|CCAP	LOC117592618|XP_034142394.1|DGUA
OG0001648	CCAP1982_LOCUS14220|CAD7005878.1|CCAP	LOC117580345|XP_034122742.1|DGUA
OG0001649	CCAP1982_LOCUS7144|CAD6998561.1|CCAP	LOC117592128|XP_034141564.1|DGUA
OG0001650	CCAP1982_LOCUS20338|CAD7012242.1|CCAP	LOC117582790|XP_034126682.1|DGUA
OG0001652	CCAP1982_LOCUS14192|CAD7005849.1|CCAP, CCAP1982_LOCUS14193|CAD7005850.1|CCAP, CCAP1982_LOCUS14191|CAD7005848.1|CCAP	LOC117579190|XP_034120849.1|DGUA
OG0001653	CCAP1982_LOCUS13526|CAD7005165.1|CCAP	LOC117580235|XP_034122548.1|DGUA
OG0001654	CCAP1982_LOCUS19405|CAD7011298.1|CCAP	LOC117578837|XP_034120504.1|DGUA
OG0001655	CCAP1982_LOCUS20689|CAD7012605.1|CCAP	LOC117592021|XP_034141367.1|DGUA
OG0001656	CCAP1982_LOCUS10973|CAD7002484.1|CCAP, CCAP1982_LOCUS5373|CAD6996689.1|CCAP	LOC117583974|XP_034128572.1|DGUA
OG0001657	CCAP1982_LOCUS13406|CAD7005034.1|CCAP	LOC117585207|XP_034130476.1|DGUA, LOC117591237|XP_034140302.1|DGUA
OG0001658	CCAP1982_LOCUS13424|CAD7005054.1|CCAP	LOC117580128|XP_034122313.1|DGUA
OG0001659	CCAP1982_LOCUS14509|CAD7006180.1|CCAP	LOC117580109|XP_034122276.1|DGUA
OG0001660	CCAP1982_LOCUS14935|CAD7006628.1|CCAP	LOC117579530|XP_034121337.1|DGUA
OG0001661	CCAP1982_LOCUS3522|CAD6994791.1|CCAP	LOC117584993|XP_034130113.1|DGUA
OG0001663	CCAP1982_LOCUS3119|CAD6994366.1|CCAP	LOC117589819|XP_034137942.1|DGUA
OG0001663	CCAP1982_LOCUS3118|CAD6994365.1|CCAP	LOC117589817|XP_034137940.1|DGUA
OG0001664	CCAP1982_LOCUS20142|CAD7012039.1|CCAP	LOC117591722|XP_034140931.1|DGUA
OG0001666	CCAP1982_LOCUS6021|CAD6997382.1|CCAP, CCAP1982_LOCUS6019|CAD6997380.1|CCAP, CCAP1982_LOCUS6022|CAD6997383.1|CCAP, CCAP1982_LOCUS6020|CAD6997381.1|CCAP, CCAP1982_LOCUS4374|CAD6995667.1|CCAP, CCAP1982_LOCUS11372|CAD7002903.1|CCAP	LOC117581758|XP_034125051.1|DGUA
OG0001667	CCAP1982_LOCUS22319|CAD7014321.1|CCAP, CCAP1982_LOCUS22320|CAD7014322.1|CCAP	LOC117591951|XP_034141257.1|DGUA
OG0001668	CCAP1982_LOCUS11060|CAD7002572.1|CCAP	LOC117587421|XP_034133981.1|DGUA
OG0001669	CCAP1982_LOCUS12259|CAD7003826.1|CCAP, CCAP1982_LOCUS12258|CAD7003825.1|CCAP	LOC117587249|XP_034133713.1|DGUA, LOC117587248|XP_034133711.1|DGUA
OG0001670	CCAP1982_LOCUS13568|CAD7005208.1|CCAP	LOC117589514|XP_034137397.1|DGUA
OG0001683	CCAP1982_LOCUS5522|CAD6996846.1|CCAP	LOC117588117|XP_034135082.1|DGUA
OG0001684	CCAP1982_LOCUS10566|CAD7002078.1|CCAP	LOC117590653|XP_034139388.1|DGUA
OG0001685	CCAP1982_LOCUS8076|CAD6999556.1|CCAP	LOC117584670|XP_034129589.1|DGUA
OG0001690	CCAP1982_LOCUS12978|CAD7004583.1|CCAP	LOC117580390|XP_034122821.1|DGUA
OG0001691	CCAP1982_LOCUS8134|CAD6999611.1|CCAP, CCAP1982_LOCUS8133|CAD6999610.1|CCAP	LOC117581910|XP_034125270.1|DGUA
OG0001692	CCAP1982_LOCUS1214|CAD6992350.1|CCAP	LOC117585263|XP_034130568.1|DGUA
OG0001694	CCAP1982_LOCUS2123|CAD6993306.1|CCAP	LOC117589892|XP_034138053.1|DGUA, LOC117589533|XP_034137417.1|DGUA
OG0001696	CCAP1982_LOCUS2178|CAD6993360.1|CCAP	LOC117589540|XP_034137425.1|DGUA
OG0001697	CCAP1982_LOCUS4178|CAD6995463.1|CCAP	LOC117585180|XP_034130414.1|DGUA
OG0001700	CCAP1982_LOCUS4439|CAD6995734.1|CCAP	LOC117586019|XP_034131740.1|DGUA
OG0001701	CCAP1982_LOCUS3389|CAD6994654.1|CCAP	LOC117583263|XP_034127381.1|DGUA
OG0001702	CCAP1982_LOCUS6105|CAD6997462.1|CCAP	LOC117587852|XP_034134709.1|DGUA
OG0001703	CCAP1982_LOCUS3137|CAD6994384.1|CCAP	LOC117585491|XP_034130877.1|DGUA
OG0001704	CCAP1982_LOCUS3134|CAD6994381.1|CCAP	LOC117585013|XP_034130144.1|DGUA
OG0001705	CCAP1982_LOCUS1538|CAD6992693.1|CCAP, CCAP1982_LOCUS1532|CAD6992687.1|CCAP, CCAP1982_LOCUS1511|CAD6992666.1|CCAP, CCAP1982_LOCUS1519|CAD6992674.1|CCAP, CCAP1982_LOCUS1526|CAD6992681.1|CCAP	LOC117591475|XP_034140649.1|DGUA
OG0001706	CCAP1982_LOCUS5536|CAD6996860.1|CCAP	LOC117587585|XP_034134316.1|DGUA
OG0001707	CCAP1982_LOCUS4020|CAD6995301.1|CCAP	LOC117583055|XP_034127110.1|DGUA
OG0001708	CCAP1982_LOCUS1293|CAD6992431.1|CCAP	LOC117583352|XP_034127513.1|DGUA
OG0001709	CCAP1982_LOCUS12887|CAD7004482.1|CCAP	LOC117589187|XP_034136802.1|DGUA
OG0001710	CCAP1982_LOCUS1177|CAD6992309.1|CCAP	LOC117585393|XP_034130747.1|DGUA
OG0001711	CCAP1982_LOCUS3250|CAD6994506.1|CCAP	LOC117589870|XP_034138030.1|DGUA
OG0001712	CCAP1982_LOCUS3242|CAD6994496.1|CCAP	LOC117585309|XP_034130628.1|DGUA
OG0001713	CCAP1982_LOCUS4355|CAD6995648.1|CCAP	LOC117585961|XP_034131661.1|DGUA
OG0001714	CCAP1982_LOCUS4320|CAD6995614.1|CCAP, CCAP1982_LOCUS4321|CAD6995615.1|CCAP	LOC117586740|XP_034132928.1|DGUA
OG0001716	CCAP1982_LOCUS9224|CAD7000751.1|CCAP	LOC117590526|XP_034139134.1|DGUA
OG0001717	CCAP1982_LOCUS1998|CAD6993176.1|CCAP	LOC117583617|XP_034127950.1|DGUA
OG0001718	CCAP1982_LOCUS1466|CAD6992617.1|CCAP	LOC117589563|XP_034137493.1|DGUA
OG0001719	CCAP1982_LOCUS4010|CAD6995291.1|CCAP, CCAP1982_LOCUS4013|CAD6995294.1|CCAP	LOC117583057|XP_034127114.1|DGUA
OG0001720	CCAP1982_LOCUS3510|CAD6994779.1|CCAP	LOC117585414|XP_034130778.1|DGUA
OG0001721	CCAP1982_LOCUS1308|CAD6992451.1|CCAP	LOC117585067|XP_034130220.1|DGUA
OG0001722	CCAP1982_LOCUS12343|CAD7003918.1|CCAP	LOC117587459|XP_034134071.1|DGUA
OG0001723	CCAP1982_LOCUS7234|CAD6998674.1|CCAP	LOC117580060|XP_034122201.1|DGUA
OG0001724	CCAP1982_LOCUS22214|CAD7014211.1|CCAP, CCAP1982_LOCUS22231|CAD7014228.1|CCAP	LOC117587766|XP_034134596.1|DGUA
OG0001725	CCAP1982_LOCUS21440|CAD7013373.1|CCAP	LOC117592422|XP_034142059.1|DGUA
OG0001726	CCAP1982_LOCUS11726|CAD7003264.1|CCAP	LOC117580508|XP_034122990.1|DGUA
OG0001727	CCAP1982_LOCUS2281|CAD6993469.1|CCAP	LOC117583245|XP_034127359.1|DGUA
OG0001728	CCAP1982_LOCUS22945|CAD7014987.1|CCAP	LOC117592107|XP_034141519.1|DGUA
OG0001729	CCAP1982_LOCUS7198|CAD6998625.1|CCAP	LOC117592417|XP_034142049.1|DGUA
OG0001730	CCAP1982_LOCUS193|CAD6991260.1|CCAP	LOC117584661|XP_034129580.1|DGUA
OG0001731	CCAP1982_LOCUS23134|CAD7015182.1|CCAP	LOC117585594|XP_034131033.1|DGUA
OG0001732	CCAP1982_LOCUS9007|CAD7000529.1|CCAP	LOC117588030|XP_034134967.1|DGUA
OG0001733	CCAP1982_LOCUS21900|CAD7013885.1|CCAP	LOC117578536|XP_034119994.1|DGUA
OG0001734	CCAP1982_LOCUS7214|CAD6998646.1|CCAP	LOC117578802|XP_034120422.1|DGUA
OG0001735	CCAP1982_LOCUS13005|CAD7004610.1|CCAP	LOC117586810|XP_034132975.1|DGUA
OG0001736	CCAP1982_LOCUS23040|CAD7015086.1|CCAP	LOC117589838|XP_034137985.1|DGUA
OG0001737	CCAP1982_LOCUS23349|CAD7015406.1|CCAP, CCAP1982_LOCUS23351|CAD7015408.1|CCAP, CCAP1982_LOCUS23348|CAD7015405.1|CCAP	LOC117591964|XP_034141296.1|DGUA
OG0001738	CCAP1982_LOCUS12015|CAD7003566.1|CCAP, CCAP1982_LOCUS12011|CAD7003562.1|CCAP	LOC117589205|XP_034136830.1|DGUA
OG0001739	CCAP1982_LOCUS21707|CAD7013664.1|CCAP	LOC117580682|XP_034123196.1|DGUA
OG0001740	CCAP1982_LOCUS7101|CAD6998513.1|CCAP	LOC117579568|XP_034121387.1|DGUA
OG0001741	CCAP1982_LOCUS3488|CAD6994755.1|CCAP	LOC117583676|XP_034128037.1|DGUA
OG0001742	CCAP1982_LOCUS21237|CAD7013166.1|CCAP	LOC117591680|XP_034140896.1|DGUA, LOC117584262|XP_034128965.1|DGUA
OG0001743	CCAP1982_LOCUS14921|CAD7006613.1|CCAP	LOC117586836|XP_034133018.1|DGUA
OG0001744	CCAP1982_LOCUS21824|CAD7013804.1|CCAP	LOC117578436|XP_034119826.1|DGUA
OG0001746	CCAP1982_LOCUS13250|CAD7004865.1|CCAP	LOC117579763|XP_034121707.1|DGUA
OG0001747	CCAP1982_LOCUS23161|CAD7015213.1|CCAP, CCAP1982_LOCUS23162|CAD7015214.1|CCAP, CCAP1982_LOCUS23170|CAD7015222.1|CCAP	LOC117591952|XP_034141258.1|DGUA
OG0001748	CCAP1982_LOCUS11370|CAD7002901.1|CCAP, CCAP1982_LOCUS11369|CAD7002900.1|CCAP	LOC117580571|XP_034123065.1|DGUA
OG0001749	CCAP1982_LOCUS22821|CAD7014854.1|CCAP	LOC117578689|XP_034120215.1|DGUA
OG0001750	CCAP1982_LOCUS22822|CAD7014855.1|CCAP	LOC117578687|XP_034120210.1|DGUA
OG0001751	CCAP1982_LOCUS12027|CAD7003579.1|CCAP	LOC117589403|XP_034137216.1|DGUA
OG0001752	CCAP1982_LOCUS10906|CAD7002415.1|CCAP	LOC117579340|XP_034121056.1|DGUA
OG0001753	CCAP1982_LOCUS11568|CAD7003105.1|CCAP, CCAP1982_LOCUS11570|CAD7003107.1|CCAP	LOC117589021|XP_034136538.1|DGUA
OG0001754	CCAP1982_LOCUS22326|CAD7014329.1|CCAP	LOC117588575|XP_034135865.1|DGUA
OG0001755	CCAP1982_LOCUS11972|CAD7003522.1|CCAP, CCAP1982_LOCUS11970|CAD7003520.1|CCAP, CCAP1982_LOCUS11965|CAD7003515.1|CCAP	LOC117587191|XP_034133610.1|DGUA
OG0001756	CCAP1982_LOCUS22645|CAD7014657.1|CCAP	LOC117592414|XP_034142045.1|DGUA
OG0001757	CCAP1982_LOCUS23262|CAD7015317.1|CCAP	LOC117587598|XP_034134343.1|DGUA
OG0001758	CCAP1982_LOCUS13872|CAD7005512.1|CCAP	LOC117579758|XP_034121680.1|DGUA
OG0001759	CCAP1982_LOCUS23316|CAD7015372.1|CCAP, CCAP1982_LOCUS23315|CAD7015371.1|CCAP	LOC117592011|XP_034141355.1|DGUA
OG0001760	CCAP1982_LOCUS21651|CAD7013597.1|CCAP	LOC117578822|XP_034120469.1|DGUA
OG0001761	CCAP1982_LOCUS21800|CAD7013777.1|CCAP	LOC117578532|XP_034119986.1|DGUA, LOC117591751|XP_034140953.1|DGUA
OG0001762	CCAP1982_LOCUS6396|CAD6997766.1|CCAP	LOC117587758|XP_034134580.1|DGUA
OG0001763	CCAP1982_LOCUS6500|CAD6997881.1|CCAP	LOC117584792|XP_034129796.1|DGUA
