Orthogroup	CCAP.longest_only	DPSE.longest_only
OG0000770	CCAP1982_LOCUS23234|CAD7015287.1|CCAP, CCAP1982_LOCUS23236|CAD7015289.1|CCAP, CCAP1982_LOCUS23235|CAD7015288.1|CCAP, CCAP1982_LOCUS23208|CAD7015260.1|CCAP, CCAP1982_LOCUS23233|CAD7015286.1|CCAP	LOC4804084|XP_001360703.3|DPSE
OG0000771	CCAP1982_LOCUS11323|CAD7002853.1|CCAP	LOC4813352|XP_001353682.4|DPSE, LOC6900624|XP_002134997.1|DPSE
OG0000772	CCAP1982_LOCUS7245|CAD6998687.1|CCAP	LOC4803562|XP_001360269.4|DPSE, LOC6899115|XP_015040839.2|DPSE
OG0000773	CCAP1982_LOCUS2181|CAD6993363.1|CCAP, CCAP1982_LOCUS2182|CAD6993364.1|CCAP	LOC6898336|XP_002138390.2|DPSE
OG0000774	CCAP1982_LOCUS7034|CAD6998434.1|CCAP, CCAP1982_LOCUS7765|CAD6999233.1|CCAP	LOC6898450|XP_002138493.2|DPSE
OG0000775	CCAP1982_LOCUS23219|CAD7015271.1|CCAP	LOC15382885|XP_004444266.1|DPSE, LOC6898691|XP_002138696.2|DPSE, LOC6898409|XP_002138455.2|DPSE
OG0000778	CCAP1982_LOCUS4113|CAD6995395.1|CCAP	LOC4813730|XP_001353744.3|DPSE, LOC26532957|XP_015044552.2|DPSE
OG0000785	CCAP1982_LOCUS2663|CAD6993869.1|CCAP	LOC6897271|XP_002137431.2|DPSE, LOC4801173|XP_001358307.3|DPSE
OG0000786	CCAP1982_LOCUS1450|CAD6992600.1|CCAP	LOC6902253|XP_002133780.1|DPSE
OG0000786	CCAP1982_LOCUS1451|CAD6992602.1|CCAP	LOC4801538|XP_003736538.1|DPSE
OG0000787	CCAP1982_LOCUS11438|CAD7002975.1|CCAP	LOC4812103|XP_001352617.1|DPSE, LOC6901351|XP_002134052.2|DPSE
OG0000788	CCAP1982_LOCUS11851|CAD7003393.1|CCAP	LOC26532348|XP_015036417.2|DPSE, LOC4813004|XP_001353231.1|DPSE, LOC6897384|XP_002137536.2|DPSE
OG0000789	CCAP1982_LOCUS7762|CAD6999230.1|CCAP	LOC6902584|XP_015036688.2|DPSE, LOC4816757|XP_001356076.4|DPSE
OG0000790	CCAP1982_LOCUS7014|CAD6998414.1|CCAP	LOC4817800|XP_033236406.1|DPSE, LOC4817753|XP_001357104.3|DPSE
OG0000791	CCAP1982_LOCUS2495|CAD6993689.1|CCAP	LOC6902658|XP_002133174.2|DPSE, LOC4800487|XP_001357754.3|DPSE
OG0000792	CCAP1982_LOCUS22816|CAD7014849.1|CCAP, CCAP1982_LOCUS8894|CAD7000418.1|CCAP, CCAP1982_LOCUS8893|CAD7000417.1|CCAP, CCAP1982_LOCUS8892|CAD7000416.1|CCAP	LOC6903194|XP_002132893.3|DPSE
OG0000793	CCAP1982_LOCUS1000|CAD6992116.1|CCAP	LOC4802908|XP_001359734.3|DPSE, LOC6901468|XP_033240372.1|DPSE, LOC6902194|XP_002133721.1|DPSE
OG0000797	CCAP1982_LOCUS4428|CAD6995722.1|CCAP	LOC6897748|XP_002137853.1|DPSE, LOC6897747|XP_002137852.1|DPSE
OG0000798	CCAP1982_LOCUS20568|CAD7012491.1|CCAP	LOC6898470|XP_033235084.1|DPSE
OG0000799	CCAP1982_LOCUS23391|CAD7015450.1|CCAP	LOC6897659|XP_002137798.4|DPSE
OG0000800	CCAP1982_LOCUS12705|CAD7004285.1|CCAP	LOC6900961|XP_015042428.1|DPSE, LOC6900963|XP_002134664.2|DPSE
OG0000801	CCAP1982_LOCUS20234|CAD7012137.1|CCAP	LOC6902416|XP_033235697.1|DPSE, LOC4803699|XP_001360375.1|DPSE
OG0000802	CCAP1982_LOCUS12829|CAD7004420.1|CCAP	LOC4815185|XP_001355089.2|DPSE
OG0000803	CCAP1982_LOCUS7929|CAD6999403.1|CCAP	LOC4816580|XP_001356060.2|DPSE, LOC4813637|XP_001353662.3|DPSE
OG0000804	CCAP1982_LOCUS21024|CAD7012927.1|CCAP	LOC6898182|XP_002138253.2|DPSE, LOC4802286|XP_001359234.3|DPSE
OG0000805	CCAP1982_LOCUS22507|CAD7014506.1|CCAP, CCAP1982_LOCUS22504|CAD7014503.1|CCAP, CCAP1982_LOCUS22503|CAD7014502.1|CCAP	LOC4803338|XP_001360127.3|DPSE
OG0000806	CCAP1982_LOCUS8652|CAD7000159.1|CCAP	LOC4817638|XP_001357033.4|DPSE
OG0000807	CCAP1982_LOCUS14477|CAD7006149.1|CCAP	LOC4817646|XP_001357038.4|DPSE
OG0000810	CCAP1982_LOCUS7167|CAD6998589.1|CCAP, CCAP1982_LOCUS7168|CAD6998590.1|CCAP, CCAP1982_LOCUS7166|CAD6998588.1|CCAP, CCAP1982_LOCUS7165|CAD6998587.1|CCAP	LOC4803475|XP_001360193.1|DPSE
OG0000811	CCAP1982_LOCUS23414|CAD7015474.1|CCAP	LOC6897783|XP_002137888.2|DPSE, LOC4803800|XP_015039365.2|DPSE
OG0000813	CCAP1982_LOCUS7210|CAD6998639.1|CCAP	LOC4805193|XP_001361638.1|DPSE
OG0000814	CCAP1982_LOCUS189|CAD6991255.1|CCAP	LOC4817490|XP_001356909.3|DPSE
OG0000815	CCAP1982_LOCUS6833|CAD6998221.1|CCAP, CCAP1982_LOCUS6832|CAD6998220.1|CCAP	LOC6903573|XP_002132442.2|DPSE
OG0000820	CCAP1982_LOCUS20527|CAD7012446.1|CCAP	LOC4805315|XP_001361735.1|DPSE
OG0000823	CCAP1982_LOCUS2925|CAD6994160.1|CCAP	LOC6904092|XP_002136427.3|DPSE, LOC4800877|XP_001358075.3|DPSE, LOC4800879|XP_001358074.3|DPSE
OG0000824	CCAP1982_LOCUS3412|CAD6994677.1|CCAP	LOC6902991|XP_002132713.2|DPSE, LOC6901828|XP_015042178.2|DPSE, LOC6899845|XP_002135691.2|DPSE, LOC117184847|XP_033239769.1|DPSE, LOC6901827|XP_002134495.1|DPSE, LOC6901191|XP_002133892.3|DPSE
OG0000825	CCAP1982_LOCUS8451|CAD6999943.1|CCAP, CCAP1982_LOCUS8452|CAD6999944.1|CCAP, CCAP1982_LOCUS19940|CAD7011830.1|CCAP	LOC4813492|XP_001353807.1|DPSE, LOC4816329|XP_002133085.2|DPSE
OG0000826	CCAP1982_LOCUS22257|CAD7014254.1|CCAP	LOC4803924|XP_001360565.4|DPSE
OG0000828	CCAP1982_LOCUS3024|CAD6994263.1|CCAP	LOC13036525|XP_003736435.1|DPSE, LOC6897100|XP_002137284.3|DPSE
OG0000831	CCAP1982_LOCUS2876|CAD6994107.1|CCAP	LOC6898899|XP_002138869.1|DPSE
OG0000832	CCAP1982_LOCUS22663|CAD7014678.1|CCAP	LOC4805476|XP_001361871.2|DPSE, LOC6903386|XP_002132265.2|DPSE
OG0000833	CCAP1982_LOCUS14574|CAD7006248.1|CCAP	LOC4812349|XP_001352911.3|DPSE
OG0000834	CCAP1982_LOCUS2133|CAD6993316.1|CCAP, CCAP1982_LOCUS2134|CAD6993317.1|CCAP, CCAP1982_LOCUS2135|CAD6993318.1|CCAP	LOC4800284|XP_001357610.3|DPSE
OG0000835	CCAP1982_LOCUS12097|CAD7003659.1|CCAP	LOC4813207|XP_033238319.1|DPSE
OG0000836	CCAP1982_LOCUS5624|CAD6996957.1|CCAP	LOC6903394|XP_002132273.3|DPSE, LOC117184006|XP_033235755.1|DPSE
OG0000839	CCAP1982_LOCUS770|CAD6991879.1|CCAP	LOC6897436|XP_002137588.1|DPSE
OG0000841	CCAP1982_LOCUS4224|CAD6995511.1|CCAP	LOC6897787|XP_015038079.2|DPSE
OG0000842	CCAP1982_LOCUS21103|CAD7013014.1|CCAP	LOC4804020|XP_033234889.1|DPSE, LOC4800531|XP_001357795.1|DPSE
OG0000843	CCAP1982_LOCUS5498|CAD6996825.1|CCAP	LOC6898118|XP_033233424.1|DPSE
OG0000844	CCAP1982_LOCUS21108|CAD7013021.1|CCAP	LOC4804317|XP_033233876.1|DPSE, LOC6897844|XP_002137949.1|DPSE
OG0000846	CCAP1982_LOCUS1614|CAD6992773.1|CCAP	LOC6896778|XP_015038816.2|DPSE
OG0000847	CCAP1982_LOCUS7164|CAD6998586.1|CCAP	LOC4805187|XP_001361634.2|DPSE, LOC4805434|XP_001361835.3|DPSE
OG0000848	CCAP1982_LOCUS8247|CAD6999721.1|CCAP	LOC4817394|XP_001356632.3|DPSE
OG0000848	CCAP1982_LOCUS8237|CAD6999711.1|CCAP	LOC4817929|XP_015035340.2|DPSE
OG0000849	CCAP1982_LOCUS8441|CAD6999928.1|CCAP, CCAP1982_LOCUS8442|CAD6999929.1|CCAP, CCAP1982_LOCUS8443|CAD6999930.1|CCAP	LOC4816992|XP_001356503.3|DPSE, LOC6903173|XP_002132873.2|DPSE
OG0000850	CCAP1982_LOCUS22786|CAD7014819.1|CCAP	LOC4803846|XP_001360499.4|DPSE, LOC4803845|XP_001360498.2|DPSE
OG0000853	CCAP1982_LOCUS10161|CAD7001670.1|CCAP	LOC117185553|XP_033241581.1|DPSE
OG0000856	CCAP1982_LOCUS13873|CAD7005513.1|CCAP	LOC4813957|XP_001354116.1|DPSE
OG0000858	CCAP1982_LOCUS3995|CAD6995275.1|CCAP	LOC6897182|XP_002137362.2|DPSE
OG0000860	CCAP1982_LOCUS12607|CAD7004188.1|CCAP	LOC117185101|XP_033240840.1|DPSE, LOC6900284|XP_002135606.3|DPSE, LOC4811876|XP_001352735.4|DPSE
OG0000861	CCAP1982_LOCUS23355|CAD7015412.1|CCAP	LOC4804536|XP_001361084.3|DPSE
OG0000863	CCAP1982_LOCUS13300|CAD7004917.1|CCAP, CCAP1982_LOCUS13301|CAD7004918.1|CCAP	LOC4801683|XP_001358733.4|DPSE
OG0000865	CCAP1982_LOCUS4953|CAD6996270.1|CCAP	LOC6903416|XP_033235363.1|DPSE, LOC4802696|XP_001359563.2|DPSE
OG0000866	CCAP1982_LOCUS8871|CAD7000396.1|CCAP	LOC4817616|XP_015036376.2|DPSE, LOC117184191|XP_033236621.1|DPSE
OG0000867	CCAP1982_LOCUS6476|CAD6997852.1|CCAP	LOC117183914|XP_033235284.1|DPSE
OG0000869	CCAP1982_LOCUS4368|CAD6995661.1|CCAP, CCAP1982_LOCUS4369|CAD6995662.1|CCAP	LOC4802931|XP_001359747.1|DPSE
OG0000870	CCAP1982_LOCUS20504|CAD7012418.1|CCAP	LOC4803520|XP_001360233.3|DPSE
OG0000871	CCAP1982_LOCUS19771|CAD7011687.1|CCAP	LOC4805144|XP_001361596.1|DPSE
OG0000872	CCAP1982_LOCUS21128|CAD7013046.1|CCAP	LOC4804308|XP_001360888.3|DPSE
OG0000873	CCAP1982_LOCUS11691|CAD7003230.1|CCAP	LOC4811904|XP_001352890.4|DPSE
OG0000875	CCAP1982_LOCUS2405|CAD6993595.1|CCAP	LOC6897004|XP_002137189.2|DPSE
OG0000875	CCAP1982_LOCUS14457|CAD7006125.1|CCAP	LOC6903678|XP_002136794.1|DPSE
OG0000878	CCAP1982_LOCUS20172|CAD7012072.1|CCAP, CCAP1982_LOCUS20173|CAD7012073.1|CCAP, CCAP1982_LOCUS20174|CAD7012074.1|CCAP, CCAP1982_LOCUS20175|CAD7012075.1|CCAP	LOC4803713|XP_001360387.3|DPSE, LOC4817397|XP_001356315.3|DPSE
OG0000885	CCAP1982_LOCUS3879|CAD6995158.1|CCAP	LOC4801836|XP_015037411.2|DPSE
OG0000886	CCAP1982_LOCUS2115|CAD6993301.1|CCAP	LOC4801436|XP_001358531.1|DPSE
OG0000888	CCAP1982_LOCUS11353|CAD7002884.1|CCAP, CCAP1982_LOCUS11349|CAD7002880.1|CCAP	LOC4812112|XP_015043626.2|DPSE
OG0000889	CCAP1982_LOCUS13751|CAD7005391.1|CCAP	LOC4812587|XP_033237575.1|DPSE
OG0000890	CCAP1982_LOCUS23265|CAD7015320.1|CCAP	LOC4803852|XP_001360503.4|DPSE, LOC6896812|XP_002137015.2|DPSE, LOC6902947|XP_002132673.2|DPSE
OG0000891	CCAP1982_LOCUS8035|CAD6999510.1|CCAP	LOC4817802|XP_001357160.2|DPSE
OG0000892	CCAP1982_LOCUS14260|CAD7005922.1|CCAP	LOC4813648|XP_033238009.1|DPSE, LOC4812334|XP_015044066.2|DPSE
OG0000893	CCAP1982_LOCUS4761|CAD6996054.1|CCAP	LOC4802952|XP_001359765.4|DPSE
OG0000894	CCAP1982_LOCUS5163|CAD6996494.1|CCAP	LOC6897541|XP_002137687.3|DPSE, LOC13036451|XP_003736704.3|DPSE, LOC4803288|XP_001360053.2|DPSE
OG0000895	CCAP1982_LOCUS22848|CAD7014884.1|CCAP	LOC6898252|XP_002138318.2|DPSE, LOC4803811|XP_001360469.3|DPSE
OG0000897	CCAP1982_LOCUS357|CAD6991430.1|CCAP	LOC4802205|XP_001359171.2|DPSE
OG0000897	CCAP1982_LOCUS354|CAD6991427.1|CCAP	LOC4802209|XP_001359177.3|DPSE
OG0000898	CCAP1982_LOCUS251|CAD6991322.1|CCAP	LOC4805359|XP_001361772.3|DPSE, LOC4805502|XP_001361896.4|DPSE
OG0000899	CCAP1982_LOCUS2195|CAD6993379.1|CCAP	LOC4801586|XP_015037325.2|DPSE
OG0000900	CCAP1982_LOCUS22789|CAD7014822.1|CCAP	LOC4803843|XP_001360496.2|DPSE, LOC4803842|XP_001360495.2|DPSE
OG0000901	CCAP1982_LOCUS19938|CAD7011828.1|CCAP, CCAP1982_LOCUS19939|CAD7011829.1|CCAP	LOC4805262|XP_015040511.2|DPSE, LOC4805263|XP_002138819.2|DPSE
OG0000909	CCAP1982_LOCUS3768|CAD6995038.1|CCAP	LOC4801576|XP_001358646.2|DPSE
OG0000911	CCAP1982_LOCUS21662|CAD7013610.1|CCAP	LOC6898776|XP_002138753.2|DPSE
OG0000912	CCAP1982_LOCUS14320|CAD7005984.1|CCAP	LOC4813233|XP_001353425.1|DPSE
OG0000913	CCAP1982_LOCUS10762|CAD7002267.1|CCAP	LOC117183184|XP_033239852.1|DPSE
OG0000913	CCAP1982_LOCUS10773|CAD7002278.1|CCAP	LOC4812958|XP_033239851.1|DPSE
OG0000914	CCAP1982_LOCUS21261|CAD7013190.1|CCAP	LOC4804276|XP_001360857.3|DPSE
OG0000915	CCAP1982_LOCUS21547|CAD7013485.1|CCAP	LOC4803824|XP_001360479.2|DPSE
OG0000916	CCAP1982_LOCUS8269|CAD6999743.1|CCAP	LOC4817334|XP_015036032.2|DPSE
OG0000917	CCAP1982_LOCUS8922|CAD7000445.1|CCAP	LOC6899548|XP_033241796.1|DPSE, LOC4816732|XP_033236591.1|DPSE
OG0000918	CCAP1982_LOCUS5537|CAD6996863.1|CCAP	LOC6902763|XP_002133275.3|DPSE
OG0000922	CCAP1982_LOCUS12740|CAD7004321.1|CCAP, CCAP1982_LOCUS12739|CAD7004320.1|CCAP, CCAP1982_LOCUS12737|CAD7004318.1|CCAP	LOC4812644|XP_001353033.3|DPSE
OG0000923	CCAP1982_LOCUS5176|CAD6996508.1|CCAP, CCAP1982_LOCUS22264|CAD7014261.1|CCAP	LOC6897425|XP_002137577.3|DPSE
OG0000925	CCAP1982_LOCUS1840|CAD6993005.1|CCAP	LOC4800310|XP_001357597.2|DPSE
OG0000927	CCAP1982_LOCUS3546|CAD6994815.1|CCAP, CCAP1982_LOCUS3625|CAD6994890.1|CCAP	LOC4801325|XP_001358438.2|DPSE, LOC4801328|XP_001358439.1|DPSE
OG0000928	CCAP1982_LOCUS5385|CAD6996701.1|CCAP	LOC6902398|XP_002133333.2|DPSE, LOC4816220|XP_001355831.3|DPSE
OG0000930	CCAP1982_LOCUS12351|CAD7003926.1|CCAP	LOC6900424|XP_002134815.2|DPSE, LOC6900406|XP_002134798.2|DPSE
OG0000931	CCAP1982_LOCUS14267|CAD7005929.1|CCAP	LOC4803722|XP_001360395.4|DPSE, LOC6902671|XP_002133187.3|DPSE
OG0000932	CCAP1982_LOCUS13477|CAD7005115.1|CCAP, CCAP1982_LOCUS13478|CAD7005116.1|CCAP	LOC6900421|XP_033238172.1|DPSE, LOC117185412|XP_033241558.1|DPSE
OG0000932	CCAP1982_LOCUS13476|CAD7005114.1|CCAP	LOC6900422|XP_002134813.3|DPSE, LOC117185409|XP_033241553.1|DPSE
OG0000935	CCAP1982_LOCUS3212|CAD6994467.1|CCAP	LOC6897310|XP_033232282.1|DPSE
OG0000936	CCAP1982_LOCUS4121|CAD6995403.1|CCAP	LOC26532160|XP_015044553.2|DPSE, LOC6901507|XP_002134193.2|DPSE
OG0000937	CCAP1982_LOCUS3421|CAD6994686.1|CCAP, CCAP1982_LOCUS3422|CAD6994687.1|CCAP	LOC4801140|XP_033241657.1|DPSE
OG0000939	CCAP1982_LOCUS8572|CAD7000071.1|CCAP	LOC4817185|XP_001356477.3|DPSE, LOC6901920|XP_033240727.1|DPSE
OG0000942	CCAP1982_LOCUS13068|CAD7004674.1|CCAP	LOC4813021|XP_001354065.3|DPSE
OG0000943	CCAP1982_LOCUS23191|CAD7015240.1|CCAP	LOC6898203|XP_002138272.2|DPSE
OG0000945	CCAP1982_LOCUS22125|CAD7014119.1|CCAP	LOC4812003|XP_001352468.3|DPSE
OG0000947	CCAP1982_LOCUS19572|CAD7011472.1|CCAP	LOC4804300|XP_001360880.1|DPSE
OG0000948	CCAP1982_LOCUS11573|CAD7003110.1|CCAP	LOC117184919|XP_033240003.1|DPSE, LOC6900185|XP_002135523.3|DPSE, LOC6900186|XP_002135524.3|DPSE
OG0000951	CCAP1982_LOCUS166|CAD6991229.1|CCAP	LOC4800834|XP_001358038.1|DPSE, LOC6902456|XP_002133001.2|DPSE
OG0000952	CCAP1982_LOCUS7797|CAD6999267.1|CCAP	LOC6903301|XP_002132489.2|DPSE
OG0000954	CCAP1982_LOCUS8898|CAD7000422.1|CCAP, CCAP1982_LOCUS8895|CAD7000419.1|CCAP, CCAP1982_LOCUS19795|CAD7011710.1|CCAP	LOC4805569|XP_001361954.3|DPSE, LOC6899046|XP_002138973.2|DPSE
OG0000955	CCAP1982_LOCUS21840|CAD7013820.1|CCAP	LOC13036366|XP_003736263.2|DPSE
OG0000955	CCAP1982_LOCUS481|CAD6991562.1|CCAP	LOC4800544|XP_001357805.4|DPSE
OG0000956	CCAP1982_LOCUS4932|CAD6996249.1|CCAP, CCAP1982_LOCUS4465|CAD6995762.1|CCAP	LOC6897986|XP_033237319.1|DPSE
OG0000957	CCAP1982_LOCUS13628|CAD7005271.1|CCAP	LOC4804101|XP_001360718.4|DPSE, LOC4804099|XP_033234656.1|DPSE
OG0000958	CCAP1982_LOCUS4000|CAD6995281.1|CCAP	LOC4801415|XP_001358513.2|DPSE, LOC6898563|XP_002138583.3|DPSE
OG0000959	CCAP1982_LOCUS19918|CAD7011808.1|CCAP	LOC4813682|XP_033239497.1|DPSE
OG0000961	CCAP1982_LOCUS14090|CAD7005739.1|CCAP	LOC4812207|XP_001353023.3|DPSE, LOC4812400|XP_001353024.3|DPSE
OG0000964	CCAP1982_LOCUS19682|CAD7011593.1|CCAP	LOC6903898|XP_002136619.3|DPSE
OG0000966	CCAP1982_LOCUS5066|CAD6996391.1|CCAP	LOC4800312|XP_001357594.2|DPSE
OG0000968	CCAP1982_LOCUS11834|CAD7003375.1|CCAP	LOC4811883|XP_015043705.1|DPSE
OG0000969	CCAP1982_LOCUS23334|CAD7015390.1|CCAP	LOC4805509|XP_033234604.1|DPSE
OG0000970	CCAP1982_LOCUS2746|CAD6993961.1|CCAP	LOC6901606|XP_002134276.2|DPSE, LOC6901605|XP_002134275.2|DPSE, LOC6896874|XP_002137064.4|DPSE
OG0000971	CCAP1982_LOCUS8220|CAD6999693.1|CCAP	LOC4816951|XP_001356525.2|DPSE
OG0000972	CCAP1982_LOCUS11059|CAD7002571.1|CCAP	LOC4813874|XP_015043212.2|DPSE
OG0000974	CCAP1982_LOCUS12256|CAD7003823.1|CCAP, CCAP1982_LOCUS12257|CAD7003824.1|CCAP	LOC4813578|XP_001353667.2|DPSE
OG0000975	CCAP1982_LOCUS5108|CAD6996435.1|CCAP, CCAP1982_LOCUS5109|CAD6996436.1|CCAP	LOC6897052|XP_002137236.2|DPSE
OG0000975	CCAP1982_LOCUS5107|CAD6996434.1|CCAP	LOC6897818|XP_002137923.1|DPSE
OG0000976	CCAP1982_LOCUS4860|CAD6996168.1|CCAP, CCAP1982_LOCUS4863|CAD6996171.1|CCAP	LOC4802637|XP_015037964.2|DPSE
OG0000977	CCAP1982_LOCUS4904|CAD6996216.1|CCAP, CCAP1982_LOCUS4902|CAD6996214.1|CCAP	LOC117183590|XP_033233901.1|DPSE, LOC6897919|XP_033233856.1|DPSE
OG0000978	CCAP1982_LOCUS4767|CAD6996059.1|CCAP	LOC4803207|XP_001359987.2|DPSE
OG0000979	CCAP1982_LOCUS1023|CAD6992145.1|CCAP	LOC4805200|XP_001361645.2|DPSE
OG0000982	CCAP1982_LOCUS2938|CAD6994173.1|CCAP	LOC13036348|XP_003736833.2|DPSE
OG0000984	CCAP1982_LOCUS5396|CAD6996713.1|CCAP, CCAP1982_LOCUS9002|CAD7000524.1|CCAP	LOC26532175|XP_033236372.1|DPSE, LOC6903602|XP_002132202.3|DPSE
OG0000992	CCAP1982_LOCUS4021|CAD6995302.1|CCAP	LOC4801225|XP_015037096.1|DPSE
OG0000995	CCAP1982_LOCUS22836|CAD7014872.1|CCAP	LOC6903560|XP_002132433.2|DPSE
OG0000996	CCAP1982_LOCUS21390|CAD7013320.1|CCAP	LOC4805424|XP_015040645.1|DPSE
OG0000998	CCAP1982_LOCUS11159|CAD7002677.1|CCAP	LOC4812420|XP_033240589.1|DPSE
OG0001000	CCAP1982_LOCUS7177|CAD6998602.1|CCAP	LOC6899316|XP_033233674.1|DPSE
OG0001001	CCAP1982_LOCUS7241|CAD6998682.1|CCAP	LOC4805229|XP_001361666.3|DPSE
OG0001002	CCAP1982_LOCUS8673|CAD7000182.1|CCAP, CCAP1982_LOCUS8675|CAD7000184.1|CCAP, CCAP1982_LOCUS8672|CAD7000181.1|CCAP	LOC4816902|XP_001356582.4|DPSE
OG0001004	CCAP1982_LOCUS519|CAD6991602.1|CCAP	LOC4802805|XP_001359650.2|DPSE
OG0001005	CCAP1982_LOCUS13375|CAD7004999.1|CCAP	LOC4815740|XP_015040884.2|DPSE
OG0001006	CCAP1982_LOCUS13426|CAD7005058.1|CCAP	LOC4812231|XP_001352779.1|DPSE
OG0001007	CCAP1982_LOCUS21101|CAD7013012.1|CCAP	LOC4804310|XP_001360890.1|DPSE
OG0001009	CCAP1982_LOCUS8077|CAD6999557.1|CCAP	LOC6897506|XP_002137655.2|DPSE, LOC6896826|XP_033241691.1|DPSE
OG0001013	CCAP1982_LOCUS13472|CAD7005110.1|CCAP	LOC6900413|XP_002134805.3|DPSE, LOC117183180|XP_033238175.1|DPSE, LOC4813026|XP_033241557.1|DPSE
OG0001014	CCAP1982_LOCUS14739|CAD7006419.1|CCAP	LOC6900602|XP_033240332.1|DPSE, LOC6900598|XP_002134971.2|DPSE
OG0001019	CCAP1982_LOCUS3433|CAD6994698.1|CCAP	LOC13036374|XP_015037038.2|DPSE
OG0001021	CCAP1982_LOCUS20092|CAD7011981.1|CCAP	LOC4818004|XP_033235195.1|DPSE
OG0001024	CCAP1982_LOCUS3439|CAD6994704.1|CCAP, CCAP1982_LOCUS3438|CAD6994703.1|CCAP	LOC4801126|XP_001358270.3|DPSE
OG0001025	CCAP1982_LOCUS14956|CAD7006653.1|CCAP	LOC4813361|XP_001353354.2|DPSE
OG0001026	CCAP1982_LOCUS21674|CAD7013623.1|CCAP	LOC4804022|XP_001360652.1|DPSE
OG0001027	CCAP1982_LOCUS11668|CAD7003208.1|CCAP	LOC6900518|XP_002134905.1|DPSE
OG0001028	CCAP1982_LOCUS8649|CAD7000156.1|CCAP	LOC4816500|XP_001356025.3|DPSE
OG0001031	CCAP1982_LOCUS6156|CAD6997517.1|CCAP	LOC6902406|XP_015037000.2|DPSE
OG0001034	CCAP1982_LOCUS13833|CAD7005473.1|CCAP	LOC6903065|XP_002132784.3|DPSE, LOC4812368|XP_001352900.4|DPSE
OG0001042	CCAP1982_LOCUS1764|CAD6992931.1|CCAP	LOC4800322|XP_001357587.2|DPSE
OG0001044	CCAP1982_LOCUS21192|CAD7013119.1|CCAP, CCAP1982_LOCUS21189|CAD7013116.1|CCAP, CCAP1982_LOCUS21193|CAD7013120.1|CCAP	LOC4804131|XP_015039625.2|DPSE
OG0001045	CCAP1982_LOCUS20913|CAD7012813.1|CCAP	LOC6898739|XP_015040344.2|DPSE
OG0001046	CCAP1982_LOCUS19960|CAD7011851.1|CCAP	LOC4804670|XP_001361195.1|DPSE
OG0001047	CCAP1982_LOCUS20366|CAD7012270.1|CCAP	LOC4804383|XP_033234870.1|DPSE
OG0001048	CCAP1982_LOCUS21371|CAD7013300.1|CCAP	LOC4805247|XP_001361679.3|DPSE
OG0001049	CCAP1982_LOCUS12233|CAD7003800.1|CCAP, CCAP1982_LOCUS12232|CAD7003799.1|CCAP	LOC6903297|XP_002132485.2|DPSE, LOC4812301|XP_001352647.4|DPSE
OG0001050	CCAP1982_LOCUS11755|CAD7003293.1|CCAP	LOC6896971|XP_002137156.2|DPSE, LOC6900034|XP_002135399.1|DPSE, LOC117183993|XP_033235698.1|DPSE
OG0001051	CCAP1982_LOCUS7727|CAD6999191.1|CCAP	LOC6902784|XP_002132521.2|DPSE
OG0001052	CCAP1982_LOCUS5814|CAD6997172.1|CCAP	LOC4816788|XP_015035777.1|DPSE
OG0001054	CCAP1982_LOCUS3180|CAD6994429.1|CCAP	LOC4800928|XP_001358116.2|DPSE, LOC6896966|XP_002137151.2|DPSE
OG0001057	CCAP1982_LOCUS20701|CAD7012617.1|CCAP	LOC4818031|XP_001357250.1|DPSE, LOC6903367|XP_002132249.3|DPSE
OG0001059	CCAP1982_LOCUS14475|CAD7006147.1|CCAP, CCAP1982_LOCUS14471|CAD7006143.1|CCAP	LOC6900846|XP_015043408.2|DPSE
OG0001060	CCAP1982_LOCUS398|CAD6991473.1|CCAP	LOC6901257|XP_002133958.3|DPSE, LOC6901263|XP_002133964.3|DPSE, LOC4802067|XP_001359060.1|DPSE
OG0001061	CCAP1982_LOCUS21406|CAD7013338.1|CCAP, CCAP1982_LOCUS4091|CAD6995373.1|CCAP	LOC6896913|XP_033233114.1|DPSE, LOC6896912|XP_033233112.1|DPSE
OG0001062	CCAP1982_LOCUS2581|CAD6993783.1|CCAP	LOC6897390|XP_033238626.1|DPSE, LOC6897391|XP_002137543.2|DPSE
OG0001063	CCAP1982_LOCUS20718|CAD7012631.1|CCAP, CCAP1982_LOCUS20715|CAD7012628.1|CCAP	LOC6901101|XP_002134577.3|DPSE, LOC4814240|XP_001354435.3|DPSE
OG0001065	CCAP1982_LOCUS14284|CAD7005946.1|CCAP	LOC6898756|XP_002138739.3|DPSE, LOC6899970|XP_033238252.1|DPSE
OG0001073	CCAP1982_LOCUS2980|CAD6994218.1|CCAP	LOC4800749|XP_001357966.3|DPSE
OG0001074	CCAP1982_LOCUS22501|CAD7014499.1|CCAP	LOC4803340|XP_001360128.1|DPSE
OG0001075	CCAP1982_LOCUS14895|CAD7006581.1|CCAP	LOC4813939|XP_033239656.1|DPSE
OG0001077	CCAP1982_LOCUS4172|CAD6995457.1|CCAP	LOC4811643|XP_002135770.1|DPSE
OG0001079	CCAP1982_LOCUS12708|CAD7004289.1|CCAP	LOC4812666|XP_001353050.2|DPSE
OG0001080	CCAP1982_LOCUS11124|CAD7002641.1|CCAP	LOC4811939|XP_001352463.2|DPSE
OG0001081	CCAP1982_LOCUS996|CAD6992112.1|CCAP	LOC4802909|XP_001359735.2|DPSE
