Orthogroup	CCAP.longest_only	DSAN.longest_only
OG0000421	CCAP1982_LOCUS8319|CAD6999803.1|CCAP	LOC120449584|XP_039488083.1|DSAN
OG0000422	CCAP1982_LOCUS4204|CAD6995489.1|CCAP	LOC120457854|XP_039501306.1|DSAN
OG0000423	CCAP1982_LOCUS19616|CAD7011527.1|CCAP	LOC120445516|XP_039481907.1|DSAN
OG0000423	CCAP1982_LOCUS19615|CAD7011526.1|CCAP	LOC120446142|XP_039482901.1|DSAN
OG0000424	CCAP1982_LOCUS19629|CAD7011540.1|CCAP	LOC120451290|XP_039490775.1|DSAN
OG0000424	CCAP1982_LOCUS19630|CAD7011542.1|CCAP	LOC120446385|XP_039483253.1|DSAN
OG0000425	CCAP1982_LOCUS20315|CAD7012217.1|CCAP	LOC120445493|XP_039481874.1|DSAN
OG0000425	CCAP1982_LOCUS20895|CAD7012794.1|CCAP	LOC120446716|XP_039483761.1|DSAN
OG0000426	CCAP1982_LOCUS4810|CAD6996114.1|CCAP, CCAP1982_LOCUS6894|CAD6998285.1|CCAP	LOC120458703|XP_039502381.1|DSAN, LOC120458729|XP_039502412.1|DSAN, LOC120458498|XP_039502099.1|DSAN
OG0000428	CCAP1982_LOCUS20636|CAD7012551.1|CCAP, CCAP1982_LOCUS20637|CAD7012552.1|CCAP	LOC120449887|XP_039488498.1|DSAN, LOC120448112|XP_039485849.1|DSAN, LOC120448111|XP_039485848.1|DSAN
OG0000429	CCAP1982_LOCUS20662|CAD7012577.1|CCAP, CCAP1982_LOCUS20663|CAD7012578.1|CCAP	LOC120457776|XP_039501207.1|DSAN
OG0000429	CCAP1982_LOCUS20666|CAD7012581.1|CCAP, CCAP1982_LOCUS20665|CAD7012580.1|CCAP, CCAP1982_LOCUS20664|CAD7012579.1|CCAP	LOC120444684|XP_039480481.1|DSAN
OG0000433	CCAP1982_LOCUS10907|CAD7002416.1|CCAP	LOC120449700|XP_039488249.1|DSAN
OG0000434	CCAP1982_LOCUS20167|CAD7012067.1|CCAP	LOC120453076|XP_039493536.1|DSAN
OG0000437	CCAP1982_LOCUS5654|CAD6996993.1|CCAP	LOC120446992|XP_039484230.1|DSAN
OG0000437	CCAP1982_LOCUS7931|CAD6999405.1|CCAP	LOC120456391|XP_039499156.1|DSAN
OG0000438	CCAP1982_LOCUS1066|CAD6992194.1|CCAP, CCAP1982_LOCUS1067|CAD6992195.1|CCAP	LOC120453590|XP_039494286.1|DSAN
OG0000439	CCAP1982_LOCUS6443|CAD6997819.1|CCAP	LOC120458146|XP_039501626.1|DSAN
OG0000439	CCAP1982_LOCUS12270|CAD7003837.1|CCAP	LOC120449954|XP_039488589.1|DSAN
OG0000440	CCAP1982_LOCUS22496|CAD7014494.1|CCAP	LOC120444601|XP_039480310.1|DSAN
OG0000440	CCAP1982_LOCUS22497|CAD7014495.1|CCAP	LOC120445849|XP_039482415.1|DSAN
OG0000441	CCAP1982_LOCUS21648|CAD7013593.1|CCAP, CCAP1982_LOCUS21647|CAD7013592.1|CCAP	LOC120446037|XP_039482735.1|DSAN
OG0000441	CCAP1982_LOCUS21646|CAD7013591.1|CCAP	LOC120445116|XP_039481197.1|DSAN
OG0000443	CCAP1982_LOCUS7793|CAD6999263.1|CCAP	LOC120449811|XP_039488391.1|DSAN, LOC120449810|XP_039488390.1|DSAN
OG0000444	CCAP1982_LOCUS11680|CAD7003219.1|CCAP	LOC120455542|XP_039497817.1|DSAN
OG0000444	CCAP1982_LOCUS11679|CAD7003218.1|CCAP	LOC120458569|XP_039502201.1|DSAN
OG0000445	CCAP1982_LOCUS10080|CAD7001586.1|CCAP	LOC120446564|XP_039483518.1|DSAN
OG0000445	CCAP1982_LOCUS10419|CAD7001932.1|CCAP	LOC120458845|XP_039502605.1|DSAN, LOC120445781|XP_039482319.1|DSAN
OG0000446	CCAP1982_LOCUS20865|CAD7012761.1|CCAP	LOC120455007|XP_039496761.1|DSAN, LOC120455560|XP_039497848.1|DSAN
OG0000446	CCAP1982_LOCUS13488|CAD7005126.1|CCAP	LOC120458549|XP_039502164.1|DSAN
OG0000448	CCAP1982_LOCUS3324|CAD6994585.1|CCAP, CCAP1982_LOCUS3323|CAD6994584.1|CCAP	LOC120453892|XP_039494743.1|DSAN
OG0000449	CCAP1982_LOCUS11067|CAD7002580.1|CCAP	LOC120448191|XP_039485990.1|DSAN
OG0000449	CCAP1982_LOCUS6102|CAD6997459.1|CCAP	LOC120444449|XP_039480044.1|DSAN
OG0000453	CCAP1982_LOCUS3225|CAD6994480.1|CCAP	LOC120453808|XP_039494616.1|DSAN
OG0000453	CCAP1982_LOCUS3229|CAD6994484.1|CCAP, CCAP1982_LOCUS3228|CAD6994483.1|CCAP	LOC120454118|XP_039495082.1|DSAN
OG0000454	CCAP1982_LOCUS23327|CAD7015383.1|CCAP, CCAP1982_LOCUS23322|CAD7015378.1|CCAP, CCAP1982_LOCUS23324|CAD7015380.1|CCAP, CCAP1982_LOCUS23323|CAD7015379.1|CCAP, CCAP1982_LOCUS23320|CAD7015376.1|CCAP, CCAP1982_LOCUS23326|CAD7015382.1|CCAP, CCAP1982_LOCUS23321|CAD7015377.1|CCAP, CCAP1982_LOCUS23325|CAD7015381.1|CCAP	LOC120453921|XP_039494790.1|DSAN, LOC120449932|XP_039488563.1|DSAN
OG0000455	CCAP1982_LOCUS22327|CAD7014330.1|CCAP	LOC120444835|XP_039480725.1|DSAN
OG0000456	CCAP1982_LOCUS10154|CAD7001662.1|CCAP	LOC120454870|XP_039496361.1|DSAN
OG0000456	CCAP1982_LOCUS6580|CAD6997962.1|CCAP	LOC120447077|XP_039484406.1|DSAN
OG0000457	CCAP1982_LOCUS5601|CAD6996931.1|CCAP	LOC120458536|XP_039502149.1|DSAN
OG0000457	CCAP1982_LOCUS6131|CAD6997489.1|CCAP	LOC120443734|XP_039478923.1|DSAN
OG0000458	CCAP1982_LOCUS8276|CAD6999754.1|CCAP	LOC120454586|XP_039495971.1|DSAN
OG0000460	CCAP1982_LOCUS8651|CAD7000158.1|CCAP	LOC120456770|XP_039499705.1|DSAN
OG0000462	CCAP1982_LOCUS4493|CAD6995789.1|CCAP	LOC120454337|XP_039495481.1|DSAN, LOC120454336|XP_039495480.1|DSAN, LOC120454338|XP_039495482.1|DSAN
OG0000465	CCAP1982_LOCUS3256|CAD6994512.1|CCAP, CCAP1982_LOCUS3257|CAD6994513.1|CCAP	LOC120453490|XP_039494161.1|DSAN
OG0000465	CCAP1982_LOCUS3258|CAD6994514.1|CCAP	LOC120451374|XP_039490958.1|DSAN
OG0000466	CCAP1982_LOCUS7016|CAD6998416.1|CCAP	LOC120451303|XP_039490842.1|DSAN
OG0000467	CCAP1982_LOCUS21515|CAD7013450.1|CCAP, CCAP1982_LOCUS21512|CAD7013447.1|CCAP	LOC120443744|XP_039478935.1|DSAN
OG0000467	CCAP1982_LOCUS21490|CAD7013426.1|CCAP, CCAP1982_LOCUS21482|CAD7013418.1|CCAP	LOC120457609|XP_039501054.1|DSAN
OG0000468	CCAP1982_LOCUS150|CAD6991212.1|CCAP	LOC120452733|XP_039493036.1|DSAN
OG0000468	CCAP1982_LOCUS22943|CAD7014985.1|CCAP	LOC120444382|XP_039479922.1|DSAN
OG0000469	CCAP1982_LOCUS7328|CAD6998774.1|CCAP	LOC120457300|XP_039500759.1|DSAN
OG0000469	CCAP1982_LOCUS7318|CAD6998764.1|CCAP	LOC120443847|XP_039479141.1|DSAN
OG0000471	CCAP1982_LOCUS8931|CAD7000454.1|CCAP	LOC120449934|XP_039488566.1|DSAN, LOC120458506|XP_039502108.1|DSAN
OG0000473	CCAP1982_LOCUS9253|CAD7000778.1|CCAP	LOC120456564|XP_039499379.1|DSAN
OG0000473	CCAP1982_LOCUS9254|CAD7000779.1|CCAP	LOC120456569|XP_039499387.1|DSAN
OG0000475	CCAP1982_LOCUS2720|CAD6993933.1|CCAP	LOC120451279|XP_039490756.1|DSAN
OG0000476	CCAP1982_LOCUS3783|CAD6995057.1|CCAP	LOC120451627|XP_039491415.1|DSAN
OG0000476	CCAP1982_LOCUS3784|CAD6995059.1|CCAP	LOC120453351|XP_039493955.1|DSAN
OG0000477	CCAP1982_LOCUS3910|CAD6995190.1|CCAP	LOC120453150|XP_039493640.1|DSAN
OG0000477	CCAP1982_LOCUS5900|CAD6997267.1|CCAP, CCAP1982_LOCUS3911|CAD6995191.1|CCAP, CCAP1982_LOCUS3912|CAD6995192.1|CCAP	LOC120451362|XP_039490932.1|DSAN
OG0000478	CCAP1982_LOCUS23105|CAD7015155.1|CCAP	LOC120456930|XP_039500001.1|DSAN, LOC120452522|XP_039492711.1|DSAN
OG0000479	CCAP1982_LOCUS1329|CAD6992477.1|CCAP, CCAP1982_LOCUS1331|CAD6992479.1|CCAP, CCAP1982_LOCUS1330|CAD6992478.1|CCAP	LOC120452621|XP_039492861.1|DSAN, LOC120452778|XP_039493101.1|DSAN
OG0000480	CCAP1982_LOCUS7806|CAD6999277.1|CCAP	LOC120448808|XP_039487325.1|DSAN, LOC120448028|XP_039486133.1|DSAN
OG0000482	CCAP1982_LOCUS441|CAD6991522.1|CCAP	LOC120451049|XP_039490339.1|DSAN
OG0000483	CCAP1982_LOCUS408|CAD6991483.1|CCAP	LOC120452808|XP_039493145.1|DSAN, LOC120452807|XP_039493144.1|DSAN
OG0000484	CCAP1982_LOCUS4492|CAD6995788.1|CCAP, CCAP1982_LOCUS4488|CAD6995784.1|CCAP	LOC120454335|XP_039495479.1|DSAN
OG0000484	CCAP1982_LOCUS4489|CAD6995785.1|CCAP	LOC120454332|XP_039495474.1|DSAN
OG0000485	CCAP1982_LOCUS14116|CAD7005768.1|CCAP	LOC120449639|XP_039488164.1|DSAN
OG0000486	CCAP1982_LOCUS21710|CAD7013667.1|CCAP, CCAP1982_LOCUS22884|CAD7014920.1|CCAP	LOC120444855|XP_039480750.1|DSAN
OG0000487	CCAP1982_LOCUS21983|CAD7013974.1|CCAP	LOC120445159|XP_039481267.1|DSAN
OG0000487	CCAP1982_LOCUS21979|CAD7013970.1|CCAP, CCAP1982_LOCUS21981|CAD7013972.1|CCAP, CCAP1982_LOCUS21980|CAD7013971.1|CCAP, CCAP1982_LOCUS21976|CAD7013967.1|CCAP	LOC120445809|XP_039482356.1|DSAN
OG0000489	CCAP1982_LOCUS1170|CAD6992302.1|CCAP	LOC120452366|XP_039492490.1|DSAN
OG0000489	CCAP1982_LOCUS1171|CAD6992303.1|CCAP	LOC120456555|XP_039499368.1|DSAN
OG0000491	CCAP1982_LOCUS12181|CAD7003745.1|CCAP, CCAP1982_LOCUS12180|CAD7003744.1|CCAP	LOC120446907|XP_039484067.1|DSAN, LOC120446906|XP_039484066.1|DSAN
OG0000492	CCAP1982_LOCUS22810|CAD7014843.1|CCAP	LOC120445523|XP_039481921.1|DSAN
OG0000494	CCAP1982_LOCUS6227|CAD6997588.1|CCAP	LOC120443826|XP_039479108.1|DSAN
OG0000495	CCAP1982_LOCUS22934|CAD7014974.1|CCAP, CCAP1982_LOCUS22857|CAD7014893.1|CCAP	LOC120455621|XP_039497936.1|DSAN
OG0000495	CCAP1982_LOCUS22933|CAD7014973.1|CCAP	LOC120447183|XP_039484605.1|DSAN
OG0000496	CCAP1982_LOCUS7748|CAD6999214.1|CCAP	LOC120449556|XP_039488027.1|DSAN
OG0000497	CCAP1982_LOCUS7339|CAD6998785.1|CCAP	LOC120458342|XP_039501892.1|DSAN
OG0000497	CCAP1982_LOCUS7343|CAD6998789.1|CCAP, CCAP1982_LOCUS7347|CAD6998793.1|CCAP	LOC120456255|XP_039498911.1|DSAN
OG0000498	CCAP1982_LOCUS412|CAD6991488.1|CCAP	LOC120453186|XP_039493684.1|DSAN
OG0000498	CCAP1982_LOCUS414|CAD6991490.1|CCAP	LOC120452504|XP_039492688.1|DSAN
OG0000499	CCAP1982_LOCUS1341|CAD6992489.1|CCAP	LOC120455636|XP_039497960.1|DSAN
OG0000500	CCAP1982_LOCUS14122|CAD7005774.1|CCAP	LOC120448490|XP_039486454.1|DSAN
OG0000500	CCAP1982_LOCUS14118|CAD7005770.1|CCAP	LOC120448315|XP_039486197.1|DSAN
OG0000501	CCAP1982_LOCUS20961|CAD7012862.1|CCAP	LOC120458518|XP_039502126.1|DSAN, LOC120445174|XP_039481737.1|DSAN
OG0000504	CCAP1982_LOCUS11753|CAD7003291.1|CCAP	LOC120448148|XP_039485916.1|DSAN
OG0000506	CCAP1982_LOCUS3861|CAD6995138.1|CCAP	LOC120453973|XP_039494859.1|DSAN
OG0000506	CCAP1982_LOCUS3860|CAD6995137.1|CCAP	LOC120454649|XP_039496084.1|DSAN
OG0000508	CCAP1982_LOCUS11138|CAD7002655.1|CCAP	LOC120448898|XP_039487050.1|DSAN, LOC120449434|XP_039487833.1|DSAN
OG0000509	CCAP1982_LOCUS22430|CAD7014434.1|CCAP	LOC120445315|XP_039481560.1|DSAN
OG0000509	CCAP1982_LOCUS22451|CAD7014456.1|CCAP	LOC120445285|XP_039481521.1|DSAN
OG0000510	CCAP1982_LOCUS22883|CAD7014919.1|CCAP	LOC120445376|XP_039481692.1|DSAN
OG0000510	CCAP1982_LOCUS22881|CAD7014917.1|CCAP	LOC120445375|XP_039481691.1|DSAN
OG0000511	CCAP1982_LOCUS7895|CAD6999368.1|CCAP	LOC120445175|XP_039481322.1|DSAN
OG0000511	CCAP1982_LOCUS7894|CAD6999367.1|CCAP	LOC120446563|XP_039483516.1|DSAN
OG0000512	CCAP1982_LOCUS7057|CAD6998460.1|CCAP	LOC120458428|XP_039502002.1|DSAN
OG0000512	CCAP1982_LOCUS6661|CAD6998045.1|CCAP	LOC120449299|XP_039487624.1|DSAN
OG0000513	CCAP1982_LOCUS7011|CAD6998411.1|CCAP	LOC120446039|XP_039482741.1|DSAN
OG0000514	CCAP1982_LOCUS6954|CAD6998353.1|CCAP	LOC120458276|XP_039501802.1|DSAN
OG0000514	CCAP1982_LOCUS6964|CAD6998363.1|CCAP	LOC120456441|XP_039499211.1|DSAN
OG0000515	CCAP1982_LOCUS9878|CAD7001381.1|CCAP	LOC120454898|XP_039496503.1|DSAN
OG0000515	CCAP1982_LOCUS5206|CAD6996538.1|CCAP, CCAP1982_LOCUS1034|CAD6992156.1|CCAP	LOC120449881|XP_039488489.1|DSAN
OG0000517	CCAP1982_LOCUS14093|CAD7005742.1|CCAP, CCAP1982_LOCUS14091|CAD7005740.1|CCAP, CCAP1982_LOCUS14092|CAD7005741.1|CCAP	LOC120447477|XP_039484807.1|DSAN, LOC120447481|XP_039484810.1|DSAN
OG0000518	CCAP1982_LOCUS21631|CAD7013575.1|CCAP	LOC120447932|XP_039485531.1|DSAN, LOC120448390|XP_039486312.1|DSAN
OG0000523	CCAP1982_LOCUS4144|CAD6995427.1|CCAP	LOC120453674|XP_039494421.1|DSAN
OG0000524	CCAP1982_LOCUS2835|CAD6994063.1|CCAP	LOC120452825|XP_039493164.1|DSAN, LOC120452260|XP_039492324.1|DSAN
OG0000525	CCAP1982_LOCUS22367|CAD7014370.1|CCAP, CCAP1982_LOCUS22369|CAD7014372.1|CCAP, CCAP1982_LOCUS22368|CAD7014371.1|CCAP, CCAP1982_LOCUS22373|CAD7014378.1|CCAP	LOC120443860|XP_039479159.1|DSAN, LOC120443859|XP_039479158.1|DSAN
OG0000526	CCAP1982_LOCUS5509|CAD6996836.1|CCAP	LOC120445405|XP_039481754.1|DSAN, LOC120447210|XP_039484656.1|DSAN
OG0000527	CCAP1982_LOCUS9186|CAD7000713.1|CCAP	LOC120443838|XP_039479129.1|DSAN
OG0000528	CCAP1982_LOCUS6932|CAD6998327.1|CCAP	LOC120443800|XP_039479066.1|DSAN
OG0000529	CCAP1982_LOCUS8941|CAD7000464.1|CCAP	LOC120450494|XP_039489476.1|DSAN
OG0000530	CCAP1982_LOCUS11031|CAD7002542.1|CCAP, CCAP1982_LOCUS11032|CAD7002543.1|CCAP	LOC120450049|XP_039488739.1|DSAN
OG0000530	CCAP1982_LOCUS11386|CAD7002920.1|CCAP	LOC120448459|XP_039486410.1|DSAN
OG0000531	CCAP1982_LOCUS6164|CAD6997524.1|CCAP	LOC120446510|XP_039483451.1|DSAN, LOC120444668|XP_039480450.1|DSAN
OG0000532	CCAP1982_LOCUS606|CAD6991693.1|CCAP	LOC120453577|XP_039494269.1|DSAN, LOC120452850|XP_039493221.1|DSAN
OG0000535	CCAP1982_LOCUS21016|CAD7012917.1|CCAP	LOC120443710|XP_039478889.1|DSAN, LOC120458098|XP_039501559.1|DSAN
OG0000536	CCAP1982_LOCUS14724|CAD7006404.1|CCAP	LOC120449483|XP_039487894.1|DSAN
OG0000537	CCAP1982_LOCUS21949|CAD7013938.1|CCAP	LOC120458182|XP_039501683.1|DSAN
OG0000538	CCAP1982_LOCUS19765|CAD7011681.1|CCAP	LOC120447105|XP_039484450.1|DSAN
OG0000538	CCAP1982_LOCUS19763|CAD7011678.1|CCAP	LOC120458671|XP_039502340.1|DSAN
OG0000539	CCAP1982_LOCUS338|CAD6991411.1|CCAP	LOC120452405|XP_039492557.1|DSAN
OG0000539	CCAP1982_LOCUS341|CAD6991414.1|CCAP	LOC120452860|XP_039493238.1|DSAN
OG0000540	CCAP1982_LOCUS7995|CAD6999471.1|CCAP	LOC120457803|XP_039501234.1|DSAN, LOC120457817|XP_039501247.1|DSAN
OG0000542	CCAP1982_LOCUS700|CAD6991796.1|CCAP	LOC120453529|XP_039494214.1|DSAN
OG0000542	CCAP1982_LOCUS5512|CAD6996839.1|CCAP	LOC120454856|XP_039496322.1|DSAN
OG0000543	CCAP1982_LOCUS22601|CAD7014610.1|CCAP	LOC120445990|XP_039482660.1|DSAN
OG0000544	CCAP1982_LOCUS11870|CAD7003414.1|CCAP	LOC120449266|XP_039487582.1|DSAN
OG0000544	CCAP1982_LOCUS4262|CAD6995551.1|CCAP	LOC120450761|XP_039489833.1|DSAN
OG0000545	CCAP1982_LOCUS2546|CAD6993748.1|CCAP	LOC120453581|XP_039494274.1|DSAN
OG0000548	CCAP1982_LOCUS13084|CAD7004690.1|CCAP	LOC120450634|XP_039489717.1|DSAN, LOC120448558|XP_039486548.1|DSAN
OG0000549	CCAP1982_LOCUS23354|CAD7015411.1|CCAP	LOC120445934|XP_039482532.1|DSAN
OG0000550	CCAP1982_LOCUS12168|CAD7003731.1|CCAP	LOC120447989|XP_039485619.1|DSAN
OG0000550	CCAP1982_LOCUS12162|CAD7003725.1|CCAP	LOC120447990|XP_039485622.1|DSAN
OG0000551	CCAP1982_LOCUS22914|CAD7014951.1|CCAP, CCAP1982_LOCUS22915|CAD7014952.1|CCAP	LOC120446622|XP_039483601.1|DSAN
OG0000553	CCAP1982_LOCUS7725|CAD6999189.1|CCAP, CCAP1982_LOCUS7726|CAD6999190.1|CCAP, CCAP1982_LOCUS7729|CAD6999193.1|CCAP	LOC120450465|XP_039489432.1|DSAN
OG0000554	CCAP1982_LOCUS1799|CAD6992967.1|CCAP	LOC120451567|XP_039491312.1|DSAN, LOC120451568|XP_039491313.1|DSAN
OG0000555	CCAP1982_LOCUS11538|CAD7003075.1|CCAP	LOC120449643|XP_039488170.1|DSAN, LOC120449899|XP_039488520.1|DSAN
OG0000556	CCAP1982_LOCUS743|CAD6991844.1|CCAP	LOC120455479|XP_039497648.1|DSAN, LOC120452895|XP_039493287.1|DSAN
OG0000557	CCAP1982_LOCUS805|CAD6991916.1|CCAP	LOC120453087|XP_039493547.1|DSAN
OG0000557	CCAP1982_LOCUS804|CAD6991915.1|CCAP	LOC120451050|XP_039490340.1|DSAN
OG0000559	CCAP1982_LOCUS2187|CAD6993371.1|CCAP	LOC120451850|XP_039491766.1|DSAN
OG0000559	CCAP1982_LOCUS13911|CAD7005551.1|CCAP, CCAP1982_LOCUS13913|CAD7005553.1|CCAP	LOC120449981|XP_039488624.1|DSAN
OG0000560	CCAP1982_LOCUS20229|CAD7012131.1|CCAP	LOC120450883|XP_039490056.1|DSAN, LOC120450877|XP_039490042.1|DSAN
OG0000561	CCAP1982_LOCUS14402|CAD7006067.1|CCAP	LOC120449744|XP_039488310.1|DSAN
OG0000561	CCAP1982_LOCUS14409|CAD7006074.1|CCAP	LOC120449587|XP_039488082.1|DSAN
OG0000562	CCAP1982_LOCUS13630|CAD7005273.1|CCAP	LOC120447913|XP_039485496.1|DSAN
OG0000562	CCAP1982_LOCUS13660|CAD7005303.1|CCAP	LOC120448707|XP_039486800.1|DSAN
OG0000564	CCAP1982_LOCUS10820|CAD7002332.1|CCAP	LOC120448636|XP_039486694.1|DSAN
OG0000564	CCAP1982_LOCUS10822|CAD7002334.1|CCAP	LOC120447527|XP_039484895.1|DSAN
OG0000565	CCAP1982_LOCUS11648|CAD7003186.1|CCAP	LOC120456608|XP_039499455.1|DSAN, LOC120445532|XP_039481929.1|DSAN, LOC120457872|XP_039501332.1|DSAN, LOC120457849|XP_039501302.1|DSAN, LOC120457863|XP_039501315.1|DSAN, LOC120457830|XP_039501261.1|DSAN, LOC120448554|XP_039486544.1|DSAN, LOC120457645|XP_039501076.1|DSAN
OG0000566	CCAP1982_LOCUS3532|CAD6994801.1|CCAP	LOC120451339|XP_039490852.1|DSAN
OG0000566	CCAP1982_LOCUS14944|CAD7006638.1|CCAP	LOC120449603|XP_039488105.1|DSAN
OG0000568	CCAP1982_LOCUS1992|CAD6993168.1|CCAP	LOC120455332|XP_039497345.1|DSAN, LOC120451605|XP_039491372.1|DSAN
OG0000569	CCAP1982_LOCUS3605|CAD6994870.1|CCAP, CCAP1982_LOCUS3641|CAD6994906.1|CCAP	LOC120452609|XP_039492842.1|DSAN
OG0000569	CCAP1982_LOCUS4158|CAD6995441.1|CCAP	LOC120447785|XP_039485273.1|DSAN
OG0000570	CCAP1982_LOCUS1165|CAD6992297.1|CCAP	LOC120453482|XP_039494150.1|DSAN
OG0000570	CCAP1982_LOCUS1164|CAD6992296.1|CCAP	LOC120453460|XP_039494111.1|DSAN
OG0000571	CCAP1982_LOCUS3952|CAD6995233.1|CCAP, CCAP1982_LOCUS3937|CAD6995218.1|CCAP	LOC120452739|XP_039493045.1|DSAN
OG0000571	CCAP1982_LOCUS3940|CAD6995221.1|CCAP	LOC120452216|XP_039492276.1|DSAN
OG0000572	CCAP1982_LOCUS1969|CAD6993143.1|CCAP	LOC120453992|XP_039494881.1|DSAN
OG0000572	CCAP1982_LOCUS1961|CAD6993135.1|CCAP	LOC120451934|XP_039491888.1|DSAN
OG0000573	CCAP1982_LOCUS13105|CAD7004712.1|CCAP, CCAP1982_LOCUS13106|CAD7004713.1|CCAP	LOC120448983|XP_039487183.1|DSAN, LOC120445081|XP_039481140.1|DSAN
OG0000574	CCAP1982_LOCUS11934|CAD7003483.1|CCAP	LOC120448611|XP_039486655.1|DSAN
OG0000574	CCAP1982_LOCUS11936|CAD7003485.1|CCAP	LOC120451945|XP_039491898.1|DSAN
OG0000575	CCAP1982_LOCUS10756|CAD7002260.1|CCAP	LOC120449026|XP_039487241.1|DSAN
OG0000575	CCAP1982_LOCUS10749|CAD7002253.1|CCAP, CCAP1982_LOCUS10759|CAD7002263.1|CCAP	LOC120449025|XP_039487240.1|DSAN
OG0000577	CCAP1982_LOCUS7692|CAD6999153.1|CCAP	LOC120445776|XP_039482312.1|DSAN, LOC120444317|XP_039479796.1|DSAN
OG0000578	CCAP1982_LOCUS5470|CAD6996797.1|CCAP	LOC120447812|XP_039485326.1|DSAN
OG0000578	CCAP1982_LOCUS12117|CAD7003680.1|CCAP, CCAP1982_LOCUS12116|CAD7003679.1|CCAP, CCAP1982_LOCUS7835|CAD6999307.1|CCAP	LOC120445736|XP_039482241.1|DSAN
OG0000579	CCAP1982_LOCUS7710|CAD6999173.1|CCAP	LOC120451860|XP_039491793.1|DSAN
OG0000579	CCAP1982_LOCUS14550|CAD7006224.1|CCAP	LOC120448298|XP_039486169.1|DSAN
OG0000580	CCAP1982_LOCUS596|CAD6991683.1|CCAP	LOC120451449|XP_039491062.1|DSAN, LOC120454380|XP_039495552.1|DSAN
OG0000581	CCAP1982_LOCUS4884|CAD6996193.1|CCAP	LOC120450798|XP_039489899.1|DSAN
OG0000582	CCAP1982_LOCUS20143|CAD7012040.1|CCAP	LOC120447549|XP_039484933.1|DSAN
OG0000582	CCAP1982_LOCUS20144|CAD7012042.1|CCAP	LOC120444816|XP_039480705.1|DSAN
OG0000583	CCAP1982_LOCUS22237|CAD7014234.1|CCAP	LOC120444555|XP_039480238.1|DSAN
OG0000585	CCAP1982_LOCUS11849|CAD7003391.1|CCAP	LOC120448520|XP_039486490.1|DSAN, LOC120447624|XP_039485051.1|DSAN, LOC120448521|XP_039486491.1|DSAN
OG0000592	CCAP1982_LOCUS7094|CAD6998505.1|CCAP	LOC120446842|XP_039483970.1|DSAN, LOC120446035|XP_039482732.1|DSAN
OG0000593	CCAP1982_LOCUS290|CAD6991360.1|CCAP	LOC120452123|XP_039492139.1|DSAN, LOC120456121|XP_039498682.1|DSAN
OG0000594	CCAP1982_LOCUS7730|CAD6999194.1|CCAP, CCAP1982_LOCUS2388|CAD6993576.1|CCAP	LOC120454566|XP_039495895.1|DSAN, LOC120453086|XP_039493546.1|DSAN
OG0000595	CCAP1982_LOCUS1188|CAD6992320.1|CCAP	LOC120454599|XP_039495987.1|DSAN
OG0000595	CCAP1982_LOCUS1912|CAD6993084.1|CCAP	LOC120450880|XP_039490041.1|DSAN
OG0000596	CCAP1982_LOCUS4258|CAD6995547.1|CCAP	LOC120452913|XP_039493310.1|DSAN
OG0000597	CCAP1982_LOCUS2271|CAD6993458.1|CCAP	LOC120453923|XP_039494792.1|DSAN
OG0000598	CCAP1982_LOCUS1620|CAD6992780.1|CCAP, CCAP1982_LOCUS1619|CAD6992779.1|CCAP	LOC120451077|XP_039490372.1|DSAN
OG0000599	CCAP1982_LOCUS12255|CAD7003822.1|CCAP	LOC120448878|XP_039487027.1|DSAN
OG0000600	CCAP1982_LOCUS23106|CAD7015156.1|CCAP	LOC120446573|XP_039483529.1|DSAN
OG0000601	CCAP1982_LOCUS5577|CAD6996904.1|CCAP	LOC120443830|XP_039479115.1|DSAN, LOC120448093|XP_039485831.1|DSAN
OG0000602	CCAP1982_LOCUS6527|CAD6997909.1|CCAP	LOC120458356|XP_039501906.1|DSAN
OG0000602	CCAP1982_LOCUS6526|CAD6997908.1|CCAP	LOC120458429|XP_039502004.1|DSAN
OG0000603	CCAP1982_LOCUS8475|CAD6999970.1|CCAP	LOC120453664|XP_039494407.1|DSAN, LOC120456022|XP_039498525.1|DSAN, LOC120451086|XP_039490393.1|DSAN
OG0000604	CCAP1982_LOCUS8179|CAD6999649.1|CCAP	LOC120448113|XP_039485853.1|DSAN
OG0000604	CCAP1982_LOCUS8178|CAD6999648.1|CCAP	LOC120448127|XP_039485880.1|DSAN
OG0000605	CCAP1982_LOCUS7962|CAD6999438.1|CCAP	LOC120457772|XP_039501203.1|DSAN
OG0000607	CCAP1982_LOCUS588|CAD6991675.1|CCAP	LOC120451243|XP_039490689.1|DSAN, LOC120450776|XP_039489868.1|DSAN
OG0000608	CCAP1982_LOCUS21399|CAD7013330.1|CCAP	LOC120453170|XP_039493664.1|DSAN
OG0000610	CCAP1982_LOCUS11659|CAD7003197.1|CCAP	LOC120449553|XP_039488016.1|DSAN, LOC120445524|XP_039481920.1|DSAN
OG0000611	CCAP1982_LOCUS20406|CAD7012311.1|CCAP	LOC120445031|XP_039481048.1|DSAN, LOC120445994|XP_039482661.1|DSAN
OG0000615	CCAP1982_LOCUS1729|CAD6992894.1|CCAP	LOC120457178|XP_039500407.1|DSAN, LOC120450918|XP_039490115.1|DSAN
OG0000617	CCAP1982_LOCUS1174|CAD6992306.1|CCAP	LOC120451325|XP_039490831.1|DSAN
