Orthogroup	CCAP.longest_only	AEAL.longest_only
OG0001024	CCAP1982_LOCUS3439|CAD6994704.1|CCAP, CCAP1982_LOCUS3438|CAD6994703.1|CCAP	LOC109400992|XP_019529005.2|AEAL, LOC109398248|XP_019526120.2|AEAL, LOC115255015|XP_029708580.1|AEAL
OG0001025	CCAP1982_LOCUS14956|CAD7006653.1|CCAP	LOC109411807|XP_029725877.1|AEAL, LOC109419671|XP_029725920.1|AEAL
OG0001026	CCAP1982_LOCUS21674|CAD7013623.1|CCAP	LOC115254755|XP_029708284.1|AEAL, LOC115256370|XP_029710595.1|AEAL, LOC109427470|XP_019558569.2|AEAL, LOC115254769|XP_029708296.1|AEAL
OG0001027	CCAP1982_LOCUS11668|CAD7003208.1|CCAP	LOC109430927|XP_019562583.1|AEAL, LOC109431669|XP_019563464.1|AEAL, LOC115259273|XP_029715663.1|AEAL, LOC109430982|XP_019562651.2|AEAL, LOC115267514|XP_029730464.1|AEAL, LOC109431720|XP_029714372.1|AEAL, LOC115259271|XP_029715661.1|AEAL, LOC115267493|XP_029730371.1|AEAL
OG0001028	CCAP1982_LOCUS8649|CAD7000156.1|CCAP	LOC115270178|XP_029735284.1|AEAL, LOC115269720|XP_029734404.1|AEAL, LOC109428739|XP_019560110.2|AEAL, LOC109424262|XP_029734403.1|AEAL, LOC115270179|XP_029735285.1|AEAL, LOC109428720|XP_019560089.1|AEAL, LOC115269722|XP_029734407.1|AEAL, LOC109426302|XP_019557307.2|AEAL
OG0001031	CCAP1982_LOCUS6157|CAD6997518.1|CCAP, CCAP1982_LOCUS6156|CAD6997517.1|CCAP, CCAP1982_LOCUS6151|CAD6997512.1|CCAP	LOC115255160|XP_029708926.1|AEAL, LOC109428100|XP_029708906.1|AEAL, LOC109427628|XP_029708460.1|AEAL
OG0001042	CCAP1982_LOCUS1764|CAD6992931.1|CCAP	LOC109421990|XP_019552169.2|AEAL, LOC115256355|XP_029710555.1|AEAL, LOC109421988|XP_019552167.2|AEAL, LOC115256356|XP_029710556.1|AEAL, LOC115257006|XP_029712097.1|AEAL, LOC115256354|XP_029710554.1|AEAL, LOC109421989|XP_019552168.2|AEAL
OG0001045	CCAP1982_LOCUS20913|CAD7012813.1|CCAP	LOC109416372|XP_019545957.2|AEAL, LOC115263417|XP_029722567.1|AEAL, LOC109430046|XP_019561618.2|AEAL, LOC115267355|XP_029730165.1|AEAL, LOC109416371|XP_019545956.2|AEAL, LOC115263411|XP_029722558.1|AEAL, LOC109416370|XP_019545955.1|AEAL, LOC109430045|XP_029730166.1|AEAL
OG0001046	CCAP1982_LOCUS19960|CAD7011851.1|CCAP	LOC115264336|XP_029723865.1|AEAL, LOC109414894|XP_019544283.1|AEAL
OG0001047	CCAP1982_LOCUS20366|CAD7012270.1|CCAP	LOC109409491|XP_019538493.2|AEAL
OG0001049	CCAP1982_LOCUS12233|CAD7003800.1|CCAP, CCAP1982_LOCUS12232|CAD7003799.1|CCAP	LOC109400687|XP_029734861.1|AEAL, LOC109404591|XP_029734927.1|AEAL
OG0001050	CCAP1982_LOCUS11755|CAD7003293.1|CCAP	LOC109399473|XP_029735713.1|AEAL, LOC109398008|XP_029714089.1|AEAL
OG0001051	CCAP1982_LOCUS7728|CAD6999192.1|CCAP	LOC109428715|XP_029734497.1|AEAL, LOC109424267|XP_029735277.1|AEAL
OG0001052	CCAP1982_LOCUS5814|CAD6997172.1|CCAP	LOC115253443|XP_029727442.1|AEAL, LOC109430157|XP_029718246.1|AEAL
OG0001054	CCAP1982_LOCUS3180|CAD6994429.1|CCAP	LOC109419219|XP_019548976.2|AEAL
OG0001057	CCAP1982_LOCUS20701|CAD7012617.1|CCAP	LOC109404972|XP_029719253.1|AEAL, LOC109416171|XP_029719194.1|AEAL
OG0001059	CCAP1982_LOCUS14475|CAD7006147.1|CCAP, CCAP1982_LOCUS14471|CAD7006143.1|CCAP	LOC109426376|XP_019557394.2|AEAL
OG0001060	CCAP1982_LOCUS398|CAD6991473.1|CCAP	LOC109405658|XP_019534272.1|AEAL
OG0001073	CCAP1982_LOCUS2980|CAD6994218.1|CCAP	LOC115267820|XP_029731081.1|AEAL, LOC109415486|XP_019544914.2|AEAL, LOC109402626|XP_029711922.1|AEAL, LOC109402627|XP_019530875.2|AEAL, LOC109415428|XP_029729800.1|AEAL, LOC115269640|XP_029734333.1|AEAL, LOC109402620|XP_029710631.1|AEAL, LOC109406617|XP_029708405.1|AEAL
OG0001074	CCAP1982_LOCUS22501|CAD7014499.1|CCAP	LOC109403697|XP_019532090.2|AEAL, LOC115267914|XP_029731428.1|AEAL
OG0001079	CCAP1982_LOCUS12708|CAD7004289.1|CCAP	LOC109410372|XP_019539467.2|AEAL, LOC109621707|XP_029726178.1|AEAL
OG0001080	CCAP1982_LOCUS11124|CAD7002641.1|CCAP	LOC109622562|XP_029726246.1|AEAL, LOC109409585|XP_019538590.2|AEAL
OG0001081	CCAP1982_LOCUS996|CAD6992112.1|CCAP	LOC109622423|XP_019932295.2|AEAL, LOC109419710|XP_019549526.2|AEAL, LOC109398194|XP_019526055.2|AEAL
OG0001082	CCAP1982_LOCUS22051|CAD7014045.1|CCAP	LOC109399245|XP_019527227.2|AEAL
OG0001083	CCAP1982_LOCUS14891|CAD7006577.1|CCAP	LOC109407765|XP_019536486.2|AEAL
OG0001084	CCAP1982_LOCUS21820|CAD7013799.1|CCAP, CCAP1982_LOCUS21819|CAD7013798.1|CCAP	LOC109424102|XP_029736069.1|AEAL, LOC109397337|XP_029725752.1|AEAL, LOC109420256|XP_029725771.1|AEAL
OG0001085	CCAP1982_LOCUS21337|CAD7013266.1|CCAP	LOC109414723|XP_029725648.1|AEAL
OG0001086	CCAP1982_LOCUS21090|CAD7013000.1|CCAP	LOC109408016|XP_019536778.2|AEAL, LOC109405149|XP_019533711.2|AEAL
OG0001088	CCAP1982_LOCUS12834|CAD7004425.1|CCAP	LOC115263103|XP_029721877.1|AEAL, LOC115263115|XP_029721895.1|AEAL, LOC115263109|XP_029721883.1|AEAL, LOC109407426|XP_029721882.1|AEAL, LOC115263134|XP_029721913.1|AEAL, LOC109416571|XP_029721896.1|AEAL, LOC109407455|XP_029721897.1|AEAL, LOC109416717|XP_019546318.2|AEAL
OG0001089	CCAP1982_LOCUS12321|CAD7003891.1|CCAP	LOC115260094|XP_029716823.1|AEAL, LOC115253512|XP_029721729.1|AEAL, LOC109422350|XP_019552623.1|AEAL
OG0001090	CCAP1982_LOCUS12515|CAD7004092.1|CCAP	LOC109417188|XP_029735699.1|AEAL, LOC109403072|XP_029735785.1|AEAL, LOC109417186|XP_019546855.1|AEAL, LOC109403060|XP_019531341.2|AEAL, LOC115270379|XP_029735783.1|AEAL
OG0001091	CCAP1982_LOCUS11183|CAD7002706.1|CCAP	LOC115269590|XP_029734270.1|AEAL, LOC109426259|XP_019557270.2|AEAL, LOC109426261|XP_019557272.2|AEAL, LOC109410290|XP_019539380.2|AEAL, LOC109426260|XP_019557271.2|AEAL, LOC109426253|XP_019557265.2|AEAL, LOC109426255|XP_019557267.2|AEAL
OG0001092	CCAP1982_LOCUS8406|CAD6999896.1|CCAP	LOC115256840|XP_029711720.1|AEAL, LOC109432899|XP_029711857.1|AEAL, LOC109401392|XP_029711689.1|AEAL
OG0001093	CCAP1982_LOCUS6559|CAD6997942.1|CCAP, CCAP1982_LOCUS6558|CAD6997941.1|CCAP	LOC115255689|XP_029709649.1|AEAL, LOC115256844|XP_029711726.1|AEAL, LOC109401413|XP_019529510.2|AEAL, LOC109432909|XP_029711686.1|AEAL, LOC115255608|XP_029709560.1|AEAL, LOC109432911|XP_019564823.2|AEAL, LOC115255616|XP_029709563.1|AEAL, LOC109401418|XP_019529516.2|AEAL
OG0001094	CCAP1982_LOCUS6585|CAD6997967.1|CCAP, CCAP1982_LOCUS6594|CAD6997977.1|CCAP	LOC109411260|XP_029715429.1|AEAL
OG0001095	CCAP1982_LOCUS5633|CAD6996967.1|CCAP	LOC109400349|XP_019528393.2|AEAL, LOC109425168|XP_019555961.2|AEAL, LOC109425169|XP_019555962.2|AEAL, LOC109400327|XP_029724842.1|AEAL
OG0001096	CCAP1982_LOCUS8252|CAD6999726.1|CCAP	LOC109419064|XP_029729383.1|AEAL
OG0001097	CCAP1982_LOCUS5730|CAD6997077.1|CCAP	LOC109430129|XP_019561705.2|AEAL
OG0001098	CCAP1982_LOCUS13085|CAD7004691.1|CCAP	LOC109418767|XP_019548542.2|AEAL
OG0001099	CCAP1982_LOCUS12524|CAD7004101.1|CCAP	LOC109410717|XP_019539784.2|AEAL, LOC109410888|XP_019539938.2|AEAL
OG0001100	CCAP1982_LOCUS908|CAD6992026.1|CCAP	LOC115253514|XP_029713236.1|AEAL, LOC115253664|XP_029713173.1|AEAL, LOC115253516|XP_029713150.1|AEAL, LOC109403404|XP_019531773.1|AEAL
OG0001101	CCAP1982_LOCUS20125|CAD7012014.1|CCAP	LOC109413581|XP_029721348.1|AEAL, LOC109401225|XP_029721397.1|AEAL
OG0001102	CCAP1982_LOCUS14209|CAD7005867.1|CCAP	LOC115260336|XP_029717125.1|AEAL, LOC109427049|XP_029717122.1|AEAL
OG0001102	CCAP1982_LOCUS14212|CAD7005870.1|CCAP, CCAP1982_LOCUS14202|CAD7005860.1|CCAP	LOC115260338|XP_029717128.1|AEAL, LOC115262668|XP_029721131.1|AEAL, LOC115260337|XP_029717127.1|AEAL, LOC109427048|XP_029721143.1|AEAL, LOC109623359|XP_029721142.1|AEAL, LOC115254044|XP_029717123.1|AEAL
OG0001103	CCAP1982_LOCUS3837|CAD6995115.1|CCAP, CCAP1982_LOCUS3835|CAD6995113.1|CCAP	LOC109400467|XP_019528553.2|AEAL, LOC109399676|XP_029709872.1|AEAL
OG0001104	CCAP1982_LOCUS20148|CAD7012046.1|CCAP	LOC109410655|XP_019539733.2|AEAL
OG0001106	CCAP1982_LOCUS19510|CAD7011410.1|CCAP, CCAP1982_LOCUS19502|CAD7011402.1|CCAP, CCAP1982_LOCUS19508|CAD7011408.1|CCAP, CCAP1982_LOCUS19504|CAD7011404.1|CCAP	LOC115268047|XP_029731820.1|AEAL, LOC109426030|XP_019557013.2|AEAL
OG0001107	CCAP1982_LOCUS6892|CAD6998283.1|CCAP, CCAP1982_LOCUS10089|CAD7001595.1|CCAP, CCAP1982_LOCUS6377|CAD6997745.1|CCAP	LOC115261134|XP_029718359.1|AEAL
OG0001119	CCAP1982_LOCUS4136|CAD6995419.1|CCAP	LOC109432294|XP_029731051.1|AEAL, LOC115267805|XP_029730993.1|AEAL, LOC115257422|XP_029712864.1|AEAL, LOC109429947|XP_029712758.1|AEAL, LOC115257901|XP_029713739.1|AEAL, LOC115253994|XP_029713240.1|AEAL
OG0001120	CCAP1982_LOCUS3124|CAD6994371.1|CCAP	LOC109417417|XP_029720341.1|AEAL, LOC109417254|XP_019546912.2|AEAL
OG0001121	CCAP1982_LOCUS22180|CAD7014174.1|CCAP	LOC109410398|XP_029708392.1|AEAL
OG0001121	CCAP1982_LOCUS22189|CAD7014183.1|CCAP	LOC109407731|XP_029726202.1|AEAL
OG0001122	CCAP1982_LOCUS12577|CAD7004157.1|CCAP	LOC109413987|XP_029722586.1|AEAL, LOC109399190|XP_029726592.1|AEAL, LOC115263429|XP_029722579.1|AEAL
OG0001124	CCAP1982_LOCUS3530|CAD6994799.1|CCAP	LOC115265347|XP_029725891.1|AEAL, LOC109411808|XP_029725926.1|AEAL
OG0001125	CCAP1982_LOCUS12956|CAD7004560.1|CCAP	LOC109410772|XP_029735056.1|AEAL, LOC109413498|XP_029735037.1|AEAL, LOC109410773|XP_019539847.2|AEAL, LOC115270118|XP_029735038.1|AEAL
OG0001126	CCAP1982_LOCUS12942|CAD7004545.1|CCAP	LOC109621314|XP_029735060.1|AEAL
OG0001126	CCAP1982_LOCUS12937|CAD7004540.1|CCAP	LOC109404936|XP_029735027.1|AEAL, LOC109413503|XP_029735011.1|AEAL
OG0001127	CCAP1982_LOCUS13446|CAD7005083.1|CCAP	LOC109621888|XP_019931640.2|AEAL, LOC115264385|XP_029723890.1|AEAL, LOC115268238|XP_029732151.1|AEAL
OG0001128	CCAP1982_LOCUS23086|CAD7015136.1|CCAP	LOC115266684|XP_029729067.1|AEAL, LOC109416688|XP_029729068.1|AEAL, LOC115266601|XP_029728908.1|AEAL, LOC109416502|XP_029728895.1|AEAL, LOC109397551|XP_029714755.1|AEAL, LOC109622814|XP_029714606.1|AEAL
OG0001129	CCAP1982_LOCUS5497|CAD6996824.1|CCAP, CCAP1982_LOCUS5496|CAD6996823.1|CCAP	LOC109428271|XP_029728520.1|AEAL, LOC109427952|XP_029728323.1|AEAL
OG0001131	CCAP1982_LOCUS10341|CAD7001852.1|CCAP	LOC109429432|XP_029724808.1|AEAL, LOC109425149|XP_029724806.1|AEAL, LOC109425152|XP_019555932.2|AEAL
OG0001133	CCAP1982_LOCUS6900|CAD6998291.1|CCAP, CCAP1982_LOCUS6901|CAD6998292.1|CCAP, CCAP1982_LOCUS6888|CAD6998279.1|CCAP, CCAP1982_LOCUS6889|CAD6998280.1|CCAP, CCAP1982_LOCUS6904|CAD6998295.1|CCAP, CCAP1982_LOCUS6899|CAD6998290.1|CCAP	LOC109397492|XP_029708982.1|AEAL, LOC115253723|XP_029708997.1|AEAL, LOC115255215|XP_029709017.1|AEAL, LOC109419916|XP_029708969.1|AEAL
OG0001134	CCAP1982_LOCUS20005|CAD7011894.1|CCAP	LOC109419129|XP_029722343.1|AEAL, LOC115259937|XP_029716596.1|AEAL
OG0001135	CCAP1982_LOCUS53|CAD6991106.1|CCAP	LOC109399742|XP_019527803.2|AEAL, LOC109402037|XP_019530186.2|AEAL
OG0001136	CCAP1982_LOCUS933|CAD6992052.1|CCAP, CCAP1982_LOCUS945|CAD6992064.1|CCAP, CCAP1982_LOCUS948|CAD6992067.1|CCAP, CCAP1982_LOCUS946|CAD6992065.1|CCAP, CCAP1982_LOCUS932|CAD6992051.1|CCAP	LOC109409584|XP_029732462.1|AEAL, LOC115268460|XP_029732317.1|AEAL, LOC115268457|XP_029732304.1|AEAL
OG0001137	CCAP1982_LOCUS5134|CAD6996465.1|CCAP	LOC109406162|XP_019534775.1|AEAL, LOC109401796|XP_019529955.1|AEAL
OG0001138	CCAP1982_LOCUS11127|CAD7002644.1|CCAP, CCAP1982_LOCUS11125|CAD7002642.1|CCAP	LOC109397776|XP_029712084.1|AEAL
OG0001139	CCAP1982_LOCUS14528|CAD7006200.1|CCAP	LOC109412044|XP_019541231.2|AEAL
OG0001153	CCAP1982_LOCUS20531|CAD7012450.1|CCAP	LOC115256680|XP_029711441.1|AEAL, LOC115256405|XP_029710746.1|AEAL, LOC109427540|XP_019558650.2|AEAL
OG0001154	CCAP1982_LOCUS5972|CAD6997338.1|CCAP	LOC109407226|XP_029715238.1|AEAL
OG0001157	CCAP1982_LOCUS4065|CAD6995346.1|CCAP	LOC109403733|XP_029718533.1|AEAL, LOC115260746|XP_029717917.1|AEAL
OG0001157	CCAP1982_LOCUS4069|CAD6995350.1|CCAP, CCAP1982_LOCUS4068|CAD6995349.1|CCAP	LOC109431516|XP_029717886.1|AEAL
OG0001158	CCAP1982_LOCUS8483|CAD6999978.1|CCAP	LOC109423923|XP_029727260.1|AEAL, LOC109404799|XP_029727300.1|AEAL
OG0001159	CCAP1982_LOCUS1413|CAD6992567.1|CCAP, CCAP1982_LOCUS1411|CAD6992565.1|CCAP	LOC109431943|XP_029712536.1|AEAL
OG0001160	CCAP1982_LOCUS1437|CAD6992588.1|CCAP, CCAP1982_LOCUS1439|CAD6992590.1|CCAP	LOC109400071|XP_029707703.1|AEAL, LOC109621624|XP_029707671.1|AEAL
OG0001161	CCAP1982_LOCUS44|CAD6991097.1|CCAP	LOC115254369|XP_029707719.1|AEAL, LOC115253583|XP_029707712.1|AEAL, LOC109400045|XP_029707645.1|AEAL
OG0001162	CCAP1982_LOCUS861|CAD6991974.1|CCAP, CCAP1982_LOCUS3527|CAD6994796.1|CCAP	LOC109623099|XP_029710000.1|AEAL, LOC115255934|XP_029710012.1|AEAL, LOC109416877|XP_029709999.1|AEAL
OG0001163	CCAP1982_LOCUS8994|CAD7000516.1|CCAP, CCAP1982_LOCUS14342|CAD7006007.1|CCAP	LOC109401653|XP_019529771.2|AEAL
OG0001164	CCAP1982_LOCUS3746|CAD6995015.1|CCAP, CCAP1982_LOCUS3747|CAD6995016.1|CCAP	LOC115267183|XP_029729911.1|AEAL, LOC109405410|XP_029712594.1|AEAL
OG0001165	CCAP1982_LOCUS2339|CAD6993527.1|CCAP	LOC109405429|XP_019534039.2|AEAL
OG0001167	CCAP1982_LOCUS23222|CAD7015275.1|CCAP	LOC115255807|XP_029709842.1|AEAL, LOC109419700|XP_029733501.1|AEAL
OG0001168	CCAP1982_LOCUS22756|CAD7014785.1|CCAP	LOC109417813|XP_029725483.1|AEAL
OG0001170	CCAP1982_LOCUS4015|CAD6995296.1|CCAP, CCAP1982_LOCUS8446|CAD6999937.1|CCAP, CCAP1982_LOCUS4014|CAD6995295.1|CCAP	LOC115263120|XP_029721900.1|AEAL, LOC115263304|XP_029722372.1|AEAL, LOC115263051|XP_029721840.1|AEAL, LOC115263048|XP_029721836.1|AEAL, LOC115263052|XP_029721841.1|AEAL, LOC115263049|XP_029721837.1|AEAL
OG0001171	CCAP1982_LOCUS11094|CAD7002610.1|CCAP, CCAP1982_LOCUS11093|CAD7002609.1|CCAP, CCAP1982_LOCUS11087|CAD7002601.1|CCAP	LOC109407435|XP_029729637.1|AEAL, LOC115263136|XP_029721917.1|AEAL, LOC109416468|XP_029722351.1|AEAL, LOC115263279|XP_029722277.1|AEAL, LOC115263132|XP_029721911.1|AEAL
OG0001172	CCAP1982_LOCUS23142|CAD7015192.1|CCAP, CCAP1982_LOCUS23145|CAD7015194.1|CCAP, CCAP1982_LOCUS23141|CAD7015190.1|CCAP	LOC109399467|XP_019527449.2|AEAL, LOC109398011|XP_019525891.2|AEAL
OG0001173	CCAP1982_LOCUS137|CAD6991199.1|CCAP	LOC109414269|XP_019543634.2|AEAL
OG0001174	CCAP1982_LOCUS13231|CAD7004846.1|CCAP	LOC115266579|XP_029728830.1|AEAL, LOC109411127|XP_019540126.1|AEAL
OG0001175	CCAP1982_LOCUS19961|CAD7011852.1|CCAP	LOC109421575|XP_029728219.1|AEAL, LOC109407055|XP_029728223.1|AEAL
OG0001176	CCAP1982_LOCUS7150|CAD6998569.1|CCAP	LOC109428218|XP_019559461.2|AEAL, LOC115263988|XP_029723149.1|AEAL, LOC115263993|XP_029723154.1|AEAL, LOC109427899|XP_019559052.2|AEAL
OG0001177	CCAP1982_LOCUS7053|CAD6998455.1|CCAP	LOC109411712|XP_029720229.1|AEAL
OG0001177	CCAP1982_LOCUS21403|CAD7013335.1|CCAP, CCAP1982_LOCUS21673|CAD7013622.1|CCAP, CCAP1982_LOCUS972|CAD6992094.1|CCAP, CCAP1982_LOCUS7049|CAD6998451.1|CCAP	LOC109420732|XP_019550742.2|AEAL
OG0001178	CCAP1982_LOCUS6924|CAD6998317.1|CCAP	LOC109421316|XP_019551368.2|AEAL, LOC109621800|XP_019931478.1|AEAL
OG0001178	CCAP1982_LOCUS22089|CAD7014082.1|CCAP	LOC109419741|XP_029708593.1|AEAL
OG0001179	CCAP1982_LOCUS21397|CAD7013328.1|CCAP	LOC109427566|XP_019558681.2|AEAL
OG0001180	CCAP1982_LOCUS10405|CAD7001918.1|CCAP, CCAP1982_LOCUS10404|CAD7001917.1|CCAP, CCAP1982_LOCUS10411|CAD7001924.1|CCAP, CCAP1982_LOCUS10408|CAD7001921.1|CCAP, CCAP1982_LOCUS10409|CAD7001922.1|CCAP, CCAP1982_LOCUS10410|CAD7001923.1|CCAP, CCAP1982_LOCUS10413|CAD7001926.1|CCAP, CCAP1982_LOCUS10406|CAD7001919.1|CCAP, CCAP1982_LOCUS10412|CAD7001925.1|CCAP, CCAP1982_LOCUS10407|CAD7001920.1|CCAP, CCAP1982_LOCUS10415|CAD7001928.1|CCAP, CCAP1982_LOCUS10414|CAD7001927.1|CCAP	LOC115262179|XP_029720337.1|AEAL, LOC109411694|XP_029720243.1|AEAL
OG0001181	CCAP1982_LOCUS13780|CAD7005417.1|CCAP, CCAP1982_LOCUS13817|CAD7005457.1|CCAP	LOC109414185|XP_019543512.1|AEAL
OG0001182	CCAP1982_LOCUS461|CAD6991542.1|CCAP	LOC109401498|XP_029725010.1|AEAL, LOC109431750|XP_029724953.1|AEAL, LOC109401450|XP_029725022.1|AEAL, LOC109431749|XP_029724962.1|AEAL
OG0001183	CCAP1982_LOCUS393|CAD6991469.1|CCAP	LOC109405001|XP_029727177.1|AEAL
OG0001184	CCAP1982_LOCUS14608|CAD7006285.1|CCAP	LOC115261616|XP_029719382.1|AEAL, LOC115260271|XP_029717069.1|AEAL, LOC109622376|XP_029717062.1|AEAL
OG0001185	CCAP1982_LOCUS235|CAD6991306.1|CCAP	LOC115253642|XP_029727783.1|AEAL, LOC109404402|XP_029727818.1|AEAL, LOC115266086|XP_029727861.1|AEAL, LOC109431900|XP_029727798.1|AEAL
OG0001186	CCAP1982_LOCUS4357|CAD6995650.1|CCAP	LOC109399376|XP_019527360.2|AEAL
OG0001187	CCAP1982_LOCUS20646|CAD7012561.1|CCAP	LOC115257587|XP_029713229.1|AEAL, LOC109433191|XP_019565143.2|AEAL, LOC115266883|XP_029729344.1|AEAL, LOC109402294|XP_019530494.2|AEAL, LOC109433212|XP_019565161.2|AEAL, LOC115260075|XP_029716808.1|AEAL, LOC115257563|XP_029713195.1|AEAL
OG0001188	CCAP1982_LOCUS20310|CAD7012211.1|CCAP, CCAP1982_LOCUS20309|CAD7012208.1|CCAP, CCAP1982_LOCUS20311|CAD7012212.1|CCAP, CCAP1982_LOCUS20308|CAD7012207.1|CCAP	LOC109424429|XP_019555078.2|AEAL, LOC115264559|XP_029724238.1|AEAL
OG0001191	CCAP1982_LOCUS19467|CAD7011363.1|CCAP	LOC109418615|XP_019548365.1|AEAL, LOC109410097|XP_029713357.1|AEAL, LOC109410100|XP_029733006.1|AEAL, LOC109418612|XP_029712964.1|AEAL, LOC115257655|XP_029713355.1|AEAL
OG0001192	CCAP1982_LOCUS5423|CAD6996743.1|CCAP	LOC115262769|XP_029721486.1|AEAL, LOC109431053|XP_029721481.1|AEAL
OG0001193	CCAP1982_LOCUS1428|CAD6992580.1|CCAP	LOC115254884|XP_029708431.1|AEAL, LOC109399105|XP_029731134.1|AEAL, LOC109399566|XP_029727176.1|AEAL
OG0001195	CCAP1982_LOCUS21002|CAD7012903.1|CCAP	LOC109421162|XP_019551201.2|AEAL, LOC109410562|XP_019539638.2|AEAL
OG0001201	CCAP1982_LOCUS703|CAD6991799.1|CCAP	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL
OG0001202	CCAP1982_LOCUS12204|CAD7003768.1|CCAP	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL
OG0001203	CCAP1982_LOCUS9590|CAD7001118.1|CCAP	LOC109424988|XP_029711078.1|AEAL
OG0001203	CCAP1982_LOCUS9348|CAD7000874.1|CCAP	LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL
OG0001206	CCAP1982_LOCUS3112|CAD6994358.1|CCAP, CCAP1982_LOCUS3113|CAD6994359.1|CCAP, CCAP1982_LOCUS3114|CAD6994360.1|CCAP	LOC109422192|XP_029710557.1|AEAL
OG0001209	CCAP1982_LOCUS1957|CAD6993131.1|CCAP, CCAP1982_LOCUS1956|CAD6993130.1|CCAP	LOC109622458|XP_029711425.1|AEAL, LOC115258387|XP_029714337.1|AEAL, LOC109427462|XP_029707763.1|AEAL, LOC115258388|XP_029714338.1|AEAL, LOC109427463|XP_029708095.1|AEAL, LOC109427451|XP_029710821.1|AEAL
OG0001211	CCAP1982_LOCUS2793|CAD6994016.1|CCAP	LOC109410067|XP_029712702.1|AEAL
OG0001213	CCAP1982_LOCUS4317|CAD6995611.1|CCAP	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL, LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL
OG0001214	CCAP1982_LOCUS1460|CAD6992611.1|CCAP	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL
OG0001215	CCAP1982_LOCUS2002|CAD6993180.1|CCAP	LOC109423631|XP_019554162.2|AEAL, LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL
OG0001216	CCAP1982_LOCUS2004|CAD6993182.1|CCAP	LOC109423629|XP_029723325.1|AEAL, LOC109400267|XP_029723331.1|AEAL, LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL
OG0001217	CCAP1982_LOCUS6159|CAD6997520.1|CCAP	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL
OG0001218	CCAP1982_LOCUS3380|CAD6994645.1|CCAP	LOC109403864|XP_029723879.1|AEAL
OG0001220	CCAP1982_LOCUS21522|CAD7013457.1|CCAP	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL, LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL
OG0001221	CCAP1982_LOCUS22041|CAD7014035.1|CCAP	LOC109399239|XP_019527222.2|AEAL, LOC109429051|XP_029726541.1|AEAL, LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL
OG0001223	CCAP1982_LOCUS22608|CAD7014617.1|CCAP	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL
OG0001224	CCAP1982_LOCUS20318|CAD7012220.1|CCAP	LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL
OG0001225	CCAP1982_LOCUS21678|CAD7013628.1|CCAP	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL, LOC109423816|XP_019554406.2|AEAL, LOC109430634|XP_029735433.1|AEAL
OG0001226	CCAP1982_LOCUS21755|CAD7013718.1|CCAP, CCAP1982_LOCUS21759|CAD7013728.1|CCAP, CCAP1982_LOCUS21756|CAD7013719.1|CCAP, CCAP1982_LOCUS21757|CAD7013724.1|CCAP, CCAP1982_LOCUS21758|CAD7013727.1|CCAP, CCAP1982_LOCUS21765|CAD7013734.1|CCAP	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL
OG0001227	CCAP1982_LOCUS8848|CAD7000368.1|CCAP, CCAP1982_LOCUS8849|CAD7000369.1|CCAP	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL
OG0001229	CCAP1982_LOCUS21558|CAD7013498.1|CCAP	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL
OG0001230	CCAP1982_LOCUS22839|CAD7014875.1|CCAP	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL
OG0001231	CCAP1982_LOCUS5440|CAD6996761.1|CCAP	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL
