Orthogroup	CCAP.longest_only	DKIK.longest_only
OG0000222	CCAP1982_LOCUS6042|CAD6997401.1|CCAP	LOC108075420|XP_017023337.1|DKIK
OG0000223	CCAP1982_LOCUS14924|CAD7006616.1|CCAP	LOC108078895|XP_017028517.1|DKIK
OG0000223	CCAP1982_LOCUS11260|CAD7002787.1|CCAP	LOC108083719|XP_017035114.1|DKIK, LOC108078976|XP_017028634.1|DKIK, LOC108078975|XP_017028633.1|DKIK
OG0000224	CCAP1982_LOCUS23341|CAD7015398.1|CCAP	LOC108080913|XP_017031306.1|DKIK
OG0000224	CCAP1982_LOCUS22834|CAD7014870.1|CCAP	LOC108078338|XP_017027629.1|DKIK
OG0000225	CCAP1982_LOCUS407|CAD6991482.1|CCAP	LOC108073187|XP_017020188.1|DKIK
OG0000225	CCAP1982_LOCUS406|CAD6991481.1|CCAP	LOC108073196|XP_017020200.1|DKIK, LOC108073186|XP_017020187.1|DKIK
OG0000226	CCAP1982_LOCUS12122|CAD7003685.1|CCAP	LOC108078589|XP_017027997.1|DKIK
OG0000226	CCAP1982_LOCUS12123|CAD7003686.1|CCAP, CCAP1982_LOCUS12124|CAD7003687.1|CCAP, CCAP1982_LOCUS12125|CAD7003688.1|CCAP, CCAP1982_LOCUS12126|CAD7003689.1|CCAP, CCAP1982_LOCUS12127|CAD7003690.1|CCAP	LOC108078952|XP_017028593.1|DKIK
OG0000229	CCAP1982_LOCUS2662|CAD6993866.1|CCAP	LOC108083967|XP_017035462.1|DKIK
OG0000229	CCAP1982_LOCUS2657|CAD6993861.1|CCAP	LOC108084503|XP_017036229.1|DKIK, LOC108079522|XP_017029350.1|DKIK
OG0000229	CCAP1982_LOCUS662|CAD6991751.1|CCAP	LOC108084819|XP_017036670.1|DKIK
OG0000230	CCAP1982_LOCUS22778|CAD7014810.1|CCAP, CCAP1982_LOCUS22773|CAD7014805.1|CCAP, CCAP1982_LOCUS22776|CAD7014808.1|CCAP, CCAP1982_LOCUS22774|CAD7014806.1|CCAP, CCAP1982_LOCUS22775|CAD7014807.1|CCAP	LOC108077939|XP_017026966.1|DKIK
OG0000232	CCAP1982_LOCUS10073|CAD7001579.1|CCAP	LOC108071369|XP_017017601.1|DKIK
OG0000232	CCAP1982_LOCUS10072|CAD7001578.1|CCAP	LOC108086088|XP_017038394.1|DKIK, LOC108086057|XP_017038364.1|DKIK
OG0000233	CCAP1982_LOCUS1537|CAD6992692.1|CCAP, CCAP1982_LOCUS1509|CAD6992664.1|CCAP	LOC108073466|XP_017020595.1|DKIK
OG0000233	CCAP1982_LOCUS1504|CAD6992659.1|CCAP	LOC108072087|XP_017018589.1|DKIK, LOC108075629|XP_017023655.1|DKIK
OG0000234	CCAP1982_LOCUS21986|CAD7013977.1|CCAP	LOC108074639|XP_017022244.1|DKIK, LOC108074681|XP_017022290.1|DKIK, LOC108074680|XP_017022289.1|DKIK
OG0000235	CCAP1982_LOCUS159|CAD6991221.1|CCAP	LOC108077749|XP_017026710.1|DKIK
OG0000235	CCAP1982_LOCUS158|CAD6991220.1|CCAP	LOC108077562|XP_017026446.1|DKIK, LOC108077698|XP_017026629.1|DKIK
OG0000237	CCAP1982_LOCUS22769|CAD7014801.1|CCAP	LOC108070526|XP_017016529.1|DKIK, LOC108081306|XP_017031881.1|DKIK, LOC108076212|XP_017024441.1|DKIK, LOC108072259|XP_017018816.1|DKIK, LOC108083798|XP_017035213.1|DKIK, LOC108079357|XP_017029154.1|DKIK, LOC108085506|XP_017037618.1|DKIK
OG0000238	CCAP1982_LOCUS8003|CAD6999479.1|CCAP, CCAP1982_LOCUS8002|CAD6999478.1|CCAP	LOC108074777|XP_017022444.1|DKIK, LOC108074869|XP_017022575.1|DKIK
OG0000238	CCAP1982_LOCUS8001|CAD6999477.1|CCAP	LOC108074781|XP_017022447.1|DKIK
OG0000239	CCAP1982_LOCUS4796|CAD6996096.1|CCAP	LOC108081505|XP_017032212.1|DKIK, LOC108081219|XP_017031785.1|DKIK
OG0000240	CCAP1982_LOCUS792|CAD6991902.1|CCAP	LOC108080444|XP_017030669.1|DKIK
OG0000240	CCAP1982_LOCUS799|CAD6991910.1|CCAP	LOC108080454|XP_017030680.1|DKIK
OG0000240	CCAP1982_LOCUS8|CAD6991059.1|CCAP	LOC108080483|XP_017030725.1|DKIK
OG0000241	CCAP1982_LOCUS13490|CAD7005128.1|CCAP	LOC108083050|XP_017034167.1|DKIK, LOC108075325|XP_017023219.1|DKIK, LOC108083740|XP_017035142.1|DKIK
OG0000243	CCAP1982_LOCUS12341|CAD7003915.1|CCAP, CCAP1982_LOCUS9038|CAD7000562.1|CCAP, CCAP1982_LOCUS9030|CAD7000554.1|CCAP, CCAP1982_LOCUS9029|CAD7000553.1|CCAP, CCAP1982_LOCUS5375|CAD6996691.1|CCAP	LOC108080871|XP_017031263.1|DKIK, LOC108078595|XP_017028004.1|DKIK, LOC108070516|XP_017016504.1|DKIK, LOC108078594|XP_017028003.1|DKIK
OG0000244	CCAP1982_LOCUS1078|CAD6992206.1|CCAP	LOC108075761|XP_017023809.1|DKIK, LOC108075701|XP_017023714.1|DKIK, LOC108075759|XP_017023806.1|DKIK
OG0000246	CCAP1982_LOCUS20131|CAD7012025.1|CCAP, CCAP1982_LOCUS20129|CAD7012023.1|CCAP, CCAP1982_LOCUS20130|CAD7012024.1|CCAP	LOC108076294|XP_017024554.1|DKIK
OG0000247	CCAP1982_LOCUS10826|CAD7002340.1|CCAP	LOC108073760|XP_017021014.1|DKIK, LOC108073841|XP_017021111.1|DKIK, LOC108073761|XP_017021015.1|DKIK, LOC108074009|XP_017021360.1|DKIK, LOC108073995|XP_017021337.1|DKIK
OG0000248	CCAP1982_LOCUS12822|CAD7004411.1|CCAP	LOC108071937|XP_017018391.1|DKIK
OG0000249	CCAP1982_LOCUS6727|CAD6998115.1|CCAP	LOC108079637|XP_017029512.1|DKIK
OG0000249	CCAP1982_LOCUS6728|CAD6998116.1|CCAP	LOC108079636|XP_017029511.1|DKIK, LOC108079527|XP_017029353.1|DKIK
OG0000250	CCAP1982_LOCUS6732|CAD6998121.1|CCAP, CCAP1982_LOCUS6739|CAD6998128.1|CCAP	LOC108077227|XP_017025974.1|DKIK
OG0000250	CCAP1982_LOCUS6737|CAD6998126.1|CCAP	LOC108077296|XP_017026064.1|DKIK
OG0000252	CCAP1982_LOCUS21368|CAD7013297.1|CCAP	LOC108072272|XP_017018828.1|DKIK
OG0000252	CCAP1982_LOCUS21370|CAD7013299.1|CCAP	LOC108072253|XP_017018805.1|DKIK
OG0000252	CCAP1982_LOCUS21369|CAD7013298.1|CCAP	LOC108072268|XP_017018823.1|DKIK
OG0000255	CCAP1982_LOCUS20050|CAD7011939.1|CCAP, CCAP1982_LOCUS20046|CAD7011934.1|CCAP, CCAP1982_LOCUS20059|CAD7011948.1|CCAP, CCAP1982_LOCUS20054|CAD7011943.1|CCAP, CCAP1982_LOCUS20058|CAD7011947.1|CCAP	LOC108077954|XP_017026983.1|DKIK, LOC108074698|XP_017022328.1|DKIK
OG0000255	CCAP1982_LOCUS20060|CAD7011949.1|CCAP, CCAP1982_LOCUS20047|CAD7011935.1|CCAP, CCAP1982_LOCUS20055|CAD7011944.1|CCAP, CCAP1982_LOCUS20051|CAD7011940.1|CCAP	LOC108074697|XP_017022327.1|DKIK
OG0000256	CCAP1982_LOCUS23043|CAD7015089.1|CCAP	LOC108082489|XP_017033392.1|DKIK
OG0000256	CCAP1982_LOCUS23051|CAD7015097.1|CCAP	LOC108082589|XP_017033541.1|DKIK
OG0000257	CCAP1982_LOCUS20168|CAD7012068.1|CCAP	LOC108082626|XP_017033595.1|DKIK
OG0000260	CCAP1982_LOCUS20778|CAD7012671.1|CCAP, CCAP1982_LOCUS20779|CAD7012672.1|CCAP, CCAP1982_LOCUS405|CAD6991480.1|CCAP	LOC108070845|XP_017016965.1|DKIK, LOC108073169|XP_017020165.1|DKIK, LOC108070849|XP_017016969.1|DKIK
OG0000261	CCAP1982_LOCUS8079|CAD6999559.1|CCAP	LOC108081381|XP_017032027.1|DKIK, LOC108081380|XP_017032026.1|DKIK
OG0000262	CCAP1982_LOCUS12893|CAD7004491.1|CCAP	LOC108071577|XP_017017847.1|DKIK
OG0000262	CCAP1982_LOCUS23108|CAD7015158.1|CCAP	LOC108081794|XP_017032509.1|DKIK
OG0000263	CCAP1982_LOCUS21272|CAD7013201.1|CCAP	LOC108082318|XP_017033137.1|DKIK
OG0000263	CCAP1982_LOCUS12530|CAD7004109.1|CCAP	LOC108071576|XP_017017846.1|DKIK
OG0000264	CCAP1982_LOCUS3654|CAD6994921.1|CCAP	LOC108085319|XP_017037363.1|DKIK
OG0000267	CCAP1982_LOCUS1124|CAD6992254.1|CCAP	LOC108073743|XP_017020995.1|DKIK
OG0000267	CCAP1982_LOCUS1123|CAD6992253.1|CCAP	LOC108073671|XP_017020886.1|DKIK
OG0000268	CCAP1982_LOCUS3382|CAD6994647.1|CCAP	LOC108070643|XP_017016700.1|DKIK, LOC108070637|XP_017016692.1|DKIK
OG0000269	CCAP1982_LOCUS4016|CAD6995297.1|CCAP	LOC108071277|XP_017017458.1|DKIK
OG0000269	CCAP1982_LOCUS307|CAD6991379.1|CCAP, CCAP1982_LOCUS308|CAD6991380.1|CCAP	LOC108073190|XP_017020191.1|DKIK
OG0000270	CCAP1982_LOCUS23356|CAD7015413.1|CCAP	LOC108076210|XP_017024437.1|DKIK
OG0000271	CCAP1982_LOCUS6272|CAD6997637.1|CCAP	LOC108082245|XP_017033074.1|DKIK
OG0000272	CCAP1982_LOCUS12071|CAD7003632.1|CCAP, CCAP1982_LOCUS12064|CAD7003624.1|CCAP	LOC108070586|XP_017016631.1|DKIK
OG0000272	CCAP1982_LOCUS10299|CAD7001808.1|CCAP	LOC108079937|XP_017029970.1|DKIK
OG0000272	CCAP1982_LOCUS10300|CAD7001809.1|CCAP	LOC108072385|XP_017018983.1|DKIK
OG0000273	CCAP1982_LOCUS5117|CAD6996445.1|CCAP	LOC108077044|XP_017025666.1|DKIK
OG0000273	CCAP1982_LOCUS1020|CAD6992141.1|CCAP	LOC108077753|XP_017026715.1|DKIK
OG0000274	CCAP1982_LOCUS19962|CAD7011853.1|CCAP, CCAP1982_LOCUS19963|CAD7011854.1|CCAP, CCAP1982_LOCUS19964|CAD7011855.1|CCAP, CCAP1982_LOCUS20649|CAD7012564.1|CCAP, CCAP1982_LOCUS20651|CAD7012566.1|CCAP, CCAP1982_LOCUS20650|CAD7012565.1|CCAP	LOC108076378|XP_017024678.1|DKIK, LOC108070911|XP_017017056.1|DKIK
OG0000276	CCAP1982_LOCUS20345|CAD7012249.1|CCAP, CCAP1982_LOCUS9237|CAD7000762.1|CCAP, CCAP1982_LOCUS12976|CAD7004581.1|CCAP, CCAP1982_LOCUS20350|CAD7012254.1|CCAP, CCAP1982_LOCUS15025|CAD7006726.1|CCAP, CCAP1982_LOCUS21566|CAD7013506.1|CCAP, CCAP1982_LOCUS20346|CAD7012250.1|CCAP, CCAP1982_LOCUS20348|CAD7012252.1|CCAP, CCAP1982_LOCUS966|CAD6992086.1|CCAP, CCAP1982_LOCUS964|CAD6992084.1|CCAP, CCAP1982_LOCUS963|CAD6992083.1|CCAP, CCAP1982_LOCUS965|CAD6992085.1|CCAP, CCAP1982_LOCUS961|CAD6992081.1|CCAP, CCAP1982_LOCUS41|CAD6991094.1|CCAP, CCAP1982_LOCUS960|CAD6992080.1|CCAP, CCAP1982_LOCUS11457|CAD7002994.1|CCAP, CCAP1982_LOCUS20349|CAD7012253.1|CCAP, CCAP1982_LOCUS20327|CAD7012229.1|CCAP	LOC108082549|XP_017033478.1|DKIK, LOC108071987|XP_017018450.1|DKIK, LOC108079570|XP_017029401.1|DKIK
OG0000277	CCAP1982_LOCUS2917|CAD6994151.1|CCAP	LOC108074491|XP_017022053.1|DKIK, LOC108074492|XP_017022055.1|DKIK, LOC108073283|XP_017020327.1|DKIK, LOC108073371|XP_017020424.1|DKIK
OG0000279	CCAP1982_LOCUS11229|CAD7002755.1|CCAP, CCAP1982_LOCUS11228|CAD7002754.1|CCAP	LOC108077546|XP_017026427.1|DKIK, LOC108077549|XP_017026430.1|DKIK
OG0000280	CCAP1982_LOCUS12868|CAD7004462.1|CCAP, CCAP1982_LOCUS12865|CAD7004459.1|CCAP	LOC108083747|XP_017035152.1|DKIK, LOC108083748|XP_017035153.1|DKIK, LOC108083645|XP_017035005.1|DKIK
OG0000281	CCAP1982_LOCUS14794|CAD7006477.1|CCAP	LOC108079108|XP_017028835.1|DKIK, LOC108076576|XP_017024978.1|DKIK, LOC108085220|XP_017037240.1|DKIK
OG0000282	CCAP1982_LOCUS12266|CAD7003833.1|CCAP, CCAP1982_LOCUS12264|CAD7003831.1|CCAP	LOC108073291|XP_017020335.1|DKIK, LOC108071670|XP_017017964.1|DKIK
OG0000282	CCAP1982_LOCUS12261|CAD7003828.1|CCAP	LOC108073266|XP_017020312.1|DKIK
OG0000283	CCAP1982_LOCUS19441|CAD7011336.1|CCAP	LOC108082387|XP_017033219.1|DKIK
OG0000283	CCAP1982_LOCUS3426|CAD6994691.1|CCAP	LOC108084994|XP_017036909.1|DKIK
OG0000284	CCAP1982_LOCUS5966|CAD6997332.1|CCAP	LOC108075930|XP_017024057.1|DKIK
OG0000284	CCAP1982_LOCUS5995|CAD6997362.1|CCAP, CCAP1982_LOCUS5953|CAD6997319.1|CCAP, CCAP1982_LOCUS5957|CAD6997323.1|CCAP, CCAP1982_LOCUS5956|CAD6997322.1|CCAP, CCAP1982_LOCUS9430|CAD7000957.1|CCAP	LOC108075953|XP_017024088.1|DKIK
OG0000285	CCAP1982_LOCUS21942|CAD7013928.1|CCAP	LOC108082613|XP_017033582.1|DKIK
OG0000285	CCAP1982_LOCUS21941|CAD7013927.1|CCAP, CCAP1982_LOCUS21935|CAD7013922.1|CCAP	LOC108082604|XP_017033567.1|DKIK
OG0000286	CCAP1982_LOCUS6044|CAD6997403.1|CCAP	LOC108075409|XP_017023326.1|DKIK
OG0000286	CCAP1982_LOCUS6041|CAD6997400.1|CCAP	LOC108075432|XP_017023350.1|DKIK
OG0000286	CCAP1982_LOCUS6046|CAD6997405.1|CCAP	LOC108075434|XP_017023366.1|DKIK
OG0000288	CCAP1982_LOCUS6603|CAD6997987.1|CCAP, CCAP1982_LOCUS6604|CAD6997988.1|CCAP	LOC108086151|XP_017038505.1|DKIK, LOC108086171|XP_017038525.1|DKIK, LOC108086143|XP_017038493.1|DKIK, LOC108086134|XP_017038480.1|DKIK
OG0000289	CCAP1982_LOCUS12905|CAD7004506.1|CCAP	LOC108078570|XP_017027979.1|DKIK
OG0000289	CCAP1982_LOCUS12469|CAD7004044.1|CCAP	LOC108071869|XP_017018286.1|DKIK
OG0000289	CCAP1982_LOCUS12479|CAD7004054.1|CCAP	LOC108078571|XP_017027980.1|DKIK
OG0000292	CCAP1982_LOCUS19738|CAD7011652.1|CCAP	LOC108077952|XP_017026981.1|DKIK
OG0000292	CCAP1982_LOCUS14548|CAD7006222.1|CCAP	LOC108070424|XP_017016368.1|DKIK
OG0000293	CCAP1982_LOCUS1805|CAD6992974.1|CCAP	LOC108080970|XP_017031372.1|DKIK
OG0000293	CCAP1982_LOCUS1818|CAD6992987.1|CCAP	LOC108080907|XP_017031300.1|DKIK
OG0000294	CCAP1982_LOCUS9357|CAD7000883.1|CCAP, CCAP1982_LOCUS9356|CAD7000882.1|CCAP	LOC108075867|XP_017023958.1|DKIK
OG0000297	CCAP1982_LOCUS20965|CAD7012866.1|CCAP, CCAP1982_LOCUS20966|CAD7012867.1|CCAP, CCAP1982_LOCUS20964|CAD7012865.1|CCAP	LOC108070740|XP_017016825.1|DKIK, LOC108070805|XP_017016895.1|DKIK
OG0000299	CCAP1982_LOCUS2375|CAD6993563.1|CCAP	LOC108074087|XP_017021458.1|DKIK
OG0000299	CCAP1982_LOCUS2378|CAD6993566.1|CCAP, CCAP1982_LOCUS2379|CAD6993567.1|CCAP	LOC108074108|XP_017021494.1|DKIK, LOC108074100|XP_017021484.1|DKIK
OG0000300	CCAP1982_LOCUS14184|CAD7005840.1|CCAP, CCAP1982_LOCUS14186|CAD7005842.1|CCAP	LOC108080622|XP_017030935.1|DKIK, LOC108080562|XP_017030856.1|DKIK, LOC108080561|XP_017030855.1|DKIK
OG0000301	CCAP1982_LOCUS10127|CAD7001633.1|CCAP	LOC108082627|XP_017033598.1|DKIK
OG0000301	CCAP1982_LOCUS8306|CAD6999785.1|CCAP	LOC108079664|XP_017029550.1|DKIK
OG0000302	CCAP1982_LOCUS10823|CAD7002335.1|CCAP	LOC108085812|XP_017038051.1|DKIK
OG0000302	CCAP1982_LOCUS11854|CAD7003397.1|CCAP	LOC108085813|XP_017038052.1|DKIK
OG0000303	CCAP1982_LOCUS9710|CAD7001212.1|CCAP	LOC108073832|XP_017021100.1|DKIK, LOC108082962|XP_017034073.1|DKIK, LOC108079673|XP_017029560.1|DKIK
OG0000304	CCAP1982_LOCUS899|CAD6992014.1|CCAP	LOC108085056|XP_017037005.1|DKIK, LOC108084904|XP_017036788.1|DKIK
OG0000305	CCAP1982_LOCUS13487|CAD7005125.1|CCAP	LOC108083033|XP_017034151.1|DKIK
OG0000305	CCAP1982_LOCUS13486|CAD7005124.1|CCAP	LOC108083039|XP_017034158.1|DKIK
OG0000305	CCAP1982_LOCUS13485|CAD7005123.1|CCAP	LOC108082983|XP_017034094.1|DKIK
OG0000307	CCAP1982_LOCUS4947|CAD6996264.1|CCAP	LOC108084833|XP_017036688.1|DKIK
OG0000307	CCAP1982_LOCUS2700|CAD6993908.1|CCAP	LOC108083682|XP_017035048.1|DKIK
OG0000312	CCAP1982_LOCUS5594|CAD6996924.1|CCAP	LOC108082222|XP_017033048.1|DKIK
OG0000312	CCAP1982_LOCUS8736|CAD7000244.1|CCAP	LOC108074344|XP_017021857.1|DKIK
OG0000313	CCAP1982_LOCUS6026|CAD6997385.1|CCAP	LOC108074817|XP_017022504.1|DKIK
OG0000313	CCAP1982_LOCUS6027|CAD6997386.1|CCAP	LOC108085300|XP_017037347.1|DKIK
OG0000314	CCAP1982_LOCUS7021|CAD6998421.1|CCAP	LOC108082107|XP_017032891.1|DKIK, LOC108082217|XP_017033039.1|DKIK
OG0000315	CCAP1982_LOCUS9179|CAD7000706.1|CCAP	LOC108086123|XP_017038460.1|DKIK, LOC108086048|XP_017038356.1|DKIK, LOC108086121|XP_017038458.1|DKIK
OG0000316	CCAP1982_LOCUS21932|CAD7013919.1|CCAP	LOC108082363|XP_017033192.1|DKIK
OG0000320	CCAP1982_LOCUS3506|CAD6994775.1|CCAP	LOC108085002|XP_017036920.1|DKIK, LOC108079589|XP_017029423.1|DKIK, LOC108084924|XP_017036810.1|DKIK
OG0000321	CCAP1982_LOCUS5968|CAD6997334.1|CCAP	LOC108082006|XP_017032749.1|DKIK
OG0000321	CCAP1982_LOCUS6789|CAD6998173.1|CCAP	LOC108082007|XP_017032751.1|DKIK
OG0000323	CCAP1982_LOCUS7856|CAD6999329.1|CCAP	LOC108085289|XP_017037335.1|DKIK
OG0000323	CCAP1982_LOCUS2694|CAD6993901.1|CCAP	LOC108084527|XP_017036252.1|DKIK
OG0000324	CCAP1982_LOCUS20550|CAD7012470.1|CCAP, CCAP1982_LOCUS20551|CAD7012471.1|CCAP	LOC108070858|XP_017016978.1|DKIK
OG0000325	CCAP1982_LOCUS14564|CAD7006238.1|CCAP	LOC108085496|XP_017037605.1|DKIK
OG0000325	CCAP1982_LOCUS14537|CAD7006209.1|CCAP, CCAP1982_LOCUS14573|CAD7006247.1|CCAP	LOC108085492|XP_017037600.1|DKIK
OG0000327	CCAP1982_LOCUS21685|CAD7013638.1|CCAP, CCAP1982_LOCUS21684|CAD7013637.1|CCAP, CCAP1982_LOCUS21688|CAD7013644.1|CCAP	LOC108076592|XP_017024994.1|DKIK, LOC108076806|XP_017025321.1|DKIK, LOC108074476|XP_017022037.1|DKIK
OG0000328	CCAP1982_LOCUS11450|CAD7002987.1|CCAP	LOC108070748|XP_017016834.1|DKIK, LOC108070870|XP_017016994.1|DKIK, LOC108070747|XP_017016833.1|DKIK, LOC108071872|XP_017018288.1|DKIK, LOC108071873|XP_017018289.1|DKIK
OG0000331	CCAP1982_LOCUS7694|CAD6999156.1|CCAP	LOC108076863|XP_017025382.1|DKIK, LOC108076947|XP_017025484.1|DKIK, LOC108077184|XP_017025914.1|DKIK
OG0000332	CCAP1982_LOCUS2276|CAD6993463.1|CCAP	LOC108075150|XP_017022924.1|DKIK
OG0000333	CCAP1982_LOCUS14968|CAD7006666.1|CCAP	LOC108078789|XP_017028332.1|DKIK, LOC108071648|XP_017017927.1|DKIK
OG0000333	CCAP1982_LOCUS14967|CAD7006665.1|CCAP	LOC108075191|XP_017023015.1|DKIK
OG0000334	CCAP1982_LOCUS20995|CAD7012896.1|CCAP, CCAP1982_LOCUS19902|CAD7011792.1|CCAP	LOC108076452|XP_017024817.1|DKIK
OG0000335	CCAP1982_LOCUS6099|CAD6997453.1|CCAP	LOC108072517|XP_017019177.1|DKIK
OG0000335	CCAP1982_LOCUS6100|CAD6997454.1|CCAP	LOC108072562|XP_017019233.1|DKIK
OG0000336	CCAP1982_LOCUS705|CAD6991802.1|CCAP	LOC108072032|XP_017018504.1|DKIK, LOC108072108|XP_017018619.1|DKIK, LOC108072107|XP_017018617.1|DKIK
OG0000337	CCAP1982_LOCUS4380|CAD6995673.1|CCAP	LOC108083617|XP_017034976.1|DKIK, LOC108071688|XP_017017990.1|DKIK, LOC108077472|XP_017026280.1|DKIK
OG0000338	CCAP1982_LOCUS10874|CAD7002380.1|CCAP	LOC108079873|XP_017029873.1|DKIK
OG0000338	CCAP1982_LOCUS23221|CAD7015274.1|CCAP	LOC108085131|XP_017037124.1|DKIK
OG0000339	CCAP1982_LOCUS14878|CAD7006564.1|CCAP	LOC108078640|XP_017028057.1|DKIK
OG0000340	CCAP1982_LOCUS19733|CAD7011646.1|CCAP	LOC108078314|XP_017027601.1|DKIK
OG0000343	CCAP1982_LOCUS1051|CAD6992177.1|CCAP	LOC108073419|XP_017020526.1|DKIK
OG0000344	CCAP1982_LOCUS22694|CAD7014712.1|CCAP	LOC108073061|XP_017020019.1|DKIK
OG0000344	CCAP1982_LOCUS2029|CAD6993210.1|CCAP	LOC108084949|XP_017036838.1|DKIK
OG0000345	CCAP1982_LOCUS22702|CAD7014723.1|CCAP	LOC108076701|XP_017025148.1|DKIK
OG0000345	CCAP1982_LOCUS20163|CAD7012061.1|CCAP	LOC108081793|XP_017032500.1|DKIK
OG0000346	CCAP1982_LOCUS21350|CAD7013279.1|CCAP	LOC108078285|XP_017027542.1|DKIK, LOC108080433|XP_017030655.1|DKIK
OG0000347	CCAP1982_LOCUS12932|CAD7004535.1|CCAP	LOC108083140|XP_017034311.1|DKIK
OG0000347	CCAP1982_LOCUS8872|CAD7000397.1|CCAP	LOC108074444|XP_017021971.1|DKIK
OG0000349	CCAP1982_LOCUS5504|CAD6996831.1|CCAP, CCAP1982_LOCUS5503|CAD6996830.1|CCAP	LOC108072608|XP_017019320.1|DKIK
OG0000350	CCAP1982_LOCUS13445|CAD7005081.1|CCAP	LOC108073774|XP_017021030.1|DKIK, LOC108073805|XP_017021068.1|DKIK
OG0000350	CCAP1982_LOCUS13444|CAD7005080.1|CCAP	LOC108084987|XP_017036900.1|DKIK
OG0000351	CCAP1982_LOCUS19932|CAD7011822.1|CCAP	LOC108072382|XP_017018971.1|DKIK
OG0000353	CCAP1982_LOCUS1631|CAD6992792.1|CCAP, CCAP1982_LOCUS1641|CAD6992802.1|CCAP, CCAP1982_LOCUS1649|CAD6992810.1|CCAP	LOC108085031|XP_017036967.1|DKIK
OG0000353	CCAP1982_LOCUS5604|CAD6996934.1|CCAP	LOC108075892|XP_017023995.1|DKIK
OG0000354	CCAP1982_LOCUS8239|CAD6999713.1|CCAP	LOC108074538|XP_017022115.1|DKIK
OG0000355	CCAP1982_LOCUS21870|CAD7013851.1|CCAP	LOC108076779|XP_017025271.1|DKIK
OG0000355	CCAP1982_LOCUS21864|CAD7013844.1|CCAP	LOC108070928|XP_017017068.1|DKIK
OG0000356	CCAP1982_LOCUS21448|CAD7013383.1|CCAP, CCAP1982_LOCUS21447|CAD7013382.1|CCAP	LOC108079649|XP_017029531.1|DKIK, LOC108079534|XP_017029359.1|DKIK
OG0000357	CCAP1982_LOCUS21709|CAD7013666.1|CCAP, CCAP1982_LOCUS4449|CAD6995745.1|CCAP, CCAP1982_LOCUS6423|CAD6997798.1|CCAP, CCAP1982_LOCUS21227|CAD7013156.1|CCAP, CCAP1982_LOCUS9343|CAD7000869.1|CCAP, CCAP1982_LOCUS11160|CAD7002676.1|CCAP, CCAP1982_LOCUS9285|CAD7000810.1|CCAP, CCAP1982_LOCUS10331|CAD7001841.1|CCAP	LOC108079465|XP_017029299.1|DKIK
OG0000359	CCAP1982_LOCUS14692|CAD7006370.1|CCAP	LOC108082980|XP_017034091.1|DKIK, LOC108082967|XP_017034079.1|DKIK, LOC108082966|XP_017034078.1|DKIK, LOC108082964|XP_017034075.1|DKIK
OG0000361	CCAP1982_LOCUS5571|CAD6996898.1|CCAP	LOC108083664|XP_017035029.1|DKIK, LOC108072180|XP_017018728.1|DKIK, LOC108074652|XP_017022260.1|DKIK, LOC108076860|XP_017025379.1|DKIK
OG0000362	CCAP1982_LOCUS13419|CAD7005048.1|CCAP	LOC108085509|XP_017037625.1|DKIK
OG0000362	CCAP1982_LOCUS14636|CAD7006314.1|CCAP	LOC108083316|XP_017034542.1|DKIK
OG0000363	CCAP1982_LOCUS4780|CAD6996073.1|CCAP	LOC108081049|XP_017031508.1|DKIK
OG0000363	CCAP1982_LOCUS11893|CAD7003437.1|CCAP, CCAP1982_LOCUS11894|CAD7003438.1|CCAP	LOC108078917|XP_017028543.1|DKIK
OG0000364	CCAP1982_LOCUS11310|CAD7002841.1|CCAP, CCAP1982_LOCUS11307|CAD7002837.1|CCAP, CCAP1982_LOCUS11309|CAD7002840.1|CCAP	LOC108074974|XP_017022696.1|DKIK
OG0000364	CCAP1982_LOCUS11295|CAD7002825.1|CCAP, CCAP1982_LOCUS11297|CAD7002827.1|CCAP	LOC108075035|XP_017022780.1|DKIK
OG0000365	CCAP1982_LOCUS22064|CAD7014056.1|CCAP	LOC108076827|XP_017025350.1|DKIK
OG0000365	CCAP1982_LOCUS7434|CAD6998887.1|CCAP	LOC108076900|XP_017025429.1|DKIK
OG0000366	CCAP1982_LOCUS89|CAD6991147.1|CCAP	LOC108077678|XP_017026589.1|DKIK
OG0000367	CCAP1982_LOCUS7492|CAD6998946.1|CCAP	LOC108078846|XP_017028430.1|DKIK
OG0000367	CCAP1982_LOCUS20529|CAD7012448.1|CCAP	LOC108076616|XP_017025028.1|DKIK
OG0000368	CCAP1982_LOCUS13421|CAD7005051.1|CCAP	LOC108073834|XP_017021102.1|DKIK
OG0000368	CCAP1982_LOCUS14032|CAD7005679.1|CCAP	LOC108073870|XP_017021146.1|DKIK
OG0000378	CCAP1982_LOCUS6736|CAD6998125.1|CCAP	LOC108084242|XP_017035869.1|DKIK
OG0000379	CCAP1982_LOCUS21660|CAD7013606.1|CCAP	LOC108070907|XP_017017052.1|DKIK, LOC108070909|XP_017017053.1|DKIK, LOC108070876|XP_017017009.1|DKIK
OG0000380	CCAP1982_LOCUS12649|CAD7004230.1|CCAP	LOC108071660|XP_017017953.1|DKIK
OG0000381	CCAP1982_LOCUS5374|CAD6996690.1|CCAP	LOC108082838|XP_017033892.1|DKIK
OG0000383	CCAP1982_LOCUS8613|CAD7000118.1|CCAP	LOC108074604|XP_017022209.1|DKIK
