Orthogroup	CCAP.longest_only	DSIM.longest_only
OG0002049	CCAP1982_LOCUS4976|CAD6996293.1|CCAP	LOC6728517|XP_016035172.2|DSIM
OG0002050	CCAP1982_LOCUS5116|CAD6996444.1|CCAP	LOC6727915|XP_039150663.1|DSIM
OG0002051	CCAP1982_LOCUS22484|CAD7014482.1|CCAP	LOC27208216|XP_016027029.1|DSIM
OG0002052	CCAP1982_LOCUS14831|CAD7006517.1|CCAP	LOC6738308|XP_002085119.1|DSIM
OG0002053	CCAP1982_LOCUS268|CAD6991339.1|CCAP	LOC6739701|XP_039151298.1|DSIM
OG0002054	CCAP1982_LOCUS2427|CAD6993617.1|CCAP	LOC6726853|XP_002102255.2|DSIM
OG0002055	CCAP1982_LOCUS382|CAD6991457.1|CCAP	LOC6728446|XP_016035057.1|DSIM
OG0002056	CCAP1982_LOCUS10781|CAD7002289.1|CCAP	LOC6737838|XP_002084666.2|DSIM
OG0002057	CCAP1982_LOCUS7071|CAD6998476.1|CCAP	LOC6731841|XP_002078976.1|DSIM
OG0002058	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP	LOC6736210|XP_002083105.1|DSIM
OG0002059	CCAP1982_LOCUS862|CAD6991975.1|CCAP	LOC6729620|XP_002104928.1|DSIM
OG0002060	CCAP1982_LOCUS20652|CAD7012567.1|CCAP	LOC6734527|XP_016027644.1|DSIM
OG0002061	CCAP1982_LOCUS21100|CAD7013011.1|CCAP	LOC6736012|XP_016029388.1|DSIM
OG0002065	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP	LOC6736522|XP_016030107.1|DSIM
OG0002066	CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP	LOC6727872|XP_016034465.1|DSIM
OG0002067	CCAP1982_LOCUS20152|CAD7012050.1|CCAP	LOC6735946|XP_002082855.1|DSIM
OG0002068	CCAP1982_LOCUS21706|CAD7013663.1|CCAP	LOC6735143|XP_002082120.2|DSIM
OG0002070	CCAP1982_LOCUS603|CAD6991690.1|CCAP	LOC6728589|XP_002103930.1|DSIM
OG0002071	CCAP1982_LOCUS2429|CAD6993619.1|CCAP	LOC6729504|XP_016036177.1|DSIM
OG0002072	CCAP1982_LOCUS22664|CAD7014680.1|CCAP	LOC6734692|XP_016027890.1|DSIM
OG0002073	CCAP1982_LOCUS12294|CAD7003864.1|CCAP	LOC6738107|XP_016031936.1|DSIM
OG0002074	CCAP1982_LOCUS19998|CAD7011886.1|CCAP	LOC6734586|XP_002081594.1|DSIM
OG0002076	CCAP1982_LOCUS20493|CAD7012405.1|CCAP	LOC6735790|XP_016029164.1|DSIM
OG0002077	CCAP1982_LOCUS20706|CAD7012622.1|CCAP, CCAP1982_LOCUS20719|CAD7012632.1|CCAP	LOC6736295|XP_016029774.1|DSIM
OG0002078	CCAP1982_LOCUS11090|CAD7002606.1|CCAP, CCAP1982_LOCUS19774|CAD7011690.1|CCAP	LOC6734373|XP_016027451.1|DSIM
OG0002079	CCAP1982_LOCUS13468|CAD7005106.1|CCAP, CCAP1982_LOCUS13467|CAD7005105.1|CCAP, CCAP1982_LOCUS13469|CAD7005107.1|CCAP	LOC6738801|XP_016032612.1|DSIM
OG0002081	CCAP1982_LOCUS19470|CAD7011368.1|CCAP	LOC6736031|XP_016029425.1|DSIM
OG0002082	CCAP1982_LOCUS20250|CAD7012153.1|CCAP	LOC6734812|XP_016028030.1|DSIM
OG0002084	CCAP1982_LOCUS20885|CAD7012782.1|CCAP	LOC6735856|XP_002082766.2|DSIM
OG0002085	CCAP1982_LOCUS20467|CAD7012373.1|CCAP	LOC6735694|XP_016029071.1|DSIM
OG0002086	CCAP1982_LOCUS20236|CAD7012138.1|CCAP	LOC27208273|XP_016028957.1|DSIM
OG0002087	CCAP1982_LOCUS318|CAD6991391.1|CCAP, CCAP1982_LOCUS324|CAD6991397.1|CCAP, CCAP1982_LOCUS14474|CAD7006146.1|CCAP, CCAP1982_LOCUS14470|CAD7006142.1|CCAP	LOC6738754|XP_016032565.1|DSIM
OG0002088	CCAP1982_LOCUS13994|CAD7005636.1|CCAP, CCAP1982_LOCUS13982|CAD7005624.1|CCAP, CCAP1982_LOCUS13981|CAD7005623.1|CCAP, CCAP1982_LOCUS13995|CAD7005637.1|CCAP	LOC6738878|XP_016032698.1|DSIM
OG0002089	CCAP1982_LOCUS19383|CAD7011275.1|CCAP	LOC6733593|XP_016026553.1|DSIM
OG0002090	CCAP1982_LOCUS14391|CAD7006056.1|CCAP	LOC6737913|XP_016031685.1|DSIM
OG0002091	CCAP1982_LOCUS19481|CAD7011380.1|CCAP	LOC6736037|XP_002082939.1|DSIM
OG0002092	CCAP1982_LOCUS14442|CAD7006110.1|CCAP	LOC6738330|XP_016032176.1|DSIM
OG0002093	CCAP1982_LOCUS19982|CAD7011870.1|CCAP, CCAP1982_LOCUS19983|CAD7011871.1|CCAP, CCAP1982_LOCUS19984|CAD7011872.1|CCAP	LOC6735668|XP_016029033.1|DSIM
OG0002094	CCAP1982_LOCUS20508|CAD7012424.1|CCAP	LOC6735957|XP_002082866.1|DSIM
OG0002096	CCAP1982_LOCUS20399|CAD7012303.1|CCAP	LOC6734491|XP_039148502.1|DSIM
OG0002097	CCAP1982_LOCUS20691|CAD7012607.1|CCAP	LOC6733737|XP_016026703.1|DSIM
OG0002098	CCAP1982_LOCUS11791|CAD7003331.1|CCAP	LOC6739032|XP_016032871.1|DSIM
OG0002099	CCAP1982_LOCUS1590|CAD6992745.1|CCAP	LOC6728944|XP_002104272.1|DSIM
OG0002100	CCAP1982_LOCUS13404|CAD7005032.1|CCAP	LOC6738151|XP_016031982.2|DSIM
OG0002101	CCAP1982_LOCUS20972|CAD7012873.1|CCAP	LOC6733526|XP_039148618.1|DSIM
OG0002102	CCAP1982_LOCUS20632|CAD7012547.1|CCAP	LOC6735372|XP_016028701.1|DSIM
OG0002103	CCAP1982_LOCUS1632|CAD6992793.1|CCAP, CCAP1982_LOCUS1642|CAD6992803.1|CCAP	LOC6739698|XP_016035627.2|DSIM
OG0002105	CCAP1982_LOCUS10109|CAD7001615.1|CCAP	LOC6730532|XP_002077711.1|DSIM
OG0002106	CCAP1982_LOCUS11799|CAD7003340.1|CCAP, CCAP1982_LOCUS1564|CAD6992719.1|CCAP, CCAP1982_LOCUS1559|CAD6992714.1|CCAP	LOC27208555|XP_039151493.1|DSIM
OG0002107	CCAP1982_LOCUS10008|CAD7001511.1|CCAP, CCAP1982_LOCUS9526|CAD7001054.1|CCAP, CCAP1982_LOCUS10007|CAD7001510.1|CCAP, CCAP1982_LOCUS10009|CAD7001512.1|CCAP, CCAP1982_LOCUS9531|CAD7001059.1|CCAP, CCAP1982_LOCUS10003|CAD7001506.1|CCAP, CCAP1982_LOCUS10006|CAD7001509.1|CCAP, CCAP1982_LOCUS9516|CAD7001044.1|CCAP, CCAP1982_LOCUS9271|CAD7000796.1|CCAP, CCAP1982_LOCUS9273|CAD7000798.1|CCAP, CCAP1982_LOCUS9272|CAD7000797.1|CCAP, CCAP1982_LOCUS9530|CAD7001058.1|CCAP, CCAP1982_LOCUS7926|CAD6999400.1|CCAP	LOC6731878|XP_016024551.1|DSIM
OG0002108	CCAP1982_LOCUS3025|CAD6994264.1|CCAP	LOC6727713|XP_016034286.1|DSIM
OG0002109	CCAP1982_LOCUS1350|CAD6992499.1|CCAP	LOC6730325|XP_002105607.1|DSIM, LOC6730326|XP_016037088.1|DSIM
OG0002110	CCAP1982_LOCUS14266|CAD7005928.1|CCAP, CCAP1982_LOCUS11344|CAD7002875.1|CCAP, CCAP1982_LOCUS2317|CAD6993504.1|CCAP	LOC6738654|XP_002085456.1|DSIM, LOC6732226|XP_002079355.1|DSIM
OG0002117	CCAP1982_LOCUS9994|CAD7001497.1|CCAP, CCAP1982_LOCUS9998|CAD7001501.1|CCAP	LOC6735264|XP_002082234.1|DSIM
OG0002118	CCAP1982_LOCUS4162|CAD6995445.1|CCAP	LOC6739812|XP_039150279.1|DSIM
OG0002119	CCAP1982_LOCUS1582|CAD6992737.1|CCAP	LOC6729516|XP_016036189.1|DSIM
OG0002120	CCAP1982_LOCUS9323|CAD7000849.1|CCAP, CCAP1982_LOCUS9817|CAD7001320.1|CCAP	LOC6724743|XP_016037431.1|DSIM
OG0002121	CCAP1982_LOCUS38|CAD6991090.1|CCAP, CCAP1982_LOCUS37|CAD6991089.1|CCAP	LOC6730033|XP_016036798.1|DSIM
OG0002123	CCAP1982_LOCUS8567|CAD7000064.1|CCAP, CCAP1982_LOCUS8568|CAD7000065.1|CCAP	LOC6731397|XP_016024014.1|DSIM
OG0002125	CCAP1982_LOCUS19878|CAD7011766.1|CCAP, CCAP1982_LOCUS19879|CAD7011767.1|CCAP	LOC6734570|XP_039148662.1|DSIM
OG0002126	CCAP1982_LOCUS14264|CAD7005926.1|CCAP	LOC6738909|XP_002085704.1|DSIM
OG0002129	CCAP1982_LOCUS1207|CAD6992343.1|CCAP	LOC6727529|XP_016034108.1|DSIM
OG0002131	CCAP1982_LOCUS1884|CAD6993052.1|CCAP	LOC6727580|XP_002102959.1|DSIM
OG0002132	CCAP1982_LOCUS5552|CAD6996879.1|CCAP	LOC6731746|XP_016024420.1|DSIM
OG0002136	CCAP1982_LOCUS2138|CAD6993322.1|CCAP	LOC6730133|XP_016036900.1|DSIM
OG0002142	CCAP1982_LOCUS1997|CAD6993175.1|CCAP	LOC6726685|XP_002102096.1|DSIM
OG0002143	CCAP1982_LOCUS9161|CAD7000687.1|CCAP	LOC6730540|XP_016022991.1|DSIM
OG0002144	CCAP1982_LOCUS13418|CAD7005047.1|CCAP	LOC6724710|XP_039152013.1|DSIM
OG0002145	CCAP1982_LOCUS622|CAD6991709.1|CCAP	LOC6727367|XP_016033907.1|DSIM
OG0002146	CCAP1982_LOCUS1665|CAD6992828.1|CCAP	LOC6726687|XP_002102098.1|DSIM
OG0002148	CCAP1982_LOCUS13092|CAD7004699.1|CCAP	LOC27209428|XP_016030222.1|DSIM
OG0002149	CCAP1982_LOCUS10222|CAD7001732.1|CCAP, CCAP1982_LOCUS10223|CAD7001733.1|CCAP, CCAP1982_LOCUS10221|CAD7001731.1|CCAP	LOC6724732|XP_039152114.1|DSIM
OG0002152	CCAP1982_LOCUS2091|CAD6993275.1|CCAP	LOC27208488|XP_016034152.1|DSIM
OG0002153	CCAP1982_LOCUS1613|CAD6992772.1|CCAP	LOC6730079|XP_039151874.1|DSIM
OG0002154	CCAP1982_LOCUS6308|CAD6997677.1|CCAP	LOC6739913|XP_002076803.1|DSIM
OG0002155	CCAP1982_LOCUS1752|CAD6992919.1|CCAP, CCAP1982_LOCUS1751|CAD6992918.1|CCAP, CCAP1982_LOCUS1753|CAD6992920.1|CCAP	LOC6730274|XP_002105557.1|DSIM
OG0002156	CCAP1982_LOCUS13759|CAD7005399.1|CCAP	LOC6739143|XP_016032994.1|DSIM
OG0002157	CCAP1982_LOCUS4056|CAD6995338.1|CCAP	LOC6728259|XP_016034895.1|DSIM
OG0002159	CCAP1982_LOCUS2713|CAD6993925.1|CCAP	LOC6735868|XP_016029230.1|DSIM
OG0002160	CCAP1982_LOCUS3058|CAD6994297.1|CCAP	LOC6727176|XP_002102568.3|DSIM
OG0002161	CCAP1982_LOCUS1659|CAD6992820.1|CCAP	LOC6727507|XP_002102887.1|DSIM
OG0002162	CCAP1982_LOCUS2186|CAD6993368.1|CCAP, CCAP1982_LOCUS2185|CAD6993367.1|CCAP	LOC6728669|XP_016035328.1|DSIM
OG0002164	CCAP1982_LOCUS11815|CAD7003356.1|CCAP	LOC6729638|XP_016036280.1|DSIM
OG0002165	CCAP1982_LOCUS3691|CAD6994959.1|CCAP	LOC6732579|XP_002079698.1|DSIM
OG0002166	CCAP1982_LOCUS6734|CAD6998123.1|CCAP	LOC6732140|XP_002079272.2|DSIM
OG0002167	CCAP1982_LOCUS19368|CAD7011260.1|CCAP	LOC6735226|XP_002082199.1|DSIM
OG0002169	CCAP1982_LOCUS12749|CAD7004330.1|CCAP	LOC6737480|XP_002084316.1|DSIM
OG0002170	CCAP1982_LOCUS10174|CAD7001683.1|CCAP, CCAP1982_LOCUS10177|CAD7001687.1|CCAP	LOC6724690|XP_016037213.1|DSIM
OG0002171	CCAP1982_LOCUS3355|CAD6994620.1|CCAP	LOC27208656|XP_016035960.1|DSIM
OG0002172	CCAP1982_LOCUS2672|CAD6993878.1|CCAP, CCAP1982_LOCUS2670|CAD6993876.1|CCAP	LOC6729200|XP_039151399.1|DSIM
OG0002173	CCAP1982_LOCUS7908|CAD6999382.1|CCAP	LOC6731901|XP_002079036.1|DSIM
OG0002174	CCAP1982_LOCUS2681|CAD6993887.1|CCAP	LOC6728087|XP_002103439.2|DSIM
OG0002175	CCAP1982_LOCUS2682|CAD6993889.1|CCAP	LOC6728088|XP_002103440.2|DSIM
OG0002176	CCAP1982_LOCUS1364|CAD6992515.1|CCAP	LOC6727498|XP_002102878.1|DSIM
OG0002177	CCAP1982_LOCUS3852|CAD6995130.1|CCAP	LOC6727800|XP_016034388.1|DSIM
OG0002178	CCAP1982_LOCUS1381|CAD6992532.1|CCAP	LOC6729830|XP_039151126.1|DSIM
OG0002179	CCAP1982_LOCUS3487|CAD6994754.1|CCAP	LOC6729552|XP_016036221.1|DSIM
OG0002180	CCAP1982_LOCUS1104|CAD6992234.1|CCAP, CCAP1982_LOCUS1116|CAD6992246.1|CCAP	LOC6730212|XP_016036962.1|DSIM
OG0002182	CCAP1982_LOCUS1440|CAD6992591.1|CCAP	LOC6727155|XP_016033639.1|DSIM
OG0002183	CCAP1982_LOCUS19379|CAD7011271.1|CCAP	LOC6735237|XP_039147537.1|DSIM
OG0002184	CCAP1982_LOCUS9213|CAD7000740.1|CCAP, CCAP1982_LOCUS2019|CAD6993197.1|CCAP	LOC6728136|XP_002103487.2|DSIM
OG0002185	CCAP1982_LOCUS3699|CAD6994967.1|CCAP	LOC6727973|XP_016034565.1|DSIM
OG0002186	CCAP1982_LOCUS2857|CAD6994088.1|CCAP	LOC6731153|XP_002078311.1|DSIM
OG0002187	CCAP1982_LOCUS3865|CAD6995142.1|CCAP	LOC6729112|XP_002104433.1|DSIM
OG0002188	CCAP1982_LOCUS19577|CAD7011477.1|CCAP	LOC6735997|XP_016029372.1|DSIM
OG0002189	CCAP1982_LOCUS4100|CAD6995382.1|CCAP	LOC27206978|XP_039150284.1|DSIM
OG0002191	CCAP1982_LOCUS13802|CAD7005442.1|CCAP	LOC6738903|XP_002085698.1|DSIM
OG0002192	CCAP1982_LOCUS14127|CAD7005778.1|CCAP	LOC6738582|XP_002085386.1|DSIM
OG0002193	CCAP1982_LOCUS3660|CAD6994927.1|CCAP	LOC6728649|XP_002103989.2|DSIM
OG0002194	CCAP1982_LOCUS2698|CAD6993906.1|CCAP	LOC6729856|XP_002105159.1|DSIM
OG0002195	CCAP1982_LOCUS2686|CAD6993893.1|CCAP, CCAP1982_LOCUS2687|CAD6993894.1|CCAP	LOC6729341|XP_016035982.1|DSIM
OG0002197	CCAP1982_LOCUS3658|CAD6994925.1|CCAP	LOC6736199|XP_002083094.1|DSIM
OG0002198	CCAP1982_LOCUS4689|CAD6995982.1|CCAP	LOC6727135|XP_039151853.1|DSIM
OG0002199	CCAP1982_LOCUS2211|CAD6993395.1|CCAP	LOC6728962|XP_002104290.1|DSIM
OG0002200	CCAP1982_LOCUS3278|CAD6994535.1|CCAP, CCAP1982_LOCUS3279|CAD6994536.1|CCAP, CCAP1982_LOCUS3251|CAD6994507.1|CCAP	LOC6740526|XP_002077352.2|DSIM
OG0002202	CCAP1982_LOCUS1281|CAD6992417.1|CCAP	LOC27206314|XP_016034787.1|DSIM
OG0002203	CCAP1982_LOCUS2054|CAD6993237.1|CCAP	LOC6728084|XP_016034708.1|DSIM
OG0002204	CCAP1982_LOCUS1580|CAD6992735.1|CCAP	LOC6729515|XP_016036188.1|DSIM
OG0002205	CCAP1982_LOCUS2381|CAD6993569.1|CCAP	LOC6728242|XP_002103591.1|DSIM
OG0002206	CCAP1982_LOCUS1459|CAD6992610.1|CCAP	LOC6729146|XP_016035793.1|DSIM
OG0002207	CCAP1982_LOCUS2900|CAD6994134.1|CCAP	LOC27206425|XP_016036694.1|DSIM
OG0002208	CCAP1982_LOCUS2891|CAD6994125.1|CCAP	LOC6729930|XP_016036692.1|DSIM
OG0002209	CCAP1982_LOCUS21453|CAD7013388.1|CCAP	LOC6725287|XP_002106308.2|DSIM
OG0002210	CCAP1982_LOCUS2579|CAD6993781.1|CCAP	LOC6726894|XP_016033404.2|DSIM
OG0002211	CCAP1982_LOCUS2365|CAD6993553.1|CCAP	LOC6728231|XP_016034868.1|DSIM
OG0002212	CCAP1982_LOCUS3299|CAD6994559.1|CCAP	LOC6727503|XP_002102883.1|DSIM
OG0002213	CCAP1982_LOCUS4071|CAD6995352.1|CCAP	LOC6726990|XP_002102391.1|DSIM
OG0002214	CCAP1982_LOCUS3903|CAD6995182.1|CCAP	LOC6728994|XP_016035659.1|DSIM
OG0002215	CCAP1982_LOCUS1788|CAD6992956.1|CCAP, CCAP1982_LOCUS1791|CAD6992959.1|CCAP, CCAP1982_LOCUS1790|CAD6992958.1|CCAP	LOC6728055|XP_039150741.1|DSIM
OG0002216	CCAP1982_LOCUS20225|CAD7012126.1|CCAP	LOC6730075|XP_002105368.1|DSIM
OG0002217	CCAP1982_LOCUS1629|CAD6992790.1|CCAP, CCAP1982_LOCUS1647|CAD6992808.1|CCAP, CCAP1982_LOCUS1640|CAD6992801.1|CCAP, CCAP1982_LOCUS1630|CAD6992791.1|CCAP, CCAP1982_LOCUS1648|CAD6992809.1|CCAP	LOC6728070|XP_016034688.1|DSIM
OG0002219	CCAP1982_LOCUS3325|CAD6994586.1|CCAP, CCAP1982_LOCUS2338|CAD6993526.1|CCAP	LOC6728216|XP_016034855.1|DSIM
OG0002220	CCAP1982_LOCUS14529|CAD7006201.1|CCAP	LOC6728215|XP_016034854.2|DSIM
OG0002221	CCAP1982_LOCUS11417|CAD7002953.1|CCAP, CCAP1982_LOCUS11418|CAD7002954.1|CCAP	LOC6737456|XP_016031225.1|DSIM
OG0002222	CCAP1982_LOCUS22828|CAD7014862.1|CCAP, CCAP1982_LOCUS22827|CAD7014861.1|CCAP	LOC6736086|XP_016029483.1|DSIM
OG0002223	CCAP1982_LOCUS23412|CAD7015472.1|CCAP, CCAP1982_LOCUS23413|CAD7015473.1|CCAP	LOC6734758|XP_039148130.1|DSIM
OG0002224	CCAP1982_LOCUS22630|CAD7014640.1|CCAP, CCAP1982_LOCUS22629|CAD7014639.1|CCAP, CCAP1982_LOCUS22633|CAD7014643.1|CCAP	LOC6739296|XP_039148670.1|DSIM
OG0002225	CCAP1982_LOCUS10934|CAD7002445.1|CCAP, CCAP1982_LOCUS10935|CAD7002446.1|CCAP	LOC6737158|XP_016030815.1|DSIM
OG0002226	CCAP1982_LOCUS21808|CAD7013787.1|CCAP	LOC6733250|XP_002080313.1|DSIM
OG0002227	CCAP1982_LOCUS21604|CAD7013545.1|CCAP	LOC6733850|XP_039148574.1|DSIM
OG0002228	CCAP1982_LOCUS21006|CAD7012907.1|CCAP	LOC6733516|XP_039147778.1|DSIM
OG0002229	CCAP1982_LOCUS21232|CAD7013161.1|CCAP	LOC6736101|XP_016029492.1|DSIM
OG0002230	CCAP1982_LOCUS21573|CAD7013513.1|CCAP	LOC6734216|XP_016027261.1|DSIM
OG0002231	CCAP1982_LOCUS21526|CAD7013461.1|CCAP	LOC6739284|XP_002076191.3|DSIM
OG0002232	CCAP1982_LOCUS21781|CAD7013750.1|CCAP, CCAP1982_LOCUS21783|CAD7013752.1|CCAP	LOC6735471|XP_002082410.2|DSIM
OG0002233	CCAP1982_LOCUS11802|CAD7003343.1|CCAP	LOC6737830|XP_016031605.1|DSIM
OG0002234	CCAP1982_LOCUS21280|CAD7013209.1|CCAP	LOC6733961|XP_002081005.1|DSIM
OG0002235	CCAP1982_LOCUS22957|CAD7015000.1|CCAP	LOC6735690|XP_016029068.1|DSIM
OG0002236	CCAP1982_LOCUS19571|CAD7011471.1|CCAP	LOC6735986|XP_016029348.1|DSIM
OG0002237	CCAP1982_LOCUS19587|CAD7011488.1|CCAP	LOC6735996|XP_016029370.1|DSIM
OG0002238	CCAP1982_LOCUS21182|CAD7013109.1|CCAP, CCAP1982_LOCUS21181|CAD7013108.1|CCAP, CCAP1982_LOCUS21185|CAD7013112.1|CCAP	LOC6733275|XP_016026166.1|DSIM
OG0002240	CCAP1982_LOCUS22572|CAD7014573.1|CCAP	LOC6735675|XP_016029046.1|DSIM
OG0002242	CCAP1982_LOCUS11880|CAD7003424.1|CCAP	LOC6737281|XP_039149424.1|DSIM
OG0002243	CCAP1982_LOCUS8857|CAD7000381.1|CCAP	LOC6727346|XP_002102731.1|DSIM
OG0002244	CCAP1982_LOCUS14732|CAD7006412.1|CCAP	LOC6737613|XP_039149898.1|DSIM
OG0002245	CCAP1982_LOCUS10938|CAD7002449.1|CCAP, CCAP1982_LOCUS10942|CAD7002453.1|CCAP	LOC6737180|XP_016030868.1|DSIM
OG0002246	CCAP1982_LOCUS21176|CAD7013102.1|CCAP, CCAP1982_LOCUS21175|CAD7013101.1|CCAP, CCAP1982_LOCUS21174|CAD7013100.1|CCAP	LOC6733278|XP_016026168.1|DSIM
OG0002247	CCAP1982_LOCUS11613|CAD7003152.1|CCAP	LOC27207209|XP_016029302.1|DSIM
OG0002248	CCAP1982_LOCUS11531|CAD7003068.1|CCAP, CCAP1982_LOCUS11168|CAD7002690.1|CCAP	LOC6736763|XP_039149400.1|DSIM
OG0002250	CCAP1982_LOCUS22096|CAD7014090.1|CCAP, CCAP1982_LOCUS22103|CAD7014097.1|CCAP	LOC6735455|XP_002082395.2|DSIM
OG0002251	CCAP1982_LOCUS22090|CAD7014083.1|CCAP, CCAP1982_LOCUS22091|CAD7014085.1|CCAP	LOC6735452|XP_016028760.1|DSIM
OG0002252	CCAP1982_LOCUS22059|CAD7014051.1|CCAP	LOC6735434|XP_016028738.1|DSIM
OG0002253	CCAP1982_LOCUS23400|CAD7015460.1|CCAP	LOC27208013|XP_016029476.1|DSIM
OG0002254	CCAP1982_LOCUS858|CAD6991971.1|CCAP	LOC6729473|XP_016036146.1|DSIM
OG0002256	CCAP1982_LOCUS23303|CAD7015358.1|CCAP	LOC6733902|XP_016026944.1|DSIM
OG0002257	CCAP1982_LOCUS21457|CAD7013392.1|CCAP	LOC6733970|XP_016027008.1|DSIM
OG0002258	CCAP1982_LOCUS10808|CAD7002318.1|CCAP, CCAP1982_LOCUS10810|CAD7002320.1|CCAP	LOC6737065|XP_002083912.2|DSIM
OG0002260	CCAP1982_LOCUS14451|CAD7006119.1|CCAP	LOC6738737|XP_039149143.1|DSIM
OG0002261	CCAP1982_LOCUS14525|CAD7006197.1|CCAP	LOC6738715|XP_002085516.1|DSIM
OG0002262	CCAP1982_LOCUS20358|CAD7012262.1|CCAP	LOC6733756|XP_016026710.1|DSIM
OG0002263	CCAP1982_LOCUS10964|CAD7002475.1|CCAP	LOC6738247|XP_016032128.1|DSIM
OG0002264	CCAP1982_LOCUS22829|CAD7014863.1|CCAP	LOC6736087|XP_002082988.2|DSIM
OG0002265	CCAP1982_LOCUS11793|CAD7003333.1|CCAP	LOC6737567|XP_002084400.1|DSIM
OG0002266	CCAP1982_LOCUS14431|CAD7006099.1|CCAP	LOC6738772|XP_016032590.1|DSIM
OG0002267	CCAP1982_LOCUS12835|CAD7004426.1|CCAP	LOC6737361|XP_002084199.1|DSIM
OG0002268	CCAP1982_LOCUS13024|CAD7004629.1|CCAP, CCAP1982_LOCUS13025|CAD7004630.1|CCAP	LOC6738984|XP_002085779.1|DSIM
OG0002269	CCAP1982_LOCUS7222|CAD6998656.1|CCAP	LOC6734653|XP_016027824.1|DSIM
OG0002270	CCAP1982_LOCUS22656|CAD7014668.1|CCAP	LOC27206693|XP_039147336.1|DSIM
OG0002270	CCAP1982_LOCUS22654|CAD7014666.1|CCAP	LOC6734697|XP_039147334.1|DSIM
OG0002271	CCAP1982_LOCUS13262|CAD7004877.1|CCAP, CCAP1982_LOCUS13264|CAD7004879.1|CCAP, CCAP1982_LOCUS13263|CAD7004878.1|CCAP, CCAP1982_LOCUS13256|CAD7004871.1|CCAP	LOC6737373|XP_016031114.1|DSIM
OG0002272	CCAP1982_LOCUS12832|CAD7004423.1|CCAP	LOC6736381|XP_039150167.1|DSIM
OG0002273	CCAP1982_LOCUS14315|CAD7005978.1|CCAP, CCAP1982_LOCUS14316|CAD7005979.1|CCAP	LOC6738209|XP_016032042.1|DSIM
OG0002274	CCAP1982_LOCUS14297|CAD7005959.1|CCAP	LOC6739671|XP_016032909.1|DSIM
OG0002275	CCAP1982_LOCUS11882|CAD7003426.1|CCAP	LOC6738431|XP_002085240.1|DSIM
OG0002276	CCAP1982_LOCUS12220|CAD7003784.1|CCAP	LOC6736352|XP_016029834.1|DSIM
OG0002277	CCAP1982_LOCUS12211|CAD7003775.1|CCAP	LOC27206733|XP_039150054.1|DSIM
OG0002278	CCAP1982_LOCUS12310|CAD7003880.1|CCAP, CCAP1982_LOCUS12309|CAD7003879.1|CCAP	LOC6736874|XP_002083727.1|DSIM
OG0002279	CCAP1982_LOCUS13194|CAD7004805.1|CCAP, CCAP1982_LOCUS13209|CAD7004820.1|CCAP	LOC6737402|XP_002084240.3|DSIM
OG0002280	CCAP1982_LOCUS11938|CAD7003487.1|CCAP, CCAP1982_LOCUS11939|CAD7003488.1|CCAP	LOC6738391|XP_016032222.1|DSIM
OG0002281	CCAP1982_LOCUS11749|CAD7003287.1|CCAP	LOC6738382|XP_002085191.1|DSIM
OG0002282	CCAP1982_LOCUS14975|CAD7006673.1|CCAP	LOC6736627|XP_039149247.1|DSIM
OG0002283	CCAP1982_LOCUS22246|CAD7014243.1|CCAP, CCAP1982_LOCUS22247|CAD7014244.1|CCAP	LOC6739499|XP_016029249.1|DSIM
OG0002284	CCAP1982_LOCUS21874|CAD7013855.1|CCAP	LOC6739320|XP_002080540.1|DSIM
OG0002285	CCAP1982_LOCUS14043|CAD7005691.1|CCAP	LOC6725345|XP_039153480.1|DSIM
OG0002286	CCAP1982_LOCUS11952|CAD7003502.1|CCAP, CCAP1982_LOCUS11953|CAD7003503.1|CCAP	LOC6735814|XP_002082724.1|DSIM
OG0002287	CCAP1982_LOCUS22653|CAD7014665.1|CCAP, CCAP1982_LOCUS22652|CAD7014664.1|CCAP	LOC6734698|XP_016027898.1|DSIM
OG0002288	CCAP1982_LOCUS13266|CAD7004882.1|CCAP, CCAP1982_LOCUS13265|CAD7004880.1|CCAP, CCAP1982_LOCUS13257|CAD7004872.1|CCAP, CCAP1982_LOCUS13267|CAD7004883.1|CCAP	LOC6737372|XP_016031111.1|DSIM
OG0002289	CCAP1982_LOCUS11194|CAD7002719.1|CCAP	LOC6737303|XP_002084143.1|DSIM
OG0002290	CCAP1982_LOCUS9006|CAD7000528.1|CCAP	LOC6731178|XP_002078337.1|DSIM
OG0002291	CCAP1982_LOCUS21679|CAD7013631.1|CCAP	LOC6739288|XP_016026301.1|DSIM
OG0002292	CCAP1982_LOCUS22752|CAD7014781.1|CCAP	LOC6733280|XP_016026174.1|DSIM
OG0002293	CCAP1982_LOCUS23020|CAD7015064.1|CCAP	LOC6733145|XP_016026016.1|DSIM
OG0002294	CCAP1982_LOCUS22296|CAD7014294.1|CCAP	LOC6728950|XP_002104278.1|DSIM
OG0002295	CCAP1982_LOCUS5586|CAD6996915.1|CCAP	LOC6731303|XP_016023871.1|DSIM
