Orthogroup	CCAP.longest_only	DANA.longest_only
OG0000579	CCAP1982_LOCUS14550|CAD7006224.1|CCAP	LOC6507259|XP_001956372.1|DANA
OG0000580	CCAP1982_LOCUS596|CAD6991683.1|CCAP	LOC6498976|XP_001955577.1|DANA, LOC6498977|XP_001955576.2|DANA, LOC6498974|XP_001955578.1|DANA
OG0000581	CCAP1982_LOCUS4884|CAD6996193.1|CCAP	LOC6499289|XP_014766000.1|DANA
OG0000582	CCAP1982_LOCUS20143|CAD7012040.1|CCAP	LOC6507133|XP_001956613.1|DANA
OG0000582	CCAP1982_LOCUS20144|CAD7012042.1|CCAP	LOC6495460|XP_014763318.1|DANA
OG0000583	CCAP1982_LOCUS22237|CAD7014234.1|CCAP	LOC6495894|XP_001959798.1|DANA
OG0000585	CCAP1982_LOCUS11849|CAD7003391.1|CCAP	LOC116655829|XP_032310207.1|DANA, LOC116655802|XP_032310037.1|DANA
OG0000592	CCAP1982_LOCUS7094|CAD6998505.1|CCAP	LOC6494100|XP_001960976.1|DANA, LOC6496343|XP_001960731.2|DANA
OG0000593	CCAP1982_LOCUS290|CAD6991360.1|CCAP	LOC6505986|XP_001964735.1|DANA, LOC6505992|XP_001964744.1|DANA, LOC6502716|XP_001963652.1|DANA
OG0000594	CCAP1982_LOCUS7730|CAD6999194.1|CCAP, CCAP1982_LOCUS2388|CAD6993576.1|CCAP	LOC6505934|XP_001964645.1|DANA, LOC6500519|XP_001953382.1|DANA
OG0000595	CCAP1982_LOCUS1188|CAD6992320.1|CCAP	LOC6500152|XP_001953122.1|DANA
OG0000595	CCAP1982_LOCUS1912|CAD6993084.1|CCAP	LOC6501354|XP_014767006.2|DANA
OG0000596	CCAP1982_LOCUS4258|CAD6995547.1|CCAP	LOC6500223|XP_032305324.1|DANA
OG0000597	CCAP1982_LOCUS2271|CAD6993458.1|CCAP	LOC6500562|XP_001953482.2|DANA
OG0000598	CCAP1982_LOCUS1620|CAD6992780.1|CCAP, CCAP1982_LOCUS1619|CAD6992779.1|CCAP	LOC6499714|XP_001954078.1|DANA
OG0000599	CCAP1982_LOCUS12255|CAD7003822.1|CCAP	LOC6492960|XP_001956754.1|DANA
OG0000600	CCAP1982_LOCUS23106|CAD7015156.1|CCAP	LOC6495777|XP_001959554.1|DANA
OG0000601	CCAP1982_LOCUS5577|CAD6996904.1|CCAP	LOC6497771|XP_032307485.1|DANA, LOC6498748|XP_014760128.1|DANA
OG0000602	CCAP1982_LOCUS6527|CAD6997909.1|CCAP	LOC6505743|XP_001964997.1|DANA
OG0000602	CCAP1982_LOCUS6526|CAD6997908.1|CCAP	LOC6505747|XP_001964998.1|DANA
OG0000603	CCAP1982_LOCUS8475|CAD6999970.1|CCAP	LOC6498114|XP_001962104.3|DANA, LOC6498090|XP_001962059.1|DANA
OG0000604	CCAP1982_LOCUS8179|CAD6999649.1|CCAP	LOC6496728|XP_001967343.1|DANA
OG0000604	CCAP1982_LOCUS8178|CAD6999648.1|CCAP	LOC6496707|XP_001967342.1|DANA
OG0000605	CCAP1982_LOCUS7962|CAD6999438.1|CCAP	LOC26514587|XP_014760653.1|DANA
OG0000607	CCAP1982_LOCUS588|CAD6991675.1|CCAP	LOC6499868|XP_001953739.1|DANA, LOC6505715|XP_001964401.1|DANA
OG0000608	CCAP1982_LOCUS21399|CAD7013330.1|CCAP	LOC6503425|XP_001967457.1|DANA
OG0000610	CCAP1982_LOCUS11659|CAD7003197.1|CCAP	LOC6506285|XP_032310746.1|DANA, LOC6496110|XP_001960245.1|DANA
OG0000611	CCAP1982_LOCUS20406|CAD7012311.1|CCAP	LOC6494789|XP_032307152.1|DANA, LOC6496433|XP_001960907.1|DANA
OG0000615	CCAP1982_LOCUS1729|CAD6992894.1|CCAP	LOC6505069|XP_001965519.1|DANA, LOC6505683|XP_001964462.1|DANA
OG0000617	CCAP1982_LOCUS1174|CAD6992306.1|CCAP	LOC6501471|XP_001955320.2|DANA
OG0000617	CCAP1982_LOCUS1175|CAD6992307.1|CCAP	LOC6500739|XP_001953822.1|DANA
OG0000618	CCAP1982_LOCUS3215|CAD6994470.1|CCAP	LOC6500830|XP_014766749.1|DANA
OG0000619	CCAP1982_LOCUS22996|CAD7015039.1|CCAP	LOC6493977|XP_001961218.2|DANA
OG0000620	CCAP1982_LOCUS22364|CAD7014367.1|CCAP	LOC6502942|XP_001963550.1|DANA, LOC6503165|XP_001963554.1|DANA
OG0000620	CCAP1982_LOCUS11828|CAD7003369.1|CCAP, CCAP1982_LOCUS11826|CAD7003367.1|CCAP	LOC6506373|XP_001958003.2|DANA
OG0000622	CCAP1982_LOCUS14996|CAD7006697.1|CCAP	LOC6506186|XP_001958386.1|DANA, LOC6493727|XP_032310024.1|DANA
OG0000623	CCAP1982_LOCUS12757|CAD7004341.1|CCAP	LOC6492943|XP_001956701.1|DANA
OG0000623	CCAP1982_LOCUS12360|CAD7003938.1|CCAP	LOC6506427|XP_001957899.1|DANA
OG0000624	CCAP1982_LOCUS21663|CAD7013611.1|CCAP	LOC6494834|XP_001959577.1|DANA
OG0000625	CCAP1982_LOCUS10908|CAD7002417.1|CCAP	LOC6506641|XP_001957487.2|DANA, LOC6506640|XP_001957488.1|DANA
OG0000626	CCAP1982_LOCUS22251|CAD7014248.1|CCAP	LOC6494700|XP_001959831.1|DANA
OG0000627	CCAP1982_LOCUS13245|CAD7004860.1|CCAP	LOC6506838|XP_001957141.1|DANA
OG0000628	CCAP1982_LOCUS6489|CAD6997870.1|CCAP	LOC6505736|XP_001964994.2|DANA, LOC6498556|XP_001963056.2|DANA
OG0000629	CCAP1982_LOCUS7865|CAD6999338.1|CCAP	LOC6499524|XP_001954442.2|DANA, LOC6497563|XP_001961809.1|DANA
OG0000630	CCAP1982_LOCUS6300|CAD6997670.1|CCAP	LOC6498013|XP_001961891.2|DANA
OG0000630	CCAP1982_LOCUS6298|CAD6997668.1|CCAP	LOC6497531|XP_001961896.3|DANA
OG0000631	CCAP1982_LOCUS8412|CAD6999902.1|CCAP	LOC26515063|XP_014762398.1|DANA
OG0000632	CCAP1982_LOCUS8193|CAD6999663.1|CCAP, CCAP1982_LOCUS8194|CAD6999664.1|CCAP	LOC6504082|XP_032311174.1|DANA, LOC6497974|XP_001961825.1|DANA
OG0000634	CCAP1982_LOCUS19966|CAD7011857.1|CCAP	LOC6496787|XP_001967613.1|DANA, LOC6503255|XP_032309156.1|DANA
OG0000635	CCAP1982_LOCUS19400|CAD7011293.1|CCAP	LOC6494613|XP_001960013.1|DANA, LOC6498706|XP_001967112.1|DANA
OG0000639	CCAP1982_LOCUS14414|CAD7006080.1|CCAP	LOC6506927|XP_001956975.1|DANA
OG0000642	CCAP1982_LOCUS12421|CAD7003999.1|CCAP, CCAP1982_LOCUS13725|CAD7005365.1|CCAP	LOC6496439|XP_001960915.2|DANA, LOC6497821|XP_032307633.1|DANA
OG0000643	CCAP1982_LOCUS2696|CAD6993903.1|CCAP	LOC6502615|XP_032305671.1|DANA, LOC6499088|XP_001955330.1|DANA
OG0000644	CCAP1982_LOCUS7601|CAD6999054.1|CCAP	LOC6507170|XP_001956553.1|DANA, LOC26515571|XP_014765743.1|DANA
OG0000646	CCAP1982_LOCUS1477|CAD6992629.1|CCAP	LOC6498908|XP_001955695.1|DANA, LOC6499219|XP_032308587.1|DANA
OG0000650	CCAP1982_LOCUS11792|CAD7003332.1|CCAP	LOC6502019|XP_001967622.2|DANA
OG0000651	CCAP1982_LOCUS13304|CAD7004921.1|CCAP	LOC6492974|XP_001956774.1|DANA, LOC6492973|XP_001956773.1|DANA
OG0000652	CCAP1982_LOCUS22325|CAD7014328.1|CCAP	LOC6496043|XP_001960107.1|DANA
OG0000653	CCAP1982_LOCUS3695|CAD6994963.1|CCAP	LOC6500733|XP_001953811.1|DANA, LOC6500284|XP_001952884.1|DANA
OG0000654	CCAP1982_LOCUS12923|CAD7004526.1|CCAP	LOC6506582|XP_001957601.1|DANA
OG0000655	CCAP1982_LOCUS22605|CAD7014614.1|CCAP	LOC6495936|XP_014763550.1|DANA, LOC6506765|XP_001965246.1|DANA
OG0000656	CCAP1982_LOCUS381|CAD6991456.1|CCAP	LOC6505688|XP_001964456.1|DANA
OG0000657	CCAP1982_LOCUS6719|CAD6998105.1|CCAP	LOC6497488|XP_001961978.1|DANA
OG0000660	CCAP1982_LOCUS20910|CAD7012810.1|CCAP	LOC6497573|XP_032307646.1|DANA
OG0000661	CCAP1982_LOCUS8780|CAD7000290.1|CCAP	LOC6506497|XP_001957764.1|DANA, LOC6498300|XP_001962494.2|DANA
OG0000662	CCAP1982_LOCUS11314|CAD7002845.1|CCAP	LOC6506858|XP_001957107.1|DANA
OG0000662	CCAP1982_LOCUS11155|CAD7002672.1|CCAP	LOC6504704|XP_001966363.1|DANA
OG0000665	CCAP1982_LOCUS654|CAD6991743.1|CCAP	LOC6500338|XP_032305368.1|DANA
OG0000666	CCAP1982_LOCUS19703|CAD7011614.1|CCAP	LOC6495525|XP_001959035.1|DANA
OG0000667	CCAP1982_LOCUS601|CAD6991688.1|CCAP	LOC6504600|XP_001966551.2|DANA, LOC6501607|XP_001955580.3|DANA
OG0000668	CCAP1982_LOCUS4197|CAD6995481.1|CCAP	LOC6502731|XP_001965834.2|DANA
OG0000671	CCAP1982_LOCUS4225|CAD6995512.1|CCAP	LOC6505781|XP_001964362.2|DANA
OG0000671	CCAP1982_LOCUS3971|CAD6995250.1|CCAP	LOC6498925|XP_001955668.1|DANA
OG0000672	CCAP1982_LOCUS13691|CAD7005331.1|CCAP	LOC6502989|XP_001963460.1|DANA
OG0000675	CCAP1982_LOCUS8664|CAD7000172.1|CCAP, CCAP1982_LOCUS8654|CAD7000162.1|CCAP, CCAP1982_LOCUS8655|CAD7000163.1|CCAP, CCAP1982_LOCUS8653|CAD7000161.1|CCAP	LOC6497195|XP_001962579.1|DANA
OG0000678	CCAP1982_LOCUS4210|CAD6995497.1|CCAP	LOC6499862|XP_001953749.1|DANA, LOC6497849|XP_001961564.2|DANA
OG0000683	CCAP1982_LOCUS2676|CAD6993882.1|CCAP	LOC6498906|XP_001955699.1|DANA
OG0000684	CCAP1982_LOCUS1800|CAD6992968.1|CCAP	LOC6500525|XP_001953392.1|DANA, LOC6499047|XP_001955414.1|DANA
OG0000685	CCAP1982_LOCUS2796|CAD6994019.1|CCAP	LOC6500048|XP_001953321.1|DANA
OG0000686	CCAP1982_LOCUS22639|CAD7014650.1|CCAP	LOC6493938|XP_001961283.1|DANA
OG0000687	CCAP1982_LOCUS13133|CAD7004740.1|CCAP	LOC6494600|XP_001960033.1|DANA, LOC6507542|XP_001955885.1|DANA
OG0000688	CCAP1982_LOCUS22352|CAD7014355.1|CCAP	LOC6494546|XP_014762835.1|DANA
OG0000689	CCAP1982_LOCUS22767|CAD7014799.1|CCAP	LOC6494869|XP_032307169.1|DANA, LOC6494870|XP_001959518.2|DANA
OG0000691	CCAP1982_LOCUS11669|CAD7003209.1|CCAP	LOC6498348|XP_001962597.1|DANA, LOC6506282|XP_001958202.1|DANA
OG0000692	CCAP1982_LOCUS12234|CAD7003801.1|CCAP	LOC6492991|XP_001956808.1|DANA
OG0000692	CCAP1982_LOCUS12235|CAD7003802.1|CCAP	LOC6492992|XP_001956809.1|DANA
OG0000693	CCAP1982_LOCUS23258|CAD7015313.1|CCAP	LOC6505271|XP_001965660.1|DANA
OG0000693	CCAP1982_LOCUS633|CAD6991720.1|CCAP	LOC6500122|XP_001953179.1|DANA
OG0000695	CCAP1982_LOCUS8997|CAD7000519.1|CCAP	LOC6497333|XP_001962300.3|DANA
OG0000695	CCAP1982_LOCUS8984|CAD7000506.1|CCAP	LOC6497336|XP_032307472.1|DANA
OG0000696	CCAP1982_LOCUS8834|CAD7000352.1|CCAP	LOC6497395|XP_001962169.1|DANA, LOC6504372|XP_001967763.1|DANA
OG0000697	CCAP1982_LOCUS6273|CAD6997638.1|CCAP	LOC6497323|XP_001962319.1|DANA
OG0000698	CCAP1982_LOCUS8717|CAD7000225.1|CCAP	LOC6497853|XP_001961573.1|DANA
OG0000699	CCAP1982_LOCUS6551|CAD6997933.1|CCAP	LOC6503501|XP_014760389.1|DANA, LOC6501055|XP_001954475.2|DANA
OG0000700	CCAP1982_LOCUS7365|CAD6998816.1|CCAP	LOC6497888|XP_001961650.2|DANA, LOC6496721|XP_001967330.2|DANA
OG0000701	CCAP1982_LOCUS22532|CAD7014531.1|CCAP	LOC6494056|XP_001961071.1|DANA
OG0000702	CCAP1982_LOCUS883|CAD6991997.1|CCAP	LOC6501012|XP_014766847.1|DANA, LOC6501013|XP_001954375.2|DANA
OG0000703	CCAP1982_LOCUS7246|CAD6998688.1|CCAP	LOC6496208|XP_032306686.1|DANA
OG0000705	CCAP1982_LOCUS12768|CAD7004352.1|CCAP	LOC6507404|XP_001956082.1|DANA, LOC6507402|XP_001956083.1|DANA
OG0000710	CCAP1982_LOCUS23336|CAD7015392.1|CCAP	LOC6500084|XP_001953258.1|DANA, LOC6496062|XP_001960142.1|DANA
OG0000712	CCAP1982_LOCUS637|CAD6991724.1|CCAP	LOC6500125|XP_001953174.2|DANA, LOC6500418|XP_001953177.1|DANA
OG0000713	CCAP1982_LOCUS23194|CAD7015244.1|CCAP	LOC6496218|XP_001960470.1|DANA
OG0000715	CCAP1982_LOCUS14124|CAD7005776.1|CCAP	LOC6504379|XP_001967083.2|DANA, LOC26515276|XP_014765713.1|DANA, LOC6493681|XP_001958222.1|DANA, LOC6506263|XP_001958234.1|DANA
OG0000716	CCAP1982_LOCUS14228|CAD7005886.1|CCAP	LOC6503897|XP_001963801.1|DANA, LOC6506437|XP_001957882.1|DANA
OG0000717	CCAP1982_LOCUS13750|CAD7005390.1|CCAP	LOC6506097|XP_001958563.1|DANA
OG0000719	CCAP1982_LOCUS12110|CAD7003673.1|CCAP	LOC6507755|XP_001956280.1|DANA, LOC6506475|XP_014764783.2|DANA
OG0000720	CCAP1982_LOCUS3915|CAD6995196.1|CCAP	LOC26514295|XP_014767268.2|DANA, LOC6501637|XP_001955653.2|DANA, LOC6498928|XP_032312379.1|DANA, LOC6501176|XP_001954700.1|DANA
OG0000721	CCAP1982_LOCUS8756|CAD7000266.1|CCAP, CCAP1982_LOCUS8755|CAD7000265.1|CCAP	LOC6497122|XP_001962715.1|DANA, LOC6497121|XP_001962716.1|DANA
OG0000722	CCAP1982_LOCUS21839|CAD7013819.1|CCAP	LOC26514833|XP_014764054.2|DANA, LOC6496460|XP_032306004.1|DANA, LOC6496461|XP_032306975.1|DANA, LOC26514697|XP_032306974.1|DANA
OG0000723	CCAP1982_LOCUS23002|CAD7015045.1|CCAP, CCAP1982_LOCUS23011|CAD7015054.1|CCAP, CCAP1982_LOCUS22997|CAD7015040.1|CCAP, CCAP1982_LOCUS22989|CAD7015032.1|CCAP	LOC6494848|XP_001959559.1|DANA
OG0000726	CCAP1982_LOCUS4572|CAD6995871.1|CCAP	LOC6501275|XP_032312145.1|DANA, LOC6501274|XP_001954898.1|DANA
OG0000728	CCAP1982_LOCUS2587|CAD6993789.1|CCAP	LOC6499993|XP_014766306.2|DANA
OG0000729	CCAP1982_LOCUS3800|CAD6995077.1|CCAP	LOC26515185|XP_014760940.1|DANA, LOC6505592|XP_001964634.3|DANA
OG0000730	CCAP1982_LOCUS11317|CAD7002848.1|CCAP	LOC6493111|XP_001957066.1|DANA, LOC6498126|XP_001962132.2|DANA
OG0000731	CCAP1982_LOCUS21712|CAD7013669.1|CCAP	LOC6507706|XP_032310233.1|DANA, LOC6494004|XP_032305981.1|DANA
OG0000732	CCAP1982_LOCUS11935|CAD7003484.1|CCAP	LOC6506572|XP_001957619.1|DANA
OG0000733	CCAP1982_LOCUS11956|CAD7003506.1|CCAP, CCAP1982_LOCUS11588|CAD7003126.1|CCAP	LOC6501182|XP_001954710.1|DANA, LOC6506611|XP_001957547.1|DANA
OG0000734	CCAP1982_LOCUS11176|CAD7002699.1|CCAP	LOC6503179|XP_001963592.1|DANA
OG0000734	CCAP1982_LOCUS11177|CAD7002700.1|CCAP	LOC6507038|XP_032310189.1|DANA
OG0000735	CCAP1982_LOCUS5622|CAD6996955.1|CCAP	LOC6505433|XP_001964901.1|DANA
OG0000736	CCAP1982_LOCUS7876|CAD6999349.1|CCAP	LOC6497225|XP_001962524.1|DANA, LOC6497226|XP_001962523.2|DANA
OG0000737	CCAP1982_LOCUS21802|CAD7013779.1|CCAP	LOC6493926|XP_014762463.2|DANA
OG0000739	CCAP1982_LOCUS4635|CAD6995933.1|CCAP	LOC6499959|XP_001953557.3|DANA, LOC6499956|XP_001953560.1|DANA
OG0000740	CCAP1982_LOCUS7812|CAD6999283.1|CCAP	LOC26514706|XP_032308998.1|DANA
OG0000740	CCAP1982_LOCUS851|CAD6991963.1|CCAP	LOC6501177|XP_032308561.1|DANA
OG0000743	CCAP1982_LOCUS12884|CAD7004479.1|CCAP	LOC6507084|XP_032310269.1|DANA, LOC6494428|XP_001960341.1|DANA
OG0000744	CCAP1982_LOCUS20285|CAD7012184.1|CCAP	LOC6496618|XP_001961274.3|DANA
OG0000746	CCAP1982_LOCUS7111|CAD6998524.1|CCAP	LOC6496492|XP_001961010.1|DANA
OG0000747	CCAP1982_LOCUS14652|CAD7006330.1|CCAP	LOC6493875|XP_001958599.1|DANA
OG0000747	CCAP1982_LOCUS14644|CAD7006322.1|CCAP	LOC6493874|XP_032310046.1|DANA
OG0000750	CCAP1982_LOCUS5975|CAD6997343.1|CCAP	LOC6495702|XP_001959404.2|DANA, LOC6499996|XP_001953463.1|DANA
OG0000753	CCAP1982_LOCUS3763|CAD6995033.1|CCAP	LOC6500734|XP_001953812.1|DANA
OG0000755	CCAP1982_LOCUS2374|CAD6993561.1|CCAP	LOC26514073|XP_032312069.1|DANA, LOC6500378|XP_001953087.1|DANA
OG0000756	CCAP1982_LOCUS3474|CAD6994741.1|CCAP	LOC6500669|XP_001953690.1|DANA
OG0000757	CCAP1982_LOCUS12322|CAD7003892.1|CCAP	LOC6492998|XP_001956828.1|DANA
OG0000758	CCAP1982_LOCUS10824|CAD7002337.1|CCAP, CCAP1982_LOCUS10825|CAD7002339.1|CCAP	LOC6493089|XP_014764209.1|DANA, LOC6493088|XP_001957018.1|DANA
OG0000759	CCAP1982_LOCUS11488|CAD7003025.1|CCAP	LOC6507541|XP_001955883.3|DANA, LOC6507540|XP_001955882.2|DANA
OG0000760	CCAP1982_LOCUS23060|CAD7015107.1|CCAP	LOC6496381|XP_014763785.1|DANA
OG0000760	CCAP1982_LOCUS23062|CAD7015109.1|CCAP	LOC6496378|XP_014763784.1|DANA
OG0000762	CCAP1982_LOCUS5527|CAD6996851.1|CCAP	LOC6498036|XP_001961942.1|DANA
OG0000763	CCAP1982_LOCUS7967|CAD6999443.1|CCAP	LOC6506819|XP_001965255.1|DANA
OG0000763	CCAP1982_LOCUS7966|CAD6999442.1|CCAP	LOC6506808|XP_001965254.1|DANA
OG0000764	CCAP1982_LOCUS9835|CAD7001338.1|CCAP, CCAP1982_LOCUS9837|CAD7001340.1|CCAP	LOC6500851|XP_014766760.1|DANA, LOC6504254|XP_032308873.1|DANA
OG0000767	CCAP1982_LOCUS13379|CAD7005004.1|CCAP	LOC6498840|XP_001955833.2|DANA, LOC6506348|XP_001958055.1|DANA
OG0000768	CCAP1982_LOCUS13967|CAD7005608.1|CCAP	LOC6492926|XP_001956664.1|DANA
OG0000770	CCAP1982_LOCUS23234|CAD7015287.1|CCAP, CCAP1982_LOCUS23236|CAD7015289.1|CCAP, CCAP1982_LOCUS23235|CAD7015288.1|CCAP, CCAP1982_LOCUS23208|CAD7015260.1|CCAP, CCAP1982_LOCUS23233|CAD7015286.1|CCAP	LOC6495760|XP_001959516.1|DANA
OG0000771	CCAP1982_LOCUS11323|CAD7002853.1|CCAP	LOC6493130|XP_014764227.1|DANA, LOC6493131|XP_001957110.1|DANA
OG0000772	CCAP1982_LOCUS7245|CAD6998687.1|CCAP	LOC6494383|XP_001960427.2|DANA, LOC6494365|XP_001960454.1|DANA
OG0000773	CCAP1982_LOCUS2181|CAD6993363.1|CCAP, CCAP1982_LOCUS2182|CAD6993364.1|CCAP	LOC6494081|XP_032306216.1|DANA, LOC6500435|XP_032309154.1|DANA
OG0000774	CCAP1982_LOCUS7034|CAD6998434.1|CCAP, CCAP1982_LOCUS7765|CAD6999233.1|CCAP	LOC116654455|XP_032307018.1|DANA, LOC26515289|XP_014764117.1|DANA, LOC6496316|XP_014763752.1|DANA
OG0000775	CCAP1982_LOCUS23219|CAD7015271.1|CCAP	LOC6495809|XP_001959631.2|DANA, LOC6494990|XP_001959262.2|DANA
OG0000778	CCAP1982_LOCUS4113|CAD6995395.1|CCAP	LOC6493326|XP_001957529.1|DANA, LOC6502732|XP_032310545.1|DANA
OG0000785	CCAP1982_LOCUS2663|CAD6993869.1|CCAP	LOC6501498|XP_001955374.2|DANA, LOC6499081|XP_001955344.1|DANA
OG0000786	CCAP1982_LOCUS1450|CAD6992600.1|CCAP	LOC116655457|XP_032309240.1|DANA
OG0000786	CCAP1982_LOCUS1451|CAD6992602.1|CCAP	LOC6500777|XP_014766717.1|DANA
OG0000787	CCAP1982_LOCUS11438|CAD7002975.1|CCAP	LOC6507292|XP_001956302.1|DANA, LOC6502268|XP_001966131.2|DANA
OG0000788	CCAP1982_LOCUS11851|CAD7003393.1|CCAP	LOC116654934|XP_032307600.1|DANA, LOC6493506|XP_001957890.1|DANA
OG0000789	CCAP1982_LOCUS7762|CAD6999230.1|CCAP	LOC26515070|XP_014762399.1|DANA, LOC6497136|XP_032311249.1|DANA
OG0000790	CCAP1982_LOCUS7014|CAD6998414.1|CCAP	LOC6497858|XP_001961582.1|DANA, LOC6497857|XP_001961581.1|DANA
OG0000791	CCAP1982_LOCUS2495|CAD6993689.1|CCAP	LOC6503423|XP_001967455.1|DANA, LOC6505995|XP_014760873.1|DANA
OG0000792	CCAP1982_LOCUS22816|CAD7014849.1|CCAP, CCAP1982_LOCUS8894|CAD7000418.1|CCAP, CCAP1982_LOCUS8893|CAD7000417.1|CCAP, CCAP1982_LOCUS8892|CAD7000416.1|CCAP	LOC6497543|XP_001961861.3|DANA
OG0000793	CCAP1982_LOCUS1000|CAD6992116.1|CCAP	LOC6500406|XP_001953149.1|DANA
OG0000797	CCAP1982_LOCUS4428|CAD6995722.1|CCAP	LOC6499328|XP_001954858.1|DANA, LOC6499329|XP_001954857.1|DANA
OG0000798	CCAP1982_LOCUS20568|CAD7012491.1|CCAP	LOC6494040|XP_001961099.2|DANA, LOC6494042|XP_001961097.1|DANA
OG0000799	CCAP1982_LOCUS23391|CAD7015450.1|CCAP	LOC6500530|XP_001953399.2|DANA
OG0000800	CCAP1982_LOCUS12705|CAD7004285.1|CCAP	LOC6493767|XP_001958399.1|DANA
OG0000801	CCAP1982_LOCUS20234|CAD7012137.1|CCAP	LOC6496148|XP_001960334.2|DANA, LOC6494496|XP_001960222.2|DANA
OG0000802	CCAP1982_LOCUS12829|CAD7004420.1|CCAP	LOC6503018|XP_001963395.1|DANA, LOC6503019|XP_001963394.1|DANA
OG0000803	CCAP1982_LOCUS7929|CAD6999403.1|CCAP	LOC6498628|XP_001963185.1|DANA, LOC6507043|XP_001956764.1|DANA
OG0000804	CCAP1982_LOCUS21024|CAD7012927.1|CCAP	LOC6495679|XP_001959371.1|DANA, LOC6499444|XP_001954629.1|DANA
OG0000805	CCAP1982_LOCUS22507|CAD7014506.1|CCAP, CCAP1982_LOCUS22504|CAD7014503.1|CCAP, CCAP1982_LOCUS22503|CAD7014502.1|CCAP	LOC6494060|XP_001961063.1|DANA, LOC6494061|XP_001961062.1|DANA
OG0000806	CCAP1982_LOCUS8652|CAD7000159.1|CCAP	LOC6497541|XP_032307511.1|DANA
OG0000807	CCAP1982_LOCUS14477|CAD7006149.1|CCAP	LOC26514910|XP_014765681.1|DANA, LOC26515432|XP_014762432.1|DANA
OG0000810	CCAP1982_LOCUS7167|CAD6998589.1|CCAP, CCAP1982_LOCUS7168|CAD6998590.1|CCAP, CCAP1982_LOCUS7166|CAD6998588.1|CCAP, CCAP1982_LOCUS7165|CAD6998587.1|CCAP	LOC6495102|XP_001959067.1|DANA, LOC6495101|XP_001959068.1|DANA, LOC6495100|XP_001959069.2|DANA
OG0000811	CCAP1982_LOCUS23414|CAD7015474.1|CCAP	LOC6505734|XP_001964364.1|DANA, LOC6494132|XP_032306608.1|DANA
OG0000813	CCAP1982_LOCUS7210|CAD6998639.1|CCAP	LOC6495769|XP_001959537.1|DANA
OG0000814	CCAP1982_LOCUS189|CAD6991255.1|CCAP	LOC6507586|XP_001965404.1|DANA
OG0000815	CCAP1982_LOCUS6833|CAD6998221.1|CCAP, CCAP1982_LOCUS6832|CAD6998220.1|CCAP	LOC6498321|XP_001962541.1|DANA
OG0000820	CCAP1982_LOCUS20527|CAD7012446.1|CCAP	LOC6496613|XP_001961261.1|DANA
OG0000823	CCAP1982_LOCUS2925|CAD6994160.1|CCAP	LOC26514797|XP_032307330.1|DANA, LOC6499899|XP_014766271.2|DANA
OG0000824	CCAP1982_LOCUS3412|CAD6994677.1|CCAP	LOC6497022|XP_001962913.1|DANA
OG0000825	CCAP1982_LOCUS8451|CAD6999943.1|CCAP, CCAP1982_LOCUS8452|CAD6999944.1|CCAP, CCAP1982_LOCUS19940|CAD7011830.1|CCAP	LOC6506955|XP_032310810.1|DANA, LOC6496730|XP_001967349.2|DANA
OG0000826	CCAP1982_LOCUS22257|CAD7014254.1|CCAP	LOC6495963|XP_001959941.1|DANA
OG0000827	CCAP1982_LOCUS12545|CAD7004124.1|CCAP	LOC6506165|XP_001958430.1|DANA, LOC6506164|XP_001958431.1|DANA, LOC6506163|XP_001958432.1|DANA
OG0000828	CCAP1982_LOCUS3024|CAD6994263.1|CCAP	LOC6499197|XP_001955126.2|DANA, LOC26513744|XP_014767206.1|DANA
OG0000831	CCAP1982_LOCUS2876|CAD6994107.1|CCAP	LOC6506230|XP_001958300.1|DANA
OG0000832	CCAP1982_LOCUS22663|CAD7014678.1|CCAP	LOC6496413|XP_001960866.1|DANA, LOC6506468|XP_001965183.1|DANA
OG0000833	CCAP1982_LOCUS14574|CAD7006248.1|CCAP	LOC6493665|XP_001958183.3|DANA
OG0000834	CCAP1982_LOCUS2133|CAD6993316.1|CCAP, CCAP1982_LOCUS2134|CAD6993317.1|CCAP, CCAP1982_LOCUS2135|CAD6993318.1|CCAP	LOC6501573|XP_001955498.1|DANA, LOC6501574|XP_001955499.2|DANA
OG0000835	CCAP1982_LOCUS5931|CAD6997298.1|CCAP, CCAP1982_LOCUS23447|CAD7015508.1|CCAP, CCAP1982_LOCUS5910|CAD6997277.1|CCAP	LOC26514435|XP_032311548.1|DANA
OG0000835	CCAP1982_LOCUS5907|CAD6997274.1|CCAP	LOC116656231|XP_032311602.1|DANA
OG0000835	CCAP1982_LOCUS12097|CAD7003659.1|CCAP	LOC6507416|XP_032309647.1|DANA
OG0000836	CCAP1982_LOCUS5624|CAD6996957.1|CCAP	LOC6506414|XP_001965169.2|DANA, LOC6496927|XP_001963120.2|DANA
OG0000839	CCAP1982_LOCUS770|CAD6991879.1|CCAP	LOC6499132|XP_001955238.1|DANA, LOC6500421|XP_032305494.1|DANA
OG0000841	CCAP1982_LOCUS4224|CAD6995511.1|CCAP	LOC6505780|XP_032305611.1|DANA, LOC26515451|XP_014760946.1|DANA
OG0000842	CCAP1982_LOCUS21103|CAD7013014.1|CCAP	LOC6494090|XP_001961000.1|DANA, LOC6501106|XP_001954560.1|DANA
OG0000843	CCAP1982_LOCUS5498|CAD6996825.1|CCAP	LOC6495726|XP_001959446.1|DANA
