Orthogroup	CCAP.longest_only	DALB.longest_only
OG0000279	CCAP1982_LOCUS11229|CAD7002755.1|CCAP, CCAP1982_LOCUS11228|CAD7002754.1|CCAP	LOC117572012|XP_034110424.1|DALB, LOC117572514|XP_034111259.1|DALB
OG0000280	CCAP1982_LOCUS12868|CAD7004462.1|CCAP, CCAP1982_LOCUS12865|CAD7004459.1|CCAP	LOC117569633|XP_034106763.1|DALB, LOC117570763|XP_034108486.1|DALB, LOC117569632|XP_034106762.1|DALB
OG0000281	CCAP1982_LOCUS14794|CAD7006477.1|CCAP	LOC117566933|XP_034102446.1|DALB, LOC117577983|XP_034118970.1|DALB, LOC117577962|XP_034118902.1|DALB
OG0000282	CCAP1982_LOCUS12266|CAD7003833.1|CCAP, CCAP1982_LOCUS12264|CAD7003831.1|CCAP	LOC117571716|XP_034109906.1|DALB, LOC117564483|XP_034099183.1|DALB
OG0000282	CCAP1982_LOCUS12261|CAD7003828.1|CCAP	LOC117566397|XP_034101797.1|DALB
OG0000283	CCAP1982_LOCUS19441|CAD7011336.1|CCAP	LOC117567216|XP_034102936.1|DALB
OG0000284	CCAP1982_LOCUS5966|CAD6997332.1|CCAP	LOC117566193|XP_034101602.1|DALB
OG0000284	CCAP1982_LOCUS5995|CAD6997362.1|CCAP, CCAP1982_LOCUS5953|CAD6997319.1|CCAP, CCAP1982_LOCUS5957|CAD6997323.1|CCAP, CCAP1982_LOCUS5956|CAD6997322.1|CCAP, CCAP1982_LOCUS9430|CAD7000957.1|CCAP	LOC117565092|XP_034099937.1|DALB
OG0000285	CCAP1982_LOCUS21942|CAD7013928.1|CCAP	LOC117570627|XP_034108284.1|DALB, LOC117570626|XP_034108283.1|DALB
OG0000285	CCAP1982_LOCUS21941|CAD7013927.1|CCAP, CCAP1982_LOCUS21935|CAD7013922.1|CCAP	LOC117570629|XP_034108288.1|DALB
OG0000286	CCAP1982_LOCUS6044|CAD6997403.1|CCAP	LOC117563682|XP_034098004.1|DALB
OG0000286	CCAP1982_LOCUS6041|CAD6997400.1|CCAP	LOC117564422|XP_034099045.1|DALB
OG0000286	CCAP1982_LOCUS6046|CAD6997405.1|CCAP	LOC117564425|XP_034099050.1|DALB, LOC117564423|XP_034099046.1|DALB
OG0000288	CCAP1982_LOCUS6603|CAD6997987.1|CCAP, CCAP1982_LOCUS6604|CAD6997988.1|CCAP	LOC117563696|XP_034098031.1|DALB, LOC117563698|XP_034098033.1|DALB
OG0000289	CCAP1982_LOCUS12905|CAD7004506.1|CCAP	LOC117569947|XP_034107199.1|DALB
OG0000289	CCAP1982_LOCUS12906|CAD7004507.1|CCAP	LOC117569946|XP_034107198.1|DALB
OG0000289	CCAP1982_LOCUS12469|CAD7004044.1|CCAP	LOC117572004|XP_034110411.1|DALB
OG0000292	CCAP1982_LOCUS19738|CAD7011652.1|CCAP	LOC117566765|XP_034102198.1|DALB, LOC117566712|XP_034102148.1|DALB
OG0000292	CCAP1982_LOCUS14548|CAD7006222.1|CCAP	LOC117570542|XP_034108147.1|DALB
OG0000293	CCAP1982_LOCUS1805|CAD6992974.1|CCAP	LOC117575634|XP_034115805.1|DALB, LOC117575635|XP_034115806.1|DALB
OG0000293	CCAP1982_LOCUS1818|CAD6992987.1|CCAP	LOC117564688|XP_034099454.1|DALB
OG0000294	CCAP1982_LOCUS9357|CAD7000883.1|CCAP, CCAP1982_LOCUS9356|CAD7000882.1|CCAP	LOC117563450|XP_034097679.1|DALB
OG0000297	CCAP1982_LOCUS20965|CAD7012866.1|CCAP, CCAP1982_LOCUS20966|CAD7012867.1|CCAP, CCAP1982_LOCUS20964|CAD7012865.1|CCAP	LOC117571379|XP_034109383.1|DALB, LOC117569612|XP_034106740.1|DALB, LOC117569614|XP_034106743.1|DALB, LOC117569613|XP_034106742.1|DALB, LOC117569620|XP_034106747.1|DALB, LOC117569619|XP_034106746.1|DALB, LOC117569617|XP_034106745.1|DALB, LOC117571372|XP_034109378.1|DALB, LOC117569615|XP_034106744.1|DALB, LOC117569621|XP_034106748.1|DALB, LOC117569611|XP_034106738.1|DALB, LOC117569610|XP_034106737.1|DALB, LOC117568645|XP_034105331.1|DALB, LOC117566732|XP_034102166.1|DALB, LOC117571396|XP_034109409.1|DALB, LOC117566730|XP_034102164.1|DALB, LOC117569590|XP_034106711.1|DALB, LOC117566731|XP_034102165.1|DALB, LOC117571433|XP_034109466.1|DALB
OG0000299	CCAP1982_LOCUS2375|CAD6993563.1|CCAP	LOC117576279|XP_034116817.1|DALB
OG0000299	CCAP1982_LOCUS2378|CAD6993566.1|CCAP, CCAP1982_LOCUS2379|CAD6993567.1|CCAP	LOC117576284|XP_034116822.1|DALB, LOC117576281|XP_034116820.1|DALB
OG0000300	CCAP1982_LOCUS14184|CAD7005840.1|CCAP, CCAP1982_LOCUS14186|CAD7005842.1|CCAP	LOC117566465|XP_034101887.1|DALB, LOC117569406|XP_034106433.1|DALB, LOC117566464|XP_034101886.1|DALB
OG0000301	CCAP1982_LOCUS10126|CAD7001632.1|CCAP, CCAP1982_LOCUS10127|CAD7001633.1|CCAP	LOC117573169|XP_034112031.1|DALB
OG0000301	CCAP1982_LOCUS8306|CAD6999785.1|CCAP	LOC117563221|XP_034097306.1|DALB
OG0000302	CCAP1982_LOCUS10823|CAD7002335.1|CCAP	LOC117569640|XP_034106768.1|DALB
OG0000302	CCAP1982_LOCUS11854|CAD7003397.1|CCAP	LOC117569641|XP_034106769.1|DALB, LOC117569165|XP_034106119.1|DALB
OG0000303	CCAP1982_LOCUS9710|CAD7001212.1|CCAP	LOC117569110|XP_034106019.1|DALB, LOC117565274|XP_034100193.1|DALB
OG0000304	CCAP1982_LOCUS899|CAD6992014.1|CCAP	LOC117578397|XP_034119743.1|DALB
OG0000305	CCAP1982_LOCUS13487|CAD7005125.1|CCAP	LOC117566478|XP_034101900.1|DALB
OG0000305	CCAP1982_LOCUS13485|CAD7005123.1|CCAP	LOC117571220|XP_034109158.1|DALB
OG0000307	CCAP1982_LOCUS4947|CAD6996264.1|CCAP	LOC117576837|XP_034117803.1|DALB
OG0000307	CCAP1982_LOCUS2700|CAD6993908.1|CCAP	LOC117576237|XP_034116747.1|DALB
OG0000312	CCAP1982_LOCUS5594|CAD6996924.1|CCAP	LOC117563255|XP_034097364.1|DALB
OG0000312	CCAP1982_LOCUS8736|CAD7000244.1|CCAP	LOC117566014|XP_034101325.1|DALB
OG0000313	CCAP1982_LOCUS6026|CAD6997385.1|CCAP	LOC117565945|XP_034101221.1|DALB
OG0000313	CCAP1982_LOCUS6027|CAD6997386.1|CCAP	LOC117563792|XP_034098213.1|DALB, LOC117563796|XP_034098217.1|DALB, LOC117563795|XP_034098216.1|DALB
OG0000314	CCAP1982_LOCUS7021|CAD6998421.1|CCAP	LOC117565974|XP_034101267.1|DALB, LOC117565972|XP_034101260.1|DALB
OG0000315	CCAP1982_LOCUS9179|CAD7000706.1|CCAP	LOC117565065|XP_034099903.1|DALB
OG0000316	CCAP1982_LOCUS21932|CAD7013919.1|CCAP	LOC117570631|XP_034108290.1|DALB
OG0000320	CCAP1982_LOCUS3506|CAD6994775.1|CCAP	LOC117574102|XP_034113634.1|DALB
OG0000321	CCAP1982_LOCUS5968|CAD6997334.1|CCAP	LOC117563967|XP_034098445.1|DALB
OG0000321	CCAP1982_LOCUS6789|CAD6998173.1|CCAP	LOC117563428|XP_034097652.1|DALB
OG0000323	CCAP1982_LOCUS7856|CAD6999329.1|CCAP	LOC117563912|XP_034098365.1|DALB
OG0000323	CCAP1982_LOCUS2694|CAD6993901.1|CCAP	LOC117573484|XP_034112602.1|DALB
OG0000324	CCAP1982_LOCUS20550|CAD7012470.1|CCAP, CCAP1982_LOCUS20551|CAD7012471.1|CCAP	LOC117567191|XP_034102909.1|DALB
OG0000325	CCAP1982_LOCUS14564|CAD7006238.1|CCAP	LOC117570766|XP_034108491.1|DALB
OG0000325	CCAP1982_LOCUS14537|CAD7006209.1|CCAP, CCAP1982_LOCUS14573|CAD7006247.1|CCAP	LOC117570970|XP_034108803.1|DALB
OG0000327	CCAP1982_LOCUS21685|CAD7013638.1|CCAP, CCAP1982_LOCUS21684|CAD7013637.1|CCAP, CCAP1982_LOCUS21688|CAD7013644.1|CCAP	LOC117570935|XP_034108754.1|DALB, LOC117570936|XP_034108755.1|DALB, LOC117571941|XP_034110325.1|DALB
OG0000328	CCAP1982_LOCUS11450|CAD7002987.1|CCAP	LOC117571593|XP_034109700.1|DALB, LOC117571636|XP_034109752.1|DALB, LOC117571607|XP_034109715.1|DALB, LOC117571600|XP_034109707.1|DALB, LOC117571609|XP_034109717.1|DALB
OG0000331	CCAP1982_LOCUS7694|CAD6999156.1|CCAP	LOC117564146|XP_034098700.1|DALB, LOC117564939|XP_034099784.1|DALB, LOC117564524|XP_034099236.1|DALB
OG0000332	CCAP1982_LOCUS2276|CAD6993463.1|CCAP	LOC117565679|XP_034100804.1|DALB
OG0000333	CCAP1982_LOCUS14968|CAD7006666.1|CCAP	LOC117569724|XP_034106883.1|DALB
OG0000333	CCAP1982_LOCUS14967|CAD7006665.1|CCAP	LOC117567518|XP_034103454.1|DALB
OG0000334	CCAP1982_LOCUS20995|CAD7012896.1|CCAP, CCAP1982_LOCUS19902|CAD7011792.1|CCAP	LOC117566762|XP_034102196.1|DALB
OG0000335	CCAP1982_LOCUS6099|CAD6997453.1|CCAP	LOC117564531|XP_034099242.1|DALB
OG0000335	CCAP1982_LOCUS6100|CAD6997454.1|CCAP	LOC117565324|XP_034100254.1|DALB
OG0000336	CCAP1982_LOCUS705|CAD6991802.1|CCAP	LOC117576503|XP_034117189.1|DALB, LOC117576563|XP_034117293.1|DALB, LOC117575304|XP_034115348.1|DALB
OG0000337	CCAP1982_LOCUS4380|CAD6995673.1|CCAP	LOC117568830|XP_034105596.1|DALB, LOC117568829|XP_034105593.1|DALB
OG0000338	CCAP1982_LOCUS10874|CAD7002380.1|CCAP	LOC117570056|XP_034107380.1|DALB
OG0000338	CCAP1982_LOCUS23221|CAD7015274.1|CCAP	LOC117568531|XP_034105127.1|DALB
OG0000339	CCAP1982_LOCUS14878|CAD7006564.1|CCAP	LOC117570748|XP_034108461.1|DALB
OG0000340	CCAP1982_LOCUS19733|CAD7011646.1|CCAP	LOC117567156|XP_034102859.1|DALB
OG0000343	CCAP1982_LOCUS1051|CAD6992177.1|CCAP	LOC117573686|XP_034112930.1|DALB
OG0000344	CCAP1982_LOCUS22694|CAD7014712.1|CCAP	LOC117570793|XP_034108539.1|DALB
OG0000344	CCAP1982_LOCUS2029|CAD6993210.1|CCAP	LOC117576726|XP_034117639.1|DALB
OG0000345	CCAP1982_LOCUS22702|CAD7014723.1|CCAP	LOC117572184|XP_034110729.1|DALB
OG0000345	CCAP1982_LOCUS20163|CAD7012061.1|CCAP	LOC117572575|XP_034111348.1|DALB
OG0000346	CCAP1982_LOCUS21350|CAD7013279.1|CCAP	LOC117570387|XP_034107890.1|DALB
OG0000347	CCAP1982_LOCUS12932|CAD7004535.1|CCAP	LOC117565574|XP_034100645.1|DALB, LOC117571200|XP_034109135.1|DALB
OG0000347	CCAP1982_LOCUS8872|CAD7000397.1|CCAP	LOC117564059|XP_034098572.1|DALB
OG0000349	CCAP1982_LOCUS5504|CAD6996831.1|CCAP, CCAP1982_LOCUS5503|CAD6996830.1|CCAP	LOC117566057|XP_034101404.1|DALB
OG0000350	CCAP1982_LOCUS13445|CAD7005081.1|CCAP	LOC117571014|XP_034108863.1|DALB, LOC117571016|XP_034108865.1|DALB
OG0000350	CCAP1982_LOCUS13444|CAD7005080.1|CCAP	LOC117571017|XP_034108866.1|DALB
OG0000351	CCAP1982_LOCUS19932|CAD7011822.1|CCAP	LOC117568760|XP_034105487.1|DALB
OG0000353	CCAP1982_LOCUS1631|CAD6992792.1|CCAP, CCAP1982_LOCUS1641|CAD6992802.1|CCAP, CCAP1982_LOCUS1649|CAD6992810.1|CCAP	LOC117574901|XP_034114830.1|DALB
OG0000353	CCAP1982_LOCUS5604|CAD6996934.1|CCAP	LOC117563247|XP_034097350.1|DALB
OG0000354	CCAP1982_LOCUS8239|CAD6999713.1|CCAP	LOC117566174|XP_034101568.1|DALB
OG0000355	CCAP1982_LOCUS21870|CAD7013851.1|CCAP	LOC117572656|XP_034111540.1|DALB
OG0000355	CCAP1982_LOCUS21864|CAD7013844.1|CCAP	LOC117566977|XP_034102529.1|DALB
OG0000356	CCAP1982_LOCUS21448|CAD7013383.1|CCAP, CCAP1982_LOCUS21447|CAD7013382.1|CCAP	LOC117563677|XP_034097995.1|DALB, LOC117564977|XP_034099813.1|DALB
OG0000357	CCAP1982_LOCUS10551|CAD7002063.1|CCAP, CCAP1982_LOCUS10097|CAD7001603.1|CCAP	LOC117577322|XP_034118176.1|DALB
OG0000361	CCAP1982_LOCUS5571|CAD6996898.1|CCAP	LOC117565676|XP_034100800.1|DALB, LOC117565673|XP_034100796.1|DALB
OG0000362	CCAP1982_LOCUS13419|CAD7005048.1|CCAP	LOC117573184|XP_034112059.1|DALB
OG0000362	CCAP1982_LOCUS14636|CAD7006314.1|CCAP	LOC117568679|XP_034105375.1|DALB
OG0000363	CCAP1982_LOCUS4780|CAD6996073.1|CCAP	LOC117575649|XP_034115823.1|DALB
OG0000363	CCAP1982_LOCUS11893|CAD7003437.1|CCAP, CCAP1982_LOCUS11894|CAD7003438.1|CCAP	LOC117568929|XP_034105731.1|DALB
OG0000364	CCAP1982_LOCUS11310|CAD7002841.1|CCAP, CCAP1982_LOCUS11307|CAD7002837.1|CCAP, CCAP1982_LOCUS11309|CAD7002840.1|CCAP, CCAP1982_LOCUS11306|CAD7002836.1|CCAP	LOC117567728|XP_034103780.1|DALB
OG0000364	CCAP1982_LOCUS11297|CAD7002827.1|CCAP	LOC117567729|XP_034103781.1|DALB
OG0000365	CCAP1982_LOCUS22064|CAD7014056.1|CCAP	LOC117567394|XP_034103236.1|DALB
OG0000365	CCAP1982_LOCUS7434|CAD6998887.1|CCAP	LOC117566145|XP_034101522.1|DALB
OG0000366	CCAP1982_LOCUS89|CAD6991147.1|CCAP	LOC117575390|XP_034115456.1|DALB
OG0000367	CCAP1982_LOCUS7492|CAD6998946.1|CCAP	LOC117568412|XP_034104944.1|DALB
OG0000367	CCAP1982_LOCUS20529|CAD7012448.1|CCAP	LOC117569812|XP_034107020.1|DALB
OG0000368	CCAP1982_LOCUS13421|CAD7005051.1|CCAP	LOC117567355|XP_034103180.1|DALB
OG0000368	CCAP1982_LOCUS14032|CAD7005679.1|CCAP	LOC117567356|XP_034103184.1|DALB
OG0000378	CCAP1982_LOCUS6736|CAD6998125.1|CCAP	LOC117572598|XP_034111402.1|DALB
OG0000379	CCAP1982_LOCUS21660|CAD7013606.1|CCAP	LOC117566832|XP_034102296.1|DALB
OG0000380	CCAP1982_LOCUS12649|CAD7004230.1|CCAP	LOC117570332|XP_034107774.1|DALB
OG0000381	CCAP1982_LOCUS571|CAD6991657.1|CCAP	LOC117565286|XP_034100205.1|DALB
OG0000381	CCAP1982_LOCUS5374|CAD6996690.1|CCAP	LOC117564593|XP_034099331.1|DALB
OG0000383	CCAP1982_LOCUS8613|CAD7000118.1|CCAP	LOC117565186|XP_034100079.1|DALB
OG0000383	CCAP1982_LOCUS8611|CAD7000116.1|CCAP	LOC117564663|XP_034099417.1|DALB
OG0000384	CCAP1982_LOCUS21415|CAD7013347.1|CCAP	LOC117571100|XP_034108973.1|DALB
OG0000384	CCAP1982_LOCUS21411|CAD7013343.1|CCAP, CCAP1982_LOCUS21405|CAD7013337.1|CCAP	LOC117568302|XP_034104736.1|DALB
OG0000386	CCAP1982_LOCUS2499|CAD6993693.1|CCAP	LOC117568177|XP_034104503.1|DALB, LOC117575199|XP_034115207.1|DALB
OG0000389	CCAP1982_LOCUS4106|CAD6995388.1|CCAP, CCAP1982_LOCUS4103|CAD6995385.1|CCAP	LOC117577392|XP_034118191.1|DALB
OG0000389	CCAP1982_LOCUS19656|CAD7011568.1|CCAP	LOC117570394|XP_034107903.1|DALB
OG0000390	CCAP1982_LOCUS21890|CAD7013874.1|CCAP	LOC117565866|XP_034101093.1|DALB
OG0000391	CCAP1982_LOCUS21905|CAD7013892.1|CCAP	LOC117572754|XP_034111729.1|DALB
OG0000391	CCAP1982_LOCUS21907|CAD7013893.1|CCAP	LOC117570348|XP_034107796.1|DALB
OG0000392	CCAP1982_LOCUS6845|CAD6998235.1|CCAP	LOC117565611|XP_034100706.1|DALB
OG0000393	CCAP1982_LOCUS7644|CAD6999099.1|CCAP	LOC117563689|XP_034098012.1|DALB
OG0000393	CCAP1982_LOCUS7637|CAD6999091.1|CCAP	LOC117563690|XP_034098024.1|DALB
OG0000395	CCAP1982_LOCUS13447|CAD7005084.1|CCAP	LOC117570546|XP_034108158.1|DALB, LOC117566474|XP_034101896.1|DALB, LOC117566475|XP_034101897.1|DALB
OG0000396	CCAP1982_LOCUS8304|CAD6999782.1|CCAP, CCAP1982_LOCUS8303|CAD6999781.1|CCAP, CCAP1982_LOCUS8305|CAD6999783.1|CCAP	LOC117563219|XP_034097301.1|DALB, LOC117563220|XP_034097303.1|DALB
OG0000397	CCAP1982_LOCUS22197|CAD7014192.1|CCAP, CCAP1982_LOCUS22198|CAD7014193.1|CCAP	LOC117572330|XP_034110958.1|DALB, LOC117571299|XP_034109260.1|DALB, LOC117571225|XP_034109163.1|DALB, LOC117571295|XP_034109257.1|DALB, LOC117571290|XP_034109251.1|DALB
OG0000399	CCAP1982_LOCUS1621|CAD6992781.1|CCAP	LOC117576396|XP_034117001.1|DALB
OG0000399	CCAP1982_LOCUS3083|CAD6994327.1|CCAP	LOC117576395|XP_034117000.1|DALB
OG0000403	CCAP1982_LOCUS1259|CAD6992395.1|CCAP	LOC117573582|XP_034112760.1|DALB
OG0000403	CCAP1982_LOCUS22013|CAD7014006.1|CCAP	LOC117566920|XP_034102431.1|DALB
OG0000404	CCAP1982_LOCUS1097|CAD6992227.1|CCAP	LOC117575731|XP_034115966.1|DALB
OG0000406	CCAP1982_LOCUS11897|CAD7003443.1|CCAP	LOC117567823|XP_034103955.1|DALB
OG0000406	CCAP1982_LOCUS21278|CAD7013207.1|CCAP	LOC117570598|XP_034108232.1|DALB
OG0000407	CCAP1982_LOCUS12843|CAD7004436.1|CCAP	LOC117570063|XP_034107388.1|DALB
OG0000407	CCAP1982_LOCUS12844|CAD7004437.1|CCAP	LOC117572447|XP_034111169.1|DALB
OG0000408	CCAP1982_LOCUS7779|CAD6999248.1|CCAP	LOC117564231|XP_034098813.1|DALB, LOC117564414|XP_034099037.1|DALB, LOC117564537|XP_034099250.1|DALB, LOC117563853|XP_034098272.1|DALB
OG0000409	CCAP1982_LOCUS21376|CAD7013305.1|CCAP, CCAP1982_LOCUS21379|CAD7013308.1|CCAP	LOC117570871|XP_034108654.1|DALB, LOC117570740|XP_034108453.1|DALB, LOC117571128|XP_034109020.1|DALB, LOC117569890|XP_034107122.1|DALB
OG0000411	CCAP1982_LOCUS957|CAD6992077.1|CCAP	LOC117574251|XP_034113871.1|DALB
OG0000411	CCAP1982_LOCUS6392|CAD6997762.1|CCAP	LOC117564530|XP_034099241.1|DALB
OG0000412	CCAP1982_LOCUS13595|CAD7005237.1|CCAP	LOC117572543|XP_034111304.1|DALB
OG0000413	CCAP1982_LOCUS275|CAD6991346.1|CCAP	LOC117575322|XP_034115369.1|DALB
OG0000413	CCAP1982_LOCUS5039|CAD6996361.1|CCAP, CCAP1982_LOCUS5038|CAD6996360.1|CCAP, CCAP1982_LOCUS5040|CAD6996362.1|CCAP	LOC117575308|XP_034115353.1|DALB, LOC117575051|XP_034115024.1|DALB
OG0000414	CCAP1982_LOCUS19440|CAD7011335.1|CCAP	LOC117567214|XP_034102934.1|DALB
OG0000415	CCAP1982_LOCUS19715|CAD7011626.1|CCAP	LOC117567067|XP_034102700.1|DALB
OG0000415	CCAP1982_LOCUS19713|CAD7011624.1|CCAP	LOC117568229|XP_034104593.1|DALB
OG0000417	CCAP1982_LOCUS1860|CAD6993024.1|CCAP, CCAP1982_LOCUS1861|CAD6993025.1|CCAP	LOC117575059|XP_034115031.1|DALB
OG0000419	CCAP1982_LOCUS21861|CAD7013841.1|CCAP	LOC117572567|XP_034111338.1|DALB
OG0000421	CCAP1982_LOCUS8404|CAD6999894.1|CCAP	LOC117563687|XP_034098009.1|DALB
OG0000421	CCAP1982_LOCUS8319|CAD6999803.1|CCAP	LOC117565567|XP_034100634.1|DALB
OG0000422	CCAP1982_LOCUS4204|CAD6995489.1|CCAP	LOC117573745|XP_034113016.1|DALB
OG0000423	CCAP1982_LOCUS19616|CAD7011527.1|CCAP	LOC117568715|XP_034105422.1|DALB
OG0000423	CCAP1982_LOCUS19615|CAD7011526.1|CCAP	LOC117570125|XP_034107480.1|DALB
OG0000424	CCAP1982_LOCUS19629|CAD7011540.1|CCAP	LOC117567277|XP_034103034.1|DALB
OG0000424	CCAP1982_LOCUS19630|CAD7011542.1|CCAP	LOC117570624|XP_034108277.1|DALB
OG0000425	CCAP1982_LOCUS20315|CAD7012217.1|CCAP	LOC117571691|XP_034109872.1|DALB
OG0000425	CCAP1982_LOCUS20895|CAD7012794.1|CCAP	LOC117571118|XP_034109005.1|DALB
OG0000426	CCAP1982_LOCUS4810|CAD6996114.1|CCAP, CCAP1982_LOCUS6894|CAD6998285.1|CCAP	LOC117568371|XP_034104865.1|DALB, LOC117567641|XP_034103638.1|DALB
OG0000428	CCAP1982_LOCUS20636|CAD7012551.1|CCAP, CCAP1982_LOCUS20637|CAD7012552.1|CCAP	LOC117568170|XP_034104494.1|DALB, LOC117568169|XP_034104493.1|DALB
OG0000429	CCAP1982_LOCUS20662|CAD7012577.1|CCAP, CCAP1982_LOCUS20663|CAD7012578.1|CCAP	LOC117568538|XP_034105147.1|DALB
OG0000433	CCAP1982_LOCUS10907|CAD7002416.1|CCAP	LOC117572721|XP_034111674.1|DALB
OG0000434	CCAP1982_LOCUS20167|CAD7012067.1|CCAP	LOC117573374|XP_034112402.1|DALB
OG0000434	CCAP1982_LOCUS22714|CAD7014736.1|CCAP	LOC117570392|XP_034107897.1|DALB, LOC117571069|XP_034108930.1|DALB
OG0000438	CCAP1982_LOCUS1066|CAD6992194.1|CCAP, CCAP1982_LOCUS1067|CAD6992195.1|CCAP	LOC117573307|XP_034112303.1|DALB
OG0000439	CCAP1982_LOCUS6443|CAD6997819.1|CCAP	LOC117565270|XP_034100188.1|DALB
OG0000439	CCAP1982_LOCUS12270|CAD7003837.1|CCAP	LOC117571111|XP_034108985.1|DALB
OG0000440	CCAP1982_LOCUS22496|CAD7014494.1|CCAP	LOC117570223|XP_034107613.1|DALB, LOC117570224|XP_034107614.1|DALB, LOC117570222|XP_034107612.1|DALB
OG0000440	CCAP1982_LOCUS22497|CAD7014495.1|CCAP	LOC117567896|XP_034104059.1|DALB
OG0000441	CCAP1982_LOCUS21648|CAD7013593.1|CCAP, CCAP1982_LOCUS21647|CAD7013592.1|CCAP	LOC117570102|XP_034107450.1|DALB
OG0000441	CCAP1982_LOCUS21646|CAD7013591.1|CCAP	LOC117569290|XP_034106286.1|DALB
OG0000443	CCAP1982_LOCUS7793|CAD6999263.1|CCAP	LOC117569537|XP_034106631.1|DALB, LOC117570957|XP_034108783.1|DALB
OG0000444	CCAP1982_LOCUS11680|CAD7003219.1|CCAP	LOC117564594|XP_034099337.1|DALB
OG0000444	CCAP1982_LOCUS11679|CAD7003218.1|CCAP	LOC117564527|XP_034099239.1|DALB
OG0000446	CCAP1982_LOCUS20865|CAD7012761.1|CCAP	LOC117575905|XP_034116240.1|DALB
OG0000446	CCAP1982_LOCUS13488|CAD7005126.1|CCAP	LOC117569928|XP_034107178.1|DALB
OG0000448	CCAP1982_LOCUS3324|CAD6994585.1|CCAP, CCAP1982_LOCUS3323|CAD6994584.1|CCAP	LOC117576233|XP_034116742.1|DALB
OG0000449	CCAP1982_LOCUS11067|CAD7002580.1|CCAP	LOC117572037|XP_034110488.1|DALB
OG0000449	CCAP1982_LOCUS6102|CAD6997459.1|CCAP	LOC117564461|XP_034099137.1|DALB
OG0000454	CCAP1982_LOCUS23327|CAD7015383.1|CCAP, CCAP1982_LOCUS23322|CAD7015378.1|CCAP, CCAP1982_LOCUS23324|CAD7015380.1|CCAP, CCAP1982_LOCUS23323|CAD7015379.1|CCAP, CCAP1982_LOCUS23320|CAD7015376.1|CCAP, CCAP1982_LOCUS23326|CAD7015382.1|CCAP, CCAP1982_LOCUS23321|CAD7015377.1|CCAP, CCAP1982_LOCUS23325|CAD7015381.1|CCAP	LOC117563716|XP_034098064.1|DALB, LOC117565191|XP_034100086.1|DALB
OG0000456	CCAP1982_LOCUS10154|CAD7001662.1|CCAP	LOC117573143|XP_034111972.1|DALB
OG0000456	CCAP1982_LOCUS6580|CAD6997962.1|CCAP	LOC117563277|XP_034097400.1|DALB
OG0000457	CCAP1982_LOCUS5601|CAD6996931.1|CCAP	LOC117565212|XP_034100110.1|DALB
OG0000457	CCAP1982_LOCUS6131|CAD6997489.1|CCAP	LOC117564515|XP_034099226.1|DALB
OG0000458	CCAP1982_LOCUS8276|CAD6999754.1|CCAP	LOC117563861|XP_034098286.1|DALB
OG0000460	CCAP1982_LOCUS8651|CAD7000158.1|CCAP	LOC117565458|XP_034100451.1|DALB
OG0000462	CCAP1982_LOCUS4493|CAD6995789.1|CCAP	LOC117575942|XP_034116293.1|DALB, LOC117575940|XP_034116292.1|DALB
OG0000465	CCAP1982_LOCUS3256|CAD6994512.1|CCAP, CCAP1982_LOCUS3257|CAD6994513.1|CCAP	LOC117576223|XP_034116725.1|DALB
OG0000465	CCAP1982_LOCUS3258|CAD6994514.1|CCAP	LOC117576222|XP_034116722.1|DALB
OG0000466	CCAP1982_LOCUS7016|CAD6998416.1|CCAP	LOC117564787|XP_034099588.1|DALB
OG0000467	CCAP1982_LOCUS21515|CAD7013450.1|CCAP, CCAP1982_LOCUS21512|CAD7013447.1|CCAP	LOC117571055|XP_034108913.1|DALB
OG0000467	CCAP1982_LOCUS21490|CAD7013426.1|CCAP, CCAP1982_LOCUS21482|CAD7013418.1|CCAP	LOC117568018|XP_034104237.1|DALB
OG0000468	CCAP1982_LOCUS22943|CAD7014985.1|CCAP	LOC117571922|XP_034110294.1|DALB
OG0000469	CCAP1982_LOCUS7328|CAD6998774.1|CCAP	LOC117565858|XP_034101077.1|DALB
OG0000469	CCAP1982_LOCUS7318|CAD6998764.1|CCAP	LOC117565982|XP_034101278.1|DALB
OG0000471	CCAP1982_LOCUS8931|CAD7000454.1|CCAP	LOC117571140|XP_034109033.1|DALB, LOC117564774|XP_034099564.1|DALB
OG0000473	CCAP1982_LOCUS9253|CAD7000778.1|CCAP	LOC117578220|XP_034119485.1|DALB
OG0000473	CCAP1982_LOCUS9254|CAD7000779.1|CCAP	LOC117573572|XP_034112789.1|DALB
OG0000475	CCAP1982_LOCUS2720|CAD6993933.1|CCAP	LOC117575976|XP_034116347.1|DALB
OG0000476	CCAP1982_LOCUS3783|CAD6995057.1|CCAP	LOC117574092|XP_034113618.1|DALB
OG0000476	CCAP1982_LOCUS3784|CAD6995059.1|CCAP	LOC117574302|XP_034113999.1|DALB
OG0000477	CCAP1982_LOCUS3910|CAD6995190.1|CCAP	LOC117576734|XP_034117651.1|DALB
OG0000477	CCAP1982_LOCUS5900|CAD6997267.1|CCAP, CCAP1982_LOCUS3911|CAD6995191.1|CCAP, CCAP1982_LOCUS3912|CAD6995192.1|CCAP	LOC117576735|XP_034117653.1|DALB
OG0000478	CCAP1982_LOCUS23105|CAD7015155.1|CCAP	LOC117577931|XP_034118825.1|DALB, LOC117574156|XP_034113728.1|DALB
