Orthogroup	CCAP.longest_only	AALB.longest_only
OG0000465	CCAP1982_LOCUS3256|CAD6994512.1|CCAP, CCAP1982_LOCUS3257|CAD6994513.1|CCAP, CCAP1982_LOCUS3258|CAD6994514.1|CCAP	LOC118456410|XP_035773015.1|AALB
OG0000466	CCAP1982_LOCUS7016|CAD6998416.1|CCAP	LOC118466949|XP_035792745.1|AALB
OG0000467	CCAP1982_LOCUS21515|CAD7013450.1|CCAP, CCAP1982_LOCUS21512|CAD7013447.1|CCAP, CCAP1982_LOCUS21490|CAD7013426.1|CCAP, CCAP1982_LOCUS21482|CAD7013418.1|CCAP	LOC118467127|XP_035793110.1|AALB
OG0000468	CCAP1982_LOCUS150|CAD6991212.1|CCAP	LOC118458755|XP_035777438.1|AALB
OG0000468	CCAP1982_LOCUS22943|CAD7014985.1|CCAP	LOC118467881|XP_035794686.1|AALB
OG0000469	CCAP1982_LOCUS7316|CAD6998762.1|CCAP, CCAP1982_LOCUS7328|CAD6998774.1|CCAP, CCAP1982_LOCUS7334|CAD6998780.1|CCAP, CCAP1982_LOCUS7318|CAD6998764.1|CCAP	LOC118461268|XP_035782294.1|AALB
OG0000471	CCAP1982_LOCUS8931|CAD7000454.1|CCAP	LOC118458777|XP_035777493.1|AALB
OG0000473	CCAP1982_LOCUS9253|CAD7000778.1|CCAP, CCAP1982_LOCUS9254|CAD7000779.1|CCAP	LOC118460536|XP_035780820.1|AALB
OG0000475	CCAP1982_LOCUS2720|CAD6993933.1|CCAP	LOC118462073|XP_035783973.1|AALB
OG0000476	CCAP1982_LOCUS3783|CAD6995057.1|CCAP, CCAP1982_LOCUS3784|CAD6995059.1|CCAP	LOC118457122|XP_035774328.1|AALB
OG0000477	CCAP1982_LOCUS3910|CAD6995190.1|CCAP, CCAP1982_LOCUS5900|CAD6997267.1|CCAP, CCAP1982_LOCUS3911|CAD6995191.1|CCAP, CCAP1982_LOCUS3912|CAD6995192.1|CCAP	LOC118458053|XP_035776071.1|AALB, LOC118458157|XP_035776247.1|AALB
OG0000478	CCAP1982_LOCUS23105|CAD7015155.1|CCAP	LOC118465346|XP_035789395.1|AALB, LOC118465348|XP_035789400.1|AALB
OG0000479	CCAP1982_LOCUS1329|CAD6992477.1|CCAP, CCAP1982_LOCUS1331|CAD6992479.1|CCAP, CCAP1982_LOCUS1330|CAD6992478.1|CCAP	LOC118465496|XP_035789694.1|AALB, LOC118465360|XP_035789425.1|AALB
OG0000480	CCAP1982_LOCUS7806|CAD6999277.1|CCAP	LOC118461644|XP_035783112.1|AALB
OG0000483	CCAP1982_LOCUS408|CAD6991483.1|CCAP	LOC118456311|XP_035772843.1|AALB
OG0000484	CCAP1982_LOCUS4492|CAD6995788.1|CCAP, CCAP1982_LOCUS4488|CAD6995784.1|CCAP, CCAP1982_LOCUS4489|CAD6995785.1|CCAP	LOC118457307|XP_035774683.1|AALB
OG0000485	CCAP1982_LOCUS14116|CAD7005768.1|CCAP, CCAP1982_LOCUS14117|CAD7005769.1|CCAP	LOC118462932|XP_035784936.1|AALB
OG0000486	CCAP1982_LOCUS21710|CAD7013667.1|CCAP, CCAP1982_LOCUS22884|CAD7014920.1|CCAP	LOC118467942|XP_035794804.1|AALB
OG0000489	CCAP1982_LOCUS1170|CAD6992302.1|CCAP, CCAP1982_LOCUS1171|CAD6992303.1|CCAP	LOC118463309|XP_035785691.1|AALB
OG0000491	CCAP1982_LOCUS12181|CAD7003745.1|CCAP, CCAP1982_LOCUS12180|CAD7003744.1|CCAP	LOC118459356|XP_035778538.1|AALB
OG0000492	CCAP1982_LOCUS22810|CAD7014843.1|CCAP	LOC118459831|XP_035779487.1|AALB
OG0000494	CCAP1982_LOCUS6227|CAD6997588.1|CCAP	LOC118456835|XP_035773824.1|AALB
OG0000495	CCAP1982_LOCUS22934|CAD7014974.1|CCAP, CCAP1982_LOCUS22857|CAD7014893.1|CCAP, CCAP1982_LOCUS22933|CAD7014973.1|CCAP	LOC118457677|XP_035775327.1|AALB, LOC118458639|XP_035777221.1|AALB
OG0000496	CCAP1982_LOCUS7748|CAD6999214.1|CCAP	LOC118461862|XP_035783558.1|AALB
OG0000497	CCAP1982_LOCUS7339|CAD6998785.1|CCAP	LOC118460514|XP_035780773.1|AALB
OG0000498	CCAP1982_LOCUS412|CAD6991488.1|CCAP, CCAP1982_LOCUS414|CAD6991490.1|CCAP	LOC118456312|XP_035772844.1|AALB
OG0000500	CCAP1982_LOCUS14122|CAD7005774.1|CCAP, CCAP1982_LOCUS14118|CAD7005770.1|CCAP	LOC118465195|XP_035789056.1|AALB, LOC118466561|XP_035791997.1|AALB
OG0000504	CCAP1982_LOCUS11753|CAD7003291.1|CCAP	LOC118467635|XP_035794252.1|AALB, LOC118467632|XP_035794247.1|AALB, LOC118467633|XP_035794248.1|AALB, LOC118467634|XP_035794251.1|AALB, LOC118467631|XP_035794245.1|AALB
OG0000506	CCAP1982_LOCUS3861|CAD6995138.1|CCAP, CCAP1982_LOCUS3860|CAD6995137.1|CCAP	LOC118457403|XP_035774860.1|AALB, LOC118458643|XP_035777225.1|AALB
OG0000508	CCAP1982_LOCUS11138|CAD7002655.1|CCAP, CCAP1982_LOCUS11139|CAD7002656.1|CCAP	LOC118463026|XP_035785161.1|AALB
OG0000509	CCAP1982_LOCUS22430|CAD7014434.1|CCAP	LOC118467137|XP_035793145.1|AALB
OG0000509	CCAP1982_LOCUS22451|CAD7014456.1|CCAP	LOC118464548|XP_035787879.1|AALB
OG0000510	CCAP1982_LOCUS6574|CAD6997957.1|CCAP, CCAP1982_LOCUS22882|CAD7014918.1|CCAP, CCAP1982_LOCUS22883|CAD7014919.1|CCAP, CCAP1982_LOCUS22881|CAD7014917.1|CCAP	LOC118466910|XP_035792667.1|AALB
OG0000511	CCAP1982_LOCUS7895|CAD6999368.1|CCAP, CCAP1982_LOCUS7894|CAD6999367.1|CCAP	LOC118461163|XP_035782053.1|AALB
OG0000512	CCAP1982_LOCUS7057|CAD6998460.1|CCAP, CCAP1982_LOCUS6664|CAD6998048.1|CCAP, CCAP1982_LOCUS6663|CAD6998047.1|CCAP, CCAP1982_LOCUS6662|CAD6998046.1|CCAP, CCAP1982_LOCUS6660|CAD6998044.1|CCAP, CCAP1982_LOCUS6661|CAD6998045.1|CCAP	LOC118459691|XP_035779220.1|AALB, LOC118459687|XP_035779214.1|AALB
OG0000513	CCAP1982_LOCUS7011|CAD6998411.1|CCAP	LOC118460302|XP_035780398.1|AALB
OG0000514	CCAP1982_LOCUS6954|CAD6998353.1|CCAP, CCAP1982_LOCUS6964|CAD6998363.1|CCAP	LOC118468899|XP_035796089.1|AALB
OG0000515	CCAP1982_LOCUS9878|CAD7001381.1|CCAP, CCAP1982_LOCUS5206|CAD6996538.1|CCAP, CCAP1982_LOCUS1034|CAD6992156.1|CCAP	LOC118462668|XP_035784458.1|AALB, LOC118462669|XP_035784459.1|AALB
OG0000517	CCAP1982_LOCUS14093|CAD7005742.1|CCAP, CCAP1982_LOCUS14091|CAD7005740.1|CCAP, CCAP1982_LOCUS14092|CAD7005741.1|CCAP	LOC118462787|XP_035784671.1|AALB
OG0000523	CCAP1982_LOCUS4144|CAD6995427.1|CCAP	LOC118457544|XP_035775092.1|AALB
OG0000524	CCAP1982_LOCUS2835|CAD6994063.1|CCAP	LOC118462497|XP_035784108.1|AALB
OG0000525	CCAP1982_LOCUS22367|CAD7014370.1|CCAP, CCAP1982_LOCUS22369|CAD7014372.1|CCAP, CCAP1982_LOCUS22368|CAD7014371.1|CCAP, CCAP1982_LOCUS22373|CAD7014378.1|CCAP	LOC118467117|XP_035793074.1|AALB
OG0000526	CCAP1982_LOCUS5509|CAD6996836.1|CCAP	LOC118457845|XP_035775623.1|AALB
OG0000527	CCAP1982_LOCUS7266|CAD6998709.1|CCAP, CCAP1982_LOCUS9186|CAD7000713.1|CCAP	LOC118468585|XP_035795410.1|AALB
OG0000528	CCAP1982_LOCUS6932|CAD6998327.1|CCAP	LOC118461978|XP_035783799.1|AALB, LOC118468633|XP_035795544.1|AALB
OG0000529	CCAP1982_LOCUS8941|CAD7000464.1|CCAP	LOC118468721|XP_035795744.1|AALB
OG0000530	CCAP1982_LOCUS11031|CAD7002542.1|CCAP, CCAP1982_LOCUS11032|CAD7002543.1|CCAP, CCAP1982_LOCUS11386|CAD7002920.1|CCAP	LOC118460710|XP_035781130.1|AALB
OG0000531	CCAP1982_LOCUS6164|CAD6997524.1|CCAP	LOC118459665|XP_035779162.1|AALB
OG0000532	CCAP1982_LOCUS606|CAD6991693.1|CCAP	LOC118460342|XP_035780461.1|AALB
OG0000535	CCAP1982_LOCUS21016|CAD7012917.1|CCAP	LOC118463303|XP_035785682.1|AALB
OG0000536	CCAP1982_LOCUS14724|CAD7006404.1|CCAP	LOC118465659|XP_035789966.1|AALB, LOC118465658|XP_035789965.1|AALB, LOC118463306|XP_035785684.1|AALB, LOC118463517|XP_035786012.1|AALB
OG0000537	CCAP1982_LOCUS21949|CAD7013938.1|CCAP	LOC118463772|XP_035786479.1|AALB
OG0000538	CCAP1982_LOCUS19765|CAD7011681.1|CCAP, CCAP1982_LOCUS19763|CAD7011678.1|CCAP	LOC118467836|XP_035794621.1|AALB
OG0000539	CCAP1982_LOCUS338|CAD6991411.1|CCAP, CCAP1982_LOCUS341|CAD6991414.1|CCAP	LOC118465211|XP_035789096.1|AALB
OG0000542	CCAP1982_LOCUS700|CAD6991796.1|CCAP, CCAP1982_LOCUS5512|CAD6996839.1|CCAP	LOC118456326|XP_035772875.1|AALB
OG0000543	CCAP1982_LOCUS22601|CAD7014610.1|CCAP	LOC118466100|XP_035790912.1|AALB
OG0000544	CCAP1982_LOCUS11870|CAD7003414.1|CCAP, CCAP1982_LOCUS4262|CAD6995551.1|CCAP	LOC118463604|XP_035786169.1|AALB
OG0000545	CCAP1982_LOCUS2546|CAD6993748.1|CCAP	LOC118456992|XP_035774100.1|AALB, LOC118456289|XP_035772796.1|AALB
OG0000548	CCAP1982_LOCUS13084|CAD7004690.1|CCAP	LOC118464674|XP_035788085.1|AALB
OG0000549	CCAP1982_LOCUS23354|CAD7015411.1|CCAP	LOC118463968|XP_035786863.1|AALB
OG0000550	CCAP1982_LOCUS12168|CAD7003731.1|CCAP, CCAP1982_LOCUS12162|CAD7003725.1|CCAP	LOC118463476|XP_035785959.1|AALB
OG0000551	CCAP1982_LOCUS22917|CAD7014955.1|CCAP	LOC118460219|XP_035780227.1|AALB
OG0000551	CCAP1982_LOCUS22914|CAD7014951.1|CCAP, CCAP1982_LOCUS22915|CAD7014952.1|CCAP	LOC118461306|XP_035782389.1|AALB
OG0000553	CCAP1982_LOCUS7725|CAD6999189.1|CCAP, CCAP1982_LOCUS7726|CAD6999190.1|CCAP, CCAP1982_LOCUS7729|CAD6999193.1|CCAP	LOC118458233|XP_035776395.1|AALB
OG0000554	CCAP1982_LOCUS1799|CAD6992967.1|CCAP	LOC118458180|XP_035776301.1|AALB
OG0000555	CCAP1982_LOCUS11538|CAD7003075.1|CCAP	LOC118457196|XP_035774440.1|AALB
OG0000556	CCAP1982_LOCUS743|CAD6991844.1|CCAP	LOC118459673|XP_035779173.1|AALB
OG0000557	CCAP1982_LOCUS805|CAD6991916.1|CCAP, CCAP1982_LOCUS804|CAD6991915.1|CCAP	LOC118456647|XP_035773478.1|AALB
OG0000559	CCAP1982_LOCUS2187|CAD6993371.1|CCAP, CCAP1982_LOCUS13911|CAD7005551.1|CCAP, CCAP1982_LOCUS13913|CAD7005553.1|CCAP	LOC118464460|XP_035787744.1|AALB
OG0000560	CCAP1982_LOCUS20229|CAD7012131.1|CCAP	LOC118464725|XP_035788198.1|AALB
OG0000561	CCAP1982_LOCUS14402|CAD7006067.1|CCAP, CCAP1982_LOCUS14409|CAD7006074.1|CCAP	LOC118465034|XP_035788791.1|AALB
OG0000562	CCAP1982_LOCUS13630|CAD7005273.1|CCAP, CCAP1982_LOCUS13660|CAD7005303.1|CCAP	LOC118467143|XP_035793164.1|AALB
OG0000566	CCAP1982_LOCUS3532|CAD6994801.1|CCAP, CCAP1982_LOCUS14944|CAD7006638.1|CCAP	LOC118456333|XP_035772887.1|AALB
OG0000568	CCAP1982_LOCUS1992|CAD6993168.1|CCAP	LOC118459614|XP_035779070.1|AALB
OG0000569	CCAP1982_LOCUS3605|CAD6994870.1|CCAP, CCAP1982_LOCUS3641|CAD6994906.1|CCAP, CCAP1982_LOCUS4158|CAD6995441.1|CCAP	LOC118461433|XP_035782635.1|AALB
OG0000570	CCAP1982_LOCUS1165|CAD6992297.1|CCAP, CCAP1982_LOCUS1164|CAD6992296.1|CCAP	LOC118460155|XP_035780145.1|AALB
OG0000571	CCAP1982_LOCUS3952|CAD6995233.1|CCAP, CCAP1982_LOCUS3937|CAD6995218.1|CCAP, CCAP1982_LOCUS3940|CAD6995221.1|CCAP	LOC118466148|XP_035791004.1|AALB
OG0000572	CCAP1982_LOCUS1969|CAD6993143.1|CCAP, CCAP1982_LOCUS1961|CAD6993135.1|CCAP	LOC118463820|XP_035786593.1|AALB
OG0000573	CCAP1982_LOCUS13105|CAD7004712.1|CCAP, CCAP1982_LOCUS13106|CAD7004713.1|CCAP	LOC118466093|XP_035790895.1|AALB
OG0000574	CCAP1982_LOCUS11934|CAD7003483.1|CCAP, CCAP1982_LOCUS11936|CAD7003485.1|CCAP	LOC118466277|XP_035791247.1|AALB
OG0000575	CCAP1982_LOCUS10756|CAD7002260.1|CCAP, CCAP1982_LOCUS10749|CAD7002253.1|CCAP, CCAP1982_LOCUS10759|CAD7002263.1|CCAP, CCAP1982_LOCUS10761|CAD7002266.1|CCAP, CCAP1982_LOCUS10753|CAD7002257.1|CCAP	LOC118463679|XP_035786334.1|AALB
OG0000576	CCAP1982_LOCUS4370|CAD6995663.1|CCAP, CCAP1982_LOCUS4371|CAD6995664.1|CCAP, CCAP1982_LOCUS4375|CAD6995668.1|CCAP	LOC118468399|XP_035795056.1|AALB
OG0000577	CCAP1982_LOCUS7692|CAD6999153.1|CCAP	LOC118456890|XP_035773904.1|AALB
OG0000578	CCAP1982_LOCUS5470|CAD6996797.1|CCAP, CCAP1982_LOCUS12117|CAD7003680.1|CCAP, CCAP1982_LOCUS12116|CAD7003679.1|CCAP, CCAP1982_LOCUS7835|CAD6999307.1|CCAP	LOC118456432|XP_035773082.1|AALB
OG0000579	CCAP1982_LOCUS7710|CAD6999173.1|CCAP, CCAP1982_LOCUS14550|CAD7006224.1|CCAP	LOC118468848|XP_035795984.1|AALB
OG0000580	CCAP1982_LOCUS596|CAD6991683.1|CCAP	LOC118460585|XP_035780898.1|AALB
OG0000581	CCAP1982_LOCUS4884|CAD6996193.1|CCAP	LOC118457211|XP_035774472.1|AALB
OG0000582	CCAP1982_LOCUS20143|CAD7012040.1|CCAP, CCAP1982_LOCUS20144|CAD7012042.1|CCAP	LOC118464258|XP_035787390.1|AALB
OG0000583	CCAP1982_LOCUS22237|CAD7014234.1|CCAP	LOC118468813|XP_035795921.1|AALB
OG0000592	CCAP1982_LOCUS7094|CAD6998505.1|CCAP	LOC118461592|XP_035782989.1|AALB
OG0000593	CCAP1982_LOCUS290|CAD6991360.1|CCAP	LOC118463504|XP_035786000.1|AALB, LOC118459699|XP_035779234.1|AALB
OG0000594	CCAP1982_LOCUS7730|CAD6999194.1|CCAP, CCAP1982_LOCUS2388|CAD6993576.1|CCAP	LOC118459626|XP_035779096.1|AALB
OG0000595	CCAP1982_LOCUS1188|CAD6992320.1|CCAP, CCAP1982_LOCUS1912|CAD6993084.1|CCAP	LOC118461907|XP_035783655.1|AALB
OG0000597	CCAP1982_LOCUS2272|CAD6993459.1|CCAP, CCAP1982_LOCUS2271|CAD6993458.1|CCAP	LOC118456573|XP_035773348.1|AALB
OG0000598	CCAP1982_LOCUS1620|CAD6992780.1|CCAP, CCAP1982_LOCUS1619|CAD6992779.1|CCAP	LOC118460216|XP_035780225.1|AALB, LOC118460212|XP_035780221.1|AALB
OG0000599	CCAP1982_LOCUS12255|CAD7003822.1|CCAP	LOC118459743|XP_035779313.1|AALB, LOC118460049|XP_035779919.1|AALB
OG0000600	CCAP1982_LOCUS23106|CAD7015156.1|CCAP	LOC118463137|XP_035785390.1|AALB, LOC118463136|XP_035785388.1|AALB
OG0000601	CCAP1982_LOCUS5577|CAD6996904.1|CCAP	LOC118466070|XP_035790827.1|AALB
OG0000602	CCAP1982_LOCUS6527|CAD6997909.1|CCAP, CCAP1982_LOCUS6526|CAD6997908.1|CCAP	LOC118458568|XP_035777108.1|AALB
OG0000603	CCAP1982_LOCUS8475|CAD6999970.1|CCAP	LOC118459242|XP_035778337.1|AALB
OG0000604	CCAP1982_LOCUS8179|CAD6999649.1|CCAP, CCAP1982_LOCUS8178|CAD6999648.1|CCAP	LOC118459212|XP_035778285.1|AALB
OG0000605	CCAP1982_LOCUS7962|CAD6999438.1|CCAP	LOC118461557|XP_035782904.1|AALB, LOC118462737|XP_035784586.1|AALB, LOC118461550|XP_035782894.1|AALB, LOC118461549|XP_035782893.1|AALB
OG0000607	CCAP1982_LOCUS588|CAD6991675.1|CCAP	LOC118459255|XP_035778356.1|AALB
OG0000608	CCAP1982_LOCUS21399|CAD7013330.1|CCAP, CCAP1982_LOCUS302|CAD6991372.1|CCAP	LOC118468819|XP_035795943.1|AALB
OG0000610	CCAP1982_LOCUS11659|CAD7003197.1|CCAP	LOC118464160|XP_035787187.1|AALB
OG0000611	CCAP1982_LOCUS20406|CAD7012311.1|CCAP	LOC118467141|XP_035793158.1|AALB
OG0000617	CCAP1982_LOCUS1174|CAD6992306.1|CCAP, CCAP1982_LOCUS1175|CAD6992307.1|CCAP	LOC118468774|XP_035795857.1|AALB
OG0000619	CCAP1982_LOCUS22991|CAD7015034.1|CCAP	LOC118467654|XP_035794288.1|AALB
OG0000619	CCAP1982_LOCUS22996|CAD7015039.1|CCAP	LOC118468301|XP_035794930.1|AALB, LOC118468302|XP_035794931.1|AALB, LOC118467029|XP_035792888.1|AALB
OG0000620	CCAP1982_LOCUS22364|CAD7014367.1|CCAP, CCAP1982_LOCUS11828|CAD7003369.1|CCAP, CCAP1982_LOCUS11826|CAD7003367.1|CCAP	LOC118463555|XP_035786072.1|AALB
OG0000622	CCAP1982_LOCUS14996|CAD7006697.1|CCAP	LOC118463531|XP_035786036.1|AALB
OG0000623	CCAP1982_LOCUS12757|CAD7004341.1|CCAP, CCAP1982_LOCUS12360|CAD7003938.1|CCAP	LOC118466550|XP_035791957.1|AALB
OG0000624	CCAP1982_LOCUS21663|CAD7013611.1|CCAP, CCAP1982_LOCUS21664|CAD7013612.1|CCAP	LOC118467760|XP_035794481.1|AALB
OG0000625	CCAP1982_LOCUS10908|CAD7002417.1|CCAP	LOC118463183|XP_035785491.1|AALB
OG0000626	CCAP1982_LOCUS22251|CAD7014248.1|CCAP	LOC118467393|XP_035793744.1|AALB
OG0000627	CCAP1982_LOCUS13245|CAD7004860.1|CCAP	LOC118457752|XP_035775461.1|AALB
OG0000628	CCAP1982_LOCUS6489|CAD6997870.1|CCAP	LOC118469037|XP_035796393.1|AALB
OG0000629	CCAP1982_LOCUS7865|CAD6999338.1|CCAP	LOC118457228|XP_035774500.1|AALB
OG0000630	CCAP1982_LOCUS6300|CAD6997670.1|CCAP, CCAP1982_LOCUS6298|CAD6997668.1|CCAP	LOC118458897|XP_035777746.1|AALB
OG0000631	CCAP1982_LOCUS8412|CAD6999902.1|CCAP	LOC118456251|XP_035772740.1|AALB
OG0000632	CCAP1982_LOCUS8193|CAD6999663.1|CCAP, CCAP1982_LOCUS8194|CAD6999664.1|CCAP	LOC118457296|XP_035774654.1|AALB
OG0000635	CCAP1982_LOCUS19400|CAD7011293.1|CCAP	LOC118460326|XP_035780430.1|AALB
OG0000639	CCAP1982_LOCUS14414|CAD7006080.1|CCAP	LOC118465352|XP_035789408.1|AALB
OG0000646	CCAP1982_LOCUS1477|CAD6992629.1|CCAP	LOC118456626|XP_035773443.1|AALB
OG0000651	CCAP1982_LOCUS13304|CAD7004921.1|CCAP	LOC118460445|XP_035780650.1|AALB
OG0000652	CCAP1982_LOCUS22325|CAD7014328.1|CCAP	LOC118459384|XP_035778579.1|AALB
OG0000653	CCAP1982_LOCUS3695|CAD6994963.1|CCAP	LOC118459586|XP_035779006.1|AALB, LOC118462049|XP_035783924.1|AALB
OG0000654	CCAP1982_LOCUS12923|CAD7004526.1|CCAP	LOC118467469|XP_035793892.1|AALB
OG0000655	CCAP1982_LOCUS22605|CAD7014614.1|CCAP	LOC118463065|XP_035785214.1|AALB
OG0000656	CCAP1982_LOCUS381|CAD6991456.1|CCAP	LOC118456929|XP_035773959.1|AALB
OG0000657	CCAP1982_LOCUS6719|CAD6998105.1|CCAP	LOC118467944|XP_035794810.1|AALB
OG0000659	CCAP1982_LOCUS5547|CAD6996874.1|CCAP	LOC118468708|XP_035795725.1|AALB
OG0000660	CCAP1982_LOCUS20910|CAD7012810.1|CCAP	LOC118459644|XP_035779119.1|AALB, LOC118459649|XP_035779124.1|AALB, LOC118459645|XP_035779120.1|AALB
OG0000661	CCAP1982_LOCUS8780|CAD7000290.1|CCAP	LOC118457247|XP_035774525.1|AALB
OG0000662	CCAP1982_LOCUS11314|CAD7002845.1|CCAP, CCAP1982_LOCUS11155|CAD7002672.1|CCAP	LOC118460958|XP_035781626.1|AALB
OG0000665	CCAP1982_LOCUS658|CAD6991747.1|CCAP, CCAP1982_LOCUS657|CAD6991746.1|CCAP, CCAP1982_LOCUS656|CAD6991745.1|CCAP, CCAP1982_LOCUS659|CAD6991748.1|CCAP, CCAP1982_LOCUS655|CAD6991744.1|CCAP, CCAP1982_LOCUS654|CAD6991743.1|CCAP	LOC118461359|XP_035782488.1|AALB
OG0000666	CCAP1982_LOCUS19703|CAD7011614.1|CCAP	LOC118460644|XP_035780997.1|AALB
OG0000667	CCAP1982_LOCUS601|CAD6991688.1|CCAP	LOC118459008|XP_035777906.1|AALB
OG0000668	CCAP1982_LOCUS4197|CAD6995481.1|CCAP	LOC118460380|XP_035780530.1|AALB
OG0000671	CCAP1982_LOCUS4225|CAD6995512.1|CCAP, CCAP1982_LOCUS3971|CAD6995250.1|CCAP	LOC118466952|XP_035792744.1|AALB
OG0000672	CCAP1982_LOCUS13692|CAD7005332.1|CCAP, CCAP1982_LOCUS13691|CAD7005331.1|CCAP	LOC118463337|XP_035785745.1|AALB
OG0000678	CCAP1982_LOCUS4210|CAD6995497.1|CCAP	LOC118463047|XP_035785190.1|AALB
OG0000683	CCAP1982_LOCUS2676|CAD6993882.1|CCAP	LOC118457329|XP_035774716.1|AALB, LOC118457327|XP_035774713.1|AALB, LOC118457331|XP_035774718.1|AALB, LOC118460755|XP_035781245.1|AALB, LOC118461198|XP_035782136.1|AALB
OG0000684	CCAP1982_LOCUS1800|CAD6992968.1|CCAP	LOC118468548|XP_035795336.1|AALB
OG0000685	CCAP1982_LOCUS2796|CAD6994019.1|CCAP	LOC118460918|XP_035781564.1|AALB
OG0000686	CCAP1982_LOCUS22639|CAD7014650.1|CCAP	LOC118466111|XP_035790938.1|AALB
OG0000687	CCAP1982_LOCUS13133|CAD7004740.1|CCAP	LOC118467740|XP_035794439.1|AALB
OG0000688	CCAP1982_LOCUS22352|CAD7014355.1|CCAP	LOC118467394|XP_035793749.1|AALB
OG0000689	CCAP1982_LOCUS22767|CAD7014799.1|CCAP	LOC118465952|XP_035790573.1|AALB
OG0000691	CCAP1982_LOCUS11669|CAD7003209.1|CCAP	LOC118463499|XP_035785991.1|AALB
OG0000692	CCAP1982_LOCUS12234|CAD7003801.1|CCAP, CCAP1982_LOCUS12235|CAD7003802.1|CCAP	LOC118464218|XP_035787283.1|AALB
OG0000693	CCAP1982_LOCUS23258|CAD7015313.1|CCAP, CCAP1982_LOCUS633|CAD6991720.1|CCAP	LOC118468443|XP_035795104.1|AALB
OG0000695	CCAP1982_LOCUS8997|CAD7000519.1|CCAP, CCAP1982_LOCUS8984|CAD7000506.1|CCAP	LOC118460282|XP_035780358.1|AALB
OG0000696	CCAP1982_LOCUS8834|CAD7000352.1|CCAP	LOC118468894|XP_035796080.1|AALB
OG0000697	CCAP1982_LOCUS6273|CAD6997638.1|CCAP	LOC118457744|XP_035775449.1|AALB
OG0000698	CCAP1982_LOCUS8717|CAD7000225.1|CCAP	LOC118459033|XP_035777943.1|AALB
OG0000699	CCAP1982_LOCUS6551|CAD6997933.1|CCAP	LOC118459522|XP_035778866.1|AALB
OG0000700	CCAP1982_LOCUS7365|CAD6998816.1|CCAP	LOC118461571|XP_035782952.1|AALB
OG0000701	CCAP1982_LOCUS22532|CAD7014531.1|CCAP	LOC118458667|XP_035777265.1|AALB
OG0000702	CCAP1982_LOCUS883|CAD6991997.1|CCAP	LOC118458785|XP_035777520.1|AALB
OG0000703	CCAP1982_LOCUS7246|CAD6998688.1|CCAP	LOC118459354|XP_035778531.1|AALB
OG0000705	CCAP1982_LOCUS12768|CAD7004352.1|CCAP	LOC118457192|XP_035774434.1|AALB
OG0000710	CCAP1982_LOCUS23336|CAD7015392.1|CCAP	LOC118465879|XP_035790409.1|AALB
OG0000713	CCAP1982_LOCUS23194|CAD7015244.1|CCAP	LOC118461387|XP_035782541.1|AALB
OG0000716	CCAP1982_LOCUS14228|CAD7005886.1|CCAP	LOC118464220|XP_035787285.1|AALB
OG0000717	CCAP1982_LOCUS13750|CAD7005390.1|CCAP	LOC118466327|XP_035791336.1|AALB, LOC118467557|XP_035794080.1|AALB, LOC118464093|XP_035787051.1|AALB, LOC118467556|XP_035794078.1|AALB, LOC118465643|XP_035789945.1|AALB
OG0000726	CCAP1982_LOCUS4572|CAD6995871.1|CCAP	LOC118458096|XP_035776151.1|AALB
OG0000729	CCAP1982_LOCUS3800|CAD6995077.1|CCAP	LOC118457526|XP_035775064.1|AALB
OG0000730	CCAP1982_LOCUS11317|CAD7002848.1|CCAP	LOC118463159|XP_035785437.1|AALB
OG0000731	CCAP1982_LOCUS21712|CAD7013669.1|CCAP	LOC118464461|XP_035787755.1|AALB
OG0000732	CCAP1982_LOCUS11935|CAD7003484.1|CCAP	LOC118466282|XP_035791255.1|AALB
OG0000733	CCAP1982_LOCUS11956|CAD7003506.1|CCAP, CCAP1982_LOCUS11588|CAD7003126.1|CCAP	LOC118466217|XP_035791133.1|AALB
OG0000734	CCAP1982_LOCUS11176|CAD7002699.1|CCAP, CCAP1982_LOCUS11177|CAD7002700.1|CCAP	LOC118463976|XP_035786870.1|AALB
OG0000735	CCAP1982_LOCUS5622|CAD6996955.1|CCAP	LOC118457158|XP_035774377.1|AALB
OG0000736	CCAP1982_LOCUS7876|CAD6999349.1|CCAP	LOC118460963|XP_035781632.1|AALB
OG0000737	CCAP1982_LOCUS14759|CAD7006440.1|CCAP, CCAP1982_LOCUS14757|CAD7006438.1|CCAP	LOC118467259|XP_035793435.1|AALB
OG0000737	CCAP1982_LOCUS21521|CAD7013456.1|CCAP	LOC118458472|XP_035776897.1|AALB
OG0000739	CCAP1982_LOCUS4635|CAD6995933.1|CCAP	LOC118467299|XP_035793513.1|AALB
OG0000740	CCAP1982_LOCUS7812|CAD6999283.1|CCAP	LOC118462970|XP_035785030.1|AALB
OG0000740	CCAP1982_LOCUS851|CAD6991963.1|CCAP	LOC118456537|XP_035773278.1|AALB
OG0000743	CCAP1982_LOCUS12884|CAD7004479.1|CCAP	LOC118461608|XP_035783027.1|AALB
OG0000744	CCAP1982_LOCUS20285|CAD7012184.1|CCAP	LOC118464721|XP_035788186.1|AALB
OG0000746	CCAP1982_LOCUS7111|CAD6998524.1|CCAP	LOC118463465|XP_035785948.1|AALB
