Orthogroup	CCAP.longest_only	CPIP.longest_only
OG0001603	CCAP1982_LOCUS5630|CAD6996964.1|CCAP	LOC120414749|XP_039432000.1|CPIP, LOC120414764|XP_039432012.1|CPIP
OG0001605	CCAP1982_LOCUS22126|CAD7014120.1|CCAP	LOC120413091|XP_039429732.1|CPIP
OG0001607	CCAP1982_LOCUS7005|CAD6998405.1|CCAP	LOC120418969|XP_039437448.1|CPIP
OG0001608	CCAP1982_LOCUS5486|CAD6996813.1|CCAP	LOC120427864|XP_039448726.1|CPIP
OG0001609	CCAP1982_LOCUS7243|CAD6998685.1|CCAP, CCAP1982_LOCUS7242|CAD6998684.1|CCAP	LOC120420820|XP_039439874.1|CPIP
OG0001610	CCAP1982_LOCUS5695|CAD6997037.1|CCAP	LOC120428576|XP_039449546.1|CPIP
OG0001612	CCAP1982_LOCUS8268|CAD6999742.1|CCAP	LOC120419183|XP_039437785.1|CPIP
OG0001613	CCAP1982_LOCUS5623|CAD6996956.1|CCAP	LOC120416790|XP_039434590.1|CPIP, LOC120416799|XP_039434609.1|CPIP
OG0001614	CCAP1982_LOCUS22551|CAD7014550.1|CCAP	LOC120422521|XP_039441909.1|CPIP
OG0001615	CCAP1982_LOCUS6168|CAD6997529.1|CCAP	LOC120419796|XP_039438566.1|CPIP
OG0001616	CCAP1982_LOCUS7604|CAD6999057.1|CCAP	LOC120423118|XP_039442730.1|CPIP
OG0001617	CCAP1982_LOCUS5479|CAD6996806.1|CCAP, CCAP1982_LOCUS5480|CAD6996807.1|CCAP	LOC120432444|XP_039453594.1|CPIP
OG0001619	CCAP1982_LOCUS5387|CAD6996703.1|CCAP	LOC120428738|XP_039449747.1|CPIP, LOC120428155|XP_039449072.1|CPIP, LOC120414547|XP_039431695.1|CPIP
OG0001620	CCAP1982_LOCUS20177|CAD7012077.1|CCAP	LOC120429789|XP_039450783.1|CPIP
OG0001621	CCAP1982_LOCUS22660|CAD7014672.1|CCAP, CCAP1982_LOCUS22659|CAD7014671.1|CCAP	LOC120432437|XP_039453589.1|CPIP
OG0001623	CCAP1982_LOCUS7558|CAD6999011.1|CCAP, CCAP1982_LOCUS7557|CAD6999010.1|CCAP	LOC120420521|XP_039439520.1|CPIP
OG0001624	CCAP1982_LOCUS5456|CAD6996781.1|CCAP	LOC120423390|XP_039443109.1|CPIP
OG0001625	CCAP1982_LOCUS6407|CAD6997782.1|CCAP	LOC120423393|XP_039443115.1|CPIP, LOC120423414|XP_039443148.1|CPIP
OG0001626	CCAP1982_LOCUS8185|CAD6999655.1|CCAP	LOC120414851|XP_039432111.1|CPIP
OG0001627	CCAP1982_LOCUS760|CAD6991866.1|CCAP	LOC120432366|XP_039453493.1|CPIP, LOC120414733|XP_039431979.1|CPIP
OG0001628	CCAP1982_LOCUS314|CAD6991387.1|CCAP	LOC120427953|XP_039448839.1|CPIP, LOC120426132|XP_039446769.1|CPIP
OG0001631	CCAP1982_LOCUS4669|CAD6995958.1|CCAP	LOC120422096|XP_039441377.1|CPIP
OG0001633	CCAP1982_LOCUS5110|CAD6996438.1|CCAP	LOC120424393|XP_039444425.1|CPIP
OG0001635	CCAP1982_LOCUS787|CAD6991897.1|CCAP	LOC120421493|XP_039440646.1|CPIP, LOC120421517|XP_039440669.1|CPIP
OG0001636	CCAP1982_LOCUS501|CAD6991583.1|CCAP, CCAP1982_LOCUS500|CAD6991582.1|CCAP	LOC120421751|XP_039440961.1|CPIP, LOC120421508|XP_039440662.1|CPIP
OG0001637	CCAP1982_LOCUS2588|CAD6993790.1|CCAP	LOC120425675|XP_039446192.1|CPIP, LOC120425682|XP_039446199.1|CPIP
OG0001640	CCAP1982_LOCUS4427|CAD6995721.1|CCAP	LOC120419431|XP_039438043.1|CPIP
OG0001641	CCAP1982_LOCUS523|CAD6991608.1|CCAP	LOC120426911|XP_039447651.1|CPIP, LOC120429731|XP_039450717.1|CPIP, LOC120423165|XP_039442780.1|CPIP
OG0001642	CCAP1982_LOCUS7454|CAD6998907.1|CCAP	LOC120419434|XP_039438047.1|CPIP
OG0001643	CCAP1982_LOCUS14069|CAD7005717.1|CCAP	LOC120429849|XP_039450856.1|CPIP, LOC120429588|XP_039450559.1|CPIP, LOC120424595|XP_039444692.1|CPIP
OG0001644	CCAP1982_LOCUS14033|CAD7005680.1|CCAP	LOC120426488|XP_039447190.1|CPIP
OG0001645	CCAP1982_LOCUS21147|CAD7013069.1|CCAP	LOC120418465|XP_039436834.1|CPIP
OG0001647	CCAP1982_LOCUS20200|CAD7012101.1|CCAP, CCAP1982_LOCUS20197|CAD7012098.1|CCAP	LOC120424726|XP_039444847.1|CPIP
OG0001648	CCAP1982_LOCUS14220|CAD7005878.1|CCAP	LOC120414035|XP_039430991.1|CPIP
OG0001649	CCAP1982_LOCUS7144|CAD6998561.1|CCAP	LOC120430247|XP_039451262.1|CPIP
OG0001650	CCAP1982_LOCUS20338|CAD7012242.1|CCAP	LOC120412727|XP_039429247.1|CPIP
OG0001652	CCAP1982_LOCUS14192|CAD7005849.1|CCAP, CCAP1982_LOCUS14193|CAD7005850.1|CCAP, CCAP1982_LOCUS14191|CAD7005848.1|CCAP	LOC120412353|XP_039428701.1|CPIP
OG0001653	CCAP1982_LOCUS13526|CAD7005165.1|CCAP	LOC120416809|XP_039434617.1|CPIP
OG0001654	CCAP1982_LOCUS19406|CAD7011299.1|CCAP, CCAP1982_LOCUS19405|CAD7011298.1|CCAP	LOC120426496|XP_039447199.1|CPIP
OG0001655	CCAP1982_LOCUS20689|CAD7012605.1|CCAP	LOC120420338|XP_039439267.1|CPIP
OG0001656	CCAP1982_LOCUS10973|CAD7002484.1|CCAP, CCAP1982_LOCUS5373|CAD6996689.1|CCAP	LOC120423728|XP_039443568.1|CPIP
OG0001657	CCAP1982_LOCUS13406|CAD7005034.1|CCAP	LOC120422234|XP_039441552.1|CPIP
OG0001658	CCAP1982_LOCUS13424|CAD7005054.1|CCAP	LOC120431660|XP_039452701.1|CPIP, LOC120422225|XP_039441544.1|CPIP
OG0001659	CCAP1982_LOCUS14508|CAD7006179.1|CCAP, CCAP1982_LOCUS14509|CAD7006180.1|CCAP	LOC120423689|XP_039443515.1|CPIP
OG0001661	CCAP1982_LOCUS3522|CAD6994791.1|CCAP	LOC120414638|XP_039431808.1|CPIP
OG0001665	CCAP1982_LOCUS12348|CAD7003923.1|CCAP, CCAP1982_LOCUS23143|CAD7015191.1|CCAP, CCAP1982_LOCUS8844|CAD7000364.1|CCAP, CCAP1982_LOCUS3218|CAD6994473.1|CCAP, CCAP1982_LOCUS8376|CAD6999866.1|CCAP, CCAP1982_LOCUS13622|CAD7005265.1|CCAP, CCAP1982_LOCUS14500|CAD7006174.1|CCAP, CCAP1982_LOCUS5778|CAD6997133.1|CCAP, CCAP1982_LOCUS5380|CAD6996696.1|CCAP, CCAP1982_LOCUS21638|CAD7013583.1|CCAP, CCAP1982_LOCUS157|CAD6991219.1|CCAP, CCAP1982_LOCUS8105|CAD6999581.1|CCAP, CCAP1982_LOCUS14623|CAD7006301.1|CCAP, CCAP1982_LOCUS2797|CAD6994020.1|CCAP, CCAP1982_LOCUS2798|CAD6994021.1|CCAP, CCAP1982_LOCUS7327|CAD6998773.1|CCAP, CCAP1982_LOCUS10066|CAD7001572.1|CCAP, CCAP1982_LOCUS8112|CAD6999588.1|CCAP, CCAP1982_LOCUS14285|CAD7005947.1|CCAP, CCAP1982_LOCUS12724|CAD7004304.1|CCAP, CCAP1982_LOCUS14818|CAD7006502.1|CCAP, CCAP1982_LOCUS4031|CAD6995312.1|CCAP, CCAP1982_LOCUS8130|CAD6999607.1|CCAP, CCAP1982_LOCUS11860|CAD7003404.1|CCAP	LOC120414937|XP_039432202.1|CPIP
OG0001666	CCAP1982_LOCUS6021|CAD6997382.1|CCAP, CCAP1982_LOCUS6019|CAD6997380.1|CCAP, CCAP1982_LOCUS6022|CAD6997383.1|CCAP, CCAP1982_LOCUS6020|CAD6997381.1|CCAP, CCAP1982_LOCUS4374|CAD6995667.1|CCAP, CCAP1982_LOCUS11372|CAD7002903.1|CCAP	LOC120418637|XP_039437016.1|CPIP
OG0001683	CCAP1982_LOCUS5522|CAD6996846.1|CCAP	LOC120431556|XP_039452597.1|CPIP
OG0001685	CCAP1982_LOCUS8076|CAD6999556.1|CCAP	LOC120414662|XP_039431865.1|CPIP, LOC120415701|XP_039433226.1|CPIP
OG0001690	CCAP1982_LOCUS12978|CAD7004583.1|CCAP	LOC120427975|XP_039448865.1|CPIP
OG0001691	CCAP1982_LOCUS8134|CAD6999611.1|CCAP	LOC120412506|XP_039428944.1|CPIP
OG0001692	CCAP1982_LOCUS1217|CAD6992353.1|CCAP	LOC120429639|XP_039450600.1|CPIP
OG0001694	CCAP1982_LOCUS2123|CAD6993306.1|CCAP	LOC120415614|XP_039433143.1|CPIP, LOC120430709|XP_039451751.1|CPIP
OG0001696	CCAP1982_LOCUS2180|CAD6993362.1|CCAP	LOC120424936|XP_039445172.1|CPIP
OG0001696	CCAP1982_LOCUS2178|CAD6993360.1|CCAP	LOC120429492|XP_039450498.1|CPIP
OG0001699	CCAP1982_LOCUS1706|CAD6992871.1|CCAP, CCAP1982_LOCUS1691|CAD6992856.1|CCAP, CCAP1982_LOCUS1708|CAD6992873.1|CCAP	LOC120425702|XP_039446227.1|CPIP
OG0001700	CCAP1982_LOCUS4439|CAD6995734.1|CCAP	LOC120413748|XP_039430614.1|CPIP, LOC120413786|XP_039430669.1|CPIP
OG0001701	CCAP1982_LOCUS3386|CAD6994651.1|CCAP, CCAP1982_LOCUS4149|CAD6995432.1|CCAP	LOC120426534|XP_039447234.1|CPIP
OG0001701	CCAP1982_LOCUS3389|CAD6994654.1|CCAP	LOC120422133|XP_039441441.1|CPIP
OG0001702	CCAP1982_LOCUS6105|CAD6997462.1|CCAP	LOC120418959|XP_039437436.1|CPIP
OG0001703	CCAP1982_LOCUS3137|CAD6994384.1|CCAP, CCAP1982_LOCUS3135|CAD6994382.1|CCAP	LOC120431818|XP_039452875.1|CPIP
OG0001704	CCAP1982_LOCUS3134|CAD6994381.1|CCAP	LOC120432144|XP_039453211.1|CPIP
OG0001705	CCAP1982_LOCUS1538|CAD6992693.1|CCAP, CCAP1982_LOCUS1532|CAD6992687.1|CCAP, CCAP1982_LOCUS1511|CAD6992666.1|CCAP, CCAP1982_LOCUS1519|CAD6992674.1|CCAP, CCAP1982_LOCUS1526|CAD6992681.1|CCAP	LOC120431584|XP_039452629.1|CPIP
OG0001706	CCAP1982_LOCUS5536|CAD6996860.1|CCAP	LOC120421783|XP_039440987.1|CPIP
OG0001707	CCAP1982_LOCUS4020|CAD6995301.1|CCAP	LOC120423819|XP_039443675.1|CPIP
OG0001708	CCAP1982_LOCUS1293|CAD6992431.1|CCAP	LOC120424254|XP_039444252.1|CPIP
OG0001709	CCAP1982_LOCUS12887|CAD7004482.1|CCAP	LOC120430071|XP_039451096.1|CPIP, LOC120429522|XP_039450525.1|CPIP, LOC120421807|XP_039441018.1|CPIP
OG0001710	CCAP1982_LOCUS1177|CAD6992309.1|CCAP	LOC120421118|XP_039440212.1|CPIP, LOC120422581|XP_039442004.1|CPIP
OG0001711	CCAP1982_LOCUS3250|CAD6994506.1|CCAP	LOC120430053|XP_039451082.1|CPIP, LOC120431438|XP_039452490.1|CPIP, LOC120432002|XP_039453068.1|CPIP, LOC120427890|XP_039448758.1|CPIP
OG0001712	CCAP1982_LOCUS3242|CAD6994496.1|CCAP	LOC120420722|XP_039439754.1|CPIP
OG0001713	CCAP1982_LOCUS4355|CAD6995648.1|CCAP	LOC120425504|XP_039445987.1|CPIP
OG0001716	CCAP1982_LOCUS9224|CAD7000751.1|CCAP	LOC120427410|XP_039448208.1|CPIP
OG0001717	CCAP1982_LOCUS1998|CAD6993176.1|CCAP	LOC120424680|XP_039444790.1|CPIP, LOC120424622|XP_039444721.1|CPIP
OG0001718	CCAP1982_LOCUS1466|CAD6992617.1|CCAP	LOC120432527|XP_039453679.1|CPIP
OG0001719	CCAP1982_LOCUS4010|CAD6995291.1|CCAP	LOC120422589|XP_039442014.1|CPIP
OG0001722	CCAP1982_LOCUS12343|CAD7003918.1|CCAP	LOC120427608|XP_039448418.1|CPIP
OG0001723	CCAP1982_LOCUS7234|CAD6998674.1|CCAP	LOC120426984|XP_039447737.1|CPIP, LOC120419737|XP_039438472.1|CPIP
OG0001724	CCAP1982_LOCUS22214|CAD7014211.1|CCAP, CCAP1982_LOCUS22231|CAD7014228.1|CCAP, CCAP1982_LOCUS22211|CAD7014208.1|CCAP	LOC120419483|XP_039438100.1|CPIP
OG0001725	CCAP1982_LOCUS22376|CAD7014381.1|CCAP, CCAP1982_LOCUS21441|CAD7013376.1|CCAP, CCAP1982_LOCUS21440|CAD7013373.1|CCAP	LOC120429768|XP_039450757.1|CPIP
OG0001726	CCAP1982_LOCUS11726|CAD7003264.1|CCAP	LOC120416559|XP_039434224.1|CPIP, LOC120415184|XP_039432575.1|CPIP
OG0001727	CCAP1982_LOCUS2281|CAD6993469.1|CCAP	LOC120429045|XP_039450121.1|CPIP, LOC120423654|XP_039443470.1|CPIP, LOC120420428|XP_039439385.1|CPIP
OG0001728	CCAP1982_LOCUS22945|CAD7014987.1|CCAP	LOC120425582|XP_039446089.1|CPIP
OG0001729	CCAP1982_LOCUS7198|CAD6998625.1|CCAP	LOC120425590|XP_039446103.1|CPIP
OG0001730	CCAP1982_LOCUS193|CAD6991260.1|CCAP	LOC120426311|XP_039447006.1|CPIP, LOC120425981|XP_039446572.1|CPIP
OG0001732	CCAP1982_LOCUS9007|CAD7000529.1|CCAP	LOC120415971|XP_039433554.1|CPIP, LOC120415998|XP_039433587.1|CPIP, LOC120413260|XP_039429922.1|CPIP, LOC120420563|XP_039439569.1|CPIP
OG0001733	CCAP1982_LOCUS21900|CAD7013885.1|CCAP	LOC120418891|XP_039437357.1|CPIP
OG0001734	CCAP1982_LOCUS7214|CAD6998646.1|CCAP	LOC120418881|XP_039437349.1|CPIP
OG0001735	CCAP1982_LOCUS13005|CAD7004610.1|CCAP	LOC120430048|XP_039451078.1|CPIP
OG0001736	CCAP1982_LOCUS23040|CAD7015086.1|CCAP	LOC120413202|XP_039429852.1|CPIP
OG0001737	CCAP1982_LOCUS23349|CAD7015406.1|CCAP, CCAP1982_LOCUS23351|CAD7015408.1|CCAP, CCAP1982_LOCUS23348|CAD7015405.1|CCAP	LOC120428758|XP_039449774.1|CPIP
OG0001738	CCAP1982_LOCUS12015|CAD7003566.1|CCAP, CCAP1982_LOCUS12011|CAD7003562.1|CCAP	LOC120413222|XP_039429882.1|CPIP
OG0001739	CCAP1982_LOCUS21707|CAD7013664.1|CCAP	LOC120418492|XP_039436864.1|CPIP
OG0001740	CCAP1982_LOCUS7101|CAD6998513.1|CCAP	LOC120420119|XP_039439002.1|CPIP
OG0001742	CCAP1982_LOCUS21237|CAD7013166.1|CCAP	LOC120420062|XP_039438910.1|CPIP
OG0001743	CCAP1982_LOCUS14921|CAD7006613.1|CCAP	LOC120420083|XP_039438946.1|CPIP
OG0001744	CCAP1982_LOCUS21824|CAD7013804.1|CCAP	LOC120412391|XP_039428766.1|CPIP
OG0001746	CCAP1982_LOCUS13250|CAD7004865.1|CCAP	LOC120416574|XP_039434241.1|CPIP
OG0001747	CCAP1982_LOCUS23161|CAD7015213.1|CCAP, CCAP1982_LOCUS23162|CAD7015214.1|CCAP, CCAP1982_LOCUS23170|CAD7015222.1|CCAP	LOC120419966|XP_039438770.1|CPIP
OG0001748	CCAP1982_LOCUS11370|CAD7002901.1|CCAP, CCAP1982_LOCUS11369|CAD7002900.1|CCAP	LOC120418537|XP_039436907.1|CPIP
OG0001749	CCAP1982_LOCUS22821|CAD7014854.1|CCAP	LOC120416049|XP_039433644.1|CPIP, LOC120423609|XP_039443409.1|CPIP
OG0001750	CCAP1982_LOCUS22822|CAD7014855.1|CCAP	LOC120423614|XP_039443415.1|CPIP, LOC120416056|XP_039433652.1|CPIP
OG0001751	CCAP1982_LOCUS12027|CAD7003579.1|CCAP	LOC120413418|XP_039430166.1|CPIP
OG0001752	CCAP1982_LOCUS10906|CAD7002415.1|CCAP	LOC120420029|XP_039438862.1|CPIP
OG0001753	CCAP1982_LOCUS11568|CAD7003105.1|CCAP, CCAP1982_LOCUS11570|CAD7003107.1|CCAP	LOC120425129|XP_039445487.1|CPIP
OG0001754	CCAP1982_LOCUS22326|CAD7014329.1|CCAP	LOC120412624|XP_039429109.1|CPIP
OG0001755	CCAP1982_LOCUS11972|CAD7003522.1|CCAP, CCAP1982_LOCUS11970|CAD7003520.1|CCAP, CCAP1982_LOCUS11965|CAD7003515.1|CCAP	LOC120428835|XP_039449885.1|CPIP, LOC120412567|XP_039429008.1|CPIP
OG0001756	CCAP1982_LOCUS22645|CAD7014657.1|CCAP	LOC120427031|XP_039447786.1|CPIP
OG0001757	CCAP1982_LOCUS23262|CAD7015317.1|CCAP, CCAP1982_LOCUS23263|CAD7015318.1|CCAP	LOC120422704|XP_039442150.1|CPIP
OG0001758	CCAP1982_LOCUS13866|CAD7005506.1|CCAP	LOC120428084|XP_039448998.1|CPIP
OG0001758	CCAP1982_LOCUS13872|CAD7005512.1|CCAP	LOC120422695|XP_039442138.1|CPIP
OG0001759	CCAP1982_LOCUS23316|CAD7015372.1|CCAP, CCAP1982_LOCUS23315|CAD7015371.1|CCAP	LOC120417487|XP_039435497.1|CPIP
OG0001760	CCAP1982_LOCUS21651|CAD7013597.1|CCAP	LOC120431187|XP_039452263.1|CPIP
OG0001761	CCAP1982_LOCUS21800|CAD7013777.1|CCAP	LOC120421909|XP_039441143.1|CPIP
OG0001762	CCAP1982_LOCUS6396|CAD6997766.1|CCAP	LOC120427012|XP_039447766.1|CPIP
OG0001764	CCAP1982_LOCUS4898|CAD6996209.1|CCAP, CCAP1982_LOCUS4897|CAD6996208.1|CCAP	LOC120412610|XP_039429092.1|CPIP
OG0001765	CCAP1982_LOCUS22892|CAD7014928.1|CCAP, CCAP1982_LOCUS22890|CAD7014926.1|CCAP	LOC120429891|XP_039450906.1|CPIP
OG0001766	CCAP1982_LOCUS9113|CAD7000639.1|CCAP, CCAP1982_LOCUS9114|CAD7000640.1|CCAP	LOC120414689|XP_039431909.1|CPIP
OG0001767	CCAP1982_LOCUS6614|CAD6997998.1|CCAP	LOC120416612|XP_039434345.1|CPIP
OG0001769	CCAP1982_LOCUS5427|CAD6996748.1|CCAP, CCAP1982_LOCUS5426|CAD6996747.1|CCAP, CCAP1982_LOCUS13412|CAD7005041.1|CCAP, CCAP1982_LOCUS14517|CAD7006188.1|CCAP	LOC120423676|XP_039443501.1|CPIP
OG0001770	CCAP1982_LOCUS7906|CAD6999380.1|CCAP	LOC120424085|XP_039444033.1|CPIP, LOC120424104|XP_039444049.1|CPIP, LOC120424087|XP_039444036.1|CPIP
OG0001771	CCAP1982_LOCUS6984|CAD6998384.1|CCAP	LOC120420598|XP_039439606.1|CPIP
OG0001772	CCAP1982_LOCUS6455|CAD6997831.1|CCAP	LOC120430583|XP_039451623.1|CPIP, LOC120428020|XP_039448927.1|CPIP
OG0001774	CCAP1982_LOCUS22837|CAD7014873.1|CCAP	LOC120413132|XP_039429770.1|CPIP
OG0001775	CCAP1982_LOCUS9214|CAD7000741.1|CCAP, CCAP1982_LOCUS2022|CAD6993202.1|CCAP	LOC120413130|XP_039429769.1|CPIP
OG0001776	CCAP1982_LOCUS5459|CAD6996784.1|CCAP, CCAP1982_LOCUS5458|CAD6996783.1|CCAP	LOC120418945|XP_039437417.1|CPIP
OG0001777	CCAP1982_LOCUS6723|CAD6998109.1|CCAP	LOC120428100|XP_039449018.1|CPIP, LOC120425917|XP_039446471.1|CPIP
OG0001777	CCAP1982_LOCUS6724|CAD6998110.1|CCAP	LOC120428102|XP_039449019.1|CPIP, LOC120430713|XP_039451756.1|CPIP
OG0001778	CCAP1982_LOCUS7663|CAD6999119.1|CCAP	LOC120413896|XP_039430808.1|CPIP, LOC120420538|XP_039439544.1|CPIP
OG0001780	CCAP1982_LOCUS7237|CAD6998678.1|CCAP, CCAP1982_LOCUS7239|CAD6998680.1|CCAP	LOC120419389|XP_039437995.1|CPIP
OG0001781	CCAP1982_LOCUS5691|CAD6997033.1|CCAP	LOC120428163|XP_039449081.1|CPIP
OG0001782	CCAP1982_LOCUS5611|CAD6996941.1|CCAP, CCAP1982_LOCUS5610|CAD6996940.1|CCAP	LOC120429265|XP_039450416.1|CPIP, LOC120430898|XP_039451955.1|CPIP
OG0001783	CCAP1982_LOCUS9017|CAD7000541.1|CCAP	LOC120418978|XP_039437459.1|CPIP, LOC120425191|XP_039445556.1|CPIP
OG0001784	CCAP1982_LOCUS7884|CAD6999357.1|CCAP, CCAP1982_LOCUS7882|CAD6999355.1|CCAP	LOC120412843|XP_039429400.1|CPIP, LOC120425334|XP_039445750.1|CPIP
OG0001785	CCAP1982_LOCUS21527|CAD7013462.1|CCAP	LOC120423126|XP_039442738.1|CPIP
OG0001786	CCAP1982_LOCUS6869|CAD6998260.1|CCAP	LOC120427328|XP_039448112.1|CPIP
OG0001787	CCAP1982_LOCUS6865|CAD6998256.1|CCAP, CCAP1982_LOCUS6866|CAD6998257.1|CCAP	LOC120420887|XP_039439942.1|CPIP
OG0001788	CCAP1982_LOCUS19775|CAD7011691.1|CCAP	LOC120419886|XP_039438686.1|CPIP
OG0001789	CCAP1982_LOCUS11954|CAD7003504.1|CCAP	LOC120429675|XP_039450640.1|CPIP
OG0001790	CCAP1982_LOCUS8064|CAD6999543.1|CCAP, CCAP1982_LOCUS8065|CAD6999544.1|CCAP	LOC120419462|XP_039438080.1|CPIP
OG0001791	CCAP1982_LOCUS21402|CAD7013334.1|CCAP	LOC120412953|XP_039429527.1|CPIP, LOC120432422|XP_039453558.1|CPIP
OG0001792	CCAP1982_LOCUS7678|CAD6999135.1|CCAP, CCAP1982_LOCUS7676|CAD6999133.1|CCAP	LOC120429790|XP_039450784.1|CPIP, LOC120431590|XP_039452630.1|CPIP
OG0001793	CCAP1982_LOCUS22137|CAD7014132.1|CCAP, CCAP1982_LOCUS22145|CAD7014139.1|CCAP	LOC120432464|XP_039453626.1|CPIP
OG0001794	CCAP1982_LOCUS6938|CAD6998334.1|CCAP, CCAP1982_LOCUS6939|CAD6998335.1|CCAP	LOC120416622|XP_039434357.1|CPIP
OG0001794	CCAP1982_LOCUS6940|CAD6998336.1|CCAP	LOC120417688|XP_039435762.1|CPIP, LOC120412468|XP_039428878.1|CPIP
OG0001795	CCAP1982_LOCUS7066|CAD6998469.1|CCAP, CCAP1982_LOCUS7067|CAD6998470.1|CCAP	LOC120419069|XP_039437586.1|CPIP
OG0001797	CCAP1982_LOCUS10018|CAD7001521.1|CCAP	LOC120421439|XP_039440580.1|CPIP
OG0001798	CCAP1982_LOCUS20411|CAD7012317.1|CCAP	LOC120418692|XP_039437093.1|CPIP
OG0001800	CCAP1982_LOCUS8862|CAD7000386.1|CCAP, CCAP1982_LOCUS8190|CAD6999660.1|CCAP, CCAP1982_LOCUS8189|CAD6999659.1|CCAP	LOC120413669|XP_039430529.1|CPIP
OG0001801	CCAP1982_LOCUS12750|CAD7004331.1|CCAP	LOC120426324|XP_039447018.1|CPIP
OG0001802	CCAP1982_LOCUS445|CAD6991526.1|CCAP	LOC120417646|XP_039435698.1|CPIP
OG0001803	CCAP1982_LOCUS953|CAD6992073.1|CCAP	LOC120432192|XP_039453269.1|CPIP
OG0001804	CCAP1982_LOCUS4423|CAD6995716.1|CCAP, CCAP1982_LOCUS4422|CAD6995715.1|CCAP	LOC120419224|XP_039437816.1|CPIP
OG0001805	CCAP1982_LOCUS10993|CAD7002504.1|CCAP	LOC120420953|XP_039440022.1|CPIP
OG0001806	CCAP1982_LOCUS359|CAD6991433.1|CCAP	LOC120413925|XP_039430841.1|CPIP
OG0001808	CCAP1982_LOCUS4980|CAD6996299.1|CCAP, CCAP1982_LOCUS4981|CAD6996302.1|CCAP	LOC120413020|XP_039429619.1|CPIP
OG0001809	CCAP1982_LOCUS4894|CAD6996206.1|CCAP	LOC120424387|XP_039444421.1|CPIP
OG0001811	CCAP1982_LOCUS7121|CAD6998534.1|CCAP, CCAP1982_LOCUS7122|CAD6998535.1|CCAP	LOC120422717|XP_039442178.1|CPIP
OG0001813	CCAP1982_LOCUS4462|CAD6995759.1|CCAP, CCAP1982_LOCUS4477|CAD6995773.1|CCAP	LOC120419408|XP_039438016.1|CPIP
OG0001814	CCAP1982_LOCUS4359|CAD6995652.1|CCAP	LOC120429061|XP_039450138.1|CPIP
OG0001815	CCAP1982_LOCUS668|CAD6991760.1|CCAP	LOC120431023|XP_039452112.1|CPIP
OG0001816	CCAP1982_LOCUS20579|CAD7012495.1|CCAP	LOC120423156|XP_039442769.1|CPIP
OG0001817	CCAP1982_LOCUS20287|CAD7012186.1|CCAP	LOC120421367|XP_039440490.1|CPIP
OG0001819	CCAP1982_LOCUS20241|CAD7012144.1|CCAP	LOC120424753|XP_039444880.1|CPIP, LOC120414223|XP_039431267.1|CPIP
OG0001821	CCAP1982_LOCUS7163|CAD6998585.1|CCAP, CCAP1982_LOCUS7162|CAD6998584.1|CCAP	LOC120415251|XP_039432651.1|CPIP
OG0001822	CCAP1982_LOCUS7154|CAD6998574.1|CCAP	LOC120426052|XP_039446668.1|CPIP
OG0001823	CCAP1982_LOCUS13376|CAD7005000.1|CCAP	LOC120415280|XP_039432684.1|CPIP, LOC120415308|XP_039432720.1|CPIP
OG0001824	CCAP1982_LOCUS7026|CAD6998426.1|CCAP	LOC120425104|XP_039445436.1|CPIP, LOC120425222|XP_039445590.1|CPIP
OG0001825	CCAP1982_LOCUS20017|CAD7011906.1|CCAP, CCAP1982_LOCUS20011|CAD7011900.1|CCAP, CCAP1982_LOCUS20022|CAD7011911.1|CCAP	LOC120418446|XP_039436787.1|CPIP
OG0001826	CCAP1982_LOCUS5581|CAD6996908.1|CCAP, CCAP1982_LOCUS21161|CAD7013086.1|CCAP	LOC120414889|XP_039432146.1|CPIP
OG0001827	CCAP1982_LOCUS20547|CAD7012467.1|CCAP	LOC120427761|XP_039448605.1|CPIP, LOC120427760|XP_039448604.1|CPIP
OG0001829	CCAP1982_LOCUS19767|CAD7011683.1|CCAP, CCAP1982_LOCUS19768|CAD7011684.1|CCAP	LOC120412766|XP_039429291.1|CPIP
OG0001830	CCAP1982_LOCUS20337|CAD7012240.1|CCAP	LOC120429987|XP_039451014.1|CPIP
OG0001831	CCAP1982_LOCUS14177|CAD7005833.1|CCAP	LOC120425250|XP_039445630.1|CPIP, LOC120425252|XP_039445632.1|CPIP
OG0001832	CCAP1982_LOCUS21112|CAD7013026.1|CCAP	LOC120415194|XP_039432585.1|CPIP
OG0001833	CCAP1982_LOCUS21130|CAD7013048.1|CCAP	LOC120415845|XP_039433414.1|CPIP
OG0001834	CCAP1982_LOCUS1887|CAD6993056.1|CCAP	LOC120427429|XP_039448220.1|CPIP, LOC120426063|XP_039446683.1|CPIP
OG0001835	CCAP1982_LOCUS6334|CAD6997702.1|CCAP	LOC120428029|XP_039448934.1|CPIP
OG0001849	CCAP1982_LOCUS3184|CAD6994433.1|CCAP	LOC120415057|XP_039432376.1|CPIP
OG0001850	CCAP1982_LOCUS9381|CAD7000906.1|CCAP, CCAP1982_LOCUS9382|CAD7000907.1|CCAP	LOC120413283|XP_039429951.1|CPIP
OG0001851	CCAP1982_LOCUS10374|CAD7001887.1|CCAP, CCAP1982_LOCUS10375|CAD7001888.1|CCAP	LOC120413275|XP_039429938.1|CPIP
