Orthogroup	CCAP.longest_only	SLEB.longest_only
OG0000890	CCAP1982_LOCUS23265|CAD7015320.1|CCAP	LOC115620765|XP_030370030.1|SLEB
OG0000891	CCAP1982_LOCUS8035|CAD6999510.1|CCAP	LOC115631029|XP_030383507.1|SLEB, LOC115631138|XP_030383667.1|SLEB
OG0000892	CCAP1982_LOCUS14260|CAD7005922.1|CCAP	LOC115623089|XP_030373155.1|SLEB, LOC115630075|XP_030382571.1|SLEB
OG0000893	CCAP1982_LOCUS4761|CAD6996054.1|CCAP	LOC115623838|XP_030374239.1|SLEB
OG0000894	CCAP1982_LOCUS5163|CAD6996494.1|CCAP	LOC115625115|XP_030375881.1|SLEB
OG0000895	CCAP1982_LOCUS22848|CAD7014884.1|CCAP	LOC115633662|XP_030386967.1|SLEB
OG0000897	CCAP1982_LOCUS357|CAD6991430.1|CCAP	LOC115625529|XP_030376463.1|SLEB
OG0000897	CCAP1982_LOCUS354|CAD6991427.1|CCAP	LOC115625442|XP_030376350.1|SLEB
OG0000898	CCAP1982_LOCUS251|CAD6991322.1|CCAP	LOC115626286|XP_030377474.1|SLEB, LOC115629699|XP_030382081.1|SLEB
OG0000899	CCAP1982_LOCUS2195|CAD6993379.1|CCAP	LOC115620964|XP_030370345.1|SLEB
OG0000900	CCAP1982_LOCUS22789|CAD7014822.1|CCAP	LOC115634772|XP_030388527.1|SLEB, LOC115634771|XP_030388526.1|SLEB
OG0000901	CCAP1982_LOCUS19938|CAD7011828.1|CCAP, CCAP1982_LOCUS19939|CAD7011829.1|CCAP	LOC115624900|XP_030375609.1|SLEB
OG0000909	CCAP1982_LOCUS3768|CAD6995038.1|CCAP	LOC115629451|XP_030381776.1|SLEB
OG0000911	CCAP1982_LOCUS21662|CAD7013610.1|CCAP	LOC115628689|XP_030380728.1|SLEB
OG0000912	CCAP1982_LOCUS14320|CAD7005984.1|CCAP	LOC115633636|XP_030386934.1|SLEB
OG0000913	CCAP1982_LOCUS10762|CAD7002267.1|CCAP	LOC115624511|XP_030375083.1|SLEB
OG0000913	CCAP1982_LOCUS10773|CAD7002278.1|CCAP	LOC115624512|XP_030375084.1|SLEB
OG0000914	CCAP1982_LOCUS21261|CAD7013190.1|CCAP	LOC115634220|XP_030387671.1|SLEB
OG0000915	CCAP1982_LOCUS21547|CAD7013485.1|CCAP	LOC115634001|XP_030387386.1|SLEB
OG0000916	CCAP1982_LOCUS8269|CAD6999743.1|CCAP	LOC115631986|XP_030384763.1|SLEB
OG0000917	CCAP1982_LOCUS8922|CAD7000445.1|CCAP	LOC115632603|XP_030385688.1|SLEB, LOC115632019|XP_030384822.1|SLEB
OG0000918	CCAP1982_LOCUS5537|CAD6996863.1|CCAP	LOC115625872|XP_030376943.1|SLEB
OG0000922	CCAP1982_LOCUS12740|CAD7004321.1|CCAP, CCAP1982_LOCUS12739|CAD7004320.1|CCAP, CCAP1982_LOCUS12737|CAD7004318.1|CCAP	LOC115628430|XP_030380378.1|SLEB
OG0000923	CCAP1982_LOCUS5176|CAD6996508.1|CCAP, CCAP1982_LOCUS22264|CAD7014261.1|CCAP	LOC115623827|XP_030374230.1|SLEB
OG0000925	CCAP1982_LOCUS1840|CAD6993005.1|CCAP	LOC115621220|XP_030370664.1|SLEB
OG0000927	CCAP1982_LOCUS3546|CAD6994815.1|CCAP, CCAP1982_LOCUS3625|CAD6994890.1|CCAP	LOC115621447|XP_030370961.1|SLEB, LOC115620365|XP_030369430.1|SLEB
OG0000928	CCAP1982_LOCUS5385|CAD6996701.1|CCAP	LOC115626331|XP_030377534.1|SLEB
OG0000930	CCAP1982_LOCUS12351|CAD7003926.1|CCAP	LOC115622376|XP_030372159.1|SLEB, LOC115622377|XP_030372160.1|SLEB
OG0000931	CCAP1982_LOCUS14267|CAD7005929.1|CCAP	LOC115624492|XP_030375055.1|SLEB, LOC115634172|XP_030387617.1|SLEB
OG0000932	CCAP1982_LOCUS13477|CAD7005115.1|CCAP, CCAP1982_LOCUS13478|CAD7005116.1|CCAP	LOC115622269|XP_030372031.1|SLEB, LOC115629206|XP_030381465.1|SLEB
OG0000932	CCAP1982_LOCUS13476|CAD7005114.1|CCAP	LOC115622267|XP_030372029.1|SLEB
OG0000935	CCAP1982_LOCUS3212|CAD6994467.1|CCAP	LOC115620735|XP_030369981.1|SLEB
OG0000936	CCAP1982_LOCUS4121|CAD6995403.1|CCAP	LOC115630040|XP_030382533.1|SLEB
OG0000937	CCAP1982_LOCUS3421|CAD6994686.1|CCAP, CCAP1982_LOCUS3422|CAD6994687.1|CCAP	LOC115621318|XP_030370797.1|SLEB
OG0000939	CCAP1982_LOCUS8572|CAD7000071.1|CCAP	LOC115631095|XP_030383606.1|SLEB
OG0000942	CCAP1982_LOCUS13068|CAD7004674.1|CCAP	LOC115623244|XP_030373364.1|SLEB
OG0000945	CCAP1982_LOCUS22125|CAD7014119.1|CCAP	LOC115624796|XP_030375500.1|SLEB
OG0000947	CCAP1982_LOCUS19572|CAD7011472.1|CCAP	LOC115634584|XP_030388277.1|SLEB
OG0000948	CCAP1982_LOCUS11573|CAD7003110.1|CCAP	LOC115632809|XP_030385921.1|SLEB
OG0000951	CCAP1982_LOCUS166|CAD6991229.1|CCAP	LOC115620607|XP_030369781.1|SLEB, LOC115631589|XP_030384250.1|SLEB, LOC115629565|XP_030381917.1|SLEB, LOC115629566|XP_030381918.1|SLEB, LOC115630781|XP_030383297.1|SLEB
OG0000952	CCAP1982_LOCUS7797|CAD6999267.1|CCAP	LOC115631113|XP_030383633.1|SLEB
OG0000954	CCAP1982_LOCUS8898|CAD7000422.1|CCAP, CCAP1982_LOCUS8895|CAD7000419.1|CCAP, CCAP1982_LOCUS19795|CAD7011710.1|CCAP	LOC115624830|XP_030375537.1|SLEB
OG0000955	CCAP1982_LOCUS481|CAD6991562.1|CCAP	LOC115620968|XP_030370348.1|SLEB
OG0000956	CCAP1982_LOCUS4932|CAD6996249.1|CCAP, CCAP1982_LOCUS4465|CAD6995762.1|CCAP	LOC115623812|XP_030374216.1|SLEB
OG0000957	CCAP1982_LOCUS13628|CAD7005271.1|CCAP	LOC115632493|XP_030385572.1|SLEB, LOC115632571|XP_030385690.1|SLEB
OG0000958	CCAP1982_LOCUS4000|CAD6995281.1|CCAP	LOC115621983|XP_030371695.1|SLEB
OG0000959	CCAP1982_LOCUS19918|CAD7011808.1|CCAP	LOC115622295|XP_030372058.1|SLEB, LOC115622622|XP_030372489.1|SLEB
OG0000961	CCAP1982_LOCUS14090|CAD7005739.1|CCAP	LOC115633964|XP_030387344.1|SLEB, LOC115633962|XP_030387342.1|SLEB
OG0000964	CCAP1982_LOCUS19682|CAD7011593.1|CCAP	LOC115629928|XP_030382396.1|SLEB
OG0000966	CCAP1982_LOCUS5066|CAD6996391.1|CCAP	LOC115633760|XP_030387095.1|SLEB
OG0000968	CCAP1982_LOCUS11834|CAD7003375.1|CCAP	LOC115628295|XP_030380202.1|SLEB
OG0000969	CCAP1982_LOCUS23334|CAD7015390.1|CCAP	LOC115629995|XP_030382487.1|SLEB, LOC115633028|XP_030386225.1|SLEB, LOC115621359|XP_030370843.1|SLEB
OG0000970	CCAP1982_LOCUS2746|CAD6993961.1|CCAP	LOC115620768|XP_030370032.1|SLEB
OG0000971	CCAP1982_LOCUS8220|CAD6999693.1|CCAP	LOC115631506|XP_030384125.1|SLEB
OG0000972	CCAP1982_LOCUS11059|CAD7002571.1|CCAP	LOC115632559|XP_030385633.1|SLEB, LOC115633225|XP_030386479.1|SLEB
OG0000974	CCAP1982_LOCUS12256|CAD7003823.1|CCAP, CCAP1982_LOCUS12257|CAD7003824.1|CCAP	LOC115622411|XP_030372204.1|SLEB, LOC115622410|XP_030372203.1|SLEB
OG0000975	CCAP1982_LOCUS5108|CAD6996435.1|CCAP, CCAP1982_LOCUS5109|CAD6996436.1|CCAP	LOC115621202|XP_030370641.1|SLEB
OG0000975	CCAP1982_LOCUS5107|CAD6996434.1|CCAP	LOC115623709|XP_030374048.1|SLEB
OG0000976	CCAP1982_LOCUS4860|CAD6996168.1|CCAP	LOC115625384|XP_030376281.1|SLEB
OG0000976	CCAP1982_LOCUS4863|CAD6996171.1|CCAP	LOC115625075|XP_030375823.1|SLEB
OG0000977	CCAP1982_LOCUS4904|CAD6996216.1|CCAP, CCAP1982_LOCUS4902|CAD6996214.1|CCAP	LOC115625370|XP_030376266.1|SLEB
OG0000978	CCAP1982_LOCUS4767|CAD6996059.1|CCAP	LOC115623541|XP_030373784.1|SLEB
OG0000979	CCAP1982_LOCUS1023|CAD6992145.1|CCAP	LOC115632690|XP_030385786.1|SLEB, LOC115628156|XP_030379990.1|SLEB
OG0000982	CCAP1982_LOCUS2938|CAD6994173.1|CCAP	LOC115624236|XP_030374717.1|SLEB, LOC115624076|XP_030374526.1|SLEB
OG0000984	CCAP1982_LOCUS5396|CAD6996713.1|CCAP, CCAP1982_LOCUS9002|CAD7000524.1|CCAP	LOC115623773|XP_030374169.1|SLEB, LOC115626561|XP_030377800.1|SLEB
OG0000992	CCAP1982_LOCUS4021|CAD6995302.1|CCAP	LOC115621203|XP_030370644.1|SLEB
OG0000995	CCAP1982_LOCUS22836|CAD7014872.1|CCAP	LOC115625662|XP_030376654.1|SLEB
OG0000996	CCAP1982_LOCUS21390|CAD7013320.1|CCAP	LOC115631694|XP_030384380.1|SLEB, LOC115627128|XP_030378560.1|SLEB, LOC115627324|XP_030378828.1|SLEB, LOC115627312|XP_030378815.1|SLEB, LOC115622197|XP_030371949.1|SLEB, LOC115622196|XP_030371948.1|SLEB, LOC115627203|XP_030378681.1|SLEB, LOC115622171|XP_030371910.1|SLEB
OG0000997	CCAP1982_LOCUS23125|CAD7015172.1|CCAP	LOC115626266|XP_030377478.1|SLEB
OG0000998	CCAP1982_LOCUS11164|CAD7002685.1|CCAP, CCAP1982_LOCUS11162|CAD7002682.1|CCAP, CCAP1982_LOCUS11161|CAD7002681.1|CCAP	LOC115624936|XP_030375647.1|SLEB
OG0000998	CCAP1982_LOCUS11159|CAD7002677.1|CCAP	LOC115624642|XP_030375270.1|SLEB
OG0001000	CCAP1982_LOCUS7177|CAD6998602.1|CCAP	LOC115620263|XP_030369285.1|SLEB
OG0001001	CCAP1982_LOCUS7241|CAD6998682.1|CCAP	LOC115632602|XP_030385691.1|SLEB
OG0001002	CCAP1982_LOCUS8673|CAD7000182.1|CCAP, CCAP1982_LOCUS8675|CAD7000184.1|CCAP, CCAP1982_LOCUS8672|CAD7000181.1|CCAP	LOC115631311|XP_030383885.1|SLEB
OG0001004	CCAP1982_LOCUS519|CAD6991602.1|CCAP	LOC115623593|XP_030373853.1|SLEB
OG0001005	CCAP1982_LOCUS13375|CAD7004999.1|CCAP	LOC115633224|XP_030386476.1|SLEB
OG0001006	CCAP1982_LOCUS13426|CAD7005058.1|CCAP	LOC115632081|XP_030384901.1|SLEB
OG0001007	CCAP1982_LOCUS21101|CAD7013012.1|CCAP	LOC115628319|XP_030380235.1|SLEB, LOC115628165|XP_030380006.1|SLEB
OG0001009	CCAP1982_LOCUS8077|CAD6999557.1|CCAP	LOC115625207|XP_030376036.1|SLEB
OG0001013	CCAP1982_LOCUS13472|CAD7005110.1|CCAP	LOC115622265|XP_030372026.1|SLEB
OG0001014	CCAP1982_LOCUS14739|CAD7006419.1|CCAP	LOC115622694|XP_030372582.1|SLEB, LOC115622870|XP_030372817.1|SLEB
OG0001019	CCAP1982_LOCUS3433|CAD6994698.1|CCAP	LOC115621697|XP_030371263.1|SLEB
OG0001021	CCAP1982_LOCUS6394|CAD6997764.1|CCAP, CCAP1982_LOCUS20090|CAD7011979.1|CCAP, CCAP1982_LOCUS20092|CAD7011981.1|CCAP	LOC115628996|XP_030381140.1|SLEB
OG0001024	CCAP1982_LOCUS3439|CAD6994704.1|CCAP, CCAP1982_LOCUS3438|CAD6994703.1|CCAP	LOC115621057|XP_030370438.1|SLEB
OG0001025	CCAP1982_LOCUS14956|CAD7006653.1|CCAP	LOC115632296|XP_030385249.1|SLEB
OG0001026	CCAP1982_LOCUS21674|CAD7013623.1|CCAP	LOC115634218|XP_030387668.1|SLEB
OG0001027	CCAP1982_LOCUS11668|CAD7003208.1|CCAP	LOC115634679|XP_030388398.1|SLEB
OG0001028	CCAP1982_LOCUS8649|CAD7000156.1|CCAP	LOC115631799|XP_030384497.1|SLEB
OG0001031	CCAP1982_LOCUS6157|CAD6997518.1|CCAP, CCAP1982_LOCUS6156|CAD6997517.1|CCAP, CCAP1982_LOCUS6151|CAD6997512.1|CCAP	LOC115626140|XP_030377262.1|SLEB
OG0001034	CCAP1982_LOCUS13833|CAD7005473.1|CCAP	LOC115624857|XP_030375562.1|SLEB
OG0001042	CCAP1982_LOCUS1764|CAD6992931.1|CCAP	LOC115620583|XP_030369748.1|SLEB
OG0001044	CCAP1982_LOCUS21192|CAD7013119.1|CCAP, CCAP1982_LOCUS21189|CAD7013116.1|CCAP, CCAP1982_LOCUS21193|CAD7013120.1|CCAP	LOC115631350|XP_030383926.1|SLEB
OG0001045	CCAP1982_LOCUS20913|CAD7012813.1|CCAP	LOC115623369|XP_030373520.1|SLEB
OG0001046	CCAP1982_LOCUS19960|CAD7011851.1|CCAP	LOC115634073|XP_030387480.1|SLEB
OG0001047	CCAP1982_LOCUS20366|CAD7012270.1|CCAP	LOC115634088|XP_030387503.1|SLEB
OG0001048	CCAP1982_LOCUS21371|CAD7013300.1|CCAP	LOC115624518|XP_030375094.1|SLEB
OG0001049	CCAP1982_LOCUS12233|CAD7003800.1|CCAP, CCAP1982_LOCUS12232|CAD7003799.1|CCAP	LOC115622282|XP_030372044.1|SLEB
OG0001050	CCAP1982_LOCUS11755|CAD7003293.1|CCAP	LOC115633103|XP_030386344.1|SLEB
OG0001051	CCAP1982_LOCUS7727|CAD6999191.1|CCAP	LOC115626170|XP_030377305.1|SLEB
OG0001052	CCAP1982_LOCUS5814|CAD6997172.1|CCAP	LOC115625856|XP_030376924.1|SLEB
OG0001054	CCAP1982_LOCUS3180|CAD6994429.1|CCAP	LOC115621268|XP_030370728.1|SLEB, LOC115621267|XP_030370726.1|SLEB
OG0001057	CCAP1982_LOCUS20701|CAD7012617.1|CCAP	LOC115626571|XP_030377810.1|SLEB
OG0001059	CCAP1982_LOCUS14475|CAD7006147.1|CCAP, CCAP1982_LOCUS14471|CAD7006143.1|CCAP	LOC115622578|XP_030372421.1|SLEB
OG0001060	CCAP1982_LOCUS398|CAD6991473.1|CCAP	LOC115623379|XP_030373534.1|SLEB
OG0001061	CCAP1982_LOCUS21406|CAD7013338.1|CCAP, CCAP1982_LOCUS4091|CAD6995373.1|CCAP	LOC115625474|XP_030376384.1|SLEB
OG0001062	CCAP1982_LOCUS2581|CAD6993783.1|CCAP	LOC115634278|XP_030387771.1|SLEB, LOC115625502|XP_030376423.1|SLEB
OG0001063	CCAP1982_LOCUS20718|CAD7012631.1|CCAP, CCAP1982_LOCUS20715|CAD7012628.1|CCAP	LOC115629311|XP_030381617.1|SLEB, LOC115629300|XP_030381607.1|SLEB
OG0001065	CCAP1982_LOCUS14284|CAD7005946.1|CCAP	LOC115630545|XP_030383014.1|SLEB, LOC115630679|XP_030383182.1|SLEB, LOC115630771|XP_030383285.1|SLEB, LOC115629745|XP_030382140.1|SLEB
OG0001073	CCAP1982_LOCUS2980|CAD6994218.1|CCAP	LOC115620613|XP_030369790.1|SLEB
OG0001074	CCAP1982_LOCUS22501|CAD7014499.1|CCAP	LOC115629282|XP_030381580.1|SLEB
OG0001075	CCAP1982_LOCUS14895|CAD7006581.1|CCAP	LOC115622509|XP_030372321.1|SLEB
OG0001077	CCAP1982_LOCUS4172|CAD6995457.1|CCAP	LOC115628105|XP_030379946.1|SLEB
OG0001079	CCAP1982_LOCUS12708|CAD7004289.1|CCAP	LOC115628277|XP_030380166.1|SLEB, LOC115625668|XP_030376663.1|SLEB
OG0001080	CCAP1982_LOCUS11124|CAD7002641.1|CCAP	LOC115624602|XP_030375207.1|SLEB
OG0001081	CCAP1982_LOCUS996|CAD6992112.1|CCAP	LOC115623563|XP_030373819.1|SLEB
OG0001082	CCAP1982_LOCUS22051|CAD7014045.1|CCAP	LOC115633819|XP_030387165.1|SLEB
OG0001083	CCAP1982_LOCUS14891|CAD7006577.1|CCAP	LOC115622457|XP_030372260.1|SLEB
OG0001084	CCAP1982_LOCUS21820|CAD7013799.1|CCAP	LOC115634450|XP_030388021.1|SLEB
OG0001084	CCAP1982_LOCUS21819|CAD7013798.1|CCAP	LOC115626481|XP_030377728.1|SLEB
OG0001085	CCAP1982_LOCUS21337|CAD7013266.1|CCAP	LOC115620042|XP_030369021.1|SLEB
OG0001086	CCAP1982_LOCUS21090|CAD7013000.1|CCAP	LOC115633783|XP_030387120.1|SLEB
OG0001088	CCAP1982_LOCUS12834|CAD7004425.1|CCAP	LOC115632153|XP_030385030.1|SLEB
OG0001089	CCAP1982_LOCUS12321|CAD7003891.1|CCAP	LOC115624666|XP_030375317.1|SLEB
OG0001090	CCAP1982_LOCUS12515|CAD7004092.1|CCAP	LOC115632913|XP_030386063.1|SLEB
OG0001091	CCAP1982_LOCUS11183|CAD7002706.1|CCAP	LOC115626977|XP_030378353.1|SLEB, LOC115622836|XP_030372776.1|SLEB
OG0001092	CCAP1982_LOCUS8406|CAD6999896.1|CCAP	LOC115626353|XP_030377564.1|SLEB
OG0001093	CCAP1982_LOCUS6559|CAD6997942.1|CCAP, CCAP1982_LOCUS6558|CAD6997941.1|CCAP	LOC115625952|XP_030377051.1|SLEB
OG0001094	CCAP1982_LOCUS6594|CAD6997977.1|CCAP	LOC115626021|XP_030377129.1|SLEB
OG0001095	CCAP1982_LOCUS5633|CAD6996967.1|CCAP	LOC115631077|XP_030383583.1|SLEB
OG0001096	CCAP1982_LOCUS8252|CAD6999726.1|CCAP	LOC115630418|XP_030382814.1|SLEB
OG0001097	CCAP1982_LOCUS5730|CAD6997077.1|CCAP	LOC115631632|XP_030384301.1|SLEB
OG0001098	CCAP1982_LOCUS13085|CAD7004691.1|CCAP	LOC115625607|XP_030376601.1|SLEB, LOC115634115|XP_030387539.1|SLEB, LOC115623029|XP_030373068.1|SLEB
OG0001099	CCAP1982_LOCUS12524|CAD7004101.1|CCAP	LOC115622780|XP_030372698.1|SLEB, LOC115622709|XP_030372600.1|SLEB
OG0001100	CCAP1982_LOCUS908|CAD6992026.1|CCAP	LOC115620897|XP_030370246.1|SLEB
OG0001101	CCAP1982_LOCUS20125|CAD7012014.1|CCAP	LOC115620481|XP_030369577.1|SLEB
OG0001102	CCAP1982_LOCUS14212|CAD7005870.1|CCAP, CCAP1982_LOCUS14202|CAD7005860.1|CCAP	LOC115632575|XP_030385656.1|SLEB
OG0001103	CCAP1982_LOCUS3837|CAD6995115.1|CCAP, CCAP1982_LOCUS3835|CAD6995113.1|CCAP	LOC115621774|XP_030371386.1|SLEB
OG0001104	CCAP1982_LOCUS20148|CAD7012046.1|CCAP	LOC115627926|XP_030379680.1|SLEB, LOC115627925|XP_030379679.1|SLEB, LOC115624069|XP_030374515.1|SLEB
OG0001106	CCAP1982_LOCUS19510|CAD7011410.1|CCAP, CCAP1982_LOCUS19502|CAD7011402.1|CCAP, CCAP1982_LOCUS19508|CAD7011408.1|CCAP, CCAP1982_LOCUS19504|CAD7011404.1|CCAP	LOC115627975|XP_030379731.1|SLEB
OG0001119	CCAP1982_LOCUS4136|CAD6995419.1|CCAP, CCAP1982_LOCUS4134|CAD6995417.1|CCAP	LOC115630078|XP_030382561.1|SLEB
OG0001120	CCAP1982_LOCUS3124|CAD6994371.1|CCAP	LOC115623083|XP_030373145.1|SLEB, LOC115621079|XP_030370469.1|SLEB
OG0001121	CCAP1982_LOCUS22188|CAD7014182.1|CCAP, CCAP1982_LOCUS22185|CAD7014179.1|CCAP, CCAP1982_LOCUS22180|CAD7014174.1|CCAP	LOC115620501|XP_030369616.1|SLEB
OG0001122	CCAP1982_LOCUS12577|CAD7004157.1|CCAP	LOC115632561|XP_030385637.1|SLEB
OG0001124	CCAP1982_LOCUS3530|CAD6994799.1|CCAP	LOC115625095|XP_030375854.1|SLEB
OG0001125	CCAP1982_LOCUS12956|CAD7004560.1|CCAP	LOC115621080|XP_030370470.1|SLEB
OG0001126	CCAP1982_LOCUS12939|CAD7004542.1|CCAP	LOC115623071|XP_030373125.1|SLEB
OG0001127	CCAP1982_LOCUS13446|CAD7005083.1|CCAP	LOC115622276|XP_030372037.1|SLEB
OG0001129	CCAP1982_LOCUS5497|CAD6996824.1|CCAP, CCAP1982_LOCUS5496|CAD6996823.1|CCAP	LOC115626279|XP_030377461.1|SLEB
OG0001130	CCAP1982_LOCUS5744|CAD6997091.1|CCAP	LOC115625688|XP_030376687.1|SLEB
OG0001131	CCAP1982_LOCUS10341|CAD7001852.1|CCAP	LOC115628051|XP_030379856.1|SLEB
OG0001133	CCAP1982_LOCUS6900|CAD6998291.1|CCAP	LOC115630972|XP_030383412.1|SLEB
OG0001133	CCAP1982_LOCUS6899|CAD6998290.1|CCAP	LOC115630971|XP_030383411.1|SLEB
OG0001134	CCAP1982_LOCUS20005|CAD7011894.1|CCAP	LOC115633664|XP_030386969.1|SLEB
OG0001135	CCAP1982_LOCUS54|CAD6991107.1|CCAP, CCAP1982_LOCUS53|CAD6991106.1|CCAP	LOC115620845|XP_030370146.1|SLEB
OG0001136	CCAP1982_LOCUS933|CAD6992052.1|CCAP, CCAP1982_LOCUS945|CAD6992064.1|CCAP, CCAP1982_LOCUS948|CAD6992067.1|CCAP, CCAP1982_LOCUS946|CAD6992065.1|CCAP, CCAP1982_LOCUS932|CAD6992051.1|CCAP	LOC115624234|XP_030374711.1|SLEB, LOC115623765|XP_030374161.1|SLEB
OG0001137	CCAP1982_LOCUS5134|CAD6996465.1|CCAP	LOC115621022|XP_030370402.1|SLEB
OG0001138	CCAP1982_LOCUS11127|CAD7002644.1|CCAP, CCAP1982_LOCUS11125|CAD7002642.1|CCAP	LOC115624755|XP_030375446.1|SLEB
OG0001139	CCAP1982_LOCUS14528|CAD7006200.1|CCAP	LOC115620983|XP_030370363.1|SLEB, LOC115622700|XP_030372586.1|SLEB
OG0001140	CCAP1982_LOCUS30|CAD6991082.1|CCAP, CCAP1982_LOCUS29|CAD6991081.1|CCAP	LOC115621164|XP_030370585.1|SLEB, LOC115621645|XP_030371206.1|SLEB
OG0001141	CCAP1982_LOCUS1431|CAD6992583.1|CCAP, CCAP1982_LOCUS1434|CAD6992585.1|CCAP	LOC115626528|XP_030377770.1|SLEB, LOC115621445|XP_030370959.1|SLEB, LOC115629071|XP_030381247.1|SLEB, LOC115628976|XP_030381115.1|SLEB, LOC115621412|XP_030370919.1|SLEB, LOC115620896|XP_030370244.1|SLEB
OG0001142	CCAP1982_LOCUS1037|CAD6992159.1|CCAP	LOC115621901|XP_030371590.1|SLEB
OG0001144	CCAP1982_LOCUS20324|CAD7012226.1|CCAP	LOC115634087|XP_030387502.1|SLEB, LOC115634232|XP_030387684.1|SLEB, LOC115634244|XP_030387698.1|SLEB
OG0001145	CCAP1982_LOCUS20697|CAD7012613.1|CCAP	LOC115626511|XP_030377759.1|SLEB
OG0001146	CCAP1982_LOCUS14012|CAD7005655.1|CCAP	LOC115627913|XP_030379668.1|SLEB, LOC115626679|XP_030377966.1|SLEB
OG0001153	CCAP1982_LOCUS20531|CAD7012450.1|CCAP	LOC115620648|XP_030369860.1|SLEB, LOC115622749|XP_030372660.1|SLEB
OG0001154	CCAP1982_LOCUS5972|CAD6997338.1|CCAP	LOC115625958|XP_030377056.1|SLEB
OG0001157	CCAP1982_LOCUS4069|CAD6995350.1|CCAP, CCAP1982_LOCUS4068|CAD6995349.1|CCAP	LOC115621126|XP_030370534.1|SLEB
OG0001158	CCAP1982_LOCUS8483|CAD6999978.1|CCAP	LOC115628463|XP_030380443.1|SLEB
OG0001159	CCAP1982_LOCUS1413|CAD6992567.1|CCAP, CCAP1982_LOCUS1411|CAD6992565.1|CCAP	LOC115621479|XP_030370998.1|SLEB
OG0001160	CCAP1982_LOCUS1437|CAD6992588.1|CCAP, CCAP1982_LOCUS1439|CAD6992590.1|CCAP	LOC115621486|XP_030371013.1|SLEB
OG0001161	CCAP1982_LOCUS44|CAD6991097.1|CCAP	LOC115621649|XP_030371210.1|SLEB
OG0001162	CCAP1982_LOCUS861|CAD6991974.1|CCAP	LOC115623523|XP_030373766.1|SLEB
OG0001162	CCAP1982_LOCUS3527|CAD6994796.1|CCAP	LOC115621897|XP_030371587.1|SLEB
OG0001163	CCAP1982_LOCUS1187|CAD6992319.1|CCAP	LOC115622437|XP_030372239.1|SLEB, LOC115625557|XP_030376509.1|SLEB
OG0001164	CCAP1982_LOCUS3746|CAD6995015.1|CCAP, CCAP1982_LOCUS3747|CAD6995016.1|CCAP	LOC115621626|XP_030371183.1|SLEB
OG0001165	CCAP1982_LOCUS2339|CAD6993527.1|CCAP	LOC115634433|XP_030388000.1|SLEB, LOC115628474|XP_030380459.1|SLEB
OG0001166	CCAP1982_LOCUS13125|CAD7004732.1|CCAP	LOC115632871|XP_030385995.1|SLEB
OG0001167	CCAP1982_LOCUS23222|CAD7015275.1|CCAP	LOC115634688|XP_030388414.1|SLEB
OG0001168	CCAP1982_LOCUS22756|CAD7014785.1|CCAP	LOC115621605|XP_030371160.1|SLEB, LOC115633613|XP_030386910.1|SLEB, LOC115630383|XP_030382772.1|SLEB, LOC115630381|XP_030382771.1|SLEB, LOC115630388|XP_030382775.1|SLEB, LOC115630389|XP_030382776.1|SLEB, LOC115630387|XP_030382774.1|SLEB, LOC115630390|XP_030382777.1|SLEB, LOC115630379|XP_030382770.1|SLEB, LOC115633618|XP_030386915.1|SLEB, LOC115633616|XP_030386912.1|SLEB, LOC115633617|XP_030386914.1|SLEB, LOC115633615|XP_030386911.1|SLEB
OG0001170	CCAP1982_LOCUS4015|CAD6995296.1|CCAP, CCAP1982_LOCUS8446|CAD6999937.1|CCAP, CCAP1982_LOCUS4014|CAD6995295.1|CCAP	LOC115622090|XP_030371791.1|SLEB, LOC115620718|XP_030369956.1|SLEB
OG0001171	CCAP1982_LOCUS11094|CAD7002610.1|CCAP, CCAP1982_LOCUS11093|CAD7002609.1|CCAP	LOC115622487|XP_030372293.1|SLEB
OG0001172	CCAP1982_LOCUS23142|CAD7015192.1|CCAP, CCAP1982_LOCUS23145|CAD7015194.1|CCAP, CCAP1982_LOCUS23141|CAD7015190.1|CCAP	LOC115620637|XP_030369838.1|SLEB, LOC115624420|XP_030375020.1|SLEB, LOC115622544|XP_030372374.1|SLEB, LOC115619993|XP_030368925.1|SLEB
OG0001173	CCAP1982_LOCUS137|CAD6991199.1|CCAP	LOC115620421|XP_030369505.1|SLEB
OG0001174	CCAP1982_LOCUS13231|CAD7004846.1|CCAP	LOC115632297|XP_030385251.1|SLEB
OG0001175	CCAP1982_LOCUS19961|CAD7011852.1|CCAP	LOC115633003|XP_030386192.1|SLEB
OG0001176	CCAP1982_LOCUS7150|CAD6998569.1|CCAP	LOC115634624|XP_030388337.1|SLEB
OG0001177	CCAP1982_LOCUS7053|CAD6998455.1|CCAP	LOC115630806|XP_030383328.1|SLEB
OG0001178	CCAP1982_LOCUS22089|CAD7014082.1|CCAP	LOC115634255|XP_030387710.1|SLEB
OG0001179	CCAP1982_LOCUS21397|CAD7013328.1|CCAP	LOC115623641|XP_030373950.1|SLEB
