Orthogroup	CCAP.longest_only	DSER.longest_only
OG0000237	CCAP1982_LOCUS22769|CAD7014801.1|CCAP	LOC110189478|XP_020815219.1|DSER, LOC110189652|XP_020815457.1|DSER, LOC110189527|XP_020815316.1|DSER, LOC110179666|XP_020802937.1|DSER, LOC110177949|XP_020800594.1|DSER, LOC110185259|XP_020809657.1|DSER
OG0000238	CCAP1982_LOCUS8003|CAD6999479.1|CCAP, CCAP1982_LOCUS8002|CAD6999478.1|CCAP	LOC110187275|XP_020812322.1|DSER, LOC110187265|XP_020812312.1|DSER
OG0000238	CCAP1982_LOCUS8001|CAD6999477.1|CCAP	LOC110187272|XP_020812319.1|DSER
OG0000239	CCAP1982_LOCUS4796|CAD6996096.1|CCAP	LOC110187689|XP_020812782.1|DSER, LOC110177132|XP_020799361.1|DSER
OG0000240	CCAP1982_LOCUS792|CAD6991902.1|CCAP	LOC110176605|XP_020798688.1|DSER
OG0000240	CCAP1982_LOCUS799|CAD6991910.1|CCAP	LOC110176601|XP_020798678.1|DSER
OG0000240	CCAP1982_LOCUS8|CAD6991059.1|CCAP	LOC110191905|XP_020818549.1|DSER
OG0000241	CCAP1982_LOCUS13490|CAD7005128.1|CCAP	LOC110176258|XP_020798228.1|DSER, LOC110189869|XP_020815749.1|DSER
OG0000243	CCAP1982_LOCUS12341|CAD7003915.1|CCAP, CCAP1982_LOCUS9038|CAD7000562.1|CCAP, CCAP1982_LOCUS9030|CAD7000554.1|CCAP, CCAP1982_LOCUS9029|CAD7000553.1|CCAP, CCAP1982_LOCUS5375|CAD6996691.1|CCAP	LOC110191906|XP_020818550.1|DSER, LOC110182745|XP_020806505.1|DSER, LOC110190759|XP_020817048.1|DSER, LOC110190730|XP_020817010.1|DSER
OG0000244	CCAP1982_LOCUS1078|CAD6992206.1|CCAP	LOC110186524|XP_020811381.1|DSER, LOC110186486|XP_020811332.1|DSER, LOC110186796|XP_020811735.1|DSER
OG0000246	CCAP1982_LOCUS20131|CAD7012025.1|CCAP, CCAP1982_LOCUS20129|CAD7012023.1|CCAP, CCAP1982_LOCUS20130|CAD7012024.1|CCAP	LOC110182190|XP_020805863.1|DSER
OG0000247	CCAP1982_LOCUS10826|CAD7002340.1|CCAP	LOC110186895|XP_020811867.1|DSER, LOC110187075|XP_020812128.1|DSER, LOC110187201|XP_020812263.1|DSER, LOC110186767|XP_020811691.1|DSER
OG0000248	CCAP1982_LOCUS12822|CAD7004411.1|CCAP	LOC110185181|XP_020809557.1|DSER
OG0000249	CCAP1982_LOCUS6727|CAD6998115.1|CCAP	LOC110176902|XP_020799049.1|DSER
OG0000249	CCAP1982_LOCUS6728|CAD6998116.1|CCAP	LOC110176901|XP_020799047.1|DSER, LOC110176839|XP_020798954.1|DSER
OG0000250	CCAP1982_LOCUS6732|CAD6998121.1|CCAP, CCAP1982_LOCUS6739|CAD6998128.1|CCAP	LOC110183945|XP_020807965.1|DSER, LOC110178416|XP_020801218.1|DSER
OG0000250	CCAP1982_LOCUS6737|CAD6998126.1|CCAP	LOC110183942|XP_020807962.1|DSER
OG0000252	CCAP1982_LOCUS21368|CAD7013297.1|CCAP	LOC110177676|XP_020800158.1|DSER
OG0000252	CCAP1982_LOCUS21370|CAD7013299.1|CCAP	LOC110177675|XP_020800157.1|DSER
OG0000252	CCAP1982_LOCUS21369|CAD7013298.1|CCAP	LOC110177677|XP_020800159.1|DSER
OG0000255	CCAP1982_LOCUS20050|CAD7011939.1|CCAP, CCAP1982_LOCUS20046|CAD7011934.1|CCAP, CCAP1982_LOCUS20059|CAD7011948.1|CCAP, CCAP1982_LOCUS20054|CAD7011943.1|CCAP, CCAP1982_LOCUS20058|CAD7011947.1|CCAP	LOC110179204|XP_020802281.1|DSER, LOC110189621|XP_020815420.1|DSER
OG0000255	CCAP1982_LOCUS20060|CAD7011949.1|CCAP, CCAP1982_LOCUS20047|CAD7011935.1|CCAP, CCAP1982_LOCUS20055|CAD7011944.1|CCAP, CCAP1982_LOCUS20051|CAD7011940.1|CCAP	LOC110189620|XP_020815418.1|DSER
OG0000256	CCAP1982_LOCUS23043|CAD7015089.1|CCAP	LOC110184065|XP_020808103.1|DSER
OG0000256	CCAP1982_LOCUS23051|CAD7015097.1|CCAP	LOC110184032|XP_020808063.1|DSER
OG0000257	CCAP1982_LOCUS20168|CAD7012068.1|CCAP	LOC110185491|XP_020810045.1|DSER
OG0000260	CCAP1982_LOCUS20778|CAD7012671.1|CCAP, CCAP1982_LOCUS20779|CAD7012672.1|CCAP, CCAP1982_LOCUS405|CAD6991480.1|CCAP	LOC110177891|XP_020800521.1|DSER, LOC110186163|XP_020810873.1|DSER, LOC110177937|XP_020800581.1|DSER
OG0000261	CCAP1982_LOCUS8079|CAD6999559.1|CCAP	LOC110187400|XP_020812449.1|DSER, LOC110187398|XP_020812448.1|DSER
OG0000262	CCAP1982_LOCUS12893|CAD7004491.1|CCAP	LOC110184685|XP_020808957.1|DSER, LOC110184684|XP_020808956.1|DSER
OG0000262	CCAP1982_LOCUS23108|CAD7015158.1|CCAP	LOC110189285|XP_020814969.1|DSER
OG0000263	CCAP1982_LOCUS21272|CAD7013201.1|CCAP	LOC110178332|XP_020801100.1|DSER
OG0000263	CCAP1982_LOCUS12530|CAD7004109.1|CCAP	LOC110184756|XP_020809044.1|DSER
OG0000264	CCAP1982_LOCUS3654|CAD6994921.1|CCAP	LOC110186245|XP_020810973.1|DSER
OG0000267	CCAP1982_LOCUS1124|CAD6992254.1|CCAP	LOC110186401|XP_020811224.1|DSER
OG0000267	CCAP1982_LOCUS1123|CAD6992253.1|CCAP	LOC110186508|XP_020811362.1|DSER
OG0000268	CCAP1982_LOCUS3382|CAD6994647.1|CCAP	LOC110190729|XP_020817012.1|DSER, LOC110190453|XP_020816616.1|DSER
OG0000269	CCAP1982_LOCUS4016|CAD6995297.1|CCAP	LOC110191250|XP_020817689.1|DSER
OG0000269	CCAP1982_LOCUS307|CAD6991379.1|CCAP, CCAP1982_LOCUS308|CAD6991380.1|CCAP	LOC110186153|XP_020810862.1|DSER
OG0000270	CCAP1982_LOCUS23356|CAD7015413.1|CCAP	LOC110177025|XP_020799200.1|DSER
OG0000271	CCAP1982_LOCUS6272|CAD6997637.1|CCAP	LOC110185632|XP_020810247.1|DSER
OG0000272	CCAP1982_LOCUS12071|CAD7003632.1|CCAP	LOC110176724|XP_020798825.1|DSER
OG0000272	CCAP1982_LOCUS10300|CAD7001809.1|CCAP	LOC110185477|XP_020810007.1|DSER
OG0000273	CCAP1982_LOCUS5117|CAD6996445.1|CCAP	LOC110183291|XP_020807182.1|DSER
OG0000273	CCAP1982_LOCUS1020|CAD6992141.1|CCAP	LOC110191065|XP_020817453.1|DSER
OG0000274	CCAP1982_LOCUS19962|CAD7011853.1|CCAP, CCAP1982_LOCUS19963|CAD7011854.1|CCAP, CCAP1982_LOCUS19964|CAD7011855.1|CCAP, CCAP1982_LOCUS20649|CAD7012564.1|CCAP, CCAP1982_LOCUS20651|CAD7012566.1|CCAP, CCAP1982_LOCUS20650|CAD7012565.1|CCAP	LOC110190539|XP_020816789.1|DSER, LOC110190617|XP_020816908.1|DSER, LOC110187177|XP_020812237.1|DSER, LOC110179189|XP_020802265.1|DSER
OG0000275	CCAP1982_LOCUS11118|CAD7002634.1|CCAP, CCAP1982_LOCUS2867|CAD6994098.1|CCAP, CCAP1982_LOCUS6310|CAD6997679.1|CCAP, CCAP1982_LOCUS9093|CAD7000619.1|CCAP, CCAP1982_LOCUS5782|CAD6997137.1|CCAP	LOC110182828|XP_020806620.1|DSER
OG0000276	CCAP1982_LOCUS20345|CAD7012249.1|CCAP, CCAP1982_LOCUS9237|CAD7000762.1|CCAP, CCAP1982_LOCUS12976|CAD7004581.1|CCAP, CCAP1982_LOCUS20350|CAD7012254.1|CCAP, CCAP1982_LOCUS15025|CAD7006726.1|CCAP, CCAP1982_LOCUS21566|CAD7013506.1|CCAP, CCAP1982_LOCUS20346|CAD7012250.1|CCAP, CCAP1982_LOCUS20348|CAD7012252.1|CCAP, CCAP1982_LOCUS966|CAD6992086.1|CCAP, CCAP1982_LOCUS964|CAD6992084.1|CCAP, CCAP1982_LOCUS963|CAD6992083.1|CCAP, CCAP1982_LOCUS965|CAD6992085.1|CCAP, CCAP1982_LOCUS961|CAD6992081.1|CCAP, CCAP1982_LOCUS41|CAD6991094.1|CCAP, CCAP1982_LOCUS960|CAD6992080.1|CCAP, CCAP1982_LOCUS11457|CAD7002994.1|CCAP, CCAP1982_LOCUS20349|CAD7012253.1|CCAP, CCAP1982_LOCUS20327|CAD7012229.1|CCAP	LOC110177855|XP_020800461.1|DSER, LOC110176939|XP_020799100.1|DSER
OG0000277	CCAP1982_LOCUS2917|CAD6994151.1|CCAP	LOC110187326|XP_020812372.1|DSER, LOC110182409|XP_020806106.1|DSER, LOC110191383|XP_020817898.1|DSER, LOC110191271|XP_020817725.1|DSER
OG0000279	CCAP1982_LOCUS11229|CAD7002755.1|CCAP, CCAP1982_LOCUS11228|CAD7002754.1|CCAP	LOC110190337|XP_020816394.1|DSER, LOC110190205|XP_020816218.1|DSER
OG0000280	CCAP1982_LOCUS12868|CAD7004462.1|CCAP, CCAP1982_LOCUS12865|CAD7004459.1|CCAP	LOC110190395|XP_020816507.1|DSER, LOC110190396|XP_020816508.1|DSER, LOC110190394|XP_020816506.1|DSER
OG0000281	CCAP1982_LOCUS14794|CAD7006477.1|CCAP	LOC110178737|XP_020801622.1|DSER, LOC110179112|XP_020802161.1|DSER, LOC110181851|XP_020805420.1|DSER
OG0000282	CCAP1982_LOCUS12266|CAD7003833.1|CCAP, CCAP1982_LOCUS12264|CAD7003831.1|CCAP	LOC110178644|XP_020801495.1|DSER, LOC110182582|XP_020806287.1|DSER
OG0000282	CCAP1982_LOCUS12261|CAD7003828.1|CCAP	LOC110178639|XP_020801489.1|DSER
OG0000283	CCAP1982_LOCUS19441|CAD7011336.1|CCAP	LOC110178344|XP_020801122.1|DSER
OG0000283	CCAP1982_LOCUS3426|CAD6994691.1|CCAP	LOC110186757|XP_020811678.1|DSER
OG0000284	CCAP1982_LOCUS5966|CAD6997332.1|CCAP	LOC110185830|XP_020810495.1|DSER
OG0000284	CCAP1982_LOCUS5995|CAD6997362.1|CCAP, CCAP1982_LOCUS5953|CAD6997319.1|CCAP, CCAP1982_LOCUS5957|CAD6997323.1|CCAP, CCAP1982_LOCUS5956|CAD6997322.1|CCAP, CCAP1982_LOCUS9430|CAD7000957.1|CCAP	LOC110185802|XP_020810466.1|DSER
OG0000285	CCAP1982_LOCUS21942|CAD7013928.1|CCAP	LOC110184059|XP_020808095.1|DSER
OG0000285	CCAP1982_LOCUS21941|CAD7013927.1|CCAP, CCAP1982_LOCUS21935|CAD7013922.1|CCAP	LOC110184036|XP_020808069.1|DSER
OG0000286	CCAP1982_LOCUS6041|CAD6997400.1|CCAP	LOC110186123|XP_020810831.1|DSER
OG0000286	CCAP1982_LOCUS6046|CAD6997405.1|CCAP	LOC110186126|XP_020810835.1|DSER
OG0000288	CCAP1982_LOCUS6603|CAD6997987.1|CCAP, CCAP1982_LOCUS6604|CAD6997988.1|CCAP	LOC110185030|XP_020809341.1|DSER, LOC110185032|XP_020809343.1|DSER, LOC110185029|XP_020809340.1|DSER
OG0000289	CCAP1982_LOCUS12905|CAD7004506.1|CCAP	LOC110190086|XP_020816051.1|DSER
OG0000289	CCAP1982_LOCUS12469|CAD7004044.1|CCAP	LOC110185271|XP_020809676.1|DSER
OG0000289	CCAP1982_LOCUS12479|CAD7004054.1|CCAP	LOC110190087|XP_020816052.1|DSER
OG0000292	CCAP1982_LOCUS19738|CAD7011652.1|CCAP	LOC110176409|XP_020798411.1|DSER
OG0000292	CCAP1982_LOCUS14548|CAD7006222.1|CCAP	LOC110177531|XP_020799951.1|DSER
OG0000293	CCAP1982_LOCUS1805|CAD6992974.1|CCAP	LOC110184823|XP_020809130.1|DSER
OG0000293	CCAP1982_LOCUS1818|CAD6992987.1|CCAP	LOC110185528|XP_020810089.1|DSER
OG0000294	CCAP1982_LOCUS9357|CAD7000883.1|CCAP, CCAP1982_LOCUS9356|CAD7000882.1|CCAP	LOC110186075|XP_020810770.1|DSER
OG0000297	CCAP1982_LOCUS20965|CAD7012866.1|CCAP, CCAP1982_LOCUS20966|CAD7012867.1|CCAP, CCAP1982_LOCUS20964|CAD7012865.1|CCAP	LOC110180657|XP_020804011.1|DSER, LOC110180198|XP_020803514.1|DSER
OG0000299	CCAP1982_LOCUS2375|CAD6993563.1|CCAP	LOC110183991|XP_020808010.1|DSER
OG0000299	CCAP1982_LOCUS2378|CAD6993566.1|CCAP, CCAP1982_LOCUS2379|CAD6993567.1|CCAP	LOC110184033|XP_020808068.1|DSER, LOC110185254|XP_020809654.1|DSER
OG0000300	CCAP1982_LOCUS14184|CAD7005840.1|CCAP, CCAP1982_LOCUS14186|CAD7005842.1|CCAP	LOC110178879|XP_020801812.1|DSER, LOC110178878|XP_020801811.1|DSER, LOC110178967|XP_020801931.1|DSER
OG0000301	CCAP1982_LOCUS10127|CAD7001633.1|CCAP	LOC110185425|XP_020809898.1|DSER
OG0000301	CCAP1982_LOCUS8306|CAD6999785.1|CCAP	LOC110177021|XP_020799194.1|DSER
OG0000302	CCAP1982_LOCUS10823|CAD7002335.1|CCAP	LOC110189890|XP_020815799.1|DSER
OG0000302	CCAP1982_LOCUS11854|CAD7003397.1|CCAP	LOC110189891|XP_020815803.1|DSER
OG0000303	CCAP1982_LOCUS9710|CAD7001212.1|CCAP	LOC110179035|XP_020802048.1|DSER, LOC110181812|XP_020805357.1|DSER, LOC110176908|XP_020799056.1|DSER
OG0000304	CCAP1982_LOCUS899|CAD6992014.1|CCAP	LOC110186994|XP_020812009.1|DSER, LOC110186501|XP_020811354.1|DSER, LOC110186995|XP_020812010.1|DSER
OG0000305	CCAP1982_LOCUS13487|CAD7005125.1|CCAP	LOC110176298|XP_020798277.1|DSER
OG0000305	CCAP1982_LOCUS13485|CAD7005123.1|CCAP	LOC110176264|XP_020798237.1|DSER
OG0000307	CCAP1982_LOCUS4947|CAD6996264.1|CCAP	LOC110191435|XP_020817957.1|DSER
OG0000307	CCAP1982_LOCUS2700|CAD6993908.1|CCAP	LOC110177424|XP_020799801.1|DSER
OG0000312	CCAP1982_LOCUS5594|CAD6996924.1|CCAP	LOC110183747|XP_020807761.1|DSER
OG0000312	CCAP1982_LOCUS8736|CAD7000244.1|CCAP	LOC110178155|XP_020800844.1|DSER
OG0000313	CCAP1982_LOCUS6026|CAD6997385.1|CCAP	LOC110183874|XP_020807886.1|DSER
OG0000313	CCAP1982_LOCUS6027|CAD6997386.1|CCAP	LOC110185592|XP_020810186.1|DSER
OG0000314	CCAP1982_LOCUS7021|CAD6998421.1|CCAP	LOC110183767|XP_020807782.1|DSER, LOC110183766|XP_020807781.1|DSER
OG0000315	CCAP1982_LOCUS9179|CAD7000706.1|CCAP	LOC110187529|XP_020812582.1|DSER, LOC110179901|XP_020803157.1|DSER, LOC110187514|XP_020812568.1|DSER, LOC110179900|XP_020803156.1|DSER
OG0000316	CCAP1982_LOCUS21932|CAD7013919.1|CCAP	LOC110184082|XP_020808126.1|DSER
OG0000320	CCAP1982_LOCUS3506|CAD6994775.1|CCAP	LOC110186494|XP_020811348.1|DSER, LOC110177031|XP_020799207.1|DSER, LOC110186461|XP_020811308.1|DSER
OG0000321	CCAP1982_LOCUS5968|CAD6997334.1|CCAP	LOC110183964|XP_020807979.1|DSER, LOC110179932|XP_020803189.1|DSER
OG0000321	CCAP1982_LOCUS6789|CAD6998173.1|CCAP	LOC110183965|XP_020807980.1|DSER, LOC110179933|XP_020803190.1|DSER
OG0000323	CCAP1982_LOCUS7856|CAD6999329.1|CCAP	LOC110185569|XP_020810153.1|DSER
OG0000323	CCAP1982_LOCUS2694|CAD6993901.1|CCAP	LOC110190960|XP_020817309.1|DSER
OG0000324	CCAP1982_LOCUS20550|CAD7012470.1|CCAP, CCAP1982_LOCUS20551|CAD7012471.1|CCAP	LOC110184629|XP_020808923.1|DSER
OG0000325	CCAP1982_LOCUS14564|CAD7006238.1|CCAP	LOC110185248|XP_020809643.1|DSER
OG0000325	CCAP1982_LOCUS14537|CAD7006209.1|CCAP, CCAP1982_LOCUS14573|CAD7006247.1|CCAP	LOC110185249|XP_020809644.1|DSER
OG0000327	CCAP1982_LOCUS21685|CAD7013638.1|CCAP, CCAP1982_LOCUS21684|CAD7013637.1|CCAP, CCAP1982_LOCUS21688|CAD7013644.1|CCAP	LOC110191617|XP_020818166.1|DSER, LOC110191544|XP_020818075.1|DSER, LOC110189505|XP_020815272.1|DSER
OG0000328	CCAP1982_LOCUS11450|CAD7002987.1|CCAP	LOC110179044|XP_020802060.1|DSER, LOC110184688|XP_020808959.1|DSER, LOC110184689|XP_020808960.1|DSER
OG0000331	CCAP1982_LOCUS7694|CAD6999156.1|CCAP	LOC110182599|XP_020806314.1|DSER, LOC110182610|XP_020806331.1|DSER
OG0000332	CCAP1982_LOCUS2276|CAD6993463.1|CCAP	LOC110187060|XP_020812104.1|DSER
OG0000333	CCAP1982_LOCUS14968|CAD7006666.1|CCAP	LOC110190778|XP_020817073.1|DSER, LOC110184708|XP_020808983.1|DSER
OG0000333	CCAP1982_LOCUS14967|CAD7006665.1|CCAP	LOC110185283|XP_020809689.1|DSER
OG0000334	CCAP1982_LOCUS20995|CAD7012896.1|CCAP, CCAP1982_LOCUS19902|CAD7011792.1|CCAP	LOC110178231|XP_020800942.1|DSER
OG0000335	CCAP1982_LOCUS6099|CAD6997453.1|CCAP	LOC110186071|XP_020810765.1|DSER
OG0000335	CCAP1982_LOCUS6100|CAD6997454.1|CCAP	LOC110185809|XP_020810472.1|DSER
OG0000336	CCAP1982_LOCUS705|CAD6991802.1|CCAP	LOC110186378|XP_020811190.1|DSER, LOC110186366|XP_020811175.1|DSER, LOC110186764|XP_020811685.1|DSER
OG0000337	CCAP1982_LOCUS4380|CAD6995673.1|CCAP	LOC110190393|XP_020816505.1|DSER, LOC110182589|XP_020806300.1|DSER, LOC110190143|XP_020816131.1|DSER
OG0000338	CCAP1982_LOCUS10874|CAD7002380.1|CCAP	LOC110177639|XP_020800110.1|DSER
OG0000338	CCAP1982_LOCUS23221|CAD7015274.1|CCAP	LOC110178259|XP_020800976.1|DSER
OG0000339	CCAP1982_LOCUS14878|CAD7006564.1|CCAP	LOC110190609|XP_020816861.1|DSER
OG0000340	CCAP1982_LOCUS19733|CAD7011646.1|CCAP	LOC110182004|XP_020805598.1|DSER
OG0000343	CCAP1982_LOCUS1051|CAD6992177.1|CCAP	LOC110189161|XP_020814790.1|DSER
OG0000344	CCAP1982_LOCUS22694|CAD7014712.1|CCAP	LOC110191127|XP_020817539.1|DSER
OG0000344	CCAP1982_LOCUS2029|CAD6993210.1|CCAP	LOC110186990|XP_020812006.1|DSER
OG0000345	CCAP1982_LOCUS22702|CAD7014723.1|CCAP	LOC110182943|XP_020806785.1|DSER
OG0000345	CCAP1982_LOCUS20163|CAD7012061.1|CCAP	LOC110189741|XP_020815597.1|DSER
OG0000346	CCAP1982_LOCUS21350|CAD7013279.1|CCAP	LOC110177761|XP_020800284.1|DSER, LOC110176582|XP_020798655.1|DSER
OG0000347	CCAP1982_LOCUS12932|CAD7004535.1|CCAP	LOC110176227|XP_020798172.1|DSER
OG0000347	CCAP1982_LOCUS8872|CAD7000397.1|CCAP	LOC110185622|XP_020810230.1|DSER
OG0000349	CCAP1982_LOCUS5504|CAD6996831.1|CCAP, CCAP1982_LOCUS5503|CAD6996830.1|CCAP	LOC110185639|XP_020810255.1|DSER
OG0000350	CCAP1982_LOCUS13445|CAD7005081.1|CCAP	LOC110179012|XP_020802011.1|DSER, LOC110178888|XP_020801820.1|DSER
OG0000350	CCAP1982_LOCUS13444|CAD7005080.1|CCAP	LOC110186748|XP_020811670.1|DSER
OG0000351	CCAP1982_LOCUS19932|CAD7011822.1|CCAP	LOC110177763|XP_020800288.1|DSER
OG0000353	CCAP1982_LOCUS1631|CAD6992792.1|CCAP, CCAP1982_LOCUS1641|CAD6992802.1|CCAP, CCAP1982_LOCUS1649|CAD6992810.1|CCAP	LOC110186717|XP_020811648.1|DSER
OG0000353	CCAP1982_LOCUS5604|CAD6996934.1|CCAP	LOC110185629|XP_020810240.1|DSER
OG0000354	CCAP1982_LOCUS8239|CAD6999713.1|CCAP	LOC110182267|XP_020805943.1|DSER, LOC110178541|XP_020801360.1|DSER
OG0000355	CCAP1982_LOCUS21870|CAD7013851.1|CCAP	LOC110182888|XP_020806691.1|DSER
OG0000355	CCAP1982_LOCUS21864|CAD7013844.1|CCAP	LOC110189463|XP_020815198.1|DSER
OG0000356	CCAP1982_LOCUS21448|CAD7013383.1|CCAP, CCAP1982_LOCUS21447|CAD7013382.1|CCAP	LOC110176940|XP_020799101.1|DSER, LOC110176868|XP_020799003.1|DSER
OG0000359	CCAP1982_LOCUS14692|CAD7006370.1|CCAP	LOC110179990|XP_020803240.1|DSER, LOC110179991|XP_020803241.1|DSER, LOC110180001|XP_020803250.1|DSER, LOC110180000|XP_020803248.1|DSER
OG0000361	CCAP1982_LOCUS5571|CAD6996898.1|CCAP	LOC110182815|XP_020806608.1|DSER, LOC110182824|XP_020806619.1|DSER, LOC110182593|XP_020806306.1|DSER
OG0000362	CCAP1982_LOCUS13419|CAD7005048.1|CCAP	LOC110184521|XP_020808748.1|DSER
OG0000362	CCAP1982_LOCUS14636|CAD7006314.1|CCAP	LOC110190414|XP_020816537.1|DSER
OG0000363	CCAP1982_LOCUS4780|CAD6996073.1|CCAP	LOC110191942|XP_020818618.1|DSER
OG0000363	CCAP1982_LOCUS11893|CAD7003437.1|CCAP, CCAP1982_LOCUS11894|CAD7003438.1|CCAP	LOC110190616|XP_020816871.1|DSER
OG0000364	CCAP1982_LOCUS11310|CAD7002841.1|CCAP, CCAP1982_LOCUS11307|CAD7002837.1|CCAP, CCAP1982_LOCUS11309|CAD7002840.1|CCAP, CCAP1982_LOCUS11306|CAD7002836.1|CCAP	LOC110188799|XP_020814323.1|DSER
OG0000364	CCAP1982_LOCUS11297|CAD7002827.1|CCAP	LOC110188800|XP_020814324.1|DSER
OG0000365	CCAP1982_LOCUS22064|CAD7014056.1|CCAP	LOC110182973|XP_020806825.1|DSER
OG0000365	CCAP1982_LOCUS7434|CAD6998887.1|CCAP	LOC110183432|XP_020807372.1|DSER
OG0000366	CCAP1982_LOCUS89|CAD6991147.1|CCAP	LOC110186439|XP_020811281.1|DSER
OG0000367	CCAP1982_LOCUS7492|CAD6998946.1|CCAP	LOC110190468|XP_020816636.1|DSER
OG0000367	CCAP1982_LOCUS20529|CAD7012448.1|CCAP	LOC110179453|XP_020802663.1|DSER
OG0000368	CCAP1982_LOCUS13421|CAD7005051.1|CCAP	LOC110181229|XP_020804585.1|DSER
OG0000368	CCAP1982_LOCUS14032|CAD7005679.1|CCAP	LOC110181252|XP_020804616.1|DSER
OG0000378	CCAP1982_LOCUS6736|CAD6998125.1|CCAP	LOC110182542|XP_020806250.1|DSER
OG0000379	CCAP1982_LOCUS21660|CAD7013606.1|CCAP	LOC110191655|XP_020818214.1|DSER, LOC110191640|XP_020818194.1|DSER, LOC110185096|XP_020809482.1|DSER
OG0000380	CCAP1982_LOCUS12650|CAD7004231.1|CCAP	LOC110189590|XP_020815381.1|DSER
OG0000380	CCAP1982_LOCUS12649|CAD7004230.1|CCAP	LOC110184706|XP_020808981.1|DSER
OG0000381	CCAP1982_LOCUS5374|CAD6996690.1|CCAP	LOC110181415|XP_020804812.1|DSER, LOC110179859|XP_020803117.1|DSER
OG0000383	CCAP1982_LOCUS8613|CAD7000118.1|CCAP	LOC110187287|XP_020812336.1|DSER
OG0000383	CCAP1982_LOCUS8611|CAD7000116.1|CCAP	LOC110184938|XP_020809246.1|DSER
OG0000384	CCAP1982_LOCUS21415|CAD7013347.1|CCAP	LOC110179316|XP_020802464.1|DSER
OG0000384	CCAP1982_LOCUS21411|CAD7013343.1|CCAP, CCAP1982_LOCUS21405|CAD7013337.1|CCAP	LOC110179317|XP_020802465.1|DSER
OG0000386	CCAP1982_LOCUS2499|CAD6993693.1|CCAP	LOC110186322|XP_020811120.1|DSER
OG0000389	CCAP1982_LOCUS19656|CAD7011568.1|CCAP	LOC110190500|XP_020816675.1|DSER
OG0000390	CCAP1982_LOCUS21890|CAD7013874.1|CCAP	LOC110183484|XP_020807423.1|DSER
OG0000391	CCAP1982_LOCUS21905|CAD7013892.1|CCAP	LOC110184084|XP_020808129.1|DSER
OG0000391	CCAP1982_LOCUS21907|CAD7013893.1|CCAP	LOC110184039|XP_020808073.1|DSER
OG0000392	CCAP1982_LOCUS6845|CAD6998235.1|CCAP	LOC110187386|XP_020812436.1|DSER
OG0000393	CCAP1982_LOCUS7644|CAD6999099.1|CCAP	LOC110187261|XP_020812308.1|DSER
OG0000393	CCAP1982_LOCUS7637|CAD6999091.1|CCAP	LOC110180003|XP_020803252.1|DSER, LOC110187262|XP_020812309.1|DSER
OG0000395	CCAP1982_LOCUS13447|CAD7005084.1|CCAP	LOC110179001|XP_020801993.1|DSER, LOC110178884|XP_020801817.1|DSER, LOC110179003|XP_020801996.1|DSER
OG0000396	CCAP1982_LOCUS8304|CAD6999782.1|CCAP, CCAP1982_LOCUS8303|CAD6999781.1|CCAP, CCAP1982_LOCUS8305|CAD6999783.1|CCAP	LOC110177020|XP_020799192.1|DSER
OG0000397	CCAP1982_LOCUS22197|CAD7014192.1|CCAP, CCAP1982_LOCUS22198|CAD7014193.1|CCAP	LOC110177064|XP_020799241.1|DSER, LOC110177063|XP_020799240.1|DSER, LOC110177065|XP_020799242.1|DSER
OG0000399	CCAP1982_LOCUS1621|CAD6992781.1|CCAP	LOC110190647|XP_020816909.1|DSER
OG0000399	CCAP1982_LOCUS3083|CAD6994327.1|CCAP	LOC110182956|XP_020806809.1|DSER
OG0000403	CCAP1982_LOCUS1259|CAD6992395.1|CCAP	LOC110176449|XP_020798459.1|DSER
OG0000403	CCAP1982_LOCUS22013|CAD7014006.1|CCAP	LOC110181126|XP_020804457.1|DSER
OG0000404	CCAP1982_LOCUS1096|CAD6992226.1|CCAP, CCAP1982_LOCUS1097|CAD6992227.1|CCAP	LOC110186276|XP_020811049.1|DSER
OG0000406	CCAP1982_LOCUS11897|CAD7003443.1|CCAP	LOC110189994|XP_020815951.1|DSER
OG0000406	CCAP1982_LOCUS21278|CAD7013207.1|CCAP	LOC110179321|XP_020802472.1|DSER
OG0000407	CCAP1982_LOCUS12843|CAD7004436.1|CCAP	LOC110190439|XP_020816584.1|DSER
OG0000407	CCAP1982_LOCUS12844|CAD7004437.1|CCAP	LOC110190437|XP_020816579.1|DSER
OG0000408	CCAP1982_LOCUS7779|CAD6999248.1|CCAP	LOC110185489|XP_020810028.1|DSER, LOC110182730|XP_020806490.1|DSER
OG0000409	CCAP1982_LOCUS21376|CAD7013305.1|CCAP, CCAP1982_LOCUS21379|CAD7013308.1|CCAP	LOC110178483|XP_020801284.1|DSER, LOC110188995|XP_020814606.1|DSER
OG0000411	CCAP1982_LOCUS957|CAD6992077.1|CCAP	LOC110188761|XP_020814261.1|DSER
OG0000411	CCAP1982_LOCUS6392|CAD6997762.1|CCAP	LOC110183779|XP_020807795.1|DSER, LOC110179290|XP_020802434.1|DSER
OG0000412	CCAP1982_LOCUS13595|CAD7005237.1|CCAP	LOC110182789|XP_020806573.1|DSER
OG0000413	CCAP1982_LOCUS275|CAD6991346.1|CCAP	LOC110188011|XP_020813194.1|DSER
