Orthogroup	AALB.longest_only	DELE.longest_only
OG0000920	LOC118462795|XP_035784685.1|AALB, LOC118462796|XP_035784686.1|AALB, LOC118458426|XP_035776774.1|AALB	LOC108148109|XP_017130446.1|DELE
OG0000921	LOC118460639|XP_035780986.1|AALB	LOC108136278|XP_017112847.1|DELE, LOC108136308|XP_017112892.1|DELE
OG0000922	LOC118456255|XP_035772750.1|AALB	LOC108146438|XP_017127931.1|DELE
OG0000923	LOC118466584|XP_035792037.1|AALB	LOC108135512|XP_017111745.1|DELE, LOC108143893|XP_017123957.1|DELE
OG0000924	LOC118463875|XP_035786688.1|AALB	LOC108137660|XP_017114984.1|DELE
OG0000925	LOC118467575|XP_035794113.1|AALB	LOC108148494|XP_017131018.1|DELE, LOC108149029|XP_017131867.1|DELE
OG0000935	LOC118457386|XP_035774818.1|AALB, LOC118459374|XP_035778563.1|AALB	LOC108147162|XP_017128982.1|DELE
OG0000936	LOC118461155|XP_035782074.1|AALB	LOC108147375|XP_017129298.1|DELE, LOC108137107|XP_017114120.1|DELE
OG0000938	LOC118458727|XP_035777387.1|AALB	LOC108135366|XP_017111546.1|DELE, LOC108137165|XP_017114226.1|DELE
OG0000939	LOC118458045|XP_035776058.1|AALB	LOC108138138|XP_017115673.1|DELE
OG0000940	LOC118457807|XP_035775553.1|AALB	LOC108138461|XP_017116153.1|DELE, LOC108146448|XP_017127947.1|DELE
OG0000941	LOC118457833|XP_035775602.1|AALB	LOC108148566|XP_017131101.1|DELE, LOC108137331|XP_017114451.1|DELE
OG0000942	LOC118461937|XP_035783705.1|AALB	LOC108142416|XP_017121758.1|DELE
OG0000943	LOC118464680|XP_035788095.1|AALB	LOC108144390|XP_017124656.1|DELE
OG0000944	LOC118463430|XP_035785890.1|AALB	LOC108137176|XP_017114242.1|DELE
OG0000945	LOC118462643|XP_035784385.1|AALB	LOC108145939|XP_017127136.1|DELE, LOC108145937|XP_017127134.1|DELE
OG0000946	LOC118468439|XP_035795094.1|AALB, LOC118458079|XP_035776129.1|AALB	LOC108139000|XP_017117085.1|DELE
OG0000947	LOC118459427|XP_035778666.1|AALB, LOC118459425|XP_035778663.1|AALB, LOC118459426|XP_035778664.1|AALB	LOC108144515|XP_017124944.1|DELE
OG0000948	LOC118460957|XP_035781625.1|AALB	LOC108146329|XP_017127784.1|DELE
OG0000949	LOC118461660|XP_035783134.1|AALB	LOC108136213|XP_017112710.1|DELE
OG0000949	LOC118461659|XP_035783133.1|AALB	LOC108136214|XP_017112715.1|DELE
OG0000950	LOC118459856|XP_035779521.1|AALB	LOC108140993|XP_017119557.1|DELE
OG0000951	LOC118467062|XP_035792970.1|AALB	LOC108134796|XP_017110735.1|DELE
OG0000952	LOC118463414|XP_035785859.1|AALB	LOC108138201|XP_017115808.1|DELE
OG0000964	LOC118461375|XP_035782519.1|AALB	LOC108144188|XP_017124342.1|DELE
OG0000965	LOC118458186|XP_035776321.1|AALB	LOC108137426|XP_017114578.1|DELE
OG0000966	LOC118463865|XP_035786672.1|AALB	LOC108147584|XP_017129712.1|DELE, LOC108143774|XP_017123791.1|DELE
OG0000968	LOC118464835|XP_035788404.1|AALB	LOC108146872|XP_017128590.1|DELE
OG0000969	LOC118467288|XP_035793494.1|AALB	LOC108145548|XP_017126537.1|DELE, LOC108142921|XP_017122499.1|DELE
OG0000970	LOC118459232|XP_035778322.1|AALB	LOC108137387|XP_017114535.1|DELE
OG0000971	LOC118467673|XP_035794337.1|AALB, LOC118461168|XP_035782061.1|AALB	LOC108150518|XP_017134227.1|DELE
OG0000972	LOC118457048|XP_035774189.1|AALB	LOC108142387|XP_017121711.1|DELE, LOC108137198|XP_017114273.1|DELE
OG0000974	LOC118460056|XP_035779933.1|AALB, LOC118463138|XP_035785391.1|AALB	LOC108146360|XP_017127826.1|DELE
OG0000975	LOC118461802|XP_035783438.1|AALB	LOC108140619|XP_017119022.1|DELE
OG0000976	LOC118460713|XP_035781136.1|AALB, LOC118460739|XP_035781190.1|AALB	LOC108143828|XP_017123858.1|DELE
OG0000977	LOC118468937|XP_035796163.1|AALB	LOC108148273|XP_017130718.1|DELE
OG0000978	LOC118464760|XP_035788272.1|AALB	LOC108149697|XP_017132951.1|DELE, LOC108146915|XP_017128649.1|DELE, LOC108140722|XP_017119178.1|DELE
OG0000979	LOC118459941|XP_035779710.1|AALB	LOC108134639|XP_017110516.1|DELE
OG0000988	LOC118465612|XP_035789882.1|AALB	LOC108138188|XP_017115790.1|DELE
OG0000990	LOC118461263|XP_035782289.1|AALB	LOC108147161|XP_017128973.1|DELE, LOC108134895|XP_017110886.1|DELE
OG0000991	LOC118460991|XP_035781709.1|AALB	LOC108136556|XP_017113352.1|DELE
OG0000992	LOC118467370|XP_035793679.1|AALB	LOC108146924|XP_017128660.1|DELE, LOC108149695|XP_017132950.1|DELE, LOC108148803|XP_017131516.1|DELE
OG0000993	LOC118458879|XP_035777722.1|AALB	LOC108149020|XP_017131856.1|DELE, LOC108148914|XP_017131719.1|DELE
OG0000994	LOC118460067|XP_035779957.1|AALB	LOC108141271|XP_017120031.1|DELE
OG0000995	LOC118467882|XP_035794687.1|AALB	LOC108150447|XP_017134096.1|DELE, LOC108137592|XP_017114812.1|DELE
OG0000996	LOC118464625|XP_035787964.1|AALB	LOC108144400|XP_017124672.1|DELE
OG0000997	LOC118463841|XP_035786637.1|AALB	LOC108144986|XP_017125629.1|DELE
OG0000998	LOC118463641|XP_035786269.1|AALB	LOC108146338|XP_017127793.1|DELE
OG0000999	LOC118464812|XP_035788372.1|AALB	LOC108135365|XP_017111545.1|DELE, LOC108137145|XP_017114197.1|DELE
OG0001000	LOC118468586|XP_035795411.1|AALB	LOC108146706|XP_017128271.1|DELE
OG0001001	LOC118468736|XP_035795777.1|AALB, LOC118457961|XP_035775887.1|AALB	LOC108144574|XP_017125053.1|DELE
OG0001002	LOC118462052|XP_035783931.1|AALB, LOC118457269|XP_035774556.1|AALB	LOC108149563|XP_017132690.1|DELE
OG0001003	LOC118458880|XP_035777724.1|AALB	LOC108145635|XP_017126663.1|DELE, LOC108145453|XP_017126386.1|DELE
OG0001004	LOC118461508|XP_035782830.1|AALB	LOC108140785|XP_017119265.1|DELE, LOC108139123|XP_017117224.1|DELE
OG0001005	LOC118457323|XP_035774708.1|AALB	LOC108138626|XP_017116403.1|DELE, LOC108136233|XP_017112745.1|DELE
OG0001006	LOC118466540|XP_035791949.1|AALB	LOC108150084|XP_017133540.1|DELE, LOC108142773|XP_017122303.1|DELE
OG0001007	LOC118465783|XP_035790210.1|AALB	LOC108144668|XP_017125211.1|DELE, LOC108145796|XP_017126860.1|DELE
OG0001008	LOC118465025|XP_035788783.1|AALB	LOC108148568|XP_017131103.1|DELE, LOC108141631|XP_017120591.1|DELE
OG0001009	LOC118457397|XP_035774827.1|AALB	LOC108142895|XP_017122470.1|DELE, LOC108147101|XP_017128877.1|DELE
OG0001019	LOC118465401|XP_035789500.1|AALB	LOC108148662|XP_017131283.1|DELE
OG0001020	LOC118456197|XP_035772655.1|AALB, LOC118456190|XP_035772644.1|AALB	LOC108144144|XP_017124280.1|DELE
OG0001022	LOC118459591|XP_035779012.1|AALB, LOC118464497|XP_035787825.1|AALB	LOC108135139|XP_017111237.1|DELE, LOC108134908|XP_017110908.1|DELE
OG0001024	LOC118458539|XP_035777014.1|AALB, LOC118457811|XP_035775564.1|AALB	LOC108150571|XP_017134313.1|DELE, LOC108148827|XP_017131580.1|DELE
OG0001025	LOC118462991|XP_035785097.1|AALB, LOC118459096|XP_035778052.1|AALB	LOC108146944|XP_017128687.1|DELE
OG0001026	LOC118467194|XP_035793298.1|AALB, LOC118463597|XP_035786150.1|AALB	LOC108147048|XP_017128812.1|DELE
OG0001027	LOC118462690|XP_035784501.1|AALB, LOC118462691|XP_035784507.1|AALB	LOC108135582|XP_017111863.1|DELE
OG0001028	LOC118466252|XP_035791197.1|AALB	LOC108138041|XP_017115502.1|DELE
OG0001031	LOC118458005|XP_035775973.1|AALB	LOC108137787|XP_017115185.1|DELE, LOC108146931|XP_017128673.1|DELE, LOC108150543|XP_017134264.1|DELE
OG0001032	LOC118456400|XP_035772993.1|AALB	LOC108138112|XP_017115623.1|DELE, LOC108134593|XP_017110442.1|DELE
OG0001033	LOC118466176|XP_035791056.1|AALB	LOC108145191|XP_017125922.1|DELE
OG0001042	LOC118458317|XP_035776557.1|AALB, LOC118460405|XP_035780581.1|AALB	LOC108143966|XP_017124055.1|DELE
OG0001043	LOC118458781|XP_035777499.1|AALB	LOC108137741|XP_017115130.1|DELE
OG0001044	LOC118466750|XP_035792336.1|AALB	LOC108149666|XP_017132900.1|DELE
OG0001045	LOC118460207|XP_035780211.1|AALB	LOC108144821|XP_017125441.1|DELE
OG0001046	LOC118461602|XP_035783012.1|AALB	LOC108144789|XP_017125390.1|DELE, LOC108144788|XP_017125389.1|DELE
OG0001048	LOC118463800|XP_035786560.1|AALB, LOC118467828|XP_035794612.1|AALB	LOC108143680|XP_017123679.1|DELE
OG0001050	LOC118466206|XP_035791116.1|AALB	LOC108146792|XP_017128449.1|DELE
OG0001051	LOC118458232|XP_035776394.1|AALB	LOC108141901|XP_017121004.1|DELE
OG0001052	LOC118456651|XP_035773484.1|AALB	LOC108149530|XP_017132651.1|DELE
OG0001053	LOC118468491|XP_035795212.1|AALB	LOC108149923|XP_017133328.1|DELE
OG0001054	LOC118458947|XP_035777823.1|AALB	LOC108137353|XP_017114477.1|DELE
OG0001055	LOC118457762|XP_035775478.1|AALB, LOC118457761|XP_035775477.1|AALB	LOC108140622|XP_017119025.1|DELE, LOC108140747|XP_017119213.1|DELE
OG0001056	LOC118458531|XP_035777002.1|AALB	LOC108149269|XP_017132200.1|DELE, LOC108148182|XP_017130576.1|DELE
OG0001057	LOC118456428|XP_035773077.1|AALB	LOC108141909|XP_017121016.1|DELE
OG0001058	LOC118462874|XP_035784828.1|AALB	LOC108149998|XP_017133424.1|DELE
OG0001059	LOC118466592|XP_035792047.1|AALB	LOC108146417|XP_017127909.1|DELE
OG0001072	LOC118456181|XP_035772631.1|AALB	LOC108150399|XP_017134043.1|DELE
OG0001073	LOC118460567|XP_035780867.1|AALB, LOC118460559|XP_035780856.1|AALB	LOC108148636|XP_017131238.1|DELE
OG0001074	LOC118465055|XP_035788830.1|AALB	LOC108149104|XP_017131990.1|DELE
OG0001075	LOC118463888|XP_035786709.1|AALB	LOC108139689|XP_017117902.1|DELE, LOC108143272|XP_017123080.1|DELE
OG0001077	LOC118468651|XP_035795571.1|AALB	LOC108150082|XP_017133536.1|DELE
OG0001078	LOC118461004|XP_035781739.1|AALB, LOC118466508|XP_035791846.1|AALB	LOC108136620|XP_017113427.1|DELE
OG0001079	LOC118462980|XP_035785069.1|AALB	LOC108146430|XP_017127922.1|DELE
OG0001080	LOC118466686|XP_035792207.1|AALB	LOC108146177|XP_017127572.1|DELE
OG0001081	LOC118466692|XP_035792215.1|AALB, LOC118466777|XP_035792396.1|AALB	LOC108136814|XP_017113706.1|DELE
OG0001082	LOC118466984|XP_035792795.1|AALB, LOC118466986|XP_035792796.1|AALB	LOC108145500|XP_017126449.1|DELE
OG0001083	LOC118463887|XP_035786707.1|AALB	LOC108147482|XP_017129525.1|DELE
OG0001084	LOC118461093|XP_035781894.1|AALB, LOC118462702|XP_035784532.1|AALB	LOC108145066|XP_017125735.1|DELE
OG0001085	LOC118463368|XP_035785785.1|AALB	LOC108147015|XP_017128759.1|DELE
OG0001086	LOC118466154|XP_035791022.1|AALB	LOC108135138|XP_017111236.1|DELE, LOC108144667|XP_017125210.1|DELE
OG0001088	LOC118463537|XP_035786046.1|AALB	LOC108150303|XP_017133904.1|DELE
OG0001089	LOC118463098|XP_035785279.1|AALB	LOC108146470|XP_017127977.1|DELE
OG0001090	LOC118465495|XP_035789692.1|AALB, LOC118464575|XP_035787911.1|AALB	LOC108146353|XP_017127815.1|DELE
OG0001092	LOC118458375|XP_035776670.1|AALB	LOC108139043|XP_017117149.1|DELE
OG0001093	LOC118456857|XP_035773851.1|AALB, LOC118456967|XP_035774054.1|AALB	LOC108139049|XP_017117156.1|DELE
OG0001094	LOC118468381|XP_035795034.1|AALB, LOC118467965|XP_035794843.1|AALB	LOC108138865|XP_017116878.1|DELE, LOC108138737|XP_017116619.1|DELE
OG0001095	LOC118462067|XP_035783956.1|AALB, LOC118462065|XP_035783951.1|AALB, LOC118462066|XP_035783955.1|AALB	LOC108143714|XP_017123739.1|DELE
OG0001096	LOC118457636|XP_035775259.1|AALB, LOC118457646|XP_035775279.1|AALB	LOC108138882|XP_017116902.1|DELE
OG0001097	LOC118468054|XP_035794870.1|AALB	LOC108138039|XP_017115504.1|DELE, LOC108148313|XP_017130829.1|DELE
OG0001099	LOC118459695|XP_035779229.1|AALB	LOC108142795|XP_017122334.1|DELE
OG0001100	LOC118467040|XP_035792918.1|AALB	LOC108142883|XP_017122448.1|DELE, LOC108138109|XP_017115608.1|DELE
OG0001101	LOC118465160|XP_035789001.1|AALB	LOC108144311|XP_017124492.1|DELE
OG0001102	LOC118464289|XP_035787461.1|AALB, LOC118462624|XP_035784355.1|AALB	LOC108143210|XP_017122984.1|DELE
OG0001103	LOC118467432|XP_035793814.1|AALB, LOC118462777|XP_035784643.1|AALB, LOC118462779|XP_035784647.1|AALB	LOC108135031|XP_017111057.1|DELE
OG0001104	LOC118466871|XP_035792612.1|AALB	LOC108137961|XP_017115413.1|DELE
OG0001105	LOC118464948|XP_035788630.1|AALB	LOC108149709|XP_017132964.1|DELE, LOC108134887|XP_017110877.1|DELE
OG0001106	LOC118462721|XP_035784557.1|AALB, LOC118463944|XP_035786808.1|AALB	LOC108134958|XP_017110969.1|DELE, LOC108135313|XP_017111486.1|DELE
OG0001118	LOC118464394|XP_035787640.1|AALB	LOC108138522|XP_017116271.1|DELE
OG0001119	LOC118462827|XP_035784749.1|AALB, LOC118457681|XP_035775336.1|AALB	LOC108134620|XP_017110494.1|DELE
OG0001120	LOC118460031|XP_035779866.1|AALB, LOC118460028|XP_035779862.1|AALB	LOC108148726|XP_017131393.1|DELE, LOC108148582|XP_017131121.1|DELE
OG0001121	LOC118467126|XP_035793101.1|AALB	LOC108146871|XP_017128593.1|DELE
OG0001122	LOC118466831|XP_035792522.1|AALB	LOC108146446|XP_017127945.1|DELE
OG0001124	LOC118465314|XP_035789323.1|AALB	LOC108135249|XP_017111407.1|DELE
OG0001125	LOC118464929|XP_035788595.1|AALB, LOC118464931|XP_035788596.1|AALB	LOC108137001|XP_017113988.1|DELE
OG0001127	LOC118464441|XP_035787709.1|AALB, LOC118463906|XP_035786737.1|AALB	LOC108142663|XP_017122154.1|DELE
OG0001128	LOC118464123|XP_035787104.1|AALB, LOC118457710|XP_035775384.1|AALB	LOC108144710|XP_017125291.1|DELE
OG0001129	LOC118456467|XP_035773148.1|AALB	LOC108141584|XP_017120519.1|DELE
OG0001130	LOC118468542|XP_035795318.1|AALB	LOC108141984|XP_017121129.1|DELE
OG0001131	LOC118468623|XP_035795528.1|AALB, LOC118460821|XP_035781350.1|AALB, LOC118456702|XP_035773607.1|AALB	LOC108145276|XP_017126061.1|DELE
OG0001133	LOC118459323|XP_035778470.1|AALB	LOC108141638|XP_017120597.1|DELE, LOC108134564|XP_017110406.1|DELE, LOC108141852|XP_017120932.1|DELE
OG0001134	LOC118459711|XP_035779262.1|AALB	LOC108143562|XP_017123560.1|DELE
OG0001135	LOC118458211|XP_035776349.1|AALB, LOC118458424|XP_035776772.1|AALB	LOC108139350|XP_017117563.1|DELE
OG0001136	LOC118461028|XP_035781783.1|AALB	LOC108142892|XP_017122456.1|DELE
OG0001137	LOC118457518|XP_035775055.1|AALB	LOC108143785|XP_017123799.1|DELE
OG0001138	LOC118464731|XP_035788215.1|AALB	LOC108146178|XP_017127573.1|DELE
OG0001139	LOC118465857|XP_035790380.1|AALB	LOC108146925|XP_017128657.1|DELE
OG0001153	LOC118465049|XP_035788825.1|AALB	LOC108141497|XP_017120403.1|DELE
OG0001154	LOC118468672|XP_035795648.1|AALB	LOC108142000|XP_017121154.1|DELE
OG0001158	LOC118458274|XP_035776486.1|AALB	LOC108149541|XP_017132667.1|DELE
OG0001160	LOC118457823|XP_035775591.1|AALB	LOC108141128|XP_017119837.1|DELE
OG0001162	LOC118458801|XP_035777541.1|AALB	LOC108139302|XP_017117490.1|DELE
OG0001163	LOC118458840|XP_035777635.1|AALB	LOC108139257|XP_017117425.1|DELE
OG0001164	LOC118456274|XP_035772780.1|AALB, LOC118459220|XP_035778296.1|AALB	LOC108143851|XP_017123901.1|DELE
OG0001165	LOC118468688|XP_035795695.1|AALB	LOC108143431|XP_017123334.1|DELE
OG0001167	LOC118464622|XP_035787961.1|AALB	LOC108134610|XP_017110473.1|DELE, LOC108141832|XP_017120905.1|DELE
OG0001168	LOC118465527|XP_035789744.1|AALB	LOC108137957|XP_017115406.1|DELE
OG0001169	LOC118464071|XP_035787014.1|AALB	LOC108136178|XP_017112664.1|DELE, LOC108136354|XP_017112952.1|DELE
OG0001170	LOC118460729|XP_035781178.1|AALB	LOC108148508|XP_017131035.1|DELE
OG0001171	LOC118464541|XP_035787871.1|AALB, LOC118462468|XP_035784048.1|AALB	LOC108150250|XP_017133803.1|DELE
OG0001172	LOC118462641|XP_035784382.1|AALB	LOC108143535|XP_017123521.1|DELE
OG0001173	LOC118457355|XP_035774754.1|AALB, LOC118467405|XP_035793773.1|AALB	LOC108142931|XP_017122514.1|DELE
OG0001174	LOC118467301|XP_035793514.1|AALB	LOC108142178|XP_017121351.1|DELE, LOC108142179|XP_017121352.1|DELE
OG0001175	LOC118461601|XP_035783010.1|AALB	LOC108144787|XP_017125387.1|DELE
OG0001176	LOC118460499|XP_035780746.1|AALB, LOC118460500|XP_035780747.1|AALB	LOC108141300|XP_017120054.1|DELE, LOC108149737|XP_017133002.1|DELE
OG0001177	LOC118461535|XP_035782864.1|AALB	LOC108138815|XP_017116800.1|DELE
OG0001178	LOC118456756|XP_035773713.1|AALB	LOC108145514|XP_017126475.1|DELE
OG0001179	LOC118458722|XP_035777360.1|AALB	LOC108144698|XP_017125276.1|DELE
OG0001180	LOC118468911|XP_035796109.1|AALB	LOC108145298|XP_017126108.1|DELE
OG0001181	LOC118466696|XP_035792219.1|AALB, LOC118457839|XP_035775611.1|AALB	LOC108136115|XP_017112584.1|DELE
OG0001182	LOC118456949|XP_035774017.1|AALB, LOC118456944|XP_035774007.1|AALB, LOC118456948|XP_035774011.1|AALB	LOC108147261|XP_017129148.1|DELE
OG0001183	LOC118467069|XP_035792999.1|AALB	LOC108140588|XP_017118963.1|DELE
OG0001185	LOC118457401|XP_035774834.1|AALB	LOC108148260|XP_017130696.1|DELE
OG0001186	LOC118466562|XP_035791999.1|AALB	LOC108141159|XP_017119875.1|DELE
OG0001187	LOC118465218|XP_035789103.1|AALB, LOC118465219|XP_035789104.1|AALB	LOC108149761|XP_017133066.1|DELE
OG0001188	LOC118464179|XP_035787213.1|AALB, LOC118464181|XP_035787222.1|AALB	LOC108143449|XP_017123369.1|DELE
OG0001189	LOC118463112|XP_035785329.1|AALB, LOC118463485|XP_035785969.1|AALB	LOC108149197|XP_017132111.1|DELE
OG0001190	LOC118463984|XP_035786896.1|AALB, LOC118463982|XP_035786887.1|AALB	LOC108140915|XP_017119458.1|DELE
OG0001191	LOC118463935|XP_035786793.1|AALB, LOC118465696|XP_035790017.1|AALB	LOC108142135|XP_017121320.1|DELE
OG0001193	LOC118465058|XP_035788833.1|AALB	LOC108140617|XP_017119019.1|DELE
OG0001194	LOC118462665|XP_035784454.1|AALB	LOC108147668|XP_017129844.1|DELE
OG0001195	LOC118467257|XP_035793433.1|AALB	LOC108145371|XP_017126254.1|DELE
OG0001201	LOC118461173|XP_035782076.1|AALB	LOC108143870|XP_017123926.1|DELE
OG0001202	LOC118462103|XP_035783994.1|AALB	LOC108140909|XP_017119451.1|DELE
OG0001203	LOC118458443|XP_035776822.1|AALB, LOC118459523|XP_035778877.1|AALB	LOC108145311|XP_017126144.1|DELE
OG0001204	LOC118463325|XP_035785717.1|AALB	LOC108149508|XP_017132624.1|DELE
OG0001205	LOC118463845|XP_035786643.1|AALB	LOC108137473|XP_017114669.1|DELE
OG0001206	LOC118462907|XP_035784902.1|AALB	LOC108136838|XP_017113747.1|DELE
OG0001207	LOC118462055|XP_035783934.1|AALB	LOC108136450|XP_017113118.1|DELE
OG0001208	LOC118468829|XP_035795996.1|AALB	LOC108137268|XP_017114351.1|DELE
OG0001209	LOC118458686|XP_035777308.1|AALB, LOC118460162|XP_035780162.1|AALB	LOC108136862|XP_017113790.1|DELE
OG0001210	LOC118458664|XP_035777259.1|AALB, LOC118456928|XP_035773960.1|AALB	LOC108135436|XP_017111664.1|DELE
OG0001211	LOC118460819|XP_035781332.1|AALB	LOC108141227|XP_017119971.1|DELE
OG0001212	LOC118468555|XP_035795349.1|AALB, LOC118468554|XP_035795348.1|AALB	LOC108138574|XP_017116345.1|DELE
OG0001213	LOC118457446|XP_035774931.1|AALB, LOC118460886|XP_035781522.1|AALB	LOC108140805|XP_017119293.1|DELE
OG0001214	LOC118459114|XP_035778071.1|AALB	LOC108137391|XP_017114539.1|DELE
OG0001215	LOC118459805|XP_035779435.1|AALB, LOC118459806|XP_035779436.1|AALB	LOC108148346|XP_017130847.1|DELE
OG0001216	LOC118459804|XP_035779433.1|AALB, LOC118459112|XP_035778068.1|AALB	LOC108140645|XP_017119057.1|DELE
OG0001217	LOC118457400|XP_035774830.1|AALB	LOC108139267|XP_017117447.1|DELE, LOC108136751|XP_017113591.1|DELE
OG0001218	LOC118460730|XP_035781179.1|AALB	LOC108148676|XP_017131302.1|DELE
OG0001220	LOC118467131|XP_035793134.1|AALB	LOC108147372|XP_017129296.1|DELE
OG0001223	LOC118463241|XP_035785600.1|AALB	LOC108142157|XP_017121330.1|DELE
OG0001224	LOC118466057|XP_035790800.1|AALB	LOC108144901|XP_017125551.1|DELE
OG0001225	LOC118465045|XP_035788815.1|AALB	LOC108149610|XP_017132801.1|DELE
OG0001226	LOC118466987|XP_035792797.1|AALB	LOC108144782|XP_017125382.1|DELE
OG0001227	LOC118458780|XP_035777498.1|AALB	LOC108138045|XP_017115506.1|DELE
OG0001228	LOC118467222|XP_035793365.1|AALB	LOC108134875|XP_017110857.1|DELE
OG0001229	LOC118457878|XP_035775694.1|AALB	LOC108149906|XP_017133297.1|DELE
OG0001230	LOC118458823|XP_035777600.1|AALB	LOC108137941|XP_017115388.1|DELE
OG0001231	LOC118468340|XP_035794992.1|AALB	LOC108135182|XP_017111288.1|DELE
OG0001232	LOC118459302|XP_035778443.1|AALB	LOC108138914|XP_017116962.1|DELE
OG0001233	LOC118458684|XP_035777288.1|AALB	LOC108138337|XP_017115990.1|DELE
OG0001234	LOC118458826|XP_035777605.1|AALB	LOC108141474|XP_017120370.1|DELE
OG0001235	LOC118468919|XP_035796122.1|AALB	LOC108137862|XP_017115283.1|DELE
OG0001236	LOC118457340|XP_035774731.1|AALB	LOC108142636|XP_017122121.1|DELE, LOC108142843|XP_017122401.1|DELE, LOC108142250|XP_017121458.1|DELE
OG0001237	LOC118462010|XP_035783840.1|AALB	LOC108146615|XP_017128150.1|DELE, LOC108136767|XP_017113617.1|DELE
OG0001238	LOC118458685|XP_035777293.1|AALB	LOC108147213|XP_017129061.1|DELE
OG0001239	LOC118467960|XP_035794836.1|AALB, LOC118456572|XP_035773344.1|AALB	LOC108135819|XP_017112185.1|DELE
OG0001240	LOC118458705|XP_035777339.1|AALB, LOC118457657|XP_035775294.1|AALB	LOC108147238|XP_017129125.1|DELE
OG0001241	LOC118458875|XP_035777718.1|AALB	LOC108137907|XP_017115336.1|DELE
OG0001242	LOC118457790|XP_035775529.1|AALB	LOC108150121|XP_017133577.1|DELE, LOC108147713|XP_017129925.1|DELE
OG0001246	LOC118465964|XP_035790605.1|AALB, LOC118465963|XP_035790603.1|AALB, LOC118465965|XP_035790606.1|AALB	LOC108144196|XP_017124354.1|DELE
OG0001247	LOC118466018|XP_035790726.1|AALB	LOC108134543|XP_017110384.1|DELE
OG0001248	LOC118465826|XP_035790307.1|AALB	LOC108150185|XP_017133669.1|DELE
OG0001249	LOC118463759|XP_035786466.1|AALB	LOC108148462|XP_017130983.1|DELE, LOC108141213|XP_017119955.1|DELE
OG0001257	LOC118469009|XP_035796340.1|AALB	LOC108145268|XP_017126037.1|DELE, LOC108145267|XP_017126030.1|DELE
OG0001258	LOC118458042|XP_035776057.1|AALB	LOC108144021|XP_017124136.1|DELE
OG0001259	LOC118463274|XP_035785643.1|AALB, LOC118467722|XP_035794417.1|AALB	LOC108137124|XP_017114150.1|DELE
OG0001260	LOC118460936|XP_035781596.1|AALB	LOC108135137|XP_017111235.1|DELE
OG0001261	LOC118458797|XP_035777536.1|AALB, LOC118462849|XP_035784802.1|AALB	LOC108144681|XP_017125237.1|DELE
OG0001263	LOC118465872|XP_035790398.1|AALB	LOC108147655|XP_017129824.1|DELE, LOC108143066|XP_017122769.1|DELE
OG0001264	LOC118457456|XP_035774947.1|AALB, LOC118458006|XP_035775989.1|AALB	LOC108134747|XP_017110676.1|DELE
OG0001266	LOC118457732|XP_035775418.1|AALB	LOC108149631|XP_017132850.1|DELE
OG0001267	LOC118461275|XP_035782320.1|AALB, LOC118462032|XP_035783899.1|AALB	LOC108148921|XP_017131726.1|DELE
OG0001269	LOC118458301|XP_035776522.1|AALB	LOC108140184|XP_017118377.1|DELE, LOC108139993|XP_017118188.1|DELE, LOC108139595|XP_017117809.1|DELE, LOC108144392|XP_017124660.1|DELE
OG0001270	LOC118464162|XP_035787188.1|AALB, LOC118459117|XP_035778078.1|AALB	LOC108137456|XP_017114643.1|DELE
OG0001271	LOC118463456|XP_035785937.1|AALB, LOC118464610|XP_035787948.1|AALB	LOC108141468|XP_017120363.1|DELE
OG0001273	LOC118463749|XP_035786442.1|AALB, LOC118462639|XP_035784379.1|AALB	LOC108140442|XP_017118661.1|DELE
OG0001274	LOC118466941|XP_035792733.1|AALB	LOC108142614|XP_017122085.1|DELE
OG0001276	LOC118467508|XP_035793953.1|AALB	LOC108146305|XP_017127746.1|DELE, LOC108145755|XP_017126808.1|DELE
OG0001277	LOC118463487|XP_035785971.1|AALB	LOC108145821|XP_017126915.1|DELE
OG0001278	LOC118467600|XP_035794181.1|AALB	LOC108150209|XP_017133710.1|DELE
OG0001279	LOC118467611|XP_035794206.1|AALB	LOC108142860|XP_017122419.1|DELE
OG0001280	LOC118464283|XP_035787451.1|AALB	LOC108146001|XP_017127245.1|DELE
OG0001281	LOC118464877|XP_035788512.1|AALB	LOC108146431|XP_017127923.1|DELE
OG0001282	LOC118463127|XP_035785377.1|AALB	LOC108139054|XP_017117162.1|DELE
OG0001283	LOC118463747|XP_035786435.1|AALB	LOC108141357|XP_017120166.1|DELE
OG0001284	LOC118460504|XP_035780751.1|AALB	LOC108149950|XP_017133355.1|DELE, LOC108140942|XP_017119501.1|DELE
OG0001285	LOC118462686|XP_035784493.1|AALB, LOC118456479|XP_035773184.1|AALB	LOC108146150|XP_017127502.1|DELE
OG0001286	LOC118457587|XP_035775168.1|AALB	LOC108142128|XP_017121313.1|DELE
OG0001287	LOC118463595|XP_035786147.1|AALB	LOC108135921|XP_017112357.1|DELE
OG0001288	LOC118457380|XP_035774808.1|AALB	LOC108149446|XP_017132529.1|DELE
OG0001290	LOC118460506|XP_035780752.1|AALB	LOC108147814|XP_017130046.1|DELE
OG0001291	LOC118460352|XP_035780485.1|AALB	LOC108137629|XP_017114904.1|DELE, LOC108144478|XP_017124892.1|DELE
OG0001292	LOC118467205|XP_035793316.1|AALB, LOC118467208|XP_035793324.1|AALB	LOC108144349|XP_017124586.1|DELE
