Orthogroup	AALB.longest_only	AEAL.longest_only
OG0000614	LOC118461335|XP_035782440.1|AALB	LOC115257082|XP_029712285.1|AEAL, LOC109428360|XP_029711380.1|AEAL
OG0000616	LOC118458181|XP_035776306.1|AALB	LOC115254222|XP_029733238.1|AEAL, LOC109404704|XP_019533175.2|AEAL
OG0000616	LOC118463975|XP_035786915.1|AALB	LOC115269107|XP_029733374.1|AEAL, LOC109404727|XP_029733231.1|AEAL, LOC115269088|XP_029733297.1|AEAL
OG0000617	LOC118468774|XP_035795857.1|AALB	LOC109412435|XP_019541619.2|AEAL
OG0000618	LOC118457060|XP_035774210.1|AALB	LOC115263769|XP_029722968.1|AEAL, LOC109398219|XP_029716476.1|AEAL
OG0000619	LOC118467654|XP_035794288.1|AALB	LOC109623125|XP_019933167.2|AEAL, LOC115263511|XP_029722613.1|AEAL
OG0000619	LOC118468301|XP_035794930.1|AALB, LOC118468302|XP_035794931.1|AALB	LOC109398470|XP_019526394.3|AEAL
OG0000620	LOC118463555|XP_035786072.1|AALB	LOC109409698|XP_029707751.1|AEAL, LOC109411441|XP_029726027.1|AEAL
OG0000621	LOC118462959|XP_035785006.1|AALB	LOC109622528|XP_029716638.1|AEAL, LOC109409150|XP_029726276.1|AEAL
OG0000622	LOC118463531|XP_035786036.1|AALB	LOC109622843|XP_029711982.1|AEAL, LOC109622846|XP_029726597.1|AEAL
OG0000623	LOC118466550|XP_035791957.1|AALB	LOC115253428|XP_029718033.1|AEAL, LOC109420207|XP_019550075.1|AEAL, LOC109409984|XP_029725830.1|AEAL
OG0000624	LOC118467760|XP_035794481.1|AALB	LOC109425709|XP_019556571.1|AEAL
OG0000625	LOC118463183|XP_035785491.1|AALB	LOC109426095|XP_029730585.1|AEAL, LOC115267615|XP_029730610.1|AEAL, LOC109397994|XP_029730612.1|AEAL
OG0000626	LOC118467393|XP_035793744.1|AALB	LOC115266311|XP_029728165.1|AEAL, LOC109622267|XP_029728271.1|AEAL, LOC109414462|XP_029728193.1|AEAL
OG0000627	LOC118457752|XP_035775461.1|AALB	LOC109622818|XP_029715012.1|AEAL, LOC109397521|XP_029714603.1|AEAL
OG0000628	LOC118469037|XP_035796393.1|AALB	LOC109429097|XP_019560485.1|AEAL, LOC109421051|XP_019551086.1|AEAL
OG0000629	LOC118457228|XP_035774500.1|AALB	LOC109419884|XP_019549717.2|AEAL, LOC109420720|XP_029708887.1|AEAL, LOC115255144|XP_029708882.1|AEAL
OG0000630	LOC118458897|XP_035777746.1|AALB	LOC109420679|XP_019550650.1|AEAL
OG0000631	LOC118456251|XP_035772740.1|AALB	LOC109407688|XP_029708727.1|AEAL, LOC115255085|XP_029708724.1|AEAL, LOC109420639|XP_029708717.1|AEAL
OG0000632	LOC118457296|XP_035774654.1|AALB	LOC109421347|XP_029726912.1|AEAL
OG0000635	LOC118460326|XP_035780430.1|AALB	LOC109422617|XP_029712249.1|AEAL
OG0000636	LOC118458194|XP_035776332.1|AALB	LOC109416141|XP_029719220.1|AEAL, LOC109416212|XP_019545748.2|AEAL
OG0000638	LOC118463452|XP_035785932.1|AALB	LOC115253666|XP_029721245.1|AEAL, LOC109401283|XP_019933380.1|AEAL, LOC109621229|XP_029732643.1|AEAL, LOC109428588|XP_029721258.1|AEAL
OG0000639	LOC118465352|XP_035789408.1|AALB	LOC109432242|XP_029731044.1|AEAL, LOC109396983|XP_029730897.1|AEAL
OG0000646	LOC118456626|XP_035773443.1|AALB	LOC109412975|XP_029721793.1|AEAL, LOC115256705|XP_029711486.1|AEAL, LOC109428533|XP_029711734.1|AEAL
OG0000647	LOC118465633|XP_035789968.1|AALB	LOC109397890|XP_029710623.1|AEAL
OG0000648	LOC118459669|XP_035779169.1|AALB	LOC115256430|XP_029710851.1|AEAL, LOC109427523|XP_019558622.2|AEAL, LOC115256447|XP_029710920.1|AEAL
OG0000649	LOC118464708|XP_035788137.1|AALB	LOC109427548|XP_029710777.1|AEAL, LOC115256597|XP_029711265.1|AEAL, LOC115269372|XP_029733899.1|AEAL
OG0000650	LOC118464959|XP_035788652.1|AALB	LOC115256393|XP_029710677.1|AEAL, LOC109401900|XP_019530060.2|AEAL
OG0000651	LOC118460445|XP_035780650.1|AALB	LOC109405949|XP_019534542.2|AEAL, LOC109406923|XP_029728625.1|AEAL
OG0000652	LOC118459384|XP_035778579.1|AALB	LOC109429778|XP_029726721.1|AEAL, LOC115253614|XP_029713922.1|AEAL, LOC109430728|XP_029713782.1|AEAL
OG0000653	LOC118459586|XP_035779006.1|AALB	LOC109416868|XP_019546511.2|AEAL
OG0000653	LOC118462049|XP_035783924.1|AALB	LOC109623096|XP_019933123.2|AEAL
OG0000654	LOC118467469|XP_035793892.1|AALB	LOC109426592|XP_029725611.1|AEAL
OG0000655	LOC118463065|XP_035785214.1|AALB	LOC109403659|XP_029735155.1|AEAL, LOC109407972|XP_029735110.1|AEAL
OG0000656	LOC118456929|XP_035773959.1|AALB	LOC109414992|XP_029728932.1|AEAL
OG0000657	LOC118467944|XP_035794810.1|AALB	LOC109428263|XP_019559537.2|AEAL
OG0000658	LOC118459780|XP_035779389.1|AALB	LOC115253850|XP_029715217.1|AEAL, LOC109428501|XP_029734110.1|AEAL, LOC109420976|XP_029714914.1|AEAL
OG0000659	LOC118468708|XP_035795725.1|AALB	LOC109428712|XP_019560083.1|AEAL
OG0000660	LOC118459644|XP_035779119.1|AALB, LOC118459649|XP_035779124.1|AALB, LOC118459645|XP_035779120.1|AALB	LOC109402519|XP_029720042.1|AEAL
OG0000661	LOC118457247|XP_035774525.1|AALB	LOC109411721|XP_019540843.2|AEAL
OG0000662	LOC118460958|XP_035781626.1|AALB	LOC115257202|XP_029712499.1|AEAL, LOC109414164|XP_029707887.1|AEAL
OG0000663	LOC118467777|XP_035794508.1|AALB, LOC118460470|XP_035780686.1|AALB, LOC118461658|XP_035783130.1|AALB	LOC115257196|XP_029712488.1|AEAL, LOC109414163|XP_019543489.2|AEAL
OG0000664	LOC118459849|XP_035779510.1|AALB	LOC115268730|XP_029732733.1|AEAL, LOC115268732|XP_029732735.1|AEAL, LOC109427984|XP_019559185.2|AEAL
OG0000665	LOC118461359|XP_035782488.1|AALB	LOC109415719|XP_029724398.1|AEAL
OG0000666	LOC118460644|XP_035780997.1|AALB	LOC109413683|XP_029727511.1|AEAL
OG0000667	LOC118459008|XP_035777906.1|AALB	LOC115265120|XP_029725214.1|AEAL, LOC115271095|XP_029736440.1|AEAL, LOC109422632|XP_029736376.1|AEAL
OG0000668	LOC118460380|XP_035780530.1|AALB	LOC109402806|XP_029712212.1|AEAL, LOC115253981|XP_029712280.1|AEAL
OG0000669	LOC118457769|XP_035775488.1|AALB, LOC118457773|XP_035775495.1|AALB	LOC115261327|XP_029718607.1|AEAL, LOC109412240|XP_019541428.2|AEAL
OG0000670	LOC118466181|XP_035791065.1|AALB	LOC115254132|XP_029724406.1|AEAL, LOC109415900|XP_029716599.1|AEAL, LOC109412635|XP_029724456.1|AEAL, LOC115264657|XP_029724455.1|AEAL
OG0000671	LOC118466952|XP_035792744.1|AALB	LOC109399090|XP_019527063.2|AEAL
OG0000672	LOC118463337|XP_035785745.1|AALB	LOC109621435|XP_019931010.2|AEAL, LOC115268001|XP_029731748.1|AEAL
OG0000673	LOC118466980|XP_035792788.1|AALB	LOC109407623|XP_019536309.1|AEAL, LOC115256948|XP_029712013.1|AEAL
OG0000677	LOC118465970|XP_035790618.1|AALB, LOC118464463|XP_035787758.1|AALB	LOC109433657|XP_029733829.1|AEAL, LOC109403483|XP_029710958.1|AEAL, LOC115256480|XP_029710988.1|AEAL
OG0000678	LOC118463047|XP_035785190.1|AALB	LOC109430086|XP_029711699.1|AEAL, LOC109428505|XP_019559845.2|AEAL
OG0000679	LOC118462636|XP_035784377.1|AALB, LOC118466988|XP_035792798.1|AALB	LOC109399254|XP_019527238.2|AEAL, LOC109399255|XP_019527239.2|AEAL
OG0000679	LOC118464971|XP_035788695.1|AALB	LOC109415824|XP_019545311.1|AEAL, LOC109402699|XP_019530946.1|AEAL, LOC115269658|XP_029734353.1|AEAL, LOC115269659|XP_029734354.1|AEAL, LOC109415828|XP_029734716.1|AEAL, LOC109414369|XP_019543725.2|AEAL
OG0000680	LOC118457713|XP_035775395.1|AALB	LOC109427377|XP_029711374.1|AEAL, LOC109402074|XP_029721641.1|AEAL
OG0000681	LOC118465454|XP_035789625.1|AALB	LOC109431384|XP_019563146.2|AEAL
OG0000683	LOC118457329|XP_035774716.1|AALB	LOC109621544|XP_019931155.2|AEAL, LOC109621619|XP_019931251.2|AEAL
OG0000683	LOC118457327|XP_035774713.1|AALB	LOC115254357|XP_029707688.1|AEAL, LOC109621595|XP_019931222.2|AEAL, LOC115258007|XP_029713864.1|AEAL
OG0000683	LOC118457331|XP_035774718.1|AALB	LOC109621631|XP_019931273.2|AEAL
OG0000683	LOC118460755|XP_035781245.1|AALB, LOC118461198|XP_035782136.1|AALB	LOC109424835|XP_019555575.2|AEAL
OG0000684	LOC118468548|XP_035795336.1|AALB	LOC109399951|XP_019527965.2|AEAL
OG0000685	LOC118460918|XP_035781564.1|AALB	LOC115253816|XP_029723548.1|AEAL, LOC109424830|XP_019555567.1|AEAL
OG0000686	LOC118466111|XP_035790938.1|AALB	LOC109423293|XP_019553762.2|AEAL
OG0000687	LOC118467740|XP_035794439.1|AALB	LOC109418062|XP_019547776.2|AEAL
OG0000688	LOC118467394|XP_035793749.1|AALB	LOC109417780|XP_029725542.1|AEAL, LOC109426683|XP_029725533.1|AEAL
OG0000689	LOC118465952|XP_035790573.1|AALB	LOC109426805|XP_019557886.1|AEAL
OG0000690	LOC118459366|XP_035778558.1|AALB	LOC109400883|XP_019528912.1|AEAL, LOC109415518|XP_029730898.1|AEAL
OG0000690	LOC118462504|XP_035784121.1|AALB	LOC109430839|XP_019562477.1|AEAL, LOC115263212|XP_029722057.1|AEAL, LOC115263190|XP_029722003.1|AEAL, LOC115263215|XP_029722060.1|AEAL
OG0000690	LOC118459367|XP_035778559.1|AALB	LOC109400802|XP_019528846.2|AEAL, LOC109415519|XP_029730882.1|AEAL
OG0000690	LOC118460492|XP_035780738.1|AALB	LOC109415515|XP_029730913.1|AEAL
OG0000691	LOC118463499|XP_035785991.1|AALB	LOC109430890|XP_019562520.2|AEAL
OG0000692	LOC118464218|XP_035787283.1|AALB	LOC115257998|XP_029713853.1|AEAL
OG0000693	LOC118468443|XP_035795104.1|AALB	LOC109411152|XP_029729038.1|AEAL
OG0000694	LOC118458931|XP_035777794.1|AALB	LOC109408889|XP_029728797.1|AEAL, LOC109408225|XP_029728879.1|AEAL, LOC115253523|XP_029712385.1|AEAL
OG0000695	LOC118460282|XP_035780358.1|AALB	LOC109427861|XP_029715507.1|AEAL, LOC115260413|XP_029717225.1|AEAL
OG0000696	LOC118468894|XP_035796080.1|AALB	LOC115258816|XP_029715110.1|AEAL, LOC109433270|XP_019565241.1|AEAL, LOC109424227|XP_019554857.1|AEAL
OG0000697	LOC118457744|XP_035775449.1|AALB	LOC109622880|XP_029714029.1|AEAL
OG0000699	LOC118459522|XP_035778866.1|AALB	LOC109430138|XP_029729247.1|AEAL
OG0000700	LOC118461571|XP_035782952.1|AALB	LOC115266805|XP_029729270.1|AEAL, LOC115266785|XP_029729218.1|AEAL, LOC115266807|XP_029729274.1|AEAL
OG0000701	LOC118458667|XP_035777265.1|AALB	LOC109402345|XP_019530562.2|AEAL
OG0000702	LOC118458785|XP_035777520.1|AALB	LOC109405842|XP_029725602.1|AEAL
OG0000703	LOC118459354|XP_035778531.1|AALB	LOC109404865|XP_019533361.1|AEAL, LOC109414516|XP_029728540.1|AEAL
OG0000704	LOC118456706|XP_035773616.1|AALB	LOC109401332|XP_029728732.1|AEAL, LOC109415782|XP_029728804.1|AEAL
OG0000705	LOC118457192|XP_035774434.1|AALB	LOC109423456|XP_029731456.1|AEAL, LOC109414777|XP_029731586.1|AEAL
OG0000706	LOC118459712|XP_035779266.1|AALB	LOC109409567|XP_029732189.1|AEAL, LOC115268243|XP_029732156.1|AEAL
OG0000707	LOC118461133|XP_035781987.1|AALB	LOC109420326|XP_019550196.2|AEAL, LOC109408464|XP_019537347.1|AEAL, LOC115254246|XP_029734880.1|AEAL, LOC109419336|XP_029723936.1|AEAL
OG0000708	LOC118459946|XP_035779717.1|AALB	LOC109406135|XP_029718441.1|AEAL
OG0000709	LOC118459873|XP_035779553.1|AALB	LOC109403312|XP_019531664.1|AEAL, LOC109406517|XP_019535156.2|AEAL
OG0000713	LOC118461387|XP_035782541.1|AALB	LOC109409852|XP_019538887.1|AEAL
OG0000714	LOC118466714|XP_035792269.1|AALB	LOC109400801|XP_029731164.1|AEAL, LOC115268278|XP_029732185.1|AEAL, LOC115267828|XP_029731153.1|AEAL
OG0000716	LOC118464220|XP_035787285.1|AALB	LOC109401278|XP_019529351.2|AEAL, LOC109399669|XP_029731228.1|AEAL
OG0000724	LOC118464210|XP_035787273.1|AALB	LOC109428354|XP_019559617.1|AEAL, LOC109415235|XP_019544667.1|AEAL
OG0000726	LOC118458096|XP_035776151.1|AALB	LOC109430370|XP_029713132.1|AEAL, LOC109413280|XP_029716793.1|AEAL
OG0000727	LOC118461070|XP_035781855.1|AALB, LOC118460163|XP_035780158.1|AALB	LOC109623040|XP_019933050.2|AEAL
OG0000728	LOC118458251|XP_035776425.1|AALB	LOC109415915|XP_029723465.1|AEAL, LOC109411497|XP_029723462.1|AEAL
OG0000729	LOC118457526|XP_035775064.1|AALB	LOC109424812|XP_019555544.2|AEAL
OG0000730	LOC118463159|XP_035785437.1|AALB	LOC109408946|XP_029716651.1|AEAL, LOC109622582|XP_019932533.2|AEAL
OG0000731	LOC118464461|XP_035787755.1|AALB	LOC109423346|XP_019553844.2|AEAL
OG0000732	LOC118466282|XP_035791255.1|AALB	LOC109398018|XP_019525904.1|AEAL
OG0000733	LOC118466217|XP_035791133.1|AALB	LOC109420827|XP_019550832.2|AEAL, LOC109412523|XP_019541691.2|AEAL
OG0000734	LOC118463976|XP_035786870.1|AALB	LOC109423758|XP_029735544.1|AEAL, LOC109414263|XP_029735579.1|AEAL
OG0000735	LOC118457158|XP_035774377.1|AALB	LOC109419534|XP_019549299.2|AEAL, LOC109409294|XP_019538279.1|AEAL
OG0000736	LOC118460963|XP_035781632.1|AALB	LOC109419595|XP_029715178.1|AEAL
OG0000737	LOC118467259|XP_035793435.1|AALB	LOC115254898|XP_029708440.1|AEAL, LOC109415450|XP_019544971.2|AEAL
OG0000737	LOC118458472|XP_035776897.1|AALB	LOC115266988|XP_029729601.1|AEAL, LOC109420071|XP_029724255.1|AEAL
OG0000738	LOC118458725|XP_035777386.1|AALB	LOC109430178|XP_019561777.1|AEAL
OG0000739	LOC118467299|XP_035793513.1|AALB	LOC109404801|XP_019533296.1|AEAL, LOC109423918|XP_029727259.1|AEAL
OG0000740	LOC118462970|XP_035785030.1|AALB	LOC109409127|XP_019538084.2|AEAL
OG0000740	LOC118456537|XP_035773278.1|AALB	LOC109405027|XP_029733762.1|AEAL
OG0000741	LOC118459732|XP_035779299.1|AALB	LOC109415776|XP_029728785.1|AEAL, LOC109423878|XP_029728862.1|AEAL
OG0000742	LOC118457488|XP_035775012.1|AALB	LOC109423379|XP_029732021.1|AEAL
OG0000743	LOC118461608|XP_035783027.1|AALB	LOC115266038|XP_029727707.1|AEAL, LOC109416415|XP_029707562.1|AEAL
OG0000744	LOC118467957|XP_035794832.1|AALB	LOC115261943|XP_029719727.1|AEAL
OG0000744	LOC118464721|XP_035788186.1|AALB	LOC109420323|XP_019550191.2|AEAL, LOC109420374|XP_019550258.2|AEAL, LOC115257463|XP_029712923.1|AEAL, LOC115260239|XP_029717027.1|AEAL
OG0000745	LOC118463435|XP_035785897.1|AALB	LOC109426878|XP_019557984.2|AEAL
OG0000746	LOC118463465|XP_035785948.1|AALB	LOC109433527|XP_019565510.1|AEAL, LOC109410626|XP_029731612.1|AEAL
OG0000753	LOC118463405|XP_035785850.1|AALB	LOC109397638|XP_029736277.1|AEAL, LOC115271021|XP_029736297.1|AEAL, LOC109409472|XP_019538460.2|AEAL
OG0000755	LOC118456484|XP_035773202.1|AALB	LOC115261707|XP_029719454.1|AEAL
OG0000756	LOC118459267|XP_035778383.1|AALB	LOC109622188|XP_019931975.2|AEAL, LOC115257501|XP_029713013.1|AEAL
OG0000756	LOC118459021|XP_035777918.1|AALB	LOC109408848|XP_019537764.1|AEAL
OG0000757	LOC118466731|XP_035792307.1|AALB	LOC109425666|XP_019556474.1|AEAL
OG0000758	LOC118464489|XP_035787809.1|AALB	LOC109430908|XP_019562553.2|AEAL
OG0000759	LOC118464958|XP_035788642.1|AALB	LOC109416504|XP_029728887.1|AEAL, LOC109416690|XP_029728892.1|AEAL
OG0000760	LOC118461199|XP_035782137.1|AALB	LOC109409328|XP_029714659.1|AEAL, LOC115258602|XP_029714744.1|AEAL, LOC115253867|XP_029729387.1|AEAL, LOC109419096|XP_029721653.1|AEAL
OG0000761	LOC118459145|XP_035778122.1|AALB	LOC109421283|XP_029708739.1|AEAL, LOC109420644|XP_029708742.1|AEAL
OG0000762	LOC118468393|XP_035795050.1|AALB	LOC109418092|XP_019547825.1|AEAL
OG0000764	LOC118458907|XP_035777759.1|AALB	LOC109427056|XP_029716695.1|AEAL, LOC109416240|XP_029727033.1|AEAL
OG0000765	LOC118461038|XP_035781818.1|AALB	LOC109409589|XP_029732483.1|AEAL
OG0000766	LOC118459074|XP_035778009.1|AALB	LOC109408402|XP_019537255.1|AEAL
OG0000767	LOC118460152|XP_035780143.1|AALB	LOC109429233|XP_029716816.1|AEAL, LOC109398865|XP_029718721.1|AEAL
OG0000768	LOC118461516|XP_035782839.1|AALB	LOC109429192|XP_019560620.1|AEAL
OG0000769	LOC118466179|XP_035791062.1|AALB	LOC109412632|XP_019541802.2|AEAL, LOC115264656|XP_029724451.1|AEAL
OG0000770	LOC118465276|XP_035789210.1|AALB	LOC109399074|XP_019527044.2|AEAL, LOC109409889|XP_019538951.2|AEAL
OG0000771	LOC118465832|XP_035790318.1|AALB	LOC115268377|XP_029732244.1|AEAL, LOC109426016|XP_019556985.2|AEAL
OG0000778	LOC118467710|XP_035794817.1|AALB	LOC109397829|XP_019525703.2|AEAL, LOC109405370|XP_029709566.1|AEAL
OG0000779	LOC118461976|XP_035783792.1|AALB	LOC115258418|XP_029714368.1|AEAL, LOC115269046|XP_029733204.1|AEAL, LOC109432075|XP_029709987.1|AEAL, LOC109397180|XP_019525060.2|AEAL
OG0000779	LOC118468874|XP_035796053.1|AALB	LOC109402801|XP_029712148.1|AEAL, LOC109402800|XP_029736430.1|AEAL, LOC109422643|XP_029716830.1|AEAL
OG0000780	LOC118461097|XP_035781946.1|AALB	LOC109402079|XP_019530237.2|AEAL
OG0000780	LOC118460885|XP_035781560.1|AALB	LOC109427363|XP_019558448.2|AEAL
OG0000783	LOC118461989|XP_035783818.1|AALB	LOC109427356|XP_019558433.1|AEAL, LOC109430882|XP_029733711.1|AEAL
OG0000784	LOC118457596|XP_035775188.1|AALB	LOC109426551|XP_019557638.1|AEAL
OG0000785	LOC118459271|XP_035778400.1|AALB	LOC109412286|XP_029732882.1|AEAL, LOC109425257|XP_029716518.1|AEAL
OG0000786	LOC118457367|XP_035774777.1|AALB	LOC115269307|XP_029733751.1|AEAL, LOC109621302|XP_029733758.1|AEAL
OG0000787	LOC118467704|XP_035794380.1|AALB	LOC109416434|XP_019546042.2|AEAL, LOC109407431|XP_019536015.1|AEAL, LOC115254107|XP_029722347.1|AEAL
OG0000788	LOC118466414|XP_035791576.1|AALB	LOC109412534|XP_029729159.1|AEAL, LOC109420836|XP_029735904.1|AEAL
OG0000789	LOC118468941|XP_035796172.1|AALB	LOC109427849|XP_019558975.2|AEAL, LOC115266405|XP_029728500.1|AEAL
OG0000790	LOC118466930|XP_035792713.1|AALB	LOC109427799|XP_019558935.2|AEAL
OG0000791	LOC118456204|XP_035772663.1|AALB	LOC109432777|XP_029727425.1|AEAL, LOC109427581|XP_029727454.1|AEAL
OG0000792	LOC118456843|XP_035773832.1|AALB	LOC109621883|XP_019931635.2|AEAL, LOC109421204|XP_019551239.2|AEAL
OG0000792	LOC118458779|XP_035777497.1|AALB	LOC109421174|XP_029725317.1|AEAL, LOC115264489|XP_029724089.1|AEAL, LOC115264490|XP_029724090.1|AEAL
OG0000793	LOC118459860|XP_035779527.1|AALB	LOC109429508|XP_019561024.2|AEAL
OG0000794	LOC118460044|XP_035779899.1|AALB	LOC109433437|XP_019565410.2|AEAL, LOC109403326|XP_019531680.2|AEAL, LOC115261304|XP_029718561.1|AEAL
OG0000794	LOC118458710|XP_035777343.1|AALB, LOC118458832|XP_035777620.1|AALB	LOC115261305|XP_029718562.1|AEAL, LOC109433439|XP_019565412.2|AEAL
OG0000795	LOC118456526|XP_035773263.1|AALB	LOC115261488|XP_029719065.1|AEAL, LOC109406305|XP_019534945.1|AEAL, LOC109404489|XP_029719108.1|AEAL
OG0000796	LOC118459067|XP_035777997.1|AALB	LOC109402787|XP_019531040.1|AEAL
OG0000797	LOC118463511|XP_035786006.1|AALB	LOC115268944|XP_029733009.1|AEAL, LOC109419433|XP_019549227.1|AEAL
OG0000798	LOC118464225|XP_035787294.1|AALB	LOC109422376|XP_029716854.1|AEAL
OG0000799	LOC118462798|XP_035784688.1|AALB	LOC109433123|XP_019565067.2|AEAL
OG0000801	LOC118463198|XP_035785525.1|AALB	LOC115262691|XP_029721192.1|AEAL, LOC109623328|XP_019933426.1|AEAL, LOC109426914|XP_019558017.1|AEAL
OG0000802	LOC118467277|XP_035793472.1|AALB	LOC109421940|XP_029720929.1|AEAL
OG0000803	LOC118467719|XP_035794418.1|AALB	LOC115262149|XP_029720158.1|AEAL, LOC109398306|XP_029716217.1|AEAL
OG0000809	LOC118459815|XP_035779452.1|AALB	LOC109400508|XP_019528575.2|AEAL, LOC115259541|XP_029716067.1|AEAL
OG0000809	LOC118460814|XP_035781324.1|AALB, LOC118460813|XP_035781323.1|AALB, LOC118460812|XP_035781322.1|AALB	LOC115262128|XP_029720065.1|AEAL
OG0000809	LOC118464086|XP_035787043.1|AALB	LOC109416045|XP_019545553.1|AEAL, LOC109416038|XP_019545549.2|AEAL, LOC109416079|XP_019545590.2|AEAL, LOC109414703|XP_029709393.1|AEAL, LOC115255417|XP_029709390.1|AEAL, LOC109623130|XP_019933172.2|AEAL
OG0000811	LOC118466450|XP_035791682.1|AALB	LOC115265751|XP_029727560.1|AEAL, LOC109409681|XP_019538700.2|AEAL
OG0000812	LOC118467412|XP_035793789.1|AALB	LOC109397944|XP_029709795.1|AEAL, LOC109418984|XP_029733553.1|AEAL
OG0000813	LOC118463261|XP_035785624.1|AALB	LOC109415873|XP_019545365.1|AEAL
OG0000814	LOC118465745|XP_035790105.1|AALB	LOC109408242|XP_029728869.1|AEAL, LOC115266576|XP_029728814.1|AEAL
OG0000815	LOC118459814|XP_035779450.1|AALB	LOC115255413|XP_029709380.1|AEAL, LOC109417644|XP_019547239.2|AEAL, LOC115255517|XP_029709505.1|AEAL, LOC115255411|XP_029709376.1|AEAL, LOC109417648|XP_029709407.1|AEAL, LOC109417645|XP_029709379.1|AEAL, LOC109410244|XP_029708455.1|AEAL, LOC115255421|XP_029709409.1|AEAL, LOC115255412|XP_029709378.1|AEAL, LOC115255406|XP_029709341.1|AEAL
OG0000816	LOC118466970|XP_035792778.1|AALB	LOC109432671|XP_029727429.1|AEAL
OG0000818	LOC118461934|XP_035783701.1|AALB	LOC109408469|XP_019537351.2|AEAL, LOC115266284|XP_029728114.1|AEAL, LOC109419332|XP_029734904.1|AEAL
OG0000819	LOC118457457|XP_035774950.1|AALB	LOC109432771|XP_029710328.1|AEAL
OG0000820	LOC118463815|XP_035786587.1|AALB	LOC115254691|XP_029708205.1|AEAL, LOC109422351|XP_029708224.1|AEAL
OG0000821	LOC118465578|XP_035789840.1|AALB	LOC109418575|XP_019548331.2|AEAL
OG0000822	LOC118466197|XP_035791108.1|AALB	LOC109623382|XP_019933484.2|AEAL, LOC115262704|XP_029721236.1|AEAL, LOC115257272|XP_029712577.1|AEAL, LOC109401187|XP_029720854.1|AEAL
OG0000830	LOC118459962|XP_035779743.1|AALB	LOC115259530|XP_029716043.1|AEAL, LOC109429309|XP_029716109.1|AEAL, LOC109400865|XP_029722756.1|AEAL, LOC109429308|XP_029722755.1|AEAL, LOC115259583|XP_029716163.1|AEAL, LOC115259764|XP_029716418.1|AEAL
OG0000830	LOC118459960|XP_035779742.1|AALB	LOC109429305|XP_029715822.1|AEAL, LOC115259581|XP_029716160.1|AEAL
OG0000830	LOC118459959|XP_035779740.1|AALB	LOC109400844|XP_019528877.2|AEAL, LOC109429307|XP_019560758.2|AEAL, LOC115259582|XP_029716162.1|AEAL
OG0000831	LOC118459079|XP_035778024.1|AALB	LOC115264158|XP_029723400.1|AEAL, LOC109398361|XP_019526254.2|AEAL, LOC109398560|XP_019526489.2|AEAL
OG0000831	LOC118461902|XP_035783648.1|AALB	LOC109398359|XP_019526250.2|AEAL, LOC115264157|XP_029723397.1|AEAL, LOC109398558|XP_019526487.2|AEAL
OG0000832	LOC118460735|XP_035781187.1|AALB	LOC109405471|XP_019534102.2|AEAL, LOC115267847|XP_029731218.1|AEAL, LOC109402416|XP_019530635.2|AEAL
OG0000833	LOC118463051|XP_035785194.1|AALB	LOC109402795|XP_019531056.2|AEAL
OG0000833	LOC118464025|XP_035786974.1|AALB, LOC118466689|XP_035792212.1|AALB	LOC109410593|XP_019539664.2|AEAL
OG0000833	LOC118463826|XP_035786602.1|AALB	LOC109410057|XP_029725845.1|AEAL
OG0000834	LOC118464380|XP_035787616.1|AALB	LOC109413999|XP_019543271.2|AEAL
OG0000835	LOC118465621|XP_035789897.1|AALB	LOC109430901|XP_029721990.1|AEAL
OG0000836	LOC118460970|XP_035781675.1|AALB	LOC109410194|XP_029715298.1|AEAL, LOC115254024|XP_029715191.1|AEAL
OG0000837	LOC118459718|XP_035779272.1|AALB	LOC109409562|XP_019538552.1|AEAL
OG0000838	LOC118458035|XP_035776046.1|AALB	LOC109419394|XP_029708117.1|AEAL
OG0000839	LOC118460038|XP_035779893.1|AALB	LOC109426226|XP_019557228.2|AEAL
OG0000840	LOC118460519|XP_035780787.1|AALB	LOC109398864|XP_019526853.1|AEAL
OG0000841	LOC118457107|XP_035774292.1|AALB	LOC109421100|XP_029714125.1|AEAL, LOC115261461|XP_029718996.1|AEAL
OG0000842	LOC118467493|XP_035793936.1|AALB	LOC115256946|XP_029712012.1|AEAL, LOC109420358|XP_019550231.1|AEAL
OG0000843	LOC118467383|XP_035793713.1|AALB	LOC109418496|XP_019548244.2|AEAL, LOC109413068|XP_019542282.2|AEAL
OG0000844	LOC118462801|XP_035784693.1|AALB	LOC109426397|XP_029731429.1|AEAL, LOC109403610|XP_029729358.1|AEAL
OG0000845	LOC118464667|XP_035788072.1|AALB	LOC109426767|XP_019557852.2|AEAL
OG0000853	LOC118456872|XP_035773875.1|AALB, LOC118464526|XP_035787856.1|AALB	LOC109622282|XP_029718811.1|AEAL, LOC115258492|XP_029714466.1|AEAL, LOC115262955|XP_029721746.1|AEAL, LOC109622773|XP_029713358.1|AEAL, LOC115255618|XP_029709561.1|AEAL, LOC109430388|XP_019561998.2|AEAL, LOC115265015|XP_029725075.1|AEAL, LOC115260067|XP_029716786.1|AEAL, LOC109416242|XP_019545786.2|AEAL, LOC115267558|XP_029730498.1|AEAL, LOC115267933|XP_029731544.1|AEAL, LOC115257126|XP_029712368.1|AEAL, LOC115265228|XP_029725369.1|AEAL
