Orthogroup	AALB.longest_only	DALB.longest_only
OG0002341	LOC118460122|XP_035780054.1|AALB	LOC117570129|XP_034107485.1|DALB
OG0002342	LOC118459081|XP_035778027.1|AALB	LOC117563671|XP_034097985.1|DALB
OG0002343	LOC118461707|XP_035783226.1|AALB	LOC117563923|XP_034098383.1|DALB
OG0002344	LOC118467663|XP_035794309.1|AALB	LOC117564050|XP_034098554.1|DALB
OG0002345	LOC118460115|XP_035780046.1|AALB	LOC117572522|XP_034111273.1|DALB
OG0002346	LOC118457666|XP_035775313.1|AALB	LOC117563303|XP_034097437.1|DALB
OG0002347	LOC118457603|XP_035775202.1|AALB	LOC117568528|XP_034105123.1|DALB
OG0002348	LOC118468429|XP_035795084.1|AALB	LOC117566036|XP_034101376.1|DALB
OG0002349	LOC118459299|XP_035778441.1|AALB	LOC117572525|XP_034111275.1|DALB
OG0002350	LOC118463437|XP_035785904.1|AALB	LOC117572521|XP_034111272.1|DALB
OG0002351	LOC118459093|XP_035778051.1|AALB	LOC117570561|XP_034108182.1|DALB
OG0002352	LOC118457750|XP_035775456.1|AALB	LOC117570301|XP_034107718.1|DALB
OG0002353	LOC118461236|XP_035782228.1|AALB	LOC117565696|XP_034100823.1|DALB
OG0002354	LOC118460926|XP_035781579.1|AALB	LOC117563381|XP_034097579.1|DALB
OG0002355	LOC118461968|XP_035783771.1|AALB	LOC117565671|XP_034100794.1|DALB
OG0002356	LOC118466908|XP_035792668.1|AALB	LOC117564149|XP_034098705.1|DALB
OG0002357	LOC118466858|XP_035792590.1|AALB	LOC117574548|XP_034114310.1|DALB
OG0002358	LOC118461531|XP_035782856.1|AALB	LOC117564880|XP_034099718.1|DALB
OG0002359	LOC118459526|XP_035778876.1|AALB	LOC117571924|XP_034110302.1|DALB
OG0002360	LOC118458718|XP_035777356.1|AALB	LOC117563723|XP_034098076.1|DALB
OG0002361	LOC118456206|XP_035772664.1|AALB	LOC117572380|XP_034111040.1|DALB
OG0002362	LOC118467138|XP_035793152.1|AALB	LOC117565565|XP_034100624.1|DALB
OG0002363	LOC118458268|XP_035776472.1|AALB	LOC117563786|XP_034098204.1|DALB
OG0002364	LOC118458266|XP_035776451.1|AALB	LOC117563783|XP_034098183.1|DALB
OG0002365	LOC118458465|XP_035776877.1|AALB	LOC117563498|XP_034097757.1|DALB
OG0002366	LOC118459997|XP_035779791.1|AALB	LOC117563616|XP_034097908.1|DALB, LOC117563609|XP_034097897.1|DALB
OG0002367	LOC118459833|XP_035779489.1|AALB	LOC117564962|XP_034099808.1|DALB
OG0002368	LOC118460004|XP_035779816.1|AALB	LOC117563216|XP_034097296.1|DALB, LOC117563976|XP_034098452.1|DALB
OG0002369	LOC118468377|XP_035795029.1|AALB, LOC118457076|XP_035774248.1|AALB	LOC117577664|XP_034118445.1|DALB
OG0002370	LOC118460984|XP_035781699.1|AALB	LOC117566101|XP_034101461.1|DALB
OG0002371	LOC118460985|XP_035781700.1|AALB	LOC117566105|XP_034101467.1|DALB
OG0002372	LOC118457711|XP_035775387.1|AALB	LOC117565496|XP_034100494.1|DALB
OG0002373	LOC118462015|XP_035783854.1|AALB	LOC117565252|XP_034100156.1|DALB, LOC117567883|XP_034104047.1|DALB
OG0002374	LOC118456445|XP_035773101.1|AALB	LOC117575364|XP_034115418.1|DALB
OG0002375	LOC118466314|XP_035791318.1|AALB	LOC117576535|XP_034117250.1|DALB, LOC117574759|XP_034114594.1|DALB
OG0002376	LOC118460350|XP_035780481.1|AALB	LOC117564723|XP_034099496.1|DALB
OG0002377	LOC118456556|XP_035773318.1|AALB	LOC117573671|XP_034112891.1|DALB
OG0002378	LOC118460962|XP_035781631.1|AALB	LOC117568032|XP_034104263.1|DALB
OG0002379	LOC118461197|XP_035782135.1|AALB	LOC117564621|XP_034099368.1|DALB
OG0002380	LOC118459636|XP_035779107.1|AALB	LOC117563625|XP_034097926.1|DALB
OG0002381	LOC118460788|XP_035781285.1|AALB	LOC117572440|XP_034111162.1|DALB
OG0002382	LOC118460791|XP_035781289.1|AALB	LOC117564627|XP_034099374.1|DALB, LOC117578028|XP_034119019.1|DALB
OG0002383	LOC118460797|XP_035781297.1|AALB	LOC117569053|XP_034105948.1|DALB
OG0002386	LOC118461232|XP_035782219.1|AALB	LOC117576190|XP_034116671.1|DALB
OG0002387	LOC118456943|XP_035773999.1|AALB	LOC117573888|XP_034113267.1|DALB
OG0002388	LOC118461033|XP_035781807.1|AALB	LOC117573540|XP_034112710.1|DALB
OG0002389	LOC118457262|XP_035774544.1|AALB	LOC117573907|XP_034113306.1|DALB
OG0002390	LOC118456611|XP_035773413.1|AALB	LOC117565167|XP_034100044.1|DALB
OG0002391	LOC118458861|XP_035777685.1|AALB	LOC117567556|XP_034103506.1|DALB
OG0002392	LOC118457880|XP_035775702.1|AALB	LOC117567270|XP_034103024.1|DALB
OG0002393	LOC118458618|XP_035777194.1|AALB	LOC117568511|XP_034105104.1|DALB
OG0002394	LOC118469031|XP_035796379.1|AALB	LOC117574073|XP_034113594.1|DALB
OG0002395	LOC118461927|XP_035783692.1|AALB	LOC117573859|XP_034113223.1|DALB
OG0002396	LOC118457109|XP_035774301.1|AALB	LOC117567602|XP_034103580.1|DALB
OG0002397	LOC118461824|XP_035783473.1|AALB	LOC117571826|XP_034110096.1|DALB
OG0002398	LOC118459453|XP_035778752.1|AALB	LOC117577616|XP_034118358.1|DALB, LOC117563359|XP_034097539.1|DALB
OG0002399	LOC118458284|XP_035776499.1|AALB	LOC117570510|XP_034108099.1|DALB
OG0002400	LOC118456280|XP_035772786.1|AALB	LOC117571465|XP_034109508.1|DALB
OG0002401	LOC118468297|XP_035794919.1|AALB	LOC117573180|XP_034112045.1|DALB
OG0002402	LOC118460542|XP_035780825.1|AALB	LOC117575084|XP_034115072.1|DALB
OG0002403	LOC118460543|XP_035780826.1|AALB	LOC117575893|XP_034116227.1|DALB
OG0002404	LOC118457979|XP_035775919.1|AALB	LOC117575008|XP_034114976.1|DALB
OG0002405	LOC118457615|XP_035775219.1|AALB	LOC117575433|XP_034115528.1|DALB
OG0002406	LOC118468618|XP_035795521.1|AALB	LOC117567891|XP_034104054.1|DALB
OG0002408	LOC118461594|XP_035782991.1|AALB	LOC117575865|XP_034116177.1|DALB
OG0002410	LOC118457203|XP_035774446.1|AALB	LOC117574724|XP_034114543.1|DALB
OG0002411	LOC118461853|XP_035783539.1|AALB	LOC117576388|XP_034116991.1|DALB
OG0002412	LOC118461405|XP_035782574.1|AALB	LOC117573452|XP_034112565.1|DALB
OG0002413	LOC118461318|XP_035782411.1|AALB	LOC117577581|XP_034118352.1|DALB
OG0002414	LOC118461716|XP_035783267.1|AALB	LOC117569823|XP_034107038.1|DALB
OG0002415	LOC118468461|XP_035795147.1|AALB	LOC117574320|XP_034114020.1|DALB
OG0002417	LOC118459010|XP_035777908.1|AALB	LOC117572532|XP_034111289.1|DALB, LOC117565012|XP_034099848.1|DALB, LOC117565506|XP_034100528.1|DALB
OG0002418	LOC118458867|XP_035777710.1|AALB	LOC117575948|XP_034116302.1|DALB
OG0002419	LOC118460727|XP_035781172.1|AALB, LOC118464927|XP_035788593.1|AALB	LOC117572654|XP_034111535.1|DALB
OG0002420	LOC118460161|XP_035780154.1|AALB	LOC117570054|XP_034107373.1|DALB
OG0002421	LOC118456354|XP_035772908.1|AALB	LOC117573302|XP_034112298.1|DALB, LOC117575080|XP_034115066.1|DALB
OG0002422	LOC118457412|XP_035774876.1|AALB	LOC117574581|XP_034114356.1|DALB
OG0002423	LOC118460151|XP_035780140.1|AALB	LOC117572565|XP_034111335.1|DALB
OG0002424	LOC118460491|XP_035780737.1|AALB	LOC117573093|XP_034111888.1|DALB
OG0002425	LOC118459182|XP_035778230.1|AALB	LOC117563351|XP_034097532.1|DALB
OG0002426	LOC118468863|XP_035796021.1|AALB	LOC117566389|XP_034101785.1|DALB
OG0002427	LOC118461260|XP_035782273.1|AALB	LOC117573111|XP_034111925.1|DALB
OG0002428	LOC118466759|XP_035792367.1|AALB	LOC117578291|XP_034119622.1|DALB
OG0002429	LOC118458589|XP_035777145.1|AALB	LOC117572605|XP_034111433.1|DALB
OG0002430	LOC118466378|XP_035791496.1|AALB	LOC117570263|XP_034107667.1|DALB
OG0002431	LOC118464630|XP_035787969.1|AALB	LOC117568956|XP_034105806.1|DALB
OG0002432	LOC118456443|XP_035773097.1|AALB	LOC117577048|XP_034118075.1|DALB
OG0002433	LOC118464298|XP_035787476.1|AALB	LOC117576724|XP_034117635.1|DALB
OG0002434	LOC118464154|XP_035787174.1|AALB	LOC117573185|XP_034112060.1|DALB
OG0002436	LOC118463302|XP_035785681.1|AALB	LOC117567268|XP_034103021.1|DALB
OG0002437	LOC118464260|XP_035787392.1|AALB, LOC118464363|XP_035787581.1|AALB	LOC117572707|XP_034111656.1|DALB
OG0002438	LOC118467021|XP_035792862.1|AALB	LOC117567429|XP_034103322.1|DALB
OG0002440	LOC118463730|XP_035786417.1|AALB	LOC117567784|XP_034103888.1|DALB
OG0002441	LOC118465670|XP_035789990.1|AALB	LOC117572749|XP_034111716.1|DALB
OG0002442	LOC118465730|XP_035790085.1|AALB	LOC117572142|XP_034110673.1|DALB
OG0002443	LOC118466936|XP_035792720.1|AALB	LOC117571279|XP_034109233.1|DALB
OG0002444	LOC118462872|XP_035784824.1|AALB	LOC117572127|XP_034110646.1|DALB
OG0002445	LOC118466744|XP_035792322.1|AALB	LOC117566988|XP_034102545.1|DALB, LOC117566989|XP_034102548.1|DALB
OG0002446	LOC118465220|XP_035789105.1|AALB	LOC117567141|XP_034102846.1|DALB
OG0002447	LOC118463947|XP_035786817.1|AALB	LOC117570543|XP_034108150.1|DALB
OG0002448	LOC118464420|XP_035787671.1|AALB	LOC117566991|XP_034102550.1|DALB
OG0002449	LOC118464230|XP_035787305.1|AALB	LOC117566405|XP_034101809.1|DALB
OG0002450	LOC118458328|XP_035776572.1|AALB	LOC117576498|XP_034117168.1|DALB
OG0002451	LOC118464169|XP_035787201.1|AALB	LOC117568797|XP_034105549.1|DALB
OG0002452	LOC118463813|XP_035786583.1|AALB	LOC117568625|XP_034105305.1|DALB
OG0002453	LOC118463812|XP_035786582.1|AALB	LOC117568621|XP_034105298.1|DALB
OG0002454	LOC118463825|XP_035786601.1|AALB	LOC117570027|XP_034107338.1|DALB
OG0002455	LOC118466013|XP_035790716.1|AALB	LOC117570024|XP_034107335.1|DALB
OG0002456	LOC118466060|XP_035790802.1|AALB	LOC117568051|XP_034104288.1|DALB
OG0002457	LOC118464737|XP_035788235.1|AALB	LOC117566874|XP_034102370.1|DALB
OG0002458	LOC118457749|XP_035775454.1|AALB	LOC117563896|XP_034098348.1|DALB
OG0002459	LOC118467100|XP_035793042.1|AALB	LOC117571949|XP_034110336.1|DALB
OG0002460	LOC118464694|XP_035788107.1|AALB	LOC117570662|XP_034108340.1|DALB
OG0002461	LOC118465162|XP_035789013.1|AALB	LOC117570255|XP_034107659.1|DALB
OG0002462	LOC118465021|XP_035788776.1|AALB	LOC117567707|XP_034103734.1|DALB
OG0002463	LOC118467226|XP_035793370.1|AALB	LOC117571446|XP_034109482.1|DALB
OG0002464	LOC118467034|XP_035792910.1|AALB	LOC117572145|XP_034110676.1|DALB
OG0002465	LOC118467032|XP_035792907.1|AALB	LOC117571673|XP_034109804.1|DALB
OG0002466	LOC118467618|XP_035794215.1|AALB	LOC117573144|XP_034111974.1|DALB
OG0002467	LOC118464769|XP_035788285.1|AALB	LOC117570649|XP_034108310.1|DALB
OG0002468	LOC118465937|XP_035790540.1|AALB	LOC117570663|XP_034108341.1|DALB
OG0002469	LOC118464168|XP_035787199.1|AALB	LOC117576818|XP_034117779.1|DALB
OG0002470	LOC118464183|XP_035787227.1|AALB	LOC117569671|XP_034106809.1|DALB
OG0002471	LOC118463363|XP_035785774.1|AALB	LOC117566403|XP_034101807.1|DALB
OG0002472	LOC118464351|XP_035787565.1|AALB	LOC117569416|XP_034106446.1|DALB
OG0002473	LOC118464361|XP_035787579.1|AALB	LOC117567223|XP_034102946.1|DALB
OG0002474	LOC118462552|XP_035784212.1|AALB	LOC117569483|XP_034106547.1|DALB
OG0002475	LOC118463881|XP_035786694.1|AALB	LOC117575184|XP_034115185.1|DALB
OG0002476	LOC118464221|XP_035787286.1|AALB	LOC117570890|XP_034108678.1|DALB
OG0002477	LOC118467251|XP_035793426.1|AALB	LOC117567612|XP_034103592.1|DALB
OG0002478	LOC118467250|XP_035793421.1|AALB	LOC117571463|XP_034109505.1|DALB
OG0002479	LOC118466774|XP_035792392.1|AALB	LOC117570727|XP_034108440.1|DALB
OG0002480	LOC118464983|XP_035788708.1|AALB	LOC117572042|XP_034110497.1|DALB
OG0002481	LOC118464500|XP_035787828.1|AALB	LOC117564139|XP_034098693.1|DALB
OG0002482	LOC118463880|XP_035786692.1|AALB	LOC117566700|XP_034102137.1|DALB
OG0002483	LOC118464941|XP_035788621.1|AALB	LOC117569221|XP_034106189.1|DALB
OG0002484	LOC118464946|XP_035788628.1|AALB	LOC117571746|XP_034109984.1|DALB
OG0002485	LOC118463977|XP_035786880.1|AALB	LOC117567433|XP_034103330.1|DALB
OG0002486	LOC118467959|XP_035794835.1|AALB	LOC117570192|XP_034107568.1|DALB
OG0002487	LOC118466257|XP_035791204.1|AALB	LOC117565663|XP_034100779.1|DALB
OG0002488	LOC118464802|XP_035788358.1|AALB	LOC117567940|XP_034104125.1|DALB
OG0002489	LOC118462685|XP_035784492.1|AALB	LOC117572485|XP_034111226.1|DALB
OG0002490	LOC118463761|XP_035786468.1|AALB	LOC117567616|XP_034103596.1|DALB
OG0002491	LOC118466923|XP_035792701.1|AALB	LOC117567502|XP_034103424.1|DALB, LOC117568746|XP_034105461.1|DALB
OG0002492	LOC118465987|XP_035790668.1|AALB, LOC118465993|XP_035790678.1|AALB	LOC117570422|XP_034107946.1|DALB
OG0002493	LOC118465985|XP_035790658.1|AALB	LOC117568796|XP_034105548.1|DALB
OG0002495	LOC118462829|XP_035784753.1|AALB	LOC117567939|XP_034104121.1|DALB
OG0002496	LOC118464803|XP_035788359.1|AALB	LOC117576106|XP_034116555.1|DALB
OG0002497	LOC118464813|XP_035788373.1|AALB	LOC117570735|XP_034108447.1|DALB
OG0002498	LOC118463201|XP_035785529.1|AALB	LOC117570241|XP_034107634.1|DALB
OG0002508	LOC118459048|XP_035777969.1|AALB	LOC117565880|XP_034101115.1|DALB
OG0002509	LOC118467981|XP_035794863.1|AALB	LOC117570436|XP_034107984.1|DALB
OG0002510	LOC118458351|XP_035776599.1|AALB	LOC117577919|XP_034118807.1|DALB
OG0002511	LOC118467147|XP_035793224.1|AALB	LOC117575857|XP_034116168.1|DALB
OG0002512	LOC118458417|XP_035776738.1|AALB	LOC117573148|XP_034111979.1|DALB
OG0002513	LOC118457877|XP_035775697.1|AALB	LOC117576603|XP_034117390.1|DALB
OG0002514	LOC118467621|XP_035794223.1|AALB, LOC118460209|XP_035780217.1|AALB	LOC117567043|XP_034102645.1|DALB
OG0002516	LOC118460637|XP_035780987.1|AALB	LOC117576359|XP_034116940.1|DALB
OG0002517	LOC118456694|XP_035773592.1|AALB	LOC117578080|XP_034119122.1|DALB
OG0002518	LOC118461771|XP_035783397.1|AALB	LOC117573461|XP_034112574.1|DALB
OG0002519	LOC118462310|XP_035784009.1|AALB	LOC117572224|XP_034110793.1|DALB
OG0002520	LOC118462336|XP_035784011.1|AALB	LOC117566135|XP_034101512.1|DALB
OG0002522	LOC118463360|XP_035785770.1|AALB	LOC117575840|XP_034116140.1|DALB
OG0002523	LOC118464696|XP_035788156.1|AALB	LOC117574742|XP_034114569.1|DALB
OG0002524	LOC118460475|XP_035780702.1|AALB, LOC118462538|XP_035784200.1|AALB, LOC118465983|XP_035790659.1|AALB	LOC117563974|XP_034098454.1|DALB
OG0002525	LOC118461653|XP_035783124.1|AALB	LOC117572360|XP_034111014.1|DALB
OG0002526	LOC118458396|XP_035776699.1|AALB	LOC117574593|XP_034114368.1|DALB
OG0002528	LOC118456509|XP_035773275.1|AALB	LOC117568720|XP_034105466.1|DALB
OG0002529	LOC118464640|XP_035787995.1|AALB	LOC117574093|XP_034113619.1|DALB
OG0002530	LOC118465697|XP_035790021.1|AALB	LOC117564625|XP_034099373.1|DALB
OG0002531	LOC118468526|XP_035795287.1|AALB	LOC117565082|XP_034099923.1|DALB
OG0002532	LOC118464240|XP_035787323.1|AALB	LOC117573161|XP_034112014.1|DALB
OG0002533	LOC118465442|XP_035789589.1|AALB	LOC117568353|XP_034104846.1|DALB
OG0002534	LOC118457279|XP_035774588.1|AALB	LOC117572610|XP_034111451.1|DALB
OG0002535	LOC118466074|XP_035790839.1|AALB	LOC117571592|XP_034109699.1|DALB
OG0002536	LOC118464376|XP_035787615.1|AALB, LOC118466675|XP_035792176.1|AALB	LOC117575338|XP_034115387.1|DALB
OG0002537	LOC118467244|XP_035793409.1|AALB	LOC117566711|XP_034102147.1|DALB
OG0002539	LOC118465434|XP_035789579.1|AALB	LOC117568084|XP_034104352.1|DALB
OG0002540	LOC118456270|XP_035772778.1|AALB	LOC117574629|XP_034114409.1|DALB
OG0002541	LOC118458974|XP_035777860.1|AALB	LOC117578295|XP_034119627.1|DALB
OG0002542	LOC118461245|XP_035782255.1|AALB	LOC117578222|XP_034119490.1|DALB
OG0002543	LOC118463118|XP_035785343.1|AALB, LOC118465289|XP_035789224.1|AALB	LOC117566615|XP_034102084.1|DALB
OG0002544	LOC118458190|XP_035776330.1|AALB	LOC117575525|XP_034115662.1|DALB
OG0002545	LOC118463572|XP_035786106.1|AALB	LOC117574702|XP_034114509.1|DALB
OG0002547	LOC118468754|XP_035795808.1|AALB	LOC117578235|XP_034119529.1|DALB
OG0002548	LOC118463908|XP_035786782.1|AALB	LOC117575867|XP_034116185.1|DALB
OG0002549	LOC118463719|XP_035786443.1|AALB	LOC117569259|XP_034106233.1|DALB
OG0002550	LOC118459714|XP_035779271.1|AALB	LOC117577941|XP_034118850.1|DALB
OG0002551	LOC118463635|XP_035786260.1|AALB	LOC117576378|XP_034116967.1|DALB
OG0002552	LOC118458898|XP_035777750.1|AALB	LOC117564253|XP_034098848.1|DALB
OG0002553	LOC118458325|XP_035776567.1|AALB	LOC117575246|XP_034115273.1|DALB
OG0002554	LOC118459206|XP_035778279.1|AALB	LOC117570135|XP_034107530.1|DALB
OG0002555	LOC118458461|XP_035776874.1|AALB	LOC117577942|XP_034118849.1|DALB
OG0002556	LOC118468415|XP_035795111.1|AALB	LOC117564391|XP_034099003.1|DALB
OG0002557	LOC118459862|XP_035779530.1|AALB	LOC117577789|XP_034118609.1|DALB
OG0002558	LOC118467729|XP_035794426.1|AALB, LOC118464952|XP_035788638.1|AALB	LOC117575173|XP_034115175.1|DALB
OG0002559	LOC118460503|XP_035780794.1|AALB	LOC117569560|XP_034106670.1|DALB
OG0002560	LOC118462752|XP_035784612.1|AALB	LOC117575326|XP_034115372.1|DALB
OG0002561	LOC118457115|XP_035774310.1|AALB	LOC117573634|XP_034112833.1|DALB
OG0002562	LOC118459194|XP_035778292.1|AALB	LOC117571963|XP_034110357.1|DALB
OG0002565	LOC118458607|XP_035777178.1|AALB	LOC117573700|XP_034112956.1|DALB
OG0002566	LOC118457951|XP_035775867.1|AALB	LOC117575837|XP_034116135.1|DALB
OG0002567	LOC118458470|XP_035776896.1|AALB	LOC117566144|XP_034101524.1|DALB
OG0002568	LOC118463556|XP_035786073.1|AALB, LOC118468644|XP_035795564.1|AALB	LOC117577090|XP_034118082.1|DALB
OG0002569	LOC118466808|XP_035792487.1|AALB	LOC117569025|XP_034105906.1|DALB
OG0002570	LOC118463264|XP_035785630.1|AALB	LOC117575746|XP_034115991.1|DALB
OG0002571	LOC118459191|XP_035778243.1|AALB	LOC117575751|XP_034116000.1|DALB
OG0002572	LOC118465676|XP_035790000.1|AALB	LOC117570893|XP_034108686.1|DALB
OG0002573	LOC118465039|XP_035788802.1|AALB	LOC117576275|XP_034116811.1|DALB
OG0002574	LOC118459213|XP_035778286.1|AALB	LOC117575843|XP_034116144.1|DALB
OG0002575	LOC118460978|XP_035781689.1|AALB	LOC117576367|XP_034116945.1|DALB
OG0002576	LOC118457903|XP_035775787.1|AALB	LOC117574867|XP_034114780.1|DALB
OG0002577	LOC118462760|XP_035784619.1|AALB	LOC117572099|XP_034110597.1|DALB
OG0002578	LOC118463146|XP_035785416.1|AALB	LOC117563643|XP_034097944.1|DALB
OG0002579	LOC118468470|XP_035795183.1|AALB	LOC117578393|XP_034119732.1|DALB
OG0002580	LOC118456955|XP_035774025.1|AALB	LOC117571072|XP_034108933.1|DALB
OG0002581	LOC118463781|XP_035786495.1|AALB	LOC117574050|XP_034113542.1|DALB
OG0002582	LOC118460196|XP_035780195.1|AALB	LOC117573082|XP_034111865.1|DALB
OG0002583	LOC118460362|XP_035780502.1|AALB	LOC117576508|XP_034117198.1|DALB
OG0002584	LOC118459487|XP_035778797.1|AALB	LOC117572486|XP_034111227.1|DALB
OG0002585	LOC118459494|XP_035778809.1|AALB	LOC117572488|XP_034111229.1|DALB
OG0002586	LOC118461083|XP_035781869.1|AALB	LOC117573693|XP_034112945.1|DALB
OG0002587	LOC118461082|XP_035781867.1|AALB	LOC117575249|XP_034115271.1|DALB
OG0002588	LOC118458842|XP_035777638.1|AALB	LOC117574577|XP_034114346.1|DALB
OG0002589	LOC118456825|XP_035773813.1|AALB	LOC117574676|XP_034114473.1|DALB
OG0002590	LOC118458640|XP_035777222.1|AALB, LOC118464593|XP_035787933.1|AALB, LOC118458673|XP_035777281.1|AALB	LOC117578202|XP_034119429.1|DALB
OG0002591	LOC118458027|XP_035776026.1|AALB	LOC117574501|XP_034114236.1|DALB
OG0002592	LOC118456419|XP_035773045.1|AALB	LOC117576967|XP_034118036.1|DALB
OG0002593	LOC118460083|XP_035779991.1|AALB	LOC117573372|XP_034112390.1|DALB
OG0002594	LOC118461262|XP_035782277.1|AALB	LOC117573834|XP_034113157.1|DALB
OG0002595	LOC118461076|XP_035781862.1|AALB	LOC117576427|XP_034117062.1|DALB
OG0002596	LOC118457696|XP_035775362.1|AALB	LOC117575233|XP_034115255.1|DALB
OG0002597	LOC118457495|XP_035775023.1|AALB	LOC117576095|XP_034116538.1|DALB
OG0002598	LOC118468263|XP_035794906.1|AALB	LOC117574262|XP_034113888.1|DALB
OG0002599	LOC118468881|XP_035796065.1|AALB	LOC117573212|XP_034112116.1|DALB
OG0002600	LOC118459383|XP_035778578.1|AALB	LOC117568168|XP_034104491.1|DALB
OG0002601	LOC118456247|XP_035772737.1|AALB	LOC117573432|XP_034112538.1|DALB
OG0002602	LOC118460924|XP_035781573.1|AALB	LOC117573389|XP_034112478.1|DALB
OG0002603	LOC118457541|XP_035775087.1|AALB	LOC117575302|XP_034115344.1|DALB
OG0002604	LOC118458877|XP_035777720.1|AALB	LOC117575297|XP_034115338.1|DALB
OG0002605	LOC118457185|XP_035774425.1|AALB	LOC117575548|XP_034115695.1|DALB
OG0002606	LOC118457815|XP_035775569.1|AALB	LOC117574036|XP_034113524.1|DALB
OG0002607	LOC118457828|XP_035775595.1|AALB	LOC117574144|XP_034113710.1|DALB
OG0002608	LOC118460311|XP_035780411.1|AALB	LOC117573744|XP_034113014.1|DALB
OG0002609	LOC118464878|XP_035788513.1|AALB	LOC117567553|XP_034103503.1|DALB
OG0002610	LOC118460663|XP_035781023.1|AALB	LOC117574953|XP_034114901.1|DALB
OG0002611	LOC118461384|XP_035782538.1|AALB	LOC117576947|XP_034117995.1|DALB
OG0002612	LOC118457549|XP_035775108.1|AALB	LOC117575697|XP_034115900.1|DALB
OG0002613	LOC118460241|XP_035780290.1|AALB	LOC117576516|XP_034117216.1|DALB
OG0002614	LOC118460234|XP_035780269.1|AALB	LOC117573571|XP_034112749.1|DALB
OG0002615	LOC118457714|XP_035775393.1|AALB	LOC117573244|XP_034112190.1|DALB
OG0002616	LOC118456417|XP_035773037.1|AALB	LOC117573649|XP_034112860.1|DALB
OG0002617	LOC118461561|XP_035782915.1|AALB	LOC117573156|XP_034112005.1|DALB
OG0002618	LOC118468547|XP_035795335.1|AALB	LOC117574470|XP_034114198.1|DALB
OG0002619	LOC118461725|XP_035783285.1|AALB	LOC117573282|XP_034112263.1|DALB
OG0002620	LOC118461756|XP_035783376.1|AALB	LOC117574296|XP_034113990.1|DALB
OG0002621	LOC118468562|XP_035795367.1|AALB	LOC117573466|XP_034112582.1|DALB
OG0002622	LOC118466776|XP_035792395.1|AALB	LOC117567809|XP_034103935.1|DALB
OG0002623	LOC118457847|XP_035775627.1|AALB	LOC117576606|XP_034117396.1|DALB
OG0002624	LOC118457850|XP_035775629.1|AALB	LOC117574985|XP_034114946.1|DALB
OG0002625	LOC118457583|XP_035775156.1|AALB	LOC117576414|XP_034117032.1|DALB
OG0002626	LOC118468557|XP_035795351.1|AALB	LOC117577774|XP_034118583.1|DALB
OG0002627	LOC118459268|XP_035778384.1|AALB	LOC117573689|XP_034112936.1|DALB
OG0002628	LOC118460455|XP_035780668.1|AALB	LOC117574708|XP_034114512.1|DALB
OG0002629	LOC118456962|XP_035774036.1|AALB	LOC117576382|XP_034116971.1|DALB
OG0002630	LOC118462009|XP_035783838.1|AALB, LOC118462008|XP_035783836.1|AALB	LOC117574998|XP_034114962.1|DALB
OG0002632	LOC118459624|XP_035779094.1|AALB	LOC117576675|XP_034117561.1|DALB
OG0002633	LOC118457289|XP_035774644.1|AALB	LOC117576277|XP_034116813.1|DALB
OG0002634	LOC118457287|XP_035774640.1|AALB	LOC117576909|XP_034117937.1|DALB
OG0002635	LOC118460150|XP_035780139.1|AALB	LOC117573691|XP_034112943.1|DALB
OG0002636	LOC118459954|XP_035779733.1|AALB	LOC117576659|XP_034117505.1|DALB
OG0002637	LOC118458014|XP_035776005.1|AALB	LOC117564333|XP_034098930.1|DALB
OG0002638	LOC118457956|XP_035775873.1|AALB	LOC117576593|XP_034117372.1|DALB
OG0002639	LOC118460137|XP_035780115.1|AALB	LOC117575423|XP_034115512.1|DALB
OG0002640	LOC118460635|XP_035780981.1|AALB	LOC117575598|XP_034115755.1|DALB
OG0002641	LOC118461491|XP_035782766.1|AALB	LOC117575894|XP_034116228.1|DALB
OG0002642	LOC118468448|XP_035795117.1|AALB	LOC117574736|XP_034114560.1|DALB
OG0002643	LOC118468447|XP_035795110.1|AALB	LOC117574735|XP_034114559.1|DALB
OG0002644	LOC118456236|XP_035772714.1|AALB	LOC117574927|XP_034114869.1|DALB
OG0002645	LOC118458635|XP_035777217.1|AALB	LOC117576219|XP_034116716.1|DALB
OG0002646	LOC118457346|XP_035774737.1|AALB	LOC117574571|XP_034114337.1|DALB
OG0002647	LOC118457347|XP_035774738.1|AALB	LOC117576867|XP_034117860.1|DALB
OG0002648	LOC118459579|XP_035779000.1|AALB	LOC117576078|XP_034116516.1|DALB
OG0002649	LOC118458841|XP_035777637.1|AALB	LOC117574428|XP_034114157.1|DALB
OG0002650	LOC118461478|XP_035782728.1|AALB	LOC117576865|XP_034117858.1|DALB
OG0002651	LOC118456795|XP_035773775.1|AALB	LOC117573347|XP_034112363.1|DALB
OG0002652	LOC118457013|XP_035774134.1|AALB	LOC117574997|XP_034114961.1|DALB
OG0002653	LOC118461567|XP_035782936.1|AALB, LOC118468614|XP_035795508.1|AALB	LOC117576345|XP_034116911.1|DALB
OG0002654	LOC118457913|XP_035775806.1|AALB	LOC117576344|XP_034116910.1|DALB
OG0002655	LOC118460059|XP_035779935.1|AALB	LOC117576618|XP_034117421.1|DALB
OG0002656	LOC118457885|XP_035775707.1|AALB	LOC117574195|XP_034113787.1|DALB
OG0002657	LOC118456355|XP_035772909.1|AALB	LOC117573690|XP_034112942.1|DALB
