Orthogroup	AALB.longest_only	DSIM.longest_only
OG0002374	LOC118456445|XP_035773101.1|AALB	LOC6729506|XP_016036183.1|DSIM
OG0002375	LOC118466314|XP_035791318.1|AALB	LOC6727146|XP_002102539.1|DSIM
OG0002376	LOC118460350|XP_035780481.1|AALB	LOC6731287|XP_016023850.1|DSIM
OG0002377	LOC118456556|XP_035773318.1|AALB	LOC6726812|XP_002102219.1|DSIM
OG0002378	LOC118460962|XP_035781631.1|AALB	LOC6737901|XP_002084729.1|DSIM
OG0002379	LOC118461197|XP_035782135.1|AALB	LOC6732516|XP_002079636.1|DSIM
OG0002380	LOC118459636|XP_035779107.1|AALB	LOC27208268|XP_039154049.1|DSIM
OG0002381	LOC118460788|XP_035781285.1|AALB	LOC6734447|XP_002081467.1|DSIM
OG0002382	LOC118460791|XP_035781289.1|AALB	LOC27206587|XP_016038559.1|DSIM
OG0002383	LOC118460797|XP_035781297.1|AALB	LOC6736399|XP_016029905.1|DSIM
OG0002384	LOC118459894|XP_035779594.1|AALB	LOC6739945|XP_039152680.1|DSIM
OG0002386	LOC118461232|XP_035782219.1|AALB	LOC6727402|XP_016033950.1|DSIM
OG0002387	LOC118456943|XP_035773999.1|AALB	LOC6729206|XP_016035851.1|DSIM
OG0002388	LOC118461033|XP_035781807.1|AALB	LOC6728001|XP_016034600.1|DSIM
OG0002389	LOC118457262|XP_035774544.1|AALB	LOC6729225|XP_002104546.1|DSIM
OG0002390	LOC118456611|XP_035773413.1|AALB	LOC6731871|XP_002079006.1|DSIM
OG0002391	LOC118458861|XP_035777685.1|AALB	LOC6734895|XP_002081892.2|DSIM
OG0002392	LOC118457880|XP_035775702.1|AALB	LOC6736835|XP_039149347.1|DSIM
OG0002393	LOC118458618|XP_035777194.1|AALB	LOC6738346|XP_016032192.1|DSIM
OG0002394	LOC118469031|XP_035796379.1|AALB	LOC6729635|XP_002104943.2|DSIM
OG0002395	LOC118461927|XP_035783692.1|AALB	LOC6728577|XP_016035209.1|DSIM
OG0002396	LOC118457109|XP_035774301.1|AALB	LOC6734602|XP_016027750.1|DSIM
OG0002397	LOC118461824|XP_035783473.1|AALB	LOC27206147|XP_016026037.1|DSIM
OG0002398	LOC118459453|XP_035778752.1|AALB	LOC6725504|XP_016038647.1|DSIM
OG0002399	LOC118458284|XP_035776499.1|AALB	LOC6733190|XP_016026076.2|DSIM
OG0002400	LOC118456280|XP_035772786.1|AALB	LOC6734921|XP_016028195.1|DSIM
OG0002401	LOC118468297|XP_035794919.1|AALB	LOC27207119|XP_016037206.1|DSIM
OG0002402	LOC118460542|XP_035780825.1|AALB	LOC6727866|XP_016034440.1|DSIM
OG0002403	LOC118460543|XP_035780826.1|AALB	LOC6727865|XP_002103220.1|DSIM
OG0002404	LOC118457979|XP_035775919.1|AALB	LOC27208027|XP_016033127.1|DSIM
OG0002405	LOC118457615|XP_035775219.1|AALB	LOC6726807|XP_016033307.1|DSIM
OG0002406	LOC118468618|XP_035795521.1|AALB	LOC6738332|XP_002085142.1|DSIM
OG0002408	LOC118461594|XP_035782991.1|AALB	LOC6726818|XP_016033319.1|DSIM
OG0002410	LOC118457203|XP_035774446.1|AALB	LOC6727415|XP_016033974.1|DSIM
OG0002411	LOC118461853|XP_035783539.1|AALB	LOC6728850|XP_002104184.1|DSIM
OG0002412	LOC118461405|XP_035782574.1|AALB	LOC27208043|XP_039154266.1|DSIM
OG0002413	LOC118461318|XP_035782411.1|AALB	LOC27206838|XP_016038360.1|DSIM
OG0002414	LOC118461716|XP_035783267.1|AALB	LOC6736313|XP_002083197.1|DSIM
OG0002415	LOC118468461|XP_035795147.1|AALB	LOC6728398|XP_039151947.1|DSIM
OG0002416	LOC118461510|XP_035782832.1|AALB, LOC118463829|XP_035786610.1|AALB	LOC6724702|XP_016037272.1|DSIM
OG0002417	LOC118459010|XP_035777908.1|AALB	LOC6730411|XP_002077592.1|DSIM
OG0002418	LOC118458867|XP_035777710.1|AALB	LOC6739816|XP_016025865.2|DSIM
OG0002419	LOC118460727|XP_035781172.1|AALB, LOC118464927|XP_035788593.1|AALB	LOC6725092|XP_002106119.1|DSIM
OG0002420	LOC118460161|XP_035780154.1|AALB	LOC6736631|XP_016030216.1|DSIM
OG0002421	LOC118456354|XP_035772908.1|AALB	LOC6729406|XP_016036052.1|DSIM
OG0002422	LOC118457412|XP_035774876.1|AALB	LOC6727166|XP_016033656.1|DSIM
OG0002423	LOC118460151|XP_035780140.1|AALB	LOC6737629|XP_016031398.1|DSIM
OG0002424	LOC118460491|XP_035780737.1|AALB	LOC27208340|XP_016037190.1|DSIM
OG0002425	LOC118459182|XP_035778230.1|AALB	LOC6726033|XP_016039419.1|DSIM
OG0002426	LOC118468863|XP_035796021.1|AALB	LOC6736272|XP_002083156.1|DSIM
OG0002427	LOC118461260|XP_035782273.1|AALB	LOC6724688|XP_002105737.2|DSIM
OG0002428	LOC118466759|XP_035792367.1|AALB	LOC27206829|XP_039152615.1|DSIM
OG0002429	LOC118458589|XP_035777145.1|AALB	LOC6736521|XP_016030099.1|DSIM
OG0002430	LOC118466378|XP_035791496.1|AALB	LOC6733353|XP_016026265.1|DSIM
OG0002431	LOC118464630|XP_035787969.1|AALB	LOC6735260|XP_016028609.1|DSIM
OG0002432	LOC118456443|XP_035773097.1|AALB	LOC6725116|XP_002106142.2|DSIM
OG0002433	LOC118464298|XP_035787476.1|AALB	LOC27206449|XP_016034079.2|DSIM
OG0002434	LOC118464154|XP_035787174.1|AALB	LOC6728754|XP_016035429.1|DSIM
OG0002436	LOC118463302|XP_035785681.1|AALB	LOC6734390|XP_016027512.1|DSIM
OG0002437	LOC118464260|XP_035787392.1|AALB, LOC118464363|XP_035787581.1|AALB	LOC6734351|XP_016027426.1|DSIM
OG0002438	LOC118467021|XP_035792862.1|AALB	LOC6724893|XP_039152674.1|DSIM
OG0002439	LOC118458026|XP_035776025.1|AALB	LOC6731158|XP_016023708.1|DSIM
OG0002440	LOC118463730|XP_035786417.1|AALB	LOC6738521|XP_016032364.1|DSIM
OG0002441	LOC118465670|XP_035789990.1|AALB	LOC6733748|XP_016026708.1|DSIM
OG0002442	LOC118465730|XP_035790085.1|AALB	LOC6734940|XP_002081937.1|DSIM
OG0002443	LOC118466936|XP_035792720.1|AALB	LOC6733918|XP_039147981.1|DSIM
OG0002444	LOC118462872|XP_035784824.1|AALB	LOC27208017|XP_039148137.1|DSIM
OG0002445	LOC118466744|XP_035792322.1|AALB	LOC6734368|XP_016027449.1|DSIM
OG0002446	LOC118465220|XP_035789105.1|AALB	LOC6734532|XP_002081541.1|DSIM
OG0002447	LOC118463947|XP_035786817.1|AALB	LOC6737879|XP_016031661.1|DSIM
OG0002448	LOC118464420|XP_035787671.1|AALB	LOC6735605|XP_016028967.1|DSIM
OG0002449	LOC118464230|XP_035787305.1|AALB	LOC6734830|XP_016028063.1|DSIM
OG0002450	LOC118458328|XP_035776572.1|AALB	LOC6728624|XP_002103965.2|DSIM
OG0002451	LOC118464169|XP_035787201.1|AALB	LOC6733615|XP_016026573.1|DSIM
OG0002452	LOC118463813|XP_035786583.1|AALB	LOC6735693|XP_002082609.1|DSIM
OG0002453	LOC118463812|XP_035786582.1|AALB	LOC6735692|XP_002082608.2|DSIM
OG0002454	LOC118463825|XP_035786601.1|AALB	LOC6736263|XP_016029752.1|DSIM
OG0002455	LOC118466013|XP_035790716.1|AALB	LOC6736264|XP_002083148.2|DSIM
OG0002456	LOC118466060|XP_035790802.1|AALB	LOC6735799|XP_039147421.1|DSIM
OG0002457	LOC118464737|XP_035788235.1|AALB	LOC6733400|XP_016026322.1|DSIM
OG0002458	LOC118457749|XP_035775454.1|AALB	LOC6739222|XP_002076132.2|DSIM
OG0002459	LOC118467100|XP_035793042.1|AALB	LOC6734330|XP_016027403.1|DSIM
OG0002460	LOC118464694|XP_035788107.1|AALB	LOC27206597|XP_039148049.1|DSIM
OG0002461	LOC118465162|XP_035789013.1|AALB	LOC6734861|XP_002081862.2|DSIM
OG0002462	LOC118465021|XP_035788776.1|AALB	LOC6735220|XP_016028533.1|DSIM
OG0002463	LOC118467226|XP_035793370.1|AALB	LOC6735995|XP_002082904.1|DSIM
OG0002464	LOC118467034|XP_035792910.1|AALB	LOC6734938|XP_002081935.1|DSIM
OG0002465	LOC118467032|XP_035792907.1|AALB	LOC6733187|XP_002080263.1|DSIM
OG0002466	LOC118467618|XP_035794215.1|AALB	LOC27207985|XP_016037292.1|DSIM
OG0002467	LOC118464769|XP_035788285.1|AALB	LOC6736882|XP_016030527.1|DSIM
OG0002468	LOC118465937|XP_035790540.1|AALB	LOC6737920|XP_016031688.1|DSIM
OG0002469	LOC118464168|XP_035787199.1|AALB	LOC6726651|XP_016033139.1|DSIM
OG0002470	LOC118464183|XP_035787227.1|AALB	LOC6739364|XP_002076270.2|DSIM
OG0002471	LOC118463363|XP_035785774.1|AALB	LOC6733713|XP_016026681.1|DSIM
OG0002472	LOC118464351|XP_035787565.1|AALB	LOC6734111|XP_016027123.1|DSIM
OG0002473	LOC118464361|XP_035787579.1|AALB	LOC6734044|XP_002081080.1|DSIM
OG0002474	LOC118462552|XP_035784212.1|AALB	LOC6738170|XP_039150306.1|DSIM
OG0002475	LOC118463881|XP_035786694.1|AALB	LOC6730195|XP_016036951.1|DSIM
OG0002476	LOC118464221|XP_035787286.1|AALB	LOC6735718|XP_002082634.1|DSIM
OG0002477	LOC118467251|XP_035793426.1|AALB	LOC6735341|XP_002082289.2|DSIM
OG0002478	LOC118467250|XP_035793421.1|AALB	LOC27206180|XP_039147460.1|DSIM
OG0002479	LOC118466774|XP_035792392.1|AALB	LOC6734436|XP_002081456.1|DSIM
OG0002480	LOC118464983|XP_035788708.1|AALB	LOC6739534|XP_039148378.1|DSIM
OG0002481	LOC118464500|XP_035787828.1|AALB	LOC27206677|XP_016037722.1|DSIM
OG0002482	LOC118463880|XP_035786692.1|AALB	LOC6734349|XP_016027425.1|DSIM
OG0002483	LOC118464941|XP_035788621.1|AALB	LOC6735956|XP_002082865.1|DSIM
OG0002484	LOC118464946|XP_035788628.1|AALB	LOC6734926|XP_002081923.1|DSIM
OG0002485	LOC118463977|XP_035786880.1|AALB	LOC6733595|XP_002080649.1|DSIM
OG0002486	LOC118467959|XP_035794835.1|AALB	LOC6738783|XP_002085583.1|DSIM
OG0002487	LOC118466257|XP_035791204.1|AALB	LOC27207868|XP_016025850.1|DSIM
OG0002488	LOC118464802|XP_035788358.1|AALB	LOC27206187|XP_016029013.1|DSIM
OG0002489	LOC118462685|XP_035784492.1|AALB	LOC6738658|XP_016032479.1|DSIM
OG0002490	LOC118463761|XP_035786468.1|AALB	LOC6735345|XP_002082292.2|DSIM
OG0002491	LOC118466923|XP_035792701.1|AALB	LOC6739035|XP_016032873.1|DSIM
OG0002492	LOC118465987|XP_035790668.1|AALB, LOC118465993|XP_035790678.1|AALB	LOC6735051|XP_039148567.1|DSIM
OG0002493	LOC118465985|XP_035790658.1|AALB	LOC6733606|XP_002080660.1|DSIM
OG0002495	LOC118462829|XP_035784753.1|AALB	LOC6734584|XP_039148632.1|DSIM
OG0002496	LOC118464803|XP_035788359.1|AALB	LOC6729701|XP_002105007.1|DSIM
OG0002497	LOC118464813|XP_035788373.1|AALB	LOC6738273|XP_002085084.3|DSIM
OG0002498	LOC118463201|XP_035785529.1|AALB	LOC6738991|XP_016032817.1|DSIM
OG0002508	LOC118459048|XP_035777969.1|AALB	LOC27208156|XP_016022757.1|DSIM
OG0002509	LOC118467981|XP_035794863.1|AALB	LOC6733412|XP_016026349.1|DSIM
OG0002510	LOC118458351|XP_035776599.1|AALB	LOC6726633|XP_016040360.1|DSIM
OG0002511	LOC118467147|XP_035793224.1|AALB	LOC6728198|XP_039151553.1|DSIM
OG0002512	LOC118458417|XP_035776738.1|AALB	LOC6724706|XP_016022628.1|DSIM
OG0002513	LOC118457877|XP_035775697.1|AALB	LOC6728730|XP_039150607.1|DSIM
OG0002514	LOC118467621|XP_035794223.1|AALB, LOC118460209|XP_035780217.1|AALB	LOC6736303|XP_039148933.1|DSIM
OG0002516	LOC118460637|XP_035780987.1|AALB	LOC6729653|XP_016036300.1|DSIM
OG0002517	LOC118456694|XP_035773592.1|AALB	LOC6725884|XP_039153766.1|DSIM
OG0002518	LOC118461771|XP_035783397.1|AALB	LOC6727579|XP_039150905.1|DSIM
OG0002519	LOC118462310|XP_035784009.1|AALB	LOC6735485|XP_002082424.1|DSIM
OG0002520	LOC118462336|XP_035784011.1|AALB	LOC27208731|XP_016038237.1|DSIM
OG0002522	LOC118463360|XP_035785770.1|AALB	LOC6727573|XP_002102952.1|DSIM
OG0002523	LOC118464696|XP_035788156.1|AALB	LOC6730321|XP_016037084.1|DSIM
OG0002524	LOC118460475|XP_035780702.1|AALB, LOC118462538|XP_035784200.1|AALB, LOC118465983|XP_035790659.1|AALB	LOC6725161|XP_039153209.1|DSIM
OG0002525	LOC118461653|XP_035783124.1|AALB	LOC6736859|XP_002083715.1|DSIM
OG0002526	LOC118458396|XP_035776699.1|AALB	LOC6727983|XP_002103335.1|DSIM
OG0002528	LOC118456509|XP_035773275.1|AALB	LOC6725313|XP_039153645.1|DSIM
OG0002529	LOC118464640|XP_035787995.1|AALB	LOC6739736|XP_016034340.1|DSIM
OG0002530	LOC118465697|XP_035790021.1|AALB	LOC6732850|XP_002079960.1|DSIM
OG0002531	LOC118468526|XP_035795287.1|AALB	LOC6731162|XP_016023712.1|DSIM
OG0002532	LOC118464240|XP_035787323.1|AALB	LOC6739797|XP_016022750.1|DSIM
OG0002533	LOC118465442|XP_035789589.1|AALB	LOC6726623|XP_016040317.1|DSIM
OG0002534	LOC118457279|XP_035774588.1|AALB	LOC6734019|XP_002081058.2|DSIM
OG0002535	LOC118466074|XP_035790839.1|AALB	LOC6738638|XP_002085440.1|DSIM
OG0002536	LOC118464376|XP_035787615.1|AALB, LOC118466675|XP_035792176.1|AALB	LOC6730074|XP_016036844.1|DSIM
OG0002537	LOC118467244|XP_035793409.1|AALB	LOC6735993|XP_016029362.1|DSIM
OG0002539	LOC118465434|XP_035789579.1|AALB	LOC6736131|XP_002083031.2|DSIM
OG0002540	LOC118456270|XP_035772778.1|AALB	LOC6727979|XP_016034570.1|DSIM
OG0002541	LOC118458974|XP_035777860.1|AALB	LOC6726291|XP_016039782.1|DSIM
OG0002542	LOC118461245|XP_035782255.1|AALB	LOC6726463|XP_002107420.1|DSIM
OG0002543	LOC118463118|XP_035785343.1|AALB, LOC118465289|XP_035789224.1|AALB	LOC6725831|XP_002106827.1|DSIM
OG0002544	LOC118458190|XP_035776330.1|AALB	LOC6729076|XP_002104397.3|DSIM
OG0002545	LOC118463572|XP_035786106.1|AALB	LOC6724869|XP_016037676.1|DSIM
OG0002547	LOC118468754|XP_035795808.1|AALB	LOC6725263|XP_016038268.1|DSIM
OG0002548	LOC118463908|XP_035786782.1|AALB	LOC27207333|XP_039152306.1|DSIM
OG0002549	LOC118463719|XP_035786443.1|AALB	LOC6726209|XP_039153554.1|DSIM
OG0002550	LOC118459714|XP_035779271.1|AALB	LOC6725894|XP_039152434.1|DSIM
OG0002551	LOC118463635|XP_035786260.1|AALB	LOC6730384|XP_002105666.1|DSIM
OG0002552	LOC118458898|XP_035777750.1|AALB	LOC6733021|XP_002080100.1|DSIM
OG0002553	LOC118458325|XP_035776567.1|AALB	LOC6726624|XP_016040328.1|DSIM
OG0002554	LOC118459206|XP_035778279.1|AALB	LOC6725276|XP_016038287.1|DSIM
OG0002555	LOC118458461|XP_035776874.1|AALB	LOC6725198|XP_016038226.1|DSIM
OG0002556	LOC118468415|XP_035795111.1|AALB	LOC6731161|XP_016023711.1|DSIM
OG0002557	LOC118459862|XP_035779530.1|AALB	LOC6725859|XP_002106855.1|DSIM
OG0002558	LOC118467729|XP_035794426.1|AALB, LOC118464952|XP_035788638.1|AALB	LOC6729276|XP_002104596.1|DSIM
OG0002559	LOC118460503|XP_035780794.1|AALB	LOC27206972|XP_039154255.1|DSIM
OG0002560	LOC118462752|XP_035784612.1|AALB	LOC27206459|XP_016033794.1|DSIM
OG0002561	LOC118457115|XP_035774310.1|AALB	LOC6727484|XP_016034074.1|DSIM
OG0002562	LOC118459194|XP_035778292.1|AALB	LOC6740627|XP_016038944.1|DSIM
OG0002565	LOC118458607|XP_035777178.1|AALB	LOC6728826|XP_002104160.1|DSIM
OG0002566	LOC118457951|XP_035775867.1|AALB	LOC6727578|XP_016034172.2|DSIM
OG0002567	LOC118458470|XP_035776896.1|AALB	LOC6725224|XP_016038238.1|DSIM
OG0002568	LOC118463556|XP_035786073.1|AALB, LOC118468644|XP_035795564.1|AALB	LOC6728881|XP_002104214.2|DSIM
OG0002569	LOC118466808|XP_035792487.1|AALB	LOC6738837|XP_002085637.1|DSIM
OG0002570	LOC118463264|XP_035785630.1|AALB	LOC6727548|XP_039150875.1|DSIM
OG0002571	LOC118459191|XP_035778243.1|AALB	LOC6727550|XP_016034124.1|DSIM
OG0002572	LOC118465676|XP_035790000.1|AALB	LOC6735315|XP_002082267.1|DSIM
OG0002573	LOC118465039|XP_035788802.1|AALB	LOC27206424|XP_016034153.1|DSIM
OG0002574	LOC118459213|XP_035778286.1|AALB	LOC6727575|XP_002102954.1|DSIM
OG0002575	LOC118460978|XP_035781689.1|AALB	LOC6728453|XP_016035067.1|DSIM
OG0002576	LOC118457903|XP_035775787.1|AALB	LOC27207928|XP_016026097.1|DSIM, LOC120285625|XP_039154187.1|DSIM
OG0002577	LOC118462760|XP_035784619.1|AALB	LOC6738455|XP_016032289.1|DSIM
OG0002578	LOC118463146|XP_035785416.1|AALB	LOC6730967|XP_002078129.2|DSIM
OG0002579	LOC118468470|XP_035795183.1|AALB	LOC6732040|XP_002079172.1|DSIM
OG0002580	LOC118456955|XP_035774025.1|AALB	LOC6734210|XP_002081239.2|DSIM
OG0002581	LOC118463781|XP_035786495.1|AALB	LOC6729301|XP_039151509.1|DSIM
OG0002582	LOC118460196|XP_035780195.1|AALB	LOC27206689|XP_016035406.1|DSIM
OG0002583	LOC118460362|XP_035780502.1|AALB	LOC6728657|XP_016035302.1|DSIM
OG0002584	LOC118459487|XP_035778797.1|AALB	LOC6738662|XP_016032483.1|DSIM
OG0002585	LOC118459494|XP_035778809.1|AALB	LOC6738661|XP_002085463.1|DSIM
OG0002586	LOC118461083|XP_035781869.1|AALB	LOC6727508|XP_016034088.1|DSIM
OG0002587	LOC118461082|XP_035781867.1|AALB	LOC6728968|XP_002104296.1|DSIM
OG0002588	LOC118458842|XP_035777638.1|AALB	LOC27206438|XP_016035396.1|DSIM
OG0002589	LOC118456825|XP_035773813.1|AALB	LOC6729769|XP_016036456.1|DSIM
OG0002590	LOC118458640|XP_035777222.1|AALB, LOC118464593|XP_035787933.1|AALB, LOC118458673|XP_035777281.1|AALB	LOC6726148|XP_016039673.1|DSIM
OG0002591	LOC118458027|XP_035776026.1|AALB	LOC6730270|XP_039151131.1|DSIM
OG0002592	LOC118456419|XP_035773045.1|AALB	LOC6729873|XP_016036636.2|DSIM
OG0002593	LOC118460083|XP_035779991.1|AALB	LOC6729869|XP_016036619.1|DSIM
OG0002594	LOC118461262|XP_035782277.1|AALB	LOC6728148|XP_016034761.1|DSIM
OG0002595	LOC118461076|XP_035781862.1|AALB	LOC6727500|XP_039150710.1|DSIM
OG0002596	LOC118457696|XP_035775362.1|AALB	LOC6728211|XP_016034849.1|DSIM
OG0002597	LOC118457495|XP_035775023.1|AALB	LOC6728672|XP_016035336.1|DSIM
OG0002598	LOC118468263|XP_035794906.1|AALB	LOC6729174|XP_016035824.1|DSIM
OG0002599	LOC118468881|XP_035796065.1|AALB	LOC6728737|XP_002104072.1|DSIM
OG0002600	LOC118459383|XP_035778578.1|AALB	LOC6733798|XP_016026757.1|DSIM
OG0002601	LOC118456247|XP_035772737.1|AALB	LOC6727192|XP_016033680.1|DSIM
OG0002602	LOC118460924|XP_035781573.1|AALB	LOC27206707|XP_016036711.1|DSIM
OG0002603	LOC118457541|XP_035775087.1|AALB	LOC6730177|XP_016036935.1|DSIM
OG0002604	LOC118458877|XP_035777720.1|AALB	LOC6730176|XP_039150406.1|DSIM
OG0002605	LOC118457185|XP_035774425.1|AALB	LOC27208744|XP_016034960.1|DSIM
OG0002606	LOC118457815|XP_035775569.1|AALB	LOC6728189|XP_016034819.1|DSIM
OG0002607	LOC118457828|XP_035775595.1|AALB	LOC6727153|XP_002102546.1|DSIM
OG0002608	LOC118460311|XP_035780411.1|AALB	LOC6727857|XP_039151843.1|DSIM
OG0002609	LOC118464878|XP_035788513.1|AALB	LOC6734070|XP_002081105.1|DSIM
OG0002610	LOC118460663|XP_035781023.1|AALB	LOC6727222|XP_002102614.1|DSIM
OG0002611	LOC118461384|XP_035782538.1|AALB	LOC6728795|XP_002104130.1|DSIM
OG0002612	LOC118457549|XP_035775108.1|AALB	LOC6727353|XP_002102738.1|DSIM
OG0002613	LOC118460241|XP_035780290.1|AALB	LOC6729338|XP_016035980.1|DSIM
OG0002614	LOC118460234|XP_035780269.1|AALB	LOC6729747|XP_016036406.1|DSIM
OG0002615	LOC118457714|XP_035775393.1|AALB	LOC6736527|XP_016030114.1|DSIM
OG0002616	LOC118456417|XP_035773037.1|AALB	LOC6729855|XP_016036590.1|DSIM
OG0002617	LOC118461561|XP_035782915.1|AALB	LOC6728755|XP_002104090.1|DSIM
OG0002618	LOC118468547|XP_035795335.1|AALB	LOC6726693|XP_016033181.1|DSIM
OG0002619	LOC118461725|XP_035783285.1|AALB	LOC6727743|XP_016034312.1|DSIM
OG0002620	LOC118461756|XP_035783376.1|AALB	LOC6729436|XP_016036076.1|DSIM
OG0002621	LOC118468562|XP_035795367.1|AALB	LOC6729140|XP_002104461.1|DSIM
OG0002622	LOC118466776|XP_035792395.1|AALB	LOC6738261|XP_016032139.1|DSIM
OG0002623	LOC118457847|XP_035775627.1|AALB	LOC6728825|XP_002104159.1|DSIM
OG0002624	LOC118457850|XP_035775629.1|AALB	LOC6729027|XP_002104348.1|DSIM
OG0002625	LOC118457583|XP_035775156.1|AALB	LOC6729034|XP_016035692.2|DSIM
OG0002626	LOC118468557|XP_035795351.1|AALB	LOC6725396|XP_002106412.1|DSIM
OG0002627	LOC118459268|XP_035778384.1|AALB	LOC6729109|XP_016035753.1|DSIM
OG0002628	LOC118460455|XP_035780668.1|AALB	LOC6726889|XP_039151683.1|DSIM
OG0002629	LOC118456962|XP_035774036.1|AALB	LOC6728529|XP_039151773.1|DSIM
OG0002630	LOC118462009|XP_035783838.1|AALB, LOC118462008|XP_035783836.1|AALB	LOC6727913|XP_016034530.1|DSIM
OG0002631	LOC118461689|XP_035783199.1|AALB	LOC6729501|XP_016036174.1|DSIM
OG0002632	LOC118459624|XP_035779094.1|AALB	LOC6728137|XP_002103488.1|DSIM
OG0002633	LOC118457289|XP_035774644.1|AALB	LOC6727562|XP_002102941.2|DSIM
OG0002634	LOC118457287|XP_035774640.1|AALB	LOC6728111|XP_016034730.1|DSIM
OG0002635	LOC118460150|XP_035780139.1|AALB	LOC27209030|XP_016035380.1|DSIM
OG0002636	LOC118459954|XP_035779733.1|AALB	LOC6726648|XP_002102059.1|DSIM
OG0002637	LOC118458014|XP_035776005.1|AALB	LOC6732050|XP_016024733.1|DSIM
OG0002638	LOC118457956|XP_035775873.1|AALB	LOC6730149|XP_016036913.1|DSIM
OG0002639	LOC118460137|XP_035780115.1|AALB	LOC6728464|XP_016035086.1|DSIM
OG0002640	LOC118460635|XP_035780981.1|AALB	LOC6728175|XP_016034793.1|DSIM
OG0002641	LOC118461491|XP_035782766.1|AALB	LOC6728174|XP_039151562.1|DSIM
OG0002642	LOC118468448|XP_035795117.1|AALB	LOC6728173|XP_002103522.1|DSIM
OG0002643	LOC118468447|XP_035795110.1|AALB	LOC6728172|XP_016034783.1|DSIM
OG0002644	LOC118456236|XP_035772714.1|AALB	LOC6726936|XP_002102338.1|DSIM
OG0002645	LOC118458635|XP_035777217.1|AALB	LOC6726929|XP_039150857.1|DSIM
OG0002646	LOC118457346|XP_035774737.1|AALB	LOC6739769|XP_002076660.1|DSIM
OG0002647	LOC118457347|XP_035774738.1|AALB	LOC6728986|XP_002104308.1|DSIM
OG0002648	LOC118459579|XP_035779000.1|AALB	LOC6727152|XP_016033637.1|DSIM
OG0002649	LOC118458841|XP_035777637.1|AALB	LOC6729002|XP_002104323.2|DSIM
OG0002650	LOC118461478|XP_035782728.1|AALB	LOC6728987|XP_002104309.1|DSIM
OG0002651	LOC118456795|XP_035773775.1|AALB	LOC6727855|XP_002103210.2|DSIM
OG0002652	LOC118457013|XP_035774134.1|AALB	LOC6727256|XP_016033762.1|DSIM
OG0002653	LOC118461567|XP_035782936.1|AALB, LOC118468614|XP_035795508.1|AALB	LOC6729929|XP_039151206.1|DSIM
OG0002654	LOC118457913|XP_035775806.1|AALB	LOC6729927|XP_016036686.1|DSIM
OG0002655	LOC118460059|XP_035779935.1|AALB	LOC6727355|XP_016033885.1|DSIM
OG0002656	LOC118457885|XP_035775707.1|AALB	LOC6728232|XP_016034870.1|DSIM
OG0002657	LOC118456355|XP_035772909.1|AALB	LOC6728727|XP_016035381.1|DSIM
OG0002658	LOC118468310|XP_035794941.1|AALB	LOC6730315|XP_002105598.2|DSIM
OG0002659	LOC118467283|XP_035793482.1|AALB, LOC118461339|XP_035782442.1|AALB	LOC6729956|XP_016036720.1|DSIM
OG0002660	LOC118462569|XP_035784263.1|AALB	LOC6740116|XP_002076998.2|DSIM
OG0002661	LOC118466149|XP_035791008.1|AALB	LOC6729921|XP_039151701.1|DSIM
OG0002662	LOC118467474|XP_035793906.1|AALB	LOC6736133|XP_016029523.1|DSIM
OG0002663	LOC118458578|XP_035777129.1|AALB	LOC6729376|XP_016036014.1|DSIM
OG0002664	LOC118468303|XP_035794932.1|AALB	LOC6733135|XP_016022836.1|DSIM
OG0002665	LOC118465312|XP_035789321.1|AALB	LOC6739329|XP_016026474.1|DSIM
OG0002666	LOC118465298|XP_035789271.1|AALB	LOC6733503|XP_016026461.1|DSIM
OG0002667	LOC118464790|XP_035788314.1|AALB	LOC6733816|XP_016026787.1|DSIM
OG0002668	LOC118462525|XP_035784165.1|AALB	LOC6736393|XP_016029898.1|DSIM
OG0002669	LOC118462528|XP_035784174.1|AALB	LOC6731532|XP_002078679.1|DSIM
OG0002670	LOC118466458|XP_035791703.1|AALB	LOC6737178|XP_002084024.1|DSIM
OG0002671	LOC118465718|XP_035790047.1|AALB	LOC6737174|XP_016030859.1|DSIM
OG0002672	LOC118465097|XP_035788923.1|AALB	LOC6735511|XP_016028849.1|DSIM
OG0002673	LOC118462748|XP_035784605.1|AALB	LOC6736002|XP_002082911.1|DSIM
OG0002674	LOC118463832|XP_035786614.1|AALB	LOC6733813|XP_016026783.1|DSIM
OG0002675	LOC118463149|XP_035785418.1|AALB	LOC6737112|XP_016030738.1|DSIM
OG0002676	LOC118466652|XP_035792131.1|AALB	LOC6736121|XP_002083021.2|DSIM
OG0002677	LOC118465941|XP_035790556.1|AALB	LOC6733349|XP_039148769.1|DSIM
OG0002678	LOC118462973|XP_035785034.1|AALB	LOC6733968|XP_016027007.1|DSIM
OG0002679	LOC118464655|XP_035788019.1|AALB	LOC6735991|XP_016029355.1|DSIM
OG0002680	LOC118460185|XP_035780183.1|AALB, LOC118459797|XP_035779425.1|AALB	LOC6724792|XP_016037567.1|DSIM
OG0002681	LOC118464206|XP_035787269.1|AALB	LOC6735503|XP_016028839.1|DSIM
OG0002682	LOC118462589|XP_035784295.1|AALB	LOC6736804|XP_002083660.2|DSIM
OG0002684	LOC118466302|XP_035791299.1|AALB	LOC6740159|XP_016039619.1|DSIM
