Orthogroup	AALB.longest_only	DSER.longest_only
OG0001827	LOC118467103|XP_035793050.1|AALB	LOC110179183|XP_020802253.1|DSER
OG0001828	LOC118467531|XP_035793992.1|AALB	LOC110182093|XP_020805734.1|DSER
OG0001829	LOC118463602|XP_035786157.1|AALB	LOC110176332|XP_020798313.1|DSER
OG0001830	LOC118465675|XP_035789998.1|AALB	LOC110177331|XP_020799672.1|DSER
OG0001831	LOC118466821|XP_035792503.1|AALB, LOC118465394|XP_035789485.1|AALB	LOC110178876|XP_020801808.1|DSER
OG0001832	LOC118466066|XP_035790822.1|AALB	LOC110181867|XP_020805448.1|DSER
OG0001833	LOC118464943|XP_035788623.1|AALB	LOC110191505|XP_020818032.1|DSER
OG0001834	LOC118465432|XP_035789566.1|AALB, LOC118457154|XP_035774372.1|AALB, LOC118464683|XP_035788098.1|AALB	LOC110188089|XP_020813304.1|DSER
OG0001848	LOC118465206|XP_035789090.1|AALB	LOC110180476|XP_020803818.1|DSER, LOC110185344|XP_020809781.1|DSER
OG0001849	LOC118459869|XP_035779547.1|AALB	LOC110191339|XP_020817842.1|DSER
OG0001850	LOC118469022|XP_035796362.1|AALB	LOC110185429|XP_020809903.1|DSER
OG0001851	LOC118465447|XP_035789644.1|AALB	LOC110185451|XP_020809948.1|DSER
OG0001852	LOC118457849|XP_035775633.1|AALB	LOC110184504|XP_020808726.1|DSER
OG0001853	LOC118457756|XP_035775472.1|AALB	LOC110186255|XP_020810996.1|DSER
OG0001854	LOC118461080|XP_035781865.1|AALB	LOC110187024|XP_020812048.1|DSER
OG0001855	LOC118460223|XP_035780285.1|AALB	LOC110180445|XP_020803777.1|DSER
OG0001856	LOC118458941|XP_035777816.1|AALB	LOC110181854|XP_020805427.1|DSER
OG0001857	LOC118466146|XP_035791000.1|AALB	LOC110175938|XP_020797778.1|DSER
OG0001858	LOC118468495|XP_035795222.1|AALB, LOC118468344|XP_035794999.1|AALB	LOC110182028|XP_020805618.1|DSER, LOC110182005|XP_020805596.1|DSER, LOC110181670|XP_020805155.1|DSER
OG0001859	LOC118467497|XP_035793941.1|AALB	LOC110181866|XP_020805447.1|DSER
OG0001860	LOC118466780|XP_035792400.1|AALB	LOC110178975|XP_020801945.1|DSER
OG0001861	LOC118458106|XP_035776175.1|AALB	LOC110186497|XP_020811350.1|DSER
OG0001862	LOC118458712|XP_035777348.1|AALB	LOC110175927|XP_020797765.1|DSER
OG0001863	LOC118458321|XP_035776558.1|AALB	LOC110175928|XP_020797766.1|DSER
OG0001864	LOC118463422|XP_035785873.1|AALB	LOC110187716|XP_020812813.1|DSER
OG0001865	LOC118463551|XP_035786067.1|AALB	LOC110179096|XP_020802140.1|DSER
OG0001866	LOC118460461|XP_035780674.1|AALB, LOC118459514|XP_035778853.1|AALB	LOC110187760|XP_020812883.1|DSER, LOC110183815|XP_020807829.1|DSER
OG0001867	LOC118461842|XP_035783519.1|AALB, LOC118459176|XP_035778223.1|AALB	LOC110185263|XP_020809661.1|DSER
OG0001868	LOC118462697|XP_035784521.1|AALB	LOC110182727|XP_020806487.1|DSER
OG0001869	LOC118462647|XP_035784394.1|AALB	LOC110177144|XP_020799380.1|DSER
OG0001870	LOC118461327|XP_035782468.1|AALB	LOC110181521|XP_020804955.1|DSER
OG0001871	LOC118460099|XP_035780023.1|AALB	LOC110180412|XP_020803736.1|DSER
OG0001872	LOC118458559|XP_035777099.1|AALB	LOC110186402|XP_020811225.1|DSER
OG0001873	LOC118463298|XP_035785680.1|AALB	LOC110187805|XP_020812939.1|DSER
OG0001874	LOC118463238|XP_035785601.1|AALB	LOC110190988|XP_020817358.1|DSER
OG0001875	LOC118459269|XP_035778393.1|AALB	LOC110186420|XP_020811259.1|DSER
OG0001876	LOC118456712|XP_035773640.1|AALB	LOC110184487|XP_020808701.1|DSER
OG0001877	LOC118460019|XP_035779843.1|AALB	LOC110179107|XP_020802154.1|DSER
OG0001878	LOC118467756|XP_035794476.1|AALB, LOC118460268|XP_035780341.1|AALB	LOC110185097|XP_020809450.1|DSER
OG0001879	LOC118461633|XP_035783092.1|AALB	LOC110191311|XP_020817783.1|DSER
OG0001880	LOC118459503|XP_035778821.1|AALB	LOC110191177|XP_020817601.1|DSER
OG0001881	LOC118458748|XP_035777419.1|AALB	LOC110188648|XP_020814085.1|DSER
OG0001882	LOC118460923|XP_035781570.1|AALB	LOC110186888|XP_020811847.1|DSER
OG0001883	LOC118458159|XP_035776249.1|AALB	LOC110191241|XP_020817678.1|DSER
OG0001884	LOC118457820|XP_035775588.1|AALB	LOC110177223|XP_020799503.1|DSER
OG0001885	LOC118466364|XP_035791443.1|AALB	LOC110180503|XP_020803839.1|DSER, LOC110184956|XP_020809262.1|DSER
OG0001886	LOC118462034|XP_035783901.1|AALB	LOC110189150|XP_020814779.1|DSER
OG0001887	LOC118460313|XP_035780415.1|AALB	LOC110177313|XP_020799648.1|DSER
OG0001888	LOC118457191|XP_035774433.1|AALB	LOC110177118|XP_020799323.1|DSER
OG0001889	LOC118460534|XP_035780813.1|AALB	LOC110184407|XP_020808597.1|DSER
OG0001890	LOC118461638|XP_035783101.1|AALB	LOC110184632|XP_020808887.1|DSER
OG0001891	LOC118461558|XP_035782905.1|AALB	LOC110188198|XP_020813453.1|DSER
OG0001892	LOC118458094|XP_035776149.1|AALB	LOC110180481|XP_020803824.1|DSER
OG0001893	LOC118457921|XP_035775815.1|AALB	LOC110177380|XP_020799738.1|DSER
OG0001894	LOC118457092|XP_035774273.1|AALB	LOC110179105|XP_020802155.1|DSER, LOC110191586|XP_020818130.1|DSER
OG0001895	LOC118460144|XP_035780126.1|AALB	LOC110185393|XP_020809828.1|DSER
OG0001896	LOC118468567|XP_035795386.1|AALB	LOC110185359|XP_020809798.1|DSER, LOC110182626|XP_020806349.1|DSER
OG0001897	LOC118461457|XP_035782679.1|AALB	LOC110187728|XP_020812838.1|DSER
OG0001898	LOC118459352|XP_035778529.1|AALB	LOC110184268|XP_020808392.1|DSER
OG0001899	LOC118457755|XP_035775464.1|AALB	LOC110186821|XP_020811768.1|DSER
OG0001900	LOC118461924|XP_035783691.1|AALB, LOC118466570|XP_035792007.1|AALB	LOC110190263|XP_020816288.1|DSER, LOC110190297|XP_020816341.1|DSER
OG0001901	LOC118459615|XP_035779065.1|AALB	LOC110183006|XP_020806854.1|DSER
OG0001902	LOC118460310|XP_035780406.1|AALB	LOC110187879|XP_020813025.1|DSER, LOC110185378|XP_020809819.1|DSER
OG0001903	LOC118468926|XP_035796130.1|AALB	LOC110176458|XP_020798470.1|DSER
OG0001904	LOC118461183|XP_035782104.1|AALB	LOC110188397|XP_020813780.1|DSER
OG0001905	LOC118459505|XP_035778824.1|AALB	LOC110176032|XP_020797903.1|DSER
OG0001906	LOC118457003|XP_035774120.1|AALB	LOC110177233|XP_020799523.1|DSER
OG0001907	LOC118468772|XP_035795844.1|AALB	LOC110184255|XP_020808376.1|DSER
OG0001908	LOC118460422|XP_035780606.1|AALB	LOC110177363|XP_020799715.1|DSER
OG0001909	LOC118458057|XP_035776081.1|AALB	LOC110184343|XP_020808497.1|DSER
OG0001910	LOC118465922|XP_035790514.1|AALB	LOC110188590|XP_020814012.1|DSER
OG0001911	LOC118468826|XP_035795950.1|AALB	LOC110189210|XP_020814844.1|DSER
OG0001912	LOC118459120|XP_035778082.1|AALB, LOC118459121|XP_035778083.1|AALB	LOC110177746|XP_020800263.1|DSER
OG0001913	LOC118464510|XP_035787839.1|AALB	LOC110183438|XP_020807378.1|DSER
OG0001914	LOC118458576|XP_035777117.1|AALB	LOC110187722|XP_020812826.1|DSER
OG0001915	LOC118466116|XP_035790946.1|AALB	LOC110188816|XP_020814352.1|DSER
OG0001916	LOC118464648|XP_035788005.1|AALB	LOC110184077|XP_020808121.1|DSER
OG0001917	LOC118465717|XP_035790046.1|AALB	LOC110189118|XP_020814752.1|DSER, LOC110189127|XP_020814759.1|DSER
OG0001918	LOC118462993|XP_035785112.1|AALB	LOC110183561|XP_020807521.1|DSER
OG0001919	LOC118466690|XP_035792213.1|AALB	LOC110182449|XP_020806183.1|DSER
OG0001920	LOC118466682|XP_035792196.1|AALB	LOC110178788|XP_020801698.1|DSER
OG0001921	LOC118462989|XP_035785095.1|AALB	LOC110177794|XP_020800328.1|DSER
OG0001922	LOC118465947|XP_035790567.1|AALB	LOC110176060|XP_020797942.1|DSER
OG0001924	LOC118463191|XP_035785514.1|AALB	LOC110188784|XP_020814290.1|DSER
OG0001926	LOC118463886|XP_035786703.1|AALB	LOC110190670|XP_020816934.1|DSER
OG0001927	LOC118462460|XP_035784026.1|AALB	LOC110178358|XP_020801150.1|DSER
OG0001928	LOC118466784|XP_035792413.1|AALB	LOC110185155|XP_020809517.1|DSER
OG0001929	LOC118465196|XP_035789058.1|AALB	LOC110185149|XP_020809509.1|DSER, LOC110184677|XP_020808944.1|DSER
OG0001930	LOC118466113|XP_035790939.1|AALB	LOC110189541|XP_020815331.1|DSER
OG0001932	LOC118465335|XP_035789373.1|AALB	LOC110183636|XP_020807614.1|DSER, LOC110182484|XP_020806191.1|DSER, LOC110180208|XP_020803523.1|DSER
OG0001933	LOC118463843|XP_035786640.1|AALB	LOC110180069|XP_020803350.1|DSER
OG0001934	LOC118462699|XP_035784520.1|AALB	LOC110184683|XP_020808955.1|DSER
OG0001935	LOC118465905|XP_035790462.1|AALB	LOC110190654|XP_020816913.1|DSER, LOC110190653|XP_020816912.1|DSER
OG0001937	LOC118463769|XP_035786477.1|AALB	LOC110177798|XP_020800346.1|DSER
OG0001938	LOC118463036|XP_035785174.1|AALB	LOC110179308|XP_020802453.1|DSER
OG0001939	LOC118467120|XP_035793082.1|AALB	LOC110179224|XP_020802320.1|DSER
OG0001940	LOC118465234|XP_035789133.1|AALB	LOC110181946|XP_020805545.1|DSER
OG0001941	LOC118464487|XP_035787805.1|AALB	LOC110178789|XP_020801701.1|DSER
OG0001942	LOC118462917|XP_035784915.1|AALB	LOC110189393|XP_020815101.1|DSER
OG0001943	LOC118467090|XP_035793028.1|AALB	LOC110190727|XP_020817008.1|DSER
OG0001944	LOC118464839|XP_035788413.1|AALB	LOC110178825|XP_020801751.1|DSER
OG0001945	LOC118467171|XP_035793233.1|AALB	LOC110191588|XP_020818132.1|DSER, LOC110182957|XP_020806806.1|DSER
OG0001946	LOC118467876|XP_035794681.1|AALB	LOC110191540|XP_020818071.1|DSER
OG0001947	LOC118465373|XP_035789461.1|AALB	LOC110191226|XP_020817651.1|DSER
OG0001948	LOC118466945|XP_035792739.1|AALB	LOC110187432|XP_020812481.1|DSER, LOC110175992|XP_020797845.1|DSER
OG0001949	LOC118464673|XP_035788080.1|AALB	LOC110189877|XP_020815779.1|DSER
OG0001950	LOC118464269|XP_035787406.1|AALB	LOC110177231|XP_020799509.1|DSER
OG0001951	LOC118465238|XP_035789144.1|AALB	LOC110177670|XP_020800155.1|DSER
OG0001952	LOC118464710|XP_035788134.1|AALB	LOC110189230|XP_020814872.1|DSER
OG0001953	LOC118465210|XP_035789095.1|AALB	LOC110182765|XP_020806545.1|DSER
OG0001954	LOC118465792|XP_035790223.1|AALB	LOC110178349|XP_020801133.1|DSER
OG0001955	LOC118466131|XP_035790974.1|AALB	LOC110189499|XP_020815262.1|DSER
OG0001956	LOC118467350|XP_035793626.1|AALB	LOC110189098|XP_020814734.1|DSER
OG0001957	LOC118462580|XP_035784281.1|AALB	LOC110179342|XP_020802504.1|DSER
OG0001958	LOC118467524|XP_035793979.1|AALB	LOC110189304|XP_020814996.1|DSER
OG0001959	LOC118464785|XP_035788309.1|AALB, LOC118465453|XP_035789620.1|AALB	LOC110184657|XP_020808918.1|DSER
OG0001960	LOC118462936|XP_035784947.1|AALB	LOC110178727|XP_020801605.1|DSER
OG0001961	LOC118463019|XP_035785144.1|AALB	LOC110184057|XP_020808093.1|DSER
OG0001962	LOC118462603|XP_035784325.1|AALB	LOC110191581|XP_020818123.1|DSER
OG0001963	LOC118466213|XP_035791129.1|AALB	LOC110183559|XP_020807519.1|DSER
OG0001964	LOC118463972|XP_035786867.1|AALB	LOC110176702|XP_020798797.1|DSER
OG0001966	LOC118462549|XP_035784208.1|AALB	LOC110187851|XP_020812995.1|DSER
OG0001967	LOC118465763|XP_035790164.1|AALB	LOC110181114|XP_020804444.1|DSER
OG0001968	LOC118467721|XP_035794416.1|AALB	LOC110178648|XP_020801498.1|DSER
OG0001970	LOC118466245|XP_035791190.1|AALB	LOC110177059|XP_020799238.1|DSER
OG0001971	LOC118466947|XP_035792741.1|AALB	LOC110181801|XP_020805346.1|DSER
OG0001972	LOC118466948|XP_035792742.1|AALB	LOC110181190|XP_020804529.1|DSER
OG0001973	LOC118463909|XP_035786739.1|AALB	LOC110178455|XP_020801249.1|DSER
OG0001974	LOC118464029|XP_035786981.1|AALB	LOC110176999|XP_020799167.1|DSER
OG0001975	LOC118464007|XP_035786948.1|AALB	LOC110188859|XP_020814425.1|DSER
OG0001976	LOC118465834|XP_035790321.1|AALB	LOC110177838|XP_020800444.1|DSER
OG0001978	LOC118460388|XP_035780554.1|AALB	LOC110187470|XP_020812516.1|DSER
OG0001979	LOC118457363|XP_035774773.1|AALB	LOC110177001|XP_020799169.1|DSER
OG0001980	LOC118459531|XP_035778883.1|AALB	LOC110178207|XP_020800902.1|DSER
OG0001981	LOC118458374|XP_035776666.1|AALB	LOC110187384|XP_020812432.1|DSER, LOC110177654|XP_020800124.1|DSER
OG0001982	LOC118458378|XP_035776677.1|AALB	LOC110184511|XP_020808732.1|DSER
OG0001983	LOC118456372|XP_035772949.1|AALB	LOC110188122|XP_020813360.1|DSER
OG0001984	LOC118456830|XP_035773819.1|AALB	LOC110185871|XP_020810540.1|DSER
OG0001985	LOC118460403|XP_035780575.1|AALB	LOC110177884|XP_020800507.1|DSER
OG0001986	LOC118457311|XP_035774690.1|AALB	LOC110186079|XP_020810773.1|DSER
OG0001987	LOC118464150|XP_035787163.1|AALB	LOC110182580|XP_020806286.1|DSER
OG0001988	LOC118461200|XP_035782144.1|AALB	LOC110189297|XP_020814987.1|DSER, LOC110176787|XP_020798884.1|DSER
OG0001989	LOC118457447|XP_035774934.1|AALB	LOC110178185|XP_020800878.1|DSER
OG0001990	LOC118468625|XP_035795533.1|AALB, LOC118468629|XP_035795536.1|AALB	LOC110183371|XP_020807292.1|DSER
OG0001991	LOC118457466|XP_035774979.1|AALB	LOC110180592|XP_020803941.1|DSER
OG0001992	LOC118457463|XP_035774972.1|AALB	LOC110187325|XP_020812371.1|DSER
OG0001993	LOC118458744|XP_035777414.1|AALB	LOC110185078|XP_020809416.1|DSER
OG0001994	LOC118456461|XP_035773130.1|AALB	LOC110188237|XP_020813556.1|DSER
OG0001995	LOC118457440|XP_035774923.1|AALB, LOC118457439|XP_035774922.1|AALB	LOC110181357|XP_020804740.1|DSER, LOC110178694|XP_020801556.1|DSER
OG0001996	LOC118457486|XP_035775006.1|AALB	LOC110187394|XP_020812444.1|DSER
OG0001997	LOC118468715|XP_035795739.1|AALB	LOC110182069|XP_020805710.1|DSER, LOC110177802|XP_020800355.1|DSER
OG0001998	LOC118467467|XP_035793878.1|AALB	LOC110191767|XP_020818372.1|DSER, LOC110182075|XP_020805721.1|DSER
OG0001999	LOC118456269|XP_035772762.1|AALB	LOC110178274|XP_020801001.1|DSER
OG0002000	LOC118458276|XP_035776489.1|AALB	LOC110176945|XP_020799105.1|DSER
OG0002001	LOC118460756|XP_035781243.1|AALB	LOC110187468|XP_020812514.1|DSER
OG0002002	LOC118457985|XP_035775940.1|AALB	LOC110178362|XP_020801156.1|DSER
OG0002003	LOC118456221|XP_035772698.1|AALB	LOC110180601|XP_020803945.1|DSER, LOC110183012|XP_020806861.1|DSER, LOC110183033|XP_020806878.1|DSER
OG0002004	LOC118459240|XP_035778334.1|AALB	LOC110187228|XP_020812284.1|DSER
OG0002005	LOC118460927|XP_035781580.1|AALB	LOC110185706|XP_020810336.1|DSER
OG0002006	LOC118457699|XP_035775369.1|AALB	LOC110182693|XP_020806446.1|DSER
OG0002008	LOC118458715|XP_035777351.1|AALB	LOC110185394|XP_020809831.1|DSER
OG0002009	LOC118459020|XP_035777917.1|AALB	LOC110179862|XP_020803123.1|DSER
OG0002010	LOC118461945|XP_035783720.1|AALB	LOC110180604|XP_020803948.1|DSER, LOC110183016|XP_020806863.1|DSER, LOC110183035|XP_020806880.1|DSER
OG0002011	LOC118459834|XP_035779492.1|AALB	LOC110185601|XP_020810203.1|DSER
OG0002012	LOC118458497|XP_035776943.1|AALB	LOC110187401|XP_020812450.1|DSER
OG0002013	LOC118457373|XP_035774795.1|AALB	LOC110179874|XP_020803132.1|DSER, LOC110181451|XP_020804854.1|DSER
OG0002014	LOC118456393|XP_035772978.1|AALB, LOC118456381|XP_035772961.1|AALB	LOC110179210|XP_020802302.1|DSER
OG0002015	LOC118458177|XP_035776278.1|AALB	LOC110177005|XP_020799174.1|DSER
OG0002016	LOC118458665|XP_035777255.1|AALB	LOC110188951|XP_020814550.1|DSER, LOC110176377|XP_020798368.1|DSER
OG0002017	LOC118456466|XP_035773138.1|AALB	LOC110183462|XP_020807401.1|DSER
OG0002018	LOC118459393|XP_035778589.1|AALB	LOC110180580|XP_020803930.1|DSER
OG0002019	LOC118466846|XP_035792570.1|AALB	LOC110183995|XP_020808011.1|DSER
OG0002020	LOC118458077|XP_035776125.1|AALB	LOC110181362|XP_020804744.1|DSER, LOC110179511|XP_020802747.1|DSER
OG0002021	LOC118458073|XP_035776119.1|AALB	LOC110181102|XP_020804432.1|DSER
OG0002022	LOC118460165|XP_035780165.1|AALB	LOC110179897|XP_020803152.1|DSER
OG0002023	LOC118456887|XP_035773901.1|AALB	LOC110187649|XP_020812716.1|DSER
OG0002024	LOC118456171|XP_035772608.1|AALB	LOC110183352|XP_020807266.1|DSER
OG0002025	LOC118468434|XP_035795090.1|AALB	LOC110184012|XP_020808037.1|DSER
OG0002026	LOC118460286|XP_035780368.1|AALB	LOC110179811|XP_020803074.1|DSER
OG0002027	LOC118461419|XP_035782605.1|AALB	LOC110180808|XP_020804147.1|DSER
OG0002028	LOC118456713|XP_035773641.1|AALB	LOC110178205|XP_020800900.1|DSER, LOC110191504|XP_020818029.1|DSER
OG0002029	LOC118468842|XP_035795977.1|AALB	LOC110176236|XP_020798194.1|DSER
OG0002030	LOC118466200|XP_035791111.1|AALB	LOC110176804|XP_020798905.1|DSER
OG0002031	LOC118465852|XP_035790373.1|AALB	LOC110189284|XP_020814967.1|DSER
OG0002032	LOC118457242|XP_035774516.1|AALB	LOC110187925|XP_020813095.1|DSER
OG0002033	LOC118461912|XP_035783662.1|AALB	LOC110181604|XP_020805062.1|DSER
OG0002034	LOC118456634|XP_035773454.1|AALB	LOC110181728|XP_020805245.1|DSER, LOC110179469|XP_020802698.1|DSER
OG0002035	LOC118461229|XP_035782215.1|AALB	LOC110187929|XP_020813099.1|DSER
OG0002036	LOC118459892|XP_035779585.1|AALB	LOC110188754|XP_020814255.1|DSER
OG0002037	LOC118461057|XP_035781841.1|AALB	LOC110183557|XP_020807517.1|DSER
OG0002038	LOC118460995|XP_035781711.1|AALB	LOC110188051|XP_020813260.1|DSER
OG0002039	LOC118457858|XP_035775644.1|AALB	LOC110179905|XP_020803161.1|DSER
OG0002040	LOC118469046|XP_035796405.1|AALB	LOC110187948|XP_020813122.1|DSER
OG0002041	LOC118459543|XP_035778907.1|AALB	LOC110189738|XP_020815591.1|DSER
OG0002042	LOC118469056|XP_035796416.1|AALB	LOC110188523|XP_020813924.1|DSER
OG0002043	LOC118456987|XP_035774090.1|AALB	LOC110187687|XP_020812778.1|DSER, LOC110180925|XP_020804260.1|DSER
OG0002044	LOC118459967|XP_035779748.1|AALB	LOC110188662|XP_020814107.1|DSER
OG0002045	LOC118458619|XP_035777195.1|AALB	LOC110187820|XP_020812956.1|DSER
OG0002046	LOC118468859|XP_035796010.1|AALB	LOC110181701|XP_020805204.1|DSER
OG0002047	LOC118461300|XP_035782374.1|AALB	LOC110180145|XP_020803450.1|DSER
OG0002048	LOC118460868|XP_035781492.1|AALB	LOC110191771|XP_020818374.1|DSER
OG0002049	LOC118458503|XP_035776956.1|AALB	LOC110186490|XP_020811336.1|DSER
OG0002050	LOC118456163|XP_035772581.1|AALB	LOC110191844|XP_020818471.1|DSER
OG0002051	LOC118460329|XP_035780436.1|AALB	LOC110179354|XP_020802525.1|DSER
OG0002053	LOC118468798|XP_035795901.1|AALB	LOC110188293|XP_020813654.1|DSER
OG0002054	LOC118460093|XP_035780011.1|AALB	LOC110187970|XP_020813149.1|DSER
OG0002055	LOC118461506|XP_035782828.1|AALB	LOC110176651|XP_020798741.1|DSER
OG0002056	LOC118459349|XP_035778524.1|AALB	LOC110190754|XP_020817036.1|DSER
OG0002057	LOC118458329|XP_035776573.1|AALB	LOC110183391|XP_020807317.1|DSER
OG0002058	LOC118458327|XP_035776571.1|AALB	LOC110178815|XP_020801736.1|DSER
OG0002059	LOC118458326|XP_035776569.1|AALB	LOC110186775|XP_020811704.1|DSER
OG0002060	LOC118456869|XP_035773867.1|AALB	LOC110187156|XP_020812230.1|DSER, LOC110178597|XP_020801445.1|DSER
OG0002061	LOC118461257|XP_035782269.1|AALB	LOC110191547|XP_020818079.1|DSER
OG0002062	LOC118456401|XP_035772994.1|AALB	LOC110181697|XP_020805199.1|DSER
OG0002063	LOC118457322|XP_035774707.1|AALB	LOC110187153|XP_020812229.1|DSER
OG0002064	LOC118458187|XP_035776324.1|AALB	LOC110184412|XP_020808609.1|DSER, LOC110184377|XP_020808536.1|DSER
OG0002065	LOC118458136|XP_035776215.1|AALB	LOC110185341|XP_020809779.1|DSER
OG0002066	LOC118466598|XP_035792058.1|AALB	LOC110191929|XP_020818590.1|DSER
OG0002067	LOC118464495|XP_035787816.1|AALB	LOC110191510|XP_020818037.1|DSER
OG0002068	LOC118456927|XP_035773950.1|AALB	LOC110189567|XP_020815357.1|DSER
OG0002069	LOC118466559|XP_035791994.1|AALB	LOC110188779|XP_020814283.1|DSER
OG0002070	LOC118466564|XP_035792000.1|AALB	LOC110188084|XP_020813296.1|DSER
OG0002071	LOC118465704|XP_035790025.1|AALB	LOC110191193|XP_020817620.1|DSER
OG0002072	LOC118467214|XP_035793336.1|AALB	LOC110176379|XP_020798369.1|DSER, LOC110188953|XP_020814552.1|DSER, LOC110188932|XP_020814529.1|DSER
OG0002073	LOC118463045|XP_035785181.1|AALB	LOC110176210|XP_020798135.1|DSER
OG0002074	LOC118462756|XP_035784613.1|AALB	LOC110177740|XP_020800256.1|DSER
OG0002075	LOC118465358|XP_035789423.1|AALB	LOC110176907|XP_020799055.1|DSER
OG0002076	LOC118464639|XP_035787988.1|AALB	LOC110182887|XP_020806694.1|DSER
OG0002077	LOC118465848|XP_035790353.1|AALB	LOC110178659|XP_020801512.1|DSER
OG0002078	LOC118466738|XP_035792314.1|AALB	LOC110189789|XP_020815681.1|DSER
OG0002079	LOC118465889|XP_035790433.1|AALB	LOC110178549|XP_020801373.1|DSER
OG0002080	LOC118463231|XP_035785576.1|AALB	LOC110191440|XP_020817965.1|DSER
OG0002081	LOC118465508|XP_035789719.1|AALB	LOC110177373|XP_020799733.1|DSER
OG0002082	LOC118466054|XP_035790786.1|AALB	LOC110182085|XP_020805729.1|DSER
OG0002083	LOC118467123|XP_035793087.1|AALB	LOC110179593|XP_020802852.1|DSER, LOC110179425|XP_020802613.1|DSER
OG0002084	LOC118467827|XP_035794610.1|AALB	LOC110177939|XP_020800579.1|DSER
OG0002085	LOC118467889|XP_035794695.1|AALB	LOC110176480|XP_020798507.1|DSER
OG0002086	LOC118463200|XP_035785527.1|AALB	LOC110177943|XP_020800584.1|DSER
OG0002087	LOC118465455|XP_035789629.1|AALB	LOC110178934|XP_020801886.1|DSER
OG0002088	LOC118466797|XP_035792441.1|AALB	LOC110184635|XP_020808892.1|DSER
OG0002089	LOC118467537|XP_035794023.1|AALB	LOC110189676|XP_020815493.1|DSER
OG0002090	LOC118464893|XP_035788535.1|AALB, LOC118464894|XP_035788537.1|AALB	LOC110190964|XP_020817313.1|DSER
OG0002091	LOC118467907|XP_035794728.1|AALB	LOC110181273|XP_020804647.1|DSER
OG0002092	LOC118462883|XP_035784849.1|AALB	LOC110188358|XP_020813725.1|DSER
OG0002093	LOC118466773|XP_035792391.1|AALB	LOC110177687|XP_020800168.1|DSER
OG0002094	LOC118467612|XP_035794207.1|AALB	LOC110191517|XP_020818044.1|DSER
OG0002095	LOC118465265|XP_035789186.1|AALB	LOC110180098|XP_020803380.1|DSER, LOC110175980|XP_020797837.1|DSER
OG0002096	LOC118465431|XP_035789558.1|AALB	LOC110191278|XP_020817738.1|DSER
OG0002097	LOC118462715|XP_035784547.1|AALB	LOC110191871|XP_020818517.1|DSER
OG0002098	LOC118464480|XP_035787789.1|AALB, LOC118464242|XP_035787333.1|AALB	LOC110189900|XP_020815820.1|DSER
OG0002099	LOC118463902|XP_035786726.1|AALB	LOC110186426|XP_020811267.1|DSER
OG0002100	LOC118465683|XP_035790006.1|AALB	LOC110176207|XP_020798129.1|DSER
OG0002101	LOC118463109|XP_035785324.1|AALB	LOC110177963|XP_020800617.1|DSER
OG0002102	LOC118465981|XP_035790650.1|AALB	LOC110182878|XP_020806680.1|DSER
OG0002103	LOC118461459|XP_035782689.1|AALB	LOC110186718|XP_020811649.1|DSER
OG0002117	LOC118461032|XP_035781806.1|AALB	LOC110181741|XP_020805259.1|DSER
OG0002118	LOC118459676|XP_035779182.1|AALB	LOC110187751|XP_020812869.1|DSER
OG0002119	LOC118456356|XP_035772923.1|AALB	LOC110189484|XP_020815235.1|DSER
OG0002120	LOC118462942|XP_035784978.1|AALB	LOC110185469|XP_020809981.1|DSER
OG0002121	LOC118466477|XP_035791755.1|AALB	LOC110186855|XP_020811800.1|DSER
OG0002123	LOC118462819|XP_035784733.1|AALB	LOC110176917|XP_020799068.1|DSER
OG0002124	LOC118460312|XP_035780418.1|AALB	LOC110175973|XP_020797827.1|DSER, LOC110176017|XP_020797885.1|DSER
OG0002125	LOC118466010|XP_035790707.1|AALB	LOC110177753|XP_020800273.1|DSER
OG0002126	LOC118465209|XP_035789092.1|AALB	LOC110176706|XP_020798803.1|DSER
OG0002127	LOC118466628|XP_035792109.1|AALB, LOC118464457|XP_035787741.1|AALB	LOC110187462|XP_020812509.1|DSER, LOC110177088|XP_020799275.1|DSER, LOC110184429|XP_020808624.1|DSER
OG0002128	LOC118464930|XP_035788599.1|AALB, LOC118469041|XP_035796399.1|AALB	LOC110182636|XP_020806364.1|DSER
OG0002129	LOC118468698|XP_035795711.1|AALB	LOC110186947|XP_020811941.1|DSER
OG0002131	LOC118460675|XP_035781045.1|AALB	LOC110188284|XP_020813640.1|DSER
OG0002132	LOC118460632|XP_035780979.1|AALB	LOC110177641|XP_020800114.1|DSER, LOC110187302|XP_020812348.1|DSER
OG0002133	LOC118463640|XP_035786273.1|AALB	LOC110180572|XP_020803925.1|DSER
OG0002135	LOC118466191|XP_035791107.1|AALB	LOC110182187|XP_020805851.1|DSER
OG0002136	LOC118465182|XP_035789043.1|AALB	LOC110190092|XP_020816060.1|DSER
OG0002137	LOC118456285|XP_035772793.1|AALB, LOC118457628|XP_035775240.1|AALB	LOC110191381|XP_020817894.1|DSER
OG0002138	LOC118465484|XP_035789681.1|AALB, LOC118465810|XP_035790273.1|AALB	LOC110184289|XP_020808433.1|DSER
OG0002139	LOC118465622|XP_035789916.1|AALB	LOC110184605|XP_020808857.1|DSER
OG0002140	LOC118457360|XP_035774772.1|AALB	LOC110179088|XP_020802133.1|DSER
OG0002141	LOC118460121|XP_035780053.1|AALB	LOC110179902|XP_020803158.1|DSER
