Orthogroup	AALB.longest_only	DHYD.longest_only
OG0000813	LOC118463261|XP_035785624.1|AALB	LOC111599215|XP_030080392.1|DHYD
OG0000814	LOC118465745|XP_035790105.1|AALB	LOC111594183|XP_023163134.1|DHYD
OG0000815	LOC118459814|XP_035779450.1|AALB	LOC111599074|XP_023170372.2|DHYD
OG0000816	LOC118466970|XP_035792778.1|AALB	LOC111602802|XP_023175862.2|DHYD
OG0000818	LOC118461934|XP_035783701.1|AALB	LOC111593432|XP_023161946.2|DHYD, LOC111594237|XP_023163213.1|DHYD, LOC111594241|XP_030080265.1|DHYD
OG0000819	LOC118457457|XP_035774950.1|AALB	LOC111602423|XP_030079873.1|DHYD, LOC111602412|XP_023175211.1|DHYD
OG0000820	LOC118463815|XP_035786587.1|AALB	LOC111601041|XP_023173262.1|DHYD, LOC111600099|XP_023171828.1|DHYD
OG0000821	LOC118465578|XP_035789840.1|AALB	LOC111596653|XP_023166726.2|DHYD, LOC111595515|XP_023165063.1|DHYD
OG0000822	LOC118466197|XP_035791108.1|AALB	LOC111599008|XP_023170290.1|DHYD
OG0000830	LOC118459962|XP_035779743.1|AALB, LOC118459960|XP_035779742.1|AALB, LOC118459959|XP_035779740.1|AALB	LOC111593439|XP_023161958.2|DHYD
OG0000831	LOC118459079|XP_035778024.1|AALB, LOC118461902|XP_035783648.1|AALB, LOC118458536|XP_035777010.1|AALB	LOC111594304|XP_023163310.2|DHYD
OG0000832	LOC118460735|XP_035781187.1|AALB	LOC111594011|XP_023162876.1|DHYD, LOC111603652|XP_023177103.2|DHYD
OG0000833	LOC118463051|XP_035785194.1|AALB	LOC111592289|XP_023160160.2|DHYD
OG0000834	LOC118464380|XP_035787616.1|AALB	LOC111597801|XP_023168453.2|DHYD, LOC111597802|XP_023168455.1|DHYD
OG0000836	LOC118460970|XP_035781675.1|AALB	LOC111603869|XP_023177444.1|DHYD
OG0000837	LOC118459718|XP_035779272.1|AALB	LOC111604060|XP_023177694.1|DHYD
OG0000838	LOC118458035|XP_035776046.1|AALB	LOC111605537|XP_023179868.1|DHYD
OG0000839	LOC118460038|XP_035779893.1|AALB	LOC111604820|XP_023178810.2|DHYD, LOC111601448|XP_023173792.2|DHYD
OG0000840	LOC118460519|XP_035780787.1|AALB	LOC111592527|XP_023160599.2|DHYD, LOC111593987|XP_023162845.1|DHYD
OG0000841	LOC118457107|XP_035774292.1|AALB	LOC111598493|XP_023169523.2|DHYD
OG0000842	LOC118467493|XP_035793936.1|AALB	LOC111600736|XP_023172780.1|DHYD
OG0000843	LOC118467383|XP_035793713.1|AALB	LOC111600100|XP_030081241.1|DHYD
OG0000844	LOC118462801|XP_035784693.1|AALB	LOC111603601|XP_023177028.1|DHYD
OG0000845	LOC118464667|XP_035788072.1|AALB	LOC111602427|XP_023175234.2|DHYD
OG0000854	LOC118468375|XP_035795031.1|AALB	LOC111596711|XP_023166799.1|DHYD
OG0000855	LOC118462018|XP_035783872.1|AALB	LOC111596692|XP_023167190.1|DHYD
OG0000856	LOC118462080|XP_035783992.1|AALB	LOC111605741|XP_030078605.1|DHYD
OG0000857	LOC118461650|XP_035783123.1|AALB, LOC118461663|XP_035783145.1|AALB	LOC111600183|XP_023171956.2|DHYD
OG0000858	LOC118460903|XP_035781540.1|AALB	LOC111594489|XP_023163566.2|DHYD
OG0000860	LOC118467315|XP_035793543.1|AALB	LOC111591932|XP_023159631.2|DHYD
OG0000861	LOC118467097|XP_035793036.1|AALB	LOC111593891|XP_023162726.2|DHYD
OG0000862	LOC118467136|XP_035793144.1|AALB	LOC111597955|XP_023168687.1|DHYD
OG0000863	LOC118462855|XP_035784804.1|AALB	LOC111603621|XP_023177059.2|DHYD, LOC111593340|XP_023161819.2|DHYD, LOC111594125|XP_023163055.1|DHYD
OG0000864	LOC118461400|XP_035782558.1|AALB	LOC111593452|XP_023161977.2|DHYD
OG0000865	LOC118457283|XP_035774637.1|AALB	LOC115482964|XP_030079343.1|DHYD, LOC111598443|XP_023169452.2|DHYD, LOC111603467|XP_023176824.2|DHYD
OG0000866	LOC118461640|XP_035783103.1|AALB	LOC111595850|XP_023165528.2|DHYD
OG0000867	LOC118457872|XP_035775679.1|AALB	LOC111598972|XP_023170234.2|DHYD, LOC111594407|XP_023163451.1|DHYD
OG0000868	LOC118457576|XP_035775146.1|AALB, LOC118459923|XP_035779666.1|AALB	LOC111604964|XP_023179016.1|DHYD
OG0000871	LOC118466733|XP_035792309.1|AALB	LOC111595570|XP_023165135.1|DHYD
OG0000872	LOC118463586|XP_035786133.1|AALB	LOC111595960|XP_023165700.1|DHYD, LOC111600085|XP_023171792.1|DHYD
OG0000873	LOC118464246|XP_035787341.1|AALB, LOC118463744|XP_035786431.1|AALB, LOC118464222|XP_035787287.1|AALB	LOC111600930|XP_030078651.1|DHYD
OG0000874	LOC118463225|XP_035785567.1|AALB	LOC111593252|XP_023161684.2|DHYD
OG0000875	LOC118466928|XP_035792707.1|AALB	LOC111601340|XP_023173637.1|DHYD, LOC111598850|XP_023170053.1|DHYD, LOC111592327|XP_023160220.1|DHYD
OG0000882	LOC118460321|XP_035780429.1|AALB	LOC111596542|XP_023166582.1|DHYD
OG0000884	LOC118468700|XP_035795717.1|AALB	LOC111597524|XP_023168070.2|DHYD
OG0000885	LOC118457725|XP_035775410.1|AALB, LOC118457727|XP_035775411.1|AALB, LOC118457724|XP_035775409.1|AALB	LOC111601408|XP_023173734.1|DHYD
OG0000887	LOC118463310|XP_035785687.1|AALB, LOC118465846|XP_035790350.1|AALB, LOC118463810|XP_035786579.1|AALB, LOC118468811|XP_035795919.1|AALB, LOC118468809|XP_035795918.1|AALB	LOC111593634|XP_023162274.2|DHYD
OG0000888	LOC118465638|XP_035789937.1|AALB, LOC118465634|XP_035789929.1|AALB	LOC111596521|XP_030081178.1|DHYD, LOC111601464|XP_023173813.2|DHYD
OG0000889	LOC118463477|XP_035785960.1|AALB	LOC111597555|XP_023168120.1|DHYD
OG0000890	LOC118465805|XP_035790266.1|AALB	LOC111604129|XP_023177817.2|DHYD
OG0000891	LOC118457690|XP_035775354.1|AALB	LOC111601133|XP_023173368.1|DHYD
OG0000892	LOC118461667|XP_035783148.1|AALB	LOC111605703|XP_023180149.1|DHYD
OG0000893	LOC118461100|XP_035781909.1|AALB	LOC111603400|XP_030081730.1|DHYD
OG0000894	LOC118457777|XP_035775501.1|AALB	LOC111592386|XP_023160329.2|DHYD, LOC111603565|XP_023176979.1|DHYD
OG0000895	LOC118458352|XP_035776596.1|AALB	LOC111600689|XP_023172710.2|DHYD, LOC111600695|XP_023172717.2|DHYD
OG0000907	LOC118459253|XP_035778358.1|AALB	LOC111600102|XP_023171831.1|DHYD
OG0000909	LOC118459629|XP_035779099.1|AALB	LOC111602822|XP_023175898.1|DHYD
OG0000910	LOC118462988|XP_035785093.1|AALB	LOC111596877|XP_023167093.2|DHYD, LOC111601296|XP_023173576.1|DHYD
OG0000911	LOC118464594|XP_035787930.1|AALB	LOC111595624|XP_023165202.1|DHYD
OG0000912	LOC118467011|XP_035792847.1|AALB, LOC118462929|XP_035784931.1|AALB	LOC111593528|XP_023162089.1|DHYD
OG0000913	LOC118462550|XP_035784209.1|AALB	LOC111595095|XP_023164428.2|DHYD
OG0000914	LOC118467845|XP_035794645.1|AALB, LOC118459089|XP_035778047.1|AALB	LOC111593570|XP_023162200.1|DHYD
OG0000915	LOC118457378|XP_035774806.1|AALB, LOC118459897|XP_035779606.1|AALB	LOC111600704|XP_023172729.2|DHYD
OG0000916	LOC118458441|XP_035776810.1|AALB, LOC118458711|XP_035777344.1|AALB, LOC118456560|XP_035773322.1|AALB, LOC118468342|XP_035794994.1|AALB, LOC118459910|XP_035779638.1|AALB, LOC118458633|XP_035777215.1|AALB, LOC118456982|XP_035774080.1|AALB, LOC118460472|XP_035780690.1|AALB, LOC118459193|XP_035778247.1|AALB, LOC118468359|XP_035795012.1|AALB	LOC111596228|XP_030080351.1|DHYD
OG0000917	LOC118458771|XP_035777457.1|AALB	LOC111598523|XP_030081590.1|DHYD, LOC111599399|XP_030079268.1|DHYD
OG0000918	LOC118460938|XP_035781593.1|AALB	LOC111594098|XP_023163018.2|DHYD
OG0000920	LOC118462795|XP_035784685.1|AALB, LOC118462796|XP_035784686.1|AALB, LOC118458426|XP_035776774.1|AALB	LOC111600229|XP_023172024.1|DHYD
OG0000921	LOC118460639|XP_035780986.1|AALB	LOC111593394|XP_030079432.1|DHYD
OG0000922	LOC118456255|XP_035772750.1|AALB	LOC111596016|XP_023165808.1|DHYD
OG0000923	LOC118466584|XP_035792037.1|AALB	LOC111604969|XP_023179027.2|DHYD
OG0000924	LOC118463875|XP_035786688.1|AALB	LOC111598118|XP_023168943.2|DHYD
OG0000925	LOC118467575|XP_035794113.1|AALB	LOC111602003|XP_023174659.1|DHYD
OG0000935	LOC118457386|XP_035774818.1|AALB, LOC118459374|XP_035778563.1|AALB	LOC111603562|XP_023176970.2|DHYD
OG0000936	LOC118461155|XP_035782074.1|AALB	LOC111600846|XP_023172918.1|DHYD, LOC111605035|XP_023179138.1|DHYD
OG0000938	LOC118458727|XP_035777387.1|AALB	LOC111598130|XP_023168959.1|DHYD
OG0000939	LOC118458045|XP_035776058.1|AALB	LOC111592903|XP_023161118.1|DHYD
OG0000940	LOC118457807|XP_035775553.1|AALB	LOC111598416|XP_023169425.1|DHYD, LOC111592459|XP_023160427.1|DHYD
OG0000941	LOC118457833|XP_035775602.1|AALB	LOC111594257|XP_023163246.1|DHYD, LOC111595857|XP_023165540.1|DHYD
OG0000942	LOC118461937|XP_035783705.1|AALB	LOC111594382|XP_023163416.2|DHYD
OG0000943	LOC118464680|XP_035788095.1|AALB	LOC111600602|XP_023172564.1|DHYD
OG0000944	LOC118463430|XP_035785890.1|AALB	LOC111605014|XP_023179111.1|DHYD, LOC111601506|XP_023173868.1|DHYD
OG0000945	LOC118462643|XP_035784385.1|AALB	LOC111596888|XP_023167106.2|DHYD, LOC115482987|XP_030079477.1|DHYD
OG0000946	LOC118468439|XP_035795094.1|AALB, LOC118458079|XP_035776129.1|AALB	LOC111599327|XP_023170716.2|DHYD
OG0000947	LOC118459427|XP_035778666.1|AALB, LOC118459425|XP_035778663.1|AALB, LOC118459426|XP_035778664.1|AALB	LOC111600133|XP_023171873.2|DHYD
OG0000948	LOC118460957|XP_035781625.1|AALB	LOC111601083|XP_023173277.1|DHYD
OG0000949	LOC118461660|XP_035783134.1|AALB, LOC118461659|XP_035783133.1|AALB	LOC111602432|XP_023175239.2|DHYD
OG0000950	LOC118459856|XP_035779521.1|AALB	LOC111591996|XP_023159725.2|DHYD, LOC111602682|XP_023175670.1|DHYD
OG0000951	LOC118467062|XP_035792970.1|AALB	LOC111601478|XP_023173833.1|DHYD, LOC111598832|XP_023170035.1|DHYD
OG0000952	LOC118463414|XP_035785859.1|AALB	LOC111602441|XP_023175263.1|DHYD
OG0000964	LOC118461375|XP_035782519.1|AALB	LOC111595516|XP_030082039.1|DHYD
OG0000965	LOC118458186|XP_035776321.1|AALB	LOC111603225|XP_023176497.2|DHYD, LOC111603084|XP_023176311.2|DHYD
OG0000966	LOC118463865|XP_035786672.1|AALB	LOC111592182|XP_023160016.1|DHYD
OG0000969	LOC118467288|XP_035793494.1|AALB	LOC111592490|XP_023160482.1|DHYD
OG0000970	LOC118459232|XP_035778322.1|AALB	LOC111594966|XP_023164232.1|DHYD
OG0000971	LOC118467673|XP_035794337.1|AALB, LOC118461168|XP_035782061.1|AALB	LOC111601135|XP_023173370.1|DHYD
OG0000972	LOC118457048|XP_035774189.1|AALB	LOC111596947|XP_023167171.1|DHYD
OG0000974	LOC118460056|XP_035779933.1|AALB, LOC118463138|XP_035785391.1|AALB	LOC111597477|XP_023167994.2|DHYD
OG0000975	LOC118461802|XP_035783438.1|AALB	LOC111604558|XP_023178420.1|DHYD
OG0000976	LOC118460713|XP_035781136.1|AALB, LOC118460739|XP_035781190.1|AALB	LOC111597591|XP_023168158.2|DHYD
OG0000977	LOC118468937|XP_035796163.1|AALB	LOC111602997|XP_030078749.1|DHYD
OG0000978	LOC118464760|XP_035788272.1|AALB	LOC111593607|XP_023162236.1|DHYD
OG0000979	LOC118459941|XP_035779710.1|AALB	LOC111595243|XP_023164649.1|DHYD
OG0000988	LOC118465612|XP_035789882.1|AALB	LOC111594899|XP_023164156.2|DHYD, LOC111597315|XP_023167712.2|DHYD, LOC111593241|XP_023161662.2|DHYD, LOC111603766|XP_023177268.2|DHYD
OG0000990	LOC118461263|XP_035782289.1|AALB	LOC111591970|XP_023159685.1|DHYD
OG0000991	LOC118460991|XP_035781709.1|AALB	LOC111597532|XP_023168084.2|DHYD
OG0000992	LOC118467370|XP_035793679.1|AALB	LOC111596603|XP_023166653.1|DHYD
OG0000993	LOC118458879|XP_035777722.1|AALB	LOC111594464|XP_023163532.2|DHYD
OG0000994	LOC118460068|XP_035779959.1|AALB	LOC111600340|XP_023172172.2|DHYD
OG0000994	LOC118460067|XP_035779957.1|AALB	LOC111596479|XP_023166504.1|DHYD
OG0000995	LOC118467882|XP_035794687.1|AALB	LOC111601960|XP_023174602.2|DHYD
OG0000996	LOC118464625|XP_035787964.1|AALB	LOC111603111|XP_023176348.2|DHYD, LOC111603350|XP_023176667.1|DHYD
OG0000997	LOC118463841|XP_035786637.1|AALB	LOC111598802|XP_030080966.1|DHYD, LOC115483382|XP_030080965.1|DHYD
OG0000998	LOC118463641|XP_035786269.1|AALB	LOC111601079|XP_023173274.2|DHYD, LOC111601016|XP_030079456.1|DHYD
OG0000999	LOC118464812|XP_035788372.1|AALB	LOC111604040|XP_023177663.1|DHYD
OG0001000	LOC118468586|XP_035795411.1|AALB	LOC111599998|XP_023171666.2|DHYD
OG0001001	LOC118468736|XP_035795777.1|AALB, LOC118457961|XP_035775887.1|AALB	LOC111600889|XP_023172994.2|DHYD
OG0001002	LOC118462052|XP_035783931.1|AALB, LOC118457269|XP_035774556.1|AALB	LOC111595595|XP_023165176.2|DHYD
OG0001003	LOC118458880|XP_035777724.1|AALB	LOC111598583|XP_023169657.1|DHYD
OG0001004	LOC118461508|XP_035782830.1|AALB	LOC111593325|XP_023161802.1|DHYD
OG0001005	LOC118457323|XP_035774708.1|AALB	LOC111596807|XP_023166936.1|DHYD
OG0001006	LOC118466540|XP_035791949.1|AALB	LOC111605737|XP_023180206.1|DHYD
OG0001007	LOC118465783|XP_035790210.1|AALB	LOC111597641|XP_023168217.1|DHYD, LOC111601124|XP_023173346.1|DHYD
OG0001008	LOC118465025|XP_035788783.1|AALB	LOC111598835|XP_023170040.1|DHYD
OG0001009	LOC118457397|XP_035774827.1|AALB	LOC111595166|XP_023164514.1|DHYD
OG0001019	LOC118465401|XP_035789500.1|AALB	LOC111603273|XP_023176554.2|DHYD
OG0001020	LOC118456197|XP_035772655.1|AALB, LOC118456190|XP_035772644.1|AALB	LOC111593037|XP_023161372.1|DHYD
OG0001021	LOC118461867|XP_035783581.1|AALB	LOC111602188|XP_023174916.1|DHYD
OG0001022	LOC118459591|XP_035779012.1|AALB, LOC118464497|XP_035787825.1|AALB	LOC111595966|XP_023165710.1|DHYD
OG0001024	LOC118458539|XP_035777014.1|AALB, LOC118457811|XP_035775564.1|AALB	LOC111597763|XP_023168386.2|DHYD
OG0001025	LOC118462991|XP_035785097.1|AALB, LOC118459096|XP_035778052.1|AALB	LOC111605185|XP_023179350.2|DHYD
OG0001026	LOC118467194|XP_035793298.1|AALB, LOC118463597|XP_035786150.1|AALB	LOC111604784|XP_023178764.1|DHYD, LOC111595617|XP_023165191.2|DHYD
OG0001027	LOC118462690|XP_035784501.1|AALB, LOC118462691|XP_035784507.1|AALB	LOC111592330|XP_023160224.2|DHYD
OG0001028	LOC118466252|XP_035791197.1|AALB	LOC111601190|XP_023173437.1|DHYD
OG0001031	LOC118458005|XP_035775973.1|AALB	LOC111592072|XP_023159847.2|DHYD
OG0001032	LOC118456400|XP_035772993.1|AALB	LOC111600874|XP_030079107.1|DHYD
OG0001033	LOC118466176|XP_035791056.1|AALB	LOC111599388|XP_030080951.1|DHYD, LOC111592151|XP_023159966.2|DHYD
OG0001042	LOC118458317|XP_035776557.1|AALB, LOC118460405|XP_035780581.1|AALB	LOC111601970|XP_023174611.1|DHYD
OG0001043	LOC118458781|XP_035777499.1|AALB	LOC111601914|XP_023174529.2|DHYD, LOC111603888|XP_030079064.1|DHYD
OG0001044	LOC118466750|XP_035792336.1|AALB	LOC111604089|XP_023177752.2|DHYD
OG0001045	LOC118460207|XP_035780211.1|AALB	LOC111602559|XP_023175483.1|DHYD
OG0001046	LOC118461602|XP_035783012.1|AALB	LOC111597088|XP_023167391.1|DHYD
OG0001048	LOC118463800|XP_035786560.1|AALB, LOC118467828|XP_035794612.1|AALB	LOC111601279|XP_023173565.2|DHYD
OG0001049	LOC118467134|XP_035793137.1|AALB	LOC111602200|XP_023174939.2|DHYD, LOC111599655|XP_030079633.1|DHYD
OG0001050	LOC118466206|XP_035791116.1|AALB	LOC111592440|XP_023160392.2|DHYD
OG0001051	LOC118458232|XP_035776394.1|AALB	LOC111594721|XP_023163919.2|DHYD
OG0001052	LOC118456651|XP_035773484.1|AALB	LOC111598952|XP_023170204.1|DHYD
OG0001053	LOC118468491|XP_035795212.1|AALB	LOC111591852|XP_023163555.2|DHYD
OG0001054	LOC118458947|XP_035777823.1|AALB	LOC111599985|XP_023171651.2|DHYD
OG0001055	LOC118457762|XP_035775478.1|AALB, LOC118457761|XP_035775477.1|AALB	LOC111592021|XP_023159781.2|DHYD, LOC111592004|XP_023159752.2|DHYD, LOC111592006|XP_023159756.2|DHYD
OG0001056	LOC118458531|XP_035777002.1|AALB	LOC111596896|XP_023167150.1|DHYD
OG0001057	LOC118456428|XP_035773077.1|AALB	LOC111605487|XP_023179797.1|DHYD, LOC111600362|XP_023172205.1|DHYD
OG0001058	LOC118462874|XP_035784828.1|AALB	LOC111605028|XP_030079427.1|DHYD
OG0001073	LOC118460567|XP_035780867.1|AALB, LOC118460559|XP_035780856.1|AALB	LOC111600626|XP_030080589.1|DHYD
OG0001074	LOC118465055|XP_035788830.1|AALB	LOC111593856|XP_023162671.1|DHYD
OG0001077	LOC118468651|XP_035795571.1|AALB	LOC111598600|XP_023169684.1|DHYD
OG0001078	LOC118461004|XP_035781739.1|AALB, LOC118466508|XP_035791846.1|AALB	LOC111596168|XP_030080028.1|DHYD
OG0001079	LOC118462980|XP_035785069.1|AALB	LOC111597427|XP_023167893.1|DHYD
OG0001080	LOC118466686|XP_035792207.1|AALB	LOC111598791|XP_030081448.1|DHYD
OG0001081	LOC118466692|XP_035792215.1|AALB, LOC118466777|XP_035792396.1|AALB	LOC111600630|XP_023172601.2|DHYD, LOC111597669|XP_023168261.1|DHYD
OG0001082	LOC118466984|XP_035792795.1|AALB, LOC118466986|XP_035792796.1|AALB	LOC111602104|XP_023174810.1|DHYD
OG0001083	LOC118463887|XP_035786707.1|AALB	LOC111601576|XP_023173995.2|DHYD
OG0001084	LOC118461093|XP_035781894.1|AALB, LOC118462702|XP_035784532.1|AALB	LOC111597682|XP_023168280.2|DHYD
OG0001085	LOC118463368|XP_035785785.1|AALB	LOC111600887|XP_023172993.1|DHYD
OG0001086	LOC118466154|XP_035791022.1|AALB	LOC111596988|XP_023167247.1|DHYD
OG0001088	LOC118463537|XP_035786046.1|AALB	LOC111592741|XP_023160907.2|DHYD
OG0001089	LOC118463098|XP_035785279.1|AALB	LOC111595304|XP_030079466.1|DHYD
OG0001090	LOC118465495|XP_035789692.1|AALB, LOC118464575|XP_035787911.1|AALB	LOC111601573|XP_023173993.1|DHYD
OG0001091	LOC118467703|XP_035794379.1|AALB, LOC118467702|XP_035794378.1|AALB, LOC118464616|XP_035787954.1|AALB, LOC118464294|XP_035787469.1|AALB	LOC111597530|XP_023168075.2|DHYD
OG0001092	LOC118458375|XP_035776670.1|AALB	LOC115483323|XP_030080569.1|DHYD, LOC111599007|XP_023170289.1|DHYD
OG0001093	LOC118456857|XP_035773851.1|AALB, LOC118456967|XP_035774054.1|AALB	LOC111600392|XP_030080539.1|DHYD
OG0001094	LOC118468381|XP_035795034.1|AALB, LOC118467965|XP_035794843.1|AALB	LOC111600412|XP_023172260.2|DHYD, LOC111600341|XP_023172173.2|DHYD
OG0001095	LOC118462067|XP_035783956.1|AALB, LOC118462065|XP_035783951.1|AALB, LOC118462066|XP_035783955.1|AALB	LOC111592309|XP_023160184.2|DHYD
OG0001096	LOC118457636|XP_035775259.1|AALB, LOC118457646|XP_035775279.1|AALB	LOC111599308|XP_030079192.1|DHYD
OG0001097	LOC118468054|XP_035794870.1|AALB	LOC111594654|XP_023163822.1|DHYD
OG0001099	LOC118459695|XP_035779229.1|AALB	LOC111594368|XP_023163401.1|DHYD, LOC115483759|XP_030081864.1|DHYD, LOC111594386|XP_023163421.2|DHYD, LOC115483741|XP_030081845.1|DHYD
OG0001100	LOC118467040|XP_035792918.1|AALB	LOC111598705|XP_023169861.1|DHYD
OG0001101	LOC118465160|XP_035789001.1|AALB	LOC111600149|XP_023171899.2|DHYD, LOC111600169|XP_023171929.2|DHYD
OG0001102	LOC118464289|XP_035787461.1|AALB, LOC118462624|XP_035784355.1|AALB	LOC111603338|XP_023176643.1|DHYD
OG0001103	LOC118467432|XP_035793814.1|AALB, LOC118462777|XP_035784643.1|AALB, LOC118462779|XP_035784647.1|AALB	LOC111598807|XP_023170001.2|DHYD
OG0001104	LOC118466871|XP_035792612.1|AALB	LOC111597276|XP_023167660.1|DHYD, LOC111593688|XP_023162355.1|DHYD, LOC111593069|XP_023161418.1|DHYD
OG0001105	LOC118464948|XP_035788630.1|AALB	LOC111598167|XP_023169023.1|DHYD
OG0001106	LOC118462721|XP_035784557.1|AALB, LOC118463944|XP_035786808.1|AALB	LOC111597895|XP_030081721.1|DHYD
OG0001118	LOC118464394|XP_035787640.1|AALB	LOC111598674|XP_023169800.1|DHYD
OG0001119	LOC118462827|XP_035784749.1|AALB, LOC118457681|XP_035775336.1|AALB	LOC111600815|XP_023172882.2|DHYD
OG0001120	LOC118460031|XP_035779866.1|AALB, LOC118460028|XP_035779862.1|AALB	LOC111603481|XP_023176840.1|DHYD
OG0001122	LOC118466831|XP_035792522.1|AALB	LOC111600480|XP_023172360.1|DHYD
OG0001124	LOC118465314|XP_035789323.1|AALB	LOC111602574|XP_023175501.2|DHYD
OG0001125	LOC118464929|XP_035788595.1|AALB, LOC118464931|XP_035788596.1|AALB	LOC111595023|XP_023164303.1|DHYD
OG0001126	LOC118466913|XP_035792673.1|AALB	LOC111597752|XP_030081822.1|DHYD
OG0001127	LOC118464441|XP_035787709.1|AALB, LOC118463906|XP_035786737.1|AALB	LOC111599226|XP_023170592.2|DHYD
OG0001128	LOC118464123|XP_035787104.1|AALB, LOC118457710|XP_035775384.1|AALB	LOC111600760|XP_030080931.1|DHYD
OG0001129	LOC118456467|XP_035773148.1|AALB	LOC111602234|XP_023174984.2|DHYD
OG0001130	LOC118468542|XP_035795318.1|AALB	LOC111599968|XP_030080421.1|DHYD
OG0001131	LOC118468623|XP_035795528.1|AALB, LOC118460821|XP_035781350.1|AALB, LOC118456702|XP_035773607.1|AALB	LOC111597653|XP_023168245.1|DHYD
OG0001133	LOC118459323|XP_035778470.1|AALB	LOC111601132|XP_023173360.2|DHYD
OG0001134	LOC118459711|XP_035779262.1|AALB	LOC111592837|XP_023161033.2|DHYD
OG0001135	LOC118458211|XP_035776349.1|AALB, LOC118458424|XP_035776772.1|AALB	LOC111600096|XP_023171827.1|DHYD
OG0001136	LOC118461028|XP_035781783.1|AALB	LOC111593611|XP_023162246.2|DHYD, LOC115482750|XP_030078626.1|DHYD
OG0001137	LOC118457518|XP_035775055.1|AALB	LOC111597404|XP_023167851.2|DHYD
OG0001138	LOC118464731|XP_035788215.1|AALB	LOC111598792|XP_023169976.2|DHYD
OG0001139	LOC118465857|XP_035790380.1|AALB	LOC111597241|XP_023167604.2|DHYD
OG0001153	LOC118465049|XP_035788825.1|AALB	LOC111600009|XP_030081198.1|DHYD
OG0001154	LOC118468672|XP_035795648.1|AALB	LOC111603962|XP_030079111.1|DHYD
OG0001158	LOC118458274|XP_035776486.1|AALB	LOC111599206|XP_023170570.1|DHYD
OG0001160	LOC118457823|XP_035775591.1|AALB	LOC111594614|XP_023163768.2|DHYD
OG0001162	LOC118458801|XP_035777541.1|AALB	LOC111593339|XP_023161817.2|DHYD
OG0001163	LOC118458840|XP_035777635.1|AALB	LOC111605573|XP_023179925.1|DHYD
OG0001164	LOC118456274|XP_035772780.1|AALB, LOC118459220|XP_035778296.1|AALB	LOC111597817|XP_030080658.1|DHYD, LOC111597868|XP_023168561.2|DHYD
OG0001165	LOC118468688|XP_035795695.1|AALB	LOC111603804|XP_030081287.1|DHYD
OG0001166	LOC118464325|XP_035787517.1|AALB	LOC111597740|XP_030081127.1|DHYD
OG0001167	LOC118464622|XP_035787961.1|AALB	LOC115483375|XP_030080950.1|DHYD, LOC111605713|XP_023180171.2|DHYD
OG0001168	LOC118465527|XP_035789744.1|AALB	LOC111593970|XP_023162829.2|DHYD
OG0001169	LOC118464071|XP_035787014.1|AALB	LOC111603108|XP_023176342.2|DHYD
OG0001170	LOC118460729|XP_035781178.1|AALB	LOC111596600|XP_023166649.1|DHYD
OG0001171	LOC118464541|XP_035787871.1|AALB, LOC118462468|XP_035784048.1|AALB	LOC111592753|XP_023160917.2|DHYD
OG0001172	LOC118462641|XP_035784382.1|AALB	LOC111593825|XP_023162626.2|DHYD, LOC111593826|XP_023162627.2|DHYD
OG0001173	LOC118457355|XP_035774754.1|AALB, LOC118467405|XP_035793773.1|AALB	LOC111594539|XP_023163648.1|DHYD
OG0001174	LOC118467301|XP_035793514.1|AALB	LOC111595663|XP_030081816.1|DHYD
OG0001175	LOC118461601|XP_035783010.1|AALB	LOC111597118|XP_023167446.1|DHYD, LOC111598242|XP_023169174.1|DHYD
OG0001176	LOC118460499|XP_035780746.1|AALB, LOC118460500|XP_035780747.1|AALB	LOC111593754|XP_023162524.2|DHYD
OG0001177	LOC118461535|XP_035782864.1|AALB	LOC111595205|XP_023164572.2|DHYD
OG0001178	LOC118456756|XP_035773713.1|AALB	LOC111602086|XP_030079710.1|DHYD
OG0001179	LOC118458722|XP_035777360.1|AALB	LOC115483094|XP_030080062.1|DHYD, LOC115483093|XP_030080060.1|DHYD, LOC115483165|XP_030080185.1|DHYD, LOC115483167|XP_030080187.1|DHYD, LOC115483168|XP_030080188.1|DHYD, LOC115483166|XP_030080186.1|DHYD, LOC115482756|XP_030078542.1|DHYD, LOC115482762|XP_030078551.1|DHYD, LOC115483702|XP_030081630.1|DHYD, LOC115483701|XP_030081629.1|DHYD, LOC111605419|XP_023179699.2|DHYD
OG0001180	LOC118468911|XP_035796109.1|AALB	LOC111598393|XP_023169381.1|DHYD
OG0001181	LOC118466696|XP_035792219.1|AALB, LOC118457839|XP_035775611.1|AALB	LOC111595062|XP_023164384.2|DHYD
OG0001182	LOC118456949|XP_035774017.1|AALB, LOC118456944|XP_035774007.1|AALB, LOC118456948|XP_035774011.1|AALB	LOC111605533|XP_023179860.2|DHYD
OG0001183	LOC118467069|XP_035792999.1|AALB	LOC111593443|XP_023161963.1|DHYD, LOC111591867|XP_023159517.1|DHYD, LOC111602417|XP_023175223.1|DHYD
OG0001185	LOC118457401|XP_035774834.1|AALB	LOC111602952|XP_023176084.2|DHYD
OG0001186	LOC118466562|XP_035791999.1|AALB	LOC111598852|XP_023170055.1|DHYD, LOC111600673|XP_023172691.2|DHYD
OG0001187	LOC118465218|XP_035789103.1|AALB, LOC118465219|XP_035789104.1|AALB	LOC111601199|XP_023173455.2|DHYD
