Orthogroup	AALB.longest_only	DSUZ.longest_only
OG0001135	LOC118458211|XP_035776349.1|AALB, LOC118458424|XP_035776772.1|AALB	LOC108006235|XP_036674573.1|DSUZ, LOC108020859|XP_036672718.1|DSUZ
OG0001136	LOC118461028|XP_035781783.1|AALB	LOC108006962|XP_036673066.1|DSUZ
OG0001137	LOC118457518|XP_035775055.1|AALB	LOC108006075|XP_016925010.1|DSUZ
OG0001138	LOC118464731|XP_035788215.1|AALB	LOC108013272|XP_016934528.1|DSUZ
OG0001139	LOC118465857|XP_035790380.1|AALB	LOC108006692|XP_036672005.1|DSUZ
OG0001153	LOC118465049|XP_035788825.1|AALB	LOC108009886|XP_016930084.2|DSUZ
OG0001154	LOC118468672|XP_035795648.1|AALB	LOC108021387|XP_016945573.1|DSUZ
OG0001158	LOC118458274|XP_035776486.1|AALB	LOC108015462|XP_016937386.1|DSUZ
OG0001160	LOC118457823|XP_035775591.1|AALB	LOC108016365|XP_036675243.1|DSUZ, LOC118877558|XP_036672624.1|DSUZ
OG0001162	LOC118458801|XP_035777541.1|AALB	LOC108017505|XP_016940055.2|DSUZ
OG0001163	LOC118458840|XP_035777635.1|AALB	LOC108017550|XP_036674354.1|DSUZ, LOC108010982|XP_036672666.1|DSUZ
OG0001164	LOC118456274|XP_035772780.1|AALB, LOC118459220|XP_035778296.1|AALB	LOC108006448|XP_016925462.1|DSUZ
OG0001165	LOC118468688|XP_035795695.1|AALB	LOC118876982|XP_036669623.1|DSUZ, LOC108009034|XP_016928497.1|DSUZ, LOC118876981|XP_036669622.1|DSUZ, LOC108009033|XP_016928495.1|DSUZ
OG0001167	LOC118464622|XP_035787961.1|AALB	LOC108008642|XP_016928013.1|DSUZ
OG0001168	LOC118465527|XP_035789744.1|AALB	LOC108018149|XP_016941102.1|DSUZ
OG0001169	LOC118464071|XP_035787014.1|AALB	LOC108004759|XP_016923285.1|DSUZ
OG0001170	LOC118460729|XP_035781178.1|AALB	LOC108014863|XP_016936568.1|DSUZ
OG0001171	LOC118464541|XP_035787871.1|AALB, LOC118462468|XP_035784048.1|AALB	LOC108013052|XP_016934151.1|DSUZ
OG0001172	LOC118462641|XP_035784382.1|AALB	LOC108008295|XP_016927596.1|DSUZ
OG0001173	LOC118457355|XP_035774754.1|AALB, LOC118467405|XP_035793773.1|AALB	LOC108010830|XP_016931285.2|DSUZ
OG0001174	LOC118467301|XP_035793514.1|AALB	LOC108013624|XP_016935056.1|DSUZ, LOC108013237|XP_016934459.1|DSUZ
OG0001175	LOC118461601|XP_035783010.1|AALB	LOC108008454|XP_016927796.1|DSUZ
OG0001176	LOC118460499|XP_035780746.1|AALB, LOC118460500|XP_035780747.1|AALB	LOC108009125|XP_016928704.1|DSUZ
OG0001177	LOC118461535|XP_035782864.1|AALB	LOC108020895|XP_016944798.1|DSUZ
OG0001178	LOC118456756|XP_035773713.1|AALB	LOC108008908|XP_016928303.2|DSUZ
OG0001179	LOC118458722|XP_035777360.1|AALB	LOC108009497|XP_016929380.1|DSUZ
OG0001180	LOC118468911|XP_035796109.1|AALB	LOC108020343|XP_016943987.1|DSUZ
OG0001181	LOC118466696|XP_035792219.1|AALB, LOC118457839|XP_035775611.1|AALB	LOC108014260|XP_016935788.2|DSUZ
OG0001182	LOC118456949|XP_035774017.1|AALB, LOC118456944|XP_035774007.1|AALB, LOC118456948|XP_035774011.1|AALB	LOC108011101|XP_036674385.1|DSUZ
OG0001183	LOC118467069|XP_035792999.1|AALB	LOC108011688|XP_036674260.1|DSUZ
OG0001185	LOC118457401|XP_035774834.1|AALB	LOC108011512|XP_036673974.1|DSUZ
OG0001186	LOC118466562|XP_035791999.1|AALB	LOC108011786|XP_016932514.1|DSUZ
OG0001187	LOC118465218|XP_035789103.1|AALB, LOC118465219|XP_035789104.1|AALB	LOC108009527|XP_016929450.1|DSUZ
OG0001188	LOC118464179|XP_035787213.1|AALB, LOC118464181|XP_035787222.1|AALB	LOC108019924|XP_016943522.1|DSUZ
OG0001189	LOC118463112|XP_035785329.1|AALB, LOC118463485|XP_035785969.1|AALB	LOC108010203|XP_016930535.2|DSUZ
OG0001190	LOC118463984|XP_035786896.1|AALB, LOC118463982|XP_035786887.1|AALB	LOC108005659|XP_036675904.1|DSUZ
OG0001191	LOC118463935|XP_035786793.1|AALB, LOC118465696|XP_035790017.1|AALB	LOC108007108|XP_016926202.1|DSUZ
OG0001193	LOC118465058|XP_035788833.1|AALB	LOC108010567|XP_016930936.1|DSUZ, LOC108019433|XP_016942745.1|DSUZ
OG0001194	LOC118462665|XP_035784454.1|AALB	LOC108016910|XP_016939316.1|DSUZ
OG0001195	LOC118467257|XP_035793433.1|AALB	LOC108019652|XP_016943026.1|DSUZ
OG0001201	LOC118461173|XP_035782076.1|AALB	LOC108012105|XP_016932872.2|DSUZ
OG0001202	LOC118462103|XP_035783994.1|AALB	LOC108020469|XP_016944283.2|DSUZ
OG0001203	LOC118458443|XP_035776822.1|AALB, LOC118459523|XP_035778877.1|AALB	LOC108020394|XP_016944154.1|DSUZ
OG0001204	LOC118463325|XP_035785717.1|AALB	LOC108021556|XP_016945814.1|DSUZ
OG0001205	LOC118463845|XP_035786643.1|AALB	LOC108016276|XP_016938392.2|DSUZ
OG0001206	LOC118462907|XP_035784902.1|AALB	LOC108007806|XP_016927051.1|DSUZ
OG0001207	LOC118462055|XP_035783934.1|AALB	LOC108005299|XP_016923999.1|DSUZ
OG0001208	LOC118468829|XP_035795996.1|AALB	LOC108015177|XP_036676793.1|DSUZ
OG0001209	LOC118458686|XP_035777308.1|AALB, LOC118460162|XP_035780162.1|AALB	LOC108005690|XP_036673901.1|DSUZ, LOC118879033|XP_036677920.1|DSUZ
OG0001210	LOC118458664|XP_035777259.1|AALB, LOC118456928|XP_035773960.1|AALB	LOC108006349|XP_016925354.1|DSUZ
OG0001211	LOC118460819|XP_035781332.1|AALB	LOC108013862|XP_016935352.1|DSUZ
OG0001212	LOC118468555|XP_035795349.1|AALB, LOC118468554|XP_035795348.1|AALB	LOC108013741|XP_016935182.1|DSUZ
OG0001213	LOC118457446|XP_035774931.1|AALB, LOC118460886|XP_035781522.1|AALB	LOC108012053|XP_036675497.1|DSUZ
OG0001214	LOC118459114|XP_035778071.1|AALB	LOC118877638|XP_036673043.1|DSUZ
OG0001215	LOC118459805|XP_035779435.1|AALB, LOC118459806|XP_035779436.1|AALB	LOC108014380|XP_016935970.1|DSUZ
OG0001216	LOC118459804|XP_035779433.1|AALB, LOC118459112|XP_035778068.1|AALB	LOC108014617|XP_036674168.1|DSUZ, LOC108006766|XP_036675344.1|DSUZ
OG0001217	LOC118457400|XP_035774830.1|AALB	LOC108013785|XP_016935242.2|DSUZ, LOC108005942|XP_036678353.1|DSUZ
OG0001218	LOC118460730|XP_035781179.1|AALB	LOC108014860|XP_036674271.1|DSUZ
OG0001220	LOC118467131|XP_035793134.1|AALB	LOC108017825|XP_016940466.1|DSUZ
OG0001223	LOC118463241|XP_035785600.1|AALB	LOC118878516|XP_036677413.1|DSUZ, LOC108011692|XP_016932390.2|DSUZ
OG0001224	LOC118466057|XP_035790800.1|AALB	LOC108008495|XP_016927849.1|DSUZ
OG0001225	LOC118465045|XP_035788815.1|AALB	LOC108018129|XP_016941059.1|DSUZ
OG0001226	LOC118466987|XP_035792797.1|AALB	LOC108010116|XP_016930429.1|DSUZ
OG0001227	LOC118458780|XP_035777498.1|AALB	LOC108011348|XP_016931950.1|DSUZ
OG0001228	LOC118467222|XP_035793365.1|AALB	LOC108019148|XP_016942386.1|DSUZ
OG0001229	LOC118457878|XP_035775694.1|AALB	LOC108011044|XP_036677820.1|DSUZ, LOC118879635|XP_036678423.1|DSUZ
OG0001230	LOC118458823|XP_035777600.1|AALB	LOC108009710|XP_016929755.1|DSUZ
OG0001231	LOC118468340|XP_035794992.1|AALB	LOC108014038|XP_016935544.1|DSUZ, LOC118878191|XP_036675910.1|DSUZ
OG0001232	LOC118459302|XP_035778443.1|AALB	LOC108018947|XP_016942038.2|DSUZ
OG0001233	LOC118458684|XP_035777288.1|AALB	LOC108008536|XP_016927899.1|DSUZ
OG0001234	LOC118458826|XP_035777605.1|AALB	LOC108009206|XP_016928856.1|DSUZ
OG0001235	LOC118468919|XP_035796122.1|AALB	LOC108021510|XP_016945753.1|DSUZ
OG0001236	LOC118457340|XP_035774731.1|AALB	LOC108005889|XP_016924768.2|DSUZ, LOC108005808|XP_036671904.1|DSUZ, LOC108005779|XP_016924598.1|DSUZ
OG0001237	LOC118462010|XP_035783840.1|AALB	LOC108015585|XP_036672609.1|DSUZ
OG0001238	LOC118458685|XP_035777293.1|AALB	LOC108015824|XP_036675315.1|DSUZ
OG0001240	LOC118458705|XP_035777339.1|AALB, LOC118457657|XP_035775294.1|AALB	LOC108014060|XP_016935567.2|DSUZ
OG0001241	LOC118458875|XP_035777718.1|AALB	LOC108008890|XP_016928283.1|DSUZ
OG0001242	LOC118457790|XP_035775529.1|AALB	LOC108020133|XP_016943724.1|DSUZ, LOC108019116|XP_016942330.1|DSUZ
OG0001246	LOC118465964|XP_035790605.1|AALB, LOC118465963|XP_035790603.1|AALB, LOC118465965|XP_035790606.1|AALB	LOC108008562|XP_016927922.1|DSUZ
OG0001247	LOC118466018|XP_035790726.1|AALB	LOC108019362|XP_036677485.1|DSUZ
OG0001248	LOC118465826|XP_035790307.1|AALB	LOC108012868|XP_016933840.1|DSUZ
OG0001249	LOC118463759|XP_035786466.1|AALB	LOC108011163|XP_016931740.1|DSUZ
OG0001257	LOC118469009|XP_035796340.1|AALB	LOC108020331|XP_036670564.1|DSUZ
OG0001258	LOC118458042|XP_035776057.1|AALB	LOC108006092|XP_036673073.1|DSUZ
OG0001259	LOC118463274|XP_035785643.1|AALB, LOC118467722|XP_035794417.1|AALB	LOC108016966|XP_016939393.1|DSUZ
OG0001260	LOC118460936|XP_035781596.1|AALB	LOC108013945|XP_016935445.2|DSUZ
OG0001261	LOC118458797|XP_035777536.1|AALB, LOC118462849|XP_035784802.1|AALB	LOC108020963|XP_016944898.1|DSUZ, LOC108015335|XP_016937228.1|DSUZ, LOC108014604|XP_036677637.1|DSUZ
OG0001262	LOC118462574|XP_035784270.1|AALB	LOC108012203|XP_036677649.1|DSUZ
OG0001263	LOC118465872|XP_035790398.1|AALB	LOC108017321|XP_016939838.2|DSUZ
OG0001264	LOC118457456|XP_035774947.1|AALB, LOC118458006|XP_035775989.1|AALB	LOC108021722|XP_016946047.1|DSUZ
OG0001266	LOC118457732|XP_035775418.1|AALB	LOC108010210|XP_016930543.1|DSUZ
OG0001267	LOC118461275|XP_035782320.1|AALB, LOC118462032|XP_035783899.1|AALB	LOC108015694|XP_036673041.1|DSUZ
OG0001269	LOC118458301|XP_035776522.1|AALB	LOC108009224|XP_016928875.1|DSUZ
OG0001270	LOC118464162|XP_035787188.1|AALB, LOC118459117|XP_035778078.1|AALB	LOC108016270|XP_016938384.1|DSUZ
OG0001271	LOC118463456|XP_035785937.1|AALB, LOC118464610|XP_035787948.1|AALB	LOC108009966|XP_016930215.1|DSUZ
OG0001273	LOC118463749|XP_035786442.1|AALB, LOC118462639|XP_035784379.1|AALB	LOC118877927|XP_036674397.1|DSUZ
OG0001274	LOC118466941|XP_035792733.1|AALB	LOC108005858|XP_016924723.1|DSUZ
OG0001276	LOC118467508|XP_035793953.1|AALB	LOC108011820|XP_036671385.1|DSUZ, LOC108011824|XP_036671753.1|DSUZ
OG0001277	LOC118463487|XP_035785971.1|AALB	LOC108012661|XP_016933576.2|DSUZ
OG0001278	LOC118467600|XP_035794181.1|AALB	LOC108013093|XP_036672042.1|DSUZ
OG0001279	LOC118467611|XP_035794206.1|AALB	LOC108012982|XP_016934037.1|DSUZ
OG0001280	LOC118464283|XP_035787451.1|AALB	LOC108012931|XP_016933954.1|DSUZ
OG0001281	LOC118464877|XP_035788512.1|AALB	LOC108013564|XP_016934971.1|DSUZ
OG0001282	LOC118463127|XP_035785377.1|AALB	LOC108017683|XP_016940284.1|DSUZ
OG0001283	LOC118463747|XP_035786435.1|AALB	LOC108009597|XP_016929559.1|DSUZ
OG0001284	LOC118460504|XP_035780751.1|AALB	LOC108018771|XP_036677495.1|DSUZ
OG0001285	LOC118462686|XP_035784493.1|AALB, LOC118456479|XP_035773184.1|AALB	LOC108013416|XP_016934763.1|DSUZ
OG0001286	LOC118457587|XP_035775168.1|AALB	LOC108006453|XP_016925469.1|DSUZ
OG0001287	LOC118463595|XP_035786147.1|AALB	LOC118877849|XP_036674010.1|DSUZ
OG0001288	LOC118457380|XP_035774808.1|AALB	LOC108021348|XP_016945519.1|DSUZ
OG0001290	LOC118460506|XP_035780752.1|AALB	LOC108021033|XP_016945105.1|DSUZ
OG0001291	LOC118460352|XP_035780485.1|AALB	LOC108017941|XP_016940659.1|DSUZ
OG0001292	LOC118467205|XP_035793316.1|AALB, LOC118467208|XP_035793324.1|AALB	LOC108009386|XP_036668914.1|DSUZ
OG0001293	LOC118468502|XP_035795229.1|AALB	LOC108017004|XP_016939445.1|DSUZ
OG0001294	LOC118456945|XP_035774009.1|AALB	LOC108012656|XP_016933572.1|DSUZ, LOC108017475|XP_016940008.1|DSUZ
OG0001295	LOC118468446|XP_035795109.1|AALB	LOC108018906|XP_016941987.1|DSUZ, LOC108008723|XP_036669316.1|DSUZ
OG0001296	LOC118457243|XP_035774518.1|AALB	LOC108018805|XP_036678012.1|DSUZ
OG0001297	LOC118459854|XP_035779518.1|AALB	LOC108017308|XP_016939820.2|DSUZ
OG0001298	LOC118460327|XP_035780431.1|AALB, LOC118468886|XP_035796071.1|AALB	LOC108013852|XP_016935329.2|DSUZ
OG0001299	LOC118457187|XP_035774428.1|AALB, LOC118456842|XP_035773830.1|AALB	LOC108014457|XP_036671181.1|DSUZ
OG0001300	LOC118459364|XP_035778556.1|AALB	LOC108011180|XP_016931760.2|DSUZ, LOC118877388|XP_036671878.1|DSUZ, LOC108017069|XP_016939515.2|DSUZ
OG0001301	LOC118468872|XP_035796051.1|AALB, LOC118468870|XP_035796046.1|AALB	LOC108008444|XP_016927786.1|DSUZ
OG0001302	LOC118461957|XP_035783751.1|AALB	LOC108018783|XP_016941857.1|DSUZ
OG0001303	LOC118458916|XP_035777776.1|AALB	LOC118877799|XP_036673817.1|DSUZ, LOC108020254|XP_036677514.1|DSUZ
OG0001304	LOC118460328|XP_035780432.1|AALB	LOC108018096|XP_016940991.1|DSUZ
OG0001305	LOC118457357|XP_035774756.1|AALB	LOC108016271|XP_036675020.1|DSUZ
OG0001306	LOC118457402|XP_035774859.1|AALB	LOC108015679|XP_036673820.1|DSUZ
OG0001307	LOC118459515|XP_035778850.1|AALB	LOC108011445|XP_016932070.1|DSUZ
OG0001308	LOC118461312|XP_035782395.1|AALB	LOC108016952|XP_016939376.1|DSUZ
OG0001309	LOC118468823|XP_035795946.1|AALB, LOC118468824|XP_035795947.1|AALB	LOC108004954|XP_036673733.1|DSUZ
OG0001311	LOC118466703|XP_035792236.1|AALB, LOC118459594|XP_035779019.1|AALB	LOC108010419|XP_036676021.1|DSUZ
OG0001312	LOC118464188|XP_035787233.1|AALB	LOC108014597|XP_036670433.1|DSUZ
OG0001313	LOC118464219|XP_035787284.1|AALB	LOC108010192|XP_016930523.1|DSUZ
OG0001314	LOC118463333|XP_035785730.1|AALB	LOC108021557|XP_016945815.1|DSUZ
OG0001315	LOC118468527|XP_035795288.1|AALB	LOC108016646|XP_016938842.1|DSUZ
OG0001316	LOC118465245|XP_035789159.1|AALB	LOC108017821|XP_016940460.1|DSUZ, LOC108008246|XP_016927526.1|DSUZ
OG0001326	LOC118461381|XP_035782530.1|AALB	LOC108006514|XP_036675352.1|DSUZ
OG0001328	LOC118464706|XP_035788125.1|AALB	LOC108018918|XP_016941999.1|DSUZ
OG0001329	LOC118460972|XP_035781678.1|AALB	LOC108005460|XP_016924245.1|DSUZ
OG0001330	LOC118461203|XP_035782155.1|AALB, LOC118463356|XP_035785765.1|AALB	LOC108006525|XP_036676209.1|DSUZ, LOC108014262|XP_036676200.1|DSUZ
OG0001331	LOC118462606|XP_035784333.1|AALB, LOC118462593|XP_035784313.1|AALB	LOC108016587|XP_016938761.1|DSUZ
OG0001332	LOC118465333|XP_035789375.1|AALB, LOC118465705|XP_035790032.1|AALB, LOC118468817|XP_035795937.1|AALB, LOC118465393|XP_035789487.1|AALB	LOC108005396|XP_016924148.1|DSUZ
OG0001333	LOC118464993|XP_035788730.1|AALB, LOC118464974|XP_035788702.1|AALB	LOC108006557|XP_016925580.1|DSUZ
OG0001334	LOC118459147|XP_035778129.1|AALB, LOC118457223|XP_035774494.1|AALB	LOC108017227|XP_036675516.1|DSUZ
OG0001335	LOC118460447|XP_035780655.1|AALB, LOC118460448|XP_035780657.1|AALB	LOC108019276|XP_036673773.1|DSUZ
OG0001337	LOC118457682|XP_035775340.1|AALB	LOC108005334|XP_016924050.1|DSUZ
OG0001338	LOC118458991|XP_035777882.1|AALB	LOC108009973|XP_016930228.1|DSUZ
OG0001339	LOC118459811|XP_035779446.1|AALB, LOC118466695|XP_035792218.1|AALB	LOC108009923|XP_016930139.1|DSUZ
OG0001340	LOC118458161|XP_035776256.1|AALB	LOC108007415|XP_036677442.1|DSUZ
OG0001341	LOC118458126|XP_035776201.1|AALB	LOC108011492|XP_036673956.1|DSUZ
OG0001344	LOC118456416|XP_035773028.1|AALB, LOC118456475|XP_035773174.1|AALB	LOC118878130|XP_036675588.1|DSUZ
OG0001345	LOC118460736|XP_035781188.1|AALB, LOC118460737|XP_035781189.1|AALB	LOC108013911|XP_016935405.1|DSUZ
OG0001346	LOC118460211|XP_035780218.1|AALB	LOC108006985|XP_016926081.1|DSUZ
OG0001347	LOC118456588|XP_035773378.1|AALB	LOC108005080|XP_016923735.1|DSUZ
OG0001348	LOC118467737|XP_035794437.1|AALB	LOC108005308|XP_016924006.1|DSUZ
OG0001349	LOC118467457|XP_035793858.1|AALB	LOC108012347|XP_016933185.1|DSUZ
OG0001350	LOC118467767|XP_035794488.1|AALB	LOC108007395|XP_016926539.2|DSUZ
OG0001351	LOC118464619|XP_035787957.1|AALB	LOC108009403|XP_016929212.1|DSUZ, LOC108008529|XP_016927889.1|DSUZ
OG0001352	LOC118466479|XP_035791754.1|AALB	LOC118878893|XP_036677792.1|DSUZ, LOC108010964|XP_036669941.1|DSUZ
OG0001353	LOC118459943|XP_035779714.1|AALB, LOC118464453|XP_035787733.1|AALB	LOC108019360|XP_016942672.1|DSUZ
OG0001354	LOC118466957|XP_035792751.1|AALB	LOC108009883|XP_016930078.1|DSUZ
OG0001355	LOC118463066|XP_035785216.1|AALB	LOC108008534|XP_016927893.1|DSUZ
OG0001356	LOC118466407|XP_035791568.1|AALB, LOC118466289|XP_035791268.1|AALB	LOC108012128|XP_016932907.2|DSUZ
OG0001357	LOC118465108|XP_035788945.1|AALB	LOC108006840|XP_016925879.1|DSUZ
OG0001358	LOC118466506|XP_035791828.1|AALB	LOC108015808|XP_036672403.1|DSUZ
OG0001359	LOC118462688|XP_035784498.1|AALB, LOC118464550|XP_035787881.1|AALB	LOC108017355|XP_016939873.1|DSUZ
OG0001360	LOC118462579|XP_035784280.1|AALB	LOC118879053|XP_036677930.1|DSUZ, LOC108017575|XP_036678168.1|DSUZ, LOC118878485|XP_036677383.1|DSUZ, LOC118876870|XP_036668839.1|DSUZ, LOC118879578|XP_036678373.1|DSUZ, LOC108018688|XP_016941751.2|DSUZ, LOC108009514|XP_016929422.2|DSUZ
OG0001361	LOC118464900|XP_035788553.1|AALB, LOC118464901|XP_035788554.1|AALB	LOC108012862|XP_016933829.1|DSUZ
OG0001362	LOC118467608|XP_035794202.1|AALB	LOC108013097|XP_016934229.1|DSUZ
OG0001363	LOC118461109|XP_035781921.1|AALB, LOC118467751|XP_035794457.1|AALB	LOC108014182|XP_016935706.2|DSUZ
OG0001364	LOC118464823|XP_035788382.1|AALB, LOC118466891|XP_035792643.1|AALB	LOC108010128|XP_016930444.1|DSUZ
OG0001365	LOC118464898|XP_035788551.1|AALB	LOC108013200|XP_016934398.1|DSUZ
OG0001367	LOC118467236|XP_035793387.1|AALB	LOC108009549|XP_016929479.1|DSUZ
OG0001368	LOC118464370|XP_035787602.1|AALB	LOC108009748|XP_016929835.1|DSUZ, LOC108007727|XP_036678321.1|DSUZ
OG0001369	LOC118463125|XP_035785375.1|AALB	LOC108013682|XP_016935090.1|DSUZ, LOC108004560|XP_016922984.1|DSUZ
OG0001370	LOC118463513|XP_035786008.1|AALB	LOC108010166|XP_016930497.1|DSUZ
OG0001371	LOC118462782|XP_035784652.1|AALB	LOC118878801|XP_036677711.1|DSUZ, LOC108018763|XP_016941831.1|DSUZ
OG0001372	LOC118465741|XP_035790096.1|AALB	LOC108017946|XP_036669951.1|DSUZ
OG0001373	LOC118469078|XP_035796453.1|AALB	LOC108021679|XP_016945984.1|DSUZ
OG0001374	LOC118460501|XP_035780748.1|AALB	LOC108008396|XP_016927730.1|DSUZ
OG0001376	LOC118468385|XP_035795038.1|AALB	LOC108009784|XP_016929915.1|DSUZ
OG0001377	LOC118459042|XP_035777956.1|AALB	LOC108019111|XP_016942323.1|DSUZ
OG0001378	LOC118457312|XP_035774691.1|AALB	LOC108021736|XP_016946062.1|DSUZ
OG0001379	LOC118457594|XP_035775183.1|AALB	LOC108005491|XP_016924288.1|DSUZ
OG0001380	LOC118460719|XP_035781157.1|AALB	LOC108007067|XP_016926160.1|DSUZ
OG0001381	LOC118461747|XP_035783354.1|AALB	LOC108009345|XP_016929123.1|DSUZ
OG0001382	LOC118459816|XP_035779454.1|AALB	LOC108015885|XP_016937946.1|DSUZ
OG0001383	LOC118461252|XP_035782261.1|AALB	LOC108018048|XP_016940929.1|DSUZ
OG0001384	LOC118456735|XP_035773678.1|AALB	LOC108007865|XP_016927121.1|DSUZ
OG0001385	LOC118459840|XP_035779500.1|AALB, LOC118458596|XP_035777159.1|AALB	LOC108019875|XP_016943437.1|DSUZ
OG0001387	LOC118458278|XP_035776493.1|AALB, LOC118458277|XP_035776492.1|AALB	LOC108005269|XP_016923950.1|DSUZ
OG0001388	LOC118461841|XP_035783509.1|AALB, LOC118461839|XP_035783506.1|AALB	LOC108004592|XP_016923023.1|DSUZ
OG0001389	LOC118458179|XP_035776285.1|AALB, LOC118458615|XP_035777185.1|AALB	LOC108011089|XP_036674513.1|DSUZ
OG0001390	LOC118458124|XP_035776197.1|AALB	LOC108021440|XP_016945648.1|DSUZ
OG0001391	LOC118459337|XP_035778502.1|AALB	LOC108021283|XP_016945411.1|DSUZ
OG0001392	LOC118468995|XP_035796313.1|AALB	LOC108019172|XP_016942421.1|DSUZ
OG0001393	LOC118461806|XP_035783445.1|AALB	LOC108021148|XP_016945209.1|DSUZ
OG0001394	LOC118459934|XP_035779691.1|AALB, LOC118466935|XP_035792719.1|AALB	LOC108021271|XP_016945392.1|DSUZ
OG0001395	LOC118461065|XP_035781850.1|AALB	LOC108004885|XP_036673984.1|DSUZ
OG0001396	LOC118461617|XP_035783052.1|AALB	LOC108004730|XP_016923241.1|DSUZ
OG0001397	LOC118457308|XP_035774684.1|AALB, LOC118457712|XP_035775388.1|AALB	LOC108010612|XP_036674449.1|DSUZ
OG0001399	LOC118467164|XP_035793213.1|AALB	LOC108011197|XP_036678190.1|DSUZ
OG0001400	LOC118467333|XP_035793580.1|AALB	LOC108018476|XP_016941521.1|DSUZ
OG0001401	LOC118465172|XP_035789027.1|AALB	LOC108011437|XP_016932057.1|DSUZ
OG0001402	LOC118462786|XP_035784666.1|AALB	LOC108013770|XP_016935219.2|DSUZ, LOC108013768|XP_016935217.1|DSUZ
OG0001403	LOC118465458|XP_035789641.1|AALB	LOC108019344|XP_016942652.2|DSUZ
OG0001404	LOC118466099|XP_035790907.1|AALB	LOC108019846|XP_016943371.1|DSUZ
OG0001405	LOC118462520|XP_035784158.1|AALB	LOC108008458|XP_016927801.1|DSUZ
OG0001406	LOC118467314|XP_035793542.1|AALB	LOC108016684|XP_016938895.1|DSUZ
OG0001407	LOC118462750|XP_035784606.1|AALB	LOC108012578|XP_016933482.1|DSUZ
OG0001408	LOC118459018|XP_035777913.1|AALB	LOC108017841|XP_016940485.1|DSUZ
OG0001429	LOC118462353|XP_035784012.1|AALB	LOC108017212|XP_036674379.1|DSUZ
OG0001430	LOC118463054|XP_035785198.1|AALB, LOC118462484|XP_035784114.1|AALB	LOC108017551|XP_036672847.1|DSUZ, LOC108010991|XP_036674717.1|DSUZ
OG0001431	LOC118456390|XP_035772976.1|AALB	LOC108016564|XP_036676232.1|DSUZ, LOC108016563|XP_036676230.1|DSUZ, LOC108016648|XP_016938844.1|DSUZ
OG0001432	LOC118462553|XP_035784225.1|AALB	LOC108019187|XP_016942447.1|DSUZ
OG0001433	LOC118463279|XP_035785648.1|AALB	LOC108005954|XP_036673121.1|DSUZ
OG0001434	LOC118461158|XP_035782047.1|AALB, LOC118457372|XP_035774794.1|AALB	LOC108019198|XP_016942471.1|DSUZ
OG0001435	LOC118468680|XP_035795684.1|AALB	LOC108019711|XP_016943099.1|DSUZ
OG0001436	LOC118462763|XP_035784623.1|AALB	LOC108016604|XP_016938783.1|DSUZ
OG0001437	LOC118467096|XP_035793035.1|AALB	LOC108006895|XP_016925975.1|DSUZ
OG0001438	LOC118461615|XP_035783053.1|AALB	LOC108007296|XP_036673616.1|DSUZ
OG0001439	LOC118464402|XP_035787653.1|AALB	LOC108019430|XP_016942741.1|DSUZ, LOC108018501|XP_016941547.1|DSUZ
OG0001442	LOC118460818|XP_035781331.1|AALB	LOC108008080|XP_016927362.1|DSUZ
OG0001443	LOC118458118|XP_035776184.1|AALB, LOC118458117|XP_035776183.1|AALB	LOC118878101|XP_036675336.1|DSUZ
OG0001444	LOC118459988|XP_035779777.1|AALB, LOC118459989|XP_035779778.1|AALB	LOC108014385|XP_036673187.1|DSUZ
OG0001445	LOC118468537|XP_035795312.1|AALB	LOC108011664|XP_016932350.1|DSUZ
OG0001446	LOC118459986|XP_035779776.1|AALB, LOC118457058|XP_035774206.1|AALB, LOC118457059|XP_035774208.1|AALB	LOC108005607|XP_016924404.2|DSUZ
OG0001447	LOC118460135|XP_035780092.1|AALB	LOC108019477|XP_036675551.1|DSUZ
OG0001448	LOC118461382|XP_035782531.1|AALB	LOC108017239|XP_036675355.1|DSUZ
OG0001449	LOC118461800|XP_035783436.1|AALB	LOC108009376|XP_016929169.1|DSUZ
OG0001450	LOC118466662|XP_035792153.1|AALB	LOC108016500|XP_016938655.1|DSUZ
OG0001451	LOC118456242|XP_035772729.1|AALB, LOC118466667|XP_035792163.1|AALB	LOC108017769|XP_016940377.1|DSUZ
OG0001452	LOC118467047|XP_035792926.1|AALB	LOC108009614|XP_036669157.1|DSUZ
OG0001453	LOC118464727|XP_035788201.1|AALB, LOC118464726|XP_035788199.1|AALB	LOC108012305|XP_036671537.1|DSUZ
OG0001454	LOC118469058|XP_035796423.1|AALB, LOC118462835|XP_035784782.1|AALB	LOC108006457|XP_016925470.2|DSUZ
OG0001455	LOC118462833|XP_035784775.1|AALB	LOC108006825|XP_036670547.1|DSUZ
OG0001456	LOC118465294|XP_035789261.1|AALB	LOC108009007|XP_036669008.1|DSUZ
OG0001457	LOC118463147|XP_035785415.1|AALB	LOC108009050|XP_016928543.1|DSUZ
OG0001458	LOC118464241|XP_035787325.1|AALB, LOC118463827|XP_035786603.1|AALB	LOC108008523|XP_016927882.1|DSUZ
OG0001459	LOC118462862|XP_035784812.1|AALB	LOC108012504|XP_036671988.1|DSUZ
OG0001460	LOC118464506|XP_035787835.1|AALB, LOC118466337|XP_035791350.1|AALB	LOC108017918|XP_016940577.1|DSUZ
