Orthogroup	AALB.longest_only	HILL.longest_only
OG0001921	LOC118462989|XP_035785095.1|AALB	LOC119650073|XP_037908499.1|HILL
OG0001922	LOC118465947|XP_035790567.1|AALB	LOC119650082|XP_037908513.1|HILL
OG0001923	LOC118467145|XP_035793167.1|AALB	LOC119650384|XP_037909052.1|HILL
OG0001924	LOC118463191|XP_035785514.1|AALB	LOC119647996|XP_037905309.1|HILL
OG0001926	LOC118463886|XP_035786703.1|AALB	LOC119649480|XP_037907577.1|HILL
OG0001927	LOC118462460|XP_035784026.1|AALB	LOC119646736|XP_037903241.1|HILL
OG0001928	LOC118466784|XP_035792413.1|AALB	LOC119647619|XP_037904589.1|HILL
OG0001929	LOC118465196|XP_035789058.1|AALB	LOC119656183|XP_037918461.1|HILL, LOC119647768|XP_037904830.1|HILL
OG0001930	LOC118466113|XP_035790939.1|AALB	LOC119651261|XP_037910688.1|HILL
OG0001932	LOC118465335|XP_035789373.1|AALB	LOC119648398|XP_037906067.1|HILL
OG0001933	LOC118463843|XP_035786640.1|AALB	LOC119648765|XP_037906522.1|HILL
OG0001934	LOC118462699|XP_035784520.1|AALB	LOC119649388|XP_037907437.1|HILL
OG0001935	LOC118465905|XP_035790462.1|AALB	LOC119648672|XP_037906388.1|HILL, LOC119649360|XP_037907401.1|HILL
OG0001937	LOC118463769|XP_035786477.1|AALB	LOC119661170|XP_037926313.1|HILL
OG0001938	LOC118463036|XP_035785174.1|AALB	LOC119661149|XP_037926289.1|HILL
OG0001939	LOC118467120|XP_035793082.1|AALB	LOC119659184|XP_037923072.1|HILL
OG0001940	LOC118465234|XP_035789133.1|AALB	LOC119647200|XP_037903942.1|HILL
OG0001941	LOC118464487|XP_035787805.1|AALB	LOC119648112|XP_037905558.1|HILL
OG0001943	LOC118467090|XP_035793028.1|AALB	LOC119649455|XP_037907537.1|HILL, LOC119649625|XP_037907788.1|HILL, LOC119649112|XP_037907039.1|HILL
OG0001944	LOC118464839|XP_035788413.1|AALB	LOC119649745|XP_037907962.1|HILL
OG0001945	LOC118467171|XP_035793233.1|AALB	LOC119661393|XP_037926646.1|HILL
OG0001946	LOC118467876|XP_035794681.1|AALB	LOC119653908|XP_037914985.1|HILL
OG0001947	LOC118465373|XP_035789461.1|AALB	LOC119661314|XP_037926534.1|HILL
OG0001948	LOC118466945|XP_035792739.1|AALB	LOC119648154|XP_037905653.1|HILL
OG0001949	LOC118464673|XP_035788080.1|AALB	LOC119649181|XP_037907136.1|HILL
OG0001950	LOC118464269|XP_035787406.1|AALB	LOC119661016|XP_037926092.1|HILL
OG0001951	LOC118465238|XP_035789144.1|AALB	LOC119647100|XP_037903799.1|HILL
OG0001952	LOC118464710|XP_035788134.1|AALB	LOC119659888|XP_037924136.1|HILL
OG0001953	LOC118465210|XP_035789095.1|AALB	LOC119661457|XP_037926741.1|HILL
OG0001954	LOC118465792|XP_035790223.1|AALB	LOC119647112|XP_037903819.1|HILL
OG0001955	LOC118466131|XP_035790974.1|AALB	LOC119647118|XP_037903833.1|HILL
OG0001956	LOC118467350|XP_035793626.1|AALB	LOC119647496|XP_037904382.1|HILL
OG0001957	LOC118462580|XP_035784281.1|AALB	LOC119659267|XP_037923194.1|HILL
OG0001958	LOC118467524|XP_035793979.1|AALB	LOC119661584|XP_037926911.1|HILL
OG0001959	LOC118464785|XP_035788309.1|AALB, LOC118465453|XP_035789620.1|AALB	LOC119648719|XP_037906455.1|HILL
OG0001960	LOC118462936|XP_035784947.1|AALB	LOC119647828|XP_037904996.1|HILL
OG0001961	LOC118463019|XP_035785144.1|AALB	LOC119661384|XP_037926630.1|HILL
OG0001962	LOC118462603|XP_035784325.1|AALB	LOC119653650|XP_037914398.1|HILL
OG0001963	LOC118466213|XP_035791129.1|AALB	LOC119648319|XP_037905928.1|HILL
OG0001964	LOC118463972|XP_035786867.1|AALB	LOC119648632|XP_037906330.1|HILL, LOC119648643|XP_037906341.1|HILL
OG0001966	LOC118462549|XP_035784208.1|AALB	LOC119646800|XP_037903318.1|HILL
OG0001967	LOC118465763|XP_035790164.1|AALB	LOC119659887|XP_037924171.1|HILL
OG0001968	LOC118467721|XP_035794416.1|AALB	LOC119649424|XP_037907499.1|HILL
OG0001970	LOC118466245|XP_035791190.1|AALB	LOC119648481|XP_037906174.1|HILL
OG0001971	LOC118466947|XP_035792741.1|AALB	LOC119655219|XP_037916926.1|HILL
OG0001972	LOC118466948|XP_035792742.1|AALB	LOC119659168|XP_037923047.1|HILL
OG0001973	LOC118463909|XP_035786739.1|AALB	LOC119646351|XP_037902713.1|HILL
OG0001974	LOC118464029|XP_035786981.1|AALB	LOC119646579|XP_037902999.1|HILL
OG0001975	LOC118464007|XP_035786948.1|AALB	LOC119648358|XP_037905999.1|HILL
OG0001976	LOC118465834|XP_035790321.1|AALB	LOC119654729|XP_037916185.1|HILL
OG0001978	LOC118460388|XP_035780554.1|AALB	LOC119646769|XP_037903279.1|HILL
OG0001979	LOC118457363|XP_035774773.1|AALB	LOC119661563|XP_037926885.1|HILL
OG0001980	LOC118459531|XP_035778883.1|AALB	LOC119649846|XP_037908130.1|HILL
OG0001981	LOC118458377|XP_035776676.1|AALB	LOC119653254|XP_037913789.1|HILL
OG0001981	LOC118458374|XP_035776666.1|AALB	LOC119653257|XP_037913793.1|HILL
OG0001982	LOC118458378|XP_035776677.1|AALB	LOC119651562|XP_037911123.1|HILL
OG0001983	LOC118456372|XP_035772949.1|AALB	LOC119660966|XP_037925954.1|HILL
OG0001984	LOC118456830|XP_035773819.1|AALB	LOC119651214|XP_037910593.1|HILL
OG0001985	LOC118460403|XP_035780575.1|AALB	LOC119650304|XP_037908878.1|HILL
OG0001986	LOC118457311|XP_035774690.1|AALB	LOC119647314|XP_037904168.1|HILL
OG0001987	LOC118464150|XP_035787163.1|AALB	LOC119660727|XP_037925308.1|HILL
OG0001988	LOC118461200|XP_035782144.1|AALB	LOC119661433|XP_037926706.1|HILL
OG0001989	LOC118457447|XP_035774934.1|AALB	LOC119651051|XP_037910305.1|HILL, LOC119652146|XP_037912018.1|HILL
OG0001990	LOC118468625|XP_035795533.1|AALB, LOC118468629|XP_035795536.1|AALB	LOC119653176|XP_037913650.1|HILL, LOC119652300|XP_037912228.1|HILL
OG0001991	LOC118457466|XP_035774979.1|AALB	LOC119646940|XP_037903558.1|HILL
OG0001992	LOC118457463|XP_035774972.1|AALB	LOC119647247|XP_037904053.1|HILL
OG0001993	LOC118458744|XP_035777414.1|AALB	LOC119651039|XP_037910285.1|HILL
OG0001994	LOC118456461|XP_035773130.1|AALB	LOC119661576|XP_037926903.1|HILL
OG0001995	LOC118457440|XP_035774923.1|AALB, LOC118457439|XP_035774922.1|AALB	LOC119652957|XP_037913281.1|HILL
OG0001996	LOC118457486|XP_035775006.1|AALB	LOC119646634|XP_037903074.1|HILL
OG0001997	LOC118468715|XP_035795739.1|AALB	LOC119661401|XP_037926657.1|HILL
OG0001998	LOC118467467|XP_035793878.1|AALB	LOC119646269|XP_037902604.1|HILL
OG0001999	LOC118456269|XP_035772762.1|AALB	LOC119654824|XP_037916320.1|HILL
OG0002000	LOC118458276|XP_035776489.1|AALB	LOC119657620|XP_037920554.1|HILL
OG0002001	LOC118460756|XP_035781243.1|AALB	LOC119651608|XP_037911192.1|HILL
OG0002002	LOC118457985|XP_035775940.1|AALB	LOC119646462|XP_037902838.1|HILL
OG0002003	LOC118456221|XP_035772698.1|AALB	LOC119653100|XP_037913542.1|HILL, LOC119651921|XP_037911677.1|HILL
OG0002004	LOC118459240|XP_035778334.1|AALB	LOC119652691|XP_037912896.1|HILL
OG0002005	LOC118460927|XP_035781580.1|AALB	LOC119652676|XP_037912873.1|HILL
OG0002006	LOC118457699|XP_035775369.1|AALB	LOC119652692|XP_037912901.1|HILL
OG0002008	LOC118458715|XP_035777351.1|AALB	LOC119660773|XP_037925469.1|HILL
OG0002009	LOC118459020|XP_035777917.1|AALB	LOC119661080|XP_037926200.1|HILL
OG0002010	LOC118461945|XP_035783720.1|AALB	LOC119652866|XP_037913151.1|HILL
OG0002011	LOC118459834|XP_035779492.1|AALB	LOC119646725|XP_037903232.1|HILL
OG0002012	LOC118458497|XP_035776943.1|AALB	LOC119656680|XP_037919095.1|HILL
OG0002013	LOC118457373|XP_035774795.1|AALB	LOC119650589|XP_037909361.1|HILL
OG0002014	LOC118456393|XP_035772978.1|AALB, LOC118456381|XP_035772961.1|AALB	LOC119650239|XP_037908753.1|HILL, LOC119650220|XP_037908725.1|HILL
OG0002015	LOC118458177|XP_035776278.1|AALB	LOC119646430|XP_037902808.1|HILL
OG0002016	LOC118458665|XP_035777255.1|AALB	LOC119646971|XP_037903601.1|HILL
OG0002017	LOC118456466|XP_035773138.1|AALB	LOC119651134|XP_037910456.1|HILL
OG0002018	LOC118459393|XP_035778589.1|AALB	LOC119651428|XP_037910953.1|HILL
OG0002019	LOC118466846|XP_035792570.1|AALB	LOC119646570|XP_037902989.1|HILL
OG0002020	LOC118458077|XP_035776125.1|AALB	LOC119652879|XP_037913171.1|HILL
OG0002021	LOC118458073|XP_035776119.1|AALB	LOC119659470|XP_037923533.1|HILL
OG0002022	LOC118460165|XP_035780165.1|AALB	LOC119650151|XP_037908617.1|HILL
OG0002023	LOC118456887|XP_035773901.1|AALB	LOC119656328|XP_037918719.1|HILL
OG0002024	LOC118456171|XP_035772608.1|AALB	LOC119658398|XP_037921718.1|HILL
OG0002025	LOC118468434|XP_035795090.1|AALB	LOC119661327|XP_037926555.1|HILL
OG0002026	LOC118460286|XP_035780368.1|AALB	LOC119647988|XP_037905301.1|HILL
OG0002027	LOC118461419|XP_035782605.1|AALB	LOC119655920|XP_037918014.1|HILL
OG0002028	LOC118456713|XP_035773641.1|AALB	LOC119654882|XP_037916419.1|HILL
OG0002029	LOC118468842|XP_035795977.1|AALB	LOC119659931|XP_037924197.1|HILL
OG0002030	LOC118466200|XP_035791111.1|AALB	LOC119659276|XP_037923212.1|HILL
OG0002031	LOC118465852|XP_035790373.1|AALB	LOC119655014|XP_037916612.1|HILL
OG0002032	LOC118457242|XP_035774516.1|AALB	LOC119653873|XP_037914909.1|HILL
OG0002033	LOC118461912|XP_035783662.1|AALB	LOC119656155|XP_037918417.1|HILL
OG0002034	LOC118456634|XP_035773454.1|AALB	LOC119654370|XP_037915646.1|HILL
OG0002035	LOC118461229|XP_035782215.1|AALB	LOC119660316|XP_037924719.1|HILL
OG0002036	LOC118459892|XP_035779585.1|AALB	LOC119660612|XP_037925233.1|HILL
OG0002037	LOC118461057|XP_035781841.1|AALB	LOC119649129|XP_037907062.1|HILL
OG0002038	LOC118460995|XP_035781711.1|AALB	LOC119647281|XP_037904102.1|HILL
OG0002039	LOC118457858|XP_035775644.1|AALB	LOC119658624|XP_037922050.1|HILL
OG0002040	LOC118469046|XP_035796405.1|AALB	LOC119660134|XP_037924461.1|HILL
OG0002041	LOC118459543|XP_035778907.1|AALB	LOC119653539|XP_037914144.1|HILL
OG0002042	LOC118469056|XP_035796416.1|AALB	LOC119659806|XP_037924004.1|HILL
OG0002043	LOC118456987|XP_035774090.1|AALB	LOC119658578|XP_037921956.1|HILL
OG0002044	LOC118459967|XP_035779748.1|AALB	LOC119658718|XP_037922266.1|HILL
OG0002045	LOC118458619|XP_035777195.1|AALB	LOC119659915|XP_037924168.1|HILL
OG0002046	LOC118468859|XP_035796010.1|AALB	LOC119659215|XP_037923116.1|HILL
OG0002047	LOC118461300|XP_035782374.1|AALB	LOC119655731|XP_037917709.1|HILL, LOC119656297|XP_037918663.1|HILL
OG0002048	LOC118460868|XP_035781492.1|AALB	LOC119659298|XP_037923237.1|HILL
OG0002049	LOC118458503|XP_035776956.1|AALB	LOC119658688|XP_037922201.1|HILL
OG0002050	LOC118456163|XP_035772581.1|AALB	LOC119658589|XP_037921977.1|HILL
OG0002051	LOC118460329|XP_035780436.1|AALB	LOC119655921|XP_037918017.1|HILL, LOC119649941|XP_037908287.1|HILL
OG0002053	LOC118468798|XP_035795901.1|AALB	LOC119659501|XP_037923555.1|HILL
OG0002054	LOC118460093|XP_035780011.1|AALB	LOC119660002|XP_037924308.1|HILL
OG0002055	LOC118461506|XP_035782828.1|AALB	LOC119659025|XP_037922848.1|HILL
OG0002056	LOC118459349|XP_035778524.1|AALB	LOC119653891|XP_037914941.1|HILL
OG0002057	LOC118458329|XP_035776573.1|AALB	LOC119655930|XP_037918040.1|HILL
OG0002058	LOC118458327|XP_035776571.1|AALB	LOC119655360|XP_037917145.1|HILL
OG0002059	LOC118458326|XP_035776569.1|AALB	LOC119655733|XP_037917711.1|HILL
OG0002060	LOC118456869|XP_035773867.1|AALB	LOC119655395|XP_037917200.1|HILL
OG0002061	LOC118461257|XP_035782269.1|AALB	LOC119653456|XP_037913993.1|HILL
OG0002062	LOC118456401|XP_035772994.1|AALB	LOC119653676|XP_037914444.1|HILL
OG0002063	LOC118457322|XP_035774707.1|AALB	LOC119655005|XP_037916601.1|HILL
OG0002064	LOC118458187|XP_035776324.1|AALB	LOC119654268|XP_037915463.1|HILL, LOC119655743|XP_037917724.1|HILL
OG0002065	LOC118458136|XP_035776215.1|AALB	LOC119648983|XP_037906831.1|HILL
OG0002066	LOC118466598|XP_035792058.1|AALB	LOC119659689|XP_037923854.1|HILL
OG0002067	LOC118464495|XP_035787816.1|AALB	LOC119660524|XP_037925073.1|HILL
OG0002068	LOC118456927|XP_035773950.1|AALB	LOC119659187|XP_037923075.1|HILL
OG0002069	LOC118466559|XP_035791994.1|AALB	LOC119653847|XP_037914822.1|HILL
OG0002070	LOC118466564|XP_035792000.1|AALB	LOC119656700|XP_037919135.1|HILL
OG0002071	LOC118465704|XP_035790025.1|AALB	LOC119655665|XP_037917579.1|HILL
OG0002072	LOC118467214|XP_035793336.1|AALB	LOC119659080|XP_037922923.1|HILL
OG0002073	LOC118463045|XP_035785181.1|AALB	LOC119650208|XP_037908702.1|HILL
OG0002074	LOC118462756|XP_035784613.1|AALB	LOC119655850|XP_037917896.1|HILL
OG0002075	LOC118465358|XP_035789423.1|AALB	LOC119649972|XP_037908337.1|HILL
OG0002076	LOC118464639|XP_035787988.1|AALB	LOC119656236|XP_037918582.1|HILL
OG0002077	LOC118465848|XP_035790353.1|AALB	LOC119654575|XP_037915958.1|HILL
OG0002078	LOC118466738|XP_035792314.1|AALB	LOC119655664|XP_037917578.1|HILL
OG0002079	LOC118465889|XP_035790433.1|AALB	LOC119650394|XP_037909083.1|HILL
OG0002080	LOC118463231|XP_035785576.1|AALB	LOC119654626|XP_037916026.1|HILL
OG0002081	LOC118465508|XP_035789719.1|AALB	LOC119654662|XP_037916081.1|HILL
OG0002082	LOC118466054|XP_035790786.1|AALB	LOC119656303|XP_037918675.1|HILL
OG0002083	LOC118467123|XP_035793087.1|AALB	LOC119653504|XP_037914088.1|HILL
OG0002084	LOC118467827|XP_035794610.1|AALB	LOC119656315|XP_037918691.1|HILL
OG0002085	LOC118467889|XP_035794695.1|AALB	LOC119656233|XP_037918577.1|HILL, LOC119655275|XP_037917019.1|HILL, LOC119655274|XP_037917014.1|HILL
OG0002086	LOC118463200|XP_035785527.1|AALB	LOC119655635|XP_037917536.1|HILL
OG0002087	LOC118465455|XP_035789629.1|AALB	LOC119654374|XP_037915655.1|HILL
OG0002088	LOC118466797|XP_035792441.1|AALB	LOC119647909|XP_037905155.1|HILL
OG0002089	LOC118467537|XP_035794023.1|AALB	LOC119654913|XP_037916475.1|HILL
OG0002090	LOC118464893|XP_035788535.1|AALB, LOC118464894|XP_035788537.1|AALB, LOC118464895|XP_035788540.1|AALB	LOC119648685|XP_037906409.1|HILL
OG0002091	LOC118467907|XP_035794728.1|AALB	LOC119653647|XP_037914390.1|HILL, LOC119653648|XP_037914392.1|HILL, LOC119653646|XP_037914389.1|HILL
OG0002092	LOC118462883|XP_035784849.1|AALB	LOC119647664|XP_037904667.1|HILL
OG0002093	LOC118466773|XP_035792391.1|AALB	LOC119653692|XP_037914490.1|HILL
OG0002094	LOC118467612|XP_035794207.1|AALB	LOC119653481|XP_037914036.1|HILL
OG0002095	LOC118465265|XP_035789186.1|AALB	LOC119653426|XP_037913933.1|HILL
OG0002096	LOC118465431|XP_035789558.1|AALB	LOC119653799|XP_037914741.1|HILL, LOC119655532|XP_037917374.1|HILL
OG0002097	LOC118462715|XP_035784547.1|AALB	LOC119654127|XP_037915218.1|HILL
OG0002098	LOC118464480|XP_035787789.1|AALB, LOC118464242|XP_035787333.1|AALB	LOC119649830|XP_037908100.1|HILL
OG0002099	LOC118463902|XP_035786726.1|AALB	LOC119653875|XP_037914911.1|HILL
OG0002100	LOC118465683|XP_035790006.1|AALB	LOC119647613|XP_037904574.1|HILL
OG0002101	LOC118463109|XP_035785324.1|AALB	LOC119655574|XP_037917430.1|HILL
OG0002102	LOC118465981|XP_035790650.1|AALB	LOC119653572|XP_037914228.1|HILL
OG0002103	LOC118461459|XP_035782689.1|AALB	LOC119652473|XP_037912571.1|HILL
OG0002117	LOC118461032|XP_035781806.1|AALB	LOC119657828|XP_037920874.1|HILL
OG0002118	LOC118459676|XP_035779182.1|AALB	LOC119656808|XP_037919354.1|HILL
OG0002119	LOC118456356|XP_035772923.1|AALB	LOC119658634|XP_037922087.1|HILL
OG0002120	LOC118462942|XP_035784978.1|AALB	LOC119660744|XP_037925393.1|HILL
OG0002121	LOC118466477|XP_035791755.1|AALB	LOC119651294|XP_037910741.1|HILL
OG0002123	LOC118462819|XP_035784733.1|AALB	LOC119648401|XP_037906075.1|HILL
OG0002124	LOC118460312|XP_035780418.1|AALB	LOC119657220|XP_037919960.1|HILL
OG0002125	LOC118466010|XP_035790707.1|AALB	LOC119650671|XP_037909550.1|HILL
OG0002126	LOC118465209|XP_035789092.1|AALB	LOC119647832|XP_037905001.1|HILL
OG0002127	LOC118466628|XP_035792109.1|AALB, LOC118464457|XP_035787741.1|AALB	LOC119657602|XP_037920529.1|HILL
OG0002128	LOC118464930|XP_035788599.1|AALB, LOC118469041|XP_035796399.1|AALB	LOC119656607|XP_037918970.1|HILL
OG0002129	LOC118468698|XP_035795711.1|AALB	LOC119652830|XP_037913086.1|HILL
OG0002131	LOC118460675|XP_035781045.1|AALB	LOC119651496|XP_037911040.1|HILL
OG0002132	LOC118460632|XP_035780979.1|AALB	LOC119651555|XP_037911116.1|HILL
OG0002133	LOC118463640|XP_035786273.1|AALB	LOC119656658|XP_037919062.1|HILL
OG0002135	LOC118466191|XP_035791107.1|AALB	LOC119656668|XP_037919077.1|HILL
OG0002136	LOC118465182|XP_035789043.1|AALB	LOC119659975|XP_037924269.1|HILL
OG0002137	LOC118456285|XP_035772793.1|AALB, LOC118457628|XP_035775240.1|AALB	LOC119656530|XP_037918803.1|HILL
OG0002138	LOC118465484|XP_035789681.1|AALB, LOC118465810|XP_035790273.1|AALB	LOC119661326|XP_037926552.1|HILL
OG0002139	LOC118465622|XP_035789916.1|AALB	LOC119646344|XP_037902706.1|HILL
OG0002140	LOC118457360|XP_035774772.1|AALB	LOC119658046|XP_037921217.1|HILL, LOC119657104|XP_037919788.1|HILL
OG0002141	LOC118460121|XP_035780053.1|AALB	LOC119658647|XP_037922113.1|HILL
OG0002142	LOC118463855|XP_035786659.1|AALB	LOC119652352|XP_037912360.1|HILL
OG0002143	LOC118462514|XP_035784139.1|AALB	LOC119646616|XP_037903050.1|HILL
OG0002144	LOC118462711|XP_035784545.1|AALB	LOC119660743|XP_037925386.1|HILL
OG0002145	LOC118461456|XP_035782684.1|AALB	LOC119661362|XP_037926640.1|HILL
OG0002146	LOC118462566|XP_035784260.1|AALB	LOC119650779|XP_037909815.1|HILL
OG0002148	LOC118468438|XP_035795098.1|AALB	LOC119656565|XP_037918877.1|HILL
OG0002149	LOC118464173|XP_035787210.1|AALB	LOC119660866|XP_037925690.1|HILL
OG0002150	LOC118462183|XP_035784003.1|AALB	LOC119646740|XP_037903246.1|HILL
OG0002151	LOC118457299|XP_035774662.1|AALB	LOC119661168|XP_037926312.1|HILL, LOC119646524|XP_037902916.1|HILL
OG0002152	LOC118465022|XP_035788779.1|AALB	LOC119652511|XP_037912633.1|HILL
OG0002153	LOC118460743|XP_035781208.1|AALB	LOC119652345|XP_037912298.1|HILL
OG0002154	LOC118466594|XP_035792054.1|AALB	LOC119657793|XP_037920805.1|HILL
OG0002155	LOC118459105|XP_035778065.1|AALB	LOC119658159|XP_037921355.1|HILL
OG0002156	LOC118466522|XP_035791910.1|AALB	LOC119660802|XP_037925559.1|HILL
OG0002157	LOC118457151|XP_035774369.1|AALB	LOC119651054|XP_037910311.1|HILL
OG0002158	LOC118464702|XP_035788123.1|AALB	LOC119651960|XP_037911747.1|HILL, LOC119651888|XP_037911638.1|HILL, LOC119659188|XP_037923076.1|HILL
OG0002159	LOC118466271|XP_035791236.1|AALB, LOC118456853|XP_035773845.1|AALB	LOC119651415|XP_037910937.1|HILL
OG0002160	LOC118460351|XP_035780487.1|AALB	LOC119653182|XP_037913664.1|HILL
OG0002161	LOC118461084|XP_035781873.1|AALB	LOC119650997|XP_037910210.1|HILL
OG0002162	LOC118460197|XP_035780196.1|AALB	LOC119659601|XP_037923697.1|HILL
OG0002163	LOC118461470|XP_035782709.1|AALB	LOC119652577|XP_037912719.1|HILL
OG0002164	LOC118461637|XP_035783100.1|AALB	LOC119658470|XP_037921820.1|HILL
OG0002165	LOC118460366|XP_035780509.1|AALB	LOC119651145|XP_037910477.1|HILL, LOC119646845|XP_037903395.1|HILL
OG0002166	LOC118459445|XP_035778716.1|AALB	LOC119646480|XP_037902861.1|HILL
OG0002167	LOC118459446|XP_035778731.1|AALB	LOC119660949|XP_037925889.1|HILL
OG0002168	LOC118463178|XP_035785478.1|AALB, LOC118463133|XP_035785389.1|AALB	LOC119658017|XP_037921174.1|HILL
OG0002169	LOC118462753|XP_035784609.1|AALB	LOC119658302|XP_037921533.1|HILL
OG0002170	LOC118456418|XP_035773044.1|AALB	LOC119660722|XP_037925301.1|HILL
OG0002171	LOC118460200|XP_035780201.1|AALB	LOC119657940|XP_037921057.1|HILL
OG0002172	LOC118457818|XP_035775584.1|AALB	LOC119657818|XP_037920860.1|HILL
OG0002173	LOC118468576|XP_035795401.1|AALB	LOC119660310|XP_037924716.1|HILL
OG0002174	LOC118458978|XP_035777866.1|AALB	LOC119651946|XP_037911728.1|HILL
OG0002175	LOC118458979|XP_035777867.1|AALB	LOC119651947|XP_037911729.1|HILL
OG0002176	LOC118459501|XP_035778819.1|AALB	LOC119652239|XP_037912142.1|HILL
OG0002177	LOC118457936|XP_035775841.1|AALB	LOC119651431|XP_037910957.1|HILL
OG0002178	LOC118460922|XP_035781569.1|AALB	LOC119656556|XP_037918862.1|HILL
OG0002179	LOC118456513|XP_035773241.1|AALB	LOC119652952|XP_037913273.1|HILL
OG0002180	LOC118460315|XP_035780417.1|AALB	LOC119653216|XP_037913716.1|HILL
OG0002181	LOC118457098|XP_035774278.1|AALB	LOC119657501|XP_037920363.1|HILL
OG0002182	LOC118457816|XP_035775571.1|AALB	LOC119653170|XP_037913639.1|HILL
OG0002183	LOC118457826|XP_035775593.1|AALB	LOC119654245|XP_037915415.1|HILL
OG0002184	LOC118458249|XP_035776422.1|AALB	LOC119660227|XP_037924603.1|HILL, LOC119660228|XP_037924604.1|HILL
OG0002185	LOC118462036|XP_035783903.1|AALB	LOC119651143|XP_037910474.1|HILL
OG0002186	LOC118461639|XP_035783102.1|AALB	LOC119651163|XP_037910509.1|HILL
OG0002187	LOC118461517|XP_035782842.1|AALB	LOC119651707|XP_037911348.1|HILL
OG0002188	LOC118464488|XP_035787808.1|AALB	LOC119656601|XP_037918961.1|HILL
OG0002189	LOC118457718|XP_035775401.1|AALB	LOC119656534|XP_037918808.1|HILL
OG0002190	LOC118468668|XP_035795615.1|AALB	LOC119656531|XP_037918804.1|HILL
OG0002191	LOC118461342|XP_035782447.1|AALB	LOC119658503|XP_037921893.1|HILL
OG0002192	LOC118463197|XP_035785524.1|AALB	LOC119650042|XP_037908453.1|HILL
OG0002193	LOC118461675|XP_035783159.1|AALB	LOC119650569|XP_037909314.1|HILL
OG0002194	LOC118457721|XP_035775405.1|AALB	LOC119651777|XP_037911459.1|HILL
OG0002195	LOC118456905|XP_035773923.1|AALB	LOC119651763|XP_037911430.1|HILL
OG0002196	LOC118458158|XP_035776248.1|AALB	LOC119660377|XP_037924823.1|HILL
OG0002197	LOC118459491|XP_035778803.1|AALB	LOC119651176|XP_037910531.1|HILL
OG0002198	LOC118456733|XP_035773672.1|AALB	LOC119660590|XP_037925187.1|HILL
OG0002199	LOC118459620|XP_035779088.1|AALB	LOC119660116|XP_037924433.1|HILL
OG0002200	LOC118458709|XP_035777342.1|AALB	LOC119652671|XP_037912865.1|HILL
OG0002202	LOC118461486|XP_035782755.1|AALB	LOC119651531|XP_037911090.1|HILL
OG0002203	LOC118468834|XP_035795967.1|AALB	LOC119652412|XP_037912453.1|HILL
OG0002204	LOC118457345|XP_035774735.1|AALB	LOC119651218|XP_037910600.1|HILL
OG0002205	LOC118457621|XP_035775230.1|AALB	LOC119651865|XP_037911601.1|HILL
OG0002206	LOC118459116|XP_035778074.1|AALB	LOC119652902|XP_037913206.1|HILL
OG0002207	LOC118457570|XP_035775138.1|AALB	LOC119650917|XP_037910070.1|HILL
OG0002208	LOC118458446|XP_035776821.1|AALB	LOC119652747|XP_037912974.1|HILL
OG0002209	LOC118459810|XP_035779445.1|AALB	LOC119646183|XP_037902493.1|HILL
OG0002210	LOC118459808|XP_035779442.1|AALB	LOC119652626|XP_037912800.1|HILL
OG0002211	LOC118457884|XP_035775706.1|AALB, LOC118457882|XP_035775704.1|AALB	LOC119650782|XP_037909821.1|HILL
OG0002212	LOC118459829|XP_035779485.1|AALB	LOC119651457|XP_037910991.1|HILL
OG0002213	LOC118461266|XP_035782292.1|AALB	LOC119656652|XP_037919045.1|HILL
OG0002214	LOC118456662|XP_035773509.1|AALB	LOC119658013|XP_037921167.1|HILL, LOC119657904|XP_037920992.1|HILL, LOC119657607|XP_037920534.1|HILL
OG0002215	LOC118466705|XP_035792244.1|AALB	LOC119651153|XP_037910489.1|HILL
OG0002216	LOC118458540|XP_035777015.1|AALB	LOC119658048|XP_037921220.1|HILL
OG0002217	LOC118459559|XP_035778951.1|AALB	LOC119651310|XP_037910765.1|HILL
OG0002218	LOC118456590|XP_035773381.1|AALB	LOC119657383|XP_037920196.1|HILL
OG0002219	LOC118458854|XP_035777668.1|AALB, LOC118456583|XP_035773367.1|AALB	LOC119657494|XP_037920350.1|HILL
OG0002220	LOC118460354|XP_035780489.1|AALB	LOC119658101|XP_037921295.1|HILL
OG0002221	LOC118466122|XP_035790961.1|AALB	LOC119648528|XP_037906224.1|HILL
OG0002222	LOC118465306|XP_035789299.1|AALB	LOC119659466|XP_037923481.1|HILL
OG0002223	LOC118466451|XP_035791683.1|AALB	LOC119660616|XP_037925236.1|HILL
OG0002224	LOC118466447|XP_035791661.1|AALB	LOC119659327|XP_037923288.1|HILL
OG0002225	LOC118464801|XP_035788354.1|AALB	LOC119647812|XP_037904959.1|HILL
OG0002226	LOC118464919|XP_035788585.1|AALB	LOC119646855|XP_037903406.1|HILL
OG0002227	LOC118466510|XP_035791849.1|AALB	LOC119654275|XP_037915480.1|HILL
OG0002228	LOC118466654|XP_035792134.1|AALB	LOC119646814|XP_037903343.1|HILL
OG0002229	LOC118466657|XP_035792146.1|AALB	LOC119647063|XP_037903749.1|HILL, LOC119647328|XP_037904194.1|HILL
OG0002230	LOC118466664|XP_035792156.1|AALB	LOC119651222|XP_037910610.1|HILL
OG0002231	LOC118465942|XP_035790558.1|AALB	LOC119650627|XP_037909458.1|HILL
