Orthogroup	AALB.longest_only	BTRY.longest_only
OG0000974	LOC118460056|XP_035779933.1|AALB, LOC118463138|XP_035785391.1|AALB	LOC120778085|XP_039965717.1|BTRY, LOC120777154|XP_039964233.1|BTRY
OG0000975	LOC118461802|XP_035783438.1|AALB	LOC120766642|XP_039948196.1|BTRY, LOC120780233|XP_039968423.1|BTRY
OG0000976	LOC118460713|XP_035781136.1|AALB, LOC118460739|XP_035781190.1|AALB	LOC120766854|XP_039948515.1|BTRY
OG0000977	LOC118468937|XP_035796163.1|AALB	LOC120766485|XP_039947973.1|BTRY
OG0000978	LOC118464760|XP_035788272.1|AALB	LOC120782225|XP_039970327.1|BTRY
OG0000979	LOC118459941|XP_035779710.1|AALB	LOC120774996|XP_039960852.1|BTRY, LOC120770182|XP_039953345.1|BTRY, LOC120770197|XP_039953376.1|BTRY
OG0000988	LOC118465612|XP_035789882.1|AALB	LOC120774608|XP_039960269.1|BTRY
OG0000990	LOC118461263|XP_035782289.1|AALB	LOC120775802|XP_039962082.1|BTRY
OG0000991	LOC118460991|XP_035781709.1|AALB	LOC120773913|XP_039959037.1|BTRY
OG0000992	LOC118467370|XP_035793679.1|AALB	LOC120766585|XP_039948118.1|BTRY
OG0000993	LOC118458879|XP_035777722.1|AALB	LOC120766443|XP_039947885.1|BTRY
OG0000994	LOC118460067|XP_035779957.1|AALB	LOC120774451|XP_039960033.1|BTRY
OG0000995	LOC118467882|XP_035794687.1|AALB	LOC120770927|XP_039954564.1|BTRY
OG0000996	LOC118464625|XP_035787964.1|AALB	LOC120772365|XP_039956867.1|BTRY
OG0000997	LOC118463841|XP_035786637.1|AALB	LOC120772829|XP_039957569.1|BTRY
OG0000998	LOC118463641|XP_035786269.1|AALB	LOC120777087|XP_039964154.1|BTRY, LOC120777460|XP_039964717.1|BTRY, LOC120777851|XP_039965320.1|BTRY, LOC120778808|XP_039966746.1|BTRY, LOC120776851|XP_039963827.1|BTRY
OG0000999	LOC118464812|XP_035788372.1|AALB	LOC120775153|XP_039961124.1|BTRY
OG0001000	LOC118468586|XP_035795411.1|AALB	LOC120771125|XP_039954911.1|BTRY
OG0001001	LOC118468736|XP_035795777.1|AALB, LOC118457961|XP_035775887.1|AALB	LOC120770967|XP_039954632.1|BTRY, LOC120772162|XP_039956534.1|BTRY
OG0001002	LOC118462052|XP_035783931.1|AALB, LOC118457269|XP_035774556.1|AALB	LOC120767612|XP_039949699.1|BTRY, LOC120767975|XP_039950320.1|BTRY, LOC120767976|XP_039950321.1|BTRY
OG0001003	LOC118458880|XP_035777724.1|AALB	LOC120780628|XP_039968822.1|BTRY
OG0001004	LOC118461508|XP_035782830.1|AALB	LOC120768659|XP_039951375.1|BTRY
OG0001005	LOC118457323|XP_035774708.1|AALB	LOC120775265|XP_039961285.1|BTRY, LOC120777877|XP_039965370.1|BTRY
OG0001006	LOC118466540|XP_035791949.1|AALB	LOC120778528|XP_039966304.1|BTRY
OG0001007	LOC118465783|XP_035790210.1|AALB	LOC120770143|XP_039953266.1|BTRY
OG0001008	LOC118465025|XP_035788783.1|AALB	LOC120773872|XP_039958959.1|BTRY
OG0001009	LOC118457397|XP_035774827.1|AALB	LOC120769372|XP_039952270.1|BTRY
OG0001019	LOC118465401|XP_035789500.1|AALB	LOC120768043|XP_039950528.1|BTRY
OG0001020	LOC118456197|XP_035772655.1|AALB, LOC118456190|XP_035772644.1|AALB	LOC120774455|XP_039960038.1|BTRY
OG0001022	LOC118459591|XP_035779012.1|AALB, LOC118464497|XP_035787825.1|AALB	LOC120773537|XP_039958428.1|BTRY
OG0001024	LOC118458539|XP_035777014.1|AALB, LOC118457811|XP_035775564.1|AALB	LOC120777007|XP_039964054.1|BTRY, LOC120772409|XP_039956942.1|BTRY
OG0001025	LOC118462991|XP_035785097.1|AALB, LOC118459096|XP_035778052.1|AALB	LOC120777934|XP_039965452.1|BTRY
OG0001026	LOC118467194|XP_035793298.1|AALB, LOC118463597|XP_035786150.1|AALB	LOC120772050|XP_039956356.1|BTRY
OG0001027	LOC118462690|XP_035784501.1|AALB, LOC118462691|XP_035784507.1|AALB	LOC120776634|XP_039963386.1|BTRY
OG0001028	LOC118466252|XP_035791197.1|AALB	LOC120768384|XP_039950984.1|BTRY
OG0001029	LOC118459516|XP_035778851.1|AALB	LOC120770522|XP_039953998.1|BTRY, LOC120778772|XP_039966686.1|BTRY, LOC120780597|XP_039968789.1|BTRY, LOC120779376|XP_039967504.1|BTRY, LOC120779440|XP_039967621.1|BTRY
OG0001031	LOC118458005|XP_035775973.1|AALB	LOC120767909|XP_039950196.1|BTRY
OG0001032	LOC118456400|XP_035772993.1|AALB	LOC120769657|XP_039952697.1|BTRY
OG0001033	LOC118466176|XP_035791056.1|AALB	LOC120776198|XP_039962758.1|BTRY
OG0001042	LOC118458317|XP_035776557.1|AALB, LOC118460405|XP_035780581.1|AALB	LOC120766294|XP_039947631.1|BTRY
OG0001043	LOC118458781|XP_035777499.1|AALB	LOC120773939|XP_039959085.1|BTRY, LOC120774272|XP_039959694.1|BTRY
OG0001045	LOC118460207|XP_035780211.1|AALB	LOC120771366|XP_039955259.1|BTRY
OG0001046	LOC118461602|XP_035783012.1|AALB	LOC120772292|XP_039956736.1|BTRY
OG0001048	LOC118463800|XP_035786560.1|AALB, LOC118467828|XP_035794612.1|AALB	LOC120771827|XP_039955990.1|BTRY
OG0001049	LOC118467134|XP_035793137.1|AALB	LOC120778486|XP_039966239.1|BTRY, LOC120776850|XP_039963820.1|BTRY
OG0001050	LOC118466206|XP_035791116.1|AALB	LOC120779126|XP_039967254.1|BTRY
OG0001051	LOC118458232|XP_035776394.1|AALB	LOC120768315|XP_039950889.1|BTRY
OG0001051	LOC118464584|XP_035787920.1|AALB, LOC118464585|XP_035787921.1|AALB	LOC120768316|XP_039950890.1|BTRY
OG0001052	LOC118456651|XP_035773484.1|AALB	LOC120769148|XP_039951957.1|BTRY
OG0001053	LOC118468491|XP_035795212.1|AALB	LOC120775161|XP_039961142.1|BTRY
OG0001054	LOC118458947|XP_035777823.1|AALB	LOC120766864|XP_039948529.1|BTRY
OG0001056	LOC118458531|XP_035777002.1|AALB	LOC120774352|XP_039959871.1|BTRY
OG0001057	LOC118456428|XP_035773077.1|AALB	LOC120771984|XP_039956272.1|BTRY
OG0001058	LOC118462874|XP_035784828.1|AALB	LOC120775740|XP_039961994.1|BTRY
OG0001059	LOC118466592|XP_035792047.1|AALB	LOC120776620|XP_039963350.1|BTRY
OG0001072	LOC118456181|XP_035772631.1|AALB	LOC120774505|XP_039960119.1|BTRY
OG0001073	LOC118460567|XP_035780867.1|AALB, LOC118460559|XP_035780856.1|AALB	LOC120778527|XP_039966303.1|BTRY
OG0001074	LOC118465055|XP_035788830.1|AALB	LOC120772719|XP_039957401.1|BTRY
OG0001077	LOC118468651|XP_035795571.1|AALB	LOC120780641|XP_039968840.1|BTRY
OG0001078	LOC118461004|XP_035781739.1|AALB, LOC118466508|XP_035791846.1|AALB	LOC120775880|XP_039962191.1|BTRY
OG0001079	LOC118462980|XP_035785069.1|AALB	LOC120778543|XP_039966326.1|BTRY
OG0001080	LOC118466686|XP_035792207.1|AALB	LOC120777553|XP_039964875.1|BTRY
OG0001081	LOC118466692|XP_035792215.1|AALB, LOC118466777|XP_035792396.1|AALB	LOC120782278|XP_039970412.1|BTRY
OG0001082	LOC118466984|XP_035792795.1|AALB, LOC118466986|XP_035792796.1|AALB	LOC120770577|XP_039954091.1|BTRY
OG0001083	LOC118463887|XP_035786707.1|AALB	LOC120778324|XP_039966054.1|BTRY, LOC120776509|XP_039963145.1|BTRY
OG0001084	LOC118461093|XP_035781894.1|AALB, LOC118462702|XP_035784532.1|AALB	LOC120770056|XP_039953109.1|BTRY, LOC120770057|XP_039953110.1|BTRY
OG0001085	LOC118463368|XP_035785785.1|AALB	LOC120771522|XP_039955514.1|BTRY
OG0001086	LOC118466154|XP_035791022.1|AALB	LOC120772561|XP_039957182.1|BTRY
OG0001088	LOC118463537|XP_035786046.1|AALB	LOC120776840|XP_039963800.1|BTRY
OG0001089	LOC118463098|XP_035785279.1|AALB	LOC120777019|XP_039964066.1|BTRY
OG0001090	LOC118465495|XP_035789692.1|AALB, LOC118464575|XP_035787911.1|AALB	LOC120777604|XP_039964976.1|BTRY
OG0001091	LOC118467703|XP_035794379.1|AALB, LOC118467702|XP_035794378.1|AALB, LOC118464616|XP_035787954.1|AALB, LOC118464294|XP_035787469.1|AALB	LOC120778588|XP_039966388.1|BTRY
OG0001092	LOC118458375|XP_035776670.1|AALB	LOC120769335|XP_039952226.1|BTRY
OG0001093	LOC118456857|XP_035773851.1|AALB, LOC118456967|XP_035774054.1|AALB	LOC120769130|XP_039951930.1|BTRY, LOC120768443|XP_039951065.1|BTRY
OG0001094	LOC118468381|XP_035795034.1|AALB, LOC118467965|XP_035794843.1|AALB	LOC120769521|XP_039952492.1|BTRY, LOC120767210|XP_039948952.1|BTRY
OG0001095	LOC118462067|XP_035783956.1|AALB, LOC118462065|XP_035783951.1|AALB, LOC118462066|XP_035783955.1|AALB	LOC120781862|XP_039970016.1|BTRY
OG0001096	LOC118457636|XP_035775259.1|AALB, LOC118457646|XP_035775279.1|AALB	LOC120768377|XP_039950977.1|BTRY
OG0001097	LOC118468054|XP_035794870.1|AALB	LOC120780020|XP_039968237.1|BTRY
OG0001099	LOC118459695|XP_035779229.1|AALB	LOC120778474|XP_039966223.1|BTRY
OG0001100	LOC118467040|XP_035792918.1|AALB	LOC120771180|XP_039955008.1|BTRY
OG0001101	LOC118465160|XP_035789001.1|AALB	LOC120770016|XP_039953043.1|BTRY
OG0001102	LOC118464289|XP_035787461.1|AALB, LOC118462624|XP_035784355.1|AALB	LOC120778286|XP_039966007.1|BTRY
OG0001103	LOC118467432|XP_035793814.1|AALB, LOC118462777|XP_035784643.1|AALB, LOC118462779|XP_035784647.1|AALB	LOC120766738|XP_039948336.1|BTRY, LOC120766860|XP_039948523.1|BTRY
OG0001105	LOC118464948|XP_035788630.1|AALB	LOC120774438|XP_039960012.1|BTRY
OG0001106	LOC118462721|XP_035784557.1|AALB, LOC118463944|XP_035786808.1|AALB	LOC120779428|XP_039967578.1|BTRY
OG0001107	LOC118462914|XP_035784912.1|AALB	LOC120780409|XP_039968625.1|BTRY, LOC120781937|XP_039970040.1|BTRY, LOC120780445|XP_039968653.1|BTRY
OG0001118	LOC118464394|XP_035787640.1|AALB	LOC120774999|XP_039960855.1|BTRY
OG0001119	LOC118462827|XP_035784749.1|AALB, LOC118457681|XP_035775336.1|AALB	LOC120780333|XP_039968562.1|BTRY
OG0001120	LOC118460031|XP_035779866.1|AALB, LOC118460028|XP_035779862.1|AALB	LOC120775222|XP_039961227.1|BTRY
OG0001122	LOC118466831|XP_035792522.1|AALB	LOC120777868|XP_039965354.1|BTRY
OG0001124	LOC118465314|XP_035789323.1|AALB	LOC120780361|XP_039968586.1|BTRY
OG0001125	LOC118464929|XP_035788595.1|AALB, LOC118464931|XP_035788596.1|AALB	LOC120777575|XP_039964914.1|BTRY
OG0001127	LOC118464441|XP_035787709.1|AALB, LOC118463906|XP_035786737.1|AALB	LOC120778434|XP_039966150.1|BTRY
OG0001128	LOC118464123|XP_035787104.1|AALB, LOC118457710|XP_035775384.1|AALB	LOC120771012|XP_039954722.1|BTRY
OG0001129	LOC118456467|XP_035773148.1|AALB	LOC120767218|XP_039948965.1|BTRY
OG0001130	LOC118468542|XP_035795318.1|AALB	LOC120767548|XP_039949605.1|BTRY, LOC120769343|XP_039952237.1|BTRY
OG0001131	LOC118468623|XP_035795528.1|AALB, LOC118460821|XP_035781350.1|AALB, LOC118456702|XP_035773607.1|AALB	LOC120779838|XP_039968136.1|BTRY, LOC120779770|XP_039968083.1|BTRY
OG0001133	LOC118459323|XP_035778470.1|AALB	LOC120768988|XP_039951754.1|BTRY
OG0001134	LOC118459711|XP_035779262.1|AALB	LOC120770794|XP_039954307.1|BTRY, LOC120770501|XP_039953960.1|BTRY
OG0001135	LOC118458424|XP_035776772.1|AALB	LOC120766891|XP_039948575.1|BTRY
OG0001136	LOC118461028|XP_035781783.1|AALB	LOC120782689|XP_039971018.1|BTRY, LOC120771243|XP_039955097.1|BTRY
OG0001137	LOC118457518|XP_035775055.1|AALB	LOC120766335|XP_039947694.1|BTRY
OG0001138	LOC118464731|XP_035788215.1|AALB	LOC120777554|XP_039964876.1|BTRY
OG0001139	LOC118465857|XP_035790380.1|AALB	LOC120778625|XP_039966443.1|BTRY
OG0001153	LOC118465049|XP_035788825.1|AALB	LOC120771498|XP_039955480.1|BTRY
OG0001154	LOC118468672|XP_035795648.1|AALB	LOC120767238|XP_039949012.1|BTRY
OG0001155	LOC118467649|XP_035794278.1|AALB, LOC118467656|XP_035794289.1|AALB	LOC120773595|XP_039958524.1|BTRY
OG0001158	LOC118456818|XP_035773804.1|AALB	LOC120774545|XP_039960209.1|BTRY
OG0001158	LOC118458274|XP_035776486.1|AALB	LOC120769740|XP_039952830.1|BTRY
OG0001160	LOC118457823|XP_035775591.1|AALB	LOC120767938|XP_039950243.1|BTRY
OG0001162	LOC118458801|XP_035777541.1|AALB	LOC120766786|XP_039948421.1|BTRY
OG0001163	LOC118458840|XP_035777635.1|AALB	LOC120770850|XP_039954391.1|BTRY, LOC120778293|XP_039966013.1|BTRY
OG0001164	LOC118456274|XP_035772780.1|AALB, LOC118459220|XP_035778296.1|AALB	LOC120778103|XP_039965743.1|BTRY
OG0001165	LOC118468688|XP_035795695.1|AALB	LOC120774997|XP_039960897.1|BTRY, LOC120766413|XP_039947799.1|BTRY, LOC120774923|XP_039960770.1|BTRY, LOC120782216|XP_039970310.1|BTRY
OG0001167	LOC118464622|XP_035787961.1|AALB	LOC120770455|XP_039953883.1|BTRY
OG0001168	LOC118465527|XP_035789744.1|AALB	LOC120771092|XP_039954853.1|BTRY
OG0001169	LOC118464071|XP_035787014.1|AALB	LOC120773625|XP_039958564.1|BTRY, LOC120775753|XP_039962015.1|BTRY
OG0001170	LOC118460729|XP_035781178.1|AALB	LOC120772906|XP_039957768.1|BTRY, LOC120769241|XP_039952075.1|BTRY, LOC120782516|XP_039970758.1|BTRY, LOC120782662|XP_039970972.1|BTRY
OG0001171	LOC118464541|XP_035787871.1|AALB, LOC118462468|XP_035784048.1|AALB	LOC120778304|XP_039966026.1|BTRY
OG0001172	LOC118462641|XP_035784382.1|AALB	LOC120773117|XP_039958046.1|BTRY
OG0001173	LOC118457355|XP_035774754.1|AALB, LOC118467405|XP_035793773.1|AALB	LOC120766670|XP_039948242.1|BTRY
OG0001174	LOC118467301|XP_035793514.1|AALB	LOC120777713|XP_039965125.1|BTRY
OG0001175	LOC118461601|XP_035783010.1|AALB	LOC120772062|XP_039956384.1|BTRY
OG0001176	LOC118460499|XP_035780746.1|AALB, LOC118460500|XP_035780747.1|AALB	LOC120772104|XP_039956448.1|BTRY
OG0001177	LOC118461535|XP_035782864.1|AALB	LOC120769598|XP_039952593.1|BTRY
OG0001178	LOC118457080|XP_035774261.1|AALB	LOC120768257|XP_039950784.1|BTRY
OG0001178	LOC118456756|XP_035773713.1|AALB	LOC120771797|XP_039955933.1|BTRY
OG0001179	LOC118458722|XP_035777360.1|AALB	LOC120771152|XP_039954957.1|BTRY
OG0001180	LOC118468911|XP_035796109.1|AALB	LOC120779513|XP_039967776.1|BTRY
OG0001181	LOC118466696|XP_035792219.1|AALB, LOC118457839|XP_035775611.1|AALB	LOC120778258|XP_039965962.1|BTRY
OG0001182	LOC118456949|XP_035774017.1|AALB, LOC118456944|XP_035774007.1|AALB, LOC118456948|XP_035774011.1|AALB	LOC120777935|XP_039965467.1|BTRY
OG0001183	LOC118467069|XP_035792999.1|AALB	LOC120766464|XP_039947935.1|BTRY, LOC120766440|XP_039947887.1|BTRY
OG0001184	LOC118468855|XP_035796004.1|AALB	LOC120766701|XP_039948283.1|BTRY
OG0001185	LOC118457401|XP_035774834.1|AALB	LOC120767450|XP_039949474.1|BTRY
OG0001186	LOC118466562|XP_035791999.1|AALB	LOC120782820|XP_039971268.1|BTRY
OG0001187	LOC118465218|XP_035789103.1|AALB, LOC118465219|XP_035789104.1|AALB	LOC120772434|XP_039956981.1|BTRY
OG0001188	LOC118464179|XP_035787213.1|AALB, LOC118464181|XP_035787222.1|AALB	LOC120771287|XP_039955151.1|BTRY, LOC120772401|XP_039956925.1|BTRY, LOC120772402|XP_039956927.1|BTRY, LOC120771911|XP_039956131.1|BTRY
OG0001189	LOC118463112|XP_035785329.1|AALB, LOC118463485|XP_035785969.1|AALB	LOC120771475|XP_039955439.1|BTRY
OG0001190	LOC118463984|XP_035786896.1|AALB, LOC118463982|XP_035786887.1|AALB	LOC120773997|XP_039959203.1|BTRY
OG0001191	LOC118463935|XP_035786793.1|AALB, LOC118465696|XP_035790017.1|AALB	LOC120772908|XP_039957729.1|BTRY
OG0001193	LOC118465058|XP_035788833.1|AALB	LOC120766165|XP_039947446.1|BTRY
OG0001194	LOC118462665|XP_035784454.1|AALB	LOC120774215|XP_039959603.1|BTRY
OG0001195	LOC118467257|XP_035793433.1|AALB	LOC120772607|XP_039957256.1|BTRY
OG0001201	LOC118461173|XP_035782076.1|AALB	LOC120772524|XP_039957125.1|BTRY
OG0001202	LOC118462103|XP_035783994.1|AALB	LOC120775089|XP_039961020.1|BTRY, LOC120775798|XP_039962076.1|BTRY, LOC120777552|XP_039964874.1|BTRY
OG0001203	LOC118458443|XP_035776822.1|AALB, LOC118459523|XP_035778877.1|AALB	LOC120779583|XP_039967860.1|BTRY, LOC120779582|XP_039967859.1|BTRY
OG0001204	LOC118463325|XP_035785717.1|AALB	LOC120767875|XP_039950134.1|BTRY
OG0001205	LOC118463845|XP_035786643.1|AALB	LOC120782324|XP_039970483.1|BTRY
OG0001206	LOC118462907|XP_035784902.1|AALB	LOC120767083|XP_039948885.1|BTRY, LOC120766936|XP_039948622.1|BTRY
OG0001207	LOC118462055|XP_035783934.1|AALB	LOC120773763|XP_039958772.1|BTRY
OG0001208	LOC118468829|XP_035795996.1|AALB	LOC120774799|XP_039960525.1|BTRY
OG0001209	LOC118458686|XP_035777308.1|AALB, LOC118460162|XP_035780162.1|AALB	LOC120782456|XP_039970680.1|BTRY
OG0001210	LOC118456928|XP_035773960.1|AALB	LOC120781067|XP_039969153.1|BTRY
OG0001211	LOC118460819|XP_035781332.1|AALB	LOC120775783|XP_039962092.1|BTRY
OG0001212	LOC118468555|XP_035795349.1|AALB, LOC118468554|XP_035795348.1|AALB	LOC120775868|XP_039962172.1|BTRY
OG0001213	LOC118457446|XP_035774931.1|AALB, LOC118460886|XP_035781522.1|AALB	LOC120782473|XP_039970701.1|BTRY
OG0001214	LOC118459114|XP_035778071.1|AALB	LOC120782118|XP_039970198.1|BTRY
OG0001215	LOC118459805|XP_035779435.1|AALB, LOC118459806|XP_035779436.1|AALB	LOC120772960|XP_039957802.1|BTRY
OG0001216	LOC118459804|XP_035779433.1|AALB, LOC118459112|XP_035778068.1|AALB	LOC120767214|XP_039948964.1|BTRY
OG0001217	LOC118457400|XP_035774830.1|AALB	LOC120769334|XP_039952224.1|BTRY
OG0001218	LOC118460730|XP_035781179.1|AALB	LOC120767571|XP_039949642.1|BTRY
OG0001222	LOC118467980|XP_035794861.1|AALB	LOC120779475|XP_039967685.1|BTRY
OG0001223	LOC118463241|XP_035785600.1|AALB	LOC120781215|XP_039969272.1|BTRY
OG0001224	LOC118466057|XP_035790800.1|AALB	LOC120772443|XP_039956998.1|BTRY
OG0001225	LOC118465045|XP_035788815.1|AALB	LOC120771642|XP_039955685.1|BTRY
OG0001226	LOC118466987|XP_035792797.1|AALB	LOC120781225|XP_039969290.1|BTRY, LOC120781250|XP_039969332.1|BTRY, LOC120781221|XP_039969284.1|BTRY
OG0001227	LOC118458780|XP_035777498.1|AALB	LOC120769342|XP_039952233.1|BTRY
OG0001228	LOC118467222|XP_035793365.1|AALB	LOC120773685|XP_039958650.1|BTRY
OG0001229	LOC118457878|XP_035775694.1|AALB	LOC120771702|XP_039955771.1|BTRY
OG0001230	LOC118458823|XP_035777600.1|AALB	LOC120770558|XP_039954070.1|BTRY
OG0001231	LOC118468340|XP_035794992.1|AALB	LOC120767999|XP_039950355.1|BTRY
OG0001232	LOC118459302|XP_035778443.1|AALB	LOC120769577|XP_039952568.1|BTRY
OG0001233	LOC118458684|XP_035777288.1|AALB	LOC120769398|XP_039952303.1|BTRY
OG0001234	LOC118458826|XP_035777605.1|AALB	LOC120776530|XP_039963197.1|BTRY, LOC120771840|XP_039956017.1|BTRY
OG0001235	LOC118468919|XP_035796122.1|AALB	LOC120768910|XP_039951611.1|BTRY
OG0001236	LOC118457340|XP_035774731.1|AALB	LOC120777491|XP_039964766.1|BTRY
OG0001237	LOC118462010|XP_035783840.1|AALB	LOC120767044|XP_039948831.1|BTRY
OG0001238	LOC118458685|XP_035777293.1|AALB	LOC120780232|XP_039968416.1|BTRY
OG0001239	LOC118467960|XP_035794836.1|AALB, LOC118456572|XP_035773344.1|AALB	LOC120774122|XP_039959429.1|BTRY
OG0001240	LOC118458705|XP_035777339.1|AALB, LOC118457657|XP_035775294.1|AALB	LOC120778072|XP_039965700.1|BTRY
OG0001241	LOC118458875|XP_035777718.1|AALB	LOC120780978|XP_039969140.1|BTRY
OG0001242	LOC118457790|XP_035775529.1|AALB	LOC120774951|XP_039960766.1|BTRY
OG0001243	LOC118463399|XP_035785839.1|AALB	LOC120776941|XP_039963954.1|BTRY
OG0001247	LOC118466018|XP_035790726.1|AALB	LOC120772950|XP_039957786.1|BTRY
OG0001248	LOC118465826|XP_035790307.1|AALB	LOC120773646|XP_039958587.1|BTRY, LOC120773647|XP_039958588.1|BTRY
OG0001249	LOC118463759|XP_035786466.1|AALB	LOC120775586|XP_039961756.1|BTRY
OG0001257	LOC118469009|XP_035796340.1|AALB	LOC120779452|XP_039967641.1|BTRY
OG0001258	LOC118458042|XP_035776057.1|AALB	LOC120766569|XP_039948094.1|BTRY, LOC120776836|XP_039963790.1|BTRY
OG0001259	LOC118463274|XP_035785643.1|AALB, LOC118467722|XP_035794417.1|AALB	LOC120773990|XP_039959187.1|BTRY
OG0001260	LOC118460936|XP_035781596.1|AALB	LOC120782879|XP_039971359.1|BTRY
OG0001261	LOC118458797|XP_035777536.1|AALB, LOC118462849|XP_035784802.1|AALB	LOC120773416|XP_039958221.1|BTRY
OG0001263	LOC118465872|XP_035790398.1|AALB	LOC120782688|XP_039971017.1|BTRY
OG0001264	LOC118457456|XP_035774947.1|AALB, LOC118458006|XP_035775989.1|AALB	LOC120768357|XP_039950949.1|BTRY
OG0001266	LOC118457732|XP_035775418.1|AALB	LOC120771373|XP_039955268.1|BTRY
OG0001267	LOC118461275|XP_035782320.1|AALB, LOC118462032|XP_035783899.1|AALB	LOC120782261|XP_039970360.1|BTRY
OG0001269	LOC118458301|XP_035776522.1|AALB	LOC120773072|XP_039957949.1|BTRY
OG0001270	LOC118464162|XP_035787188.1|AALB, LOC118459117|XP_035778078.1|AALB	LOC120766929|XP_039948610.1|BTRY
OG0001271	LOC118463456|XP_035785937.1|AALB, LOC118464610|XP_035787948.1|AALB	LOC120781206|XP_039969258.1|BTRY
OG0001273	LOC118463749|XP_035786442.1|AALB, LOC118462639|XP_035784379.1|AALB	LOC120782214|XP_039970307.1|BTRY
OG0001274	LOC118466941|XP_035792733.1|AALB	LOC120778522|XP_039966291.1|BTRY
OG0001276	LOC118467508|XP_035793953.1|AALB	LOC120776829|XP_039963784.1|BTRY
OG0001277	LOC118463487|XP_035785971.1|AALB	LOC120776519|XP_039963176.1|BTRY, LOC120778706|XP_039966601.1|BTRY, LOC120776518|XP_039963174.1|BTRY, LOC120776520|XP_039963178.1|BTRY, LOC120777437|XP_039964679.1|BTRY, LOC120777052|XP_039964098.1|BTRY, LOC120777053|XP_039964099.1|BTRY, LOC120778771|XP_039966685.1|BTRY
OG0001278	LOC118467600|XP_035794181.1|AALB	LOC120778350|XP_039966072.1|BTRY
OG0001279	LOC118467611|XP_035794206.1|AALB	LOC120778595|XP_039966400.1|BTRY
OG0001280	LOC118464283|XP_035787451.1|AALB	LOC120779201|XP_039967405.1|BTRY
OG0001281	LOC118464877|XP_035788512.1|AALB	LOC120777403|XP_039964636.1|BTRY
OG0001282	LOC118463127|XP_035785377.1|AALB	LOC120768174|XP_039950672.1|BTRY, LOC120768795|XP_039951484.1|BTRY
OG0001283	LOC118463747|XP_035786435.1|AALB	LOC120771416|XP_039955331.1|BTRY
OG0001284	LOC118460504|XP_035780751.1|AALB	LOC120769538|XP_039952517.1|BTRY
OG0001285	LOC118462686|XP_035784493.1|AALB, LOC118456479|XP_035773184.1|AALB	LOC120778823|XP_039966764.1|BTRY
OG0001286	LOC118457587|XP_035775168.1|AALB	LOC120769155|XP_039951972.1|BTRY
OG0001287	LOC118463595|XP_035786147.1|AALB	LOC120771188|XP_039955020.1|BTRY
OG0001288	LOC118457380|XP_035774808.1|AALB	LOC120767599|XP_039949681.1|BTRY
OG0001290	LOC118460506|XP_035780752.1|AALB	LOC120767370|XP_039949276.1|BTRY
OG0001291	LOC118460352|XP_035780485.1|AALB	LOC120770972|XP_039954641.1|BTRY
OG0001292	LOC118467205|XP_035793316.1|AALB, LOC118467208|XP_035793324.1|AALB	LOC120770763|XP_039954281.1|BTRY
OG0001293	LOC118468502|XP_035795229.1|AALB	LOC120775935|XP_039962275.1|BTRY
OG0001294	LOC118456945|XP_035774009.1|AALB	LOC120777983|XP_039965560.1|BTRY
OG0001295	LOC118468446|XP_035795109.1|AALB	LOC120774030|XP_039959262.1|BTRY
OG0001296	LOC118457243|XP_035774518.1|AALB	LOC120771396|XP_039955299.1|BTRY
OG0001297	LOC118459854|XP_035779518.1|AALB	LOC120781115|XP_039969186.1|BTRY, LOC120778383|XP_039966103.1|BTRY, LOC120768703|XP_039951410.1|BTRY, LOC120766645|XP_039948199.1|BTRY, LOC120779570|XP_039967846.1|BTRY, LOC120768690|XP_039951400.1|BTRY, LOC120780841|XP_039969016.1|BTRY, LOC120780826|XP_039969004.1|BTRY, LOC120766744|XP_039948351.1|BTRY
OG0001298	LOC118460327|XP_035780431.1|AALB, LOC118468886|XP_035796071.1|AALB	LOC120781508|XP_039969666.1|BTRY
OG0001299	LOC118457187|XP_035774428.1|AALB, LOC118456842|XP_035773830.1|AALB	LOC120778481|XP_039966231.1|BTRY
OG0001300	LOC118459364|XP_035778556.1|AALB	LOC120774833|XP_039960584.1|BTRY
OG0001301	LOC118468872|XP_035796051.1|AALB, LOC118468870|XP_035796046.1|AALB	LOC120771300|XP_039955168.1|BTRY
OG0001302	LOC118461957|XP_035783751.1|AALB	LOC120782630|XP_039970932.1|BTRY, LOC120766639|XP_039948191.1|BTRY
OG0001303	LOC118458916|XP_035777776.1|AALB	LOC120780491|XP_039968699.1|BTRY
OG0001304	LOC118460328|XP_035780432.1|AALB	LOC120770548|XP_039954046.1|BTRY
OG0001305	LOC118457357|XP_035774756.1|AALB	LOC120770058|XP_039953116.1|BTRY
OG0001306	LOC118457402|XP_035774859.1|AALB	LOC120766204|XP_039947505.1|BTRY
OG0001307	LOC118459515|XP_035778850.1|AALB	LOC120776453|XP_039963044.1|BTRY
OG0001308	LOC118461312|XP_035782395.1|AALB	LOC120775577|XP_039961745.1|BTRY
OG0001309	LOC118468823|XP_035795946.1|AALB, LOC118468824|XP_035795947.1|AALB	LOC120766342|XP_039947700.1|BTRY
OG0001311	LOC118466703|XP_035792236.1|AALB, LOC118459594|XP_035779019.1|AALB	LOC120773803|XP_039958846.1|BTRY
OG0001312	LOC118464188|XP_035787233.1|AALB	LOC120776907|XP_039963912.1|BTRY
