Orthogroup	AALB.longest_only	DERE.longest_only
OG0000840	LOC118460519|XP_035780787.1|AALB	LOC6542185|XP_001970769.1|DERE, LOC6551649|XP_026838263.1|DERE
OG0000842	LOC118467493|XP_035793936.1|AALB	LOC6543191|XP_026835432.1|DERE, LOC6553753|XP_001979413.1|DERE
OG0000843	LOC118467383|XP_035793713.1|AALB	LOC6548128|XP_001976505.1|DERE
OG0000844	LOC118462801|XP_035784693.1|AALB	LOC6548117|XP_026836225.1|DERE, LOC6553058|XP_015009431.2|DERE
OG0000845	LOC118464667|XP_035788072.1|AALB	LOC6551089|XP_001977103.1|DERE, LOC6551091|XP_001977105.1|DERE
OG0000854	LOC118468375|XP_035795031.1|AALB	LOC6550844|XP_001977009.1|DERE, LOC6551205|XP_026838590.1|DERE
OG0000855	LOC118462018|XP_035783872.1|AALB	LOC6555774|XP_001982532.1|DERE, LOC6552920|XP_026831695.1|DERE
OG0000856	LOC118462080|XP_035783992.1|AALB	LOC6550623|XP_026837735.1|DERE, LOC6543882|XP_001973641.1|DERE
OG0000857	LOC118461650|XP_035783123.1|AALB, LOC118461663|XP_035783145.1|AALB	LOC6549874|XP_026837709.1|DERE
OG0000858	LOC118460903|XP_035781540.1|AALB	LOC6553564|XP_001980334.1|DERE, LOC6552582|XP_001980333.1|DERE
OG0000860	LOC118467315|XP_035793543.1|AALB	LOC6546053|XP_001973506.3|DERE, LOC6543646|XP_026832763.1|DERE
OG0000861	LOC118467097|XP_035793036.1|AALB	LOC6547865|XP_026836611.1|DERE
OG0000862	LOC118467136|XP_035793144.1|AALB	LOC6547740|XP_001974994.1|DERE, LOC6540806|XP_001968845.1|DERE
OG0000863	LOC118462855|XP_035784804.1|AALB	LOC6555197|XP_001982293.1|DERE
OG0000864	LOC118461400|XP_035782558.1|AALB	LOC6542131|XP_001969620.1|DERE, LOC6551242|XP_001978334.3|DERE
OG0000865	LOC118457283|XP_035774637.1|AALB	LOC6549970|XP_015011424.1|DERE, LOC6551796|XP_001980809.1|DERE
OG0000866	LOC118461640|XP_035783103.1|AALB	LOC6542113|XP_001968262.1|DERE, LOC6543145|XP_001968263.2|DERE
OG0000867	LOC118457872|XP_035775679.1|AALB	LOC6543164|XP_001968910.1|DERE, LOC6541270|XP_001969441.1|DERE
OG0000868	LOC118457576|XP_035775146.1|AALB, LOC118459923|XP_035779666.1|AALB	LOC6551669|XP_026838814.1|DERE
OG0000870	LOC118463907|XP_035786738.1|AALB	LOC6547992|XP_001976494.2|DERE
OG0000871	LOC118466733|XP_035792309.1|AALB	LOC6546906|XP_001975985.1|DERE
OG0000872	LOC118463586|XP_035786133.1|AALB	LOC6550121|XP_001977702.1|DERE, LOC6548121|XP_001976535.1|DERE
OG0000873	LOC118464246|XP_035787341.1|AALB, LOC118463744|XP_035786431.1|AALB, LOC118464222|XP_035787287.1|AALB	LOC6543980|XP_001973721.1|DERE
OG0000874	LOC118463225|XP_035785567.1|AALB	LOC6551060|XP_001976920.3|DERE, LOC6548312|XP_015012293.1|DERE
OG0000875	LOC118466928|XP_035792707.1|AALB	LOC6545785|XP_001973421.1|DERE
OG0000882	LOC118460321|XP_035780429.1|AALB	LOC6550017|XP_001977483.2|DERE
OG0000883	LOC118456749|XP_035773701.1|AALB, LOC118457045|XP_035774188.1|AALB, LOC118466014|XP_035790719.1|AALB	LOC6550577|XP_001978178.1|DERE
OG0000884	LOC118468700|XP_035795717.1|AALB	LOC6543436|XP_001968700.2|DERE, LOC6549675|XP_015011093.1|DERE
OG0000885	LOC118457725|XP_035775410.1|AALB, LOC118457727|XP_035775411.1|AALB, LOC118457724|XP_035775409.1|AALB	LOC6554074|XP_015009693.1|DERE
OG0000887	LOC118463310|XP_035785687.1|AALB, LOC118465846|XP_035790350.1|AALB, LOC118463810|XP_035786579.1|AALB, LOC118468811|XP_035795919.1|AALB, LOC118468809|XP_035795918.1|AALB	LOC6551668|XP_026838738.1|DERE
OG0000888	LOC118465638|XP_035789937.1|AALB, LOC118465634|XP_035789929.1|AALB	LOC6545469|XP_026832562.1|DERE
OG0000889	LOC118463477|XP_035785960.1|AALB	LOC6544238|XP_026832670.1|DERE
OG0000890	LOC118465805|XP_035790266.1|AALB	LOC6547341|XP_001976294.1|DERE
OG0000891	LOC118457690|XP_035775354.1|AALB	LOC6540808|XP_001969598.1|DERE, LOC6541140|XP_026834823.1|DERE
OG0000892	LOC118461667|XP_035783148.1|AALB	LOC6544176|XP_001972373.1|DERE, LOC6545987|XP_001973501.2|DERE
OG0000893	LOC118461100|XP_035781909.1|AALB	LOC6553292|XP_026836139.1|DERE
OG0000894	LOC118457777|XP_035775501.1|AALB	LOC6553053|XP_001979140.1|DERE
OG0000895	LOC118458352|XP_035776596.1|AALB	LOC6548656|XP_001975378.1|DERE
OG0000907	LOC118459253|XP_035778358.1|AALB	LOC6548129|XP_001976506.1|DERE
OG0000909	LOC118459629|XP_035779099.1|AALB	LOC6555786|XP_001982456.1|DERE, LOC6555312|XP_001982085.1|DERE
OG0000910	LOC118462988|XP_035785093.1|AALB	LOC6551774|XP_001980643.1|DERE, LOC6550835|XP_015011340.1|DERE
OG0000911	LOC118464594|XP_035787930.1|AALB	LOC6546555|XP_001974569.1|DERE
OG0000912	LOC118467011|XP_035792847.1|AALB, LOC118462929|XP_035784931.1|AALB	LOC6543791|XP_001973139.1|DERE, LOC6543792|XP_001973140.1|DERE
OG0000913	LOC118462547|XP_035784207.1|AALB	LOC26526400|XP_015014270.1|DERE
OG0000913	LOC118462550|XP_035784209.1|AALB	LOC6545172|XP_015013163.2|DERE
OG0000914	LOC118467845|XP_035794645.1|AALB, LOC118459089|XP_035778047.1|AALB	LOC6546811|XP_001975921.1|DERE
OG0000915	LOC118457378|XP_035774806.1|AALB, LOC118459897|XP_035779606.1|AALB	LOC6548651|XP_001975391.1|DERE, LOC6551273|XP_001976892.1|DERE
OG0000916	LOC118458441|XP_035776810.1|AALB, LOC118458711|XP_035777344.1|AALB, LOC118456560|XP_035773322.1|AALB, LOC118468342|XP_035794994.1|AALB, LOC118459910|XP_035779638.1|AALB, LOC118458633|XP_035777215.1|AALB, LOC118456982|XP_035774080.1|AALB, LOC118460472|XP_035780690.1|AALB, LOC118459193|XP_035778247.1|AALB, LOC118468359|XP_035795012.1|AALB	LOC6543482|XP_026834387.1|DERE
OG0000917	LOC118458771|XP_035777457.1|AALB	LOC26526594|XP_026832219.1|DERE, LOC6541723|XP_026835118.1|DERE
OG0000918	LOC118460938|XP_035781593.1|AALB	LOC6542553|XP_026834867.1|DERE, LOC6541709|XP_001968525.2|DERE
OG0000920	LOC118462795|XP_035784685.1|AALB, LOC118462796|XP_035784686.1|AALB, LOC118458426|XP_035776774.1|AALB	LOC6549701|XP_001977443.1|DERE
OG0000921	LOC118460639|XP_035780986.1|AALB	LOC6555623|XP_026837454.1|DERE, LOC26526087|XP_026837602.1|DERE
OG0000922	LOC118456255|XP_035772750.1|AALB	LOC6543678|XP_001971846.1|DERE
OG0000923	LOC118466584|XP_035792037.1|AALB	LOC6546307|XP_001972848.1|DERE, LOC6552447|XP_001980936.1|DERE
OG0000924	LOC118463875|XP_035786688.1|AALB	LOC6551122|XP_001978349.1|DERE
OG0000925	LOC118467575|XP_035794113.1|AALB	LOC6555144|XP_001981155.2|DERE, LOC6555145|XP_001981156.1|DERE
OG0000935	LOC118457386|XP_035774818.1|AALB, LOC118459374|XP_035778563.1|AALB	LOC6555161|XP_001981417.2|DERE
OG0000936	LOC118461155|XP_035782074.1|AALB	LOC26527068|XP_015014390.1|DERE, LOC6550787|XP_026838013.1|DERE
OG0000938	LOC118458727|XP_035777387.1|AALB	LOC6547874|XP_001976350.1|DERE, LOC6550704|XP_001978118.1|DERE
OG0000939	LOC118458045|XP_035776058.1|AALB	LOC6542797|XP_001970198.1|DERE, LOC6542655|XP_001970204.1|DERE
OG0000940	LOC118457807|XP_035775553.1|AALB	LOC6551444|XP_001978542.1|DERE, LOC6545671|XP_001971146.1|DERE
OG0000941	LOC118457833|XP_035775602.1|AALB	LOC6554370|XP_001981260.1|DERE, LOC6549794|XP_001977317.1|DERE
OG0000942	LOC118461937|XP_035783705.1|AALB	LOC6546490|XP_001973586.2|DERE
OG0000943	LOC118464680|XP_035788095.1|AALB	LOC6546604|XP_026835714.1|DERE
OG0000944	LOC118463430|XP_035785890.1|AALB	LOC6550813|XP_026837934.1|DERE, LOC6540593|XP_001968893.1|DERE
OG0000945	LOC118462643|XP_035784385.1|AALB	LOC6556145|XP_026833568.1|DERE
OG0000946	LOC118468439|XP_035795094.1|AALB, LOC118458079|XP_035776129.1|AALB	LOC6541552|XP_001970224.1|DERE
OG0000947	LOC118459427|XP_035778666.1|AALB, LOC118459425|XP_035778663.1|AALB, LOC118459426|XP_035778664.1|AALB	LOC6548395|XP_001976527.1|DERE
OG0000948	LOC118460957|XP_035781625.1|AALB	LOC6546266|XP_015013804.1|DERE
OG0000949	LOC118461660|XP_035783134.1|AALB, LOC118461659|XP_035783133.1|AALB	LOC6551139|XP_026837851.1|DERE
OG0000950	LOC118459856|XP_035779521.1|AALB	LOC6550432|XP_015011150.1|DERE, LOC6553312|XP_001979209.1|DERE
OG0000951	LOC118467062|XP_035792970.1|AALB	LOC6553699|XP_001980405.1|DERE
OG0000952	LOC118463414|XP_035785859.1|AALB	LOC6541496|XP_026835573.1|DERE
OG0000964	LOC118461375|XP_035782519.1|AALB	LOC6548652|XP_026836016.1|DERE
OG0000965	LOC118458186|XP_035776321.1|AALB	LOC6549746|XP_001977349.1|DERE
OG0000966	LOC118463865|XP_035786672.1|AALB	LOC6549427|XP_001975707.1|DERE, LOC6555140|XP_001981151.2|DERE
OG0000968	LOC118464835|XP_035788404.1|AALB	LOC6544522|XP_026833147.1|DERE
OG0000969	LOC118467288|XP_035793494.1|AALB	LOC6547650|XP_001974984.1|DERE, LOC6554937|XP_001981118.1|DERE
OG0000970	LOC118459232|XP_035778322.1|AALB	LOC6554124|XP_001981496.1|DERE
OG0000971	LOC118467673|XP_035794337.1|AALB, LOC118461168|XP_035782061.1|AALB	LOC6549315|XP_001974486.1|DERE
OG0000972	LOC118457048|XP_035774189.1|AALB	LOC6545277|XP_001972066.1|DERE, LOC6555535|XP_026838360.1|DERE
OG0000974	LOC118460056|XP_035779933.1|AALB, LOC118463138|XP_035785391.1|AALB	LOC6546450|XP_001971819.1|DERE
OG0000975	LOC118461802|XP_035783438.1|AALB	LOC6554062|XP_026832984.1|DERE
OG0000976	LOC118460713|XP_035781136.1|AALB, LOC118460739|XP_035781190.1|AALB	LOC6552962|XP_026831845.1|DERE
OG0000977	LOC118468937|XP_035796163.1|AALB	LOC6553113|XP_001980019.2|DERE
OG0000978	LOC118464760|XP_035788272.1|AALB	LOC6551809|XP_001980578.1|DERE
OG0000979	LOC118459941|XP_035779710.1|AALB	LOC6548248|XP_001975197.2|DERE
OG0000988	LOC118465612|XP_035789882.1|AALB	LOC6542904|XP_001969791.1|DERE
OG0000990	LOC118461263|XP_035782289.1|AALB	LOC6554508|XP_001981522.1|DERE, LOC6550461|XP_001977788.1|DERE
OG0000991	LOC118460991|XP_035781709.1|AALB	LOC6549673|XP_001977432.1|DERE
OG0000992	LOC118467370|XP_035793679.1|AALB	LOC6542511|XP_001969054.1|DERE, LOC6554524|XP_026831588.1|DERE
OG0000993	LOC118458879|XP_035777722.1|AALB	LOC26526889|XP_026832065.1|DERE, LOC6554227|XP_001981244.1|DERE
OG0000994	LOC118460067|XP_035779957.1|AALB	LOC6551315|XP_026838084.1|DERE
OG0000995	LOC118467882|XP_035794687.1|AALB	LOC6554857|XP_001981101.1|DERE, LOC6550776|XP_001978073.1|DERE
OG0000996	LOC118464625|XP_035787964.1|AALB	LOC6547032|XP_026836092.1|DERE
OG0000997	LOC118463841|XP_035786637.1|AALB	LOC6549588|XP_001975822.1|DERE
OG0000998	LOC118463641|XP_035786269.1|AALB	LOC6545427|XP_026832933.1|DERE
OG0000999	LOC118464812|XP_035788372.1|AALB	LOC6547686|XP_026836310.1|DERE, LOC6555627|XP_001982426.1|DERE
OG0001000	LOC118468586|XP_035795411.1|AALB	LOC6548611|XP_026838644.1|DERE
OG0001001	LOC118468736|XP_035795777.1|AALB, LOC118457961|XP_035775887.1|AALB	LOC6548347|XP_001975518.1|DERE
OG0001002	LOC118462052|XP_035783931.1|AALB, LOC118457269|XP_035774556.1|AALB	LOC6549292|XP_026836860.1|DERE
OG0001003	LOC118458880|XP_035777724.1|AALB	LOC6552961|XP_001978764.1|DERE, LOC26526185|XP_026834017.1|DERE
OG0001004	LOC118461508|XP_035782830.1|AALB	LOC6553539|XP_001979322.3|DERE, LOC6552422|XP_001980777.1|DERE
OG0001005	LOC118457323|XP_035774708.1|AALB	LOC6549375|XP_001974295.1|DERE, LOC6555565|XP_026837875.1|DERE
OG0001006	LOC118466540|XP_035791949.1|AALB	LOC6552888|XP_001979988.1|DERE, LOC6544610|XP_001972445.1|DERE
OG0001007	LOC118465783|XP_035790210.1|AALB	LOC6548126|XP_001976540.1|DERE
OG0001008	LOC118465025|XP_035788783.1|AALB	LOC26526702|XP_015009402.1|DERE, LOC6550505|XP_001977970.1|DERE
OG0001009	LOC118457397|XP_035774827.1|AALB	LOC6552540|XP_001980836.1|DERE, LOC6554403|XP_001981699.1|DERE
OG0001019	LOC118465401|XP_035789500.1|AALB	LOC6555063|XP_001981605.2|DERE, LOC6555086|XP_026831966.1|DERE
OG0001020	LOC118456197|XP_035772655.1|AALB, LOC118456190|XP_035772644.1|AALB	LOC6549755|XP_001978617.1|DERE
OG0001022	LOC118459591|XP_035779012.1|AALB, LOC118464497|XP_035787825.1|AALB	LOC6551950|XP_026839636.1|DERE, LOC6550696|XP_001978021.1|DERE
OG0001024	LOC118458539|XP_035777014.1|AALB, LOC118457811|XP_035775564.1|AALB	LOC6555046|XP_001981616.1|DERE
OG0001025	LOC118462991|XP_035785097.1|AALB, LOC118459096|XP_035778052.1|AALB	LOC6544474|XP_001972508.1|DERE
OG0001026	LOC118467194|XP_035793298.1|AALB, LOC118463597|XP_035786150.1|AALB	LOC6543131|XP_001970540.1|DERE
OG0001027	LOC118462690|XP_035784501.1|AALB, LOC118462691|XP_035784507.1|AALB	LOC6546064|XP_001972805.1|DERE
OG0001028	LOC118466252|XP_035791197.1|AALB	LOC6543274|XP_001968955.1|DERE
OG0001029	LOC118459516|XP_035778851.1|AALB	LOC6547284|XP_001976151.2|DERE
OG0001031	LOC118458005|XP_035775973.1|AALB	LOC6548598|XP_001973943.2|DERE
OG0001032	LOC118456400|XP_035772993.1|AALB	LOC6549206|XP_026839383.1|DERE
OG0001033	LOC118466176|XP_035791056.1|AALB	LOC6544647|XP_001973782.1|DERE
OG0001042	LOC118458317|XP_035776557.1|AALB, LOC118460405|XP_035780581.1|AALB	LOC6554967|XP_001981139.1|DERE
OG0001043	LOC118458781|XP_035777499.1|AALB	LOC6550779|XP_026838079.1|DERE
OG0001044	LOC118466750|XP_035792336.1|AALB	LOC6541144|XP_001970584.1|DERE
OG0001045	LOC118460207|XP_035780211.1|AALB	LOC6548979|XP_026836696.1|DERE
OG0001046	LOC118461602|XP_035783012.1|AALB	LOC6546760|XP_001974550.1|DERE, LOC6546761|XP_001974551.1|DERE
OG0001048	LOC118463800|XP_035786560.1|AALB, LOC118467828|XP_035794612.1|AALB	LOC6548153|XP_001975116.1|DERE
OG0001049	LOC118467134|XP_035793137.1|AALB	LOC6544186|XP_026833011.1|DERE
OG0001050	LOC118466206|XP_035791116.1|AALB	LOC6544220|XP_026833486.1|DERE
OG0001051	LOC118458232|XP_035776394.1|AALB	LOC6542025|XP_001969346.1|DERE
OG0001052	LOC118456651|XP_035773484.1|AALB	LOC6543466|XP_001970289.1|DERE
OG0001053	LOC118468491|XP_035795212.1|AALB	LOC6550993|XP_026837762.1|DERE
OG0001054	LOC118458947|XP_035777823.1|AALB	LOC6554883|XP_026832935.1|DERE
OG0001055	LOC118457762|XP_035775478.1|AALB, LOC118457761|XP_035775477.1|AALB	LOC6553970|XP_001980528.1|DERE, LOC6553969|XP_001980527.1|DERE
OG0001056	LOC118458531|XP_035777002.1|AALB	LOC6549436|XP_001974407.1|DERE, LOC6550667|XP_001977995.1|DERE
OG0001057	LOC118456428|XP_035773077.1|AALB	LOC6542130|XP_001969295.1|DERE
OG0001058	LOC118462874|XP_035784828.1|AALB	LOC6551182|XP_001978365.1|DERE
OG0001059	LOC118466592|XP_035792047.1|AALB	LOC6545515|XP_026833395.1|DERE
OG0001072	LOC118456181|XP_035772631.1|AALB	LOC6555677|XP_026837526.1|DERE
OG0001073	LOC118460567|XP_035780867.1|AALB, LOC118460559|XP_035780856.1|AALB	LOC6555256|XP_001981637.3|DERE
OG0001074	LOC118465055|XP_035788830.1|AALB	LOC6549461|XP_026836666.1|DERE
OG0001077	LOC118468651|XP_035795571.1|AALB	LOC6544999|XP_001973846.1|DERE, LOC6544293|XP_001973132.1|DERE
OG0001078	LOC118461004|XP_035781739.1|AALB, LOC118466508|XP_035791846.1|AALB	LOC6550296|XP_001977698.1|DERE
OG0001079	LOC118462980|XP_035785069.1|AALB	LOC6543724|XP_001971867.1|DERE
OG0001080	LOC118466686|XP_035792207.1|AALB	LOC6545538|XP_001971103.1|DERE
OG0001081	LOC118466692|XP_035792215.1|AALB, LOC118466777|XP_035792396.1|AALB	LOC6553830|XP_026831431.1|DERE
OG0001082	LOC118466984|XP_035792795.1|AALB, LOC118466986|XP_035792796.1|AALB	LOC6547732|XP_026836643.1|DERE
OG0001083	LOC118463887|XP_035786707.1|AALB	LOC6545658|XP_026833980.1|DERE
OG0001084	LOC118461093|XP_035781894.1|AALB, LOC118462702|XP_035784532.1|AALB	LOC6541480|XP_026835126.1|DERE
OG0001085	LOC118463368|XP_035785785.1|AALB	LOC6542620|XP_001970808.2|DERE
OG0001086	LOC118466154|XP_035791022.1|AALB	LOC6551951|XP_001980705.1|DERE, LOC6548122|XP_001976536.1|DERE
OG0001088	LOC118463537|XP_035786046.1|AALB	LOC6545473|XP_001971585.1|DERE
OG0001089	LOC118463098|XP_035785279.1|AALB	LOC6543830|XP_026832275.1|DERE
OG0001090	LOC118465495|XP_035789692.1|AALB, LOC118464575|XP_035787911.1|AALB	LOC6546232|XP_001971791.3|DERE
OG0001092	LOC118458375|XP_035776670.1|AALB	LOC6542602|XP_001968937.1|DERE
OG0001093	LOC118456857|XP_035773851.1|AALB, LOC118456967|XP_035774054.1|AALB	LOC6543506|XP_001969516.1|DERE
OG0001094	LOC118468381|XP_035795034.1|AALB, LOC118467965|XP_035794843.1|AALB	LOC6543515|XP_026834869.1|DERE
OG0001095	LOC118462067|XP_035783956.1|AALB, LOC118462065|XP_035783951.1|AALB, LOC118462066|XP_035783955.1|AALB	LOC6547331|XP_001974791.1|DERE
OG0001096	LOC118457636|XP_035775259.1|AALB, LOC118457646|XP_035775279.1|AALB	LOC6549228|XP_001974353.1|DERE
OG0001097	LOC118468054|XP_035794870.1|AALB	LOC113564597|XP_026838609.1|DERE, LOC26526510|XP_026838608.1|DERE
OG0001099	LOC118459695|XP_035779229.1|AALB	LOC6546179|XP_026833536.1|DERE
OG0001100	LOC118467040|XP_035792918.1|AALB	LOC6552413|XP_015009669.1|DERE, LOC26526367|XP_026831715.1|DERE, LOC26526295|XP_026839310.1|DERE
OG0001101	LOC118465160|XP_035789001.1|AALB	LOC6548229|XP_026835824.1|DERE
OG0001102	LOC118464289|XP_035787461.1|AALB, LOC118462624|XP_035784355.1|AALB	LOC6545871|XP_001972722.3|DERE
OG0001103	LOC118467432|XP_035793814.1|AALB, LOC118462777|XP_035784643.1|AALB, LOC118462779|XP_035784647.1|AALB	LOC6552618|XP_001979864.1|DERE
OG0001104	LOC118466871|XP_035792612.1|AALB	LOC6546833|XP_015011601.1|DERE
OG0001105	LOC118464948|XP_035788630.1|AALB	LOC6546892|XP_001975973.1|DERE, LOC6550418|XP_001977803.1|DERE
OG0001106	LOC118462721|XP_035784557.1|AALB, LOC118463944|XP_035786808.1|AALB	LOC6555877|XP_015008636.1|DERE
OG0001118	LOC118464394|XP_035787640.1|AALB	LOC6550617|XP_001978002.2|DERE
OG0001119	LOC118462827|XP_035784749.1|AALB, LOC118457681|XP_035775336.1|AALB	LOC6544440|XP_001973810.2|DERE
OG0001120	LOC118460031|XP_035779866.1|AALB, LOC118460028|XP_035779862.1|AALB	LOC6554756|XP_015009336.1|DERE, LOC113563706|XP_026831468.1|DERE
OG0001121	LOC118467126|XP_035793101.1|AALB	LOC6541768|XP_001970835.1|DERE
OG0001122	LOC118466831|XP_035792522.1|AALB	LOC6543862|XP_001971089.1|DERE
OG0001124	LOC118465314|XP_035789323.1|AALB	LOC6556243|XP_001983074.2|DERE, LOC6552358|XP_026839828.1|DERE, LOC113564848|XP_026839556.1|DERE
OG0001125	LOC118464929|XP_035788595.1|AALB, LOC118464931|XP_035788596.1|AALB	LOC6553716|XP_001979427.2|DERE
OG0001126	LOC118466913|XP_035792673.1|AALB	LOC113563973|XP_026833926.1|DERE
OG0001127	LOC118464441|XP_035787709.1|AALB, LOC118463906|XP_035786737.1|AALB	LOC6544379|XP_001972468.1|DERE
OG0001128	LOC118464123|XP_035787104.1|AALB, LOC118457710|XP_035775384.1|AALB	LOC6546950|XP_001974600.2|DERE
OG0001129	LOC118456467|XP_035773148.1|AALB	LOC6540722|XP_026834707.1|DERE
OG0001130	LOC118468542|XP_035795318.1|AALB	LOC6540989|XP_001969367.1|DERE, LOC26526775|XP_026839374.1|DERE, LOC113564709|XP_026839384.1|DERE
OG0001131	LOC118468623|XP_035795528.1|AALB, LOC118460821|XP_035781350.1|AALB, LOC118456702|XP_035773607.1|AALB	LOC6555851|XP_026839285.1|DERE
OG0001133	LOC118459323|XP_035778470.1|AALB	LOC6549041|XP_026835641.1|DERE
OG0001134	LOC118459711|XP_035779262.1|AALB	LOC6547384|XP_026836227.1|DERE
OG0001135	LOC118458211|XP_035776349.1|AALB, LOC118458424|XP_035776772.1|AALB	LOC6552839|XP_001979872.1|DERE
OG0001136	LOC118461028|XP_035781783.1|AALB	LOC6552418|XP_026839613.1|DERE
OG0001137	LOC118457518|XP_035775055.1|AALB	LOC6552901|XP_026836196.1|DERE
OG0001138	LOC118464731|XP_035788215.1|AALB	LOC6545499|XP_001971101.1|DERE
OG0001139	LOC118465857|XP_035790380.1|AALB	LOC6545017|XP_001972607.3|DERE
OG0001153	LOC118465049|XP_035788825.1|AALB	LOC6548015|XP_026836900.1|DERE
OG0001154	LOC118468672|XP_035795648.1|AALB	LOC6542013|XP_015014406.1|DERE
OG0001158	LOC118458274|XP_035776486.1|AALB	LOC6540730|XP_026834891.1|DERE
OG0001160	LOC118457823|XP_035775591.1|AALB	LOC6553578|XP_001979249.1|DERE
OG0001162	LOC118458801|XP_035777541.1|AALB	LOC6551798|XP_001980811.1|DERE
OG0001163	LOC118458840|XP_035777635.1|AALB	LOC6553611|XP_026832768.1|DERE
OG0001164	LOC118456274|XP_035772780.1|AALB, LOC118459220|XP_035778296.1|AALB	LOC6555406|XP_001982326.1|DERE
OG0001165	LOC118468688|XP_035795695.1|AALB	LOC6547899|XP_001976393.1|DERE
OG0001167	LOC118464622|XP_035787961.1|AALB	LOC6542973|XP_026835168.1|DERE
OG0001168	LOC118465527|XP_035789744.1|AALB	LOC6547045|XP_001974634.1|DERE
OG0001169	LOC118464071|XP_035787014.1|AALB	LOC6550146|XP_001977543.1|DERE
OG0001170	LOC118460729|XP_035781178.1|AALB	LOC6554520|XP_001982157.1|DERE
OG0001171	LOC118464541|XP_035787871.1|AALB, LOC118462468|XP_035784048.1|AALB	LOC6544784|XP_015013395.1|DERE
OG0001172	LOC118462641|XP_035784382.1|AALB	LOC6548218|XP_001975076.1|DERE
OG0001173	LOC118457355|XP_035774754.1|AALB, LOC118467405|XP_035793773.1|AALB	LOC6554295|XP_001981063.1|DERE
OG0001174	LOC118467301|XP_035793514.1|AALB	LOC6545211|XP_026832299.1|DERE, LOC6556363|XP_026832301.1|DERE, LOC6545210|XP_001972101.1|DERE
OG0001175	LOC118461601|XP_035783010.1|AALB	LOC6546762|XP_001974552.1|DERE
OG0001176	LOC118460499|XP_035780746.1|AALB, LOC118460500|XP_035780747.1|AALB	LOC6549417|XP_001975650.1|DERE
OG0001177	LOC118461535|XP_035782864.1|AALB	LOC6549398|XP_026836077.1|DERE
OG0001178	LOC118456756|XP_035773713.1|AALB	LOC6547609|XP_001974969.2|DERE
OG0001179	LOC118458722|XP_035777360.1|AALB	LOC6546862|XP_001976058.1|DERE
OG0001180	LOC118468911|XP_035796109.1|AALB	LOC6555868|XP_026839017.1|DERE
OG0001181	LOC118466696|XP_035792219.1|AALB, LOC118457839|XP_035775611.1|AALB	LOC6544519|XP_001973059.1|DERE
OG0001182	LOC118456949|XP_035774017.1|AALB, LOC118456944|XP_035774007.1|AALB, LOC118456948|XP_035774011.1|AALB	LOC6554438|XP_015009316.1|DERE
OG0001183	LOC118467069|XP_035792999.1|AALB	LOC6554014|XP_026831973.1|DERE
OG0001185	LOC118457401|XP_035774834.1|AALB	LOC6553169|XP_026833348.1|DERE, LOC113563928|XP_026833309.1|DERE
OG0001186	LOC118466562|XP_035791999.1|AALB	LOC6553429|XP_001979235.1|DERE
OG0001187	LOC118465218|XP_035789103.1|AALB, LOC118465219|XP_035789104.1|AALB	LOC6549073|XP_026835657.1|DERE
OG0001188	LOC118464179|XP_035787213.1|AALB, LOC118464181|XP_035787222.1|AALB	LOC6546714|XP_001975875.1|DERE
OG0001189	LOC118463112|XP_035785329.1|AALB, LOC118463485|XP_035785969.1|AALB	LOC6547324|XP_001976331.1|DERE
OG0001190	LOC118463984|XP_035786896.1|AALB, LOC118463982|XP_035786887.1|AALB	LOC6549983|XP_026837292.1|DERE
OG0001191	LOC118463935|XP_035786793.1|AALB, LOC118465696|XP_035790017.1|AALB	LOC6542368|XP_001969283.2|DERE
OG0001193	LOC118465058|XP_035788833.1|AALB	LOC6553452|XP_026838909.1|DERE
OG0001194	LOC118462665|XP_035784454.1|AALB	LOC6555802|XP_026838946.1|DERE, LOC6555807|XP_015008775.1|DERE
OG0001195	LOC118467257|XP_035793433.1|AALB	LOC6542351|XP_001970484.2|DERE
OG0001201	LOC118461173|XP_035782076.1|AALB	LOC6554821|XP_001981802.1|DERE
OG0001202	LOC118462103|XP_035783994.1|AALB	LOC6549979|XP_001978752.1|DERE
OG0001203	LOC118458443|XP_035776822.1|AALB, LOC118459523|XP_035778877.1|AALB	LOC6555832|XP_001982698.1|DERE
OG0001204	LOC118463325|XP_035785717.1|AALB	LOC6540728|XP_001969571.1|DERE
OG0001205	LOC118463845|XP_035786643.1|AALB	LOC6552812|XP_001978943.2|DERE
OG0001206	LOC118462907|XP_035784902.1|AALB	LOC6553695|XP_026831638.1|DERE
OG0001207	LOC118462055|XP_035783934.1|AALB	LOC6549664|XP_026837731.1|DERE
OG0001208	LOC118468829|XP_035795996.1|AALB	LOC6551453|XP_001977278.2|DERE
OG0001209	LOC118458686|XP_035777308.1|AALB, LOC118460162|XP_035780162.1|AALB	LOC6553710|XP_026831674.1|DERE
OG0001210	LOC118458664|XP_035777259.1|AALB, LOC118456928|XP_035773960.1|AALB	LOC6550627|XP_001978166.2|DERE
OG0001211	LOC118460819|XP_035781332.1|AALB	LOC6553417|XP_026831495.1|DERE
OG0001212	LOC118468555|XP_035795349.1|AALB, LOC118468554|XP_035795348.1|AALB	LOC6550867|XP_001978227.1|DERE
OG0001213	LOC118457446|XP_035774931.1|AALB, LOC118460886|XP_035781522.1|AALB	LOC6552120|XP_001979727.1|DERE
OG0001214	LOC118459114|XP_035778071.1|AALB	LOC6554916|XP_001982238.1|DERE
