Orthogroup	AALB.longest_only	DSUB.longest_only
OG0002161	LOC118461084|XP_035781873.1|AALB	LOC117898446|XP_034663744.1|DSUB
OG0002162	LOC118460197|XP_035780196.1|AALB	LOC117899425|XP_034665311.1|DSUB
OG0002163	LOC118461470|XP_035782709.1|AALB	LOC117903556|XP_034671651.1|DSUB, LOC117900180|XP_034666317.1|DSUB
OG0002164	LOC118461637|XP_035783100.1|AALB	LOC117897737|XP_034662664.1|DSUB
OG0002165	LOC118460366|XP_035780509.1|AALB	LOC117898395|XP_034663644.1|DSUB
OG0002166	LOC118459445|XP_035778716.1|AALB	LOC117899955|XP_034666000.1|DSUB
OG0002167	LOC118459446|XP_035778731.1|AALB	LOC117891412|XP_034652750.1|DSUB
OG0002168	LOC118463178|XP_035785478.1|AALB, LOC118463133|XP_035785389.1|AALB	LOC117890443|XP_034651165.1|DSUB
OG0002169	LOC118462753|XP_035784609.1|AALB	LOC117893745|XP_034656370.1|DSUB
OG0002170	LOC118456418|XP_035773044.1|AALB	LOC117902998|XP_034670612.1|DSUB
OG0002171	LOC118460200|XP_035780201.1|AALB	LOC117898473|XP_034663795.1|DSUB
OG0002172	LOC118457818|XP_035775584.1|AALB	LOC117897921|XP_034662896.1|DSUB
OG0002173	LOC118468576|XP_035795401.1|AALB	LOC117899986|XP_034666046.1|DSUB
OG0002174	LOC118458978|XP_035777866.1|AALB	LOC117897972|XP_034662974.1|DSUB
OG0002175	LOC118458979|XP_035777867.1|AALB	LOC117897973|XP_034662975.1|DSUB
OG0002176	LOC118459501|XP_035778819.1|AALB	LOC117897569|XP_034662403.1|DSUB
OG0002177	LOC118457936|XP_035775841.1|AALB	LOC117898603|XP_034664043.1|DSUB
OG0002178	LOC118460922|XP_035781569.1|AALB	LOC117896323|XP_034660445.1|DSUB
OG0002179	LOC118456513|XP_035773241.1|AALB	LOC117897708|XP_034662621.1|DSUB
OG0002180	LOC118460315|XP_035780417.1|AALB	LOC117897087|XP_034661616.1|DSUB
OG0002181	LOC118457098|XP_035774278.1|AALB	LOC117903835|XP_034672178.1|DSUB
OG0002182	LOC118457816|XP_035775571.1|AALB	LOC117897379|XP_034662072.1|DSUB
OG0002183	LOC118457826|XP_035775593.1|AALB	LOC117892646|XP_034654892.1|DSUB
OG0002184	LOC118458249|XP_035776422.1|AALB	LOC117896648|XP_034660986.1|DSUB
OG0002185	LOC118462036|XP_035783903.1|AALB	LOC117898257|XP_034663403.1|DSUB
OG0002186	LOC118461639|XP_035783102.1|AALB	LOC117901770|XP_034668558.1|DSUB
OG0002187	LOC118461517|XP_035782842.1|AALB	LOC117897931|XP_034662912.1|DSUB
OG0002188	LOC118464488|XP_035787808.1|AALB	LOC117889846|XP_034650230.1|DSUB
OG0002189	LOC118457718|XP_035775401.1|AALB	LOC117897881|XP_034662847.1|DSUB
OG0002190	LOC118468668|XP_035795615.1|AALB	LOC117895963|XP_034659808.1|DSUB
OG0002191	LOC118461342|XP_035782447.1|AALB	LOC117894650|XP_034657714.1|DSUB
OG0002192	LOC118463197|XP_035785524.1|AALB	LOC117895883|XP_034659774.1|DSUB
OG0002193	LOC118461675|XP_035783159.1|AALB	LOC117898322|XP_034663531.1|DSUB
OG0002194	LOC118457721|XP_035775405.1|AALB	LOC117898552|XP_034663927.1|DSUB
OG0002195	LOC118456905|XP_035773923.1|AALB	LOC117897024|XP_034661492.1|DSUB
OG0002196	LOC118458158|XP_035776248.1|AALB	LOC117899593|XP_034665603.1|DSUB
OG0002197	LOC118459491|XP_035778803.1|AALB	LOC117892912|XP_034655116.1|DSUB
OG0002198	LOC118456733|XP_035773672.1|AALB	LOC117898952|XP_034664570.1|DSUB
OG0002199	LOC118459620|XP_035779088.1|AALB	LOC117898940|XP_034664549.1|DSUB
OG0002200	LOC118458709|XP_035777342.1|AALB	LOC117897155|XP_034661720.1|DSUB
OG0002202	LOC118461486|XP_035782755.1|AALB	LOC117896781|XP_034661167.1|DSUB
OG0002203	LOC118468834|XP_035795967.1|AALB	LOC117896925|XP_034661356.1|DSUB
OG0002204	LOC118457345|XP_035774735.1|AALB	LOC117899444|XP_034665341.1|DSUB
OG0002205	LOC118457621|XP_035775230.1|AALB	LOC117897392|XP_034662094.1|DSUB
OG0002206	LOC118459116|XP_035778074.1|AALB	LOC117899612|XP_034665646.1|DSUB
OG0002207	LOC118457570|XP_035775138.1|AALB	LOC117898803|XP_034664338.1|DSUB
OG0002208	LOC118458446|XP_035776821.1|AALB	LOC117896783|XP_034661170.1|DSUB
OG0002209	LOC118459810|XP_035779445.1|AALB	LOC117894573|XP_034657607.1|DSUB, LOC117900294|XP_034666501.1|DSUB
OG0002210	LOC118459808|XP_035779442.1|AALB	LOC117897991|XP_034663007.1|DSUB
OG0002211	LOC118457884|XP_035775706.1|AALB, LOC118457882|XP_035775704.1|AALB	LOC117896827|XP_034661227.1|DSUB
OG0002212	LOC118459829|XP_035779485.1|AALB	LOC117896237|XP_034660274.1|DSUB
OG0002213	LOC118461266|XP_035782292.1|AALB	LOC117898638|XP_034664092.1|DSUB
OG0002214	LOC118456662|XP_035773509.1|AALB	LOC117897002|XP_034661454.1|DSUB
OG0002215	LOC118466705|XP_035792244.1|AALB	LOC117896532|XP_034660796.1|DSUB
OG0002216	LOC118458540|XP_035777015.1|AALB	LOC117902253|XP_034669402.1|DSUB
OG0002217	LOC118459559|XP_035778951.1|AALB	LOC117899450|XP_034665349.1|DSUB
OG0002218	LOC118456590|XP_035773381.1|AALB	LOC117903324|XP_034671158.1|DSUB
OG0002219	LOC118458854|XP_035777668.1|AALB, LOC118456583|XP_035773367.1|AALB	LOC117897925|XP_034662899.1|DSUB
OG0002220	LOC118460354|XP_035780489.1|AALB	LOC117899003|XP_034664641.1|DSUB
OG0002221	LOC118466122|XP_035790961.1|AALB	LOC117894494|XP_034657493.1|DSUB
OG0002222	LOC118465306|XP_035789299.1|AALB	LOC117890044|XP_034650554.1|DSUB
OG0002223	LOC118466451|XP_035791683.1|AALB	LOC117891944|XP_034653687.1|DSUB
OG0002224	LOC118466447|XP_035791661.1|AALB	LOC117892526|XP_034654708.1|DSUB
OG0002225	LOC118464801|XP_035788354.1|AALB	LOC117894121|XP_034656894.1|DSUB
OG0002226	LOC118464919|XP_035788585.1|AALB	LOC117892415|XP_034654539.1|DSUB
OG0002227	LOC118466510|XP_035791849.1|AALB	LOC117892342|XP_034654415.1|DSUB
OG0002228	LOC118466654|XP_035792134.1|AALB	LOC117892070|XP_034653949.1|DSUB
OG0002229	LOC118466657|XP_035792146.1|AALB	LOC117892045|XP_034653862.1|DSUB
OG0002230	LOC118466664|XP_035792156.1|AALB	LOC117890746|XP_034651693.1|DSUB
OG0002231	LOC118465942|XP_035790558.1|AALB	LOC117892215|XP_034654206.1|DSUB
OG0002233	LOC118464923|XP_035788589.1|AALB, LOC118464291|XP_035787466.1|AALB	LOC117894458|XP_034657449.1|DSUB
OG0002234	LOC118458706|XP_035777340.1|AALB, LOC118463578|XP_035786111.1|AALB, LOC118463534|XP_035786044.1|AALB	LOC117890713|XP_034651642.1|DSUB
OG0002235	LOC118467551|XP_035794042.1|AALB	LOC117891552|XP_034652959.1|DSUB
OG0002236	LOC118467329|XP_035793559.1|AALB	LOC117891028|XP_034652082.1|DSUB
OG0002237	LOC118467325|XP_035793555.1|AALB	LOC117889836|XP_034650215.1|DSUB
OG0002238	LOC118466106|XP_035790918.1|AALB	LOC117890064|XP_034650593.1|DSUB
OG0002239	LOC118466786|XP_035792416.1|AALB	LOC117892381|XP_034654483.1|DSUB
OG0002240	LOC118467051|XP_035792940.1|AALB	LOC117892458|XP_034654598.1|DSUB
OG0002241	LOC118462990|XP_035785096.1|AALB	LOC117895213|XP_034658595.1|DSUB
OG0002243	LOC118466547|XP_035791953.1|AALB	LOC117896272|XP_034660366.1|DSUB
OG0002244	LOC118464377|XP_035787612.1|AALB	LOC117895821|XP_034659649.1|DSUB
OG0002245	LOC118463123|XP_035785367.1|AALB	LOC117894125|XP_034656903.1|DSUB
OG0002246	LOC118467806|XP_035794573.1|AALB	LOC117891287|XP_034652570.1|DSUB
OG0002247	LOC118467478|XP_035793912.1|AALB	LOC117890444|XP_034651166.1|DSUB
OG0002248	LOC118465040|XP_035788799.1|AALB, LOC118464290|XP_035787462.1|AALB	LOC117894104|XP_034656871.1|DSUB
OG0002249	LOC118467855|XP_035794651.1|AALB, LOC118465592|XP_035789851.1|AALB	LOC117895813|XP_034659629.1|DSUB
OG0002250	LOC118465351|XP_035789406.1|AALB	LOC117891550|XP_034652957.1|DSUB
OG0002251	LOC118464478|XP_035787784.1|AALB	LOC117891340|XP_034652651.1|DSUB
OG0002252	LOC118464998|XP_035788732.1|AALB	LOC117890978|XP_034652010.1|DSUB
OG0002253	LOC118467285|XP_035793488.1|AALB	LOC117890262|XP_034650910.1|DSUB
OG0002254	LOC118464907|XP_035788563.1|AALB	LOC117899433|XP_034665326.1|DSUB
OG0002255	LOC118467349|XP_035793625.1|AALB	LOC117896859|XP_034661279.1|DSUB, LOC117901264|XP_034667850.1|DSUB
OG0002256	LOC118464864|XP_035788473.1|AALB	LOC117891946|XP_034653691.1|DSUB
OG0002257	LOC118463114|XP_035785332.1|AALB	LOC117890712|XP_034651641.1|DSUB
OG0002258	LOC118463220|XP_035785558.1|AALB	LOC117893762|XP_034656392.1|DSUB
OG0002259	LOC118464525|XP_035787855.1|AALB, LOC118463221|XP_035785559.1|AALB	LOC117890380|XP_034651074.1|DSUB
OG0002260	LOC118465240|XP_035789152.1|AALB	LOC117894825|XP_034657963.1|DSUB
OG0002261	LOC118464846|XP_035788434.1|AALB	LOC117893838|XP_034656494.1|DSUB
OG0002263	LOC118467095|XP_035793034.1|AALB	LOC117893398|XP_034655887.1|DSUB
OG0002264	LOC118466285|XP_035791263.1|AALB	LOC117890043|XP_034650552.1|DSUB
OG0002265	LOC118467337|XP_035793588.1|AALB	LOC117894424|XP_034657358.1|DSUB
OG0002266	LOC118465839|XP_035790340.1|AALB	LOC117894728|XP_034657812.1|DSUB
OG0002267	LOC118463242|XP_035785602.1|AALB	LOC117895569|XP_034659179.1|DSUB
OG0002268	LOC118463126|XP_035785376.1|AALB	LOC117893648|XP_034656228.1|DSUB
OG0002269	LOC118464520|XP_035787849.1|AALB	LOC117890348|XP_034651030.1|DSUB
OG0002270	LOC118467183|XP_035793264.1|AALB	LOC117889715|XP_034650027.1|DSUB
OG0002271	LOC118464879|XP_035788514.1|AALB	LOC117895236|XP_034658636.1|DSUB
OG0002272	LOC118463255|XP_035785617.1|AALB	LOC117893931|XP_034656605.1|DSUB
OG0002273	LOC118467338|XP_035793589.1|AALB	LOC117895650|XP_034659327.1|DSUB
OG0002274	LOC118467061|XP_035792956.1|AALB	LOC117894419|XP_034657321.1|DSUB
OG0002275	LOC118467896|XP_035794708.1|AALB	LOC117893881|XP_034656543.1|DSUB
OG0002276	LOC118462934|XP_035784938.1|AALB	LOC117895690|XP_034659415.1|DSUB
OG0002277	LOC118463957|XP_035786833.1|AALB	LOC117895698|XP_034659436.1|DSUB
OG0002278	LOC118464557|XP_035787889.1|AALB	LOC117893379|XP_034655864.1|DSUB
OG0002279	LOC118463351|XP_035785757.1|AALB	LOC117895512|XP_034659101.1|DSUB
OG0002280	LOC118466262|XP_035791217.1|AALB	LOC117893759|XP_034656386.1|DSUB
OG0002281	LOC118462558|XP_035784237.1|AALB	LOC117892994|XP_034655239.1|DSUB
OG0002282	LOC118466665|XP_035792161.1|AALB	LOC117893041|XP_034655307.1|DSUB
OG0002283	LOC118464587|XP_035787924.1|AALB	LOC117892120|XP_034654042.1|DSUB
OG0002284	LOC118465383|XP_035789470.1|AALB	LOC117892609|XP_034654851.1|DSUB
OG0002285	LOC118465615|XP_035789889.1|AALB	LOC117903565|XP_034671663.1|DSUB
OG0002286	LOC118466211|XP_035791126.1|AALB	LOC117890089|XP_034650639.1|DSUB
OG0002287	LOC118467184|XP_035793272.1|AALB	LOC117889716|XP_034650028.1|DSUB
OG0002288	LOC118463340|XP_035785748.1|AALB	LOC117895235|XP_034658632.1|DSUB
OG0002289	LOC118463546|XP_035786061.1|AALB	LOC117895406|XP_034658930.1|DSUB
OG0002290	LOC118459786|XP_035779400.1|AALB	LOC117901728|XP_034668501.1|DSUB
OG0002291	LOC118465044|XP_035788809.1|AALB	LOC117890063|XP_034650592.1|DSUB
OG0002292	LOC118467303|XP_035793516.1|AALB	LOC117891417|XP_034652774.1|DSUB
OG0002293	LOC118466943|XP_035792737.1|AALB	LOC117891321|XP_034652627.1|DSUB
OG0002294	LOC118466144|XP_035790989.1|AALB	LOC117899211|XP_034664974.1|DSUB
OG0002295	LOC118457932|XP_035775836.1|AALB	LOC117902460|XP_034669753.1|DSUB
OG0002296	LOC118456875|XP_035773881.1|AALB	LOC117902194|XP_034669282.1|DSUB
OG0002297	LOC118469081|XP_035796478.1|AALB	LOC117896520|XP_034660779.1|DSUB
OG0002298	LOC118457113|XP_035774306.1|AALB	LOC117892163|XP_034654119.1|DSUB, LOC117898087|XP_034663158.1|DSUB
OG0002299	LOC118457111|XP_035774303.1|AALB	LOC117889581|XP_034649878.1|DSUB
OG0002300	LOC118456309|XP_035772839.1|AALB	LOC117901924|XP_034668784.1|DSUB
OG0002301	LOC118457041|XP_035774177.1|AALB	LOC117900884|XP_034667302.1|DSUB
OG0002302	LOC118459785|XP_035779394.1|AALB	LOC117900340|XP_034666569.1|DSUB
OG0002303	LOC118459800|XP_035779430.1|AALB	LOC117903568|XP_034671666.1|DSUB
OG0002304	LOC118460844|XP_035781427.1|AALB	LOC117900833|XP_034667233.1|DSUB
OG0002305	LOC118468932|XP_035796148.1|AALB	LOC117894243|XP_034657073.1|DSUB
OG0002306	LOC118468367|XP_035795019.1|AALB, LOC118457509|XP_035775043.1|AALB	LOC117900292|XP_034666495.1|DSUB
OG0002307	LOC118468763|XP_035795830.1|AALB	LOC117901165|XP_034667707.1|DSUB
OG0002308	LOC118456776|XP_035773744.1|AALB	LOC117902195|XP_034669287.1|DSUB
OG0002309	LOC118468743|XP_035795794.1|AALB	LOC117901784|XP_034668584.1|DSUB
OG0002310	LOC118457960|XP_035775879.1|AALB	LOC117900096|XP_034666207.1|DSUB
OG0002311	LOC118468467|XP_035795154.1|AALB	LOC117900258|XP_034666448.1|DSUB
OG0002312	LOC118468469|XP_035795180.1|AALB	LOC117901114|XP_034667639.1|DSUB, LOC117901228|XP_034667791.1|DSUB
OG0002313	LOC118456223|XP_035772701.1|AALB	LOC117892228|XP_034654222.1|DSUB
OG0002314	LOC118458937|XP_035777809.1|AALB	LOC117891468|XP_034652842.1|DSUB
OG0002315	LOC118459688|XP_035779216.1|AALB	LOC117890510|XP_034651302.1|DSUB
OG0002316	LOC118456915|XP_035773937.1|AALB	LOC117901807|XP_034668612.1|DSUB
OG0002317	LOC118457869|XP_035775675.1|AALB	LOC117893208|XP_034655625.1|DSUB
OG0002318	LOC118457634|XP_035775258.1|AALB	LOC117900172|XP_034666308.1|DSUB
OG0002319	LOC118460721|XP_035781161.1|AALB	LOC117901512|XP_034668174.1|DSUB
OG0002320	LOC118456762|XP_035773720.1|AALB	LOC117889950|XP_034650396.1|DSUB
OG0002321	LOC118457451|XP_035774941.1|AALB	LOC117892515|XP_034654691.1|DSUB
OG0002322	LOC118458228|XP_035776389.1|AALB	LOC117902025|XP_034668975.1|DSUB
OG0002323	LOC118456898|XP_035773915.1|AALB	LOC117902005|XP_034668943.1|DSUB
OG0002324	LOC118468475|XP_035795186.1|AALB	LOC117893834|XP_034656488.1|DSUB
OG0002325	LOC118456146|XP_035772552.1|AALB	LOC117894364|XP_034657250.1|DSUB
OG0002326	LOC118460709|XP_035781129.1|AALB	LOC117894366|XP_034657257.1|DSUB
OG0002327	LOC118460707|XP_035781112.1|AALB	LOC117899599|XP_034665606.1|DSUB
OG0002328	LOC118468753|XP_035795807.1|AALB	LOC117901262|XP_034667846.1|DSUB
OG0002329	LOC118456215|XP_035772688.1|AALB	LOC117902742|XP_034670211.1|DSUB
OG0002330	LOC118460750|XP_035781229.1|AALB	LOC117901365|XP_034667965.1|DSUB
OG0002331	LOC118456462|XP_035773131.1|AALB	LOC117903457|XP_034671385.1|DSUB
OG0002332	LOC118458894|XP_035777742.1|AALB	LOC117893236|XP_034655684.1|DSUB
OG0002333	LOC118458297|XP_035776515.1|AALB	LOC117891968|XP_034653733.1|DSUB
OG0002334	LOC118458560|XP_035777096.1|AALB	LOC117901408|XP_034668032.1|DSUB
OG0002335	LOC118456211|XP_035772674.1|AALB	LOC117892240|XP_034654239.1|DSUB
OG0002336	LOC118460658|XP_035781016.1|AALB	LOC117894044|XP_034656784.1|DSUB
OG0002337	LOC118461048|XP_035781832.1|AALB	LOC117890915|XP_034651922.1|DSUB
OG0002338	LOC118461165|XP_035782056.1|AALB	LOC117900477|XP_034666752.1|DSUB
OG0002339	LOC118461475|XP_035782722.1|AALB	LOC117900571|XP_034666869.1|DSUB
OG0002340	LOC118461474|XP_035782720.1|AALB	LOC117902643|XP_034670058.1|DSUB, LOC117902642|XP_034670057.1|DSUB
OG0002341	LOC118460122|XP_035780054.1|AALB	LOC117891193|XP_034652420.1|DSUB
OG0002342	LOC118459081|XP_035778027.1|AALB	LOC117900546|XP_034666837.1|DSUB
OG0002343	LOC118461707|XP_035783226.1|AALB	LOC117902211|XP_034669321.1|DSUB
OG0002344	LOC118467663|XP_035794309.1|AALB	LOC117902282|XP_034669445.1|DSUB
OG0002345	LOC118460115|XP_035780046.1|AALB	LOC117890004|XP_034650485.1|DSUB
OG0002346	LOC118457666|XP_035775313.1|AALB	LOC117902596|XP_034669994.1|DSUB
OG0002347	LOC118457603|XP_035775202.1|AALB	LOC117890528|XP_034651337.1|DSUB
OG0002348	LOC118468429|XP_035795084.1|AALB	LOC117902787|XP_034670284.1|DSUB
OG0002349	LOC118459299|XP_035778441.1|AALB	LOC117890620|XP_034651453.1|DSUB
OG0002350	LOC118463437|XP_035785904.1|AALB	LOC117890003|XP_034650483.1|DSUB
OG0002351	LOC118459093|XP_035778051.1|AALB	LOC117891136|XP_034652235.1|DSUB
OG0002352	LOC118457750|XP_035775456.1|AALB	LOC117891236|XP_034652473.1|DSUB
OG0002353	LOC118461236|XP_035782228.1|AALB	LOC117902752|XP_034670232.1|DSUB
OG0002354	LOC118460926|XP_035781579.1|AALB	LOC117902124|XP_034669141.1|DSUB
OG0002355	LOC118461968|XP_035783771.1|AALB	LOC117902184|XP_034669248.1|DSUB
OG0002356	LOC118466908|XP_035792668.1|AALB	LOC117902405|XP_034669636.1|DSUB
OG0002357	LOC118466858|XP_035792590.1|AALB	LOC117896616|XP_034660941.1|DSUB
OG0002358	LOC118461531|XP_035782856.1|AALB	LOC117902377|XP_034669588.1|DSUB
OG0002359	LOC118459526|XP_035778876.1|AALB	LOC117890693|XP_034651582.1|DSUB
OG0002360	LOC118458718|XP_035777356.1|AALB	LOC117902725|XP_034670184.1|DSUB
OG0002361	LOC118456206|XP_035772664.1|AALB	LOC117894116|XP_034656886.1|DSUB
OG0002362	LOC118467138|XP_035793152.1|AALB	LOC117900328|XP_034666551.1|DSUB
OG0002363	LOC118458268|XP_035776472.1|AALB	LOC117901692|XP_034668444.1|DSUB
OG0002364	LOC118458266|XP_035776451.1|AALB	LOC117901690|XP_034668425.1|DSUB
OG0002365	LOC118458465|XP_035776877.1|AALB	LOC117901694|XP_034668446.1|DSUB
OG0002366	LOC118459997|XP_035779791.1|AALB	LOC117902078|XP_034669060.1|DSUB
OG0002367	LOC118459833|XP_035779489.1|AALB	LOC117901639|XP_034668360.1|DSUB
OG0002368	LOC118460004|XP_035779816.1|AALB	LOC117901734|XP_034668508.1|DSUB
OG0002369	LOC118468377|XP_035795029.1|AALB, LOC118457076|XP_035774248.1|AALB	LOC117890708|XP_034651640.1|DSUB
OG0002370	LOC118460984|XP_035781699.1|AALB	LOC117900300|XP_034666504.1|DSUB
OG0002371	LOC118460985|XP_035781700.1|AALB	LOC117900127|XP_034666243.1|DSUB
OG0002372	LOC118457711|XP_035775387.1|AALB	LOC117899952|XP_034665997.1|DSUB
OG0002373	LOC118462015|XP_035783854.1|AALB	LOC117900161|XP_034666294.1|DSUB
OG0002374	LOC118456445|XP_035773101.1|AALB	LOC117896015|XP_034659911.1|DSUB
OG0002375	LOC118466314|XP_035791318.1|AALB	LOC117899753|XP_034665895.1|DSUB
OG0002376	LOC118460350|XP_035780481.1|AALB	LOC117899969|XP_034666018.1|DSUB
OG0002377	LOC118456556|XP_035773318.1|AALB	LOC117897920|XP_034662895.1|DSUB
OG0002378	LOC118460962|XP_035781631.1|AALB	LOC117895765|XP_034659530.1|DSUB
OG0002379	LOC118461197|XP_035782135.1|AALB	LOC117901392|XP_034668017.1|DSUB
OG0002380	LOC118459636|XP_035779107.1|AALB	LOC117903253|XP_034671050.1|DSUB
OG0002381	LOC118460788|XP_035781285.1|AALB	LOC117890783|XP_034651745.1|DSUB
OG0002382	LOC118460791|XP_035781289.1|AALB	LOC117903492|XP_034671449.1|DSUB
OG0002383	LOC118460797|XP_035781297.1|AALB	LOC117893561|XP_034656113.1|DSUB
OG0002384	LOC118459894|XP_035779594.1|AALB	LOC117897529|XP_034662343.1|DSUB
OG0002386	LOC118461232|XP_035782219.1|AALB	LOC117898516|XP_034663874.1|DSUB
OG0002387	LOC118456943|XP_035773999.1|AALB	LOC117896396|XP_034660594.1|DSUB
OG0002388	LOC118461033|XP_035781807.1|AALB	LOC117896517|XP_034660776.1|DSUB
OG0002389	LOC118457262|XP_035774544.1|AALB	LOC117896706|XP_034661054.1|DSUB
OG0002390	LOC118456611|XP_035773413.1|AALB	LOC117900442|XP_034666703.1|DSUB
OG0002391	LOC118458861|XP_035777685.1|AALB	LOC117892417|XP_034654541.1|DSUB
OG0002392	LOC118457880|XP_035775702.1|AALB	LOC117892954|XP_034655176.1|DSUB
OG0002393	LOC118458618|XP_035777194.1|AALB	LOC117893322|XP_034655801.1|DSUB
OG0002394	LOC118469031|XP_035796379.1|AALB	LOC117897735|XP_034662660.1|DSUB
OG0002395	LOC118461927|XP_035783692.1|AALB	LOC117897596|XP_034662443.1|DSUB
OG0002396	LOC118457109|XP_035774301.1|AALB	LOC117890207|XP_034650829.1|DSUB, LOC117890206|XP_034650826.1|DSUB
OG0002397	LOC118461824|XP_035783473.1|AALB	LOC117891138|XP_034652238.1|DSUB
OG0002398	LOC118459453|XP_035778752.1|AALB	LOC117890789|XP_034651758.1|DSUB
OG0002399	LOC118458284|XP_035776499.1|AALB	LOC117890388|XP_034651082.1|DSUB
OG0002400	LOC118456280|XP_035772786.1|AALB	LOC117891163|XP_034652370.1|DSUB
OG0002401	LOC118468297|XP_035794919.1|AALB	LOC117902932|XP_034670425.1|DSUB
OG0002402	LOC118460542|XP_035780825.1|AALB	LOC117899795|XP_034665966.1|DSUB
OG0002403	LOC118460543|XP_035780826.1|AALB	LOC117899797|XP_034665970.1|DSUB
OG0002404	LOC118457979|XP_035775919.1|AALB	LOC117899458|XP_034665360.1|DSUB
OG0002405	LOC118457615|XP_035775219.1|AALB	LOC117897775|XP_034662711.1|DSUB
OG0002406	LOC118468618|XP_035795521.1|AALB	LOC117894015|XP_034656738.1|DSUB
OG0002408	LOC118461594|XP_035782991.1|AALB	LOC117897913|XP_034662885.1|DSUB
OG0002410	LOC118457203|XP_035774446.1|AALB	LOC117896626|XP_034660954.1|DSUB
OG0002411	LOC118461853|XP_035783539.1|AALB	LOC117898911|XP_034664491.1|DSUB
OG0002412	LOC118461405|XP_035782574.1|AALB	LOC117899682|XP_034665763.1|DSUB
OG0002413	LOC118461318|XP_035782411.1|AALB	LOC117902527|XP_034669848.1|DSUB
OG0002414	LOC118461716|XP_035783267.1|AALB	LOC117894696|XP_034657768.1|DSUB
OG0002415	LOC118468461|XP_035795147.1|AALB	LOC117896581|XP_034660877.1|DSUB
OG0002416	LOC118461510|XP_035782832.1|AALB, LOC118463829|XP_035786610.1|AALB	LOC117902995|XP_034670606.1|DSUB
OG0002417	LOC118459010|XP_035777908.1|AALB	LOC117901494|XP_034668153.1|DSUB
OG0002418	LOC118458867|XP_035777710.1|AALB	LOC117896067|XP_034659979.1|DSUB
OG0002419	LOC118460727|XP_035781172.1|AALB, LOC118464927|XP_035788593.1|AALB	LOC117896615|XP_034660943.1|DSUB
OG0002420	LOC118460161|XP_035780154.1|AALB	LOC117893044|XP_034655311.1|DSUB
OG0002421	LOC118456354|XP_035772908.1|AALB	LOC117898824|XP_034664382.1|DSUB
OG0002422	LOC118457412|XP_035774876.1|AALB	LOC117896256|XP_034660338.1|DSUB
OG0002423	LOC118460151|XP_035780140.1|AALB	LOC117893235|XP_034655683.1|DSUB
OG0002424	LOC118460491|XP_035780737.1|AALB	LOC117902923|XP_034670395.1|DSUB
OG0002425	LOC118459182|XP_035778230.1|AALB	LOC117903713|XP_034671951.1|DSUB
OG0002426	LOC118468863|XP_035796021.1|AALB	LOC117894185|XP_034656989.1|DSUB
OG0002427	LOC118461260|XP_035782273.1|AALB	LOC117902924|XP_034670396.1|DSUB
OG0002428	LOC118466759|XP_035792367.1|AALB	LOC117892487|XP_034654644.1|DSUB
OG0002429	LOC118458589|XP_035777145.1|AALB	LOC117893140|XP_034655486.1|DSUB
OG0002430	LOC118466378|XP_035791496.1|AALB	LOC117891921|XP_034653634.1|DSUB
OG0002431	LOC118464630|XP_035787969.1|AALB	LOC117890913|XP_034651919.1|DSUB
OG0002432	LOC118456443|XP_035773097.1|AALB	LOC117889837|XP_034650220.1|DSUB
OG0002433	LOC118464298|XP_035787476.1|AALB	LOC117898796|XP_034664327.1|DSUB
OG0002434	LOC118464154|XP_035787174.1|AALB	LOC117899623|XP_034665668.1|DSUB
OG0002436	LOC118463302|XP_035785681.1|AALB	LOC117890130|XP_034650708.1|DSUB
OG0002437	LOC118464260|XP_035787392.1|AALB, LOC118464363|XP_035787581.1|AALB	LOC117892477|XP_034654620.1|DSUB
OG0002438	LOC118467021|XP_035792862.1|AALB	LOC117903048|XP_034670678.1|DSUB
OG0002439	LOC118458026|XP_035776025.1|AALB	LOC117901711|XP_034668475.1|DSUB
OG0002440	LOC118463730|XP_035786417.1|AALB	LOC117892898|XP_034655088.1|DSUB
OG0002441	LOC118465670|XP_035789990.1|AALB	LOC117890354|XP_034651037.1|DSUB
OG0002442	LOC118465730|XP_035790085.1|AALB	LOC117891873|XP_034653530.1|DSUB
OG0002443	LOC118466936|XP_035792720.1|AALB	LOC117890121|XP_034650690.1|DSUB
OG0002444	LOC118462872|XP_035784824.1|AALB	LOC117890010|XP_034650500.1|DSUB
OG0002445	LOC118466744|XP_035792322.1|AALB	LOC117891514|XP_034652900.1|DSUB, LOC117899527|XP_034665483.1|DSUB
OG0002446	LOC118465220|XP_035789105.1|AALB	LOC117891916|XP_034653630.1|DSUB
OG0002447	LOC118463947|XP_035786817.1|AALB	LOC117893307|XP_034655780.1|DSUB
OG0002448	LOC118464420|XP_035787671.1|AALB	LOC117890146|XP_034650726.1|DSUB
OG0002449	LOC118464230|XP_035787305.1|AALB	LOC117889958|XP_034650407.1|DSUB
OG0002450	LOC118458328|XP_035776572.1|AALB	LOC117898709|XP_034664216.1|DSUB, LOC117899290|XP_034665093.1|DSUB, LOC117898711|XP_034664219.1|DSUB, LOC117897770|XP_034662707.1|DSUB
OG0002451	LOC118464169|XP_035787201.1|AALB	LOC117892291|XP_034654324.1|DSUB
OG0002452	LOC118463813|XP_035786583.1|AALB	LOC117889877|XP_034650276.1|DSUB
OG0002453	LOC118463812|XP_035786582.1|AALB	LOC117891554|XP_034652966.1|DSUB
OG0002454	LOC118463825|XP_035786601.1|AALB	LOC117895362|XP_034658836.1|DSUB
