Orthogroup	AALB.longest_only	DSEC.longest_only
OG0002406	LOC118468618|XP_035795521.1|AALB	LOC6605961|XP_002030773.1|DSEC
OG0002408	LOC118461594|XP_035782991.1|AALB	LOC6613955|XP_032578381.1|DSEC
OG0002410	LOC118457203|XP_035774446.1|AALB	LOC6619037|XP_032577333.1|DSEC
OG0002411	LOC118461853|XP_035783539.1|AALB	LOC6607171|XP_002031957.1|DSEC
OG0002412	LOC118461405|XP_035782574.1|AALB	LOC116801292|XP_032575838.1|DSEC
OG0002413	LOC118461318|XP_035782411.1|AALB	LOC6612220|XP_032582055.1|DSEC
OG0002414	LOC118461716|XP_035783267.1|AALB	LOC6610296|XP_002034891.1|DSEC
OG0002415	LOC118468461|XP_035795147.1|AALB	LOC6606704|XP_032577217.1|DSEC
OG0002416	LOC118461510|XP_035782832.1|AALB, LOC118463829|XP_035786610.1|AALB	LOC6619453|XP_032579952.1|DSEC
OG0002417	LOC118459010|XP_035777908.1|AALB	LOC6617207|XP_002041534.1|DSEC
OG0002418	LOC118458867|XP_035777710.1|AALB	LOC6620474|XP_002044683.1|DSEC
OG0002419	LOC118460727|XP_035781172.1|AALB, LOC118464927|XP_035788593.1|AALB	LOC6612510|XP_032582126.1|DSEC
OG0002420	LOC118460161|XP_035780154.1|AALB	LOC6610624|XP_032575504.1|DSEC
OG0002421	LOC118456354|XP_035772908.1|AALB	LOC6607743|XP_002032506.1|DSEC
OG0002422	LOC118457412|XP_035774876.1|AALB	LOC6614327|XP_002038767.1|DSEC
OG0002423	LOC118460151|XP_035780140.1|AALB	LOC6605235|XP_002030073.2|DSEC
OG0002424	LOC118460491|XP_035780737.1|AALB	LOC6620278|XP_002044487.2|DSEC
OG0002425	LOC118459182|XP_035778230.1|AALB	LOC6619938|XP_002044150.1|DSEC
OG0002426	LOC118468863|XP_035796021.1|AALB	LOC6610245|XP_002034840.2|DSEC
OG0002427	LOC118461260|XP_035782273.1|AALB	LOC6620285|XP_002044493.1|DSEC
OG0002428	LOC118466759|XP_035792367.1|AALB	LOC6615032|XP_002039449.2|DSEC
OG0002429	LOC118458589|XP_035777145.1|AALB	LOC6610512|XP_002035092.2|DSEC
OG0002430	LOC118466378|XP_035791496.1|AALB	LOC6607982|XP_002032730.1|DSEC
OG0002431	LOC118464630|XP_035787969.1|AALB	LOC6609942|XP_032572390.1|DSEC
OG0002432	LOC118456443|XP_035773097.1|AALB	LOC6612482|XP_002036990.2|DSEC
OG0002433	LOC118464298|XP_035787476.1|AALB	LOC6620519|XP_032577977.1|DSEC
OG0002434	LOC118464154|XP_035787174.1|AALB	LOC6607075|XP_002031863.1|DSEC
OG0002436	LOC118463302|XP_035785681.1|AALB	LOC6609077|XP_002033780.1|DSEC
OG0002437	LOC118464260|XP_035787392.1|AALB, LOC118464363|XP_035787581.1|AALB	LOC6609040|XP_002033743.1|DSEC
OG0002438	LOC118467021|XP_035792862.1|AALB	LOC6616046|XP_032581935.1|DSEC
OG0002439	LOC118458026|XP_035776025.1|AALB	LOC116802469|XP_032582834.1|DSEC, LOC6613571|XP_032572291.1|DSEC
OG0002440	LOC118463730|XP_035786417.1|AALB	LOC6606141|XP_002030949.2|DSEC
OG0002441	LOC118465670|XP_035789990.1|AALB	LOC6608387|XP_002033123.1|DSEC
OG0002442	LOC118465730|XP_035790085.1|AALB	LOC6609630|XP_002034307.1|DSEC
OG0002443	LOC118466936|XP_035792720.1|AALB	LOC6608570|XP_032572699.1|DSEC
OG0002444	LOC118462872|XP_035784824.1|AALB	LOC6615489|XP_032570846.1|DSEC
OG0002445	LOC118466744|XP_035792322.1|AALB	LOC6609058|XP_002033761.1|DSEC
OG0002446	LOC118465220|XP_035789105.1|AALB	LOC6609198|XP_002033889.1|DSEC
OG0002447	LOC118463947|XP_035786817.1|AALB	LOC6605499|XP_032574557.1|DSEC
OG0002448	LOC118464420|XP_035787671.1|AALB	LOC6615421|XP_002039803.1|DSEC
OG0002449	LOC118464230|XP_035787305.1|AALB	LOC6609509|XP_002034193.1|DSEC
OG0002450	LOC118458328|XP_035776572.1|AALB	LOC6606933|XP_032578029.1|DSEC
OG0002451	LOC118464169|XP_035787201.1|AALB	LOC6608247|XP_032570484.1|DSEC
OG0002452	LOC118463813|XP_035786583.1|AALB	LOC6615518|XP_002039897.1|DSEC
OG0002453	LOC118463812|XP_035786582.1|AALB	LOC6615517|XP_002039896.1|DSEC
OG0002454	LOC118463825|XP_035786601.1|AALB	LOC6610237|XP_002034832.1|DSEC
OG0002455	LOC118466013|XP_035790716.1|AALB	LOC6610238|XP_002034833.1|DSEC
OG0002456	LOC118466060|XP_035790802.1|AALB	LOC6615637|XP_032571850.1|DSEC
OG0002457	LOC118464737|XP_035788235.1|AALB	LOC6608025|XP_032572841.1|DSEC
OG0002458	LOC118457749|XP_035775454.1|AALB	LOC6613596|XP_002038065.1|DSEC
OG0002459	LOC118467100|XP_035793042.1|AALB	LOC6609014|XP_002033719.1|DSEC
OG0002460	LOC118464694|XP_035788107.1|AALB	LOC6613048|XP_002037531.1|DSEC
OG0002461	LOC118465162|XP_035789013.1|AALB	LOC6609545|XP_002034228.1|DSEC
OG0002462	LOC118465021|XP_035788776.1|AALB	LOC6609898|XP_032570713.1|DSEC
OG0002463	LOC118467226|XP_035793370.1|AALB	LOC6613000|XP_032572495.1|DSEC
OG0002464	LOC118467034|XP_035792910.1|AALB	LOC6609628|XP_002034305.1|DSEC
OG0002465	LOC118467032|XP_035792907.1|AALB	LOC6619150|XP_002043390.1|DSEC
OG0002466	LOC118467618|XP_035794215.1|AALB	LOC6619465|XP_032579749.1|DSEC
OG0002467	LOC118464769|XP_035788285.1|AALB	LOC6610881|XP_002035444.2|DSEC
OG0002468	LOC118465937|XP_035790540.1|AALB	LOC6605542|XP_002030370.1|DSEC
OG0002469	LOC118464168|XP_035787199.1|AALB	LOC6613789|XP_032578079.1|DSEC
OG0002470	LOC118464183|XP_035787227.1|AALB	LOC6608255|XP_002032999.1|DSEC
OG0002471	LOC118463363|XP_035785774.1|AALB	LOC6608351|XP_032572636.1|DSEC
OG0002472	LOC118464351|XP_035787565.1|AALB	LOC6608797|XP_002033516.1|DSEC
OG0002473	LOC118464361|XP_035787579.1|AALB	LOC6608713|XP_002033437.1|DSEC
OG0002474	LOC118462552|XP_035784212.1|AALB	LOC6605800|XP_032573308.1|DSEC
OG0002475	LOC118463881|XP_035786694.1|AALB	LOC6612836|XP_002037337.1|DSEC
OG0002476	LOC118464221|XP_035787286.1|AALB	LOC6615544|XP_002039923.1|DSEC
OG0002477	LOC118467251|XP_035793426.1|AALB	LOC6621650|XP_032572210.1|DSEC
OG0002478	LOC118467250|XP_035793421.1|AALB	LOC6620803|XP_032571514.1|DSEC
OG0002479	LOC118466774|XP_035792392.1|AALB	LOC6609094|XP_002033797.1|DSEC
OG0002480	LOC118464983|XP_035788708.1|AALB	LOC6620153|XP_032578044.1|DSEC
OG0002481	LOC118464500|XP_035787828.1|AALB	LOC6616036|XP_002040402.1|DSEC
OG0002482	LOC118463880|XP_035786692.1|AALB	LOC6609038|XP_002033741.1|DSEC
OG0002483	LOC118464941|XP_035788621.1|AALB	LOC6615792|XP_002040162.1|DSEC
OG0002484	LOC118464946|XP_035788628.1|AALB	LOC6609616|XP_002034293.1|DSEC
OG0002485	LOC118463977|XP_035786880.1|AALB	LOC6608228|XP_002032972.1|DSEC
OG0002486	LOC118467959|XP_035794835.1|AALB	LOC6619444|XP_002043659.1|DSEC
OG0002487	LOC118466257|XP_035791204.1|AALB	LOC6620140|XP_032569716.1|DSEC
OG0002488	LOC118464802|XP_035788358.1|AALB	LOC6615475|XP_002039855.1|DSEC
OG0002489	LOC118462685|XP_035784492.1|AALB	LOC6618397|XP_032573265.1|DSEC
OG0002490	LOC118463761|XP_035786468.1|AALB	LOC6621698|XP_032573097.1|DSEC
OG0002491	LOC118466923|XP_035792701.1|AALB	LOC6616482|XP_002040843.1|DSEC
OG0002492	LOC118465987|XP_035790668.1|AALB, LOC118465993|XP_035790678.1|AALB	LOC6609737|XP_032572777.1|DSEC
OG0002493	LOC118465985|XP_035790658.1|AALB	LOC6608239|XP_002032983.1|DSEC
OG0002495	LOC118462829|XP_035784753.1|AALB	LOC6609250|XP_002033940.1|DSEC
OG0002496	LOC118464803|XP_035788359.1|AALB	LOC6617007|XP_002041335.1|DSEC
OG0002497	LOC118464813|XP_035788373.1|AALB	LOC6605907|XP_002030720.2|DSEC
OG0002498	LOC118463201|XP_035785529.1|AALB	LOC6616438|XP_032575296.1|DSEC
OG0002508	LOC118459048|XP_035777969.1|AALB	LOC6614888|XP_032582162.1|DSEC
OG0002509	LOC118467981|XP_035794863.1|AALB	LOC6608035|XP_002032783.1|DSEC
OG0002510	LOC118458351|XP_035776599.1|AALB	LOC6620348|XP_002044556.1|DSEC
OG0002511	LOC118467147|XP_035793224.1|AALB	LOC6606505|XP_032576461.1|DSEC
OG0002512	LOC118458417|XP_035776738.1|AALB	LOC6619457|XP_002043672.2|DSEC
OG0002513	LOC118457877|XP_035775697.1|AALB	LOC6607046|XP_002031834.1|DSEC
OG0002514	LOC118467621|XP_035794223.1|AALB, LOC118460209|XP_035780217.1|AALB	LOC6610287|XP_002034882.1|DSEC
OG0002516	LOC118460637|XP_035780987.1|AALB	LOC6616959|XP_032579164.1|DSEC
OG0002517	LOC118456694|XP_035773592.1|AALB	LOC6618445|XP_032582256.1|DSEC
OG0002518	LOC118461771|XP_035783397.1|AALB	LOC6616617|XP_032577014.1|DSEC
OG0002519	LOC118462310|XP_035784009.1|AALB	LOC6615299|XP_002039703.1|DSEC
OG0002520	LOC118462336|XP_035784011.1|AALB	LOC6612341|XP_002036851.2|DSEC
OG0002522	LOC118463360|XP_035785770.1|AALB	LOC6613767|XP_002038236.1|DSEC
OG0002523	LOC118464696|XP_035788156.1|AALB	LOC6612964|XP_032577166.1|DSEC
OG0002524	LOC118460475|XP_035780702.1|AALB, LOC118462538|XP_035784200.1|AALB, LOC118465983|XP_035790659.1|AALB	LOC6612408|XP_032582007.1|DSEC
OG0002525	LOC118461653|XP_035783124.1|AALB	LOC6610862|XP_002035428.1|DSEC
OG0002526	LOC118458396|XP_035776699.1|AALB	LOC6606278|XP_002031083.1|DSEC
OG0002528	LOC118456509|XP_035773275.1|AALB	LOC6612208|XP_032582381.1|DSEC
OG0002529	LOC118464640|XP_035787995.1|AALB	LOC6616814|XP_002041151.1|DSEC
OG0002530	LOC118465697|XP_035790021.1|AALB	LOC6614721|XP_002039145.1|DSEC
OG0002531	LOC118468526|XP_035795287.1|AALB	LOC6613575|XP_002038043.1|DSEC
OG0002532	LOC118464240|XP_035787323.1|AALB	LOC6620435|XP_032574781.1|DSEC
OG0002533	LOC118465442|XP_035789589.1|AALB	LOC6620338|XP_032581599.1|DSEC
OG0002534	LOC118457279|XP_035774588.1|AALB	LOC6608689|XP_002033416.1|DSEC
OG0002535	LOC118466074|XP_035790839.1|AALB	LOC6618378|XP_002042648.1|DSEC
OG0002536	LOC118464376|XP_035787615.1|AALB, LOC118466675|XP_035792176.1|AALB	LOC6612716|XP_002037219.1|DSEC
OG0002537	LOC118467244|XP_035793409.1|AALB	LOC6615833|XP_002040203.2|DSEC
OG0002539	LOC118465434|XP_035789579.1|AALB	LOC6618880|XP_002043128.1|DSEC
OG0002540	LOC118456270|XP_035772778.1|AALB	LOC6606274|XP_002031079.1|DSEC
OG0002541	LOC118458974|XP_035777860.1|AALB	LOC6618082|XP_002042380.1|DSEC
OG0002542	LOC118461245|XP_035782255.1|AALB	LOC6615015|XP_002039432.1|DSEC
OG0002543	LOC118463118|XP_035785343.1|AALB, LOC118465289|XP_035789224.1|AALB	LOC6618636|XP_032582409.1|DSEC
OG0002544	LOC118458190|XP_035776330.1|AALB	LOC6607402|XP_002032175.1|DSEC
OG0002545	LOC118463572|XP_035786106.1|AALB	LOC6615999|XP_002040366.1|DSEC
OG0002547	LOC118468754|XP_035795808.1|AALB	LOC6612302|XP_002036812.1|DSEC
OG0002548	LOC118463908|XP_035786782.1|AALB	LOC6620307|XP_032581448.1|DSEC
OG0002549	LOC118463719|XP_035786443.1|AALB	LOC6618019|XP_032581260.1|DSEC
OG0002550	LOC118459714|XP_035779271.1|AALB	LOC6618466|XP_032579990.1|DSEC
OG0002551	LOC118463635|XP_035786260.1|AALB	LOC116801681|XP_032578626.1|DSEC
OG0002552	LOC118458898|XP_035777750.1|AALB	LOC6618222|XP_002042497.1|DSEC
OG0002553	LOC118458325|XP_035776567.1|AALB	LOC6620339|XP_032581592.1|DSEC
OG0002554	LOC118459206|XP_035778279.1|AALB	LOC6612285|XP_002036795.1|DSEC
OG0002555	LOC118458461|XP_035776874.1|AALB	LOC6612367|XP_032580872.1|DSEC
OG0002556	LOC118468415|XP_035795111.1|AALB	LOC6613574|XP_002038042.1|DSEC
OG0002557	LOC118459862|XP_035779530.1|AALB	LOC6618672|XP_002042931.1|DSEC
OG0002558	LOC118467729|XP_035794426.1|AALB, LOC118464952|XP_035788638.1|AALB	LOC6607619|XP_002032387.1|DSEC
OG0002559	LOC118460503|XP_035780794.1|AALB	LOC6620232|XP_032575397.1|DSEC
OG0002560	LOC118462752|XP_035784612.1|AALB	LOC6619196|XP_032577894.1|DSEC
OG0002561	LOC118457115|XP_035774310.1|AALB	LOC6619103|XP_002043343.2|DSEC
OG0002562	LOC118459194|XP_035778292.1|AALB	LOC6619872|XP_032582547.1|DSEC
OG0002565	LOC118458607|XP_035777178.1|AALB	LOC6607150|XP_002031936.1|DSEC
OG0002566	LOC118457951|XP_035775867.1|AALB	LOC6616622|XP_002040974.1|DSEC
OG0002567	LOC118458470|XP_035776896.1|AALB	LOC6612340|XP_002036850.1|DSEC
OG0002568	LOC118463556|XP_035786073.1|AALB, LOC118468644|XP_035795564.1|AALB	LOC6607205|XP_032578783.1|DSEC
OG0002569	LOC118466808|XP_035792487.1|AALB	LOC6616285|XP_002040649.1|DSEC
OG0002570	LOC118463264|XP_035785630.1|AALB	LOC6613740|XP_032578950.1|DSEC
OG0002571	LOC118459191|XP_035778243.1|AALB	LOC6613742|XP_032578958.1|DSEC
OG0002572	LOC118465676|XP_035790000.1|AALB	LOC6610006|XP_032572301.1|DSEC
OG0002573	LOC118465039|XP_035788802.1|AALB	LOC6613754|XP_002038223.1|DSEC
OG0002574	LOC118459213|XP_035778286.1|AALB	LOC6613769|XP_032578026.1|DSEC
OG0002575	LOC118460978|XP_035781689.1|AALB	LOC6606755|XP_032576955.1|DSEC
OG0002576	LOC118457903|XP_035775787.1|AALB	LOC116800180|XP_032580891.1|DSEC, LOC6620589|XP_032581084.1|DSEC
OG0002577	LOC118462760|XP_035784619.1|AALB	LOC6606079|XP_002030888.1|DSEC
OG0002578	LOC118463146|XP_035785416.1|AALB	LOC6613346|XP_002037821.1|DSEC
OG0002579	LOC118468470|XP_035795183.1|AALB	LOC116800303|XP_032570220.1|DSEC
OG0002580	LOC118456955|XP_035774025.1|AALB	LOC6608891|XP_002033605.1|DSEC
OG0002581	LOC118463781|XP_035786495.1|AALB	LOC6607641|XP_032579089.1|DSEC
OG0002582	LOC118460196|XP_035780195.1|AALB	LOC6607055|XP_002031843.2|DSEC
OG0002583	LOC118460362|XP_035780502.1|AALB	LOC6606966|XP_032576401.1|DSEC
OG0002584	LOC118459487|XP_035778797.1|AALB	LOC6618401|XP_002042671.1|DSEC
OG0002585	LOC118459494|XP_035778809.1|AALB	LOC6618400|XP_002042670.1|DSEC
OG0002586	LOC118461083|XP_035781869.1|AALB	LOC6620705|XP_002044905.2|DSEC
OG0002587	LOC118461082|XP_035781867.1|AALB	LOC6607304|XP_032576324.1|DSEC
OG0002588	LOC118458842|XP_035777638.1|AALB	LOC6607041|XP_002031829.1|DSEC
OG0002589	LOC118456825|XP_035773813.1|AALB	LOC6617077|XP_032576961.1|DSEC
OG0002590	LOC118458640|XP_035777222.1|AALB, LOC118464593|XP_035787933.1|AALB, LOC118458673|XP_035777281.1|AALB	LOC6617956|XP_032580009.1|DSEC
OG0002591	LOC118458027|XP_035776026.1|AALB	LOC6612913|XP_002037405.1|DSEC
OG0002592	LOC118456419|XP_035773045.1|AALB	LOC6618702|XP_002042961.1|DSEC
OG0002593	LOC118460083|XP_035779991.1|AALB	LOC6618698|XP_032577472.1|DSEC
OG0002594	LOC118461262|XP_035782277.1|AALB	LOC6606448|XP_032576567.1|DSEC
OG0002595	LOC118461076|XP_035781862.1|AALB	LOC6620517|XP_032578925.1|DSEC
OG0002596	LOC118457696|XP_035775362.1|AALB	LOC6606521|XP_002031322.2|DSEC
OG0002597	LOC118457495|XP_035775023.1|AALB	LOC6606982|XP_032576842.1|DSEC
OG0002598	LOC118468263|XP_035794906.1|AALB	LOC6607509|XP_032577415.1|DSEC
OG0002599	LOC118468881|XP_035796065.1|AALB	LOC6607056|XP_002031844.1|DSEC
OG0002600	LOC118459383|XP_035778578.1|AALB	LOC6608436|XP_032571964.1|DSEC
OG0002601	LOC118456247|XP_035772737.1|AALB	LOC6614350|XP_002038789.1|DSEC
OG0002602	LOC118460924|XP_035781573.1|AALB	LOC6612601|XP_002037106.1|DSEC
OG0002603	LOC118457541|XP_035775087.1|AALB	LOC6612816|XP_032579153.1|DSEC
OG0002604	LOC118458877|XP_035777720.1|AALB	LOC6612815|XP_002037316.1|DSEC
OG0002605	LOC118457185|XP_035774425.1|AALB	LOC6606631|XP_032577981.1|DSEC
OG0002606	LOC118457815|XP_035775569.1|AALB	LOC6606496|XP_032578874.1|DSEC
OG0002607	LOC118457828|XP_035775595.1|AALB	LOC6614315|XP_002038755.1|DSEC
OG0002608	LOC118460311|XP_035780411.1|AALB	LOC6616917|XP_032576525.1|DSEC
OG0002609	LOC118464878|XP_035788513.1|AALB	LOC6608739|XP_002033462.1|DSEC
OG0002610	LOC118460663|XP_035781023.1|AALB	LOC6620036|XP_002044248.1|DSEC
OG0002611	LOC118461384|XP_035782538.1|AALB	LOC6621750|XP_032577768.1|DSEC
OG0002612	LOC118457549|XP_035775108.1|AALB	LOC6619279|XP_002043496.1|DSEC, LOC116802593|XP_032582913.1|DSEC
OG0002613	LOC118460241|XP_035780290.1|AALB	LOC6607676|XP_032577669.1|DSEC
OG0002614	LOC118460234|XP_035780269.1|AALB	LOC6617055|XP_032576163.1|DSEC
OG0002615	LOC118457714|XP_035775393.1|AALB	LOC6610520|XP_002035100.2|DSEC
OG0002616	LOC118456417|XP_035773037.1|AALB	LOC6618685|XP_002042943.1|DSEC
OG0002617	LOC118461561|XP_035782915.1|AALB	LOC6607076|XP_002031864.1|DSEC
OG0002618	LOC118468547|XP_035795335.1|AALB	LOC116801771|XP_032579102.1|DSEC
OG0002619	LOC118461725|XP_035783285.1|AALB	LOC6616793|XP_032578173.1|DSEC
OG0002620	LOC118461756|XP_035783376.1|AALB	LOC6607776|XP_032579425.1|DSEC
OG0002621	LOC118468562|XP_035795367.1|AALB	LOC6607474|XP_002032243.1|DSEC
OG0002622	LOC118466776|XP_035792395.1|AALB	LOC6605891|XP_002030704.1|DSEC
OG0002623	LOC118457847|XP_035775627.1|AALB	LOC6607149|XP_032577971.1|DSEC
OG0002624	LOC118457850|XP_035775629.1|AALB	LOC6607354|XP_002032127.1|DSEC
OG0002625	LOC118457583|XP_035775156.1|AALB	LOC6607361|XP_032578927.1|DSEC
OG0002626	LOC118468557|XP_035795351.1|AALB	LOC6620253|XP_002044461.1|DSEC
OG0002627	LOC118459268|XP_035778384.1|AALB	LOC6607440|XP_032576744.1|DSEC
OG0002628	LOC118460455|XP_035780668.1|AALB	LOC6614033|XP_032576655.1|DSEC
OG0002629	LOC118456962|XP_035774036.1|AALB	LOC6606834|XP_032579211.1|DSEC
OG0002630	LOC118462009|XP_035783838.1|AALB, LOC118462008|XP_035783836.1|AALB	LOC6606207|XP_032579069.1|DSEC
OG0002631	LOC118461689|XP_035783199.1|AALB	LOC6619616|XP_002043828.1|DSEC
OG0002632	LOC118459624|XP_035779094.1|AALB	LOC6606437|XP_002031241.1|DSEC
OG0002633	LOC118457289|XP_035774644.1|AALB	LOC6613758|XP_032578428.1|DSEC
OG0002634	LOC118457287|XP_035774640.1|AALB	LOC6606412|XP_032576213.1|DSEC
OG0002635	LOC118460150|XP_035780139.1|AALB	LOC6607029|XP_002031818.1|DSEC
OG0002636	LOC118459954|XP_035779733.1|AALB	LOC6613786|XP_002038255.1|DSEC
OG0002637	LOC118458014|XP_035776005.1|AALB	LOC6617703|XP_032569690.1|DSEC
OG0002638	LOC118457956|XP_035775873.1|AALB	LOC6612786|XP_002037287.2|DSEC
OG0002639	LOC118460137|XP_035780115.1|AALB	LOC6606766|XP_032576574.1|DSEC
OG0002640	LOC118460635|XP_035780981.1|AALB	LOC6606481|XP_002031282.1|DSEC
OG0002641	LOC118461491|XP_035782766.1|AALB	LOC6606478|XP_002031279.1|DSEC
OG0002642	LOC118468448|XP_035795117.1|AALB	LOC6606477|XP_002031278.1|DSEC
OG0002643	LOC118468447|XP_035795110.1|AALB	LOC6606476|XP_032577164.1|DSEC
OG0002644	LOC118456236|XP_035772714.1|AALB	LOC6614078|XP_002038532.2|DSEC
OG0002645	LOC118458635|XP_035777217.1|AALB	LOC6614072|XP_032578231.1|DSEC
OG0002646	LOC118457346|XP_035774737.1|AALB	LOC6607761|XP_032579266.1|DSEC
OG0002647	LOC118457347|XP_035774738.1|AALB	LOC6607316|XP_002032090.1|DSEC
OG0002648	LOC118459579|XP_035779000.1|AALB	LOC6614313|XP_002038753.2|DSEC
OG0002649	LOC118458841|XP_035777637.1|AALB	LOC6607332|XP_032578557.1|DSEC
OG0002650	LOC118461478|XP_035782728.1|AALB	LOC6607317|XP_002032091.1|DSEC
OG0002651	LOC118456795|XP_035773775.1|AALB	LOC6616915|XP_002041245.1|DSEC
OG0002652	LOC118457013|XP_035774134.1|AALB	LOC6620077|XP_002044289.1|DSEC
OG0002653	LOC118461567|XP_035782936.1|AALB, LOC118468614|XP_035795508.1|AALB	LOC6618764|XP_002043022.1|DSEC
OG0002654	LOC118457913|XP_035775806.1|AALB	LOC6618762|XP_032578295.1|DSEC
OG0002655	LOC118460059|XP_035779935.1|AALB	LOC116800175|XP_032582906.1|DSEC, LOC6619281|XP_032576172.1|DSEC
OG0002656	LOC118457885|XP_035775707.1|AALB	LOC6606543|XP_032576436.1|DSEC
OG0002657	LOC118456355|XP_035772909.1|AALB	LOC6607030|XP_002031819.1|DSEC
OG0002658	LOC118468310|XP_035794941.1|AALB	LOC6612958|XP_002037450.1|DSEC
OG0002659	LOC118467283|XP_035793482.1|AALB, LOC118461339|XP_035782442.1|AALB	LOC6612609|XP_002037114.1|DSEC
OG0002660	LOC118462569|XP_035784263.1|AALB	LOC116802111|XP_032581182.1|DSEC
OG0002661	LOC118466149|XP_035791008.1|AALB	LOC6618755|XP_002043013.2|DSEC
OG0002662	LOC118467474|XP_035793906.1|AALB	LOC6618882|XP_032572418.1|DSEC
OG0002663	LOC118458578|XP_035777129.1|AALB	LOC6607712|XP_002032476.1|DSEC
OG0002664	LOC118468303|XP_035794932.1|AALB	LOC6617194|XP_032572827.1|DSEC
OG0002665	LOC118465312|XP_035789321.1|AALB	LOC6608131|XP_002032878.2|DSEC
OG0002666	LOC118465298|XP_035789271.1|AALB	LOC6608126|XP_032573083.1|DSEC
OG0002667	LOC118464790|XP_035788314.1|AALB	LOC6608453|XP_002033187.1|DSEC
OG0002668	LOC118462525|XP_035784165.1|AALB	LOC6610385|XP_002034967.2|DSEC
OG0002669	LOC118462528|XP_035784174.1|AALB	LOC6611710|XP_002036243.1|DSEC
OG0002670	LOC118466458|XP_035791703.1|AALB	LOC6604776|XP_002029627.1|DSEC
OG0002671	LOC118465718|XP_035790047.1|AALB	LOC6604769|XP_032573425.1|DSEC
OG0002672	LOC118465097|XP_035788923.1|AALB	LOC6615330|XP_032571837.1|DSEC
OG0002673	LOC118462748|XP_035784605.1|AALB	LOC6612994|XP_032573974.1|DSEC, LOC6615837|XP_002040207.1|DSEC
OG0002674	LOC118463832|XP_035786614.1|AALB	LOC6608450|XP_032571724.1|DSEC
OG0002675	LOC118463149|XP_035785418.1|AALB	LOC6611123|XP_002035680.1|DSEC
OG0002676	LOC118466652|XP_035792131.1|AALB	LOC6618869|XP_032572013.1|DSEC
OG0002677	LOC118465941|XP_035790556.1|AALB	LOC6607976|XP_032571710.1|DSEC
OG0002678	LOC118462973|XP_035785034.1|AALB	LOC6608628|XP_002033362.1|DSEC
OG0002679	LOC118464655|XP_035788019.1|AALB	LOC6615831|XP_032570243.1|DSEC
OG0002680	LOC118460185|XP_035780183.1|AALB, LOC118459797|XP_035779425.1|AALB	LOC6615880|XP_032582593.1|DSEC
OG0002681	LOC118464206|XP_035787269.1|AALB	LOC6615323|XP_032570670.1|DSEC
OG0002682	LOC118462589|XP_035784295.1|AALB	LOC6610808|XP_002035374.1|DSEC
OG0002684	LOC118466302|XP_035791299.1|AALB	LOC6617912|XP_032581137.1|DSEC
OG0002685	LOC118467203|XP_035793310.1|AALB	LOC6610258|XP_002034853.2|DSEC
OG0002686	LOC118467739|XP_035794438.1|AALB	LOC6610481|XP_002035061.1|DSEC
OG0002687	LOC118462807|XP_035784712.1|AALB	LOC6618406|XP_032574092.1|DSEC
OG0002688	LOC118465094|XP_035788897.1|AALB	LOC6606054|XP_002030865.1|DSEC
OG0002689	LOC118467769|XP_035794491.1|AALB	LOC6620310|XP_002044518.1|DSEC
OG0002690	LOC118462812|XP_035784722.1|AALB	LOC6605242|XP_002030080.1|DSEC
OG0002691	LOC118462805|XP_035784701.1|AALB	LOC6615620|XP_002039994.2|DSEC
OG0002692	LOC118462811|XP_035784716.1|AALB	LOC6613013|XP_002037503.2|DSEC
OG0002693	LOC118463509|XP_035786002.1|AALB	LOC6610368|XP_002034954.2|DSEC
OG0002694	LOC118465307|XP_035789300.1|AALB	LOC6608484|XP_032571562.1|DSEC
OG0002695	LOC118464783|XP_035788307.1|AALB	LOC6610911|XP_002035468.1|DSEC
OG0002696	LOC118465340|XP_035789389.1|AALB	LOC6605977|XP_032574023.1|DSEC
OG0002697	LOC118466520|XP_035791905.1|AALB	LOC6604783|XP_002029634.1|DSEC
OG0002698	LOC118462922|XP_035784922.1|AALB	LOC6610550|XP_032575883.1|DSEC
OG0002699	LOC118462926|XP_035784928.1|AALB	LOC6611125|XP_002035682.1|DSEC
OG0002700	LOC118467466|XP_035793872.1|AALB	LOC116801277|XP_032575673.1|DSEC, LOC6605863|XP_032575651.1|DSEC
OG0002701	LOC118467470|XP_035793897.1|AALB	LOC6615706|XP_032572898.1|DSEC
OG0002702	LOC118466956|XP_035792749.1|AALB	LOC6615764|XP_032572692.1|DSEC
OG0002704	LOC118465252|XP_035789166.1|AALB	LOC6609260|XP_002033950.1|DSEC
OG0002705	LOC118466433|XP_035791624.1|AALB	LOC6611030|XP_032573765.1|DSEC
OG0002706	LOC118463030|XP_035785165.1|AALB	LOC6608632|XP_002033366.1|DSEC
OG0002707	LOC118463023|XP_035785154.1|AALB	LOC6610134|XP_032575235.1|DSEC
OG0002708	LOC118465063|XP_035788839.1|AALB, LOC118460263|XP_035780329.1|AALB	LOC6605916|XP_002030729.1|DSEC
OG0002709	LOC118467119|XP_035793081.1|AALB	LOC6608308|XP_032570379.1|DSEC
OG0002710	LOC118467121|XP_035793083.1|AALB	LOC6615275|XP_002039679.1|DSEC
OG0002711	LOC118464249|XP_035787344.1|AALB	LOC6615273|XP_002039677.1|DSEC
OG0002712	LOC118465384|XP_035789471.1|AALB, LOC118465109|XP_035788946.1|AALB	LOC6609706|XP_032571915.1|DSEC
OG0002713	LOC118463809|XP_035786578.1|AALB	LOC6608871|XP_032571319.1|DSEC
