Orthogroup	DBUS.longest_only	ASTE.longest_only
OG0001291	LOC108595003|XP_017835627.1|DBUS	LOC118506591|XP_035899841.1|ASTE
OG0001292	LOC108596770|XP_017838355.1|DBUS	LOC118503098|XP_035891890.1|ASTE, LOC118503104|XP_035891929.1|ASTE
OG0001293	LOC108606164|XP_017851505.1|DBUS, LOC108607182|XP_017853328.1|DBUS	LOC118506581|XP_035899830.1|ASTE
OG0001294	LOC108603876|XP_017848536.1|DBUS, LOC108605674|XP_033150258.1|DBUS	LOC118504858|XP_035895786.1|ASTE
OG0001295	LOC108605580|XP_017850839.1|DBUS, LOC108595376|XP_033150953.1|DBUS	LOC118505807|XP_035898040.1|ASTE
OG0001296	LOC108598546|XP_017840719.1|DBUS	LOC118508335|XP_035903896.1|ASTE, LOC118517059|XP_035918802.1|ASTE
OG0001297	LOC108601954|XP_033149942.1|DBUS	LOC118505340|XP_035896889.1|ASTE
OG0001298	LOC108601613|XP_033149866.1|DBUS	LOC118502576|XP_035890795.1|ASTE, LOC118506506|XP_035899615.1|ASTE
OG0001299	LOC108600786|XP_017844047.1|DBUS	LOC118505511|XP_035897300.1|ASTE, LOC118505510|XP_035897296.1|ASTE
OG0001300	LOC108602803|XP_017846514.1|DBUS	LOC118505015|XP_035896097.1|ASTE
OG0001301	LOC108601913|XP_017845383.1|DBUS	LOC118517591|XP_035919764.1|ASTE, LOC118505292|XP_035896780.1|ASTE, LOC118517184|XP_035918995.1|ASTE
OG0001302	LOC108596526|XP_017837902.1|DBUS	LOC118506830|XP_035900433.1|ASTE
OG0001303	LOC108603668|XP_017848153.1|DBUS	LOC118517568|XP_035919706.1|ASTE
OG0001304	LOC108597256|XP_017839200.1|DBUS	LOC118502579|XP_035890806.1|ASTE
OG0001305	LOC108597482|XP_017839546.1|DBUS, LOC108597481|XP_017839545.1|DBUS, LOC108603599|XP_017848032.1|DBUS	LOC118508529|XP_035904296.1|ASTE
OG0001306	LOC108602831|XP_017846561.1|DBUS	LOC118507719|XP_035902560.1|ASTE
OG0001307	LOC108599599|XP_017842040.1|DBUS	LOC118502798|XP_035891298.1|ASTE
OG0001308	LOC108605431|XP_017850596.1|DBUS	LOC118506555|XP_035899757.1|ASTE
OG0001309	LOC108603532|XP_017847918.1|DBUS	LOC118507709|XP_035902497.1|ASTE, LOC118507710|XP_035902498.1|ASTE
OG0001311	LOC108606279|XP_017851749.1|DBUS	LOC118503317|XP_035892341.1|ASTE, LOC118517427|XP_035919433.1|ASTE
OG0001312	LOC108597919|XP_017840025.2|DBUS	LOC118503305|XP_035892318.1|ASTE
OG0001313	LOC108596779|XP_017838367.1|DBUS	LOC118507236|XP_035901379.1|ASTE
OG0001314	LOC108608411|XP_017855259.1|DBUS	LOC118512881|XP_035914293.1|ASTE
OG0001315	LOC108605012|XP_017850068.1|DBUS, LOC108606132|XP_017851474.1|DBUS	LOC118506659|XP_035899970.1|ASTE
OG0001326	LOC108602768|XP_017846430.1|DBUS	LOC118508303|XP_035903851.1|ASTE
OG0001328	LOC108605706|XP_017850987.1|DBUS	LOC118503066|XP_035891829.1|ASTE
OG0001329	LOC108598123|XP_017840229.1|DBUS, LOC108606875|XP_017852887.1|DBUS	LOC118509272|XP_035905520.1|ASTE
OG0001330	LOC108606755|XP_017852647.2|DBUS	LOC118517158|XP_035918929.1|ASTE
OG0001331	LOC108606035|XP_017851351.1|DBUS	LOC118512722|XP_035913464.1|ASTE
OG0001332	LOC108606355|XP_017851893.1|DBUS	LOC118511331|XP_035910159.1|ASTE, LOC118511265|XP_035910034.1|ASTE
OG0001333	LOC108605555|XP_017850804.1|DBUS	LOC118509806|XP_035906845.1|ASTE, LOC118509778|XP_035906813.1|ASTE
OG0001334	LOC108604723|XP_017849790.1|DBUS	LOC118502597|XP_035890857.1|ASTE, LOC118502813|XP_035891349.1|ASTE
OG0001335	LOC108603850|XP_017848492.1|DBUS	LOC118505565|XP_035897415.1|ASTE, LOC118505566|XP_035897416.1|ASTE
OG0001337	LOC108606596|XP_017852332.1|DBUS	LOC118511391|XP_035910312.1|ASTE
OG0001338	LOC108595193|XP_017835866.1|DBUS	LOC118505063|XP_035896234.1|ASTE, LOC118516461|XP_035918252.1|ASTE
OG0001339	LOC108596553|XP_017837939.1|DBUS	LOC118502918|XP_035891545.1|ASTE, LOC118512193|XP_035912188.1|ASTE
OG0001340	LOC108598625|XP_017840813.1|DBUS	LOC118506774|XP_035900262.1|ASTE
OG0001341	LOC108601888|XP_017845352.1|DBUS	LOC118507844|XP_035902868.1|ASTE
OG0001343	LOC108601461|XP_017844848.1|DBUS	LOC118502423|XP_035890543.1|ASTE
OG0001344	LOC108604331|XP_017849246.1|DBUS	LOC118506366|XP_035899279.1|ASTE, LOC118506365|XP_035899272.1|ASTE
OG0001345	LOC108604561|XP_017849579.1|DBUS	LOC118516458|XP_035918249.1|ASTE, LOC118505112|XP_035896307.1|ASTE, LOC118516457|XP_035918247.1|ASTE, LOC118505111|XP_035896305.1|ASTE
OG0001346	LOC108603922|XP_017848603.1|DBUS	LOC118505438|XP_035897125.1|ASTE
OG0001347	LOC108605756|XP_017851047.1|DBUS	LOC118508585|XP_035904383.1|ASTE
OG0001348	LOC108606593|XP_017852328.1|DBUS	LOC118517273|XP_035919140.1|ASTE, LOC118514280|XP_035916915.1|ASTE
OG0001349	LOC108598595|XP_017840778.1|DBUS, LOC108599963|XP_033149408.1|DBUS	LOC118510488|XP_035908267.1|ASTE
OG0001350	LOC108598568|XP_017840741.1|DBUS	LOC118512205|XP_035912208.1|ASTE
OG0001351	LOC108596489|XP_017837765.1|DBUS	LOC118512096|XP_035911955.1|ASTE
OG0001352	LOC108596956|XP_017838686.1|DBUS	LOC118509480|XP_035906015.1|ASTE
OG0001353	LOC108598863|XP_017841109.1|DBUS	LOC118504607|XP_035895177.1|ASTE, LOC118509513|XP_035906095.1|ASTE
OG0001354	LOC108597548|XP_017839645.1|DBUS	LOC118511541|XP_035910637.1|ASTE
OG0001355	LOC108608201|XP_017854964.1|DBUS	LOC118511525|XP_035910607.1|ASTE
OG0001356	LOC108603481|XP_017847818.1|DBUS	LOC118513488|XP_035915204.1|ASTE, LOC118509738|XP_035906760.1|ASTE
OG0001357	LOC108599937|XP_017842647.1|DBUS	LOC118512759|XP_035913542.1|ASTE, LOC118516367|XP_035918113.1|ASTE
OG0001358	LOC108601013|XP_033149737.1|DBUS	LOC118512760|XP_035913544.1|ASTE, LOC118516364|XP_035918093.1|ASTE
OG0001359	LOC108607831|XP_017854379.1|DBUS	LOC118514604|XP_035917493.1|ASTE, LOC118512664|XP_035913309.1|ASTE
OG0001360	LOC108597645|XP_017839783.1|DBUS	LOC118514357|XP_035917072.1|ASTE
OG0001361	LOC108598068|XP_017840171.2|DBUS	LOC118509799|XP_035906828.1|ASTE, LOC118509800|XP_035906829.1|ASTE
OG0001362	LOC108598904|XP_017841156.1|DBUS	LOC118512297|XP_035912420.1|ASTE
OG0001363	LOC108603230|XP_017847334.1|DBUS	LOC118503687|XP_035893121.1|ASTE, LOC118512288|XP_035912404.1|ASTE
OG0001364	LOC108594659|XP_033150978.1|DBUS	LOC118514188|XP_035916767.1|ASTE, LOC118513327|XP_035914827.1|ASTE
OG0001365	LOC108598726|XP_017840944.1|DBUS	LOC118513191|XP_035914572.1|ASTE
OG0001367	LOC108597360|XP_017839366.1|DBUS	LOC118509863|XP_035906966.1|ASTE
OG0001368	LOC108596324|XP_017837435.1|DBUS	LOC118513233|XP_035914671.1|ASTE
OG0001369	LOC117134643|XP_017851599.2|DBUS, LOC108605787|XP_017851079.2|DBUS, LOC108606218|XP_033150278.1|DBUS	LOC118514260|XP_035916869.1|ASTE
OG0001370	LOC108597523|XP_033149017.1|DBUS	LOC118517323|XP_035919196.1|ASTE, LOC118509379|XP_035905813.1|ASTE
OG0001371	LOC108607473|XP_017853801.2|DBUS	LOC118509649|XP_035906463.1|ASTE
OG0001372	LOC117134648|XP_033150995.1|DBUS, LOC108596137|XP_033150994.1|DBUS	LOC118512013|XP_035911681.1|ASTE
OG0001373	LOC108594271|XP_017834892.1|DBUS	LOC118511033|XP_035909507.1|ASTE
OG0001374	LOC108597148|XP_017839031.1|DBUS	LOC118513899|XP_035916109.1|ASTE
OG0001376	LOC108595300|XP_017836003.1|DBUS	LOC118515231|XP_035917809.1|ASTE, LOC118513577|XP_035915418.1|ASTE, LOC118515229|XP_035917808.1|ASTE, LOC118513576|XP_035915417.1|ASTE
OG0001377	LOC108608145|XP_033149788.1|DBUS	LOC118513915|XP_035916158.1|ASTE
OG0001378	LOC108594229|XP_017834829.1|DBUS	LOC118512644|XP_035913253.1|ASTE
OG0001379	LOC108598264|XP_017840372.1|DBUS	LOC118513885|XP_035916092.1|ASTE
OG0001380	LOC108595043|XP_017835672.1|DBUS	LOC118508988|XP_035904879.1|ASTE
OG0001381	LOC108595321|XP_017836030.1|DBUS	LOC118514539|XP_035917415.1|ASTE
OG0001382	LOC108607844|XP_017854400.1|DBUS	LOC118512516|XP_035912927.1|ASTE
OG0001383	LOC108595829|XP_017836609.1|DBUS	LOC118511029|XP_035909502.1|ASTE
OG0001384	LOC108598577|XP_017840755.1|DBUS	LOC118509868|XP_035906984.1|ASTE
OG0001385	LOC108608450|XP_017855317.1|DBUS	LOC118513824|XP_035915953.1|ASTE, LOC118506497|XP_035899585.1|ASTE
OG0001387	LOC108598246|XP_017840353.1|DBUS	LOC118510806|XP_035909014.1|ASTE, LOC118510807|XP_035909016.1|ASTE
OG0001389	LOC108604784|XP_017849871.1|DBUS	LOC118504458|XP_035894846.1|ASTE, LOC118504454|XP_035894839.1|ASTE
OG0001390	LOC108594356|XP_017835003.1|DBUS	LOC118506752|XP_035900235.1|ASTE
OG0001391	LOC108598536|XP_017840708.1|DBUS	LOC118504503|XP_035894922.1|ASTE
OG0001392	LOC108605779|XP_017851071.1|DBUS	LOC118506657|XP_035899968.1|ASTE
OG0001393	LOC108605858|XP_017851158.1|DBUS	LOC118502606|XP_035890863.1|ASTE
OG0001394	LOC108607399|XP_017853663.1|DBUS	LOC118507094|XP_035900977.1|ASTE, LOC118504798|XP_035895669.1|ASTE
OG0001395	LOC108604118|XP_017848892.1|DBUS	LOC118505832|XP_035898080.1|ASTE
OG0001396	LOC108606696|XP_017852554.1|DBUS	LOC118506543|XP_035899727.1|ASTE
OG0001397	LOC108604774|XP_017849860.1|DBUS	LOC118508436|XP_035904108.1|ASTE, LOC118507361|XP_035901666.1|ASTE
OG0001399	LOC108596987|XP_017838741.1|DBUS	LOC118512891|XP_035913888.1|ASTE
OG0001400	LOC108601668|XP_017845058.1|DBUS	LOC118503474|XP_035892665.1|ASTE
OG0001401	LOC108598163|XP_017840269.2|DBUS	LOC118508071|XP_035903427.1|ASTE, LOC118509254|XP_035905482.1|ASTE
OG0001402	LOC108599508|XP_017841864.2|DBUS	LOC118508085|XP_035903453.1|ASTE
OG0001403	LOC108598770|XP_017841000.1|DBUS	LOC118512335|XP_035912510.1|ASTE
OG0001404	LOC108596388|XP_017837551.1|DBUS	LOC118505990|XP_035898449.1|ASTE
OG0001405	LOC108595288|XP_017836318.1|DBUS	LOC118516517|XP_035918344.1|ASTE, LOC118516525|XP_035918353.1|ASTE, LOC118506091|XP_035898664.1|ASTE
OG0001406	LOC108605766|XP_017851058.1|DBUS	LOC118506116|XP_035898717.1|ASTE
OG0001407	LOC108599593|XP_017842028.1|DBUS	LOC118508052|XP_035903398.1|ASTE
OG0001408	LOC108594829|XP_017835456.1|DBUS	LOC118509985|XP_035907259.1|ASTE
OG0001429	LOC108604066|XP_017848819.1|DBUS	LOC118504939|XP_035895931.1|ASTE, LOC118504930|XP_035895920.1|ASTE
OG0001430	LOC108603079|XP_017847056.1|DBUS	LOC118513099|XP_035914393.1|ASTE, LOC118510660|XP_035908704.1|ASTE
OG0001431	LOC108606357|XP_017851894.1|DBUS	LOC118502803|XP_035891317.1|ASTE
OG0001432	LOC108607127|XP_017853254.1|DBUS	LOC118517173|XP_035918974.1|ASTE, LOC118505181|XP_035896528.1|ASTE
OG0001433	LOC108602309|XP_017845881.1|DBUS	LOC118503728|XP_035893234.1|ASTE
OG0001434	LOC108605749|XP_017851037.1|DBUS	LOC118503987|XP_035893827.1|ASTE
OG0001435	LOC108597036|XP_017838818.1|DBUS	LOC118511737|XP_035911080.1|ASTE
OG0001436	LOC108605711|XP_017850992.1|DBUS	LOC118517432|XP_035919444.1|ASTE
OG0001437	LOC108607997|XP_017854647.1|DBUS	LOC118513084|XP_035914345.1|ASTE
OG0001438	LOC108601828|XP_017845258.1|DBUS	LOC118503425|XP_035892562.1|ASTE, LOC118511093|XP_035909688.1|ASTE
OG0001439	LOC108602275|XP_017845821.1|DBUS	LOC118506957|XP_035900670.1|ASTE, LOC118505187|XP_035896539.1|ASTE
OG0001440	LOC108606032|XP_017851349.1|DBUS	LOC118508086|XP_035903459.1|ASTE
OG0001442	LOC108602126|XP_017845645.1|DBUS, LOC108605991|XP_017851301.1|DBUS	LOC118508483|XP_035904197.1|ASTE, LOC118505129|XP_035896339.1|ASTE
OG0001443	LOC108603880|XP_017848541.1|DBUS	LOC118506833|XP_035900438.1|ASTE, LOC118506832|XP_035900437.1|ASTE
OG0001444	LOC108604586|XP_017849606.1|DBUS	LOC118502379|XP_035890493.1|ASTE
OG0001445	LOC108604055|XP_017848806.1|DBUS	LOC118503034|XP_035891758.1|ASTE
OG0001446	LOC108602389|XP_017845990.1|DBUS	LOC118505222|XP_035896639.1|ASTE
OG0001447	LOC108603217|XP_017847303.1|DBUS, LOC108603658|XP_017848124.1|DBUS	LOC118504441|XP_035894794.1|ASTE
OG0001448	LOC108602767|XP_017846428.1|DBUS	LOC118508304|XP_035903852.1|ASTE
OG0001449	LOC108595985|XP_017836762.1|DBUS, LOC108595986|XP_017836763.1|DBUS, LOC108599017|XP_017841286.1|DBUS	LOC118502961|XP_035891617.1|ASTE
OG0001450	LOC108603908|XP_017848581.1|DBUS, LOC108608538|XP_033150726.1|DBUS	LOC118512095|XP_035911953.1|ASTE
OG0001451	LOC108597063|XP_017838876.1|DBUS	LOC118510862|XP_035909101.1|ASTE
OG0001452	LOC108595903|XP_033149142.1|DBUS	LOC118508899|XP_035904631.1|ASTE
OG0001453	LOC108600341|XP_017843353.2|DBUS	LOC118513011|XP_035914178.1|ASTE, LOC118513010|XP_035914177.1|ASTE
OG0001454	LOC108604341|XP_017849257.1|DBUS	LOC118511629|XP_035910833.1|ASTE, LOC118512994|XP_035914143.1|ASTE
OG0001455	LOC108600449|XP_017843525.2|DBUS, LOC108598054|XP_033149295.1|DBUS	LOC118512978|XP_035914115.1|ASTE
OG0001456	LOC108596118|XP_017837051.2|DBUS	LOC118513600|XP_035915513.1|ASTE, LOC118517282|XP_035919146.1|ASTE
OG0001457	LOC108596084|XP_017836991.1|DBUS	LOC118512050|XP_035911786.1|ASTE
OG0001458	LOC108595459|XP_017836189.1|DBUS	LOC118512939|XP_035914013.1|ASTE, LOC118508836|XP_035904476.1|ASTE
OG0001459	LOC108598886|XP_017841136.1|DBUS	LOC118514612|XP_035917501.1|ASTE, LOC118512686|XP_035913362.1|ASTE
OG0001460	LOC108596263|XP_017837308.1|DBUS	LOC118509617|XP_035906336.1|ASTE
OG0001461	LOC108607733|XP_033150766.1|DBUS	LOC118512844|XP_035913798.1|ASTE
OG0001462	LOC108599471|XP_017841799.2|DBUS	LOC118514225|XP_035916816.1|ASTE, LOC118514224|XP_035916815.1|ASTE, LOC118514226|XP_035916817.1|ASTE
OG0001464	LOC108605426|XP_017850591.1|DBUS, LOC108599562|XP_017841947.1|DBUS	LOC118510298|XP_035907815.1|ASTE
OG0001466	LOC108608363|XP_017855201.2|DBUS	LOC118509517|XP_035906111.1|ASTE
OG0001467	LOC108608001|XP_017854655.1|DBUS	LOC118517642|XP_035919855.1|ASTE, LOC118510380|XP_035908019.1|ASTE
OG0001468	LOC108598570|XP_017840744.2|DBUS	LOC118517241|XP_035919108.1|ASTE, LOC118509363|XP_035905779.1|ASTE
OG0001469	LOC108596337|XP_017837480.1|DBUS	LOC118512310|XP_035912446.1|ASTE
OG0001470	LOC108598839|XP_017841082.2|DBUS	LOC118509554|XP_035906198.1|ASTE, LOC118509555|XP_035906200.1|ASTE
OG0001471	LOC108598023|XP_033149452.1|DBUS	LOC118509952|XP_035907180.1|ASTE
OG0001472	LOC117134908|XP_033150248.1|DBUS, LOC108598977|XP_017841240.1|DBUS	LOC118511819|XP_035911252.1|ASTE
OG0001473	LOC108602693|XP_017846321.1|DBUS	LOC118509034|XP_035904965.1|ASTE, LOC118509031|XP_035904961.1|ASTE, LOC118509018|XP_035904929.1|ASTE
OG0001474	LOC108604911|XP_017849970.1|DBUS, LOC108595261|XP_017835961.1|DBUS	LOC118511983|XP_035911615.1|ASTE
OG0001475	LOC108598597|XP_017840780.2|DBUS, LOC108597723|XP_017839903.1|DBUS	LOC118505830|XP_035898077.1|ASTE
OG0001476	LOC117135007|XP_033150676.1|DBUS, LOC117135033|XP_033150751.1|DBUS	LOC118510956|XP_035909305.1|ASTE
OG0001477	LOC108604328|XP_017849243.1|DBUS	LOC118513902|XP_035916117.1|ASTE
OG0001478	LOC108607716|XP_017854207.1|DBUS	LOC118509976|XP_035907249.1|ASTE, LOC118513674|XP_035915670.1|ASTE
OG0001479	LOC117134795|XP_033149577.1|DBUS	LOC118513844|XP_035916015.1|ASTE
OG0001480	LOC108594429|XP_017835092.1|DBUS	LOC118513940|XP_035916216.1|ASTE
OG0001481	LOC108607495|XP_017853830.1|DBUS, LOC108607492|XP_017853828.1|DBUS	LOC118511126|XP_035909752.1|ASTE
OG0001482	LOC108594933|XP_017835556.1|DBUS	LOC118514014|XP_035916376.1|ASTE
OG0001483	LOC108608142|XP_017854873.1|DBUS	LOC118510033|XP_035907314.1|ASTE
OG0001484	LOC108598984|XP_033149607.1|DBUS	LOC118511672|XP_035910923.1|ASTE
OG0001485	LOC108598086|XP_017840188.1|DBUS	LOC118512587|XP_035913119.1|ASTE
OG0001486	LOC108594491|XP_017835173.1|DBUS	LOC118513256|XP_035914712.1|ASTE, LOC118513257|XP_035914713.1|ASTE
OG0001487	LOC108603795|XP_017848385.2|DBUS	LOC118511555|XP_035910677.1|ASTE
OG0001488	LOC108595450|XP_017836179.1|DBUS	LOC118509962|XP_035907234.1|ASTE
OG0001489	LOC108607674|XP_033149970.1|DBUS, LOC108595698|XP_017836473.1|DBUS	LOC118510785|XP_035908963.1|ASTE
OG0001490	LOC108602378|XP_017845976.1|DBUS	LOC118510781|XP_035908959.1|ASTE
OG0001491	LOC108595425|XP_017836146.1|DBUS, LOC108600546|XP_017843695.1|DBUS, LOC108607223|XP_017853389.1|DBUS	LOC118514099|XP_035916532.1|ASTE
OG0001492	LOC108606108|XP_017851448.1|DBUS	LOC118510657|XP_035908675.1|ASTE
OG0001493	LOC108595160|XP_017835821.2|DBUS, LOC108605234|XP_017850336.1|DBUS	LOC118506650|XP_035899947.1|ASTE
OG0001494	LOC108606052|XP_017851389.1|DBUS	LOC118517546|XP_035919678.1|ASTE
OG0001495	LOC108597506|XP_017839583.1|DBUS	LOC118506658|XP_035899969.1|ASTE
OG0001496	LOC108605591|XP_017850853.1|DBUS	LOC118507659|XP_035902329.1|ASTE
OG0001497	LOC108596990|XP_017838748.1|DBUS	LOC118502537|XP_035890702.1|ASTE
OG0001500	LOC108595141|XP_017835795.1|DBUS	LOC118505138|XP_035896380.1|ASTE
OG0001501	LOC108598980|XP_017841244.2|DBUS	LOC118507979|XP_035903221.1|ASTE
OG0001502	LOC108597221|XP_017839153.1|DBUS	LOC118504323|XP_035894545.1|ASTE
OG0001503	LOC108594685|XP_017835315.1|DBUS	LOC118512405|XP_035912684.1|ASTE
OG0001504	LOC108606484|XP_017852112.1|DBUS	LOC118507224|XP_035901272.1|ASTE
OG0001506	LOC108597639|XP_017839775.1|DBUS	LOC118503700|XP_035893156.1|ASTE, LOC118503701|XP_035893157.1|ASTE
OG0001507	LOC108595005|XP_017835629.1|DBUS	LOC118508184|XP_035903636.1|ASTE, LOC118508187|XP_035903638.1|ASTE
OG0001508	LOC108595466|XP_017836200.1|DBUS	LOC118506283|XP_035899092.1|ASTE, LOC118506285|XP_035899099.1|ASTE
OG0001509	LOC108594921|XP_017835545.1|DBUS	LOC118505926|XP_035898319.1|ASTE
OG0001510	LOC108608138|XP_017854864.1|DBUS	LOC118507303|XP_035901570.1|ASTE, LOC118503983|XP_035893820.1|ASTE
OG0001511	LOC108597145|XP_017839028.1|DBUS	LOC118507242|XP_035901387.1|ASTE
OG0001512	LOC108600835|XP_017844119.1|DBUS	LOC118503073|XP_035891843.1|ASTE
OG0001513	LOC108598229|XP_033149754.1|DBUS	LOC118508391|XP_035904027.1|ASTE
OG0001515	LOC108606768|XP_017852669.1|DBUS	LOC118503019|XP_035891735.1|ASTE
OG0001534	LOC108605294|XP_017850433.1|DBUS	LOC118505899|XP_035898676.1|ASTE
OG0001535	LOC108606925|XP_017852961.1|DBUS	LOC118517720|XP_035920066.1|ASTE
OG0001536	LOC108605736|XP_017851020.1|DBUS	LOC118506790|XP_035900302.1|ASTE
OG0001537	LOC108600395|XP_017843437.1|DBUS	LOC118503752|XP_035893296.1|ASTE, LOC118503751|XP_035893295.1|ASTE
OG0001538	LOC108606341|XP_017851874.1|DBUS	LOC118503667|XP_035893096.1|ASTE
OG0001539	LOC108597052|XP_017838860.1|DBUS	LOC118517360|XP_035919269.1|ASTE
OG0001540	LOC108594259|XP_017834873.1|DBUS	LOC118511146|XP_035909770.1|ASTE
OG0001541	LOC108599413|XP_017841713.1|DBUS	LOC118517446|XP_035919481.1|ASTE
OG0001542	LOC108604323|XP_017849237.1|DBUS	LOC118502635|XP_035890979.1|ASTE
OG0001545	LOC108605664|XP_017850940.1|DBUS	LOC118506676|XP_035900013.1|ASTE
OG0001546	LOC108607110|XP_017853228.1|DBUS	LOC118508312|XP_035903877.1|ASTE
OG0001548	LOC108607175|XP_017853318.1|DBUS	LOC118517085|XP_035918834.1|ASTE
OG0001549	LOC108606567|XP_017852509.1|DBUS	LOC118511070|XP_035909580.1|ASTE
OG0001551	LOC108603464|XP_017847791.1|DBUS	LOC118508471|XP_035904171.1|ASTE
OG0001552	LOC108603924|XP_017848607.1|DBUS, LOC108594732|XP_017835358.1|DBUS	LOC118506807|XP_035900358.1|ASTE
OG0001553	LOC108605093|XP_033150208.1|DBUS	LOC118504450|XP_035894835.1|ASTE, LOC118507559|XP_035902043.1|ASTE
OG0001554	LOC108603527|XP_017847910.1|DBUS, LOC108601588|XP_017844977.1|DBUS	LOC118503590|XP_035892934.1|ASTE
OG0001556	LOC108595646|XP_017836410.1|DBUS	LOC118514356|XP_035917071.1|ASTE
OG0001557	LOC108605208|XP_017850300.1|DBUS	LOC118504645|XP_035895294.1|ASTE, LOC118505132|XP_035896359.1|ASTE
OG0001558	LOC108606946|XP_017852991.1|DBUS	LOC118504481|XP_035894891.1|ASTE
OG0001559	LOC108601659|XP_017845048.1|DBUS	LOC118502705|XP_035891142.1|ASTE
OG0001560	LOC108603381|XP_017847641.1|DBUS	LOC118506880|XP_035900522.1|ASTE
OG0001561	LOC108601657|XP_017845045.1|DBUS	LOC118502733|XP_035891187.1|ASTE, LOC118515314|XP_035917895.1|ASTE
OG0001562	LOC108607833|XP_017854382.1|DBUS	LOC118511566|XP_035910698.1|ASTE
OG0001563	LOC108603397|XP_017847669.1|DBUS	LOC118506798|XP_035900314.1|ASTE
OG0001564	LOC108603070|XP_017847022.1|DBUS	LOC118505168|XP_035896467.1|ASTE
OG0001565	LOC108601975|XP_017845457.1|DBUS	LOC118515292|XP_035917863.1|ASTE, LOC118506372|XP_035899287.1|ASTE
OG0001566	LOC108603322|XP_017847527.1|DBUS	LOC118505781|XP_035897970.1|ASTE
OG0001567	LOC108597624|XP_017839756.1|DBUS	LOC118511921|XP_035911452.1|ASTE
OG0001568	LOC108603213|XP_017847294.1|DBUS	LOC118511924|XP_035911466.1|ASTE
OG0001569	LOC108604661|XP_017849702.1|DBUS	LOC118511929|XP_035911502.1|ASTE
OG0001570	LOC108603209|XP_017847285.1|DBUS	LOC118504393|XP_035894692.1|ASTE
OG0001571	LOC117134991|XP_033150591.1|DBUS	LOC118511747|XP_035911102.1|ASTE
OG0001572	LOC108605519|XP_017850757.1|DBUS	LOC118508886|XP_035904608.1|ASTE, LOC118508884|XP_035904598.1|ASTE
OG0001573	LOC108600374|XP_017843401.1|DBUS	LOC118512694|XP_035913394.1|ASTE
OG0001574	LOC108606973|XP_017853030.1|DBUS	LOC118517603|XP_035919784.1|ASTE, LOC118509099|XP_035905148.1|ASTE
OG0001575	LOC108601867|XP_017845314.1|DBUS	LOC118511278|XP_035910063.1|ASTE
OG0001576	LOC108604658|XP_017849697.1|DBUS	LOC118512248|XP_035912283.1|ASTE
OG0001577	LOC108602988|XP_017846867.1|DBUS	LOC118508852|XP_035904498.1|ASTE
OG0001578	LOC108597751|XP_017839948.1|DBUS	LOC118517265|XP_035919131.1|ASTE, LOC118510235|XP_035907693.1|ASTE
OG0001579	LOC108606802|XP_017852760.1|DBUS	LOC118509698|XP_035906659.1|ASTE
OG0001580	LOC108597463|XP_017839524.1|DBUS	LOC118511539|XP_035910626.1|ASTE
OG0001581	LOC108605040|XP_033150281.1|DBUS	LOC118512895|XP_035913900.1|ASTE
OG0001582	LOC108596584|XP_017837998.1|DBUS	LOC118514210|XP_035916796.1|ASTE
OG0001583	LOC108596789|XP_017838381.1|DBUS, LOC117135087|XP_033150915.1|DBUS	LOC118509919|XP_035907122.1|ASTE
OG0001584	LOC108598370|XP_017840481.1|DBUS	LOC118509247|XP_035905474.1|ASTE
OG0001586	LOC108599942|XP_017842655.1|DBUS	LOC118510349|XP_035907937.1|ASTE
OG0001587	LOC108596516|XP_017837847.1|DBUS	LOC118511335|XP_035910161.1|ASTE
OG0001588	LOC108595400|XP_017836115.1|DBUS	LOC118512235|XP_035912262.1|ASTE
OG0001589	LOC108608342|XP_017855175.1|DBUS	LOC118507578|XP_035902124.1|ASTE
OG0001590	LOC108596609|XP_017838038.1|DBUS, LOC108596608|XP_017838028.1|DBUS	LOC118512262|XP_035912326.1|ASTE
OG0001591	LOC108604407|XP_017849362.1|DBUS	LOC118509673|XP_035906569.1|ASTE
OG0001593	LOC108608052|XP_033149776.1|DBUS	LOC118513303|XP_035914777.1|ASTE
OG0001594	LOC108598529|XP_033149934.1|DBUS	LOC118508926|XP_035904703.1|ASTE
OG0001595	LOC108597084|XP_017838919.1|DBUS	LOC118513575|XP_035915404.1|ASTE
OG0001596	LOC108594341|XP_033150519.1|DBUS	LOC118509053|XP_035905056.1|ASTE
OG0001598	LOC108608123|XP_033150862.1|DBUS	LOC118514155|XP_035916662.1|ASTE, LOC118517206|XP_035919060.1|ASTE
OG0001599	LOC108608452|XP_017855321.1|DBUS	LOC118513962|XP_035916270.1|ASTE
OG0001600	LOC108607930|XP_033150043.1|DBUS	LOC118512033|XP_035911718.1|ASTE
OG0001601	LOC108608443|XP_017855308.1|DBUS	LOC118511048|XP_035909539.1|ASTE
OG0001603	LOC108595529|XP_033150151.1|DBUS	LOC118513928|XP_035916189.1|ASTE, LOC118513930|XP_035916193.1|ASTE
OG0001604	LOC108605171|XP_033150421.1|DBUS, LOC108603587|XP_017848017.1|DBUS	LOC118506855|XP_035900478.1|ASTE
OG0001605	LOC108595155|XP_017835814.1|DBUS	LOC118517091|XP_035918837.1|ASTE, LOC118513873|XP_035916071.1|ASTE
OG0001606	LOC117135005|XP_033150673.1|DBUS	LOC118511131|XP_035909758.1|ASTE
