Orthogroup	DBUS.longest_only	AAEG.longest_only
OG0001118	LOC108606121|XP_017851463.1|DBUS	LOC5576587|XP_001656164.1|AAEG
OG0001119	LOC117134713|XP_033149138.1|DBUS	LOC5578575|XP_001663964.2|AAEG, LOC5578993|XP_001664172.2|AAEG
OG0001120	LOC108602369|XP_017845960.1|DBUS	LOC5579964|XP_021694051.1|AAEG, LOC5579967|XP_021694034.1|AAEG
OG0001122	LOC108598440|XP_017840562.2|DBUS	LOC5580002|XP_021696287.1|AAEG
OG0001124	LOC108603667|XP_017848151.1|DBUS	LOC5566358|XP_011493024.2|AAEG
OG0001125	LOC108601789|XP_017845212.1|DBUS	LOC5564459|XP_001648807.1|AAEG, LOC5564448|XP_021697773.1|AAEG
OG0001126	LOC108599516|XP_033149420.1|DBUS	LOC5564449|XP_021697783.1|AAEG
OG0001127	LOC108598165|XP_017840271.2|DBUS	LOC110676270|XP_021699174.1|AAEG, LOC5577767|XP_001663540.2|AAEG
OG0001128	LOC108597779|XP_017839983.1|DBUS	LOC5569022|XP_021699805.1|AAEG, LOC5568978|XP_001658266.2|AAEG, LOC110680432|XP_021711921.1|AAEG
OG0001129	LOC108608259|XP_033150727.1|DBUS	LOC5580253|XP_021700216.1|AAEG
OG0001130	LOC108602684|XP_017846354.2|DBUS	LOC5565380|XP_001649719.1|AAEG
OG0001131	LOC108607382|XP_033150543.1|DBUS	LOC5569186|XP_021701055.1|AAEG, LOC5569188|XP_021701062.1|AAEG, LOC5569187|XP_021701057.1|AAEG
OG0001133	LOC108596929|XP_033150025.1|DBUS	LOC5567743|XP_021702162.1|AAEG
OG0001134	LOC108597562|XP_017839660.1|DBUS	LOC5566394|XP_001650777.2|AAEG
OG0001135	LOC108602839|XP_017846579.1|DBUS	LOC110681483|XP_021712937.1|AAEG, LOC5577456|XP_001663382.1|AAEG, LOC5578027|XP_001656767.1|AAEG
OG0001136	LOC108601248|XP_033149955.1|DBUS, LOC108601257|XP_033149797.1|DBUS	LOC5576263|XP_021705682.1|AAEG
OG0001137	LOC108601265|XP_017844654.1|DBUS	LOC110680734|XP_021712217.1|AAEG, LOC5578514|XP_001663904.1|AAEG
OG0001138	LOC108600147|XP_017843029.1|DBUS	LOC5572135|XP_021705094.1|AAEG
OG0001139	LOC117134797|XP_033149599.1|DBUS, LOC108598162|XP_017840268.2|DBUS	LOC5574958|XP_021709947.1|AAEG
OG0001153	LOC108597662|XP_017839816.1|DBUS	LOC110679098|XP_021708772.1|AAEG
OG0001154	LOC108607513|XP_017853868.1|DBUS	LOC5568239|XP_021701587.1|AAEG, LOC5570838|XP_021694225.1|AAEG, LOC110679193|XP_021708992.1|AAEG, LOC23687831|XP_021702807.1|AAEG, LOC110676973|XP_021702808.1|AAEG, LOC5576517|XP_001662707.2|AAEG, LOC5571238|XP_021704526.1|AAEG, LOC5573547|XP_001654682.2|AAEG, LOC5568242|XP_021712402.1|AAEG, LOC110675196|XP_021695299.1|AAEG, LOC110675139|XP_021695212.1|AAEG
OG0001155	LOC108606509|XP_017852168.1|DBUS	LOC5572551|XP_021698157.1|AAEG
OG0001157	LOC108603075|XP_033149778.1|DBUS	LOC5575867|XP_021704769.1|AAEG
OG0001158	LOC108607471|XP_017853798.1|DBUS	LOC5579227|XP_001664307.1|AAEG
OG0001159	LOC108602985|XP_017846860.1|DBUS	LOC5577246|XP_021710377.1|AAEG
OG0001160	LOC108600008|XP_017842800.1|DBUS, LOC108603258|XP_017847395.1|DBUS	LOC5577411|XP_001656491.2|AAEG
OG0001161	LOC108602836|XP_017846574.1|DBUS	LOC5566642|XP_021711748.1|AAEG
OG0001162	LOC108604725|XP_017849793.1|DBUS	LOC5576344|XP_021693313.1|AAEG
OG0001164	LOC108602513|XP_017846132.1|DBUS	LOC5575602|XP_001662091.2|AAEG
OG0001165	LOC108596973|XP_017838715.1|DBUS, LOC108594929|XP_017835554.1|DBUS, LOC108594928|XP_017835553.1|DBUS	LOC5565600|XP_021693794.1|AAEG
OG0001166	LOC108599428|XP_017841728.1|DBUS	LOC5577073|XP_021696372.1|AAEG
OG0001167	LOC108594649|XP_033149226.1|DBUS	LOC5577554|XP_021696671.1|AAEG
OG0001168	LOC108597682|XP_017839845.1|DBUS	LOC5572693|XP_001660512.1|AAEG
OG0001169	LOC108606895|XP_017852911.1|DBUS	LOC5567092|XP_021697463.1|AAEG, LOC5566849|XP_001651270.2|AAEG
OG0001170	LOC108604581|XP_017849601.1|DBUS	LOC5568877|XP_001652599.2|AAEG
OG0001171	LOC108599800|XP_017842362.2|DBUS, LOC117134805|XP_033149666.1|DBUS	LOC5572977|XP_021698415.1|AAEG
OG0001172	LOC108594993|XP_017835615.1|DBUS	LOC5566033|XP_021698883.1|AAEG
OG0001173	LOC108604048|XP_017848799.1|DBUS	LOC5576977|XP_001663072.2|AAEG
OG0001174	LOC108599682|XP_017842163.1|DBUS	LOC5569279|XP_001652811.1|AAEG
OG0001175	LOC108597518|XP_017839601.1|DBUS, LOC108605081|XP_017850136.1|DBUS	LOC5574385|XP_001661410.2|AAEG
OG0001176	LOC108594810|XP_017835437.1|DBUS	LOC5571149|XP_021700283.1|AAEG
OG0001177	LOC108607904|XP_017854500.2|DBUS	LOC5569526|XP_021704024.1|AAEG
OG0001178	LOC108595785|XP_017836566.1|DBUS	LOC110676927|XP_021702495.1|AAEG
OG0001179	LOC108596995|XP_017838754.1|DBUS	LOC5577540|XP_001656556.3|AAEG
OG0001180	LOC108607350|XP_017853525.1|DBUS	LOC5568068|XP_001652002.1|AAEG
OG0001181	LOC108598483|XP_017840627.2|DBUS	LOC5575371|XP_001661902.2|AAEG
OG0001182	LOC108604519|XP_017849513.1|DBUS	LOC5571228|XP_001653528.1|AAEG, LOC5571227|XP_021707004.1|AAEG
OG0001183	LOC108607166|XP_017853306.1|DBUS, LOC108599378|XP_017841673.1|DBUS, LOC108604172|XP_017848993.1|DBUS	LOC5564518|XP_021705619.1|AAEG
OG0001185	LOC108602843|XP_017846588.1|DBUS	LOC5575995|XP_021707351.1|AAEG
OG0001186	LOC117134948|XP_033150415.1|DBUS	LOC5568008|XP_021708299.1|AAEG
OG0001187	LOC108596885|XP_017838555.1|DBUS	LOC5578526|XP_001663917.1|AAEG, LOC5578524|XP_001663915.2|AAEG
OG0001188	LOC108597720|XP_017839900.1|DBUS	LOC5579654|XP_001648128.2|AAEG
OG0001189	LOC108595252|XP_017835945.1|DBUS	LOC5565498|XP_021705339.1|AAEG, LOC5568971|XP_001652631.2|AAEG
OG0001190	LOC108605723|XP_017851005.1|DBUS	LOC5565484|XP_021707036.1|AAEG, LOC110680425|XP_021711915.1|AAEG, LOC5565483|XP_021706750.1|AAEG
OG0001191	LOC108607785|XP_017854312.2|DBUS	LOC5574691|XP_021708304.1|AAEG, LOC5574688|XP_021707897.1|AAEG
OG0001192	LOC108594290|XP_017834921.1|DBUS	LOC5563930|XP_021705115.1|AAEG
OG0001193	LOC108603201|XP_017847272.1|DBUS	LOC5572088|XP_001660168.1|AAEG, LOC110680475|XP_021711974.1|AAEG
OG0001194	LOC108605290|XP_017850428.1|DBUS	LOC5578080|XP_001656773.1|AAEG
OG0001195	LOC108595419|XP_017836136.1|DBUS	LOC5568267|XP_001657964.2|AAEG
OG0001201	LOC108601769|XP_017845183.2|DBUS	LOC5564649|XP_001648985.2|AAEG, LOC5572031|XP_001660136.1|AAEG, LOC110678423|XP_021706974.1|AAEG, LOC5564633|XP_001648987.2|AAEG
OG0001202	LOC108606385|XP_017851939.1|DBUS	LOC5572017|XP_001660128.1|AAEG
OG0001203	LOC108607376|XP_017853587.2|DBUS	LOC5574322|XP_021694574.1|AAEG, LOC110681443|XP_021712896.1|AAEG, LOC110674735|XP_021694562.1|AAEG
OG0001204	LOC108608408|XP_017855255.1|DBUS	LOC5574716|XP_001655300.2|AAEG
OG0001205	LOC108603447|XP_017847766.1|DBUS	LOC5575088|XP_001661798.1|AAEG
OG0001206	LOC108603740|XP_017848286.1|DBUS	LOC5572256|XP_021695027.1|AAEG
OG0001207	LOC108607697|XP_017854173.1|DBUS, LOC108606110|XP_017851446.1|DBUS	LOC5578378|XP_021695131.1|AAEG
OG0001208	LOC108605036|XP_033150283.1|DBUS	LOC5576373|XP_021695474.1|AAEG
OG0001209	LOC108602178|XP_017845705.1|DBUS	LOC5579262|XP_021696013.1|AAEG, LOC5571213|XP_021696002.1|AAEG
OG0001210	LOC108605558|XP_017850811.1|DBUS	LOC5576886|XP_021703422.1|AAEG, LOC5576881|XP_021703451.1|AAEG
OG0001211	LOC108603218|XP_017847304.1|DBUS	LOC5567066|XP_021712826.1|AAEG
OG0001212	LOC108606983|XP_017853046.1|DBUS	LOC5580010|XP_001653890.2|AAEG
OG0001213	LOC108601439|XP_017844826.1|DBUS	LOC5564694|XP_021692994.1|AAEG, LOC5564683|XP_001649031.3|AAEG, LOC5564679|XP_001649029.3|AAEG, LOC5564684|XP_001649030.2|AAEG
OG0001214	LOC108604087|XP_017848853.1|DBUS	LOC5576401|XP_001662611.1|AAEG
OG0001215	LOC108604517|XP_017849510.1|DBUS	LOC5573442|XP_021693624.1|AAEG, LOC5573437|XP_021693618.1|AAEG
OG0001216	LOC108603459|XP_017847780.2|DBUS	LOC5564193|XP_001648534.2|AAEG, LOC5576567|XP_021693630.1|AAEG
OG0001217	LOC108606647|XP_017852489.1|DBUS	LOC5564004|XP_021693760.1|AAEG
OG0001218	LOC117134634|XP_017849602.2|DBUS, LOC108604582|XP_033149880.1|DBUS	LOC5578916|XP_001657200.2|AAEG, LOC110674344|XP_021694332.1|AAEG
OG0001220	LOC108595516|XP_017836259.1|DBUS	LOC5568477|XP_001652310.1|AAEG, LOC5568476|XP_021695984.1|AAEG
OG0001221	LOC108597106|XP_017838967.1|DBUS	LOC23687552|XP_021696190.1|AAEG, LOC5579458|XP_021696193.1|AAEG, LOC110676294|XP_021699295.1|AAEG, LOC110676293|XP_021699294.1|AAEG
OG0001222	LOC108607317|XP_017853477.1|DBUS	LOC5568385|XP_001658050.1|AAEG
OG0001223	LOC108597162|XP_017839061.1|DBUS, LOC108608549|XP_017835136.2|DBUS	LOC5576043|XP_001662373.2|AAEG
OG0001224	LOC108596317|XP_017837416.1|DBUS	LOC110681315|XP_021712765.1|AAEG, LOC5565487|XP_001649850.1|AAEG
OG0001225	LOC108596829|XP_017838436.1|DBUS	LOC5575931|XP_021699426.1|AAEG, LOC5575933|XP_001655925.2|AAEG
OG0001226	LOC108596552|XP_017837938.1|DBUS	LOC5578269|XP_001663796.1|AAEG
OG0001227	LOC108598083|XP_017840189.1|DBUS	LOC5574306|XP_001655087.1|AAEG
OG0001228	LOC108605308|XP_017850467.1|DBUS	LOC5572246|XP_001653940.1|AAEG
OG0001229	LOC117135021|XP_033150711.1|DBUS	LOC5572327|XP_021701837.1|AAEG
OG0001230	LOC108597056|XP_017838866.1|DBUS	LOC5564611|XP_021701962.1|AAEG
OG0001231	LOC108594362|XP_017835011.2|DBUS	LOC5576034|XP_001655975.1|AAEG
OG0001232	LOC108608432|XP_017855290.1|DBUS, LOC108607818|XP_017854354.1|DBUS	LOC5573898|XP_001654934.2|AAEG
OG0001233	LOC108596776|XP_017838368.1|DBUS	LOC5573900|XP_021703334.1|AAEG
OG0001234	LOC108606797|XP_017852746.1|DBUS, LOC108597414|XP_017839453.1|DBUS, LOC108596837|XP_017838451.1|DBUS	LOC5567996|XP_001657823.1|AAEG
OG0001235	LOC108608161|XP_017854904.1|DBUS	LOC5568075|XP_001652011.2|AAEG, LOC5568073|XP_011493035.2|AAEG
OG0001236	LOC108599669|XP_017842139.1|DBUS	LOC5575375|XP_021706184.1|AAEG, LOC110681257|XP_021712720.1|AAEG
OG0001237	LOC108603451|XP_017847771.1|DBUS	LOC5579027|XP_021708950.1|AAEG
OG0001238	LOC108604437|XP_017849401.1|DBUS	LOC5573338|XP_021705177.1|AAEG
OG0001239	LOC108602332|XP_017845909.1|DBUS	LOC5570022|XP_021709007.1|AAEG, LOC5565203|XP_021706967.1|AAEG, LOC5577994|XP_021707759.1|AAEG
OG0001240	LOC108601712|XP_017845116.1|DBUS	LOC5575403|XP_001661923.2|AAEG, LOC5575404|XP_021707219.1|AAEG, LOC5575406|XP_021707233.1|AAEG
OG0001242	LOC108606915|XP_017852945.1|DBUS	LOC5563955|XP_001648308.1|AAEG
OG0001244	LOC108603406|XP_017847685.1|DBUS	LOC110677631|XP_021704120.1|AAEG
OG0001245	LOC108601562|XP_017844950.1|DBUS	LOC5574238|XP_001661286.2|AAEG
OG0001246	LOC108595054|XP_017835686.1|DBUS	LOC5566857|XP_021710437.1|AAEG, LOC5566854|XP_001651279.2|AAEG, LOC5566856|XP_001651282.2|AAEG
OG0001247	LOC108597512|XP_033150674.1|DBUS	LOC5566538|XP_021708940.1|AAEG
OG0001248	LOC108597921|XP_017840027.2|DBUS, LOC108599794|XP_033149588.1|DBUS	LOC5565422|XP_021710530.1|AAEG
OG0001249	LOC108606444|XP_017852047.1|DBUS	LOC5569493|XP_021711683.1|AAEG
OG0001257	LOC108607362|XP_017853558.1|DBUS	LOC5574316|XP_021694563.1|AAEG
OG0001258	LOC108604510|XP_017849502.1|DBUS	LOC5577550|XP_001663426.1|AAEG
OG0001259	LOC108605403|XP_017850562.1|DBUS	LOC5573522|XP_021703730.1|AAEG, LOC110678884|XP_021708156.1|AAEG
OG0001260	LOC108602021|XP_017845513.1|DBUS	LOC5571803|XP_001659934.2|AAEG, LOC5571799|XP_021709524.1|AAEG
OG0001261	LOC108606683|XP_017852521.1|DBUS	LOC5572383|XP_001654039.1|AAEG
OG0001263	LOC108601766|XP_017845178.1|DBUS	LOC5572162|XP_021701521.1|AAEG
OG0001264	LOC108597055|XP_033149101.1|DBUS	LOC5575506|XP_021702723.1|AAEG, LOC5576313|XP_021702589.1|AAEG
OG0001265	LOC108604975|XP_033150396.1|DBUS	LOC110677665|XP_021704331.1|AAEG
OG0001266	LOC108596175|XP_017837172.1|DBUS	LOC110681386|XP_021712818.1|AAEG, LOC5575369|XP_001661899.2|AAEG, LOC5565134|XP_021710211.1|AAEG, LOC110680911|XP_021712391.1|AAEG, LOC5566192|XP_021712276.1|AAEG
OG0001267	LOC108601765|XP_017845177.1|DBUS	LOC5577500|XP_021711550.1|AAEG, LOC5577506|XP_021711759.1|AAEG
OG0001269	LOC108595406|XP_017836120.1|DBUS	LOC5578532|XP_001663924.1|AAEG
OG0001270	LOC108601438|XP_017844825.1|DBUS	LOC5579659|XP_021706346.1|AAEG, LOC5576400|XP_001662612.2|AAEG
OG0001271	LOC108594795|XP_017835423.1|DBUS	LOC110675398|XP_021696016.1|AAEG, LOC5573476|XP_021696019.1|AAEG
OG0001272	LOC108600930|XP_017844256.1|DBUS	LOC5576415|XP_001656118.2|AAEG
OG0001273	LOC108602463|XP_017846075.1|DBUS	LOC5568324|XP_001652203.1|AAEG, LOC5574558|XP_001661508.2|AAEG, LOC5579347|XP_001647653.1|AAEG
OG0001274	LOC108600386|XP_017843421.1|DBUS	LOC5573423|XP_021697822.1|AAEG, LOC5573422|XP_001654598.1|AAEG
OG0001276	LOC108600634|XP_017843810.2|DBUS	LOC5574001|XP_021698011.1|AAEG
OG0001277	LOC108597935|XP_033149324.1|DBUS, LOC108597937|XP_017840041.1|DBUS	LOC5573676|XP_021698208.1|AAEG
OG0001278	LOC108599917|XP_017842605.1|DBUS, LOC108604416|XP_017849412.1|DBUS	LOC5564225|XP_021698341.1|AAEG
OG0001279	LOC108598816|XP_017841051.1|DBUS	LOC110680939|XP_021712413.1|AAEG, LOC5564226|XP_001648567.1|AAEG
OG0001280	LOC108599487|XP_017841823.1|DBUS	LOC5570785|XP_001653294.1|AAEG
OG0001281	LOC108598658|XP_017840858.2|DBUS	LOC5574271|XP_021698956.1|AAEG, LOC5574268|XP_021698957.1|AAEG
OG0001283	LOC108596913|XP_017838609.1|DBUS	LOC5577288|XP_021699171.1|AAEG
OG0001284	LOC108598471|XP_017840611.1|DBUS	LOC5571151|XP_001653462.1|AAEG
OG0001285	LOC108600524|XP_017843657.1|DBUS	LOC5569141|XP_001652750.1|AAEG, LOC5568649|XP_021700323.1|AAEG
OG0001286	LOC108606511|XP_017852173.1|DBUS	LOC5564989|XP_001649339.1|AAEG
OG0001287	LOC108604119|XP_017848894.1|DBUS	LOC110676842|XP_021701923.1|AAEG, LOC5577104|XP_021701924.1|AAEG, LOC5568562|XP_021710811.1|AAEG
OG0001288	LOC108594254|XP_033149443.1|DBUS	LOC5567008|XP_021703513.1|AAEG
OG0001289	LOC108608164|XP_017854908.2|DBUS, LOC108602456|XP_017846071.2|DBUS	LOC5568175|XP_001652111.2|AAEG
OG0001290	LOC108596112|XP_033149204.1|DBUS, LOC117135052|XP_033150837.1|DBUS	LOC110675257|XP_021695397.1|AAEG, LOC5569762|XP_021704073.1|AAEG
OG0001291	LOC108595003|XP_017835627.1|DBUS	LOC5566684|XP_001651086.1|AAEG
OG0001292	LOC108596770|XP_017838355.1|DBUS	LOC5568574|XP_021711516.1|AAEG, LOC5568577|XP_021711532.1|AAEG, LOC5570321|XP_001653147.2|AAEG
OG0001293	LOC108606164|XP_017851505.1|DBUS, LOC108607182|XP_017853328.1|DBUS	LOC5571889|XP_001653807.1|AAEG
OG0001294	LOC108603876|XP_017848536.1|DBUS, LOC108605674|XP_033150258.1|DBUS	LOC5575103|XP_001661825.1|AAEG
OG0001295	LOC108605580|XP_017850839.1|DBUS, LOC108595376|XP_033150953.1|DBUS	LOC5568526|XP_001652354.1|AAEG
OG0001296	LOC108598546|XP_017840719.1|DBUS	LOC5566412|XP_021706306.1|AAEG
OG0001297	LOC108601954|XP_033149942.1|DBUS	LOC110680522|XP_021712011.1|AAEG, LOC5570070|XP_001653056.1|AAEG
OG0001298	LOC108601613|XP_033149866.1|DBUS	LOC5567321|XP_021706418.1|AAEG, LOC5572310|XP_021710720.1|AAEG, LOC5578735|XP_021707558.1|AAEG
OG0001299	LOC108600786|XP_017844047.1|DBUS	LOC5574559|XP_021704813.1|AAEG, LOC5567394|XP_021706377.1|AAEG
OG0001300	LOC108602803|XP_017846514.1|DBUS	LOC5579186|XP_001664282.1|AAEG
OG0001301	LOC108601913|XP_017845383.1|DBUS	LOC5569995|XP_001658885.2|AAEG, LOC5569998|XP_021707205.1|AAEG
OG0001302	LOC108596526|XP_017837902.1|DBUS	LOC5564892|XP_021705408.1|AAEG
OG0001303	LOC108603668|XP_017848153.1|DBUS	LOC5575416|XP_001661937.2|AAEG
OG0001304	LOC108597256|XP_017839200.1|DBUS	LOC5572317|XP_021709111.1|AAEG
OG0001305	LOC108597482|XP_017839546.1|DBUS, LOC108597481|XP_017839545.1|DBUS, LOC108603599|XP_017848032.1|DBUS	LOC5569430|XP_021710293.1|AAEG
OG0001306	LOC108602831|XP_017846561.1|DBUS	LOC5575994|XP_021707386.1|AAEG
OG0001307	LOC108599599|XP_017842040.1|DBUS	LOC5569652|XP_001652914.1|AAEG, LOC110673996|XP_021712917.1|AAEG
OG0001308	LOC108605431|XP_017850596.1|DBUS	LOC5564183|XP_021710068.1|AAEG
OG0001309	LOC108603532|XP_017847918.1|DBUS	LOC5578478|XP_001657001.1|AAEG, LOC110678731|XP_021707688.1|AAEG, LOC5578477|XP_001657000.2|AAEG, LOC110678628|XP_021707438.1|AAEG
OG0001311	LOC108606279|XP_017851749.1|DBUS	LOC5569532|XP_021706093.1|AAEG
OG0001312	LOC108597919|XP_017840025.2|DBUS	LOC110680920|XP_021712398.1|AAEG, LOC5579662|XP_001648136.1|AAEG
OG0001313	LOC108596779|XP_017838367.1|DBUS	LOC5578093|XP_001656789.2|AAEG
OG0001326	LOC108602768|XP_017846430.1|DBUS	LOC5573308|XP_021709312.1|AAEG, LOC5569122|XP_021693345.1|AAEG, LOC5580073|XP_001654814.1|AAEG, LOC5564577|XP_001648938.1|AAEG
OG0001328	LOC108605706|XP_017850987.1|DBUS	LOC5575093|XP_001661817.1|AAEG, LOC5573724|XP_021694929.1|AAEG
OG0001329	LOC108598123|XP_017840229.1|DBUS, LOC108606875|XP_017852887.1|DBUS	LOC5579474|XP_001647772.2|AAEG
OG0001330	LOC108606755|XP_017852647.2|DBUS	LOC5565026|XP_021712659.1|AAEG, LOC5579479|XP_021697265.1|AAEG
OG0001331	LOC108606035|XP_017851351.1|DBUS	LOC5578307|XP_021693230.1|AAEG, LOC5578306|XP_001656898.2|AAEG, LOC5570111|XP_001653091.2|AAEG
OG0001332	LOC108606355|XP_017851893.1|DBUS	LOC5571993|XP_021699097.1|AAEG, LOC110676249|XP_021699084.1|AAEG
OG0001333	LOC108605555|XP_017850804.1|DBUS	LOC5565276|XP_021701702.1|AAEG, LOC5565260|XP_021701714.1|AAEG
OG0001334	LOC108604723|XP_017849790.1|DBUS	LOC5568678|XP_001658093.2|AAEG, LOC5568674|XP_021703072.1|AAEG
OG0001335	LOC108603850|XP_017848492.1|DBUS	LOC5565031|XP_001649402.2|AAEG, LOC5565073|XP_021705369.1|AAEG
OG0001337	LOC108606596|XP_017852332.1|DBUS	LOC5571583|XP_021707527.1|AAEG
OG0001338	LOC108595193|XP_017835866.1|DBUS	LOC5577517|XP_021711315.1|AAEG, LOC110673984|XP_001656538.2|AAEG
OG0001339	LOC108596553|XP_017837939.1|DBUS	LOC5577497|XP_021711599.1|AAEG, LOC5571779|XP_001659911.2|AAEG
OG0001340	LOC108598625|XP_017840813.1|DBUS	LOC5575707|XP_001662155.1|AAEG, LOC5572595|XP_021713033.1|AAEG
OG0001341	LOC108601888|XP_017845352.1|DBUS	LOC5578941|XP_001657229.1|AAEG
OG0001343	LOC108601461|XP_017844848.1|DBUS	LOC5564494|XP_021694318.1|AAEG
OG0001344	LOC108604331|XP_017849246.1|DBUS	LOC5572158|XP_021693679.1|AAEG, LOC5575465|XP_021693677.1|AAEG
OG0001345	LOC108604561|XP_017849579.1|DBUS	LOC5565630|XP_001649986.2|AAEG, LOC5576523|XP_001662716.2|AAEG
OG0001346	LOC108603922|XP_017848603.1|DBUS	LOC5564378|XP_021693779.1|AAEG
OG0001347	LOC108605756|XP_017851047.1|DBUS	LOC5575230|XP_001655636.2|AAEG
OG0001348	LOC108606593|XP_017852328.1|DBUS	LOC5564709|XP_001649052.1|AAEG
OG0001349	LOC108598595|XP_017840778.1|DBUS, LOC108599963|XP_033149408.1|DBUS	LOC5564096|XP_021696524.1|AAEG
OG0001350	LOC108598568|XP_017840741.1|DBUS	LOC5569213|XP_021696606.1|AAEG
OG0001351	LOC108596489|XP_017837765.1|DBUS	LOC5574289|XP_001661326.1|AAEG
OG0001352	LOC108596956|XP_017838686.1|DBUS	LOC5574802|XP_021697012.1|AAEG
OG0001353	LOC108598863|XP_017841109.1|DBUS	LOC5566373|XP_001650785.1|AAEG, LOC5568325|XP_001652204.1|AAEG
OG0001354	LOC108597548|XP_017839645.1|DBUS	LOC5573660|XP_021697339.1|AAEG
OG0001355	LOC108608201|XP_017854964.1|DBUS	LOC5565624|XP_001649979.1|AAEG
OG0001356	LOC108603481|XP_017847818.1|DBUS	LOC5571699|XP_001659842.2|AAEG, LOC5571704|XP_021695196.1|AAEG, LOC5572766|XP_021697637.1|AAEG
OG0001357	LOC108599937|XP_017842647.1|DBUS	LOC5564469|XP_001648811.1|AAEG
OG0001358	LOC108601013|XP_033149737.1|DBUS	LOC5573425|XP_021697813.1|AAEG, LOC110681441|XP_021712887.1|AAEG
OG0001359	LOC108607831|XP_017854379.1|DBUS	LOC5563725|XP_021698111.1|AAEG, LOC5563726|XP_001648011.1|AAEG
OG0001360	LOC108597645|XP_017839783.1|DBUS	LOC5576042|XP_001662374.1|AAEG
OG0001361	LOC108598068|XP_017840171.2|DBUS	LOC5564239|XP_021698328.1|AAEG, LOC110676099|XP_021698327.1|AAEG
OG0001362	LOC108598904|XP_017841156.1|DBUS	LOC5564232|XP_001648569.1|AAEG
OG0001363	LOC108603230|XP_017847334.1|DBUS	LOC5576835|XP_001662942.1|AAEG, LOC5568880|XP_001652605.1|AAEG
OG0001364	LOC108594659|XP_033150978.1|DBUS	LOC5572908|XP_021698679.1|AAEG, LOC5568166|XP_021703889.1|AAEG
OG0001365	LOC108598726|XP_017840944.1|DBUS	LOC5572285|XP_001653970.1|AAEG
OG0001367	LOC108597360|XP_017839366.1|DBUS	LOC5569059|XP_021698895.1|AAEG
OG0001368	LOC108596324|XP_017837435.1|DBUS	LOC5579484|XP_021698925.1|AAEG
OG0001369	LOC117134643|XP_017851599.2|DBUS, LOC108605787|XP_017851079.2|DBUS, LOC108606218|XP_033150278.1|DBUS	LOC5574546|XP_021699090.1|AAEG
OG0001370	LOC108597523|XP_033149017.1|DBUS	LOC5577000|XP_001663103.2|AAEG
OG0001371	LOC108607473|XP_017853801.2|DBUS	LOC5569579|XP_021699731.1|AAEG
OG0001372	LOC117134648|XP_033150995.1|DBUS, LOC108596137|XP_033150994.1|DBUS	LOC5567708|XP_021699760.1|AAEG
OG0001373	LOC108594271|XP_017834892.1|DBUS	LOC5567451|XP_021700199.1|AAEG
OG0001374	LOC108597148|XP_017839031.1|DBUS	LOC5571153|XP_001653469.1|AAEG
OG0001375	LOC108603073|XP_017847040.1|DBUS	LOC5567653|XP_021700355.1|AAEG, LOC5565021|XP_001649362.2|AAEG, LOC5577084|XP_001663173.2|AAEG
OG0001376	LOC108595300|XP_017836003.1|DBUS	LOC5578359|XP_001656930.2|AAEG, LOC5578358|XP_001656929.2|AAEG
OG0001377	LOC108608145|XP_033149788.1|DBUS	LOC5572648|XP_021700811.1|AAEG, LOC110674014|XP_021695263.1|AAEG
OG0001378	LOC108594229|XP_017834829.1|DBUS	LOC5564328|XP_001648655.2|AAEG
OG0001379	LOC108598264|XP_017840372.1|DBUS	LOC5564506|XP_021701067.1|AAEG
OG0001380	LOC108595043|XP_017835672.1|DBUS	LOC5574619|XP_021701493.1|AAEG
OG0001381	LOC108595321|XP_017836030.1|DBUS	LOC5569383|XP_001658462.1|AAEG, LOC110680820|XP_021712291.1|AAEG
OG0001382	LOC108607844|XP_017854400.1|DBUS	LOC5575208|XP_021701904.1|AAEG
OG0001383	LOC108595829|XP_017836609.1|DBUS	LOC5572173|XP_001660268.1|AAEG
OG0001384	LOC108598577|XP_017840755.1|DBUS	LOC5573809|XP_001661057.2|AAEG
OG0001385	LOC108608450|XP_017855317.1|DBUS	LOC5573184|XP_001660801.2|AAEG, LOC5569015|XP_001652671.1|AAEG
OG0001386	LOC108607815|XP_017854355.2|DBUS	LOC5573450|XP_021703651.1|AAEG
OG0001387	LOC108598246|XP_017840353.1|DBUS	LOC5569816|XP_001653035.1|AAEG, LOC5569815|XP_021703690.1|AAEG
OG0001389	LOC108604784|XP_017849871.1|DBUS	LOC5573307|XP_021707322.1|AAEG, LOC5564316|XP_021706875.1|AAEG
OG0001390	LOC108594356|XP_017835003.1|DBUS	LOC5580280|XP_021709147.1|AAEG
OG0001391	LOC108598536|XP_017840708.1|DBUS	LOC5568150|XP_001652096.1|AAEG
OG0001392	LOC108605779|XP_017851071.1|DBUS	LOC5578018|XP_001656757.2|AAEG
OG0001393	LOC108605858|XP_017851158.1|DBUS	LOC5565962|XP_021706834.1|AAEG
OG0001394	LOC108607399|XP_017853663.1|DBUS	LOC5566906|XP_021705325.1|AAEG, LOC5565212|XP_021706728.1|AAEG
OG0001395	LOC108604118|XP_017848892.1|DBUS	LOC5572564|XP_001654079.1|AAEG
OG0001396	LOC108606696|XP_017852554.1|DBUS	LOC5569944|XP_021708097.1|AAEG
OG0001397	LOC108604774|XP_017849860.1|DBUS	LOC5566745|XP_021706420.1|AAEG, LOC5566742|XP_021706887.1|AAEG
OG0001399	LOC108596987|XP_017838741.1|DBUS	LOC5577036|XP_021711031.1|AAEG
