Orthogroup	DBUS.longest_only	AEAL.longest_only
OG0000384	LOC108594998|XP_017835619.1|DBUS	LOC109621343|XP_019930937.2|AEAL
OG0000384	LOC108594994|XP_017835616.1|DBUS	LOC109421514|XP_019930939.2|AEAL
OG0000385	LOC108605629|XP_017850901.1|DBUS	LOC109420121|XP_019549975.2|AEAL, LOC115254129|XP_029724332.1|AEAL
OG0000385	LOC108607176|XP_017853320.1|DBUS, LOC108607918|XP_017854520.2|DBUS, LOC108607919|XP_017854521.2|DBUS	LOC109411423|XP_029730869.1|AEAL, LOC109428856|XP_019560234.2|AEAL
OG0000386	LOC108598918|XP_033149510.1|DBUS, LOC108604745|XP_017849820.1|DBUS	LOC115260377|XP_029717200.1|AEAL
OG0000389	LOC108604501|XP_017849486.1|DBUS	LOC109402171|XP_029715114.1|AEAL
OG0000389	LOC108600795|XP_033149530.1|DBUS	LOC109623394|XP_019933496.2|AEAL
OG0000390	LOC108608398|XP_017855244.1|DBUS	LOC109418558|XP_029713073.1|AEAL, LOC109413120|XP_029713072.1|AEAL, LOC109422824|XP_019553263.2|AEAL, LOC115260637|XP_029717566.1|AEAL, LOC109401827|XP_019529985.2|AEAL, LOC109412092|XP_019541278.2|AEAL, LOC109412093|XP_029709661.1|AEAL, LOC109401826|XP_029709663.1|AEAL, LOC109404625|XP_019533080.2|AEAL
OG0000391	LOC108597558|XP_017839655.1|DBUS	LOC109622842|XP_029726622.1|AEAL, LOC115256936|XP_029711996.1|AEAL
OG0000391	LOC108597593|XP_017839703.1|DBUS	LOC115257016|XP_029712117.1|AEAL, LOC109623276|XP_019933333.1|AEAL
OG0000392	LOC108599415|XP_017841719.1|DBUS, LOC108608050|XP_017854720.1|DBUS	LOC115255423|XP_029709411.1|AEAL, LOC109410240|XP_029709335.1|AEAL, LOC115255415|XP_029709387.1|AEAL, LOC109417641|XP_029709359.1|AEAL, LOC115255405|XP_029709334.1|AEAL, LOC115255425|XP_029709414.1|AEAL, LOC115253639|XP_029709398.1|AEAL, LOC109410239|XP_029709361.1|AEAL
OG0000393	LOC108607828|XP_017854370.1|DBUS	LOC109419307|XP_029727172.1|AEAL
OG0000393	LOC108607843|XP_017854397.1|DBUS	LOC109418168|XP_029727179.1|AEAL
OG0000394	LOC117134893|XP_033150163.1|DBUS, LOC108606185|XP_017851523.1|DBUS	LOC115253693|XP_029724198.1|AEAL
OG0000395	LOC108599448|XP_017841768.1|DBUS	LOC115264747|XP_029724634.1|AEAL, LOC115257131|XP_029712375.1|AEAL
OG0000399	LOC108601880|XP_017845342.1|DBUS, LOC108604528|XP_017849529.1|DBUS	LOC109433624|XP_019565608.2|AEAL
OG0000400	LOC108605281|XP_017850418.1|DBUS, LOC108597988|XP_017840093.1|DBUS, LOC108597987|XP_017840092.1|DBUS, LOC108601644|XP_017845036.2|DBUS, LOC108600888|XP_017844199.2|DBUS, LOC108606376|XP_017851920.1|DBUS	LOC109415196|XP_019544625.2|AEAL
OG0000402	LOC108607251|XP_017853423.1|DBUS	LOC109421658|XP_019551728.2|AEAL, LOC109418292|XP_019548001.2|AEAL, LOC109428070|XP_019559290.2|AEAL, LOC109418299|XP_029719901.1|AEAL, LOC109428077|XP_019559296.2|AEAL, LOC109418293|XP_019548002.2|AEAL, LOC109428071|XP_019559291.2|AEAL, LOC109428073|XP_019559293.2|AEAL, LOC109418295|XP_019548004.2|AEAL, LOC109402235|XP_029729996.1|AEAL
OG0000404	LOC108601568|XP_033149876.1|DBUS, LOC117134621|XP_033149902.1|DBUS	LOC109430308|XP_019561904.2|AEAL, LOC109430356|XP_029722717.1|AEAL, LOC109430345|XP_019561948.2|AEAL, LOC109412418|XP_029722923.1|AEAL
OG0000405	LOC108605590|XP_017850850.1|DBUS	LOC109404031|XP_019532439.2|AEAL
OG0000406	LOC108598751|XP_017840976.1|DBUS, LOC108600280|XP_017843237.1|DBUS, LOC108597246|XP_017839185.1|DBUS	LOC109425699|XP_019556540.1|AEAL, LOC115269965|XP_029734663.1|AEAL, LOC109422787|XP_029734667.1|AEAL, LOC109418939|XP_019548698.1|AEAL, LOC109407754|XP_019536471.2|AEAL
OG0000407	LOC108598388|XP_017840490.1|DBUS	LOC115263207|XP_029722053.1|AEAL, LOC115263432|XP_029722592.1|AEAL, LOC109418450|XP_029722063.1|AEAL, LOC109426179|XP_029722235.1|AEAL
OG0000407	LOC108600062|XP_017842902.1|DBUS	LOC109417874|XP_019547605.2|AEAL
OG0000408	LOC108603695|XP_033150816.1|DBUS, LOC117134937|XP_033150368.1|DBUS, LOC117134997|XP_033150616.1|DBUS, LOC108603640|XP_017848095.1|DBUS	LOC109423675|XP_019554216.2|AEAL, LOC109414288|XP_019543648.1|AEAL
OG0000409	LOC108595278|XP_017835980.1|DBUS, LOC108595158|XP_017835817.1|DBUS, LOC108595198|XP_017835874.1|DBUS, LOC108595067|XP_017835701.1|DBUS	LOC109432867|XP_029712468.1|AEAL
OG0000410	LOC108607800|XP_017854328.1|DBUS	LOC115255101|XP_029708755.1|AEAL, LOC109420585|XP_019550497.2|AEAL
OG0000411	LOC108603090|XP_017847070.1|DBUS	LOC115254175|XP_029728799.1|AEAL, LOC109423890|XP_019554495.1|AEAL
OG0000411	LOC108607910|XP_017854513.1|DBUS	LOC109408555|XP_019537424.1|AEAL, LOC109429585|XP_019561118.1|AEAL
OG0000412	LOC108595083|XP_017835723.1|DBUS, LOC108598417|XP_017840533.2|DBUS	LOC109401457|XP_019529569.2|AEAL, LOC109410440|XP_019539541.1|AEAL, LOC109401458|XP_029710424.1|AEAL, LOC109410439|XP_019539540.1|AEAL
OG0000413	LOC108601252|XP_017844641.1|DBUS, LOC108601340|XP_017844728.1|DBUS	LOC109433328|XP_029733112.1|AEAL, LOC109399299|XP_029719120.1|AEAL
OG0000414	LOC108597667|XP_017839826.1|DBUS	LOC109401537|XP_029724524.1|AEAL, LOC109412615|XP_019541782.2|AEAL, LOC115253752|XP_029724433.1|AEAL, LOC109401536|XP_019529650.2|AEAL, LOC109412614|XP_029724432.1|AEAL, LOC109412613|XP_019541780.2|AEAL, LOC109401535|XP_019529649.2|AEAL, LOC115264686|XP_029724525.1|AEAL
OG0000415	LOC108596401|XP_017837574.1|DBUS, LOC108596402|XP_017837576.1|DBUS	LOC109402060|XP_019530206.2|AEAL, LOC109416886|XP_019546527.1|AEAL
OG0000416	LOC108606941|XP_017852982.1|DBUS	LOC109402085|XP_029710927.1|AEAL, LOC109427372|XP_019558464.2|AEAL
OG0000416	LOC108606670|XP_017852491.1|DBUS	LOC109427757|XP_019558893.2|AEAL, LOC109431346|XP_019563108.1|AEAL
OG0000417	LOC108602147|XP_017845668.1|DBUS	LOC109397296|XP_029729083.1|AEAL, LOC115253819|XP_029709983.1|AEAL, LOC109423211|XP_029707949.1|AEAL, LOC115254707|XP_029708237.1|AEAL
OG0000417	LOC108602278|XP_017845824.1|DBUS	LOC115256097|XP_029710215.1|AEAL, LOC109414066|XP_019543347.2|AEAL
OG0000418	LOC108605818|XP_017851112.1|DBUS, LOC108605612|XP_017850879.1|DBUS	LOC109416314|XP_029712294.1|AEAL, LOC115267223|XP_029729971.1|AEAL, LOC115267226|XP_029729978.1|AEAL, LOC109402225|XP_019530409.2|AEAL, LOC115267222|XP_029729969.1|AEAL, LOC115267224|XP_029729972.1|AEAL, LOC109402226|XP_019530410.2|AEAL
OG0000419	LOC108596816|XP_017838420.1|DBUS	LOC109417954|XP_029725393.1|AEAL
OG0000419	LOC117134914|XP_033150275.1|DBUS, LOC108595601|XP_017836353.1|DBUS	LOC109433278|XP_019565253.2|AEAL
OG0000421	LOC108607237|XP_033150963.1|DBUS	LOC109421651|XP_019551712.1|AEAL
OG0000421	LOC108607592|XP_017853983.2|DBUS	LOC109420739|XP_019550761.2|AEAL, LOC109419943|XP_029708948.1|AEAL
OG0000422	LOC108603801|XP_017848388.1|DBUS	LOC115265533|XP_029726937.1|AEAL, LOC109421178|XP_019551217.2|AEAL, LOC109421176|XP_019551216.2|AEAL, LOC115265184|XP_029725312.1|AEAL, LOC115265185|XP_029725314.1|AEAL, LOC109427809|XP_019558943.2|AEAL, LOC109427811|XP_029725313.1|AEAL, LOC115265569|XP_029727059.1|AEAL, LOC109421327|XP_019551379.2|AEAL, LOC115265534|XP_029726938.1|AEAL, LOC109421326|XP_019551378.2|AEAL, LOC109426323|XP_019557324.2|AEAL, LOC109407207|XP_019535737.2|AEAL
OG0000423	LOC108596957|XP_017838692.1|DBUS, LOC108597031|XP_017838809.1|DBUS	LOC109400858|XP_019528888.2|AEAL, LOC109415498|XP_019544931.2|AEAL, LOC109415500|XP_019544933.2|AEAL, LOC109400859|XP_019528889.2|AEAL, LOC115267668|XP_029730683.1|AEAL
OG0000424	LOC108597457|XP_017839513.1|DBUS	LOC109401664|XP_029712729.1|AEAL
OG0000425	LOC108596313|XP_033149114.1|DBUS	LOC109414922|XP_029731765.1|AEAL, LOC109428994|XP_019560382.2|AEAL
OG0000425	LOC108595119|XP_017835770.1|DBUS	LOC115267748|XP_029730837.1|AEAL, LOC109414909|XP_019544303.2|AEAL
OG0000426	LOC108596540|XP_033149027.1|DBUS, LOC108596537|XP_017837915.1|DBUS, LOC108596539|XP_017837916.2|DBUS	LOC115254201|XP_029731407.1|AEAL, LOC109622223|XP_019932021.1|AEAL
OG0000433	LOC108606800|XP_017852752.1|DBUS	LOC109405351|XP_029709569.1|AEAL, LOC115255642|XP_029709601.1|AEAL, LOC115255632|XP_029709582.1|AEAL, LOC109397806|XP_029710315.1|AEAL
OG0000434	LOC108603339|XP_017847560.1|DBUS	LOC109432159|XP_019564022.2|AEAL
OG0000434	LOC108596629|XP_017838065.1|DBUS	LOC109428437|XP_019559746.2|AEAL, LOC109430512|XP_019562124.2|AEAL
OG0000435	LOC108605027|XP_017850084.1|DBUS	LOC109399383|XP_019527364.2|AEAL, LOC109400689|XP_019528729.2|AEAL, LOC109430899|XP_029722005.1|AEAL, LOC115263188|XP_029722000.1|AEAL, LOC115263186|XP_029721998.1|AEAL, LOC109430904|XP_019562534.2|AEAL, LOC109405093|XP_029711212.1|AEAL
OG0000437	LOC108597712|XP_017839895.1|DBUS	LOC109417248|XP_019546908.2|AEAL
OG0000437	LOC108594335|XP_017834978.1|DBUS	LOC109401534|XP_019529653.2|AEAL
OG0000438	LOC108601968|XP_017845445.1|DBUS	LOC109433257|XP_029715001.1|AEAL
OG0000439	LOC108594507|XP_033150665.1|DBUS	LOC109414031|XP_029729134.1|AEAL, LOC115264933|XP_029724932.1|AEAL, LOC115264925|XP_029724873.1|AEAL
OG0000439	LOC108598194|XP_017840298.2|DBUS	LOC109432331|XP_019564217.1|AEAL
OG0000440	LOC108597650|XP_017839794.1|DBUS, LOC108597649|XP_017839793.1|DBUS, LOC108595640|XP_017836400.1|DBUS	LOC115253935|XP_029708448.1|AEAL, LOC115255328|XP_029709200.1|AEAL, LOC109417702|XP_019547324.2|AEAL
OG0000441	LOC108595815|XP_017836594.1|DBUS, LOC108595711|XP_017836482.1|DBUS	LOC115255219|XP_029709022.1|AEAL, LOC109407178|XP_019535708.1|AEAL
OG0000442	LOC108606690|XP_017852535.2|DBUS	LOC109622073|XP_019931858.2|AEAL
OG0000443	LOC108598826|XP_017841067.1|DBUS, LOC108598965|XP_017841225.1|DBUS	LOC109623333|XP_019933431.2|AEAL, LOC109424680|XP_019555389.2|AEAL
OG0000444	LOC108594808|XP_017835439.1|DBUS, LOC108594820|XP_017835450.1|DBUS	LOC109397004|XP_029731025.1|AEAL, LOC115262796|XP_029721544.1|AEAL
OG0000448	LOC108601744|XP_017845153.2|DBUS, LOC108601626|XP_033150119.1|DBUS	LOC109402161|XP_029729860.1|AEAL, LOC109413232|XP_019542504.2|AEAL
OG0000449	LOC108600043|XP_017842877.1|DBUS	LOC115257229|XP_029712526.1|AEAL, LOC109397778|XP_029733990.1|AEAL, LOC109428789|XP_019560181.1|AEAL
OG0000449	LOC108596492|XP_017837795.1|DBUS	LOC109405354|XP_029709574.1|AEAL, LOC115255646|XP_029709606.1|AEAL, LOC109397817|XP_029709591.1|AEAL
OG0000450	LOC108605329|XP_033150295.1|DBUS	LOC109422876|XP_029724024.1|AEAL
OG0000450	LOC108606942|XP_017852983.1|DBUS	LOC109433652|XP_029711834.1|AEAL, LOC115253978|XP_029711929.1|AEAL, LOC115253558|XP_029733836.1|AEAL
OG0000451	LOC108606406|XP_017851980.1|DBUS	LOC109427699|XP_019558831.2|AEAL
OG0000451	LOC108606405|XP_017851979.1|DBUS	LOC109427697|XP_019558826.2|AEAL
OG0000453	LOC108602263|XP_017845806.1|DBUS	LOC109425349|XP_029729693.1|AEAL, LOC115267043|XP_029729695.1|AEAL, LOC115267026|XP_029729660.1|AEAL, LOC109425351|XP_019556147.1|AEAL
OG0000454	LOC108607945|XP_017854550.1|DBUS, LOC108607946|XP_017854551.2|DBUS, LOC108597283|XP_033149976.1|DBUS	LOC109621699|XP_029725277.1|AEAL
OG0000456	LOC108608258|XP_033150053.1|DBUS	LOC109401374|XP_029712273.1|AEAL
OG0000457	LOC108598909|XP_033150733.1|DBUS	LOC115264999|XP_029725048.1|AEAL, LOC115264937|XP_029724947.1|AEAL, LOC109404215|XP_029724888.1|AEAL
OG0000457	LOC108607636|XP_033149578.1|DBUS	LOC115265005|XP_029725053.1|AEAL
OG0000458	LOC108607022|XP_033149992.1|DBUS	LOC115262061|XP_029719863.1|AEAL, LOC109429691|XP_029720017.1|AEAL, LOC109407008|XP_029719888.1|AEAL, LOC109407014|XP_019535575.2|AEAL, LOC115262073|XP_029719887.1|AEAL, LOC115262076|XP_029719889.1|AEAL, LOC109407010|XP_019535570.2|AEAL, LOC109429725|XP_029719860.1|AEAL, LOC115262119|XP_029720016.1|AEAL, LOC109400294|XP_029724827.1|AEAL, LOC109425179|XP_029724844.1|AEAL
OG0000460	LOC108608333|XP_017855163.1|DBUS	LOC115255452|XP_029709438.1|AEAL
OG0000465	LOC108605063|XP_017850119.1|DBUS, LOC108602829|XP_017846552.1|DBUS	LOC109423357|XP_019553875.2|AEAL, LOC109430165|XP_029713455.1|AEAL, LOC109432135|XP_029713196.1|AEAL
OG0000466	LOC108606045|XP_017851382.1|DBUS	LOC115267077|XP_029729787.1|AEAL, LOC109399946|XP_019527945.1|AEAL
OG0000466	LOC108594401|XP_017835057.1|DBUS	LOC109427781|XP_029720741.1|AEAL
OG0000467	LOC117134632|XP_017837083.1|DBUS, LOC108594730|XP_033148919.1|DBUS	LOC109423258|XP_029726430.1|AEAL
OG0000468	LOC108603095|XP_017847080.1|DBUS	LOC115262136|XP_029720097.1|AEAL, LOC109428099|XP_029720117.1|AEAL, LOC109418321|XP_019548041.1|AEAL
OG0000468	LOC108596066|XP_017836950.1|DBUS	LOC109418072|XP_019547792.2|AEAL
OG0000469	LOC108608447|XP_033150823.1|DBUS, LOC108607865|XP_033150865.1|DBUS	LOC109429969|XP_029720082.1|AEAL, LOC109429553|XP_029719682.1|AEAL, LOC115262131|XP_029720081.1|AEAL
OG0000470	LOC108599162|XP_017841438.1|DBUS	LOC115257400|XP_029712822.1|AEAL, LOC109418772|XP_029712085.1|AEAL, LOC109406508|XP_029713617.1|AEAL
OG0000470	LOC108600871|XP_017844171.1|DBUS	LOC109415835|XP_029715753.1|AEAL, LOC109418775|XP_029712889.1|AEAL
OG0000471	LOC108599012|XP_017841278.1|DBUS, LOC108597544|XP_017839642.2|DBUS	LOC109402525|XP_029720071.1|AEAL
OG0000473	LOC108606785|XP_017852707.1|DBUS, LOC108606568|XP_017852275.1|DBUS	LOC109427502|XP_019558599.2|AEAL, LOC115254412|XP_029707762.1|AEAL
OG0000474	LOC108606889|XP_017852903.1|DBUS, LOC108599045|XP_017841314.1|DBUS	LOC109404730|XP_019533199.2|AEAL, LOC115269060|XP_029733230.1|AEAL
OG0000475	LOC108603139|XP_017847164.1|DBUS, LOC108596826|XP_017838432.1|DBUS, LOC108603138|XP_033149782.1|DBUS	LOC109423532|XP_019554059.1|AEAL
OG0000476	LOC108601874|XP_017845333.1|DBUS, LOC108601876|XP_017845334.1|DBUS	LOC109405416|XP_019534025.2|AEAL, LOC109402424|XP_029729906.1|AEAL, LOC115253985|XP_029712586.1|AEAL
OG0000477	LOC108603330|XP_017847543.1|DBUS, LOC108603329|XP_017847541.1|DBUS	LOC109405223|XP_019533802.2|AEAL
OG0000478	LOC108604187|XP_017849026.1|DBUS	LOC115261565|XP_029719319.1|AEAL, LOC109420225|XP_029725817.1|AEAL, LOC109409968|XP_029717035.1|AEAL, LOC115265746|XP_029727552.1|AEAL, LOC109409969|XP_019539030.1|AEAL, LOC115261566|XP_029719320.1|AEAL
OG0000479	LOC108596434|XP_017837656.1|DBUS, LOC108602210|XP_017845746.1|DBUS	LOC115263214|XP_029722059.1|AEAL, LOC115263355|XP_029722513.1|AEAL, LOC109430843|XP_029722509.1|AEAL, LOC109430825|XP_019562456.2|AEAL, LOC115263357|XP_029722515.1|AEAL, LOC115263352|XP_029722508.1|AEAL, LOC109430827|XP_029722514.1|AEAL
OG0000480	LOC108608176|XP_017854923.1|DBUS, LOC108608263|XP_017855045.2|DBUS	LOC109415040|XP_019544436.2|AEAL, LOC109621950|XP_019931711.1|AEAL
OG0000482	LOC108602929|XP_017846761.1|DBUS	LOC109422646|XP_019553034.2|AEAL, LOC109402853|XP_019531139.2|AEAL, LOC115271087|XP_029736423.1|AEAL, LOC109402844|XP_019531125.2|AEAL
OG0000483	LOC108601521|XP_017844910.1|DBUS, LOC108601522|XP_017844911.1|DBUS	LOC109403303|XP_019531651.2|AEAL, LOC109403255|XP_029719364.1|AEAL, LOC109433400|XP_019565376.2|AEAL
OG0000484	LOC108601234|XP_017844622.1|DBUS, LOC108603005|XP_017846888.1|DBUS	LOC115260280|XP_029717075.1|AEAL, LOC109406257|XP_019534864.1|AEAL
OG0000485	LOC108598797|XP_017841030.2|DBUS, LOC108598796|XP_017841029.1|DBUS	LOC109405475|XP_019534111.1|AEAL
OG0000486	LOC108596151|XP_017837135.1|DBUS, LOC108596152|XP_017837136.1|DBUS, LOC108596150|XP_017837133.1|DBUS	LOC109428916|XP_019560303.2|AEAL, LOC115267545|XP_029730488.1|AEAL, LOC109408709|XP_019537614.2|AEAL, LOC115253482|XP_029730827.1|AEAL
OG0000489	LOC108601233|XP_017844621.1|DBUS, LOC108605120|XP_017850171.1|DBUS	LOC109433597|XP_019565581.2|AEAL, LOC109431157|XP_019562906.2|AEAL, LOC109408968|XP_019537912.2|AEAL, LOC109408945|XP_019537890.2|AEAL
OG0000490	LOC108604935|XP_017849993.2|DBUS	LOC115267225|XP_029729976.1|AEAL, LOC109402227|XP_029729973.1|AEAL
OG0000490	LOC108605671|XP_033150192.1|DBUS	LOC109431349|XP_029733420.1|AEAL, LOC109427779|XP_029717800.1|AEAL
OG0000491	LOC108596506|XP_017837835.1|DBUS	LOC115267172|XP_029729877.1|AEAL, LOC109415532|XP_019544960.2|AEAL
OG0000492	LOC108595995|XP_017836771.1|DBUS	LOC115268555|XP_029732510.1|AEAL, LOC109403859|XP_019532304.1|AEAL
OG0000493	LOC108594289|XP_017834920.1|DBUS	LOC109424249|XP_029734410.1|AEAL
OG0000494	LOC108607321|XP_017853484.2|DBUS	LOC109406097|XP_019534701.2|AEAL, LOC109402997|XP_019531256.1|AEAL
OG0000495	LOC108607252|XP_017853424.1|DBUS, LOC108595134|XP_033148928.1|DBUS	LOC109412654|XP_029720655.1|AEAL, LOC109420930|XP_029720657.1|AEAL
OG0000496	LOC108607804|XP_017854336.2|DBUS	LOC109429623|XP_029728581.1|AEAL, LOC109623404|XP_029719965.1|AEAL
OG0000496	LOC108606710|XP_033150553.1|DBUS	LOC109623402|XP_019933500.2|AEAL, LOC109429619|XP_029728582.1|AEAL
OG0000497	LOC108608244|XP_017855020.1|DBUS, LOC108608243|XP_017855019.1|DBUS	LOC109420450|XP_019550342.2|AEAL
OG0000498	LOC108601527|XP_017844916.1|DBUS, LOC108601529|XP_017844918.1|DBUS	LOC109433408|XP_019565383.2|AEAL, LOC109433401|XP_019565377.2|AEAL
OG0000499	LOC108595373|XP_017836089.1|DBUS	LOC109406732|XP_019535320.1|AEAL, LOC115268954|XP_029733028.1|AEAL
OG0000500	LOC108598631|XP_017840820.1|DBUS, LOC108598855|XP_033149397.1|DBUS	LOC109418753|XP_029712968.1|AEAL
OG0000504	LOC108596168|XP_017837167.1|DBUS, LOC108601108|XP_033149346.1|DBUS	LOC115267607|XP_029730594.1|AEAL, LOC115267631|XP_029730635.1|AEAL, LOC109431603|XP_029730638.1|AEAL, LOC115267608|XP_029730595.1|AEAL, LOC109428459|XP_029711459.1|AEAL, LOC109398075|XP_029730592.1|AEAL, LOC109431700|XP_029730619.1|AEAL, LOC109398100|XP_029730596.1|AEAL, LOC115267620|XP_029730621.1|AEAL
OG0000505	LOC108606873|XP_017852885.1|DBUS, LOC108605502|XP_017850739.1|DBUS	LOC109406904|XP_029717796.1|AEAL, LOC109427792|XP_029729836.1|AEAL, LOC109412957|XP_029717731.1|AEAL, LOC115260666|XP_029717674.1|AEAL
OG0000506	LOC108602955|XP_017846796.1|DBUS, LOC108602956|XP_017846797.1|DBUS	LOC109423458|XP_029722798.1|AEAL, LOC109432150|XP_029722799.1|AEAL
OG0000507	LOC108606223|XP_017851609.1|DBUS	LOC109413463|XP_019542683.1|AEAL
OG0000507	LOC117134647|XP_017851605.1|DBUS	LOC109400515|XP_019528579.1|AEAL
OG0000508	LOC108599042|XP_017841310.1|DBUS, LOC108598122|XP_017840227.1|DBUS	LOC109410535|XP_029727494.1|AEAL
OG0000509	LOC108596839|XP_017838456.1|DBUS	LOC109401455|XP_029708081.1|AEAL, LOC115253623|XP_029708088.1|AEAL, LOC109422218|XP_029708090.1|AEAL
OG0000510	LOC108596336|XP_017837479.1|DBUS	LOC109408912|XP_019537841.2|AEAL, LOC109418468|XP_019548221.2|AEAL
OG0000511	LOC108594496|XP_017835181.1|DBUS, LOC108598453|XP_017840588.2|DBUS	LOC109429398|XP_019560891.2|AEAL
OG0000513	LOC108597032|XP_017838814.1|DBUS, LOC108597626|XP_017839762.2|DBUS	LOC115265613|XP_029727295.1|AEAL, LOC109404802|XP_019533297.2|AEAL
OG0000514	LOC108599549|XP_017841933.2|DBUS, LOC108608448|XP_017855316.1|DBUS	LOC109404634|XP_029720242.1|AEAL, LOC109411763|XP_029720339.1|AEAL
OG0000516	LOC108605975|XP_033150222.1|DBUS, LOC108605334|XP_033150223.1|DBUS	LOC115261325|XP_029718606.1|AEAL
OG0000517	LOC108599512|XP_017841869.2|DBUS, LOC108599510|XP_017841866.1|DBUS	LOC109428933|XP_019560320.2|AEAL, LOC115258132|XP_029714032.1|AEAL
OG0000521	LOC108605597|XP_017850861.1|DBUS, LOC108607174|XP_033150359.1|DBUS	LOC115256648|XP_029711363.1|AEAL
OG0000522	LOC108596722|XP_033149923.1|DBUS, LOC108601241|XP_017844629.1|DBUS, LOC108605160|XP_017850231.1|DBUS	LOC115261827|XP_029719597.1|AEAL, LOC109402233|XP_019530417.1|AEAL, LOC115267220|XP_029729967.1|AEAL
OG0000523	LOC108604389|XP_017849335.1|DBUS	LOC109417026|XP_019546697.1|AEAL
OG0000523	LOC108606259|XP_017851704.1|DBUS	LOC109402222|XP_019530404.2|AEAL
OG0000524	LOC108603982|XP_017848697.1|DBUS	LOC109409733|XP_019538773.2|AEAL
OG0000525	LOC108597586|XP_017839695.1|DBUS	LOC109426662|XP_029725563.1|AEAL, LOC109426663|XP_019557735.2|AEAL
OG0000526	LOC108603066|XP_017847004.2|DBUS, LOC108596578|XP_017837991.1|DBUS	LOC109420592|XP_019550501.2|AEAL, LOC115266344|XP_029728320.1|AEAL, LOC109428274|XP_029728470.1|AEAL, LOC109427955|XP_019559159.1|AEAL
OG0000527	LOC108607852|XP_017854421.2|DBUS, LOC108595917|XP_033149916.1|DBUS	LOC109420067|XP_029713542.1|AEAL, LOC115257747|XP_029713524.1|AEAL, LOC109407802|XP_029713722.1|AEAL
OG0000528	LOC108607615|XP_017854017.1|DBUS	LOC115259066|XP_029715434.1|AEAL, LOC115259076|XP_029715447.1|AEAL, LOC109433120|XP_029716911.1|AEAL, LOC109433130|XP_019565072.2|AEAL, LOC109404663|XP_019533137.2|AEAL, LOC109433136|XP_019565076.1|AEAL
OG0000529	LOC108598475|XP_017840655.1|DBUS, LOC108604177|XP_017849009.2|DBUS, LOC108594339|XP_033150051.1|DBUS, LOC108606451|XP_017852056.1|DBUS, LOC108606430|XP_017852034.1|DBUS, LOC108606441|XP_017852045.1|DBUS	LOC109401725|XP_019529861.2|AEAL
OG0000530	LOC108598640|XP_017840834.2|DBUS, LOC108599143|XP_033149536.1|DBUS	LOC109404870|XP_029714637.1|AEAL, LOC115254025|XP_029715254.1|AEAL, LOC115258587|XP_029714691.1|AEAL, LOC109398719|XP_029725180.1|AEAL
OG0000531	LOC108600171|XP_017843069.1|DBUS, LOC108607925|XP_017854528.2|DBUS	LOC109402101|XP_019530267.2|AEAL, LOC115254992|XP_029708556.1|AEAL
OG0000533	LOC108606118|XP_017851461.1|DBUS	LOC115267578|XP_029730517.1|AEAL, LOC115267577|XP_029730515.1|AEAL
OG0000533	LOC108604646|XP_017849685.1|DBUS	LOC109431876|XP_029712670.1|AEAL
OG0000535	LOC108595799|XP_017836579.1|DBUS, LOC108595694|XP_017836465.1|DBUS	LOC109398917|XP_019526916.2|AEAL, LOC115261332|XP_029718636.1|AEAL, LOC109401621|XP_029724250.1|AEAL
OG0000536	LOC108600702|XP_017843912.1|DBUS	LOC115264776|XP_029724655.1|AEAL, LOC109401564|XP_029724530.1|AEAL, LOC109623392|XP_029729324.1|AEAL, LOC115262584|XP_029720835.1|AEAL, LOC109623370|XP_029720836.1|AEAL, LOC109426873|XP_019557979.2|AEAL, LOC115263539|XP_029722641.1|AEAL, LOC109426875|XP_029721168.1|AEAL
OG0000537	LOC108595146|XP_017835801.1|DBUS	LOC109408772|XP_029730736.1|AEAL, LOC115267712|XP_029730734.1|AEAL, LOC109432694|XP_029730757.1|AEAL
OG0000538	LOC108597300|XP_017839267.1|DBUS, LOC108595482|XP_017836221.1|DBUS	LOC115257305|XP_029712629.1|AEAL, LOC109408744|XP_029730747.1|AEAL, LOC109428955|XP_019560345.1|AEAL
OG0000539	LOC108602420|XP_017846023.1|DBUS, LOC108602112|XP_017845626.1|DBUS	LOC109425942|XP_019556892.2|AEAL, LOC115260132|XP_029716901.1|AEAL, LOC109407618|XP_019536304.1|AEAL
OG0000542	LOC108602847|XP_017846605.1|DBUS, LOC108607338|XP_017853510.1|DBUS	LOC109405382|XP_019533982.2|AEAL
OG0000543	LOC108602308|XP_017845880.1|DBUS, LOC108597250|XP_017839191.1|DBUS	LOC109402692|XP_019530940.2|AEAL, LOC109402667|XP_019530911.2|AEAL
OG0000544	LOC108598572|XP_017840747.1|DBUS, LOC108601988|XP_017845471.1|DBUS	LOC115269103|XP_029733348.1|AEAL, LOC109422143|XP_019552329.2|AEAL, LOC109432623|XP_019564530.2|AEAL
OG0000545	LOC108604827|XP_017849929.1|DBUS, LOC108601838|XP_017845270.1|DBUS	LOC115259474|XP_029715915.1|AEAL
OG0000546	LOC108601923|XP_017845389.1|DBUS, LOC108606610|XP_017852368.1|DBUS	LOC109404024|XP_019532434.2|AEAL
OG0000547	LOC117134897|XP_033150171.1|DBUS, LOC117134917|XP_033150290.1|DBUS	LOC109409292|XP_029716677.1|AEAL, LOC109621276|XP_029726259.1|AEAL
