Orthogroup	DBUS.longest_only	HILL.longest_only
OG0002084	LOC108595293|XP_017835995.1|DBUS	LOC119656315|XP_037918691.1|HILL
OG0002085	LOC108596903|XP_017838581.1|DBUS	LOC119656233|XP_037918577.1|HILL, LOC119655275|XP_037917019.1|HILL, LOC119655274|XP_037917014.1|HILL
OG0002086	LOC108595332|XP_017836041.1|DBUS	LOC119655635|XP_037917536.1|HILL
OG0002087	LOC108599127|XP_033149662.1|DBUS	LOC119654374|XP_037915655.1|HILL
OG0002088	LOC108600635|XP_017843811.1|DBUS	LOC119647909|XP_037905155.1|HILL
OG0002089	LOC108596939|XP_017838664.1|DBUS	LOC119654913|XP_037916475.1|HILL
OG0002090	LOC108601142|XP_017844558.1|DBUS	LOC119648685|XP_037906409.1|HILL
OG0002091	LOC108594847|XP_017835474.1|DBUS	LOC119653647|XP_037914390.1|HILL, LOC119653648|XP_037914392.1|HILL, LOC119653646|XP_037914389.1|HILL
OG0002092	LOC108600213|XP_017843121.1|DBUS	LOC119647664|XP_037904667.1|HILL
OG0002093	LOC108597411|XP_017839448.1|DBUS	LOC119653692|XP_037914490.1|HILL
OG0002094	LOC108595952|XP_017836726.1|DBUS	LOC119653481|XP_037914036.1|HILL
OG0002095	LOC108605225|XP_017850325.1|DBUS	LOC119653426|XP_037913933.1|HILL
OG0002096	LOC108596986|XP_017838737.1|DBUS	LOC119653799|XP_037914741.1|HILL, LOC119655532|XP_037917374.1|HILL
OG0002097	LOC108595305|XP_017836009.1|DBUS, LOC108594674|XP_033149166.1|DBUS	LOC119654127|XP_037915218.1|HILL
OG0002098	LOC108600822|XP_017844118.2|DBUS	LOC119649830|XP_037908100.1|HILL
OG0002099	LOC108604652|XP_017849691.1|DBUS	LOC119653875|XP_037914911.1|HILL
OG0002100	LOC108598760|XP_017840987.1|DBUS	LOC119647613|XP_037904574.1|HILL
OG0002101	LOC108596205|XP_033148995.1|DBUS	LOC119655574|XP_037917430.1|HILL
OG0002102	LOC108596480|XP_017837740.1|DBUS	LOC119653572|XP_037914228.1|HILL
OG0002103	LOC108604478|XP_017849453.1|DBUS	LOC119652473|XP_037912571.1|HILL
OG0002107	LOC108608267|XP_017855050.2|DBUS	LOC119646747|XP_037903252.1|HILL
OG0002110	LOC108601474|XP_017844862.1|DBUS	LOC119647779|XP_037904889.1|HILL
OG0002117	LOC108607160|XP_017853299.1|DBUS	LOC119657828|XP_037920874.1|HILL
OG0002118	LOC108602354|XP_017845942.1|DBUS	LOC119656808|XP_037919354.1|HILL
OG0002119	LOC108603016|XP_017846901.1|DBUS	LOC119658634|XP_037922087.1|HILL
OG0002120	LOC108607374|XP_017853584.1|DBUS	LOC119660744|XP_037925393.1|HILL
OG0002121	LOC108604405|XP_017849356.1|DBUS	LOC119651294|XP_037910741.1|HILL
OG0002123	LOC108607448|XP_017853774.2|DBUS	LOC119648401|XP_037906075.1|HILL
OG0002124	LOC108605570|XP_017850826.1|DBUS	LOC119657220|XP_037919960.1|HILL
OG0002125	LOC108597375|XP_017839396.1|DBUS	LOC119650671|XP_037909550.1|HILL
OG0002126	LOC108598783|XP_017841013.2|DBUS	LOC119647832|XP_037905001.1|HILL
OG0002127	LOC108607051|XP_017853151.1|DBUS	LOC119657602|XP_037920529.1|HILL
OG0002128	LOC108606278|XP_017851747.1|DBUS, LOC108596321|XP_017837432.1|DBUS	LOC119656607|XP_037918970.1|HILL
OG0002129	LOC108603945|XP_017848626.1|DBUS	LOC119652830|XP_037913086.1|HILL
OG0002130	LOC108606483|XP_017852111.1|DBUS	LOC119657247|XP_037919992.1|HILL
OG0002131	LOC108603106|XP_017847099.1|DBUS	LOC119651496|XP_037911040.1|HILL
OG0002132	LOC108594263|XP_017834878.2|DBUS	LOC119651555|XP_037911116.1|HILL
OG0002133	LOC108605212|XP_017850308.1|DBUS	LOC119656658|XP_037919062.1|HILL
OG0002134	LOC108605887|XP_017851191.1|DBUS	LOC119653848|XP_037914824.1|HILL
OG0002135	LOC108606573|XP_017852282.1|DBUS	LOC119656668|XP_037919077.1|HILL
OG0002136	LOC108604283|XP_017849175.1|DBUS	LOC119659975|XP_037924269.1|HILL
OG0002137	LOC108601788|XP_017845208.1|DBUS	LOC119656530|XP_037918803.1|HILL
OG0002138	LOC108605665|XP_017850941.1|DBUS	LOC119661326|XP_037926552.1|HILL
OG0002139	LOC108606962|XP_017853010.1|DBUS	LOC119646344|XP_037902706.1|HILL
OG0002140	LOC108606469|XP_017852086.1|DBUS	LOC119658046|XP_037921217.1|HILL
OG0002141	LOC108597516|XP_017839598.1|DBUS	LOC119658647|XP_037922113.1|HILL
OG0002142	LOC108604580|XP_017849600.1|DBUS	LOC119652352|XP_037912360.1|HILL
OG0002143	LOC108594295|XP_017834976.2|DBUS	LOC119646616|XP_037903050.1|HILL
OG0002144	LOC108607392|XP_017853644.1|DBUS	LOC119660743|XP_037925386.1|HILL
OG0002145	LOC108601942|XP_017845411.1|DBUS	LOC119661362|XP_037926640.1|HILL
OG0002146	LOC108603716|XP_017848246.1|DBUS	LOC119650779|XP_037909815.1|HILL
OG0002147	LOC108605328|XP_033150296.1|DBUS	LOC119657972|XP_037921111.1|HILL
OG0002148	LOC108599114|XP_017841393.1|DBUS	LOC119656565|XP_037918877.1|HILL
OG0002149	LOC108607406|XP_017853678.1|DBUS	LOC119660866|XP_037925690.1|HILL
OG0002150	LOC108607190|XP_017853338.1|DBUS	LOC119646740|XP_037903246.1|HILL
OG0002151	LOC108599958|XP_017842701.1|DBUS	LOC119661168|XP_037926312.1|HILL, LOC119646524|XP_037902916.1|HILL
OG0002152	LOC108604266|XP_017849149.1|DBUS	LOC119652511|XP_037912633.1|HILL
OG0002153	LOC108601505|XP_017844894.1|DBUS	LOC119652345|XP_037912298.1|HILL
OG0002154	LOC108606482|XP_017852107.1|DBUS	LOC119657793|XP_037920805.1|HILL
OG0002155	LOC108602644|XP_017846278.1|DBUS	LOC119658159|XP_037921355.1|HILL
OG0002156	LOC108600549|XP_017843697.1|DBUS	LOC119660802|XP_037925559.1|HILL
OG0002157	LOC108601565|XP_033149795.1|DBUS, LOC108601566|XP_017844954.1|DBUS	LOC119651054|XP_037910311.1|HILL
OG0002158	LOC108597294|XP_017839261.1|DBUS	LOC119651960|XP_037911747.1|HILL, LOC119651888|XP_037911638.1|HILL, LOC119659188|XP_037923076.1|HILL
OG0002159	LOC108596147|XP_017837129.1|DBUS	LOC119651415|XP_037910937.1|HILL
OG0002160	LOC108604843|XP_017849952.1|DBUS	LOC119653182|XP_037913664.1|HILL
OG0002161	LOC108602549|XP_017846173.1|DBUS	LOC119650997|XP_037910210.1|HILL
OG0002162	LOC108604471|XP_017849445.1|DBUS	LOC119659601|XP_037923697.1|HILL
OG0002163	LOC108606813|XP_017852775.1|DBUS, LOC108600919|XP_017844241.2|DBUS	LOC119652577|XP_037912719.1|HILL
OG0002164	LOC108603770|XP_017848346.1|DBUS	LOC119658470|XP_037921820.1|HILL
OG0002165	LOC108601843|XP_017845279.1|DBUS	LOC119651145|XP_037910477.1|HILL
OG0002166	LOC108599577|XP_017843683.1|DBUS	LOC119646480|XP_037902861.1|HILL
OG0002167	LOC108595581|XP_017836332.1|DBUS	LOC119660949|XP_037925889.1|HILL
OG0002168	LOC108596917|XP_017838617.1|DBUS	LOC119658017|XP_037921174.1|HILL
OG0002169	LOC108599395|XP_017841693.1|DBUS	LOC119658302|XP_037921533.1|HILL
OG0002170	LOC108607387|XP_017853625.1|DBUS	LOC119660722|XP_037925301.1|HILL
OG0002171	LOC108603157|XP_017847202.1|DBUS	LOC119657940|XP_037921057.1|HILL
OG0002172	LOC108602192|XP_017845729.1|DBUS	LOC119657818|XP_037920860.1|HILL
OG0002173	LOC108598362|XP_017840475.1|DBUS	LOC119660310|XP_037924716.1|HILL
OG0002174	LOC108602155|XP_017845677.1|DBUS	LOC119651946|XP_037911728.1|HILL
OG0002175	LOC108602157|XP_017845678.1|DBUS	LOC119651947|XP_037911729.1|HILL
OG0002176	LOC108604046|XP_017848797.1|DBUS	LOC119652239|XP_037912142.1|HILL
OG0002177	LOC108604741|XP_017849813.1|DBUS	LOC119651431|XP_037910957.1|HILL
OG0002178	LOC108602970|XP_017846841.1|DBUS	LOC119656556|XP_037918862.1|HILL
OG0002179	LOC108601898|XP_017845364.2|DBUS	LOC119652952|XP_037913273.1|HILL
OG0002180	LOC108603618|XP_017848056.1|DBUS	LOC119653216|XP_037913716.1|HILL
OG0002181	LOC108606947|XP_017852993.1|DBUS	LOC119657501|XP_037920363.1|HILL
OG0002182	LOC108603256|XP_017847384.1|DBUS	LOC119653170|XP_037913639.1|HILL
OG0002183	LOC108595213|XP_017835889.1|DBUS	LOC119654245|XP_037915415.1|HILL
OG0002184	LOC108604061|XP_017848813.1|DBUS	LOC119660227|XP_037924603.1|HILL, LOC119660228|XP_037924604.1|HILL
OG0002185	LOC108603726|XP_017848257.1|DBUS	LOC119651143|XP_037910474.1|HILL
OG0002186	LOC108602769|XP_017846434.1|DBUS	LOC119651163|XP_037910509.1|HILL
OG0002187	LOC108604227|XP_017849081.1|DBUS	LOC119651707|XP_037911348.1|HILL
OG0002188	LOC108596080|XP_017836986.1|DBUS	LOC119656601|XP_037918961.1|HILL
OG0002189	LOC117135100|XP_033150991.1|DBUS	LOC119656534|XP_037918808.1|HILL
OG0002190	LOC108602627|XP_017846255.1|DBUS	LOC119656531|XP_037918804.1|HILL
OG0002191	LOC108599950|XP_017842687.2|DBUS	LOC119658503|XP_037921893.1|HILL
OG0002192	LOC108598672|XP_017840878.2|DBUS	LOC119650042|XP_037908453.1|HILL
OG0002193	LOC108602179|XP_017845708.1|DBUS	LOC119650569|XP_037909314.1|HILL
OG0002194	LOC108603981|XP_017848696.1|DBUS	LOC119651777|XP_037911459.1|HILL
OG0002195	LOC108604800|XP_017849889.1|DBUS	LOC119651763|XP_037911430.1|HILL
OG0002196	LOC108602494|XP_017846110.1|DBUS	LOC119660377|XP_037924823.1|HILL
OG0002197	LOC108598704|XP_017840918.1|DBUS	LOC119651176|XP_037910531.1|HILL
OG0002198	LOC108603576|XP_033150123.1|DBUS	LOC119660590|XP_037925187.1|HILL
OG0002199	LOC108601919|XP_017845386.1|DBUS	LOC119660116|XP_037924433.1|HILL
OG0002200	LOC108604390|XP_017849337.1|DBUS	LOC119652671|XP_037912865.1|HILL
OG0002202	LOC108602750|XP_017846406.1|DBUS	LOC119651531|XP_037911090.1|HILL
OG0002203	LOC108603839|XP_017848474.1|DBUS	LOC119652412|XP_037912453.1|HILL
OG0002204	LOC108603017|XP_017846902.1|DBUS	LOC119651218|XP_037910600.1|HILL
OG0002205	LOC108602737|XP_017846378.1|DBUS	LOC119651865|XP_037911601.1|HILL
OG0002206	LOC108602176|XP_017845702.1|DBUS	LOC119652902|XP_037913206.1|HILL
OG0002207	LOC108604660|XP_017849701.2|DBUS	LOC119650917|XP_037910070.1|HILL
OG0002208	LOC108603306|XP_017847476.1|DBUS	LOC119652747|XP_037912974.1|HILL
OG0002209	LOC108605670|XP_017850951.1|DBUS	LOC119646183|XP_037902493.1|HILL
OG0002210	LOC108603040|XP_017846947.1|DBUS	LOC119652626|XP_037912800.1|HILL
OG0002211	LOC108603206|XP_017847280.1|DBUS	LOC119650782|XP_037909821.1|HILL
OG0002212	LOC108602997|XP_017846881.1|DBUS	LOC119651457|XP_037910991.1|HILL
OG0002213	LOC108606120|XP_033150360.1|DBUS, LOC108603368|XP_017847620.1|DBUS	LOC119656652|XP_037919045.1|HILL
OG0002214	LOC108602664|XP_017846300.1|DBUS	LOC119658013|XP_037921167.1|HILL, LOC119657904|XP_037920992.1|HILL
OG0002215	LOC108603279|XP_033150047.1|DBUS	LOC119651153|XP_037910489.1|HILL
OG0002216	LOC108596455|XP_017837691.1|DBUS	LOC119658048|XP_037921220.1|HILL
OG0002217	LOC108603461|XP_017847783.1|DBUS	LOC119651310|XP_037910765.1|HILL
OG0002218	LOC108606960|XP_017853009.1|DBUS	LOC119657383|XP_037920196.1|HILL
OG0002219	LOC108604765|XP_017849848.1|DBUS	LOC119657494|XP_037920350.1|HILL
OG0002220	LOC108601387|XP_017844776.1|DBUS	LOC119658101|XP_037921295.1|HILL
OG0002221	LOC108598063|XP_033149585.1|DBUS	LOC119648528|XP_037906224.1|HILL
OG0002222	LOC108595387|XP_017836102.1|DBUS	LOC119659466|XP_037923481.1|HILL
OG0002223	LOC108596239|XP_017837276.1|DBUS	LOC119660616|XP_037925236.1|HILL
OG0002224	LOC108596318|XP_017837424.1|DBUS	LOC119659327|XP_037923288.1|HILL
OG0002225	LOC108600897|XP_017844210.1|DBUS	LOC119647812|XP_037904959.1|HILL
OG0002226	LOC108596252|XP_017837294.1|DBUS	LOC119646855|XP_037903406.1|HILL
OG0002227	LOC108596494|XP_033149116.1|DBUS	LOC119654275|XP_037915480.1|HILL
OG0002228	LOC108597535|XP_017839624.1|DBUS, LOC108605881|XP_017851186.2|DBUS	LOC119646814|XP_037903343.1|HILL
OG0002229	LOC108597171|XP_017839074.1|DBUS	LOC119647063|XP_037903749.1|HILL, LOC119647328|XP_037904194.1|HILL
OG0002230	LOC108597390|XP_017839413.1|DBUS	LOC119651222|XP_037910610.1|HILL
OG0002231	LOC108597713|XP_017839891.1|DBUS	LOC119650627|XP_037909458.1|HILL
OG0002232	LOC108597132|XP_017839006.1|DBUS	LOC119647095|XP_037903793.1|HILL
OG0002233	LOC108600814|XP_017844089.1|DBUS	LOC119649443|XP_037907522.1|HILL
OG0002235	LOC108596646|XP_017838110.1|DBUS	LOC119656207|XP_037918530.1|HILL
OG0002236	LOC108596047|XP_017836922.1|DBUS	LOC119654446|XP_037915780.1|HILL
OG0002237	LOC108596076|XP_017836978.1|DBUS	LOC119648981|XP_037906834.1|HILL
OG0002238	LOC108596892|XP_017838566.1|DBUS	LOC119646673|XP_037903131.1|HILL
OG0002239	LOC108596947|XP_017838675.1|DBUS	LOC119650661|XP_037909529.1|HILL, LOC119660823|XP_037925614.1|HILL
OG0002240	LOC108596447|XP_017837680.1|DBUS	LOC119653608|XP_037914303.1|HILL
OG0002241	LOC108600708|XP_017843927.1|DBUS	LOC119649540|XP_037907655.1|HILL
OG0002242	LOC108600924|XP_017844245.2|DBUS	LOC119650457|XP_037909241.1|HILL
OG0002243	LOC108603300|XP_017847466.1|DBUS	LOC119648974|XP_037906824.1|HILL
OG0002244	LOC108600572|XP_017843730.2|DBUS	LOC119648399|XP_037906071.1|HILL
OG0002245	LOC108599828|XP_017842424.1|DBUS	LOC119647821|XP_037904979.1|HILL
OG0002246	LOC108597526|XP_017839612.1|DBUS	LOC119661166|XP_037926309.1|HILL
OG0002247	LOC108597335|XP_017839321.1|DBUS	LOC119649772|XP_037908000.1|HILL
OG0002248	LOC108600577|XP_017843735.2|DBUS	LOC119650105|XP_037908553.1|HILL
OG0002249	LOC108598563|XP_017840736.1|DBUS	LOC119650067|XP_037908492.1|HILL
OG0002250	LOC108594857|XP_017835485.1|DBUS	LOC119661059|XP_037926188.1|HILL
OG0002251	LOC108594793|XP_033148901.1|DBUS	LOC119646912|XP_037903511.1|HILL
OG0002252	LOC108597349|XP_017839345.1|DBUS	LOC119647096|XP_037903794.1|HILL, LOC119661252|XP_037926428.1|HILL, LOC119661187|XP_037926335.1|HILL
OG0002253	LOC108597637|XP_017839770.1|DBUS	LOC119661309|XP_037926529.1|HILL
OG0002254	LOC108602655|XP_017846290.1|DBUS	LOC119659864|XP_037924104.1|HILL
OG0002255	LOC108606742|XP_017852629.1|DBUS	LOC119659877|XP_037924124.1|HILL
OG0002256	LOC108596980|XP_017838725.1|DBUS	LOC119647267|XP_037904084.1|HILL
OG0002257	LOC108597752|XP_017839950.1|DBUS	LOC119659138|XP_037923001.1|HILL
OG0002258	LOC108600398|XP_017843435.1|DBUS	LOC119649712|XP_037907914.1|HILL
OG0002259	LOC108606369|XP_017851906.1|DBUS	LOC119660723|XP_037925304.1|HILL
OG0002260	LOC108600387|XP_017843422.1|DBUS	LOC119650103|XP_037908551.1|HILL
OG0002261	LOC108598994|XP_017841258.1|DBUS	LOC119649098|XP_037907029.1|HILL
OG0002262	LOC108596029|XP_017836881.1|DBUS	LOC119655348|XP_037917128.1|HILL
OG0002263	LOC108600256|XP_017843183.1|DBUS	LOC119649924|XP_037908255.1|HILL
OG0002264	LOC108595084|XP_017835724.1|DBUS	LOC119646417|XP_037902791.1|HILL
OG0002265	LOC108598928|XP_017843961.1|DBUS	LOC119649321|XP_037907351.1|HILL
OG0002266	LOC117134994|XP_033150599.1|DBUS, LOC117134995|XP_033150600.1|DBUS	LOC119649683|XP_037907872.1|HILL
OG0002267	LOC108601089|XP_033149589.1|DBUS	LOC119647746|XP_037904789.1|HILL
OG0002268	LOC108598844|XP_017841087.1|DBUS	LOC119648816|XP_037906597.1|HILL
OG0002269	LOC108597393|XP_017839418.1|DBUS	LOC119661153|XP_037926293.1|HILL
OG0002270	LOC108597202|XP_017839129.1|DBUS	LOC119646408|XP_037902781.1|HILL
OG0002271	LOC108599179|XP_017841456.1|DBUS	LOC119647797|XP_037904933.1|HILL
OG0002272	LOC108598172|XP_033149555.1|DBUS	LOC119647750|XP_037904797.1|HILL
OG0002273	LOC108599877|XP_017842522.1|DBUS	LOC119649571|XP_037907701.1|HILL
OG0002274	LOC108598341|XP_033149723.1|DBUS	LOC119647790|XP_037904910.1|HILL
OG0002275	LOC108601019|XP_017844382.1|DBUS	LOC119647795|XP_037904925.1|HILL
OG0002277	LOC108598739|XP_033150626.1|DBUS	LOC119649061|XP_037906973.1|HILL
OG0002278	LOC108597888|XP_017839995.1|DBUS	LOC119650383|XP_037909050.1|HILL
OG0002279	LOC108600073|XP_017842918.1|DBUS	LOC119648852|XP_037906657.1|HILL, LOC119649155|XP_037907094.1|HILL
OG0002280	LOC108600141|XP_017843023.2|DBUS	LOC119648199|XP_037905723.1|HILL
OG0002281	LOC108600021|XP_017842828.1|DBUS	LOC119648008|XP_037905336.1|HILL
OG0002282	LOC108599639|XP_017842100.1|DBUS	LOC119649086|XP_037907016.1|HILL
OG0002283	LOC117134718|XP_033149189.1|DBUS	LOC119657305|XP_037920132.1|HILL, LOC119657228|XP_037920008.1|HILL, LOC119657393|XP_037920249.1|HILL
OG0002284	LOC108595577|XP_017836327.1|DBUS	LOC119646518|XP_037902906.1|HILL
OG0002285	LOC108605938|XP_017851248.1|DBUS	LOC119650463|XP_037909255.1|HILL
OG0002286	LOC108597606|XP_017839732.1|DBUS	LOC119649955|XP_037908319.1|HILL
OG0002287	LOC108597429|XP_017839473.1|DBUS	LOC119653021|XP_037913392.1|HILL
OG0002288	LOC108599178|XP_017841454.1|DBUS	LOC119648663|XP_037906373.1|HILL
OG0002289	LOC108598865|XP_017841112.1|DBUS	LOC119649250|XP_037907246.1|HILL
OG0002290	LOC108594425|XP_017835088.2|DBUS, LOC117135025|XP_033150725.1|DBUS	LOC119651797|XP_037911508.1|HILL
OG0002291	LOC108595545|XP_033149021.1|DBUS	LOC119647226|XP_037903991.1|HILL
OG0002292	LOC108597312|XP_017839287.1|DBUS	LOC119653533|XP_037914141.1|HILL
OG0002293	LOC108596515|XP_017837846.1|DBUS	LOC119659415|XP_037923419.1|HILL
OG0002294	LOC108604456|XP_017849425.1|DBUS	LOC119661107|XP_037926231.1|HILL
OG0002295	LOC108607702|XP_017854182.1|DBUS	LOC119653230|XP_037913745.1|HILL
OG0002296	LOC108607595|XP_017851272.2|DBUS	LOC119652982|XP_037913322.1|HILL
OG0002297	LOC108603180|XP_017847227.1|DBUS	LOC119659876|XP_037924122.1|HILL
OG0002298	LOC108596773|XP_017838361.1|DBUS	LOC119656593|XP_037918937.1|HILL
OG0002299	LOC108595725|XP_017836496.1|DBUS	LOC119657831|XP_037920880.1|HILL
OG0002300	LOC108600064|XP_017842909.1|DBUS	LOC119653080|XP_037913497.1|HILL
OG0002301	LOC108607442|XP_017853762.2|DBUS	LOC119653049|XP_037913441.1|HILL
OG0002302	LOC108608099|XP_017854794.1|DBUS	LOC119650848|XP_037909921.1|HILL
OG0002303	LOC108605492|XP_017850726.1|DBUS	LOC119653669|XP_037914431.1|HILL
OG0002304	LOC108594417|XP_017835075.2|DBUS	LOC119652508|XP_037912624.1|HILL
OG0002305	LOC108601003|XP_017844357.1|DBUS	LOC119651745|XP_037911403.1|HILL, LOC119651397|XP_037910906.1|HILL, LOC119652571|XP_037912713.1|HILL
OG0002306	LOC108594502|XP_017835190.2|DBUS	LOC119653029|XP_037913402.1|HILL
OG0002308	LOC108608092|XP_033149028.1|DBUS	LOC119650780|XP_037909817.1|HILL
OG0002309	LOC108603479|XP_017847820.1|DBUS	LOC119651381|XP_037910882.1|HILL
OG0002310	LOC108594511|XP_033150958.1|DBUS	LOC119647257|XP_037904066.1|HILL
OG0002311	LOC108607860|XP_017854432.1|DBUS	LOC119652655|XP_037912835.1|HILL
OG0002312	LOC108594527|XP_017835219.2|DBUS	LOC119652707|XP_037912916.1|HILL
OG0002313	LOC108596616|XP_017838048.1|DBUS	LOC119655802|XP_037917826.1|HILL
OG0002314	LOC108595384|XP_017836098.1|DBUS	LOC119655834|XP_037917872.1|HILL, LOC119655507|XP_037917343.1|HILL
OG0002315	LOC108596794|XP_033150903.1|DBUS	LOC119655367|XP_037917156.1|HILL
OG0002316	LOC108602477|XP_017846093.1|DBUS	LOC119651316|XP_037910774.1|HILL, LOC119646240|XP_037902563.1|HILL
OG0002317	LOC108600900|XP_017844214.1|DBUS	LOC119648385|XP_037906049.1|HILL
OG0002318	LOC108607814|XP_017854351.1|DBUS	LOC119655108|XP_037916758.1|HILL
OG0002319	LOC108607599|XP_017853991.1|DBUS	LOC119652959|XP_037913282.1|HILL
OG0002320	LOC108597643|XP_017839781.1|DBUS	LOC119661768|XP_037927170.1|HILL
OG0002321	LOC108595228|XP_017835912.1|DBUS, LOC108597895|XP_033150610.1|DBUS	LOC119654879|XP_037916414.1|HILL
OG0002322	LOC108608478|XP_017855359.1|DBUS	LOC119651720|XP_037911370.1|HILL
OG0002323	LOC108607505|XP_017853857.1|DBUS	LOC119655386|XP_037917185.1|HILL
OG0002324	LOC108601005|XP_017844360.1|DBUS	LOC119649617|XP_037907765.1|HILL
OG0002325	LOC108600301|XP_017843275.1|DBUS	LOC119649629|XP_037907792.1|HILL
OG0002326	LOC108600663|XP_017843848.1|DBUS	LOC119649630|XP_037907797.1|HILL
OG0002327	LOC108603572|XP_017847979.1|DBUS	LOC119647579|XP_037904514.1|HILL
OG0002328	LOC108596495|XP_017837810.1|DBUS	LOC119651995|XP_037911843.1|HILL
OG0002329	LOC108607634|XP_017854047.1|DBUS, LOC108607632|XP_017854045.1|DBUS	LOC119661282|XP_037926486.1|HILL
OG0002330	LOC108607637|XP_017854049.1|DBUS	LOC119659245|XP_037923156.1|HILL
OG0002331	LOC108606419|XP_017852004.1|DBUS	LOC119646483|XP_037902866.1|HILL, LOC119646794|XP_037903311.1|HILL
OG0002332	LOC108600051|XP_017842887.1|DBUS	LOC119659200|XP_037923095.1|HILL
OG0002333	LOC108595684|XP_017836454.1|DBUS	LOC119657902|XP_037920990.1|HILL
OG0002334	LOC108596792|XP_017838388.1|DBUS	LOC119652270|XP_037912182.1|HILL
OG0002335	LOC108595361|XP_017836074.1|DBUS	LOC119656022|XP_037918209.1|HILL
OG0002336	LOC108600317|XP_017843304.1|DBUS	LOC119648710|XP_037906447.1|HILL
OG0002337	LOC108596348|XP_017837492.1|DBUS	LOC119661456|XP_037926740.1|HILL
OG0002338	LOC108594452|XP_017835116.1|DBUS	LOC119646257|XP_037902586.1|HILL
OG0002339	LOC108608445|XP_017855310.1|DBUS	LOC119661238|XP_037926395.1|HILL, LOC119658619|XP_037922043.1|HILL
OG0002340	LOC108598668|XP_033150831.1|DBUS	LOC119646924|XP_037903532.1|HILL
OG0002341	LOC108595340|XP_017836050.1|DBUS	LOC119646973|XP_037903605.1|HILL
OG0002342	LOC108608147|XP_017854881.2|DBUS	LOC119649030|XP_037906931.1|HILL
OG0002343	LOC108607937|XP_017854543.2|DBUS	LOC119660713|XP_037925287.1|HILL
OG0002344	LOC108599497|XP_017841849.1|DBUS	LOC119651744|XP_037911406.1|HILL
OG0002345	LOC108596352|XP_017837499.1|DBUS	LOC119657767|XP_037920762.1|HILL
OG0002346	LOC108594219|XP_017834817.2|DBUS	LOC119651353|XP_037910840.1|HILL, LOC119653163|XP_037913631.1|HILL
OG0002347	LOC108597495|XP_017839568.1|DBUS	LOC119646674|XP_037903132.1|HILL
OG0002348	LOC108607888|XP_017854481.1|DBUS	LOC119647049|XP_037903733.1|HILL
OG0002349	LOC108596354|XP_017837505.1|DBUS	LOC119658296|XP_037921522.1|HILL
OG0002350	LOC108596351|XP_017837497.1|DBUS	LOC119657278|XP_037920050.1|HILL
OG0002351	LOC108595185|XP_017835853.1|DBUS	LOC119646879|XP_037903434.1|HILL
OG0002352	LOC108597611|XP_017839737.1|DBUS	LOC119647139|XP_037903859.1|HILL
OG0002353	LOC108594262|XP_033150353.1|DBUS	LOC119652308|XP_037912247.1|HILL
OG0002354	LOC108608242|XP_017855018.2|DBUS	LOC119652287|XP_037912211.1|HILL
OG0002355	LOC108594342|XP_033150584.1|DBUS	LOC119651278|XP_037910710.1|HILL
OG0002356	LOC108608288|XP_017855096.1|DBUS	LOC119660436|XP_037924918.1|HILL
OG0002357	LOC108604314|XP_017849225.1|DBUS	LOC119653801|XP_037914745.1|HILL
OG0002358	LOC108603176|XP_017847225.2|DBUS, LOC108598806|XP_017841041.2|DBUS	LOC119656951|XP_037919596.1|HILL
OG0002359	LOC108606824|XP_017852796.1|DBUS	LOC119657707|XP_037920678.1|HILL
OG0002360	LOC108607431|XP_017853736.2|DBUS	LOC119652938|XP_037913255.1|HILL
OG0002361	LOC108600877|XP_017844180.1|DBUS	LOC119650828|XP_037909898.1|HILL
OG0002362	LOC108607704|XP_017854187.2|DBUS	LOC119647434|XP_037904283.1|HILL
OG0002363	LOC108607434|XP_017853754.1|DBUS	LOC119652537|XP_037912672.1|HILL
OG0002364	LOC108607432|XP_017853737.1|DBUS	LOC119649693|XP_037907892.1|HILL
OG0002365	LOC108601622|XP_017845013.1|DBUS	LOC119661179|XP_037926325.1|HILL
OG0002366	LOC108607789|XP_017854317.1|DBUS	LOC119661623|XP_037926971.1|HILL
OG0002367	LOC108607572|XP_017853952.1|DBUS	LOC119661318|XP_037926538.1|HILL
OG0002368	LOC108594432|XP_017835095.1|DBUS	LOC119652467|XP_037912566.1|HILL
OG0002370	LOC108600274|XP_033150066.1|DBUS	LOC119651809|XP_037911527.1|HILL
OG0002371	LOC108596123|XP_017837503.2|DBUS	LOC119656539|XP_037918816.1|HILL, LOC119651032|XP_037910274.1|HILL, LOC119650814|XP_037909880.1|HILL
OG0002372	LOC108607604|XP_017853997.2|DBUS	LOC119660545|XP_037925112.1|HILL, LOC119646395|XP_037902770.1|HILL
OG0002373	LOC108596741|XP_017838300.1|DBUS	LOC119661102|XP_037926219.1|HILL
OG0002374	LOC108602165|XP_017845687.1|DBUS	LOC119653043|XP_037913433.1|HILL
OG0002375	LOC108604776|XP_017849862.2|DBUS	LOC119660203|XP_037924565.1|HILL
OG0002376	LOC108608413|XP_017855261.1|DBUS	LOC119651132|XP_037910455.1|HILL
OG0002377	LOC108603645|XP_017848098.1|DBUS	LOC119659088|XP_037922929.1|HILL
OG0002378	LOC108600914|XP_017844235.1|DBUS	LOC119649998|XP_037908388.1|HILL
OG0002379	LOC108598136|XP_017840246.1|DBUS	LOC119660040|XP_037924350.1|HILL
OG0002380	LOC108606412|XP_017851985.1|DBUS	LOC119646172|XP_037902478.1|HILL
