Orthogroup	DBUS.longest_only	CPIP.longest_only
OG0000678	LOC108604300|XP_017849206.1|DBUS, LOC108602381|XP_033149881.1|DBUS	LOC120413326|XP_039430034.1|CPIP
OG0000679	LOC108607029|XP_017853108.1|DBUS	LOC120422653|XP_039442092.1|CPIP, LOC120422642|XP_039442078.1|CPIP, LOC120422622|XP_039442048.1|CPIP, LOC120429663|XP_039450627.1|CPIP, LOC120413474|XP_039430247.1|CPIP, LOC120413498|XP_039430289.1|CPIP
OG0000680	LOC108605264|XP_017850380.1|DBUS, LOC108605260|XP_017850373.1|DBUS	LOC120425607|XP_039446150.1|CPIP
OG0000681	LOC108604726|XP_017849795.1|DBUS, LOC108607265|XP_017853447.1|DBUS	LOC120418081|XP_039436271.1|CPIP, LOC120419864|XP_039438646.1|CPIP
OG0000683	LOC108601724|XP_017845132.1|DBUS	LOC120421815|XP_039441026.1|CPIP, LOC120427907|XP_039448781.1|CPIP, LOC120420753|XP_039439789.1|CPIP
OG0000684	LOC108601961|XP_017845437.1|DBUS, LOC108604666|XP_017849707.1|DBUS	LOC120430224|XP_039451238.1|CPIP
OG0000685	LOC108606072|XP_017851407.1|DBUS, LOC108603221|XP_017847309.1|DBUS	LOC120414285|XP_039431349.1|CPIP
OG0000686	LOC108596894|XP_017838571.1|DBUS, LOC108605804|XP_017851099.1|DBUS	LOC120423501|XP_039443275.1|CPIP
OG0000687	LOC108595667|XP_017836436.1|DBUS, LOC108600086|XP_017842934.2|DBUS	LOC120413459|XP_039430230.1|CPIP
OG0000688	LOC108596233|XP_017837261.1|DBUS	LOC120431079|XP_039452165.1|CPIP, LOC120417409|XP_039435385.1|CPIP
OG0000689	LOC108595342|XP_017836052.1|DBUS, LOC108595341|XP_017836051.1|DBUS	LOC120431213|XP_039452290.1|CPIP
OG0000690	LOC108606903|XP_017852925.1|DBUS	LOC120417154|XP_039435072.1|CPIP, LOC120414453|XP_039431575.1|CPIP, LOC120415957|XP_039433533.1|CPIP, LOC120421238|XP_039440371.1|CPIP, LOC120417133|XP_039435047.1|CPIP
OG0000691	LOC108607878|XP_017854469.1|DBUS, LOC108600202|XP_017843107.1|DBUS	LOC120426138|XP_039446786.1|CPIP
OG0000692	LOC108598103|XP_033149345.1|DBUS	LOC120412572|XP_039429020.1|CPIP, LOC120412641|XP_039429129.1|CPIP
OG0000694	LOC108600269|XP_033149512.1|DBUS, LOC108607244|XP_017853412.1|DBUS, LOC108599031|XP_017841301.1|DBUS	LOC120415917|XP_039433497.1|CPIP
OG0000695	LOC108608419|XP_017855270.1|DBUS, LOC117134642|XP_033150758.1|DBUS	LOC120421982|XP_039441225.1|CPIP
OG0000696	LOC108608084|XP_017854776.2|DBUS	LOC120430944|XP_039452001.1|CPIP
OG0000697	LOC108606322|XP_017851825.1|DBUS, LOC108608212|XP_017854976.1|DBUS	LOC120428099|XP_039449017.1|CPIP
OG0000698	LOC108601773|XP_017845192.1|DBUS, LOC108601849|XP_017845289.1|DBUS	LOC120412844|XP_039429401.1|CPIP
OG0000699	LOC108597459|XP_017839539.1|DBUS, LOC108601350|XP_017844737.2|DBUS	LOC120427812|XP_039448668.1|CPIP
OG0000700	LOC108606313|XP_033149889.1|DBUS, LOC108595140|XP_017838733.2|DBUS	LOC120422038|XP_039441297.1|CPIP
OG0000701	LOC108594713|XP_017835341.1|DBUS, LOC108605117|XP_017850169.1|DBUS	LOC120432450|XP_039453600.1|CPIP
OG0000702	LOC108602860|XP_017846630.1|DBUS, LOC108602859|XP_017846625.2|DBUS	LOC120429861|XP_039450866.1|CPIP
OG0000703	LOC108594540|XP_033149358.1|DBUS, LOC108596323|XP_017837434.1|DBUS	LOC120415396|XP_039432859.1|CPIP
OG0000704	LOC108606312|XP_033150380.1|DBUS, LOC108601735|XP_017845145.1|DBUS	LOC120415202|XP_039432596.1|CPIP
OG0000705	LOC108600139|XP_017843019.1|DBUS	LOC120415894|XP_039433467.1|CPIP
OG0000706	LOC108594528|XP_017835221.1|DBUS, LOC108605421|XP_017850582.1|DBUS	LOC120431510|XP_039452545.1|CPIP, LOC120417499|XP_039435510.1|CPIP
OG0000707	LOC108595525|XP_017836269.1|DBUS, LOC108607234|XP_017853401.1|DBUS	LOC120420877|XP_039439931.1|CPIP, LOC120417438|XP_039435414.1|CPIP
OG0000708	LOC108606833|XP_017852807.1|DBUS, LOC108605072|XP_033150299.1|DBUS	LOC120414023|XP_039430974.1|CPIP
OG0000709	LOC108602133|XP_017845650.1|DBUS, LOC108606906|XP_017852930.1|DBUS	LOC120425929|XP_039446484.1|CPIP
OG0000710	LOC108602729|XP_017846370.1|DBUS	LOC120419565|XP_039438228.1|CPIP
OG0000711	LOC108598725|XP_017840943.1|DBUS, LOC108606706|XP_033150306.1|DBUS	LOC120414993|XP_039432285.1|CPIP
OG0000712	LOC108601532|XP_033149929.1|DBUS, LOC108604378|XP_017849321.1|DBUS	LOC120415327|XP_039432747.1|CPIP
OG0000713	LOC108602569|XP_017846194.1|DBUS	LOC120426914|XP_039447655.1|CPIP
OG0000714	LOC108605721|XP_017851003.1|DBUS, LOC108600087|XP_017842935.1|DBUS	LOC120425956|XP_039446531.1|CPIP
OG0000715	LOC108599416|XP_017841716.1|DBUS	LOC120425955|XP_039446529.1|CPIP
OG0000716	LOC108606880|XP_017852893.1|DBUS, LOC108600643|XP_017843826.1|DBUS	LOC120416855|XP_039434686.1|CPIP
OG0000723	LOC108596006|XP_017836780.1|DBUS, LOC108595970|XP_017836746.1|DBUS, LOC108595786|XP_017836567.1|DBUS	LOC120415619|XP_039433149.1|CPIP
OG0000724	LOC108606112|XP_017851454.1|DBUS, LOC108603965|XP_017848655.1|DBUS	LOC120424175|XP_039444197.1|CPIP
OG0000726	LOC108604848|XP_033150559.1|DBUS, LOC108604703|XP_017849752.1|DBUS	LOC120415569|XP_039433085.1|CPIP
OG0000727	LOC117134862|XP_033150022.1|DBUS, LOC108603002|XP_033150021.1|DBUS, LOC108603009|XP_017846893.1|DBUS	LOC120418385|XP_039436693.1|CPIP, LOC120418370|XP_039436666.1|CPIP
OG0000728	LOC108606091|XP_017851425.1|DBUS, LOC108603174|XP_017847221.1|DBUS	LOC120423585|XP_039443379.1|CPIP
OG0000729	LOC108601413|XP_017844801.1|DBUS, LOC108604192|XP_017849033.1|DBUS	LOC120423358|XP_039443069.1|CPIP
OG0000730	LOC108599332|XP_017841625.1|DBUS, LOC108608005|XP_017854657.1|DBUS	LOC120417800|XP_039435933.1|CPIP
OG0000731	LOC108598000|XP_017840105.1|DBUS, LOC108594856|XP_017835482.1|DBUS	LOC120419772|XP_039438536.1|CPIP
OG0000732	LOC108601070|XP_017844453.1|DBUS, LOC108598913|XP_017841165.1|DBUS	LOC120413384|XP_039430116.1|CPIP
OG0000733	LOC108602357|XP_017845946.1|DBUS, LOC108600294|XP_017843264.1|DBUS	LOC120412609|XP_039429091.1|CPIP
OG0000734	LOC108606261|XP_017851712.1|DBUS, LOC108600322|XP_017843313.1|DBUS	LOC120421378|XP_039440503.1|CPIP
OG0000735	LOC108605681|XP_017850961.1|DBUS, LOC108598620|XP_017840811.1|DBUS	LOC120428673|XP_039449660.1|CPIP
OG0000736	LOC108608002|XP_033150560.1|DBUS, LOC108607797|XP_033150589.1|DBUS	LOC120416311|XP_039433966.1|CPIP
OG0000738	LOC108594304|XP_033150139.1|DBUS, LOC108603854|XP_017848500.1|DBUS	LOC120415559|XP_039433066.1|CPIP
OG0000739	LOC108604641|XP_033149989.1|DBUS, LOC108602057|XP_017845560.1|DBUS	LOC120418418|XP_039436733.1|CPIP, LOC120412505|XP_039428939.1|CPIP
OG0000740	LOC108604435|XP_017849398.1|DBUS	LOC120420376|XP_039439313.1|CPIP
OG0000741	LOC108606241|XP_017851678.1|DBUS, LOC108606904|XP_017852926.1|DBUS	LOC120413897|XP_039430812.1|CPIP, LOC120414929|XP_039432198.1|CPIP
OG0000742	LOC108607177|XP_017853322.1|DBUS, LOC108607136|XP_017853262.1|DBUS	LOC120423374|XP_039443091.1|CPIP
OG0000743	LOC108600090|XP_033149697.1|DBUS, LOC108594740|XP_017835367.1|DBUS	LOC120413024|XP_039429630.1|CPIP
OG0000744	LOC108596536|XP_017837914.1|DBUS, LOC108596482|XP_017837748.1|DBUS	LOC120414224|XP_039431268.1|CPIP, LOC120414230|XP_039431274.1|CPIP
OG0000746	LOC108597590|XP_017839698.1|DBUS, LOC108603431|XP_017847739.1|DBUS, LOC108597153|XP_017839043.1|DBUS	LOC120415831|XP_039433401.1|CPIP
OG0000753	LOC108599193|XP_017841478.1|DBUS	LOC120432583|XP_039453755.1|CPIP
OG0000754	LOC108607139|XP_017853265.1|DBUS, LOC108606967|XP_017853018.1|DBUS	LOC120425633|XP_039446149.1|CPIP
OG0000755	LOC108603743|XP_017848296.1|DBUS, LOC108601391|XP_017844779.1|DBUS	LOC120424343|XP_039444367.1|CPIP
OG0000756	LOC108602601|XP_017846227.1|DBUS	LOC120416674|XP_039434427.1|CPIP
OG0000757	LOC108594276|XP_017834899.1|DBUS, LOC108599063|XP_017841332.1|DBUS	LOC120413458|XP_039430229.1|CPIP
OG0000758	LOC108598573|XP_017840748.1|DBUS	LOC120426139|XP_039446787.1|CPIP
OG0000761	LOC108594312|XP_017834945.1|DBUS, LOC108608239|XP_017855014.1|DBUS	LOC120426315|XP_039447008.1|CPIP
OG0000762	LOC108602368|XP_017839991.1|DBUS, LOC108602287|XP_033149581.1|DBUS	LOC120431691|XP_039452740.1|CPIP, LOC120413861|XP_039430758.1|CPIP
OG0000764	LOC108605383|XP_033150390.1|DBUS	LOC120416982|XP_039434838.1|CPIP
OG0000765	LOC108599274|XP_017841559.1|DBUS, LOC108605509|XP_017850747.1|DBUS	LOC120417525|XP_039435542.1|CPIP
OG0000766	LOC108607586|XP_033150640.1|DBUS, LOC108606619|XP_017852390.1|DBUS	LOC120414850|XP_039432108.1|CPIP
OG0000767	LOC108603448|XP_033150088.1|DBUS, LOC108599723|XP_017842209.1|DBUS	LOC120423444|XP_039443195.1|CPIP
OG0000768	LOC108598553|XP_017840725.1|DBUS	LOC120421500|XP_039440653.1|CPIP
OG0000769	LOC108602143|XP_017845665.1|DBUS, LOC108604998|XP_017850053.1|DBUS	LOC120412516|XP_039428946.1|CPIP
OG0000770	LOC108597166|XP_017839069.1|DBUS, LOC108595522|XP_017836266.1|DBUS	LOC120432659|XP_039453839.1|CPIP, LOC120413150|XP_039429790.1|CPIP, LOC120432661|XP_039453841.1|CPIP
OG0000771	LOC108598894|XP_017841144.1|DBUS	LOC120422224|XP_039441543.1|CPIP, LOC120431658|XP_039452697.1|CPIP
OG0000779	LOC108605163|XP_017850235.1|DBUS	LOC120429662|XP_039450626.1|CPIP, LOC120416907|XP_039434740.1|CPIP, LOC120421811|XP_039441023.1|CPIP, LOC120430888|XP_039451974.1|CPIP, LOC120424409|XP_039444448.1|CPIP
OG0000780	LOC108603341|XP_017847562.1|DBUS, LOC108595125|XP_017835776.2|DBUS	LOC120418409|XP_039436760.1|CPIP, LOC120418035|XP_039436253.1|CPIP, LOC120418333|XP_039436646.1|CPIP
OG0000781	LOC108606777|XP_017852686.1|DBUS, LOC108598664|XP_017840866.1|DBUS	LOC120414167|XP_039431153.1|CPIP
OG0000782	LOC108599254|XP_017841540.2|DBUS, LOC108605397|XP_017850556.1|DBUS	LOC120425469|XP_039445938.1|CPIP
OG0000783	LOC108602146|XP_017845667.1|DBUS, LOC108605216|XP_017850314.1|DBUS	LOC120425480|XP_039445951.1|CPIP
OG0000784	LOC108599076|XP_017841353.1|DBUS, LOC108606990|XP_017853053.1|DBUS	LOC120428957|XP_039450028.1|CPIP
OG0000785	LOC108602404|XP_017846005.1|DBUS	LOC120425382|XP_039445831.1|CPIP, LOC120425381|XP_039445830.1|CPIP
OG0000786	LOC108603078|XP_017847053.1|DBUS	LOC120429815|XP_039450805.1|CPIP
OG0000787	LOC108599738|XP_017842235.2|DBUS	LOC120430342|XP_039451379.1|CPIP
OG0000788	LOC108599944|XP_017842657.1|DBUS	LOC120416496|XP_039434146.1|CPIP
OG0000789	LOC108598935|XP_033150820.1|DBUS, LOC108605911|XP_033150821.1|DBUS	LOC120414727|XP_039431965.1|CPIP
OG0000790	LOC108603631|XP_017848082.2|DBUS, LOC108600703|XP_017843919.2|DBUS	LOC120412832|XP_039429373.1|CPIP
OG0000791	LOC108603674|XP_017848163.1|DBUS	LOC120421987|XP_039441235.1|CPIP, LOC120415555|XP_039433063.1|CPIP
OG0000792	LOC108602758|XP_017846423.1|DBUS	LOC120415597|XP_039433125.1|CPIP
OG0000793	LOC108603824|XP_017848443.1|DBUS	LOC120423637|XP_039443443.1|CPIP
OG0000794	LOC108606255|XP_017851693.1|DBUS	LOC120430634|XP_039451663.1|CPIP, LOC120430632|XP_039451661.1|CPIP, LOC120431042|XP_039452127.1|CPIP, LOC120430630|XP_039451659.1|CPIP, LOC120431043|XP_039452128.1|CPIP
OG0000796	LOC108605214|XP_017850312.1|DBUS	LOC120432573|XP_039453733.1|CPIP
OG0000797	LOC108602984|XP_017846859.1|DBUS	LOC120414099|XP_039431056.1|CPIP, LOC120419430|XP_039438042.1|CPIP
OG0000798	LOC108596632|XP_017838072.1|DBUS, LOC108596631|XP_017838066.1|DBUS	LOC120415294|XP_039432697.1|CPIP
OG0000799	LOC108605153|XP_017850215.1|DBUS	LOC120424434|XP_039444488.1|CPIP, LOC120428134|XP_039449050.1|CPIP
OG0000801	LOC108595331|XP_017836040.1|DBUS	LOC120431544|XP_039452587.1|CPIP
OG0000802	LOC108605914|XP_017851218.1|DBUS	LOC120419165|XP_039437749.1|CPIP, LOC120419161|XP_039437744.1|CPIP, LOC120419173|XP_039437760.1|CPIP
OG0000803	LOC108594237|XP_017834837.1|DBUS, LOC108601161|XP_017844582.1|DBUS	LOC120412688|XP_039429199.1|CPIP
OG0000810	LOC108597383|XP_017839405.1|DBUS	LOC120430093|XP_039451114.1|CPIP, LOC120424339|XP_039444365.1|CPIP
OG0000811	LOC108602356|XP_017845945.1|DBUS, LOC117134683|XP_033149033.1|DBUS, LOC108596242|XP_017837279.1|DBUS	LOC120430979|XP_039452051.1|CPIP
OG0000812	LOC108606922|XP_017852953.1|DBUS	LOC120427000|XP_039447755.1|CPIP
OG0000814	LOC108595202|XP_017835881.1|DBUS	LOC120419319|XP_039437923.1|CPIP, LOC120414046|XP_039431001.1|CPIP
OG0000815	LOC108597314|XP_017839294.1|DBUS	LOC120420094|XP_039438966.1|CPIP, LOC120420412|XP_039439366.1|CPIP, LOC120419953|XP_039438750.1|CPIP, LOC120419959|XP_039438759.1|CPIP
OG0000816	LOC108605477|XP_017850657.1|DBUS, LOC108602728|XP_017846369.1|DBUS	LOC120415564|XP_039433070.1|CPIP
OG0000817	LOC108602336|XP_017845914.1|DBUS, LOC108602694|XP_017846322.1|DBUS	LOC120432393|XP_039453522.1|CPIP
OG0000818	LOC108606224|XP_017851610.1|DBUS, LOC108594503|XP_017835191.2|DBUS	LOC120420870|XP_039439923.1|CPIP, LOC120417437|XP_039435412.1|CPIP
OG0000820	LOC108606022|XP_033150350.1|DBUS, LOC108596157|XP_017837151.1|DBUS	LOC120418431|XP_039436744.1|CPIP
OG0000821	LOC108602502|XP_017846119.1|DBUS, LOC108595485|XP_017836225.2|DBUS	LOC120414923|XP_039432191.1|CPIP
OG0000822	LOC108595580|XP_017836334.2|DBUS	LOC120428520|XP_039449477.1|CPIP, LOC120416210|XP_039433836.1|CPIP
OG0000831	LOC108597507|XP_017839584.1|DBUS	LOC120427282|XP_039448065.1|CPIP, LOC120427278|XP_039448062.1|CPIP, LOC120414834|XP_039432094.1|CPIP
OG0000832	LOC108596836|XP_017838450.1|DBUS, LOC108594886|XP_017835516.2|DBUS	LOC120421010|XP_039440062.1|CPIP
OG0000833	LOC108598071|XP_033149434.1|DBUS	LOC120422698|XP_039442145.1|CPIP
OG0000834	LOC108604297|XP_017849203.1|DBUS, LOC108604298|XP_017849204.1|DBUS	LOC120418860|XP_039437327.1|CPIP
OG0000836	LOC108594389|XP_017835040.2|DBUS	LOC120415979|XP_039433566.1|CPIP
OG0000839	LOC108603192|XP_017847258.1|DBUS, LOC108603892|XP_017848555.1|DBUS	LOC120413954|XP_039430891.1|CPIP
OG0000840	LOC108606305|XP_017851788.2|DBUS, LOC108607242|XP_017853410.1|DBUS	LOC120423439|XP_039443189.1|CPIP
OG0000841	LOC108603701|XP_017848220.1|DBUS	LOC120421143|XP_039440270.1|CPIP
OG0000843	LOC108596754|XP_017838322.1|DBUS	LOC120431268|XP_039452336.1|CPIP
OG0000844	LOC108603130|XP_017847139.1|DBUS	LOC120414979|XP_039432248.1|CPIP
OG0000845	LOC108606705|XP_017852569.1|DBUS	LOC120417392|XP_039435347.1|CPIP, LOC120417419|XP_039435396.1|CPIP
OG0000854	LOC108606336|XP_017851852.1|DBUS, LOC108606335|XP_017851851.1|DBUS	LOC120432213|XP_039453307.1|CPIP
OG0000855	LOC108606294|XP_017851769.1|DBUS	LOC120419350|XP_039437982.1|CPIP
OG0000856	LOC108600324|XP_033149274.1|DBUS	LOC120421057|XP_039440135.1|CPIP
OG0000857	LOC108606923|XP_017852960.1|DBUS	LOC120424313|XP_039444331.1|CPIP, LOC120418642|XP_039437022.1|CPIP
OG0000858	LOC108601846|XP_017845282.1|DBUS	LOC120426684|XP_039447392.1|CPIP
OG0000860	LOC108599908|XP_033149708.1|DBUS	LOC120428391|XP_039449328.1|CPIP
OG0000861	LOC108595858|XP_017836636.2|DBUS, LOC108594822|XP_017835448.1|DBUS	LOC120428748|XP_039449764.1|CPIP
OG0000862	LOC108596345|XP_017837489.1|DBUS	LOC120418915|XP_039437380.1|CPIP
OG0000863	LOC108601752|XP_017845165.1|DBUS, LOC108595245|XP_017835933.1|DBUS	LOC120412605|XP_039429087.1|CPIP
OG0000865	LOC108604735|XP_017849806.1|DBUS	LOC120423669|XP_039443489.1|CPIP
OG0000866	LOC108608539|XP_017855444.1|DBUS	LOC120422619|XP_039442049.1|CPIP
OG0000867	LOC108601065|XP_017844449.2|DBUS, LOC108599879|XP_017842546.1|DBUS	LOC120413111|XP_039429751.1|CPIP
OG0000868	LOC108605479|XP_017850660.1|DBUS	LOC120419336|XP_039437941.1|CPIP, LOC120414763|XP_039432009.1|CPIP
OG0000869	LOC108604549|XP_017849565.1|DBUS, LOC108602059|XP_017845562.1|DBUS, LOC108604547|XP_017849560.1|DBUS	LOC120431030|XP_039452116.1|CPIP
OG0000871	LOC108597673|XP_017839835.1|DBUS	LOC120416744|XP_039434513.1|CPIP
OG0000872	LOC108605992|XP_017851302.1|DBUS, LOC117135020|XP_033150710.1|DBUS	LOC120418438|XP_039436780.1|CPIP
OG0000873	LOC108600372|XP_017843398.2|DBUS	LOC120414951|XP_039432215.1|CPIP, LOC120423917|XP_039443832.1|CPIP, LOC120414941|XP_039432205.1|CPIP
OG0000874	LOC108605790|XP_017851082.1|DBUS, LOC108597521|XP_017839603.1|DBUS	LOC120423682|XP_039443508.1|CPIP
OG0000875	LOC108601430|XP_017844817.1|DBUS, LOC108605091|XP_033150417.1|DBUS, LOC108605090|XP_017850145.1|DBUS, LOC108599113|XP_017841362.1|DBUS	LOC120429100|XP_039450197.1|CPIP
OG0000882	LOC108606798|XP_017852748.1|DBUS	LOC120415611|XP_039433139.1|CPIP
OG0000883	LOC108605814|XP_017851109.1|DBUS	LOC120419054|XP_039437562.1|CPIP, LOC120420051|XP_039438897.1|CPIP, LOC120425029|XP_039445334.1|CPIP, LOC120421899|XP_039441131.1|CPIP, LOC120420379|XP_039439326.1|CPIP
OG0000884	LOC108605122|XP_017850173.1|DBUS	LOC120427201|XP_039447995.1|CPIP
OG0000885	LOC108601771|XP_017845185.1|DBUS	LOC120424055|XP_039444010.1|CPIP, LOC120424044|XP_039444000.1|CPIP, LOC120424045|XP_039444001.1|CPIP
OG0000887	LOC108605045|XP_033150279.1|DBUS	LOC120420686|XP_039439715.1|CPIP, LOC120420673|XP_039439704.1|CPIP, LOC120425775|XP_039446321.1|CPIP
OG0000888	LOC108600263|XP_017843198.1|DBUS	LOC120412402|XP_039428795.1|CPIP
OG0000889	LOC108600744|XP_017843978.2|DBUS	LOC120418561|XP_039436926.1|CPIP
OG0000890	LOC108596525|XP_017837901.1|DBUS	LOC120422694|XP_039442137.1|CPIP
OG0000891	LOC108600338|XP_017843349.1|DBUS, LOC108594287|XP_017834917.1|DBUS	LOC120413113|XP_039429753.1|CPIP
OG0000892	LOC108600066|XP_017842906.1|DBUS	LOC120428476|XP_039449427.1|CPIP
OG0000893	LOC108601243|XP_033150118.1|DBUS	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP
OG0000894	LOC108602541|XP_017846163.1|DBUS, LOC108601666|XP_017845056.1|DBUS	LOC120412970|XP_039429552.1|CPIP
OG0000895	LOC108597263|XP_017839209.1|DBUS, LOC108597264|XP_017839211.1|DBUS	LOC120430631|XP_039451660.1|CPIP, LOC120431041|XP_039452126.1|CPIP
OG0000896	LOC108605176|XP_017850253.1|DBUS	LOC120422176|XP_039441485.1|CPIP
OG0000907	LOC108596757|XP_017838327.1|DBUS	LOC120422532|XP_039441927.1|CPIP
OG0000909	LOC108603143|XP_017847169.1|DBUS	LOC120424456|XP_039444523.1|CPIP
OG0000910	LOC108606860|XP_017852853.1|DBUS	LOC120432597|XP_039453770.1|CPIP
OG0000911	LOC108594798|XP_017835425.1|DBUS	LOC120417462|XP_039435459.1|CPIP
OG0000912	LOC108598654|XP_017840854.1|DBUS	LOC120418557|XP_039436921.1|CPIP
OG0000913	LOC108600466|XP_017843549.2|DBUS	LOC120418826|XP_039437276.1|CPIP
OG0000914	LOC108595832|XP_017836612.1|DBUS	LOC120418298|XP_039436562.1|CPIP, LOC120418292|XP_039436556.1|CPIP, LOC120418291|XP_039436554.1|CPIP, LOC120418294|XP_039436558.1|CPIP, LOC120418293|XP_039436557.1|CPIP, LOC120419858|XP_039438629.1|CPIP
OG0000915	LOC108595762|XP_017836540.1|DBUS	LOC120416134|XP_039433742.1|CPIP, LOC120423137|XP_039442750.1|CPIP
OG0000916	LOC108607968|XP_017854586.1|DBUS	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP
OG0000917	LOC108607696|XP_033150850.1|DBUS	LOC120414568|XP_039431721.1|CPIP
OG0000918	LOC108604377|XP_017849324.1|DBUS, LOC108600439|XP_017843512.1|DBUS	LOC120420514|XP_039439508.1|CPIP, LOC120413898|XP_039430809.1|CPIP
OG0000920	LOC108606697|XP_017852555.1|DBUS	LOC120415401|XP_039432861.1|CPIP, LOC120415381|XP_039432839.1|CPIP, LOC120415349|XP_039432772.1|CPIP, LOC120415392|XP_039432852.1|CPIP, LOC120415348|XP_039432771.1|CPIP, LOC120415389|XP_039432846.1|CPIP, LOC120430879|XP_039451942.1|CPIP
OG0000921	LOC108605313|XP_017850471.1|DBUS	LOC120413978|XP_039430918.1|CPIP
OG0000922	LOC108598404|XP_017840515.1|DBUS, LOC108598387|XP_017840494.1|DBUS	LOC120422036|XP_039441299.1|CPIP
OG0000923	LOC108604421|XP_017849376.1|DBUS	LOC120423161|XP_039442776.1|CPIP, LOC120429725|XP_039450705.1|CPIP
OG0000924	LOC108605305|XP_017850460.2|DBUS	LOC120418575|XP_039436954.1|CPIP
OG0000925	LOC108601980|XP_017845464.1|DBUS, LOC108601979|XP_017845462.1|DBUS	LOC120423899|XP_039443814.1|CPIP, LOC120423887|XP_039443795.1|CPIP
OG0000935	LOC108602793|XP_033149804.1|DBUS	LOC120413347|XP_039430059.1|CPIP
OG0000936	LOC117134673|XP_033149000.1|DBUS, LOC108606026|XP_017851341.1|DBUS	LOC120424541|XP_039444639.1|CPIP
OG0000937	LOC108604711|XP_017849770.1|DBUS	LOC120421436|XP_039440578.1|CPIP, LOC120423044|XP_039442646.1|CPIP
OG0000938	LOC108605942|XP_017851251.1|DBUS	LOC120418068|XP_039436262.1|CPIP
OG0000939	LOC108607450|XP_017853776.2|DBUS, LOC108606105|XP_017851439.1|DBUS	LOC120429750|XP_039451052.1|CPIP
OG0000941	LOC108606949|XP_017852995.1|DBUS	LOC120416887|XP_039434719.1|CPIP
OG0000942	LOC108600328|XP_017843330.1|DBUS	LOC120420666|XP_039439697.1|CPIP
OG0000943	LOC108596911|XP_017838605.1|DBUS	LOC120419988|XP_039438800.1|CPIP
OG0000944	LOC108605870|XP_017851172.1|DBUS, LOC108602211|XP_017845747.1|DBUS	LOC120414476|XP_039431604.1|CPIP
OG0000945	LOC108599847|XP_017842464.1|DBUS	LOC120422285|XP_039441609.1|CPIP
OG0000946	LOC108608430|XP_017855289.1|DBUS	LOC120428439|XP_039449389.1|CPIP, LOC120427626|XP_039448449.1|CPIP
OG0000947	LOC108596081|XP_017836987.1|DBUS	LOC120427061|XP_039447834.1|CPIP, LOC120421155|XP_039440279.1|CPIP, LOC120421145|XP_039440268.1|CPIP, LOC120421144|XP_039440267.1|CPIP
OG0000948	LOC108597933|XP_017840038.1|DBUS	LOC120413180|XP_039429827.1|CPIP
OG0000949	LOC108606546|XP_017852234.1|DBUS	LOC120419243|XP_039437835.1|CPIP
OG0000949	LOC108606548|XP_017852236.1|DBUS	LOC120419259|XP_039437851.1|CPIP
OG0000950	LOC108606209|XP_017851573.1|DBUS, LOC108602274|XP_017845820.1|DBUS	LOC120423626|XP_039443431.1|CPIP
OG0000951	LOC108600517|XP_017843691.1|DBUS	LOC120424899|XP_039445123.1|CPIP, LOC120432196|XP_039453284.1|CPIP
OG0000952	LOC108608531|XP_017855435.1|DBUS	LOC120417629|XP_039435675.1|CPIP
OG0000963	LOC108606582|XP_017852297.1|DBUS	LOC120432205|XP_039453301.1|CPIP, LOC120432197|XP_039453288.1|CPIP, LOC120432186|XP_039453264.1|CPIP
OG0000964	LOC108594887|XP_017835513.1|DBUS	LOC120432247|XP_039453355.1|CPIP, LOC120425740|XP_039446280.1|CPIP
OG0000965	LOC108607151|XP_017853285.1|DBUS	LOC120412464|XP_039428876.1|CPIP
OG0000966	LOC108595733|XP_017836505.1|DBUS	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP
OG0000968	LOC108599815|XP_017842404.1|DBUS	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP
OG0000969	LOC108597295|XP_017839263.1|DBUS	LOC120422701|XP_039442146.1|CPIP
OG0000970	LOC108604074|XP_017848832.1|DBUS	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP
OG0000971	LOC108607728|XP_017854241.2|DBUS	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP
OG0000972	LOC108600254|XP_017843181.2|DBUS	LOC120415719|XP_039433248.1|CPIP
OG0000973	LOC108605879|XP_017851181.1|DBUS	LOC120415145|XP_039432513.1|CPIP, LOC120415146|XP_039432515.1|CPIP, LOC120429862|XP_039450871.1|CPIP
OG0000974	LOC108598367|XP_017840477.1|DBUS	LOC120415931|XP_039433510.1|CPIP, LOC120415915|XP_039433495.1|CPIP, LOC120415929|XP_039433509.1|CPIP, LOC120415934|XP_039433514.1|CPIP, LOC120415935|XP_039433515.1|CPIP
OG0000975	LOC108602406|XP_017846007.1|DBUS, LOC108602407|XP_017846009.1|DBUS, LOC108604090|XP_017848860.1|DBUS	LOC120424400|XP_039444433.1|CPIP
OG0000976	LOC117134631|XP_017847712.1|DBUS	LOC120421927|XP_039441173.1|CPIP
