Orthogroup	DBUS.longest_only	CQUI.longest_only
OG0000383	LOC108607215|XP_017853376.1|DBUS, LOC108607896|XP_017854492.1|DBUS	LOC6047999|XP_001864974.2|CQUI, LOC6031746|XP_038110977.1|CQUI
OG0000384	LOC108594998|XP_017835619.1|DBUS	LOC6043083|XP_001855521.2|CQUI
OG0000384	LOC108594994|XP_017835616.1|DBUS	LOC6052961|XP_038112129.1|CQUI
OG0000385	LOC108605629|XP_017850901.1|DBUS	LOC6033386|XP_038111698.1|CQUI
OG0000385	LOC108607176|XP_017853320.1|DBUS, LOC108607918|XP_017854520.2|DBUS, LOC108607919|XP_017854521.2|DBUS	LOC6034706|XP_001844987.2|CQUI
OG0000386	LOC108598918|XP_033149510.1|DBUS, LOC108604745|XP_017849820.1|DBUS	LOC6051258|XP_001867726.2|CQUI
OG0000389	LOC108604501|XP_017849486.1|DBUS	LOC6044336|XP_038104141.1|CQUI
OG0000389	LOC108600795|XP_033149530.1|DBUS	LOC119768065|XP_038114337.1|CQUI
OG0000390	LOC108608398|XP_017855244.1|DBUS	LOC6051517|XP_038107785.1|CQUI, LOC6051512|XP_038107787.1|CQUI, LOC6043601|XP_038122427.1|CQUI, LOC6033596|XP_038111911.1|CQUI, LOC6033640|XP_001844067.2|CQUI, LOC6033641|XP_038107557.1|CQUI
OG0000391	LOC108597558|XP_017839655.1|DBUS	LOC6035291|XP_038120263.1|CQUI
OG0000391	LOC108597593|XP_017839703.1|DBUS	LOC6044436|XP_038107548.1|CQUI
OG0000392	LOC108599415|XP_017841719.1|DBUS, LOC108608050|XP_017854720.1|DBUS	LOC6031277|XP_038112487.1|CQUI, LOC6040869|XP_038111082.1|CQUI
OG0000393	LOC108607828|XP_017854370.1|DBUS	LOC6051324|XP_038109507.1|CQUI
OG0000393	LOC108607843|XP_017854397.1|DBUS	LOC6037920|XP_038107003.1|CQUI
OG0000394	LOC117134893|XP_033150163.1|DBUS, LOC108606185|XP_017851523.1|DBUS	LOC6045636|XP_001862965.2|CQUI, LOC119769911|XP_038119665.1|CQUI, LOC6042215|XP_001851356.2|CQUI, LOC6031460|XP_001842264.1|CQUI, LOC119767415|XP_038111890.1|CQUI, LOC119767659|XP_038112639.1|CQUI, LOC119769986|XP_038119914.1|CQUI
OG0000395	LOC108599448|XP_017841768.1|DBUS	LOC119766736|XP_038108203.1|CQUI
OG0000399	LOC108601880|XP_017845342.1|DBUS, LOC108604528|XP_017849529.1|DBUS	LOC6049034|XP_038104118.1|CQUI
OG0000400	LOC108605281|XP_017850418.1|DBUS, LOC108597988|XP_017840093.1|DBUS, LOC108597987|XP_017840092.1|DBUS, LOC108601644|XP_017845036.2|DBUS, LOC108600888|XP_017844199.2|DBUS, LOC108606376|XP_017851920.1|DBUS	LOC6040422|XP_038104927.1|CQUI
OG0000402	LOC108607251|XP_017853423.1|DBUS	LOC6044718|XP_038119575.1|CQUI, LOC6047997|XP_001864961.2|CQUI, LOC6035773|XP_001845896.2|CQUI, LOC6053930|XP_001869933.2|CQUI, LOC6053931|XP_001869934.2|CQUI, LOC6053933|XP_038122341.1|CQUI, LOC6053909|XP_038122873.1|CQUI
OG0000403	LOC108603164|XP_017847210.1|DBUS	LOC6041314|XP_001850594.1|CQUI
OG0000404	LOC108601568|XP_033149876.1|DBUS, LOC117134621|XP_033149902.1|DBUS	LOC6054458|XP_001870365.2|CQUI, LOC6035436|XP_038104425.1|CQUI, LOC6035437|XP_001845626.2|CQUI, LOC6035435|XP_038106179.1|CQUI, LOC6035438|XP_038123010.1|CQUI, LOC6035440|XP_038105339.1|CQUI, LOC6035439|XP_038123023.1|CQUI
OG0000405	LOC108605590|XP_017850850.1|DBUS	LOC6040923|XP_001850251.2|CQUI
OG0000405	LOC108604844|XP_017849953.1|DBUS	LOC6040924|XP_001850252.2|CQUI
OG0000406	LOC108598751|XP_017840976.1|DBUS, LOC108600280|XP_017843237.1|DBUS, LOC108597246|XP_017839185.1|DBUS	LOC6045472|XP_038119856.1|CQUI, LOC6034068|XP_001844444.1|CQUI
OG0000407	LOC108598388|XP_017840490.1|DBUS	LOC6033066|XP_038117490.1|CQUI
OG0000407	LOC108600062|XP_017842902.1|DBUS	LOC6054107|XP_038118605.1|CQUI
OG0000408	LOC108603695|XP_033150816.1|DBUS, LOC117134937|XP_033150368.1|DBUS, LOC117134997|XP_033150616.1|DBUS, LOC108603640|XP_017848095.1|DBUS	LOC119765130|XP_038104238.1|CQUI
OG0000409	LOC108595278|XP_017835980.1|DBUS, LOC108595158|XP_017835817.1|DBUS, LOC108595198|XP_017835874.1|DBUS, LOC108595067|XP_017835701.1|DBUS	LOC6050527|XP_038113781.1|CQUI
OG0000410	LOC108607800|XP_017854328.1|DBUS	LOC6036181|XP_038113692.1|CQUI
OG0000411	LOC108603090|XP_017847070.1|DBUS	LOC6038155|XP_001847988.1|CQUI
OG0000411	LOC108607910|XP_017854513.1|DBUS	LOC6048269|XP_001865212.1|CQUI
OG0000412	LOC108595083|XP_017835723.1|DBUS, LOC108598417|XP_017840533.2|DBUS	LOC6046234|XP_038120897.1|CQUI, LOC6046235|XP_001863463.1|CQUI
OG0000413	LOC108601252|XP_017844641.1|DBUS, LOC108601340|XP_017844728.1|DBUS	LOC6042051|XP_038120468.1|CQUI
OG0000414	LOC108597667|XP_017839826.1|DBUS	LOC6045442|XP_038106424.1|CQUI, LOC6045443|XP_038109329.1|CQUI
OG0000415	LOC108596401|XP_017837574.1|DBUS, LOC108596402|XP_017837576.1|DBUS	LOC6034217|XP_001844570.1|CQUI
OG0000416	LOC108606941|XP_017852982.1|DBUS	LOC6052843|XP_001869039.2|CQUI
OG0000417	LOC108602147|XP_017845668.1|DBUS	LOC6036777|XP_038113609.1|CQUI
OG0000417	LOC108602278|XP_017845824.1|DBUS	LOC6045382|XP_038122609.1|CQUI
OG0000418	LOC108605818|XP_017851112.1|DBUS, LOC108605612|XP_017850879.1|DBUS	LOC6051484|XP_001867920.1|CQUI, LOC6051483|XP_001867919.2|CQUI
OG0000419	LOC108596816|XP_017838420.1|DBUS	LOC6042303|XP_001851438.1|CQUI
OG0000421	LOC108607237|XP_033150963.1|DBUS	LOC6035780|XP_038108560.1|CQUI
OG0000421	LOC108607592|XP_017853983.2|DBUS	LOC6033111|XP_038111263.1|CQUI
OG0000422	LOC108603801|XP_017848388.1|DBUS	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI
OG0000423	LOC108596957|XP_017838692.1|DBUS, LOC108597031|XP_017838809.1|DBUS	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI
OG0000424	LOC108597457|XP_017839513.1|DBUS	LOC6032379|XP_038109405.1|CQUI
OG0000425	LOC108596313|XP_033149114.1|DBUS	LOC6051878|XP_038111177.1|CQUI
OG0000425	LOC108595119|XP_017835770.1|DBUS	LOC6049711|XP_038113311.1|CQUI
OG0000426	LOC108596540|XP_033149027.1|DBUS, LOC108596537|XP_017837915.1|DBUS, LOC108596539|XP_017837916.2|DBUS	LOC6043942|XP_001861525.2|CQUI
OG0000429	LOC117134709|XP_033149127.1|DBUS, LOC108596605|XP_017838026.1|DBUS	LOC6048181|XP_001865138.2|CQUI
OG0000433	LOC108606800|XP_017852752.1|DBUS	LOC6042750|XP_001870760.2|CQUI
OG0000433	LOC108599596|XP_017842035.1|DBUS	LOC6040995|XP_038119615.1|CQUI
OG0000434	LOC108603339|XP_017847560.1|DBUS	LOC6042411|XP_001851531.2|CQUI
OG0000434	LOC108596629|XP_017838065.1|DBUS	LOC119765343|XP_038104983.1|CQUI
OG0000435	LOC108605027|XP_017850084.1|DBUS	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI
OG0000437	LOC108597712|XP_017839895.1|DBUS	LOC6052828|XP_001869024.1|CQUI
OG0000437	LOC108594335|XP_017834978.1|DBUS	LOC6048330|XP_001865266.2|CQUI
OG0000438	LOC108601968|XP_017845445.1|DBUS	LOC6034110|XP_038111570.1|CQUI
OG0000439	LOC108594507|XP_033150665.1|DBUS	LOC6039581|XP_038109671.1|CQUI
OG0000439	LOC108598194|XP_017840298.2|DBUS	LOC6051719|XP_038113453.1|CQUI
OG0000440	LOC108597650|XP_017839794.1|DBUS, LOC108597649|XP_017839793.1|DBUS, LOC108595640|XP_017836400.1|DBUS	LOC6036645|XP_001846671.2|CQUI
OG0000441	LOC108595815|XP_017836594.1|DBUS, LOC108595711|XP_017836482.1|DBUS	LOC6050426|XP_038113065.1|CQUI
OG0000442	LOC108599457|XP_017841782.2|DBUS	LOC6035011|XP_038119411.1|CQUI
OG0000443	LOC108598826|XP_017841067.1|DBUS, LOC108598965|XP_017841225.1|DBUS	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI
OG0000444	LOC108594808|XP_017835439.1|DBUS, LOC108594820|XP_017835450.1|DBUS	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI
OG0000448	LOC108601744|XP_017845153.2|DBUS, LOC108601626|XP_033150119.1|DBUS	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI
OG0000449	LOC108600043|XP_017842877.1|DBUS	LOC6033785|XP_038109492.1|CQUI
OG0000450	LOC108605329|XP_033150295.1|DBUS	LOC6050628|XP_038113806.1|CQUI
OG0000450	LOC108606942|XP_017852983.1|DBUS	LOC6042731|XP_038116979.1|CQUI
OG0000451	LOC108606406|XP_017851980.1|DBUS	LOC6034433|XP_001844750.1|CQUI
OG0000451	LOC108606405|XP_017851979.1|DBUS	LOC6034434|XP_038105282.1|CQUI
OG0000453	LOC108602263|XP_017845806.1|DBUS	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI
OG0000454	LOC108607945|XP_017854550.1|DBUS, LOC108607946|XP_017854551.2|DBUS, LOC108597283|XP_033149976.1|DBUS	LOC6031085|XP_001841933.2|CQUI
OG0000456	LOC108608258|XP_033150053.1|DBUS	LOC6036162|XP_038107996.1|CQUI
OG0000457	LOC108598909|XP_033150733.1|DBUS	LOC6047780|XP_038111522.1|CQUI
OG0000457	LOC108607636|XP_033149578.1|DBUS	LOC6054790|XP_038111518.1|CQUI
OG0000458	LOC108607022|XP_033149992.1|DBUS	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI
OG0000460	LOC108608333|XP_017855163.1|DBUS	LOC6044256|XP_001861795.2|CQUI
OG0000465	LOC108605063|XP_017850119.1|DBUS, LOC108602829|XP_017846552.1|DBUS	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI
OG0000466	LOC108606045|XP_017851382.1|DBUS	LOC6035082|XP_038122526.1|CQUI
OG0000466	LOC108594401|XP_017835057.1|DBUS	LOC6044248|XP_038107808.1|CQUI
OG0000467	LOC117134632|XP_017837083.1|DBUS, LOC108594730|XP_033148919.1|DBUS	LOC6045537|XP_038118816.1|CQUI
OG0000468	LOC108603095|XP_017847080.1|DBUS	LOC6042212|XP_001851353.1|CQUI
OG0000468	LOC108596066|XP_017836950.1|DBUS	LOC6041607|XP_038115266.1|CQUI
OG0000469	LOC108608447|XP_033150823.1|DBUS, LOC108607865|XP_033150865.1|DBUS	LOC6049763|XP_038113824.1|CQUI
OG0000470	LOC108599162|XP_017841438.1|DBUS	LOC6036814|XP_038111507.1|CQUI
OG0000470	LOC108600871|XP_017844171.1|DBUS	LOC6047359|XP_038112314.1|CQUI
OG0000471	LOC108599012|XP_017841278.1|DBUS, LOC108597544|XP_017839642.2|DBUS	LOC6036133|XP_001846226.2|CQUI
OG0000473	LOC108606785|XP_017852707.1|DBUS, LOC108606568|XP_017852275.1|DBUS	LOC6052350|XP_001868639.1|CQUI
OG0000474	LOC108606889|XP_017852903.1|DBUS, LOC108599045|XP_017841314.1|DBUS	LOC6049175|XP_038105811.1|CQUI
OG0000475	LOC108603139|XP_017847164.1|DBUS, LOC108596826|XP_017838432.1|DBUS, LOC108603138|XP_033149782.1|DBUS	LOC6039907|XP_001849405.1|CQUI
OG0000476	LOC108601874|XP_017845333.1|DBUS, LOC108601876|XP_017845334.1|DBUS	LOC6042382|XP_038105827.1|CQUI
OG0000478	LOC108604187|XP_017849026.1|DBUS	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI
OG0000479	LOC108596434|XP_017837656.1|DBUS, LOC108602210|XP_017845746.1|DBUS	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI
OG0000480	LOC108608176|XP_017854923.1|DBUS, LOC108608263|XP_017855045.2|DBUS	LOC6041494|XP_001850745.1|CQUI
OG0000482	LOC108602929|XP_017846761.1|DBUS	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI
OG0000483	LOC108601521|XP_017844910.1|DBUS, LOC108601522|XP_017844911.1|DBUS	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI
OG0000484	LOC108601234|XP_017844622.1|DBUS, LOC108603005|XP_017846888.1|DBUS	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI
OG0000485	LOC108598797|XP_017841030.2|DBUS, LOC108598796|XP_017841029.1|DBUS	LOC6041153|XP_038107076.1|CQUI
OG0000486	LOC108596151|XP_017837135.1|DBUS, LOC108596152|XP_017837136.1|DBUS, LOC108596150|XP_017837133.1|DBUS	LOC6041660|XP_001850887.2|CQUI
OG0000489	LOC108601233|XP_017844621.1|DBUS, LOC108605120|XP_017850171.1|DBUS	LOC6045222|XP_038122215.1|CQUI
OG0000490	LOC108604935|XP_017849993.2|DBUS	LOC6054008|XP_038122876.1|CQUI
OG0000490	LOC108605671|XP_033150192.1|DBUS	LOC6042587|XP_038110786.1|CQUI
OG0000491	LOC108596506|XP_017837835.1|DBUS	LOC6048388|XP_038107947.1|CQUI
OG0000492	LOC108595995|XP_017836771.1|DBUS	LOC6040913|XP_001850241.1|CQUI
OG0000493	LOC108594289|XP_017834920.1|DBUS	LOC6040999|XP_038119325.1|CQUI
OG0000494	LOC108607321|XP_017853484.2|DBUS	LOC119766647|XP_038107694.1|CQUI
OG0000495	LOC108607252|XP_017853424.1|DBUS, LOC108595134|XP_033148928.1|DBUS	LOC6031986|XP_038106727.1|CQUI
OG0000496	LOC108607804|XP_017854336.2|DBUS	LOC6035746|XP_038113161.1|CQUI
OG0000496	LOC108606710|XP_033150553.1|DBUS	LOC6035745|XP_038112206.1|CQUI
OG0000497	LOC108608244|XP_017855020.1|DBUS, LOC108608243|XP_017855019.1|DBUS	LOC6048339|XP_038111873.1|CQUI
OG0000498	LOC108601527|XP_017844916.1|DBUS, LOC108601529|XP_017844918.1|DBUS	LOC6039237|XP_001848874.2|CQUI
OG0000499	LOC108595373|XP_017836089.1|DBUS	LOC6048807|XP_038112168.1|CQUI
OG0000499	LOC108605782|XP_017851073.1|DBUS	LOC6042113|XP_001851263.2|CQUI
OG0000500	LOC108598631|XP_017840820.1|DBUS, LOC108598855|XP_033149397.1|DBUS	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI
OG0000504	LOC108596168|XP_017837167.1|DBUS, LOC108601108|XP_033149346.1|DBUS	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI
OG0000505	LOC108606873|XP_017852885.1|DBUS, LOC108605502|XP_017850739.1|DBUS	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI
OG0000506	LOC108602955|XP_017846796.1|DBUS, LOC108602956|XP_017846797.1|DBUS	LOC6051537|XP_038104157.1|CQUI, LOC6051544|XP_001867970.2|CQUI, LOC119769336|XP_038117282.1|CQUI
OG0000507	LOC108606223|XP_017851609.1|DBUS	LOC6045928|XP_001863205.1|CQUI
OG0000507	LOC117134647|XP_017851605.1|DBUS	LOC6037479|XP_038113105.1|CQUI
OG0000508	LOC108599042|XP_017841310.1|DBUS, LOC108598122|XP_017840227.1|DBUS	LOC6049261|XP_001866046.2|CQUI
OG0000509	LOC108596839|XP_017838456.1|DBUS	LOC6051070|XP_038117205.1|CQUI
OG0000510	LOC108596336|XP_017837479.1|DBUS	LOC6052252|XP_001868549.2|CQUI
OG0000511	LOC108594496|XP_017835181.1|DBUS, LOC108598453|XP_017840588.2|DBUS	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI
OG0000512	LOC108594653|XP_017835287.1|DBUS	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI
OG0000513	LOC108597032|XP_017838814.1|DBUS, LOC108597626|XP_017839762.2|DBUS	LOC6036436|XP_001846489.2|CQUI
OG0000514	LOC108599549|XP_017841933.2|DBUS, LOC108608448|XP_017855316.1|DBUS	LOC6033627|XP_038108381.1|CQUI
OG0000515	LOC108607415|XP_017853695.1|DBUS, LOC108600368|XP_017843395.1|DBUS	LOC6038107|XP_038110142.1|CQUI
OG0000516	LOC108605975|XP_033150222.1|DBUS, LOC108605334|XP_033150223.1|DBUS	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI
OG0000517	LOC108599512|XP_017841869.2|DBUS, LOC108599510|XP_017841866.1|DBUS	LOC6054293|XP_038114467.1|CQUI, LOC6054292|XP_038114468.1|CQUI
OG0000521	LOC108605597|XP_017850861.1|DBUS, LOC108607174|XP_033150359.1|DBUS	LOC6050070|XP_038105342.1|CQUI
OG0000522	LOC108596722|XP_033149923.1|DBUS, LOC108601241|XP_017844629.1|DBUS, LOC108605160|XP_017850231.1|DBUS	LOC6051600|XP_038112565.1|CQUI
OG0000523	LOC108604389|XP_017849335.1|DBUS	LOC6040919|XP_001850247.1|CQUI
OG0000523	LOC108606259|XP_017851704.1|DBUS	LOC6049044|XP_001865872.1|CQUI
OG0000524	LOC108603982|XP_017848697.1|DBUS	LOC6032861|XP_001843386.2|CQUI
OG0000525	LOC108597586|XP_017839695.1|DBUS	LOC6048514|XP_038118341.1|CQUI, LOC6048511|XP_038118339.1|CQUI
OG0000526	LOC108603066|XP_017847004.2|DBUS, LOC108596578|XP_017837991.1|DBUS	LOC6041304|XP_001850584.2|CQUI
OG0000527	LOC108607852|XP_017854421.2|DBUS, LOC108595917|XP_033149916.1|DBUS	LOC6043742|XP_038113405.1|CQUI, LOC6043214|XP_038108510.1|CQUI
OG0000528	LOC108607615|XP_017854017.1|DBUS	LOC6041374|XP_001850639.2|CQUI, LOC6041379|XP_038110790.1|CQUI, LOC6041382|XP_038106839.1|CQUI, LOC6041381|XP_038110791.1|CQUI
OG0000529	LOC108598475|XP_017840655.1|DBUS, LOC108604177|XP_017849009.2|DBUS, LOC108594339|XP_033150051.1|DBUS, LOC108606451|XP_017852056.1|DBUS, LOC108606430|XP_017852034.1|DBUS, LOC108606441|XP_017852045.1|DBUS	LOC6036354|XP_038114138.1|CQUI
OG0000531	LOC108600171|XP_017843069.1|DBUS, LOC108607925|XP_017854528.2|DBUS	LOC6037540|XP_001847440.2|CQUI
OG0000532	LOC108602981|XP_017846856.1|DBUS, LOC108602982|XP_017846857.2|DBUS, LOC108602983|XP_017846858.1|DBUS	LOC6035004|XP_001845249.2|CQUI
OG0000533	LOC108606118|XP_017851461.1|DBUS	LOC6040722|XP_038104185.1|CQUI
OG0000533	LOC108604646|XP_017849685.1|DBUS	LOC119767762|XP_038113133.1|CQUI
OG0000535	LOC108595799|XP_017836579.1|DBUS, LOC108595694|XP_017836465.1|DBUS	LOC119766820|XP_038108711.1|CQUI, LOC6054062|XP_001870041.1|CQUI
OG0000536	LOC108600702|XP_017843912.1|DBUS	LOC6041431|XP_038109661.1|CQUI, LOC6045036|XP_001862455.2|CQUI, LOC6045035|XP_038113937.1|CQUI
OG0000537	LOC108595146|XP_017835801.1|DBUS	LOC6031704|XP_038111588.1|CQUI
OG0000538	LOC108597300|XP_017839267.1|DBUS, LOC108595482|XP_017836221.1|DBUS	LOC6037813|XP_038112386.1|CQUI
OG0000539	LOC108602420|XP_017846023.1|DBUS, LOC108602112|XP_017845626.1|DBUS	LOC6034554|XP_038112937.1|CQUI
OG0000542	LOC108602847|XP_017846605.1|DBUS, LOC108607338|XP_017853510.1|DBUS	LOC6044321|XP_001861851.1|CQUI
OG0000543	LOC108602308|XP_017845880.1|DBUS, LOC108597250|XP_017839191.1|DBUS	LOC6049267|XP_001866057.2|CQUI
OG0000544	LOC108598572|XP_017840747.1|DBUS, LOC108601988|XP_017845471.1|DBUS	LOC6041276|XP_038110067.1|CQUI
OG0000545	LOC108604827|XP_017849929.1|DBUS, LOC108601838|XP_017845270.1|DBUS	LOC6050345|XP_038105847.1|CQUI
OG0000546	LOC108601923|XP_017845389.1|DBUS, LOC108606610|XP_017852368.1|DBUS	LOC6037353|XP_001847276.2|CQUI, LOC6036816|XP_038106208.1|CQUI, LOC119770766|XP_038122171.1|CQUI
OG0000547	LOC117134897|XP_033150171.1|DBUS, LOC117134917|XP_033150290.1|DBUS	LOC6041026|XP_001850337.1|CQUI
OG0000548	LOC108600001|XP_017842770.1|DBUS, LOC108600000|XP_017842769.1|DBUS, LOC108599999|XP_017842768.1|DBUS, LOC108598747|XP_017840972.1|DBUS	LOC6050154|XP_001866808.2|CQUI
OG0000549	LOC108597358|XP_017839362.1|DBUS	LOC119770531|XP_038121509.1|CQUI, LOC6037260|XP_038121503.1|CQUI
OG0000550	LOC108600246|XP_017843171.1|DBUS, LOC108599789|XP_017842337.1|DBUS	LOC6051476|XP_038121059.1|CQUI
OG0000552	LOC108604775|XP_017849861.1|DBUS, LOC108604553|XP_017849570.1|DBUS	LOC6044119|XP_038113804.1|CQUI
OG0000553	LOC108607710|XP_017854200.1|DBUS	LOC6044455|XP_038110346.1|CQUI, LOC6044457|XP_001861971.1|CQUI, LOC6044456|XP_001861970.1|CQUI
OG0000554	LOC108603333|XP_017847547.1|DBUS, LOC108603906|XP_017848577.1|DBUS	LOC6044882|XP_038118892.1|CQUI
OG0000555	LOC108598841|XP_017841083.1|DBUS, LOC108600745|XP_017843982.2|DBUS	LOC6052570|XP_038118745.1|CQUI
OG0000556	LOC108606358|XP_017851895.1|DBUS, LOC108601830|XP_017845260.1|DBUS	LOC6046889|XP_001864016.1|CQUI
OG0000557	LOC108602380|XP_017845981.1|DBUS, LOC108601916|XP_017845382.1|DBUS	LOC6042547|XP_001852003.1|CQUI
OG0000558	LOC108603053|XP_017846977.1|DBUS, LOC108606036|XP_017851352.1|DBUS	LOC6033842|XP_001844235.1|CQUI
OG0000559	LOC108601255|XP_033149943.1|DBUS, LOC108598234|XP_017840339.2|DBUS	LOC6053965|XP_038109366.1|CQUI
OG0000560	LOC108596462|XP_017837702.1|DBUS, LOC108596461|XP_017837700.1|DBUS	LOC6032389|XP_001842996.2|CQUI
OG0000561	LOC108598408|XP_017840520.2|DBUS, LOC108599822|XP_017842414.2|DBUS	LOC6034685|XP_038111388.1|CQUI
OG0000562	LOC108600189|XP_017843087.1|DBUS, LOC108600901|XP_017844217.1|DBUS	LOC6046454|XP_038113537.1|CQUI
OG0000566	LOC108603666|XP_017848148.1|DBUS, LOC108601114|XP_017844522.1|DBUS	LOC6044324|XP_038109243.1|CQUI
OG0000567	LOC108605691|XP_017850972.1|DBUS	LOC6047025|XP_001864131.2|CQUI
OG0000567	LOC108605747|XP_017851035.1|DBUS	LOC6047020|XP_001864130.1|CQUI
OG0000568	LOC108607079|XP_033150286.1|DBUS, LOC108604579|XP_017849599.1|DBUS	LOC6044772|XP_038104706.1|CQUI
OG0000569	LOC108603949|XP_017848630.1|DBUS, LOC117134664|XP_033148957.1|DBUS	LOC6034776|XP_038104774.1|CQUI
OG0000570	LOC108601811|XP_017845236.1|DBUS, LOC108601699|XP_017845101.1|DBUS	LOC6032625|XP_001843197.2|CQUI
OG0000571	LOC108603985|XP_017848703.2|DBUS, LOC108604085|XP_017848851.1|DBUS	LOC6035169|XP_038113695.1|CQUI
OG0000572	LOC108602301|XP_033149931.1|DBUS, LOC108602272|XP_017845817.1|DBUS	LOC6031113|XP_038118152.1|CQUI
OG0000573	LOC108600971|XP_017844317.1|DBUS, LOC108596604|XP_017838025.1|DBUS	LOC6039567|XP_038120762.1|CQUI
OG0000574	LOC108599664|XP_017842135.1|DBUS, LOC108603891|XP_017848554.1|DBUS	LOC6041981|XP_001851157.1|CQUI
OG0000576	LOC108602041|XP_017845537.1|DBUS	LOC6041376|XP_001850641.2|CQUI
OG0000577	LOC108608040|XP_017854710.2|DBUS	LOC6036025|XP_001846129.1|CQUI
OG0000578	LOC108594415|XP_017835074.2|DBUS, LOC108596764|XP_017838345.1|DBUS	LOC6038985|XP_038118477.1|CQUI
OG0000579	LOC108602480|XP_017846092.1|DBUS, LOC108600915|XP_017844237.2|DBUS	LOC6039323|XP_001848951.1|CQUI
OG0000580	LOC108601859|XP_017845304.1|DBUS, LOC108602009|XP_017845502.1|DBUS	LOC6039817|XP_038116525.1|CQUI
OG0000582	LOC108598531|XP_017840702.2|DBUS, LOC108595069|XP_017835703.1|DBUS, LOC108597207|XP_017839135.1|DBUS	LOC6037731|XP_038109003.1|CQUI
OG0000583	LOC108595124|XP_017835774.1|DBUS, LOC108596976|XP_017838717.1|DBUS	LOC6040188|XP_001849636.2|CQUI
OG0000589	LOC108606426|XP_017852018.1|DBUS	LOC6038480|XP_038105819.1|CQUI
OG0000590	LOC108605500|XP_017850737.1|DBUS	LOC6042729|XP_001870744.1|CQUI
OG0000592	LOC108595030|XP_017835658.1|DBUS, LOC108595670|XP_017836438.1|DBUS	LOC6050769|XP_038107615.1|CQUI
OG0000593	LOC108601217|XP_017844609.1|DBUS, LOC108597144|XP_017839027.1|DBUS	LOC6053209|XP_001869339.2|CQUI
OG0000594	LOC108603904|XP_017848574.1|DBUS, LOC108602022|XP_017845514.1|DBUS	LOC6047884|XP_001864878.1|CQUI
OG0000595	LOC108603987|XP_017849475.1|DBUS, LOC108602346|XP_017845930.1|DBUS	LOC6032579|XP_038105753.1|CQUI
OG0000596	LOC108606622|XP_017852397.1|DBUS, LOC108602102|XP_017845615.1|DBUS	LOC6047623|XP_001864658.2|CQUI
OG0000597	LOC108601607|XP_033149792.1|DBUS, LOC108601606|XP_017844995.1|DBUS	LOC6033673|XP_038118537.1|CQUI
OG0000598	LOC108601674|XP_017845068.1|DBUS	LOC6051159|XP_001867631.1|CQUI, LOC6051152|XP_038115526.1|CQUI, LOC6051150|XP_038115584.1|CQUI, LOC6051151|XP_001867634.2|CQUI, LOC119765893|XP_038106017.1|CQUI, LOC6051149|XP_001867632.1|CQUI
