Orthogroup	DSUZ.longest_only	HILL.longest_only
OG0001994	LOC108007811|XP_036674621.1|DSUZ	LOC119661576|XP_037926903.1|HILL
OG0001995	LOC108021066|XP_016945067.1|DSUZ	LOC119652957|XP_037913281.1|HILL
OG0001996	LOC108021379|XP_036676561.1|DSUZ	LOC119646634|XP_037903074.1|HILL
OG0001997	LOC108009198|XP_016928845.1|DSUZ	LOC119661401|XP_037926657.1|HILL
OG0001998	LOC108009194|XP_016928835.1|DSUZ	LOC119646269|XP_037902604.1|HILL
OG0001999	LOC108009896|XP_016930103.1|DSUZ	LOC119654824|XP_037916320.1|HILL
OG0002000	LOC108008228|XP_016927511.1|DSUZ	LOC119657620|XP_037920554.1|HILL
OG0002001	LOC108016511|XP_016938677.1|DSUZ	LOC119651608|XP_037911192.1|HILL
OG0002002	LOC108008411|XP_016927746.1|DSUZ	LOC119646462|XP_037902838.1|HILL
OG0002003	LOC108018956|XP_016942048.1|DSUZ	LOC119653100|XP_037913542.1|HILL, LOC119651921|XP_037911677.1|HILL
OG0002004	LOC108021451|XP_016945666.1|DSUZ	LOC119652691|XP_037912896.1|HILL
OG0002005	LOC108021005|XP_016944967.1|DSUZ	LOC119652676|XP_037912873.1|HILL
OG0002006	LOC108017753|XP_016940358.1|DSUZ	LOC119652692|XP_037912901.1|HILL
OG0002007	LOC108021314|XP_016945457.1|DSUZ	LOC119647145|XP_037903867.1|HILL
OG0002008	LOC108020374|XP_016944099.1|DSUZ	LOC119660773|XP_037925469.1|HILL
OG0002009	LOC108008515|XP_016927872.1|DSUZ	LOC119661080|XP_037926200.1|HILL
OG0002010	LOC108018899|XP_036678591.1|DSUZ	LOC119652866|XP_037913151.1|HILL
OG0002011	LOC108005823|XP_016924649.1|DSUZ	LOC119646725|XP_037903232.1|HILL
OG0002012	LOC108014981|XP_016936694.1|DSUZ	LOC119656680|XP_037919095.1|HILL
OG0002013	LOC108021672|XP_036678665.1|DSUZ	LOC119650589|XP_037909361.1|HILL
OG0002014	LOC108008355|XP_016927675.1|DSUZ	LOC119650239|XP_037908753.1|HILL, LOC119650220|XP_037908725.1|HILL
OG0002015	LOC108005933|XP_016924836.2|DSUZ	LOC119646430|XP_037902808.1|HILL
OG0002016	LOC108018047|XP_016940926.1|DSUZ	LOC119646971|XP_037903601.1|HILL
OG0002017	LOC108021112|XP_016945147.1|DSUZ	LOC119651134|XP_037910456.1|HILL
OG0002018	LOC108019105|XP_016942305.1|DSUZ	LOC119651428|XP_037910953.1|HILL
OG0002019	LOC108018691|XP_016941757.1|DSUZ	LOC119646570|XP_037902989.1|HILL
OG0002020	LOC108005077|XP_016923710.1|DSUZ	LOC119652879|XP_037913171.1|HILL
OG0002021	LOC108009285|XP_016929003.1|DSUZ	LOC119659470|XP_037923533.1|HILL
OG0002022	LOC108021030|XP_016945007.1|DSUZ	LOC119646797|XP_037903314.1|HILL, LOC119650151|XP_037908617.1|HILL
OG0002023	LOC108014135|XP_036673904.1|DSUZ	LOC119656328|XP_037918719.1|HILL
OG0002024	LOC108017977|XP_016940795.1|DSUZ	LOC119658398|XP_037921718.1|HILL
OG0002025	LOC108019008|XP_036677716.1|DSUZ	LOC119661327|XP_037926555.1|HILL
OG0002026	LOC108007455|XP_016926612.2|DSUZ	LOC119647988|XP_037905301.1|HILL
OG0002027	LOC108008116|XP_036669406.1|DSUZ	LOC119655920|XP_037918014.1|HILL
OG0002028	LOC108009466|XP_016929334.1|DSUZ	LOC119654882|XP_037916419.1|HILL
OG0002029	LOC108011460|XP_016932095.2|DSUZ	LOC119659931|XP_037924197.1|HILL
OG0002030	LOC108008639|XP_016928007.1|DSUZ	LOC119659276|XP_037923212.1|HILL
OG0002031	LOC108019610|XP_016942980.2|DSUZ	LOC119655014|XP_037916612.1|HILL
OG0002032	LOC108008009|XP_036672636.1|DSUZ	LOC119653873|XP_037914909.1|HILL
OG0002033	LOC108021788|XP_036677054.1|DSUZ	LOC119656155|XP_037918417.1|HILL
OG0002034	LOC108014971|XP_016936680.2|DSUZ	LOC119654370|XP_037915646.1|HILL
OG0002035	LOC108007956|XP_016927214.2|DSUZ	LOC119660316|XP_037924719.1|HILL
OG0002036	LOC118877875|XP_036674108.1|DSUZ, LOC108013906|XP_036674040.1|DSUZ	LOC119660612|XP_037925233.1|HILL
OG0002037	LOC108020028|XP_016943603.1|DSUZ	LOC119649129|XP_037907062.1|HILL
OG0002038	LOC108005030|XP_016923654.2|DSUZ, LOC118877561|XP_036672640.1|DSUZ	LOC119647281|XP_037904102.1|HILL
OG0002039	LOC108007258|XP_016926386.1|DSUZ	LOC119658624|XP_037922050.1|HILL
OG0002040	LOC108017088|XP_016939536.1|DSUZ	LOC119660134|XP_037924461.1|HILL
OG0002041	LOC108019800|XP_036669725.1|DSUZ	LOC119653539|XP_037914144.1|HILL
OG0002042	LOC108017123|XP_016939576.1|DSUZ	LOC119659806|XP_037924004.1|HILL
OG0002043	LOC108006730|XP_016925762.2|DSUZ	LOC119658578|XP_037921956.1|HILL
OG0002044	LOC108016077|XP_016938159.2|DSUZ	LOC119658718|XP_037922266.1|HILL
OG0002045	LOC108012222|XP_036673080.1|DSUZ	LOC119659915|XP_037924168.1|HILL
OG0002046	LOC108005498|XP_016924291.1|DSUZ, LOC108011210|XP_016931791.1|DSUZ	LOC119659215|XP_037923116.1|HILL
OG0002047	LOC108014941|XP_036676543.1|DSUZ	LOC119655731|XP_037917709.1|HILL
OG0002048	LOC118877869|XP_036674087.1|DSUZ, LOC108017406|XP_016939920.1|DSUZ	LOC119659298|XP_037923237.1|HILL
OG0002049	LOC108006061|XP_016924994.2|DSUZ, LOC118877737|XP_036673625.1|DSUZ	LOC119658688|XP_037922201.1|HILL
OG0002050	LOC118877700|XP_036673451.1|DSUZ	LOC119658589|XP_037921977.1|HILL
OG0002051	LOC108009786|XP_016929917.1|DSUZ	LOC119655921|XP_037918017.1|HILL, LOC119649941|XP_037908287.1|HILL
OG0002052	LOC108018818|XP_016941892.2|DSUZ	LOC119659533|XP_037923602.1|HILL
OG0002053	LOC108018553|XP_016941595.2|DSUZ	LOC119659501|XP_037923555.1|HILL
OG0002054	LOC108006724|XP_016925756.2|DSUZ	LOC119660002|XP_037924308.1|HILL
OG0002055	LOC108010873|XP_036677579.1|DSUZ, LOC108014339|XP_016935911.2|DSUZ	LOC119659025|XP_037922848.1|HILL
OG0002056	LOC108011735|XP_036671261.1|DSUZ	LOC119653891|XP_037914941.1|HILL
OG0002057	LOC108021590|XP_016945873.1|DSUZ	LOC119655930|XP_037918040.1|HILL
OG0002058	LOC108013048|XP_016934148.1|DSUZ	LOC119655360|XP_037917145.1|HILL
OG0002059	LOC108004983|XP_016923591.1|DSUZ	LOC119655733|XP_037917711.1|HILL
OG0002060	LOC108009722|XP_016929792.1|DSUZ	LOC119655395|XP_037917200.1|HILL
OG0002061	LOC108010123|XP_016930440.1|DSUZ	LOC119653456|XP_037913993.1|HILL
OG0002062	LOC108011222|XP_016931809.1|DSUZ	LOC119653676|XP_037914444.1|HILL
OG0002063	LOC108015304|XP_016937171.1|DSUZ	LOC119655005|XP_037916601.1|HILL
OG0002064	LOC108020048|XP_016943633.1|DSUZ	LOC119654268|XP_037915463.1|HILL, LOC119655743|XP_037917724.1|HILL
OG0002065	LOC108013246|XP_036670730.1|DSUZ	LOC119648983|XP_037906831.1|HILL
OG0002066	LOC108014539|XP_036673416.1|DSUZ	LOC119659689|XP_037923854.1|HILL
OG0002067	LOC108009467|XP_016929336.1|DSUZ	LOC119660524|XP_037925073.1|HILL
OG0002068	LOC108018176|XP_016941164.1|DSUZ	LOC119659187|XP_037923075.1|HILL
OG0002069	LOC118879104|XP_036677980.1|DSUZ, LOC108008004|XP_016927273.2|DSUZ, LOC118879107|XP_036677981.1|DSUZ, LOC118879102|XP_036677979.1|DSUZ	LOC119653847|XP_037914822.1|HILL
OG0002070	LOC108012088|XP_016932853.1|DSUZ	LOC119656700|XP_037919135.1|HILL
OG0002071	LOC108014563|XP_016936203.2|DSUZ	LOC119655665|XP_037917579.1|HILL
OG0002072	LOC108009204|XP_016928854.1|DSUZ	LOC119659080|XP_037922923.1|HILL
OG0002073	LOC108012955|XP_036671686.1|DSUZ	LOC119650208|XP_037908702.1|HILL
OG0002074	LOC108009400|XP_016929208.1|DSUZ	LOC119655850|XP_037917896.1|HILL
OG0002075	LOC108018938|XP_016942023.1|DSUZ	LOC119649972|XP_037908337.1|HILL
OG0002076	LOC108009721|XP_016929776.1|DSUZ	LOC119656236|XP_037918582.1|HILL
OG0002077	LOC108013015|XP_016934092.1|DSUZ	LOC119654575|XP_037915958.1|HILL
OG0002078	LOC108019856|XP_016943388.1|DSUZ	LOC119655664|XP_037917578.1|HILL
OG0002079	LOC108011424|XP_016932038.1|DSUZ	LOC119650394|XP_037909083.1|HILL
OG0002080	LOC108010215|XP_016930547.1|DSUZ	LOC119654626|XP_037916026.1|HILL
OG0002081	LOC108008412|XP_016927747.1|DSUZ	LOC119654662|XP_037916081.1|HILL
OG0002082	LOC108009295|XP_036669694.1|DSUZ	LOC119656303|XP_037918675.1|HILL
OG0002083	LOC108016542|XP_036676840.1|DSUZ	LOC119653504|XP_037914088.1|HILL
OG0002084	LOC108008319|XP_016927625.1|DSUZ	LOC119656315|XP_037918691.1|HILL
OG0002085	LOC108009593|XP_036669454.1|DSUZ	LOC119656233|XP_037918577.1|HILL, LOC119655275|XP_037917019.1|HILL, LOC119655274|XP_037917014.1|HILL
OG0002086	LOC108008354|XP_016927673.1|DSUZ	LOC119655635|XP_037917536.1|HILL
OG0002087	LOC108005788|XP_016924607.2|DSUZ	LOC119654374|XP_037915655.1|HILL
OG0002088	LOC108013145|XP_036672228.1|DSUZ	LOC119647909|XP_037905155.1|HILL
OG0002089	LOC108019811|XP_016943311.1|DSUZ, LOC108017867|XP_016940515.1|DSUZ	LOC119654913|XP_037916475.1|HILL
OG0002090	LOC108011264|XP_036670757.1|DSUZ	LOC119648685|XP_037906409.1|HILL
OG0002091	LOC108008851|XP_016928245.1|DSUZ	LOC119653647|XP_037914390.1|HILL, LOC119653648|XP_037914392.1|HILL, LOC119653646|XP_037914389.1|HILL
OG0002092	LOC108011317|XP_016931913.1|DSUZ	LOC119647664|XP_037904667.1|HILL
OG0002093	LOC108009084|XP_016928629.1|DSUZ	LOC119653692|XP_037914490.1|HILL
OG0002094	LOC108008761|XP_016928148.1|DSUZ	LOC119653481|XP_037914036.1|HILL
OG0002095	LOC108015024|XP_016936742.1|DSUZ	LOC119653426|XP_037913933.1|HILL
OG0002096	LOC108009643|XP_036668903.1|DSUZ	LOC119653799|XP_037914741.1|HILL, LOC119655532|XP_037917374.1|HILL
OG0002097	LOC108009142|XP_016928735.1|DSUZ	LOC119654127|XP_037915218.1|HILL
OG0002098	LOC108017600|XP_036671317.1|DSUZ	LOC119649830|XP_037908100.1|HILL
OG0002099	LOC108006495|XP_036672986.1|DSUZ	LOC119653875|XP_037914911.1|HILL
OG0002100	LOC108011362|XP_016931961.1|DSUZ	LOC119647613|XP_037904574.1|HILL
OG0002101	LOC118877127|XP_036670210.1|DSUZ, LOC108019767|XP_036670204.1|DSUZ	LOC119655574|XP_037917430.1|HILL
OG0002102	LOC108009428|XP_016929248.1|DSUZ	LOC119653572|XP_037914228.1|HILL
OG0002103	LOC108006105|XP_036673031.1|DSUZ	LOC119652473|XP_037912571.1|HILL
OG0002105	LOC118879061|XP_036677941.1|DSUZ	LOC119659108|XP_037922959.1|HILL, LOC119653958|XP_037915046.1|HILL, LOC119654000|XP_037915089.1|HILL, LOC119653987|XP_037915076.1|HILL, LOC119648465|XP_037906151.1|HILL, LOC119661412|XP_037926678.1|HILL, LOC119661190|XP_037926342.1|HILL, LOC119661084|XP_037926202.1|HILL
OG0002107	LOC108020886|XP_016944778.1|DSUZ	LOC119646747|XP_037903252.1|HILL
OG0002110	LOC108013364|XP_016935073.2|DSUZ	LOC119647779|XP_037904889.1|HILL
OG0002117	LOC108008965|XP_016928389.1|DSUZ	LOC119657828|XP_037920874.1|HILL
OG0002118	LOC108007317|XP_036677431.1|DSUZ	LOC119656808|XP_037919354.1|HILL
OG0002119	LOC108006607|XP_036673216.1|DSUZ	LOC119658634|XP_037922087.1|HILL
OG0002120	LOC108020428|XP_016944229.1|DSUZ	LOC119660744|XP_037925393.1|HILL
OG0002121	LOC108014782|XP_016936464.1|DSUZ	LOC119651294|XP_037910741.1|HILL
OG0002123	LOC108015212|XP_016937040.1|DSUZ	LOC119648401|XP_037906075.1|HILL
OG0002124	LOC108010417|XP_036675971.1|DSUZ	LOC119657220|XP_037919960.1|HILL
OG0002125	LOC108009618|XP_016929592.1|DSUZ	LOC119650671|XP_037909550.1|HILL
OG0002126	LOC108012475|XP_016933358.1|DSUZ	LOC119647832|XP_037905001.1|HILL
OG0002127	LOC108016907|XP_016939311.1|DSUZ	LOC119657602|XP_037920529.1|HILL
OG0002128	LOC108010448|XP_016930797.1|DSUZ	LOC119656607|XP_037918970.1|HILL
OG0002129	LOC108014440|XP_036672899.1|DSUZ	LOC119652830|XP_037913086.1|HILL
OG0002130	LOC108016721|XP_016938938.1|DSUZ	LOC119657247|XP_037919992.1|HILL
OG0002131	LOC108004864|XP_036673563.1|DSUZ, LOC108020291|XP_016943908.2|DSUZ	LOC119651496|XP_037911040.1|HILL
OG0002132	LOC108021285|XP_016945413.1|DSUZ	LOC119651555|XP_037911116.1|HILL
OG0002133	LOC108005407|XP_016924159.1|DSUZ	LOC119656658|XP_037919062.1|HILL
OG0002134	LOC108016903|XP_016939308.1|DSUZ	LOC119653848|XP_037914824.1|HILL
OG0002135	LOC108019071|XP_036675855.1|DSUZ	LOC119656668|XP_037919077.1|HILL
OG0002136	LOC108015496|XP_036675292.1|DSUZ	LOC119659975|XP_037924269.1|HILL
OG0002137	LOC108007461|XP_016926617.1|DSUZ	LOC119656530|XP_037918803.1|HILL
OG0002138	LOC108016598|XP_016938775.1|DSUZ	LOC119661326|XP_037926552.1|HILL
OG0002139	LOC108019043|XP_016942156.1|DSUZ	LOC119646344|XP_037902706.1|HILL
OG0002140	LOC108016626|XP_036676458.1|DSUZ	LOC119658046|XP_037921217.1|HILL
OG0002141	LOC108011462|XP_016932097.1|DSUZ	LOC119658647|XP_037922113.1|HILL
OG0002142	LOC108011603|XP_016932262.1|DSUZ	LOC119652352|XP_037912360.1|HILL
OG0002143	LOC108021261|XP_016945372.1|DSUZ	LOC119646616|XP_037903050.1|HILL
OG0002144	LOC108020416|XP_016944208.1|DSUZ	LOC119660743|XP_037925386.1|HILL
OG0002145	LOC108013998|XP_036674519.1|DSUZ, LOC118877591|XP_036672761.1|DSUZ	LOC119661362|XP_037926640.1|HILL
OG0002146	LOC108011640|XP_016932317.1|DSUZ	LOC119650779|XP_037909815.1|HILL
OG0002147	LOC108018857|XP_036675804.1|DSUZ	LOC119657972|XP_037921111.1|HILL
OG0002148	LOC108007073|XP_036671956.1|DSUZ	LOC119656565|XP_037918877.1|HILL
OG0002149	LOC108020406|XP_016944187.1|DSUZ	LOC119660866|XP_037925690.1|HILL
OG0002150	LOC108005403|XP_016924156.1|DSUZ	LOC119646740|XP_037903246.1|HILL
OG0002151	LOC108009147|XP_016928743.1|DSUZ, LOC108019297|XP_016942640.1|DSUZ	LOC119661168|XP_037926312.1|HILL, LOC119646524|XP_037902916.1|HILL
OG0002152	LOC108017514|XP_016940071.2|DSUZ	LOC119652511|XP_037912633.1|HILL
OG0002153	LOC108014308|XP_036674364.1|DSUZ	LOC119652345|XP_037912298.1|HILL
OG0002154	LOC108016939|XP_016939358.1|DSUZ, LOC108019296|XP_036673944.1|DSUZ	LOC119657793|XP_037920805.1|HILL
OG0002155	LOC108018268|XP_016941278.2|DSUZ	LOC119658159|XP_037921355.1|HILL
OG0002156	LOC108007694|XP_016926918.1|DSUZ	LOC119660802|XP_037925559.1|HILL
OG0002157	LOC108018464|XP_036673902.1|DSUZ	LOC119651054|XP_037910311.1|HILL
OG0002158	LOC108018177|XP_016941165.1|DSUZ	LOC119651960|XP_037911747.1|HILL, LOC119651888|XP_037911638.1|HILL, LOC119659188|XP_037923076.1|HILL
OG0002159	LOC108009632|XP_016929611.1|DSUZ	LOC119651415|XP_037910937.1|HILL
OG0002160	LOC108016421|XP_036672838.1|DSUZ, LOC108014869|XP_036675174.1|DSUZ	LOC119653182|XP_037913664.1|HILL
OG0002161	LOC108020118|XP_016943707.2|DSUZ	LOC119650997|XP_037910210.1|HILL
OG0002162	LOC118878119|XP_036675458.1|DSUZ, LOC108006795|XP_016925832.1|DSUZ	LOC119659601|XP_037923697.1|HILL
OG0002163	LOC108011154|XP_016931729.1|DSUZ	LOC119652577|XP_037912719.1|HILL
OG0002164	LOC108012109|XP_036674464.1|DSUZ	LOC119658470|XP_037921820.1|HILL
OG0002165	LOC108013555|XP_016934959.1|DSUZ	LOC119651145|XP_037910477.1|HILL
OG0002166	LOC108011979|XP_016932729.1|DSUZ	LOC119646480|XP_037902861.1|HILL
OG0002167	LOC108017840|XP_016940483.1|DSUZ	LOC119660949|XP_037925889.1|HILL
OG0002168	LOC108009879|XP_016930075.1|DSUZ	LOC119658017|XP_037921174.1|HILL
OG0002169	LOC108013613|XP_016935043.1|DSUZ	LOC119658302|XP_037921533.1|HILL
OG0002170	LOC108020410|XP_016944195.1|DSUZ	LOC119660722|XP_037925301.1|HILL
OG0002171	LOC108015777|XP_016937819.1|DSUZ	LOC119657940|XP_037921057.1|HILL
OG0002172	LOC108011013|XP_016931528.2|DSUZ	LOC119657818|XP_037920860.1|HILL
OG0002173	LOC108021060|XP_016945056.1|DSUZ	LOC119660310|XP_037924716.1|HILL
OG0002174	LOC108010882|XP_016931359.2|DSUZ, LOC118877953|XP_036674611.1|DSUZ	LOC119651946|XP_037911728.1|HILL
OG0002175	LOC108014438|XP_036675600.1|DSUZ, LOC118877954|XP_036674612.1|DSUZ	LOC119651947|XP_037911729.1|HILL
OG0002176	LOC108014140|XP_016935659.2|DSUZ	LOC119652239|XP_037912142.1|HILL
OG0002177	LOC108015681|XP_016937687.1|DSUZ	LOC119651431|XP_037910957.1|HILL
OG0002178	LOC108016153|XP_036675260.1|DSUZ	LOC119656556|XP_037918862.1|HILL
OG0002179	LOC108011004|XP_036673407.1|DSUZ	LOC119652952|XP_037913273.1|HILL
OG0002180	LOC118878777|XP_036677668.1|DSUZ, LOC118879222|XP_036678008.1|DSUZ, LOC108016478|XP_036675290.1|DSUZ	LOC119653216|XP_037913716.1|HILL
OG0002181	LOC108014992|XP_016936703.1|DSUZ	LOC119657501|XP_037920363.1|HILL
OG0002182	LOC108016364|XP_016938487.2|DSUZ, LOC118876746|XP_036672618.1|DSUZ	LOC119653170|XP_037913639.1|HILL
OG0002183	LOC108008622|XP_016927992.1|DSUZ	LOC119654245|XP_037915415.1|HILL
OG0002184	LOC108015940|XP_016938012.2|DSUZ	LOC119660227|XP_037924603.1|HILL, LOC119660228|XP_037924604.1|HILL
OG0002185	LOC108006412|XP_036673302.1|DSUZ	LOC119651143|XP_037910474.1|HILL
OG0002186	LOC108018264|XP_016941272.2|DSUZ, LOC108017043|XP_016939485.2|DSUZ	LOC119651163|XP_037910509.1|HILL
OG0002187	LOC108012185|XP_036673013.1|DSUZ, LOC108006379|XP_016925391.1|DSUZ	LOC119651707|XP_037911348.1|HILL
OG0002188	LOC108010100|XP_016930410.1|DSUZ	LOC119656601|XP_037918961.1|HILL
OG0002189	LOC108007065|XP_016926158.1|DSUZ	LOC119656534|XP_037918808.1|HILL
OG0002190	LOC108012018|XP_036673217.1|DSUZ	LOC119656531|XP_037918804.1|HILL
OG0002191	LOC108012839|XP_016933795.1|DSUZ, LOC108012844|XP_016933799.1|DSUZ	LOC119658503|XP_037921893.1|HILL
OG0002192	LOC108007746|XP_016926990.1|DSUZ	LOC119650042|XP_037908453.1|HILL
OG0002193	LOC108020569|XP_016944421.1|DSUZ	LOC119650569|XP_037909314.1|HILL
OG0002194	LOC108019523|XP_036673412.1|DSUZ	LOC119651777|XP_037911459.1|HILL
OG0002195	LOC108015757|XP_016937783.2|DSUZ	LOC119651763|XP_037911430.1|HILL
OG0002196	LOC108010922|XP_016931411.2|DSUZ	LOC119660377|XP_037924823.1|HILL
OG0002197	LOC108013495|XP_016934867.1|DSUZ	LOC119651176|XP_037910531.1|HILL
OG0002198	LOC108016087|XP_036675064.1|DSUZ	LOC119660590|XP_037925187.1|HILL
OG0002199	LOC108006084|XP_016925019.2|DSUZ	LOC119660116|XP_037924433.1|HILL
OG0002200	LOC108019117|XP_016942331.1|DSUZ	LOC119652671|XP_037912865.1|HILL
OG0002202	LOC108015643|XP_036674261.1|DSUZ, LOC108017439|XP_036672644.1|DSUZ	LOC119651531|XP_037911090.1|HILL
OG0002203	LOC108010877|XP_036675360.1|DSUZ, LOC118877891|XP_036674207.1|DSUZ	LOC119652412|XP_037912453.1|HILL
OG0002204	LOC108006617|XP_036673212.1|DSUZ	LOC119651218|XP_037910600.1|HILL
OG0002205	LOC118877815|XP_036673860.1|DSUZ, LOC118878589|XP_036677519.1|DSUZ	LOC119651865|XP_037911601.1|HILL
OG0002206	LOC108005979|XP_036673139.1|DSUZ	LOC119652902|XP_037913206.1|HILL
OG0002207	LOC108008083|XP_036673542.1|DSUZ	LOC119650917|XP_037910070.1|HILL
OG0002208	LOC108014756|XP_036673496.1|DSUZ	LOC119652747|XP_037912974.1|HILL
OG0002209	LOC108015323|XP_016937211.1|DSUZ	LOC119646183|XP_037902493.1|HILL
OG0002210	LOC108014357|XP_016935933.1|DSUZ	LOC119652626|XP_037912800.1|HILL
OG0002211	LOC108018303|XP_036674748.1|DSUZ	LOC119650782|XP_037909821.1|HILL
OG0002212	LOC108014139|XP_036672788.1|DSUZ	LOC119651457|XP_037910991.1|HILL
OG0002213	LOC108015981|XP_016938057.1|DSUZ	LOC119656652|XP_037919045.1|HILL
OG0002215	LOC108015608|XP_036674037.1|DSUZ, LOC108014529|XP_036673698.1|DSUZ	LOC119651153|XP_037910489.1|HILL
OG0002216	LOC108014309|XP_036674153.1|DSUZ	LOC119658048|XP_037921220.1|HILL
OG0002217	LOC108014619|XP_036674169.1|DSUZ, LOC108014618|XP_036675525.1|DSUZ	LOC119651310|XP_037910765.1|HILL
OG0002218	LOC108005363|XP_016924103.1|DSUZ	LOC119657383|XP_037920196.1|HILL
OG0002219	LOC108014907|XP_036674580.1|DSUZ, LOC108014221|XP_036672783.1|DSUZ	LOC119657494|XP_037920350.1|HILL
OG0002220	LOC108014916|XP_036674341.1|DSUZ, LOC108014906|XP_036672732.1|DSUZ	LOC119658101|XP_037921295.1|HILL
OG0002221	LOC108013479|XP_016934851.1|DSUZ	LOC119648528|XP_037906224.1|HILL
OG0002222	LOC108009535|XP_016929459.1|DSUZ	LOC119659466|XP_037923481.1|HILL
OG0002223	LOC108009094|XP_036668933.1|DSUZ	LOC119660616|XP_037925236.1|HILL
OG0002224	LOC108017926|XP_016940589.1|DSUZ	LOC119659327|XP_037923288.1|HILL
OG0002225	LOC108005912|XP_036671642.1|DSUZ	LOC119647812|XP_037904959.1|HILL
OG0002226	LOC108017794|XP_016940427.1|DSUZ	LOC119646855|XP_037903406.1|HILL
OG0002227	LOC108008193|XP_036669651.1|DSUZ	LOC119654275|XP_037915480.1|HILL
OG0002228	LOC108019568|XP_036669913.1|DSUZ	LOC119646814|XP_037903343.1|HILL
OG0002229	LOC108009266|XP_016928959.1|DSUZ	LOC119647063|XP_037903749.1|HILL, LOC119647328|XP_037904194.1|HILL
OG0002230	LOC108019819|XP_016943322.1|DSUZ	LOC119651222|XP_037910610.1|HILL
OG0002231	LOC108018146|XP_016941099.2|DSUZ	LOC119650627|XP_037909458.1|HILL
OG0002232	LOC108009591|XP_016929552.1|DSUZ	LOC119647095|XP_037903793.1|HILL
OG0002233	LOC108011746|XP_036670948.1|DSUZ	LOC119649443|XP_037907522.1|HILL
OG0002234	LOC108008433|XP_016927771.1|DSUZ	LOC119659812|XP_037924026.1|HILL
OG0002235	LOC108009391|XP_036669266.1|DSUZ	LOC119656207|XP_037918530.1|HILL
OG0002236	LOC108010172|XP_016930505.2|DSUZ, LOC108010171|XP_016930503.2|DSUZ	LOC119654446|XP_037915780.1|HILL
OG0002237	LOC108010099|XP_016930409.1|DSUZ	LOC119648981|XP_037906834.1|HILL
OG0002238	LOC108018141|XP_016941088.1|DSUZ	LOC119646673|XP_037903131.1|HILL
OG0002239	LOC108019597|XP_016942928.1|DSUZ	LOC119650661|XP_037909529.1|HILL, LOC119660823|XP_037925614.1|HILL
OG0002240	LOC108009427|XP_016929246.1|DSUZ	LOC119653608|XP_037914303.1|HILL
OG0002241	LOC108012592|XP_016933500.1|DSUZ	LOC119649540|XP_037907655.1|HILL
OG0002242	LOC108012346|XP_016933184.1|DSUZ, LOC108017087|XP_036677787.1|DSUZ	LOC119650457|XP_037909241.1|HILL
OG0002243	LOC118877707|XP_036673473.1|DSUZ, LOC108018513|XP_036674179.1|DSUZ	LOC119648974|XP_037906824.1|HILL
OG0002244	LOC108014096|XP_016935604.2|DSUZ	LOC119648399|XP_037906071.1|HILL
OG0002245	LOC108006862|XP_036670915.1|DSUZ	LOC119647821|XP_037904979.1|HILL
OG0002246	LOC108018144|XP_016941093.1|DSUZ	LOC119661166|XP_037926309.1|HILL
OG0002247	LOC108009881|XP_016930076.1|DSUZ	LOC119649772|XP_037908000.1|HILL
OG0002248	LOC108020054|XP_036671887.1|DSUZ	LOC119650105|XP_037908553.1|HILL
OG0002249	LOC108012727|XP_016933648.1|DSUZ	LOC119650067|XP_037908492.1|HILL
OG0002250	LOC108008188|XP_036669598.1|DSUZ	LOC119661059|XP_037926188.1|HILL
OG0002251	LOC108008500|XP_016927853.1|DSUZ	LOC119646912|XP_037903511.1|HILL
OG0002252	LOC108010077|XP_016930381.1|DSUZ	LOC119647096|XP_037903794.1|HILL, LOC119661252|XP_037926428.1|HILL, LOC119661187|XP_037926335.1|HILL
OG0002253	LOC108010133|XP_016930450.1|DSUZ	LOC119661309|XP_037926529.1|HILL
OG0002254	LOC108011530|XP_036673949.1|DSUZ	LOC119659864|XP_037924104.1|HILL
OG0002255	LOC108015186|XP_016936989.1|DSUZ	LOC119659877|XP_037924124.1|HILL
OG0002256	LOC108009651|XP_016929654.1|DSUZ	LOC119647267|XP_037904084.1|HILL
OG0002257	LOC108009456|XP_016929312.1|DSUZ	LOC119659138|XP_037923001.1|HILL
OG0002258	LOC108013284|XP_016934546.1|DSUZ	LOC119649712|XP_037907914.1|HILL
OG0002259	LOC108019131|XP_016942360.1|DSUZ	LOC119660723|XP_037925304.1|HILL
OG0002260	LOC108005865|XP_016924732.1|DSUZ	LOC119650103|XP_037908551.1|HILL
OG0002261	LOC108010659|XP_016931046.1|DSUZ	LOC119649098|XP_037907029.1|HILL
OG0002262	LOC108009754|XP_016929856.1|DSUZ	LOC119655348|XP_037917128.1|HILL
OG0002263	LOC108007488|XP_036671773.1|DSUZ	LOC119649924|XP_037908255.1|HILL
OG0002264	LOC108009534|XP_016929457.1|DSUZ, LOC118878219|XP_036675944.1|DSUZ, LOC108010423|XP_036675993.1|DSUZ, LOC118878242|XP_036676001.1|DSUZ	LOC119646417|XP_037902791.1|HILL
OG0002265	LOC108012636|XP_036672098.1|DSUZ	LOC119649321|XP_037907351.1|HILL
OG0002266	LOC108005557|XP_016924341.1|DSUZ	LOC119649683|XP_037907872.1|HILL
OG0002267	LOC108013609|XP_016935040.1|DSUZ	LOC119647746|XP_037904789.1|HILL
OG0002268	LOC108013393|XP_016934733.1|DSUZ	LOC119648816|XP_037906597.1|HILL
OG0002269	LOC108017699|XP_036669849.1|DSUZ	LOC119661153|XP_037926293.1|HILL
