Orthogroup	DSUZ.longest_only	DALB.longest_only
OG0002037	LOC108020028|XP_016943603.1|DSUZ	LOC117570860|XP_034108631.1|DALB
OG0002038	LOC108005030|XP_016923654.2|DSUZ, LOC118877561|XP_036672640.1|DSUZ	LOC117575288|XP_034115323.1|DALB
OG0002039	LOC108007258|XP_016926386.1|DSUZ	LOC117573118|XP_034111935.1|DALB
OG0002040	LOC108017088|XP_016939536.1|DSUZ	LOC117576860|XP_034117853.1|DALB
OG0002041	LOC108019800|XP_036669725.1|DSUZ	LOC117567182|XP_034102894.1|DALB
OG0002042	LOC108017123|XP_016939576.1|DSUZ	LOC117575622|XP_034115789.1|DALB
OG0002043	LOC108006730|XP_016925762.2|DSUZ	LOC117575723|XP_034115955.1|DALB
OG0002044	LOC108016077|XP_016938159.2|DSUZ	LOC117576093|XP_034116532.1|DALB
OG0002045	LOC108012222|XP_036673080.1|DSUZ	LOC117575040|XP_034115012.1|DALB
OG0002046	LOC108005498|XP_016924291.1|DSUZ, LOC108011210|XP_016931791.1|DSUZ	LOC117563857|XP_034098281.1|DALB, LOC117577551|XP_034118272.1|DALB, LOC117566778|XP_034102211.1|DALB
OG0002047	LOC108014941|XP_036676543.1|DSUZ	LOC117578318|XP_034119665.1|DALB
OG0002048	LOC118877869|XP_036674087.1|DSUZ, LOC108017406|XP_016939920.1|DSUZ	LOC117574161|XP_034113739.1|DALB
OG0002049	LOC108006061|XP_016924994.2|DSUZ	LOC117576956|XP_034118010.1|DALB
OG0002050	LOC118877700|XP_036673451.1|DSUZ	LOC117576341|XP_034116907.1|DALB, LOC117576970|XP_034118039.1|DALB
OG0002051	LOC108009786|XP_016929917.1|DSUZ	LOC117572783|XP_034111771.1|DALB
OG0002052	LOC108018818|XP_016941892.2|DSUZ	LOC117572039|XP_034110493.1|DALB
OG0002053	LOC108018553|XP_016941595.2|DSUZ	LOC117573278|XP_034112256.1|DALB
OG0002054	LOC108006724|XP_016925756.2|DSUZ	LOC117576542|XP_034117271.1|DALB
OG0002055	LOC108010873|XP_036677579.1|DSUZ, LOC108014339|XP_016935911.2|DSUZ	LOC117574285|XP_034113927.1|DALB
OG0002056	LOC108011735|XP_036671261.1|DSUZ	LOC117567396|XP_034103243.1|DALB
OG0002057	LOC108021590|XP_016945873.1|DSUZ	LOC117564875|XP_034099715.1|DALB
OG0002058	LOC108013048|XP_016934148.1|DSUZ	LOC117569759|XP_034106943.1|DALB
OG0002059	LOC108004983|XP_016923591.1|DSUZ	LOC117576797|XP_034117748.1|DALB
OG0002060	LOC108009722|XP_016929792.1|DSUZ	LOC117566432|XP_034101853.1|DALB
OG0002061	LOC108010123|XP_016930440.1|DSUZ	LOC117572045|XP_034110508.1|DALB
OG0002062	LOC108011222|XP_016931809.1|DSUZ	LOC117575049|XP_034115026.1|DALB
OG0002063	LOC108015304|XP_016937171.1|DSUZ	LOC117575547|XP_034115699.1|DALB
OG0002064	LOC108020048|XP_016943633.1|DSUZ	LOC117578154|XP_034119264.1|DALB
OG0002065	LOC108013246|XP_036670730.1|DSUZ	LOC117572355|XP_034111009.1|DALB
OG0002066	LOC108014539|XP_036673416.1|DSUZ	LOC117576032|XP_034116433.1|DALB
OG0002067	LOC108009467|XP_016929336.1|DSUZ	LOC117567923|XP_034104098.1|DALB
OG0002068	LOC108018176|XP_016941164.1|DSUZ	LOC117570527|XP_034108121.1|DALB
OG0002069	LOC118879104|XP_036677980.1|DSUZ, LOC108008004|XP_016927273.2|DSUZ, LOC118879107|XP_036677981.1|DSUZ, LOC118879102|XP_036677979.1|DSUZ	LOC117570311|XP_034107746.1|DALB
OG0002070	LOC108012088|XP_016932853.1|DSUZ	LOC117573548|XP_034112718.1|DALB
OG0002071	LOC108014563|XP_016936203.2|DSUZ	LOC117576524|XP_034117237.1|DALB
OG0002072	LOC108009204|XP_016928854.1|DSUZ	LOC117571985|XP_034110383.1|DALB
OG0002073	LOC108012955|XP_036671686.1|DSUZ	LOC117570467|XP_034108020.1|DALB
OG0002074	LOC108009400|XP_016929208.1|DSUZ	LOC117567099|XP_034102769.1|DALB
OG0002075	LOC108018938|XP_016942023.1|DSUZ	LOC117565273|XP_034100192.1|DALB
OG0002076	LOC108009721|XP_016929776.1|DSUZ	LOC117572640|XP_034111502.1|DALB
OG0002077	LOC108013015|XP_016934092.1|DSUZ	LOC117567511|XP_034103443.1|DALB
OG0002078	LOC108019856|XP_016943388.1|DSUZ	LOC117568965|XP_034105814.1|DALB
OG0002079	LOC108011424|XP_016932038.1|DSUZ	LOC117568582|XP_034105206.1|DALB
OG0002080	LOC108010215|XP_016930547.1|DSUZ	LOC117568762|XP_034105489.1|DALB
OG0002081	LOC108008412|XP_016927747.1|DSUZ	LOC117572064|XP_034110534.1|DALB
OG0002082	LOC108009295|XP_036669694.1|DSUZ	LOC117572725|XP_034111681.1|DALB
OG0002083	LOC108016542|XP_036676840.1|DSUZ	LOC117572231|XP_034110843.1|DALB
OG0002084	LOC108008319|XP_016927625.1|DSUZ	LOC117568546|XP_034105155.1|DALB
OG0002085	LOC108009593|XP_036669454.1|DSUZ	LOC117569081|XP_034105988.1|DALB
OG0002086	LOC108008354|XP_016927673.1|DSUZ	LOC117570289|XP_034107701.1|DALB
OG0002087	LOC108005788|XP_016924607.2|DSUZ	LOC117571793|XP_034110045.1|DALB
OG0002088	LOC108013145|XP_036672228.1|DSUZ	LOC117571146|XP_034109039.1|DALB
OG0002089	LOC108019811|XP_016943311.1|DSUZ	LOC117567435|XP_034103333.1|DALB
OG0002090	LOC108011264|XP_036670757.1|DSUZ	LOC117567440|XP_034103339.1|DALB, LOC117566532|XP_034101963.1|DALB, LOC117570033|XP_034107347.1|DALB
OG0002091	LOC108008851|XP_016928245.1|DSUZ	LOC117566708|XP_034102144.1|DALB
OG0002092	LOC108011317|XP_016931913.1|DSUZ	LOC117572319|XP_034110942.1|DALB
OG0002093	LOC108009084|XP_016928629.1|DSUZ	LOC117571533|XP_034109614.1|DALB
OG0002094	LOC108008761|XP_016928148.1|DSUZ	LOC117569587|XP_034106708.1|DALB
OG0002095	LOC108015024|XP_016936742.1|DSUZ	LOC117568934|XP_034105754.1|DALB
OG0002096	LOC108009643|XP_036668903.1|DSUZ	LOC117570725|XP_034108430.1|DALB
OG0002097	LOC108009142|XP_016928735.1|DSUZ	LOC117566759|XP_034102193.1|DALB
OG0002098	LOC108017600|XP_036671317.1|DSUZ	LOC117571606|XP_034109714.1|DALB
OG0002099	LOC108006495|XP_036672986.1|DSUZ	LOC117574988|XP_034114949.1|DALB
OG0002100	LOC108011362|XP_016931961.1|DSUZ	LOC117572806|XP_034111798.1|DALB
OG0002101	LOC118877127|XP_036670210.1|DSUZ, LOC108019767|XP_036670204.1|DSUZ	LOC117567076|XP_034102713.1|DALB
OG0002102	LOC108009428|XP_016929248.1|DSUZ	LOC117566809|XP_034102248.1|DALB
OG0002103	LOC108006105|XP_036673031.1|DSUZ	LOC117574900|XP_034114829.1|DALB
OG0002106	LOC118877647|XP_036673114.1|DSUZ, LOC108006503|XP_036672984.1|DSUZ	LOC117575973|XP_034116342.1|DALB
OG0002109	LOC108010803|XP_016931226.2|DSUZ, LOC108010768|XP_036675515.1|DSUZ	LOC117574723|XP_034114542.1|DALB, LOC117575278|XP_034115310.1|DALB
OG0002110	LOC108013364|XP_016935073.2|DSUZ	LOC117563700|XP_034098035.1|DALB
OG0002111	LOC108019237|XP_016942526.1|DSUZ, LOC108019032|XP_016942134.1|DSUZ	LOC117564493|XP_034099198.1|DALB
OG0002112	LOC108019138|XP_016942411.1|DSUZ, LOC108012997|XP_016934069.2|DSUZ, LOC108019213|XP_016942534.2|DSUZ	LOC117565016|XP_034099852.1|DALB
OG0002113	LOC108016107|XP_036673108.1|DSUZ, LOC108017328|XP_036673107.1|DSUZ	LOC117575367|XP_034115423.1|DALB
OG0002114	LOC108019304|XP_016942613.2|DSUZ, LOC108019303|XP_016942612.1|DSUZ	LOC117575306|XP_034115350.1|DALB
OG0002117	LOC108008965|XP_016928389.1|DSUZ	LOC117578098|XP_034119164.1|DALB
OG0002118	LOC108007317|XP_036677431.1|DSUZ	LOC117573149|XP_034111989.1|DALB
OG0002119	LOC108006607|XP_036673216.1|DSUZ	LOC117576428|XP_034117065.1|DALB
OG0002120	LOC108020428|XP_016944229.1|DSUZ	LOC117573221|XP_034112140.1|DALB
OG0002121	LOC108014782|XP_016936464.1|DSUZ	LOC117576121|XP_034116570.1|DALB
OG0002123	LOC108015212|XP_016937040.1|DSUZ	LOC117564608|XP_034099354.1|DALB
OG0002124	LOC108010417|XP_036675971.1|DSUZ	LOC117577700|XP_034118490.1|DALB
OG0002125	LOC108009618|XP_016929592.1|DSUZ	LOC117571548|XP_034109641.1|DALB
OG0002126	LOC108012475|XP_016933358.1|DSUZ	LOC117571805|XP_034110062.1|DALB
OG0002127	LOC108016907|XP_016939311.1|DSUZ	LOC117578196|XP_034119409.1|DALB
OG0002128	LOC108010448|XP_016930797.1|DSUZ	LOC117578063|XP_034119092.1|DALB
OG0002129	LOC108014440|XP_036672899.1|DSUZ	LOC117573358|XP_034112376.1|DALB
OG0002130	LOC108016721|XP_016938938.1|DSUZ	LOC117572250|XP_034110832.1|DALB
OG0002131	LOC108004864|XP_036673563.1|DSUZ, LOC108020291|XP_016943908.2|DSUZ	LOC117575274|XP_034115304.1|DALB
OG0002133	LOC108005407|XP_016924159.1|DSUZ	LOC117574504|XP_034114250.1|DALB
OG0002134	LOC108016903|XP_016939308.1|DSUZ	LOC117577475|XP_034118251.1|DALB
OG0002135	LOC108019071|XP_036675855.1|DSUZ	LOC117577802|XP_034118622.1|DALB
OG0002136	LOC108015496|XP_036675292.1|DSUZ	LOC117574812|XP_034114670.1|DALB
OG0002137	LOC108007461|XP_016926617.1|DSUZ	LOC117574105|XP_034113644.1|DALB
OG0002138	LOC108016598|XP_016938775.1|DSUZ	LOC117566886|XP_034102394.1|DALB
OG0002139	LOC108019043|XP_016942156.1|DSUZ	LOC117569399|XP_034106429.1|DALB
OG0002140	LOC108016626|XP_036676458.1|DSUZ	LOC117573192|XP_034112078.1|DALB
OG0002141	LOC108011462|XP_016932097.1|DSUZ	LOC117573177|XP_034112038.1|DALB
OG0002142	LOC108011603|XP_016932262.1|DSUZ	LOC117575223|XP_034115241.1|DALB
OG0002143	LOC108021261|XP_016945372.1|DSUZ	LOC117564347|XP_034098953.1|DALB
OG0002144	LOC108020416|XP_016944208.1|DSUZ	LOC117573240|XP_034112180.1|DALB
OG0002145	LOC108013998|XP_036674519.1|DSUZ, LOC118877591|XP_036672761.1|DSUZ	LOC117575449|XP_034115552.1|DALB
OG0002146	LOC108011640|XP_016932317.1|DSUZ	LOC117575237|XP_034115259.1|DALB
OG0002147	LOC108018857|XP_036675804.1|DSUZ	LOC117567338|XP_034103153.1|DALB
OG0002148	LOC108007073|XP_036671956.1|DSUZ	LOC117568116|XP_034104411.1|DALB
OG0002149	LOC108020406|XP_016944187.1|DSUZ	LOC117573116|XP_034111932.1|DALB
OG0002150	LOC108005403|XP_016924156.1|DSUZ	LOC117573954|XP_034113379.1|DALB
OG0002152	LOC108017514|XP_016940071.2|DSUZ	LOC117576273|XP_034116810.1|DALB
OG0002153	LOC108014308|XP_036674364.1|DSUZ	LOC117574006|XP_034113472.1|DALB
OG0002154	LOC108016939|XP_016939358.1|DSUZ, LOC108019296|XP_036673944.1|DSUZ	LOC117566000|XP_034101316.1|DALB
OG0002155	LOC108018268|XP_016941278.2|DSUZ	LOC117574886|XP_034114809.1|DALB
OG0002156	LOC108007694|XP_016926918.1|DSUZ	LOC117568890|XP_034105681.1|DALB
OG0002157	LOC108018464|XP_036673902.1|DSUZ	LOC117573681|XP_034112917.1|DALB
OG0002158	LOC108018177|XP_016941165.1|DSUZ	LOC117570529|XP_034108124.1|DALB
OG0002159	LOC108009632|XP_016929611.1|DSUZ	LOC117570298|XP_034107713.1|DALB
OG0002160	LOC108016421|XP_036672838.1|DSUZ, LOC108014869|XP_036675174.1|DSUZ	LOC117576324|XP_034116883.1|DALB
OG0002161	LOC108020118|XP_016943707.2|DSUZ	LOC117576624|XP_034117435.1|DALB
OG0002162	LOC118878119|XP_036675458.1|DSUZ, LOC108006795|XP_016925832.1|DSUZ	LOC117575167|XP_034115161.1|DALB
OG0002163	LOC108011154|XP_016931729.1|DSUZ	LOC117578321|XP_034119672.1|DALB, LOC117568784|XP_034105512.1|DALB
OG0002164	LOC108012109|XP_036674464.1|DSUZ	LOC117574074|XP_034113598.1|DALB
OG0002165	LOC108013555|XP_016934959.1|DSUZ	LOC117574558|XP_034114321.1|DALB
OG0002166	LOC108011979|XP_016932729.1|DSUZ	LOC117565083|XP_034099924.1|DALB
OG0002167	LOC108017840|XP_016940483.1|DSUZ	LOC117571036|XP_034108889.1|DALB
OG0002168	LOC108009879|XP_016930075.1|DSUZ	LOC117569112|XP_034106022.1|DALB
OG0002169	LOC108013613|XP_016935043.1|DSUZ	LOC117567283|XP_034103040.1|DALB
OG0002170	LOC108020410|XP_016944195.1|DSUZ	LOC117573167|XP_034112027.1|DALB
OG0002171	LOC108015777|XP_016937819.1|DSUZ	LOC117575340|XP_034115389.1|DALB
OG0002172	LOC108011013|XP_016931528.2|DSUZ	LOC117576146|XP_034116604.1|DALB
OG0002173	LOC108021060|XP_016945056.1|DSUZ	LOC117565449|XP_034100436.1|DALB
OG0002174	LOC108010882|XP_016931359.2|DSUZ, LOC118877953|XP_036674611.1|DSUZ	LOC117575154|XP_034115149.1|DALB
OG0002175	LOC108014438|XP_036675600.1|DSUZ, LOC118877954|XP_036674612.1|DSUZ	LOC117575155|XP_034115150.1|DALB
OG0002176	LOC108014140|XP_016935659.2|DSUZ	LOC117575821|XP_034116115.1|DALB
OG0002177	LOC108015681|XP_016937687.1|DSUZ	LOC117575313|XP_034115358.1|DALB
OG0002179	LOC108011004|XP_036673407.1|DSUZ	LOC117575056|XP_034115028.1|DALB
OG0002180	LOC118878777|XP_036677668.1|DSUZ, LOC118879222|XP_036678008.1|DSUZ, LOC108016478|XP_036675290.1|DSUZ	LOC117576832|XP_034117797.1|DALB
OG0002181	LOC108014992|XP_016936703.1|DSUZ	LOC117574235|XP_034113841.1|DALB
OG0002182	LOC108016364|XP_016938487.2|DSUZ, LOC118876746|XP_036672618.1|DSUZ	LOC117574131|XP_034113680.1|DALB
OG0002184	LOC108015940|XP_016938012.2|DSUZ	LOC117576672|XP_034117554.1|DALB
OG0002185	LOC108006412|XP_036673302.1|DSUZ	LOC117576268|XP_034116802.1|DALB
OG0002186	LOC108018264|XP_016941272.2|DSUZ, LOC108017043|XP_016939485.2|DSUZ	LOC117565307|XP_034100236.1|DALB
OG0002187	LOC108012185|XP_036673013.1|DSUZ, LOC108006379|XP_016925391.1|DSUZ	LOC117573772|XP_034113062.1|DALB
OG0002188	LOC108010100|XP_016930410.1|DSUZ	LOC117571450|XP_034109488.1|DALB
OG0002189	LOC108007065|XP_016926158.1|DSUZ	LOC117573162|XP_034112015.1|DALB
OG0002190	LOC108012018|XP_036673217.1|DSUZ	LOC117575502|XP_034115636.1|DALB
OG0002191	LOC108012839|XP_016933795.1|DSUZ	LOC117571808|XP_034110070.1|DALB
OG0002192	LOC108007746|XP_016926990.1|DSUZ	LOC117572541|XP_034111301.1|DALB
OG0002193	LOC108020569|XP_016944421.1|DSUZ	LOC117574971|XP_034114927.1|DALB
OG0002194	LOC108019523|XP_036673412.1|DSUZ	LOC117576038|XP_034116451.1|DALB
OG0002195	LOC108015757|XP_016937783.2|DSUZ	LOC117576512|XP_034117212.1|DALB
OG0002196	LOC108010922|XP_016931411.2|DSUZ	LOC117573273|XP_034112244.1|DALB
OG0002197	LOC108013495|XP_016934867.1|DSUZ	LOC117569515|XP_034106597.1|DALB
OG0002198	LOC108016087|XP_036675064.1|DSUZ	LOC117573997|XP_034113437.1|DALB
OG0002199	LOC108006084|XP_016925019.2|DSUZ	LOC117575253|XP_034115278.1|DALB
OG0002200	LOC108019117|XP_016942331.1|DSUZ	LOC117574361|XP_034114085.1|DALB
OG0002202	LOC108015643|XP_036674261.1|DSUZ, LOC108017439|XP_036672644.1|DSUZ	LOC117574693|XP_034114492.1|DALB
OG0002203	LOC108010877|XP_036675360.1|DSUZ, LOC118877891|XP_036674207.1|DSUZ	LOC117574012|XP_034113487.1|DALB
OG0002204	LOC108006617|XP_036673212.1|DSUZ	LOC117574509|XP_034114259.1|DALB
OG0002205	LOC118877815|XP_036673860.1|DSUZ, LOC118878589|XP_036677519.1|DSUZ	LOC117575610|XP_034115773.1|DALB
OG0002206	LOC108005979|XP_036673139.1|DSUZ	LOC117574996|XP_034114960.1|DALB
OG0002207	LOC108008083|XP_036673542.1|DSUZ	LOC117575300|XP_034115341.1|DALB
OG0002208	LOC108014756|XP_036673496.1|DSUZ	LOC117575631|XP_034115800.1|DALB
OG0002209	LOC108015323|XP_016937211.1|DSUZ	LOC117568859|XP_034105641.1|DALB
OG0002211	LOC108018303|XP_036674748.1|DSUZ	LOC117574193|XP_034113782.1|DALB, LOC117574194|XP_034113784.1|DALB
OG0002212	LOC108014139|XP_036672788.1|DSUZ	LOC117576354|XP_034116933.1|DALB
OG0002213	LOC108015981|XP_016938057.1|DSUZ	LOC117575644|XP_034115815.1|DALB
OG0002215	LOC108015608|XP_036674037.1|DSUZ, LOC108014529|XP_036673698.1|DSUZ	LOC117575628|XP_034115796.1|DALB
OG0002216	LOC108014309|XP_036674153.1|DSUZ	LOC117569369|XP_034106391.1|DALB
OG0002218	LOC108005363|XP_016924103.1|DSUZ	LOC117567011|XP_034102591.1|DALB
OG0002219	LOC108014907|XP_036674580.1|DSUZ, LOC108014221|XP_036672783.1|DSUZ	LOC117575470|XP_034115578.1|DALB
OG0002220	LOC108014916|XP_036674341.1|DSUZ, LOC108014906|XP_036672732.1|DSUZ	LOC117574468|XP_034114196.1|DALB
OG0002221	LOC108013479|XP_016934851.1|DSUZ	LOC117571758|XP_034110001.1|DALB
OG0002222	LOC108009535|XP_016929459.1|DSUZ	LOC117567742|XP_034103818.1|DALB
OG0002223	LOC108009094|XP_036668933.1|DSUZ	LOC117572210|XP_034110774.1|DALB
OG0002224	LOC108017926|XP_016940589.1|DSUZ	LOC117570364|XP_034107823.1|DALB
OG0002225	LOC108005912|XP_036671642.1|DSUZ	LOC117570861|XP_034108632.1|DALB
OG0002226	LOC108017794|XP_016940427.1|DSUZ	LOC117566905|XP_034102414.1|DALB
OG0002227	LOC108008193|XP_036669651.1|DSUZ	LOC117568731|XP_034105440.1|DALB
OG0002228	LOC108019568|XP_036669913.1|DSUZ	LOC117568725|XP_034105434.1|DALB
OG0002229	LOC108009266|XP_016928959.1|DSUZ	LOC117567463|XP_034103368.1|DALB
OG0002230	LOC108019819|XP_016943322.1|DSUZ	LOC117571078|XP_034108944.1|DALB
OG0002231	LOC108018146|XP_016941099.2|DSUZ	LOC117568454|XP_034105021.1|DALB
OG0002232	LOC108009591|XP_016929552.1|DSUZ	LOC117572516|XP_034111262.1|DALB
OG0002233	LOC108011746|XP_036670948.1|DSUZ	LOC117569420|XP_034106465.1|DALB
OG0002235	LOC108009391|XP_036669266.1|DSUZ	LOC117568616|XP_034105277.1|DALB
OG0002236	LOC108010172|XP_016930505.2|DSUZ, LOC108010171|XP_016930503.2|DSUZ	LOC117571403|XP_034109428.1|DALB
OG0002237	LOC108010099|XP_016930409.1|DSUZ	LOC117571445|XP_034109480.1|DALB
OG0002238	LOC108018141|XP_016941088.1|DSUZ	LOC117568311|XP_034104752.1|DALB
OG0002239	LOC108019597|XP_016942928.1|DSUZ	LOC117568203|XP_034104562.1|DALB
OG0002240	LOC108009427|XP_016929246.1|DSUZ	LOC117566964|XP_034102508.1|DALB
OG0002241	LOC108012592|XP_016933500.1|DSUZ	LOC117571493|XP_034109552.1|DALB
OG0002242	LOC108012346|XP_016933184.1|DSUZ	LOC117568463|XP_034105031.1|DALB
OG0002243	LOC118877707|XP_036673473.1|DSUZ, LOC108018513|XP_036674179.1|DSUZ	LOC117576521|XP_034117230.1|DALB
OG0002244	LOC108014096|XP_016935604.2|DSUZ	LOC117572699|XP_034111644.1|DALB
OG0002245	LOC108006862|XP_036670915.1|DSUZ	LOC117566958|XP_034102495.1|DALB
OG0002246	LOC108018144|XP_016941093.1|DSUZ	LOC117569569|XP_034106682.1|DALB
OG0002247	LOC108009881|XP_016930076.1|DSUZ	LOC117569114|XP_034106025.1|DALB
OG0002248	LOC108020054|XP_036671887.1|DSUZ	LOC117571910|XP_034110279.1|DALB
OG0002249	LOC108012727|XP_016933648.1|DSUZ	LOC117568708|XP_034105413.1|DALB
OG0002250	LOC108008188|XP_036669598.1|DSUZ	LOC117571676|XP_034109808.1|DALB
OG0002251	LOC108008500|XP_016927853.1|DSUZ	LOC117571366|XP_034109368.1|DALB
OG0002252	LOC108010077|XP_016930381.1|DSUZ	LOC117571245|XP_034109190.1|DALB
OG0002253	LOC108010133|XP_016930450.1|DSUZ	LOC117567632|XP_034103622.1|DALB
OG0002254	LOC108011530|XP_036673949.1|DSUZ	LOC117573898|XP_034113297.1|DALB
OG0002255	LOC108015186|XP_016936989.1|DSUZ	LOC117578330|XP_034119684.1|DALB
OG0002256	LOC108009651|XP_016929654.1|DSUZ	LOC117572229|XP_034110798.1|DALB
OG0002257	LOC108009456|XP_016929312.1|DSUZ	LOC117566926|XP_034102437.1|DALB
OG0002258	LOC108013284|XP_016934546.1|DSUZ	LOC117571384|XP_034109393.1|DALB, LOC117571385|XP_034109394.1|DALB
OG0002259	LOC108019131|XP_016942360.1|DSUZ	LOC117571042|XP_034108904.1|DALB
OG0002260	LOC108005865|XP_016924732.1|DSUZ	LOC117569472|XP_034106531.1|DALB
OG0002261	LOC108010659|XP_016931046.1|DSUZ	LOC117572053|XP_034110520.1|DALB
OG0002262	LOC108009754|XP_016929856.1|DSUZ	LOC117569196|XP_034106155.1|DALB
OG0002263	LOC108007488|XP_036671773.1|DSUZ	LOC117567500|XP_034103422.1|DALB
OG0002264	LOC108009534|XP_016929457.1|DSUZ, LOC118878219|XP_036675944.1|DSUZ, LOC108010423|XP_036675993.1|DSUZ, LOC118878242|XP_036676001.1|DSUZ	LOC117567741|XP_034103817.1|DALB
OG0002265	LOC108012636|XP_036672098.1|DSUZ	LOC117570064|XP_034107389.1|DALB
OG0002266	LOC108005557|XP_016924341.1|DSUZ	LOC117567385|XP_034103225.1|DALB
OG0002267	LOC108013609|XP_016935040.1|DSUZ	LOC117572625|XP_034111472.1|DALB
OG0002268	LOC108013393|XP_016934733.1|DSUZ	LOC117569164|XP_034106118.1|DALB
OG0002269	LOC108017699|XP_036669849.1|DSUZ	LOC117568191|XP_034104540.1|DALB
OG0002270	LOC108009823|XP_016929996.1|DSUZ	LOC117568779|XP_034105508.1|DALB
OG0002271	LOC108013421|XP_016934773.1|DSUZ	LOC117571935|XP_034110317.1|DALB
OG0002272	LOC108013526|XP_016934911.1|DSUZ	LOC117570673|XP_034108361.1|DALB
OG0002273	LOC108011881|XP_036672208.1|DSUZ	LOC117567734|XP_034103792.1|DALB
OG0002274	LOC108017609|XP_036671388.1|DSUZ, LOC108007761|XP_036678184.1|DSUZ	LOC117572344|XP_034110984.1|DALB
OG0002275	LOC108013426|XP_016934780.1|DSUZ	LOC117568671|XP_034105366.1|DALB
OG0002276	LOC108012830|XP_016933779.2|DSUZ	LOC117568102|XP_034104376.1|DALB
OG0002277	LOC108012817|XP_016933745.1|DSUZ	LOC117569903|XP_034107135.1|DALB
OG0002278	LOC108012232|XP_036671952.1|DSUZ	LOC117571012|XP_034108861.1|DALB
OG0002279	LOC108012445|XP_016933304.1|DSUZ	LOC117568215|XP_034104580.1|DALB
OG0002280	LOC108006686|XP_036671917.1|DSUZ	LOC117569559|XP_034106669.1|DALB
OG0002281	LOC108006665|XP_036670808.1|DSUZ	LOC117571132|XP_034109025.1|DALB
OG0002282	LOC108007163|XP_016926270.1|DSUZ	LOC117570053|XP_034107372.1|DALB
OG0002283	LOC108008759|XP_016928146.1|DSUZ	LOC117566623|XP_034102055.1|DALB
OG0002284	LOC108019807|XP_016943304.1|DSUZ	LOC117572663|XP_034111551.1|DALB
OG0002285	LOC108021830|XP_016946124.1|DSUZ	LOC117565602|XP_034100698.1|DALB
OG0002286	LOC108018049|XP_016940930.2|DSUZ, LOC108010257|XP_016930603.2|DSUZ	LOC117569292|XP_034106290.1|DALB
OG0002287	LOC108009969|XP_016930220.1|DSUZ	LOC117568370|XP_034104861.1|DALB
OG0002288	LOC108013055|XP_016934162.1|DSUZ	LOC117571934|XP_034110314.1|DALB
OG0002289	LOC108012912|XP_016933922.1|DSUZ	LOC117572018|XP_034110455.1|DALB
OG0002290	LOC108007729|XP_016926968.1|DSUZ	LOC117563899|XP_034098351.1|DALB
OG0002291	LOC108018041|XP_016940917.1|DSUZ	LOC117568034|XP_034104266.1|DALB
OG0002292	LOC108018152|XP_016941104.1|DSUZ	LOC117568426|XP_034104973.1|DALB
OG0002293	LOC108011186|XP_016931766.1|DSUZ	LOC117567365|XP_034103199.1|DALB
OG0002294	LOC108006488|XP_016925501.2|DSUZ	LOC117576826|XP_034117791.1|DALB
OG0002295	LOC108018762|XP_016941834.1|DSUZ	LOC117564065|XP_034098580.1|DALB
OG0002296	LOC108018708|XP_016941773.1|DSUZ	LOC117564436|XP_034099063.1|DALB
OG0002297	LOC108004908|XP_036674030.1|DSUZ	LOC117576140|XP_034116596.1|DALB
OG0002298	LOC108008387|XP_016927721.1|DSUZ	LOC117572736|XP_034111703.1|DALB
OG0002299	LOC108008634|XP_016928004.1|DSUZ	LOC117568021|XP_034104240.1|DALB
OG0002300	LOC108006324|XP_016925317.1|DSUZ	LOC117565370|XP_034100325.1|DALB
OG0002301	LOC108021186|XP_016945261.1|DSUZ	LOC117577409|XP_034118210.1|DALB, LOC117577404|XP_034118209.1|DALB
OG0002302	LOC108021114|XP_016945149.1|DSUZ	LOC117565913|XP_034101171.1|DALB
OG0002303	LOC108004661|XP_016923124.1|DSUZ	LOC117577625|XP_034118382.1|DALB
OG0002304	LOC108021639|XP_016945936.1|DSUZ	LOC117564835|XP_034099650.1|DALB
OG0002305	LOC108005905|XP_016924796.1|DSUZ	LOC117568901|XP_034105695.1|DALB
OG0002306	LOC108021405|XP_016945598.1|DSUZ	LOC117563439|XP_034097666.1|DALB
OG0002307	LOC108020973|XP_016944910.1|DSUZ	LOC117563312|XP_034097458.1|DALB
OG0002308	LOC108020882|XP_016944770.1|DSUZ	LOC117563953|XP_034098417.1|DALB
OG0002309	LOC108016498|XP_016938657.1|DSUZ	LOC117564367|XP_034098975.1|DALB
OG0002310	LOC108007289|XP_016926421.1|DSUZ	LOC117566006|XP_034101315.1|DALB
OG0002311	LOC108014712|XP_036672957.1|DSUZ	LOC117564094|XP_034098621.1|DALB
OG0002312	LOC108021538|XP_016945793.1|DSUZ	LOC117565106|XP_034099955.1|DALB
OG0002314	LOC108019657|XP_016943033.1|DSUZ	LOC117571462|XP_034109504.1|DALB
OG0002315	LOC108008404|XP_016927737.1|DSUZ	LOC117569779|XP_034106970.1|DALB
OG0002316	LOC108008930|XP_016928334.1|DSUZ	LOC117565459|XP_034100452.1|DALB
OG0002317	LOC108013361|XP_016934671.1|DSUZ	LOC117568375|XP_034104869.1|DALB
OG0002318	LOC108021504|XP_016945746.1|DSUZ	LOC117564717|XP_034099491.1|DALB
OG0002320	LOC108009382|XP_016929179.1|DSUZ	LOC117572517|XP_034111263.1|DALB
OG0002321	LOC108008443|XP_016927784.1|DSUZ	LOC117566962|XP_034102503.1|DALB
OG0002322	LOC108021683|XP_016945994.1|DSUZ	LOC117564691|XP_034099457.1|DALB
