Orthogroup	DSUZ.longest_only	BCOP.longest_only
OG0002045	LOC108012222|XP_036673080.1|DSUZ	LOC119076462|XP_037039124.1|BCOP
OG0002046	LOC108005498|XP_016924291.1|DSUZ, LOC108011210|XP_016931791.1|DSUZ	LOC119074348|XP_037036338.1|BCOP
OG0002047	LOC108014941|XP_036676543.1|DSUZ	LOC119084246|XP_037050039.1|BCOP
OG0002048	LOC118877869|XP_036674087.1|DSUZ, LOC108017406|XP_016939920.1|DSUZ	LOC119076119|XP_037038682.1|BCOP
OG0002049	LOC108006061|XP_016924994.2|DSUZ, LOC118877737|XP_036673625.1|DSUZ	LOC119066552|XP_037024990.1|BCOP
OG0002050	LOC118877700|XP_036673451.1|DSUZ	LOC119074831|XP_037037016.1|BCOP
OG0002051	LOC108009786|XP_016929917.1|DSUZ	LOC119074387|XP_037036401.1|BCOP
OG0002053	LOC108018553|XP_016941595.2|DSUZ	LOC119067125|XP_037025799.1|BCOP
OG0002054	LOC108006724|XP_016925756.2|DSUZ	LOC119076474|XP_037039146.1|BCOP
OG0002055	LOC108010873|XP_036677579.1|DSUZ, LOC108014339|XP_016935911.2|DSUZ	LOC119078030|XP_037041338.1|BCOP
OG0002056	LOC108011735|XP_036671261.1|DSUZ	LOC119072096|XP_037033145.1|BCOP
OG0002057	LOC108021590|XP_016945873.1|DSUZ	LOC119083151|XP_037048692.1|BCOP
OG0002058	LOC108013048|XP_016934148.1|DSUZ	LOC119083154|XP_037048696.1|BCOP
OG0002059	LOC108004983|XP_016923591.1|DSUZ	LOC119071955|XP_037032980.1|BCOP
OG0002060	LOC108009722|XP_016929792.1|DSUZ	LOC119072723|XP_037033893.1|BCOP
OG0002061	LOC108010123|XP_016930440.1|DSUZ	LOC119075375|XP_037037700.1|BCOP
OG0002062	LOC108011222|XP_016931809.1|DSUZ	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP
OG0002063	LOC108015304|XP_016937171.1|DSUZ	LOC119074412|XP_037036437.1|BCOP
OG0002064	LOC108020048|XP_016943633.1|DSUZ	LOC119084475|XP_037050355.1|BCOP
OG0002065	LOC108013246|XP_036670730.1|DSUZ	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP
OG0002066	LOC108014539|XP_036673416.1|DSUZ	LOC119074548|XP_037036613.1|BCOP
OG0002067	LOC108009467|XP_016929336.1|DSUZ, LOC108009470|XP_016929338.1|DSUZ	LOC119074674|XP_037036852.1|BCOP
OG0002068	LOC108018176|XP_016941164.1|DSUZ	LOC119074954|XP_037037238.1|BCOP
OG0002069	LOC118879104|XP_036677980.1|DSUZ, LOC108008004|XP_016927273.2|DSUZ, LOC118879107|XP_036677981.1|DSUZ, LOC118879102|XP_036677979.1|DSUZ	LOC119074755|XP_037036916.1|BCOP
OG0002070	LOC108012088|XP_016932853.1|DSUZ	LOC119068727|XP_037028316.1|BCOP
OG0002071	LOC108014563|XP_016936203.2|DSUZ	LOC119071555|XP_037032373.1|BCOP
OG0002072	LOC108009204|XP_016928854.1|DSUZ	LOC119080154|XP_037044269.1|BCOP
OG0002073	LOC108012955|XP_036671686.1|DSUZ	LOC119078320|XP_037041719.1|BCOP
OG0002074	LOC108009400|XP_016929208.1|DSUZ	LOC119074748|XP_037036906.1|BCOP
OG0002075	LOC108018938|XP_016942023.1|DSUZ	LOC119078225|XP_037041580.1|BCOP
OG0002076	LOC108009721|XP_016929776.1|DSUZ	LOC119070671|XP_037030998.1|BCOP
OG0002077	LOC108013015|XP_016934092.1|DSUZ	LOC119072345|XP_037033428.1|BCOP
OG0002078	LOC108019856|XP_016943388.1|DSUZ	LOC119070722|XP_037031070.1|BCOP
OG0002079	LOC108011424|XP_016932038.1|DSUZ	LOC119071814|XP_037032777.1|BCOP
OG0002080	LOC108010215|XP_016930547.1|DSUZ	LOC119070971|XP_037031441.1|BCOP
OG0002081	LOC108008412|XP_016927747.1|DSUZ	LOC119079101|XP_037042814.1|BCOP
OG0002082	LOC108009295|XP_036669694.1|DSUZ	LOC119076952|XP_037039900.1|BCOP
OG0002083	LOC108016542|XP_036676840.1|DSUZ	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP
OG0002084	LOC108008319|XP_016927625.1|DSUZ	LOC119071316|XP_037032094.1|BCOP
OG0002085	LOC108009593|XP_036669454.1|DSUZ	LOC119082803|XP_037048343.1|BCOP
OG0002086	LOC108008354|XP_016927673.1|DSUZ	LOC119071097|XP_037031637.1|BCOP
OG0002087	LOC108005788|XP_016924607.2|DSUZ	LOC119066517|XP_037024925.1|BCOP
OG0002088	LOC108013145|XP_036672228.1|DSUZ	LOC119071860|XP_037032817.1|BCOP
OG0002089	LOC108019811|XP_016943311.1|DSUZ, LOC108017867|XP_016940515.1|DSUZ	LOC119071904|XP_037032912.1|BCOP
OG0002090	LOC108011264|XP_036670757.1|DSUZ	LOC119066947|XP_037025561.1|BCOP
OG0002091	LOC108008851|XP_016928245.1|DSUZ	LOC119074240|XP_037036157.1|BCOP
OG0002092	LOC108011317|XP_016931913.1|DSUZ	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP
OG0002093	LOC108009084|XP_016928629.1|DSUZ	LOC119066901|XP_037025485.1|BCOP
OG0002094	LOC108008761|XP_016928148.1|DSUZ	LOC119083173|XP_037048728.1|BCOP
OG0002095	LOC108015024|XP_016936742.1|DSUZ	LOC119074654|XP_037036828.1|BCOP
OG0002096	LOC108009643|XP_036668903.1|DSUZ	LOC119071682|XP_037032558.1|BCOP
OG0002097	LOC108009142|XP_016928735.1|DSUZ	LOC119072630|XP_037033769.1|BCOP
OG0002098	LOC108017600|XP_036671317.1|DSUZ	LOC119066099|XP_037024266.1|BCOP
OG0002099	LOC108006495|XP_036672986.1|DSUZ	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP
OG0002100	LOC108011362|XP_016931961.1|DSUZ	LOC119071084|XP_037031618.1|BCOP
OG0002101	LOC118877127|XP_036670210.1|DSUZ, LOC108019767|XP_036670204.1|DSUZ	LOC119066386|XP_037024713.1|BCOP
OG0002102	LOC108009428|XP_016929248.1|DSUZ	LOC119071138|XP_037031727.1|BCOP
OG0002103	LOC108006105|XP_036673031.1|DSUZ	LOC119085732|XP_037052097.1|BCOP
OG0002105	LOC108007460|XP_016926621.1|DSUZ, LOC118879061|XP_036677941.1|DSUZ	LOC119069623|XP_037029617.1|BCOP, LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP
OG0002106	LOC118877647|XP_036673114.1|DSUZ, LOC108006503|XP_036672984.1|DSUZ	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP
OG0002107	LOC108020886|XP_016944778.1|DSUZ	LOC119077008|XP_037040013.1|BCOP
OG0002117	LOC108008965|XP_016928389.1|DSUZ	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP
OG0002118	LOC108007317|XP_036677431.1|DSUZ	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP
OG0002119	LOC108006607|XP_036673216.1|DSUZ	LOC119070028|XP_037030208.1|BCOP
OG0002120	LOC108020428|XP_016944229.1|DSUZ	LOC119085060|XP_037051186.1|BCOP
OG0002121	LOC108014782|XP_016936464.1|DSUZ	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP
OG0002123	LOC108015212|XP_016937040.1|DSUZ	LOC119083896|XP_037049601.1|BCOP
OG0002124	LOC108010417|XP_036675971.1|DSUZ	LOC119069671|XP_037029684.1|BCOP
OG0002125	LOC108009618|XP_016929592.1|DSUZ	LOC119079473|XP_037043301.1|BCOP
OG0002126	LOC108012475|XP_016933358.1|DSUZ	LOC119073593|XP_037035062.1|BCOP
OG0002127	LOC108016907|XP_016939311.1|DSUZ	LOC119085600|XP_037051916.1|BCOP
OG0002128	LOC108010448|XP_016930797.1|DSUZ	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP
OG0002129	LOC108014440|XP_036672899.1|DSUZ	LOC119068015|XP_037027269.1|BCOP
OG0002131	LOC108004864|XP_036673563.1|DSUZ, LOC108020291|XP_016943908.2|DSUZ	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP
OG0002132	LOC108021285|XP_016945413.1|DSUZ	LOC119076232|XP_037038785.1|BCOP
OG0002133	LOC108005407|XP_016924159.1|DSUZ	LOC119068988|XP_037028755.1|BCOP
OG0002134	LOC108016903|XP_016939308.1|DSUZ	LOC119084479|XP_037050362.1|BCOP
OG0002135	LOC108019071|XP_036675855.1|DSUZ	LOC119068606|XP_037028151.1|BCOP
OG0002136	LOC108015496|XP_036675292.1|DSUZ	LOC119070453|XP_037030699.1|BCOP
OG0002137	LOC108007461|XP_016926617.1|DSUZ	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP
OG0002138	LOC108016598|XP_016938775.1|DSUZ	LOC119083180|XP_037048738.1|BCOP
OG0002139	LOC108019043|XP_016942156.1|DSUZ	LOC119067435|XP_037026303.1|BCOP
OG0002140	LOC108016626|XP_036676458.1|DSUZ	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP
OG0002141	LOC108011462|XP_016932097.1|DSUZ	LOC119068176|XP_037027559.1|BCOP
OG0002142	LOC108011603|XP_016932262.1|DSUZ	LOC119068290|XP_037027723.1|BCOP
OG0002143	LOC108021261|XP_016945372.1|DSUZ	LOC119068125|XP_037027478.1|BCOP
OG0002144	LOC108020416|XP_016944208.1|DSUZ	LOC119080273|XP_037044430.1|BCOP
OG0002145	LOC108013998|XP_036674519.1|DSUZ, LOC118877591|XP_036672761.1|DSUZ	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP
OG0002146	LOC108011640|XP_016932317.1|DSUZ	LOC119069157|XP_037028956.1|BCOP
OG0002147	LOC108018857|XP_036675804.1|DSUZ	LOC119068311|XP_037027749.1|BCOP
OG0002148	LOC108007073|XP_036671956.1|DSUZ	LOC119068400|XP_037027855.1|BCOP
OG0002149	LOC108020406|XP_016944187.1|DSUZ	LOC119075571|XP_037037936.1|BCOP
OG0002150	LOC108005403|XP_016924156.1|DSUZ	LOC119085647|XP_037051979.1|BCOP
OG0002151	LOC108009147|XP_016928743.1|DSUZ, LOC108019297|XP_016942640.1|DSUZ	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP
OG0002152	LOC108017514|XP_016940071.2|DSUZ	LOC119082372|XP_037047794.1|BCOP
OG0002153	LOC108014308|XP_036674364.1|DSUZ	LOC119068706|XP_037028290.1|BCOP
OG0002154	LOC108016939|XP_016939358.1|DSUZ, LOC108019296|XP_036673944.1|DSUZ	LOC119067768|XP_037026807.1|BCOP
OG0002155	LOC108018268|XP_016941278.2|DSUZ	LOC119069323|XP_037029275.1|BCOP
OG0002156	LOC108007694|XP_016926918.1|DSUZ	LOC119081040|XP_037045635.1|BCOP
OG0002157	LOC108018464|XP_036673902.1|DSUZ	LOC119069857|XP_037029927.1|BCOP
OG0002158	LOC108018177|XP_016941165.1|DSUZ	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP
OG0002159	LOC108009632|XP_016929611.1|DSUZ	LOC119068701|XP_037028287.1|BCOP
OG0002160	LOC108016421|XP_036672838.1|DSUZ, LOC108014869|XP_036675174.1|DSUZ	LOC119068295|XP_037027729.1|BCOP
OG0002161	LOC108020118|XP_016943707.2|DSUZ	LOC119085218|XP_037051427.1|BCOP
OG0002162	LOC118878119|XP_036675458.1|DSUZ, LOC108006795|XP_016925832.1|DSUZ	LOC119067373|XP_037026189.1|BCOP
OG0002163	LOC108011154|XP_016931729.1|DSUZ	LOC119067190|XP_037025916.1|BCOP
OG0002164	LOC108012109|XP_036674464.1|DSUZ	LOC119068336|XP_037027789.1|BCOP
OG0002165	LOC108013555|XP_016934959.1|DSUZ	LOC119068466|XP_037027955.1|BCOP
OG0002166	LOC108011979|XP_016932729.1|DSUZ	LOC119066227|XP_037024446.1|BCOP
OG0002167	LOC108017840|XP_016940483.1|DSUZ	LOC119066372|XP_037024695.1|BCOP
OG0002168	LOC108009879|XP_016930075.1|DSUZ	LOC119068986|XP_037028752.1|BCOP
OG0002169	LOC108013613|XP_016935043.1|DSUZ	LOC119068737|XP_037028331.1|BCOP
OG0002170	LOC108020410|XP_016944195.1|DSUZ	LOC119083567|XP_037049205.1|BCOP
OG0002171	LOC108015777|XP_016937819.1|DSUZ	LOC119069264|XP_037029217.1|BCOP
OG0002172	LOC108011013|XP_016931528.2|DSUZ	LOC119067940|XP_037027151.1|BCOP
OG0002173	LOC108021060|XP_016945056.1|DSUZ	LOC119078710|XP_037042275.1|BCOP
OG0002174	LOC108010882|XP_016931359.2|DSUZ, LOC118877953|XP_036674611.1|DSUZ	LOC119082710|XP_037048184.1|BCOP
OG0002175	LOC108014438|XP_036675600.1|DSUZ, LOC118877954|XP_036674612.1|DSUZ	LOC119082813|XP_037048363.1|BCOP
OG0002176	LOC108014140|XP_016935659.2|DSUZ	LOC119067918|XP_037027114.1|BCOP
OG0002177	LOC108015681|XP_016937687.1|DSUZ	LOC119067430|XP_037026297.1|BCOP
OG0002178	LOC108016153|XP_036675260.1|DSUZ	LOC119069100|XP_037028887.1|BCOP
OG0002179	LOC108011004|XP_036673407.1|DSUZ	LOC119067624|XP_037026612.1|BCOP
OG0002180	LOC118878777|XP_036677668.1|DSUZ, LOC118879222|XP_036678008.1|DSUZ, LOC108016478|XP_036675290.1|DSUZ	LOC119068090|XP_037027402.1|BCOP
OG0002181	LOC108014992|XP_016936703.1|DSUZ	LOC119069061|XP_037028831.1|BCOP
OG0002182	LOC108016364|XP_016938487.2|DSUZ, LOC118876746|XP_036672618.1|DSUZ	LOC119067226|XP_037025967.1|BCOP
OG0002183	LOC108008622|XP_016927992.1|DSUZ	LOC119071530|XP_037032309.1|BCOP
OG0002184	LOC108015940|XP_016938012.2|DSUZ	LOC119067354|XP_037026158.1|BCOP
OG0002185	LOC108006412|XP_036673302.1|DSUZ	LOC119069969|XP_037030103.1|BCOP
OG0002186	LOC108018264|XP_016941272.2|DSUZ, LOC108017043|XP_016939485.2|DSUZ	LOC119079315|XP_037043004.1|BCOP
OG0002187	LOC108012185|XP_036673013.1|DSUZ, LOC108006379|XP_016925391.1|DSUZ	LOC119069210|XP_037029076.1|BCOP, LOC119070066|XP_037030256.1|BCOP
OG0002188	LOC108010100|XP_016930410.1|DSUZ	LOC119080885|XP_037045359.1|BCOP
OG0002189	LOC108007065|XP_016926158.1|DSUZ	LOC119069499|XP_037029465.1|BCOP
OG0002190	LOC108012018|XP_036673217.1|DSUZ	LOC119084695|XP_037050671.1|BCOP
OG0002191	LOC108012839|XP_016933795.1|DSUZ, LOC108012844|XP_016933799.1|DSUZ	LOC119067687|XP_037026702.1|BCOP
OG0002192	LOC108007746|XP_016926990.1|DSUZ	LOC119078993|XP_037042652.1|BCOP
OG0002193	LOC108020569|XP_016944421.1|DSUZ	LOC119085773|XP_037052160.1|BCOP
OG0002194	LOC108019523|XP_036673412.1|DSUZ	LOC119070038|XP_037030217.1|BCOP
OG0002195	LOC108015757|XP_016937783.2|DSUZ	LOC119067218|XP_037025959.1|BCOP
OG0002196	LOC108010922|XP_016931411.2|DSUZ	LOC119078582|XP_037042054.1|BCOP
OG0002197	LOC108013495|XP_016934867.1|DSUZ	LOC119069309|XP_037029255.1|BCOP
OG0002198	LOC108016087|XP_036675064.1|DSUZ	LOC119068092|XP_037027404.1|BCOP
OG0002199	LOC108006084|XP_016925019.2|DSUZ	LOC119074834|XP_037037026.1|BCOP
OG0002200	LOC108019117|XP_016942331.1|DSUZ	LOC119070571|XP_037030872.1|BCOP
OG0002202	LOC108015643|XP_036674261.1|DSUZ, LOC108017439|XP_036672644.1|DSUZ	LOC119068798|XP_037028455.1|BCOP
OG0002203	LOC108010877|XP_036675360.1|DSUZ, LOC118877891|XP_036674207.1|DSUZ	LOC119069182|XP_037029011.1|BCOP
OG0002204	LOC108006617|XP_036673212.1|DSUZ	LOC119069037|XP_037028801.1|BCOP
OG0002205	LOC118877815|XP_036673860.1|DSUZ, LOC118878589|XP_036677519.1|DSUZ	LOC119070447|XP_037030693.1|BCOP
OG0002206	LOC108005979|XP_036673139.1|DSUZ	LOC119067466|XP_037026348.1|BCOP
OG0002207	LOC108008083|XP_036673542.1|DSUZ	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP
OG0002208	LOC108014756|XP_036673496.1|DSUZ	LOC119068186|XP_037027576.1|BCOP
OG0002209	LOC108015323|XP_016937211.1|DSUZ	LOC119076431|XP_037039074.1|BCOP
OG0002210	LOC108014357|XP_016935933.1|DSUZ	LOC119067337|XP_037026136.1|BCOP
OG0002211	LOC108018303|XP_036674748.1|DSUZ	LOC119070046|XP_037030224.1|BCOP
OG0002212	LOC108014139|XP_036672788.1|DSUZ	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP
OG0002213	LOC108015981|XP_016938057.1|DSUZ	LOC119069748|XP_037029784.1|BCOP
OG0002215	LOC108015608|XP_036674037.1|DSUZ, LOC108014529|XP_036673698.1|DSUZ	LOC119069952|XP_037030076.1|BCOP
OG0002216	LOC108014309|XP_036674153.1|DSUZ	LOC119081256|XP_037045888.1|BCOP
OG0002217	LOC108014619|XP_036674169.1|DSUZ, LOC108014618|XP_036675525.1|DSUZ	LOC119069242|XP_037029190.1|BCOP
OG0002218	LOC108005363|XP_016924103.1|DSUZ	LOC119067252|XP_037026023.1|BCOP
OG0002219	LOC108014907|XP_036674580.1|DSUZ, LOC108014221|XP_036672783.1|DSUZ	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP
OG0002220	LOC108014916|XP_036674341.1|DSUZ, LOC108014906|XP_036672732.1|DSUZ	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP
OG0002221	LOC108013479|XP_016934851.1|DSUZ	LOC119084830|XP_037050808.1|BCOP
OG0002222	LOC108009535|XP_016929459.1|DSUZ	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP
OG0002224	LOC108017926|XP_016940589.1|DSUZ	LOC119081716|XP_037046729.1|BCOP
OG0002225	LOC108005912|XP_036671642.1|DSUZ	LOC119073439|XP_037034818.1|BCOP
OG0002226	LOC108017794|XP_016940427.1|DSUZ	LOC119081374|XP_037046151.1|BCOP
OG0002227	LOC108008193|XP_036669651.1|DSUZ	LOC119080299|XP_037044467.1|BCOP
OG0002228	LOC108019568|XP_036669913.1|DSUZ	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP
OG0002229	LOC108009266|XP_016928959.1|DSUZ	LOC119081545|XP_037046455.1|BCOP
OG0002230	LOC108019819|XP_016943322.1|DSUZ	LOC119079254|XP_037042930.1|BCOP
OG0002231	LOC108018146|XP_016941099.2|DSUZ	LOC119073448|XP_037034836.1|BCOP
OG0002233	LOC108011746|XP_036670948.1|DSUZ	LOC119075212|XP_037037494.1|BCOP
OG0002235	LOC108009391|XP_036669266.1|DSUZ	LOC119083565|XP_037049197.1|BCOP
OG0002236	LOC108010172|XP_016930505.2|DSUZ, LOC108010171|XP_016930503.2|DSUZ	LOC119080175|XP_037044295.1|BCOP
OG0002237	LOC108010099|XP_016930409.1|DSUZ	LOC119079255|XP_037042933.1|BCOP
OG0002238	LOC108018141|XP_016941088.1|DSUZ	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP
OG0002239	LOC108019597|XP_016942928.1|DSUZ	LOC119085382|XP_037051663.1|BCOP
OG0002240	LOC108009427|XP_016929246.1|DSUZ	LOC119079503|XP_037043346.1|BCOP
OG0002241	LOC108012592|XP_016933500.1|DSUZ	LOC119081255|XP_037045885.1|BCOP
OG0002242	LOC108012346|XP_016933184.1|DSUZ, LOC108017087|XP_036677787.1|DSUZ	LOC119080678|XP_037045006.1|BCOP
OG0002243	LOC118877707|XP_036673473.1|DSUZ, LOC108018513|XP_036674179.1|DSUZ	LOC119083632|XP_037049262.1|BCOP
OG0002244	LOC108014096|XP_016935604.2|DSUZ	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP
OG0002245	LOC108006862|XP_036670915.1|DSUZ	LOC119073696|XP_037035191.1|BCOP
OG0002246	LOC108018144|XP_016941093.1|DSUZ	LOC119079508|XP_037043357.1|BCOP
OG0002247	LOC108009881|XP_016930076.1|DSUZ	LOC119079492|XP_037043336.1|BCOP
OG0002248	LOC108020054|XP_036671887.1|DSUZ	LOC119079312|XP_037043005.1|BCOP
OG0002249	LOC108012727|XP_016933648.1|DSUZ	LOC119080647|XP_037044956.1|BCOP
OG0002250	LOC108008188|XP_036669598.1|DSUZ	LOC119073479|XP_037034879.1|BCOP
OG0002251	LOC108008500|XP_016927853.1|DSUZ	LOC119073572|XP_037035026.1|BCOP
OG0002252	LOC108010077|XP_016930381.1|DSUZ	LOC119077679|XP_037040836.1|BCOP
OG0002253	LOC108010133|XP_016930450.1|DSUZ	LOC119074011|XP_037035841.1|BCOP
OG0002254	LOC108011530|XP_036673949.1|DSUZ	LOC119079368|XP_037043133.1|BCOP
OG0002255	LOC108015186|XP_016936989.1|DSUZ	LOC119084172|XP_037049926.1|BCOP
OG0002256	LOC108009651|XP_016929654.1|DSUZ	LOC119081221|XP_037045840.1|BCOP, LOC119074128|XP_037036006.1|BCOP
OG0002257	LOC108009456|XP_016929312.1|DSUZ	LOC119070242|XP_037030411.1|BCOP, LOC119075133|XP_037037414.1|BCOP
OG0002258	LOC108013284|XP_016934546.1|DSUZ	LOC119079286|XP_037042971.1|BCOP, LOC119079287|XP_037042972.1|BCOP
OG0002259	LOC108019131|XP_016942360.1|DSUZ	LOC119078492|XP_037041943.1|BCOP
OG0002260	LOC108005865|XP_016924732.1|DSUZ	LOC119079351|XP_037043075.1|BCOP
OG0002261	LOC108010659|XP_016931046.1|DSUZ	LOC119080525|XP_037044831.1|BCOP
OG0002262	LOC108009754|XP_016929856.1|DSUZ	LOC119070724|XP_037031072.1|BCOP
OG0002263	LOC108007488|XP_036671773.1|DSUZ	LOC119077861|XP_037041090.1|BCOP
OG0002264	LOC108009534|XP_016929457.1|DSUZ, LOC118878219|XP_036675944.1|DSUZ, LOC108010423|XP_036675993.1|DSUZ, LOC118878242|XP_036676001.1|DSUZ	LOC119081148|XP_037045791.1|BCOP
OG0002265	LOC108012636|XP_036672098.1|DSUZ	LOC119076153|XP_037038732.1|BCOP
OG0002266	LOC108005557|XP_016924341.1|DSUZ	LOC119073649|XP_037035142.1|BCOP
OG0002267	LOC108013609|XP_016935040.1|DSUZ	LOC119083362|XP_037048971.1|BCOP, LOC119075050|XP_037037340.1|BCOP
OG0002268	LOC108013393|XP_016934733.1|DSUZ	LOC119080619|XP_037044918.1|BCOP, LOC119066077|XP_037024241.1|BCOP
OG0002269	LOC108017699|XP_036669849.1|DSUZ	LOC119081728|XP_037046784.1|BCOP
OG0002270	LOC108009823|XP_016929996.1|DSUZ	LOC119074506|XP_037036558.1|BCOP
OG0002271	LOC108013421|XP_016934773.1|DSUZ	LOC119080669|XP_037044995.1|BCOP
OG0002272	LOC108013526|XP_016934911.1|DSUZ	LOC119075051|XP_037037341.1|BCOP, LOC119083363|XP_037048973.1|BCOP
OG0002273	LOC108011881|XP_036672208.1|DSUZ	LOC119069867|XP_037029932.1|BCOP, LOC119079355|XP_037043083.1|BCOP
OG0002274	LOC108017609|XP_036671388.1|DSUZ, LOC108007761|XP_036678184.1|DSUZ	LOC119073513|XP_037034927.1|BCOP
OG0002275	LOC108013426|XP_016934780.1|DSUZ	LOC119084843|XP_037050844.1|BCOP
OG0002276	LOC108012830|XP_016933779.2|DSUZ	LOC119079718|XP_037043674.1|BCOP
OG0002277	LOC108012817|XP_016933745.1|DSUZ	LOC119073271|XP_037034548.1|BCOP
OG0002279	LOC108012445|XP_016933304.1|DSUZ	LOC119076586|XP_037039320.1|BCOP
OG0002280	LOC108006686|XP_036671917.1|DSUZ	LOC119070015|XP_037030188.1|BCOP, LOC119070968|XP_037031440.1|BCOP, LOC119080389|XP_037044595.1|BCOP, LOC119069110|XP_037028897.1|BCOP
OG0002281	LOC108006665|XP_036670808.1|DSUZ	LOC119077996|XP_037041271.1|BCOP
OG0002282	LOC108007163|XP_016926270.1|DSUZ	LOC119085901|XP_037052340.1|BCOP, LOC119077824|XP_037041030.1|BCOP, LOC119073806|XP_037035464.1|BCOP
OG0002284	LOC108019807|XP_016943304.1|DSUZ	LOC119081350|XP_037046090.1|BCOP
OG0002285	LOC108021830|XP_016946124.1|DSUZ	LOC119072366|XP_037033455.1|BCOP, LOC119077792|XP_037040999.1|BCOP
OG0002286	LOC108018049|XP_016940930.2|DSUZ, LOC108010257|XP_016930603.2|DSUZ	LOC119079844|XP_037043804.1|BCOP
OG0002287	LOC108009969|XP_016930220.1|DSUZ	LOC119074511|XP_037036568.1|BCOP
OG0002288	LOC108013055|XP_016934162.1|DSUZ	LOC119080406|XP_037044632.1|BCOP
OG0002289	LOC108012912|XP_016933922.1|DSUZ	LOC119073547|XP_037034995.1|BCOP, LOC119073548|XP_037034996.1|BCOP
OG0002290	LOC108007729|XP_016926968.1|DSUZ	LOC119076753|XP_037039597.1|BCOP, LOC119069972|XP_037030110.1|BCOP
OG0002291	LOC108018041|XP_016940917.1|DSUZ	LOC119079329|XP_037043021.1|BCOP
OG0002292	LOC108018152|XP_016941104.1|DSUZ	LOC119079063|XP_037042770.1|BCOP
OG0002293	LOC108011186|XP_016931766.1|DSUZ	LOC119073985|XP_037035791.1|BCOP
OG0002294	LOC108006488|XP_016925501.2|DSUZ	LOC119079625|XP_037043517.1|BCOP, LOC119079626|XP_037043519.1|BCOP
OG0002295	LOC108018762|XP_016941834.1|DSUZ	LOC119066270|XP_037024521.1|BCOP
OG0002296	LOC108018708|XP_016941773.1|DSUZ	LOC119072829|XP_037034024.1|BCOP
OG0002297	LOC108004908|XP_036674030.1|DSUZ	LOC119080976|XP_037045515.1|BCOP
OG0002298	LOC108008387|XP_016927721.1|DSUZ	LOC119073204|XP_037034409.1|BCOP, LOC119081199|XP_037045810.1|BCOP
OG0002299	LOC108008634|XP_016928004.1|DSUZ	LOC119081201|XP_037045816.1|BCOP, LOC119073225|XP_037034432.1|BCOP
OG0002300	LOC108006324|XP_016925317.1|DSUZ	LOC119071456|XP_037032203.1|BCOP
OG0002301	LOC108021186|XP_016945261.1|DSUZ	LOC119082756|XP_037048233.1|BCOP
OG0002302	LOC108021114|XP_016945149.1|DSUZ	LOC119070830|XP_037031227.1|BCOP
OG0002303	LOC108004661|XP_016923124.1|DSUZ	LOC119077038|XP_037040057.1|BCOP
OG0002304	LOC108021639|XP_016945936.1|DSUZ	LOC119081963|XP_037047162.1|BCOP
OG0002305	LOC108005905|XP_016924796.1|DSUZ	LOC119085146|XP_037051319.1|BCOP
