Orthogroup	DSUZ.longest_only	CQUI.longest_only
OG0002032	LOC108008009|XP_036672636.1|DSUZ	LOC6047494|XP_001864549.2|CQUI
OG0002033	LOC108021788|XP_036677054.1|DSUZ	LOC6033021|XP_038119287.1|CQUI
OG0002034	LOC108014971|XP_016936680.2|DSUZ	LOC6033038|XP_038115410.1|CQUI
OG0002036	LOC118877875|XP_036674108.1|DSUZ, LOC108013906|XP_036674040.1|DSUZ	LOC6050995|XP_038121187.1|CQUI
OG0002037	LOC108020028|XP_016943603.1|DSUZ	LOC6046238|XP_001863465.1|CQUI
OG0002038	LOC108005030|XP_016923654.2|DSUZ, LOC118877561|XP_036672640.1|DSUZ	LOC6048866|XP_001865713.1|CQUI
OG0002039	LOC108007258|XP_016926386.1|DSUZ	LOC6041739|XP_001850959.1|CQUI
OG0002040	LOC108017088|XP_016939536.1|DSUZ	LOC6049016|XP_038115728.1|CQUI
OG0002041	LOC108019800|XP_036669725.1|DSUZ	LOC6053561|XP_038121322.1|CQUI
OG0002042	LOC108017123|XP_016939576.1|DSUZ	LOC6042060|XP_001851213.1|CQUI
OG0002043	LOC108006730|XP_016925762.2|DSUZ	LOC6046279|XP_001863506.2|CQUI
OG0002044	LOC108016077|XP_016938159.2|DSUZ	LOC6049246|XP_038115174.1|CQUI
OG0002045	LOC108012222|XP_036673080.1|DSUZ	LOC6046000|XP_038119279.1|CQUI
OG0002046	LOC108005498|XP_016924291.1|DSUZ, LOC108011210|XP_016931791.1|DSUZ	LOC6044308|XP_038119321.1|CQUI
OG0002047	LOC108014941|XP_036676543.1|DSUZ	LOC6050271|XP_038122220.1|CQUI
OG0002048	LOC118877869|XP_036674087.1|DSUZ, LOC108017406|XP_016939920.1|DSUZ	LOC6042553|XP_038120962.1|CQUI
OG0002049	LOC108006061|XP_016924994.2|DSUZ, LOC118877737|XP_036673625.1|DSUZ	LOC6039492|XP_038115951.1|CQUI
OG0002050	LOC118877700|XP_036673451.1|DSUZ	LOC6043404|XP_038115088.1|CQUI
OG0002051	LOC108009786|XP_016929917.1|DSUZ	LOC6051287|XP_038119820.1|CQUI
OG0002053	LOC108018553|XP_016941595.2|DSUZ	LOC6040835|XP_038116346.1|CQUI
OG0002054	LOC108006724|XP_016925756.2|DSUZ	LOC6035830|XP_001845950.2|CQUI
OG0002055	LOC108010873|XP_036677579.1|DSUZ, LOC108014339|XP_016935911.2|DSUZ	LOC6038958|XP_038120809.1|CQUI
OG0002056	LOC108011735|XP_036671261.1|DSUZ	LOC6038943|XP_038120800.1|CQUI
OG0002057	LOC108021590|XP_016945873.1|DSUZ	LOC6034056|XP_038120930.1|CQUI
OG0002058	LOC108013048|XP_016934148.1|DSUZ	LOC6033986|XP_001844369.2|CQUI
OG0002059	LOC108004983|XP_016923591.1|DSUZ	LOC6033981|XP_038120952.1|CQUI
OG0002060	LOC108009722|XP_016929792.1|DSUZ	LOC6033990|XP_038119391.1|CQUI
OG0002061	LOC108010123|XP_016930440.1|DSUZ	LOC6033991|XP_001844379.1|CQUI
OG0002062	LOC108011222|XP_016931809.1|DSUZ	LOC6037972|XP_038118109.1|CQUI
OG0002063	LOC108015304|XP_016937171.1|DSUZ	LOC119769819|XP_038119432.1|CQUI
OG0002064	LOC108020048|XP_016943633.1|DSUZ	LOC6047178|XP_038120724.1|CQUI
OG0002065	LOC108013246|XP_036670730.1|DSUZ	LOC6046202|XP_038120624.1|CQUI
OG0002066	LOC108014539|XP_036673416.1|DSUZ	LOC6039967|XP_038109379.1|CQUI
OG0002067	LOC108009467|XP_016929336.1|DSUZ, LOC108009470|XP_016929338.1|DSUZ	LOC6044111|XP_038112191.1|CQUI
OG0002068	LOC108018176|XP_016941164.1|DSUZ	LOC119766543|XP_038107216.1|CQUI
OG0002069	LOC118879104|XP_036677980.1|DSUZ, LOC108008004|XP_016927273.2|DSUZ, LOC118879107|XP_036677981.1|DSUZ, LOC118879102|XP_036677979.1|DSUZ	LOC6041145|XP_001850445.2|CQUI
OG0002070	LOC108012088|XP_016932853.1|DSUZ	LOC6041138|XP_001850438.2|CQUI
OG0002071	LOC108014563|XP_016936203.2|DSUZ	LOC6036873|XP_038107719.1|CQUI
OG0002072	LOC108009204|XP_016928854.1|DSUZ	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI
OG0002073	LOC108012955|XP_036671686.1|DSUZ	LOC6037933|XP_038116801.1|CQUI
OG0002074	LOC108009400|XP_016929208.1|DSUZ	LOC6034286|XP_001844626.2|CQUI
OG0002075	LOC108018938|XP_016942023.1|DSUZ	LOC6051422|XP_001867860.2|CQUI
OG0002076	LOC108009721|XP_016929776.1|DSUZ	LOC6053604|XP_038109672.1|CQUI
OG0002077	LOC108013015|XP_016934092.1|DSUZ	LOC6048428|XP_038107454.1|CQUI
OG0002078	LOC108019856|XP_016943388.1|DSUZ	LOC6049195|XP_038108184.1|CQUI
OG0002079	LOC108011424|XP_016932038.1|DSUZ	LOC6035445|XP_038113391.1|CQUI
OG0002080	LOC108010215|XP_016930547.1|DSUZ	LOC6045702|XP_038109755.1|CQUI
OG0002081	LOC108008412|XP_016927747.1|DSUZ	LOC6045982|XP_001863256.2|CQUI
OG0002082	LOC108009295|XP_036669694.1|DSUZ	LOC6036748|XP_038113901.1|CQUI
OG0002083	LOC108016542|XP_036676840.1|DSUZ	LOC6035972|XP_038107184.1|CQUI
OG0002084	LOC108008319|XP_016927625.1|DSUZ	LOC6035707|XP_038108824.1|CQUI
OG0002085	LOC108009593|XP_036669454.1|DSUZ	LOC6042460|XP_038114127.1|CQUI
OG0002086	LOC108008354|XP_016927673.1|DSUZ	LOC6046954|XP_001864067.2|CQUI
OG0002087	LOC108005788|XP_016924607.2|DSUZ	LOC6035876|XP_038112932.1|CQUI
OG0002088	LOC108013145|XP_036672228.1|DSUZ	LOC6048576|XP_038109929.1|CQUI
OG0002090	LOC108011264|XP_036670757.1|DSUZ	LOC6048571|XP_038112054.1|CQUI
OG0002091	LOC108008851|XP_016928245.1|DSUZ	LOC6042356|XP_001851484.1|CQUI
OG0002092	LOC108011317|XP_016931913.1|DSUZ	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI
OG0002093	LOC108009084|XP_016928629.1|DSUZ	LOC6046499|XP_038110633.1|CQUI
OG0002094	LOC108008761|XP_016928148.1|DSUZ	LOC6040957|XP_038113605.1|CQUI
OG0002095	LOC108015024|XP_016936742.1|DSUZ	LOC6036091|XP_001846184.1|CQUI
OG0002096	LOC108009643|XP_036668903.1|DSUZ	LOC6047564|XP_038107160.1|CQUI
OG0002097	LOC108009142|XP_016928735.1|DSUZ	LOC6032274|XP_038114310.1|CQUI
OG0002098	LOC108017600|XP_036671317.1|DSUZ	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI
OG0002099	LOC108006495|XP_036672986.1|DSUZ	LOC6052912|XP_038113126.1|CQUI
OG0002100	LOC108011362|XP_016931961.1|DSUZ	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI
OG0002101	LOC118877127|XP_036670210.1|DSUZ, LOC108019767|XP_036670204.1|DSUZ	LOC6034560|XP_038108470.1|CQUI
OG0002102	LOC108009428|XP_016929248.1|DSUZ	LOC6040553|XP_001849935.2|CQUI
OG0002103	LOC108006105|XP_036673031.1|DSUZ	LOC6039927|XP_038104265.1|CQUI
OG0002117	LOC108008965|XP_016928389.1|DSUZ	LOC6035092|XP_001845324.2|CQUI
OG0002118	LOC108007317|XP_036677431.1|DSUZ	LOC6038196|XP_001848026.2|CQUI
OG0002119	LOC108006607|XP_036673216.1|DSUZ	LOC6052831|XP_038104539.1|CQUI
OG0002120	LOC108020428|XP_016944229.1|DSUZ	LOC6038312|XP_038104590.1|CQUI
OG0002121	LOC108014782|XP_016936464.1|DSUZ	LOC6048963|XP_038111521.1|CQUI
OG0002123	LOC108015212|XP_016937040.1|DSUZ	LOC6040410|XP_038105742.1|CQUI
OG0002124	LOC108010417|XP_036675971.1|DSUZ	LOC119770815|XP_038122274.1|CQUI
OG0002125	LOC108009618|XP_016929592.1|DSUZ	LOC119771160|XP_038122537.1|CQUI, LOC119765095|XP_038104176.1|CQUI
OG0002126	LOC108012475|XP_016933358.1|DSUZ	LOC6053690|XP_001869735.2|CQUI
OG0002127	LOC108016907|XP_016939311.1|DSUZ	LOC6051305|XP_038105747.1|CQUI
OG0002128	LOC108010448|XP_016930797.1|DSUZ	LOC6050201|XP_038114963.1|CQUI
OG0002129	LOC108014440|XP_036672899.1|DSUZ	LOC6038188|XP_038108193.1|CQUI
OG0002130	LOC108016721|XP_016938938.1|DSUZ	LOC6048461|XP_001865375.1|CQUI
OG0002131	LOC108004864|XP_036673563.1|DSUZ, LOC108020291|XP_016943908.2|DSUZ	LOC6041291|XP_038105189.1|CQUI
OG0002132	LOC108021285|XP_016945413.1|DSUZ	LOC6042241|XP_001851379.1|CQUI
OG0002133	LOC108005407|XP_016924159.1|DSUZ	LOC6041277|XP_001850564.2|CQUI
OG0002134	LOC108016903|XP_016939308.1|DSUZ	LOC6053321|XP_038104459.1|CQUI
OG0002135	LOC108019071|XP_036675855.1|DSUZ	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI
OG0002136	LOC108015496|XP_036675292.1|DSUZ	LOC6052854|XP_038114943.1|CQUI
OG0002137	LOC108007461|XP_016926617.1|DSUZ	LOC6035107|XP_001845343.2|CQUI
OG0002138	LOC108016598|XP_016938775.1|DSUZ	LOC6053774|XP_001869800.2|CQUI
OG0002139	LOC108019043|XP_016942156.1|DSUZ	LOC6054308|XP_038112556.1|CQUI
OG0002140	LOC108016626|XP_036676458.1|DSUZ	LOC6052944|XP_038122401.1|CQUI
OG0002141	LOC108011462|XP_016932097.1|DSUZ	LOC6052597|XP_001868840.1|CQUI
OG0002142	LOC108011603|XP_016932262.1|DSUZ	LOC6044771|XP_001862230.2|CQUI
OG0002143	LOC108021261|XP_016945372.1|DSUZ	LOC6049815|XP_001866521.2|CQUI
OG0002144	LOC108020416|XP_016944208.1|DSUZ	LOC6045241|XP_001862632.1|CQUI
OG0002145	LOC108013998|XP_036674519.1|DSUZ, LOC118877591|XP_036672761.1|DSUZ	LOC6054639|XP_038108283.1|CQUI
OG0002146	LOC108011640|XP_016932317.1|DSUZ	LOC6036975|XP_038114349.1|CQUI
OG0002147	LOC108018857|XP_036675804.1|DSUZ	LOC6050629|XP_038108543.1|CQUI
OG0002148	LOC108007073|XP_036671956.1|DSUZ	LOC6049935|XP_038105474.1|CQUI
OG0002149	LOC108020406|XP_016944187.1|DSUZ	LOC6049814|XP_038122450.1|CQUI
OG0002150	LOC108005403|XP_016924156.1|DSUZ	LOC6042689|XP_038115140.1|CQUI
OG0002151	LOC108009147|XP_016928743.1|DSUZ, LOC108019297|XP_016942640.1|DSUZ	LOC6042690|XP_001870711.1|CQUI
OG0002152	LOC108017514|XP_016940071.2|DSUZ	LOC6043588|XP_038111921.1|CQUI
OG0002153	LOC108014308|XP_036674364.1|DSUZ	LOC6051446|XP_038116744.1|CQUI
OG0002154	LOC108016939|XP_016939358.1|DSUZ, LOC108019296|XP_036673944.1|DSUZ	LOC6038494|XP_038104249.1|CQUI
OG0002155	LOC108018268|XP_016941278.2|DSUZ	LOC6045355|XP_001862743.2|CQUI
OG0002156	LOC108007694|XP_016926918.1|DSUZ	LOC119765577|XP_038105669.1|CQUI
OG0002157	LOC108018464|XP_036673902.1|DSUZ	LOC6031420|XP_038119185.1|CQUI
OG0002159	LOC108009632|XP_016929611.1|DSUZ	LOC6042564|XP_001852253.1|CQUI
OG0002160	LOC108016421|XP_036672838.1|DSUZ, LOC108014869|XP_036675174.1|DSUZ	LOC6053375|XP_038104218.1|CQUI
OG0002161	LOC108020118|XP_016943707.2|DSUZ	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI
OG0002162	LOC118878119|XP_036675458.1|DSUZ, LOC108006795|XP_016925832.1|DSUZ	LOC6034725|XP_038105052.1|CQUI
OG0002164	LOC108012109|XP_036674464.1|DSUZ	LOC6034761|XP_001845035.2|CQUI
OG0002166	LOC108011979|XP_016932729.1|DSUZ	LOC6041913|XP_001851104.1|CQUI
OG0002167	LOC108017840|XP_016940483.1|DSUZ	LOC6041910|XP_001851101.1|CQUI
OG0002168	LOC108009879|XP_016930075.1|DSUZ	LOC6053108|XP_001869252.2|CQUI
OG0002169	LOC108013613|XP_016935043.1|DSUZ	LOC119769928|XP_038119722.1|CQUI
OG0002170	LOC108020410|XP_016944195.1|DSUZ	LOC6046470|XP_001863662.2|CQUI
OG0002171	LOC108015777|XP_016937819.1|DSUZ	LOC6046764|XP_038105150.1|CQUI
OG0002172	LOC108011013|XP_016931528.2|DSUZ	LOC6035363|XP_001845574.2|CQUI
OG0002173	LOC108021060|XP_016945056.1|DSUZ	LOC6054518|XP_001870417.2|CQUI
OG0002174	LOC108010882|XP_016931359.2|DSUZ, LOC118877953|XP_036674611.1|DSUZ	LOC6046593|XP_001863767.2|CQUI
OG0002175	LOC108014438|XP_036675600.1|DSUZ, LOC118877954|XP_036674612.1|DSUZ	LOC6046591|XP_001863766.1|CQUI
OG0002176	LOC108014140|XP_016935659.2|DSUZ	LOC6036519|XP_001846564.2|CQUI
OG0002177	LOC108015681|XP_016937687.1|DSUZ	LOC6037521|XP_038104546.1|CQUI, LOC6037519|XP_001847423.1|CQUI
OG0002178	LOC108016153|XP_036675260.1|DSUZ	LOC6035645|XP_038111574.1|CQUI
OG0002179	LOC108011004|XP_036673407.1|DSUZ	LOC6046335|XP_038104078.1|CQUI
OG0002180	LOC118878777|XP_036677668.1|DSUZ, LOC118879222|XP_036678008.1|DSUZ, LOC108016478|XP_036675290.1|DSUZ	LOC6035429|XP_038104069.1|CQUI
OG0002181	LOC108014992|XP_016936703.1|DSUZ	LOC6052079|XP_001868406.1|CQUI
OG0002182	LOC108016364|XP_016938487.2|DSUZ, LOC118876746|XP_036672618.1|DSUZ	LOC119766353|XP_038106772.1|CQUI, LOC6035057|XP_001845294.2|CQUI
OG0002183	LOC108008622|XP_016927992.1|DSUZ	LOC6053695|XP_001869737.2|CQUI
OG0002184	LOC108015940|XP_016938012.2|DSUZ	LOC6039609|XP_001849183.1|CQUI
OG0002185	LOC108006412|XP_036673302.1|DSUZ	LOC6044852|XP_038104985.1|CQUI
OG0002186	LOC108018264|XP_016941272.2|DSUZ, LOC108017043|XP_016939485.2|DSUZ	LOC119765311|XP_038104858.1|CQUI
OG0002187	LOC108012185|XP_036673013.1|DSUZ, LOC108006379|XP_016925391.1|DSUZ	LOC6035552|XP_001845710.1|CQUI
OG0002188	LOC108010100|XP_016930410.1|DSUZ	LOC6035546|XP_038104743.1|CQUI
OG0002189	LOC108007065|XP_016926158.1|DSUZ	LOC6048163|XP_001865121.2|CQUI
OG0002190	LOC108012018|XP_036673217.1|DSUZ	LOC6047848|XP_038106127.1|CQUI
OG0002191	LOC108012839|XP_016933795.1|DSUZ, LOC108012844|XP_016933799.1|DSUZ	LOC6054528|XP_001870428.2|CQUI
OG0002192	LOC108007746|XP_016926990.1|DSUZ	LOC6046955|XP_038113556.1|CQUI
OG0002193	LOC108020569|XP_016944421.1|DSUZ	LOC6032691|XP_038105765.1|CQUI
OG0002194	LOC108019523|XP_036673412.1|DSUZ	LOC6032669|XP_001843234.1|CQUI, LOC6032668|XP_001843233.2|CQUI
OG0002195	LOC108015757|XP_016937783.2|DSUZ	LOC6031632|XP_038116823.1|CQUI
OG0002196	LOC108010922|XP_016931411.2|DSUZ	LOC6039344|XP_001848971.2|CQUI
OG0002197	LOC108013495|XP_016934867.1|DSUZ	LOC6046596|XP_038105222.1|CQUI
OG0002198	LOC108016087|XP_036675064.1|DSUZ	LOC6034957|XP_038105850.1|CQUI
OG0002199	LOC108006084|XP_016925019.2|DSUZ	LOC6033702|XP_001844125.1|CQUI
OG0002200	LOC108019117|XP_016942331.1|DSUZ	LOC6039174|XP_038104559.1|CQUI
OG0002202	LOC108015643|XP_036674261.1|DSUZ, LOC108017439|XP_036672644.1|DSUZ	LOC6046148|XP_038105307.1|CQUI
OG0002203	LOC108010877|XP_036675360.1|DSUZ, LOC118877891|XP_036674207.1|DSUZ	LOC6039079|XP_038105676.1|CQUI
OG0002204	LOC108006617|XP_036673212.1|DSUZ	LOC6049259|XP_038122869.1|CQUI
OG0002206	LOC108005979|XP_036673139.1|DSUZ	LOC6037487|XP_001847397.2|CQUI
OG0002207	LOC108008083|XP_036673542.1|DSUZ	LOC6033007|XP_001843517.1|CQUI
OG0002208	LOC108014756|XP_036673496.1|DSUZ	LOC6033006|XP_001843516.1|CQUI
OG0002209	LOC108015323|XP_016937211.1|DSUZ	LOC6045595|XP_001862936.2|CQUI
OG0002210	LOC108014357|XP_016935933.1|DSUZ	LOC6045597|XP_001862938.1|CQUI
OG0002211	LOC108018303|XP_036674748.1|DSUZ	LOC6045607|XP_001862945.1|CQUI
OG0002212	LOC108014139|XP_036672788.1|DSUZ	LOC6038038|XP_001847883.1|CQUI
OG0002213	LOC108015981|XP_016938057.1|DSUZ	LOC6051153|XP_001867636.1|CQUI
OG0002215	LOC108015608|XP_036674037.1|DSUZ, LOC108014529|XP_036673698.1|DSUZ	LOC6032095|XP_038106196.1|CQUI
OG0002216	LOC108014309|XP_036674153.1|DSUZ	LOC6032662|XP_038106882.1|CQUI
OG0002217	LOC108014619|XP_036674169.1|DSUZ, LOC108014618|XP_036675525.1|DSUZ	LOC6033961|XP_001844349.2|CQUI
OG0002218	LOC108005363|XP_016924103.1|DSUZ	LOC6053396|XP_038104621.1|CQUI
OG0002220	LOC108014916|XP_036674341.1|DSUZ, LOC108014906|XP_036672732.1|DSUZ	LOC6037348|XP_038105656.1|CQUI
OG0002221	LOC108013479|XP_016934851.1|DSUZ	LOC119770567|XP_038121611.1|CQUI, LOC119770566|XP_038121610.1|CQUI
OG0002222	LOC108009535|XP_016929459.1|DSUZ	LOC6032790|XP_001843329.2|CQUI
OG0002224	LOC108017926|XP_016940589.1|DSUZ	LOC119769378|XP_038117360.1|CQUI, LOC6032799|XP_038115284.1|CQUI
OG0002225	LOC108005912|XP_036671642.1|DSUZ	LOC6032897|XP_038117532.1|CQUI
OG0002226	LOC108017794|XP_016940427.1|DSUZ	LOC6042794|XP_001870797.1|CQUI
OG0002227	LOC108008193|XP_036669651.1|DSUZ	LOC6031136|XP_038120789.1|CQUI
OG0002228	LOC108019568|XP_036669913.1|DSUZ	LOC6031157|XP_038120047.1|CQUI
OG0002229	LOC108009266|XP_016928959.1|DSUZ	LOC6031155|XP_001841998.2|CQUI
OG0002230	LOC108019819|XP_016943322.1|DSUZ	LOC6031161|XP_038119537.1|CQUI
OG0002231	LOC108018146|XP_016941099.2|DSUZ	LOC6050941|XP_038119258.1|CQUI, LOC119769702|XP_038119059.1|CQUI
OG0002232	LOC108009591|XP_016929552.1|DSUZ	LOC6040636|XP_001850004.1|CQUI
OG0002233	LOC108011746|XP_036670948.1|DSUZ	LOC6047308|XP_038120904.1|CQUI, LOC6047313|XP_038119049.1|CQUI
OG0002234	LOC108008433|XP_016927771.1|DSUZ	LOC6042094|XP_038109897.1|CQUI, LOC6049788|XP_038119930.1|CQUI, LOC6049787|XP_001866494.1|CQUI
OG0002235	LOC108009391|XP_036669266.1|DSUZ	LOC6040757|XP_038115690.1|CQUI
OG0002236	LOC108010172|XP_016930505.2|DSUZ, LOC108010171|XP_016930503.2|DSUZ	LOC6030997|XP_001841850.1|CQUI
OG0002237	LOC108010099|XP_016930409.1|DSUZ	LOC6047076|XP_001864183.2|CQUI
OG0002238	LOC108018141|XP_016941088.1|DSUZ	LOC6049703|XP_038118161.1|CQUI
OG0002239	LOC108019597|XP_016942928.1|DSUZ	LOC6042825|XP_001870822.1|CQUI
OG0002240	LOC108009427|XP_016929246.1|DSUZ	LOC6041172|XP_038118497.1|CQUI
OG0002241	LOC108012592|XP_016933500.1|DSUZ	LOC6044078|XP_038116059.1|CQUI
OG0002242	LOC108017087|XP_036677787.1|DSUZ	LOC6044966|XP_038114646.1|CQUI
OG0002243	LOC118877707|XP_036673473.1|DSUZ, LOC108018513|XP_036674179.1|DSUZ	LOC6044961|XP_038119719.1|CQUI
OG0002244	LOC108014096|XP_016935604.2|DSUZ	LOC119767375|XP_038111774.1|CQUI, LOC6044948|XP_001862380.2|CQUI
OG0002245	LOC108006862|XP_036670915.1|DSUZ	LOC6045680|XP_038114857.1|CQUI
OG0002246	LOC108018144|XP_016941093.1|DSUZ	LOC6049979|XP_038118799.1|CQUI
OG0002247	LOC108009881|XP_016930076.1|DSUZ	LOC6038803|XP_001848521.2|CQUI
OG0002248	LOC108020054|XP_036671887.1|DSUZ	LOC6047330|XP_038119197.1|CQUI
OG0002249	LOC108012727|XP_016933648.1|DSUZ	LOC6046727|XP_038111587.1|CQUI, LOC6052976|XP_001869143.1|CQUI
OG0002250	LOC108008188|XP_036669598.1|DSUZ	LOC6050221|XP_038121273.1|CQUI
OG0002251	LOC108008500|XP_016927853.1|DSUZ	LOC6049011|XP_038120599.1|CQUI
OG0002252	LOC108010077|XP_016930381.1|DSUZ	LOC6040660|XP_001850021.2|CQUI
OG0002253	LOC108010133|XP_016930450.1|DSUZ	LOC119768700|XP_038115241.1|CQUI
OG0002254	LOC108011530|XP_036673949.1|DSUZ	LOC6052417|XP_038119674.1|CQUI
OG0002255	LOC108015186|XP_016936989.1|DSUZ	LOC6041121|XP_001850425.2|CQUI
OG0002256	LOC108009651|XP_016929654.1|DSUZ	LOC6053962|XP_038117648.1|CQUI
OG0002257	LOC108009456|XP_016929312.1|DSUZ	LOC6036306|XP_038120022.1|CQUI
OG0002260	LOC108005865|XP_016924732.1|DSUZ	LOC6051586|XP_001868005.2|CQUI
OG0002261	LOC108010659|XP_016931046.1|DSUZ	LOC6039430|XP_038119745.1|CQUI
OG0002263	LOC108007488|XP_036671773.1|DSUZ	LOC6037305|XP_001847231.1|CQUI
OG0002264	LOC108009534|XP_016929457.1|DSUZ, LOC118878219|XP_036675944.1|DSUZ, LOC108010423|XP_036675993.1|DSUZ, LOC118878242|XP_036676001.1|DSUZ	LOC6036281|XP_001846347.2|CQUI
OG0002265	LOC108012636|XP_036672098.1|DSUZ	LOC6054106|XP_001870076.2|CQUI
OG0002266	LOC108005557|XP_016924341.1|DSUZ	LOC6040111|XP_038114718.1|CQUI
OG0002267	LOC108013609|XP_016935040.1|DSUZ	LOC6041091|XP_001850398.2|CQUI
OG0002268	LOC108013393|XP_016934733.1|DSUZ	LOC6041087|XP_001850394.2|CQUI
OG0002269	LOC108017699|XP_036669849.1|DSUZ	LOC6044693|XP_038114553.1|CQUI
OG0002270	LOC108009823|XP_016929996.1|DSUZ	LOC6037148|XP_038117201.1|CQUI
OG0002271	LOC108013421|XP_016934773.1|DSUZ	LOC6036553|XP_038118891.1|CQUI
OG0002272	LOC108013526|XP_016934911.1|DSUZ	LOC6035611|XP_001845760.1|CQUI
OG0002273	LOC108011881|XP_036672208.1|DSUZ	LOC6033527|XP_038115340.1|CQUI
OG0002274	LOC108017609|XP_036671388.1|DSUZ, LOC108007761|XP_036678184.1|DSUZ	LOC6048902|XP_038116037.1|CQUI
OG0002275	LOC108013426|XP_016934780.1|DSUZ	LOC6038251|XP_038118213.1|CQUI
OG0002276	LOC108012830|XP_016933779.2|DSUZ	LOC6040614|XP_038116102.1|CQUI
OG0002277	LOC108012817|XP_016933745.1|DSUZ	LOC6035466|XP_038118942.1|CQUI
OG0002278	LOC108012232|XP_036671952.1|DSUZ	LOC6042858|XP_038117047.1|CQUI
OG0002279	LOC108012445|XP_016933304.1|DSUZ	LOC6054516|XP_001870416.2|CQUI
OG0002280	LOC108006686|XP_036671917.1|DSUZ	LOC6041979|XP_038116671.1|CQUI
OG0002281	LOC108006665|XP_036670808.1|DSUZ	LOC6041008|XP_001850323.2|CQUI
OG0002282	LOC108007163|XP_016926270.1|DSUZ	LOC119769211|XP_038117058.1|CQUI, LOC6031311|XP_001842128.2|CQUI
OG0002283	LOC108008759|XP_016928146.1|DSUZ	LOC6035584|XP_038117065.1|CQUI
OG0002284	LOC108019807|XP_016943304.1|DSUZ	LOC6035592|XP_001845743.1|CQUI
OG0002285	LOC108021830|XP_016946124.1|DSUZ	LOC6050360|XP_001866980.2|CQUI
OG0002286	LOC108018049|XP_016940930.2|DSUZ, LOC108010257|XP_016930603.2|DSUZ	LOC6047555|XP_038121299.1|CQUI
OG0002287	LOC108009969|XP_016930220.1|DSUZ	LOC6036821|XP_038115121.1|CQUI
OG0002288	LOC108013055|XP_016934162.1|DSUZ	LOC6036823|XP_038115902.1|CQUI
OG0002289	LOC108012912|XP_016933922.1|DSUZ	LOC6048142|XP_001865105.1|CQUI
OG0002290	LOC108007729|XP_016926968.1|DSUZ	LOC6032490|XP_001843080.1|CQUI
OG0002291	LOC108018041|XP_016940917.1|DSUZ	LOC6033513|XP_038118297.1|CQUI
OG0002292	LOC108018152|XP_016941104.1|DSUZ	LOC6033463|XP_038119085.1|CQUI
OG0002293	LOC108011186|XP_016931766.1|DSUZ	LOC119770382|XP_038121063.1|CQUI
OG0002294	LOC108006488|XP_016925501.2|DSUZ	LOC6053981|XP_001869971.2|CQUI
OG0002295	LOC108018762|XP_016941834.1|DSUZ	LOC6043755|XP_038110402.1|CQUI
OG0002296	LOC108018708|XP_016941773.1|DSUZ	LOC6053408|XP_038107636.1|CQUI
OG0002297	LOC108004908|XP_036674030.1|DSUZ	LOC6047771|XP_038111266.1|CQUI
OG0002298	LOC108008387|XP_016927721.1|DSUZ	LOC6048640|XP_001865531.1|CQUI
OG0002299	LOC108008634|XP_016928004.1|DSUZ	LOC6048634|XP_001865530.1|CQUI
OG0002300	LOC108006324|XP_016925317.1|DSUZ	LOC6041296|XP_038109865.1|CQUI
OG0002301	LOC108021186|XP_016945261.1|DSUZ	LOC6032442|XP_038109104.1|CQUI
OG0002302	LOC108021114|XP_016945149.1|DSUZ	LOC6032494|XP_038107401.1|CQUI
OG0002303	LOC108004661|XP_016923124.1|DSUZ	LOC119770001|XP_038119947.1|CQUI
OG0002304	LOC108021639|XP_016945936.1|DSUZ	LOC6034145|XP_038110271.1|CQUI
OG0002305	LOC108005905|XP_016924796.1|DSUZ	LOC6037882|XP_038108990.1|CQUI
OG0002306	LOC108021405|XP_016945598.1|DSUZ	LOC6048483|XP_038112798.1|CQUI
OG0002307	LOC108020973|XP_016944910.1|DSUZ	LOC6032953|XP_038114107.1|CQUI
OG0002308	LOC108020882|XP_016944770.1|DSUZ	LOC6054586|XP_038108430.1|CQUI
OG0002309	LOC108016498|XP_016938657.1|DSUZ	LOC6031325|XP_001842140.1|CQUI
OG0002310	LOC108007289|XP_016926421.1|DSUZ	LOC6031360|XP_038109101.1|CQUI
OG0002311	LOC108014712|XP_036672957.1|DSUZ	LOC6046331|XP_038108958.1|CQUI
OG0002312	LOC108021538|XP_016945793.1|DSUZ	LOC6046701|XP_038110846.1|CQUI
OG0002314	LOC108019657|XP_016943033.1|DSUZ	LOC6050053|XP_001866720.2|CQUI
OG0002315	LOC108008404|XP_016927737.1|DSUZ	LOC6031936|XP_038109302.1|CQUI, LOC6031768|XP_038109420.1|CQUI
OG0002316	LOC108008930|XP_016928334.1|DSUZ	LOC6037125|XP_001847068.1|CQUI
OG0002317	LOC108013361|XP_016934671.1|DSUZ	LOC6050062|XP_038111373.1|CQUI
OG0002318	LOC108021504|XP_016945746.1|DSUZ	LOC6031952|XP_038108738.1|CQUI
OG0002319	LOC108005771|XP_016924592.1|DSUZ	LOC119767871|XP_038113550.1|CQUI, LOC6039423|XP_038106730.1|CQUI
