Orthogroup	DSUZ.longest_only	CCAP.longest_only
OG0001770	LOC108021310|XP_016945453.1|DSUZ	CCAP1982_LOCUS7906|CAD6999380.1|CCAP
OG0001771	LOC108006627|XP_016925648.1|DSUZ	CCAP1982_LOCUS6984|CAD6998384.1|CCAP
OG0001772	LOC108021425|XP_016945626.1|DSUZ	CCAP1982_LOCUS6455|CAD6997831.1|CCAP
OG0001773	LOC108006782|XP_016925824.1|DSUZ	CCAP1982_LOCUS6278|CAD6997646.1|CCAP
OG0001774	LOC108010061|XP_016930363.1|DSUZ	CCAP1982_LOCUS22837|CAD7014873.1|CCAP
OG0001776	LOC108021103|XP_016945121.1|DSUZ	CCAP1982_LOCUS5458|CAD6996783.1|CCAP
OG0001777	LOC108021606|XP_016945891.1|DSUZ	CCAP1982_LOCUS6724|CAD6998110.1|CCAP
OG0001778	LOC108019864|XP_036669390.1|DSUZ	CCAP1982_LOCUS7663|CAD6999119.1|CCAP
OG0001780	LOC108005093|XP_016923757.1|DSUZ	CCAP1982_LOCUS7237|CAD6998678.1|CCAP, CCAP1982_LOCUS7239|CAD6998680.1|CCAP
OG0001781	LOC108021335|XP_036675125.1|DSUZ	CCAP1982_LOCUS5691|CAD6997033.1|CCAP
OG0001782	LOC108007252|XP_036677252.1|DSUZ	CCAP1982_LOCUS5611|CAD6996941.1|CCAP, CCAP1982_LOCUS5610|CAD6996940.1|CCAP
OG0001783	LOC108019145|XP_016942382.1|DSUZ	CCAP1982_LOCUS9017|CAD7000541.1|CCAP
OG0001784	LOC108019590|XP_016942922.1|DSUZ	CCAP1982_LOCUS7884|CAD6999357.1|CCAP, CCAP1982_LOCUS7882|CAD6999355.1|CCAP
OG0001785	LOC108009072|XP_016928575.1|DSUZ	CCAP1982_LOCUS21527|CAD7013462.1|CCAP
OG0001786	LOC108020984|XP_016944929.1|DSUZ	CCAP1982_LOCUS6869|CAD6998260.1|CCAP
OG0001787	LOC108020904|XP_016944810.1|DSUZ	CCAP1982_LOCUS6865|CAD6998256.1|CCAP, CCAP1982_LOCUS6866|CAD6998257.1|CCAP
OG0001788	LOC108019620|XP_016942990.1|DSUZ	CCAP1982_LOCUS19775|CAD7011691.1|CCAP
OG0001789	LOC108018050|XP_016940931.2|DSUZ, LOC108008254|XP_036669321.1|DSUZ	CCAP1982_LOCUS11954|CAD7003504.1|CCAP
OG0001790	LOC108006522|XP_016925538.1|DSUZ	CCAP1982_LOCUS8064|CAD6999543.1|CCAP, CCAP1982_LOCUS8065|CAD6999544.1|CCAP
OG0001791	LOC108008157|XP_036669663.1|DSUZ	CCAP1982_LOCUS21402|CAD7013334.1|CCAP
OG0001792	LOC108021709|XP_016946032.2|DSUZ	CCAP1982_LOCUS7676|CAD6999133.1|CCAP
OG0001793	LOC108009765|XP_016929881.1|DSUZ	CCAP1982_LOCUS22137|CAD7014132.1|CCAP, CCAP1982_LOCUS22145|CAD7014139.1|CCAP
OG0001794	LOC108019860|XP_016943395.1|DSUZ	CCAP1982_LOCUS6938|CAD6998334.1|CCAP, CCAP1982_LOCUS6939|CAD6998335.1|CCAP, CCAP1982_LOCUS6940|CAD6998336.1|CCAP
OG0001795	LOC108015600|XP_016937582.1|DSUZ	CCAP1982_LOCUS7066|CAD6998469.1|CCAP
OG0001797	LOC108020342|XP_036669948.1|DSUZ	CCAP1982_LOCUS10024|CAD7001527.1|CCAP, CCAP1982_LOCUS10018|CAD7001521.1|CCAP
OG0001798	LOC108008726|XP_016928114.1|DSUZ	CCAP1982_LOCUS20411|CAD7012317.1|CCAP
OG0001800	LOC108021502|XP_016945740.1|DSUZ	CCAP1982_LOCUS8862|CAD7000386.1|CCAP, CCAP1982_LOCUS8190|CAD6999660.1|CCAP, CCAP1982_LOCUS8189|CAD6999659.1|CCAP
OG0001801	LOC108013559|XP_016934963.1|DSUZ	CCAP1982_LOCUS12750|CAD7004331.1|CCAP
OG0001802	LOC108007983|XP_036673002.1|DSUZ	CCAP1982_LOCUS445|CAD6991526.1|CCAP
OG0001803	LOC118877569|XP_036672685.1|DSUZ, LOC108014874|XP_016936579.1|DSUZ	CCAP1982_LOCUS953|CAD6992073.1|CCAP
OG0001804	LOC108016277|XP_016938393.1|DSUZ	CCAP1982_LOCUS4422|CAD6995715.1|CCAP
OG0001805	LOC108013197|XP_016934395.1|DSUZ	CCAP1982_LOCUS10993|CAD7002504.1|CCAP
OG0001806	LOC108011514|XP_016932159.2|DSUZ	CCAP1982_LOCUS359|CAD6991433.1|CCAP
OG0001807	LOC108004928|XP_016923516.1|DSUZ	CCAP1982_LOCUS234|CAD6991305.1|CCAP
OG0001808	LOC118877950|XP_036674587.1|DSUZ, LOC108010615|XP_036673627.1|DSUZ	CCAP1982_LOCUS4980|CAD6996299.1|CCAP
OG0001809	LOC118878031|XP_036675053.1|DSUZ, LOC108014153|XP_036674969.1|DSUZ	CCAP1982_LOCUS4894|CAD6996206.1|CCAP
OG0001811	LOC108019929|XP_036670061.1|DSUZ	CCAP1982_LOCUS7121|CAD6998534.1|CCAP, CCAP1982_LOCUS7122|CAD6998535.1|CCAP
OG0001813	LOC108014173|XP_036672659.1|DSUZ	CCAP1982_LOCUS4477|CAD6995773.1|CCAP
OG0001814	LOC108016093|XP_016938179.2|DSUZ	CCAP1982_LOCUS4359|CAD6995652.1|CCAP
OG0001815	LOC108006734|XP_016925767.1|DSUZ	CCAP1982_LOCUS668|CAD6991760.1|CCAP
OG0001816	LOC108019626|XP_016942997.1|DSUZ	CCAP1982_LOCUS20579|CAD7012495.1|CCAP
OG0001817	LOC108009274|XP_016928978.1|DSUZ	CCAP1982_LOCUS20287|CAD7012186.1|CCAP
OG0001819	LOC108009608|XP_016929583.1|DSUZ	CCAP1982_LOCUS20241|CAD7012144.1|CCAP
OG0001820	LOC108004696|XP_016923196.1|DSUZ	CCAP1982_LOCUS21127|CAD7013045.1|CCAP
OG0001821	LOC108008588|XP_016927956.1|DSUZ	CCAP1982_LOCUS7163|CAD6998585.1|CCAP, CCAP1982_LOCUS7162|CAD6998584.1|CCAP
OG0001822	LOC108008449|XP_016927792.1|DSUZ	CCAP1982_LOCUS7154|CAD6998574.1|CCAP
OG0001823	LOC108013936|XP_016935435.1|DSUZ	CCAP1982_LOCUS13376|CAD7005000.1|CCAP
OG0001824	LOC108021789|XP_016946085.1|DSUZ	CCAP1982_LOCUS7026|CAD6998426.1|CCAP
OG0001825	LOC108009181|XP_036669128.1|DSUZ	CCAP1982_LOCUS20017|CAD7011906.1|CCAP, CCAP1982_LOCUS20011|CAD7011900.1|CCAP, CCAP1982_LOCUS20022|CAD7011911.1|CCAP
OG0001826	LOC108008401|XP_016927735.1|DSUZ	CCAP1982_LOCUS5581|CAD6996908.1|CCAP, CCAP1982_LOCUS21161|CAD7013086.1|CCAP
OG0001827	LOC108009117|XP_016928680.1|DSUZ	CCAP1982_LOCUS20547|CAD7012467.1|CCAP
OG0001829	LOC108008506|XP_016927861.1|DSUZ	CCAP1982_LOCUS19767|CAD7011683.1|CCAP
OG0001830	LOC108008460|XP_016927803.1|DSUZ	CCAP1982_LOCUS20337|CAD7012240.1|CCAP
OG0001831	LOC108018642|XP_036671334.1|DSUZ	CCAP1982_LOCUS14177|CAD7005833.1|CCAP
OG0001832	LOC108021815|XP_016946107.1|DSUZ	CCAP1982_LOCUS21112|CAD7013026.1|CCAP
OG0001833	LOC108017805|XP_016940441.1|DSUZ	CCAP1982_LOCUS21130|CAD7013048.1|CCAP
OG0001834	LOC108007646|XP_016926857.1|DSUZ	CCAP1982_LOCUS1887|CAD6993056.1|CCAP
OG0001838	LOC108019930|XP_016943528.1|DSUZ	CCAP1982_LOCUS22536|CAD7014535.1|CCAP
OG0001839	LOC108020898|XP_016944842.1|DSUZ, LOC108008833|XP_016928229.1|DSUZ	CCAP1982_LOCUS7187|CAD6998612.1|CCAP, CCAP1982_LOCUS7186|CAD6998611.1|CCAP
OG0001849	LOC108017500|XP_016940045.2|DSUZ	CCAP1982_LOCUS3184|CAD6994433.1|CCAP
OG0001850	LOC108020388|XP_016944141.1|DSUZ	CCAP1982_LOCUS9381|CAD7000906.1|CCAP, CCAP1982_LOCUS9382|CAD7000907.1|CCAP
OG0001851	LOC108020391|XP_016944144.1|DSUZ	CCAP1982_LOCUS10374|CAD7001887.1|CCAP, CCAP1982_LOCUS10375|CAD7001888.1|CCAP, CCAP1982_LOCUS10372|CAD7001885.1|CCAP, CCAP1982_LOCUS10370|CAD7001883.1|CCAP
OG0001852	LOC108012801|XP_016933726.1|DSUZ	CCAP1982_LOCUS13290|CAD7004906.1|CCAP
OG0001853	LOC108010888|XP_036675307.1|DSUZ	CCAP1982_LOCUS3612|CAD6994877.1|CCAP, CCAP1982_LOCUS3616|CAD6994881.1|CCAP, CCAP1982_LOCUS3614|CAD6994879.1|CCAP
OG0001855	LOC108008911|XP_016928307.1|DSUZ	CCAP1982_LOCUS20317|CAD7012219.1|CCAP
OG0001860	LOC108007545|XP_036671594.1|DSUZ	CCAP1982_LOCUS13420|CAD7005050.1|CCAP
OG0001861	LOC108005682|XP_016924497.1|DSUZ	CCAP1982_LOCUS2989|CAD6994227.1|CCAP
OG0001864	LOC108015610|XP_016937588.2|DSUZ, LOC108014530|XP_036673692.1|DSUZ	CCAP1982_LOCUS1784|CAD6992951.1|CCAP, CCAP1982_LOCUS1779|CAD6992946.1|CCAP
OG0001866	LOC108018462|XP_036673921.1|DSUZ	CCAP1982_LOCUS2419|CAD6993609.1|CCAP
OG0001867	LOC108004803|XP_036670484.1|DSUZ	CCAP1982_LOCUS12895|CAD7004494.1|CCAP
OG0001868	LOC108021718|XP_016946044.1|DSUZ	CCAP1982_LOCUS7780|CAD6999249.1|CCAP
OG0001869	LOC118877870|XP_036674088.1|DSUZ, LOC108017428|XP_016939946.2|DSUZ	CCAP1982_LOCUS2409|CAD6993599.1|CCAP
OG0001872	LOC108017240|XP_016939726.1|DSUZ	CCAP1982_LOCUS1125|CAD6992255.1|CCAP
OG0001873	LOC118877827|XP_036673890.1|DSUZ, LOC118878781|XP_036677674.1|DSUZ, LOC108011650|XP_016932331.1|DSUZ	CCAP1982_LOCUS3170|CAD6994418.1|CCAP, CCAP1982_LOCUS3173|CAD6994421.1|CCAP
OG0001874	LOC108006605|XP_036673214.1|DSUZ	CCAP1982_LOCUS4109|CAD6995391.1|CCAP
OG0001875	LOC108012167|XP_016932952.2|DSUZ	CCAP1982_LOCUS1759|CAD6992926.1|CCAP
OG0001878	LOC108018300|XP_016941323.1|DSUZ	CCAP1982_LOCUS2349|CAD6993537.1|CCAP
OG0001879	LOC108006626|XP_036673368.1|DSUZ	CCAP1982_LOCUS4169|CAD6995454.1|CCAP
OG0001880	LOC108014144|XP_016935664.1|DSUZ	CCAP1982_LOCUS1363|CAD6992514.1|CCAP
OG0001881	LOC118877567|XP_036672679.1|DSUZ, LOC108016062|XP_036675196.1|DSUZ	CCAP1982_LOCUS2771|CAD6993988.1|CCAP, CCAP1982_LOCUS2767|CAD6993984.1|CCAP, CCAP1982_LOCUS2765|CAD6993982.1|CCAP
OG0001882	LOC108016130|XP_036675262.1|DSUZ	CCAP1982_LOCUS1385|CAD6992536.1|CCAP, CCAP1982_LOCUS1384|CAD6992535.1|CCAP, CCAP1982_LOCUS1383|CAD6992534.1|CCAP
OG0001883	LOC108011026|XP_036674008.1|DSUZ	CCAP1982_LOCUS2229|CAD6993414.1|CCAP
OG0001884	LOC118877794|XP_036673771.1|DSUZ, LOC118878545|XP_036677454.1|DSUZ, LOC108019427|XP_036674074.1|DSUZ	CCAP1982_LOCUS1429|CAD6992581.1|CCAP
OG0001886	LOC108015849|XP_016937906.2|DSUZ	CCAP1982_LOCUS1050|CAD6992176.1|CCAP
OG0001887	LOC108010221|XP_016930554.1|DSUZ	CCAP1982_LOCUS20351|CAD7012255.1|CCAP
OG0001888	LOC118878055|XP_036675131.1|DSUZ	CCAP1982_LOCUS224|CAD6991295.1|CCAP
OG0001890	LOC108005798|XP_016924617.1|DSUZ	CCAP1982_LOCUS2856|CAD6994087.1|CCAP
OG0001891	LOC118877708|XP_036673474.1|DSUZ	CCAP1982_LOCUS2947|CAD6994182.1|CCAP
OG0001891	LOC108018288|XP_036674176.1|DSUZ	CCAP1982_LOCUS2944|CAD6994179.1|CCAP
OG0001893	LOC108020150|XP_016943740.1|DSUZ	CCAP1982_LOCUS1735|CAD6992902.1|CCAP, CCAP1982_LOCUS1738|CAD6992905.1|CCAP
OG0001894	LOC108010228|XP_016930562.1|DSUZ	CCAP1982_LOCUS22715|CAD7014737.1|CCAP
OG0001895	LOC108020392|XP_016944150.1|DSUZ	CCAP1982_LOCUS9931|CAD7001434.1|CCAP
OG0001896	LOC118876784|XP_036677642.1|DSUZ	CCAP1982_LOCUS10482|CAD7001996.1|CCAP
OG0001897	LOC108013927|XP_036674047.1|DSUZ	CCAP1982_LOCUS2463|CAD6993655.1|CCAP
OG0001899	LOC108014436|XP_036672903.1|DSUZ	CCAP1982_LOCUS1209|CAD6992345.1|CCAP
OG0001901	LOC108017378|XP_036668794.1|DSUZ	CCAP1982_LOCUS5757|CAD6997106.1|CCAP, CCAP1982_LOCUS5756|CAD6997104.1|CCAP, CCAP1982_LOCUS5758|CAD6997109.1|CCAP
OG0001903	LOC108011656|XP_016932340.1|DSUZ	CCAP1982_LOCUS2781|CAD6994000.1|CCAP
OG0001904	LOC108017494|XP_016940034.2|DSUZ	CCAP1982_LOCUS2825|CAD6994050.1|CCAP
OG0001906	LOC108018359|XP_036672811.1|DSUZ	CCAP1982_LOCUS1455|CAD6992606.1|CCAP, CCAP1982_LOCUS1453|CAD6992604.1|CCAP, CCAP1982_LOCUS1454|CAD6992605.1|CCAP
OG0001908	LOC108013869|XP_016935361.2|DSUZ	CCAP1982_LOCUS2718|CAD6993930.1|CCAP
OG0001910	LOC108013937|XP_016935436.1|DSUZ	CCAP1982_LOCUS3105|CAD6994350.1|CCAP
OG0001911	LOC108006994|XP_036673727.1|DSUZ	CCAP1982_LOCUS3848|CAD6995126.1|CCAP, CCAP1982_LOCUS3845|CAD6995123.1|CCAP, CCAP1982_LOCUS3839|CAD6995117.1|CCAP, CCAP1982_LOCUS3849|CAD6995127.1|CCAP
OG0001912	LOC108008510|XP_016927866.1|DSUZ	CCAP1982_LOCUS2354|CAD6993542.1|CCAP
OG0001914	LOC108020604|XP_036673392.1|DSUZ	CCAP1982_LOCUS1303|CAD6992445.1|CCAP, CCAP1982_LOCUS1304|CAD6992447.1|CCAP
OG0001915	LOC108013597|XP_016935020.1|DSUZ	CCAP1982_LOCUS11403|CAD7002938.1|CCAP, CCAP1982_LOCUS22437|CAD7014441.1|CCAP, CCAP1982_LOCUS22436|CAD7014440.1|CCAP
OG0001916	LOC108018110|XP_016941025.1|DSUZ	CCAP1982_LOCUS21919|CAD7013905.1|CCAP
OG0001917	LOC108006811|XP_036672328.1|DSUZ	CCAP1982_LOCUS10929|CAD7002439.1|CCAP
OG0001918	LOC108020207|XP_036670773.1|DSUZ	CCAP1982_LOCUS11525|CAD7003062.1|CCAP
OG0001919	LOC108018227|XP_016941235.1|DSUZ	CCAP1982_LOCUS21247|CAD7013176.1|CCAP, CCAP1982_LOCUS21246|CAD7013175.1|CCAP
OG0001920	LOC108013032|XP_036670242.1|DSUZ	CCAP1982_LOCUS12172|CAD7003736.1|CCAP
OG0001921	LOC108019635|XP_016943007.1|DSUZ	CCAP1982_LOCUS14964|CAD7006661.1|CCAP
OG0001922	LOC108008350|XP_016927668.1|DSUZ	CCAP1982_LOCUS7235|CAD6998676.1|CCAP
OG0001924	LOC118878514|XP_036677409.1|DSUZ, LOC108011184|XP_016931763.2|DSUZ	CCAP1982_LOCUS5884|CAD6997251.1|CCAP
OG0001925	LOC108014464|XP_016936075.1|DSUZ	CCAP1982_LOCUS13224|CAD7004835.1|CCAP
OG0001928	LOC108012521|XP_016933422.1|DSUZ	CCAP1982_LOCUS12931|CAD7004534.1|CCAP
OG0001929	LOC108012261|XP_036671924.1|DSUZ	CCAP1982_LOCUS12927|CAD7004530.1|CCAP
OG0001930	LOC108018076|XP_016940966.1|DSUZ	CCAP1982_LOCUS22561|CAD7014562.1|CCAP, CCAP1982_LOCUS22560|CAD7014561.1|CCAP
OG0001931	LOC108020673|XP_016944530.2|DSUZ	CCAP1982_LOCUS14738|CAD7006418.1|CCAP
OG0001932	LOC108014095|XP_036672182.1|DSUZ	CCAP1982_LOCUS14734|CAD7006414.1|CCAP
OG0001933	LOC108009081|XP_016928622.1|DSUZ	CCAP1982_LOCUS20458|CAD7012364.1|CCAP
OG0001934	LOC108013494|XP_016934866.1|DSUZ	CCAP1982_LOCUS11449|CAD7002986.1|CCAP
OG0001935	LOC108007501|XP_016926673.2|DSUZ	CCAP1982_LOCUS14888|CAD7006574.1|CCAP
OG0001937	LOC108017937|XP_016940645.1|DSUZ	CCAP1982_LOCUS21341|CAD7013270.1|CCAP
OG0001938	LOC108009458|XP_016929317.1|DSUZ	CCAP1982_LOCUS21455|CAD7013390.1|CCAP
OG0001940	LOC108009302|XP_016929038.1|DSUZ	CCAP1982_LOCUS21655|CAD7013601.1|CCAP
OG0001941	LOC108012412|XP_036670295.1|DSUZ	CCAP1982_LOCUS11356|CAD7002887.1|CCAP
OG0001942	LOC108018030|XP_016940888.1|DSUZ	CCAP1982_LOCUS21879|CAD7013860.1|CCAP
OG0001943	LOC108007495|XP_016926666.2|DSUZ	CCAP1982_LOCUS14883|CAD7006569.1|CCAP
OG0001944	LOC108013123|XP_016934288.1|DSUZ	CCAP1982_LOCUS11128|CAD7002645.1|CCAP
OG0001945	LOC108009537|XP_036669077.1|DSUZ	CCAP1982_LOCUS22711|CAD7014732.1|CCAP
OG0001946	LOC108018123|XP_016941051.1|DSUZ	CCAP1982_LOCUS21691|CAD7013647.1|CCAP
OG0001947	LOC108008222|XP_016927502.1|DSUZ	CCAP1982_LOCUS21692|CAD7013648.1|CCAP
OG0001948	LOC108010450|XP_016930802.1|DSUZ	CCAP1982_LOCUS13820|CAD7005460.1|CCAP
OG0001949	LOC108013300|XP_036670975.1|DSUZ	CCAP1982_LOCUS13083|CAD7004689.1|CCAP
OG0001950	LOC108016269|XP_036674885.1|DSUZ	CCAP1982_LOCUS4560|CAD6995859.1|CCAP
OG0001951	LOC108009248|XP_016928914.1|DSUZ	CCAP1982_LOCUS23274|CAD7015329.1|CCAP
OG0001952	LOC108011921|XP_036678285.1|DSUZ	CCAP1982_LOCUS23010|CAD7015053.1|CCAP
OG0001953	LOC108009891|XP_016930098.1|DSUZ	CCAP1982_LOCUS22980|CAD7015023.1|CCAP, CCAP1982_LOCUS22978|CAD7015021.1|CCAP
OG0001954	LOC108009281|XP_036669371.1|DSUZ	CCAP1982_LOCUS23202|CAD7015253.1|CCAP
OG0001955	LOC108008289|XP_016927589.1|DSUZ	CCAP1982_LOCUS22670|CAD7014686.1|CCAP
OG0001957	LOC108009131|XP_016928723.1|DSUZ	CCAP1982_LOCUS22307|CAD7014307.1|CCAP
OG0001958	LOC108018040|XP_016940916.1|DSUZ	CCAP1982_LOCUS23338|CAD7015394.1|CCAP, CCAP1982_LOCUS23339|CAD7015395.1|CCAP
OG0001959	LOC108005800|XP_016924619.1|DSUZ	CCAP1982_LOCUS14238|CAD7005898.1|CCAP
OG0001960	LOC108012832|XP_016933786.1|DSUZ	CCAP1982_LOCUS12222|CAD7003786.1|CCAP
OG0001961	LOC108010279|XP_016930635.1|DSUZ	CCAP1982_LOCUS22414|CAD7014418.1|CCAP, CCAP1982_LOCUS22415|CAD7014419.1|CCAP
OG0001962	LOC108010227|XP_016930561.1|DSUZ	CCAP1982_LOCUS22716|CAD7014738.1|CCAP, CCAP1982_LOCUS22717|CAD7014739.1|CCAP
OG0001963	LOC108006680|XP_016925707.2|DSUZ	CCAP1982_LOCUS12183|CAD7003747.1|CCAP
OG0001964	LOC108005903|XP_016924794.2|DSUZ	CCAP1982_LOCUS12354|CAD7003931.1|CCAP
OG0001965	LOC108012295|XP_016933086.2|DSUZ	CCAP1982_LOCUS12704|CAD7004284.1|CCAP
OG0001966	LOC108017350|XP_016939872.2|DSUZ	CCAP1982_LOCUS3040|CAD6994279.1|CCAP
OG0001967	LOC108008516|XP_016927873.1|DSUZ	CCAP1982_LOCUS22780|CAD7014812.1|CCAP
OG0001968	LOC108012480|XP_036671849.1|DSUZ	CCAP1982_LOCUS14972|CAD7006670.1|CCAP
OG0001969	LOC108018128|XP_016941058.1|DSUZ	CCAP1982_LOCUS21687|CAD7013643.1|CCAP
OG0001970	LOC108009960|XP_016930209.1|DSUZ	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001971	LOC108017902|XP_016940561.1|DSUZ	CCAP1982_LOCUS8403|CAD6999893.1|CCAP
OG0001972	LOC108017702|XP_016940300.1|DSUZ	CCAP1982_LOCUS23021|CAD7015065.1|CCAP
OG0001973	LOC108008207|XP_036669179.1|DSUZ	CCAP1982_LOCUS22029|CAD7014023.1|CCAP
OG0001974	LOC108009325|XP_016929084.1|DSUZ	CCAP1982_LOCUS23362|CAD7015420.1|CCAP, CCAP1982_LOCUS23363|CAD7015421.1|CCAP
OG0001975	LOC108012728|XP_016933649.1|DSUZ	CCAP1982_LOCUS11501|CAD7003038.1|CCAP
OG0001976	LOC108008092|XP_016927370.2|DSUZ	CCAP1982_LOCUS22353|CAD7014356.1|CCAP
OG0001977	LOC108015108|XP_036678553.1|DSUZ	CCAP1982_LOCUS10531|CAD7002043.1|CCAP, CCAP1982_LOCUS5765|CAD6997116.1|CCAP, CCAP1982_LOCUS10528|CAD7002040.1|CCAP
OG0001978	LOC108021800|XP_016946095.1|DSUZ	CCAP1982_LOCUS7617|CAD6999071.1|CCAP
OG0001979	LOC108019065|XP_016942195.1|DSUZ	CCAP1982_LOCUS8860|CAD7000384.1|CCAP
OG0001980	LOC108004975|XP_016923579.1|DSUZ	CCAP1982_LOCUS6688|CAD6998074.1|CCAP, CCAP1982_LOCUS6687|CAD6998073.1|CCAP
OG0001981	LOC108021532|XP_016945783.1|DSUZ	CCAP1982_LOCUS7875|CAD6999348.1|CCAP
OG0001982	LOC108020456|XP_036677972.1|DSUZ, LOC118879091|XP_036677968.1|DSUZ, LOC118879092|XP_036677969.1|DSUZ, LOC108012064|XP_016932832.2|DSUZ	CCAP1982_LOCUS5569|CAD6996896.1|CCAP
OG0001983	LOC108018563|XP_036678222.1|DSUZ	CCAP1982_LOCUS3020|CAD6994259.1|CCAP
OG0001984	LOC118878448|XP_036677331.1|DSUZ, LOC118878456|XP_036677343.1|DSUZ, LOC118878454|XP_036677340.1|DSUZ, LOC108011880|XP_036677330.1|DSUZ, LOC118878440|XP_036677318.1|DSUZ	CCAP1982_LOCUS9240|CAD7000765.1|CCAP
OG0001985	LOC108015201|XP_016937019.1|DSUZ	CCAP1982_LOCUS5651|CAD6996989.1|CCAP
OG0001986	LOC108010656|XP_016931047.2|DSUZ	CCAP1982_LOCUS6409|CAD6997784.1|CCAP
OG0001988	LOC108009254|XP_036669689.1|DSUZ	CCAP1982_LOCUS22258|CAD7014255.1|CCAP
OG0001989	LOC108021350|XP_016945522.1|DSUZ	CCAP1982_LOCUS6085|CAD6997439.1|CCAP, CCAP1982_LOCUS20246|CAD7012149.1|CCAP
OG0001990	LOC108007623|XP_036669657.1|DSUZ	CCAP1982_LOCUS6088|CAD6997442.1|CCAP
OG0001991	LOC118878731|XP_036677644.1|DSUZ	CCAP1982_LOCUS5894|CAD6997261.1|CCAP
OG0001991	LOC108016516|XP_036677643.1|DSUZ	CCAP1982_LOCUS5893|CAD6997260.1|CCAP, CCAP1982_LOCUS5892|CAD6997259.1|CCAP
OG0001992	LOC108019874|XP_036671647.1|DSUZ	CCAP1982_LOCUS7304|CAD6998750.1|CCAP
OG0001993	LOC108021459|XP_016945679.1|DSUZ	CCAP1982_LOCUS6510|CAD6997891.1|CCAP
OG0001994	LOC108007811|XP_036674621.1|DSUZ	CCAP1982_LOCUS4040|CAD6995322.1|CCAP
OG0001995	LOC108021066|XP_016945067.1|DSUZ	CCAP1982_LOCUS7864|CAD6999337.1|CCAP
OG0001996	LOC108021379|XP_036676561.1|DSUZ	CCAP1982_LOCUS6834|CAD6998223.1|CCAP
OG0001997	LOC108009198|XP_016928845.1|DSUZ	CCAP1982_LOCUS22833|CAD7014869.1|CCAP
OG0001998	LOC108009194|XP_016928835.1|DSUZ	CCAP1982_LOCUS22838|CAD7014874.1|CCAP
OG0001999	LOC108009896|XP_016930103.1|DSUZ	CCAP1982_LOCUS23214|CAD7015266.1|CCAP
OG0002000	LOC108008228|XP_016927511.1|DSUZ	CCAP1982_LOCUS8817|CAD7000334.1|CCAP
OG0002001	LOC108016511|XP_016938677.1|DSUZ	CCAP1982_LOCUS8682|CAD7000189.1|CCAP
OG0002003	LOC108018956|XP_016942048.1|DSUZ	CCAP1982_LOCUS9016|CAD7000540.1|CCAP
OG0002004	LOC108021451|XP_016945666.1|DSUZ	CCAP1982_LOCUS7661|CAD6999117.1|CCAP
OG0002005	LOC108021005|XP_016944967.1|DSUZ	CCAP1982_LOCUS9022|CAD7000546.1|CCAP
OG0002006	LOC108017753|XP_016940358.1|DSUZ	CCAP1982_LOCUS8852|CAD7000372.1|CCAP
OG0002007	LOC108021314|XP_016945457.1|DSUZ	CCAP1982_LOCUS5813|CAD6997170.1|CCAP
OG0002008	LOC108020374|XP_016944099.1|DSUZ	CCAP1982_LOCUS10577|CAD7002089.1|CCAP, CCAP1982_LOCUS10575|CAD7002087.1|CCAP, CCAP1982_LOCUS10578|CAD7002090.1|CCAP
OG0002009	LOC108008515|XP_016927872.1|DSUZ	CCAP1982_LOCUS7153|CAD6998573.1|CCAP
OG0002010	LOC108018899|XP_036678591.1|DSUZ	CCAP1982_LOCUS9018|CAD7000542.1|CCAP
OG0002011	LOC108005823|XP_016924649.1|DSUZ	CCAP1982_LOCUS5797|CAD6997153.1|CCAP
OG0002012	LOC108014981|XP_016936694.1|DSUZ	CCAP1982_LOCUS8101|CAD6999576.1|CCAP
OG0002013	LOC108021672|XP_036678665.1|DSUZ	CCAP1982_LOCUS5842|CAD6997203.1|CCAP
OG0002014	LOC108008355|XP_016927675.1|DSUZ	CCAP1982_LOCUS20407|CAD7012313.1|CCAP
OG0002015	LOC108005933|XP_016924836.2|DSUZ	CCAP1982_LOCUS8287|CAD6999764.1|CCAP
OG0002016	LOC108018047|XP_016940926.1|DSUZ	CCAP1982_LOCUS22546|CAD7014545.1|CCAP
OG0002017	LOC108021112|XP_016945147.1|DSUZ	CCAP1982_LOCUS7916|CAD6999390.1|CCAP, CCAP1982_LOCUS7914|CAD6999388.1|CCAP
OG0002018	LOC108019105|XP_016942305.1|DSUZ	CCAP1982_LOCUS5457|CAD6996782.1|CCAP
OG0002019	LOC108018691|XP_016941757.1|DSUZ	CCAP1982_LOCUS7335|CAD6998781.1|CCAP
OG0002020	LOC108005077|XP_016923710.1|DSUZ	CCAP1982_LOCUS5558|CAD6996885.1|CCAP
OG0002021	LOC108009285|XP_016929003.1|DSUZ	CCAP1982_LOCUS22781|CAD7014814.1|CCAP, CCAP1982_LOCUS22783|CAD7014816.1|CCAP
OG0002022	LOC108021030|XP_016945007.1|DSUZ	CCAP1982_LOCUS7961|CAD6999437.1|CCAP
OG0002023	LOC108014135|XP_036673904.1|DSUZ	CCAP1982_LOCUS2755|CAD6993970.1|CCAP
OG0002024	LOC108017977|XP_016940795.1|DSUZ	CCAP1982_LOCUS5710|CAD6997056.1|CCAP
OG0002025	LOC108019008|XP_036677716.1|DSUZ	CCAP1982_LOCUS8538|CAD7000034.1|CCAP
