Orthogroup	AEAL.longest_only	DANA.longest_only
OG0001577	LOC115253479|XP_029735167.1|AEAL, LOC109413467|XP_019542687.2|AEAL	LOC6499118|XP_014765909.1|DANA
OG0001578	LOC109400664|XP_019528693.2|AEAL, LOC109399403|XP_019527386.2|AEAL	LOC6494826|XP_001959590.1|DANA
OG0001579	LOC109400727|XP_019528768.2|AEAL, LOC115270004|XP_029734781.1|AEAL, LOC109402729|XP_029710412.1|AEAL	LOC6503171|XP_032311862.1|DANA
OG0001580	LOC115253588|XP_029718179.1|AEAL, LOC109422538|XP_029734653.1|AEAL	LOC6493954|XP_001961256.1|DANA
OG0001581	LOC109416404|XP_029722240.1|AEAL, LOC109407423|XP_029722334.1|AEAL	LOC6501866|XP_001966777.2|DANA
OG0001582	LOC109430913|XP_019562562.2|AEAL, LOC115253853|XP_029721974.1|AEAL	LOC6495297|XP_032306985.1|DANA
OG0001583	LOC115270462|XP_029736054.1|AEAL, LOC115254265|XP_029736053.1|AEAL, LOC109404342|XP_019532732.2|AEAL, LOC109399486|XP_029736051.1|AEAL	LOC6496478|XP_032306337.1|DANA
OG0001584	LOC109424272|XP_019554908.2|AEAL, LOC109428708|XP_029735275.1|AEAL, LOC115270166|XP_029735261.1|AEAL	LOC6507047|XP_001956751.1|DANA
OG0001586	LOC115270291|XP_029735498.1|AEAL, LOC109430628|XP_029735523.1|AEAL, LOC109423770|XP_019554322.2|AEAL	LOC6506430|XP_001957891.1|DANA
OG0001587	LOC109414257|XP_029735555.1|AEAL, LOC109423750|XP_029735576.1|AEAL	LOC6504187|XP_014759180.1|DANA
OG0001588	LOC109398173|XP_029728531.1|AEAL	LOC6496037|XP_001960093.1|DANA
OG0001591	LOC109621324|XP_029728256.1|AEAL	LOC6505544|XP_001964726.2|DANA
OG0001592	LOC115258170|XP_029714081.1|AEAL	LOC6498474|XP_032311126.1|DANA
OG0001593	LOC109622884|XP_019932896.2|AEAL, LOC115258143|XP_029714051.1|AEAL	LOC6498477|XP_032311141.1|DANA
OG0001594	LOC109622862|XP_029713874.1|AEAL, LOC115257965|XP_029713789.1|AEAL, LOC115258452|XP_029714413.1|AEAL	LOC6506596|XP_032311400.1|DANA
OG0001595	LOC109412019|XP_029713367.1|AEAL, LOC115253600|XP_029720691.1|AEAL	LOC6495244|XP_001958771.1|DANA
OG0001596	LOC109401373|XP_019529448.2|AEAL	LOC6497076|XP_001962802.1|DANA
OG0001597	LOC109432887|XP_019564798.1|AEAL, LOC115257139|XP_029712384.1|AEAL, LOC109401424|XP_019529521.1|AEAL	LOC26514552|XP_014760152.1|DANA
OG0001598	LOC109432877|XP_029712246.1|AEAL	LOC6497110|XP_001962734.2|DANA
OG0001599	LOC115256862|XP_029711787.1|AEAL, LOC109401377|XP_029712007.1|AEAL, LOC115256865|XP_029711804.1|AEAL, LOC109432892|XP_029709597.1|AEAL	LOC6497304|XP_001962358.1|DANA
OG0001601	LOC109433084|XP_019565020.1|AEAL	LOC6497326|XP_001962314.1|DANA
OG0001602	LOC109420147|XP_019550010.2|AEAL, LOC115261802|XP_029719550.1|AEAL	LOC6504685|XP_001964873.2|DANA
OG0001603	LOC109414044|XP_019543328.2|AEAL, LOC109414021|XP_019543299.2|AEAL	LOC6504577|XP_001964898.1|DANA
OG0001604	LOC109425135|XP_019555911.1|AEAL	LOC6502295|XP_001966186.1|DANA
OG0001605	LOC109425134|XP_019555908.2|AEAL	LOC6495424|XP_001958820.1|DANA
OG0001606	LOC109429377|XP_019560821.1|AEAL	LOC26513661|XP_014760195.1|DANA
OG0001607	LOC109419105|XP_019548872.1|AEAL, LOC109409321|XP_029714954.1|AEAL, LOC115258719|XP_029714931.1|AEAL	LOC6506973|XP_001965288.1|DANA
OG0001608	LOC109419520|XP_019549278.2|AEAL, LOC109409303|XP_029718146.1|AEAL, LOC115258927|XP_029715300.1|AEAL	LOC6498291|XP_001962472.1|DANA
OG0001609	LOC109398729|XP_029714920.1|AEAL, LOC109398673|XP_029714929.1|AEAL, LOC109404922|XP_029725170.1|AEAL	LOC6495874|XP_032306256.1|DANA
OG0001610	LOC115258726|XP_029714948.1|AEAL, LOC109407249|XP_019535801.2|AEAL, LOC109414319|XP_029714568.1|AEAL	LOC6498267|XP_001962428.2|DANA
OG0001611	LOC115258142|XP_029714046.1|AEAL, LOC109420908|XP_019550933.1|AEAL, LOC115257979|XP_029713809.1|AEAL, LOC109412694|XP_029714041.1|AEAL	LOC6498168|XP_001962222.1|DANA
OG0001612	LOC109428206|XP_019559821.2|AEAL, LOC109417730|XP_029709162.1|AEAL	LOC6497451|XP_001962047.1|DANA
OG0001613	LOC109417765|XP_019547453.1|AEAL, LOC109420005|XP_019549839.2|AEAL	LOC6498593|XP_001963125.1|DANA
OG0001614	LOC115255480|XP_029709465.1|AEAL, LOC115255482|XP_029709468.1|AEAL, LOC109419396|XP_029709464.1|AEAL, LOC115255255|XP_029709061.1|AEAL, LOC109419402|XP_029709066.1|AEAL, LOC115255253|XP_029709059.1|AEAL	LOC6495570|XP_001959117.3|DANA
OG0001615	LOC109420624|XP_019550528.2|AEAL	LOC6506678|XP_001957432.1|DANA, LOC26514811|XP_014759555.1|DANA
OG0001616	LOC109423882|XP_029727241.1|AEAL, LOC109404803|XP_029727277.1|AEAL	LOC6497235|XP_001962507.1|DANA
OG0001617	LOC109421516|XP_019551572.2|AEAL	LOC6498282|XP_001962457.1|DANA
OG0001618	LOC109421337|XP_029726923.1|AEAL, LOC109432435|XP_029727064.1|AEAL, LOC115261817|XP_029719569.1|AEAL, LOC109405709|XP_029719580.1|AEAL	LOC6496935|XP_001963099.1|DANA
OG0001619	LOC115264711|XP_029724582.1|AEAL, LOC109621384|XP_029732568.1|AEAL, LOC115268607|XP_029732592.1|AEAL	LOC6504772|XP_001964844.1|DANA
OG0001620	LOC109402269|XP_019530468.1|AEAL	LOC6495309|XP_001958654.1|DANA
OG0001621	LOC109415860|XP_019545354.2|AEAL	LOC6494150|XP_001960863.1|DANA
OG0001622	LOC109416800|XP_029720044.1|AEAL, LOC109419134|XP_029722942.1|AEAL, LOC115263283|XP_029722278.1|AEAL	LOC6501956|XP_001966760.2|DANA
OG0001623	LOC109429702|XP_029720029.1|AEAL, LOC109407011|XP_019535571.2|AEAL	LOC6499958|XP_001953558.1|DANA, LOC6503360|XP_001965363.1|DANA
OG0001624	LOC109408550|XP_019537419.2|AEAL, LOC109429595|XP_019561130.2|AEAL	LOC6498510|XP_001962971.1|DANA
OG0001625	LOC109408551|XP_019537420.2|AEAL, LOC109429586|XP_019561119.2|AEAL	LOC6497247|XP_001962483.1|DANA
OG0001626	LOC109428105|XP_019559338.1|AEAL, LOC109418325|XP_029720111.1|AEAL	LOC6498143|XP_001962166.1|DANA
OG0001627	LOC109411342|XP_019540417.2|AEAL, LOC109415390|XP_019544798.2|AEAL, LOC109418337|XP_019548070.2|AEAL, LOC109427307|XP_029721198.1|AEAL	LOC6494295|XP_001965942.1|DANA
OG0001628	LOC109427034|XP_019558124.2|AEAL, LOC109411383|XP_029726981.1|AEAL	LOC6503422|XP_032312133.1|DANA
OG0001630	LOC109405034|XP_029734032.1|AEAL, LOC109405037|XP_029734327.1|AEAL, LOC109622043|XP_029712020.1|AEAL	LOC6501653|XP_001955689.1|DANA
OG0001631	LOC109416443|XP_029734365.1|AEAL, LOC109621281|XP_029734362.1|AEAL	LOC6499456|XP_001954602.2|DANA
OG0001632	LOC109422711|XP_019553122.1|AEAL, LOC109412318|XP_029727895.1|AEAL	LOC6498046|XP_001961962.1|DANA
OG0001633	LOC115271096|XP_029736444.1|AEAL, LOC109422628|XP_029725209.1|AEAL, LOC109402823|XP_019531094.1|AEAL	LOC6499432|XP_001954650.3|DANA
OG0001635	LOC109429217|XP_029716819.1|AEAL, LOC115261363|XP_029718747.1|AEAL, LOC109429221|XP_029719377.1|AEAL	LOC6501004|XP_001954345.3|DANA
OG0001636	LOC109398901|XP_019526899.2|AEAL, LOC109429212|XP_029718656.1|AEAL	LOC6500436|XP_001953213.2|DANA
OG0001637	LOC115258189|XP_029714117.1|AEAL, LOC109426630|XP_019557707.2|AEAL, LOC115258187|XP_029714113.1|AEAL, LOC109426656|XP_029718993.1|AEAL	LOC6499995|XP_001953465.1|DANA
OG0001638	LOC109411634|XP_019540740.2|AEAL	LOC6504871|XP_001966495.1|DANA
OG0001639	LOC109404490|XP_029719136.1|AEAL, LOC109406321|XP_029719042.1|AEAL	LOC6496664|XP_001961358.1|DANA
OG0001640	LOC109419435|XP_019549229.1|AEAL, LOC109403478|XP_019531851.1|AEAL	LOC6500430|XP_032305904.1|DANA, LOC6496447|XP_001967710.1|DANA, LOC6504368|XP_001967722.1|DANA
OG0001641	LOC109426306|XP_019557308.2|AEAL, LOC109411963|XP_019541167.1|AEAL	LOC6505813|XP_001964417.1|DANA
OG0001642	LOC109424536|XP_029733403.1|AEAL, LOC115269399|XP_029733935.1|AEAL, LOC115255853|XP_029709901.1|AEAL, LOC115255851|XP_029709900.1|AEAL	LOC6503988|XP_001963964.1|DANA
OG0001643	LOC109418776|XP_029715744.1|AEAL, LOC115259341|XP_029715733.1|AEAL, LOC109415836|XP_029713232.1|AEAL, LOC115259353|XP_029715752.1|AEAL	LOC6505478|XP_001964935.2|DANA
OG0001644	LOC109418709|XP_019548494.2|AEAL	LOC6493282|XP_032309933.1|DANA
OG0001645	LOC115257624|XP_029713305.1|AEAL, LOC109413080|XP_029713148.1|AEAL	LOC6494457|XP_001960286.1|DANA
OG0001646	LOC109413573|XP_029720859.1|AEAL, LOC109401280|XP_029721578.1|AEAL	LOC6496264|XP_001960571.1|DANA
OG0001647	LOC109401223|XP_029721390.1|AEAL, LOC115262726|XP_029721280.1|AEAL, LOC109413596|XP_029720595.1|AEAL	LOC6492917|XP_032306645.1|DANA
OG0001648	LOC115262670|XP_029721133.1|AEAL, LOC109427045|XP_029717126.1|AEAL, LOC115262680|XP_029721145.1|AEAL, LOC109623356|XP_029721134.1|AEAL	LOC6507824|XP_032309986.1|DANA
OG0001649	LOC109397413|XP_019525279.2|AEAL, LOC109412767|XP_029721046.1|AEAL	LOC6496329|XP_001960710.1|DANA
OG0001650	LOC109432676|XP_029730723.1|AEAL, LOC109408777|XP_029730726.1|AEAL	LOC6496084|XP_001960186.1|DANA
OG0001651	LOC109408787|XP_029730840.1|AEAL, LOC109428969|XP_029730823.1|AEAL, LOC109428971|XP_029731974.1|AEAL, LOC109408718|XP_029730821.1|AEAL	LOC6494196|XP_032307121.1|DANA
OG0001652	LOC109399621|XP_029731140.1|AEAL	LOC6507857|XP_001956479.2|DANA
OG0001653	LOC109399660|XP_029708106.1|AEAL, LOC115255827|XP_029709875.1|AEAL, LOC109400976|XP_029731220.1|AEAL	LOC6507276|XP_001956344.1|DANA
OG0001654	LOC109403945|NP_001339903.1|AEAL	LOC6496088|XP_032306511.1|DANA
OG0001655	LOC109410731|XP_029731604.1|AEAL, LOC115269255|XP_029733667.1|AEAL	LOC6495328|XP_001958621.2|DANA, LOC6495330|XP_032306760.1|DANA
OG0001656	LOC109621465|XP_019931052.2|AEAL	LOC6497800|XP_032307587.1|DANA
OG0001657	LOC109426045|XP_019557030.2|AEAL	LOC6493598|XP_001958070.1|DANA
OG0001658	LOC109426019|XP_019556991.2|AEAL, LOC115268031|XP_029731791.1|AEAL	LOC6507141|XP_001956600.3|DANA
OG0001659	LOC109407562|XP_019536180.2|AEAL	LOC6493836|XP_014764569.1|DANA
OG0001660	LOC109431466|XP_029717923.1|AEAL, LOC109427676|XP_029717854.1|AEAL, LOC115258122|XP_029714022.1|AEAL, LOC115269338|XP_029733852.1|AEAL	LOC6506661|XP_001957458.2|DANA
OG0001661	LOC109414514|XP_029728551.1|AEAL, LOC109404880|XP_019533381.2|AEAL	LOC6499873|XP_001953730.1|DANA
OG0001662	LOC109417990|XP_019547687.2|AEAL, LOC115268496|XP_029732380.1|AEAL	LOC6507332|XP_001956228.1|DANA
OG0001678	LOC109408922|XP_029711596.1|AEAL, LOC115260205|XP_029716994.1|AEAL, LOC109433615|XP_029711083.1|AEAL, LOC115260185|XP_029716963.1|AEAL, LOC115260194|XP_029716969.1|AEAL	LOC6505269|XP_032308009.1|DANA
OG0001679	LOC109415212|XP_019544646.2|AEAL, LOC109415214|XP_019544647.2|AEAL, LOC109428378|XP_019559646.2|AEAL, LOC109428377|XP_029710925.1|AEAL	LOC6504757|XP_001966297.1|DANA
OG0001680	LOC115260966|XP_029718195.1|AEAL, LOC109428517|XP_019559858.1|AEAL, LOC109430094|XP_019561673.2|AEAL	LOC6503808|XP_001963703.1|DANA
OG0001681	LOC109416811|XP_019546423.2|AEAL, LOC109415352|XP_029729162.1|AEAL, LOC109423618|XP_019554140.2|AEAL	LOC6505081|XP_001965506.1|DANA
OG0001682	LOC115256469|XP_029710974.1|AEAL	LOC6502280|XP_001966157.2|DANA
OG0001683	LOC109416114|XP_019545626.2|AEAL, LOC109621808|XP_019931510.1|AEAL	LOC6498039|XP_032307371.1|DANA
OG0001684	LOC115256343|XP_029710528.1|AEAL, LOC109427539|XP_019558649.2|AEAL, LOC115256960|XP_029712031.1|AEAL, LOC115256954|XP_029712019.1|AEAL	LOC6505487|XP_032311787.1|DANA
OG0001685	LOC109428224|XP_019559478.2|AEAL, LOC109430130|XP_019561706.2|AEAL	LOC6497400|XP_001962161.2|DANA
OG0001686	LOC109427429|XP_019558530.2|AEAL	LOC6501979|XP_001966808.1|DANA
OG0001687	LOC109427351|XP_019558428.2|AEAL, LOC109402090|XP_029710935.1|AEAL, LOC109427352|XP_029711143.1|AEAL, LOC109402065|XP_019530209.2|AEAL	LOC6504133|XP_032308786.1|DANA
OG0001688	LOC109404901|XP_019533400.2|AEAL, LOC115256592|XP_029711257.1|AEAL	LOC6504750|XP_001966290.1|DANA
OG0001689	LOC115256509|XP_029711047.1|AEAL, LOC109398406|XP_029711250.1|AEAL, LOC109404898|XP_029711253.1|AEAL	LOC6503137|XP_001963502.2|DANA
OG0001690	LOC109433013|XP_019564943.1|AEAL, LOC109397732|XP_019525596.2|AEAL, LOC115258376|XP_029714318.1|AEAL	LOC6493311|XP_001957502.1|DANA
OG0001691	LOC109397684|XP_029734176.1|AEAL, LOC115269517|XP_029734165.1|AEAL, LOC109432956|XP_029734174.1|AEAL	LOC6505485|XP_001964940.1|DANA
OG0001694	LOC109432366|XP_029715793.1|AEAL, LOC109423030|XP_029708364.1|AEAL, LOC109423073|XP_029717735.1|AEAL	LOC6499703|XP_032305813.1|DANA
OG0001695	LOC109427735|XP_019558869.2|AEAL, LOC109431389|XP_019563152.2|AEAL	LOC6494837|XP_001959572.1|DANA
OG0001696	LOC115266521|XP_029728639.1|AEAL, LOC109405943|XP_029729111.1|AEAL	LOC6500238|XP_001952961.2|DANA
OG0001697	LOC115269276|XP_029733709.1|AEAL, LOC109430914|XP_019562567.1|AEAL	LOC6499896|XP_001953679.1|DANA
OG0001698	LOC109431484|XP_019563244.1|AEAL	LOC6503154|XP_032308896.1|DANA
OG0001699	LOC109405285|XP_029714225.1|AEAL	LOC6500304|XP_032305501.1|DANA
OG0001700	LOC109405057|XP_029713376.1|AEAL, LOC109622062|XP_029734346.1|AEAL	LOC6500621|XP_001953586.1|DANA
OG0001701	LOC115256222|XP_029710343.1|AEAL, LOC109422162|XP_029707971.1|AEAL, LOC115257156|XP_029712414.1|AEAL	LOC6501409|XP_001955187.2|DANA
OG0001702	LOC115258622|XP_029714776.1|AEAL, LOC109419095|XP_019548853.1|AEAL, LOC109409381|XP_019538372.1|AEAL, LOC115266950|XP_029729536.1|AEAL	LOC6496973|XP_001963019.2|DANA
OG0001703	LOC109397269|XP_019525134.2|AEAL, LOC109423222|XP_029722761.1|AEAL, LOC115263676|XP_029722744.1|AEAL	LOC6501053|XP_032312290.1|DANA
OG0001704	LOC109397270|XP_029722762.1|AEAL, LOC115263675|XP_029722743.1|AEAL, LOC109423223|XP_029722754.1|AEAL	LOC6499514|XP_001954465.1|DANA
OG0001705	LOC115268587|XP_029732560.1|AEAL, LOC109397249|XP_029722771.1|AEAL	LOC6499119|XP_014765916.1|DANA
OG0001706	LOC109430200|XP_029736167.1|AEAL, LOC109423515|XP_029722781.1|AEAL	LOC6505386|XP_032309122.1|DANA
OG0001707	LOC109423500|XP_029722789.1|AEAL	LOC6503341|XP_001967767.3|DANA, LOC6500798|XP_014766728.2|DANA
OG0001708	LOC109400120|XP_019528151.2|AEAL, LOC115254318|XP_029707583.1|AEAL, LOC109621597|XP_019931224.2|AEAL	LOC6500925|XP_001954179.1|DANA
OG0001709	LOC109621622|XP_019931256.2|AEAL, LOC109400053|XP_019528069.3|AEAL	LOC6507689|XP_001956152.1|DANA
OG0001710	LOC115255392|XP_029709314.1|AEAL, LOC109622162|XP_029709306.1|AEAL, LOC115257514|XP_029713051.1|AEAL, LOC109429524|XP_019561038.1|AEAL	LOC6500829|XP_001953997.1|DANA
OG0001711	LOC115269840|XP_029734479.1|AEAL, LOC109400404|XP_029725412.1|AEAL, LOC115270135|XP_029735090.1|AEAL	LOC6501221|XP_014766950.2|DANA
OG0001712	LOC109399841|XP_029729691.1|AEAL, LOC115267037|XP_029729684.1|AEAL, LOC109425352|XP_029729696.1|AEAL	LOC6499820|XP_014766242.1|DANA
OG0001713	LOC109398975|XP_029716513.1|AEAL, LOC109425537|XP_029716528.1|AEAL	LOC6499648|XP_001954218.1|DANA
OG0001714	LOC115259817|XP_029716486.1|AEAL, LOC115259774|XP_029716427.1|AEAL, LOC109399005|XP_029716112.1|AEAL, LOC109622982|XP_029722653.1|AEAL, LOC115259816|XP_029716485.1|AEAL	LOC6498867|XP_032312244.1|DANA
OG0001715	LOC109401381|XP_019529468.2|AEAL, LOC109400886|XP_019528918.2|AEAL, LOC109429312|XP_019560762.2|AEAL	LOC6504242|XP_032308229.1|DANA
OG0001716	LOC109623097|XP_019933124.2|AEAL	LOC6503990|XP_001963969.1|DANA
OG0001717	LOC109423638|XP_029719505.1|AEAL, LOC115264143|XP_029723384.1|AEAL, LOC109398571|XP_029723371.1|AEAL, LOC115264300|XP_029723832.1|AEAL	LOC6501579|XP_001955512.2|DANA
OG0001718	LOC109400223|XP_029723302.1|AEAL, LOC109423620|XP_029723313.1|AEAL	LOC6499790|XP_014766227.1|DANA
OG0001719	LOC115268554|XP_029732505.1|AEAL, LOC109403844|XP_029712297.1|AEAL, LOC115253705|XP_029732506.1|AEAL, LOC109406185|XP_029723614.1|AEAL	LOC6500791|XP_032305417.1|DANA
OG0001720	LOC109403863|XP_029723621.1|AEAL	LOC6499875|XP_032309630.1|DANA
OG0001721	LOC109432040|XP_019563886.2|AEAL, LOC109403994|XP_019532403.2|AEAL	LOC6501111|XP_032312302.1|DANA
OG0001722	LOC109411467|XP_019540538.2|AEAL	LOC6493529|XP_032309595.1|DANA
OG0001723	LOC109423371|XP_019553902.2|AEAL	LOC6496679|XP_001961382.1|DANA
OG0001724	LOC109423344|XP_019553835.2|AEAL	LOC6494953|XP_001959335.1|DANA
OG0001725	LOC109423326|XP_019553810.2|AEAL	LOC6494878|XP_014763044.1|DANA
OG0001726	LOC115263509|XP_029722609.1|AEAL, LOC109623123|XP_019933165.2|AEAL, LOC115259617|XP_029716230.1|AEAL	LOC6506922|XP_001956991.1|DANA
OG0001727	LOC109418030|XP_029726633.1|AEAL, LOC109414815|XP_029711984.1|AEAL	LOC6501624|XP_001955631.1|DANA
OG0001728	LOC109418082|XP_019547801.2|AEAL	LOC6494665|XP_001959908.1|DANA
OG0001729	LOC109406436|XP_019535077.2|AEAL	LOC6494377|XP_032307165.1|DANA
OG0001730	LOC109398257|XP_029709830.1|AEAL, LOC109419706|XP_029733514.1|AEAL	LOC6504231|XP_001965118.1|DANA
OG0001732	LOC115265142|XP_029725250.1|AEAL, LOC115260848|XP_029718029.1|AEAL	LOC6498209|XP_001962305.1|DANA
OG0001733	LOC109406414|XP_019535051.2|AEAL, LOC109417272|XP_019546928.2|AEAL, LOC109406420|XP_019535057.2|AEAL, LOC109417267|XP_019546925.1|AEAL	LOC6494966|XP_001959314.1|DANA
OG0001734	LOC109417266|XP_019546923.2|AEAL, LOC109406424|XP_029725718.1|AEAL	LOC6495080|XP_001959106.1|DANA
OG0001735	LOC109426951|XP_029729883.1|AEAL	LOC6506825|XP_001957165.1|DANA
OG0001736	LOC109417854|XP_029727478.1|AEAL, LOC109426815|XP_029725428.1|AEAL	LOC26514654|XP_032311617.1|DANA
OG0001737	LOC109417983|XP_029732525.1|AEAL	LOC6494690|XP_014762916.1|DANA
OG0001738	LOC109413863|XP_019543137.2|AEAL, LOC109407926|XP_019536665.2|AEAL	LOC6506954|XP_001956928.1|DANA
OG0001739	LOC115270141|XP_029735105.1|AEAL, LOC109407969|XP_019536717.1|AEAL	LOC26515254|XP_014764110.1|DANA
OG0001740	LOC109407984|XP_019536737.2|AEAL, LOC109403641|XP_029735149.1|AEAL	LOC6494717|XP_001959802.1|DANA
OG0001742	LOC109408011|XP_019536770.2|AEAL, LOC115270157|XP_029735218.1|AEAL	LOC6494010|XP_001961152.1|DANA
OG0001743	LOC109408012|XP_029735215.1|AEAL, LOC115270145|XP_029735139.1|AEAL	LOC6507462|XP_001955965.2|DANA
OG0001744	LOC109403225|XP_019531539.2|AEAL	LOC6496628|XP_001961293.3|DANA
OG0001745	LOC115269982|XP_029734711.1|AEAL, LOC115269628|XP_029734317.1|AEAL, LOC109415821|XP_029725134.1|AEAL, LOC115269663|XP_029734359.1|AEAL	LOC6494192|XP_032307124.1|DANA
OG0001746	LOC109622618|XP_029722484.1|AEAL, LOC115263321|XP_029722449.1|AEAL	LOC6493473|XP_001957829.1|DANA
OG0001747	LOC115263306|XP_029722406.1|AEAL, LOC115263315|XP_029722426.1|AEAL, LOC115263307|XP_029722415.1|AEAL, LOC109406167|XP_029722390.1|AEAL	LOC6494542|XP_032306055.1|DANA
OG0001748	LOC115263139|XP_029721924.1|AEAL, LOC109416559|XP_029722287.1|AEAL, LOC109407443|XP_029721914.1|AEAL	LOC6493017|XP_001956861.3|DANA
OG0001749	LOC115267516|XP_029730466.1|AEAL, LOC115259278|XP_029715669.1|AEAL, LOC109430859|XP_019562497.1|AEAL, LOC115254031|XP_029715655.1|AEAL	LOC6494105|XP_001960967.1|DANA
OG0001750	LOC109431670|XP_029714127.1|AEAL, LOC109430934|XP_029715653.1|AEAL, LOC115267494|XP_029730374.1|AEAL, LOC115261705|XP_029719449.1|AEAL	LOC6496470|XP_001960966.1|DANA
OG0001751	LOC109398021|XP_029719547.1|AEAL, LOC109431649|XP_029730426.1|AEAL, LOC115253837|XP_029730354.1|AEAL	LOC6506946|XP_001956937.1|DANA
OG0001752	LOC115259196|XP_029715568.1|AEAL, LOC109426412|XP_029730583.1|AEAL, LOC115267605|XP_029730587.1|AEAL	LOC6506639|XP_032309861.1|DANA
OG0001753	LOC109398064|XP_019525972.2|AEAL, LOC109426354|XP_019557363.2|AEAL, LOC109426344|XP_019557351.2|AEAL, LOC115259177|XP_029715548.1|AEAL	LOC6506846|XP_014764919.1|DANA
OG0001754	LOC109420811|XP_019550803.2|AEAL, LOC109412508|XP_029713847.1|AEAL, LOC115253592|XP_029735878.1|AEAL	LOC6494332|XP_001960519.1|DANA
OG0001755	LOC115266750|XP_029729153.1|AEAL, LOC109412528|XP_029735891.1|AEAL	LOC6493134|XP_032310211.1|DANA
OG0001756	LOC115266752|XP_029729169.1|AEAL, LOC109412544|XP_019541723.1|AEAL	LOC6494154|XP_014762650.1|DANA
OG0001757	LOC115270222|XP_029735342.1|AEAL, LOC109430681|XP_019562305.1|AEAL, LOC115270241|XP_029735368.1|AEAL, LOC115270217|XP_029735336.1|AEAL	LOC6495612|XP_001959203.1|DANA
OG0001758	LOC115270253|XP_029735380.1|AEAL, LOC109430620|XP_029735375.1|AEAL, LOC109423842|XP_029735350.1|AEAL	LOC6493831|XP_001958523.1|DANA
OG0001759	LOC109430608|XP_019562217.1|AEAL, LOC115270273|XP_029735411.1|AEAL, LOC109423798|XP_019554375.1|AEAL, LOC115270266|XP_029735396.1|AEAL	LOC6495962|XP_001959939.3|DANA
OG0001760	LOC109414249|XP_019543608.2|AEAL, LOC115269758|XP_029734442.1|AEAL	LOC6496564|XP_001961160.2|DANA
OG0001761	LOC109423726|XP_019554260.1|AEAL	LOC6495654|XP_001959312.2|DANA
OG0001762	LOC109418268|XP_029720593.1|AEAL, LOC109428047|XP_029720530.1|AEAL	LOC6497766|XP_001961402.2|DANA
OG0001763	LOC109411550|XP_019540631.1|AEAL	LOC6497299|XP_001962369.2|DANA
OG0001764	LOC109622266|XP_019932082.1|AEAL, LOC115253494|XP_029728278.1|AEAL, LOC109414458|XP_019543834.1|AEAL	LOC6501276|XP_001954901.1|DANA
OG0001765	LOC109621325|XP_029728293.1|AEAL, LOC115266290|XP_029728123.1|AEAL, LOC109414440|XP_029728122.1|AEAL, LOC115266301|XP_029728142.1|AEAL	LOC6495320|XP_032307199.1|DANA
OG0001766	LOC115269611|XP_029734294.1|AEAL, LOC109427871|XP_029715586.1|AEAL, LOC109428179|XP_029715335.1|AEAL	LOC6498343|XP_032307395.1|DANA
OG0001767	LOC109622889|XP_029714476.1|AEAL, LOC115258507|XP_029714492.1|AEAL, LOC115258528|XP_029714524.1|AEAL	LOC6503282|XP_032309180.1|DANA
OG0001768	LOC109412010|XP_029720125.1|AEAL, LOC115257759|XP_029713561.1|AEAL, LOC109407908|XP_019536638.1|AEAL, LOC115254092|XP_029720687.1|AEAL	LOC6503349|XP_001965373.1|DANA
OG0001769	LOC109400999|XP_029713222.1|AEAL, LOC109408306|XP_029713744.1|AEAL	LOC6498395|XP_032311253.1|DANA
OG0001770	LOC109433152|XP_029711023.1|AEAL	LOC6498634|XP_001963207.1|DANA
OG0001771	LOC109433086|XP_019565021.2|AEAL, LOC109420252|XP_029710396.1|AEAL	LOC6498052|XP_001961972.1|DANA
OG0001772	LOC109420799|XP_029724985.1|AEAL, LOC109621992|XP_019931749.1|AEAL	LOC6496939|XP_001963091.1|DANA
OG0001774	LOC109429413|XP_029724799.1|AEAL	LOC6494410|XP_001960386.2|DANA
OG0001776	LOC109419091|XP_029714808.1|AEAL, LOC115253815|XP_029725156.1|AEAL, LOC109409366|XP_029729394.1|AEAL	LOC6496997|XP_001962964.2|DANA
OG0001777	LOC109409271|XP_029715220.1|AEAL	LOC6498663|XP_032311087.1|DANA
OG0001778	LOC109429671|XP_029719856.1|AEAL, LOC109406524|XP_029720008.1|AEAL	LOC6497403|XP_001962155.1|DANA
OG0001779	LOC109418248|XP_029714609.1|AEAL	LOC6496967|XP_032311183.1|DANA
OG0001780	LOC115258855|XP_029715146.1|AEAL, LOC115258860|XP_029715153.1|AEAL, LOC115258473|XP_029714449.1|AEAL, LOC109398732|XP_029714927.1|AEAL	LOC6496678|XP_014763914.1|DANA
OG0001781	LOC109414315|XP_029714682.1|AEAL, LOC115258599|XP_029714740.1|AEAL, LOC109407247|XP_029714758.1|AEAL	LOC6497269|XP_014761602.1|DANA
OG0001782	LOC115258569|XP_029714614.1|AEAL, LOC109414353|XP_029715171.1|AEAL, LOC109424187|XP_029712157.1|AEAL, LOC115258463|XP_029714436.1|AEAL	LOC6505936|XP_014760518.1|DANA
OG0001783	LOC115258718|XP_029714930.1|AEAL, LOC109428988|XP_029724683.1|AEAL, LOC109421033|XP_029714987.1|AEAL	LOC6498362|XP_001962623.3|DANA
OG0001784	LOC115253792|XP_029715261.1|AEAL, LOC115258710|XP_029714925.1|AEAL, LOC109410184|XP_029715263.1|AEAL, LOC109416535|XP_019546158.2|AEAL	LOC6496865|XP_001963248.1|DANA
