Orthogroup	AEAL.longest_only	DPSE.longest_only
OG0001886	LOC109621241|XP_019931226.2|AEAL, LOC115254326|XP_029707604.1|AEAL	LOC4800598|XP_001357844.2|DPSE
OG0001887	LOC109621594|XP_029712567.1|AEAL, LOC109400116|XP_029707630.1|AEAL, LOC115254331|XP_029707615.1|AEAL	LOC4804364|XP_001360938.2|DPSE
OG0001888	LOC109621572|XP_029707618.1|AEAL, LOC109400059|XP_029707624.1|AEAL	LOC4802489|XP_001359402.3|DPSE
OG0001889	LOC115254338|XP_029707623.1|AEAL, LOC109621599|XP_019931227.2|AEAL	LOC6897108|XP_002137292.2|DPSE, LOC4814976|XP_001354997.1|DPSE
OG0001890	LOC109400055|XP_029707687.1|AEAL, LOC109621568|XP_019931180.1|AEAL	LOC6901289|XP_002133990.2|DPSE, LOC4813965|XP_001354124.2|DPSE
OG0001891	LOC115263765|XP_029722962.1|AEAL, LOC109408875|XP_029714159.1|AEAL	LOC13036379|XP_015037436.2|DPSE
OG0001892	LOC109415405|XP_029713552.1|AEAL, LOC109430367|XP_029713471.1|AEAL	LOC26532716|XP_033236580.1|DPSE
OG0001893	LOC109425394|XP_019556223.2|AEAL, LOC109403247|XP_019531575.2|AEAL	LOC4801250|XP_001358373.3|DPSE
OG0001894	LOC109425384|XP_019556182.1|AEAL	LOC4804438|XP_001361000.1|DPSE
OG0001895	LOC109425480|XP_029715881.1|AEAL, LOC115259479|XP_029715924.1|AEAL	LOC4811786|XP_015044406.1|DPSE
OG0001896	LOC109417800|XP_019547520.2|AEAL	LOC117184256|XP_033236873.1|DPSE
OG0001897	LOC109400400|XP_029715817.1|AEAL, LOC115259546|XP_029716087.1|AEAL	LOC4801053|XP_015038686.2|DPSE
OG0001898	LOC109412726|XP_029716094.1|AEAL, LOC115259620|XP_029716232.1|AEAL	LOC4816020|XP_001355280.1|DPSE
OG0001899	LOC115259724|XP_029716360.1|AEAL, LOC109425332|XP_029716066.1|AEAL, LOC109419787|XP_029716052.1|AEAL, LOC115259537|XP_029716057.1|AEAL	LOC4801824|XP_015037403.1|DPSE
OG0001900	LOC109399427|XP_019527418.2|AEAL, LOC109401200|XP_029716045.1|AEAL	LOC4811917|XP_001352959.3|DPSE
OG0001901	LOC115259753|XP_029716400.1|AEAL, LOC115259491|XP_029715955.1|AEAL, LOC109433664|XP_029715952.1|AEAL	LOC4816129|XP_033236694.1|DPSE
OG0001902	LOC109623088|XP_029716374.1|AEAL, LOC109408327|XP_029716075.1|AEAL	LOC6899765|XP_033241744.1|DPSE
OG0001903	LOC109416357|XP_029730197.1|AEAL, LOC109430031|XP_029730181.1|AEAL	LOC4802749|XP_001359610.2|DPSE
OG0001904	LOC115267136|XP_029729837.1|AEAL, LOC115254184|XP_029730179.1|AEAL, LOC109416360|XP_029730196.1|AEAL	LOC4801107|XP_001358254.3|DPSE
OG0001905	LOC109430002|XP_019561560.1|AEAL, LOC115254109|XP_029722555.1|AEAL, LOC109416397|XP_019545979.1|AEAL	LOC6896875|XP_002137065.1|DPSE
OG0001906	LOC109415284|XP_029733766.1|AEAL	LOC4801536|XP_015037294.2|DPSE
OG0001907	LOC109402413|XP_029717987.1|AEAL, LOC115260811|XP_029717990.1|AEAL, LOC115253590|XP_029732774.1|AEAL, LOC109405455|XP_029717118.1|AEAL	LOC6901731|XP_002134400.1|DPSE
OG0001908	LOC109402383|XP_019530593.2|AEAL, LOC109405481|XP_019534114.2|AEAL	LOC6902542|XP_002133083.3|DPSE, LOC117183899|XP_033235149.1|DPSE, LOC117183960|XP_033235584.1|DPSE, LOC4800670|XP_001357902.3|DPSE
OG0001909	LOC115264185|XP_029723480.1|AEAL, LOC115264180|XP_029723474.1|AEAL	LOC6901564|XP_002134237.2|DPSE, LOC4814710|XP_033238536.1|DPSE
OG0001910	LOC115264208|XP_029723558.1|AEAL, LOC109424847|XP_019555590.2|AEAL, LOC109424846|XP_019555589.2|AEAL	LOC4800775|XP_001357990.2|DPSE
OG0001911	LOC115264073|XP_029723238.1|AEAL, LOC115264215|XP_029723579.1|AEAL, LOC109404189|XP_029723593.1|AEAL	LOC6896920|XP_033234855.1|DPSE
OG0001913	LOC109398444|XP_029716388.1|AEAL, LOC109412883|XP_019542083.2|AEAL, LOC109406187|XP_029712296.1|AEAL	LOC4816414|XP_033235964.1|DPSE
OG0001914	LOC109403972|XP_029723600.1|AEAL, LOC109432032|XP_029723667.1|AEAL	LOC6897344|XP_033232329.1|DPSE
OG0001915	LOC109401727|XP_019529866.2|AEAL, LOC115265368|XP_029725984.1|AEAL	LOC4813255|XP_033237759.1|DPSE
OG0001916	LOC109406055|XP_019534675.2|AEAL	LOC4804065|XP_033233406.1|DPSE
OG0001917	LOC109621842|XP_019931580.2|AEAL	LOC6899991|XP_033239456.1|DPSE
OG0001918	LOC109621708|XP_019931404.2|AEAL, LOC109410373|XP_019539468.2|AEAL	LOC4813139|XP_001353888.3|DPSE
OG0001919	LOC109622547|XP_019932500.2|AEAL, LOC109622551|XP_019932504.2|AEAL	LOC4804867|XP_001361356.2|DPSE
OG0001920	LOC109409370|XP_029726254.1|AEAL	LOC4812028|XP_001352499.3|DPSE
OG0001921	LOC109409346|XP_019538345.2|AEAL	LOC4804382|XP_001360953.1|DPSE
OG0001922	LOC109423373|XP_029727575.1|AEAL	LOC4805499|XP_001361893.2|DPSE
OG0001924	LOC109418091|XP_029726738.1|AEAL	LOC6899751|XP_002135787.2|DPSE
OG0001925	LOC109418125|XP_019547870.2|AEAL	LOC4814162|XP_001354278.2|DPSE
OG0001926	LOC109418925|XP_029726695.1|AEAL	LOC4813940|XP_033239000.1|DPSE
OG0001927	LOC115255803|XP_029709804.1|AEAL, LOC109418995|XP_019548772.2|AEAL	LOC4803536|XP_001360246.2|DPSE
OG0001928	LOC109419715|XP_019549530.1|AEAL, LOC115255816|XP_029709858.1|AEAL	LOC6897168|XP_002137348.2|DPSE, LOC6900691|XP_033240953.1|DPSE
OG0001929	LOC109419707|XP_029733516.1|AEAL, LOC109398542|XP_029709818.1|AEAL	LOC6900681|XP_033240679.1|DPSE
OG0001930	LOC115269199|XP_029733510.1|AEAL, LOC109398290|XP_029709834.1|AEAL	LOC4804449|XP_001361010.5|DPSE
OG0001932	LOC109420217|XP_029725826.1|AEAL	LOC6900499|XP_033239627.1|DPSE, LOC6901999|XP_002133533.3|DPSE
OG0001933	LOC115260243|XP_029717033.1|AEAL, LOC109420186|XP_019550057.1|AEAL	LOC4803940|XP_001360580.1|DPSE
OG0001934	LOC115256192|XP_029710312.1|AEAL, LOC109397354|XP_029732959.1|AEAL, LOC115265331|XP_029725777.1|AEAL, LOC109420259|XP_019550143.2|AEAL	LOC6900677|XP_002135041.3|DPSE
OG0001935	LOC109402593|XP_029725685.1|AEAL, LOC109416472|XP_019546090.2|AEAL	LOC4812137|XP_001352540.4|DPSE
OG0001937	LOC115265680|XP_029727500.1|AEAL, LOC109426918|XP_029725651.1|AEAL, LOC115265295|XP_029725645.1|AEAL	LOC6898052|XP_002138138.2|DPSE
OG0001938	LOC109406574|XP_029712396.1|AEAL, LOC109427172|XP_029725594.1|AEAL	LOC4804746|XP_001361258.2|DPSE
OG0001939	LOC115265670|XP_029727485.1|AEAL, LOC109426632|XP_019557705.2|AEAL, LOC115267288|XP_029730062.1|AEAL, LOC109426633|XP_019557706.2|AEAL	LOC4805174|XP_001361620.1|DPSE
OG0001940	LOC115262279|XP_029720540.1|AEAL, LOC109417793|XP_019547501.2|AEAL	LOC4803642|XP_033234957.1|DPSE
OG0001941	LOC109417821|XP_019547543.1|AEAL	LOC4812042|XP_033239537.1|DPSE
OG0001942	LOC109409388|XP_019538407.2|AEAL, LOC109426708|XP_029725442.1|AEAL	LOC6898084|XP_002138169.3|DPSE
OG0001943	LOC109426738|XP_019557820.2|AEAL, LOC109417931|XP_019547621.2|AEAL, LOC115258083|XP_029713946.1|AEAL	LOC4812175|XP_001352542.3|DPSE
OG0001944	LOC109407921|XP_029732346.1|AEAL, LOC109412279|XP_029723162.1|AEAL	LOC4812188|XP_001352469.2|DPSE
OG0001945	LOC109403681|XP_029735161.1|AEAL, LOC109407968|XP_029735104.1|AEAL	LOC4805011|XP_033235066.1|DPSE
OG0001946	LOC109407986|XP_029735117.1|AEAL, LOC115258365|XP_029714313.1|AEAL, LOC115270149|XP_029735148.1|AEAL	LOC4804912|XP_001361397.2|DPSE
OG0001947	LOC109403625|XP_029735146.1|AEAL, LOC109408086|XP_019536850.2|AEAL	LOC4805368|XP_001361779.5|DPSE
OG0001948	LOC109404954|XP_019533456.2|AEAL, LOC109400617|XP_019528652.2|AEAL	LOC4814400|XP_001354354.2|DPSE
OG0001949	LOC109399436|XP_029734823.1|AEAL	LOC4813880|XP_033239985.1|DPSE
OG0001950	LOC109400722|XP_029734811.1|AEAL, LOC109402722|XP_029715806.1|AEAL	LOC4802432|XP_033233005.1|DPSE
OG0001951	LOC109415818|XP_029725138.1|AEAL, LOC115253838|XP_029734706.1|AEAL	LOC4803847|XP_033233941.1|DPSE
OG0001952	LOC115269964|XP_029734662.1|AEAL, LOC109425698|XP_029734674.1|AEAL, LOC115269966|XP_029734671.1|AEAL	LOC6899550|XP_033235123.1|DPSE
OG0001953	LOC115254608|XP_029708080.1|AEAL, LOC115260123|XP_029716886.1|AEAL, LOC109430555|XP_019562174.2|AEAL	LOC4805218|XP_001361659.2|DPSE
OG0001954	LOC115256967|XP_029712039.1|AEAL, LOC109622630|XP_029712070.1|AEAL, LOC115263144|XP_029721928.1|AEAL	LOC6898406|XP_033233970.1|DPSE
OG0001955	LOC109415865|XP_019545356.1|AEAL, LOC109622715|XP_029712059.1|AEAL, LOC115256975|XP_029712053.1|AEAL	LOC4805334|XP_001361750.2|DPSE
OG0001956	LOC109415878|XP_029722428.1|AEAL, LOC109621282|XP_029722445.1|AEAL	LOC6899982|XP_033240181.1|DPSE
OG0001957	LOC109621247|XP_019933513.2|AEAL, LOC109430239|XP_019561832.1|AEAL, LOC109428867|XP_019560249.2|AEAL	LOC4803773|XP_001360435.1|DPSE
OG0001958	LOC115263373|XP_029722531.1|AEAL, LOC109416238|XP_029722308.1|AEAL, LOC115263375|XP_029722533.1|AEAL, LOC109407411|XP_029722231.1|AEAL	LOC4804821|XP_033234767.1|DPSE
OG0001959	LOC109424175|XP_029722127.1|AEAL, LOC109413562|XP_029721402.1|AEAL, LOC115260112|XP_029716867.1|AEAL	LOC4813203|XP_033240136.1|DPSE
OG0001960	LOC115263344|XP_029722501.1|AEAL, LOC115263179|XP_029721970.1|AEAL, LOC109430897|XP_029721968.1|AEAL	LOC4814127|XP_015042447.1|DPSE
OG0001961	LOC115259287|XP_029715676.1|AEAL, LOC109430942|XP_029730376.1|AEAL, LOC109431686|XP_029715644.1|AEAL	LOC4804689|XP_015040113.2|DPSE
OG0001962	LOC109430950|XP_019562611.2|AEAL, LOC109431714|XP_019563527.2|AEAL	LOC4804439|XP_001361001.4|DPSE
OG0001963	LOC109399513|XP_029714085.1|AEAL, LOC115254259|XP_029735711.1|AEAL, LOC109398045|XP_029714084.1|AEAL	LOC4812293|XP_001352440.1|DPSE
OG0001964	LOC115254260|XP_029735856.1|AEAL, LOC109408641|XP_029736020.1|AEAL, LOC109428978|XP_029730422.1|AEAL	LOC4812878|XP_001353233.4|DPSE
OG0001966	LOC109401032|XP_019529062.1|AEAL, LOC115270470|XP_029736064.1|AEAL, LOC109414964|XP_019544355.1|AEAL, LOC109415154|XP_019544586.2|AEAL	LOC4801193|XP_001358322.3|DPSE
OG0001967	LOC109424271|XP_029719648.1|AEAL, LOC109428709|XP_029735262.1|AEAL, LOC115270173|XP_029735276.1|AEAL	LOC4803760|XP_001360424.3|DPSE
OG0001968	LOC115265043|XP_029725102.1|AEAL, LOC115269721|XP_029734406.1|AEAL, LOC115269719|XP_029734401.1|AEAL, LOC109428738|XP_019560109.2|AEAL	LOC4812213|XP_015043819.2|DPSE
OG0001969	LOC115270213|XP_029735333.1|AEAL, LOC115270240|XP_029735367.1|AEAL	LOC4804914|XP_001361399.3|DPSE
OG0001970	LOC115254256|XP_029735450.1|AEAL, LOC115270264|XP_029735393.1|AEAL, LOC109423800|XP_019554378.1|AEAL, LOC109430605|XP_019562214.2|AEAL	LOC4803853|XP_001360504.1|DPSE
OG0001971	LOC109423676|XP_019554218.2|AEAL, LOC115269757|XP_029734441.1|AEAL	LOC4804972|XP_001361447.3|DPSE
OG0001972	LOC109423751|XP_029735575.1|AEAL, LOC109414256|XP_029735556.1|AEAL	LOC4803328|XP_001357514.2|DPSE
OG0001973	LOC109423655|XP_029715596.1|AEAL, LOC115259212|XP_029715591.1|AEAL	LOC15382900|XP_004444214.3|DPSE
OG0001974	LOC109408899|XP_019537814.2|AEAL, LOC115266575|XP_029728811.1|AEAL	LOC4804513|XP_001361065.3|DPSE
OG0001975	LOC109416689|XP_019546295.2|AEAL, LOC115266655|XP_029729044.1|AEAL, LOC109416512|XP_029729043.1|AEAL	LOC4812982|XP_001354042.2|DPSE
OG0001976	LOC115254758|XP_029708288.1|AEAL, LOC115266635|XP_029729004.1|AEAL, LOC109414979|XP_029728942.1|AEAL, LOC109415142|XP_029728995.1|AEAL	LOC6898044|XP_002138132.1|DPSE
OG0001977	LOC109427863|XP_029728530.1|AEAL, LOC115259071|XP_029715442.1|AEAL, LOC115259143|XP_029715519.1|AEAL, LOC115258928|XP_029715307.1|AEAL, LOC109428168|XP_029717224.1|AEAL	LOC6902355|XP_002133301.2|DPSE
OG0001978	LOC109433268|XP_019565239.1|AEAL, LOC109424444|XP_019555108.1|AEAL, LOC115259303|XP_029715695.1|AEAL	LOC4817658|XP_001357050.1|DPSE
OG0001979	LOC109420083|XP_019549936.1|AEAL	LOC4816803|XP_001356719.2|DPSE
OG0001980	LOC109412016|XP_019541205.1|AEAL, LOC109407960|XP_019536713.2|AEAL	LOC4817809|XP_033235870.1|DPSE
OG0001982	LOC115255682|XP_029709646.1|AEAL, LOC109432886|XP_029712419.1|AEAL, LOC109401423|XP_019529520.1|AEAL	LOC13036543|XP_003736156.1|DPSE
OG0001983	LOC109433074|XP_029711242.1|AEAL, LOC109411297|XP_029711472.1|AEAL	LOC26534190|XP_033236662.1|DPSE
OG0001984	LOC109433083|XP_019565019.2|AEAL	LOC4817847|XP_033235276.1|DPSE
OG0001985	LOC109621803|XP_029724949.1|AEAL, LOC109404203|XP_029724890.1|AEAL	LOC4817201|XP_001356369.2|DPSE
OG0001986	LOC115264922|XP_029724857.1|AEAL, LOC109414034|XP_029724875.1|AEAL, LOC115253903|XP_029724936.1|AEAL	LOC4818167|XP_001357408.3|DPSE
OG0001987	LOC109428779|XP_019560166.2|AEAL, LOC115253803|XP_029733997.1|AEAL	LOC4815951|XP_001355566.3|DPSE
OG0001988	LOC115258948|XP_029715326.1|AEAL, LOC109409322|XP_029721659.1|AEAL, LOC109419104|XP_029715310.1|AEAL	LOC4803925|XP_001360566.3|DPSE
OG0001989	LOC115258621|XP_029714772.1|AEAL, LOC109419107|XP_029721665.1|AEAL, LOC109409319|XP_029714703.1|AEAL	LOC4817547|XP_002132851.1|DPSE
OG0001990	LOC109419108|XP_029715128.1|AEAL, LOC109409361|XP_029715193.1|AEAL, LOC115262912|XP_029721672.1|AEAL	LOC26532979|XP_033236342.1|DPSE
OG0001991	LOC115269124|XP_029733393.1|AEAL, LOC109397556|XP_029715197.1|AEAL	LOC6899530|XP_033235949.1|DPSE
OG0001992	LOC115258833|XP_029715127.1|AEAL, LOC109397539|XP_029714675.1|AEAL	LOC4817323|XP_033235478.1|DPSE
OG0001993	LOC115258581|XP_029714677.1|AEAL, LOC115258553|XP_029714578.1|AEAL, LOC109397524|XP_019525370.1|AEAL	LOC4818176|XP_001357286.1|DPSE
OG0001994	LOC109405873|XP_019534477.2|AEAL, LOC109407201|XP_019535726.2|AEAL	LOC4800536|XP_015038646.2|DPSE
OG0001995	LOC115258769|XP_029715029.1|AEAL, LOC109405703|XP_019534308.2|AEAL, LOC109410201|XP_029730241.1|AEAL	LOC4816450|XP_001356257.2|DPSE
OG0001996	LOC109417642|XP_029709337.1|AEAL, LOC115255414|XP_029709383.1|AEAL, LOC115255422|XP_029709410.1|AEAL	LOC6903575|XP_033236000.1|DPSE
OG0001997	LOC115255375|XP_029709277.1|AEAL, LOC115253948|XP_029709288.1|AEAL, LOC109417687|XP_019547293.2|AEAL	LOC4804704|XP_001361222.3|DPSE
OG0001998	LOC115253946|XP_029709239.1|AEAL, LOC109416929|XP_029709253.1|AEAL, LOC109417691|XP_019547307.2|AEAL	LOC4804702|XP_001361220.3|DPSE
OG0001999	LOC109417772|XP_029709100.1|AEAL	LOC4804201|XP_033233745.1|DPSE
OG0002000	LOC109415253|XP_029709033.1|AEAL	LOC4817170|XP_001356882.3|DPSE
OG0002001	LOC109419931|XP_029708900.1|AEAL, LOC115255157|XP_029708909.1|AEAL	LOC4817651|XP_001357043.4|DPSE
OG0002002	LOC109419878|XP_019549708.2|AEAL, LOC109420708|XP_019550709.2|AEAL	LOC4803534|XP_001360244.2|DPSE
OG0002003	LOC109414247|XP_029736327.1|AEAL, LOC115253939|XP_029708865.1|AEAL, LOC109420697|XP_019550692.1|AEAL	LOC4816167|XP_015036950.2|DPSE
OG0002004	LOC109420660|XP_019550626.2|AEAL	LOC4817678|XP_015036437.2|DPSE
OG0002005	LOC109420492|XP_029708637.1|AEAL, LOC109419733|XP_029708643.1|AEAL	LOC4818173|XP_033235465.1|DPSE
OG0002006	LOC115269356|XP_029733865.1|AEAL, LOC109420302|XP_029732976.1|AEAL, LOC109419769|XP_029708609.1|AEAL, LOC115255044|XP_029708632.1|AEAL	LOC4817881|XP_015035536.2|DPSE
OG0002007	LOC115261019|XP_029718245.1|AEAL, LOC109430154|XP_019561731.1|AEAL	LOC6902793|XP_002132530.3|DPSE
OG0002008	LOC109430176|XP_029727434.1|AEAL	LOC4811811|XP_033237244.1|DPSE
OG0002009	LOC109427576|XP_019558699.2|AEAL, LOC109432855|XP_019564749.2|AEAL, LOC115268908|XP_029732979.1|AEAL	LOC4805494|XP_001361889.1|DPSE
OG0002010	LOC109427591|XP_029727422.1|AEAL, LOC109621901|XP_019931649.2|AEAL	LOC4816188|XP_001355800.3|DPSE
OG0002011	LOC109431006|XP_019562675.2|AEAL, LOC115265222|XP_029725363.1|AEAL, LOC115266443|XP_029728532.1|AEAL, LOC109421438|XP_029727014.1|AEAL, LOC109432536|XP_019564411.2|AEAL	LOC4816703|XP_001356105.3|DPSE
OG0002012	LOC109423927|XP_019554535.1|AEAL, LOC109404813|XP_019533310.1|AEAL	LOC4816814|XP_001356812.2|DPSE
OG0002013	LOC109423906|XP_029727280.1|AEAL, LOC109404819|XP_029727242.1|AEAL	LOC117184018|XP_033235848.1|DPSE, LOC4816573|XP_033235692.1|DPSE
OG0002014	LOC109421536|XP_029727097.1|AEAL	LOC4805525|XP_001361914.1|DPSE
OG0002015	LOC109421342|XP_019551395.1|AEAL, LOC109432570|XP_029726915.1|AEAL	LOC4817128|XP_001356471.2|DPSE
OG0002016	LOC109415848|XP_029720051.1|AEAL	LOC4804776|XP_001361285.4|DPSE
OG0002017	LOC109416795|XP_029720043.1|AEAL, LOC109402508|XP_029732812.1|AEAL	LOC4816551|XP_001356069.2|DPSE
OG0002018	LOC109429591|XP_029719953.1|AEAL, LOC115254140|XP_029724789.1|AEAL	LOC6903405|XP_002132284.2|DPSE
OG0002019	LOC109429555|XP_019561077.2|AEAL	LOC4817021|XP_001356755.2|DPSE
OG0002020	LOC109415452|XP_019544873.2|AEAL	LOC4816368|XP_001356263.2|DPSE
OG0002021	LOC109398549|XP_029720118.1|AEAL	LOC4803759|XP_033233608.1|DPSE
OG0002022	LOC109398356|XP_029720147.1|AEAL, LOC109429827|XP_019561352.1|AEAL, LOC109401755|XP_029710059.1|AEAL, LOC109406163|XP_019534776.2|AEAL	LOC6903588|XP_033235378.1|DPSE
OG0002023	LOC109429794|XP_029719779.1|AEAL, LOC109398275|XP_019526140.2|AEAL	LOC4801405|XP_001358503.3|DPSE
OG0002024	LOC109411701|XP_019540819.1|AEAL	LOC4811769|XP_001352338.1|DPSE
OG0002025	LOC109411738|XP_019540880.3|AEAL	LOC6903053|XP_002132777.2|DPSE
OG0002026	LOC109414170|XP_019543498.2|AEAL	LOC4812394|XP_001352886.3|DPSE
OG0002027	LOC115255674|XP_029709636.1|AEAL, LOC115254439|XP_029707790.1|AEAL, LOC109421746|XP_029709633.1|AEAL	LOC6898412|XP_033234456.1|DPSE
OG0002028	LOC109421752|XP_029707787.1|AEAL	LOC117184111|XP_033236206.1|DPSE, LOC4803397|XP_033235105.1|DPSE
OG0002029	LOC109423263|XP_029709312.1|AEAL	LOC4812927|XP_001353737.3|DPSE
OG0002030	LOC115262698|XP_029721219.1|AEAL, LOC109623315|XP_019933386.1|AEAL, LOC109401290|XP_019529329.1|AEAL	LOC4805444|XP_001361845.2|DPSE
OG0002031	LOC109412046|XP_019541233.2|AEAL	LOC4804377|XP_015039898.1|DPSE
OG0002032	LOC115263976|XP_029723139.1|AEAL, LOC109427293|XP_029721389.1|AEAL	LOC4802810|XP_001359654.3|DPSE
OG0002033	LOC115263095|XP_029721873.1|AEAL, LOC115263947|XP_029723115.1|AEAL, LOC109426125|XP_029721558.1|AEAL, LOC109418409|XP_029723114.1|AEAL	LOC4814568|XP_001354747.2|DPSE
OG0002034	LOC109426160|XP_029721705.1|AEAL, LOC109426156|XP_029721662.1|AEAL, LOC109418423|XP_029721956.1|AEAL	LOC4816009|XP_001355456.4|DPSE
OG0002035	LOC109426175|XP_029722195.1|AEAL, LOC109418446|XP_019548182.2|AEAL, LOC115263232|XP_029722087.1|AEAL	LOC4802026|XP_001359026.5|DPSE
OG0002036	LOC115260472|XP_029717276.1|AEAL, LOC109407471|XP_029717229.1|AEAL, LOC109419243|XP_029723569.1|AEAL	LOC6896916|XP_033232494.1|DPSE
OG0002037	LOC109410442|XP_029725870.1|AEAL, LOC115256317|XP_029710420.1|AEAL	LOC4812672|XP_001353056.3|DPSE
OG0002038	LOC109410375|XP_019539473.2|AEAL	LOC6897907|XP_002138009.2|DPSE
OG0002039	LOC109414398|XP_019543750.2|AEAL, LOC109415396|XP_019544808.2|AEAL	LOC4811647|XP_002135773.1|DPSE
OG0002040	LOC109425025|XP_019555760.2|AEAL	LOC6897795|XP_033237823.1|DPSE
OG0002041	LOC109410906|XP_029730035.1|AEAL, LOC109411113|XP_029730603.1|AEAL, LOC115253916|XP_029730013.1|AEAL	LOC4805056|XP_015040406.1|DPSE
OG0002042	LOC109399298|XP_019527278.2|AEAL, LOC109433350|XP_019565322.2|AEAL	LOC4802940|XP_001359755.3|DPSE
OG0002043	LOC109413928|XP_019543205.2|AEAL, LOC109621289|XP_019931854.2|AEAL, LOC115254236|XP_029734177.1|AEAL	LOC4802054|XP_001359047.4|DPSE
OG0002044	LOC115269272|XP_029733687.1|AEAL, LOC109400364|XP_029733583.1|AEAL, LOC109432399|XP_029715538.1|AEAL	LOC6896878|XP_003736286.2|DPSE
OG0002045	LOC109416442|XP_029729673.1|AEAL, LOC115261564|XP_029719318.1|AEAL, LOC109622373|XP_029719311.1|AEAL	LOC4802031|XP_033241834.1|DPSE
OG0002046	LOC109416293|XP_029736172.1|AEAL	LOC6901904|XP_002133439.3|DPSE
OG0002047	LOC109416414|XP_029707563.1|AEAL, LOC115253755|XP_029727739.1|AEAL, LOC115266053|XP_029727760.1|AEAL, LOC109424021|XP_029727708.1|AEAL	LOC6902117|XP_015041171.2|DPSE
OG0002048	LOC109431922|XP_029727776.1|AEAL, LOC115266066|XP_029727788.1|AEAL	LOC4802618|XP_015037945.1|DPSE
OG0002049	LOC109422734|XP_029728099.1|AEAL, LOC115254159|XP_029727908.1|AEAL, LOC109431860|XP_029727923.1|AEAL	LOC4802817|XP_015038107.2|DPSE
OG0002050	LOC115264858|XP_029724751.1|AEAL, LOC109412333|XP_019541524.2|AEAL, LOC109422696|XP_029727884.1|AEAL	LOC4802545|XP_033232818.1|DPSE
OG0002051	LOC109402833|XP_019531111.2|AEAL	LOC6898753|XP_015040367.2|DPSE, LOC15382869|XP_004444371.1|DPSE
OG0002052	LOC115257064|XP_029712215.1|AEAL	LOC6900023|XP_002135388.2|DPSE
OG0002053	LOC109398800|XP_019526757.1|AEAL, LOC115261372|XP_029718786.1|AEAL	LOC4803013|XP_001359815.5|DPSE
OG0002054	LOC109398827|XP_019526802.2|AEAL	LOC6897174|XP_002137354.2|DPSE
OG0002055	LOC115261446|XP_029718976.1|AEAL, LOC109427230|XP_019558281.2|AEAL, LOC115261426|XP_029718935.1|AEAL	LOC4802580|XP_001359474.2|DPSE
OG0002056	LOC115253572|XP_029718913.1|AEAL, LOC109411614|XP_029718965.1|AEAL, LOC109427247|XP_029715618.1|AEAL	LOC4813891|XP_001353404.2|DPSE
OG0002057	LOC115261409|XP_029718888.1|AEAL, LOC115261440|XP_029718962.1|AEAL, LOC109411619|XP_019540720.2|AEAL, LOC109427253|XP_019558324.2|AEAL	LOC4817269|XP_001356776.2|DPSE
OG0002058	LOC115254069|XP_029718910.1|AEAL, LOC109427254|XP_019558325.1|AEAL, LOC115261410|XP_029718889.1|AEAL, LOC109411620|XP_029718963.1|AEAL	LOC4811998|XP_001352504.2|DPSE
OG0002059	LOC109427256|XP_019558330.1|AEAL, LOC115261411|XP_029718893.1|AEAL, LOC115261415|XP_029718907.1|AEAL, LOC109411623|XP_029717160.1|AEAL	LOC4803044|XP_001359845.1|DPSE
OG0002060	LOC109427262|XP_029718897.1|AEAL, LOC109411628|XP_029717172.1|AEAL, LOC115261435|XP_029718951.1|AEAL	LOC4803980|XP_001360615.2|DPSE
OG0002061	LOC109427263|XP_029718950.1|AEAL, LOC109411629|XP_019540734.2|AEAL, LOC115261412|XP_029718895.1|AEAL	LOC4804315|XP_033233798.1|DPSE
OG0002062	LOC109404968|XP_029719247.1|AEAL	LOC4815857|XP_015040969.2|DPSE
OG0002063	LOC109404986|XP_019533517.2|AEAL, LOC109416162|XP_019545680.2|AEAL, LOC115254081|XP_029719239.1|AEAL	LOC6901845|XP_002133383.1|DPSE
OG0002064	LOC115261573|XP_029719328.1|AEAL, LOC109416620|XP_019546229.1|AEAL, LOC115261546|XP_029719255.1|AEAL, LOC109432816|XP_029719329.1|AEAL	LOC6899446|XP_033240224.1|DPSE
OG0002065	LOC115261562|XP_029719310.1|AEAL, LOC109432817|XP_019564706.2|AEAL, LOC115261563|XP_029719313.1|AEAL	LOC4813998|XP_015042486.2|DPSE
OG0002066	LOC109405099|XP_029716736.1|AEAL	LOC4802883|XP_015038160.2|DPSE
OG0002067	LOC109416515|XP_019546132.2|AEAL	LOC4803396|XP_001357526.2|DPSE
OG0002068	LOC109411939|XP_029733040.1|AEAL, LOC109406738|XP_029733024.1|AEAL	LOC4804442|XP_001361003.5|DPSE
OG0002069	LOC115254161|XP_029728101.1|AEAL, LOC109405601|XP_019534210.2|AEAL	LOC6899750|XP_002135786.2|DPSE
OG0002070	LOC109405911|XP_019534518.2|AEAL, LOC109405691|XP_019534300.2|AEAL, LOC109405647|XP_019534264.2|AEAL	LOC4803114|XP_001359911.2|DPSE
OG0002071	LOC109407855|XP_029724224.1|AEAL	LOC4801379|XP_001358482.2|DPSE
OG0002072	LOC109398924|XP_019526924.1|AEAL, LOC115264564|XP_029724249.1|AEAL	LOC4805475|XP_001361870.2|DPSE
OG0002073	LOC109401570|XP_029724505.1|AEAL, LOC109402877|XP_029724543.1|AEAL, LOC115264667|XP_029724487.1|AEAL	LOC4812799|XP_033240350.1|DPSE
OG0002074	LOC109422260|XP_029724561.1|AEAL, LOC115259952|XP_029716608.1|AEAL	LOC4804012|XP_001360642.4|DPSE
