Orthogroup	AEAL.longest_only	DSIM.longest_only
OG0000322	LOC109404970|XP_019533497.2|AEAL, LOC115261543|XP_029719244.1|AEAL	LOC6727946|XP_016034548.1|DSIM, LOC6724859|XP_016037649.1|DSIM, LOC6725342|XP_039153479.1|DSIM
OG0000323	LOC115253754|XP_029724316.1|AEAL, LOC109420146|XP_029724344.1|AEAL, LOC109431243|XP_029724314.1|AEAL	LOC6732246|XP_016024926.1|DSIM, LOC6729352|XP_016035987.1|DSIM, LOC6729353|XP_016035988.1|DSIM
OG0000324	LOC109399111|XP_019527103.2|AEAL	LOC27208757|XP_016027401.1|DSIM
OG0000325	LOC115268390|XP_029732255.1|AEAL, LOC109407690|XP_019536384.2|AEAL, LOC109425982|XP_019556949.2|AEAL, LOC115268066|XP_029731855.1|AEAL	LOC6738627|XP_002085429.1|DSIM, LOC6738629|XP_016032466.1|DSIM
OG0000332	LOC109621714|XP_019931412.2|AEAL	LOC6731820|XP_016024508.1|DSIM
OG0000333	LOC109422359|XP_029721734.1|AEAL, LOC109401270|XP_029725071.1|AEAL, LOC115253507|XP_029716824.1|AEAL	LOC6737534|XP_002084369.2|DSIM
OG0000333	LOC115260347|XP_029717135.1|AEAL	LOC6736551|XP_002083421.1|DSIM
OG0000334	LOC109413713|XP_019542998.1|AEAL	LOC27206142|XP_016026378.1|DSIM, LOC27206399|XP_016039498.1|DSIM, LOC6734844|XP_002081846.1|DSIM
OG0000335	LOC115258579|XP_029714671.1|AEAL, LOC115262908|XP_029721667.1|AEAL, LOC109409360|XP_029714711.1|AEAL	LOC6732843|XP_002079956.1|DSIM, LOC6732844|XP_002079957.2|DSIM
OG0000338	LOC109426844|XP_029725391.1|AEAL	LOC6739599|XP_016029875.1|DSIM
OG0000338	LOC109398320|XP_019526219.1|AEAL, LOC109419702|XP_029709837.1|AEAL	LOC6733837|XP_016026852.1|DSIM
OG0000339	LOC109426655|XP_019557724.2|AEAL, LOC109426657|XP_019557726.2|AEAL, LOC115253908|XP_029727513.1|AEAL	LOC27208853|XP_016032144.1|DSIM, LOC27207110|XP_039148940.1|DSIM
OG0000340	LOC109398956|XP_019526953.2|AEAL	LOC6734947|XP_016028253.1|DSIM
OG0000342	LOC109423012|XP_019553471.1|AEAL, LOC109415625|XP_019545070.1|AEAL	LOC27206746|XP_039152925.1|DSIM, LOC6727296|XP_002102683.1|DSIM, LOC6736073|XP_002082974.3|DSIM
OG0000343	LOC109430404|XP_019562010.2|AEAL, LOC109430403|XP_019562009.2|AEAL	LOC6728798|XP_002104133.1|DSIM
OG0000344	LOC109399854|XP_019527889.2|AEAL, LOC109425365|XP_019556158.2|AEAL, LOC109399864|XP_019527898.2|AEAL, LOC109425363|XP_019556156.2|AEAL	LOC6734996|XP_002081978.1|DSIM, LOC6730157|XP_002105448.2|DSIM
OG0000345	LOC109423314|XP_019553792.2|AEAL	LOC6733446|XP_002080503.1|DSIM
OG0000345	LOC109420413|XP_019550291.2|AEAL, LOC115253807|XP_029712798.1|AEAL	LOC6734269|XP_016027321.1|DSIM
OG0000346	LOC115270450|XP_029736043.1|AEAL, LOC115270456|XP_029736046.1|AEAL	LOC6734596|XP_016027721.1|DSIM, LOC6735900|XP_002082810.2|DSIM, LOC6734597|XP_002081605.2|DSIM
OG0000347	LOC109402735|XP_019530990.2|AEAL	LOC6736906|XP_016030553.1|DSIM
OG0000347	LOC109398531|XP_029710049.1|AEAL, LOC115253617|XP_029715199.1|AEAL	LOC6730552|XP_016023007.1|DSIM
OG0000348	LOC109427907|XP_019559072.2|AEAL	LOC6730732|XP_002077900.1|DSIM, LOC6730986|XP_002078147.3|DSIM
OG0000349	LOC109401544|XP_029715710.1|AEAL, LOC115254135|XP_029724522.1|AEAL, LOC109412611|XP_029724434.1|AEAL	LOC6732892|XP_016025612.1|DSIM
OG0000351	LOC109430379|XP_019561986.1|AEAL, LOC109622829|XP_029715244.1|AEAL, LOC109413276|XP_019542546.1|AEAL, LOC109430385|XP_019561994.2|AEAL, LOC109413278|XP_029713171.1|AEAL	LOC6735627|XP_002082547.1|DSIM, LOC6735626|XP_002082546.1|DSIM
OG0000353	LOC109402421|XP_029729908.1|AEAL, LOC109405422|XP_019534032.1|AEAL	LOC27209421|XP_016035628.1|DSIM
OG0000353	LOC109428239|XP_029728367.1|AEAL, LOC115266377|XP_029728466.1|AEAL	LOC6731143|XP_002078301.1|DSIM
OG0000355	LOC109408907|XP_019537835.2|AEAL, LOC109418464|XP_029728816.1|AEAL, LOC109408909|XP_019537837.2|AEAL	LOC6733486|XP_002080543.1|DSIM, LOC6733178|XP_002080254.1|DSIM
OG0000356	LOC109429923|XP_029728612.1|AEAL, LOC109429550|XP_029720091.1|AEAL, LOC109429787|XP_029720175.1|AEAL, LOC109398287|XP_029720168.1|AEAL	LOC6732721|XP_016025453.1|DSIM, LOC6732720|XP_016025450.1|DSIM
OG0000361	LOC109431162|XP_019562911.2|AEAL	LOC6727732|XP_002103094.1|DSIM, LOC6726963|XP_016033455.1|DSIM, LOC6732148|XP_002079280.1|DSIM
OG0000362	LOC109406929|XP_019535478.2|AEAL, LOC109405946|XP_019534539.1|AEAL	LOC6728210|XP_002103559.1|DSIM
OG0000362	LOC109426897|XP_029721185.1|AEAL	LOC6739157|XP_016033008.1|DSIM
OG0000363	LOC109400186|XP_029728046.1|AEAL, LOC109427106|XP_029728131.1|AEAL	LOC6729631|XP_016036270.1|DSIM
OG0000363	LOC115253732|XP_029726693.1|AEAL, LOC109418888|XP_029725302.1|AEAL	LOC6738429|XP_039150310.1|DSIM
OG0000364	LOC115265361|XP_029725956.1|AEAL, LOC115265147|XP_029725258.1|AEAL, LOC109419627|XP_029725946.1|AEAL, LOC115265146|XP_029725257.1|AEAL, LOC109411815|XP_029725957.1|AEAL, LOC115265359|XP_029725933.1|AEAL, LOC109419679|XP_029725958.1|AEAL	LOC6736448|XP_039149552.1|DSIM
OG0000365	LOC115269981|XP_029734708.1|AEAL, LOC109426679|XP_029725547.1|AEAL	LOC6735433|XP_002082373.2|DSIM
OG0000365	LOC109433025|XP_029716907.1|AEAL, LOC115259068|XP_029715441.1|AEAL	LOC27208814|XP_016024571.1|DSIM
OG0000366	LOC109429237|XP_029718708.1|AEAL, LOC109398891|XP_029714395.1|AEAL	LOC6725659|XP_016038886.1|DSIM
OG0000366	LOC109427117|XP_029727911.1|AEAL, LOC115266261|XP_029728094.1|AEAL	LOC6729674|XP_016036336.1|DSIM
OG0000367	LOC115254671|XP_029708149.1|AEAL, LOC109424434|XP_019555089.2|AEAL, LOC109422336|XP_029708161.1|AEAL, LOC109424433|XP_029708143.1|AEAL, LOC109422335|XP_029708155.1|AEAL	LOC6737505|XP_002084341.1|DSIM, LOC6735257|XP_016028599.1|DSIM
OG0000368	LOC109425955|XP_029731785.1|AEAL, LOC109407632|XP_029731882.1|AEAL, LOC109425952|XP_019556902.2|AEAL, LOC109407629|XP_019536314.2|AEAL, LOC115256951|XP_029712015.1|AEAL	LOC6737687|XP_002084519.1|DSIM
OG0000376	LOC115255627|XP_029709576.1|AEAL, LOC109405358|XP_019533957.1|AEAL, LOC109397814|XP_019525684.1|AEAL, LOC115255639|XP_029709595.1|AEAL	LOC27208950|XP_039153224.1|DSIM, LOC6740014|XP_016038466.1|DSIM
OG0000377	LOC109404664|XP_019533138.2|AEAL, LOC109401438|XP_019529541.2|AEAL, LOC109410397|XP_019547024.2|AEAL, LOC109417375|XP_019547022.2|AEAL, LOC109405673|XP_019534284.2|AEAL	LOC6725746|XP_002106746.3|DSIM, LOC6728062|XP_016034681.1|DSIM
OG0000378	LOC109431293|XP_019563055.1|AEAL, LOC109431993|XP_029710254.1|AEAL, LOC109407753|XP_029715571.1|AEAL, LOC109418937|XP_029729314.1|AEAL	LOC6735000|XP_002081982.1|DSIM
OG0000379	LOC109403232|XP_019531556.1|AEAL	LOC6733422|XP_002080479.1|DSIM, LOC6733421|XP_016026365.1|DSIM, LOC6739303|XP_002076212.2|DSIM
OG0000380	LOC109412504|XP_019541667.1|AEAL, LOC109420807|XP_019550799.1|AEAL, LOC115270399|XP_029735874.1|AEAL	LOC6734344|XP_002081365.2|DSIM, LOC6737010|XP_016030636.1|DSIM
OG0000381	LOC115258588|XP_029714697.1|AEAL, LOC109622899|XP_019932914.1|AEAL, LOC115258623|XP_029714780.1|AEAL	LOC6733506|XP_002080562.2|DSIM, LOC6731581|XP_016024254.1|DSIM
OG0000382	LOC109426146|XP_029721602.1|AEAL, LOC109418415|XP_019548145.2|AEAL, LOC115262872|XP_029721609.1|AEAL, LOC109426147|XP_029708055.1|AEAL, LOC109418366|XP_029721920.1|AEAL, LOC115263629|XP_029722706.1|AEAL, LOC109417593|XP_019547198.2|AEAL	LOC6739139|XP_016032988.2|DSIM
OG0000383	LOC109398262|XP_029708578.1|AEAL, LOC109419782|XP_029715631.1|AEAL, LOC115255013|XP_029708576.1|AEAL, LOC109420591|XP_019550499.2|AEAL	LOC6730701|XP_016023138.1|DSIM, LOC6739243|XP_016025243.1|DSIM
OG0000384	LOC109621343|XP_019930937.2|AEAL	LOC6734012|XP_002081053.1|DSIM
OG0000384	LOC109421514|XP_019930939.2|AEAL	LOC6734010|XP_016027038.1|DSIM
OG0000385	LOC109420121|XP_019549975.2|AEAL, LOC115254129|XP_029724332.1|AEAL	LOC6725045|XP_039152238.1|DSIM
OG0000385	LOC109411423|XP_029730869.1|AEAL, LOC109428856|XP_019560234.2|AEAL	LOC6725046|XP_016038020.1|DSIM
OG0000386	LOC115260377|XP_029717200.1|AEAL	LOC6736811|XP_002083667.1|DSIM, LOC6736812|XP_002083668.1|DSIM, LOC6730066|XP_002105359.1|DSIM
OG0000389	LOC109623394|XP_019933496.2|AEAL	LOC27208474|XP_039149129.1|DSIM
OG0000390	LOC109418558|XP_029713073.1|AEAL, LOC109413120|XP_029713072.1|AEAL, LOC109422824|XP_019553263.2|AEAL, LOC115260637|XP_029717566.1|AEAL, LOC109401827|XP_019529985.2|AEAL, LOC109412092|XP_019541278.2|AEAL, LOC109412093|XP_029709661.1|AEAL, LOC109401826|XP_029709663.1|AEAL, LOC109404625|XP_019533080.2|AEAL	LOC6731921|XP_016024593.1|DSIM
OG0000391	LOC109622842|XP_029726622.1|AEAL, LOC115256936|XP_029711996.1|AEAL	LOC6735213|XP_039147928.1|DSIM
OG0000391	LOC115257016|XP_029712117.1|AEAL, LOC109623276|XP_019933333.1|AEAL	LOC6735208|XP_016028486.1|DSIM
OG0000392	LOC115255423|XP_029709411.1|AEAL, LOC109410240|XP_029709335.1|AEAL, LOC115255415|XP_029709387.1|AEAL, LOC109417641|XP_029709359.1|AEAL, LOC115255405|XP_029709334.1|AEAL, LOC115255425|XP_029709414.1|AEAL, LOC115253639|XP_029709398.1|AEAL, LOC109410239|XP_029709361.1|AEAL	LOC6731078|XP_002078236.1|DSIM, LOC6731075|XP_039151124.1|DSIM
OG0000393	LOC109419307|XP_029727172.1|AEAL	LOC6732634|XP_039154463.1|DSIM
OG0000393	LOC109418168|XP_029727179.1|AEAL	LOC6732636|XP_039154477.1|DSIM
OG0000394	LOC115253693|XP_029724198.1|AEAL	LOC6740074|XP_002076955.1|DSIM, LOC27207627|XP_016038878.1|DSIM
OG0000395	LOC115264747|XP_029724634.1|AEAL, LOC115257131|XP_029712375.1|AEAL	LOC6737752|XP_002084580.3|DSIM, LOC6737748|XP_016031522.1|DSIM, LOC6737749|XP_016031524.1|DSIM
OG0000399	LOC109433624|XP_019565608.2|AEAL	LOC6729800|XP_016036486.1|DSIM, LOC6735791|XP_002082704.1|DSIM
OG0000400	LOC109415196|XP_019544625.2|AEAL	LOC6725881|XP_002106877.1|DSIM, LOC6732097|XP_002079229.3|DSIM, LOC6725882|XP_002106878.2|DSIM
OG0000402	LOC109421658|XP_019551728.2|AEAL, LOC109418292|XP_019548001.2|AEAL, LOC109428070|XP_019559290.2|AEAL, LOC109418299|XP_029719901.1|AEAL, LOC109428077|XP_019559296.2|AEAL, LOC109418293|XP_019548002.2|AEAL, LOC109428071|XP_019559291.2|AEAL, LOC109428073|XP_019559293.2|AEAL, LOC109418295|XP_019548004.2|AEAL, LOC109402235|XP_029729996.1|AEAL	LOC6740084|XP_002076967.2|DSIM
OG0000404	LOC109430308|XP_019561904.2|AEAL, LOC109430356|XP_029722717.1|AEAL, LOC109430345|XP_019561948.2|AEAL, LOC109412418|XP_029722923.1|AEAL	LOC6730205|XP_016036955.1|DSIM, LOC6730206|XP_039150794.1|DSIM
OG0000405	LOC109404031|XP_019532439.2|AEAL	LOC6725057|XP_016038033.1|DSIM
OG0000406	LOC109425699|XP_019556540.1|AEAL, LOC115269965|XP_029734663.1|AEAL, LOC109422787|XP_029734667.1|AEAL, LOC109418939|XP_019548698.1|AEAL, LOC109407754|XP_019536471.2|AEAL	LOC6738424|XP_002085233.1|DSIM, LOC6733963|XP_016027004.1|DSIM
OG0000407	LOC115263207|XP_029722053.1|AEAL, LOC115263432|XP_029722592.1|AEAL, LOC109418450|XP_029722063.1|AEAL, LOC109426179|XP_029722235.1|AEAL	LOC6737378|XP_002084216.2|DSIM
OG0000407	LOC109417874|XP_019547605.2|AEAL	LOC27209011|XP_016031120.1|DSIM
OG0000408	LOC109423675|XP_019554216.2|AEAL, LOC109414288|XP_019543648.1|AEAL	LOC6728258|XP_002103607.1|DSIM, LOC6731091|XP_016023624.1|DSIM
OG0000409	LOC109432867|XP_029712468.1|AEAL	LOC6734543|XP_016027660.1|DSIM, LOC6733661|XP_016026622.1|DSIM
OG0000410	LOC115255101|XP_029708755.1|AEAL, LOC109420585|XP_019550497.2|AEAL	LOC6732624|XP_002079743.1|DSIM, LOC6732625|XP_016025330.1|DSIM, LOC6732626|XP_002079745.1|DSIM
OG0000411	LOC115254175|XP_029728799.1|AEAL, LOC109423890|XP_019554495.1|AEAL	LOC27206658|XP_016035586.1|DSIM
OG0000411	LOC109408555|XP_019537424.1|AEAL, LOC109429585|XP_019561118.1|AEAL	LOC6731617|XP_002078757.1|DSIM
OG0000412	LOC109401457|XP_019529569.2|AEAL, LOC109410440|XP_019539541.1|AEAL, LOC109401458|XP_029710424.1|AEAL, LOC109410439|XP_019539540.1|AEAL	LOC6735362|XP_016028692.1|DSIM, LOC6738040|XP_016031863.1|DSIM
OG0000413	LOC109433328|XP_029733112.1|AEAL, LOC109399299|XP_029719120.1|AEAL	LOC6728915|XP_002104243.1|DSIM, LOC27208983|XP_016033305.1|DSIM
OG0000414	LOC109401537|XP_029724524.1|AEAL, LOC109412615|XP_019541782.2|AEAL, LOC115253752|XP_029724433.1|AEAL, LOC109401536|XP_019529650.2|AEAL, LOC109412614|XP_029724432.1|AEAL, LOC109412613|XP_019541780.2|AEAL, LOC109401535|XP_019529649.2|AEAL, LOC115264686|XP_029724525.1|AEAL	LOC6734051|XP_002081087.1|DSIM, LOC6733185|XP_002080261.2|DSIM
OG0000415	LOC109402060|XP_019530206.2|AEAL, LOC109416886|XP_019546527.1|AEAL	LOC6735616|XP_016028976.1|DSIM, LOC6735613|XP_016028973.1|DSIM
OG0000416	LOC109402085|XP_029710927.1|AEAL, LOC109427372|XP_019558464.2|AEAL	LOC6739898|XP_002076787.1|DSIM
OG0000416	LOC109427757|XP_019558893.2|AEAL, LOC109431346|XP_019563108.1|AEAL	LOC6725681|XP_002106685.1|DSIM
OG0000417	LOC109397296|XP_029729083.1|AEAL, LOC115253819|XP_029709983.1|AEAL, LOC109423211|XP_029707949.1|AEAL, LOC115254707|XP_029708237.1|AEAL	LOC6729479|XP_016036151.1|DSIM
OG0000417	LOC115256097|XP_029710215.1|AEAL, LOC109414066|XP_019543347.2|AEAL	LOC6730250|XP_002105533.1|DSIM
OG0000418	LOC109416314|XP_029712294.1|AEAL, LOC115267223|XP_029729971.1|AEAL, LOC115267226|XP_029729978.1|AEAL, LOC109402225|XP_019530409.2|AEAL, LOC115267222|XP_029729969.1|AEAL, LOC115267224|XP_029729972.1|AEAL, LOC109402226|XP_019530410.2|AEAL	LOC6726640|XP_039153845.1|DSIM, LOC6740200|XP_016039938.2|DSIM
OG0000419	LOC109417954|XP_029725393.1|AEAL	LOC6734612|XP_039148453.1|DSIM
OG0000419	LOC109433278|XP_019565253.2|AEAL	LOC27209372|XP_039153289.1|DSIM, LOC6726048|XP_039153971.1|DSIM
OG0000421	LOC109421651|XP_019551712.1|AEAL	LOC6732390|XP_016025038.1|DSIM
OG0000421	LOC109420739|XP_019550761.2|AEAL, LOC109419943|XP_029708948.1|AEAL	LOC6731371|XP_016023986.1|DSIM
OG0000422	LOC115265533|XP_029726937.1|AEAL, LOC109421178|XP_019551217.2|AEAL, LOC109421176|XP_019551216.2|AEAL, LOC115265184|XP_029725312.1|AEAL, LOC115265185|XP_029725314.1|AEAL, LOC109427809|XP_019558943.2|AEAL, LOC109427811|XP_029725313.1|AEAL, LOC115265569|XP_029727059.1|AEAL, LOC109421327|XP_019551379.2|AEAL, LOC115265534|XP_029726938.1|AEAL, LOC109421326|XP_019551378.2|AEAL, LOC109426323|XP_019557324.2|AEAL, LOC109407207|XP_019535737.2|AEAL	LOC6739524|XP_016022793.1|DSIM
OG0000423	LOC109400858|XP_019528888.2|AEAL, LOC109415498|XP_019544931.2|AEAL, LOC109415500|XP_019544933.2|AEAL, LOC109400859|XP_019528889.2|AEAL, LOC115267668|XP_029730683.1|AEAL	LOC6735131|XP_002082108.1|DSIM, LOC6735130|XP_002082107.1|DSIM
OG0000424	LOC109401664|XP_029712729.1|AEAL	LOC6735215|XP_002082188.1|DSIM
OG0000425	LOC109414922|XP_029731765.1|AEAL, LOC109428994|XP_019560382.2|AEAL	LOC6734817|XP_016028048.1|DSIM
OG0000425	LOC115267748|XP_029730837.1|AEAL, LOC109414909|XP_019544303.2|AEAL	LOC6735365|XP_002082312.1|DSIM
OG0000426	LOC115254201|XP_029731407.1|AEAL, LOC109622223|XP_019932021.1|AEAL	LOC6733866|XP_016026889.1|DSIM, LOC27207204|XP_039147312.1|DSIM, LOC6733863|XP_039147311.1|DSIM, LOC27207150|XP_039147310.1|DSIM
OG0000433	LOC109405351|XP_029709569.1|AEAL, LOC115255642|XP_029709601.1|AEAL, LOC115255632|XP_029709582.1|AEAL, LOC109397806|XP_029710315.1|AEAL	LOC6740186|XP_016039875.1|DSIM
OG0000434	LOC109432159|XP_019564022.2|AEAL	LOC6729870|XP_002105173.1|DSIM
OG0000435	LOC109399383|XP_019527364.2|AEAL, LOC109400689|XP_019528729.2|AEAL, LOC109430899|XP_029722005.1|AEAL, LOC115263188|XP_029722000.1|AEAL, LOC115263186|XP_029721998.1|AEAL, LOC109430904|XP_019562534.2|AEAL, LOC109405093|XP_029711212.1|AEAL	LOC6725568|XP_002106579.2|DSIM
OG0000437	LOC109417248|XP_019546908.2|AEAL	LOC6731825|XP_002078960.1|DSIM
OG0000437	LOC109401534|XP_019529653.2|AEAL	LOC6731873|XP_016024550.1|DSIM
OG0000438	LOC109433257|XP_029715001.1|AEAL	LOC6738691|XP_002085493.1|DSIM, LOC6730172|XP_016036931.1|DSIM
OG0000439	LOC109414031|XP_029729134.1|AEAL, LOC115264933|XP_029724932.1|AEAL, LOC115264925|XP_029724873.1|AEAL	LOC6731565|XP_039148450.1|DSIM
OG0000439	LOC109432331|XP_019564217.1|AEAL	LOC6738019|XP_016031818.1|DSIM
OG0000440	LOC115253935|XP_029708448.1|AEAL, LOC115255328|XP_029709200.1|AEAL, LOC109417702|XP_019547324.2|AEAL	LOC6735704|XP_002082620.2|DSIM, LOC6734287|XP_002081316.1|DSIM
OG0000441	LOC115255219|XP_029709022.1|AEAL, LOC109407178|XP_019535708.1|AEAL	LOC6735557|XP_002082477.1|DSIM, LOC6735558|XP_002082478.1|DSIM
OG0000443	LOC109623333|XP_019933431.2|AEAL, LOC109424680|XP_019555389.2|AEAL	LOC6736236|XP_002083130.2|DSIM, LOC6736235|XP_002083129.2|DSIM
OG0000444	LOC109397004|XP_029731025.1|AEAL, LOC115262796|XP_029721544.1|AEAL	LOC6731547|XP_002078692.1|DSIM, LOC6731549|XP_016024219.1|DSIM
OG0000448	LOC109402161|XP_029729860.1|AEAL, LOC109413232|XP_019542504.2|AEAL	LOC6730303|XP_002105586.1|DSIM, LOC6730306|XP_002105589.2|DSIM
OG0000449	LOC115257229|XP_029712526.1|AEAL, LOC109397778|XP_029733990.1|AEAL, LOC109428789|XP_019560181.1|AEAL	LOC6738491|XP_016032337.1|DSIM
OG0000449	LOC109405354|XP_029709574.1|AEAL, LOC115255646|XP_029709606.1|AEAL, LOC109397817|XP_029709591.1|AEAL	LOC27206496|XP_016025567.1|DSIM
OG0000450	LOC109422876|XP_029724024.1|AEAL	LOC6725615|XP_039153373.1|DSIM
OG0000450	LOC109433652|XP_029711834.1|AEAL, LOC115253978|XP_029711929.1|AEAL, LOC115253558|XP_029733836.1|AEAL	LOC6726282|XP_016039800.1|DSIM
OG0000451	LOC109427699|XP_019558831.2|AEAL	LOC27207003|XP_016037668.2|DSIM
OG0000451	LOC109427697|XP_019558826.2|AEAL	LOC27207524|XP_016037663.1|DSIM
OG0000453	LOC109425349|XP_029729693.1|AEAL, LOC115267043|XP_029729695.1|AEAL, LOC115267026|XP_029729660.1|AEAL, LOC109425351|XP_019556147.1|AEAL	LOC6728164|XP_016034771.1|DSIM
OG0000454	LOC109621699|XP_029725277.1|AEAL	LOC6726913|XP_002102315.2|DSIM, LOC6736394|XP_002083266.1|DSIM
OG0000456	LOC109415851|XP_029720057.1|AEAL	LOC6724709|XP_016037468.1|DSIM
OG0000456	LOC109401374|XP_029712273.1|AEAL	LOC6732311|XP_039147151.1|DSIM
OG0000457	LOC115264999|XP_029725048.1|AEAL, LOC115264937|XP_029724947.1|AEAL, LOC109404215|XP_029724888.1|AEAL	LOC6731599|XP_016024274.1|DSIM
OG0000457	LOC115265005|XP_029725053.1|AEAL	LOC6731206|XP_016023750.1|DSIM
OG0000458	LOC115262061|XP_029719863.1|AEAL, LOC109429691|XP_029720017.1|AEAL, LOC109407008|XP_029719888.1|AEAL, LOC109407014|XP_019535575.2|AEAL, LOC115262073|XP_029719887.1|AEAL, LOC115262076|XP_029719889.1|AEAL, LOC109407010|XP_019535570.2|AEAL, LOC109429725|XP_029719860.1|AEAL, LOC115262119|XP_029720016.1|AEAL, LOC109400294|XP_029724827.1|AEAL, LOC109425179|XP_029724844.1|AEAL	LOC6732128|XP_016024795.1|DSIM
OG0000460	LOC115255452|XP_029709438.1|AEAL	LOC6730581|XP_002077760.1|DSIM
OG0000465	LOC109423357|XP_019553875.2|AEAL, LOC109430165|XP_029713455.1|AEAL, LOC109432135|XP_029713196.1|AEAL	LOC6729455|XP_039151173.1|DSIM, LOC6729454|XP_016036128.1|DSIM
OG0000466	LOC115267077|XP_029729787.1|AEAL, LOC109399946|XP_019527945.1|AEAL	LOC6725675|XP_039152393.1|DSIM
OG0000466	LOC109427781|XP_029720741.1|AEAL	LOC27206536|XP_016022876.1|DSIM
OG0000467	LOC109423258|XP_029726430.1|AEAL	LOC6733345|XP_039148295.1|DSIM, LOC6733330|XP_016026243.2|DSIM
OG0000468	LOC115262136|XP_029720097.1|AEAL, LOC109428099|XP_029720117.1|AEAL, LOC109418321|XP_019548041.1|AEAL	LOC6730365|XP_016037139.1|DSIM
OG0000468	LOC109418072|XP_019547792.2|AEAL	LOC27206161|XP_016027062.1|DSIM
OG0000469	LOC109429969|XP_029720082.1|AEAL, LOC109429553|XP_029719682.1|AEAL, LOC115262131|XP_029720081.1|AEAL	LOC6732081|XP_039147055.1|DSIM, LOC6732078|XP_039146920.1|DSIM
OG0000470	LOC115257400|XP_029712822.1|AEAL, LOC109418772|XP_029712085.1|AEAL, LOC109406508|XP_029713617.1|AEAL	LOC6739070|XP_039150244.1|DSIM
OG0000470	LOC109415835|XP_029715753.1|AEAL, LOC109418775|XP_029712889.1|AEAL	LOC6738890|XP_016032712.2|DSIM
OG0000471	LOC109402525|XP_029720071.1|AEAL	LOC6739603|XP_002076499.2|DSIM, LOC6730706|XP_002077876.2|DSIM
OG0000473	LOC109427502|XP_019558599.2|AEAL, LOC115254412|XP_029707762.1|AEAL	LOC6725517|XP_002106530.1|DSIM, LOC27207893|XP_016037795.1|DSIM
OG0000474	LOC109404730|XP_019533199.2|AEAL, LOC115269060|XP_029733230.1|AEAL	LOC6726201|XP_002107176.1|DSIM, LOC6737659|XP_016031424.1|DSIM
OG0000475	LOC109423532|XP_019554059.1|AEAL	LOC6729081|XP_016035728.1|DSIM, LOC6729082|XP_002104403.2|DSIM
OG0000476	LOC109405416|XP_019534025.2|AEAL, LOC109402424|XP_029729906.1|AEAL, LOC115253985|XP_029712586.1|AEAL	LOC6728789|XP_002104124.1|DSIM, LOC6728788|XP_016035478.1|DSIM
OG0000477	LOC109405223|XP_019533802.2|AEAL	LOC6728990|XP_002104312.2|DSIM, LOC6728989|XP_002104311.1|DSIM
OG0000478	LOC115261565|XP_029719319.1|AEAL, LOC109420225|XP_029725817.1|AEAL, LOC109409968|XP_029717035.1|AEAL, LOC115265746|XP_029727552.1|AEAL, LOC109409969|XP_019539030.1|AEAL, LOC115261566|XP_029719320.1|AEAL	LOC6740109|XP_002076994.1|DSIM, LOC6729726|XP_002105032.1|DSIM
OG0000479	LOC115263214|XP_029722059.1|AEAL, LOC115263355|XP_029722513.1|AEAL, LOC109430843|XP_029722509.1|AEAL, LOC109430825|XP_019562456.2|AEAL, LOC115263357|XP_029722515.1|AEAL, LOC115263352|XP_029722508.1|AEAL, LOC109430827|XP_029722514.1|AEAL	LOC6728810|XP_002104144.1|DSIM, LOC6728811|XP_002104145.1|DSIM
OG0000480	LOC109415040|XP_019544436.2|AEAL, LOC109621950|XP_019931711.1|AEAL	LOC6730757|XP_016023173.1|DSIM, LOC6730755|XP_002077923.2|DSIM
OG0000482	LOC109422646|XP_019553034.2|AEAL, LOC109402853|XP_019531139.2|AEAL, LOC115271087|XP_029736423.1|AEAL, LOC109402844|XP_019531125.2|AEAL	LOC6727405|XP_002102790.1|DSIM
OG0000483	LOC109403303|XP_019531651.2|AEAL, LOC109403255|XP_029719364.1|AEAL, LOC109433400|XP_019565376.2|AEAL	LOC6729405|XP_002104720.1|DSIM, LOC27206920|XP_016036051.1|DSIM
OG0000484	LOC115260280|XP_029717075.1|AEAL, LOC109406257|XP_019534864.1|AEAL	LOC6727458|XP_039151565.1|DSIM, LOC6727460|XP_016034056.1|DSIM
OG0000485	LOC109405475|XP_019534111.1|AEAL	LOC6738562|XP_016032422.1|DSIM, LOC6738563|XP_002085368.1|DSIM
OG0000486	LOC109428916|XP_019560303.2|AEAL, LOC115267545|XP_029730488.1|AEAL, LOC109408709|XP_019537614.2|AEAL, LOC115253482|XP_029730827.1|AEAL	LOC6735909|XP_016029260.1|DSIM, LOC6735907|XP_016029258.1|DSIM
OG0000489	LOC109433597|XP_019565581.2|AEAL, LOC109431157|XP_019562906.2|AEAL, LOC109408968|XP_019537912.2|AEAL, LOC109408945|XP_019537890.2|AEAL	LOC27206627|XP_016037155.1|DSIM, LOC6740080|XP_016038891.1|DSIM
OG0000490	LOC115267225|XP_029729976.1|AEAL, LOC109402227|XP_029729973.1|AEAL	LOC6725028|XP_016037976.1|DSIM
OG0000490	LOC109431349|XP_029733420.1|AEAL, LOC109427779|XP_029717800.1|AEAL	LOC6726609|XP_039152566.1|DSIM
OG0000491	LOC115267172|XP_029729877.1|AEAL, LOC109415532|XP_019544960.2|AEAL	LOC6734068|XP_002081103.1|DSIM, LOC6734069|XP_002081104.1|DSIM
OG0000492	LOC115268555|XP_029732510.1|AEAL, LOC109403859|XP_019532304.1|AEAL	LOC6733706|XP_016026674.1|DSIM
