Orthogroup	AEAL.longest_only	DBIA.longest_only
OG0001919	LOC109622547|XP_019932500.2|AEAL, LOC109622551|XP_019932504.2|AEAL	LOC108030141|XP_016958345.1|DBIA
OG0001920	LOC109409370|XP_029726254.1|AEAL	LOC108029830|XP_016957820.1|DBIA
OG0001921	LOC109409346|XP_019538345.2|AEAL	LOC108029799|XP_016957803.1|DBIA
OG0001922	LOC109423373|XP_029727575.1|AEAL	LOC108026928|XP_016953629.1|DBIA
OG0001924	LOC109418091|XP_029726738.1|AEAL	LOC108035852|XP_016967085.1|DBIA, LOC108031427|XP_016960323.1|DBIA
OG0001925	LOC109418125|XP_019547870.2|AEAL	LOC108035299|XP_016966358.1|DBIA, LOC108036665|XP_016968439.1|DBIA
OG0001926	LOC109418925|XP_029726695.1|AEAL	LOC108035546|XP_016966704.1|DBIA
OG0001927	LOC115255803|XP_029709804.1|AEAL, LOC109418995|XP_019548772.2|AEAL	LOC108023039|XP_016947769.1|DBIA
OG0001928	LOC109419715|XP_019549530.1|AEAL, LOC115255816|XP_029709858.1|AEAL	LOC108035241|XP_016966263.1|DBIA
OG0001929	LOC109419707|XP_029733516.1|AEAL, LOC109398542|XP_029709818.1|AEAL	LOC108034786|XP_016965234.1|DBIA
OG0001930	LOC115269199|XP_029733510.1|AEAL, LOC109398290|XP_029709834.1|AEAL	LOC108030121|XP_016958311.1|DBIA
OG0001932	LOC109420217|XP_029725826.1|AEAL	LOC108028311|XP_016955523.1|DBIA
OG0001933	LOC115260243|XP_029717033.1|AEAL, LOC109420186|XP_019550057.1|AEAL	LOC108022469|XP_016946908.1|DBIA
OG0001934	LOC115256192|XP_029710312.1|AEAL, LOC109397354|XP_029732959.1|AEAL, LOC115265331|XP_029725777.1|AEAL, LOC109420259|XP_019550143.2|AEAL	LOC108035528|XP_016966686.1|DBIA
OG0001935	LOC109402593|XP_029725685.1|AEAL, LOC109416472|XP_019546090.2|AEAL	LOC108034558|XP_016964976.1|DBIA
OG0001937	LOC115265680|XP_029727500.1|AEAL, LOC109426918|XP_029725651.1|AEAL, LOC115265295|XP_029725645.1|AEAL	LOC108026767|XP_016953399.1|DBIA
OG0001938	LOC109406574|XP_029712396.1|AEAL, LOC109427172|XP_029725594.1|AEAL	LOC108022701|XP_016947263.1|DBIA
OG0001939	LOC115265670|XP_029727485.1|AEAL, LOC109426632|XP_019557705.2|AEAL, LOC115267288|XP_029730062.1|AEAL, LOC109426633|XP_019557706.2|AEAL	LOC108022216|XP_016946559.1|DBIA
OG0001940	LOC115262279|XP_029720540.1|AEAL, LOC109417793|XP_019547501.2|AEAL	LOC108036314|XP_016967813.1|DBIA
OG0001941	LOC109417821|XP_019547543.1|AEAL	LOC108031298|XP_016960034.1|DBIA
OG0001942	LOC109409388|XP_019538407.2|AEAL, LOC109426708|XP_029725442.1|AEAL	LOC108030250|XP_016958558.1|DBIA
OG0001943	LOC109426738|XP_019557820.2|AEAL, LOC109417931|XP_019547621.2|AEAL, LOC115258083|XP_029713946.1|AEAL	LOC108034597|XP_016965019.1|DBIA
OG0001944	LOC109407921|XP_029732346.1|AEAL, LOC109412279|XP_029723162.1|AEAL	LOC108030151|XP_016958366.1|DBIA
OG0001945	LOC109403681|XP_029735161.1|AEAL, LOC109407968|XP_029735104.1|AEAL	LOC108036393|XP_016967991.1|DBIA
OG0001946	LOC109407986|XP_029735117.1|AEAL, LOC115258365|XP_029714313.1|AEAL, LOC115270149|XP_029735148.1|AEAL	LOC108030219|XP_016958483.1|DBIA
OG0001947	LOC109403625|XP_029735146.1|AEAL, LOC109408086|XP_019536850.2|AEAL	LOC108022314|XP_016946663.1|DBIA
OG0001948	LOC109404954|XP_019533456.2|AEAL, LOC109400617|XP_019528652.2|AEAL	LOC108035752|XP_016966938.1|DBIA
OG0001949	LOC109399436|XP_029734823.1|AEAL	LOC108028554|XP_016955946.1|DBIA
OG0001950	LOC109400722|XP_029734811.1|AEAL, LOC109402722|XP_029715806.1|AEAL	LOC108022466|XP_016947298.1|DBIA, LOC108023806|XP_016948936.1|DBIA
OG0001951	LOC109415818|XP_029725138.1|AEAL, LOC115253838|XP_029734706.1|AEAL	LOC108026608|XP_016953071.1|DBIA
OG0001952	LOC115269964|XP_029734662.1|AEAL, LOC109425698|XP_029734674.1|AEAL, LOC115269966|XP_029734671.1|AEAL	LOC108027585|XP_016954592.1|DBIA, LOC108026988|XP_016953679.1|DBIA
OG0001953	LOC115254608|XP_029708080.1|AEAL, LOC115260123|XP_029716886.1|AEAL, LOC109430555|XP_019562174.2|AEAL	LOC108026794|XP_016953444.1|DBIA
OG0001954	LOC115256967|XP_029712039.1|AEAL, LOC109622630|XP_029712070.1|AEAL, LOC115263144|XP_029721928.1|AEAL	LOC108022568|XP_016947054.1|DBIA
OG0001955	LOC109415865|XP_019545356.1|AEAL, LOC109622715|XP_029712059.1|AEAL, LOC115256975|XP_029712053.1|AEAL	LOC108036226|XP_016967726.1|DBIA
OG0001956	LOC109415878|XP_029722428.1|AEAL, LOC109621282|XP_029722445.1|AEAL	LOC108034832|XP_016965433.1|DBIA
OG0001957	LOC109621247|XP_019933513.2|AEAL, LOC109430239|XP_019561832.1|AEAL, LOC109428867|XP_019560249.2|AEAL	LOC108026667|XP_016953203.1|DBIA
OG0001958	LOC115263373|XP_029722531.1|AEAL, LOC109416238|XP_029722308.1|AEAL, LOC115263375|XP_029722533.1|AEAL, LOC109407411|XP_029722231.1|AEAL	LOC108030170|XP_016958395.1|DBIA
OG0001959	LOC109424175|XP_029722127.1|AEAL, LOC109413562|XP_029721402.1|AEAL, LOC115260112|XP_029716867.1|AEAL	LOC108028762|XP_016956224.1|DBIA
OG0001960	LOC115263344|XP_029722501.1|AEAL, LOC115263179|XP_029721970.1|AEAL, LOC109430897|XP_029721968.1|AEAL	LOC108030448|XP_016958841.1|DBIA
OG0001961	LOC115259287|XP_029715676.1|AEAL, LOC109430942|XP_029730376.1|AEAL, LOC109431686|XP_029715644.1|AEAL	LOC108023003|XP_016947723.1|DBIA
OG0001962	LOC109430950|XP_019562611.2|AEAL, LOC109431714|XP_019563527.2|AEAL	LOC108036626|XP_016968387.1|DBIA
OG0001963	LOC109399513|XP_029714085.1|AEAL, LOC115254259|XP_029735711.1|AEAL, LOC109398045|XP_029714084.1|AEAL	LOC108035419|XP_016966529.1|DBIA
OG0001964	LOC115254260|XP_029735856.1|AEAL, LOC109408641|XP_029736020.1|AEAL, LOC109428978|XP_029730422.1|AEAL	LOC108028508|XP_016955879.1|DBIA
OG0001966	LOC109401032|XP_019529062.1|AEAL, LOC115270470|XP_029736064.1|AEAL, LOC109414964|XP_019544355.1|AEAL, LOC109415154|XP_019544586.2|AEAL	LOC108031886|XP_016961139.1|DBIA
OG0001967	LOC109424271|XP_029719648.1|AEAL, LOC109428709|XP_029735262.1|AEAL, LOC115270173|XP_029735276.1|AEAL	LOC108026536|XP_016952972.1|DBIA
OG0001968	LOC115265043|XP_029725102.1|AEAL, LOC115269721|XP_029734406.1|AEAL, LOC115269719|XP_029734401.1|AEAL, LOC109428738|XP_019560109.2|AEAL	LOC108034573|XP_016964992.1|DBIA
OG0001969	LOC115270213|XP_029735333.1|AEAL, LOC115270240|XP_029735367.1|AEAL	LOC108030134|XP_016958337.1|DBIA
OG0001970	LOC115254256|XP_029735450.1|AEAL, LOC115270264|XP_029735393.1|AEAL, LOC109423800|XP_019554378.1|AEAL, LOC109430605|XP_019562214.2|AEAL	LOC108026876|XP_016953556.1|DBIA
OG0001971	LOC109423676|XP_019554218.2|AEAL, LOC115269757|XP_029734441.1|AEAL	LOC108029353|XP_016957033.1|DBIA
OG0001972	LOC109423751|XP_029735575.1|AEAL, LOC109414256|XP_029735556.1|AEAL	LOC108030149|XP_016958358.1|DBIA
OG0001973	LOC109423655|XP_029715596.1|AEAL, LOC115259212|XP_029715591.1|AEAL	LOC108022954|XP_016947658.1|DBIA
OG0001974	LOC109408899|XP_019537814.2|AEAL, LOC115266575|XP_029728811.1|AEAL	LOC108036609|XP_016968360.1|DBIA
OG0001975	LOC109416689|XP_019546295.2|AEAL, LOC115266655|XP_029729044.1|AEAL, LOC109416512|XP_029729043.1|AEAL	LOC108034636|XP_016965062.1|DBIA
OG0001976	LOC115254758|XP_029708288.1|AEAL, LOC115266635|XP_029729004.1|AEAL, LOC109414979|XP_029728942.1|AEAL, LOC109415142|XP_029728995.1|AEAL	LOC108030139|XP_016958343.1|DBIA
OG0001977	LOC109427863|XP_029728530.1|AEAL, LOC115259071|XP_029715442.1|AEAL, LOC115259143|XP_029715519.1|AEAL, LOC115258928|XP_029715307.1|AEAL, LOC109428168|XP_029717224.1|AEAL	LOC108033711|XP_016963732.1|DBIA
OG0001978	LOC109433268|XP_019565239.1|AEAL, LOC109424444|XP_019555108.1|AEAL, LOC115259303|XP_029715695.1|AEAL	LOC108034242|XP_016964582.1|DBIA
OG0001979	LOC109420083|XP_019549936.1|AEAL	LOC108036791|XP_016968627.1|DBIA
OG0001980	LOC109412016|XP_019541205.1|AEAL, LOC109407960|XP_019536713.2|AEAL	LOC108033269|XP_016963028.1|DBIA
OG0001982	LOC115255682|XP_029709646.1|AEAL, LOC109432886|XP_029712419.1|AEAL, LOC109401423|XP_019529520.1|AEAL	LOC108036869|XP_016968738.1|DBIA
OG0001983	LOC109433074|XP_029711242.1|AEAL, LOC109411297|XP_029711472.1|AEAL	LOC108031647|XP_016960770.1|DBIA
OG0001984	LOC109433083|XP_019565019.2|AEAL	LOC108021858|XP_016946136.1|DBIA
OG0001985	LOC109621803|XP_029724949.1|AEAL, LOC109404203|XP_029724890.1|AEAL	LOC108032540|XP_016961902.1|DBIA
OG0001986	LOC115264922|XP_029724857.1|AEAL, LOC109414034|XP_029724875.1|AEAL, LOC115253903|XP_029724936.1|AEAL	LOC108034032|XP_016964267.1|DBIA
OG0001987	LOC109428779|XP_019560166.2|AEAL, LOC115253803|XP_029733997.1|AEAL	LOC108024211|XP_016949555.1|DBIA
OG0001988	LOC115258948|XP_029715326.1|AEAL, LOC109409322|XP_029721659.1|AEAL, LOC109419104|XP_029715310.1|AEAL	LOC108022660|XP_016947215.1|DBIA
OG0001989	LOC115258621|XP_029714772.1|AEAL, LOC109419107|XP_029721665.1|AEAL, LOC109409319|XP_029714703.1|AEAL	LOC108028992|XP_016956522.1|DBIA
OG0001990	LOC109419108|XP_029715128.1|AEAL, LOC109409361|XP_029715193.1|AEAL, LOC115262912|XP_029721672.1|AEAL	LOC108034192|XP_016964505.1|DBIA
OG0001991	LOC109622331|XP_029732605.1|AEAL	LOC108025970|XP_016952558.1|DBIA
OG0001992	LOC115258833|XP_029715127.1|AEAL, LOC109397539|XP_029714675.1|AEAL	LOC108033946|XP_016964123.1|DBIA
OG0001993	LOC115258581|XP_029714677.1|AEAL, LOC115258553|XP_029714578.1|AEAL, LOC109397524|XP_019525370.1|AEAL	LOC108033885|XP_016964019.1|DBIA
OG0001994	LOC109405873|XP_019534477.2|AEAL, LOC109407201|XP_019535726.2|AEAL	LOC108031747|XP_016960937.1|DBIA
OG0001995	LOC115258769|XP_029715029.1|AEAL, LOC109405703|XP_019534308.2|AEAL, LOC109410201|XP_029730241.1|AEAL	LOC108032823|XP_016962327.1|DBIA
OG0001996	LOC109417642|XP_029709337.1|AEAL, LOC115255414|XP_029709383.1|AEAL, LOC115255422|XP_029709410.1|AEAL	LOC108029211|XP_016956891.1|DBIA
OG0001997	LOC115255375|XP_029709277.1|AEAL, LOC115253948|XP_029709288.1|AEAL, LOC109417687|XP_019547293.2|AEAL	LOC108022527|XP_016946993.1|DBIA
OG0001998	LOC115253946|XP_029709239.1|AEAL, LOC109416929|XP_029709253.1|AEAL, LOC109417691|XP_019547307.2|AEAL	LOC108022532|XP_016946997.1|DBIA
OG0001999	LOC109417772|XP_029709100.1|AEAL	LOC108022615|XP_016947144.1|DBIA
OG0002000	LOC109415253|XP_029709033.1|AEAL	LOC108036051|XP_016967483.1|DBIA
OG0002001	LOC109419931|XP_029708900.1|AEAL, LOC115255157|XP_029708909.1|AEAL	LOC108033698|XP_016963687.1|DBIA
OG0002002	LOC109419878|XP_019549708.2|AEAL, LOC109420708|XP_019550709.2|AEAL	LOC108022935|XP_016947637.1|DBIA
OG0002003	LOC109414247|XP_029736327.1|AEAL, LOC115253939|XP_029708865.1|AEAL, LOC109420697|XP_019550692.1|AEAL	LOC108036750|XP_016968558.1|DBIA
OG0002004	LOC109420660|XP_019550626.2|AEAL	LOC108034089|XP_016964345.1|DBIA
OG0002005	LOC109420492|XP_029708637.1|AEAL, LOC109419733|XP_029708643.1|AEAL	LOC108032650|XP_016962091.1|DBIA
OG0002006	LOC115269356|XP_029733865.1|AEAL, LOC109420302|XP_029732976.1|AEAL, LOC109419769|XP_029708609.1|AEAL, LOC115255044|XP_029708632.1|AEAL	LOC108033690|XP_016963666.1|DBIA
OG0002007	LOC115261019|XP_029718245.1|AEAL, LOC109430154|XP_019561731.1|AEAL	LOC108036124|XP_016967598.1|DBIA
OG0002008	LOC109430176|XP_029727434.1|AEAL	LOC108035993|XP_016967345.1|DBIA
OG0002009	LOC109427576|XP_019558699.2|AEAL, LOC109432855|XP_019564749.2|AEAL, LOC115268908|XP_029732979.1|AEAL	LOC108026547|XP_016952986.1|DBIA
OG0002010	LOC109427591|XP_029727422.1|AEAL, LOC109621901|XP_019931649.2|AEAL	LOC108036794|XP_016968630.1|DBIA
OG0002011	LOC109431006|XP_019562675.2|AEAL, LOC115265222|XP_029725363.1|AEAL, LOC115266443|XP_029728532.1|AEAL, LOC109421438|XP_029727014.1|AEAL, LOC109432536|XP_019564411.2|AEAL	LOC108032757|XP_016962239.1|DBIA
OG0002012	LOC109423927|XP_019554535.1|AEAL, LOC109404813|XP_019533310.1|AEAL	LOC108029065|XP_016956624.1|DBIA
OG0002013	LOC109423906|XP_029727280.1|AEAL, LOC109404819|XP_029727242.1|AEAL	LOC108034119|XP_016964391.1|DBIA
OG0002014	LOC109421536|XP_029727097.1|AEAL	LOC108023032|XP_016947760.1|DBIA
OG0002015	LOC109421342|XP_019551395.1|AEAL, LOC109432570|XP_029726915.1|AEAL	LOC108034298|XP_016964650.1|DBIA
OG0002016	LOC109415848|XP_029720051.1|AEAL	LOC108030180|XP_016958415.1|DBIA
OG0002017	LOC109416795|XP_029720043.1|AEAL, LOC109402508|XP_029732812.1|AEAL	LOC108033902|XP_016964055.1|DBIA
OG0002018	LOC109429591|XP_029719953.1|AEAL, LOC115254140|XP_029724789.1|AEAL	LOC108033836|XP_016963952.1|DBIA, LOC108033255|XP_016963009.1|DBIA
OG0002019	LOC109429555|XP_019561077.2|AEAL	LOC108033891|XP_016964027.1|DBIA
OG0002020	LOC109415452|XP_019544873.2|AEAL	LOC108036098|XP_016967553.1|DBIA
OG0002021	LOC109398549|XP_029720118.1|AEAL	LOC108026694|XP_016953271.1|DBIA
OG0002022	LOC109398356|XP_029720147.1|AEAL, LOC109429827|XP_019561352.1|AEAL, LOC109401755|XP_029710059.1|AEAL, LOC109406163|XP_019534776.2|AEAL	LOC108033550|XP_016963384.1|DBIA
OG0002023	LOC109429794|XP_029719779.1|AEAL, LOC109398275|XP_019526140.2|AEAL	LOC108025044|XP_016950792.1|DBIA
OG0002024	LOC109411701|XP_019540819.1|AEAL	LOC108034158|XP_016964451.1|DBIA
OG0002025	LOC109411738|XP_019540880.3|AEAL	LOC108033995|XP_016964210.1|DBIA
OG0002026	LOC109414170|XP_019543498.2|AEAL	LOC108030863|XP_016959498.1|DBIA
OG0002027	LOC115255674|XP_029709636.1|AEAL, LOC115254439|XP_029707790.1|AEAL, LOC109421746|XP_029709633.1|AEAL	LOC108026624|XP_016953125.1|DBIA
OG0002028	LOC109421752|XP_029707787.1|AEAL	LOC108026781|XP_016953427.1|DBIA
OG0002029	LOC109423263|XP_029709312.1|AEAL	LOC108028242|XP_016955409.1|DBIA
OG0002030	LOC115262698|XP_029721219.1|AEAL, LOC109623315|XP_019933386.1|AEAL, LOC109401290|XP_019529329.1|AEAL	LOC108022732|XP_016947311.1|DBIA
OG0002031	LOC109412046|XP_019541233.2|AEAL	LOC108029767|XP_016957762.1|DBIA
OG0002032	LOC115263976|XP_029723139.1|AEAL, LOC109427293|XP_029721389.1|AEAL	LOC108027155|XP_016953873.1|DBIA
OG0002033	LOC115263095|XP_029721873.1|AEAL, LOC115263947|XP_029723115.1|AEAL, LOC109426125|XP_029721558.1|AEAL, LOC109418409|XP_029723114.1|AEAL	LOC108025690|XP_016951713.1|DBIA
OG0002034	LOC109426160|XP_029721705.1|AEAL, LOC109426156|XP_029721662.1|AEAL, LOC109418423|XP_029721956.1|AEAL	LOC108023510|XP_016948542.1|DBIA
OG0002035	LOC109426175|XP_029722195.1|AEAL, LOC109418446|XP_019548182.2|AEAL, LOC115263232|XP_029722087.1|AEAL	LOC108032165|XP_016961507.1|DBIA
OG0002036	LOC115260472|XP_029717276.1|AEAL, LOC109407471|XP_029717229.1|AEAL, LOC109419243|XP_029723569.1|AEAL	LOC108031058|XP_016959748.1|DBIA
OG0002037	LOC109410442|XP_029725870.1|AEAL, LOC115256317|XP_029710420.1|AEAL	LOC108035209|XP_016966208.1|DBIA
OG0002038	LOC109410375|XP_019539473.2|AEAL	LOC108032083|XP_016961396.1|DBIA
OG0002039	LOC109414398|XP_019543750.2|AEAL, LOC109415396|XP_019544808.2|AEAL	LOC108036875|XP_016968740.1|DBIA
OG0002040	LOC109425025|XP_019555760.2|AEAL	LOC108030488|XP_016958859.1|DBIA
OG0002041	LOC109410906|XP_029730035.1|AEAL, LOC109411113|XP_029730603.1|AEAL, LOC115253916|XP_029730013.1|AEAL	LOC108029595|XP_016957456.1|DBIA
OG0002042	LOC109399298|XP_019527278.2|AEAL, LOC109433350|XP_019565322.2|AEAL	LOC108027364|XP_016954275.1|DBIA
OG0002043	LOC109413928|XP_019543205.2|AEAL, LOC109621289|XP_019931854.2|AEAL, LOC115254236|XP_029734177.1|AEAL	LOC108027390|XP_016954315.1|DBIA
OG0002044	LOC115269272|XP_029733687.1|AEAL, LOC109400364|XP_029733583.1|AEAL, LOC109432399|XP_029715538.1|AEAL	LOC108031005|XP_016959694.1|DBIA, LOC108031652|XP_016960772.1|DBIA
OG0002045	LOC109416442|XP_029729673.1|AEAL, LOC115261564|XP_029719318.1|AEAL, LOC109622373|XP_029719311.1|AEAL	LOC108032117|XP_016961439.1|DBIA
OG0002046	LOC109416293|XP_029736172.1|AEAL	LOC108024803|XP_016950414.1|DBIA, LOC108035755|XP_016966942.1|DBIA
OG0002047	LOC109416414|XP_029707563.1|AEAL, LOC115253755|XP_029727739.1|AEAL, LOC115266053|XP_029727760.1|AEAL, LOC109424021|XP_029727708.1|AEAL	LOC108024090|XP_016949354.1|DBIA
OG0002048	LOC109431922|XP_029727776.1|AEAL, LOC115266066|XP_029727788.1|AEAL	LOC108031157|XP_016959862.1|DBIA, LOC108031332|XP_016960073.1|DBIA
OG0002049	LOC109422734|XP_029728099.1|AEAL, LOC115254159|XP_029727908.1|AEAL, LOC109431860|XP_029727923.1|AEAL	LOC108024523|XP_016949967.1|DBIA
OG0002050	LOC115264858|XP_029724751.1|AEAL, LOC109412333|XP_019541524.2|AEAL, LOC109422696|XP_029727884.1|AEAL	LOC108026222|XP_016952534.1|DBIA
OG0002051	LOC109402833|XP_019531111.2|AEAL	LOC108022767|XP_016947362.1|DBIA
OG0002052	LOC115257064|XP_029712215.1|AEAL	LOC108034415|XP_016964787.1|DBIA
OG0002053	LOC109398800|XP_019526757.1|AEAL, LOC115261372|XP_029718786.1|AEAL	LOC108031812|XP_016961027.1|DBIA
OG0002054	LOC109398827|XP_019526802.2|AEAL	LOC108027218|XP_016954036.1|DBIA
OG0002055	LOC115261446|XP_029718976.1|AEAL, LOC109427230|XP_019558281.2|AEAL, LOC115261426|XP_029718935.1|AEAL	LOC108031828|XP_016961055.1|DBIA
OG0002056	LOC115253572|XP_029718913.1|AEAL, LOC109411614|XP_029718965.1|AEAL, LOC109427247|XP_029715618.1|AEAL	LOC108030569|XP_016958960.1|DBIA
OG0002057	LOC115261409|XP_029718888.1|AEAL, LOC115261440|XP_029718962.1|AEAL, LOC109411619|XP_019540720.2|AEAL, LOC109427253|XP_019558324.2|AEAL	LOC108034187|XP_016964498.1|DBIA
OG0002058	LOC115254069|XP_029718910.1|AEAL, LOC109427254|XP_019558325.1|AEAL, LOC115261410|XP_029718889.1|AEAL, LOC109411620|XP_029718963.1|AEAL	LOC108029949|XP_016957944.1|DBIA
OG0002059	LOC109427256|XP_019558330.1|AEAL, LOC115261411|XP_029718893.1|AEAL, LOC115261415|XP_029718907.1|AEAL, LOC109411623|XP_029717160.1|AEAL	LOC108026272|XP_016952623.1|DBIA
OG0002060	LOC109427262|XP_029718897.1|AEAL, LOC109411628|XP_029717172.1|AEAL, LOC115261435|XP_029718951.1|AEAL	LOC108022881|XP_016947567.1|DBIA
OG0002061	LOC109427263|XP_029718950.1|AEAL, LOC109411629|XP_019540734.2|AEAL, LOC115261412|XP_029718895.1|AEAL	LOC108026884|XP_016953573.1|DBIA
OG0002062	LOC109404968|XP_029719247.1|AEAL	LOC108035785|XP_016967000.1|DBIA
OG0002063	LOC109404986|XP_019533517.2|AEAL, LOC109416162|XP_019545680.2|AEAL, LOC115254081|XP_029719239.1|AEAL	LOC108023240|XP_016948007.1|DBIA
OG0002064	LOC115261573|XP_029719328.1|AEAL, LOC109416620|XP_019546229.1|AEAL, LOC115261546|XP_029719255.1|AEAL, LOC109432816|XP_029719329.1|AEAL	LOC108035465|XP_016966602.1|DBIA
OG0002065	LOC115261562|XP_029719310.1|AEAL, LOC109432817|XP_019564706.2|AEAL, LOC115261563|XP_029719313.1|AEAL	LOC108035060|XP_016965935.1|DBIA
OG0002066	LOC109405099|XP_029716736.1|AEAL	LOC108026130|XP_016952323.1|DBIA
OG0002067	LOC109416515|XP_019546132.2|AEAL	LOC108026967|XP_016953672.1|DBIA, LOC108026501|XP_016952937.1|DBIA
OG0002068	LOC109411939|XP_029733040.1|AEAL, LOC109406738|XP_029733024.1|AEAL	LOC108030377|XP_016958736.1|DBIA
OG0002069	LOC115254161|XP_029728101.1|AEAL, LOC109405601|XP_019534210.2|AEAL	LOC108031619|XP_016960710.1|DBIA
OG0002070	LOC109405911|XP_019534518.2|AEAL, LOC109405691|XP_019534300.2|AEAL, LOC109405647|XP_019534264.2|AEAL	LOC108024855|XP_016950486.1|DBIA
OG0002071	LOC109407855|XP_029724224.1|AEAL	LOC108026131|XP_016952334.1|DBIA
OG0002072	LOC109398924|XP_019526924.1|AEAL, LOC115264564|XP_029724249.1|AEAL	LOC108036536|XP_016968249.1|DBIA
OG0002073	LOC109401570|XP_029724505.1|AEAL, LOC109402877|XP_029724543.1|AEAL, LOC115264667|XP_029724487.1|AEAL	LOC108034899|XP_016965602.1|DBIA
OG0002074	LOC109422260|XP_029724561.1|AEAL, LOC115259952|XP_029716608.1|AEAL	LOC108026911|XP_016953609.1|DBIA
OG0002075	LOC109415838|XP_019545321.1|AEAL, LOC109418778|XP_019548552.1|AEAL, LOC115257589|XP_029713233.1|AEAL, LOC115254032|XP_029715751.1|AEAL	LOC108036769|XP_016968598.1|DBIA
OG0002076	LOC109420404|XP_029729304.1|AEAL, LOC109402323|XP_029713604.1|AEAL	LOC108022782|XP_016947384.1|DBIA
OG0002077	LOC109402320|XP_029713586.1|AEAL, LOC115253757|XP_029713723.1|AEAL	LOC108029177|XP_016956828.1|DBIA, LOC108029160|XP_016956793.1|DBIA
OG0002078	LOC115257894|XP_029713736.1|AEAL, LOC115257450|XP_029712906.1|AEAL, LOC109402270|XP_019530465.2|AEAL	LOC108029667|XP_016957584.1|DBIA
OG0002079	LOC109433204|XP_019565150.1|AEAL	LOC108028294|XP_016955502.1|DBIA
OG0002080	LOC109431533|XP_029719646.1|AEAL, LOC109422416|XP_029712778.1|AEAL	LOC108022999|XP_016947719.1|DBIA
OG0002081	LOC109424407|XP_029707752.1|AEAL	LOC108026959|XP_016953663.1|DBIA
OG0002082	LOC109418655|XP_029730659.1|AEAL, LOC109414790|XP_029719572.1|AEAL	LOC108036374|XP_016967963.1|DBIA
OG0002083	LOC109414805|XP_029719558.1|AEAL	LOC108023395|XP_016948322.1|DBIA
OG0002084	LOC109418498|XP_019548245.1|AEAL	LOC108023060|XP_016947796.1|DBIA
OG0002085	LOC109401249|XP_029721272.1|AEAL, LOC109413613|XP_029721370.1|AEAL, LOC115253902|XP_029721375.1|AEAL	LOC108026658|XP_016953185.1|DBIA
OG0002086	LOC109623390|XP_019933492.1|AEAL, LOC115262587|XP_029720847.1|AEAL, LOC109426916|XP_019558018.1|AEAL	LOC108022809|XP_016947432.1|DBIA
OG0002087	LOC109408615|XP_029720918.1|AEAL, LOC109421903|XP_029720891.1|AEAL	LOC108028017|XP_016955138.1|DBIA
OG0002088	LOC109408746|XP_019537664.2|AEAL, LOC115267732|XP_029730787.1|AEAL	LOC108028348|XP_016955589.1|DBIA
OG0002089	LOC115267813|XP_029731053.1|AEAL, LOC109397100|XP_029730995.1|AEAL	LOC108029607|XP_016957475.1|DBIA
OG0002090	LOC109409843|XP_019538871.2|AEAL	LOC108028596|XP_016956000.1|DBIA
OG0002091	LOC109399551|XP_019527547.2|AEAL	LOC108026606|XP_016953068.1|DBIA
OG0002092	LOC109431991|XP_019563837.1|AEAL, LOC109431287|XP_029724607.1|AEAL	LOC108035213|XP_016966217.1|DBIA
OG0002093	LOC115254199|XP_029731365.1|AEAL, LOC109426482|XP_029710081.1|AEAL	LOC108022843|XP_016947504.1|DBIA
OG0002094	LOC109403702|XP_029731427.1|AEAL, LOC115266893|XP_029729356.1|AEAL	LOC108026593|XP_016953054.1|DBIA
OG0002095	LOC109403422|XP_019531798.1|AEAL	LOC108024093|XP_016949357.1|DBIA
OG0002096	LOC109622238|XP_029731487.1|AEAL	LOC108022612|XP_016947137.1|DBIA
OG0002097	LOC109410744|XP_029731592.1|AEAL	LOC108036327|XP_016967829.1|DBIA
OG0002098	LOC115267972|XP_029731680.1|AEAL, LOC109433444|XP_029714386.1|AEAL, LOC109410678|XP_029731687.1|AEAL, LOC109415401|XP_029732102.1|AEAL	LOC108030845|XP_016959471.1|DBIA
OG0002099	LOC115270133|XP_029735089.1|AEAL, LOC109621473|XP_019931061.2|AEAL	LOC108031104|XP_016959804.1|DBIA, LOC108032054|XP_016961359.1|DBIA
OG0002100	LOC109426042|XP_019557027.1|AEAL	LOC108030656|XP_016959164.1|DBIA
OG0002101	LOC115254207|XP_029731958.1|AEAL, LOC109425935|XP_029731904.1|AEAL, LOC109407614|XP_029708345.1|AEAL	LOC108029579|XP_016957430.1|DBIA
OG0002102	LOC109407506|XP_019536102.2|AEAL, LOC115254090|XP_029720467.1|AEAL, LOC109425767|XP_029716782.1|AEAL	LOC108029639|XP_016957531.1|DBIA
OG0002103	LOC109412716|XP_019541874.2|AEAL, LOC109411868|XP_029728535.1|AEAL	LOC108022173|XP_016946511.1|DBIA, LOC108031937|XP_016961206.1|DBIA
OG0002117	LOC115255629|XP_029709579.1|AEAL, LOC115255647|XP_029709607.1|AEAL, LOC109405365|XP_019533965.2|AEAL	LOC108026695|XP_016953272.1|DBIA
OG0002118	LOC115255620|XP_029709568.1|AEAL, LOC109405340|XP_029709584.1|AEAL	LOC108032961|XP_016962524.1|DBIA
OG0002119	LOC109424979|XP_029730264.1|AEAL, LOC109431117|XP_029711291.1|AEAL	LOC108026199|XP_016952480.1|DBIA
OG0002120	LOC109431090|XP_029712026.1|AEAL, LOC115256425|XP_029710822.1|AEAL, LOC109415389|XP_029711074.1|AEAL	LOC108036012|XP_016967414.1|DBIA
