Orthogroup	AEAL.longest_only	ASTE.longest_only
OG0000206	LOC109398515|XP_019526445.2|AEAL	LOC118503159|XP_035892013.1|ASTE
OG0000206	LOC109406561|XP_029712875.1|AEAL	LOC118517639|XP_035919843.1|ASTE
OG0000207	LOC109407628|XP_019536313.2|AEAL, LOC115256953|XP_029712017.1|AEAL	LOC118503769|XP_035893332.1|ASTE
OG0000210	LOC109408928|XP_029710871.1|AEAL, LOC115260196|XP_029716979.1|AEAL, LOC109433613|XP_029716978.1|AEAL	LOC118510803|XP_035909015.1|ASTE
OG0000211	LOC109412434|XP_029722932.1|AEAL	LOC118505116|XP_035896320.1|ASTE
OG0000212	LOC115253722|XP_029708903.1|AEAL, LOC109419933|XP_029708911.1|AEAL, LOC109420733|XP_029708938.1|AEAL	LOC118514690|XP_035917639.1|ASTE, LOC118514687|XP_035917627.1|ASTE
OG0000213	LOC109415510|XP_019544942.2|AEAL, LOC115261323|XP_029718605.1|AEAL, LOC115261320|XP_029718598.1|AEAL, LOC109400843|XP_029735069.1|AEAL, LOC109415509|XP_029730976.1|AEAL, LOC109400807|XP_029730934.1|AEAL, LOC115267787|XP_029730946.1|AEAL, LOC109400841|XP_019528872.2|AEAL	LOC118506169|XP_035898832.1|ASTE
OG0000213	LOC109400810|XP_029730991.1|AEAL, LOC109400808|XP_019528851.2|AEAL	LOC118507679|XP_035902364.1|ASTE
OG0000214	LOC109405279|XP_029712816.1|AEAL, LOC109418619|XP_029713144.1|AEAL	LOC118508206|XP_035903670.1|ASTE
OG0000215	LOC109621447|XP_019931026.2|AEAL, LOC115268013|XP_029731758.1|AEAL	LOC118505358|XP_035896927.1|ASTE, LOC118506177|XP_035898842.1|ASTE
OG0000216	LOC109420538|XP_019550457.2|AEAL, LOC109417052|XP_019546721.2|AEAL	LOC118514658|XP_035917584.1|ASTE
OG0000217	LOC109416150|XP_019545668.2|AEAL, LOC109404988|XP_019533518.2|AEAL	LOC118506853|XP_035900475.1|ASTE
OG0000217	LOC115262661|XP_029721121.1|AEAL, LOC109412776|XP_029721054.1|AEAL	LOC118512344|XP_035912523.1|ASTE
OG0000219	LOC109400672|XP_019528712.1|AEAL	LOC118510240|XP_035907700.1|ASTE, LOC118517267|XP_035919133.1|ASTE
OG0000220	LOC109430237|XP_019561829.2|AEAL, LOC115263148|XP_029721932.1|AEAL, LOC109622619|XP_019932575.2|AEAL	LOC118510365|XP_035907967.1|ASTE
OG0000220	LOC109430232|XP_029722448.1|AEAL, LOC109622620|XP_019932576.2|AEAL	LOC118510359|XP_035907961.1|ASTE
OG0000221	LOC109414996|XP_029728975.1|AEAL	LOC118512893|XP_035913890.1|ASTE
OG0000221	LOC115254261|XP_029735858.1|AEAL, LOC109408640|XP_029736021.1|AEAL, LOC109622167|XP_019931947.2|AEAL	LOC118512894|XP_035913899.1|ASTE
OG0000222	LOC109421258|XP_029710380.1|AEAL, LOC109621814|XP_029725325.1|AEAL	LOC118508805|XP_035904419.1|ASTE
OG0000224	LOC115255369|XP_029709249.1|AEAL, LOC109417693|XP_019547311.2|AEAL, LOC115255368|XP_029709248.1|AEAL	LOC118512550|XP_035913028.1|ASTE
OG0000224	LOC115255504|XP_029709494.1|AEAL, LOC109417694|XP_029708451.1|AEAL, LOC109417559|XP_029708450.1|AEAL, LOC109417695|XP_029708449.1|AEAL, LOC115255341|XP_029709219.1|AEAL	LOC118512555|XP_035913034.1|ASTE, LOC118510034|XP_035907315.1|ASTE, LOC118512553|XP_035913032.1|ASTE
OG0000225	LOC109433405|XP_019565381.2|AEAL, LOC115261126|XP_029718353.1|AEAL, LOC109403257|XP_019531584.2|AEAL, LOC109433403|XP_019565379.2|AEAL	LOC118502418|XP_035890536.1|ASTE, LOC118504515|XP_035894940.1|ASTE
OG0000226	LOC109403183|XP_019531486.2|AEAL	LOC118506112|XP_035898708.1|ASTE
OG0000228	LOC109621587|XP_019931211.1|AEAL, LOC115253924|XP_029707601.1|AEAL, LOC109400111|XP_029707641.1|AEAL	LOC118507788|XP_035902717.1|ASTE
OG0000229	LOC109411049|XP_029723426.1|AEAL, LOC109400255|XP_029723418.1|AEAL	LOC118505141|XP_035896386.1|ASTE
OG0000229	LOC109406499|XP_029713513.1|AEAL	LOC118505366|XP_035896957.1|ASTE
OG0000230	LOC109409690|XP_029727561.1|AEAL, LOC109409691|XP_019538711.2|AEAL	LOC118511477|XP_035910508.1|ASTE
OG0000230	LOC109409689|XP_029726018.1|AEAL	LOC118511480|XP_035910510.1|ASTE, LOC118511478|XP_035910509.1|ASTE, LOC118511476|XP_035910504.1|ASTE
OG0000232	LOC109431490|XP_029717845.1|AEAL, LOC115266217|XP_029728050.1|AEAL, LOC109427688|XP_019558823.2|AEAL	LOC118503459|XP_035892635.1|ASTE
OG0000233	LOC109397248|XP_019525113.2|AEAL	LOC118508457|XP_035904152.1|ASTE
OG0000234	LOC109425560|XP_029729652.1|AEAL, LOC109411879|XP_019541051.2|AEAL, LOC109425561|XP_029718400.1|AEAL, LOC109411861|XP_019541030.2|AEAL	LOC118507020|XP_035900850.1|ASTE, LOC118507022|XP_035900852.1|ASTE
OG0000235	LOC109418333|XP_029721156.1|AEAL, LOC109427304|XP_029720926.1|AEAL	LOC118504927|XP_035895913.1|ASTE
OG0000236	LOC109425591|XP_029729762.1|AEAL, LOC109411288|XP_029729649.1|AEAL	LOC118507015|XP_035900844.1|ASTE
OG0000237	LOC109405971|XP_029732949.1|AEAL, LOC109403775|XP_029722466.1|AEAL	LOC118512278|XP_035912368.1|ASTE
OG0000237	LOC109411476|XP_019540549.2|AEAL	LOC118511482|XP_035910512.1|ASTE
OG0000238	LOC109397549|XP_019525397.2|AEAL	LOC118511649|XP_035910876.1|ASTE
OG0000238	LOC109397530|XP_029714833.1|AEAL, LOC109622822|XP_029714895.1|AEAL	LOC118511652|XP_035910881.1|ASTE
OG0000239	LOC109415974|XP_019545498.2|AEAL	LOC118504707|XP_035895433.1|ASTE
OG0000239	LOC109415972|XP_019545496.2|AEAL	LOC118504706|XP_035895432.1|ASTE
OG0000239	LOC109415973|XP_019545497.2|AEAL	LOC118504708|XP_035895434.1|ASTE
OG0000239	LOC109415971|XP_029730256.1|AEAL, LOC115264009|XP_029723173.1|AEAL	LOC118504709|XP_035895435.1|ASTE
OG0000240	LOC109428777|XP_029733998.1|AEAL, LOC109397740|XP_029718214.1|AEAL, LOC115267533|XP_029730476.1|AEAL	LOC118507974|XP_035903200.1|ASTE
OG0000241	LOC109424480|XP_029716851.1|AEAL, LOC115269266|XP_029733679.1|AEAL	LOC118503481|XP_035892675.1|ASTE
OG0000242	LOC109404969|XP_019533496.1|AEAL, LOC109429678|XP_019561230.1|AEAL, LOC115255149|XP_029708891.1|AEAL, LOC109400357|XP_019528405.2|AEAL, LOC115257415|XP_029712855.1|AEAL, LOC115267680|XP_029730697.1|AEAL, LOC109432574|XP_019564463.2|AEAL, LOC115263258|XP_029722239.1|AEAL, LOC109427630|XP_019558746.2|AEAL, LOC115270309|XP_029735562.1|AEAL	LOC118515214|XP_035917801.1|ASTE, LOC118515179|XP_035917775.1|ASTE, LOC118515192|XP_035917784.1|ASTE, LOC118515160|XP_035917759.1|ASTE, LOC118515194|XP_035917786.1|ASTE, LOC118510854|XP_035909081.1|ASTE, LOC118507510|XP_035901943.1|ASTE
OG0000245	LOC115256751|XP_029711555.1|AEAL, LOC115265286|XP_029725632.1|AEAL, LOC115261647|XP_029719408.1|AEAL, LOC115262251|XP_029720517.1|AEAL, LOC115263787|XP_029723027.1|AEAL, LOC109408809|XP_029726442.1|AEAL, LOC115267590|XP_029730539.1|AEAL, LOC115256761|XP_029711570.1|AEAL, LOC115263651|XP_029722713.1|AEAL, LOC115261075|XP_029718308.1|AEAL	LOC118502554|XP_035890743.1|ASTE
OG0000245	LOC109414046|XP_019543329.2|AEAL	LOC118506141|XP_035898785.1|ASTE
OG0000246	LOC109403367|XP_029731598.1|AEAL	LOC118504838|XP_035895735.1|ASTE
OG0000247	LOC109406417|XP_019535055.2|AEAL	LOC118509414|XP_035905879.1|ASTE, LOC118509412|XP_035905877.1|ASTE, LOC118509413|XP_035905878.1|ASTE, LOC118509411|XP_035905875.1|ASTE
OG0000248	LOC109425681|XP_019556509.2|AEAL	LOC118512667|XP_035913313.1|ASTE
OG0000248	LOC109423014|XP_019553474.2|AEAL	LOC118512666|XP_035913311.1|ASTE
OG0000249	LOC109404611|XP_019533057.2|AEAL, LOC109411684|XP_019540798.2|AEAL	LOC118510725|XP_035908828.1|ASTE
OG0000250	LOC109419385|XP_019549163.1|AEAL	LOC118508491|XP_035904202.1|ASTE
OG0000251	LOC115254071|XP_029718940.1|AEAL, LOC109411640|XP_029717178.1|AEAL, LOC109428133|XP_019559363.1|AEAL	LOC118505075|XP_035896254.1|ASTE
OG0000255	LOC109428976|XP_029730816.1|AEAL	LOC118504899|XP_035895857.1|ASTE
OG0000256	LOC109421653|XP_019551719.2|AEAL	LOC118509298|XP_035905630.1|ASTE
OG0000257	LOC109418502|XP_019548248.2|AEAL	LOC118507286|XP_035901529.1|ASTE
OG0000261	LOC109418973|XP_029733571.1|AEAL, LOC109397856|XP_029709785.1|AEAL, LOC115255809|XP_029709851.1|AEAL	LOC118510512|XP_035908317.1|ASTE, LOC118516853|XP_035918607.1|ASTE
OG0000261	LOC109397863|XP_019525749.2|AEAL, LOC109418975|XP_019548745.2|AEAL, LOC109398593|XP_019526530.2|AEAL, LOC109418974|XP_019548744.2|AEAL, LOC109397872|XP_029733464.1|AEAL, LOC115253515|XP_019525758.2|AEAL, LOC109418976|XP_019548746.2|AEAL	LOC118516854|XP_035918608.1|ASTE, LOC118510513|XP_035908318.1|ASTE
OG0000262	LOC109403048|XP_029735814.1|AEAL, LOC109408676|XP_029735703.1|AEAL	LOC118512787|XP_035913596.1|ASTE
OG0000263	LOC109420562|XP_019550480.2|AEAL, LOC109419859|XP_019549689.2|AEAL	LOC118513361|XP_035914886.1|ASTE
OG0000263	LOC115255124|XP_029708851.1|AEAL, LOC109420609|XP_019550516.2|AEAL	LOC118513363|XP_035914888.1|ASTE
OG0000264	LOC109401451|XP_019529559.1|AEAL, LOC109410471|XP_019539575.1|AEAL	LOC118507130|XP_035901042.1|ASTE
OG0000267	LOC115256115|XP_029710232.1|AEAL, LOC109414072|XP_019543353.2|AEAL	LOC118506887|XP_035900544.1|ASTE
OG0000267	LOC115256103|XP_029710222.1|AEAL, LOC109414070|XP_019543352.2|AEAL	LOC118513471|XP_035915156.1|ASTE
OG0000268	LOC115253511|XP_029707968.1|AEAL, LOC109422203|XP_029732916.1|AEAL, LOC109423167|XP_029710344.1|AEAL, LOC115257163|XP_029712420.1|AEAL	LOC118506477|XP_035899548.1|ASTE
OG0000268	LOC115253928|XP_029707973.1|AEAL, LOC109423111|XP_019553558.1|AEAL, LOC109419080|XP_029736214.1|AEAL, LOC109423112|XP_019553559.1|AEAL, LOC109419888|XP_019549723.1|AEAL, LOC115254542|XP_029707972.1|AEAL	LOC118502746|XP_035891204.1|ASTE
OG0000268	LOC115254540|XP_029707970.1|AEAL, LOC115257152|XP_029712410.1|AEAL	LOC118502745|XP_035891203.1|ASTE
OG0000269	LOC115264224|XP_029723610.1|AEAL, LOC109406198|XP_029732511.1|AEAL	LOC118507820|XP_035902791.1|ASTE
OG0000269	LOC109424662|XP_019555377.2|AEAL	LOC118507311|XP_035901587.1|ASTE
OG0000270	LOC109397149|XP_019525033.2|AEAL	LOC118503824|XP_035893419.1|ASTE
OG0000270	LOC109411753|XP_029720193.1|AEAL	LOC118510655|XP_035908672.1|ASTE
OG0000270	LOC115268062|XP_029731849.1|AEAL, LOC109425987|XP_019556955.2|AEAL	LOC118503826|XP_035893421.1|ASTE
OG0000270	LOC115268065|XP_029731854.1|AEAL, LOC109425992|XP_019556962.2|AEAL, LOC115268043|XP_029731816.1|AEAL, LOC109425991|XP_019556960.2|AEAL, LOC109425988|XP_019556956.2|AEAL, LOC115268064|XP_029731853.1|AEAL, LOC115264162|XP_029723410.1|AEAL, LOC115269453|XP_029734081.1|AEAL, LOC109398567|XP_029732652.1|AEAL	LOC118503825|XP_035893420.1|ASTE
OG0000270	LOC109425989|XP_019556957.2|AEAL, LOC115268042|XP_029731814.1|AEAL	LOC118503827|XP_035893423.1|ASTE
OG0000271	LOC109622877|XP_019932888.2|AEAL	LOC118513311|XP_035914791.1|ASTE
OG0000272	LOC109423432|XP_029733438.1|AEAL, LOC115269170|XP_029733437.1|AEAL, LOC109414989|XP_029733445.1|AEAL	LOC118506675|XP_035900007.1|ASTE
OG0000272	LOC115253947|XP_029709284.1|AEAL, LOC109417689|XP_029709257.1|AEAL	LOC118509040|XP_035904990.1|ASTE
OG0000273	LOC109427331|XP_019558404.2|AEAL	LOC118508518|XP_035904265.1|ASTE
OG0000275	LOC115265057|XP_029725114.1|AEAL	LOC118507752|XP_035902654.1|ASTE
OG0000279	LOC109420901|XP_019550930.2|AEAL, LOC115268383|XP_029732251.1|AEAL, LOC109425977|XP_019556940.2|AEAL	LOC118506563|XP_035899778.1|ASTE
OG0000280	LOC109418076|XP_019547794.2|AEAL	LOC118512959|XP_035914076.1|ASTE
OG0000281	LOC109426582|XP_019557661.2|AEAL	LOC118509940|XP_035907165.1|ASTE
OG0000282	LOC109415107|XP_029728069.1|AEAL, LOC115266232|XP_029728072.1|AEAL, LOC109416040|XP_019545551.2|AEAL, LOC109416050|XP_029718774.1|AEAL	LOC118502391|XP_035890506.1|ASTE
OG0000283	LOC109400257|XP_019528285.1|AEAL	LOC118507494|XP_035901916.1|ASTE
OG0000283	LOC109418197|XP_019547908.2|AEAL	LOC118505670|XP_035897690.1|ASTE
OG0000283	LOC115269564|XP_029734236.1|AEAL, LOC109397735|XP_029734209.1|AEAL	LOC118502775|XP_035891299.1|ASTE
OG0000283	LOC109410166|XP_029710435.1|AEAL, LOC115269155|XP_029733427.1|AEAL, LOC109427445|XP_029733426.1|AEAL	LOC118517383|XP_035919322.1|ASTE
OG0000284	LOC109419776|XP_029708575.1|AEAL, LOC109398225|XP_029708570.1|AEAL	LOC118516654|XP_035918511.1|ASTE, LOC118513197|XP_035914577.1|ASTE, LOC118513227|XP_035914647.1|ASTE
OG0000284	LOC115257137|XP_029712380.1|AEAL, LOC115254479|XP_029707890.1|AEAL, LOC115254998|XP_029708564.1|AEAL, LOC109419778|XP_029708567.1|AEAL	LOC118514629|XP_035917520.1|ASTE
OG0000285	LOC115267674|XP_029730694.1|AEAL, LOC109420926|XP_019550943.2|AEAL	LOC118510126|XP_035907489.1|ASTE
OG0000285	LOC109412662|XP_019541839.2|AEAL	LOC118510125|XP_035907488.1|ASTE
OG0000292	LOC115255175|XP_029708967.1|AEAL, LOC109431821|XP_029708512.1|AEAL	LOC118506849|XP_035900472.1|ASTE
OG0000292	LOC109402659|XP_029710984.1|AEAL, LOC115268762|XP_029732782.1|AEAL, LOC109402671|XP_029711557.1|AEAL, LOC109402682|XP_019530931.2|AEAL	LOC118503100|XP_035891919.1|ASTE
OG0000293	LOC109401355|XP_019529411.1|AEAL	LOC118505627|XP_035897593.1|ASTE
OG0000294	LOC109415132|XP_029728964.1|AEAL	LOC118510955|XP_035909298.1|ASTE, LOC118510954|XP_035909293.1|ASTE
OG0000294	LOC109399355|XP_029722675.1|AEAL, LOC115268756|XP_029732779.1|AEAL	LOC118504857|XP_035895784.1|ASTE
OG0000294	LOC115269200|XP_029733519.1|AEAL, LOC115268722|XP_029732732.1|AEAL, LOC109433313|XP_029729095.1|AEAL	LOC118504855|XP_035895764.1|ASTE
OG0000295	LOC109404608|XP_019533055.2|AEAL, LOC109411777|XP_019540929.2|AEAL	LOC118510879|XP_035909139.1|ASTE
OG0000296	LOC109415679|XP_019545151.2|AEAL	LOC118517585|XP_035919753.1|ASTE
OG0000299	LOC115253904|XP_029730213.1|AEAL	LOC118505430|XP_035897097.1|ASTE
OG0000301	LOC109409183|XP_019538149.2|AEAL, LOC109421620|XP_019551667.2|AEAL	LOC118511253|XP_035909996.1|ASTE
OG0000301	LOC109432473|XP_029727060.1|AEAL, LOC115265529|XP_029726932.1|AEAL, LOC109432476|XP_019564348.2|AEAL, LOC109421182|XP_029725330.1|AEAL	LOC118514291|XP_035916946.1|ASTE
OG0000301	LOC109623338|XP_019933437.2|AEAL	LOC118504075|XP_035894030.1|ASTE
OG0000302	LOC109429594|XP_019561129.2|AEAL, LOC115264896|XP_029724787.1|AEAL	LOC118510778|XP_035908953.1|ASTE
OG0000302	LOC109408547|XP_019537415.2|AEAL, LOC109429593|XP_019561128.2|AEAL	LOC118510776|XP_035908938.1|ASTE
OG0000302	LOC115264897|XP_029724788.1|AEAL, LOC109408545|XP_019537413.2|AEAL	LOC118510775|XP_035908937.1|ASTE
OG0000303	LOC115269173|XP_029733441.1|AEAL, LOC115269176|XP_029733444.1|AEAL, LOC109414644|XP_019544031.1|AEAL, LOC115261397|XP_029718867.1|AEAL, LOC109423425|XP_019553953.1|AEAL	LOC118507766|XP_035902676.1|ASTE
OG0000304	LOC109429100|XP_019560484.2|AEAL, LOC115258186|XP_029714111.1|AEAL	LOC118508384|XP_035904014.1|ASTE
OG0000306	LOC109412996|XP_029729989.1|AEAL, LOC109402217|XP_029730002.1|AEAL	LOC118512366|XP_035912608.1|ASTE
OG0000307	LOC115262115|XP_029720007.1|AEAL, LOC109429667|XP_029719854.1|AEAL, LOC109406521|XP_019535159.2|AEAL	LOC118510839|XP_035909059.1|ASTE
OG0000307	LOC109399839|XP_029729709.1|AEAL, LOC109425375|XP_029729733.1|AEAL	LOC118502856|XP_035891454.1|ASTE
OG0000310	LOC109431305|XP_019563065.2|AEAL, LOC115264581|XP_029724294.1|AEAL, LOC109431295|XP_019563057.1|AEAL, LOC109407712|XP_029724603.1|AEAL, LOC109407713|XP_019536411.1|AEAL, LOC109424764|XP_019555490.2|AEAL, LOC115268708|XP_029732666.1|AEAL, LOC109433654|XP_019565655.2|AEAL	LOC118510949|XP_035909283.1|ASTE
OG0000311	LOC109425252|XP_029716158.1|AEAL, LOC109421877|XP_029716149.1|AEAL, LOC115254050|XP_029717613.1|AEAL	LOC118504484|XP_035894895.1|ASTE
OG0000312	LOC109421548|XP_029727106.1|AEAL	LOC118517146|XP_035918899.1|ASTE, LOC118517151|XP_035918906.1|ASTE, LOC118513648|XP_035915608.1|ASTE
OG0000312	LOC109409155|XP_029730485.1|AEAL, LOC109421546|XP_019551611.1|AEAL	LOC118513649|XP_035915610.1|ASTE, LOC118517144|XP_035918895.1|ASTE
OG0000312	LOC109409153|XP_019538113.1|AEAL	LOC118513650|XP_035915617.1|ASTE
OG0000313	LOC109410834|XP_029725326.1|AEAL, LOC115256251|XP_029710381.1|AEAL, LOC109421171|XP_029710371.1|AEAL	LOC118508810|XP_035904444.1|ASTE
OG0000314	LOC109429974|XP_019561522.2|AEAL	LOC118510743|XP_035908867.1|ASTE
OG0000314	LOC109429973|XP_029719911.1|AEAL, LOC109429556|XP_029719910.1|AEAL	LOC118510748|XP_035908876.1|ASTE, LOC118510745|XP_035908871.1|ASTE
OG0000314	LOC109429562|XP_019561089.1|AEAL	LOC118510744|XP_035908870.1|ASTE
OG0000314	LOC109429976|XP_019561529.2|AEAL	LOC118510746|XP_035908874.1|ASTE
OG0000315	LOC115268056|XP_029731841.1|AEAL, LOC109426005|XP_019556976.2|AEAL, LOC115268055|XP_029731840.1|AEAL, LOC109426006|XP_029731802.1|AEAL	LOC118503834|XP_035893436.1|ASTE
OG0000320	LOC109621579|XP_019931201.1|AEAL, LOC115254363|XP_029707705.1|AEAL, LOC109400097|XP_019528122.2|AEAL	LOC118508584|XP_035904382.1|ASTE
OG0000321	LOC109418355|XP_019548096.2|AEAL, LOC109398616|XP_019526544.2|AEAL	LOC118509005|XP_035904912.1|ASTE
OG0000321	LOC109415681|XP_019545152.2|AEAL	LOC118513008|XP_035914171.1|ASTE
OG0000321	LOC109418348|XP_019548085.2|AEAL	LOC118509003|XP_035904910.1|ASTE
OG0000321	LOC109418328|XP_019548068.2|AEAL, LOC109398596|XP_029715276.1|AEAL	LOC118509001|XP_035904907.1|ASTE
OG0000322	LOC109404970|XP_019533497.2|AEAL, LOC115261543|XP_029719244.1|AEAL	LOC118515307|XP_035917877.1|ASTE, LOC118502558|XP_035890757.1|ASTE
OG0000323	LOC115253754|XP_029724316.1|AEAL, LOC109420146|XP_029724344.1|AEAL, LOC109431243|XP_029724314.1|AEAL	LOC118504036|XP_035893917.1|ASTE
OG0000324	LOC109399111|XP_019527103.2|AEAL	LOC118506347|XP_035899225.1|ASTE
OG0000325	LOC115268390|XP_029732255.1|AEAL, LOC109407690|XP_019536384.2|AEAL	LOC118503774|XP_035893339.1|ASTE
OG0000332	LOC109621714|XP_019931412.2|AEAL	LOC118505999|XP_035898474.1|ASTE
OG0000333	LOC109422359|XP_029721734.1|AEAL, LOC109401270|XP_029725071.1|AEAL, LOC115253507|XP_029716824.1|AEAL	LOC118512922|XP_035913972.1|ASTE, LOC118512921|XP_035913966.1|ASTE
OG0000334	LOC109413713|XP_019542998.1|AEAL	LOC118511655|XP_035910894.1|ASTE
OG0000335	LOC115258579|XP_029714671.1|AEAL, LOC115262908|XP_029721667.1|AEAL, LOC109409360|XP_029714711.1|AEAL	LOC118509228|XP_035905429.1|ASTE
OG0000338	LOC109426844|XP_029725391.1|AEAL	LOC118512934|XP_035914000.1|ASTE
OG0000338	LOC109398320|XP_019526219.1|AEAL, LOC109419702|XP_029709837.1|AEAL	LOC118517285|XP_035919151.1|ASTE, LOC118513614|XP_035915559.1|ASTE
OG0000339	LOC109426655|XP_019557724.2|AEAL, LOC109426657|XP_019557726.2|AEAL, LOC115253908|XP_029727513.1|AEAL	LOC118510286|XP_035907795.1|ASTE
OG0000340	LOC109398956|XP_019526953.2|AEAL	LOC118505160|XP_035896447.1|ASTE
OG0000342	LOC109423012|XP_019553471.1|AEAL, LOC109415625|XP_019545070.1|AEAL	LOC118509926|XP_035907148.1|ASTE
OG0000343	LOC109430404|XP_019562010.2|AEAL, LOC109430403|XP_019562009.2|AEAL	LOC118503594|XP_035892940.1|ASTE
OG0000343	LOC109430394|XP_019562002.2|AEAL, LOC109408865|XP_019537778.2|AEAL, LOC109430401|XP_019562007.2|AEAL	LOC118503595|XP_035892942.1|ASTE
OG0000344	LOC109399854|XP_019527889.2|AEAL, LOC109425365|XP_019556158.2|AEAL	LOC118507807|XP_035902763.1|ASTE
OG0000344	LOC109399864|XP_019527898.2|AEAL	LOC118507806|XP_035902757.1|ASTE
OG0000344	LOC109425363|XP_019556156.2|AEAL	LOC118507808|XP_035902764.1|ASTE, LOC118507804|XP_035902755.1|ASTE
OG0000345	LOC109423314|XP_019553792.2|AEAL	LOC118512215|XP_035912223.1|ASTE
OG0000345	LOC109420413|XP_019550291.2|AEAL, LOC115253807|XP_029712798.1|AEAL	LOC118503453|XP_035892617.1|ASTE
OG0000346	LOC115270450|XP_029736043.1|AEAL, LOC115270456|XP_029736046.1|AEAL	LOC118509918|XP_035907120.1|ASTE, LOC118504668|XP_035895346.1|ASTE
OG0000347	LOC109402735|XP_019530990.2|AEAL	LOC118511397|XP_035910324.1|ASTE
OG0000347	LOC109398531|XP_029710049.1|AEAL, LOC115253617|XP_029715199.1|AEAL	LOC118511012|XP_035909427.1|ASTE
OG0000348	LOC109427907|XP_019559072.2|AEAL	LOC118514528|XP_035917402.1|ASTE
OG0000349	LOC109401544|XP_029715710.1|AEAL, LOC115254135|XP_029724522.1|AEAL, LOC109412611|XP_029724434.1|AEAL	LOC118503550|XP_035892846.1|ASTE
OG0000351	LOC109622829|XP_029715244.1|AEAL, LOC109413276|XP_019542546.1|AEAL	LOC118511233|XP_035909963.1|ASTE
OG0000351	LOC109430385|XP_019561994.2|AEAL, LOC109413278|XP_029713171.1|AEAL	LOC118507479|XP_035901880.1|ASTE
OG0000353	LOC109402421|XP_029729908.1|AEAL, LOC109405422|XP_019534032.1|AEAL	LOC118505419|XP_035897067.1|ASTE
OG0000353	LOC109428239|XP_029728367.1|AEAL, LOC115266377|XP_029728466.1|AEAL	LOC118513375|XP_035914904.1|ASTE
OG0000354	LOC109410523|XP_019539610.2|AEAL, LOC109622581|XP_019932532.2|AEAL, LOC109410512|XP_019539599.2|AEAL, LOC109622580|XP_019932531.2|AEAL, LOC109622515|XP_029716658.1|AEAL, LOC109408890|XP_029726297.1|AEAL	LOC118514268|XP_035916902.1|ASTE
OG0000355	LOC109408907|XP_019537835.2|AEAL, LOC109418464|XP_029728816.1|AEAL	LOC118511949|XP_035911551.1|ASTE
OG0000355	LOC109408909|XP_019537837.2|AEAL	LOC118511957|XP_035911568.1|ASTE
OG0000356	LOC109429923|XP_029728612.1|AEAL, LOC109429550|XP_029720091.1|AEAL	LOC118514079|XP_035916500.1|ASTE
OG0000356	LOC109429787|XP_029720175.1|AEAL, LOC109398287|XP_029720168.1|AEAL	LOC118514082|XP_035916503.1|ASTE
OG0000357	LOC115270337|XP_029735656.1|AEAL	LOC118515157|XP_035917756.1|ASTE, LOC118516404|XP_035918160.1|ASTE, LOC118513619|XP_035915571.1|ASTE, LOC118504519|XP_035894943.1|ASTE, LOC118515145|XP_035917739.1|ASTE
OG0000357	LOC115266728|XP_029729127.1|AEAL, LOC109408589|XP_029734567.1|AEAL	LOC118513324|XP_035914828.1|ASTE, LOC118515170|XP_035917768.1|ASTE, LOC118504451|XP_035894836.1|ASTE
OG0000361	LOC109431162|XP_019562911.2|AEAL	LOC118513322|XP_035914823.1|ASTE
OG0000362	LOC109405946|XP_019534539.1|AEAL	LOC118507649|XP_035902307.1|ASTE
OG0000362	LOC115257029|XP_029712144.1|AEAL, LOC109426897|XP_029721185.1|AEAL	LOC118503889|XP_035893547.1|ASTE
OG0000363	LOC109400186|XP_029728046.1|AEAL, LOC109427106|XP_029728131.1|AEAL	LOC118505486|XP_035897205.1|ASTE
OG0000363	LOC109418888|XP_029725302.1|AEAL	LOC118516465|XP_035918259.1|ASTE
OG0000364	LOC109411815|XP_029725957.1|AEAL	LOC118512126|XP_035911995.1|ASTE
OG0000365	LOC115269981|XP_029734708.1|AEAL, LOC109426679|XP_029725547.1|AEAL	LOC118509730|XP_035906745.1|ASTE, LOC118509732|XP_035906749.1|ASTE
OG0000365	LOC109433025|XP_029716907.1|AEAL, LOC115259068|XP_029715441.1|AEAL	LOC118517204|XP_035919058.1|ASTE, LOC118513954|XP_035916243.1|ASTE
OG0000366	LOC109429237|XP_029718708.1|AEAL, LOC109398891|XP_029714395.1|AEAL	LOC118506408|XP_035899375.1|ASTE
OG0000366	LOC109409613|XP_029729447.1|AEAL	LOC118511653|XP_035910884.1|ASTE
OG0000366	LOC109427117|XP_029727911.1|AEAL, LOC115266261|XP_029728094.1|AEAL	LOC118505495|XP_035897243.1|ASTE
OG0000367	LOC115254671|XP_029708149.1|AEAL	LOC118503926|XP_035893649.1|ASTE
OG0000367	LOC109424434|XP_019555089.2|AEAL, LOC109422336|XP_029708161.1|AEAL	LOC118503925|XP_035893648.1|ASTE
OG0000367	LOC109424433|XP_029708143.1|AEAL, LOC109422335|XP_029708155.1|AEAL	LOC118503922|XP_035893639.1|ASTE
OG0000368	LOC109425955|XP_029731785.1|AEAL, LOC109407632|XP_029731882.1|AEAL	LOC118503778|XP_035893342.1|ASTE
OG0000368	LOC109425952|XP_019556902.2|AEAL, LOC109407629|XP_019536314.2|AEAL, LOC115256951|XP_029712015.1|AEAL	LOC118503756|XP_035893301.1|ASTE, LOC118503770|XP_035893333.1|ASTE
