Orthogroup	AEAL.longest_only	DERE.longest_only
OG0001135	LOC109399742|XP_019527803.2|AEAL, LOC109402037|XP_019530186.2|AEAL	LOC6552839|XP_001979872.1|DERE
OG0001136	LOC109409584|XP_029732462.1|AEAL, LOC115268460|XP_029732317.1|AEAL, LOC115268457|XP_029732304.1|AEAL	LOC6552418|XP_026839613.1|DERE
OG0001137	LOC109406162|XP_019534775.1|AEAL, LOC109401796|XP_019529955.1|AEAL	LOC6552901|XP_026836196.1|DERE
OG0001138	LOC109397776|XP_029712084.1|AEAL	LOC6545499|XP_001971101.1|DERE
OG0001139	LOC109412044|XP_019541231.2|AEAL	LOC6545017|XP_001972607.3|DERE
OG0001153	LOC115256680|XP_029711441.1|AEAL, LOC115256405|XP_029710746.1|AEAL, LOC109427540|XP_019558650.2|AEAL	LOC6548015|XP_026836900.1|DERE
OG0001154	LOC109407226|XP_029715238.1|AEAL	LOC6542013|XP_015014406.1|DERE
OG0001155	LOC115256383|XP_029710639.1|AEAL	LOC6551547|XP_001978458.1|DERE
OG0001157	LOC109431516|XP_029717886.1|AEAL	LOC6553654|XP_001980303.1|DERE
OG0001158	LOC109423923|XP_029727260.1|AEAL, LOC109404799|XP_029727300.1|AEAL	LOC6540730|XP_026834891.1|DERE
OG0001159	LOC109431943|XP_029712536.1|AEAL	LOC6554771|XP_001981357.3|DERE
OG0001160	LOC109400071|XP_029707703.1|AEAL, LOC109621624|XP_029707671.1|AEAL	LOC6553578|XP_001979249.1|DERE
OG0001161	LOC115254369|XP_029707719.1|AEAL, LOC115253583|XP_029707712.1|AEAL, LOC109400045|XP_029707645.1|AEAL	LOC6552623|XP_015010212.1|DERE
OG0001162	LOC109623099|XP_029710000.1|AEAL, LOC115255934|XP_029710012.1|AEAL, LOC109416877|XP_029709999.1|AEAL	LOC6551798|XP_001980811.1|DERE
OG0001164	LOC115267183|XP_029729911.1|AEAL, LOC109405410|XP_029712594.1|AEAL	LOC6555406|XP_001982326.1|DERE
OG0001165	LOC109405429|XP_019534039.2|AEAL	LOC6547899|XP_001976393.1|DERE
OG0001167	LOC115255807|XP_029709842.1|AEAL, LOC109419700|XP_029733501.1|AEAL	LOC6542973|XP_026835168.1|DERE
OG0001168	LOC109417813|XP_029725483.1|AEAL	LOC6547045|XP_001974634.1|DERE
OG0001169	LOC109408420|XP_029732437.1|AEAL, LOC109413933|XP_029711888.1|AEAL, LOC109622074|XP_019931859.2|AEAL	LOC6550146|XP_001977543.1|DERE
OG0001170	LOC115263120|XP_029721900.1|AEAL, LOC115263304|XP_029722372.1|AEAL, LOC115263051|XP_029721840.1|AEAL, LOC115263048|XP_029721836.1|AEAL, LOC115263052|XP_029721841.1|AEAL, LOC115263049|XP_029721837.1|AEAL	LOC6554520|XP_001982157.1|DERE
OG0001171	LOC109407435|XP_029729637.1|AEAL, LOC115263136|XP_029721917.1|AEAL, LOC109416468|XP_029722351.1|AEAL, LOC115263279|XP_029722277.1|AEAL, LOC115263132|XP_029721911.1|AEAL	LOC6544784|XP_015013395.1|DERE
OG0001172	LOC109399467|XP_019527449.2|AEAL, LOC109398011|XP_019525891.2|AEAL	LOC6548218|XP_001975076.1|DERE
OG0001173	LOC109414269|XP_019543634.2|AEAL	LOC6554295|XP_001981063.1|DERE
OG0001174	LOC115266579|XP_029728830.1|AEAL, LOC109411127|XP_019540126.1|AEAL	LOC6545211|XP_026832299.1|DERE, LOC6556363|XP_026832301.1|DERE, LOC6545210|XP_001972101.1|DERE
OG0001175	LOC109421575|XP_029728219.1|AEAL, LOC109407055|XP_029728223.1|AEAL	LOC6546762|XP_001974552.1|DERE
OG0001176	LOC109428218|XP_019559461.2|AEAL, LOC115263988|XP_029723149.1|AEAL, LOC115263993|XP_029723154.1|AEAL, LOC109427899|XP_019559052.2|AEAL	LOC6549417|XP_001975650.1|DERE
OG0001177	LOC109411712|XP_029720229.1|AEAL	LOC6549398|XP_026836077.1|DERE
OG0001178	LOC109419741|XP_029708593.1|AEAL	LOC6547609|XP_001974969.2|DERE
OG0001179	LOC109427566|XP_019558681.2|AEAL	LOC6546862|XP_001976058.1|DERE
OG0001180	LOC115262179|XP_029720337.1|AEAL, LOC109411694|XP_029720243.1|AEAL	LOC6555868|XP_026839017.1|DERE
OG0001181	LOC109414185|XP_019543512.1|AEAL	LOC6544519|XP_001973059.1|DERE
OG0001182	LOC109401498|XP_029725010.1|AEAL, LOC109431750|XP_029724953.1|AEAL, LOC109401450|XP_029725022.1|AEAL, LOC109431749|XP_029724962.1|AEAL	LOC6554438|XP_015009316.1|DERE
OG0001183	LOC109405001|XP_029727177.1|AEAL	LOC6554014|XP_026831973.1|DERE
OG0001185	LOC115253642|XP_029727783.1|AEAL, LOC109404402|XP_029727818.1|AEAL, LOC115266086|XP_029727861.1|AEAL, LOC109431900|XP_029727798.1|AEAL	LOC6553169|XP_026833348.1|DERE, LOC113563928|XP_026833309.1|DERE
OG0001186	LOC109399376|XP_019527360.2|AEAL	LOC6553429|XP_001979235.1|DERE
OG0001187	LOC115257587|XP_029713229.1|AEAL, LOC109433191|XP_019565143.2|AEAL, LOC115266883|XP_029729344.1|AEAL, LOC109402294|XP_019530494.2|AEAL, LOC109433212|XP_019565161.2|AEAL, LOC115260075|XP_029716808.1|AEAL, LOC115257563|XP_029713195.1|AEAL	LOC6549073|XP_026835657.1|DERE
OG0001188	LOC109424429|XP_019555078.2|AEAL, LOC115264559|XP_029724238.1|AEAL	LOC6546714|XP_001975875.1|DERE
OG0001189	LOC109418659|XP_019548423.2|AEAL, LOC115267997|XP_029731736.1|AEAL, LOC115269466|XP_029734106.1|AEAL	LOC6547324|XP_001976331.1|DERE
OG0001190	LOC109414799|XP_029719560.1|AEAL, LOC109418646|XP_029719561.1|AEAL, LOC109414798|XP_029736448.1|AEAL	LOC6549983|XP_026837292.1|DERE
OG0001191	LOC109418615|XP_019548365.1|AEAL, LOC109410097|XP_029713357.1|AEAL, LOC109410100|XP_029733006.1|AEAL, LOC109418612|XP_029712964.1|AEAL, LOC115257655|XP_029713355.1|AEAL	LOC6542368|XP_001969283.2|DERE
OG0001192	LOC115262769|XP_029721486.1|AEAL, LOC109431053|XP_029721481.1|AEAL	LOC6542870|XP_001970075.2|DERE
OG0001193	LOC115254884|XP_029708431.1|AEAL, LOC109399105|XP_029731134.1|AEAL, LOC109399566|XP_029727176.1|AEAL	LOC6553452|XP_026838909.1|DERE
OG0001194	LOC109399560|XP_029731199.1|AEAL	LOC6555802|XP_026838946.1|DERE, LOC6555807|XP_015008775.1|DERE
OG0001195	LOC109421162|XP_019551201.2|AEAL, LOC109410562|XP_019539638.2|AEAL	LOC6542351|XP_001970484.2|DERE
OG0001201	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL	LOC6554821|XP_001981802.1|DERE
OG0001202	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL	LOC6549979|XP_001978752.1|DERE
OG0001203	LOC109424988|XP_029711078.1|AEAL, LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL	LOC6555832|XP_001982698.1|DERE
OG0001204	LOC109408950|XP_019537895.2|AEAL	LOC6540728|XP_001969571.1|DERE
OG0001206	LOC109422192|XP_029710557.1|AEAL	LOC6553695|XP_026831638.1|DERE
OG0001207	LOC109416871|XP_019546517.1|AEAL	LOC6549664|XP_026837731.1|DERE
OG0001208	LOC109422014|XP_029711117.1|AEAL, LOC115256582|XP_029711220.1|AEAL	LOC6551453|XP_001977278.2|DERE
OG0001209	LOC109622458|XP_029711425.1|AEAL, LOC115258387|XP_029714337.1|AEAL, LOC109427462|XP_029707763.1|AEAL, LOC115258388|XP_029714338.1|AEAL, LOC109427463|XP_029708095.1|AEAL, LOC109427451|XP_029710821.1|AEAL	LOC6553710|XP_026831674.1|DERE
OG0001210	LOC109425391|XP_029717696.1|AEAL, LOC115261678|XP_029719427.1|AEAL, LOC109418683|XP_019548443.1|AEAL, LOC109415912|XP_029717657.1|AEAL, LOC109412955|XP_029717701.1|AEAL, LOC115261681|XP_029719430.1|AEAL	LOC6550627|XP_001978166.2|DERE
OG0001212	LOC109412731|XP_019541898.2|AEAL, LOC109411856|XP_019541019.2|AEAL, LOC115259469|XP_029715906.1|AEAL, LOC109413157|XP_029711334.1|AEAL	LOC6550867|XP_001978227.1|DERE
OG0001213	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL, LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL	LOC6552120|XP_001979727.1|DERE
OG0001214	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL	LOC6554916|XP_001982238.1|DERE
OG0001215	LOC109423631|XP_019554162.2|AEAL, LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL	LOC6552713|XP_026831440.1|DERE
OG0001216	LOC109423629|XP_029723325.1|AEAL, LOC109400267|XP_029723331.1|AEAL, LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL	LOC6552772|XP_001979957.2|DERE
OG0001217	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL	LOC6548324|XP_001973939.2|DERE
OG0001218	LOC109403864|XP_029723879.1|AEAL	LOC6554519|XP_001982156.1|DERE
OG0001220	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL, LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL	LOC6543155|XP_001970651.1|DERE
OG0001221	LOC109399239|XP_019527222.2|AEAL, LOC109429051|XP_029726541.1|AEAL, LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL	LOC6547787|XP_026836644.1|DERE
OG0001223	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL	LOC6541021|XP_001970869.3|DERE
OG0001224	LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL	LOC6548498|XP_001975311.1|DERE
OG0001225	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL, LOC109423816|XP_019554406.2|AEAL, LOC109430634|XP_029735433.1|AEAL	LOC6543112|XP_026834471.1|DERE
OG0001226	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL	LOC6547174|XP_001976091.1|DERE
OG0001227	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL	LOC6541093|XP_015014849.1|DERE
OG0001228	LOC109397760|XP_019525619.2|AEAL, LOC109428818|XP_019560210.2|AEAL, LOC115269394|XP_029733932.1|AEAL, LOC115258127|XP_029714026.1|AEAL	LOC113564521|XP_026837926.1|DERE
OG0001229	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL	LOC6541715|XP_026838627.1|DERE
OG0001230	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL	LOC6548529|XP_001975369.1|DERE
OG0001231	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL	LOC6548545|XP_001973923.1|DERE
OG0001232	LOC109421237|XP_019551265.2|AEAL	LOC6541378|XP_001970225.1|DERE
OG0001233	LOC109432481|XP_029726919.1|AEAL, LOC109421338|XP_029727063.1|AEAL	LOC6541493|XP_026835028.1|DERE
OG0001234	LOC109402517|XP_019530753.2|AEAL	LOC6548779|XP_001975434.1|DERE
OG0001235	LOC109411688|XP_019540801.2|AEAL, LOC115262177|XP_029720326.1|AEAL, LOC109404615|XP_019533064.2|AEAL, LOC109411681|XP_029720322.1|AEAL	LOC6540819|XP_001968183.1|DERE
OG0001236	LOC109414181|XP_029712491.1|AEAL	LOC6545231|XP_001973465.3|DERE
OG0001237	LOC109426266|XP_029707813.1|AEAL, LOC109421720|XP_029714000.1|AEAL	LOC6553936|XP_026839887.1|DERE
OG0001238	LOC109413694|XP_029727320.1|AEAL	LOC6554410|XP_026838513.1|DERE
OG0001239	LOC115264738|XP_029724628.1|AEAL, LOC109409112|XP_029730294.1|AEAL, LOC109401658|XP_019529779.2|AEAL, LOC109420361|XP_019550234.2|AEAL	LOC6553742|XP_001980360.2|DERE
OG0001240	LOC109405745|XP_029710923.1|AEAL	LOC6554398|XP_026839734.1|DERE
OG0001241	LOC109422597|XP_029712274.1|AEAL, LOC109402813|XP_029712227.1|AEAL	LOC6546818|XP_001975928.1|DERE
OG0001242	LOC109403313|XP_029718610.1|AEAL, LOC109412243|XP_019541430.1|AEAL	LOC6550330|XP_026838219.1|DERE
OG0001244	LOC115267025|XP_029729659.1|AEAL, LOC109432004|XP_029724278.1|AEAL, LOC115267091|XP_029729808.1|AEAL, LOC109399824|XP_029729811.1|AEAL	LOC6552764|XP_001979949.1|DERE
OG0001245	LOC115262829|XP_029721582.1|AEAL, LOC109425844|XP_029721583.1|AEAL, LOC115262612|XP_029720867.1|AEAL, LOC115262767|XP_029721474.1|AEAL	LOC6553773|XP_001979440.2|DERE
OG0001246	LOC109426479|XP_019557543.2|AEAL, LOC109426478|XP_019557542.2|AEAL, LOC109408978|XP_019537917.2|AEAL	LOC6548132|XP_001976509.1|DERE
OG0001247	LOC109433490|XP_029710256.1|AEAL, LOC109410662|XP_029731649.1|AEAL	LOC26526228|XP_015015475.1|DERE
OG0001248	LOC109425899|XP_019556819.2|AEAL	LOC6545475|XP_001971587.1|DERE
OG0001249	LOC115270971|XP_029736208.1|AEAL, LOC109407549|XP_019536161.2|AEAL, LOC109425808|XP_029736205.1|AEAL	LOC6554195|XP_026831624.1|DERE, LOC6551192|XP_001977026.1|DERE
OG0001257	LOC109424983|XP_029711672.1|AEAL, LOC109431126|XP_029730261.1|AEAL	LOC6555838|XP_026839144.1|DERE
OG0001258	LOC115260011|XP_029716705.1|AEAL, LOC109422191|XP_019552379.2|AEAL, LOC109428477|XP_019559796.1|AEAL	LOC6552916|XP_001980979.1|DERE
OG0001259	LOC109398767|XP_019526709.2|AEAL, LOC109623360|XP_019933464.2|AEAL, LOC109401178|XP_019529200.2|AEAL	LOC6555762|XP_001982668.1|DERE
OG0001260	LOC115256411|XP_029710765.1|AEAL, LOC109427544|XP_019558657.2|AEAL, LOC115256617|XP_029711299.1|AEAL, LOC115256594|XP_029711260.1|AEAL, LOC115269374|XP_029733906.1|AEAL, LOC109427545|XP_019558658.1|AEAL	LOC6551952|XP_001980706.1|DERE
OG0001261	LOC109422119|XP_019552298.1|AEAL	LOC6549872|XP_001978653.2|DERE
OG0001263	LOC109415630|XP_029730267.1|AEAL	LOC6554157|XP_026839561.1|DERE, LOC113563722|XP_026831611.1|DERE
OG0001264	LOC115266784|XP_029729217.1|AEAL, LOC109433564|XP_029729246.1|AEAL, LOC109430179|XP_029729242.1|AEAL, LOC109421814|XP_029717586.1|AEAL, LOC115253729|XP_029717522.1|AEAL	LOC6541322|XP_001968615.2|DERE
OG0001265	LOC109431460|XP_019563208.2|AEAL	LOC6555689|XP_015008807.1|DERE
OG0001266	LOC115263718|XP_029722829.1|AEAL, LOC109425434|XP_019556248.2|AEAL, LOC109432218|XP_029722814.1|AEAL	LOC6548086|XP_001975202.2|DERE
OG0001267	LOC115263657|XP_029722722.1|AEAL, LOC109400103|XP_029722959.1|AEAL, LOC115253611|XP_029722954.1|AEAL, LOC109621581|XP_029730493.1|AEAL, LOC109430341|XP_019561943.2|AEAL	LOC6555281|XP_015008835.1|DERE
OG0001269	LOC109429328|XP_019560777.2|AEAL, LOC109401040|XP_019529067.2|AEAL	LOC6546997|XP_001976039.1|DERE
OG0001270	LOC109424426|XP_019555076.2|AEAL, LOC109426294|XP_029721529.1|AEAL, LOC115253683|XP_029714169.1|AEAL, LOC115269325|XP_029733802.1|AEAL, LOC109415279|XP_019544701.2|AEAL	LOC6552687|XP_001978950.1|DERE
OG0001271	LOC109423271|XP_019553748.2|AEAL, LOC109423269|XP_019553746.2|AEAL	LOC6542309|XP_001969101.1|DERE
OG0001272	LOC109402588|XP_019530832.2|AEAL	LOC6545961|XP_026832486.1|DERE
OG0001273	LOC109406565|XP_019535205.2|AEAL, LOC115265703|XP_029727526.1|AEAL, LOC109415843|XP_019545328.2|AEAL, LOC109418743|XP_029715739.1|AEAL, LOC109415844|XP_019545329.1|AEAL	LOC6552245|XP_026839525.1|DERE
OG0001274	LOC115269683|XP_029734372.1|AEAL, LOC109404909|XP_029734943.1|AEAL, LOC115270107|XP_029734980.1|AEAL, LOC109400595|XP_019528628.2|AEAL, LOC115270106|XP_029734979.1|AEAL	LOC6545550|XP_001973389.1|DERE
OG0001276	LOC109425655|XP_029734743.1|AEAL	LOC6546447|XP_001971816.1|DERE
OG0001277	LOC109423359|XP_029725090.1|AEAL, LOC109401474|XP_029721727.1|AEAL	LOC6546365|XP_001971326.1|DERE
OG0001278	LOC115268895|XP_029732944.1|AEAL, LOC109403769|XP_029722460.1|AEAL	LOC6543976|XP_001972210.1|DERE
OG0001279	LOC115254218|XP_029732946.1|AEAL, LOC115259606|XP_029716199.1|AEAL, LOC109420587|XP_019550498.2|AEAL, LOC115260841|XP_029718021.1|AEAL, LOC109407261|XP_019535814.2|AEAL, LOC115258603|XP_029714746.1|AEAL, LOC109413533|XP_019542761.2|AEAL, LOC109404211|XP_019532592.2|AEAL, LOC109416926|XP_019546586.1|AEAL	LOC6545644|XP_001972165.1|DERE
OG0001280	LOC109424159|XP_029722010.1|AEAL, LOC115253833|XP_029710342.1|AEAL, LOC109430829|XP_019562461.1|AEAL	LOC6544826|XP_026832479.1|DERE
OG0001281	LOC115254264|XP_029736044.1|AEAL, LOC109399532|XP_029736040.1|AEAL, LOC109404375|XP_019532768.1|AEAL, LOC115254263|XP_029736038.1|AEAL, LOC109404377|XP_029735738.1|AEAL, LOC115270449|XP_029736039.1|AEAL	LOC6546026|XP_001971211.2|DERE
OG0001282	LOC109622166|XP_019931946.2|AEAL, LOC115269807|XP_029734460.1|AEAL, LOC115270436|XP_029736024.1|AEAL, LOC115269438|XP_029734080.1|AEAL, LOC115258972|XP_029715337.1|AEAL, LOC115258974|XP_029715338.1|AEAL	LOC6541864|XP_026835270.1|DERE, LOC113564235|XP_026835624.1|DERE
OG0001283	LOC109405605|XP_019534212.2|AEAL	LOC6548769|XP_001975424.1|DERE
OG0001284	LOC115266358|XP_029728399.1|AEAL, LOC109427900|XP_029723150.1|AEAL, LOC109428219|XP_029723153.1|AEAL, LOC115263996|XP_029723158.1|AEAL	LOC6541564|XP_001970923.1|DERE
OG0001285	LOC109407533|XP_019536144.2|AEAL, LOC109428193|XP_019559437.2|AEAL, LOC115266363|XP_029728424.1|AEAL, LOC109427881|XP_029734304.1|AEAL	LOC6545081|XP_001971036.1|DERE
OG0001286	LOC109622823|XP_029714587.1|AEAL, LOC109397529|XP_029714595.1|AEAL	LOC6548746|XP_001974103.1|DERE
OG0001287	LOC109417665|XP_029709322.1|AEAL, LOC115255401|XP_029709329.1|AEAL, LOC109417666|XP_019547261.3|AEAL	LOC6553174|XP_001980010.1|DERE
OG0001288	LOC109621380|XP_029732585.1|AEAL, LOC115268590|XP_029732564.1|AEAL	LOC6542539|XP_001968211.1|DERE
OG0001289	LOC109398322|XP_019526217.2|AEAL, LOC109429831|XP_029729192.1|AEAL, LOC109429832|XP_029729191.1|AEAL, LOC109398331|XP_019526230.2|AEAL, LOC109398282|XP_019526155.2|AEAL	LOC6548956|XP_026836394.1|DERE
OG0001290	LOC109411751|XP_029720185.1|AEAL	LOC6541299|XP_026834189.1|DERE, LOC113564240|XP_026835632.1|DERE
OG0001291	LOC115262189|XP_029720388.1|AEAL, LOC115262185|XP_029720380.1|AEAL	LOC6547993|XP_001976495.1|DERE
OG0001292	LOC109426269|XP_029707774.1|AEAL, LOC115257201|XP_029712497.1|AEAL, LOC115257193|XP_029712483.1|AEAL	LOC6548308|XP_026837047.1|DERE
OG0001293	LOC109621638|XP_029713982.1|AEAL, LOC109426360|XP_029707782.1|AEAL	LOC6550994|XP_001976870.1|DERE
OG0001294	LOC109428031|XP_029720704.1|AEAL	LOC6551990|XP_026832086.1|DERE
OG0001295	LOC109427321|XP_019558396.2|AEAL	LOC6550653|XP_001978043.1|DERE
OG0001296	LOC115263973|XP_029723137.1|AEAL, LOC109418392|XP_029721394.1|AEAL	LOC113564239|XP_026835631.1|DERE, LOC6541458|XP_026834489.1|DERE
OG0001297	LOC109403034|XP_029724657.1|AEAL	LOC6554487|XP_001981932.1|DERE
OG0001298	LOC115271076|XP_029736372.1|AEAL, LOC109402751|XP_029712232.1|AEAL	LOC6553334|XP_001979307.1|DERE
OG0001299	LOC109415647|XP_019545096.2|AEAL, LOC109425050|XP_029727810.1|AEAL, LOC109416667|XP_029717986.1|AEAL, LOC109400170|XP_029727844.1|AEAL, LOC115260810|XP_029717992.1|AEAL	LOC6544268|XP_001971954.1|DERE
OG0001300	LOC109404863|XP_029730231.1|AEAL	LOC6551784|XP_001980597.1|DERE
OG0001301	LOC115268049|XP_029731831.1|AEAL, LOC109423386|XP_019553926.2|AEAL, LOC115254205|XP_029731856.1|AEAL, LOC109409546|XP_029731850.1|AEAL, LOC109423387|XP_029731947.1|AEAL	LOC6542841|XP_001970076.1|DERE
OG0001302	LOC109409577|XP_019538575.2|AEAL, LOC109430467|XP_019562082.1|AEAL, LOC115268973|XP_029733111.1|AEAL	LOC6547451|XP_026836566.1|DERE
OG0001303	LOC109405755|XP_019534367.2|AEAL	LOC6556244|XP_026839555.1|DERE, LOC6552357|XP_001979821.1|DERE, LOC6552355|XP_001979819.1|DERE
OG0001304	LOC109422619|XP_029712250.1|AEAL	LOC6549513|XP_026836132.1|DERE
OG0001305	LOC109424108|XP_019554748.2|AEAL, LOC109408394|XP_029736004.1|AEAL	LOC6552686|XP_026835679.1|DERE
OG0001306	LOC109431902|XP_029727831.1|AEAL, LOC115266069|XP_029727795.1|AEAL, LOC109404401|XP_019532794.2|AEAL	LOC6552486|XP_001979835.1|DERE
OG0001307	LOC109401126|XP_019529151.2|AEAL, LOC109422683|XP_019553087.2|AEAL	LOC6545096|XP_015013259.1|DERE
OG0001308	LOC115260119|XP_029716884.1|AEAL, LOC109402817|XP_029736414.1|AEAL, LOC109422652|XP_029716899.1|AEAL	LOC6555528|XP_026837276.1|DERE
OG0001309	LOC109406154|XP_019534767.1|AEAL, LOC109406159|XP_019534772.2|AEAL, LOC109401790|XP_029710058.1|AEAL	LOC6553357|XP_001980186.1|DERE
OG0001311	LOC115256563|XP_029711158.1|AEAL, LOC115256637|XP_029711331.1|AEAL, LOC109401927|XP_019530096.2|AEAL	LOC6550257|XP_026838073.1|DERE
OG0001312	LOC109422322|XP_029708138.1|AEAL	LOC6543867|XP_001972343.1|DERE, LOC6543868|XP_001972344.1|DERE
OG0001313	LOC115254196|XP_029731204.1|AEAL, LOC109399588|XP_029731213.1|AEAL	LOC6549055|XP_001975577.1|DERE
OG0001314	LOC109408951|XP_019537896.2|AEAL	LOC26526017|XP_015015431.1|DERE
OG0001315	LOC115261157|XP_029718373.1|AEAL, LOC115269127|XP_029733395.1|AEAL, LOC109427228|XP_019558280.2|AEAL	LOC6555559|XP_001982584.1|DERE
OG0001326	LOC115254736|XP_029708273.1|AEAL, LOC109421123|XP_029719625.1|AEAL, LOC109415200|XP_029710897.1|AEAL, LOC109426281|XP_019557293.2|AEAL	LOC6555294|XP_026839773.1|DERE
OG0001328	LOC109426400|XP_019557457.1|AEAL, LOC109428421|XP_019559716.2|AEAL, LOC109430528|XP_029729088.1|AEAL	LOC6550709|XP_026838036.1|DERE
OG0001329	LOC109428569|XP_019559888.2|AEAL	LOC6550002|XP_001977468.1|DERE
OG0001330	LOC109406965|XP_019535520.2|AEAL	LOC6550582|XP_001978183.1|DERE
OG0001331	LOC109401885|XP_029709685.1|AEAL, LOC115255730|XP_029709713.1|AEAL, LOC109401884|XP_019530032.2|AEAL, LOC109414706|XP_029709686.1|AEAL, LOC115255731|XP_029709714.1|AEAL	LOC6555632|XP_001982516.1|DERE
OG0001332	LOC109433012|XP_019564937.2|AEAL, LOC115253665|XP_029734202.1|AEAL, LOC109397726|XP_019525586.2|AEAL, LOC109433016|XP_029734230.1|AEAL	LOC6550077|XP_026837754.1|DERE
OG0001333	LOC109423055|XP_029708388.1|AEAL, LOC115260697|XP_029717773.1|AEAL, LOC115253915|XP_029717759.1|AEAL, LOC109432368|XP_029717766.1|AEAL, LOC109423056|XP_019553505.2|AEAL	LOC6542171|XP_001968537.2|DERE
OG0001334	LOC109425180|XP_029717616.1|AEAL, LOC115253810|XP_029714023.1|AEAL, LOC109425173|XP_029717621.1|AEAL	LOC6555347|XP_026839639.1|DERE
OG0001335	LOC109412094|XP_019541280.1|AEAL, LOC109427342|XP_019558420.2|AEAL, LOC109412097|XP_029707539.1|AEAL, LOC109427354|XP_029733712.1|AEAL	LOC6553840|XP_026839811.1|DERE
OG0001337	LOC109405489|XP_019534122.2|AEAL	LOC6550059|XP_026838050.1|DERE
OG0001338	LOC109430336|XP_019561937.2|AEAL	LOC6548277|XP_001975259.1|DERE
OG0001339	LOC109400129|XP_019528163.2|AEAL, LOC109621258|XP_019931277.2|AEAL, LOC109622561|XP_019932516.2|AEAL	LOC6546591|XP_001975905.2|DERE
OG0001340	LOC109399955|XP_019527968.2|AEAL	LOC6544880|XP_001973840.2|DERE
OG0001341	LOC109398471|XP_019526395.2|AEAL	LOC6554548|XP_001981949.1|DERE
OG0001344	LOC109423591|XP_029720533.1|AEAL, LOC109402459|XP_019530693.1|AEAL, LOC115264100|XP_029723287.1|AEAL, LOC109423594|XP_029723283.1|AEAL	LOC6554960|XP_026839874.1|DERE
OG0001345	LOC109402412|XP_019530630.2|AEAL, LOC109423538|XP_019554067.2|AEAL, LOC109402443|XP_019530675.1|AEAL	LOC6552044|XP_001980720.1|DERE
OG0001346	LOC109402420|XP_029733451.1|AEAL, LOC115267181|XP_029729909.1|AEAL, LOC109405431|XP_029712606.1|AEAL	LOC6552501|XP_001980856.2|DERE, LOC6552502|XP_026834514.1|DERE
OG0001347	LOC109404017|XP_019532425.2|AEAL	LOC6549692|XP_001978725.1|DERE
OG0001348	LOC109418066|XP_019547779.2|AEAL	LOC6550033|XP_001977499.1|DERE
OG0001349	LOC109407770|XP_019536490.2|AEAL	LOC6545659|XP_026833979.1|DERE
OG0001350	LOC109397828|XP_019525707.2|AEAL, LOC109418971|XP_029709783.1|AEAL	LOC6544580|XP_026833344.1|DERE
OG0001351	LOC109419691|XP_029733477.1|AEAL	LOC6541096|XP_001969111.1|DERE
OG0001352	LOC115254554|XP_029708023.1|AEAL, LOC109415740|XP_019545217.2|AEAL	LOC6541987|XP_015014695.1|DERE
OG0001353	LOC115263700|XP_029722794.1|AEAL, LOC115261548|XP_029719298.1|AEAL, LOC115262218|XP_029720456.1|AEAL, LOC115262103|XP_029719983.1|AEAL, LOC109427105|XP_029725593.1|AEAL	LOC6544339|XP_026833190.1|DERE
OG0001354	LOC115256955|XP_029712021.1|AEAL, LOC109417878|XP_029725401.1|AEAL	LOC6547922|XP_015012652.1|DERE
