Orthogroup	AEAL.longest_only	DVIR.longest_only
OG0001990	LOC109419108|XP_029715128.1|AEAL, LOC109409361|XP_029715193.1|AEAL, LOC115262912|XP_029721672.1|AEAL	LOC6627818|XP_002051143.2|DVIR
OG0001991	LOC115269124|XP_029733393.1|AEAL, LOC109397556|XP_029715197.1|AEAL	LOC6629075|XP_032294338.1|DVIR
OG0001992	LOC115258833|XP_029715127.1|AEAL, LOC109397539|XP_029714675.1|AEAL	LOC6627897|XP_032294616.1|DVIR
OG0001993	LOC115258581|XP_029714677.1|AEAL, LOC115258553|XP_029714578.1|AEAL, LOC109397524|XP_019525370.1|AEAL	LOC6634213|XP_002057806.1|DVIR
OG0001994	LOC109405873|XP_019534477.2|AEAL, LOC109407201|XP_019535726.2|AEAL	LOC6629688|XP_015027572.1|DVIR
OG0001995	LOC115258769|XP_029715029.1|AEAL, LOC109405703|XP_019534308.2|AEAL, LOC109410201|XP_029730241.1|AEAL	LOC6634297|XP_002057449.1|DVIR
OG0001996	LOC109417642|XP_029709337.1|AEAL, LOC115255414|XP_029709383.1|AEAL, LOC115255422|XP_029709410.1|AEAL	LOC6628189|XP_032294003.1|DVIR
OG0001997	LOC115255375|XP_029709277.1|AEAL, LOC115253948|XP_029709288.1|AEAL, LOC109417687|XP_019547293.2|AEAL	LOC6626236|XP_002048860.1|DVIR
OG0001998	LOC115253946|XP_029709239.1|AEAL, LOC109416929|XP_029709253.1|AEAL, LOC109417691|XP_019547307.2|AEAL	LOC6626332|XP_032291752.1|DVIR
OG0001999	LOC109417772|XP_029709100.1|AEAL	LOC6627059|XP_015029165.1|DVIR
OG0002000	LOC109415253|XP_029709033.1|AEAL	LOC6627761|XP_002052650.1|DVIR
OG0002001	LOC109419931|XP_029708900.1|AEAL, LOC115255157|XP_029708909.1|AEAL	LOC116650000|XP_032289206.1|DVIR, LOC6628530|XP_032294382.1|DVIR, LOC116651549|XP_032294021.1|DVIR
OG0002002	LOC109419878|XP_019549708.2|AEAL, LOC109420708|XP_019550709.2|AEAL	LOC6626541|XP_002050751.2|DVIR, LOC6625666|XP_002050787.1|DVIR
OG0002003	LOC109414247|XP_029736327.1|AEAL, LOC115253939|XP_029708865.1|AEAL, LOC109420697|XP_019550692.1|AEAL	LOC6633984|XP_002057848.1|DVIR
OG0002004	LOC109420660|XP_019550626.2|AEAL	LOC6628214|XP_015028608.1|DVIR
OG0002005	LOC109420492|XP_029708637.1|AEAL, LOC109419733|XP_029708643.1|AEAL	LOC6633901|XP_015025296.2|DVIR
OG0002006	LOC115269356|XP_029733865.1|AEAL, LOC109420302|XP_029732976.1|AEAL, LOC109419769|XP_029708609.1|AEAL, LOC115255044|XP_029708632.1|AEAL	LOC6628358|XP_032294603.1|DVIR
OG0002007	LOC115261019|XP_029718245.1|AEAL, LOC109430154|XP_019561731.1|AEAL	LOC6628906|XP_002051550.1|DVIR
OG0002008	LOC109430176|XP_029727434.1|AEAL	LOC6636271|XP_032290159.1|DVIR
OG0002009	LOC109427576|XP_019558699.2|AEAL, LOC109432855|XP_019564749.2|AEAL, LOC115268908|XP_029732979.1|AEAL	LOC6624883|XP_032292330.1|DVIR
OG0002010	LOC109427591|XP_029727422.1|AEAL, LOC109621901|XP_019931649.2|AEAL	LOC6633986|XP_002057850.1|DVIR
OG0002011	LOC109431006|XP_019562675.2|AEAL, LOC115265222|XP_029725363.1|AEAL, LOC115266443|XP_029728532.1|AEAL, LOC109421438|XP_029727014.1|AEAL, LOC109432536|XP_019564411.2|AEAL	LOC6634004|XP_002057825.3|DVIR
OG0002012	LOC109423927|XP_019554535.1|AEAL, LOC109404813|XP_019533310.1|AEAL	LOC6627349|XP_002052460.2|DVIR
OG0002013	LOC109423906|XP_029727280.1|AEAL, LOC109404819|XP_029727242.1|AEAL	LOC6634155|XP_032293567.1|DVIR
OG0002014	LOC109421536|XP_029727097.1|AEAL	LOC6626383|XP_002050057.1|DVIR
OG0002015	LOC109421342|XP_019551395.1|AEAL, LOC109432570|XP_029726915.1|AEAL	LOC6632471|XP_002056172.1|DVIR, LOC116650345|XP_032289662.1|DVIR
OG0002016	LOC109415848|XP_029720051.1|AEAL	LOC6626610|XP_032292177.1|DVIR
OG0002017	LOC109416795|XP_029720043.1|AEAL, LOC109402508|XP_029732812.1|AEAL	LOC6629111|XP_032293893.1|DVIR
OG0002018	LOC109429591|XP_029719953.1|AEAL, LOC115254140|XP_029724789.1|AEAL	LOC6634214|XP_002057807.3|DVIR
OG0002019	LOC109429555|XP_019561077.2|AEAL	LOC116651542|XP_032293992.1|DVIR, LOC6628983|XP_032293990.1|DVIR
OG0002020	LOC109415452|XP_019544873.2|AEAL	LOC6634183|XP_002057441.2|DVIR
OG0002021	LOC109398549|XP_029720118.1|AEAL	LOC6625386|XP_002050303.2|DVIR
OG0002022	LOC109398356|XP_029720147.1|AEAL, LOC109429827|XP_019561352.1|AEAL, LOC109401755|XP_029710059.1|AEAL, LOC109406163|XP_019534776.2|AEAL	LOC6628404|XP_032294501.1|DVIR
OG0002023	LOC109429794|XP_029719779.1|AEAL, LOC109398275|XP_019526140.2|AEAL	LOC6632895|XP_002056195.1|DVIR
OG0002024	LOC109411701|XP_019540819.1|AEAL	LOC6623556|XP_032290041.1|DVIR
OG0002025	LOC109411738|XP_019540880.3|AEAL	LOC6628942|XP_032293538.1|DVIR
OG0002026	LOC109414170|XP_019543498.2|AEAL	LOC6622563|XP_002047703.2|DVIR
OG0002027	LOC115255674|XP_029709636.1|AEAL, LOC115254439|XP_029707790.1|AEAL, LOC109421746|XP_029709633.1|AEAL	LOC6626290|XP_015029287.1|DVIR
OG0002028	LOC109421752|XP_029707787.1|AEAL	LOC6626936|XP_032293080.1|DVIR
OG0002029	LOC109423263|XP_029709312.1|AEAL	LOC6623931|XP_002047397.2|DVIR
OG0002030	LOC115262698|XP_029721219.1|AEAL, LOC109623315|XP_019933386.1|AEAL, LOC109401290|XP_019529329.1|AEAL	LOC6625886|XP_002050357.1|DVIR
OG0002031	LOC109412046|XP_019541233.2|AEAL	LOC6624786|XP_015029730.1|DVIR
OG0002032	LOC115263976|XP_029723139.1|AEAL, LOC109427293|XP_029721389.1|AEAL	LOC6629903|XP_002053401.1|DVIR
OG0002033	LOC115263095|XP_029721873.1|AEAL, LOC115263947|XP_029723115.1|AEAL, LOC109426125|XP_029721558.1|AEAL, LOC109418409|XP_029723114.1|AEAL	LOC6633486|XP_002057345.1|DVIR
OG0002034	LOC109426160|XP_029721705.1|AEAL, LOC109426156|XP_029721662.1|AEAL, LOC109418423|XP_029721956.1|AEAL	LOC6634834|XP_002058015.3|DVIR
OG0002035	LOC109426175|XP_029722195.1|AEAL, LOC109418446|XP_019548182.2|AEAL, LOC115263232|XP_029722087.1|AEAL	LOC6633157|XP_002056606.1|DVIR, LOC6631504|XP_002055323.2|DVIR
OG0002036	LOC115260472|XP_029717276.1|AEAL, LOC109407471|XP_029717229.1|AEAL, LOC109419243|XP_029723569.1|AEAL	LOC6630386|XP_015027037.2|DVIR
OG0002037	LOC109410442|XP_029725870.1|AEAL, LOC115256317|XP_029710420.1|AEAL	LOC6623209|XP_002046319.1|DVIR, LOC6624342|XP_002046338.1|DVIR
OG0002038	LOC109410375|XP_019539473.2|AEAL	LOC6629346|XP_002053262.1|DVIR
OG0002039	LOC109414398|XP_019543750.2|AEAL, LOC109415396|XP_019544808.2|AEAL	LOC26530948|XP_015027846.1|DVIR
OG0002040	LOC109425025|XP_019555760.2|AEAL	LOC6629308|XP_032288888.1|DVIR
OG0002041	LOC109410906|XP_029730035.1|AEAL, LOC109411113|XP_029730603.1|AEAL, LOC115253916|XP_029730013.1|AEAL	LOC6631377|XP_032295933.1|DVIR, LOC6625763|XP_015029845.1|DVIR
OG0002042	LOC109399298|XP_019527278.2|AEAL, LOC109433350|XP_019565322.2|AEAL	LOC6632341|XP_002056409.1|DVIR
OG0002043	LOC109413928|XP_019543205.2|AEAL, LOC109621289|XP_019931854.2|AEAL, LOC115254236|XP_029734177.1|AEAL	LOC6629647|XP_002053557.2|DVIR
OG0002044	LOC115269272|XP_029733687.1|AEAL, LOC109400364|XP_029733583.1|AEAL, LOC109432399|XP_029715538.1|AEAL	LOC6633046|XP_002056269.1|DVIR
OG0002045	LOC109416442|XP_029729673.1|AEAL, LOC115261564|XP_029719318.1|AEAL, LOC109622373|XP_029719311.1|AEAL	LOC6633162|XP_002056611.3|DVIR, LOC116652214|XP_032296159.1|DVIR
OG0002046	LOC109416293|XP_029736172.1|AEAL	LOC6634693|XP_002058304.1|DVIR
OG0002047	LOC109416414|XP_029707563.1|AEAL, LOC115253755|XP_029727739.1|AEAL, LOC115266053|XP_029727760.1|AEAL, LOC109424021|XP_029727708.1|AEAL	LOC6634675|XP_032296474.1|DVIR
OG0002048	LOC109431922|XP_029727776.1|AEAL, LOC115266066|XP_029727788.1|AEAL	LOC6632363|XP_002056724.2|DVIR
OG0002049	LOC109422734|XP_029728099.1|AEAL, LOC115254159|XP_029727908.1|AEAL, LOC109431860|XP_029727923.1|AEAL	LOC6632287|XP_002056729.1|DVIR
OG0002050	LOC115264858|XP_029724751.1|AEAL, LOC109412333|XP_019541524.2|AEAL, LOC109422696|XP_029727884.1|AEAL	LOC6629856|XP_032292860.1|DVIR
OG0002051	LOC109402833|XP_019531111.2|AEAL	LOC26531904|XP_015030378.1|DVIR
OG0002052	LOC115257064|XP_029712215.1|AEAL	LOC6623847|XP_002046229.1|DVIR
OG0002053	LOC109398800|XP_019526757.1|AEAL, LOC115261372|XP_029718786.1|AEAL	LOC6629605|XP_002054670.2|DVIR, LOC6629603|XP_002054668.2|DVIR
OG0002054	LOC109398827|XP_019526802.2|AEAL	LOC6632543|XP_002056186.1|DVIR
OG0002055	LOC115261446|XP_029718976.1|AEAL, LOC109427230|XP_019558281.2|AEAL, LOC115261426|XP_029718935.1|AEAL	LOC116651717|XP_032294562.1|DVIR, LOC6630898|XP_002053127.1|DVIR
OG0002056	LOC115253572|XP_029718913.1|AEAL, LOC109411614|XP_029718965.1|AEAL, LOC109427247|XP_029715618.1|AEAL	LOC6622886|XP_002048169.1|DVIR
OG0002057	LOC115261409|XP_029718888.1|AEAL, LOC115261440|XP_029718962.1|AEAL, LOC109411619|XP_019540720.2|AEAL, LOC109427253|XP_019558324.2|AEAL	LOC6627975|XP_002051781.1|DVIR
OG0002058	LOC115254069|XP_029718910.1|AEAL, LOC109427254|XP_019558325.1|AEAL, LOC115261410|XP_029718889.1|AEAL, LOC109411620|XP_029718963.1|AEAL	LOC6623174|XP_002046124.1|DVIR
OG0002059	LOC109427256|XP_019558330.1|AEAL, LOC115261411|XP_029718893.1|AEAL, LOC115261415|XP_029718907.1|AEAL, LOC109411623|XP_029717160.1|AEAL	LOC6632616|XP_002056316.1|DVIR
OG0002060	LOC109427262|XP_029718897.1|AEAL, LOC109411628|XP_029717172.1|AEAL, LOC115261435|XP_029718951.1|AEAL	LOC6626587|XP_002049766.1|DVIR
OG0002061	LOC109427263|XP_029718950.1|AEAL, LOC109411629|XP_019540734.2|AEAL, LOC115261412|XP_029718895.1|AEAL	LOC6625739|XP_032291908.1|DVIR
OG0002062	LOC109404968|XP_029719247.1|AEAL	LOC6634648|XP_002058299.3|DVIR
OG0002063	LOC109404986|XP_019533517.2|AEAL, LOC109416162|XP_019545680.2|AEAL, LOC115254081|XP_029719239.1|AEAL	LOC6633540|XP_002057238.1|DVIR
OG0002064	LOC115261573|XP_029719328.1|AEAL, LOC109416620|XP_019546229.1|AEAL, LOC115261546|XP_029719255.1|AEAL, LOC109432816|XP_029719329.1|AEAL	LOC6634505|XP_015025097.1|DVIR
OG0002065	LOC115261562|XP_029719310.1|AEAL, LOC109432817|XP_019564706.2|AEAL, LOC115261563|XP_029719313.1|AEAL	LOC6623715|XP_002047355.2|DVIR
OG0002066	LOC109405099|XP_029716736.1|AEAL	LOC6630811|XP_015027417.1|DVIR
OG0002067	LOC109416515|XP_019546132.2|AEAL	LOC6626937|XP_002049244.1|DVIR
OG0002068	LOC109411939|XP_029733040.1|AEAL, LOC109406738|XP_029733024.1|AEAL	LOC6625314|XP_002048757.1|DVIR
OG0002069	LOC115254161|XP_029728101.1|AEAL, LOC109405601|XP_019534210.2|AEAL	LOC6633275|XP_002057134.1|DVIR
OG0002070	LOC109405911|XP_019534518.2|AEAL, LOC109405691|XP_019534300.2|AEAL, LOC109405647|XP_019534264.2|AEAL	LOC6630130|XP_002053682.1|DVIR
OG0002071	LOC109407855|XP_029724224.1|AEAL	LOC6631122|XP_002054242.1|DVIR, LOC6631121|XP_002054241.1|DVIR
OG0002072	LOC109398924|XP_019526924.1|AEAL, LOC115264564|XP_029724249.1|AEAL	LOC6626533|XP_002050657.1|DVIR
OG0002073	LOC109401570|XP_029724505.1|AEAL, LOC109402877|XP_029724543.1|AEAL, LOC115264667|XP_029724487.1|AEAL	LOC6622626|XP_032290694.1|DVIR
OG0002074	LOC109422260|XP_029724561.1|AEAL, LOC115259952|XP_029716608.1|AEAL	LOC6626580|XP_002049693.1|DVIR
OG0002075	LOC109415838|XP_019545321.1|AEAL, LOC109418778|XP_019548552.1|AEAL, LOC115257589|XP_029713233.1|AEAL, LOC115254032|XP_029715751.1|AEAL	LOC26530442|XP_015028814.1|DVIR
OG0002076	LOC109420404|XP_029729304.1|AEAL, LOC109402323|XP_029713604.1|AEAL	LOC6626692|XP_032292959.1|DVIR
OG0002077	LOC109402320|XP_029713586.1|AEAL, LOC115253757|XP_029713723.1|AEAL	LOC6622532|XP_032291318.1|DVIR
OG0002078	LOC115257894|XP_029713736.1|AEAL, LOC115257450|XP_029712906.1|AEAL, LOC109402270|XP_019530465.2|AEAL	LOC6625145|XP_002049554.1|DVIR
OG0002079	LOC109433204|XP_019565150.1|AEAL	LOC6624462|XP_002048071.1|DVIR
OG0002080	LOC109431533|XP_029719646.1|AEAL, LOC109422416|XP_029712778.1|AEAL	LOC6634522|XP_002058071.2|DVIR, LOC6625119|XP_002049499.1|DVIR
OG0002081	LOC109424407|XP_029707752.1|AEAL	LOC6624784|XP_002049437.1|DVIR
OG0002082	LOC109418655|XP_029730659.1|AEAL, LOC109414790|XP_029719572.1|AEAL	LOC6625656|XP_032293288.1|DVIR
OG0002083	LOC109414805|XP_029719558.1|AEAL	LOC6633873|XP_032296511.1|DVIR
OG0002084	LOC109418498|XP_019548245.1|AEAL	LOC6625624|XP_002049068.1|DVIR
OG0002085	LOC109401249|XP_029721272.1|AEAL, LOC109413613|XP_029721370.1|AEAL, LOC115253902|XP_029721375.1|AEAL	LOC6626264|XP_002050906.1|DVIR
OG0002086	LOC109623390|XP_019933492.1|AEAL, LOC115262587|XP_029720847.1|AEAL, LOC109426916|XP_019558018.1|AEAL	LOC6626480|XP_002049074.1|DVIR
OG0002087	LOC109408615|XP_029720918.1|AEAL, LOC109421903|XP_029720891.1|AEAL	LOC26531396|XP_032289985.1|DVIR
OG0002088	LOC109408746|XP_019537664.2|AEAL, LOC115267732|XP_029730787.1|AEAL	LOC6624726|XP_015030511.1|DVIR
OG0002089	LOC115267813|XP_029731053.1|AEAL, LOC109397100|XP_029730995.1|AEAL	LOC6635359|XP_002058905.1|DVIR
OG0002090	LOC109409843|XP_019538871.2|AEAL	LOC6624051|XP_002047469.1|DVIR
OG0002091	LOC109399551|XP_019527547.2|AEAL	LOC6626001|XP_032293005.1|DVIR
OG0002092	LOC109431991|XP_019563837.1|AEAL, LOC109431287|XP_029724607.1|AEAL	LOC6623949|XP_032291244.1|DVIR
OG0002093	LOC115254199|XP_029731365.1|AEAL, LOC109426482|XP_029710081.1|AEAL	LOC6627267|XP_002049909.1|DVIR
OG0002094	LOC109403702|XP_029731427.1|AEAL, LOC115266893|XP_029729356.1|AEAL	LOC6624979|XP_032289448.1|DVIR, LOC116650951|XP_032292149.1|DVIR
OG0002095	LOC109403422|XP_019531798.1|AEAL	LOC6634544|XP_002058288.1|DVIR
OG0002096	LOC109622238|XP_029731487.1|AEAL	LOC6626956|XP_032292980.1|DVIR
OG0002097	LOC109410744|XP_029731592.1|AEAL	LOC6625109|XP_002049283.2|DVIR
OG0002098	LOC115267972|XP_029731680.1|AEAL, LOC109433444|XP_029714386.1|AEAL, LOC109410678|XP_029731687.1|AEAL, LOC109415401|XP_029732102.1|AEAL	LOC6624287|XP_015031432.1|DVIR
OG0002099	LOC115270133|XP_029735089.1|AEAL, LOC109621473|XP_019931061.2|AEAL	LOC6629885|XP_002054545.1|DVIR
OG0002100	LOC109426042|XP_019557027.1|AEAL	LOC6623652|XP_002048244.3|DVIR
OG0002101	LOC115254207|XP_029731958.1|AEAL, LOC109425935|XP_029731904.1|AEAL, LOC109407614|XP_029708345.1|AEAL	LOC6625848|XP_032292941.1|DVIR
OG0002102	LOC109407506|XP_019536102.2|AEAL, LOC115254090|XP_029720467.1|AEAL, LOC109425767|XP_029716782.1|AEAL	LOC6626790|XP_002049829.2|DVIR
OG0002103	LOC109412716|XP_019541874.2|AEAL, LOC109411868|XP_029728535.1|AEAL	LOC6629840|XP_002054540.2|DVIR
OG0002117	LOC115255629|XP_029709579.1|AEAL, LOC115255647|XP_029709607.1|AEAL, LOC109405365|XP_019533965.2|AEAL	LOC6635550|XP_002059097.1|DVIR
OG0002118	LOC115255620|XP_029709568.1|AEAL, LOC109405340|XP_029709584.1|AEAL	LOC26530985|XP_015024798.1|DVIR, LOC26531314|XP_032296684.1|DVIR
OG0002119	LOC109424979|XP_029730264.1|AEAL, LOC109431117|XP_029711291.1|AEAL	LOC6631147|XP_015026969.1|DVIR
OG0002120	LOC109431090|XP_029712026.1|AEAL, LOC115256425|XP_029710822.1|AEAL, LOC109415389|XP_029711074.1|AEAL	LOC6636209|XP_002059699.1|DVIR
OG0002121	LOC109415837|XP_029710571.1|AEAL, LOC109431177|XP_029711637.1|AEAL	LOC6634874|XP_032295296.1|DVIR
OG0002122	LOC115258698|XP_029714898.1|AEAL, LOC115267511|XP_029730461.1|AEAL, LOC115267425|XP_029730274.1|AEAL, LOC109421672|XP_029723529.1|AEAL, LOC115253593|XP_029728894.1|AEAL, LOC109401641|XP_019529757.1|AEAL, LOC115268016|XP_029731763.1|AEAL	LOC6628662|XP_002051818.2|DVIR
OG0002123	LOC109433622|XP_019565606.2|AEAL, LOC115260186|XP_029716965.1|AEAL, LOC115260193|XP_029716968.1|AEAL	LOC6628453|XP_032294579.1|DVIR
OG0002124	LOC115256608|XP_029711286.1|AEAL, LOC115254583|XP_029708052.1|AEAL, LOC109408961|XP_029713475.1|AEAL	LOC6635457|XP_002059059.2|DVIR
OG0002125	LOC109397928|XP_029732795.1|AEAL, LOC109411589|XP_029711753.1|AEAL	LOC6626451|XP_002049681.1|DVIR
OG0002126	LOC109401919|XP_019530085.2|AEAL	LOC6622481|XP_015030519.1|DVIR
OG0002127	LOC109401891|XP_019530044.2|AEAL	LOC6631364|XP_032296113.1|DVIR
OG0002128	LOC109401901|XP_019530061.2|AEAL, LOC115256328|XP_029710468.1|AEAL	LOC6635484|XP_032296156.1|DVIR
OG0002129	LOC109414676|XP_019544051.2|AEAL	LOC6635015|XP_002058659.2|DVIR
OG0002130	LOC115255740|XP_029709723.1|AEAL, LOC115255706|XP_029709666.1|AEAL, LOC109412205|XP_019541402.2|AEAL, LOC109401824|XP_019529982.2|AEAL	LOC6634737|XP_032289213.1|DVIR
OG0002131	LOC109422131|XP_019552314.2|AEAL	LOC6632912|XP_002056257.1|DVIR
OG0002132	LOC115258896|XP_029715211.1|AEAL, LOC109424214|XP_029715216.1|AEAL, LOC115254016|XP_029714747.1|AEAL	LOC6634124|XP_002057725.1|DVIR
OG0002133	LOC109422142|XP_019552327.2|AEAL, LOC109432621|XP_019564526.2|AEAL	LOC6633868|XP_002056970.1|DVIR
OG0002134	LOC109432624|XP_019564533.2|AEAL, LOC109397203|XP_019525090.2|AEAL	LOC6634526|XP_002057955.1|DVIR
OG0002135	LOC115256515|XP_029711058.1|AEAL, LOC109422018|XP_029711417.1|AEAL, LOC115256516|XP_029711061.1|AEAL	LOC6633633|XP_032296266.1|DVIR
OG0002136	LOC115269152|XP_029733425.1|AEAL, LOC115254485|XP_029707895.1|AEAL, LOC109410160|XP_019539230.2|AEAL, LOC109427440|XP_019558541.2|AEAL	LOC6633024|XP_002055941.1|DVIR
OG0002137	LOC109427407|XP_029709733.1|AEAL, LOC109410126|XP_019539200.1|AEAL	LOC6630771|XP_032294881.1|DVIR
OG0002138	LOC109416561|XP_019546185.3|AEAL, LOC109416543|XP_019546166.2|AEAL	LOC6633690|XP_002057007.1|DVIR
OG0002139	LOC109405079|XP_029710896.1|AEAL	LOC6634723|XP_032289223.1|DVIR
OG0002140	LOC109398423|XP_029710676.1|AEAL	LOC6636033|XP_032296209.1|DVIR
OG0002141	LOC109400383|XP_019528433.1|AEAL, LOC109398405|XP_019526300.1|AEAL	LOC6628236|XP_002051806.1|DVIR, LOC6635239|XP_002058767.1|DVIR
OG0002142	LOC109432703|XP_029710954.1|AEAL, LOC115256464|XP_029710965.1|AEAL	LOC116651839|XP_032294831.1|DVIR, LOC6631029|XP_002054120.1|DVIR
OG0002143	LOC115269819|XP_029734464.1|AEAL, LOC109409465|XP_019538451.2|AEAL, LOC115256471|XP_029710976.1|AEAL, LOC115256566|XP_029711182.1|AEAL, LOC109412985|XP_029736288.1|AEAL	LOC6629068|XP_002051612.1|DVIR
OG0002144	LOC109409483|XP_019538480.1|AEAL, LOC109397642|XP_029736274.1|AEAL	LOC6636217|XP_002059718.2|DVIR
OG0002145	LOC109432989|XP_019564906.1|AEAL, LOC115269579|XP_029734256.1|AEAL, LOC109397705|XP_019525563.1|AEAL	LOC6630186|XP_002053255.2|DVIR
OG0002146	LOC115253959|XP_029710181.1|AEAL, LOC109414087|XP_029710185.1|AEAL	LOC6633035|XP_002056062.1|DVIR
OG0002148	LOC109403530|XP_019531897.2|AEAL, LOC115260591|XP_029717441.1|AEAL	LOC6636821|XP_002060303.1|DVIR
OG0002149	LOC115264860|XP_029724755.1|AEAL, LOC109422960|XP_029717434.1|AEAL, LOC109403555|XP_029717407.1|AEAL	LOC6636273|XP_002059686.2|DVIR
OG0002150	LOC109422966|XP_029717424.1|AEAL, LOC109403567|XP_029717393.1|AEAL	LOC6634442|XP_002058057.1|DVIR
OG0002151	LOC109403568|XP_029717394.1|AEAL, LOC109422967|XP_019553412.2|AEAL	LOC6627819|XP_002051144.2|DVIR, LOC116651415|XP_032293610.1|DVIR
OG0002152	LOC115269504|XP_029734147.1|AEAL, LOC109422825|XP_029734151.1|AEAL, LOC115260611|XP_029717502.1|AEAL, LOC115260636|XP_029717563.1|AEAL	LOC6632813|XP_015026071.2|DVIR
OG0002153	LOC109422812|XP_029723052.1|AEAL, LOC109400888|XP_029717582.1|AEAL, LOC109400890|XP_029717516.1|AEAL	LOC6632214|XP_002055882.1|DVIR
OG0002154	LOC115260628|XP_029717547.1|AEAL, LOC109422801|XP_019553227.1|AEAL, LOC109421815|XP_019551916.1|AEAL	LOC6634683|XP_015025121.1|DVIR
OG0002155	LOC109425456|XP_019556274.2|AEAL, LOC115260961|XP_029718182.1|AEAL, LOC109412969|XP_019542172.2|AEAL	LOC6629478|XP_002054093.1|DVIR
OG0002156	LOC109431451|XP_019563200.2|AEAL, LOC109427678|XP_029717851.1|AEAL, LOC115260560|XP_029717336.1|AEAL	LOC6622839|XP_002047681.1|DVIR
OG0002157	LOC109431463|XP_029717880.1|AEAL	LOC6632474|XP_002056175.1|DVIR
OG0002158	LOC109415571|XP_019545000.2|AEAL	LOC6626071|XP_015029587.1|DVIR
OG0002159	LOC109415590|XP_029717899.1|AEAL	LOC6626895|XP_002050817.1|DVIR
OG0002160	LOC115260910|XP_029718110.1|AEAL, LOC109415593|XP_019545034.2|AEAL	LOC6630552|XP_032295302.1|DVIR
OG0002161	LOC109417113|XP_019546784.1|AEAL, LOC109405961|XP_019534556.2|AEAL	LOC6631150|XP_002054253.1|DVIR
OG0002162	LOC109405955|XP_029729107.1|AEAL, LOC109406950|XP_029728642.1|AEAL	LOC6631254|XP_015027358.1|DVIR
OG0002163	LOC109405962|XP_029729123.1|AEAL, LOC109406932|XP_029728673.1|AEAL	LOC6633681|XP_002057286.2|DVIR, LOC6623976|XP_002047394.1|DVIR
OG0002164	LOC109412138|XP_019541329.2|AEAL	LOC6632752|XP_002056475.1|DVIR
OG0002165	LOC109412145|XP_019541339.2|AEAL	LOC6630211|XP_002053714.1|DVIR
OG0002166	LOC109431508|XP_019563280.1|AEAL	LOC6627363|XP_002051670.1|DVIR
OG0002167	LOC109431514|XP_019563288.2|AEAL	LOC6635352|XP_002058898.1|DVIR
OG0002168	LOC109404025|XP_019532466.2|AEAL	LOC116651107|XP_032292837.1|DVIR, LOC6626797|XP_002049948.2|DVIR
OG0002169	LOC109405634|XP_019534250.2|AEAL	LOC6622909|XP_002047074.1|DVIR
OG0002170	LOC115269231|XP_029733621.1|AEAL, LOC109419457|XP_029733623.1|AEAL, LOC109423119|XP_029708011.1|AEAL	LOC6636192|XP_002059738.1|DVIR
OG0002171	LOC109419102|XP_019548870.2|AEAL	LOC6631188|XP_002054833.1|DVIR
OG0002172	LOC109397306|XP_019525181.1|AEAL, LOC109423199|XP_029729631.1|AEAL, LOC115254539|XP_029707966.1|AEAL	LOC6630961|XP_002054738.1|DVIR
OG0002173	LOC115267000|XP_029729627.1|AEAL, LOC109423204|XP_029707961.1|AEAL, LOC109397302|XP_029712444.1|AEAL	LOC6629109|XP_002052603.1|DVIR
OG0002174	LOC115254535|XP_029707951.1|AEAL, LOC109397290|XP_029712407.1|AEAL, LOC109423210|XP_029729619.1|AEAL	LOC6630756|XP_002054495.1|DVIR
OG0002175	LOC115266999|XP_029729622.1|AEAL, LOC109423177|XP_029707955.1|AEAL, LOC109397291|XP_019525159.1|AEAL, LOC115258245|XP_029714174.1|AEAL	LOC6630755|XP_002054494.1|DVIR
OG0002176	LOC109397239|XP_019525111.2|AEAL	LOC6631181|XP_002053236.1|DVIR
OG0002177	LOC109423481|XP_019553999.1|AEAL, LOC109432158|XP_019564021.1|AEAL	LOC6630372|XP_002054347.1|DVIR
OG0002178	LOC109425435|XP_029713496.1|AEAL, LOC115263710|XP_029722815.1|AEAL, LOC115262275|XP_029720532.1|AEAL, LOC115263719|XP_029722830.1|AEAL	LOC6630849|XP_015027057.1|DVIR
OG0002179	LOC109430250|XP_029722714.1|AEAL	LOC6630295|XP_002052947.2|DVIR
OG0002180	LOC109430353|XP_029722918.1|AEAL	LOC6632798|XP_002056114.3|DVIR
OG0002181	LOC109412455|XP_019541637.2|AEAL	LOC6632209|XP_002055523.1|DVIR
OG0002182	LOC115253587|XP_029707694.1|AEAL, LOC109400069|XP_029707661.1|AEAL	LOC6634890|XP_015024853.1|DVIR
OG0002183	LOC109399271|XP_019527254.2|AEAL, LOC109429086|XP_019560469.2|AEAL, LOC115254315|XP_029707582.1|AEAL, LOC109621635|XP_019931279.1|AEAL	LOC6635358|XP_002058904.1|DVIR
OG0002184	LOC109621573|XP_019931184.2|AEAL, LOC109400064|XP_019528077.2|AEAL	LOC6630008|XP_002054770.1|DVIR
OG0002185	LOC115254377|XP_029707733.1|AEAL, LOC109400080|XP_019528093.2|AEAL	LOC6633080|XP_002055958.2|DVIR
OG0002186	LOC109400056|XP_019528074.1|AEAL, LOC115260226|XP_029717018.1|AEAL, LOC109621569|XP_019931181.2|AEAL	LOC6627578|XP_002051391.1|DVIR
OG0002187	LOC109430224|XP_019561821.2|AEAL, LOC115257371|XP_029712746.1|AEAL, LOC109410080|XP_029712795.1|AEAL	LOC6635187|XP_002058386.1|DVIR
