Orthogroup	AEAL.longest_only	DSAN.longest_only
OG0001437	LOC115269102|XP_029733347.1|AEAL, LOC109432612|XP_019564516.1|AEAL, LOC109422147|XP_019552335.1|AEAL, LOC115254221|XP_029733210.1|AEAL	LOC120446405|XP_039483283.1|DSAN
OG0001438	LOC109422027|XP_029711761.1|AEAL	LOC120451039|XP_039490301.1|DSAN
OG0001439	LOC115256414|XP_029710779.1|AEAL, LOC115270464|XP_029736059.1|AEAL, LOC109412987|XP_019542190.1|AEAL, LOC109409466|XP_019538452.2|AEAL	LOC120452182|XP_039492226.1|DSAN
OG0001440	LOC115271018|XP_029736289.1|AEAL, LOC109397647|XP_019525481.2|AEAL, LOC115271024|XP_029736303.1|AEAL, LOC109409473|XP_029736227.1|AEAL, LOC115271023|XP_029736301.1|AEAL, LOC109409535|XP_019538518.1|AEAL, LOC109397624|XP_019525457.1|AEAL, LOC109409536|XP_029736228.1|AEAL, LOC115270995|XP_029736225.1|AEAL, LOC115271022|XP_029736300.1|AEAL	LOC120454970|XP_039496685.1|DSAN
OG0001441	LOC115265321|XP_029725736.1|AEAL	LOC120456741|XP_039499664.1|DSAN
OG0001442	LOC109424859|XP_019555600.1|AEAL	LOC120458487|XP_039502086.1|DSAN
OG0001443	LOC109430354|XP_029733144.1|AEAL, LOC109412433|XP_029722931.1|AEAL, LOC109412431|XP_029733142.1|AEAL, LOC109430325|XP_029722928.1|AEAL	LOC120452157|XP_039492187.1|DSAN
OG0001444	LOC109432153|XP_019564006.2|AEAL, LOC109430270|XP_029712970.1|AEAL	LOC120453851|XP_039494689.1|DSAN
OG0001445	LOC109411874|XP_019541044.2|AEAL	LOC120450916|XP_039490107.1|DSAN
OG0001446	LOC109403589|XP_029714036.1|AEAL, LOC109414751|XP_029730147.1|AEAL, LOC109425341|XP_019556135.2|AEAL	LOC120451008|XP_039490258.1|DSAN
OG0001447	LOC109421116|XP_019551143.2|AEAL	LOC120451549|XP_039491270.1|DSAN
OG0001448	LOC109421124|XP_019551164.2|AEAL, LOC115254737|XP_029708274.1|AEAL	LOC120451383|XP_039490975.1|DSAN
OG0001449	LOC109423544|XP_019554076.2|AEAL	LOC120447249|XP_039484709.1|DSAN
OG0001450	LOC109622496|XP_029726338.1|AEAL	LOC120449578|XP_039488069.1|DSAN
OG0001451	LOC115265630|XP_029727357.1|AEAL, LOC109410479|XP_019539586.1|AEAL, LOC109622431|XP_019932313.1|AEAL	LOC120456009|XP_039498504.1|DSAN
OG0001452	LOC109423306|XP_029726453.1|AEAL	LOC120444979|XP_039480938.1|DSAN
OG0001453	LOC109413963|XP_029726579.1|AEAL, LOC109413964|XP_029726580.1|AEAL	LOC120448892|XP_039487043.1|DSAN
OG0001454	LOC109400979|XP_019528992.2|AEAL, LOC109408241|XP_019537055.2|AEAL, LOC109418111|XP_029726752.1|AEAL	LOC120451241|XP_039490687.1|DSAN
OG0001455	LOC109413252|XP_029726755.1|AEAL, LOC115265499|XP_029726757.1|AEAL	LOC120449688|XP_039488238.1|DSAN
OG0001456	LOC109398403|XP_029733496.1|AEAL	LOC120446604|XP_039483779.1|DSAN
OG0001457	LOC109419688|XP_019549483.2|AEAL	LOC120446991|XP_039484226.1|DSAN
OG0001458	LOC109420199|XP_029725839.1|AEAL, LOC109409995|XP_019539069.2|AEAL, LOC109419645|XP_029725842.1|AEAL	LOC120446034|XP_039482731.1|DSAN
OG0001459	LOC115265573|XP_029727067.1|AEAL, LOC109409187|XP_029727119.1|AEAL, LOC109420247|XP_029728087.1|AEAL, LOC109397319|XP_029725761.1|AEAL	LOC120449961|XP_039488597.1|DSAN
OG0001460	LOC109426691|XP_029725535.1|AEAL, LOC109417792|XP_029725504.1|AEAL	LOC120443760|XP_039479020.1|DSAN, LOC120450648|XP_039489743.1|DSAN
OG0001461	LOC109426816|XP_029725425.1|AEAL, LOC109417857|XP_019547578.2|AEAL	LOC120455077|XP_039496869.1|DSAN
OG0001462	LOC109407918|XP_029732356.1|AEAL, LOC109412020|XP_019541241.2|AEAL, LOC115268481|XP_029732354.1|AEAL, LOC109407917|XP_019536647.2|AEAL, LOC109411870|XP_019541069.1|AEAL	LOC120447806|XP_039485316.1|DSAN
OG0001464	LOC109400654|XP_029734856.1|AEAL, LOC109399415|XP_029733639.1|AEAL	LOC120455978|XP_039498465.1|DSAN
OG0001465	LOC109422596|XP_019552950.2|AEAL, LOC115261757|XP_029719503.1|AEAL	LOC120446228|XP_039483029.1|DSAN
OG0001466	LOC115253612|XP_029712065.1|AEAL, LOC109422848|XP_029708309.1|AEAL, LOC115256964|XP_029712035.1|AEAL, LOC115256980|XP_029712063.1|AEAL	LOC120444021|XP_039479459.1|DSAN
OG0001467	LOC109418475|XP_029713246.1|AEAL, LOC109622622|XP_019932581.2|AEAL, LOC115263316|XP_029722430.1|AEAL, LOC109415879|XP_029712528.1|AEAL	LOC120455306|XP_039497292.1|DSAN
OG0001468	LOC109430819|XP_019562448.2|AEAL, LOC115263200|XP_029722038.1|AEAL	LOC120449890|XP_039488503.1|DSAN
OG0001470	LOC109408681|XP_029735701.1|AEAL, LOC115270390|XP_029735809.1|AEAL	LOC120450602|XP_039489659.1|DSAN
OG0001471	LOC115253613|XP_029713927.1|AEAL, LOC115263499|XP_029722597.1|AEAL, LOC109428702|XP_029735587.1|AEAL, LOC109424279|XP_029735620.1|AEAL	LOC120450536|XP_039489561.1|DSAN
OG0001472	LOC109423871|XP_019554459.1|AEAL	LOC120449869|XP_039488462.1|DSAN
OG0001473	LOC115270192|XP_029735298.1|AEAL, LOC109408595|XP_029735318.1|AEAL, LOC109423828|XP_019554414.2|AEAL, LOC115269857|XP_029734503.1|AEAL, LOC115269617|XP_029734307.1|AEAL	LOC120452745|XP_039493054.1|DSAN
OG0001474	LOC109407040|XP_029729020.1|AEAL	LOC120455541|XP_039497813.1|DSAN
OG0001475	LOC109403692|XP_029709907.1|AEAL	LOC120443989|XP_039479397.1|DSAN
OG0001476	LOC109414433|XP_029728117.1|AEAL, LOC109622251|XP_029728120.1|AEAL, LOC115266336|XP_029728301.1|AEAL	LOC120457175|XP_039500402.1|DSAN
OG0001477	LOC115263987|XP_029723148.1|AEAL, LOC109427898|XP_029723157.1|AEAL, LOC109428217|XP_019559460.2|AEAL	LOC120451227|XP_039490647.1|DSAN
OG0001478	LOC109424450|XP_019555137.2|AEAL, LOC115258689|XP_029714876.1|AEAL, LOC109424474|XP_029715698.1|AEAL	LOC120454132|XP_039495113.1|DSAN
OG0001479	LOC115258549|XP_029714561.1|AEAL, LOC109622895|XP_019932909.1|AEAL	LOC120445264|XP_039481493.1|DSAN, LOC120456251|XP_039498905.1|DSAN
OG0001480	LOC109412011|XP_019541200.1|AEAL, LOC109407916|XP_019536650.2|AEAL	LOC120449709|XP_039488263.1|DSAN
OG0001481	LOC109420446|XP_019550339.1|AEAL	LOC120446505|XP_039483446.1|DSAN
OG0001482	LOC109419041|XP_029729424.1|AEAL, LOC109408159|XP_019536937.2|AEAL	LOC120446188|XP_039482969.1|DSAN
OG0001483	LOC109409255|XP_019538216.2|AEAL	LOC120457496|XP_039500983.1|DSAN
OG0001484	LOC109407146|XP_019535690.2|AEAL, LOC109417136|XP_019546804.2|AEAL, LOC109417138|XP_029714454.1|AEAL, LOC115258522|XP_029714516.1|AEAL, LOC109417139|XP_019546808.2|AEAL, LOC115258481|XP_029714456.1|AEAL	LOC120449856|XP_039488453.1|DSAN
OG0001485	LOC115255446|XP_029709435.1|AEAL, LOC109420666|XP_029729847.1|AEAL, LOC115255102|XP_029708756.1|AEAL	LOC120449474|XP_039487883.1|DSAN
OG0001486	LOC109430162|XP_019561750.2|AEAL	LOC120458211|XP_039501722.1|DSAN
OG0001487	LOC115253726|XP_029725360.1|AEAL, LOC109416262|XP_029727376.1|AEAL	LOC120447056|XP_039484383.1|DSAN
OG0001488	LOC109421621|XP_029727645.1|AEAL, LOC109409219|XP_019538188.2|AEAL, LOC115265844|XP_029727650.1|AEAL	LOC120446626|XP_039483620.1|DSAN
OG0001489	LOC109429600|XP_029720073.1|AEAL, LOC109408563|XP_029719959.1|AEAL	LOC120446591|XP_039483546.1|DSAN
OG0001490	LOC109408543|XP_019537410.1|AEAL, LOC109429596|XP_019561131.1|AEAL, LOC109415098|XP_019544506.1|AEAL, LOC109403000|XP_019531258.1|AEAL, LOC115261832|XP_029719602.1|AEAL, LOC109415097|XP_019544504.1|AEAL	LOC120449264|XP_039487584.1|DSAN
OG0001491	LOC109429880|XP_019561410.1|AEAL	LOC120450194|XP_039488997.1|DSAN
OG0001492	LOC109420451|XP_019550346.2|AEAL	LOC120451995|XP_039491960.1|DSAN
OG0001493	LOC109621647|XP_019931315.2|AEAL, LOC109426353|XP_019557359.1|AEAL	LOC120455096|XP_039496907.1|DSAN
OG0001494	LOC109428614|XP_019559985.2|AEAL, LOC109421685|XP_029732752.1|AEAL, LOC109428015|XP_029732731.1|AEAL	LOC120455795|XP_039498186.1|DSAN
OG0001495	LOC115271112|XP_029736458.1|AEAL, LOC109399701|XP_019527756.2|AEAL, LOC109402040|XP_029723010.1|AEAL, LOC115253647|XP_029723083.1|AEAL	LOC120443949|XP_039479335.1|DSAN
OG0001496	LOC109400853|XP_019528882.1|AEAL, LOC115267716|XP_029730745.1|AEAL	LOC120456222|XP_039498839.1|DSAN
OG0001497	LOC109401059|XP_019529088.2|AEAL, LOC115270287|XP_029735476.1|AEAL, LOC109408417|XP_019537279.2|AEAL, LOC115254248|XP_029735007.1|AEAL	LOC120457997|XP_039501423.1|DSAN
OG0001500	LOC109398955|XP_019526952.2|AEAL	LOC120444633|XP_039480373.1|DSAN
OG0001501	LOC109429204|XP_029718759.1|AEAL, LOC109398876|XP_029733854.1|AEAL	LOC120453236|XP_039493771.1|DSAN
OG0001502	LOC109427265|XP_029718947.1|AEAL, LOC109411631|XP_019540737.2|AEAL	LOC120444919|XP_039480847.1|DSAN
OG0001503	LOC109400635|XP_019528669.2|AEAL	LOC120450059|XP_039488754.1|DSAN
OG0001506	LOC109422324|XP_019552558.1|AEAL	LOC120446631|XP_039483627.1|DSAN
OG0001507	LOC109418584|XP_029712914.1|AEAL, LOC109417164|XP_029713533.1|AEAL, LOC115253576|XP_029713071.1|AEAL, LOC109410103|XP_029731353.1|AEAL	LOC120445640|XP_039482115.1|DSAN
OG0001508	LOC109431051|XP_029721515.1|AEAL, LOC109411570|XP_029721518.1|AEAL	LOC120445648|XP_039482124.1|DSAN
OG0001509	LOC115262741|XP_029721376.1|AEAL, LOC115262720|XP_029721269.1|AEAL, LOC109413623|XP_029721350.1|AEAL, LOC109401297|XP_029721354.1|AEAL, LOC115262821|XP_029721574.1|AEAL	LOC120446804|XP_039483898.1|DSAN
OG0001510	LOC109424709|XP_019555409.1|AEAL	LOC120443771|XP_039478999.1|DSAN
OG0001511	LOC115258394|XP_029714347.1|AEAL, LOC109412053|XP_019541243.2|AEAL	LOC120445892|XP_039482478.1|DSAN
OG0001512	LOC109407671|XP_019536370.2|AEAL, LOC109425940|XP_019556891.1|AEAL	LOC120448529|XP_039486503.1|DSAN
OG0001513	LOC109425937|XP_029731885.1|AEAL, LOC109407616|XP_029731957.1|AEAL	LOC120447830|XP_039485351.1|DSAN
OG0001515	LOC109424072|XP_029736229.1|AEAL	LOC120454968|XP_039496683.1|DSAN
OG0001516	LOC115262792|XP_029721540.1|AEAL	LOC120452903|XP_039493295.1|DSAN, LOC120452904|XP_039493298.1|DSAN
OG0001534	LOC109406973|XP_029711461.1|AEAL, LOC109397845|XP_029708045.1|AEAL	LOC120457401|XP_039500914.1|DSAN
OG0001535	LOC115262319|XP_029720579.1|AEAL	LOC120456328|XP_039499030.1|DSAN
OG0001536	LOC109427471|XP_029711546.1|AEAL, LOC115269370|XP_029733898.1|AEAL, LOC109427473|XP_029711002.1|AEAL, LOC115253659|XP_029710748.1|AEAL, LOC115253538|XP_029733910.1|AEAL, LOC109427541|XP_029711444.1|AEAL	LOC120456719|XP_039499634.1|DSAN
OG0001537	LOC109422124|XP_019552302.1|AEAL	LOC120458334|XP_039501885.1|DSAN
OG0001538	LOC109409457|XP_029713919.1|AEAL, LOC109415318|XP_029713921.1|AEAL, LOC115256851|XP_029711751.1|AEAL	LOC120455797|XP_039498189.1|DSAN
OG0001539	LOC115256829|XP_029711671.1|AEAL, LOC109409459|XP_019538447.2|AEAL	LOC120444548|XP_039480232.1|DSAN
OG0001541	LOC109432987|XP_029714335.1|AEAL	LOC120448849|XP_039486989.1|DSAN
OG0001542	LOC109432944|XP_029714329.1|AEAL, LOC115269571|XP_029734248.1|AEAL, LOC109397712|XP_029716564.1|AEAL	LOC120452407|XP_039492559.1|DSAN
OG0001545	LOC109427791|XP_029729833.1|AEAL, LOC109406902|XP_019535453.2|AEAL	LOC120456805|XP_039499776.1|DSAN
OG0001546	LOC115260715|XP_029717799.1|AEAL, LOC109427786|XP_029729830.1|AEAL, LOC115267137|XP_029729838.1|AEAL, LOC115267133|XP_029729831.1|AEAL	LOC120455592|XP_039497898.1|DSAN
OG0001547	LOC109427728|XP_029716999.1|AEAL, LOC109431385|XP_029717824.1|AEAL	LOC120456109|XP_039498656.1|DSAN
OG0001548	LOC109431598|XP_019563381.1|AEAL	LOC120457264|XP_039500612.1|DSAN
OG0001549	LOC109402113|XP_019530282.2|AEAL, LOC109430926|XP_019562584.2|AEAL, LOC109412105|XP_029733708.1|AEAL, LOC109429391|XP_029729535.1|AEAL	LOC120445172|XP_039481306.1|DSAN
OG0001551	LOC115263679|XP_029722750.1|AEAL, LOC109397268|XP_029722745.1|AEAL, LOC115263681|XP_029722757.1|AEAL, LOC109423221|XP_029712009.1|AEAL	LOC120452630|XP_039492873.1|DSAN
OG0001552	LOC109432145|XP_019563994.2|AEAL	LOC120451418|XP_039491022.1|DSAN
OG0001553	LOC109404451|XP_029719047.1|AEAL, LOC109406334|XP_029719131.1|AEAL	LOC120456822|XP_039499805.1|DSAN
OG0001554	LOC109408861|XP_029708342.1|AEAL, LOC109430398|XP_029722982.1|AEAL, LOC115254802|XP_029708343.1|AEAL	LOC120450988|XP_039490225.1|DSAN
OG0001555	LOC109419749|XP_029708619.1|AEAL, LOC109410077|XP_029712726.1|AEAL, LOC109430219|XP_029712739.1|AEAL	LOC120446419|XP_039483312.1|DSAN
OG0001556	LOC109405167|XP_019533732.2|AEAL	LOC120445918|XP_039482509.1|DSAN
OG0001557	LOC109402353|XP_019530567.2|AEAL, LOC109416919|XP_029715829.1|AEAL, LOC109424039|XP_029733671.1|AEAL, LOC115253440|XP_029727687.1|AEAL, LOC115266033|XP_029727695.1|AEAL	LOC120455073|XP_039496858.1|DSAN
OG0001558	LOC109402361|XP_019530572.2|AEAL, LOC109416954|XP_029716316.1|AEAL	LOC120455877|XP_039498290.1|DSAN
OG0001559	LOC115254037|XP_029715998.1|AEAL, LOC115260406|XP_029717220.1|AEAL, LOC109425509|XP_029716263.1|AEAL, LOC115259442|XP_029715876.1|AEAL, LOC115259446|XP_029715880.1|AEAL	LOC120453340|XP_039493939.1|DSAN
OG0001560	LOC109425486|XP_029715755.1|AEAL, LOC109398989|XP_029732546.1|AEAL	LOC120453140|XP_039493624.1|DSAN
OG0001561	LOC109429292|XP_029716173.1|AEAL, LOC115259577|XP_029716152.1|AEAL, LOC109398222|XP_029716249.1|AEAL	LOC120452758|XP_039493074.1|DSAN
OG0001562	LOC115270143|XP_029735109.1|AEAL, LOC109408085|XP_019536849.2|AEAL	LOC120444248|XP_039479698.1|DSAN
OG0001564	LOC109414942|XP_029715984.1|AEAL	LOC120450767|XP_039489841.1|DSAN
OG0001565	LOC115267371|XP_029730218.1|AEAL, LOC115267361|XP_029730191.1|AEAL	LOC120453472|XP_039494135.1|DSAN
OG0001566	LOC115264136|XP_029723361.1|AEAL, LOC109398578|XP_019526511.1|AEAL	LOC120451453|XP_039491066.1|DSAN
OG0001567	LOC109402927|XP_019531211.2|AEAL, LOC109416104|XP_019545619.2|AEAL, LOC115264346|XP_029723871.1|AEAL	LOC120446531|XP_039483478.1|DSAN
OG0001568	LOC109415708|XP_029723856.1|AEAL, LOC109402915|XP_029722660.1|AEAL, LOC109416065|XP_029722659.1|AEAL	LOC120451084|XP_039490385.1|DSAN
OG0001569	LOC109416056|XP_019545562.2|AEAL	LOC120453901|XP_039494760.1|DSAN
OG0001571	LOC109419083|XP_029729401.1|AEAL	LOC120458298|XP_039501831.1|DSAN
OG0001572	LOC109622523|XP_019932450.2|AEAL, LOC109409029|XP_019537990.2|AEAL, LOC109622524|XP_029716654.1|AEAL, LOC109409041|XP_019538007.1|AEAL	LOC120456629|XP_039499485.1|DSAN
OG0001573	LOC115264451|XP_029724005.1|AEAL, LOC109399288|XP_019527271.2|AEAL, LOC115264447|XP_029723997.1|AEAL	LOC120448051|XP_039485734.1|DSAN
OG0001574	LOC109429069|XP_029726546.1|AEAL	LOC120456277|XP_039498949.1|DSAN
OG0001575	LOC109409967|XP_029725816.1|AEAL, LOC109420227|XP_029717036.1|AEAL	LOC120451656|XP_039491465.1|DSAN
OG0001576	LOC115254213|XP_029732527.1|AEAL, LOC109426722|XP_019557810.2|AEAL, LOC109417979|XP_019547668.2|AEAL, LOC109398203|XP_029719587.1|AEAL	LOC120453231|XP_039493765.1|DSAN
OG0001577	LOC115253479|XP_029735167.1|AEAL, LOC109413467|XP_019542687.2|AEAL	LOC120451305|XP_039490804.1|DSAN
OG0001578	LOC109400664|XP_019528693.2|AEAL, LOC109399403|XP_019527386.2|AEAL	LOC120444910|XP_039480836.1|DSAN
OG0001579	LOC109400727|XP_019528768.2|AEAL, LOC115270004|XP_029734781.1|AEAL, LOC109402729|XP_029710412.1|AEAL	LOC120457217|XP_039500520.1|DSAN
OG0001580	LOC115253588|XP_029718179.1|AEAL, LOC109422538|XP_029734653.1|AEAL	LOC120445134|XP_039481219.1|DSAN
OG0001581	LOC109416404|XP_029722240.1|AEAL, LOC109407423|XP_029722334.1|AEAL	LOC120455705|XP_039498047.1|DSAN
OG0001582	LOC109430913|XP_019562562.2|AEAL, LOC115253853|XP_029721974.1|AEAL	LOC120446862|XP_039483996.1|DSAN
OG0001583	LOC115270462|XP_029736054.1|AEAL, LOC115254265|XP_029736053.1|AEAL, LOC109404342|XP_019532732.2|AEAL, LOC109399486|XP_029736051.1|AEAL	LOC120448826|XP_039486961.1|DSAN
OG0001584	LOC109424272|XP_019554908.2|AEAL, LOC109428708|XP_029735275.1|AEAL, LOC115270166|XP_029735261.1|AEAL	LOC120449315|XP_039487641.1|DSAN
OG0001586	LOC115270291|XP_029735498.1|AEAL, LOC109430628|XP_029735523.1|AEAL, LOC109423770|XP_019554322.2|AEAL	LOC120447943|XP_039485555.1|DSAN
OG0001587	LOC109414257|XP_029735555.1|AEAL, LOC109423750|XP_029735576.1|AEAL	LOC120458512|XP_039502117.1|DSAN
OG0001588	LOC109398173|XP_029728531.1|AEAL	LOC120458150|XP_039501630.1|DSAN
OG0001591	LOC109621324|XP_029728256.1|AEAL	LOC120452048|XP_039492043.1|DSAN
OG0001592	LOC115258170|XP_029714081.1|AEAL	LOC120457394|XP_039500902.1|DSAN
OG0001593	LOC109622884|XP_019932896.2|AEAL, LOC115258143|XP_029714051.1|AEAL	LOC120455638|XP_039498000.1|DSAN
OG0001594	LOC109622862|XP_029713874.1|AEAL, LOC115257965|XP_029713789.1|AEAL, LOC115258452|XP_029714413.1|AEAL	LOC120451455|XP_039491071.1|DSAN
OG0001595	LOC109412019|XP_029713367.1|AEAL, LOC115253600|XP_029720691.1|AEAL	LOC120445788|XP_039482327.1|DSAN
OG0001596	LOC109401373|XP_019529448.2|AEAL	LOC120445322|XP_039481577.1|DSAN
OG0001597	LOC109432887|XP_019564798.1|AEAL, LOC115257139|XP_029712384.1|AEAL, LOC109401424|XP_019529521.1|AEAL	LOC120455161|XP_039497021.1|DSAN
OG0001598	LOC109432877|XP_029712246.1|AEAL	LOC120444216|XP_039479706.1|DSAN, LOC120444130|XP_039479627.1|DSAN
OG0001599	LOC115256862|XP_029711787.1|AEAL, LOC109401377|XP_029712007.1|AEAL, LOC115256865|XP_029711804.1|AEAL, LOC109432892|XP_029709597.1|AEAL	LOC120454710|XP_039496194.1|DSAN
OG0001601	LOC109433084|XP_019565020.1|AEAL	LOC120458579|XP_039502211.1|DSAN
OG0001602	LOC109420147|XP_019550010.2|AEAL, LOC115261802|XP_029719550.1|AEAL	LOC120457798|XP_039501232.1|DSAN
OG0001603	LOC109414044|XP_019543328.2|AEAL, LOC109414021|XP_019543299.2|AEAL	LOC120458661|XP_039502328.1|DSAN
OG0001604	LOC109425135|XP_019555911.1|AEAL	LOC120456460|XP_039499241.1|DSAN
OG0001605	LOC109425134|XP_019555908.2|AEAL	LOC120458269|XP_039501796.1|DSAN
OG0001607	LOC109419105|XP_019548872.1|AEAL, LOC109409321|XP_029714954.1|AEAL, LOC115258719|XP_029714931.1|AEAL	LOC120445762|XP_039482292.1|DSAN, LOC120457611|XP_039501052.1|DSAN, LOC120457612|XP_039501053.1|DSAN, LOC120457613|XP_039501055.1|DSAN
OG0001608	LOC109419520|XP_019549278.2|AEAL, LOC109409303|XP_029718146.1|AEAL, LOC115258927|XP_029715300.1|AEAL	LOC120447097|XP_039484439.1|DSAN
OG0001609	LOC109398729|XP_029714920.1|AEAL, LOC109398673|XP_029714929.1|AEAL, LOC109404922|XP_029725170.1|AEAL	LOC120444912|XP_039480839.1|DSAN
OG0001610	LOC115258726|XP_029714948.1|AEAL, LOC109407249|XP_019535801.2|AEAL, LOC109414319|XP_029714568.1|AEAL	LOC120445715|XP_039482214.1|DSAN
OG0001611	LOC115258142|XP_029714046.1|AEAL, LOC109420908|XP_019550933.1|AEAL, LOC115257979|XP_029713809.1|AEAL, LOC109412694|XP_029714041.1|AEAL	LOC120445690|XP_039482181.1|DSAN
OG0001612	LOC109428206|XP_019559821.2|AEAL, LOC109417730|XP_029709162.1|AEAL	LOC120458246|XP_039501768.1|DSAN
OG0001613	LOC109417765|XP_019547453.1|AEAL, LOC109420005|XP_019549839.2|AEAL	LOC120458205|XP_039501717.1|DSAN
OG0001614	LOC115255480|XP_029709465.1|AEAL, LOC115255482|XP_029709468.1|AEAL, LOC109419396|XP_029709464.1|AEAL, LOC115255255|XP_029709061.1|AEAL, LOC109419402|XP_029709066.1|AEAL, LOC115255253|XP_029709059.1|AEAL	LOC120458471|XP_039502059.1|DSAN
OG0001615	LOC109420624|XP_019550528.2|AEAL	LOC120444367|XP_039479901.1|DSAN
OG0001616	LOC109423882|XP_029727241.1|AEAL, LOC109404803|XP_029727277.1|AEAL	LOC120444973|XP_039480932.1|DSAN
OG0001617	LOC109421516|XP_019551572.2|AEAL	LOC120444587|XP_039480290.1|DSAN
OG0001618	LOC109421337|XP_029726923.1|AEAL, LOC109432435|XP_029727064.1|AEAL, LOC115261817|XP_029719569.1|AEAL, LOC109405709|XP_029719580.1|AEAL	LOC120449841|XP_039488435.1|DSAN
OG0001619	LOC115264711|XP_029724582.1|AEAL, LOC109621384|XP_029732568.1|AEAL, LOC115268607|XP_029732592.1|AEAL	LOC120453174|XP_039493672.1|DSAN
OG0001620	LOC109402269|XP_019530468.1|AEAL	LOC120444678|XP_039480472.1|DSAN
OG0001621	LOC109415860|XP_019545354.2|AEAL	LOC120445725|XP_039482227.1|DSAN
OG0001622	LOC109416800|XP_029720044.1|AEAL, LOC109419134|XP_029722942.1|AEAL, LOC115263283|XP_029722278.1|AEAL	LOC120455370|XP_039497411.1|DSAN
OG0001623	LOC109429702|XP_029720029.1|AEAL, LOC109407011|XP_019535571.2|AEAL	LOC120443867|XP_039479168.1|DSAN
OG0001624	LOC109408550|XP_019537419.2|AEAL, LOC109429595|XP_019561130.2|AEAL	LOC120444004|XP_039479417.1|DSAN
OG0001625	LOC109408551|XP_019537420.2|AEAL, LOC109429586|XP_019561119.2|AEAL	LOC120444929|XP_039480864.1|DSAN
OG0001626	LOC109428105|XP_019559338.1|AEAL, LOC109418325|XP_029720111.1|AEAL	LOC120458352|XP_039501903.1|DSAN
OG0001627	LOC109411342|XP_019540417.2|AEAL, LOC109415390|XP_019544798.2|AEAL, LOC109418337|XP_019548070.2|AEAL, LOC109427307|XP_029721198.1|AEAL	LOC120451479|XP_039491133.1|DSAN
OG0001628	LOC109427034|XP_019558124.2|AEAL, LOC109411383|XP_029726981.1|AEAL	LOC120454305|XP_039495437.1|DSAN
OG0001630	LOC109405034|XP_029734032.1|AEAL, LOC109405037|XP_029734327.1|AEAL, LOC109622043|XP_029712020.1|AEAL	LOC120451654|XP_039491461.1|DSAN
OG0001631	LOC109416443|XP_029734365.1|AEAL, LOC109621281|XP_029734362.1|AEAL	LOC120451271|XP_039490742.1|DSAN
OG0001632	LOC109422711|XP_019553122.1|AEAL, LOC109412318|XP_029727895.1|AEAL	LOC120451245|XP_039490697.1|DSAN
OG0001633	LOC115271096|XP_029736444.1|AEAL, LOC109422628|XP_029725209.1|AEAL, LOC109402823|XP_019531094.1|AEAL	LOC120454480|XP_039495748.1|DSAN
OG0001635	LOC109429217|XP_029716819.1|AEAL, LOC115261363|XP_029718747.1|AEAL, LOC109429221|XP_029719377.1|AEAL	LOC120451787|XP_039491672.1|DSAN
OG0001636	LOC109398901|XP_019526899.2|AEAL, LOC109429212|XP_029718656.1|AEAL	LOC120451991|XP_039491953.1|DSAN
OG0001637	LOC115258189|XP_029714117.1|AEAL, LOC109426630|XP_019557707.2|AEAL, LOC115258187|XP_029714113.1|AEAL, LOC109426656|XP_029718993.1|AEAL	LOC120451184|XP_039490566.1|DSAN
OG0001638	LOC109411634|XP_019540740.2|AEAL	LOC120454984|XP_039496709.1|DSAN
OG0001639	LOC109404490|XP_029719136.1|AEAL, LOC109406321|XP_029719042.1|AEAL	LOC120452080|XP_039492081.1|DSAN
OG0001640	LOC109419435|XP_019549229.1|AEAL, LOC109403478|XP_019531851.1|AEAL	LOC120451770|XP_039491633.1|DSAN
OG0001641	LOC109426306|XP_019557308.2|AEAL, LOC109411963|XP_019541167.1|AEAL	LOC120451649|XP_039491449.1|DSAN
OG0001642	LOC109424536|XP_029733403.1|AEAL, LOC115269399|XP_029733935.1|AEAL, LOC115255853|XP_029709901.1|AEAL, LOC115255851|XP_029709900.1|AEAL	LOC120456181|XP_039498786.1|DSAN
OG0001643	LOC109418776|XP_029715744.1|AEAL, LOC115259341|XP_029715733.1|AEAL, LOC109415836|XP_029713232.1|AEAL, LOC115259353|XP_029715752.1|AEAL	LOC120449496|XP_039487926.1|DSAN, LOC120449403|XP_039487788.1|DSAN
OG0001644	LOC109418709|XP_019548494.2|AEAL	LOC120449669|XP_039488203.1|DSAN
OG0001645	LOC115257624|XP_029713305.1|AEAL, LOC109413080|XP_029713148.1|AEAL	LOC120446902|XP_039484057.1|DSAN
OG0001646	LOC109413573|XP_029720859.1|AEAL, LOC109401280|XP_029721578.1|AEAL	LOC120446917|XP_039484091.1|DSAN
OG0001647	LOC109401223|XP_029721390.1|AEAL, LOC115262726|XP_029721280.1|AEAL, LOC109413596|XP_029720595.1|AEAL	LOC120457109|XP_039500272.1|DSAN
OG0001648	LOC115262670|XP_029721133.1|AEAL, LOC109427045|XP_029717126.1|AEAL, LOC115262680|XP_029721145.1|AEAL, LOC109623356|XP_029721134.1|AEAL	LOC120447468|XP_039484789.1|DSAN
OG0001649	LOC109397413|XP_019525279.2|AEAL, LOC109412767|XP_029721046.1|AEAL	LOC120446721|XP_039483767.1|DSAN
OG0001650	LOC109432676|XP_029730723.1|AEAL, LOC109408777|XP_029730726.1|AEAL	LOC120444607|XP_039480315.1|DSAN
