Orthogroup	AEAL.longest_only	DHYD.longest_only
OG0000699	LOC109430138|XP_029729247.1|AEAL	LOC111600984|XP_023173147.1|DHYD, LOC111600074|XP_023171782.2|DHYD
OG0000700	LOC115266805|XP_029729270.1|AEAL, LOC115266785|XP_029729218.1|AEAL, LOC115266807|XP_029729274.1|AEAL	LOC111599175|XP_023170526.2|DHYD, LOC111596079|XP_023165904.2|DHYD
OG0000701	LOC109402345|XP_019530562.2|AEAL	LOC111595753|XP_023165383.1|DHYD, LOC111600219|XP_023172009.2|DHYD
OG0000702	LOC109405842|XP_029725602.1|AEAL	LOC111604979|XP_023179045.2|DHYD, LOC111604983|XP_030078632.1|DHYD
OG0000703	LOC109404865|XP_019533361.1|AEAL, LOC109414516|XP_029728540.1|AEAL	LOC111600361|XP_023172203.2|DHYD, LOC111595619|XP_023165193.2|DHYD
OG0000704	LOC109401332|XP_029728732.1|AEAL, LOC109415782|XP_029728804.1|AEAL	LOC111594254|XP_030081774.1|DHYD, LOC111597912|XP_023168621.2|DHYD
OG0000705	LOC109423456|XP_029731456.1|AEAL, LOC109414777|XP_029731586.1|AEAL	LOC111603688|XP_023177138.1|DHYD
OG0000706	LOC109409567|XP_029732189.1|AEAL, LOC115268243|XP_029732156.1|AEAL	LOC111600594|XP_023172555.2|DHYD, LOC111597324|XP_030080082.1|DHYD
OG0000707	LOC109420326|XP_019550196.2|AEAL, LOC109408464|XP_019537347.1|AEAL, LOC115254246|XP_029734880.1|AEAL, LOC109419336|XP_029723936.1|AEAL	LOC111593471|XP_023162004.1|DHYD, LOC111594052|XP_023162935.1|DHYD
OG0000708	LOC109406135|XP_029718441.1|AEAL	LOC111594167|XP_023163121.2|DHYD, LOC111605158|XP_030079396.1|DHYD
OG0000709	LOC109403312|XP_019531664.1|AEAL, LOC109406517|XP_019535156.2|AEAL	LOC111601979|XP_023174628.2|DHYD, LOC111596813|XP_023166947.1|DHYD
OG0000712	LOC115261501|XP_029719092.1|AEAL, LOC109424364|XP_019555008.2|AEAL	LOC111602079|XP_023174779.1|DHYD, LOC111602078|XP_023174777.1|DHYD
OG0000713	LOC109409852|XP_019538887.1|AEAL	LOC111594533|XP_023163638.2|DHYD, LOC111598556|XP_023169618.1|DHYD
OG0000714	LOC109400801|XP_029731164.1|AEAL, LOC115268278|XP_029732185.1|AEAL, LOC115267828|XP_029731153.1|AEAL	LOC111603141|XP_023176384.2|DHYD, LOC111599537|XP_023170964.2|DHYD
OG0000715	LOC115254194|XP_029731156.1|AEAL, LOC109399623|XP_019527664.2|AEAL	LOC111603330|XP_023176632.2|DHYD
OG0000716	LOC109401278|XP_019529351.2|AEAL, LOC109399669|XP_029731228.1|AEAL	LOC111591885|XP_023159557.1|DHYD, LOC111604303|XP_023178102.1|DHYD
OG0000718	LOC115260031|XP_029716724.1|AEAL	LOC111597716|XP_023168327.1|DHYD, LOC111594402|XP_023163442.1|DHYD, LOC115483176|XP_030080194.1|DHYD
OG0000724	LOC109428354|XP_019559617.1|AEAL, LOC109415235|XP_019544667.1|AEAL	LOC111598361|XP_023169342.1|DHYD, LOC111597395|XP_023167839.1|DHYD
OG0000726	LOC109430370|XP_029713132.1|AEAL, LOC109413280|XP_029716793.1|AEAL	LOC111603439|XP_023176791.2|DHYD, LOC111603423|XP_023176776.2|DHYD
OG0000727	LOC109623040|XP_019933050.2|AEAL	LOC111596208|XP_023166089.2|DHYD, LOC111596201|XP_030080823.1|DHYD
OG0000728	LOC109415915|XP_029723465.1|AEAL, LOC109411497|XP_029723462.1|AEAL	LOC111603192|XP_023176446.1|DHYD, LOC111595718|XP_023165334.2|DHYD
OG0000729	LOC109424812|XP_019555544.2|AEAL	LOC111598295|XP_023169251.1|DHYD, LOC111598296|XP_023169252.1|DHYD
OG0000730	LOC109408946|XP_029716651.1|AEAL, LOC109622582|XP_019932533.2|AEAL	LOC111603318|XP_030079654.1|DHYD, LOC111596307|XP_030080540.1|DHYD
OG0000731	LOC109423346|XP_019553844.2|AEAL	LOC111599468|XP_023170909.2|DHYD, LOC111597709|XP_023168317.2|DHYD
OG0000732	LOC109398018|XP_019525904.1|AEAL	LOC111594874|XP_023164122.1|DHYD, LOC111594873|XP_023164119.1|DHYD
OG0000733	LOC109420827|XP_019550832.2|AEAL, LOC109412523|XP_019541691.2|AEAL	LOC111595239|XP_023164645.2|DHYD, LOC111601687|XP_023174161.1|DHYD
OG0000734	LOC109423758|XP_029735544.1|AEAL, LOC109414263|XP_029735579.1|AEAL	LOC111597535|XP_023168081.2|DHYD
OG0000735	LOC109419534|XP_019549299.2|AEAL, LOC109409294|XP_019538279.1|AEAL	LOC111593485|XP_023162014.1|DHYD, LOC111603872|XP_023177447.2|DHYD
OG0000736	LOC109419595|XP_029715178.1|AEAL	LOC111603989|XP_030079038.1|DHYD, LOC111604008|XP_023177632.2|DHYD
OG0000738	LOC109430178|XP_019561777.1|AEAL	LOC111599329|XP_023170718.1|DHYD, LOC111603947|XP_023177545.2|DHYD
OG0000739	LOC109404801|XP_019533296.1|AEAL, LOC109423918|XP_029727259.1|AEAL	LOC111599568|XP_023171008.1|DHYD, LOC111599567|XP_023171005.1|DHYD
OG0000740	LOC109409127|XP_019538084.2|AEAL	LOC111602803|XP_030080183.1|DHYD
OG0000740	LOC109405027|XP_029733762.1|AEAL	LOC111592038|XP_030081565.1|DHYD
OG0000741	LOC109415776|XP_029728785.1|AEAL, LOC109423878|XP_029728862.1|AEAL	LOC111595576|XP_030080375.1|DHYD, LOC111594076|XP_030080042.1|DHYD
OG0000742	LOC109423379|XP_029732021.1|AEAL	LOC111593044|XP_023161381.2|DHYD, LOC111593026|XP_023161346.2|DHYD
OG0000743	LOC115266038|XP_029727707.1|AEAL, LOC109416415|XP_029707562.1|AEAL	LOC111595385|XP_023164852.2|DHYD, LOC111594398|XP_023163437.2|DHYD
OG0000744	LOC109420323|XP_019550191.2|AEAL, LOC109420374|XP_019550258.2|AEAL, LOC115257463|XP_029712923.1|AEAL, LOC115260239|XP_029717027.1|AEAL	LOC111600028|XP_023171711.2|DHYD, LOC115483369|XP_030080936.1|DHYD, LOC111596984|XP_023167236.2|DHYD
OG0000745	LOC109426878|XP_019557984.2|AEAL	LOC111602121|XP_023174838.2|DHYD, LOC111593300|XP_023161750.2|DHYD
OG0000746	LOC109433527|XP_019565510.1|AEAL, LOC109410626|XP_029731612.1|AEAL	LOC111604126|XP_023177811.1|DHYD
OG0000753	LOC109397638|XP_029736277.1|AEAL, LOC115271021|XP_029736297.1|AEAL, LOC109409472|XP_019538460.2|AEAL	LOC111601406|XP_023173732.2|DHYD, LOC111600487|XP_023172382.2|DHYD
OG0000755	LOC115261707|XP_029719454.1|AEAL	LOC111605480|XP_023179783.2|DHYD, LOC111605577|XP_023179949.2|DHYD
OG0000756	LOC109622188|XP_019931975.2|AEAL, LOC115257501|XP_029713013.1|AEAL	LOC111600842|XP_023172915.1|DHYD
OG0000757	LOC109425666|XP_019556474.1|AEAL	LOC111594214|XP_023163181.1|DHYD, LOC111604493|XP_023178352.1|DHYD
OG0000758	LOC109430908|XP_019562553.2|AEAL	LOC111604669|XP_023178599.2|DHYD, LOC111604667|XP_023178596.1|DHYD
OG0000759	LOC109416504|XP_029728887.1|AEAL, LOC109416690|XP_029728892.1|AEAL	LOC111596610|XP_023166657.2|DHYD, LOC111596613|XP_023166664.1|DHYD
OG0000760	LOC115253598|XP_029714745.1|AEAL	LOC111604005|XP_023177633.2|DHYD
OG0000761	LOC109421283|XP_029708739.1|AEAL, LOC109420644|XP_029708742.1|AEAL	LOC111592650|XP_023160762.2|DHYD, LOC111592651|XP_023160767.2|DHYD
OG0000762	LOC109418092|XP_019547825.1|AEAL	LOC111598979|XP_023170247.1|DHYD, LOC111599345|XP_023170743.2|DHYD
OG0000764	LOC109427056|XP_029716695.1|AEAL, LOC109416240|XP_029727033.1|AEAL	LOC111605326|XP_030080107.1|DHYD
OG0000765	LOC109409589|XP_029732483.1|AEAL	LOC111592450|XP_023160403.1|DHYD, LOC111601888|XP_023174498.2|DHYD
OG0000766	LOC109408402|XP_019537255.1|AEAL	LOC111593770|XP_023162558.2|DHYD, LOC111598124|XP_023168951.1|DHYD
OG0000767	LOC109429233|XP_029716816.1|AEAL, LOC109398865|XP_029718721.1|AEAL	LOC111603555|XP_023176956.2|DHYD, LOC111605085|XP_023179189.2|DHYD
OG0000768	LOC109429192|XP_019560620.1|AEAL	LOC111592326|XP_023160219.1|DHYD
OG0000769	LOC109412632|XP_019541802.2|AEAL, LOC115264656|XP_029724451.1|AEAL	LOC111602937|XP_030080831.1|DHYD, LOC111596866|XP_023167077.1|DHYD
OG0000770	LOC109399074|XP_019527044.2|AEAL, LOC109409889|XP_019538951.2|AEAL	LOC111595314|XP_023164737.2|DHYD
OG0000771	LOC115268377|XP_029732244.1|AEAL, LOC109426016|XP_019556985.2|AEAL	LOC111601570|XP_023173987.1|DHYD
OG0000778	LOC109397829|XP_019525703.2|AEAL, LOC109405370|XP_029709566.1|AEAL	LOC111598269|XP_023169214.2|DHYD, LOC111598537|XP_023169593.2|DHYD
OG0000779	LOC109621608|XP_019931241.2|AEAL, LOC115258418|XP_029714368.1|AEAL, LOC115269046|XP_029733204.1|AEAL, LOC109432075|XP_029709987.1|AEAL, LOC109397180|XP_019525060.2|AEAL, LOC109402801|XP_029712148.1|AEAL, LOC109402800|XP_029736430.1|AEAL, LOC109422643|XP_029716830.1|AEAL	LOC111603369|XP_023176688.1|DHYD
OG0000780	LOC109402079|XP_019530237.2|AEAL, LOC109427363|XP_019558448.2|AEAL	LOC115483424|XP_030081224.1|DHYD, LOC111600027|XP_030081223.1|DHYD
OG0000783	LOC109427356|XP_019558433.1|AEAL, LOC109430882|XP_029733711.1|AEAL	LOC111597765|XP_023168390.1|DHYD, LOC111603539|XP_023176981.1|DHYD
OG0000784	LOC109426551|XP_019557638.1|AEAL	LOC111605186|XP_023179351.2|DHYD, LOC111601828|XP_023174422.1|DHYD
OG0000785	LOC109412286|XP_029732882.1|AEAL, LOC109425257|XP_029716518.1|AEAL	LOC111599617|XP_023171077.2|DHYD
OG0000786	LOC109621302|XP_029733758.1|AEAL	LOC111603492|XP_023176864.1|DHYD
OG0000787	LOC109416434|XP_019546042.2|AEAL, LOC109407431|XP_019536015.1|AEAL, LOC115254107|XP_029722347.1|AEAL	LOC111605676|XP_023180110.2|DHYD
OG0000788	LOC109412534|XP_029729159.1|AEAL, LOC109420836|XP_029735904.1|AEAL	LOC111602901|XP_023176006.1|DHYD
OG0000789	LOC109427849|XP_019558975.2|AEAL, LOC115266405|XP_029728500.1|AEAL	LOC111602289|XP_023175057.2|DHYD
OG0000790	LOC109427799|XP_019558935.2|AEAL	LOC111595996|XP_023165763.1|DHYD, LOC111595995|XP_023165760.1|DHYD
OG0000791	LOC109432777|XP_029727425.1|AEAL, LOC109427581|XP_029727454.1|AEAL	LOC111604253|XP_023178009.1|DHYD
OG0000792	LOC109421174|XP_029725317.1|AEAL, LOC115264489|XP_029724089.1|AEAL, LOC115264490|XP_029724090.1|AEAL	LOC111595832|XP_023165507.2|DHYD
OG0000793	LOC109429508|XP_019561024.2|AEAL	LOC111596696|XP_023166780.1|DHYD
OG0000794	LOC109433437|XP_019565410.2|AEAL, LOC109403326|XP_019531680.2|AEAL, LOC115261304|XP_029718561.1|AEAL, LOC115261305|XP_029718562.1|AEAL, LOC109433439|XP_019565412.2|AEAL	LOC111593988|XP_023162847.2|DHYD
OG0000795	LOC115261488|XP_029719065.1|AEAL, LOC109406305|XP_019534945.1|AEAL, LOC109404489|XP_029719108.1|AEAL	LOC111604041|XP_023177664.1|DHYD, LOC111598502|XP_023169536.2|DHYD
OG0000796	LOC109402787|XP_019531040.1|AEAL	LOC111602793|XP_023175834.1|DHYD, LOC111598156|XP_023169009.1|DHYD
OG0000797	LOC115268944|XP_029733009.1|AEAL, LOC109419433|XP_019549227.1|AEAL	LOC111603429|XP_023176782.1|DHYD
OG0000798	LOC109422376|XP_029716854.1|AEAL	LOC111599738|XP_023171266.1|DHYD, LOC111599668|XP_023171141.2|DHYD
OG0000799	LOC109433123|XP_019565067.2|AEAL	LOC111602034|XP_023174701.1|DHYD
OG0000801	LOC115262691|XP_029721192.1|AEAL, LOC109623328|XP_019933426.1|AEAL, LOC109426914|XP_019558017.1|AEAL	LOC111593229|XP_023161653.1|DHYD
OG0000802	LOC109421940|XP_029720929.1|AEAL	LOC111605690|XP_030079411.1|DHYD, LOC111602509|XP_023175400.2|DHYD, LOC111603624|XP_023177102.2|DHYD
OG0000803	LOC115262149|XP_029720158.1|AEAL, LOC109398306|XP_029716217.1|AEAL	LOC111601618|XP_023174056.2|DHYD, LOC111597531|XP_023168076.1|DHYD
OG0000811	LOC115265751|XP_029727560.1|AEAL, LOC109409681|XP_019538700.2|AEAL	LOC111598739|XP_023169906.2|DHYD, LOC111605280|XP_023179492.2|DHYD
OG0000812	LOC109397944|XP_029709795.1|AEAL, LOC109418984|XP_029733553.1|AEAL	LOC111600182|XP_023171953.1|DHYD
OG0000813	LOC109415873|XP_019545365.1|AEAL	LOC111599215|XP_030080392.1|DHYD
OG0000814	LOC109408242|XP_029728869.1|AEAL, LOC115266576|XP_029728814.1|AEAL	LOC111594183|XP_023163134.1|DHYD
OG0000815	LOC115255413|XP_029709380.1|AEAL, LOC109417644|XP_019547239.2|AEAL, LOC115255517|XP_029709505.1|AEAL, LOC115255411|XP_029709376.1|AEAL, LOC109417648|XP_029709407.1|AEAL, LOC109417645|XP_029709379.1|AEAL, LOC109410244|XP_029708455.1|AEAL, LOC115255421|XP_029709409.1|AEAL, LOC115255412|XP_029709378.1|AEAL, LOC115255406|XP_029709341.1|AEAL	LOC111599074|XP_023170372.2|DHYD
OG0000816	LOC109432671|XP_029727429.1|AEAL	LOC111602802|XP_023175862.2|DHYD
OG0000818	LOC109408469|XP_019537351.2|AEAL, LOC115266284|XP_029728114.1|AEAL, LOC109419332|XP_029734904.1|AEAL	LOC111593432|XP_023161946.2|DHYD, LOC111594237|XP_023163213.1|DHYD, LOC111594241|XP_030080265.1|DHYD
OG0000819	LOC109432771|XP_029710328.1|AEAL	LOC111602423|XP_030079873.1|DHYD, LOC111602412|XP_023175211.1|DHYD
OG0000820	LOC115254691|XP_029708205.1|AEAL, LOC109422351|XP_029708224.1|AEAL	LOC111601041|XP_023173262.1|DHYD, LOC111600099|XP_023171828.1|DHYD
OG0000821	LOC109418575|XP_019548331.2|AEAL	LOC111596653|XP_023166726.2|DHYD, LOC111595515|XP_023165063.1|DHYD
OG0000822	LOC109623382|XP_019933484.2|AEAL, LOC115262704|XP_029721236.1|AEAL, LOC115257272|XP_029712577.1|AEAL, LOC109401187|XP_029720854.1|AEAL	LOC111599008|XP_023170290.1|DHYD
OG0000830	LOC115259530|XP_029716043.1|AEAL, LOC109429309|XP_029716109.1|AEAL, LOC109400865|XP_029722756.1|AEAL, LOC109429308|XP_029722755.1|AEAL, LOC115259583|XP_029716163.1|AEAL, LOC115259764|XP_029716418.1|AEAL, LOC109429305|XP_029715822.1|AEAL, LOC115259581|XP_029716160.1|AEAL, LOC109400844|XP_019528877.2|AEAL, LOC109429307|XP_019560758.2|AEAL, LOC115259582|XP_029716162.1|AEAL	LOC111593439|XP_023161958.2|DHYD
OG0000831	LOC115264158|XP_029723400.1|AEAL, LOC109398361|XP_019526254.2|AEAL, LOC109398560|XP_019526489.2|AEAL, LOC109398359|XP_019526250.2|AEAL, LOC115264157|XP_029723397.1|AEAL, LOC109398558|XP_019526487.2|AEAL	LOC111594304|XP_023163310.2|DHYD
OG0000832	LOC109405471|XP_019534102.2|AEAL, LOC115267847|XP_029731218.1|AEAL, LOC109402416|XP_019530635.2|AEAL	LOC111594011|XP_023162876.1|DHYD, LOC111603652|XP_023177103.2|DHYD
OG0000833	LOC109402795|XP_019531056.2|AEAL	LOC111592289|XP_023160160.2|DHYD
OG0000834	LOC109413999|XP_019543271.2|AEAL	LOC111597801|XP_023168453.2|DHYD, LOC111597802|XP_023168455.1|DHYD
OG0000835	LOC115263191|XP_029722004.1|AEAL	LOC111594766|XP_023163983.2|DHYD
OG0000836	LOC109410194|XP_029715298.1|AEAL, LOC115254024|XP_029715191.1|AEAL	LOC111603869|XP_023177444.1|DHYD
OG0000837	LOC109409562|XP_019538552.1|AEAL	LOC111604060|XP_023177694.1|DHYD
OG0000838	LOC109419394|XP_029708117.1|AEAL	LOC111605537|XP_023179868.1|DHYD
OG0000839	LOC109426226|XP_019557228.2|AEAL	LOC111604820|XP_023178810.2|DHYD, LOC111601448|XP_023173792.2|DHYD
OG0000840	LOC109398864|XP_019526853.1|AEAL	LOC111592527|XP_023160599.2|DHYD, LOC111593987|XP_023162845.1|DHYD
OG0000841	LOC109421100|XP_029714125.1|AEAL, LOC115261461|XP_029718996.1|AEAL	LOC111598493|XP_023169523.2|DHYD
OG0000842	LOC115256946|XP_029712012.1|AEAL, LOC109420358|XP_019550231.1|AEAL	LOC111600736|XP_023172780.1|DHYD
OG0000843	LOC109418496|XP_019548244.2|AEAL, LOC109413068|XP_019542282.2|AEAL	LOC111600100|XP_030081241.1|DHYD
OG0000844	LOC109426397|XP_029731429.1|AEAL, LOC109403610|XP_029729358.1|AEAL	LOC111603601|XP_023177028.1|DHYD
OG0000845	LOC109426767|XP_019557852.2|AEAL	LOC111602427|XP_023175234.2|DHYD
OG0000854	LOC109428370|XP_019559639.2|AEAL, LOC115256047|XP_029710158.1|AEAL	LOC111596711|XP_023166799.1|DHYD
OG0000855	LOC109428409|XP_029710601.1|AEAL	LOC111596692|XP_023167190.1|DHYD
OG0000856	LOC109406975|XP_029708044.1|AEAL, LOC109397865|XP_029710475.1|AEAL, LOC115266045|XP_029727747.1|AEAL	LOC111605741|XP_030078605.1|DHYD
OG0000857	LOC115256454|XP_029710940.1|AEAL, LOC115256453|XP_029710939.1|AEAL, LOC109427516|XP_019558614.2|AEAL, LOC115256455|XP_029710941.1|AEAL, LOC109427517|XP_019558615.2|AEAL, LOC109419784|XP_019549616.2|AEAL, LOC115255011|XP_029708574.1|AEAL, LOC115259235|XP_029715630.1|AEAL, LOC115255008|XP_029708573.1|AEAL, LOC109398253|XP_019526124.2|AEAL, LOC109398226|XP_019526098.2|AEAL	LOC111600183|XP_023171956.2|DHYD
OG0000858	LOC109433623|XP_019565610.2|AEAL, LOC109412583|XP_029715982.1|AEAL, LOC109412586|XP_019541756.2|AEAL, LOC115259651|XP_029716294.1|AEAL	LOC111594489|XP_023163566.2|DHYD
OG0000860	LOC109409739|XP_019538781.2|AEAL, LOC109431958|XP_029726103.1|AEAL	LOC111591932|XP_023159631.2|DHYD
OG0000861	LOC109417981|XP_029732524.1|AEAL	LOC111593891|XP_023162726.2|DHYD
OG0000862	LOC109408157|XP_029720622.1|AEAL, LOC109400633|XP_019528665.2|AEAL	LOC111597955|XP_023168687.1|DHYD
OG0000863	LOC109425704|XP_029734636.1|AEAL, LOC109422737|XP_019553164.2|AEAL	LOC111603621|XP_023177059.2|DHYD, LOC111593340|XP_023161819.2|DHYD, LOC111594125|XP_023163055.1|DHYD
OG0000864	LOC109411532|XP_029709937.1|AEAL, LOC109421734|XP_029709934.1|AEAL	LOC111593452|XP_023161977.2|DHYD
OG0000865	LOC109408287|XP_029713247.1|AEAL	LOC115482964|XP_030079343.1|DHYD, LOC111598443|XP_023169452.2|DHYD, LOC111603467|XP_023176824.2|DHYD
OG0000866	LOC109415039|XP_029724914.1|AEAL, LOC109621949|XP_029724955.1|AEAL	LOC111595850|XP_023165528.2|DHYD
OG0000867	LOC109409615|XP_019538612.2|AEAL	LOC111598972|XP_023170234.2|DHYD, LOC111594407|XP_023163451.1|DHYD
OG0000868	LOC109406157|XP_019534769.2|AEAL, LOC109397498|XP_019525343.2|AEAL	LOC111604964|XP_023179016.1|DHYD
OG0000869	LOC109406264|XP_029732991.1|AEAL	LOC111603414|XP_023176764.2|DHYD, LOC111603419|XP_023176769.1|DHYD, LOC111603417|XP_023176766.1|DHYD, LOC111603430|XP_023176783.2|DHYD, LOC111603418|XP_023176768.2|DHYD
OG0000871	LOC115253682|XP_029713657.1|AEAL, LOC109433174|XP_019565117.2|AEAL, LOC109433173|XP_029712902.1|AEAL	LOC111595570|XP_023165135.1|DHYD
OG0000872	LOC109424453|XP_019555118.1|AEAL, LOC109422355|XP_019552624.1|AEAL	LOC111600085|XP_023171792.1|DHYD
OG0000873	LOC109410542|XP_029731283.1|AEAL, LOC109414400|XP_029731282.1|AEAL, LOC115267869|XP_029731288.1|AEAL, LOC115267863|XP_029731281.1|AEAL, LOC115267451|XP_029730306.1|AEAL, LOC115267446|XP_029730303.1|AEAL, LOC109421132|XP_029731285.1|AEAL	LOC111600930|XP_030078651.1|DHYD
OG0000874	LOC109425830|XP_029720412.1|AEAL	LOC111593252|XP_023161684.2|DHYD
OG0000875	LOC109425800|XP_019556687.2|AEAL, LOC109407537|XP_019536146.1|AEAL	LOC111601340|XP_023173637.1|DHYD, LOC111598850|XP_023170053.1|DHYD, LOC111592327|XP_023160220.1|DHYD
OG0000882	LOC115253972|XP_029711172.1|AEAL, LOC109421997|XP_019552173.1|AEAL	LOC111596542|XP_023166582.1|DHYD
OG0000884	LOC109405532|XP_029712464.1|AEAL, LOC115257260|XP_029712560.1|AEAL, LOC109405671|XP_029712311.1|AEAL	LOC111597524|XP_023168070.2|DHYD
OG0000885	LOC109430027|XP_029712946.1|AEAL, LOC109430695|XP_029713082.1|AEAL, LOC109430722|XP_019562342.1|AEAL, LOC115257553|XP_029713159.1|AEAL, LOC109430699|XP_019562315.2|AEAL, LOC109430696|XP_019562313.2|AEAL, LOC115257552|XP_029713158.1|AEAL, LOC115257484|XP_029712972.1|AEAL, LOC109430753|XP_019562378.2|AEAL, LOC109430729|XP_019562354.1|AEAL, LOC115257592|XP_029713238.1|AEAL	LOC111601408|XP_023173734.1|DHYD
OG0000887	LOC109426760|XP_029725487.1|AEAL, LOC109426761|XP_019557843.2|AEAL, LOC109417614|XP_019547205.2|AEAL, LOC109421741|XP_019551817.2|AEAL	LOC111593634|XP_023162274.2|DHYD
OG0000888	LOC109417820|XP_029725462.1|AEAL, LOC115265256|XP_029725479.1|AEAL	LOC111596521|XP_030081178.1|DHYD, LOC111601464|XP_023173813.2|DHYD
OG0000889	LOC109416628|XP_019546243.2|AEAL, LOC115263112|XP_029721886.1|AEAL, LOC109416657|XP_019546261.2|AEAL, LOC115254862|XP_029708410.1|AEAL, LOC109416670|XP_019546270.2|AEAL, LOC109407403|XP_019535961.2|AEAL, LOC109416637|XP_029721887.1|AEAL, LOC109416681|XP_019546290.1|AEAL, LOC115254863|XP_029708411.1|AEAL, LOC109416619|XP_019546233.2|AEAL, LOC109407449|XP_019536040.1|AEAL, LOC115263111|XP_029721885.1|AEAL, LOC109416608|XP_019546223.2|AEAL, LOC109416155|XP_019545674.1|AEAL, LOC115254869|XP_029708416.1|AEAL, LOC109407400|XP_019535955.2|AEAL	LOC111597555|XP_023168120.1|DHYD
OG0000890	LOC115270215|XP_029735334.1|AEAL, LOC115270245|XP_029735371.1|AEAL	LOC111604129|XP_023177817.2|DHYD
OG0000891	LOC115259148|XP_029715523.1|AEAL, LOC109408138|XP_019536917.2|AEAL	LOC111601133|XP_023173368.1|DHYD
OG0000892	LOC109419580|XP_019549347.2|AEAL	LOC111605703|XP_023180149.1|DHYD
OG0000894	LOC109422727|XP_019553139.2|AEAL	LOC111592386|XP_023160329.2|DHYD, LOC111603565|XP_023176979.1|DHYD
OG0000895	LOC109433433|XP_019565406.2|AEAL, LOC109403314|XP_019531667.2|AEAL	LOC111600689|XP_023172710.2|DHYD, LOC111600695|XP_023172717.2|DHYD
OG0000907	LOC109427500|XP_019558595.2|AEAL	LOC111600102|XP_023171831.1|DHYD
OG0000909	LOC109397293|XP_019525165.1|AEAL, LOC109416831|XP_019546450.1|AEAL	LOC111602822|XP_023175898.1|DHYD
OG0000910	LOC109397646|XP_029709768.1|AEAL, LOC109418954|XP_029733589.1|AEAL	LOC111596877|XP_023167093.2|DHYD, LOC111601296|XP_023173576.1|DHYD
OG0000911	LOC109403803|XP_029722364.1|AEAL	LOC111595624|XP_023165202.1|DHYD
OG0000912	LOC109407390|XP_019535943.1|AEAL, LOC109416014|XP_029722180.1|AEAL, LOC115263252|XP_029722175.1|AEAL	LOC111593528|XP_023162089.1|DHYD
OG0000914	LOC109412349|XP_019541537.2|AEAL, LOC109416192|XP_019545725.2|AEAL, LOC109419851|XP_029708855.1|AEAL, LOC115255562|XP_029709541.1|AEAL, LOC109420602|XP_019550508.1|AEAL, LOC109419834|XP_019549667.1|AEAL, LOC109419835|XP_029709547.1|AEAL, LOC115255563|XP_029709542.1|AEAL	LOC111593570|XP_023162200.1|DHYD
OG0000915	LOC115258519|XP_029714503.1|AEAL, LOC109410253|XP_029721830.1|AEAL	LOC111600704|XP_023172729.2|DHYD
OG0000916	LOC109417728|XP_029709163.1|AEAL, LOC109415159|XP_029719636.1|AEAL	LOC111596228|XP_030080351.1|DHYD
OG0000917	LOC109402487|XP_029720072.1|AEAL	LOC111598523|XP_030081590.1|DHYD, LOC111599399|XP_030079268.1|DHYD
OG0000918	LOC109429677|XP_019561229.2|AEAL	LOC111594098|XP_023163018.2|DHYD
OG0000920	LOC109432334|XP_019564219.2|AEAL, LOC109432255|XP_029732163.1|AEAL, LOC109432313|XP_019564197.2|AEAL, LOC109419378|XP_029735157.1|AEAL	LOC111600229|XP_023172024.1|DHYD
OG0000922	LOC109409026|XP_019537987.1|AEAL, LOC109429147|XP_029719389.1|AEAL	LOC111596016|XP_023165808.1|DHYD
OG0000923	LOC109417152|XP_019546823.1|AEAL	LOC111604969|XP_023179027.2|DHYD
OG0000924	LOC109622219|XP_019932015.2|AEAL, LOC115253634|XP_029731518.1|AEAL, LOC109431563|XP_019563336.2|AEAL	LOC111598118|XP_023168943.2|DHYD
OG0000925	LOC109407685|XP_019536382.1|AEAL, LOC109425930|XP_019556862.1|AEAL	LOC111602003|XP_023174659.1|DHYD
OG0000935	LOC115267132|XP_029729828.1|AEAL, LOC109401879|XP_029709717.1|AEAL, LOC109414708|XP_029709689.1|AEAL	LOC111603562|XP_023176970.2|DHYD
OG0000936	LOC109398378|XP_019526267.1|AEAL	LOC111600846|XP_023172918.1|DHYD, LOC111605035|XP_023179138.1|DHYD
OG0000937	LOC115261123|XP_029718352.1|AEAL, LOC109433419|XP_019565395.2|AEAL, LOC109403292|XP_019531642.2|AEAL, LOC115260685|XP_029717733.1|AEAL, LOC109424625|XP_029717727.1|AEAL, LOC109412940|XP_029717671.1|AEAL, LOC109412941|XP_019542135.2|AEAL, LOC115253687|XP_029717721.1|AEAL, LOC109424643|XP_019555354.1|AEAL	LOC111603287|XP_023176568.2|DHYD
OG0000938	LOC115257155|XP_029712412.1|AEAL, LOC109427753|XP_029717813.1|AEAL, LOC109409289|XP_019538309.2|AEAL, LOC109431357|XP_019563123.1|AEAL	LOC111598130|XP_023168959.1|DHYD
OG0000940	LOC109405642|XP_019534258.2|AEAL	LOC111598416|XP_023169425.1|DHYD, LOC111592459|XP_023160427.1|DHYD
OG0000941	LOC109621632|XP_019931274.1|AEAL, LOC109400128|XP_019528162.1|AEAL	LOC111594257|XP_023163246.1|DHYD, LOC111595857|XP_023165540.1|DHYD
OG0000942	LOC109400734|XP_019528773.2|AEAL	LOC111594382|XP_023163416.2|DHYD
OG0000943	LOC109406109|XP_029722410.1|AEAL, LOC109403772|XP_029722401.1|AEAL	LOC111600602|XP_023172564.1|DHYD
