Orthogroup	AEAL.longest_only	DMIR.longest_only
OG0001937	LOC115265680|XP_029727500.1|AEAL, LOC109426918|XP_029725651.1|AEAL, LOC115265295|XP_029725645.1|AEAL	LOC117187884|XP_033246695.1|DMIR, LOC108159752|XP_017148785.1|DMIR, LOC117190000|XP_033250974.1|DMIR
OG0001938	LOC109406574|XP_029712396.1|AEAL, LOC109427172|XP_029725594.1|AEAL	LOC117193626|XP_033254260.1|DMIR, LOC108158916|XP_017147203.1|DMIR, LOC117193630|XP_033254267.1|DMIR
OG0001939	LOC115265670|XP_029727485.1|AEAL, LOC109426632|XP_019557705.2|AEAL, LOC115267288|XP_029730062.1|AEAL, LOC109426633|XP_019557706.2|AEAL	LOC117189867|XP_033250831.1|DMIR, LOC108159603|XP_017148546.1|DMIR
OG0001940	LOC115262279|XP_029720540.1|AEAL, LOC109417793|XP_019547501.2|AEAL	LOC117191589|XP_033252303.1|DMIR, LOC108159125|XP_017147599.1|DMIR, LOC117190004|XP_033250983.1|DMIR
OG0001941	LOC109417821|XP_019547543.1|AEAL	LOC108165590|XP_033243951.1|DMIR, LOC117186793|XP_033243954.1|DMIR, LOC117186794|XP_033243958.1|DMIR, LOC117186795|XP_033243961.1|DMIR
OG0001942	LOC109409388|XP_019538407.2|AEAL, LOC109426708|XP_029725442.1|AEAL	LOC117190775|XP_033251725.1|DMIR, LOC108159996|XP_017149203.2|DMIR
OG0001943	LOC109426738|XP_019557820.2|AEAL, LOC109417931|XP_019547621.2|AEAL, LOC115258083|XP_029713946.1|AEAL	LOC108151285|XP_017135305.1|DMIR
OG0001944	LOC109407921|XP_029732346.1|AEAL, LOC109412279|XP_029723162.1|AEAL	LOC108151930|XP_017136344.1|DMIR
OG0001945	LOC109403681|XP_029735161.1|AEAL, LOC109407968|XP_029735104.1|AEAL	LOC108160309|XP_017149712.1|DMIR, LOC117185689|XP_033253786.1|DMIR
OG0001946	LOC109407986|XP_029735117.1|AEAL, LOC115258365|XP_029714313.1|AEAL, LOC115270149|XP_029735148.1|AEAL	LOC117193040|XP_033253667.1|DMIR, LOC108158125|XP_017145796.1|DMIR
OG0001947	LOC109403625|XP_029735146.1|AEAL, LOC109408086|XP_019536850.2|AEAL	LOC117193563|XP_033254201.1|DMIR, LOC108159577|XP_017148514.1|DMIR
OG0001948	LOC109404954|XP_019533456.2|AEAL, LOC109400617|XP_019528652.2|AEAL	LOC108162848|XP_017153284.1|DMIR
OG0001949	LOC109399436|XP_029734823.1|AEAL	LOC108153345|XP_033242879.1|DMIR
OG0001950	LOC109400722|XP_029734811.1|AEAL, LOC109402722|XP_029715806.1|AEAL	LOC108155501|XP_017141824.1|DMIR
OG0001951	LOC109415818|XP_029725138.1|AEAL, LOC115253838|XP_029734706.1|AEAL	LOC108158563|XP_017146476.1|DMIR, LOC117189861|XP_033250822.1|DMIR
OG0001952	LOC115269964|XP_029734662.1|AEAL, LOC109425698|XP_029734674.1|AEAL, LOC115269966|XP_029734671.1|AEAL	LOC108159932|XP_033246782.1|DMIR
OG0001953	LOC115254608|XP_029708080.1|AEAL, LOC115260123|XP_029716886.1|AEAL, LOC109430555|XP_019562174.2|AEAL	LOC117193670|XP_033254297.1|DMIR, LOC108160575|XP_017150151.1|DMIR
OG0001954	LOC115256967|XP_029712039.1|AEAL, LOC109622630|XP_029712070.1|AEAL, LOC115263144|XP_029721928.1|AEAL	LOC108158995|XP_017147347.1|DMIR
OG0001955	LOC109415865|XP_019545356.1|AEAL, LOC109622715|XP_029712059.1|AEAL, LOC115256975|XP_029712053.1|AEAL	LOC108158137|XP_017145839.1|DMIR, LOC117192369|XP_033252924.1|DMIR
OG0001956	LOC109415878|XP_029722428.1|AEAL, LOC109621282|XP_029722445.1|AEAL	LOC108152329|XP_017137065.1|DMIR
OG0001957	LOC109621247|XP_019933513.2|AEAL, LOC109430239|XP_019561832.1|AEAL, LOC109428867|XP_019560249.2|AEAL	LOC108159033|XP_017147443.1|DMIR, LOC117189789|XP_033250749.1|DMIR, LOC117189790|XP_033250750.1|DMIR
OG0001958	LOC115263373|XP_029722531.1|AEAL, LOC109416238|XP_029722308.1|AEAL, LOC115263375|XP_029722533.1|AEAL, LOC109407411|XP_029722231.1|AEAL	LOC117194036|XP_033254568.1|DMIR, LOC108159207|XP_017147770.1|DMIR
OG0001959	LOC109424175|XP_029722127.1|AEAL, LOC109413562|XP_029721402.1|AEAL, LOC115260112|XP_029716867.1|AEAL	LOC108153037|XP_017138282.1|DMIR
OG0001960	LOC115263344|XP_029722501.1|AEAL, LOC115263179|XP_029721970.1|AEAL, LOC109430897|XP_029721968.1|AEAL	LOC108151320|XP_017135362.1|DMIR
OG0001961	LOC115259287|XP_029715676.1|AEAL, LOC109430942|XP_029730376.1|AEAL, LOC109431686|XP_029715644.1|AEAL	LOC108160437|XP_033253994.1|DMIR, LOC117185780|XP_017149934.1|DMIR
OG0001962	LOC109430950|XP_019562611.2|AEAL, LOC109431714|XP_019563527.2|AEAL	LOC117189661|XP_033250658.1|DMIR, LOC117189662|XP_033250659.1|DMIR, LOC108158978|XP_017147310.1|DMIR
OG0001963	LOC109399513|XP_029714085.1|AEAL, LOC115254259|XP_029735711.1|AEAL, LOC109398045|XP_029714084.1|AEAL	LOC108152792|XP_017137863.1|DMIR
OG0001964	LOC115254260|XP_029735856.1|AEAL, LOC109408641|XP_029736020.1|AEAL, LOC109428978|XP_029730422.1|AEAL	LOC108152705|XP_017137714.1|DMIR
OG0001966	LOC109401032|XP_019529062.1|AEAL, LOC115270470|XP_029736064.1|AEAL, LOC109414964|XP_019544355.1|AEAL, LOC109415154|XP_019544586.2|AEAL	LOC108155585|XP_017141983.1|DMIR
OG0001967	LOC109424271|XP_029719648.1|AEAL, LOC109428709|XP_029735262.1|AEAL, LOC115270173|XP_029735276.1|AEAL	LOC108158485|XP_017146282.2|DMIR, LOC117188122|XP_033247360.1|DMIR
OG0001968	LOC115265043|XP_029725102.1|AEAL, LOC115269721|XP_029734406.1|AEAL, LOC115269719|XP_029734401.1|AEAL, LOC109428738|XP_019560109.2|AEAL	LOC108153721|XP_017139338.1|DMIR
OG0001969	LOC115270213|XP_029735333.1|AEAL, LOC115270240|XP_029735367.1|AEAL	LOC117192720|XP_033253348.1|DMIR, LOC117192718|XP_033253343.1|DMIR, LOC108158093|XP_017145749.1|DMIR
OG0001970	LOC115254256|XP_029735450.1|AEAL, LOC115270264|XP_029735393.1|AEAL, LOC109423800|XP_019554378.1|AEAL, LOC109430605|XP_019562214.2|AEAL	LOC117190684|XP_033251636.1|DMIR, LOC108160360|XP_017149819.1|DMIR
OG0001971	LOC109423676|XP_019554218.2|AEAL, LOC115269757|XP_029734441.1|AEAL	LOC117192301|XP_033252848.1|DMIR, LOC108158051|XP_017145686.1|DMIR
OG0001972	LOC109423751|XP_029735575.1|AEAL, LOC109414256|XP_029735556.1|AEAL	LOC117188308|XP_033247838.1|DMIR
OG0001973	LOC109423655|XP_029715596.1|AEAL, LOC115259212|XP_029715591.1|AEAL	LOC108160758|XP_017150447.1|DMIR
OG0001974	LOC109408899|XP_019537814.2|AEAL, LOC115266575|XP_029728811.1|AEAL	LOC117193290|XP_033253922.1|DMIR, LOC108160497|XP_017150022.1|DMIR
OG0001975	LOC109416689|XP_019546295.2|AEAL, LOC115266655|XP_029729044.1|AEAL, LOC109416512|XP_029729043.1|AEAL	LOC108153156|XP_017138448.1|DMIR
OG0001976	LOC115254758|XP_029708288.1|AEAL, LOC115266635|XP_029729004.1|AEAL, LOC109414979|XP_029728942.1|AEAL, LOC109415142|XP_029728995.1|AEAL	LOC108159881|XP_017148983.2|DMIR, LOC117187934|XP_033246821.1|DMIR
OG0001977	LOC109427863|XP_029728530.1|AEAL, LOC115259071|XP_029715442.1|AEAL, LOC115259143|XP_029715519.1|AEAL, LOC115258928|XP_029715307.1|AEAL, LOC109428168|XP_029717224.1|AEAL	LOC108162152|XP_017152218.1|DMIR
OG0001978	LOC109433268|XP_019565239.1|AEAL, LOC109424444|XP_019555108.1|AEAL, LOC115259303|XP_029715695.1|AEAL	LOC108162398|XP_017152609.1|DMIR
OG0001979	LOC109420083|XP_019549936.1|AEAL	LOC108163041|XP_017153581.1|DMIR
OG0001980	LOC109412016|XP_019541205.1|AEAL, LOC109407960|XP_019536713.2|AEAL	LOC108162500|XP_017152754.1|DMIR
OG0001982	LOC115255682|XP_029709646.1|AEAL, LOC109432886|XP_029712419.1|AEAL, LOC109401423|XP_019529520.1|AEAL	LOC108161920|XP_017151825.1|DMIR
OG0001983	LOC109433074|XP_029711242.1|AEAL, LOC109411297|XP_029711472.1|AEAL	LOC117189156|XP_033250115.1|DMIR
OG0001984	LOC109433083|XP_019565019.2|AEAL	LOC108162958|XP_017153446.2|DMIR
OG0001985	LOC109621803|XP_029724949.1|AEAL, LOC109404203|XP_029724890.1|AEAL	LOC108161784|XP_017151615.1|DMIR
OG0001986	LOC115264922|XP_029724857.1|AEAL, LOC109414034|XP_029724875.1|AEAL, LOC115253903|XP_029724936.1|AEAL	LOC117188579|XP_033248459.1|DMIR, LOC108163650|XP_017154557.1|DMIR
OG0001987	LOC109428779|XP_019560166.2|AEAL, LOC115253803|XP_029733997.1|AEAL	LOC108153505|XP_017139050.1|DMIR
OG0001988	LOC115258948|XP_029715326.1|AEAL, LOC109409322|XP_029721659.1|AEAL, LOC109419104|XP_029715310.1|AEAL	LOC117194952|XP_033255315.1|DMIR, LOC108159296|XP_017147954.1|DMIR
OG0001989	LOC115258621|XP_029714772.1|AEAL, LOC109419107|XP_029721665.1|AEAL, LOC109409319|XP_029714703.1|AEAL	LOC108161300|XP_017151008.1|DMIR
OG0001990	LOC109419108|XP_029715128.1|AEAL, LOC109409361|XP_029715193.1|AEAL, LOC115262912|XP_029721672.1|AEAL	LOC108162799|XP_017153190.1|DMIR
OG0001991	LOC115269124|XP_029733393.1|AEAL, LOC109397556|XP_029715197.1|AEAL	LOC117188761|XP_033248991.1|DMIR
OG0001992	LOC115258833|XP_029715127.1|AEAL, LOC109397539|XP_029714675.1|AEAL	LOC108163703|XP_017154632.1|DMIR
OG0001993	LOC115258581|XP_029714677.1|AEAL, LOC115258553|XP_029714578.1|AEAL, LOC109397524|XP_019525370.1|AEAL	LOC108163319|XP_017154033.1|DMIR
OG0001994	LOC109405873|XP_019534477.2|AEAL, LOC109407201|XP_019535726.2|AEAL	LOC108156546|XP_017143552.1|DMIR
OG0001995	LOC115258769|XP_029715029.1|AEAL, LOC109405703|XP_019534308.2|AEAL, LOC109410201|XP_029730241.1|AEAL	LOC108163058|XP_017153619.2|DMIR
OG0001996	LOC109417642|XP_029709337.1|AEAL, LOC115255414|XP_029709383.1|AEAL, LOC115255422|XP_029709410.1|AEAL	LOC108162310|XP_033249735.1|DMIR
OG0001997	LOC115255375|XP_029709277.1|AEAL, LOC115253948|XP_029709288.1|AEAL, LOC109417687|XP_019547293.2|AEAL	LOC108159402|XP_017148132.1|DMIR, LOC117192245|XP_033252800.1|DMIR
OG0001998	LOC115253946|XP_029709239.1|AEAL, LOC109416929|XP_029709253.1|AEAL, LOC109417691|XP_019547307.2|AEAL	LOC108159400|XP_017148126.2|DMIR, LOC117192243|XP_033252798.1|DMIR, LOC117192244|XP_033252799.1|DMIR
OG0001999	LOC109417772|XP_029709100.1|AEAL	LOC117191450|XP_033252203.1|DMIR, LOC108159921|XP_017149048.2|DMIR
OG0002000	LOC109415253|XP_029709033.1|AEAL	LOC108163549|XP_017154399.1|DMIR
OG0002001	LOC109419931|XP_029708900.1|AEAL, LOC115255157|XP_029708909.1|AEAL	LOC108162852|XP_017153285.1|DMIR
OG0002002	LOC109419878|XP_019549708.2|AEAL, LOC109420708|XP_019550709.2|AEAL	LOC108158151|XP_017145860.1|DMIR
OG0002003	LOC109414247|XP_029736327.1|AEAL, LOC115253939|XP_029708865.1|AEAL, LOC109420697|XP_019550692.1|AEAL	LOC108162344|XP_017152530.1|DMIR
OG0002004	LOC109420660|XP_019550626.2|AEAL	LOC108162316|XP_017152485.1|DMIR
OG0002005	LOC109420492|XP_029708637.1|AEAL, LOC109419733|XP_029708643.1|AEAL	LOC108161429|XP_033249279.1|DMIR, LOC117188868|XP_033249280.1|DMIR, LOC117188869|XP_033249281.1|DMIR, LOC117188866|XP_033249276.1|DMIR, LOC108161428|XP_017151182.1|DMIR
OG0002006	LOC115269356|XP_029733865.1|AEAL, LOC109420302|XP_029732976.1|AEAL, LOC109419769|XP_029708609.1|AEAL, LOC115255044|XP_029708632.1|AEAL	LOC108162884|XP_033248687.1|DMIR
OG0002007	LOC115261019|XP_029718245.1|AEAL, LOC109430154|XP_019561731.1|AEAL	LOC108163364|XP_017154103.2|DMIR
OG0002008	LOC109430176|XP_029727434.1|AEAL	LOC108164397|XP_033250157.1|DMIR
OG0002009	LOC109427576|XP_019558699.2|AEAL, LOC109432855|XP_019564749.2|AEAL, LOC115268908|XP_029732979.1|AEAL	LOC108160989|XP_017150782.2|DMIR, LOC117188459|XP_033248262.1|DMIR
OG0002010	LOC109427591|XP_029727422.1|AEAL, LOC109621901|XP_019931649.2|AEAL	LOC108162339|XP_033248420.1|DMIR
OG0002011	LOC109431006|XP_019562675.2|AEAL, LOC115265222|XP_029725363.1|AEAL, LOC115266443|XP_029728532.1|AEAL, LOC109421438|XP_029727014.1|AEAL, LOC109432536|XP_019564411.2|AEAL	LOC108162000|XP_017151970.2|DMIR
OG0002012	LOC109423927|XP_019554535.1|AEAL, LOC109404813|XP_019533310.1|AEAL	LOC108162474|XP_017152713.1|DMIR
OG0002013	LOC109423906|XP_029727280.1|AEAL, LOC109404819|XP_029727242.1|AEAL	LOC117188967|XP_033249603.1|DMIR, LOC108163525|XP_033249359.1|DMIR
OG0002014	LOC109421536|XP_029727097.1|AEAL	LOC117193486|XP_033254127.1|DMIR, LOC108159327|XP_017148011.1|DMIR
OG0002015	LOC109421342|XP_019551395.1|AEAL, LOC109432570|XP_029726915.1|AEAL	LOC108162944|XP_017153424.1|DMIR
OG0002016	LOC109415848|XP_029720051.1|AEAL	LOC108159966|XP_017149134.1|DMIR, LOC117192390|XP_033252956.1|DMIR, LOC117192389|XP_033252952.1|DMIR
OG0002017	LOC109416795|XP_029720043.1|AEAL, LOC109402508|XP_029732812.1|AEAL	LOC108163699|XP_017154623.2|DMIR
OG0002018	LOC109429591|XP_029719953.1|AEAL, LOC115254140|XP_029724789.1|AEAL	LOC108163295|XP_017153990.1|DMIR
OG0002019	LOC109429555|XP_019561077.2|AEAL	LOC108162678|XP_017153011.1|DMIR
OG0002020	LOC109415452|XP_019544873.2|AEAL	LOC108162644|XP_033249684.1|DMIR
OG0002021	LOC109398549|XP_029720118.1|AEAL	LOC108158479|XP_017146273.1|DMIR
OG0002022	LOC109398356|XP_029720147.1|AEAL, LOC109429827|XP_019561352.1|AEAL, LOC109401755|XP_029710059.1|AEAL, LOC109406163|XP_019534776.2|AEAL	LOC108161801|XP_017151640.2|DMIR
OG0002023	LOC109429794|XP_029719779.1|AEAL, LOC109398275|XP_019526140.2|AEAL	LOC108154180|XP_017139843.1|DMIR
OG0002025	LOC109411738|XP_019540880.3|AEAL	LOC108163420|XP_017154177.1|DMIR
OG0002026	LOC109414170|XP_019543498.2|AEAL	LOC108150989|XP_017134828.1|DMIR
OG0002027	LOC115255674|XP_029709636.1|AEAL, LOC115254439|XP_029707790.1|AEAL, LOC109421746|XP_029709633.1|AEAL	LOC108158827|XP_017147013.1|DMIR
OG0002028	LOC109421752|XP_029707787.1|AEAL	LOC108160502|XP_017150029.1|DMIR, LOC117190248|XP_033251192.1|DMIR, LOC117190257|XP_033251205.1|DMIR
OG0002029	LOC109423263|XP_029709312.1|AEAL	LOC108163891|XP_017154899.2|DMIR, LOC117189158|XP_033250118.1|DMIR, LOC117189159|XP_033250119.1|DMIR, LOC108151739|XP_017136046.2|DMIR
OG0002030	LOC115262698|XP_029721219.1|AEAL, LOC109623315|XP_019933386.1|AEAL, LOC109401290|XP_019529329.1|AEAL	LOC108159537|XP_017148402.2|DMIR, LOC117188073|XP_033247265.1|DMIR
OG0002031	LOC109412046|XP_019541233.2|AEAL	LOC108159005|XP_017147367.1|DMIR, LOC117192019|XP_033252631.1|DMIR
OG0002032	LOC115263976|XP_029723139.1|AEAL, LOC109427293|XP_029721389.1|AEAL	LOC108155334|XP_017141573.1|DMIR
OG0002033	LOC115263095|XP_029721873.1|AEAL, LOC115263947|XP_029723115.1|AEAL, LOC109426125|XP_029721558.1|AEAL, LOC109418409|XP_029723114.1|AEAL	LOC108158394|XP_017146144.1|DMIR
OG0002034	LOC109426160|XP_029721705.1|AEAL, LOC109426156|XP_029721662.1|AEAL, LOC109418423|XP_029721956.1|AEAL	LOC108151896|XP_017136288.1|DMIR
OG0002035	LOC109426175|XP_029722195.1|AEAL, LOC109418446|XP_019548182.2|AEAL, LOC115263232|XP_029722087.1|AEAL	LOC108155866|XP_017142473.1|DMIR
OG0002036	LOC115260472|XP_029717276.1|AEAL, LOC109407471|XP_029717229.1|AEAL, LOC109419243|XP_029723569.1|AEAL	LOC108155240|XP_017141418.1|DMIR
OG0002037	LOC109410442|XP_029725870.1|AEAL, LOC115256317|XP_029710420.1|AEAL	LOC108152919|XP_017138087.1|DMIR
OG0002038	LOC109410375|XP_019539473.2|AEAL	LOC108157028|XP_017144328.2|DMIR
OG0002039	LOC109414398|XP_019543750.2|AEAL, LOC109415396|XP_019544808.2|AEAL	LOC108157109|XP_017144472.1|DMIR
OG0002040	LOC109425025|XP_019555760.2|AEAL	LOC108154972|XP_017140977.1|DMIR
OG0002041	LOC109410906|XP_029730035.1|AEAL, LOC109411113|XP_029730603.1|AEAL, LOC115253916|XP_029730013.1|AEAL	LOC117192471|XP_033253055.1|DMIR, LOC108159985|XP_017149176.1|DMIR
OG0002042	LOC109399298|XP_019527278.2|AEAL, LOC109433350|XP_019565322.2|AEAL	LOC108155765|XP_033244262.1|DMIR
OG0002043	LOC109413928|XP_019543205.2|AEAL, LOC109621289|XP_019931854.2|AEAL, LOC115254236|XP_029734177.1|AEAL	LOC108155871|XP_017142479.1|DMIR
OG0002044	LOC115269272|XP_029733687.1|AEAL, LOC109400364|XP_029733583.1|AEAL, LOC109432399|XP_029715538.1|AEAL	LOC117187328|XP_033245630.1|DMIR, LOC108155638|XP_017142069.2|DMIR
OG0002045	LOC109416442|XP_029729673.1|AEAL, LOC115261564|XP_029719318.1|AEAL, LOC109622373|XP_029719311.1|AEAL	LOC108154443|XP_017140204.1|DMIR
OG0002046	LOC109416293|XP_029736172.1|AEAL	LOC108164578|XP_017155886.1|DMIR
OG0002047	LOC109416414|XP_029707563.1|AEAL, LOC115253755|XP_029727739.1|AEAL, LOC115266053|XP_029727760.1|AEAL, LOC109424021|XP_029727708.1|AEAL	LOC108156629|XP_017143701.1|DMIR
OG0002048	LOC109431922|XP_029727776.1|AEAL, LOC115266066|XP_029727788.1|AEAL	LOC108156270|XP_017143128.1|DMIR
OG0002049	LOC109422734|XP_029728099.1|AEAL, LOC115254159|XP_029727908.1|AEAL, LOC109431860|XP_029727923.1|AEAL	LOC108155494|XP_017141811.1|DMIR
OG0002050	LOC115264858|XP_029724751.1|AEAL, LOC109412333|XP_019541524.2|AEAL, LOC109422696|XP_029727884.1|AEAL	LOC108155281|XP_017141479.1|DMIR
OG0002051	LOC109402833|XP_019531111.2|AEAL	LOC117193581|XP_033254215.1|DMIR, LOC108160409|XP_017149892.1|DMIR, LOC117193580|XP_033254213.1|DMIR
OG0002052	LOC115257064|XP_029712215.1|AEAL	LOC108165380|XP_017156907.1|DMIR
OG0002053	LOC109398800|XP_019526757.1|AEAL, LOC115261372|XP_029718786.1|AEAL	LOC108156809|XP_017143991.1|DMIR
OG0002054	LOC109398827|XP_019526802.2|AEAL	LOC108155480|XP_017141792.1|DMIR
OG0002055	LOC115261446|XP_029718976.1|AEAL, LOC109427230|XP_019558281.2|AEAL, LOC115261426|XP_029718935.1|AEAL	LOC108154275|XP_017140013.1|DMIR
OG0002056	LOC115253572|XP_029718913.1|AEAL, LOC109411614|XP_029718965.1|AEAL, LOC109427247|XP_029715618.1|AEAL	LOC108151368|XP_017135418.1|DMIR
OG0002057	LOC115261409|XP_029718888.1|AEAL, LOC115261440|XP_029718962.1|AEAL, LOC109411619|XP_019540720.2|AEAL, LOC109427253|XP_019558324.2|AEAL	LOC117188571|XP_033248445.1|DMIR, LOC108163971|XP_017155017.2|DMIR
OG0002058	LOC115254069|XP_029718910.1|AEAL, LOC109427254|XP_019558325.1|AEAL, LOC115261410|XP_029718889.1|AEAL, LOC109411620|XP_029718963.1|AEAL	LOC108165591|XP_017157155.1|DMIR
OG0002059	LOC109427256|XP_019558330.1|AEAL, LOC115261411|XP_029718893.1|AEAL, LOC115261415|XP_029718907.1|AEAL, LOC109411623|XP_029717160.1|AEAL	LOC108154254|XP_017139977.1|DMIR
OG0002060	LOC109427262|XP_029718897.1|AEAL, LOC109411628|XP_029717172.1|AEAL, LOC115261435|XP_029718951.1|AEAL	LOC117190461|XP_033251424.1|DMIR, LOC108159945|XP_017149089.1|DMIR
OG0002061	LOC109427263|XP_029718950.1|AEAL, LOC109411629|XP_019540734.2|AEAL, LOC115261412|XP_029718895.1|AEAL	LOC108160080|XP_017149336.1|DMIR, LOC117190050|XP_033251025.1|DMIR
OG0002062	LOC109404968|XP_029719247.1|AEAL	LOC108156467|XP_017143423.1|DMIR
OG0002063	LOC109404986|XP_019533517.2|AEAL, LOC109416162|XP_019545680.2|AEAL, LOC115254081|XP_029719239.1|AEAL	LOC108164036|XP_017155106.1|DMIR
OG0002064	LOC115261573|XP_029719328.1|AEAL, LOC109416620|XP_019546229.1|AEAL, LOC115261546|XP_029719255.1|AEAL, LOC109432816|XP_029719329.1|AEAL	LOC117186133|XP_033242197.1|DMIR
OG0002065	LOC115261562|XP_029719310.1|AEAL, LOC109432817|XP_019564706.2|AEAL, LOC115261563|XP_029719313.1|AEAL	LOC108152088|XP_033242271.1|DMIR
OG0002066	LOC109405099|XP_029716736.1|AEAL	LOC108155591|XP_017141995.1|DMIR
OG0002067	LOC109416515|XP_019546132.2|AEAL	LOC108159432|XP_017148192.1|DMIR
OG0002068	LOC109411939|XP_029733040.1|AEAL, LOC109406738|XP_029733024.1|AEAL	LOC117187877|XP_033246661.1|DMIR, LOC117187876|XP_033246660.1|DMIR, LOC117185769|XP_033246655.1|DMIR, LOC117185858|XP_033246653.1|DMIR, LOC117189664|XP_033250661.1|DMIR
OG0002069	LOC115254161|XP_029728101.1|AEAL, LOC109405601|XP_019534210.2|AEAL	LOC117188774|XP_033249028.1|DMIR
OG0002070	LOC109405911|XP_019534518.2|AEAL, LOC109405691|XP_019534300.2|AEAL, LOC109405647|XP_019534264.2|AEAL	LOC108155608|XP_017142023.1|DMIR
OG0002071	LOC109407855|XP_029724224.1|AEAL	LOC108155330|XP_017141560.1|DMIR
OG0002072	LOC109398924|XP_019526924.1|AEAL, LOC115264564|XP_029724249.1|AEAL	LOC117194185|XP_033254735.1|DMIR, LOC108158578|XP_017146510.1|DMIR
OG0002073	LOC109401570|XP_029724505.1|AEAL, LOC109402877|XP_029724543.1|AEAL, LOC115264667|XP_029724487.1|AEAL	LOC108151222|XP_033243458.1|DMIR
OG0002074	LOC109422260|XP_029724561.1|AEAL, LOC115259952|XP_029716608.1|AEAL	LOC117190395|XP_033251362.1|DMIR, LOC117189844|XP_033250809.1|DMIR, LOC108160515|XP_017150054.1|DMIR
OG0002075	LOC109415838|XP_019545321.1|AEAL, LOC109418778|XP_019548552.1|AEAL, LOC115257589|XP_029713233.1|AEAL, LOC115254032|XP_029715751.1|AEAL	LOC108162382|XP_017152588.1|DMIR
OG0002076	LOC109420404|XP_029729304.1|AEAL, LOC109402323|XP_029713604.1|AEAL	LOC117185701|XP_033246485.1|DMIR, LOC108158605|XP_033254676.1|DMIR
OG0002077	LOC109402320|XP_029713586.1|AEAL, LOC115253757|XP_029713723.1|AEAL	LOC108152463|XP_017137320.1|DMIR
OG0002078	LOC115257894|XP_029713736.1|AEAL, LOC115257450|XP_029712906.1|AEAL, LOC109402270|XP_019530465.2|AEAL	LOC108159140|XP_017147624.1|DMIR, LOC117193641|XP_033254276.1|DMIR
OG0002079	LOC109433204|XP_019565150.1|AEAL	LOC108151025|XP_017134874.1|DMIR
OG0002080	LOC109431533|XP_029719646.1|AEAL, LOC109422416|XP_029712778.1|AEAL	LOC108160690|XP_017150331.1|DMIR
OG0002081	LOC109424407|XP_029707752.1|AEAL	LOC117192647|XP_033253260.1|DMIR, LOC117192648|XP_033253261.1|DMIR, LOC108158936|XP_017147234.2|DMIR, LOC117188227|XP_033247628.1|DMIR
OG0002082	LOC109418655|XP_029730659.1|AEAL, LOC109414790|XP_029719572.1|AEAL	LOC117192874|XP_033253516.1|DMIR, LOC117192975|XP_033253588.1|DMIR, LOC108159551|XP_033247590.1|DMIR
OG0002083	LOC109414805|XP_029719558.1|AEAL	LOC108164652|XP_033246938.1|DMIR
OG0002084	LOC109418498|XP_019548245.1|AEAL	LOC108158991|XP_017147327.1|DMIR, LOC117190039|XP_033251018.1|DMIR, LOC117190037|XP_033251016.1|DMIR, LOC117190036|XP_033251015.1|DMIR, LOC117190038|XP_033251017.1|DMIR, LOC117190542|XP_033251492.1|DMIR
OG0002085	LOC109401249|XP_029721272.1|AEAL, LOC109413613|XP_029721370.1|AEAL, LOC115253902|XP_029721375.1|AEAL	LOC108160127|XP_017149410.1|DMIR
OG0002086	LOC109623390|XP_019933492.1|AEAL, LOC115262587|XP_029720847.1|AEAL, LOC109426916|XP_019558018.1|AEAL	LOC117190644|XP_033251581.1|DMIR, LOC108160487|XP_017149998.1|DMIR, LOC117192068|XP_033252670.1|DMIR, LOC117189958|XP_033250929.1|DMIR
OG0002087	LOC109408615|XP_029720918.1|AEAL, LOC109421903|XP_029720891.1|AEAL	LOC108150984|XP_017134816.2|DMIR
OG0002088	LOC109408746|XP_019537664.2|AEAL, LOC115267732|XP_029730787.1|AEAL	LOC108151520|XP_017135658.1|DMIR
OG0002089	LOC115267813|XP_029731053.1|AEAL, LOC109397100|XP_029730995.1|AEAL	LOC117194110|XP_033254643.1|DMIR, LOC108159350|XP_017148047.1|DMIR
OG0002090	LOC109409843|XP_019538871.2|AEAL	LOC108151981|XP_017136434.1|DMIR
OG0002091	LOC109399551|XP_019527547.2|AEAL	LOC117192899|XP_033253532.1|DMIR, LOC108158416|XP_017146172.1|DMIR, LOC117192897|XP_033253530.1|DMIR
OG0002092	LOC109431991|XP_019563837.1|AEAL, LOC109431287|XP_029724607.1|AEAL	LOC108152365|XP_017137132.1|DMIR
OG0002093	LOC115254199|XP_029731365.1|AEAL, LOC109426482|XP_029710081.1|AEAL	LOC108160045|XP_017149278.1|DMIR, LOC117192860|XP_033253505.1|DMIR
OG0002094	LOC109403702|XP_029731427.1|AEAL, LOC115266893|XP_029729356.1|AEAL	LOC117190856|XP_033251775.1|DMIR, LOC108160456|XP_017149961.1|DMIR
OG0002095	LOC109403422|XP_019531798.1|AEAL	LOC108155279|XP_017141489.1|DMIR
OG0002096	LOC109622238|XP_029731487.1|AEAL	LOC108159694|XP_017148692.1|DMIR, LOC117190103|XP_033251080.1|DMIR
OG0002097	LOC109410744|XP_029731592.1|AEAL	LOC117194011|XP_033254536.1|DMIR, LOC108158802|XP_017146977.1|DMIR, LOC117193967|XP_033254509.1|DMIR
OG0002099	LOC115270133|XP_029735089.1|AEAL, LOC109621473|XP_019931061.2|AEAL	LOC108157057|XP_017144376.1|DMIR
OG0002100	LOC109426042|XP_019557027.1|AEAL	LOC108153136|XP_017138420.1|DMIR
