Orthogroup	AEAL.longest_only	DGUA.longest_only
OG0001283	LOC109405605|XP_019534212.2|AEAL	LOC117592411|XP_034142043.1|DGUA
OG0001284	LOC115266358|XP_029728399.1|AEAL, LOC109427900|XP_029723150.1|AEAL, LOC109428219|XP_029723153.1|AEAL, LOC115263996|XP_029723158.1|AEAL	LOC117587863|XP_034134719.1|DGUA
OG0001285	LOC109407533|XP_019536144.2|AEAL, LOC109428193|XP_019559437.2|AEAL, LOC115266363|XP_029728424.1|AEAL, LOC109427881|XP_029734304.1|AEAL	LOC117588897|XP_034136337.1|DGUA
OG0001286	LOC109622823|XP_029714587.1|AEAL, LOC109397529|XP_029714595.1|AEAL	LOC117581803|XP_034125135.1|DGUA
OG0001287	LOC109417665|XP_029709322.1|AEAL, LOC115255401|XP_029709329.1|AEAL, LOC109417666|XP_019547261.3|AEAL	LOC117586378|XP_034132297.1|DGUA
OG0001288	LOC109621380|XP_029732585.1|AEAL, LOC115268590|XP_029732564.1|AEAL	LOC117582352|XP_034125896.1|DGUA
OG0001289	LOC109398322|XP_019526217.2|AEAL, LOC109429831|XP_029729192.1|AEAL, LOC109429832|XP_029729191.1|AEAL, LOC109398331|XP_019526230.2|AEAL, LOC109398282|XP_019526155.2|AEAL	LOC117583869|XP_034128406.1|DGUA
OG0001290	LOC109411751|XP_029720185.1|AEAL	LOC117584232|XP_034128905.1|DGUA
OG0001291	LOC115262189|XP_029720388.1|AEAL, LOC115262185|XP_029720380.1|AEAL	LOC117580899|XP_034123550.1|DGUA, LOC117592619|XP_034142400.1|DGUA
OG0001292	LOC109426269|XP_029707774.1|AEAL, LOC115257201|XP_029712497.1|AEAL, LOC115257193|XP_029712483.1|AEAL	LOC117578815|XP_034120457.1|DGUA
OG0001293	LOC109621638|XP_029713982.1|AEAL, LOC109426360|XP_029707782.1|AEAL	LOC117580693|XP_034123210.1|DGUA
OG0001294	LOC109428031|XP_029720704.1|AEAL	LOC117586273|XP_034132112.1|DGUA
OG0001295	LOC109427321|XP_019558396.2|AEAL	LOC117591490|XP_034140669.1|DGUA, LOC117585981|XP_034131689.1|DGUA
OG0001296	LOC115263973|XP_029723137.1|AEAL, LOC109418392|XP_029721394.1|AEAL	LOC117591929|XP_034141223.1|DGUA
OG0001297	LOC109403034|XP_029724657.1|AEAL	LOC117583811|XP_034128284.1|DGUA
OG0001298	LOC115271076|XP_029736372.1|AEAL, LOC109402751|XP_029712232.1|AEAL	LOC117589782|XP_034137870.1|DGUA
OG0001299	LOC109415647|XP_019545096.2|AEAL, LOC109425050|XP_029727810.1|AEAL, LOC109416667|XP_029717986.1|AEAL, LOC109400170|XP_029727844.1|AEAL, LOC115260810|XP_029717992.1|AEAL	LOC117579541|XP_034121350.1|DGUA
OG0001300	LOC109404863|XP_029730231.1|AEAL	LOC117585087|XP_034130246.1|DGUA
OG0001301	LOC115268049|XP_029731831.1|AEAL, LOC109423386|XP_019553926.2|AEAL, LOC115254205|XP_029731856.1|AEAL, LOC109409546|XP_029731850.1|AEAL, LOC109423387|XP_029731947.1|AEAL	LOC117584762|XP_034129755.1|DGUA
OG0001302	LOC109409577|XP_019538575.2|AEAL, LOC109430467|XP_019562082.1|AEAL, LOC115268973|XP_029733111.1|AEAL	LOC117587183|XP_034133597.1|DGUA
OG0001303	LOC109405755|XP_019534367.2|AEAL	LOC117584926|XP_034129969.1|DGUA
OG0001304	LOC109422619|XP_029712250.1|AEAL	LOC117578623|XP_034120118.1|DGUA
OG0001305	LOC109424108|XP_019554748.2|AEAL, LOC109408394|XP_029736004.1|AEAL	LOC117586656|XP_034132787.1|DGUA
OG0001306	LOC109431902|XP_029727831.1|AEAL, LOC115266069|XP_029727795.1|AEAL, LOC109404401|XP_019532794.2|AEAL	LOC117585444|XP_034130811.1|DGUA
OG0001307	LOC109401126|XP_019529151.2|AEAL, LOC109422683|XP_019553087.2|AEAL	LOC117580307|XP_034122690.1|DGUA, LOC117580388|XP_034122818.1|DGUA
OG0001308	LOC115260119|XP_029716884.1|AEAL, LOC109402817|XP_029736414.1|AEAL, LOC109422652|XP_029716899.1|AEAL	LOC117580744|XP_034123320.1|DGUA, LOC117580003|XP_034122095.1|DGUA
OG0001309	LOC109406154|XP_019534767.1|AEAL, LOC109406159|XP_019534772.2|AEAL, LOC109401790|XP_029710058.1|AEAL	LOC117586724|XP_034132910.1|DGUA
OG0001311	LOC115256563|XP_029711158.1|AEAL, LOC115256637|XP_029711331.1|AEAL, LOC109401927|XP_019530096.2|AEAL	LOC117581653|XP_034124920.1|DGUA
OG0001312	LOC109422322|XP_029708138.1|AEAL	LOC117587055|XP_034133384.1|DGUA
OG0001313	LOC115254196|XP_029731204.1|AEAL, LOC109399588|XP_029731213.1|AEAL	LOC117578735|XP_034120290.1|DGUA
OG0001314	LOC109408951|XP_019537896.2|AEAL	LOC117584063|XP_034128696.1|DGUA
OG0001315	LOC115261157|XP_029718373.1|AEAL, LOC115269127|XP_029733395.1|AEAL, LOC109427228|XP_019558280.2|AEAL	LOC117581155|XP_034123979.1|DGUA
OG0001326	LOC115254736|XP_029708273.1|AEAL, LOC109421123|XP_029719625.1|AEAL, LOC109415200|XP_029710897.1|AEAL, LOC109426281|XP_019557293.2|AEAL	LOC117582750|XP_034126580.1|DGUA
OG0001328	LOC109426400|XP_019557457.1|AEAL, LOC109428421|XP_019559716.2|AEAL, LOC109430528|XP_029729088.1|AEAL	LOC117588526|XP_034135773.1|DGUA
OG0001329	LOC109428569|XP_019559888.2|AEAL	LOC117580979|XP_034123664.1|DGUA
OG0001330	LOC109406965|XP_019535520.2|AEAL	LOC117590417|XP_034138915.1|DGUA, LOC117590416|XP_034138907.1|DGUA
OG0001331	LOC109401885|XP_029709685.1|AEAL, LOC115255730|XP_029709713.1|AEAL, LOC109401884|XP_019530032.2|AEAL, LOC109414706|XP_029709686.1|AEAL, LOC115255731|XP_029709714.1|AEAL	LOC117588306|XP_034135384.1|DGUA
OG0001332	LOC109433012|XP_019564937.2|AEAL, LOC115253665|XP_029734202.1|AEAL, LOC109397726|XP_019525586.2|AEAL, LOC109433016|XP_029734230.1|AEAL	LOC117590427|XP_034138936.1|DGUA
OG0001333	LOC109423055|XP_029708388.1|AEAL, LOC115260697|XP_029717773.1|AEAL, LOC115253915|XP_029717759.1|AEAL, LOC109432368|XP_029717766.1|AEAL, LOC109423056|XP_019553505.2|AEAL	LOC117584444|XP_034129247.1|DGUA
OG0001334	LOC109425180|XP_029717616.1|AEAL, LOC115253810|XP_029714023.1|AEAL, LOC109425173|XP_029717621.1|AEAL	LOC117583203|XP_034127298.1|DGUA
OG0001335	LOC109412094|XP_019541280.1|AEAL, LOC109427342|XP_019558420.2|AEAL, LOC109412097|XP_029707539.1|AEAL, LOC109427354|XP_029733712.1|AEAL	LOC117586637|XP_034132757.1|DGUA
OG0001336	LOC115257836|XP_029713656.1|AEAL	LOC117582782|XP_034126646.1|DGUA, LOC117591488|XP_034140667.1|DGUA, LOC117586170|XP_034131971.1|DGUA
OG0001337	LOC109405489|XP_019534122.2|AEAL	LOC117581407|XP_034124448.1|DGUA
OG0001338	LOC109430336|XP_019561937.2|AEAL	LOC117586287|XP_034132135.1|DGUA
OG0001339	LOC109400129|XP_019528163.2|AEAL, LOC109621258|XP_019931277.2|AEAL, LOC109622561|XP_019932516.2|AEAL	LOC117584604|XP_034129508.1|DGUA
OG0001340	LOC109399955|XP_019527968.2|AEAL	LOC117590025|XP_034138212.1|DGUA
OG0001341	LOC109398471|XP_019526395.2|AEAL	LOC117583338|XP_034127492.1|DGUA
OG0001343	LOC109411182|XP_029730128.1|AEAL	LOC117583134|XP_034127215.1|DGUA
OG0001344	LOC109423591|XP_029720533.1|AEAL, LOC109402459|XP_019530693.1|AEAL, LOC115264100|XP_029723287.1|AEAL, LOC109423594|XP_029723283.1|AEAL	LOC117583255|XP_034127370.1|DGUA
OG0001345	LOC109402412|XP_019530630.2|AEAL, LOC109423538|XP_019554067.2|AEAL, LOC109402443|XP_019530675.1|AEAL	LOC117583186|XP_034127278.1|DGUA
OG0001346	LOC109402420|XP_029733451.1|AEAL, LOC115267181|XP_029729909.1|AEAL, LOC109405431|XP_029712606.1|AEAL	LOC117583492|XP_034127722.1|DGUA
OG0001347	LOC109404017|XP_019532425.2|AEAL	LOC117578473|XP_034119897.1|DGUA, LOC117592311|XP_034141877.1|DGUA, LOC117581593|XP_034124840.1|DGUA
OG0001348	LOC109418066|XP_019547779.2|AEAL	LOC117590301|XP_034138679.1|DGUA
OG0001349	LOC109407770|XP_019536490.2|AEAL	LOC117586923|XP_034133169.1|DGUA
OG0001350	LOC109397828|XP_019525707.2|AEAL, LOC109418971|XP_029709783.1|AEAL	LOC117579776|XP_034121724.1|DGUA
OG0001351	LOC109419691|XP_029733477.1|AEAL	LOC117586432|XP_034132363.1|DGUA
OG0001352	LOC115254554|XP_029708023.1|AEAL, LOC109415740|XP_019545217.2|AEAL	LOC117588489|XP_034135686.1|DGUA
OG0001353	LOC115263700|XP_029722794.1|AEAL, LOC115261548|XP_029719298.1|AEAL, LOC115262218|XP_029720456.1|AEAL, LOC115262103|XP_029719983.1|AEAL, LOC109427105|XP_029725593.1|AEAL	LOC117591231|XP_034140296.1|DGUA
OG0001354	LOC115256955|XP_029712021.1|AEAL, LOC109417878|XP_029725401.1|AEAL	LOC117591979|XP_034141310.1|DGUA
OG0001355	LOC115259327|XP_029715719.1|AEAL, LOC109407944|XP_019536686.1|AEAL, LOC109431510|XP_019563283.2|AEAL, LOC109413835|XP_019543106.1|AEAL	LOC117592081|XP_034141484.1|DGUA
OG0001356	LOC109408027|XP_029735244.1|AEAL, LOC109405168|XP_019533733.2|AEAL, LOC109408089|XP_019536851.2|AEAL, LOC115269850|XP_029734492.1|AEAL	LOC117585160|XP_034130387.1|DGUA
OG0001357	LOC109400603|XP_029734998.1|AEAL, LOC115270110|XP_029734987.1|AEAL, LOC109404943|XP_019533441.1|AEAL	LOC117586861|XP_034133047.1|DGUA
OG0001358	LOC115253910|XP_029734981.1|AEAL, LOC109404941|XP_029734936.1|AEAL, LOC115269652|XP_029734348.1|AEAL, LOC109400600|XP_029734996.1|AEAL	LOC117579307|XP_034121007.1|DGUA
OG0001359	LOC109425685|XP_019556514.2|AEAL, LOC109422978|XP_019553427.1|AEAL, LOC109422959|XP_019553405.2|AEAL	LOC117584301|XP_034129018.1|DGUA
OG0001360	LOC115256976|XP_029712057.1|AEAL, LOC109622716|XP_019932694.1|AEAL, LOC109415868|XP_019545358.1|AEAL	LOC117585270|XP_034130584.1|DGUA
OG0001361	LOC115259395|XP_029715801.1|AEAL, LOC109403799|XP_019532244.2|AEAL, LOC115263322|XP_029722453.1|AEAL, LOC109416943|XP_029722481.1|AEAL, LOC109403757|XP_019532171.2|AEAL	LOC117580021|XP_034122134.1|DGUA
OG0001362	LOC109403770|XP_019532186.1|AEAL, LOC109416931|XP_019546590.1|AEAL	LOC117585063|XP_034130215.1|DGUA, LOC117588428|XP_034135599.1|DGUA, LOC117591427|XP_034140578.1|DGUA, LOC117580036|XP_034122155.1|DGUA
OG0001363	LOC109406369|XP_029722267.1|AEAL, LOC109403810|XP_029722363.1|AEAL, LOC115263267|XP_029722257.1|AEAL	LOC117586369|XP_034132286.1|DGUA
OG0001364	LOC115263159|XP_029721947.1|AEAL, LOC109424117|XP_029721943.1|AEAL, LOC109429844|XP_019561380.2|AEAL, LOC109398308|XP_019526201.2|AEAL	LOC117581078|XP_034123856.1|DGUA
OG0001365	LOC109431682|XP_019563486.1|AEAL	LOC117580943|XP_034123617.1|DGUA, LOC117589217|XP_034136853.1|DGUA
OG0001367	LOC109398078|XP_029730551.1|AEAL, LOC115267582|XP_029730520.1|AEAL, LOC109399526|XP_029730510.1|AEAL	LOC117578793|XP_034120410.1|DGUA
OG0001368	LOC109404349|XP_029735721.1|AEAL, LOC109399512|XP_029736056.1|AEAL	LOC117583754|XP_034128170.1|DGUA
OG0001369	LOC115270441|XP_029736029.1|AEAL, LOC109408637|XP_019537514.2|AEAL, LOC109622204|XP_019931996.2|AEAL	LOC117588517|XP_034135738.1|DGUA
OG0001370	LOC109414239|XP_019543595.2|AEAL	LOC117579596|XP_034121424.1|DGUA
OG0001371	LOC115253735|XP_029728876.1|AEAL, LOC109408223|XP_029728880.1|AEAL	LOC117584747|XP_034129726.1|DGUA
OG0001372	LOC109418473|XP_029728843.1|AEAL, LOC109408904|XP_029728815.1|AEAL	LOC117588028|XP_034134965.1|DGUA
OG0001373	LOC109397797|XP_029723962.1|AEAL, LOC115266340|XP_029728312.1|AEAL, LOC109428281|XP_029728477.1|AEAL, LOC115266389|XP_029728485.1|AEAL	LOC117587814|XP_034134661.1|DGUA
OG0001374	LOC109427897|XP_019559050.2|AEAL, LOC115263986|XP_029723147.1|AEAL	LOC117579745|XP_034121654.1|DGUA, LOC117592129|XP_034141565.1|DGUA
OG0001375	LOC109428178|XP_029715576.1|AEAL, LOC109427870|XP_029715349.1|AEAL, LOC109401180|XP_029712116.1|AEAL, LOC109401201|XP_019529218.2|AEAL	LOC117586235|XP_034132062.1|DGUA
OG0001376	LOC109412024|XP_019541216.2|AEAL, LOC109408014|XP_019536780.2|AEAL, LOC109408021|XP_019536792.2|AEAL, LOC115257656|XP_029713359.1|AEAL	LOC117589073|XP_034136602.1|DGUA
OG0001377	LOC109433090|XP_029710985.1|AEAL, LOC109420215|XP_029710421.1|AEAL	LOC117582593|XP_034126342.1|DGUA
OG0001378	LOC109414033|XP_019543313.2|AEAL, LOC109404241|XP_029724933.1|AEAL	LOC117583897|XP_034128458.1|DGUA, LOC117587865|XP_034134721.1|DGUA
OG0001379	LOC115264902|XP_029724803.1|AEAL, LOC109429421|XP_029733194.1|AEAL	LOC117582119|XP_034125586.1|DGUA
OG0001380	LOC115258732|XP_029714955.1|AEAL, LOC115258736|XP_029714960.1|AEAL, LOC115258668|XP_029714847.1|AEAL, LOC109398707|XP_019526632.2|AEAL, LOC109406768|XP_029714809.1|AEAL	LOC117586560|XP_034132615.1|DGUA
OG0001381	LOC115258888|XP_029715202.1|AEAL, LOC109410215|XP_019539283.2|AEAL	LOC117588346|XP_034135451.1|DGUA
OG0001382	LOC115255420|XP_029709403.1|AEAL, LOC115255409|XP_029709370.1|AEAL, LOC109417649|XP_029709342.1|AEAL	LOC117584740|XP_034129705.1|DGUA
OG0001383	LOC109417767|XP_019547455.1|AEAL, LOC109420003|XP_019549836.1|AEAL	LOC117588182|XP_034135192.1|DGUA, LOC117578415|XP_034119768.1|DGUA
OG0001384	LOC109423887|XP_019554490.2|AEAL, LOC109404823|XP_029727279.1|AEAL	LOC117587866|XP_034134723.1|DGUA
OG0001385	LOC109421435|XP_029726866.1|AEAL, LOC109432573|XP_019564462.2|AEAL, LOC109416633|XP_019546246.1|AEAL, LOC115261557|XP_029719294.1|AEAL	LOC117587709|XP_034134504.1|DGUA
OG0001386	LOC109406511|XP_029719858.1|AEAL, LOC109406530|XP_029720495.1|AEAL, LOC109429658|XP_029720005.1|AEAL, LOC115266961|XP_029729541.1|AEAL	LOC117584603|XP_034129500.1|DGUA
OG0001387	LOC109429643|XP_029719832.1|AEAL, LOC109622650|XP_029719985.1|AEAL, LOC109623408|XP_029719831.1|AEAL, LOC109429642|XP_029719984.1|AEAL	LOC117584388|XP_034129133.1|DGUA
OG0001388	LOC109429565|XP_029719898.1|AEAL, LOC109429982|XP_029719917.1|AEAL, LOC109429983|XP_019561538.2|AEAL	LOC117584735|XP_034129696.1|DGUA
OG0001389	LOC115268723|XP_029732721.1|AEAL, LOC115268721|XP_029732715.1|AEAL, LOC115261987|XP_029719806.1|AEAL, LOC109421768|XP_029732716.1|AEAL, LOC109428027|XP_029732743.1|AEAL	LOC117583401|XP_034127575.1|DGUA
OG0001390	LOC109407473|XP_029723563.1|AEAL, LOC109419242|XP_029723552.1|AEAL	LOC117582316|XP_034125852.1|DGUA
OG0001391	LOC109415473|XP_029724555.1|AEAL, LOC115254124|XP_029724145.1|AEAL	LOC117579668|XP_034121540.1|DGUA, LOC117588000|XP_034134911.1|DGUA
OG0001392	LOC115254114|XP_029723018.1|AEAL, LOC109399740|XP_029723014.1|AEAL, LOC109402036|XP_029723017.1|AEAL	LOC117588580|XP_034135871.1|DGUA
OG0001393	LOC109415341|XP_019544773.1|AEAL, LOC109423643|XP_019554185.1|AEAL	LOC117591429|XP_034140582.1|DGUA
OG0001394	LOC115269560|XP_029734224.1|AEAL, LOC109622075|XP_019931860.2|AEAL, LOC109420370|XP_019550253.2|AEAL	LOC117584605|XP_034129505.1|DGUA
OG0001395	LOC109621259|XP_019931809.1|AEAL	LOC117586668|XP_034132807.1|DGUA, LOC117586038|XP_034131775.1|DGUA
OG0001396	LOC109408447|XP_029716986.1|AEAL	LOC117584170|XP_034128826.1|DGUA, LOC117588645|XP_034135969.1|DGUA
OG0001397	LOC115261197|XP_029718404.1|AEAL, LOC109422513|XP_029718411.1|AEAL, LOC109406152|XP_029718413.1|AEAL, LOC115261211|XP_029718422.1|AEAL, LOC115261195|XP_029718401.1|AEAL	LOC117590007|XP_034138184.1|DGUA
OG0001398	LOC115268931|XP_029732993.1|AEAL, LOC115268929|XP_029732992.1|AEAL	LOC117591740|XP_034140942.1|DGUA
OG0001399	LOC109428757|XP_029734015.1|AEAL, LOC109424534|XP_029709896.1|AEAL	LOC117591308|XP_034140403.1|DGUA
OG0001400	LOC109415897|XP_019545391.2|AEAL, LOC115254133|XP_029724468.1|AEAL	LOC117589812|XP_034137931.1|DGUA
OG0001401	LOC109403463|XP_029712834.1|AEAL	LOC117587493|XP_034134156.1|DGUA
OG0001402	LOC115257380|XP_029712769.1|AEAL, LOC109403447|XP_019531815.1|AEAL	LOC117580260|XP_034122587.1|DGUA
OG0001403	LOC115262659|XP_029721118.1|AEAL, LOC109424732|XP_029721057.1|AEAL	LOC117579752|XP_034121664.1|DGUA
OG0001404	LOC109432689|XP_029723912.1|AEAL, LOC115254120|XP_029723927.1|AEAL	LOC117578743|XP_034120311.1|DGUA
OG0001405	LOC109408794|XP_029730753.1|AEAL, LOC109428939|XP_019560326.2|AEAL	LOC117579070|XP_034120670.1|DGUA
OG0001406	LOC109622277|XP_029732223.1|AEAL	LOC117581824|XP_034125159.1|DGUA, LOC117588304|XP_034135381.1|DGUA
OG0001407	LOC109621453|XP_019931038.2|AEAL, LOC115254203|XP_029731755.1|AEAL	LOC117589407|XP_034137227.1|DGUA
OG0001408	LOC109411296|XP_019540373.2|AEAL, LOC109397098|XP_019524966.2|AEAL, LOC109622023|XP_029725054.1|AEAL	LOC117592673|XP_034142524.1|DGUA
OG0001429	LOC109405374|XP_029715425.1|AEAL, LOC109413245|XP_029709614.1|AEAL, LOC109405399|XP_019534004.2|AEAL	LOC117589587|XP_034137542.1|DGUA
OG0001430	LOC109414630|XP_019544011.1|AEAL, LOC109424816|XP_019555548.2|AEAL, LOC109424967|XP_019555705.1|AEAL, LOC109431093|XP_029718287.1|AEAL	LOC117589618|XP_034137592.1|DGUA
OG0001431	LOC109431142|XP_019562883.2|AEAL, LOC109415746|XP_029711620.1|AEAL	LOC117590261|XP_034138639.1|DGUA
OG0001432	LOC109422158|XP_029710417.1|AEAL, LOC109428450|XP_019559761.2|AEAL	LOC117590756|XP_034139585.1|DGUA
OG0001433	LOC109415176|XP_019544599.2|AEAL, LOC109428489|XP_019559813.2|AEAL, LOC115253714|XP_029711714.1|AEAL	LOC117590355|XP_034138782.1|DGUA, LOC117585631|XP_034131106.1|DGUA
OG0001434	LOC109430093|XP_019561672.2|AEAL	LOC117585718|XP_034131248.1|DGUA
OG0001434	LOC115256340|XP_029710522.1|AEAL, LOC109428515|XP_029718193.1|AEAL	LOC117580966|XP_034123645.1|DGUA
OG0001435	LOC109416125|XP_029710971.1|AEAL	LOC117578847|XP_034120524.1|DGUA
OG0001436	LOC115256737|XP_029711540.1|AEAL, LOC109401907|XP_019530067.2|AEAL, LOC115256392|XP_029710675.1|AEAL	LOC117588529|XP_034135779.1|DGUA
OG0001437	LOC115269102|XP_029733347.1|AEAL, LOC109432612|XP_019564516.1|AEAL, LOC109422147|XP_019552335.1|AEAL, LOC115254221|XP_029733210.1|AEAL	LOC117587621|XP_034134370.1|DGUA
OG0001438	LOC109422027|XP_029711761.1|AEAL	LOC117583458|XP_034127649.1|DGUA
OG0001439	LOC115256414|XP_029710779.1|AEAL, LOC115270464|XP_029736059.1|AEAL, LOC109412987|XP_019542190.1|AEAL, LOC109409466|XP_019538452.2|AEAL	LOC117589744|XP_034137816.1|DGUA
OG0001440	LOC115271018|XP_029736289.1|AEAL, LOC109397647|XP_019525481.2|AEAL, LOC115271024|XP_029736303.1|AEAL, LOC109409473|XP_029736227.1|AEAL, LOC115271023|XP_029736301.1|AEAL, LOC109409535|XP_019538518.1|AEAL, LOC109397624|XP_019525457.1|AEAL, LOC109409536|XP_029736228.1|AEAL, LOC115270995|XP_029736225.1|AEAL, LOC115271022|XP_029736300.1|AEAL	LOC117590264|XP_034138641.1|DGUA
OG0001441	LOC115265321|XP_029725736.1|AEAL	LOC117581606|XP_034124858.1|DGUA
OG0001442	LOC109424859|XP_019555600.1|AEAL	LOC117584308|XP_034129024.1|DGUA
OG0001443	LOC109430354|XP_029733144.1|AEAL, LOC109412433|XP_029722931.1|AEAL, LOC109412431|XP_029733142.1|AEAL, LOC109430325|XP_029722928.1|AEAL	LOC117591453|XP_034140613.1|DGUA
OG0001444	LOC109432153|XP_019564006.2|AEAL, LOC109430270|XP_029712970.1|AEAL	LOC117585169|XP_034130401.1|DGUA
OG0001445	LOC109411874|XP_019541044.2|AEAL	LOC117589400|XP_034137214.1|DGUA, LOC117590024|XP_034138209.1|DGUA
OG0001446	LOC109403589|XP_029714036.1|AEAL, LOC109414751|XP_029730147.1|AEAL, LOC109425341|XP_019556135.2|AEAL	LOC117585852|XP_034131490.1|DGUA
OG0001447	LOC109421116|XP_019551143.2|AEAL	LOC117590162|XP_034138441.1|DGUA
OG0001448	LOC109421124|XP_019551164.2|AEAL, LOC115254737|XP_029708274.1|AEAL	LOC117582751|XP_034126585.1|DGUA
OG0001449	LOC109423544|XP_019554076.2|AEAL	LOC117581769|XP_034125068.1|DGUA
OG0001450	LOC109622496|XP_029726338.1|AEAL	LOC117588179|XP_034135187.1|DGUA
OG0001451	LOC115265630|XP_029727357.1|AEAL, LOC109410479|XP_019539586.1|AEAL, LOC109622431|XP_019932313.1|AEAL	LOC117578487|XP_034119911.1|DGUA
OG0001452	LOC109423306|XP_029726453.1|AEAL	LOC117591980|XP_034141309.1|DGUA, LOC117591977|XP_034141303.1|DGUA
OG0001453	LOC109413963|XP_029726579.1|AEAL, LOC109413964|XP_029726580.1|AEAL	LOC117580044|XP_034122172.1|DGUA
OG0001454	LOC109400979|XP_019528992.2|AEAL, LOC109408241|XP_019537055.2|AEAL, LOC109418111|XP_029726752.1|AEAL	LOC117585064|XP_034130217.1|DGUA
OG0001455	LOC109413252|XP_029726755.1|AEAL, LOC115265499|XP_029726757.1|AEAL	LOC117587037|XP_034133357.1|DGUA, LOC117587154|XP_034133550.1|DGUA
OG0001456	LOC109398403|XP_029733496.1|AEAL	LOC117592457|XP_034142128.1|DGUA
OG0001457	LOC109419688|XP_019549483.2|AEAL	LOC117585617|XP_034131074.1|DGUA
OG0001458	LOC109420199|XP_029725839.1|AEAL, LOC109409995|XP_019539069.2|AEAL, LOC109419645|XP_029725842.1|AEAL	LOC117581109|XP_034123907.1|DGUA
OG0001459	LOC115265573|XP_029727067.1|AEAL, LOC109409187|XP_029727119.1|AEAL, LOC109420247|XP_029728087.1|AEAL, LOC109397319|XP_029725761.1|AEAL	LOC117587422|XP_034133982.1|DGUA
OG0001460	LOC109426691|XP_029725535.1|AEAL, LOC109417792|XP_029725504.1|AEAL	LOC117590890|XP_034139817.1|DGUA
OG0001461	LOC109426816|XP_029725425.1|AEAL, LOC109417857|XP_019547578.2|AEAL	LOC117591326|XP_034140427.1|DGUA, LOC117579208|XP_034120868.1|DGUA
OG0001462	LOC109407918|XP_029732356.1|AEAL, LOC109412020|XP_019541241.2|AEAL, LOC115268481|XP_029732354.1|AEAL, LOC109407917|XP_019536647.2|AEAL, LOC109411870|XP_019541069.1|AEAL	LOC117579705|XP_034121587.1|DGUA
OG0001464	LOC109400654|XP_029734856.1|AEAL, LOC109399415|XP_029733639.1|AEAL	LOC117581618|XP_034124871.1|DGUA
OG0001465	LOC109422596|XP_019552950.2|AEAL, LOC115261757|XP_029719503.1|AEAL	LOC117592691|XP_034142546.1|DGUA
OG0001466	LOC115253612|XP_029712065.1|AEAL, LOC109422848|XP_029708309.1|AEAL, LOC115256964|XP_029712035.1|AEAL, LOC115256980|XP_029712063.1|AEAL	LOC117583997|XP_034128616.1|DGUA
OG0001467	LOC109418475|XP_029713246.1|AEAL, LOC109622622|XP_019932581.2|AEAL, LOC115263316|XP_029722430.1|AEAL, LOC109415879|XP_029712528.1|AEAL	LOC117581946|XP_034125319.1|DGUA
OG0001468	LOC109430819|XP_019562448.2|AEAL, LOC115263200|XP_029722038.1|AEAL	LOC117587068|XP_034133402.1|DGUA
OG0001470	LOC109408681|XP_029735701.1|AEAL, LOC115270390|XP_029735809.1|AEAL	LOC117579850|XP_034121839.1|DGUA
OG0001471	LOC115253613|XP_029713927.1|AEAL, LOC115263499|XP_029722597.1|AEAL, LOC109428702|XP_029735587.1|AEAL, LOC109424279|XP_029735620.1|AEAL	LOC117587190|XP_034133609.1|DGUA
OG0001472	LOC109423871|XP_019554459.1|AEAL	LOC117589087|XP_034136616.1|DGUA
OG0001473	LOC115270192|XP_029735298.1|AEAL, LOC109408595|XP_029735318.1|AEAL, LOC109423828|XP_019554414.2|AEAL, LOC115269857|XP_029734503.1|AEAL, LOC115269617|XP_029734307.1|AEAL	LOC117590176|XP_034138462.1|DGUA
OG0001474	LOC109407040|XP_029729020.1|AEAL	LOC117588661|XP_034135995.1|DGUA, LOC117591934|XP_034141234.1|DGUA
OG0001475	LOC109403692|XP_029709907.1|AEAL	LOC117586172|XP_034131977.1|DGUA, LOC117586186|XP_034132003.1|DGUA
OG0001476	LOC109414433|XP_029728117.1|AEAL, LOC109622251|XP_029728120.1|AEAL, LOC115266336|XP_029728301.1|AEAL	LOC117591332|XP_034140443.1|DGUA
OG0001477	LOC115263987|XP_029723148.1|AEAL, LOC109427898|XP_029723157.1|AEAL, LOC109428217|XP_019559460.2|AEAL	LOC117585839|XP_034131471.1|DGUA
OG0001478	LOC109424450|XP_019555137.2|AEAL, LOC115258689|XP_029714876.1|AEAL, LOC109424474|XP_029715698.1|AEAL	LOC117582637|XP_034126408.1|DGUA
OG0001479	LOC115258549|XP_029714561.1|AEAL, LOC109622895|XP_019932909.1|AEAL	LOC117590708|XP_034139497.1|DGUA
OG0001480	LOC109412011|XP_019541200.1|AEAL, LOC109407916|XP_019536650.2|AEAL	LOC117581380|XP_034124409.1|DGUA, LOC117582634|XP_034126403.1|DGUA
OG0001481	LOC109420446|XP_019550339.1|AEAL	LOC117584077|XP_034128714.1|DGUA
OG0001482	LOC109419041|XP_029729424.1|AEAL, LOC109408159|XP_019536937.2|AEAL	LOC117588384|XP_034135503.1|DGUA
OG0001483	LOC109409255|XP_019538216.2|AEAL	LOC117587575|XP_034134293.1|DGUA
OG0001484	LOC109407146|XP_019535690.2|AEAL, LOC109417136|XP_019546804.2|AEAL, LOC109417138|XP_029714454.1|AEAL, LOC115258522|XP_029714516.1|AEAL, LOC109417139|XP_019546808.2|AEAL, LOC115258481|XP_029714456.1|AEAL	LOC117581869|XP_034125223.1|DGUA
