Orthogroup	AEAL.longest_only	DMEL.longest_only
OG0001032	LOC109421539|XP_019551606.2|AEAL	klhl10|NP_001015100.2|DMEL
OG0001033	LOC109412633|XP_029724452.1|AEAL, LOC109415901|XP_029724407.1|AEAL	BoYb|NP_649430.1|DMEL
OG0001042	LOC109421990|XP_019552169.2|AEAL, LOC115256355|XP_029710555.1|AEAL, LOC109421988|XP_019552167.2|AEAL, LOC115256356|XP_029710556.1|AEAL, LOC115257006|XP_029712097.1|AEAL, LOC115256354|XP_029710554.1|AEAL, LOC109421989|XP_019552168.2|AEAL	Cyp4c3|NP_524598.1|DMEL
OG0001043	LOC109427671|XP_019558802.2|AEAL, LOC109427670|XP_019558801.2|AEAL, LOC109431443|XP_019563193.2|AEAL	CG7860|NP_573039.1|DMEL
OG0001044	LOC109425483|XP_019556293.2|AEAL, LOC109425494|XP_019556300.2|AEAL, LOC115258407|XP_029714358.1|AEAL, LOC109410267|XP_029728717.1|AEAL	tor|NP_476762.1|DMEL
OG0001045	LOC109416372|XP_019545957.2|AEAL, LOC115263417|XP_029722567.1|AEAL, LOC109430046|XP_019561618.2|AEAL, LOC115267355|XP_029730165.1|AEAL, LOC109416371|XP_019545956.2|AEAL, LOC115263411|XP_029722558.1|AEAL, LOC109416370|XP_019545955.1|AEAL, LOC109430045|XP_029730166.1|AEAL	ADPS|NP_611006.1|DMEL
OG0001046	LOC115264336|XP_029723865.1|AEAL, LOC109414894|XP_019544283.1|AEAL	CG30108|NP_725705.2|DMEL, CG30109|NP_725706.1|DMEL
OG0001047	LOC109409491|XP_019538493.2|AEAL	cid|NP_523730.2|DMEL
OG0001049	LOC109400687|XP_029734861.1|AEAL, LOC109404591|XP_029734927.1|AEAL	CG11357|NP_001097505.1|DMEL
OG0001050	LOC109399473|XP_029735713.1|AEAL, LOC109398008|XP_029714089.1|AEAL	Apl|NP_730182.1|DMEL, Arts|NP_001261957.1|DMEL
OG0001052	LOC115253443|XP_029727442.1|AEAL, LOC109430157|XP_029718246.1|AEAL	CG17292|NP_609216.1|DMEL
OG0001053	LOC109426359|XP_019557368.2|AEAL, LOC109621627|XP_029707852.1|AEAL	NO66|NP_572160.1|DMEL
OG0001054	LOC109419219|XP_019548976.2|AEAL	rumi|NP_651095.1|DMEL, CG31139|NP_732797.1|DMEL
OG0001055	LOC109415804|XP_029727885.1|AEAL	CG6830|NP_650103.1|DMEL, CG6834|NP_650104.2|DMEL
OG0001056	LOC115261503|XP_029719096.1|AEAL, LOC109404499|XP_019532938.1|AEAL	Slc25A46b|NP_609864.1|DMEL, Slc25A46a|NP_573096.1|DMEL
OG0001057	LOC109404972|XP_029719253.1|AEAL, LOC109416171|XP_029719194.1|AEAL	Aldh|NP_609285.1|DMEL
OG0001058	LOC109399531|XP_029724170.1|AEAL, LOC115254137|XP_029724585.1|AEAL	CG2556|NP_572805.1|DMEL
OG0001059	LOC109426376|XP_019557394.2|AEAL	Chd3|NP_649111.1|DMEL
OG0001060	LOC109405658|XP_019534272.1|AEAL	Arl6IP1|NP_650570.1|DMEL
OG0001073	LOC115267820|XP_029731081.1|AEAL, LOC109415486|XP_019544914.2|AEAL, LOC109402626|XP_029711922.1|AEAL, LOC109402627|XP_019530875.2|AEAL, LOC109415428|XP_029729800.1|AEAL, LOC115269640|XP_029734333.1|AEAL, LOC109402620|XP_029710631.1|AEAL, LOC109406617|XP_029708405.1|AEAL	Tl|NP_001262995.1|DMEL
OG0001074	LOC109403697|XP_019532090.2|AEAL, LOC115267914|XP_029731428.1|AEAL	Mp20|NP_001014522.2|DMEL
OG0001078	LOC115264182|XP_029723477.1|AEAL, LOC109411507|XP_019540591.1|AEAL, LOC109400580|XP_019528610.2|AEAL, LOC109404918|XP_019533415.2|AEAL	Cyp18a1|NP_728191.1|DMEL
OG0001079	LOC109410372|XP_019539467.2|AEAL, LOC109621707|XP_029726178.1|AEAL	pav|NP_477025.1|DMEL
OG0001080	LOC109622562|XP_029726246.1|AEAL, LOC109409585|XP_019538590.2|AEAL	Klp61F|NP_476818.1|DMEL
OG0001081	LOC109622423|XP_019932295.2|AEAL, LOC109419710|XP_019549526.2|AEAL, LOC109398194|XP_019526055.2|AEAL	CG4572|NP_650836.1|DMEL
OG0001082	LOC109399245|XP_019527227.2|AEAL	exu|NP_725995.1|DMEL
OG0001083	LOC109407765|XP_019536486.2|AEAL	mkg-p|NP_648219.1|DMEL
OG0001084	LOC109424102|XP_029736069.1|AEAL, LOC109397337|XP_029725752.1|AEAL, LOC109420256|XP_029725771.1|AEAL	chk|NP_001163063.1|DMEL
OG0001085	LOC109414723|XP_029725648.1|AEAL	Gp210|NP_610184.2|DMEL
OG0001086	LOC109408016|XP_019536778.2|AEAL, LOC109405149|XP_019533711.2|AEAL	gammaSnap2|NP_649980.1|DMEL, gammaSnap1|NP_477469.1|DMEL
OG0001087	LOC115270026|XP_029734800.1|AEAL, LOC109400725|XP_029734785.1|AEAL	cmet|NP_524993.3|DMEL, cana|NP_001027247.1|DMEL
OG0001088	LOC115263103|XP_029721877.1|AEAL, LOC115263115|XP_029721895.1|AEAL, LOC115263109|XP_029721883.1|AEAL, LOC109407426|XP_029721882.1|AEAL, LOC115263134|XP_029721913.1|AEAL, LOC109416571|XP_029721896.1|AEAL, LOC109407455|XP_029721897.1|AEAL, LOC109416717|XP_019546318.2|AEAL	CG13313|NP_648267.1|DMEL
OG0001089	LOC115260094|XP_029716823.1|AEAL, LOC115253512|XP_029721729.1|AEAL, LOC109422350|XP_019552623.1|AEAL	CG1316|NP_647887.1|DMEL
OG0001090	LOC109417188|XP_029735699.1|AEAL, LOC109403072|XP_029735785.1|AEAL, LOC109417186|XP_019546855.1|AEAL, LOC109403060|XP_019531341.2|AEAL, LOC115270379|XP_029735783.1|AEAL	Awh|NP_001261379.1|DMEL
OG0001092	LOC115256840|XP_029711720.1|AEAL	CG8117|NP_573049.2|DMEL
OG0001092	LOC109432899|XP_029711857.1|AEAL, LOC109401392|XP_029711689.1|AEAL	TfIIS|NP_476967.1|DMEL
OG0001093	LOC115255689|XP_029709649.1|AEAL, LOC115256844|XP_029711726.1|AEAL, LOC109401413|XP_019529510.2|AEAL, LOC109432909|XP_029711686.1|AEAL, LOC115255608|XP_029709560.1|AEAL, LOC109432911|XP_019564823.2|AEAL, LOC115255616|XP_029709563.1|AEAL, LOC109401418|XP_019529516.2|AEAL	l_2_34Fc|NP_609710.1|DMEL
OG0001094	LOC109411260|XP_029715429.1|AEAL	CG46301|NP_001334737.1|DMEL
OG0001095	LOC109400349|XP_019528393.2|AEAL, LOC109425168|XP_019555961.2|AEAL, LOC109425169|XP_019555962.2|AEAL, LOC109400327|XP_029724842.1|AEAL	CG7461|NP_611409.2|DMEL
OG0001096	LOC109419064|XP_029729383.1|AEAL	Irk3|NP_001137835.2|DMEL
OG0001097	LOC109430129|XP_019561705.2|AEAL	l_2_41Ab|NP_001104357.1|DMEL
OG0001099	LOC109410717|XP_019539784.2|AEAL, LOC109410888|XP_019539938.2|AEAL	AsnS|NP_996132.1|DMEL
OG0001100	LOC115253514|XP_029713236.1|AEAL, LOC115253664|XP_029713173.1|AEAL, LOC115253516|XP_029713150.1|AEAL, LOC109403404|XP_019531773.1|AEAL	CG40160|NP_001015213.3|DMEL
OG0001101	LOC109413581|XP_029721348.1|AEAL, LOC109401225|XP_029721397.1|AEAL	CG30460|NP_611186.2|DMEL
OG0001102	LOC115260338|XP_029717128.1|AEAL, LOC115262668|XP_029721131.1|AEAL, LOC115260337|XP_029717127.1|AEAL, LOC109427048|XP_029721143.1|AEAL, LOC109623359|XP_029721142.1|AEAL, LOC115254044|XP_029717123.1|AEAL	fz|NP_001261836.1|DMEL
OG0001103	LOC109400467|XP_019528553.2|AEAL, LOC109399676|XP_029709872.1|AEAL	Decay|NP_477462.1|DMEL
OG0001104	LOC109410655|XP_019539733.2|AEAL	Den1|NP_001163126.1|DMEL
OG0001105	LOC109433502|XP_019565483.1|AEAL	Sec61gamma|NP_608337.1|DMEL, CG8860|NP_610738.1|DMEL
OG0001106	LOC115268047|XP_029731820.1|AEAL, LOC109426030|XP_019557013.2|AEAL	pan|NP_726528.2|DMEL
OG0001118	LOC109405086|XP_019533629.2|AEAL	Rrp47|NP_573092.1|DMEL
OG0001119	LOC109432294|XP_029731051.1|AEAL, LOC115267805|XP_029730993.1|AEAL, LOC115257422|XP_029712864.1|AEAL, LOC109429947|XP_029712758.1|AEAL, LOC115257901|XP_029713739.1|AEAL, LOC115253994|XP_029713240.1|AEAL	scro|NP_001015473.1|DMEL
OG0001120	LOC109417417|XP_029720341.1|AEAL, LOC109417254|XP_019546912.2|AEAL	p53|NP_996267.1|DMEL
OG0001121	LOC109407731|XP_029726202.1|AEAL	CG30440|NP_610172.1|DMEL
OG0001122	LOC109413987|XP_029722586.1|AEAL, LOC109399190|XP_029726592.1|AEAL, LOC115263429|XP_029722579.1|AEAL	Aplip1|NP_728573.1|DMEL
OG0001124	LOC115265347|XP_029725891.1|AEAL, LOC109411808|XP_029725926.1|AEAL	MESK4|NP_525017.1|DMEL, CG31274|NP_732186.1|DMEL
OG0001125	LOC109410772|XP_029735056.1|AEAL, LOC109413498|XP_029735037.1|AEAL, LOC109410773|XP_019539847.2|AEAL, LOC115270118|XP_029735038.1|AEAL	MFS9|NP_650889.1|DMEL
OG0001127	LOC109621888|XP_019931640.2|AEAL, LOC115264385|XP_029723890.1|AEAL, LOC115268238|XP_029732151.1|AEAL	obst-G|NP_648529.1|DMEL
OG0001128	LOC115266684|XP_029729067.1|AEAL, LOC109416688|XP_029729068.1|AEAL, LOC115266601|XP_029728908.1|AEAL, LOC109416502|XP_029728895.1|AEAL, LOC109397551|XP_029714755.1|AEAL, LOC109622814|XP_029714606.1|AEAL	dpr13|NP_001033956.2|DMEL
OG0001129	LOC109428271|XP_029728520.1|AEAL, LOC109427952|XP_029728323.1|AEAL	CG9044|NP_001260114.1|DMEL
OG0001131	LOC109429432|XP_029724808.1|AEAL, LOC109425149|XP_029724806.1|AEAL, LOC109425152|XP_019555932.2|AEAL	gw|NP_726596.1|DMEL
OG0001133	LOC109397492|XP_029708982.1|AEAL, LOC115253723|XP_029708997.1|AEAL, LOC115255215|XP_029709017.1|AEAL, LOC109419916|XP_029708969.1|AEAL	spir|NP_724254.1|DMEL
OG0001134	LOC109419129|XP_029722343.1|AEAL, LOC115259937|XP_029716596.1|AEAL	hrg|NP_001261097.1|DMEL
OG0001135	LOC109399742|XP_019527803.2|AEAL, LOC109402037|XP_019530186.2|AEAL	CG3061|NP_650328.1|DMEL
OG0001136	LOC109409584|XP_029732462.1|AEAL, LOC115268460|XP_029732317.1|AEAL, LOC115268457|XP_029732304.1|AEAL	pum|NP_731314.1|DMEL
OG0001137	LOC109406162|XP_019534775.1|AEAL, LOC109401796|XP_019529955.1|AEAL	CG11693|NP_001246985.1|DMEL
OG0001138	LOC109397776|XP_029712084.1|AEAL	galene|NP_612084.1|DMEL
OG0001139	LOC109412044|XP_019541231.2|AEAL	CG11263|NP_648618.1|DMEL
OG0001153	LOC115256680|XP_029711441.1|AEAL, LOC115256405|XP_029710746.1|AEAL, LOC109427540|XP_019558650.2|AEAL	TBPH|NP_477400.1|DMEL, cocoon|NP_648764.1|DMEL
OG0001154	LOC109407226|XP_029715238.1|AEAL	Ndf|NP_001188767.1|DMEL
OG0001155	LOC115256383|XP_029710639.1|AEAL	Pat1|NP_572328.1|DMEL
OG0001157	LOC109431516|XP_029717886.1|AEAL	Ace|NP_476953.1|DMEL
OG0001158	LOC109423923|XP_029727260.1|AEAL, LOC109404799|XP_029727300.1|AEAL	cl|NP_608930.1|DMEL
OG0001159	LOC109431943|XP_029712536.1|AEAL	Ptp99A|NP_651691.4|DMEL
OG0001160	LOC109400071|XP_029707703.1|AEAL, LOC109621624|XP_029707671.1|AEAL	CG2767|NP_649757.1|DMEL
OG0001161	LOC115254369|XP_029707719.1|AEAL, LOC115253583|XP_029707712.1|AEAL, LOC109400045|XP_029707645.1|AEAL	rdx|NP_650326.3|DMEL
OG0001162	LOC109623099|XP_029710000.1|AEAL, LOC115255934|XP_029710012.1|AEAL, LOC109416877|XP_029709999.1|AEAL	by|NP_649901.1|DMEL
OG0001164	LOC115267183|XP_029729911.1|AEAL, LOC109405410|XP_029712594.1|AEAL	CG13408|NP_651007.1|DMEL
OG0001165	LOC109405429|XP_019534039.2|AEAL	yellow-d|NP_523820.2|DMEL
OG0001167	LOC115255807|XP_029709842.1|AEAL, LOC109419700|XP_029733501.1|AEAL	CG12911|NP_001286280.1|DMEL
OG0001168	LOC109417813|XP_029725483.1|AEAL	CG5726|NP_611304.1|DMEL
OG0001169	LOC109408420|XP_029732437.1|AEAL, LOC109413933|XP_029711888.1|AEAL, LOC109622074|XP_019931859.2|AEAL	CG5162|NP_573202.1|DMEL
OG0001170	LOC115263120|XP_029721900.1|AEAL, LOC115263304|XP_029722372.1|AEAL, LOC115263051|XP_029721840.1|AEAL, LOC115263048|XP_029721836.1|AEAL, LOC115263052|XP_029721841.1|AEAL, LOC115263049|XP_029721837.1|AEAL	CG17083|NP_651139.1|DMEL
OG0001171	LOC109407435|XP_029729637.1|AEAL, LOC115263136|XP_029721917.1|AEAL, LOC109416468|XP_029722351.1|AEAL, LOC115263279|XP_029722277.1|AEAL, LOC115263132|XP_029721911.1|AEAL	Fhos|NP_001261599.1|DMEL
OG0001172	LOC109399467|XP_019527449.2|AEAL, LOC109398011|XP_019525891.2|AEAL	clt|NP_536784.1|DMEL
OG0001173	LOC109414269|XP_019543634.2|AEAL	CG11550|NP_651882.1|DMEL
OG0001174	LOC115266579|XP_029728830.1|AEAL, LOC109411127|XP_019540126.1|AEAL	CG8219|NP_648038.1|DMEL, Tnpo|NP_477368.1|DMEL
OG0001175	LOC109421575|XP_029728219.1|AEAL, LOC109407055|XP_029728223.1|AEAL	P32|NP_611243.1|DMEL
OG0001176	LOC109428218|XP_019559461.2|AEAL, LOC115263988|XP_029723149.1|AEAL, LOC115263993|XP_029723154.1|AEAL, LOC109427899|XP_019559052.2|AEAL	tej|NP_610950.2|DMEL
OG0001177	LOC109411712|XP_029720229.1|AEAL	dl|NP_724054.1|DMEL
OG0001178	LOC109419741|XP_029708593.1|AEAL	Cib2|NP_611523.3|DMEL
OG0001179	LOC109427566|XP_019558681.2|AEAL	qvr|NP_001137646.1|DMEL
OG0001180	LOC115262179|XP_029720337.1|AEAL, LOC109411694|XP_029720243.1|AEAL	Crk|NP_651908.1|DMEL
OG0001181	LOC109414185|XP_019543512.1|AEAL	FucTA|NP_648754.2|DMEL
OG0001182	LOC109401498|XP_029725010.1|AEAL, LOC109431750|XP_029724953.1|AEAL, LOC109401450|XP_029725022.1|AEAL, LOC109431749|XP_029724962.1|AEAL	Irk2|NP_001287485.1|DMEL
OG0001183	LOC109405001|XP_029727177.1|AEAL	Jupiter|NP_731599.1|DMEL
OG0001185	LOC115253642|XP_029727783.1|AEAL, LOC109404402|XP_029727818.1|AEAL, LOC115266086|XP_029727861.1|AEAL, LOC109431900|XP_029727798.1|AEAL	Tm1|NP_732006.2|DMEL
OG0001186	LOC109399376|XP_019527360.2|AEAL	Taf7|NP_649748.1|DMEL
OG0001187	LOC115257587|XP_029713229.1|AEAL, LOC109433191|XP_019565143.2|AEAL, LOC115266883|XP_029729344.1|AEAL, LOC109402294|XP_019530494.2|AEAL, LOC109433212|XP_019565161.2|AEAL, LOC115260075|XP_029716808.1|AEAL, LOC115257563|XP_029713195.1|AEAL	CG10151|NP_001137670.1|DMEL
OG0001188	LOC109424429|XP_019555078.2|AEAL, LOC115264559|XP_029724238.1|AEAL	CG8785|NP_610804.1|DMEL
OG0001189	LOC109418659|XP_019548423.2|AEAL, LOC115267997|XP_029731736.1|AEAL, LOC115269466|XP_029734106.1|AEAL	CG9896|NP_611745.1|DMEL
OG0001190	LOC109414799|XP_029719560.1|AEAL, LOC109418646|XP_029719561.1|AEAL, LOC109414798|XP_029736448.1|AEAL	CG17167|NP_001015257.2|DMEL
OG0001191	LOC109418615|XP_019548365.1|AEAL, LOC109410097|XP_029713357.1|AEAL, LOC109410100|XP_029733006.1|AEAL, LOC109418612|XP_029712964.1|AEAL, LOC115257655|XP_029713355.1|AEAL	borr|NP_723450.1|DMEL
OG0001192	LOC115262769|XP_029721486.1|AEAL, LOC109431053|XP_029721481.1|AEAL	CG17376|NP_001285690.1|DMEL, CG17377|NP_723220.2|DMEL
OG0001193	LOC115254884|XP_029708431.1|AEAL, LOC109399105|XP_029731134.1|AEAL, LOC109399566|XP_029727176.1|AEAL	RpS20|NP_524421.1|DMEL
OG0001194	LOC109399560|XP_029731199.1|AEAL	CG3176|NP_569842.1|DMEL, CG32817|NP_726668.1|DMEL, CG13373|NP_001096858.1|DMEL
OG0001195	LOC109421162|XP_019551201.2|AEAL, LOC109410562|XP_019539638.2|AEAL	CG30371|NP_610370.1|DMEL
OG0001201	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL	tobi|NP_651391.1|DMEL
OG0001202	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL	FucTC|NP_001036320.3|DMEL
OG0001203	LOC109424988|XP_029711078.1|AEAL, LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL	toy|NP_001368990.1|DMEL
OG0001204	LOC109408950|XP_019537895.2|AEAL	DNApol-gamma35|NP_001027262.1|DMEL
OG0001206	LOC109422192|XP_029710557.1|AEAL	Stat92E|NP_001262760.1|DMEL
OG0001207	LOC109416871|XP_019546517.1|AEAL	Trf2|NP_001096905.1|DMEL
OG0001208	LOC109422014|XP_029711117.1|AEAL, LOC115256582|XP_029711220.1|AEAL	Cht6|NP_001245598.1|DMEL
OG0001209	LOC109622458|XP_029711425.1|AEAL, LOC115258387|XP_029714337.1|AEAL, LOC109427462|XP_029707763.1|AEAL, LOC115258388|XP_029714338.1|AEAL, LOC109427463|XP_029708095.1|AEAL, LOC109427451|XP_029710821.1|AEAL	beat-Vc|NP_001356887.1|DMEL
OG0001210	LOC109425391|XP_029717696.1|AEAL, LOC115261678|XP_029719427.1|AEAL, LOC109418683|XP_019548443.1|AEAL, LOC109415912|XP_029717657.1|AEAL, LOC109412955|XP_029717701.1|AEAL, LOC115261681|XP_029719430.1|AEAL	NetA|NP_511154.3|DMEL
OG0001212	LOC109412731|XP_019541898.2|AEAL, LOC109411856|XP_019541019.2|AEAL, LOC115259469|XP_029715906.1|AEAL, LOC109413157|XP_029711334.1|AEAL	CtsB1|NP_572920.1|DMEL
OG0001213	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL, LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL	Pxt|NP_650648.3|DMEL
OG0001214	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL	Nup133|NP_651080.2|DMEL
OG0001215	LOC109423631|XP_019554162.2|AEAL, LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL	CG1213|NP_649599.1|DMEL
OG0001216	LOC109423629|XP_029723325.1|AEAL, LOC109400267|XP_029723331.1|AEAL, LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL	Meltrin|NP_001027575.1|DMEL
OG0001217	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL	Ir40a|NP_610140.4|DMEL
OG0001218	LOC109403864|XP_029723879.1|AEAL	bb8|NP_651140.1|DMEL
OG0001220	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL, LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL	Gadd45|NP_610264.1|DMEL
OG0001221	LOC109399239|XP_019527222.2|AEAL, LOC109429051|XP_029726541.1|AEAL, LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL	CG11159|NP_611505.1|DMEL
OG0001223	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL	CG3107|NP_001036470.1|DMEL
OG0001224	LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL	Sod2|NP_476925.1|DMEL
OG0001225	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL, LOC109423816|XP_019554406.2|AEAL, LOC109430634|XP_029735433.1|AEAL	Aldh-III|NP_724562.2|DMEL
OG0001226	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL	Fpps|NP_477380.1|DMEL
OG0001227	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL	Gr28b|NP_995642.1|DMEL
OG0001228	LOC109397760|XP_019525619.2|AEAL, LOC109428818|XP_019560210.2|AEAL, LOC115269394|XP_029733932.1|AEAL, LOC115258127|XP_029714026.1|AEAL	CG8952|NP_573072.1|DMEL
OG0001229	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL	CG41520|NP_001104019.1|DMEL
OG0001230	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL	CG8060|NP_611117.2|DMEL
OG0001231	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL	Tif-IA|NP_788084.1|DMEL
OG0001232	LOC109421237|XP_019551265.2|AEAL	CG12560|NP_609173.2|DMEL
OG0001233	LOC109432481|XP_029726919.1|AEAL, LOC109421338|XP_029727063.1|AEAL	CG46025|NP_001303313.1|DMEL
OG0001234	LOC109402517|XP_019530753.2|AEAL	Prosbeta1|NP_652031.2|DMEL
OG0001235	LOC109411688|XP_019540801.2|AEAL, LOC115262177|XP_029720326.1|AEAL, LOC109404615|XP_019533064.2|AEAL, LOC109411681|XP_029720322.1|AEAL	nAChRbeta3|NP_525098.1|DMEL
OG0001236	LOC109414181|XP_029712491.1|AEAL	Spn77Ba|NP_649205.3|DMEL
OG0001237	LOC109426266|XP_029707813.1|AEAL, LOC109421720|XP_029714000.1|AEAL	CG4538|NP_001287413.1|DMEL
OG0001238	LOC109413694|XP_029727320.1|AEAL	gro|NP_996298.1|DMEL
OG0001239	LOC115264738|XP_029724628.1|AEAL, LOC109409112|XP_029730294.1|AEAL, LOC109401658|XP_019529779.2|AEAL, LOC109420361|XP_019550234.2|AEAL	NijC|NP_001097762.1|DMEL
OG0001240	LOC109405745|XP_029710923.1|AEAL	CG6142|NP_651466.1|DMEL
OG0001241	LOC109422597|XP_029712274.1|AEAL, LOC109402813|XP_029712227.1|AEAL	CG8501|NP_610771.2|DMEL
OG0001242	LOC109403313|XP_029718610.1|AEAL, LOC109412243|XP_019541430.1|AEAL	Pp4-19C|NP_524803.1|DMEL
OG0001244	LOC115267025|XP_029729659.1|AEAL, LOC109432004|XP_029724278.1|AEAL, LOC115267091|XP_029729808.1|AEAL, LOC109399824|XP_029729811.1|AEAL	CG7886|NP_650378.1|DMEL
OG0001245	LOC115262829|XP_029721582.1|AEAL, LOC109425844|XP_029721583.1|AEAL, LOC115262612|XP_029720867.1|AEAL, LOC115262767|XP_029721474.1|AEAL	Ir92a|NP_001097845.2|DMEL
OG0001246	LOC109426479|XP_019557543.2|AEAL, LOC109426478|XP_019557542.2|AEAL, LOC109408978|XP_019537917.2|AEAL	Fmo-1|NP_611859.1|DMEL
OG0001247	LOC109433490|XP_029710256.1|AEAL, LOC109410662|XP_029731649.1|AEAL	p120ctn|NP_001036444.1|DMEL
OG0001248	LOC109425899|XP_019556819.2|AEAL	GNBP3|NP_523986.2|DMEL
OG0001249	LOC115270971|XP_029736208.1|AEAL, LOC109407549|XP_019536161.2|AEAL, LOC109425808|XP_029736205.1|AEAL	CG1894|NP_651620.1|DMEL, mof|NP_511051.1|DMEL
OG0001257	LOC109424983|XP_029711672.1|AEAL, LOC109431126|XP_029730261.1|AEAL	unc-13|NP_001245427.1|DMEL
OG0001258	LOC115260011|XP_029716705.1|AEAL, LOC109422191|XP_019552379.2|AEAL, LOC109428477|XP_019559796.1|AEAL	Ctr1B|NP_649790.1|DMEL
OG0001259	LOC109398767|XP_019526709.2|AEAL, LOC109623360|XP_019933464.2|AEAL, LOC109401178|XP_019529200.2|AEAL	Klp3A|NP_525053.1|DMEL
OG0001260	LOC115256411|XP_029710765.1|AEAL, LOC109427544|XP_019558657.2|AEAL, LOC115256617|XP_029711299.1|AEAL, LOC115256594|XP_029711260.1|AEAL, LOC115269374|XP_029733906.1|AEAL, LOC109427545|XP_019558658.1|AEAL	CAH7|NP_649979.1|DMEL
OG0001261	LOC109422119|XP_019552298.1|AEAL	Ntf-2r|NP_609878.1|DMEL, Ntf-2|NP_608422.1|DMEL
OG0001263	LOC109415630|XP_029730267.1|AEAL	CycB3|NP_651303.2|DMEL
OG0001264	LOC115266784|XP_029729217.1|AEAL, LOC109433564|XP_029729246.1|AEAL, LOC109430179|XP_029729242.1|AEAL, LOC109421814|XP_029717586.1|AEAL, LOC115253729|XP_029717522.1|AEAL	CG10019|NP_001368961.1|DMEL
OG0001265	LOC109431460|XP_019563208.2|AEAL	prage|NP_001188528.1|DMEL
OG0001266	LOC115263718|XP_029722829.1|AEAL, LOC109425434|XP_019556248.2|AEAL, LOC109432218|XP_029722814.1|AEAL	rad50|NP_001246461.1|DMEL
OG0001267	LOC115263657|XP_029722722.1|AEAL, LOC109400103|XP_029722959.1|AEAL, LOC115253611|XP_029722954.1|AEAL, LOC109621581|XP_029730493.1|AEAL, LOC109430341|XP_019561943.2|AEAL	CG7084|NP_651016.1|DMEL
OG0001269	LOC109429328|XP_019560777.2|AEAL, LOC109401040|XP_019529067.2|AEAL	wal|NP_476975.1|DMEL
OG0001270	LOC109424426|XP_019555076.2|AEAL, LOC109426294|XP_029721529.1|AEAL, LOC115253683|XP_029714169.1|AEAL, LOC115269325|XP_029733802.1|AEAL, LOC109415279|XP_019544701.2|AEAL	CG2926|NP_649554.1|DMEL
OG0001271	LOC109423271|XP_019553748.2|AEAL, LOC109423269|XP_019553746.2|AEAL	CG12920|NP_610550.1|DMEL
OG0001272	LOC109402588|XP_019530832.2|AEAL	mu2|NP_523887.2|DMEL
OG0001273	LOC109406565|XP_019535205.2|AEAL, LOC115265703|XP_029727526.1|AEAL, LOC109415843|XP_019545328.2|AEAL, LOC109418743|XP_029715739.1|AEAL, LOC109415844|XP_019545329.1|AEAL	Eh|NP_524386.1|DMEL
OG0001274	LOC115269683|XP_029734372.1|AEAL, LOC109404909|XP_029734943.1|AEAL, LOC115270107|XP_029734980.1|AEAL, LOC109400595|XP_019528628.2|AEAL, LOC115270106|XP_029734979.1|AEAL	Cyp305a1|NP_649151.1|DMEL
OG0001276	LOC109425655|XP_029734743.1|AEAL	Mul1|NP_647847.1|DMEL
OG0001277	LOC109423359|XP_029725090.1|AEAL, LOC109401474|XP_029721727.1|AEAL	Or63a|NP_523895.2|DMEL
OG0001278	LOC115268895|XP_029732944.1|AEAL, LOC109403769|XP_029722460.1|AEAL	Prps|NP_729528.2|DMEL
