Orthogroup	AEAL.longest_only	DSUB.longest_only
OG0001443	LOC109430354|XP_029733144.1|AEAL, LOC109412433|XP_029722931.1|AEAL, LOC109412431|XP_029733142.1|AEAL, LOC109430325|XP_029722928.1|AEAL	LOC117896138|XP_034660098.1|DSUB
OG0001444	LOC109432153|XP_019564006.2|AEAL, LOC109430270|XP_029712970.1|AEAL	LOC117897118|XP_034661661.1|DSUB
OG0001445	LOC109411874|XP_019541044.2|AEAL	LOC117891243|XP_034652480.1|DSUB, LOC117897937|XP_034662918.1|DSUB
OG0001446	LOC109403589|XP_029714036.1|AEAL, LOC109414751|XP_029730147.1|AEAL, LOC109425341|XP_019556135.2|AEAL	LOC117896614|XP_034660939.1|DSUB
OG0001447	LOC109421116|XP_019551143.2|AEAL	LOC117898380|XP_034663615.1|DSUB
OG0001448	LOC109421124|XP_019551164.2|AEAL, LOC115254737|XP_029708274.1|AEAL	LOC117899559|XP_034665542.1|DSUB
OG0001449	LOC109423544|XP_019554076.2|AEAL	LOC117890356|XP_034651041.1|DSUB
OG0001450	LOC109622496|XP_029726338.1|AEAL	LOC117902675|XP_034670096.1|DSUB
OG0001451	LOC115265630|XP_029727357.1|AEAL, LOC109410479|XP_019539586.1|AEAL, LOC109622431|XP_019932313.1|AEAL	LOC117890625|XP_034651463.1|DSUB
OG0001452	LOC109423306|XP_029726453.1|AEAL	LOC117890385|XP_034651077.1|DSUB, LOC117890384|XP_034651076.1|DSUB
OG0001453	LOC109413963|XP_029726579.1|AEAL, LOC109413964|XP_029726580.1|AEAL	LOC117893475|XP_034655989.1|DSUB
OG0001454	LOC109400979|XP_019528992.2|AEAL, LOC109408241|XP_019537055.2|AEAL, LOC109418111|XP_029726752.1|AEAL	LOC117896877|XP_034661296.1|DSUB
OG0001455	LOC109413252|XP_029726755.1|AEAL, LOC115265499|XP_029726757.1|AEAL	LOC117894075|XP_034656827.1|DSUB, LOC117893639|XP_034656217.1|DSUB
OG0001456	LOC109398403|XP_029733496.1|AEAL	LOC117892340|XP_034654385.1|DSUB
OG0001457	LOC109419688|XP_019549483.2|AEAL	LOC117891098|XP_034652174.1|DSUB
OG0001458	LOC109420199|XP_029725839.1|AEAL, LOC109409995|XP_019539069.2|AEAL, LOC109419645|XP_029725842.1|AEAL	LOC117891572|XP_034652985.1|DSUB
OG0001459	LOC115265573|XP_029727067.1|AEAL, LOC109409187|XP_029727119.1|AEAL, LOC109420247|XP_029728087.1|AEAL, LOC109397319|XP_029725761.1|AEAL	LOC117894577|XP_034657609.1|DSUB
OG0001460	LOC109426691|XP_029725535.1|AEAL, LOC109417792|XP_029725504.1|AEAL	LOC117891972|XP_034653735.1|DSUB
OG0001461	LOC109426816|XP_029725425.1|AEAL, LOC109417857|XP_019547578.2|AEAL	LOC117894609|XP_034657654.1|DSUB, LOC117895173|XP_034658527.1|DSUB
OG0001462	LOC109407918|XP_029732356.1|AEAL, LOC109412020|XP_019541241.2|AEAL, LOC115268481|XP_029732354.1|AEAL, LOC109407917|XP_019536647.2|AEAL, LOC109411870|XP_019541069.1|AEAL	LOC117893099|XP_034655422.1|DSUB
OG0001464	LOC109400654|XP_029734856.1|AEAL, LOC109399415|XP_029733639.1|AEAL	LOC117891597|XP_034653023.1|DSUB
OG0001465	LOC109422596|XP_019552950.2|AEAL, LOC115261757|XP_029719503.1|AEAL	LOC117891949|XP_034653695.1|DSUB
OG0001466	LOC115253612|XP_029712065.1|AEAL, LOC109422848|XP_029708309.1|AEAL, LOC115256964|XP_029712035.1|AEAL, LOC115256980|XP_029712063.1|AEAL	LOC117901653|XP_034668380.1|DSUB
OG0001467	LOC109418475|XP_029713246.1|AEAL, LOC109622622|XP_019932581.2|AEAL, LOC115263316|XP_029722430.1|AEAL, LOC109415879|XP_029712528.1|AEAL	LOC117901534|XP_034668215.1|DSUB
OG0001468	LOC109430819|XP_019562448.2|AEAL, LOC115263200|XP_029722038.1|AEAL	LOC117894733|XP_034657820.1|DSUB
OG0001470	LOC109408681|XP_029735701.1|AEAL, LOC115270390|XP_029735809.1|AEAL	LOC117894710|XP_034657782.1|DSUB
OG0001471	LOC115253613|XP_029713927.1|AEAL, LOC115263499|XP_029722597.1|AEAL, LOC109428702|XP_029735587.1|AEAL, LOC109424279|XP_029735620.1|AEAL	LOC117894182|XP_034656978.1|DSUB
OG0001472	LOC109423871|XP_019554459.1|AEAL	LOC117903261|XP_034671055.1|DSUB, LOC117894040|XP_034656780.1|DSUB
OG0001473	LOC115270192|XP_029735298.1|AEAL, LOC109408595|XP_029735318.1|AEAL, LOC109423828|XP_019554414.2|AEAL, LOC115269857|XP_029734503.1|AEAL, LOC115269617|XP_029734307.1|AEAL	LOC117898645|XP_034664097.1|DSUB
OG0001474	LOC109407040|XP_029729020.1|AEAL	LOC117903264|XP_034671061.1|DSUB, LOC117891139|XP_034652239.1|DSUB
OG0001475	LOC109403692|XP_029709907.1|AEAL	LOC117891182|XP_034652399.1|DSUB, LOC117891183|XP_034652400.1|DSUB
OG0001476	LOC109414433|XP_029728117.1|AEAL, LOC109622251|XP_029728120.1|AEAL, LOC115266336|XP_029728301.1|AEAL	LOC117889780|XP_034650136.1|DSUB
OG0001477	LOC115263987|XP_029723148.1|AEAL, LOC109427898|XP_029723157.1|AEAL, LOC109428217|XP_019559460.2|AEAL	LOC117897720|XP_034662636.1|DSUB
OG0001478	LOC109424450|XP_019555137.2|AEAL, LOC115258689|XP_029714876.1|AEAL, LOC109424474|XP_029715698.1|AEAL	LOC117902477|XP_034669777.1|DSUB
OG0001479	LOC115258549|XP_029714561.1|AEAL, LOC109622895|XP_019932909.1|AEAL	LOC117900242|XP_034666425.1|DSUB
OG0001480	LOC109412011|XP_019541200.1|AEAL, LOC109407916|XP_019536650.2|AEAL	LOC117902474|XP_034669773.1|DSUB
OG0001481	LOC109420446|XP_019550339.1|AEAL	LOC117902652|XP_034670069.1|DSUB
OG0001482	LOC109419041|XP_029729424.1|AEAL, LOC109408159|XP_019536937.2|AEAL	LOC117891261|XP_034652525.1|DSUB
OG0001483	LOC109409255|XP_019538216.2|AEAL	LOC117902183|XP_034669247.1|DSUB
OG0001484	LOC109407146|XP_019535690.2|AEAL, LOC109417136|XP_019546804.2|AEAL, LOC109417138|XP_029714454.1|AEAL, LOC115258522|XP_029714516.1|AEAL, LOC109417139|XP_019546808.2|AEAL, LOC115258481|XP_029714456.1|AEAL	LOC117900371|XP_034666612.1|DSUB
OG0001485	LOC115255446|XP_029709435.1|AEAL, LOC109420666|XP_029729847.1|AEAL, LOC115255102|XP_029708756.1|AEAL	LOC117894670|XP_034657739.1|DSUB
OG0001486	LOC109430162|XP_019561750.2|AEAL	LOC117900841|XP_034667244.1|DSUB
OG0001487	LOC115253726|XP_029725360.1|AEAL, LOC109416262|XP_029727376.1|AEAL	LOC117900529|XP_034666819.1|DSUB
OG0001488	LOC109421621|XP_029727645.1|AEAL, LOC109409219|XP_019538188.2|AEAL, LOC115265844|XP_029727650.1|AEAL	LOC117890602|XP_034651432.1|DSUB
OG0001489	LOC109429600|XP_029720073.1|AEAL, LOC109408563|XP_029719959.1|AEAL	LOC117901252|XP_034667823.1|DSUB
OG0001490	LOC109408543|XP_019537410.1|AEAL, LOC109429596|XP_019561131.1|AEAL, LOC109415098|XP_019544506.1|AEAL, LOC109403000|XP_019531258.1|AEAL, LOC115261832|XP_029719602.1|AEAL, LOC109415097|XP_019544504.1|AEAL	LOC117900228|XP_034666404.1|DSUB
OG0001491	LOC109429880|XP_019561410.1|AEAL	LOC117902809|XP_034670323.1|DSUB
OG0001492	LOC109420451|XP_019550346.2|AEAL	LOC117900677|XP_034667013.1|DSUB
OG0001493	LOC109621647|XP_019931315.2|AEAL, LOC109426353|XP_019557359.1|AEAL	LOC117898401|XP_034663653.1|DSUB, LOC117898574|XP_034663982.1|DSUB
OG0001494	LOC109428614|XP_019559985.2|AEAL, LOC109421685|XP_029732752.1|AEAL, LOC109428015|XP_029732731.1|AEAL	LOC117891814|XP_034653420.1|DSUB
OG0001495	LOC115271112|XP_029736458.1|AEAL, LOC109399701|XP_019527756.2|AEAL, LOC109402040|XP_029723010.1|AEAL, LOC115253647|XP_029723083.1|AEAL	LOC117892726|XP_034655040.1|DSUB
OG0001496	LOC109400853|XP_019528882.1|AEAL, LOC115267716|XP_029730745.1|AEAL	LOC117903379|XP_034671240.1|DSUB
OG0001497	LOC109401059|XP_019529088.2|AEAL, LOC115270287|XP_029735476.1|AEAL, LOC109408417|XP_019537279.2|AEAL, LOC115254248|XP_029735007.1|AEAL	LOC117891137|XP_034652236.1|DSUB
OG0001500	LOC109398955|XP_019526952.2|AEAL	LOC117892233|XP_034654228.1|DSUB, LOC117892232|XP_034654226.1|DSUB
OG0001501	LOC109429204|XP_029718759.1|AEAL, LOC109398876|XP_029733854.1|AEAL	LOC117899270|XP_034665059.1|DSUB
OG0001502	LOC109427265|XP_029718947.1|AEAL, LOC109411631|XP_019540737.2|AEAL	LOC117891487|XP_034652859.1|DSUB
OG0001503	LOC109400635|XP_019528669.2|AEAL	LOC117891931|XP_034653657.1|DSUB
OG0001506	LOC109422324|XP_019552558.1|AEAL	LOC117891934|XP_034653667.1|DSUB
OG0001507	LOC109418584|XP_029712914.1|AEAL, LOC109417164|XP_029713533.1|AEAL, LOC115253576|XP_029713071.1|AEAL, LOC109410103|XP_029731353.1|AEAL	LOC117890879|XP_034651863.1|DSUB
OG0001508	LOC109431051|XP_029721515.1|AEAL, LOC109411570|XP_029721518.1|AEAL	LOC117890404|XP_034651105.1|DSUB
OG0001509	LOC115262741|XP_029721376.1|AEAL, LOC115262720|XP_029721269.1|AEAL, LOC109413623|XP_029721350.1|AEAL, LOC109401297|XP_029721354.1|AEAL, LOC115262821|XP_029721574.1|AEAL	LOC117889997|XP_034650474.1|DSUB
OG0001510	LOC109424709|XP_019555409.1|AEAL	LOC117901448|XP_034668084.1|DSUB
OG0001511	LOC115258394|XP_029714347.1|AEAL, LOC109412053|XP_019541243.2|AEAL	LOC117890645|XP_034651488.1|DSUB
OG0001512	LOC109407671|XP_019536370.2|AEAL, LOC109425940|XP_019556891.1|AEAL	LOC117894835|XP_034657974.1|DSUB
OG0001513	LOC109425937|XP_029731885.1|AEAL, LOC109407616|XP_029731957.1|AEAL	LOC117893187|XP_034655588.1|DSUB
OG0001515	LOC109424072|XP_029736229.1|AEAL	LOC117903350|XP_034671192.1|DSUB, LOC117898275|XP_034663421.1|DSUB
OG0001534	LOC109406973|XP_029711461.1|AEAL, LOC109397845|XP_029708045.1|AEAL	LOC117902737|XP_034670225.1|DSUB
OG0001535	LOC115262319|XP_029720579.1|AEAL	LOC117903488|XP_034671446.1|DSUB
OG0001536	LOC109427471|XP_029711546.1|AEAL, LOC115269370|XP_029733898.1|AEAL, LOC109427473|XP_029711002.1|AEAL, LOC115253659|XP_029710748.1|AEAL, LOC115253538|XP_029733910.1|AEAL, LOC109427541|XP_029711444.1|AEAL	LOC117891715|XP_034653203.1|DSUB
OG0001537	LOC109422124|XP_019552302.1|AEAL	LOC117902482|XP_034669784.1|DSUB, LOC117900716|XP_034667071.1|DSUB, LOC117901961|XP_034668832.1|DSUB
OG0001538	LOC109409457|XP_029713919.1|AEAL, LOC109415318|XP_029713921.1|AEAL, LOC115256851|XP_029711751.1|AEAL	LOC117903735|XP_034671984.1|DSUB
OG0001539	LOC115256829|XP_029711671.1|AEAL, LOC109409459|XP_019538447.2|AEAL	LOC117891047|XP_034652108.1|DSUB
OG0001541	LOC109432987|XP_029714335.1|AEAL	LOC117893218|XP_034655643.1|DSUB
OG0001542	LOC109432944|XP_029714329.1|AEAL, LOC115269571|XP_029734248.1|AEAL, LOC109397712|XP_029716564.1|AEAL	LOC117897389|XP_034662089.1|DSUB
OG0001545	LOC109427791|XP_029729833.1|AEAL, LOC109406902|XP_019535453.2|AEAL	LOC117890747|XP_034651697.1|DSUB
OG0001546	LOC115260715|XP_029717799.1|AEAL, LOC109427786|XP_029729830.1|AEAL, LOC115267137|XP_029729838.1|AEAL, LOC115267133|XP_029729831.1|AEAL	LOC117890738|XP_034651685.1|DSUB
OG0001547	LOC109427728|XP_029716999.1|AEAL, LOC109431385|XP_029717824.1|AEAL	LOC117903411|XP_034671306.1|DSUB
OG0001548	LOC109431598|XP_019563381.1|AEAL	LOC117900396|XP_034666641.1|DSUB, LOC117895482|XP_034659058.1|DSUB
OG0001549	LOC109402113|XP_019530282.2|AEAL, LOC109430926|XP_019562584.2|AEAL, LOC109412105|XP_029733708.1|AEAL, LOC109429391|XP_029729535.1|AEAL	LOC117902575|XP_034669944.1|DSUB
OG0001551	LOC115263679|XP_029722750.1|AEAL, LOC109397268|XP_029722745.1|AEAL, LOC115263681|XP_029722757.1|AEAL, LOC109423221|XP_029712009.1|AEAL	LOC117895967|XP_034659812.1|DSUB
OG0001552	LOC109432145|XP_019563994.2|AEAL	LOC117898270|XP_034663416.1|DSUB
OG0001553	LOC109404451|XP_029719047.1|AEAL, LOC109406334|XP_029719131.1|AEAL	LOC117903035|XP_034670656.1|DSUB
OG0001554	LOC109408861|XP_029708342.1|AEAL, LOC109430398|XP_029722982.1|AEAL, LOC115254802|XP_029708343.1|AEAL	LOC117897250|XP_034661864.1|DSUB
OG0001555	LOC109419749|XP_029708619.1|AEAL, LOC109410077|XP_029712726.1|AEAL, LOC109430219|XP_029712739.1|AEAL	LOC117902236|XP_034669370.1|DSUB
OG0001556	LOC109405167|XP_019533732.2|AEAL	LOC117890875|XP_034651858.1|DSUB
OG0001557	LOC109402353|XP_019530567.2|AEAL, LOC109416919|XP_029715829.1|AEAL, LOC109424039|XP_029733671.1|AEAL, LOC115253440|XP_029727687.1|AEAL, LOC115266033|XP_029727695.1|AEAL	LOC117903857|XP_034672228.1|DSUB
OG0001558	LOC109402361|XP_019530572.2|AEAL, LOC109416954|XP_029716316.1|AEAL	LOC117892157|XP_034654113.1|DSUB
OG0001559	LOC115254037|XP_029715998.1|AEAL, LOC115260406|XP_029717220.1|AEAL, LOC109425509|XP_029716263.1|AEAL, LOC115259442|XP_029715876.1|AEAL, LOC115259446|XP_029715880.1|AEAL	LOC117897583|XP_034662428.1|DSUB
OG0001560	LOC109425486|XP_029715755.1|AEAL, LOC109398989|XP_029732546.1|AEAL	LOC117899756|XP_034665898.1|DSUB
OG0001561	LOC109429292|XP_029716173.1|AEAL, LOC115259577|XP_029716152.1|AEAL, LOC109398222|XP_029716249.1|AEAL	LOC117899387|XP_034665260.1|DSUB
OG0001562	LOC115270143|XP_029735109.1|AEAL, LOC109408085|XP_019536849.2|AEAL	LOC117902611|XP_034670014.1|DSUB
OG0001564	LOC109414942|XP_029715984.1|AEAL	LOC117899770|XP_034665920.1|DSUB
OG0001565	LOC115267371|XP_029730218.1|AEAL, LOC115267361|XP_029730191.1|AEAL	LOC117897544|XP_034662360.1|DSUB
OG0001566	LOC115264136|XP_029723361.1|AEAL, LOC109398578|XP_019526511.1|AEAL	LOC117890098|XP_034651057.1|DSUB, LOC117899162|XP_034664912.1|DSUB
OG0001567	LOC109402927|XP_019531211.2|AEAL, LOC109416104|XP_019545619.2|AEAL, LOC115264346|XP_029723871.1|AEAL	LOC117889936|XP_034650358.1|DSUB
OG0001568	LOC109415708|XP_029723856.1|AEAL, LOC109402915|XP_029722660.1|AEAL, LOC109416065|XP_029722659.1|AEAL	LOC117899329|XP_034665156.1|DSUB
OG0001569	LOC109416056|XP_019545562.2|AEAL	LOC117896785|XP_034661173.1|DSUB
OG0001571	LOC109419083|XP_029729401.1|AEAL	LOC117899979|XP_034666035.1|DSUB
OG0001572	LOC109622523|XP_019932450.2|AEAL, LOC109409029|XP_019537990.2|AEAL, LOC109622524|XP_029716654.1|AEAL, LOC109409041|XP_019538007.1|AEAL	LOC117895837|XP_034659675.1|DSUB
OG0001573	LOC115264451|XP_029724005.1|AEAL, LOC109399288|XP_019527271.2|AEAL, LOC115264447|XP_029723997.1|AEAL	LOC117895848|XP_034659700.1|DSUB
OG0001574	LOC109429069|XP_029726546.1|AEAL	LOC117903383|XP_034671259.1|DSUB
OG0001575	LOC109409967|XP_029725816.1|AEAL, LOC109420227|XP_029717036.1|AEAL	LOC117899564|XP_034665560.1|DSUB
OG0001576	LOC115254213|XP_029732527.1|AEAL, LOC109426722|XP_019557810.2|AEAL, LOC109417979|XP_019547668.2|AEAL, LOC109398203|XP_029719587.1|AEAL	LOC117897611|XP_034662466.1|DSUB
OG0001577	LOC115253479|XP_029735167.1|AEAL, LOC109413467|XP_019542687.2|AEAL	LOC117896651|XP_034660988.1|DSUB, LOC117898066|XP_034663130.1|DSUB
OG0001578	LOC109400664|XP_019528693.2|AEAL, LOC109399403|XP_019527386.2|AEAL	LOC117891087|XP_034652157.1|DSUB
OG0001579	LOC109400727|XP_019528768.2|AEAL, LOC115270004|XP_029734781.1|AEAL, LOC109402729|XP_029710412.1|AEAL	LOC117893930|XP_034656604.1|DSUB, LOC117903517|XP_034671520.1|DSUB
OG0001580	LOC115253588|XP_029718179.1|AEAL, LOC109422538|XP_029734653.1|AEAL	LOC117891945|XP_034653689.1|DSUB
OG0001581	LOC109416404|XP_029722240.1|AEAL, LOC109407423|XP_029722334.1|AEAL	LOC117895947|XP_034659792.1|DSUB
OG0001582	LOC109430913|XP_019562562.2|AEAL, LOC115253853|XP_029721974.1|AEAL	LOC117890276|XP_034650926.1|DSUB
OG0001583	LOC115270462|XP_029736054.1|AEAL, LOC115254265|XP_029736053.1|AEAL, LOC109404342|XP_019532732.2|AEAL, LOC109399486|XP_029736051.1|AEAL	LOC117890416|XP_034651121.1|DSUB
OG0001584	LOC109424272|XP_019554908.2|AEAL, LOC109428708|XP_029735275.1|AEAL, LOC115270166|XP_029735261.1|AEAL	LOC117894199|XP_034657005.1|DSUB, LOC117894198|XP_034657004.1|DSUB
OG0001586	LOC115270291|XP_029735498.1|AEAL, LOC109430628|XP_029735523.1|AEAL, LOC109423770|XP_019554322.2|AEAL	LOC117895044|XP_034658313.1|DSUB, LOC117895785|XP_034659580.1|DSUB
OG0001587	LOC109414257|XP_029735555.1|AEAL, LOC109423750|XP_029735576.1|AEAL	LOC117891315|XP_034652618.1|DSUB
OG0001588	LOC109398173|XP_029728531.1|AEAL	LOC117891201|XP_034652428.1|DSUB
OG0001591	LOC109621324|XP_029728256.1|AEAL	LOC117897168|XP_034661730.1|DSUB
OG0001592	LOC115258170|XP_029714081.1|AEAL	LOC117901778|XP_034668573.1|DSUB, LOC117901779|XP_034668575.1|DSUB
OG0001593	LOC109622884|XP_019932896.2|AEAL, LOC115258143|XP_029714051.1|AEAL	LOC117901540|XP_034668222.1|DSUB
OG0001594	LOC109622862|XP_029713874.1|AEAL, LOC115257965|XP_029713789.1|AEAL, LOC115258452|XP_029714413.1|AEAL	LOC117902348|XP_034669548.1|DSUB
OG0001595	LOC109412019|XP_029713367.1|AEAL, LOC115253600|XP_029720691.1|AEAL	LOC117891589|XP_034653007.1|DSUB
OG0001596	LOC109401373|XP_019529448.2|AEAL	LOC117901676|XP_034668409.1|DSUB
OG0001597	LOC109432887|XP_019564798.1|AEAL, LOC115257139|XP_029712384.1|AEAL, LOC109401424|XP_019529521.1|AEAL	LOC117900159|XP_034666290.1|DSUB
OG0001598	LOC109432877|XP_029712246.1|AEAL	LOC117902649|XP_034670065.1|DSUB
OG0001599	LOC115256862|XP_029711787.1|AEAL, LOC109401377|XP_029712007.1|AEAL, LOC115256865|XP_029711804.1|AEAL, LOC109432892|XP_029709597.1|AEAL	LOC117900608|XP_034666914.1|DSUB
OG0001601	LOC109433084|XP_019565020.1|AEAL	LOC117901741|XP_034668519.1|DSUB
OG0001602	LOC109420147|XP_019550010.2|AEAL, LOC115261802|XP_029719550.1|AEAL	LOC117901073|XP_034667576.1|DSUB
OG0001603	LOC109414044|XP_019543328.2|AEAL, LOC109414021|XP_019543299.2|AEAL	LOC117902196|XP_034669288.1|DSUB
OG0001604	LOC109425135|XP_019555911.1|AEAL	LOC117903868|XP_034672249.1|DSUB
OG0001605	LOC109425134|XP_019555908.2|AEAL	LOC117891307|XP_034652605.1|DSUB
OG0001606	LOC109429377|XP_019560821.1|AEAL	LOC117891530|XP_034652922.1|DSUB
OG0001607	LOC109419105|XP_019548872.1|AEAL, LOC109409321|XP_029714954.1|AEAL, LOC115258719|XP_029714931.1|AEAL	LOC117901398|XP_034668022.1|DSUB
OG0001608	LOC109419520|XP_019549278.2|AEAL, LOC109409303|XP_029718146.1|AEAL, LOC115258927|XP_029715300.1|AEAL	LOC117902028|XP_034668978.1|DSUB
OG0001609	LOC109398729|XP_029714920.1|AEAL, LOC109398673|XP_029714929.1|AEAL, LOC109404922|XP_029725170.1|AEAL	LOC117891618|XP_034653045.1|DSUB
OG0001610	LOC115258726|XP_029714948.1|AEAL, LOC109407249|XP_019535801.2|AEAL, LOC109414319|XP_029714568.1|AEAL	LOC117901200|XP_034667745.1|DSUB
OG0001611	LOC115258142|XP_029714046.1|AEAL, LOC109420908|XP_019550933.1|AEAL, LOC115257979|XP_029713809.1|AEAL, LOC109412694|XP_029714041.1|AEAL	LOC117900150|XP_034666276.1|DSUB
OG0001612	LOC109428206|XP_019559821.2|AEAL, LOC109417730|XP_029709162.1|AEAL	LOC117902815|XP_034670331.1|DSUB
OG0001613	LOC109417765|XP_019547453.1|AEAL, LOC109420005|XP_019549839.2|AEAL	LOC117900847|XP_034667255.1|DSUB
OG0001614	LOC115255480|XP_029709465.1|AEAL, LOC115255482|XP_029709468.1|AEAL, LOC109419396|XP_029709464.1|AEAL, LOC115255255|XP_029709061.1|AEAL, LOC109419402|XP_029709066.1|AEAL, LOC115255253|XP_029709059.1|AEAL	LOC117891108|XP_034652189.1|DSUB
OG0001615	LOC109420624|XP_019550528.2|AEAL	LOC117902754|XP_034670234.1|DSUB
OG0001616	LOC109423882|XP_029727241.1|AEAL, LOC109404803|XP_029727277.1|AEAL	LOC117900948|XP_034667411.1|DSUB
OG0001617	LOC109421516|XP_019551572.2|AEAL	LOC117902314|XP_034669490.1|DSUB
OG0001618	LOC109421337|XP_029726923.1|AEAL, LOC109432435|XP_029727064.1|AEAL, LOC115261817|XP_029719569.1|AEAL, LOC109405709|XP_029719580.1|AEAL	LOC117901841|XP_034668673.1|DSUB
OG0001619	LOC115264711|XP_029724582.1|AEAL, LOC109621384|XP_029732568.1|AEAL, LOC115268607|XP_029732592.1|AEAL	LOC117901169|XP_034667713.1|DSUB
OG0001620	LOC109402269|XP_019530468.1|AEAL	LOC117890962|XP_034651992.1|DSUB
OG0001621	LOC109415860|XP_019545354.2|AEAL	LOC117890062|XP_034650591.1|DSUB
OG0001622	LOC109416800|XP_029720044.1|AEAL, LOC109419134|XP_029722942.1|AEAL, LOC115263283|XP_029722278.1|AEAL	LOC117897015|XP_034661482.1|DSUB
OG0001623	LOC109429702|XP_029720029.1|AEAL, LOC109407011|XP_019535571.2|AEAL	LOC117901404|XP_034668029.1|DSUB
OG0001624	LOC109408550|XP_019537419.2|AEAL, LOC109429595|XP_019561130.2|AEAL	LOC117899983|XP_034666039.1|DSUB
OG0001625	LOC109408551|XP_019537420.2|AEAL, LOC109429586|XP_019561119.2|AEAL	LOC117900091|XP_034666193.1|DSUB
OG0001626	LOC109428105|XP_019559338.1|AEAL, LOC109418325|XP_029720111.1|AEAL	LOC117902819|XP_034670336.1|DSUB
OG0001627	LOC109411342|XP_019540417.2|AEAL, LOC109415390|XP_019544798.2|AEAL, LOC109418337|XP_019548070.2|AEAL, LOC109427307|XP_029721198.1|AEAL	LOC117896523|XP_034660783.1|DSUB
OG0001628	LOC109427034|XP_019558124.2|AEAL, LOC109411383|XP_029726981.1|AEAL	LOC117896031|XP_034659930.1|DSUB
OG0001630	LOC109405034|XP_029734032.1|AEAL, LOC109405037|XP_029734327.1|AEAL, LOC109622043|XP_029712020.1|AEAL	LOC117896774|XP_034661142.1|DSUB
OG0001631	LOC109416443|XP_029734365.1|AEAL, LOC109621281|XP_029734362.1|AEAL	LOC117897444|XP_034662177.1|DSUB
OG0001632	LOC109422711|XP_019553122.1|AEAL, LOC109412318|XP_029727895.1|AEAL	LOC117900039|XP_034666119.1|DSUB
OG0001633	LOC115271096|XP_029736444.1|AEAL, LOC109422628|XP_029725209.1|AEAL, LOC109402823|XP_019531094.1|AEAL	LOC117899576|XP_034665580.1|DSUB
OG0001635	LOC109429217|XP_029716819.1|AEAL, LOC115261363|XP_029718747.1|AEAL, LOC109429221|XP_029719377.1|AEAL	LOC117897651|XP_034662519.1|DSUB
OG0001636	LOC109398901|XP_019526899.2|AEAL, LOC109429212|XP_029718656.1|AEAL	LOC117897008|XP_034661465.1|DSUB
OG0001637	LOC115258189|XP_029714117.1|AEAL, LOC109426630|XP_019557707.2|AEAL, LOC115258187|XP_029714113.1|AEAL, LOC109426656|XP_029718993.1|AEAL	LOC117897633|XP_034662497.1|DSUB
OG0001638	LOC109411634|XP_019540740.2|AEAL	LOC117903513|XP_034671510.1|DSUB
OG0001639	LOC109404490|XP_029719136.1|AEAL, LOC109406321|XP_029719042.1|AEAL	LOC117892560|XP_034654770.1|DSUB
OG0001640	LOC109419435|XP_019549229.1|AEAL, LOC109403478|XP_019531851.1|AEAL	LOC117897401|XP_034662110.1|DSUB
OG0001641	LOC109426306|XP_019557308.2|AEAL, LOC109411963|XP_019541167.1|AEAL	LOC117897129|XP_034661674.1|DSUB
OG0001642	LOC109424536|XP_029733403.1|AEAL, LOC115269399|XP_029733935.1|AEAL, LOC115255853|XP_029709901.1|AEAL, LOC115255851|XP_029709900.1|AEAL	LOC117896163|XP_034660133.1|DSUB, LOC117897322|XP_034661984.1|DSUB
OG0001643	LOC109418776|XP_029715744.1|AEAL, LOC115259341|XP_029715733.1|AEAL, LOC109415836|XP_029713232.1|AEAL, LOC115259353|XP_029715752.1|AEAL	LOC117901479|XP_034668139.1|DSUB
OG0001644	LOC109418709|XP_019548494.2|AEAL	LOC117894983|XP_034658218.1|DSUB
OG0001645	LOC115257624|XP_029713305.1|AEAL, LOC109413080|XP_029713148.1|AEAL	LOC117891688|XP_034653165.1|DSUB
OG0001646	LOC109413573|XP_029720859.1|AEAL, LOC109401280|XP_029721578.1|AEAL	LOC117890082|XP_034650631.1|DSUB
OG0001647	LOC109401223|XP_029721390.1|AEAL, LOC115262726|XP_029721280.1|AEAL, LOC109413596|XP_029720595.1|AEAL	LOC117892061|XP_034653885.1|DSUB
OG0001648	LOC115262670|XP_029721133.1|AEAL, LOC109427045|XP_029717126.1|AEAL, LOC115262680|XP_029721145.1|AEAL, LOC109623356|XP_029721134.1|AEAL	LOC117895580|XP_034659196.1|DSUB
OG0001649	LOC109397413|XP_019525279.2|AEAL, LOC109412767|XP_029721046.1|AEAL	LOC117890745|XP_034651691.1|DSUB
OG0001650	LOC109432676|XP_029730723.1|AEAL, LOC109408777|XP_029730726.1|AEAL	LOC117892257|XP_034654259.1|DSUB
OG0001651	LOC109408787|XP_029730840.1|AEAL, LOC109428969|XP_029730823.1|AEAL, LOC109428971|XP_029731974.1|AEAL, LOC109408718|XP_029730821.1|AEAL	LOC117892438|XP_034654569.1|DSUB
OG0001652	LOC109399621|XP_029731140.1|AEAL	LOC117893597|XP_034656162.1|DSUB
OG0001653	LOC109399660|XP_029708106.1|AEAL, LOC115255827|XP_029709875.1|AEAL, LOC109400976|XP_029731220.1|AEAL	LOC117893310|XP_034655789.1|DSUB
OG0001654	LOC109403945|NP_001339903.1|AEAL	LOC117891872|XP_034653529.1|DSUB
OG0001655	LOC109410731|XP_029731604.1|AEAL, LOC115269255|XP_029733667.1|AEAL	LOC117891381|XP_034652711.1|DSUB
OG0001656	LOC109621465|XP_019931052.2|AEAL	LOC117901166|XP_034667709.1|DSUB
