Orthogroup	AEAL.longest_only	DFIC.longest_only
OG0001855	LOC109415799|XP_029711289.1|AEAL, LOC109431186|XP_019562945.2|AEAL	LOC108090281|XP_017044382.1|DFIC
OG0001856	LOC109405106|XP_029711085.1|AEAL, LOC115253933|XP_029708261.1|AEAL, LOC115254725|XP_029708270.1|AEAL	LOC108088710|XP_017042142.1|DFIC
OG0001857	LOC115256654|XP_029711379.1|AEAL, LOC109415228|XP_029712291.1|AEAL, LOC109415232|XP_019544663.2|AEAL, LOC109428357|XP_019559620.2|AEAL	LOC108097484|XP_017055272.1|DFIC
OG0001858	LOC109415216|XP_019544649.2|AEAL	LOC108088631|XP_017042037.1|DFIC
OG0001859	LOC109428400|XP_019559669.2|AEAL	LOC108092794|XP_017048055.1|DFIC
OG0001860	LOC109428442|XP_019559752.2|AEAL, LOC109398212|XP_029733532.1|AEAL, LOC109419713|XP_029709809.1|AEAL	LOC108099847|XP_017058983.1|DFIC
OG0001861	LOC109406620|XP_019535252.2|AEAL	LOC108095797|XP_017052549.1|DFIC
OG0001862	LOC109427518|XP_029724754.1|AEAL	LOC108097958|XP_017056055.1|DFIC
OG0001863	LOC109427521|XP_019558620.2|AEAL	LOC108097559|XP_017055429.1|DFIC
OG0001864	LOC115254223|XP_029733336.1|AEAL, LOC109432605|XP_029733213.1|AEAL, LOC109397194|XP_029733212.1|AEAL	LOC108098808|XP_017057438.1|DFIC
OG0001865	LOC115256567|XP_029711183.1|AEAL, LOC109422009|XP_019552197.2|AEAL	LOC108098063|XP_017056241.1|DFIC
OG0001866	LOC115253434|XP_029710773.1|AEAL, LOC109422004|XP_029710719.1|AEAL	LOC108087065|XP_017039729.1|DFIC
OG0001867	LOC109398400|XP_029711747.1|AEAL, LOC109400382|XP_029711825.1|AEAL	LOC108099839|XP_017058959.1|DFIC
OG0001868	LOC109400390|XP_029711140.1|AEAL, LOC109400389|XP_029711145.1|AEAL	LOC108093425|XP_017048967.1|DFIC
OG0001869	LOC109398394|XP_019526285.2|AEAL	LOC108093362|XP_017048871.1|DFIC
OG0001870	LOC109409419|XP_019538408.2|AEAL	LOC108092888|XP_017048221.1|DFIC
OG0001871	LOC115269531|XP_029734178.1|AEAL, LOC109432952|XP_019564851.2|AEAL	LOC108091125|XP_017045645.1|DFIC
OG0001872	LOC115256094|XP_029710212.1|AEAL, LOC109414074|XP_019543355.1|AEAL, LOC115256107|XP_029710225.1|AEAL, LOC115256114|XP_029710230.1|AEAL	LOC108099605|XP_017058713.1|DFIC
OG0001873	LOC109423066|XP_029708369.1|AEAL, LOC109432367|XP_029717740.1|AEAL	LOC108098601|XP_017057152.1|DFIC
OG0001874	LOC115260613|XP_029717505.1|AEAL, LOC109422822|XP_019553257.1|AEAL, LOC115269510|XP_029734156.1|AEAL, LOC109400926|XP_019528958.1|AEAL	LOC108095829|XP_017052600.1|DFIC
OG0001875	LOC115253646|XP_029717688.1|AEAL, LOC109418647|XP_019548413.2|AEAL, LOC109424966|XP_019555707.2|AEAL	LOC108086828|XP_017039363.1|DFIC
OG0001876	LOC109431404|XP_019563168.2|AEAL, LOC109427742|XP_019558881.2|AEAL	LOC108094646|XP_017050845.1|DFIC
OG0001877	LOC109431400|XP_019563162.2|AEAL	LOC108097201|XP_017054835.1|DFIC
OG0001878	LOC109427648|XP_019558761.1|AEAL, LOC109431461|XP_019563212.2|AEAL, LOC115260727|XP_029717840.1|AEAL	LOC108091582|XP_017046347.1|DFIC
OG0001879	LOC109412137|XP_029718070.1|AEAL	LOC108095783|XP_017052525.1|DFIC
OG0001880	LOC109423238|XP_029722766.1|AEAL, LOC115263687|XP_029722772.1|AEAL	LOC108088007|XP_017041108.1|DFIC
OG0001881	LOC115259336|XP_029715725.1|AEAL, LOC109425431|XP_029722818.1|AEAL, LOC109432222|XP_019564090.1|AEAL	LOC108098489|XP_017056891.1|DFIC
OG0001882	LOC109425436|XP_029713268.1|AEAL	LOC108086529|XP_017038947.1|DFIC
OG0001883	LOC115254336|XP_029707620.1|AEAL, LOC109400018|XP_029707622.1|AEAL, LOC109621537|XP_029729840.1|AEAL	LOC108091638|XP_017046428.1|DFIC
OG0001884	LOC109621577|XP_029707660.1|AEAL, LOC109400090|XP_029707704.1|AEAL	LOC108093323|XP_017048800.1|DFIC
OG0001885	LOC109417009|XP_019546681.1|AEAL, LOC115268493|XP_029732375.1|AEAL, LOC109410420|XP_029732455.1|AEAL	LOC108093513|XP_017049094.1|DFIC
OG0001886	LOC109621241|XP_019931226.2|AEAL, LOC115254326|XP_029707604.1|AEAL	LOC108099347|XP_017058316.1|DFIC
OG0001887	LOC109621594|XP_029712567.1|AEAL, LOC109400116|XP_029707630.1|AEAL, LOC115254331|XP_029707615.1|AEAL	LOC108096702|XP_017054025.1|DFIC
OG0001888	LOC109621572|XP_029707618.1|AEAL, LOC109400059|XP_029707624.1|AEAL	LOC108089800|XP_017043688.1|DFIC, LOC108090240|XP_017044326.1|DFIC
OG0001889	LOC115254338|XP_029707623.1|AEAL, LOC109621599|XP_019931227.2|AEAL	LOC108088657|XP_017042072.1|DFIC
OG0001890	LOC109400055|XP_029707687.1|AEAL, LOC109621568|XP_019931180.1|AEAL	LOC108100578|XP_017060046.1|DFIC
OG0001891	LOC115263765|XP_029722962.1|AEAL, LOC109408875|XP_029714159.1|AEAL	LOC108093344|XP_017048841.1|DFIC
OG0001892	LOC109415405|XP_029713552.1|AEAL, LOC109430367|XP_029713471.1|AEAL	LOC108093335|XP_017048863.1|DFIC
OG0001893	LOC109425394|XP_019556223.2|AEAL, LOC109403247|XP_019531575.2|AEAL	LOC108088517|XP_017041845.1|DFIC
OG0001894	LOC109425384|XP_019556182.1|AEAL	LOC108101589|XP_017061490.1|DFIC
OG0001895	LOC109425480|XP_029715881.1|AEAL, LOC115259479|XP_029715924.1|AEAL	LOC108095026|XP_017051383.1|DFIC
OG0001896	LOC109417800|XP_019547520.2|AEAL	LOC108102089|XP_017062231.1|DFIC
OG0001897	LOC109400400|XP_029715817.1|AEAL, LOC115259546|XP_029716087.1|AEAL	LOC108098890|XP_017057568.1|DFIC
OG0001898	LOC109412726|XP_029716094.1|AEAL, LOC115259620|XP_029716232.1|AEAL	LOC108094618|XP_017050789.1|DFIC
OG0001899	LOC115259724|XP_029716360.1|AEAL, LOC109425332|XP_029716066.1|AEAL, LOC109419787|XP_029716052.1|AEAL, LOC115259537|XP_029716057.1|AEAL	LOC108088035|XP_017041154.1|DFIC
OG0001900	LOC109399427|XP_019527418.2|AEAL, LOC109401200|XP_029716045.1|AEAL	LOC108088933|XP_017042446.1|DFIC
OG0001901	LOC115259753|XP_029716400.1|AEAL, LOC115259491|XP_029715955.1|AEAL, LOC109433664|XP_029715952.1|AEAL	LOC108088164|XP_017041319.1|DFIC
OG0001902	LOC109623088|XP_029716374.1|AEAL, LOC109408327|XP_029716075.1|AEAL	LOC108094733|XP_017051008.1|DFIC, LOC108096982|XP_017054455.1|DFIC, LOC108101991|XP_017062076.1|DFIC
OG0001903	LOC109416357|XP_029730197.1|AEAL, LOC109430031|XP_029730181.1|AEAL	LOC108098608|XP_017057160.1|DFIC
OG0001904	LOC115267136|XP_029729837.1|AEAL, LOC115254184|XP_029730179.1|AEAL, LOC109416360|XP_029730196.1|AEAL	LOC108088427|XP_017041682.1|DFIC
OG0001905	LOC109430002|XP_019561560.1|AEAL, LOC115254109|XP_029722555.1|AEAL, LOC109416397|XP_019545979.1|AEAL	LOC108091078|XP_017045570.1|DFIC
OG0001906	LOC109415284|XP_029733766.1|AEAL	LOC108098543|XP_017057020.1|DFIC
OG0001907	LOC109402413|XP_029717987.1|AEAL, LOC115260811|XP_029717990.1|AEAL, LOC115253590|XP_029732774.1|AEAL, LOC109405455|XP_029717118.1|AEAL	LOC108102135|XP_017062294.1|DFIC
OG0001908	LOC109402383|XP_019530593.2|AEAL, LOC109405481|XP_019534114.2|AEAL	LOC108095805|XP_017052563.1|DFIC
OG0001909	LOC115264185|XP_029723480.1|AEAL, LOC115264180|XP_029723474.1|AEAL	LOC108088635|XP_017042042.1|DFIC
OG0001910	LOC115264208|XP_029723558.1|AEAL, LOC109424847|XP_019555590.2|AEAL, LOC109424846|XP_019555589.2|AEAL	LOC108098927|XP_017057619.1|DFIC
OG0001911	LOC115264073|XP_029723238.1|AEAL, LOC115264215|XP_029723579.1|AEAL, LOC109404189|XP_029723593.1|AEAL	LOC108087012|XP_017039650.1|DFIC
OG0001913	LOC109398444|XP_029716388.1|AEAL, LOC109412883|XP_019542083.2|AEAL, LOC109406187|XP_029712296.1|AEAL	LOC108100001|XP_017059192.1|DFIC
OG0001914	LOC109403972|XP_029723600.1|AEAL, LOC109432032|XP_029723667.1|AEAL	LOC108092001|XP_017046916.1|DFIC
OG0001915	LOC109401727|XP_019529866.2|AEAL, LOC115265368|XP_029725984.1|AEAL	LOC108100018|XP_017059217.1|DFIC
OG0001916	LOC109406055|XP_019534675.2|AEAL	LOC108095214|XP_017051714.1|DFIC
OG0001917	LOC109621842|XP_019931580.2|AEAL	LOC108096221|XP_017053095.1|DFIC
OG0001918	LOC109621708|XP_019931404.2|AEAL, LOC109410373|XP_019539468.2|AEAL	LOC108096393|XP_017053449.1|DFIC
OG0001919	LOC109622547|XP_019932500.2|AEAL, LOC109622551|XP_019932504.2|AEAL	LOC108101870|XP_017061895.1|DFIC
OG0001920	LOC109409370|XP_029726254.1|AEAL	LOC108086499|XP_017038952.1|DFIC, LOC108099137|XP_017057965.1|DFIC
OG0001921	LOC109409346|XP_019538345.2|AEAL	LOC108094962|XP_017051314.1|DFIC
OG0001922	LOC109423373|XP_029727575.1|AEAL	LOC108096820|XP_017054206.1|DFIC
OG0001924	LOC109418091|XP_029726738.1|AEAL	LOC108101512|XP_017061365.1|DFIC, LOC108094419|XP_017050479.1|DFIC
OG0001925	LOC109418125|XP_019547870.2|AEAL	LOC108088984|XP_017042516.1|DFIC
OG0001926	LOC109418925|XP_029726695.1|AEAL	LOC108089047|XP_017042644.1|DFIC
OG0001927	LOC115255803|XP_029709804.1|AEAL, LOC109418995|XP_019548772.2|AEAL	LOC108086697|XP_017039185.1|DFIC
OG0001928	LOC109419715|XP_019549530.1|AEAL, LOC115255816|XP_029709858.1|AEAL	LOC108089741|XP_017043612.1|DFIC
OG0001929	LOC109419707|XP_029733516.1|AEAL, LOC109398542|XP_029709818.1|AEAL	LOC108089717|XP_017043553.1|DFIC
OG0001930	LOC115269199|XP_029733510.1|AEAL, LOC109398290|XP_029709834.1|AEAL	LOC108096611|XP_017053844.1|DFIC
OG0001932	LOC109420217|XP_029725826.1|AEAL	LOC108099851|XP_017058986.1|DFIC
OG0001933	LOC115260243|XP_029717033.1|AEAL, LOC109420186|XP_019550057.1|AEAL	LOC108093992|XP_017049892.1|DFIC
OG0001934	LOC115256192|XP_029710312.1|AEAL, LOC109397354|XP_029732959.1|AEAL, LOC115265331|XP_029725777.1|AEAL, LOC109420259|XP_019550143.2|AEAL	LOC108089760|XP_017043639.1|DFIC
OG0001935	LOC109402593|XP_029725685.1|AEAL, LOC109416472|XP_019546090.2|AEAL	LOC108089571|XP_017043413.1|DFIC
OG0001937	LOC115265680|XP_029727500.1|AEAL, LOC109426918|XP_029725651.1|AEAL, LOC115265295|XP_029725645.1|AEAL	LOC108101861|XP_017061877.1|DFIC
OG0001938	LOC109406574|XP_029712396.1|AEAL, LOC109427172|XP_029725594.1|AEAL	LOC108086433|XP_017038829.1|DFIC
OG0001939	LOC115265670|XP_029727485.1|AEAL, LOC109426632|XP_019557705.2|AEAL, LOC115267288|XP_029730062.1|AEAL, LOC109426633|XP_019557706.2|AEAL	LOC108095200|XP_017051696.1|DFIC
OG0001940	LOC115262279|XP_029720540.1|AEAL, LOC109417793|XP_019547501.2|AEAL	LOC108101497|XP_017061344.1|DFIC
OG0001941	LOC109417821|XP_019547543.1|AEAL	LOC108099079|XP_017057866.1|DFIC
OG0001942	LOC109409388|XP_019538407.2|AEAL, LOC109426708|XP_029725442.1|AEAL	LOC108094309|XP_017050319.1|DFIC
OG0001943	LOC109426738|XP_019557820.2|AEAL, LOC109417931|XP_019547621.2|AEAL, LOC115258083|XP_029713946.1|AEAL	LOC108089343|XP_017043013.1|DFIC
OG0001944	LOC109407921|XP_029732346.1|AEAL, LOC109412279|XP_029723162.1|AEAL	LOC108099056|XP_017057813.1|DFIC
OG0001945	LOC109403681|XP_029735161.1|AEAL, LOC109407968|XP_029735104.1|AEAL	LOC108101535|XP_017061401.1|DFIC
OG0001946	LOC109407986|XP_029735117.1|AEAL, LOC115258365|XP_029714313.1|AEAL, LOC115270149|XP_029735148.1|AEAL	LOC108093823|XP_017049628.1|DFIC
OG0001947	LOC109403625|XP_029735146.1|AEAL, LOC109408086|XP_019536850.2|AEAL	LOC108093902|XP_017049750.1|DFIC
OG0001948	LOC109404954|XP_019533456.2|AEAL, LOC109400617|XP_019528652.2|AEAL	LOC108088655|XP_017042071.1|DFIC
OG0001949	LOC109399436|XP_029734823.1|AEAL	LOC108093123|XP_017048556.1|DFIC
OG0001950	LOC109400722|XP_029734811.1|AEAL, LOC109402722|XP_029715806.1|AEAL	LOC108090115|XP_017044128.1|DFIC
OG0001951	LOC109415818|XP_029725138.1|AEAL, LOC115253838|XP_029734706.1|AEAL	LOC108096661|XP_017053916.1|DFIC
OG0001952	LOC115269964|XP_029734662.1|AEAL, LOC109425698|XP_029734674.1|AEAL, LOC115269966|XP_029734671.1|AEAL	LOC108095722|XP_017052389.1|DFIC
OG0001953	LOC115254608|XP_029708080.1|AEAL, LOC115260123|XP_029716886.1|AEAL, LOC109430555|XP_019562174.2|AEAL	LOC108096828|XP_017054222.1|DFIC
OG0001954	LOC115256967|XP_029712039.1|AEAL, LOC109622630|XP_029712070.1|AEAL, LOC115263144|XP_029721928.1|AEAL	LOC108096677|XP_017053949.1|DFIC
OG0001955	LOC109415865|XP_019545356.1|AEAL, LOC109622715|XP_029712059.1|AEAL, LOC115256975|XP_029712053.1|AEAL	LOC108096517|XP_017053636.1|DFIC
OG0001956	LOC109415878|XP_029722428.1|AEAL, LOC109621282|XP_029722445.1|AEAL	LOC108096230|XP_017053113.1|DFIC
OG0001957	LOC109621247|XP_019933513.2|AEAL, LOC109430239|XP_019561832.1|AEAL, LOC109428867|XP_019560249.2|AEAL	LOC108087796|XP_017040828.1|DFIC
OG0001958	LOC115263373|XP_029722531.1|AEAL, LOC109416238|XP_029722308.1|AEAL, LOC115263375|XP_029722533.1|AEAL, LOC109407411|XP_029722231.1|AEAL	LOC108096821|XP_017054208.1|DFIC
OG0001959	LOC109424175|XP_029722127.1|AEAL, LOC109413562|XP_029721402.1|AEAL, LOC115260112|XP_029716867.1|AEAL	LOC108100246|XP_017059512.1|DFIC
OG0001960	LOC115263344|XP_029722501.1|AEAL, LOC115263179|XP_029721970.1|AEAL, LOC109430897|XP_029721968.1|AEAL	LOC108100336|XP_017059643.1|DFIC
OG0001961	LOC115259287|XP_029715676.1|AEAL, LOC109430942|XP_029730376.1|AEAL, LOC109431686|XP_029715644.1|AEAL	LOC108090928|XP_017045347.1|DFIC
OG0001962	LOC109430950|XP_019562611.2|AEAL, LOC109431714|XP_019563527.2|AEAL	LOC108101588|XP_017061488.1|DFIC
OG0001963	LOC109399513|XP_029714085.1|AEAL, LOC115254259|XP_029735711.1|AEAL, LOC109398045|XP_029714084.1|AEAL	LOC108089549|XP_017043374.1|DFIC
OG0001964	LOC115254260|XP_029735856.1|AEAL, LOC109408641|XP_029736020.1|AEAL, LOC109428978|XP_029730422.1|AEAL	LOC108088244|XP_017041448.1|DFIC
OG0001966	LOC109401032|XP_019529062.1|AEAL, LOC115270470|XP_029736064.1|AEAL, LOC109414964|XP_019544355.1|AEAL, LOC109415154|XP_019544586.2|AEAL	LOC108092122|XP_017047111.1|DFIC
OG0001967	LOC109424271|XP_029719648.1|AEAL, LOC109428709|XP_029735262.1|AEAL, LOC115270173|XP_029735276.1|AEAL	LOC108087872|XP_017040945.1|DFIC
OG0001968	LOC115265043|XP_029725102.1|AEAL, LOC115269721|XP_029734406.1|AEAL, LOC115269719|XP_029734401.1|AEAL, LOC109428738|XP_019560109.2|AEAL	LOC108089748|XP_017043623.1|DFIC
OG0001969	LOC115270213|XP_029735333.1|AEAL, LOC115270240|XP_029735367.1|AEAL	LOC108093832|XP_017049650.1|DFIC
OG0001970	LOC115254256|XP_029735450.1|AEAL, LOC115270264|XP_029735393.1|AEAL, LOC109423800|XP_019554378.1|AEAL, LOC109430605|XP_019562214.2|AEAL	LOC108096876|XP_017054298.1|DFIC
OG0001971	LOC109423676|XP_019554218.2|AEAL, LOC115269757|XP_029734441.1|AEAL	LOC108094814|XP_017051074.1|DFIC
OG0001972	LOC109423751|XP_029735575.1|AEAL, LOC109414256|XP_029735556.1|AEAL	LOC108086318|XP_017038710.1|DFIC
OG0001973	LOC109423655|XP_029715596.1|AEAL, LOC115259212|XP_029715591.1|AEAL	LOC108087714|XP_017040723.1|DFIC
OG0001974	LOC109408899|XP_019537814.2|AEAL, LOC115266575|XP_029728811.1|AEAL	LOC108089165|XP_017042785.1|DFIC, LOC108090417|XP_017044563.1|DFIC
OG0001975	LOC109416689|XP_019546295.2|AEAL, LOC115266655|XP_029729044.1|AEAL, LOC109416512|XP_029729043.1|AEAL	LOC108099214|XP_017058086.1|DFIC
OG0001976	LOC115254758|XP_029708288.1|AEAL, LOC115266635|XP_029729004.1|AEAL, LOC109414979|XP_029728942.1|AEAL, LOC109415142|XP_029728995.1|AEAL	LOC108087683|XP_017040676.1|DFIC
OG0001977	LOC109427863|XP_029728530.1|AEAL, LOC115259071|XP_029715442.1|AEAL, LOC115259143|XP_029715519.1|AEAL, LOC115258928|XP_029715307.1|AEAL, LOC109428168|XP_029717224.1|AEAL	LOC108088156|XP_017041309.1|DFIC
OG0001978	LOC109433268|XP_019565239.1|AEAL, LOC109424444|XP_019555108.1|AEAL, LOC115259303|XP_029715695.1|AEAL	LOC108101505|XP_017061747.1|DFIC, LOC108095088|XP_017051513.1|DFIC
OG0001979	LOC109420083|XP_019549936.1|AEAL	LOC108100811|XP_017060367.1|DFIC
OG0001980	LOC109412016|XP_019541205.1|AEAL, LOC109407960|XP_019536713.2|AEAL	LOC108091528|XP_017046279.1|DFIC
OG0001982	LOC115255682|XP_029709646.1|AEAL, LOC109432886|XP_029712419.1|AEAL, LOC109401423|XP_019529520.1|AEAL	LOC108101717|XP_017061645.1|DFIC
OG0001983	LOC109433074|XP_029711242.1|AEAL, LOC109411297|XP_029711472.1|AEAL	LOC108098848|XP_017057543.1|DFIC
OG0001984	LOC109433083|XP_019565019.2|AEAL	LOC108093430|XP_017048979.1|DFIC
OG0001985	LOC109621803|XP_029724949.1|AEAL, LOC109404203|XP_029724890.1|AEAL	LOC108101145|XP_017060856.1|DFIC, LOC108101203|XP_017060939.1|DFIC
OG0001986	LOC115264922|XP_029724857.1|AEAL, LOC109414034|XP_029724875.1|AEAL, LOC115253903|XP_029724936.1|AEAL	LOC108093573|XP_017049164.1|DFIC, LOC108088146|XP_017041300.1|DFIC
OG0001987	LOC109428779|XP_019560166.2|AEAL, LOC115253803|XP_029733997.1|AEAL	LOC108097020|XP_017054521.1|DFIC
OG0001988	LOC115258948|XP_029715326.1|AEAL, LOC109409322|XP_029721659.1|AEAL, LOC109419104|XP_029715310.1|AEAL	LOC108093869|XP_017049700.1|DFIC
OG0001989	LOC115258621|XP_029714772.1|AEAL, LOC109419107|XP_029721665.1|AEAL, LOC109409319|XP_029714703.1|AEAL	LOC108091415|XP_017046094.1|DFIC
OG0001990	LOC109419108|XP_029715128.1|AEAL, LOC109409361|XP_029715193.1|AEAL, LOC115262912|XP_029721672.1|AEAL	LOC108089258|XP_017042913.1|DFIC, LOC108095888|XP_017052691.1|DFIC
OG0001991	LOC109622331|XP_029732605.1|AEAL	LOC108101339|XP_017061133.1|DFIC
OG0001992	LOC115258833|XP_029715127.1|AEAL, LOC109397539|XP_029714675.1|AEAL	LOC108101998|XP_017062084.1|DFIC
OG0001993	LOC115258581|XP_029714677.1|AEAL, LOC115258553|XP_029714578.1|AEAL, LOC109397524|XP_019525370.1|AEAL	LOC108094376|XP_017050412.1|DFIC
OG0001994	LOC109405873|XP_019534477.2|AEAL, LOC109407201|XP_019535726.2|AEAL	LOC108093352|XP_017048851.1|DFIC
OG0001995	LOC115258769|XP_029715029.1|AEAL, LOC109405703|XP_019534308.2|AEAL, LOC109410201|XP_029730241.1|AEAL	LOC108094467|XP_017050539.1|DFIC
OG0001996	LOC109417642|XP_029709337.1|AEAL, LOC115255414|XP_029709383.1|AEAL, LOC115255422|XP_029709410.1|AEAL	LOC108089969|XP_017043961.1|DFIC, LOC108090420|XP_017044974.1|DFIC
OG0001997	LOC115255375|XP_029709277.1|AEAL, LOC115253948|XP_029709288.1|AEAL, LOC109417687|XP_019547293.2|AEAL	LOC108090781|XP_017045117.1|DFIC
OG0001998	LOC115253946|XP_029709239.1|AEAL, LOC109416929|XP_029709253.1|AEAL, LOC109417691|XP_019547307.2|AEAL	LOC108090778|XP_017045111.1|DFIC
OG0001999	LOC109417772|XP_029709100.1|AEAL	LOC108096687|XP_017053978.1|DFIC
OG0002000	LOC109415253|XP_029709033.1|AEAL	LOC108092617|XP_017047744.1|DFIC, LOC108095046|XP_017051477.1|DFIC
OG0002001	LOC109419931|XP_029708900.1|AEAL, LOC115255157|XP_029708909.1|AEAL	LOC108095076|XP_017051488.1|DFIC, LOC108101596|XP_017061500.1|DFIC, LOC108101573|XP_017061478.1|DFIC
OG0002002	LOC109419878|XP_019549708.2|AEAL, LOC109420708|XP_019550709.2|AEAL	LOC108086747|XP_017039276.1|DFIC
OG0002003	LOC109414247|XP_029736327.1|AEAL, LOC115253939|XP_029708865.1|AEAL, LOC109420697|XP_019550692.1|AEAL	LOC108094098|XP_017050013.1|DFIC, LOC108098751|XP_017057374.1|DFIC
OG0002004	LOC109420660|XP_019550626.2|AEAL	LOC108090620|XP_017044885.1|DFIC
OG0002005	LOC109420492|XP_029708637.1|AEAL, LOC109419733|XP_029708643.1|AEAL	LOC108098252|XP_017056535.1|DFIC
OG0002006	LOC115269356|XP_029733865.1|AEAL, LOC109420302|XP_029732976.1|AEAL, LOC109419769|XP_029708609.1|AEAL, LOC115255044|XP_029708632.1|AEAL	LOC108100863|XP_017060431.1|DFIC
OG0002007	LOC115261019|XP_029718245.1|AEAL, LOC109430154|XP_019561731.1|AEAL	LOC108086321|XP_017038712.1|DFIC, LOC108100975|XP_017060617.1|DFIC
OG0002008	LOC109430176|XP_029727434.1|AEAL	LOC108095006|XP_017051335.1|DFIC
OG0002009	LOC109427576|XP_019558699.2|AEAL, LOC109432855|XP_019564749.2|AEAL, LOC115268908|XP_029732979.1|AEAL	LOC108096547|XP_017053724.1|DFIC
OG0002010	LOC109427591|XP_029727422.1|AEAL, LOC109621901|XP_019931649.2|AEAL	LOC108098747|XP_017057371.1|DFIC, LOC108091421|XP_017046137.1|DFIC
OG0002011	LOC109431006|XP_019562675.2|AEAL, LOC115265222|XP_029725363.1|AEAL, LOC115266443|XP_029728532.1|AEAL, LOC109421438|XP_029727014.1|AEAL, LOC109432536|XP_019564411.2|AEAL	LOC108098358|XP_017056692.1|DFIC
OG0002012	LOC109423927|XP_019554535.1|AEAL, LOC109404813|XP_019533310.1|AEAL	LOC108089818|XP_017043709.1|DFIC
OG0002013	LOC109423906|XP_029727280.1|AEAL, LOC109404819|XP_029727242.1|AEAL	LOC108101236|XP_017060975.1|DFIC
OG0002014	LOC109421536|XP_029727097.1|AEAL	LOC108095188|XP_017051670.1|DFIC
OG0002015	LOC109421342|XP_019551395.1|AEAL, LOC109432570|XP_029726915.1|AEAL	LOC108100810|XP_017060366.1|DFIC
OG0002016	LOC109415848|XP_029720051.1|AEAL	LOC108090449|XP_017044621.1|DFIC
OG0002017	LOC109416795|XP_029720043.1|AEAL, LOC109402508|XP_029732812.1|AEAL	LOC108100059|XP_017059281.1|DFIC
OG0002018	LOC109429591|XP_029719953.1|AEAL, LOC115254140|XP_029724789.1|AEAL	LOC108094353|XP_017050382.1|DFIC
OG0002019	LOC109429555|XP_019561077.2|AEAL	LOC108094174|XP_017050155.1|DFIC, LOC108094512|XP_017050601.1|DFIC
OG0002020	LOC109415452|XP_019544873.2|AEAL	LOC108094457|XP_017050524.1|DFIC
OG0002021	LOC109398549|XP_029720118.1|AEAL	LOC108087825|XP_017040883.1|DFIC
OG0002022	LOC109398356|XP_029720147.1|AEAL, LOC109429827|XP_019561352.1|AEAL, LOC109401755|XP_029710059.1|AEAL, LOC109406163|XP_019534776.2|AEAL	LOC108089932|XP_017043908.1|DFIC
OG0002023	LOC109429794|XP_029719779.1|AEAL, LOC109398275|XP_019526140.2|AEAL	LOC108087117|XP_017039786.1|DFIC
OG0002024	LOC109411701|XP_019540819.1|AEAL	LOC108089253|XP_017042908.1|DFIC
OG0002025	LOC109411738|XP_019540880.3|AEAL	LOC108098702|XP_017057304.1|DFIC, LOC108087273|XP_017040109.1|DFIC
OG0002026	LOC109414170|XP_019543498.2|AEAL	LOC108093584|XP_017049198.1|DFIC
OG0002027	LOC115255674|XP_029709636.1|AEAL, LOC115254439|XP_029707790.1|AEAL, LOC109421746|XP_029709633.1|AEAL	LOC108096603|XP_017053790.1|DFIC
OG0002028	LOC109421752|XP_029707787.1|AEAL	LOC108090805|XP_017045148.1|DFIC
OG0002029	LOC109423263|XP_029709312.1|AEAL	LOC108089723|XP_017043591.1|DFIC
OG0002030	LOC115262698|XP_029721219.1|AEAL, LOC109623315|XP_019933386.1|AEAL, LOC109401290|XP_019529329.1|AEAL	LOC108101920|XP_017061987.1|DFIC
OG0002031	LOC109412046|XP_019541233.2|AEAL	LOC108096918|XP_017054358.1|DFIC
OG0002032	LOC115263976|XP_029723139.1|AEAL, LOC109427293|XP_029721389.1|AEAL	LOC108098503|XP_017056920.1|DFIC
OG0002033	LOC115263095|XP_029721873.1|AEAL, LOC115263947|XP_029723115.1|AEAL, LOC109426125|XP_029721558.1|AEAL, LOC109418409|XP_029723114.1|AEAL	LOC108091226|XP_017045820.1|DFIC
OG0002034	LOC109426160|XP_029721705.1|AEAL, LOC109426156|XP_029721662.1|AEAL, LOC109418423|XP_029721956.1|AEAL	LOC108097225|XP_017054873.1|DFIC
OG0002035	LOC109426175|XP_029722195.1|AEAL, LOC109418446|XP_019548182.2|AEAL, LOC115263232|XP_029722087.1|AEAL	LOC108099615|XP_017058727.1|DFIC
OG0002036	LOC115260472|XP_029717276.1|AEAL, LOC109407471|XP_029717229.1|AEAL, LOC109419243|XP_029723569.1|AEAL	LOC108098765|XP_017057386.1|DFIC
OG0002037	LOC109410442|XP_029725870.1|AEAL, LOC115256317|XP_029710420.1|AEAL	LOC108100207|XP_017059470.1|DFIC
OG0002038	LOC109410375|XP_019539473.2|AEAL	LOC108093113|XP_017048547.1|DFIC, LOC108101118|XP_017060827.1|DFIC
OG0002039	LOC109414398|XP_019543750.2|AEAL, LOC109415396|XP_019544808.2|AEAL	LOC108091718|XP_017046549.1|DFIC
OG0002040	LOC109425025|XP_019555760.2|AEAL	LOC108100432|XP_017059842.1|DFIC
OG0002041	LOC109410906|XP_029730035.1|AEAL, LOC109411113|XP_029730603.1|AEAL, LOC115253916|XP_029730013.1|AEAL	LOC108090432|XP_017044594.1|DFIC
OG0002042	LOC109399298|XP_019527278.2|AEAL, LOC109433350|XP_019565322.2|AEAL	LOC108093543|XP_017049126.1|DFIC
OG0002043	LOC109413928|XP_019543205.2|AEAL, LOC109621289|XP_019931854.2|AEAL, LOC115254236|XP_029734177.1|AEAL	LOC108090217|XP_017044299.1|DFIC
