Orthogroup	ASTE.longest_only	DMAU.longest_only
OG0000378	LOC118503389|XP_035892483.1|ASTE, LOC118503390|XP_035892484.1|ASTE	LOC117137244|XP_033154496.1|DMAU
OG0000379	LOC118513082|XP_035914339.1|ASTE	LOC117136805|XP_033153761.1|DMAU, LOC117138017|XP_033155712.1|DMAU, LOC117136046|XP_033152580.1|DMAU
OG0000380	LOC118512268|XP_035912349.1|ASTE	LOC117138133|XP_033155893.1|DMAU, LOC117141209|XP_033160454.1|DMAU
OG0000381	LOC118511804|XP_035911230.1|ASTE	LOC117136877|XP_033153873.1|DMAU, LOC117145847|XP_033167556.1|DMAU
OG0000382	LOC118516621|XP_035918491.1|ASTE, LOC118506622|XP_035899884.1|ASTE, LOC118517514|XP_035919631.1|ASTE, LOC118517513|XP_035919630.1|ASTE	LOC117140561|XP_033159449.1|DMAU
OG0000383	LOC118512038|XP_035911729.1|ASTE, LOC118512580|XP_035913101.1|ASTE	LOC117137604|XP_033155017.1|DMAU, LOC117139332|XP_033157508.1|DMAU
OG0000384	LOC118513813|XP_035915934.1|ASTE	LOC117137164|XP_033154367.1|DMAU
OG0000384	LOC118513810|XP_035915931.1|ASTE	LOC117136525|XP_033153361.1|DMAU
OG0000385	LOC118504037|XP_035893918.1|ASTE	LOC117148926|XP_033172536.1|DMAU
OG0000385	LOC118506198|XP_035898898.1|ASTE	LOC117148924|XP_033172532.1|DMAU
OG0000386	LOC118503986|XP_035893826.1|ASTE	LOC117141579|XP_033160982.1|DMAU, LOC117141580|XP_033160984.1|DMAU, LOC117146106|XP_033167979.1|DMAU
OG0000389	LOC118513407|XP_035915007.1|ASTE	LOC117139679|XP_033158050.1|DMAU
OG0000389	LOC118504070|XP_035894009.1|ASTE	LOC117141060|XP_033160240.1|DMAU
OG0000390	LOC118508212|XP_035903682.1|ASTE, LOC118510704|XP_035908796.1|ASTE	LOC117150059|XP_033172824.1|DMAU
OG0000391	LOC118511366|XP_035910235.1|ASTE	LOC117136906|XP_033153914.1|DMAU
OG0000391	LOC118507349|XP_035901647.1|ASTE	LOC117137712|XP_033155176.1|DMAU
OG0000392	LOC118512507|XP_035912914.1|ASTE, LOC118512508|XP_035912916.1|ASTE, LOC118512509|XP_035912917.1|ASTE	LOC117148251|XP_033171449.1|DMAU, LOC117147849|XP_033170818.1|DMAU
OG0000393	LOC118509260|XP_035905488.1|ASTE	LOC117150771|XP_033173698.1|DMAU
OG0000393	LOC118508954|XP_035904759.1|ASTE	LOC117150774|XP_033173709.1|DMAU
OG0000394	LOC118505143|XP_035896397.1|ASTE	LOC117146635|XP_033168858.1|DMAU, LOC117146634|XP_033168857.1|DMAU
OG0000399	LOC118512672|XP_035913371.1|ASTE	LOC117144592|XP_033165761.1|DMAU, LOC117135543|XP_033151726.1|DMAU
OG0000400	LOC118505958|XP_035898385.1|ASTE	LOC117148249|XP_033171443.1|DMAU, LOC117150802|XP_033173751.1|DMAU, LOC117148733|XP_033172189.1|DMAU
OG0000402	LOC118505679|XP_035897704.1|ASTE, LOC118505680|XP_035897705.1|ASTE, LOC118505678|XP_035897703.1|ASTE, LOC118505677|XP_035897702.1|ASTE, LOC118505675|XP_035897700.1|ASTE	LOC117147445|XP_033170218.1|DMAU
OG0000404	LOC118502470|XP_035890595.1|ASTE	LOC117144363|XP_033165373.1|DMAU, LOC117144364|XP_033165374.1|DMAU
OG0000405	LOC118506903|XP_035900579.1|ASTE	LOC117148044|XP_033171114.1|DMAU
OG0000406	LOC118511329|XP_035910149.1|ASTE, LOC118511325|XP_035910142.1|ASTE, LOC118511324|XP_035910141.1|ASTE, LOC118510574|XP_035908457.1|ASTE	LOC117142040|XP_033161801.1|DMAU, LOC117136298|XP_033153034.1|DMAU
OG0000407	LOC118505532|XP_035897335.1|ASTE	LOC117142052|XP_033161818.1|DMAU
OG0000407	LOC118512798|XP_035913616.1|ASTE	LOC117142051|XP_033161816.1|DMAU
OG0000408	LOC118511339|XP_035910175.1|ASTE	LOC117144214|XP_033165156.1|DMAU, LOC117143592|XP_033164270.1|DMAU
OG0000409	LOC118509161|XP_035905302.1|ASTE	LOC117138102|XP_033155850.1|DMAU, LOC117138151|XP_033155919.1|DMAU
OG0000410	LOC118512584|XP_035913107.1|ASTE	LOC117141240|XP_033160498.1|DMAU, LOC117141248|XP_033160510.1|DMAU, LOC117150818|XP_033173769.1|DMAU
OG0000411	LOC118502618|XP_035890884.1|ASTE	LOC117142222|XP_033161953.1|DMAU
OG0000411	LOC118510782|XP_035908961.1|ASTE	LOC117150490|XP_033173284.1|DMAU
OG0000412	LOC118504712|XP_035895440.1|ASTE, LOC118504711|XP_035895437.1|ASTE	LOC117138390|XP_033156353.1|DMAU, LOC117140663|XP_033159599.1|DMAU
OG0000413	LOC118508262|XP_035903785.1|ASTE	LOC117144429|XP_033165465.1|DMAU, LOC117144332|XP_033165335.1|DMAU
OG0000414	LOC118503670|XP_035893102.1|ASTE	LOC117137866|XP_033155474.1|DMAU, LOC117136469|XP_033153292.1|DMAU
OG0000415	LOC118508405|XP_035904060.1|ASTE	LOC117135959|XP_033152444.1|DMAU, LOC117135799|XP_033152185.1|DMAU
OG0000416	LOC118507749|XP_035902652.1|ASTE	LOC117147248|XP_033169956.1|DMAU
OG0000416	LOC118504808|XP_035895706.1|ASTE	LOC117148098|XP_033171204.1|DMAU
OG0000417	LOC118508484|XP_035904194.1|ASTE	LOC117144878|XP_033166179.1|DMAU
OG0000417	LOC118503054|XP_035891810.1|ASTE	LOC117144455|XP_033165502.1|DMAU
OG0000418	LOC118511011|XP_035909425.1|ASTE	LOC117147313|XP_033170051.1|DMAU, LOC117148450|XP_033171715.1|DMAU
OG0000419	LOC118509659|XP_035906513.1|ASTE	LOC117138447|XP_033156452.1|DMAU
OG0000421	LOC118509291|XP_035905600.1|ASTE	LOC117147720|XP_033170649.1|DMAU
OG0000421	LOC118514675|XP_035917611.1|ASTE	LOC117140425|XP_033159234.1|DMAU
OG0000422	LOC118514284|XP_035916919.1|ASTE, LOC118514285|XP_035916920.1|ASTE, LOC118506620|XP_035899881.1|ASTE	LOC117140476|XP_033159316.1|DMAU
OG0000423	LOC118504619|XP_035895193.1|ASTE	LOC117136755|XP_033153682.1|DMAU, LOC117137006|XP_033154083.1|DMAU
OG0000424	LOC118517218|XP_035919093.1|ASTE, LOC118505272|XP_035896721.1|ASTE	LOC117136907|XP_033153920.1|DMAU
OG0000425	LOC118517690|XP_035920002.1|ASTE	LOC117137834|XP_033155414.1|DMAU
OG0000425	LOC118517694|XP_035920010.1|ASTE	LOC117137593|XP_033154995.1|DMAU
OG0000426	LOC118507414|XP_035901770.1|ASTE	LOC117136494|XP_033153329.1|DMAU, LOC117136493|XP_033153328.1|DMAU, LOC117137847|XP_033155440.1|DMAU, LOC117136492|XP_033153327.1|DMAU
OG0000433	LOC118505165|XP_035896463.1|ASTE	LOC117146931|XP_033169466.1|DMAU
OG0000433	LOC118512855|XP_035913824.1|ASTE	LOC117141363|XP_033160660.1|DMAU
OG0000434	LOC118517616|XP_035919805.1|ASTE	LOC117143438|XP_033164036.1|DMAU
OG0000435	LOC118507860|XP_035902949.1|ASTE	LOC117147122|XP_033169779.1|DMAU
OG0000437	LOC118508849|XP_035904493.1|ASTE, LOC118511583|XP_035910726.1|ASTE	LOC117142367|XP_033162187.1|DMAU
OG0000437	LOC118510312|XP_035907842.1|ASTE	LOC117147961|XP_033171000.1|DMAU
OG0000438	LOC118513845|XP_035916016.1|ASTE	LOC117139335|XP_033157473.1|DMAU, LOC117142772|XP_033162850.1|DMAU
OG0000439	LOC118512646|XP_035913255.1|ASTE	LOC117145708|XP_033167347.1|DMAU
OG0000439	LOC118507322|XP_035901602.1|ASTE	LOC117139834|XP_033158367.1|DMAU
OG0000440	LOC118512560|XP_035913042.1|ASTE	LOC117135994|XP_033152500.1|DMAU, LOC117137028|XP_033154125.1|DMAU
OG0000441	LOC118514050|XP_035919001.1|ASTE, LOC118513749|XP_035915802.1|ASTE	LOC117136952|XP_033153992.1|DMAU, LOC117138615|XP_033156714.1|DMAU
OG0000442	LOC118505460|XP_035897155.1|ASTE, LOC118505464|XP_035897158.1|ASTE, LOC118505463|XP_035897157.1|ASTE	LOC117139451|XP_033157650.1|DMAU
OG0000443	LOC118507285|XP_035901528.1|ASTE	LOC117139922|XP_033158496.1|DMAU, LOC117139921|XP_033158494.1|DMAU
OG0000444	LOC118507267|XP_035901459.1|ASTE, LOC118507257|XP_035901439.1|ASTE, LOC118504142|XP_035894133.1|ASTE	LOC117146051|XP_033167885.1|DMAU, LOC117135328|XP_033151419.1|DMAU
OG0000448	LOC118513273|XP_035914735.1|ASTE	LOC117145653|XP_033167274.1|DMAU, LOC117145460|XP_033167022.1|DMAU
OG0000449	LOC118517706|XP_035920035.1|ASTE	LOC117140053|XP_033158682.1|DMAU
OG0000449	LOC118507943|XP_035903161.1|ASTE	LOC117138074|XP_033155792.1|DMAU
OG0000450	LOC118517463|XP_035919517.1|ASTE	LOC117146585|XP_033168789.1|DMAU
OG0000450	LOC118517465|XP_035919527.1|ASTE	LOC117147040|XP_033169659.1|DMAU
OG0000451	LOC118511200|XP_035909872.1|ASTE, LOC118517335|XP_035919212.1|ASTE	LOC117147789|XP_033170721.1|DMAU
OG0000451	LOC118517725|XP_035920069.1|ASTE	LOC117147792|XP_033170724.1|DMAU
OG0000453	LOC118505626|XP_035897592.1|ASTE, LOC118505625|XP_035897590.1|ASTE	LOC117144360|XP_033165368.1|DMAU
OG0000454	LOC118514430|XP_035917226.1|ASTE	LOC117145603|XP_033167208.1|DMAU, LOC117140462|XP_033159296.1|DMAU
OG0000456	LOC118513206|XP_035914598.1|ASTE	LOC117146333|XP_033168326.1|DMAU
OG0000456	LOC118514158|XP_035916683.1|ASTE	LOC117151057|XP_033174171.1|DMAU
OG0000457	LOC118513461|XP_035915122.1|ASTE	LOC117150706|XP_033173609.1|DMAU
OG0000457	LOC118512640|XP_035913235.1|ASTE	LOC117140966|XP_033160087.1|DMAU
OG0000458	LOC118512626|XP_035913215.1|ASTE, LOC118512628|XP_035913217.1|ASTE, LOC118512625|XP_035913213.1|ASTE, LOC118512627|XP_035913216.1|ASTE, LOC118512621|XP_035913194.1|ASTE, LOC118513387|XP_035914949.1|ASTE	LOC117146730|XP_033169208.1|DMAU
OG0000460	LOC118510053|XP_035907335.1|ASTE	LOC117150362|XP_033173113.1|DMAU
OG0000465	LOC118507839|XP_035902847.1|ASTE	LOC117144393|XP_033165419.1|DMAU, LOC117146018|XP_033167834.1|DMAU
OG0000466	LOC118502878|XP_035891488.1|ASTE	LOC117148819|XP_033172356.1|DMAU
OG0000466	LOC118508980|XP_035904859.1|ASTE	LOC117150650|XP_033173527.1|DMAU
OG0000467	LOC118508869|XP_035904551.1|ASTE	LOC117137511|XP_033154883.1|DMAU, LOC117135816|XP_033152213.1|DMAU
OG0000468	LOC118504246|XP_035894362.1|ASTE	LOC117143539|XP_033164166.1|DMAU
OG0000468	LOC118512945|XP_035914055.1|ASTE	LOC117136260|XP_033152969.1|DMAU
OG0000469	LOC118510739|XP_035908849.1|ASTE	LOC117137718|XP_033155185.1|DMAU, LOC117150558|XP_033173400.1|DMAU
OG0000470	LOC118508249|XP_035903756.1|ASTE	LOC117141550|XP_033160946.1|DMAU
OG0000470	LOC118507386|XP_035901732.1|ASTE	LOC117140165|XP_033158829.1|DMAU
OG0000471	LOC118512976|XP_035914102.1|ASTE	LOC117140014|XP_033158625.1|DMAU, LOC117150215|XP_033172903.1|DMAU
OG0000474	LOC118513494|XP_035915262.1|ASTE	LOC117148058|XP_033171138.1|DMAU, LOC117140160|XP_033158824.1|DMAU
OG0000475	LOC118507516|XP_035901965.1|ASTE	LOC117143834|XP_033164576.1|DMAU, LOC117143833|XP_033164575.1|DMAU
OG0000476	LOC118507686|XP_035902381.1|ASTE	LOC117145768|XP_033167434.1|DMAU, LOC117144839|XP_033166123.1|DMAU
OG0000477	LOC118502859|XP_035891460.1|ASTE, LOC118502860|XP_035891461.1|ASTE	LOC117145198|XP_033166651.1|DMAU, LOC117144968|XP_033166320.1|DMAU
OG0000479	LOC118510580|XP_035908465.1|ASTE, LOC118511908|XP_035911436.1|ASTE	LOC117144503|XP_033165583.1|DMAU, LOC117145571|XP_033167167.1|DMAU
OG0000480	LOC118509317|XP_035905663.1|ASTE	LOC117136043|XP_033152578.1|DMAU, LOC117136033|XP_033152544.1|DMAU
OG0000482	LOC118506564|XP_035899779.1|ASTE	LOC117145922|XP_033167671.1|DMAU
OG0000483	LOC118504510|XP_035894934.1|ASTE, LOC118504512|XP_035894937.1|ASTE	LOC117145864|XP_033167575.1|DMAU, LOC117145591|XP_033167188.1|DMAU
OG0000484	LOC118508428|XP_035904098.1|ASTE	LOC117142553|XP_033162493.1|DMAU, LOC117142554|XP_033162494.1|DMAU
OG0000485	LOC118504882|XP_035895831.1|ASTE	LOC117141374|XP_033160672.1|DMAU, LOC117141373|XP_033160671.1|DMAU
OG0000486	LOC118517681|XP_035919984.1|ASTE	LOC117137121|XP_033154305.1|DMAU, LOC117137122|XP_033154309.1|DMAU
OG0000489	LOC118516505|XP_035918331.1|ASTE	LOC117145783|XP_033167453.1|DMAU, LOC117148005|XP_033171055.1|DMAU
OG0000490	LOC118512589|XP_035913124.1|ASTE	LOC117148770|XP_033172259.1|DMAU
OG0000490	LOC118508284|XP_035903822.1|ASTE	LOC117147231|XP_033169933.1|DMAU
OG0000491	LOC118517081|XP_035918829.1|ASTE, LOC118504998|XP_035896068.1|ASTE	LOC117135807|XP_033152200.1|DMAU, LOC117137315|XP_033154591.1|DMAU
OG0000492	LOC118503196|XP_035892071.1|ASTE	LOC117136875|XP_033153869.1|DMAU
OG0000492	LOC118511685|XP_035910960.1|ASTE	LOC117147270|XP_033169996.1|DMAU
OG0000494	LOC118506499|XP_035899590.1|ASTE	LOC117135783|XP_033152154.1|DMAU
OG0000495	LOC118510027|XP_035907307.1|ASTE, LOC118511763|XP_035911128.1|ASTE	LOC117148185|XP_033171346.1|DMAU, LOC117137723|XP_033155187.1|DMAU
OG0000496	LOC118510796|XP_035908995.1|ASTE	LOC117140415|XP_033159184.1|DMAU
OG0000496	LOC118510797|XP_035909001.1|ASTE	LOC117142465|XP_033162352.1|DMAU
OG0000497	LOC118510659|XP_035908677.1|ASTE	LOC117148595|XP_033171967.1|DMAU
OG0000498	LOC118504511|XP_035894936.1|ASTE	LOC117144967|XP_033166319.1|DMAU, LOC117145186|XP_033166634.1|DMAU
OG0000499	LOC118510945|XP_035909276.1|ASTE	LOC117135666|XP_033151949.1|DMAU
OG0000500	LOC118503087|XP_035891864.1|ASTE, LOC118506001|XP_035898475.1|ASTE	LOC117141450|XP_033160794.1|DMAU, LOC117141204|XP_033160447.1|DMAU
OG0000504	LOC118509587|XP_035906250.1|ASTE, LOC118509584|XP_035906247.1|ASTE, LOC118509583|XP_035906246.1|ASTE, LOC118509586|XP_035906249.1|ASTE, LOC118509585|XP_035906248.1|ASTE	LOC117140386|XP_033159143.1|DMAU
OG0000505	LOC118506652|XP_035899953.1|ASTE, LOC118506634|XP_035899902.1|ASTE	LOC117146940|XP_033169481.1|DMAU, LOC117146524|XP_033168681.1|DMAU
OG0000506	LOC118507793|XP_035902736.1|ASTE, LOC118502973|XP_035891637.1|ASTE, LOC118502974|XP_035891639.1|ASTE	LOC117145572|XP_033167168.1|DMAU, LOC117145531|XP_033167117.1|DMAU
OG0000507	LOC118514453|XP_035917263.1|ASTE	LOC117146408|XP_033168496.1|DMAU
OG0000507	LOC118502886|XP_035891498.1|ASTE	LOC117146409|XP_033168497.1|DMAU
OG0000508	LOC118510073|XP_035907361.1|ASTE	LOC117140326|XP_033159067.1|DMAU, LOC117141190|XP_033160419.1|DMAU
OG0000509	LOC118514336|XP_035917038.1|ASTE	LOC117135944|XP_033152417.1|DMAU
OG0000509	LOC118515884|XP_035917966.1|ASTE, LOC118514333|XP_035917033.1|ASTE	LOC117138012|XP_033155704.1|DMAU
OG0000510	LOC118511976|XP_035911605.1|ASTE	LOC117136378|XP_033153160.1|DMAU, LOC117136377|XP_033153159.1|DMAU
OG0000511	LOC118511104|XP_035909718.1|ASTE	LOC117135132|XP_033151076.1|DMAU, LOC117135131|XP_033151075.1|DMAU
OG0000512	LOC118513429|XP_035915048.1|ASTE, LOC118513428|XP_035915046.1|ASTE, LOC118513431|XP_035915052.1|ASTE	LOC117139929|XP_033158509.1|DMAU, LOC117141455|XP_033160800.1|DMAU
OG0000513	LOC118513330|XP_035914837.1|ASTE	LOC117136170|XP_033152803.1|DMAU, LOC117135228|XP_033151238.1|DMAU
OG0000514	LOC118510714|XP_035908806.1|ASTE	LOC117150501|XP_033173297.1|DMAU, LOC117146529|XP_033168693.1|DMAU
OG0000515	LOC118503970|XP_035893785.1|ASTE, LOC118503968|XP_035893780.1|ASTE	LOC117146268|XP_033168152.1|DMAU, LOC117141566|XP_033160968.1|DMAU
OG0000516	LOC118502624|XP_035890896.1|ASTE, LOC118502623|XP_035890894.1|ASTE	LOC117146392|XP_033168457.1|DMAU, LOC117146389|XP_033168454.1|DMAU
OG0000517	LOC118508089|XP_035903461.1|ASTE	LOC117141040|XP_033160213.1|DMAU, LOC117141037|XP_033160211.1|DMAU
OG0000522	LOC118504331|XP_035894563.1|ASTE	LOC117143763|XP_033164472.1|DMAU, LOC117147625|XP_033170480.1|DMAU
OG0000523	LOC118506898|XP_035900571.1|ASTE	LOC117145989|XP_033167794.1|DMAU
OG0000523	LOC118506073|XP_035898633.1|ASTE	LOC117148308|XP_033171523.1|DMAU
OG0000524	LOC118510198|XP_035907622.1|ASTE	LOC117144180|XP_033165116.1|DMAU, LOC117145555|XP_033167148.1|DMAU
OG0000525	LOC118508949|XP_035904756.1|ASTE	LOC117137020|XP_033154108.1|DMAU, LOC117137826|XP_033155404.1|DMAU
OG0000526	LOC118511037|XP_035909521.1|ASTE	LOC117150733|XP_033173657.1|DMAU, LOC117138399|XP_033156366.1|DMAU
OG0000527	LOC118511075|XP_035909634.1|ASTE, LOC118511077|XP_035909640.1|ASTE	LOC117141159|XP_033160426.1|DMAU, LOC117150209|XP_033172896.1|DMAU
OG0000528	LOC118513942|XP_035916218.1|ASTE, LOC118513508|XP_035915251.1|ASTE	LOC117150976|XP_033174049.1|DMAU
OG0000529	LOC118513864|XP_035916059.1|ASTE	LOC117143584|XP_033164226.1|DMAU, LOC117141847|XP_033161416.1|DMAU
OG0000530	LOC118509091|XP_035905129.1|ASTE	LOC117140533|XP_033159410.1|DMAU, LOC117141488|XP_033160858.1|DMAU
OG0000531	LOC118514636|XP_035917540.1|ASTE	LOC117141913|XP_033161928.1|DMAU, LOC117147627|XP_033170486.1|DMAU
OG0000532	LOC118503682|XP_035893117.1|ASTE, LOC118517098|XP_035918848.1|ASTE	LOC117145836|XP_033167527.1|DMAU, LOC117144012|XP_033164857.1|DMAU
OG0000533	LOC118517490|XP_035919581.1|ASTE	LOC117147490|XP_033170277.1|DMAU
OG0000533	LOC118507960|XP_035903180.1|ASTE	LOC117145584|XP_033167182.1|DMAU
OG0000535	LOC118504114|XP_035894098.1|ASTE	LOC117136498|XP_033153332.1|DMAU, LOC117136401|XP_033153187.1|DMAU
OG0000536	LOC118503546|XP_035892838.1|ASTE, LOC118504104|XP_035894084.1|ASTE, LOC118504090|XP_035894057.1|ASTE	LOC117140504|XP_033159362.1|DMAU
OG0000537	LOC118505997|XP_035898468.1|ASTE	LOC117136926|XP_033153954.1|DMAU
OG0000538	LOC118506098|XP_035898675.1|ASTE	LOC117137185|XP_033154399.1|DMAU, LOC117137405|XP_033154719.1|DMAU
OG0000539	LOC118508392|XP_035904035.1|ASTE	LOC117144936|XP_033166279.1|DMAU, LOC117144396|XP_033165423.1|DMAU
OG0000542	LOC118515253|XP_035917832.1|ASTE, LOC118512691|XP_035913377.1|ASTE, LOC118507284|XP_035901526.1|ASTE	LOC117145710|XP_033167346.1|DMAU, LOC117146317|XP_033168267.1|DMAU
OG0000543	LOC118503113|XP_035891949.1|ASTE, LOC118503120|XP_035891962.1|ASTE	LOC117145534|XP_033167119.1|DMAU, LOC117138272|XP_033156131.1|DMAU
OG0000544	LOC118511902|XP_035911464.1|ASTE	LOC117141372|XP_033160669.1|DMAU, LOC117149342|XP_033172659.1|DMAU, LOC117142571|XP_033162529.1|DMAU
OG0000545	LOC118507911|XP_035903096.1|ASTE	LOC117145070|XP_033166476.1|DMAU, LOC117144614|XP_033165799.1|DMAU
OG0000546	LOC118508578|XP_035904374.1|ASTE	LOC117144017|XP_033164864.1|DMAU, LOC117148717|XP_033172157.1|DMAU
OG0000547	LOC118517015|XP_035918760.1|ASTE, LOC118508923|XP_035904699.1|ASTE	LOC117146633|XP_033168856.1|DMAU, LOC117140237|XP_033158930.1|DMAU, LOC117148731|XP_033172192.1|DMAU
OG0000548	LOC118514395|XP_035917169.1|ASTE	LOC117141541|XP_033160931.1|DMAU, LOC117141379|XP_033160679.1|DMAU
OG0000549	LOC118512873|XP_035913859.1|ASTE, LOC118510278|XP_035907786.1|ASTE, LOC118514282|XP_035916917.1|ASTE	LOC117138410|XP_033156377.1|DMAU
OG0000550	LOC118513463|XP_035915131.1|ASTE	LOC117142097|XP_033161873.1|DMAU, LOC117141650|XP_033161114.1|DMAU
OG0000551	LOC118502486|XP_035890611.1|ASTE	LOC117138541|XP_033156575.1|DMAU
OG0000552	LOC118506896|XP_035900569.1|ASTE	LOC117143075|XP_033163432.1|DMAU, LOC117145182|XP_033166628.1|DMAU
OG0000553	LOC118510605|XP_035908506.1|ASTE	LOC117151074|XP_033174209.1|DMAU
OG0000554	LOC118504452|XP_035894837.1|ASTE, LOC118502445|XP_035890567.1|ASTE	LOC117143298|XP_033163794.1|DMAU, LOC117145830|XP_033167523.1|DMAU
OG0000555	LOC118506682|XP_035900029.1|ASTE	LOC117140851|XP_033159869.1|DMAU, LOC117140857|XP_033159877.1|DMAU
OG0000556	LOC118505119|XP_035896326.1|ASTE	LOC117148143|XP_033171261.1|DMAU, LOC117145232|XP_033166697.1|DMAU
OG0000557	LOC118507592|XP_035902152.1|ASTE	LOC117144176|XP_033165112.1|DMAU, LOC117143551|XP_033164182.1|DMAU
OG0000558	LOC118507689|XP_035902384.1|ASTE	LOC117143121|XP_033163499.1|DMAU, LOC117147855|XP_033170821.1|DMAU
OG0000559	LOC118505970|XP_035898407.1|ASTE	LOC117143297|XP_033163786.1|DMAU, LOC117141597|XP_033161001.1|DMAU
OG0000560	LOC118507215|XP_035901208.1|ASTE	LOC117136435|XP_033153239.1|DMAU, LOC117136434|XP_033153238.1|DMAU
OG0000561	LOC118507251|XP_035901427.1|ASTE	LOC117141068|XP_033160254.1|DMAU, LOC117140867|XP_033159896.1|DMAU
OG0000562	LOC118507448|XP_035901825.1|ASTE	LOC117139546|XP_033157825.1|DMAU, LOC117140486|XP_033159336.1|DMAU
OG0000566	LOC118507292|XP_035901548.1|ASTE	LOC117145247|XP_033166720.1|DMAU, LOC117141238|XP_033160492.1|DMAU
OG0000567	LOC118503035|XP_035891764.1|ASTE	LOC117147883|XP_033170858.1|DMAU
OG0000567	LOC118503006|XP_035891713.1|ASTE	LOC117147648|XP_033170511.1|DMAU
OG0000568	LOC118504788|XP_035895651.1|ASTE	LOC117148765|XP_033172252.1|DMAU, LOC117143405|XP_033163989.1|DMAU
OG0000569	LOC118506489|XP_035899567.1|ASTE	LOC117143814|XP_033164551.1|DMAU, LOC117141767|XP_033161289.1|DMAU
OG0000570	LOC118504677|XP_035895376.1|ASTE, LOC118517181|XP_035918986.1|ASTE	LOC117144673|XP_033165885.1|DMAU, LOC117145007|XP_033166391.1|DMAU
OG0000571	LOC118511968|XP_035911592.1|ASTE	LOC117144833|XP_033166109.1|DMAU, LOC117144405|XP_033165431.1|DMAU
OG0000572	LOC118508887|XP_035904609.1|ASTE	LOC117145390|XP_033166917.1|DMAU, LOC117144091|XP_033164997.1|DMAU
OG0000573	LOC118513083|XP_035914344.1|ASTE, LOC118513081|XP_035914337.1|ASTE	LOC117141993|XP_033161728.1|DMAU, LOC117136418|XP_033153219.1|DMAU
OG0000574	LOC118510308|XP_035907837.1|ASTE	LOC117140993|XP_033160134.1|DMAU, LOC117144796|XP_033166063.1|DMAU
OG0000575	LOC118509655|XP_035906502.1|ASTE	LOC117140190|XP_033158859.1|DMAU, LOC117139986|XP_033158582.1|DMAU
OG0000576	LOC118513944|XP_035916225.1|ASTE	LOC117143614|XP_033164258.1|DMAU, LOC117143739|XP_033164440.1|DMAU
OG0000577	LOC118514080|XP_035916502.1|ASTE	LOC117135254|XP_033151291.1|DMAU
OG0000578	LOC118504462|XP_035894854.1|ASTE	LOC117146824|XP_033169272.1|DMAU, LOC117136726|XP_033153643.1|DMAU
OG0000579	LOC118505261|XP_035896716.1|ASTE	LOC117143888|XP_033164680.1|DMAU, LOC117142105|XP_033161882.1|DMAU
OG0000580	LOC118502357|XP_035890448.1|ASTE	LOC117144755|XP_033166005.1|DMAU, LOC117144756|XP_033166006.1|DMAU
OG0000581	LOC118502634|XP_035890961.1|ASTE	LOC117146114|XP_033167993.1|DMAU
OG0000582	LOC118507364|XP_035901672.1|ASTE	LOC117139113|XP_033157144.1|DMAU, LOC117136765|XP_033153700.1|DMAU
OG0000583	LOC118513513|XP_035915263.1|ASTE, LOC118503240|XP_035892142.1|ASTE	LOC117135753|XP_033152100.1|DMAU, LOC117138559|XP_033156609.1|DMAU
OG0000589	LOC118516222|XP_035918005.1|ASTE	LOC117148201|XP_033171372.1|DMAU
OG0000590	LOC118507493|XP_035901910.1|ASTE	LOC117142882|XP_033163046.1|DMAU
OG0000590	LOC118517509|XP_035919627.1|ASTE	LOC117148928|XP_033172541.1|DMAU
OG0000592	LOC118502774|XP_035891260.1|ASTE	LOC117138482|XP_033156504.1|DMAU, LOC117136615|XP_033153491.1|DMAU
OG0000593	LOC118505795|XP_035898021.1|ASTE, LOC118511944|XP_035911545.1|ASTE	LOC117144992|XP_033166356.1|DMAU, LOC117147692|XP_033170570.1|DMAU
OG0000594	LOC118506452|XP_035899484.1|ASTE	LOC117145735|XP_033167386.1|DMAU, LOC117145608|XP_033167214.1|DMAU
OG0000595	LOC118502880|XP_035891492.1|ASTE	LOC117143688|XP_033164365.1|DMAU, LOC117144576|XP_033165721.1|DMAU
OG0000596	LOC118504366|XP_035894656.1|ASTE	LOC117146467|XP_033168594.1|DMAU, LOC117145496|XP_033167067.1|DMAU
OG0000597	LOC118502491|XP_035890616.1|ASTE	LOC117142900|XP_033163072.1|DMAU, LOC117145873|XP_033167588.1|DMAU
OG0000598	LOC118505440|XP_035897130.1|ASTE, LOC118505439|XP_035897129.1|ASTE, LOC118505441|XP_035897131.1|ASTE	LOC117142628|XP_033162622.1|DMAU
OG0000599	LOC118506973|XP_035900724.1|ASTE	LOC117140768|XP_033159741.1|DMAU, LOC117139641|XP_033157992.1|DMAU
OG0000600	LOC118514324|XP_035917002.1|ASTE, LOC118509562|XP_035906211.1|ASTE	LOC117137974|XP_033155638.1|DMAU, LOC117137706|XP_033155169.1|DMAU
OG0000601	LOC118510451|XP_035908160.1|ASTE	LOC117150568|XP_033173410.1|DMAU, LOC117138148|XP_033155920.1|DMAU
OG0000602	LOC118513667|XP_035915661.1|ASTE	LOC117150785|XP_033173722.1|DMAU, LOC117150792|XP_033173729.1|DMAU
OG0000603	LOC118514035|XP_035916404.1|ASTE, LOC118514034|XP_035916403.1|ASTE	LOC117145329|XP_033166824.1|DMAU, LOC117150385|XP_033173142.1|DMAU, LOC117151083|XP_033174222.1|DMAU
OG0000604	LOC118512476|XP_035912857.1|ASTE	LOC117138175|XP_033155957.1|DMAU, LOC117138189|XP_033155983.1|DMAU
