Orthogroup	ASTE.longest_only	DNOV.longest_only
OG0001614	LOC118508973|XP_035904842.1|ASTE	LOC115760723|XP_030558055.1|DNOV
OG0001615	LOC118510591|XP_035908485.1|ASTE	LOC115758468|XP_030555001.1|DNOV
OG0001616	LOC118513265|XP_035914725.1|ASTE	LOC115760296|XP_030557443.1|DNOV
OG0001617	LOC118510872|XP_035909124.1|ASTE	LOC115758348|XP_030554788.1|DNOV
OG0001618	LOC118506415|XP_035899396.1|ASTE	LOC115766781|XP_030566653.1|DNOV
OG0001619	LOC118512480|XP_035912868.1|ASTE	LOC115763246|XP_030561584.1|DNOV
OG0001620	LOC118510914|XP_035909210.1|ASTE	LOC115769048|XP_030569618.1|DNOV, LOC115769051|XP_030569621.1|DNOV
OG0001621	LOC118513213|XP_035914620.1|ASTE	LOC115760663|XP_030557990.1|DNOV
OG0001622	LOC118513207|XP_035914604.1|ASTE, LOC118504603|XP_035895160.1|ASTE	LOC115767260|XP_030567340.1|DNOV
OG0001623	LOC118513316|XP_035914811.1|ASTE	LOC115765999|XP_030565627.1|DNOV
OG0001624	LOC118510774|XP_035908934.1|ASTE	LOC115763539|XP_030562015.1|DNOV
OG0001625	LOC118510768|XP_035908920.1|ASTE	LOC115767445|XP_030567602.1|DNOV, LOC115763236|XP_030561572.1|DNOV
OG0001626	LOC118504252|XP_035894372.1|ASTE	LOC115760102|XP_030557151.1|DNOV
OG0001627	LOC118504929|XP_035895915.1|ASTE	LOC115766086|XP_030565756.1|DNOV, LOC115766242|XP_030565965.1|DNOV
OG0001628	LOC118514678|XP_035917619.1|ASTE	LOC115762541|XP_030560675.1|DNOV, LOC115770566|XP_030571738.1|DNOV, LOC115762539|XP_030560673.1|DNOV
OG0001630	LOC118502353|XP_035890429.1|ASTE	LOC115764113|XP_030562835.1|DNOV
OG0001632	LOC118502653|XP_035890997.1|ASTE	LOC115759819|XP_030556771.1|DNOV
OG0001633	LOC118502573|XP_035890791.1|ASTE, LOC118502572|XP_035890789.1|ASTE	LOC115767920|XP_030568149.1|DNOV
OG0001634	LOC118506703|XP_035900088.1|ASTE	LOC115760353|XP_030557502.1|DNOV
OG0001635	LOC118506413|XP_035899385.1|ASTE, LOC118506412|XP_035899384.1|ASTE	LOC115765634|XP_030565147.1|DNOV
OG0001636	LOC118506419|XP_035899410.1|ASTE	LOC115759438|XP_030556213.1|DNOV
OG0001637	LOC118507153|XP_035901082.1|ASTE	LOC115761969|XP_030559871.1|DNOV
OG0001638	LOC118504328|XP_035894552.1|ASTE	LOC115768038|XP_030568320.1|DNOV
OG0001639	LOC118507978|XP_035903220.1|ASTE	LOC115762437|XP_030560493.1|DNOV
OG0001640	LOC118511402|XP_035910329.1|ASTE	LOC115759471|XP_030556265.1|DNOV
OG0001641	LOC118504238|XP_035894355.1|ASTE	LOC115770711|XP_030571968.1|DNOV
OG0001642	LOC118504527|XP_035894962.1|ASTE	LOC115765255|XP_030564594.1|DNOV
OG0001643	LOC118508101|XP_035903477.1|ASTE	LOC115759043|XP_030555727.1|DNOV
OG0001644	LOC118503910|XP_035893596.1|ASTE	LOC115771484|XP_030573066.1|DNOV
OG0001645	LOC118506316|XP_035899158.1|ASTE	LOC115771742|XP_030573434.1|DNOV
OG0001646	LOC118507916|XP_035903110.1|ASTE	LOC115757791|XP_030554064.1|DNOV
OG0001647	LOC118507219|XP_035901214.1|ASTE	LOC115760284|XP_030557415.1|DNOV, LOC115764471|XP_030563401.1|DNOV
OG0001648	LOC118504048|XP_035893944.1|ASTE	LOC115768772|XP_030569326.1|DNOV
OG0001649	LOC118512355|XP_035912550.1|ASTE	LOC115760627|XP_030557938.1|DNOV
OG0001650	LOC118503629|XP_035893012.1|ASTE, LOC118507436|XP_035901808.1|ASTE	LOC115766513|XP_030566334.1|DNOV
OG0001651	LOC118506207|XP_035898907.1|ASTE, LOC118506315|XP_035899157.1|ASTE	LOC115771027|XP_030572419.1|DNOV
OG0001652	LOC118504165|XP_035894194.1|ASTE	LOC115767714|XP_030567878.1|DNOV
OG0001653	LOC118503238|XP_035892140.1|ASTE	LOC115766725|XP_030566546.1|DNOV, LOC115770755|XP_030572030.1|DNOV
OG0001654	LOC118503058|XP_035891817.1|ASTE	LOC115767487|XP_030567655.1|DNOV
OG0001655	LOC118503057|XP_035891815.1|ASTE	LOC115758295|XP_030554722.1|DNOV
OG0001656	LOC118503089|XP_035891872.1|ASTE	LOC115763070|XP_030561359.1|DNOV
OG0001657	LOC118503360|XP_035892445.1|ASTE	LOC115770086|XP_030571058.1|DNOV
OG0001658	LOC118508050|XP_035903397.1|ASTE	LOC115771536|XP_030573134.1|DNOV
OG0001659	LOC118504911|XP_035895873.1|ASTE	LOC115770153|XP_030571163.1|DNOV, LOC115770154|XP_030571167.1|DNOV
OG0001660	LOC118504453|XP_035894843.1|ASTE	LOC115771195|XP_030572651.1|DNOV
OG0001661	LOC118508365|XP_035903979.1|ASTE	LOC115764994|XP_030564192.1|DNOV
OG0001662	LOC118510373|XP_035907991.1|ASTE	LOC115762947|XP_030561192.1|DNOV
OG0001678	LOC118505686|XP_035897718.1|ASTE	LOC115764239|XP_030563016.1|DNOV, LOC115764287|XP_030563079.1|DNOV
OG0001679	LOC118506580|XP_035899831.1|ASTE, LOC118506589|XP_035899844.1|ASTE	LOC115768682|XP_030569226.1|DNOV
OG0001680	LOC118503965|XP_035893774.1|ASTE	LOC115772090|XP_030573910.1|DNOV, LOC115768818|XP_030569376.1|DNOV
OG0001681	LOC118511258|XP_035910021.1|ASTE	LOC115765136|XP_030564394.1|DNOV
OG0001682	LOC118505497|XP_035897250.1|ASTE	LOC115766521|XP_030566348.1|DNOV, LOC115766903|XP_030566841.1|DNOV
OG0001683	LOC118502935|XP_035891580.1|ASTE, LOC118511236|XP_035909966.1|ASTE	LOC115763329|XP_030561693.1|DNOV
OG0001684	LOC118510517|XP_035908380.1|ASTE, LOC118509599|XP_035906283.1|ASTE	LOC115766746|XP_030566583.1|DNOV
OG0001685	LOC118513284|XP_035914745.1|ASTE	LOC115758401|XP_030554904.1|DNOV
OG0001686	LOC118511071|XP_035909614.1|ASTE	LOC115766336|XP_030566089.1|DNOV
OG0001687	LOC118507884|XP_035903014.1|ASTE	LOC115768145|XP_030568500.1|DNOV
OG0001688	LOC118504183|XP_035894235.1|ASTE	LOC115768672|XP_030569215.1|DNOV
OG0001689	LOC118507763|XP_035902677.1|ASTE	LOC115768836|XP_030569393.1|DNOV
OG0001690	LOC118517487|XP_035919576.1|ASTE	LOC115769816|XP_030570644.1|DNOV
OG0001691	LOC118511295|XP_035910098.1|ASTE	LOC115758956|XP_030555617.1|DNOV
OG0001694	LOC118508393|XP_035904036.1|ASTE	LOC115761709|XP_030559444.1|DNOV
OG0001695	LOC118505813|XP_035898050.1|ASTE	LOC115763945|XP_030562600.1|DNOV, LOC115763963|XP_030562621.1|DNOV
OG0001696	LOC118502666|XP_035891025.1|ASTE	LOC115761829|XP_030559631.1|DNOV
OG0001698	LOC118517004|XP_035918739.1|ASTE	LOC115768217|XP_030568601.1|DNOV
OG0001699	LOC118504564|XP_035895066.1|ASTE	LOC115762020|XP_030559948.1|DNOV, LOC115761869|XP_030559728.1|DNOV
OG0001700	LOC118502360|XP_035890470.1|ASTE	LOC115759572|XP_030556398.1|DNOV
OG0001701	LOC118502680|XP_035891081.1|ASTE	LOC115764158|XP_030562896.1|DNOV
OG0001702	LOC118513413|XP_035915014.1|ASTE	LOC115763608|XP_030562096.1|DNOV
OG0001703	LOC118508469|XP_035904168.1|ASTE	LOC115768650|XP_030569183.1|DNOV
OG0001704	LOC118508468|XP_035904167.1|ASTE	LOC115768633|XP_030569159.1|DNOV
OG0001705	LOC118508458|XP_035904154.1|ASTE	LOC115760584|XP_030557869.1|DNOV
OG0001706	LOC118506152|XP_035898802.1|ASTE	LOC115763609|XP_030562097.1|DNOV
OG0001707	LOC118505428|XP_035897085.1|ASTE	LOC115771787|XP_030573517.1|DNOV
OG0001708	LOC118506955|XP_035900667.1|ASTE	LOC115764098|XP_030562811.1|DNOV
OG0001709	LOC118508295|XP_035903837.1|ASTE	LOC115769677|XP_030570454.1|DNOV
OG0001710	LOC118507504|XP_035901928.1|ASTE	LOC115771750|XP_030573457.1|DNOV
OG0001711	LOC118503294|XP_035892281.1|ASTE	LOC115772017|XP_030573808.1|DNOV
OG0001712	LOC118505624|XP_035897580.1|ASTE	LOC115764678|XP_030563726.1|DNOV
OG0001713	LOC118506917|XP_035900606.1|ASTE	LOC115770873|XP_030572170.1|DNOV, LOC115770942|XP_030572262.1|DNOV
OG0001714	LOC118505300|XP_035896802.1|ASTE	LOC115763644|XP_030562139.1|DNOV
OG0001715	LOC118514342|XP_035917052.1|ASTE, LOC118507864|XP_035902961.1|ASTE	LOC115765240|XP_030564558.1|DNOV
OG0001716	LOC118504968|XP_035895992.1|ASTE	LOC115767354|XP_030567467.1|DNOV, LOC115765289|XP_030564639.1|DNOV
OG0001717	LOC118504829|XP_035895725.1|ASTE	LOC115761177|XP_030558699.1|DNOV
OG0001718	LOC118516463|XP_035918256.1|ASTE, LOC118505033|XP_035896155.1|ASTE	LOC115761696|XP_030559426.1|DNOV, LOC115761452|XP_030559079.1|DNOV
OG0001719	LOC118507821|XP_035902795.1|ASTE	LOC115772057|XP_030573861.1|DNOV
OG0001720	LOC118508567|XP_035904359.1|ASTE	LOC115764973|XP_030564158.1|DNOV
OG0001721	LOC118505089|XP_035896279.1|ASTE, LOC118505097|XP_035896292.1|ASTE	LOC115765003|XP_030564209.1|DNOV
OG0001722	LOC118510173|XP_035907586.1|ASTE, LOC118510171|XP_035907579.1|ASTE	LOC115769439|XP_030570108.1|DNOV
OG0001723	LOC118512085|XP_035911941.1|ASTE	LOC115762128|XP_030560093.1|DNOV
OG0001724	LOC118508883|XP_035904591.1|ASTE	LOC115760764|XP_030558104.1|DNOV
OG0001725	LOC118508866|XP_035904519.1|ASTE	LOC115760937|XP_030558375.1|DNOV
OG0001726	LOC118509604|XP_035906293.1|ASTE	LOC115762693|XP_030560875.1|DNOV
OG0001727	LOC118511368|XP_035910239.1|ASTE, LOC118508032|XP_035903326.1|ASTE	LOC115772075|XP_030573886.1|DNOV
OG0001728	LOC118512957|XP_035914073.1|ASTE	LOC115762406|XP_030560456.1|DNOV
OG0001729	LOC118512169|XP_035912142.1|ASTE	LOC115760521|XP_030557751.1|DNOV
OG0001730	LOC118510465|XP_035908214.1|ASTE	LOC115758369|XP_030554817.1|DNOV
OG0001732	LOC118509125|XP_035905212.1|ASTE	LOC115759351|XP_030556133.1|DNOV
OG0001733	LOC118513033|XP_035914203.1|ASTE	LOC115762398|XP_030560444.1|DNOV
OG0001734	LOC118513030|XP_035914199.1|ASTE, LOC118513036|XP_035914206.1|ASTE	LOC115760920|XP_030558353.1|DNOV
OG0001735	LOC118509500|XP_035906051.1|ASTE	LOC115767136|XP_030567158.1|DNOV
OG0001736	LOC118512837|XP_035913783.1|ASTE	LOC115761616|XP_030559301.1|DNOV
OG0001737	LOC118511438|XP_035910426.1|ASTE	LOC115762451|XP_030560514.1|DNOV
OG0001738	LOC118514230|XP_035916826.1|ASTE	LOC115771009|XP_030572375.1|DNOV
OG0001739	LOC118511795|XP_035911218.1|ASTE	LOC115760094|XP_030557139.1|DNOV
OG0001740	LOC118512766|XP_035913558.1|ASTE, LOC118516356|XP_035918081.1|ASTE	LOC115760765|XP_030558109.1|DNOV
OG0001741	LOC118511400|XP_035910328.1|ASTE	LOC115766113|XP_030565794.1|DNOV
OG0001742	LOC118514205|XP_035916791.1|ASTE	LOC115760073|XP_030557113.1|DNOV
OG0001744	LOC118509613|XP_035906319.1|ASTE	LOC115761853|XP_030560103.1|DNOV
OG0001745	LOC118510343|XP_035907906.1|ASTE	LOC115758318|XP_030554745.1|DNOV, LOC115767030|XP_030567052.1|DNOV
OG0001746	LOC118511871|XP_035911364.1|ASTE	LOC115770036|XP_030570963.1|DNOV
OG0001747	LOC118512853|XP_035913817.1|ASTE	LOC115760738|XP_030558074.1|DNOV
OG0001748	LOC118509126|XP_035905213.1|ASTE, LOC118509118|XP_035905182.1|ASTE	LOC115771148|XP_030572580.1|DNOV
OG0001749	LOC118514171|XP_035916729.1|ASTE, LOC118516709|XP_035918560.1|ASTE	LOC115771122|XP_030572550.1|DNOV
OG0001750	LOC118514170|XP_035916728.1|ASTE, LOC118516708|XP_035918543.1|ASTE	LOC115771103|XP_030572526.1|DNOV
OG0001751	LOC118511876|XP_035911386.1|ASTE	LOC115770986|XP_030572335.1|DNOV
OG0001752	LOC118509574|XP_035906233.1|ASTE, LOC118516424|XP_035918188.1|ASTE	LOC115769737|XP_030570536.1|DNOV
OG0001753	LOC118511557|XP_035910679.1|ASTE	LOC115767135|XP_030567156.1|DNOV
OG0001754	LOC118512260|XP_035912318.1|ASTE	LOC115760794|XP_030558149.1|DNOV
OG0001755	LOC118513483|XP_035915187.1|ASTE	LOC115767174|XP_030567217.1|DNOV
OG0001756	LOC118511549|XP_035910651.1|ASTE	LOC115760554|XP_030557810.1|DNOV
OG0001757	LOC118511847|XP_035911284.1|ASTE	LOC115761094|XP_030558576.1|DNOV
OG0001758	LOC118511858|XP_035911299.1|ASTE	LOC115770040|XP_030570970.1|DNOV, LOC115757656|XP_030554237.1|DNOV
OG0001759	LOC118511522|XP_035910603.1|ASTE	LOC115760005|XP_030557027.1|DNOV
OG0001760	LOC118511345|XP_035910192.1|ASTE	LOC115762069|XP_030560018.1|DNOV
OG0001761	LOC118509572|XP_035906230.1|ASTE, LOC118516430|XP_035918200.1|ASTE	LOC115771810|XP_030573551.1|DNOV
OG0001762	LOC118505666|XP_035897685.1|ASTE, LOC118504544|XP_035895039.1|ASTE	LOC115758847|XP_030555489.1|DNOV
OG0001763	LOC118504332|XP_035894559.1|ASTE	LOC115760261|XP_030557385.1|DNOV, LOC115760262|XP_030557386.1|DNOV
OG0001764	LOC118510973|XP_035909359.1|ASTE	LOC115761281|XP_030558861.1|DNOV
OG0001765	LOC118510963|XP_035909322.1|ASTE	LOC115762159|XP_030560133.1|DNOV
OG0001766	LOC118512726|XP_035913475.1|ASTE	LOC115760124|XP_030557182.1|DNOV
OG0001767	LOC118511704|XP_035911013.1|ASTE	LOC115758735|XP_030555345.1|DNOV, LOC115758692|XP_030555297.1|DNOV
OG0001768	LOC118513979|XP_035916298.1|ASTE	LOC115765893|XP_030565495.1|DNOV
OG0001769	LOC118510626|XP_035908556.1|ASTE	LOC115759320|XP_030556090.1|DNOV
OG0001770	LOC118513941|XP_035916217.1|ASTE	LOC115760045|XP_030557072.1|DNOV
OG0001771	LOC118513978|XP_035916297.1|ASTE	LOC115758600|XP_030555183.1|DNOV, LOC115758555|XP_030555113.1|DNOV
OG0001772	LOC118511057|XP_035909559.1|ASTE	LOC115763960|XP_030562618.1|DNOV
OG0001774	LOC118513879|XP_035916079.1|ASTE, LOC118517087|XP_035918832.1|ASTE, LOC118517088|XP_035918833.1|ASTE	LOC115762089|XP_030560044.1|DNOV
OG0001776	LOC118513424|XP_035915030.1|ASTE	LOC115763405|XP_030561816.1|DNOV
OG0001777	LOC118511584|XP_035910729.1|ASTE	LOC115759805|XP_030556749.1|DNOV
OG0001778	LOC118510842|XP_035909063.1|ASTE	LOC115759119|XP_030555822.1|DNOV
OG0001779	LOC118513433|XP_035915055.1|ASTE	LOC115763358|XP_030561743.1|DNOV
OG0001780	LOC118508989|XP_035904880.1|ASTE	LOC115762062|XP_030560008.1|DNOV
OG0001781	LOC118513441|XP_035915075.1|ASTE, LOC118509132|XP_035905224.1|ASTE	LOC115763435|XP_030561858.1|DNOV
OG0001782	LOC118510004|XP_035907282.1|ASTE, LOC118515321|XP_035917903.1|ASTE	LOC115769235|XP_030569808.1|DNOV
OG0001783	LOC118510106|XP_035907465.1|ASTE	LOC115763051|XP_030561336.1|DNOV
OG0001784	LOC118514156|XP_035916665.1|ASTE	LOC115758503|XP_030555050.1|DNOV
OG0001785	LOC118508993|XP_035904884.1|ASTE	LOC115762228|XP_030560223.1|DNOV
OG0001786	LOC118512499|XP_035912901.1|ASTE	LOC115760122|XP_030557179.1|DNOV
OG0001787	LOC118512503|XP_035912906.1|ASTE	LOC115759854|XP_030556815.1|DNOV, LOC115759983|XP_030556997.1|DNOV
OG0001788	LOC118515317|XP_035917897.1|ASTE, LOC118509847|XP_035906938.1|ASTE	LOC115758091|XP_030554470.1|DNOV
OG0001789	LOC118509199|XP_035905362.1|ASTE, LOC118517261|XP_035919128.1|ASTE	LOC115766544|XP_030566377.1|DNOV
OG0001790	LOC118513622|XP_035915572.1|ASTE	LOC115760171|XP_030557251.1|DNOV
OG0001791	LOC118517108|XP_035918868.1|ASTE, LOC118513805|XP_035915901.1|ASTE	LOC115770853|XP_030572184.1|DNOV
OG0001792	LOC118513003|XP_035914153.1|ASTE	LOC115760120|XP_030557175.1|DNOV
OG0001793	LOC118513202|XP_035914586.1|ASTE	LOC115758192|XP_030554598.1|DNOV
OG0001794	LOC118514049|XP_035916437.1|ASTE	LOC115758830|XP_030555467.1|DNOV
OG0001795	LOC118510682|XP_035908738.1|ASTE	LOC115760281|XP_030557410.1|DNOV
OG0001797	LOC118517191|XP_035919029.1|ASTE, LOC118505359|XP_035896928.1|ASTE	LOC115766752|XP_030566590.1|DNOV
OG0001798	LOC118504609|XP_035895179.1|ASTE	LOC115758715|XP_030555328.1|DNOV
OG0001799	LOC118502437|XP_035890558.1|ASTE	LOC115765318|XP_030564678.1|DNOV
OG0001800	LOC118506758|XP_035900245.1|ASTE	LOC115759785|XP_030556720.1|DNOV
OG0001801	LOC118504812|XP_035895709.1|ASTE	LOC115769914|XP_030570797.1|DNOV
OG0001802	LOC118517567|XP_035919704.1|ASTE	LOC115759552|XP_030556374.1|DNOV
OG0001803	LOC118505481|XP_035897192.1|ASTE	LOC115763836|XP_030562455.1|DNOV
OG0001804	LOC118502465|XP_035890589.1|ASTE	LOC115759416|XP_030556168.1|DNOV
OG0001805	LOC118506677|XP_035900025.1|ASTE	LOC115770990|XP_030572342.1|DNOV
OG0001806	LOC118505362|XP_035896945.1|ASTE	LOC115770844|XP_030572141.1|DNOV, LOC115770909|XP_030572213.1|DNOV
OG0001808	LOC118507956|XP_035903175.1|ASTE	LOC115767883|XP_030568106.1|DNOV
OG0001810	LOC118513263|XP_035914719.1|ASTE	LOC115764652|XP_030563693.1|DNOV
OG0001811	LOC118502528|XP_035890686.1|ASTE	LOC115759566|XP_030556395.1|DNOV
OG0001812	LOC118504326|XP_035894548.1|ASTE	LOC115769132|XP_030569699.1|DNOV
OG0001814	LOC118517396|XP_035919353.1|ASTE, LOC118510975|XP_035909362.1|ASTE	LOC115764616|XP_030563634.1|DNOV
OG0001815	LOC118510989|XP_035909397.1|ASTE	LOC115760355|XP_030557504.1|DNOV, LOC115763695|XP_030562242.1|DNOV
OG0001816	LOC118504272|XP_035894399.1|ASTE	LOC115764576|XP_030563583.1|DNOV, LOC115768047|XP_030568339.1|DNOV
OG0001817	LOC118512394|XP_035912666.1|ASTE	LOC115763198|XP_030561524.1|DNOV, LOC115763938|XP_030562592.1|DNOV
OG0001818	LOC118507139|XP_035901062.1|ASTE	LOC115768188|XP_030568557.1|DNOV
OG0001819	LOC118504802|XP_035895683.1|ASTE	LOC115765190|XP_030564481.1|DNOV
OG0001820	LOC118503962|XP_035893750.1|ASTE	LOC115767226|XP_030567283.1|DNOV
OG0001821	LOC118504871|XP_035895815.1|ASTE	LOC115761152|XP_030558683.1|DNOV
OG0001822	LOC118506228|XP_035898959.1|ASTE	LOC115760908|XP_030558338.1|DNOV
OG0001823	LOC118507932|XP_035903129.1|ASTE, LOC118517652|XP_035919872.1|ASTE	LOC115766248|XP_030565971.1|DNOV
OG0001824	LOC118508277|XP_035903811.1|ASTE	LOC115760255|XP_030557376.1|DNOV
OG0001825	LOC118503934|XP_035893674.1|ASTE	LOC115767430|XP_030567569.1|DNOV
OG0001826	LOC118505312|XP_035896843.1|ASTE	LOC115759727|XP_030556608.1|DNOV
OG0001827	LOC118504777|XP_035895602.1|ASTE	LOC115758236|XP_030554648.1|DNOV
OG0001828	LOC118505912|XP_035898264.1|ASTE	LOC115767872|XP_030568092.1|DNOV, LOC115769940|XP_030570844.1|DNOV
OG0001829	LOC118517209|XP_035919064.1|ASTE, LOC118507913|XP_035903099.1|ASTE	LOC115757828|XP_030554112.1|DNOV
OG0001830	LOC118505776|XP_035897940.1|ASTE	LOC115757906|XP_030554217.1|DNOV
OG0001831	LOC118504166|XP_035894196.1|ASTE, LOC118504167|XP_035894201.1|ASTE	LOC115771387|XP_030572932.1|DNOV
OG0001832	LOC118503535|XP_035892814.1|ASTE	LOC115767569|XP_030567714.1|DNOV, LOC115767568|XP_030567713.1|DNOV, LOC115764066|XP_030562774.1|DNOV
OG0001833	LOC118503397|XP_035892492.1|ASTE	LOC115763798|XP_030562401.1|DNOV, LOC115761868|XP_030559731.1|DNOV
OG0001834	LOC118504457|XP_035894845.1|ASTE, LOC118503601|XP_035892965.1|ASTE, LOC118512858|XP_035913834.1|ASTE	LOC115761629|XP_030559318.1|DNOV
OG0001837	LOC118509598|XP_035906281.1|ASTE	LOC115769944|XP_030570848.1|DNOV
OG0001848	LOC118513372|XP_035914900.1|ASTE	LOC115760422|XP_030557590.1|DNOV
OG0001849	LOC118504814|XP_035895711.1|ASTE, LOC118504813|XP_035895710.1|ASTE	LOC115761359|XP_030558965.1|DNOV
OG0001850	LOC118509662|XP_035906527.1|ASTE	LOC115766803|XP_030566688.1|DNOV
OG0001851	LOC118509524|XP_035906130.1|ASTE	LOC115766706|XP_030566484.1|DNOV
OG0001852	LOC118509475|XP_035906008.1|ASTE	LOC115762768|XP_030560977.1|DNOV
OG0001854	LOC118517529|XP_035919655.1|ASTE	LOC115766463|XP_030566258.1|DNOV
OG0001855	LOC118511958|XP_035911573.1|ASTE	LOC115764515|XP_030563472.1|DNOV
OG0001856	LOC118505541|XP_035897369.1|ASTE, LOC118505545|XP_035897383.1|ASTE	LOC115767288|XP_030567379.1|DNOV
OG0001857	LOC118517503|XP_035919611.1|ASTE	LOC115764274|XP_030563059.1|DNOV
OG0001858	LOC118515515|XP_035917926.1|ASTE	LOC115764273|XP_030563058.1|DNOV
OG0001859	LOC118515902|XP_035917969.1|ASTE	LOC115767823|XP_030568024.1|DNOV
OG0001860	LOC118510558|XP_035908434.1|ASTE	LOC115770400|XP_030571513.1|DNOV
OG0001861	LOC118506584|XP_035899832.1|ASTE	LOC115757772|XP_030554057.1|DNOV
OG0001862	LOC118512568|XP_035913060.1|ASTE, LOC118516436|XP_035918211.1|ASTE	LOC115764693|XP_030563747.1|DNOV
OG0001863	LOC118502521|XP_035890675.1|ASTE	LOC115765257|XP_030564596.1|DNOV
OG0001864	LOC118502696|XP_035891112.1|ASTE	LOC115772134|XP_030573974.1|DNOV
OG0001865	LOC118510313|XP_035907844.1|ASTE	LOC115765586|XP_030565096.1|DNOV, LOC115766372|XP_030566132.1|DNOV
OG0001866	LOC118509981|XP_035907254.1|ASTE, LOC118517439|XP_035919465.1|ASTE	LOC115761422|XP_030559043.1|DNOV
OG0001867	LOC118507545|XP_035902021.1|ASTE, LOC118508521|XP_035904269.1|ASTE	LOC115771049|XP_030572457.1|DNOV
OG0001868	LOC118517415|XP_035919411.1|ASTE	LOC115758670|XP_030555273.1|DNOV
OG0001869	LOC118517411|XP_035919386.1|ASTE, LOC118504806|XP_035895694.1|ASTE	LOC115761194|XP_030558727.1|DNOV
OG0001870	LOC118505043|XP_035896191.1|ASTE	LOC115768684|XP_030569229.1|DNOV
OG0001871	LOC118511316|XP_035910126.1|ASTE	LOC115768171|XP_030568529.1|DNOV
OG0001872	LOC118517586|XP_035919758.1|ASTE	LOC115759595|XP_030556424.1|DNOV
OG0001873	LOC118502801|XP_035891314.1|ASTE	LOC115764771|XP_030563870.1|DNOV
OG0001874	LOC118512878|XP_035913869.1|ASTE, LOC118512869|XP_035913857.1|ASTE	LOC115760351|XP_030557501.1|DNOV
OG0001875	LOC118505059|XP_035896232.1|ASTE	LOC115771918|XP_030573670.1|DNOV, LOC115771673|XP_030573347.1|DNOV
OG0001876	LOC118505620|XP_035897575.1|ASTE	LOC115760594|XP_030557887.1|DNOV
OG0001877	LOC118511185|XP_035909840.1|ASTE	LOC115767797|XP_030567988.1|DNOV
OG0001878	LOC118513042|XP_035914227.1|ASTE, LOC118516541|XP_035918379.1|ASTE	LOC115761751|XP_030559512.1|DNOV
OG0001879	LOC118504755|XP_035895569.1|ASTE	LOC115760404|XP_030557563.1|DNOV, LOC115760370|XP_030557523.1|DNOV, LOC115768249|XP_030568639.1|DNOV
OG0001880	LOC118508454|XP_035904149.1|ASTE	LOC115770589|XP_030571778.1|DNOV
OG0001881	LOC118507542|XP_035902014.1|ASTE	LOC115759502|XP_030556303.1|DNOV
OG0001882	LOC118507538|XP_035902008.1|ASTE	LOC115772033|XP_030573823.1|DNOV
OG0001883	LOC118506779|XP_035900279.1|ASTE	LOC115764818|XP_030563927.1|DNOV
OG0001884	LOC118506780|XP_035900285.1|ASTE	LOC115757676|XP_030553867.1|DNOV
OG0001885	LOC118512936|XP_035914012.1|ASTE	LOC115759111|XP_030555813.1|DNOV, LOC115760160|XP_030557232.1|DNOV
OG0001886	LOC118502907|XP_035891521.1|ASTE	LOC115761938|XP_030559833.1|DNOV
OG0001887	LOC118502569|XP_035890784.1|ASTE	LOC115758283|XP_030554707.1|DNOV
OG0001888	LOC118502568|XP_035890783.1|ASTE	LOC115763663|XP_030562194.1|DNOV
OG0001889	LOC118502846|XP_035891435.1|ASTE	LOC115767801|XP_030567992.1|DNOV
OG0001890	LOC118505228|XP_035896649.1|ASTE	LOC115771531|XP_030573128.1|DNOV
OG0001891	LOC118505829|XP_035898072.1|ASTE	LOC115771655|XP_030573320.1|DNOV
OG0001892	LOC118507471|XP_035901866.1|ASTE	LOC115758508|XP_030555058.1|DNOV
OG0001893	LOC118517612|XP_035919801.1|ASTE	LOC115764956|XP_030564138.1|DNOV
OG0001894	LOC118502737|XP_035891194.1|ASTE	LOC115762066|XP_030560013.1|DNOV
OG0001895	LOC118517179|XP_035918977.1|ASTE, LOC118504673|XP_035895356.1|ASTE	LOC115766726|XP_030566542.1|DNOV
OG0001896	LOC118504211|XP_035894295.1|ASTE	LOC115763931|XP_030562582.1|DNOV
OG0001897	LOC118503289|XP_035892271.1|ASTE	LOC115771770|XP_030573484.1|DNOV
OG0001898	LOC118506902|XP_035900578.1|ASTE	LOC115768031|XP_030568313.1|DNOV
OG0001899	LOC118505189|XP_035896537.1|ASTE	LOC115764108|XP_030562823.1|DNOV
OG0001900	LOC118511635|XP_035910841.1|ASTE, LOC118506007|XP_035898485.1|ASTE	LOC115771504|XP_030573093.1|DNOV
OG0001901	LOC118506440|XP_035899461.1|ASTE	LOC115759717|XP_030556584.1|DNOV
OG0001903	LOC118507507|XP_035901939.1|ASTE	LOC115764070|XP_030562777.1|DNOV
OG0001904	LOC118507779|XP_035902707.1|ASTE	LOC115761380|XP_030558991.1|DNOV
OG0001905	LOC118508456|XP_035904151.1|ASTE	LOC115766273|XP_030565998.1|DNOV, LOC115758229|XP_030554641.1|DNOV
OG0001906	LOC118504404|XP_035894725.1|ASTE	LOC115761740|XP_030559487.1|DNOV
OG0001907	LOC118505220|XP_035896630.1|ASTE	LOC115765120|XP_030564375.1|DNOV
OG0001908	LOC118503469|XP_035892656.1|ASTE	LOC115764870|XP_030564008.1|DNOV
OG0001909	LOC118507734|XP_035902596.1|ASTE	LOC115764258|XP_030563037.1|DNOV
OG0001910	LOC118511959|XP_035911574.1|ASTE	LOC115761223|XP_030558772.1|DNOV
