Orthogroup	ASTE.longest_only	AEAL.longest_only
OG0001136	LOC118502679|XP_035891077.1|ASTE	LOC109409584|XP_029732462.1|AEAL, LOC115268460|XP_029732317.1|AEAL, LOC115268457|XP_029732304.1|AEAL
OG0001137	LOC118507713|XP_035902501.1|ASTE	LOC109406162|XP_019534775.1|AEAL, LOC109401796|XP_019529955.1|AEAL
OG0001138	LOC118509208|XP_035905374.1|ASTE	LOC109397776|XP_029712084.1|AEAL
OG0001139	LOC118512386|XP_035912651.1|ASTE	LOC109412044|XP_019541231.2|AEAL
OG0001153	LOC118508003|XP_035903270.1|ASTE	LOC115256680|XP_029711441.1|AEAL, LOC115256405|XP_029710746.1|AEAL, LOC109427540|XP_019558650.2|AEAL
OG0001154	LOC118512659|XP_035913299.1|ASTE	LOC109407226|XP_029715238.1|AEAL
OG0001155	LOC118504144|XP_035894135.1|ASTE	LOC115268790|XP_029732823.1|AEAL, LOC109412929|XP_019542126.2|AEAL
OG0001155	LOC118506049|XP_035898576.1|ASTE	LOC115257806|XP_029713620.1|AEAL, LOC115257369|XP_029712743.1|AEAL, LOC109414198|XP_029712502.1|AEAL
OG0001156	LOC118509746|XP_035906769.1|ASTE	LOC109414069|XP_019543351.2|AEAL, LOC115256100|XP_029710219.1|AEAL, LOC115258016|XP_029713871.1|AEAL, LOC115256067|XP_029710171.1|AEAL, LOC115256101|XP_029710220.1|AEAL
OG0001156	LOC118509743|XP_035906767.1|ASTE	LOC109414068|XP_019543350.2|AEAL, LOC115256069|XP_029710172.1|AEAL, LOC115256099|XP_029710218.1|AEAL
OG0001156	LOC118507462|XP_035901848.1|ASTE	LOC115256102|XP_029710221.1|AEAL, LOC109414102|XP_019543396.2|AEAL, LOC115256072|XP_029710175.1|AEAL
OG0001156	LOC118509745|XP_035906768.1|ASTE	LOC109414100|XP_019543394.2|AEAL, LOC115258018|XP_029713873.1|AEAL, LOC115256070|XP_029710173.1|AEAL, LOC115258017|XP_029713872.1|AEAL, LOC109414099|XP_019543393.2|AEAL
OG0001157	LOC118506530|XP_035899687.1|ASTE	LOC109403733|XP_029718533.1|AEAL
OG0001157	LOC118504721|XP_035895504.1|ASTE	LOC109431516|XP_029717886.1|AEAL
OG0001158	LOC118508287|XP_035903820.1|ASTE	LOC109412158|XP_019541347.1|AEAL, LOC115260870|XP_029718065.1|AEAL, LOC115260869|XP_029718064.1|AEAL
OG0001158	LOC118509830|XP_035906897.1|ASTE	LOC109423923|XP_029727260.1|AEAL, LOC109404799|XP_029727300.1|AEAL
OG0001159	LOC118504680|XP_035895379.1|ASTE	LOC115265659|XP_029727470.1|AEAL, LOC109431959|XP_029722842.1|AEAL, LOC109432221|XP_029722817.1|AEAL
OG0001159	LOC118504371|XP_035894669.1|ASTE	LOC115257243|XP_029712545.1|AEAL, LOC115257240|XP_029712540.1|AEAL
OG0001160	LOC118506788|XP_035900298.1|ASTE	LOC109400071|XP_029707703.1|AEAL, LOC109621624|XP_029707671.1|AEAL
OG0001161	LOC118506803|XP_035900336.1|ASTE	LOC115254369|XP_029707719.1|AEAL, LOC115253583|XP_029707712.1|AEAL, LOC109400045|XP_029707645.1|AEAL
OG0001162	LOC118505144|XP_035896396.1|ASTE	LOC109623099|XP_029710000.1|AEAL, LOC115255934|XP_029710012.1|AEAL
OG0001163	LOC118507505|XP_035901931.1|ASTE	LOC109401653|XP_019529771.2|AEAL, LOC109423622|XP_029723316.1|AEAL, LOC115264112|XP_029723298.1|AEAL
OG0001164	LOC118504965|XP_035895980.1|ASTE, LOC118505092|XP_035896283.1|ASTE, LOC118504966|XP_035895982.1|ASTE	LOC115267183|XP_029729911.1|AEAL, LOC109405410|XP_029712594.1|AEAL
OG0001165	LOC118507467|XP_035901855.1|ASTE	LOC109405429|XP_019534039.2|AEAL
OG0001166	LOC118510245|XP_035907708.1|ASTE	LOC109414826|XP_029726650.1|AEAL
OG0001167	LOC118517289|XP_035919161.1|ASTE, LOC118513604|XP_035915534.1|ASTE	LOC115255807|XP_029709842.1|AEAL, LOC109419700|XP_029733501.1|AEAL
OG0001168	LOC118509897|XP_035907038.1|ASTE	LOC109417813|XP_029725483.1|AEAL
OG0001169	LOC118509719|XP_035906701.1|ASTE	LOC109408420|XP_029732437.1|AEAL
OG0001170	LOC118507819|XP_035902790.1|ASTE	LOC115263120|XP_029721900.1|AEAL, LOC115263304|XP_029722372.1|AEAL, LOC115263051|XP_029721840.1|AEAL, LOC115263048|XP_029721836.1|AEAL, LOC115263052|XP_029721841.1|AEAL, LOC115263049|XP_029721837.1|AEAL
OG0001171	LOC118512251|XP_035912287.1|ASTE, LOC118517164|XP_035918942.1|ASTE	LOC109407435|XP_029729637.1|AEAL, LOC115263136|XP_029721917.1|AEAL, LOC109416468|XP_029722351.1|AEAL, LOC115263279|XP_029722277.1|AEAL, LOC115263132|XP_029721911.1|AEAL
OG0001172	LOC118514628|XP_035917519.1|ASTE, LOC118509860|XP_035906961.1|ASTE	LOC109399467|XP_019527449.2|AEAL, LOC109398011|XP_019525891.2|AEAL
OG0001173	LOC118503022|XP_035891739.1|ASTE	LOC109414269|XP_019543634.2|AEAL
OG0001174	LOC118510344|XP_035907928.1|ASTE	LOC115266579|XP_029728830.1|AEAL, LOC109411127|XP_019540126.1|AEAL
OG0001175	LOC118506996|XP_035900774.1|ASTE	LOC109421575|XP_029728219.1|AEAL, LOC109407055|XP_029728223.1|AEAL
OG0001176	LOC118513904|XP_035916123.1|ASTE	LOC109428218|XP_019559461.2|AEAL, LOC115263988|XP_029723149.1|AEAL, LOC115263993|XP_029723154.1|AEAL, LOC109427899|XP_019559052.2|AEAL
OG0001177	LOC118510697|XP_035908780.1|ASTE	LOC109411712|XP_029720229.1|AEAL
OG0001178	LOC118514302|XP_035916975.1|ASTE	LOC109421316|XP_019551368.2|AEAL, LOC109621800|XP_019931478.1|AEAL
OG0001178	LOC118511785|XP_035911195.1|ASTE	LOC109419741|XP_029708593.1|AEAL
OG0001179	LOC118512602|XP_035913151.1|ASTE	LOC109427566|XP_019558681.2|AEAL
OG0001180	LOC118510715|XP_035908811.1|ASTE	LOC115262179|XP_029720337.1|AEAL, LOC109411694|XP_029720243.1|AEAL
OG0001181	LOC118505739|XP_035897822.1|ASTE	LOC109414185|XP_019543512.1|AEAL
OG0001182	LOC118507133|XP_035901055.1|ASTE	LOC109401498|XP_029725010.1|AEAL, LOC109431750|XP_029724953.1|AEAL
OG0001182	LOC118507129|XP_035901039.1|ASTE, LOC118507131|XP_035901049.1|ASTE	LOC109401450|XP_029725022.1|AEAL, LOC109431749|XP_029724962.1|AEAL
OG0001183	LOC118506509|XP_035899620.1|ASTE, LOC118506511|XP_035899628.1|ASTE	LOC109405001|XP_029727177.1|AEAL
OG0001184	LOC118506246|XP_035899010.1|ASTE	LOC109405980|XP_029734467.1|AEAL, LOC109622357|XP_019932174.2|AEAL, LOC109416747|XP_029717061.1|AEAL
OG0001185	LOC118507718|XP_035902509.1|ASTE	LOC109404402|XP_029727818.1|AEAL, LOC115266086|XP_029727861.1|AEAL, LOC109431900|XP_029727798.1|AEAL
OG0001186	LOC118506012|XP_035898491.1|ASTE	LOC109399376|XP_019527360.2|AEAL
OG0001187	LOC118504060|XP_035893987.1|ASTE	LOC115257587|XP_029713229.1|AEAL, LOC109433191|XP_019565143.2|AEAL, LOC115266883|XP_029729344.1|AEAL
OG0001187	LOC118504073|XP_035894019.1|ASTE	LOC109402294|XP_019530494.2|AEAL, LOC109433212|XP_019565161.2|AEAL, LOC115260075|XP_029716808.1|AEAL, LOC115257563|XP_029713195.1|AEAL
OG0001188	LOC118507751|XP_035902650.1|ASTE	LOC109424429|XP_019555078.2|AEAL
OG0001188	LOC118503704|XP_035893160.1|ASTE	LOC115264559|XP_029724238.1|AEAL
OG0001189	LOC118506041|XP_035898563.1|ASTE, LOC118516408|XP_035918164.1|ASTE	LOC109418659|XP_019548423.2|AEAL
OG0001189	LOC118505894|XP_035898241.1|ASTE, LOC118516472|XP_035918283.1|ASTE	LOC115267997|XP_029731736.1|AEAL, LOC115269466|XP_029734106.1|AEAL
OG0001190	LOC118508563|XP_035904355.1|ASTE	LOC109414799|XP_029719560.1|AEAL
OG0001190	LOC118508561|XP_035904352.1|ASTE	LOC109418646|XP_029719561.1|AEAL, LOC109414798|XP_029736448.1|AEAL
OG0001191	LOC118508197|XP_035903654.1|ASTE	LOC109418615|XP_019548365.1|AEAL, LOC109410097|XP_029713357.1|AEAL
OG0001191	LOC118508190|XP_035903644.1|ASTE	LOC109410100|XP_029733006.1|AEAL, LOC109418612|XP_029712964.1|AEAL, LOC115257655|XP_029713355.1|AEAL
OG0001192	LOC118507442|XP_035901817.1|ASTE	LOC115262769|XP_029721486.1|AEAL, LOC109431053|XP_029721481.1|AEAL
OG0001193	LOC118506106|XP_035898685.1|ASTE	LOC115254884|XP_029708431.1|AEAL, LOC109399105|XP_029731134.1|AEAL, LOC109399566|XP_029727176.1|AEAL
OG0001194	LOC118505981|XP_035898435.1|ASTE	LOC109399560|XP_029731199.1|AEAL
OG0001195	LOC118517297|XP_035919177.1|ASTE, LOC118517296|XP_035919175.1|ASTE, LOC118503111|XP_035891943.1|ASTE	LOC109421162|XP_019551201.2|AEAL, LOC109410562|XP_019539638.2|AEAL
OG0001200	LOC118502866|XP_035891470.1|ASTE	LOC109410346|XP_019539441.2|AEAL
OG0001200	LOC118502924|XP_035891558.1|ASTE	LOC109397816|XP_019525687.2|AEAL, LOC109405349|XP_019533947.2|AEAL
OG0001201	LOC118507003|XP_035900789.1|ASTE	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL
OG0001202	LOC118517404|XP_035919371.1|ASTE	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL
OG0001203	LOC118509632|XP_035906421.1|ASTE	LOC109424988|XP_029711078.1|AEAL
OG0001203	LOC118509691|XP_035906644.1|ASTE	LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL
OG0001204	LOC118516568|XP_035918429.1|ASTE	LOC109408950|XP_019537895.2|AEAL
OG0001205	LOC118515886|XP_035917968.1|ASTE	LOC109415236|XP_019544668.2|AEAL, LOC109428353|XP_019559616.2|AEAL
OG0001206	LOC118507373|XP_035901708.1|ASTE, LOC118510114|XP_035907474.1|ASTE	LOC109422192|XP_029710557.1|AEAL
OG0001207	LOC118517362|XP_035919272.1|ASTE, LOC118512174|XP_035912154.1|ASTE	LOC109416871|XP_019546517.1|AEAL
OG0001208	LOC118510473|XP_035908233.1|ASTE	LOC109423265|XP_019553743.2|AEAL
OG0001208	LOC118508317|XP_035903879.1|ASTE	LOC109425890|XP_019556814.2|AEAL
OG0001208	LOC118505348|XP_035897352.1|ASTE	LOC109422014|XP_029711117.1|AEAL, LOC115256582|XP_029711220.1|AEAL
OG0001209	LOC118503498|XP_035892723.1|ASTE	LOC109622458|XP_029711425.1|AEAL, LOC115258387|XP_029714337.1|AEAL, LOC109427462|XP_029707763.1|AEAL
OG0001209	LOC118503492|XP_035892710.1|ASTE	LOC109427463|XP_029708095.1|AEAL, LOC109427451|XP_029710821.1|AEAL
OG0001210	LOC118506747|XP_035900223.1|ASTE	LOC109425391|XP_029717696.1|AEAL, LOC115261678|XP_029719427.1|AEAL, LOC109418683|XP_019548443.1|AEAL
OG0001210	LOC118506743|XP_035900201.1|ASTE	LOC109415912|XP_029717657.1|AEAL, LOC109412955|XP_029717701.1|AEAL, LOC115261681|XP_029719430.1|AEAL
OG0001211	LOC118504432|XP_035894765.1|ASTE	LOC109410067|XP_029712702.1|AEAL
OG0001212	LOC118506149|XP_035898795.1|ASTE	LOC109412731|XP_019541898.2|AEAL, LOC109411856|XP_019541019.2|AEAL, LOC115259469|XP_029715906.1|AEAL
OG0001212	LOC118503033|XP_035891757.1|ASTE	LOC109413157|XP_029711334.1|AEAL
OG0001213	LOC118505302|XP_035896814.1|ASTE	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL
OG0001213	LOC118505303|XP_035896816.1|ASTE	LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL
OG0001214	LOC118507998|XP_035903262.1|ASTE	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL
OG0001215	LOC118508007|XP_035903285.1|ASTE	LOC109423631|XP_019554162.2|AEAL
OG0001215	LOC118508004|XP_035903271.1|ASTE	LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL
OG0001216	LOC118507996|XP_035903258.1|ASTE	LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL
OG0001217	LOC118503463|XP_035892642.1|ASTE	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL
OG0001218	LOC118507811|XP_035902772.1|ASTE	LOC109403864|XP_029723879.1|AEAL
OG0001219	LOC118510187|XP_035907601.1|ASTE	LOC109409803|XP_019538852.2|AEAL, LOC109412814|XP_019541971.2|AEAL, LOC109409802|XP_019538851.2|AEAL, LOC109412819|XP_019541976.2|AEAL
OG0001219	LOC118510185|XP_035907600.1|ASTE	LOC109412817|XP_019541974.2|AEAL, LOC109412816|XP_029727563.1|AEAL, LOC109412818|XP_019541975.2|AEAL
OG0001219	LOC118510176|XP_035907589.1|ASTE	LOC109409798|XP_019538846.2|AEAL
OG0001219	LOC118510178|XP_035907591.1|ASTE	LOC109409797|XP_019538845.2|AEAL
OG0001219	LOC118510175|XP_035907588.1|ASTE	LOC109409795|XP_029726059.1|AEAL, LOC109412825|XP_019541982.2|AEAL
OG0001220	LOC118508888|XP_035904614.1|ASTE	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL
OG0001220	LOC118508889|XP_035904615.1|ASTE	LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL
OG0001221	LOC118511247|XP_035909988.1|ASTE, LOC118516930|XP_035918670.1|ASTE	LOC109399239|XP_019527222.2|AEAL
OG0001221	LOC118516931|XP_035918671.1|ASTE, LOC118511246|XP_035909985.1|ASTE	LOC109429051|XP_029726541.1|AEAL
OG0001221	LOC118510589|XP_035908483.1|ASTE	LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL
OG0001222	LOC118505963|XP_035898392.1|ASTE	LOC109405806|XP_019534410.1|AEAL
OG0001223	LOC118514347|XP_035917058.1|ASTE	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL
OG0001224	LOC118506033|XP_035898545.1|ASTE	LOC109397980|XP_019525851.2|AEAL, LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL
OG0001225	LOC118509675|XP_035906574.1|ASTE	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL
OG0001226	LOC118511394|XP_035910317.1|ASTE	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL
OG0001227	LOC118511067|XP_035909568.1|ASTE	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL
OG0001228	LOC118512395|XP_035912669.1|ASTE	LOC109397760|XP_019525619.2|AEAL, LOC109428818|XP_019560210.2|AEAL, LOC115269394|XP_029733932.1|AEAL, LOC115258127|XP_029714026.1|AEAL
OG0001228	LOC118511013|XP_035909434.1|ASTE	LOC109398533|XP_019526462.2|AEAL, LOC109416521|XP_019546135.2|AEAL
OG0001229	LOC118514527|XP_035917400.1|ASTE	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL
OG0001230	LOC118509042|XP_035905008.1|ASTE	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL
OG0001231	LOC118511796|XP_035911219.1|ASTE	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL
OG0001233	LOC118508945|XP_035904747.1|ASTE	LOC115265523|XP_029726924.1|AEAL, LOC109432481|XP_029726919.1|AEAL, LOC109421338|XP_029727063.1|AEAL
OG0001234	LOC118511242|XP_035909975.1|ASTE	LOC109402517|XP_019530753.2|AEAL
OG0001235	LOC118510723|XP_035908825.1|ASTE	LOC109411688|XP_019540801.2|AEAL, LOC115262177|XP_029720326.1|AEAL, LOC109404615|XP_019533064.2|AEAL, LOC109411681|XP_029720322.1|AEAL
OG0001236	LOC118505735|XP_035897816.1|ASTE	LOC109414181|XP_029712491.1|AEAL
OG0001237	LOC118505306|XP_035896830.1|ASTE	LOC109426266|XP_029707813.1|AEAL, LOC109421720|XP_029714000.1|AEAL
OG0001238	LOC118504642|XP_035895262.1|ASTE	LOC109413694|XP_029727320.1|AEAL
OG0001238	LOC118517680|XP_035919976.1|ASTE	LOC109408707|XP_029730847.1|AEAL, LOC115267745|XP_029730829.1|AEAL, LOC109428914|XP_029730848.1|AEAL
OG0001239	LOC118508095|XP_035903470.1|ASTE	LOC115264738|XP_029724628.1|AEAL, LOC109409112|XP_029730294.1|AEAL, LOC109401658|XP_019529779.2|AEAL, LOC109420361|XP_019550234.2|AEAL
OG0001240	LOC118503513|XP_035892757.1|ASTE	LOC109405745|XP_029710923.1|AEAL
OG0001241	LOC118506705|XP_035900090.1|ASTE	LOC109422597|XP_029712274.1|AEAL, LOC109402813|XP_029712227.1|AEAL
OG0001242	LOC118502640|XP_035890980.1|ASTE	LOC109403313|XP_029718610.1|AEAL, LOC109412243|XP_019541430.1|AEAL
OG0001243	LOC118504878|XP_035895825.1|ASTE	LOC109399481|XP_019527482.2|AEAL
OG0001244	LOC118509322|XP_035905679.1|ASTE	LOC115267025|XP_029729659.1|AEAL, LOC109432004|XP_029724278.1|AEAL, LOC115267091|XP_029729808.1|AEAL, LOC109399824|XP_029729811.1|AEAL
OG0001246	LOC118504887|XP_035895838.1|ASTE	LOC109426479|XP_019557543.2|AEAL
OG0001246	LOC118504884|XP_035895834.1|ASTE	LOC109426478|XP_019557542.2|AEAL, LOC109408978|XP_019537917.2|AEAL
OG0001247	LOC118508155|XP_035903585.1|ASTE	LOC109433490|XP_029710256.1|AEAL, LOC109410662|XP_029731649.1|AEAL
OG0001249	LOC118508107|XP_035903494.1|ASTE	LOC115270971|XP_029736208.1|AEAL, LOC109407549|XP_019536161.2|AEAL, LOC109425808|XP_029736205.1|AEAL
OG0001257	LOC118509652|XP_035906493.1|ASTE	LOC109424983|XP_029711672.1|AEAL, LOC109431126|XP_029730261.1|AEAL
OG0001258	LOC118505200|XP_035896573.1|ASTE	LOC115260011|XP_029716705.1|AEAL, LOC109422191|XP_019552379.2|AEAL, LOC109428477|XP_019559796.1|AEAL
OG0001259	LOC118517449|XP_035919488.1|ASTE	LOC109398767|XP_019526709.2|AEAL
OG0001259	LOC118506304|XP_035899145.1|ASTE	LOC109623360|XP_019933464.2|AEAL, LOC109401178|XP_019529200.2|AEAL
OG0001260	LOC118512715|XP_035913451.1|ASTE	LOC115256411|XP_029710765.1|AEAL, LOC109427544|XP_019558657.2|AEAL, LOC115256617|XP_029711299.1|AEAL, LOC115256594|XP_029711260.1|AEAL, LOC115269374|XP_029733906.1|AEAL, LOC109427545|XP_019558658.1|AEAL
OG0001261	LOC118509960|XP_035907260.1|ASTE, LOC118514207|XP_035916793.1|ASTE	LOC109422119|XP_019552298.1|AEAL
OG0001262	LOC118504745|XP_035895531.1|ASTE	LOC109427412|XP_029711014.1|AEAL, LOC109410133|XP_029707928.1|AEAL
OG0001263	LOC118508293|XP_035903835.1|ASTE	LOC109415630|XP_029730267.1|AEAL
OG0001264	LOC118509213|XP_035905380.1|ASTE	LOC115266784|XP_029729217.1|AEAL, LOC109433564|XP_029729246.1|AEAL, LOC109430179|XP_029729242.1|AEAL
OG0001264	LOC118517408|XP_035919375.1|ASTE	LOC109421814|XP_029717586.1|AEAL, LOC115253729|XP_029717522.1|AEAL
OG0001266	LOC118507536|XP_035902006.1|ASTE	LOC115263718|XP_029722829.1|AEAL, LOC109425434|XP_019556248.2|AEAL, LOC109432218|XP_029722814.1|AEAL
OG0001267	LOC118502916|XP_035891542.1|ASTE	LOC115263657|XP_029722722.1|AEAL, LOC109400103|XP_029722959.1|AEAL, LOC115253611|XP_029722954.1|AEAL, LOC109621581|XP_029730493.1|AEAL
OG0001267	LOC118502906|XP_035891520.1|ASTE	LOC109430341|XP_019561943.2|AEAL
OG0001268	LOC118510060|XP_035907343.1|ASTE	LOC109399939|XP_019527939.2|AEAL
OG0001269	LOC118507188|XP_035901153.1|ASTE	LOC109429328|XP_019560777.2|AEAL, LOC109401040|XP_019529067.2|AEAL
OG0001270	LOC118503699|XP_035893154.1|ASTE	LOC109424426|XP_019555076.2|AEAL
OG0001270	LOC118508000|XP_035903266.1|ASTE	LOC109426294|XP_029721529.1|AEAL, LOC115253683|XP_029714169.1|AEAL, LOC115269325|XP_029733802.1|AEAL, LOC109415279|XP_019544701.2|AEAL
OG0001271	LOC118511451|XP_035910444.1|ASTE	LOC109423271|XP_019553748.2|AEAL
OG0001271	LOC118508844|XP_035904487.1|ASTE	LOC109423269|XP_019553746.2|AEAL
OG0001272	LOC118509409|XP_035905868.1|ASTE	LOC109402588|XP_019530832.2|AEAL
OG0001273	LOC118507925|XP_035903121.1|ASTE	LOC109406565|XP_019535205.2|AEAL, LOC115265703|XP_029727526.1|AEAL, LOC109415843|XP_019545328.2|AEAL, LOC109418743|XP_029715739.1|AEAL, LOC109415844|XP_019545329.1|AEAL
OG0001274	LOC118516387|XP_035918144.1|ASTE, LOC118512763|XP_035913553.1|ASTE, LOC118512772|XP_035913569.1|ASTE, LOC118516384|XP_035918138.1|ASTE, LOC118516383|XP_035918137.1|ASTE, LOC118512771|XP_035913568.1|ASTE	LOC115269683|XP_029734372.1|AEAL, LOC109404909|XP_029734943.1|AEAL, LOC115270107|XP_029734980.1|AEAL, LOC109400595|XP_019528628.2|AEAL, LOC115270106|XP_029734979.1|AEAL
OG0001275	LOC118516385|XP_035918139.1|ASTE, LOC118512773|XP_035913571.1|ASTE	LOC109400612|XP_029734960.1|AEAL, LOC109404925|XP_029734969.1|AEAL
OG0001275	LOC118506655|XP_035899964.1|ASTE	LOC109402030|XP_029723016.1|AEAL
OG0001276	LOC118513068|XP_035914309.1|ASTE	LOC109425655|XP_029734743.1|AEAL
OG0001277	LOC118512920|XP_035913964.1|ASTE	LOC109423359|XP_029725090.1|AEAL, LOC109401474|XP_029721727.1|AEAL
OG0001278	LOC118512294|XP_035912414.1|ASTE	LOC115268895|XP_029732944.1|AEAL, LOC109403769|XP_029722460.1|AEAL
OG0001279	LOC118512298|XP_035912422.1|ASTE	LOC115254218|XP_029732946.1|AEAL, LOC115259606|XP_029716199.1|AEAL, LOC109420587|XP_019550498.2|AEAL, LOC115260841|XP_029718021.1|AEAL, LOC109407261|XP_019535814.2|AEAL, LOC115258603|XP_029714746.1|AEAL, LOC109413533|XP_019542761.2|AEAL, LOC109404211|XP_019532592.2|AEAL, LOC109416926|XP_019546586.1|AEAL
OG0001280	LOC118514238|XP_035916834.1|ASTE	LOC109424159|XP_029722010.1|AEAL, LOC115253833|XP_029710342.1|AEAL, LOC109430829|XP_019562461.1|AEAL
OG0001281	LOC118512634|XP_035913223.1|ASTE	LOC115254263|XP_029736038.1|AEAL, LOC109404377|XP_029735738.1|AEAL, LOC115270449|XP_029736039.1|AEAL
OG0001282	LOC118514262|XP_035916871.1|ASTE	LOC109622166|XP_019931946.2|AEAL, LOC115269807|XP_029734460.1|AEAL, LOC115270436|XP_029736024.1|AEAL, LOC115269438|XP_029734080.1|AEAL, LOC115258972|XP_029715337.1|AEAL, LOC115258974|XP_029715338.1|AEAL
OG0001283	LOC118511551|XP_035910663.1|ASTE	LOC109405605|XP_019534212.2|AEAL
OG0001284	LOC118513903|XP_035916119.1|ASTE	LOC115266358|XP_029728399.1|AEAL, LOC109427900|XP_029723150.1|AEAL, LOC109428219|XP_029723153.1|AEAL, LOC115263996|XP_029723158.1|AEAL
OG0001285	LOC118503095|XP_035891886.1|ASTE	LOC109407533|XP_019536144.2|AEAL
OG0001285	LOC118512716|XP_035913448.1|ASTE	LOC109428193|XP_019559437.2|AEAL, LOC115266363|XP_029728424.1|AEAL, LOC109427881|XP_029734304.1|AEAL
OG0001286	LOC118512447|XP_035912804.1|ASTE	LOC109622823|XP_029714587.1|AEAL, LOC109397529|XP_029714595.1|AEAL
OG0001287	LOC118512730|XP_035913483.1|ASTE	LOC109417665|XP_029709322.1|AEAL, LOC115255401|XP_029709329.1|AEAL, LOC109417666|XP_019547261.3|AEAL
OG0001288	LOC118512489|XP_035912886.1|ASTE	LOC109621380|XP_029732585.1|AEAL, LOC115268590|XP_029732564.1|AEAL
OG0001288	LOC118513432|XP_035915053.1|ASTE	LOC109621502|XP_029714521.1|AEAL, LOC109397574|XP_029714813.1|AEAL
OG0001289	LOC118514047|XP_035916431.1|ASTE	LOC109398322|XP_019526217.2|AEAL, LOC109429831|XP_029729192.1|AEAL, LOC109429832|XP_029729191.1|AEAL, LOC109398331|XP_019526230.2|AEAL, LOC109398282|XP_019526155.2|AEAL
OG0001290	LOC118510651|XP_035908659.1|ASTE	LOC109411751|XP_029720185.1|AEAL
OG0001291	LOC118506591|XP_035899841.1|ASTE	LOC115262189|XP_029720388.1|AEAL, LOC115262185|XP_029720380.1|AEAL
OG0001292	LOC118503104|XP_035891929.1|ASTE	LOC109426269|XP_029707774.1|AEAL, LOC115257201|XP_029712497.1|AEAL, LOC115257193|XP_029712483.1|AEAL
OG0001293	LOC118506581|XP_035899830.1|ASTE	LOC109621638|XP_029713982.1|AEAL, LOC109426360|XP_029707782.1|AEAL
OG0001294	LOC118504858|XP_035895786.1|ASTE	LOC109428031|XP_029720704.1|AEAL
OG0001295	LOC118505807|XP_035898040.1|ASTE	LOC109427321|XP_019558396.2|AEAL
OG0001296	LOC118508335|XP_035903896.1|ASTE, LOC118517059|XP_035918802.1|ASTE	LOC115263973|XP_029723137.1|AEAL, LOC109418392|XP_029721394.1|AEAL
OG0001297	LOC118505340|XP_035896889.1|ASTE	LOC109403034|XP_029724657.1|AEAL
OG0001298	LOC118502576|XP_035890795.1|ASTE	LOC115271076|XP_029736372.1|AEAL, LOC109402751|XP_029712232.1|AEAL
OG0001299	LOC118505511|XP_035897300.1|ASTE	LOC109415647|XP_019545096.2|AEAL, LOC109425050|XP_029727810.1|AEAL
OG0001299	LOC118505510|XP_035897296.1|ASTE	LOC109416667|XP_029717986.1|AEAL, LOC109400170|XP_029727844.1|AEAL, LOC115260810|XP_029717992.1|AEAL
OG0001300	LOC118505015|XP_035896097.1|ASTE	LOC109404863|XP_029730231.1|AEAL
OG0001301	LOC118517591|XP_035919764.1|ASTE	LOC115268049|XP_029731831.1|AEAL, LOC109423386|XP_019553926.2|AEAL, LOC115254205|XP_029731856.1|AEAL
OG0001301	LOC118505292|XP_035896780.1|ASTE, LOC118517184|XP_035918995.1|ASTE	LOC109409546|XP_029731850.1|AEAL, LOC109423387|XP_029731947.1|AEAL
OG0001302	LOC118506830|XP_035900433.1|ASTE	LOC109409577|XP_019538575.2|AEAL, LOC109430467|XP_019562082.1|AEAL, LOC115268973|XP_029733111.1|AEAL
OG0001303	LOC118517568|XP_035919706.1|ASTE	LOC109405755|XP_019534367.2|AEAL
