Orthogroup	ASTE.longest_only	DBUS.longest_only
OG0001203	LOC118509632|XP_035906421.1|ASTE, LOC118509691|XP_035906644.1|ASTE	LOC108607376|XP_017853587.2|DBUS
OG0001204	LOC118516568|XP_035918429.1|ASTE	LOC108608408|XP_017855255.1|DBUS
OG0001205	LOC118517643|XP_035919856.1|ASTE	LOC108603447|XP_017847766.1|DBUS
OG0001206	LOC118507373|XP_035901708.1|ASTE, LOC118510114|XP_035907474.1|ASTE	LOC108603740|XP_017848286.1|DBUS
OG0001207	LOC118517362|XP_035919272.1|ASTE, LOC118512174|XP_035912154.1|ASTE	LOC108607697|XP_017854173.1|DBUS, LOC108606110|XP_017851446.1|DBUS
OG0001208	LOC118505348|XP_035897352.1|ASTE	LOC108605036|XP_033150283.1|DBUS
OG0001209	LOC118503498|XP_035892723.1|ASTE, LOC118503492|XP_035892710.1|ASTE	LOC108602178|XP_017845705.1|DBUS
OG0001210	LOC118506747|XP_035900223.1|ASTE, LOC118506743|XP_035900201.1|ASTE	LOC108605558|XP_017850811.1|DBUS
OG0001211	LOC118504432|XP_035894765.1|ASTE	LOC108603218|XP_017847304.1|DBUS
OG0001212	LOC118506149|XP_035898795.1|ASTE, LOC118503033|XP_035891757.1|ASTE	LOC108606983|XP_017853046.1|DBUS
OG0001213	LOC118505302|XP_035896814.1|ASTE, LOC118505303|XP_035896816.1|ASTE	LOC108601439|XP_017844826.1|DBUS
OG0001214	LOC118507998|XP_035903262.1|ASTE	LOC108604087|XP_017848853.1|DBUS
OG0001215	LOC118508007|XP_035903285.1|ASTE, LOC118508004|XP_035903271.1|ASTE	LOC108604517|XP_017849510.1|DBUS
OG0001216	LOC118507996|XP_035903258.1|ASTE	LOC108603459|XP_017847780.2|DBUS
OG0001217	LOC118503463|XP_035892642.1|ASTE	LOC108606647|XP_017852489.1|DBUS
OG0001218	LOC118507811|XP_035902772.1|ASTE	LOC117134634|XP_017849602.2|DBUS, LOC108604582|XP_033149880.1|DBUS
OG0001220	LOC118508888|XP_035904614.1|ASTE, LOC118508889|XP_035904615.1|ASTE	LOC108595516|XP_017836259.1|DBUS
OG0001221	LOC118511247|XP_035909988.1|ASTE, LOC118516930|XP_035918670.1|ASTE, LOC118516931|XP_035918671.1|ASTE, LOC118511246|XP_035909985.1|ASTE, LOC118510589|XP_035908483.1|ASTE	LOC108597106|XP_017838967.1|DBUS
OG0001222	LOC118505963|XP_035898392.1|ASTE	LOC108607317|XP_017853477.1|DBUS
OG0001223	LOC118514347|XP_035917058.1|ASTE	LOC108597162|XP_017839061.1|DBUS, LOC108608549|XP_017835136.2|DBUS
OG0001224	LOC118506033|XP_035898545.1|ASTE	LOC108596317|XP_017837416.1|DBUS
OG0001225	LOC118509675|XP_035906574.1|ASTE	LOC108596829|XP_017838436.1|DBUS
OG0001226	LOC118511394|XP_035910317.1|ASTE	LOC108596552|XP_017837938.1|DBUS
OG0001227	LOC118511067|XP_035909568.1|ASTE	LOC108598083|XP_017840189.1|DBUS
OG0001228	LOC118512395|XP_035912669.1|ASTE	LOC108605308|XP_017850467.1|DBUS
OG0001229	LOC118514527|XP_035917400.1|ASTE	LOC117135021|XP_033150711.1|DBUS
OG0001230	LOC118509042|XP_035905008.1|ASTE	LOC108597056|XP_017838866.1|DBUS
OG0001231	LOC118511796|XP_035911219.1|ASTE	LOC108594362|XP_017835011.2|DBUS
OG0001233	LOC118508945|XP_035904747.1|ASTE	LOC108596776|XP_017838368.1|DBUS
OG0001234	LOC118511242|XP_035909975.1|ASTE	LOC108606797|XP_017852746.1|DBUS, LOC108597414|XP_017839453.1|DBUS, LOC108596837|XP_017838451.1|DBUS
OG0001235	LOC118510723|XP_035908825.1|ASTE	LOC108608161|XP_017854904.1|DBUS
OG0001236	LOC118505735|XP_035897816.1|ASTE	LOC108599669|XP_017842139.1|DBUS
OG0001237	LOC118505306|XP_035896830.1|ASTE	LOC108603451|XP_017847771.1|DBUS
OG0001238	LOC118504642|XP_035895262.1|ASTE	LOC108604437|XP_017849401.1|DBUS
OG0001239	LOC118508095|XP_035903470.1|ASTE, LOC118503658|XP_035893074.1|ASTE	LOC108602332|XP_017845909.1|DBUS
OG0001240	LOC118508254|XP_035903765.1|ASTE, LOC118515267|XP_035917851.1|ASTE, LOC118503513|XP_035892757.1|ASTE	LOC108601712|XP_017845116.1|DBUS
OG0001242	LOC118502640|XP_035890980.1|ASTE	LOC108606915|XP_017852945.1|DBUS
OG0001244	LOC118509322|XP_035905679.1|ASTE	LOC108603406|XP_017847685.1|DBUS
OG0001246	LOC118504887|XP_035895838.1|ASTE, LOC118504885|XP_035895835.1|ASTE, LOC118504884|XP_035895834.1|ASTE	LOC108595054|XP_017835686.1|DBUS
OG0001247	LOC118508155|XP_035903585.1|ASTE	LOC108597512|XP_033150674.1|DBUS
OG0001249	LOC118508107|XP_035903494.1|ASTE	LOC108606444|XP_017852047.1|DBUS
OG0001257	LOC118509652|XP_035906493.1|ASTE	LOC108607362|XP_017853558.1|DBUS
OG0001258	LOC118505200|XP_035896573.1|ASTE	LOC108604510|XP_017849502.1|DBUS
OG0001259	LOC118517449|XP_035919488.1|ASTE, LOC118506304|XP_035899145.1|ASTE	LOC108605403|XP_017850562.1|DBUS
OG0001260	LOC118512715|XP_035913451.1|ASTE	LOC108602021|XP_017845513.1|DBUS
OG0001261	LOC118509960|XP_035907260.1|ASTE, LOC118514207|XP_035916793.1|ASTE	LOC108606683|XP_017852521.1|DBUS
OG0001263	LOC118508293|XP_035903835.1|ASTE	LOC108601766|XP_017845178.1|DBUS
OG0001264	LOC118509213|XP_035905380.1|ASTE, LOC118517408|XP_035919375.1|ASTE	LOC108597055|XP_033149101.1|DBUS
OG0001266	LOC118507536|XP_035902006.1|ASTE	LOC108596175|XP_017837172.1|DBUS
OG0001267	LOC118502916|XP_035891542.1|ASTE, LOC118502906|XP_035891520.1|ASTE	LOC108601765|XP_017845177.1|DBUS
OG0001269	LOC118507188|XP_035901153.1|ASTE	LOC108595406|XP_017836120.1|DBUS
OG0001270	LOC118503699|XP_035893154.1|ASTE, LOC118508000|XP_035903266.1|ASTE	LOC108601438|XP_017844825.1|DBUS
OG0001271	LOC118511452|XP_035910445.1|ASTE, LOC118511451|XP_035910444.1|ASTE, LOC118508844|XP_035904487.1|ASTE	LOC108594795|XP_017835423.1|DBUS
OG0001272	LOC118509409|XP_035905868.1|ASTE	LOC108600930|XP_017844256.1|DBUS
OG0001273	LOC118507925|XP_035903121.1|ASTE	LOC108602463|XP_017846075.1|DBUS
OG0001274	LOC118516387|XP_035918144.1|ASTE, LOC118512763|XP_035913553.1|ASTE, LOC118512772|XP_035913569.1|ASTE, LOC118516384|XP_035918138.1|ASTE, LOC118516383|XP_035918137.1|ASTE, LOC118512771|XP_035913568.1|ASTE	LOC108600386|XP_017843421.1|DBUS
OG0001276	LOC118513068|XP_035914309.1|ASTE	LOC108600634|XP_017843810.2|DBUS
OG0001277	LOC118512920|XP_035913964.1|ASTE	LOC108597935|XP_033149324.1|DBUS, LOC108597937|XP_017840041.1|DBUS
OG0001278	LOC118512294|XP_035912414.1|ASTE	LOC108599917|XP_017842605.1|DBUS, LOC108604416|XP_017849412.1|DBUS
OG0001279	LOC118512298|XP_035912422.1|ASTE	LOC108598816|XP_017841051.1|DBUS
OG0001280	LOC118514238|XP_035916834.1|ASTE	LOC108599487|XP_017841823.1|DBUS
OG0001281	LOC118512634|XP_035913223.1|ASTE	LOC108598658|XP_017840858.2|DBUS
OG0001283	LOC118511551|XP_035910663.1|ASTE	LOC108596913|XP_017838609.1|DBUS
OG0001284	LOC118513903|XP_035916119.1|ASTE	LOC108598471|XP_017840611.1|DBUS
OG0001285	LOC118503095|XP_035891886.1|ASTE, LOC118512716|XP_035913448.1|ASTE	LOC108600524|XP_017843657.1|DBUS
OG0001286	LOC118512447|XP_035912804.1|ASTE	LOC108606511|XP_017852173.1|DBUS
OG0001287	LOC118512730|XP_035913483.1|ASTE	LOC108604119|XP_017848894.1|DBUS
OG0001288	LOC118512489|XP_035912886.1|ASTE	LOC108594254|XP_033149443.1|DBUS
OG0001289	LOC118514047|XP_035916431.1|ASTE	LOC108608164|XP_017854908.2|DBUS, LOC108602456|XP_017846071.2|DBUS
OG0001290	LOC118510651|XP_035908659.1|ASTE	LOC108596112|XP_033149204.1|DBUS, LOC117135052|XP_033150837.1|DBUS
OG0001291	LOC118506591|XP_035899841.1|ASTE	LOC108595003|XP_017835627.1|DBUS
OG0001292	LOC118503098|XP_035891890.1|ASTE, LOC118503104|XP_035891929.1|ASTE	LOC108596770|XP_017838355.1|DBUS
OG0001293	LOC118506581|XP_035899830.1|ASTE	LOC108606164|XP_017851505.1|DBUS, LOC108607182|XP_017853328.1|DBUS
OG0001294	LOC118504858|XP_035895786.1|ASTE	LOC108603876|XP_017848536.1|DBUS, LOC108605674|XP_033150258.1|DBUS
OG0001295	LOC118505807|XP_035898040.1|ASTE	LOC108605580|XP_017850839.1|DBUS, LOC108595376|XP_033150953.1|DBUS
OG0001296	LOC118508335|XP_035903896.1|ASTE, LOC118517059|XP_035918802.1|ASTE	LOC108598546|XP_017840719.1|DBUS
OG0001297	LOC118505340|XP_035896889.1|ASTE	LOC108601954|XP_033149942.1|DBUS
OG0001298	LOC118502576|XP_035890795.1|ASTE, LOC118506506|XP_035899615.1|ASTE	LOC108601613|XP_033149866.1|DBUS
OG0001299	LOC118505511|XP_035897300.1|ASTE, LOC118505510|XP_035897296.1|ASTE	LOC108600786|XP_017844047.1|DBUS
OG0001300	LOC118505015|XP_035896097.1|ASTE	LOC108602803|XP_017846514.1|DBUS
OG0001301	LOC118517591|XP_035919764.1|ASTE, LOC118505292|XP_035896780.1|ASTE, LOC118517184|XP_035918995.1|ASTE	LOC108601913|XP_017845383.1|DBUS
OG0001302	LOC118506830|XP_035900433.1|ASTE	LOC108596526|XP_017837902.1|DBUS
OG0001303	LOC118517568|XP_035919706.1|ASTE	LOC108603668|XP_017848153.1|DBUS
OG0001304	LOC118502579|XP_035890806.1|ASTE	LOC108597256|XP_017839200.1|DBUS
OG0001305	LOC118508529|XP_035904296.1|ASTE	LOC108597482|XP_017839546.1|DBUS, LOC108597481|XP_017839545.1|DBUS, LOC108603599|XP_017848032.1|DBUS
OG0001306	LOC118507719|XP_035902560.1|ASTE	LOC108602831|XP_017846561.1|DBUS
OG0001307	LOC118502798|XP_035891298.1|ASTE	LOC108599599|XP_017842040.1|DBUS
OG0001308	LOC118506555|XP_035899757.1|ASTE	LOC108605431|XP_017850596.1|DBUS
OG0001309	LOC118507709|XP_035902497.1|ASTE, LOC118507710|XP_035902498.1|ASTE	LOC108603532|XP_017847918.1|DBUS
OG0001311	LOC118503317|XP_035892341.1|ASTE, LOC118517427|XP_035919433.1|ASTE	LOC108606279|XP_017851749.1|DBUS
OG0001312	LOC118503305|XP_035892318.1|ASTE	LOC108597919|XP_017840025.2|DBUS
OG0001313	LOC118507236|XP_035901379.1|ASTE	LOC108596779|XP_017838367.1|DBUS
OG0001314	LOC118512881|XP_035914293.1|ASTE	LOC108608411|XP_017855259.1|DBUS
OG0001315	LOC118506659|XP_035899970.1|ASTE	LOC108605012|XP_017850068.1|DBUS, LOC108606132|XP_017851474.1|DBUS
OG0001326	LOC118508303|XP_035903851.1|ASTE	LOC108602768|XP_017846430.1|DBUS
OG0001328	LOC118503066|XP_035891829.1|ASTE	LOC108605706|XP_017850987.1|DBUS
OG0001329	LOC118509272|XP_035905520.1|ASTE	LOC108598123|XP_017840229.1|DBUS, LOC108606875|XP_017852887.1|DBUS
OG0001330	LOC118517158|XP_035918929.1|ASTE	LOC108606755|XP_017852647.2|DBUS
OG0001331	LOC118512722|XP_035913464.1|ASTE	LOC108606035|XP_017851351.1|DBUS
OG0001332	LOC118511331|XP_035910159.1|ASTE, LOC118511265|XP_035910034.1|ASTE	LOC108606355|XP_017851893.1|DBUS
OG0001333	LOC118509806|XP_035906845.1|ASTE, LOC118509778|XP_035906813.1|ASTE	LOC108605555|XP_017850804.1|DBUS
OG0001334	LOC118502597|XP_035890857.1|ASTE, LOC118502813|XP_035891349.1|ASTE	LOC108604723|XP_017849790.1|DBUS
OG0001335	LOC118505565|XP_035897415.1|ASTE, LOC118505566|XP_035897416.1|ASTE	LOC108603850|XP_017848492.1|DBUS
OG0001337	LOC118511391|XP_035910312.1|ASTE	LOC108606596|XP_017852332.1|DBUS
OG0001338	LOC118505063|XP_035896234.1|ASTE, LOC118516461|XP_035918252.1|ASTE	LOC108595193|XP_017835866.1|DBUS
OG0001339	LOC118502918|XP_035891545.1|ASTE, LOC118512193|XP_035912188.1|ASTE	LOC108596553|XP_017837939.1|DBUS
OG0001340	LOC118506774|XP_035900262.1|ASTE	LOC108598625|XP_017840813.1|DBUS
OG0001341	LOC118507844|XP_035902868.1|ASTE	LOC108601888|XP_017845352.1|DBUS
OG0001343	LOC118502423|XP_035890543.1|ASTE	LOC108601461|XP_017844848.1|DBUS
OG0001344	LOC118506366|XP_035899279.1|ASTE, LOC118506365|XP_035899272.1|ASTE	LOC108604331|XP_017849246.1|DBUS
OG0001345	LOC118516458|XP_035918249.1|ASTE, LOC118505112|XP_035896307.1|ASTE, LOC118516457|XP_035918247.1|ASTE, LOC118505111|XP_035896305.1|ASTE	LOC108604561|XP_017849579.1|DBUS
OG0001346	LOC118505438|XP_035897125.1|ASTE	LOC108603922|XP_017848603.1|DBUS
OG0001347	LOC118508585|XP_035904383.1|ASTE	LOC108605756|XP_017851047.1|DBUS
OG0001348	LOC118517273|XP_035919140.1|ASTE, LOC118514280|XP_035916915.1|ASTE	LOC108606593|XP_017852328.1|DBUS
OG0001349	LOC118510488|XP_035908267.1|ASTE	LOC108598595|XP_017840778.1|DBUS, LOC108599963|XP_033149408.1|DBUS
OG0001350	LOC118512205|XP_035912208.1|ASTE	LOC108598568|XP_017840741.1|DBUS
OG0001351	LOC118512096|XP_035911955.1|ASTE	LOC108596489|XP_017837765.1|DBUS
OG0001352	LOC118509480|XP_035906015.1|ASTE	LOC108596956|XP_017838686.1|DBUS
OG0001353	LOC118504607|XP_035895177.1|ASTE, LOC118509513|XP_035906095.1|ASTE	LOC108598863|XP_017841109.1|DBUS
OG0001354	LOC118511541|XP_035910637.1|ASTE	LOC108597548|XP_017839645.1|DBUS
OG0001355	LOC118511525|XP_035910607.1|ASTE	LOC108608201|XP_017854964.1|DBUS
OG0001356	LOC118513488|XP_035915204.1|ASTE, LOC118509738|XP_035906760.1|ASTE	LOC108603481|XP_017847818.1|DBUS
OG0001357	LOC118512759|XP_035913542.1|ASTE, LOC118516367|XP_035918113.1|ASTE	LOC108599937|XP_017842647.1|DBUS
OG0001358	LOC118512760|XP_035913544.1|ASTE, LOC118516364|XP_035918093.1|ASTE	LOC108601013|XP_033149737.1|DBUS
OG0001359	LOC118514604|XP_035917493.1|ASTE, LOC118512664|XP_035913309.1|ASTE	LOC108607831|XP_017854379.1|DBUS
OG0001360	LOC118514357|XP_035917072.1|ASTE	LOC108597645|XP_017839783.1|DBUS
OG0001361	LOC118509799|XP_035906828.1|ASTE, LOC118509800|XP_035906829.1|ASTE	LOC108598068|XP_017840171.2|DBUS
OG0001362	LOC118512297|XP_035912420.1|ASTE	LOC108598904|XP_017841156.1|DBUS
OG0001363	LOC118503687|XP_035893121.1|ASTE, LOC118512288|XP_035912404.1|ASTE	LOC108603230|XP_017847334.1|DBUS
OG0001364	LOC118514188|XP_035916767.1|ASTE, LOC118513327|XP_035914827.1|ASTE	LOC108594659|XP_033150978.1|DBUS
OG0001365	LOC118513191|XP_035914572.1|ASTE	LOC108598726|XP_017840944.1|DBUS
OG0001367	LOC118509863|XP_035906966.1|ASTE	LOC108597360|XP_017839366.1|DBUS
OG0001368	LOC118513233|XP_035914671.1|ASTE	LOC108596324|XP_017837435.1|DBUS
OG0001369	LOC118514260|XP_035916869.1|ASTE	LOC117134643|XP_017851599.2|DBUS, LOC108605787|XP_017851079.2|DBUS, LOC108606218|XP_033150278.1|DBUS
OG0001370	LOC118517323|XP_035919196.1|ASTE, LOC118509379|XP_035905813.1|ASTE	LOC108597523|XP_033149017.1|DBUS
OG0001371	LOC118509649|XP_035906463.1|ASTE	LOC108607473|XP_017853801.2|DBUS
OG0001372	LOC118512013|XP_035911681.1|ASTE	LOC117134648|XP_033150995.1|DBUS, LOC108596137|XP_033150994.1|DBUS
OG0001373	LOC118511033|XP_035909507.1|ASTE	LOC108594271|XP_017834892.1|DBUS
OG0001374	LOC118513899|XP_035916109.1|ASTE	LOC108597148|XP_017839031.1|DBUS
OG0001376	LOC118515231|XP_035917809.1|ASTE, LOC118513577|XP_035915418.1|ASTE, LOC118515229|XP_035917808.1|ASTE, LOC118513576|XP_035915417.1|ASTE	LOC108595300|XP_017836003.1|DBUS
OG0001377	LOC118513915|XP_035916158.1|ASTE	LOC108608145|XP_033149788.1|DBUS
OG0001378	LOC118512644|XP_035913253.1|ASTE	LOC108594229|XP_017834829.1|DBUS
OG0001379	LOC118513885|XP_035916092.1|ASTE	LOC108598264|XP_017840372.1|DBUS
OG0001380	LOC118508988|XP_035904879.1|ASTE	LOC108595043|XP_017835672.1|DBUS
OG0001381	LOC118514539|XP_035917415.1|ASTE	LOC108595321|XP_017836030.1|DBUS
OG0001382	LOC118512516|XP_035912927.1|ASTE	LOC108607844|XP_017854400.1|DBUS
OG0001383	LOC118511029|XP_035909502.1|ASTE	LOC108595829|XP_017836609.1|DBUS
OG0001384	LOC118509868|XP_035906984.1|ASTE	LOC108598577|XP_017840755.1|DBUS
OG0001385	LOC118513824|XP_035915953.1|ASTE, LOC118506497|XP_035899585.1|ASTE	LOC108608450|XP_017855317.1|DBUS
OG0001387	LOC118510806|XP_035909014.1|ASTE, LOC118510807|XP_035909016.1|ASTE	LOC108598246|XP_017840353.1|DBUS
OG0001389	LOC118504458|XP_035894846.1|ASTE, LOC118504454|XP_035894839.1|ASTE	LOC108604784|XP_017849871.1|DBUS
OG0001390	LOC118506752|XP_035900235.1|ASTE	LOC108594356|XP_017835003.1|DBUS
OG0001391	LOC118504503|XP_035894922.1|ASTE	LOC108598536|XP_017840708.1|DBUS
OG0001392	LOC118506657|XP_035899968.1|ASTE	LOC108605779|XP_017851071.1|DBUS
OG0001393	LOC118502606|XP_035890863.1|ASTE	LOC108605858|XP_017851158.1|DBUS
OG0001394	LOC118507094|XP_035900977.1|ASTE, LOC118504798|XP_035895669.1|ASTE	LOC108607399|XP_017853663.1|DBUS
OG0001395	LOC118505832|XP_035898080.1|ASTE	LOC108604118|XP_017848892.1|DBUS
OG0001396	LOC118506543|XP_035899727.1|ASTE	LOC108606696|XP_017852554.1|DBUS
OG0001397	LOC118508436|XP_035904108.1|ASTE, LOC118507361|XP_035901666.1|ASTE	LOC108604774|XP_017849860.1|DBUS
OG0001399	LOC118512891|XP_035913888.1|ASTE	LOC108596987|XP_017838741.1|DBUS
OG0001400	LOC118503474|XP_035892665.1|ASTE	LOC108601668|XP_017845058.1|DBUS
OG0001401	LOC118508071|XP_035903427.1|ASTE, LOC118509254|XP_035905482.1|ASTE	LOC108598163|XP_017840269.2|DBUS
OG0001402	LOC118508085|XP_035903453.1|ASTE	LOC108599508|XP_017841864.2|DBUS
OG0001403	LOC118512335|XP_035912510.1|ASTE	LOC108598770|XP_017841000.1|DBUS
OG0001404	LOC118505990|XP_035898449.1|ASTE	LOC108596388|XP_017837551.1|DBUS
OG0001405	LOC118516517|XP_035918344.1|ASTE, LOC118516525|XP_035918353.1|ASTE, LOC118506091|XP_035898664.1|ASTE	LOC108595288|XP_017836318.1|DBUS
OG0001406	LOC118506116|XP_035898717.1|ASTE	LOC108605766|XP_017851058.1|DBUS
OG0001407	LOC118508052|XP_035903398.1|ASTE	LOC108599593|XP_017842028.1|DBUS
OG0001408	LOC118509985|XP_035907259.1|ASTE	LOC108594829|XP_017835456.1|DBUS
OG0001429	LOC118504939|XP_035895931.1|ASTE, LOC118504930|XP_035895920.1|ASTE	LOC108604066|XP_017848819.1|DBUS
OG0001430	LOC118513099|XP_035914393.1|ASTE, LOC118510660|XP_035908704.1|ASTE	LOC108603079|XP_017847056.1|DBUS
OG0001431	LOC118502803|XP_035891317.1|ASTE	LOC108606357|XP_017851894.1|DBUS
OG0001432	LOC118517173|XP_035918974.1|ASTE, LOC118505181|XP_035896528.1|ASTE	LOC108607127|XP_017853254.1|DBUS
OG0001433	LOC118503728|XP_035893234.1|ASTE	LOC108602309|XP_017845881.1|DBUS
OG0001434	LOC118503987|XP_035893827.1|ASTE	LOC108605749|XP_017851037.1|DBUS
OG0001435	LOC118511737|XP_035911080.1|ASTE	LOC108597036|XP_017838818.1|DBUS
OG0001436	LOC118517432|XP_035919444.1|ASTE	LOC108605711|XP_017850992.1|DBUS
OG0001437	LOC118513084|XP_035914345.1|ASTE	LOC108607997|XP_017854647.1|DBUS
OG0001438	LOC118503425|XP_035892562.1|ASTE, LOC118511093|XP_035909688.1|ASTE	LOC108601828|XP_017845258.1|DBUS
OG0001439	LOC118506957|XP_035900670.1|ASTE, LOC118505187|XP_035896539.1|ASTE	LOC108602275|XP_017845821.1|DBUS
OG0001440	LOC118508086|XP_035903459.1|ASTE	LOC108606032|XP_017851349.1|DBUS
OG0001442	LOC118508483|XP_035904197.1|ASTE, LOC118505129|XP_035896339.1|ASTE	LOC108602126|XP_017845645.1|DBUS, LOC108605991|XP_017851301.1|DBUS
OG0001443	LOC118506833|XP_035900438.1|ASTE, LOC118506832|XP_035900437.1|ASTE	LOC108603880|XP_017848541.1|DBUS
OG0001444	LOC118502379|XP_035890493.1|ASTE	LOC108604586|XP_017849606.1|DBUS
OG0001445	LOC118503034|XP_035891758.1|ASTE	LOC108604055|XP_017848806.1|DBUS
OG0001446	LOC118505222|XP_035896639.1|ASTE	LOC108602389|XP_017845990.1|DBUS
OG0001447	LOC118504441|XP_035894794.1|ASTE	LOC108603217|XP_017847303.1|DBUS, LOC108603658|XP_017848124.1|DBUS
OG0001448	LOC118508304|XP_035903852.1|ASTE	LOC108602767|XP_017846428.1|DBUS
OG0001449	LOC118502961|XP_035891617.1|ASTE	LOC108595985|XP_017836762.1|DBUS, LOC108595986|XP_017836763.1|DBUS, LOC108599017|XP_017841286.1|DBUS
OG0001450	LOC118512095|XP_035911953.1|ASTE	LOC108603908|XP_017848581.1|DBUS, LOC108608538|XP_033150726.1|DBUS
OG0001451	LOC118510862|XP_035909101.1|ASTE	LOC108597063|XP_017838876.1|DBUS
OG0001452	LOC118508899|XP_035904631.1|ASTE	LOC108595903|XP_033149142.1|DBUS
OG0001453	LOC118513011|XP_035914178.1|ASTE, LOC118513010|XP_035914177.1|ASTE	LOC108600341|XP_017843353.2|DBUS
OG0001454	LOC118511629|XP_035910833.1|ASTE, LOC118512994|XP_035914143.1|ASTE	LOC108604341|XP_017849257.1|DBUS
OG0001455	LOC118512978|XP_035914115.1|ASTE	LOC108600449|XP_017843525.2|DBUS, LOC108598054|XP_033149295.1|DBUS
OG0001456	LOC118513600|XP_035915513.1|ASTE, LOC118517282|XP_035919146.1|ASTE	LOC108596118|XP_017837051.2|DBUS
OG0001457	LOC118512050|XP_035911786.1|ASTE	LOC108596084|XP_017836991.1|DBUS
OG0001458	LOC118512939|XP_035914013.1|ASTE, LOC118508836|XP_035904476.1|ASTE	LOC108595459|XP_017836189.1|DBUS
OG0001459	LOC118514612|XP_035917501.1|ASTE, LOC118512686|XP_035913362.1|ASTE	LOC108598886|XP_017841136.1|DBUS
OG0001460	LOC118509617|XP_035906336.1|ASTE	LOC108596263|XP_017837308.1|DBUS
OG0001461	LOC118512844|XP_035913798.1|ASTE	LOC108607733|XP_033150766.1|DBUS
OG0001462	LOC118514225|XP_035916816.1|ASTE, LOC118514224|XP_035916815.1|ASTE, LOC118514226|XP_035916817.1|ASTE	LOC108599471|XP_017841799.2|DBUS
OG0001464	LOC118510298|XP_035907815.1|ASTE	LOC108605426|XP_017850591.1|DBUS, LOC108599562|XP_017841947.1|DBUS
OG0001466	LOC118509517|XP_035906111.1|ASTE	LOC108608363|XP_017855201.2|DBUS
OG0001467	LOC118517642|XP_035919855.1|ASTE, LOC118510380|XP_035908019.1|ASTE	LOC108608001|XP_017854655.1|DBUS
OG0001468	LOC118517241|XP_035919108.1|ASTE, LOC118509363|XP_035905779.1|ASTE	LOC108598570|XP_017840744.2|DBUS
OG0001469	LOC118512310|XP_035912446.1|ASTE	LOC108596337|XP_017837480.1|DBUS
OG0001470	LOC118509554|XP_035906198.1|ASTE, LOC118509555|XP_035906200.1|ASTE	LOC108598839|XP_017841082.2|DBUS
OG0001471	LOC118509952|XP_035907180.1|ASTE	LOC108598023|XP_033149452.1|DBUS
OG0001472	LOC118511819|XP_035911252.1|ASTE	LOC117134908|XP_033150248.1|DBUS, LOC108598977|XP_017841240.1|DBUS
OG0001473	LOC118509034|XP_035904965.1|ASTE, LOC118509031|XP_035904961.1|ASTE, LOC118509018|XP_035904929.1|ASTE	LOC108602693|XP_017846321.1|DBUS
OG0001474	LOC118511983|XP_035911615.1|ASTE	LOC108604911|XP_017849970.1|DBUS, LOC108595261|XP_017835961.1|DBUS
OG0001475	LOC118505830|XP_035898077.1|ASTE	LOC108598597|XP_017840780.2|DBUS, LOC108597723|XP_017839903.1|DBUS
OG0001476	LOC118510956|XP_035909305.1|ASTE	LOC117135007|XP_033150676.1|DBUS, LOC117135033|XP_033150751.1|DBUS
OG0001477	LOC118513902|XP_035916117.1|ASTE	LOC108604328|XP_017849243.1|DBUS
OG0001478	LOC118509976|XP_035907249.1|ASTE, LOC118513674|XP_035915670.1|ASTE	LOC108607716|XP_017854207.1|DBUS
OG0001479	LOC118513844|XP_035916015.1|ASTE	LOC117134795|XP_033149577.1|DBUS
OG0001480	LOC118513940|XP_035916216.1|ASTE	LOC108594429|XP_017835092.1|DBUS
OG0001481	LOC118511126|XP_035909752.1|ASTE	LOC108607495|XP_017853830.1|DBUS, LOC108607492|XP_017853828.1|DBUS
OG0001482	LOC118514014|XP_035916376.1|ASTE	LOC108594933|XP_017835556.1|DBUS
OG0001483	LOC118510033|XP_035907314.1|ASTE	LOC108608142|XP_017854873.1|DBUS
OG0001484	LOC118511672|XP_035910923.1|ASTE	LOC108598984|XP_033149607.1|DBUS
OG0001485	LOC118512587|XP_035913119.1|ASTE	LOC108598086|XP_017840188.1|DBUS
OG0001486	LOC118513256|XP_035914712.1|ASTE, LOC118513257|XP_035914713.1|ASTE	LOC108594491|XP_017835173.1|DBUS
OG0001487	LOC118511555|XP_035910677.1|ASTE	LOC108603795|XP_017848385.2|DBUS
OG0001488	LOC118509962|XP_035907234.1|ASTE	LOC108595450|XP_017836179.1|DBUS
OG0001489	LOC118510785|XP_035908963.1|ASTE	LOC108607674|XP_033149970.1|DBUS, LOC108595698|XP_017836473.1|DBUS
OG0001490	LOC118510781|XP_035908959.1|ASTE	LOC108602378|XP_017845976.1|DBUS
OG0001491	LOC118514099|XP_035916532.1|ASTE	LOC108595425|XP_017836146.1|DBUS, LOC108600546|XP_017843695.1|DBUS, LOC108607223|XP_017853389.1|DBUS
OG0001492	LOC118510657|XP_035908675.1|ASTE	LOC108606108|XP_017851448.1|DBUS
OG0001493	LOC118506650|XP_035899947.1|ASTE	LOC108595160|XP_017835821.2|DBUS, LOC108605234|XP_017850336.1|DBUS
OG0001494	LOC118517546|XP_035919678.1|ASTE	LOC108606052|XP_017851389.1|DBUS
OG0001495	LOC118506658|XP_035899969.1|ASTE	LOC108597506|XP_017839583.1|DBUS
OG0001496	LOC118507659|XP_035902329.1|ASTE	LOC108605591|XP_017850853.1|DBUS
OG0001497	LOC118502537|XP_035890702.1|ASTE	LOC108596990|XP_017838748.1|DBUS
