Orthogroup	ASTE.longest_only	DHYD.longest_only
OG0001849	LOC118504814|XP_035895711.1|ASTE, LOC118504813|XP_035895710.1|ASTE	LOC111598355|XP_023169334.1|DHYD
OG0001850	LOC118509662|XP_035906527.1|ASTE	LOC111594139|XP_023163074.2|DHYD
OG0001851	LOC118509524|XP_035906130.1|ASTE	LOC111600230|XP_030079833.1|DHYD
OG0001852	LOC118509475|XP_035906008.1|ASTE	LOC115482982|XP_030079462.1|DHYD, LOC111601098|XP_023173302.2|DHYD
OG0001854	LOC118517529|XP_035919655.1|ASTE	LOC111604042|XP_023177665.2|DHYD
OG0001855	LOC118511958|XP_035911573.1|ASTE	LOC111594945|XP_023164210.1|DHYD
OG0001856	LOC118505541|XP_035897369.1|ASTE, LOC118505545|XP_035897383.1|ASTE	LOC111603129|XP_023176371.1|DHYD
OG0001857	LOC118517503|XP_035919611.1|ASTE	LOC111593031|XP_023161365.2|DHYD
OG0001858	LOC118515515|XP_035917926.1|ASTE	LOC111603213|XP_030079318.1|DHYD
OG0001859	LOC118515902|XP_035917969.1|ASTE	LOC111603384|XP_023176711.1|DHYD
OG0001860	LOC118510558|XP_035908434.1|ASTE	LOC111599785|XP_023171327.2|DHYD
OG0001861	LOC118506584|XP_035899832.1|ASTE	LOC111600624|XP_023172594.1|DHYD
OG0001862	LOC118512568|XP_035913060.1|ASTE, LOC118516436|XP_035918211.1|ASTE	LOC111604236|XP_023177981.2|DHYD
OG0001863	LOC118502521|XP_035890675.1|ASTE	LOC111598257|XP_023169200.1|DHYD
OG0001864	LOC118502696|XP_035891112.1|ASTE	LOC111602017|XP_023174682.2|DHYD
OG0001865	LOC118510313|XP_035907844.1|ASTE	LOC111600817|XP_023172886.1|DHYD, LOC111598300|XP_023169255.1|DHYD
OG0001866	LOC118509981|XP_035907254.1|ASTE, LOC118517439|XP_035919465.1|ASTE	LOC111594523|XP_023163621.2|DHYD
OG0001867	LOC118507545|XP_035902021.1|ASTE, LOC118508521|XP_035904269.1|ASTE	LOC111601092|XP_023173286.2|DHYD
OG0001868	LOC118517415|XP_035919411.1|ASTE	LOC111602214|XP_023174959.2|DHYD
OG0001869	LOC118517411|XP_035919386.1|ASTE, LOC118504806|XP_035895694.1|ASTE	LOC111599767|XP_023171295.2|DHYD
OG0001870	LOC118505043|XP_035896191.1|ASTE	LOC111597332|XP_030078957.1|DHYD
OG0001871	LOC118511316|XP_035910126.1|ASTE	LOC111605448|XP_023179736.2|DHYD
OG0001872	LOC118517586|XP_035919758.1|ASTE	LOC111592477|XP_023160461.2|DHYD
OG0001873	LOC118502801|XP_035891314.1|ASTE	LOC111595801|XP_023165462.2|DHYD
OG0001874	LOC118512878|XP_035913869.1|ASTE, LOC118512869|XP_035913857.1|ASTE	LOC111598573|XP_023169642.2|DHYD
OG0001875	LOC118505059|XP_035896232.1|ASTE	LOC111601977|XP_023174627.2|DHYD
OG0001876	LOC118505620|XP_035897575.1|ASTE	LOC111593726|XP_023162476.2|DHYD, LOC115483462|XP_030081404.1|DHYD
OG0001877	LOC118511185|XP_035909840.1|ASTE	LOC111605310|XP_023179537.1|DHYD
OG0001878	LOC118513042|XP_035914227.1|ASTE, LOC118516541|XP_035918379.1|ASTE	LOC111605477|XP_023179778.1|DHYD
OG0001879	LOC118504755|XP_035895569.1|ASTE	LOC111598585|XP_023169663.2|DHYD
OG0001880	LOC118508454|XP_035904149.1|ASTE	LOC111601503|XP_023173865.1|DHYD
OG0001881	LOC118507542|XP_035902014.1|ASTE	LOC111602653|XP_023175594.1|DHYD
OG0001882	LOC118507538|XP_035902008.1|ASTE	LOC111597768|XP_030080617.1|DHYD
OG0001883	LOC118506779|XP_035900279.1|ASTE	LOC111599610|XP_023171065.2|DHYD
OG0001884	LOC118506780|XP_035900285.1|ASTE	LOC111600786|XP_023172844.2|DHYD
OG0001885	LOC118512936|XP_035914012.1|ASTE	LOC111602475|XP_023175305.1|DHYD, LOC111601163|XP_023173409.1|DHYD
OG0001886	LOC118502907|XP_035891521.1|ASTE	LOC111595707|XP_023165320.2|DHYD
OG0001887	LOC118502569|XP_035890784.1|ASTE	LOC111592118|XP_023159917.1|DHYD
OG0001888	LOC118502568|XP_035890783.1|ASTE	LOC111604798|XP_023178783.1|DHYD
OG0001889	LOC118502846|XP_035891435.1|ASTE	LOC111593042|XP_023161377.2|DHYD
OG0001890	LOC118505228|XP_035896649.1|ASTE	LOC111591873|XP_023159524.2|DHYD
OG0001891	LOC118505829|XP_035898072.1|ASTE	LOC111595977|XP_030080699.1|DHYD
OG0001892	LOC118507471|XP_035901866.1|ASTE	LOC111592630|XP_030079102.1|DHYD
OG0001893	LOC118517612|XP_035919801.1|ASTE	LOC111597811|XP_023168468.2|DHYD
OG0001894	LOC118502737|XP_035891194.1|ASTE	LOC111605297|XP_030079961.1|DHYD, LOC111599909|XP_023171502.1|DHYD
OG0001895	LOC118517179|XP_035918977.1|ASTE, LOC118504673|XP_035895356.1|ASTE	LOC111594135|XP_023163066.2|DHYD
OG0001896	LOC118504211|XP_035894295.1|ASTE	LOC111596643|XP_023166706.1|DHYD
OG0001897	LOC118503289|XP_035892271.1|ASTE	LOC111603570|XP_023176984.1|DHYD
OG0001898	LOC118506902|XP_035900578.1|ASTE	LOC111596764|XP_023166881.2|DHYD
OG0001899	LOC118505189|XP_035896537.1|ASTE	LOC111604224|XP_023177962.1|DHYD
OG0001900	LOC118511635|XP_035910841.1|ASTE, LOC118506007|XP_035898485.1|ASTE	LOC111605088|XP_023179193.2|DHYD
OG0001901	LOC118506440|XP_035899461.1|ASTE	LOC111596980|XP_023167232.2|DHYD
OG0001902	LOC118502669|XP_035891033.1|ASTE	LOC111597431|XP_023167896.2|DHYD
OG0001903	LOC118507507|XP_035901939.1|ASTE	LOC111595719|XP_023165338.1|DHYD
OG0001904	LOC118507779|XP_035902707.1|ASTE	LOC111603264|XP_023176544.2|DHYD
OG0001905	LOC118508456|XP_035904151.1|ASTE	LOC111600199|XP_023171982.1|DHYD, LOC111592196|XP_023160031.1|DHYD
OG0001906	LOC118504404|XP_035894725.1|ASTE	LOC111603514|XP_023176898.1|DHYD
OG0001907	LOC118505220|XP_035896630.1|ASTE	LOC111598868|XP_023170084.2|DHYD
OG0001908	LOC118503469|XP_035892656.1|ASTE	LOC111593235|XP_023161656.2|DHYD
OG0001909	LOC118507734|XP_035902596.1|ASTE	LOC111603120|XP_023176362.1|DHYD
OG0001910	LOC118511959|XP_035911574.1|ASTE	LOC111594619|XP_023163777.1|DHYD
OG0001911	LOC118502984|XP_035891662.1|ASTE	LOC111598651|XP_023169766.2|DHYD
OG0001912	LOC118508008|XP_035903286.1|ASTE, LOC118508010|XP_035903287.1|ASTE	LOC111602587|XP_023175512.2|DHYD
OG0001914	LOC118503589|XP_035892926.1|ASTE	LOC111597178|XP_030080836.1|DHYD
OG0001915	LOC118512060|XP_035911813.1|ASTE	LOC111598669|XP_023169790.1|DHYD
OG0001916	LOC118511475|XP_035910503.1|ASTE	LOC111592402|XP_023160345.2|DHYD
OG0001917	LOC118513127|XP_035914437.1|ASTE	LOC111601710|XP_030080875.1|DHYD, LOC111601678|XP_023174145.2|DHYD
OG0001918	LOC118517011|XP_035918748.1|ASTE, LOC118514166|XP_035916721.1|ASTE	LOC111598689|XP_023169822.2|DHYD
OG0001919	LOC118512184|XP_035912168.1|ASTE	LOC111600674|XP_023172692.1|DHYD
OG0001920	LOC118512170|XP_035912147.1|ASTE	LOC111596298|XP_023166223.2|DHYD, LOC111601461|XP_023173809.2|DHYD
OG0001921	LOC118517010|XP_035918746.1|ASTE, LOC118508920|XP_035904676.1|ASTE	LOC111599696|XP_023171184.1|DHYD
OG0001922	LOC118512105|XP_035911969.1|ASTE	LOC111600878|XP_023172979.1|DHYD, LOC115482828|XP_030078921.1|DHYD
OG0001923	LOC118509818|XP_035906863.1|ASTE	LOC111601116|XP_023173332.2|DHYD
OG0001924	LOC118512164|XP_035912136.1|ASTE	LOC111594685|XP_023163872.2|DHYD
OG0001926	LOC118510487|XP_035908262.1|ASTE	LOC111601565|XP_023173979.1|DHYD, LOC111601589|XP_030081179.1|DHYD
OG0001927	LOC118510530|XP_035908368.1|ASTE	LOC111593553|XP_023162176.1|DHYD
OG0001928	LOC118510560|XP_035908437.1|ASTE	LOC111599775|XP_023171305.1|DHYD, LOC115483479|XP_030081493.1|DHYD
OG0001929	LOC118510461|XP_035908189.1|ASTE	LOC115483178|XP_030080196.1|DHYD, LOC111599851|XP_030081077.1|DHYD
OG0001930	LOC118508898|XP_035904629.1|ASTE	LOC111603156|XP_023176405.2|DHYD
OG0001932	LOC118510460|XP_035908185.1|ASTE	LOC111604760|XP_023178719.2|DHYD
OG0001933	LOC118509537|XP_035906156.1|ASTE	LOC111600565|XP_023172517.1|DHYD
OG0001934	LOC118509431|XP_035905913.1|ASTE	LOC111597456|XP_023167973.2|DHYD
OG0001935	LOC118513097|XP_035914391.1|ASTE	LOC111600468|XP_023172342.2|DHYD
OG0001937	LOC118509494|XP_035906042.1|ASTE	LOC111600913|XP_023173044.2|DHYD
OG0001938	LOC118509934|XP_035907157.1|ASTE	LOC111605265|XP_023179471.1|DHYD
OG0001939	LOC118509773|XP_035906805.1|ASTE	LOC111602116|XP_030079716.1|DHYD
OG0001940	LOC118509670|XP_035906552.1|ASTE	LOC111595322|XP_023164748.2|DHYD
OG0001941	LOC118516419|XP_035918176.1|ASTE, LOC118509546|XP_035906188.1|ASTE	LOC111601412|XP_023173742.2|DHYD
OG0001942	LOC118511431|XP_035910415.1|ASTE	LOC111599892|XP_030079707.1|DHYD
OG0001943	LOC118511442|XP_035910434.1|ASTE	LOC111604668|XP_023178598.2|DHYD
OG0001944	LOC118514250|XP_035916857.1|ASTE	LOC115482992|XP_030079486.1|DHYD, LOC111596898|XP_023167116.1|DHYD
OG0001945	LOC118511792|XP_035911212.1|ASTE	LOC111599899|XP_023171490.2|DHYD
OG0001946	LOC118511383|XP_035910283.1|ASTE	LOC111593722|XP_023162461.1|DHYD, LOC115483444|XP_030081281.1|DHYD
OG0001947	LOC118511381|XP_035910279.1|ASTE	LOC111605355|XP_023179600.2|DHYD
OG0001948	LOC118516693|XP_035918531.1|ASTE, LOC118512776|XP_035913577.1|ASTE, LOC118516355|XP_035918080.1|ASTE	LOC111599797|XP_023171343.1|DHYD
OG0001949	LOC118514380|XP_035917147.1|ASTE	LOC111594359|XP_023163387.2|DHYD
OG0001950	LOC118509618|XP_035906343.1|ASTE	LOC115483351|XP_030080775.1|DHYD, LOC111603662|XP_023177113.1|DHYD
OG0001951	LOC118510328|XP_035907866.1|ASTE	LOC111604175|XP_023177900.2|DHYD
OG0001952	LOC118511327|XP_035910146.1|ASTE	LOC111600004|XP_023171673.1|DHYD
OG0001953	LOC118514332|XP_035917032.1|ASTE	LOC111605273|XP_023179484.2|DHYD
OG0001954	LOC118509514|XP_035906101.1|ASTE	LOC111592234|XP_023160089.2|DHYD
OG0001955	LOC118509453|XP_035905966.1|ASTE	LOC111599252|XP_023170623.1|DHYD
OG0001956	LOC118510369|XP_035907982.1|ASTE	LOC111603058|XP_023176285.2|DHYD
OG0001956	LOC118515261|XP_035917838.1|ASTE	LOC115483760|XP_030081865.1|DHYD
OG0001957	LOC118514359|XP_035917074.1|ASTE	LOC111593734|XP_023162488.1|DHYD, LOC115483447|XP_030081291.1|DHYD
OG0001958	LOC118512020|XP_035911693.1|ASTE	LOC111602362|XP_023175141.2|DHYD
OG0001959	LOC118510433|XP_035908103.1|ASTE	LOC111605668|XP_023180100.2|DHYD
OG0001960	LOC118513135|XP_035914454.1|ASTE	LOC111592452|XP_023160406.1|DHYD
OG0001961	LOC118514169|XP_035916723.1|ASTE, LOC118516704|XP_035918541.1|ASTE	LOC111593820|XP_030080900.1|DHYD
OG0001962	LOC118509688|XP_035906633.1|ASTE	LOC111599908|XP_023171500.1|DHYD
OG0001963	LOC118514231|XP_035916827.1|ASTE	LOC111605658|XP_023180089.1|DHYD
OG0001964	LOC118511307|XP_035910111.1|ASTE	LOC111602894|XP_023175998.2|DHYD
OG0001966	LOC118509748|XP_035906772.1|ASTE	LOC111601534|XP_023173934.2|DHYD
OG0001967	LOC118509246|XP_035905461.1|ASTE	LOC111604090|XP_023177753.1|DHYD
OG0001968	LOC118514627|XP_035917518.1|ASTE	LOC111592971|XP_023161232.1|DHYD
OG0001969	LOC118511846|XP_035911283.1|ASTE	LOC111595614|XP_023165187.2|DHYD
OG0001970	LOC118511519|XP_035910600.1|ASTE	LOC111604156|XP_023177853.1|DHYD
OG0001971	LOC118511337|XP_035910163.1|ASTE	LOC111594852|XP_023164099.1|DHYD
OG0001972	LOC118511336|XP_035910162.1|ASTE	LOC111600003|XP_023171672.1|DHYD
OG0001973	LOC118516350|XP_035918061.1|ASTE, LOC118511351|XP_035910203.1|ASTE	LOC111603810|XP_030081312.1|DHYD
OG0001974	LOC118512000|XP_035911635.1|ASTE	LOC111593904|XP_023162742.1|DHYD
OG0001975	LOC118512279|XP_035912384.1|ASTE	LOC111596617|XP_023166672.2|DHYD
OG0001976	LOC118503366|XP_035892456.1|ASTE	LOC111602203|XP_023174941.1|DHYD
OG0001977	LOC118511744|XP_035911094.1|ASTE	LOC111605039|XP_023179142.2|DHYD
OG0001978	LOC118511110|XP_035909728.1|ASTE	LOC111594197|XP_023163162.2|DHYD
OG0001979	LOC118511116|XP_035909734.1|ASTE	LOC111592815|XP_023160995.1|DHYD, LOC111592919|XP_023161140.1|DHYD
OG0001980	LOC118513565|XP_035915386.1|ASTE	LOC111595991|XP_023165751.1|DHYD
OG0001982	LOC118509169|XP_035905321.1|ASTE	LOC111592064|XP_023159834.1|DHYD
OG0001983	LOC118510008|XP_035907286.1|ASTE, LOC118513553|XP_035915342.1|ASTE	LOC111594390|XP_023163424.2|DHYD
OG0001984	LOC118511044|XP_035909534.1|ASTE	LOC111596359|XP_023166324.2|DHYD
OG0001985	LOC118509326|XP_035905680.1|ASTE	LOC111598800|XP_030079127.1|DHYD, LOC115482938|XP_030079168.1|DHYD
OG0001986	LOC118512643|XP_035913247.1|ASTE	LOC111596267|XP_030080563.1|DHYD
OG0001987	LOC118507975|XP_035903207.1|ASTE	LOC111592987|XP_023161252.2|DHYD
OG0001988	LOC118513408|XP_035915005.1|ASTE	LOC111600571|XP_023172524.2|DHYD, LOC115482818|XP_030078841.1|DHYD
OG0001989	LOC118513235|XP_035914679.1|ASTE	LOC111599122|XP_023170452.1|DHYD
OG0001990	LOC118512435|XP_035912789.1|ASTE	LOC111592632|XP_023160739.2|DHYD
OG0001991	LOC118512974|XP_035914095.1|ASTE	LOC111594765|XP_023163981.2|DHYD
OG0001992	LOC118511266|XP_035910029.1|ASTE	LOC111599306|XP_023170684.2|DHYD
OG0001993	LOC118512545|XP_035913013.1|ASTE	LOC111596273|XP_023166180.1|DHYD
OG0001994	LOC118511659|XP_035910900.1|ASTE	LOC115483784|XP_030081898.1|DHYD, LOC115483330|XP_030080623.1|DHYD
OG0001995	LOC118509054|XP_035905057.1|ASTE, LOC118509055|XP_035905058.1|ASTE	LOC111594779|XP_023164000.2|DHYD
OG0001996	LOC118512512|XP_035912922.1|ASTE	LOC111599044|XP_023170328.2|DHYD
OG0001997	LOC118513345|XP_035914866.1|ASTE	LOC111593802|XP_023162596.1|DHYD
OG0001998	LOC118512548|XP_035913021.1|ASTE	LOC111593786|XP_023162572.2|DHYD
OG0001999	LOC118508967|XP_035904805.1|ASTE	LOC111592089|XP_023159884.2|DHYD, LOC115482838|XP_030078932.1|DHYD
OG0002000	LOC118513738|XP_035915788.1|ASTE	LOC111595775|XP_023165424.1|DHYD
OG0002001	LOC118514686|XP_035917625.1|ASTE	LOC111594205|XP_023163171.1|DHYD
OG0002002	LOC118514563|XP_035917455.1|ASTE	LOC111593565|XP_023162195.1|DHYD, LOC111603829|XP_023177359.2|DHYD
OG0002003	LOC118511610|XP_035910791.1|ASTE	LOC111600390|XP_023172234.2|DHYD
OG0002004	LOC118512585|XP_035913108.1|ASTE	LOC111594942|XP_023164203.2|DHYD
OG0002005	LOC118511777|XP_035911165.1|ASTE	LOC111594089|XP_023163004.1|DHYD
OG0002006	LOC118514508|XP_035917337.1|ASTE	LOC111601767|XP_023174280.2|DHYD
OG0002008	LOC118512608|XP_035913173.1|ASTE	LOC111598134|XP_030081729.1|DHYD
OG0002009	LOC118513696|XP_035915713.1|ASTE	LOC111593752|XP_030081270.1|DHYD
OG0002010	LOC118517126|XP_035918881.1|ASTE, LOC118513710|XP_035915736.1|ASTE	LOC111600383|XP_023172228.1|DHYD
OG0002011	LOC118513808|XP_035915910.1|ASTE	LOC111600376|XP_023172221.2|DHYD
OG0002012	LOC118510849|XP_035909072.1|ASTE	LOC111596981|XP_023167233.1|DHYD
OG0002013	LOC118513328|XP_035914829.1|ASTE	LOC111600226|XP_023172031.1|DHYD
OG0002014	LOC118509890|XP_035907029.1|ASTE, LOC118509889|XP_035907028.1|ASTE, LOC118509884|XP_035907017.1|ASTE	LOC111600065|XP_023171763.2|DHYD
OG0002015	LOC118513006|XP_035914160.1|ASTE	LOC111594568|XP_023163692.1|DHYD
OG0002016	LOC118513208|XP_035914607.1|ASTE	LOC111597654|XP_023168241.2|DHYD
OG0002017	LOC118512972|XP_035914092.1|ASTE	LOC111601524|XP_023173914.2|DHYD
OG0002018	LOC118510770|XP_035908923.1|ASTE	LOC111596282|XP_023166200.2|DHYD
OG0002019	LOC118510741|XP_035908861.1|ASTE	LOC111599143|XP_023170475.2|DHYD, LOC111599142|XP_023170473.2|DHYD
OG0002020	LOC118509949|XP_035907173.1|ASTE	LOC111594712|XP_023163906.2|DHYD
OG0002021	LOC118509945|XP_035907170.1|ASTE	LOC111604131|XP_023177815.2|DHYD
OG0002022	LOC118506403|XP_035899361.1|ASTE	LOC111602287|XP_023175059.1|DHYD
OG0002023	LOC118514075|XP_035916494.1|ASTE, LOC118514074|XP_035916493.1|ASTE	LOC111594552|XP_023163673.2|DHYD
OG0002024	LOC118510711|XP_035908803.1|ASTE	LOC111594731|XP_023163931.1|DHYD, LOC111597271|XP_023167653.1|DHYD
OG0002025	LOC118510667|XP_035908700.1|ASTE	LOC111592583|XP_023160661.2|DHYD
OG0002026	LOC118505323|XP_035896859.1|ASTE	LOC111600974|XP_023173125.2|DHYD
OG0002027	LOC118505612|XP_035897545.1|ASTE	LOC111600541|XP_023172449.2|DHYD
OG0002028	LOC118505621|XP_035897576.1|ASTE	LOC111592150|XP_023159965.2|DHYD
OG0002029	LOC118505201|XP_035896575.1|ASTE	LOC111593099|XP_023161465.2|DHYD
OG0002030	LOC118511575|XP_035910713.1|ASTE	LOC111604154|XP_023177846.2|DHYD
OG0002031	LOC118512378|XP_035912638.1|ASTE	LOC111592229|XP_023160080.2|DHYD
OG0002032	LOC118517050|XP_035918791.1|ASTE, LOC118508330|XP_035903892.1|ASTE	LOC111600295|XP_023172118.2|DHYD
OG0002033	LOC118506726|XP_035900150.1|ASTE	LOC111592048|XP_023159817.2|DHYD
OG0002034	LOC118502758|XP_035891223.1|ASTE	LOC111597507|XP_030079689.1|DHYD
OG0002035	LOC118505534|XP_035897342.1|ASTE	LOC111604806|XP_023178792.1|DHYD, LOC111596545|XP_023166585.2|DHYD
OG0002036	LOC118506749|XP_035900224.1|ASTE	LOC111596799|XP_030080729.1|DHYD
OG0002037	LOC118504715|XP_035895445.1|ASTE	LOC111596031|XP_023165827.2|DHYD, LOC111597428|XP_023167894.1|DHYD
OG0002038	LOC118504932|XP_035895918.1|ASTE	LOC111601472|XP_023173825.2|DHYD
OG0002039	LOC118504935|XP_035895925.1|ASTE	LOC111600839|XP_023172912.1|DHYD
OG0002040	LOC118505123|XP_035896330.1|ASTE	LOC111598609|XP_023169711.2|DHYD
OG0002041	LOC118507060|XP_035900921.1|ASTE	LOC111596998|XP_030081958.1|DHYD
OG0002042	LOC118515263|XP_035917841.1|ASTE, LOC118508265|XP_035903789.1|ASTE	LOC111603393|XP_023176725.2|DHYD
OG0002043	LOC118504219|XP_035894318.1|ASTE	LOC111601300|XP_023173584.2|DHYD
OG0002044	LOC118506888|XP_035900545.1|ASTE	LOC111595911|XP_023165623.2|DHYD
OG0002045	LOC118506722|XP_035900142.1|ASTE	LOC111604887|XP_023178895.2|DHYD
OG0002046	LOC118507696|XP_035902443.1|ASTE	LOC111594275|XP_023163274.1|DHYD
OG0002047	LOC118506552|XP_035899749.1|ASTE	LOC111605600|XP_030079683.1|DHYD
OG0002048	LOC118507584|XP_035902138.1|ASTE	LOC111604570|XP_023178439.2|DHYD, LOC115482802|XP_030078771.1|DHYD
OG0002049	LOC118507942|XP_035903153.1|ASTE	LOC111604584|XP_023178454.2|DHYD
OG0002050	LOC118502660|XP_035891005.1|ASTE	LOC111604899|XP_030078697.1|DHYD
OG0002051	LOC118502580|XP_035890812.1|ASTE	LOC111605397|XP_023179665.1|DHYD
OG0002053	LOC118505802|XP_035898030.1|ASTE	LOC111603574|XP_023176992.2|DHYD
OG0002054	LOC118503254|XP_035892186.1|ASTE	LOC111594423|XP_023163479.2|DHYD
OG0002055	LOC118506162|XP_035898827.1|ASTE	LOC111592015|XP_023159774.2|DHYD
OG0002056	LOC118506167|XP_035898831.1|ASTE	LOC111597326|XP_023167733.1|DHYD, LOC111595060|XP_023164383.1|DHYD
OG0002057	LOC118516392|XP_035918148.1|ASTE, LOC118502524|XP_035890681.1|ASTE	LOC111596127|XP_023165965.1|DHYD
OG0002058	LOC118516398|XP_035918156.1|ASTE, LOC118502527|XP_035890684.1|ASTE	LOC111600515|XP_023172412.1|DHYD
OG0002059	LOC118502526|XP_035890683.1|ASTE, LOC118516397|XP_035918155.1|ASTE, LOC118510222|XP_035907684.1|ASTE	LOC111604912|XP_023178923.1|DHYD
OG0002060	LOC118504319|XP_035894538.1|ASTE	LOC111601272|XP_023173551.1|DHYD
OG0002061	LOC118504320|XP_035894539.1|ASTE	LOC111600056|XP_023171753.1|DHYD
OG0002062	LOC118515204|XP_035917793.1|ASTE, LOC118515205|XP_035917794.1|ASTE, LOC118515211|XP_035917799.1|ASTE, LOC118515203|XP_035917792.1|ASTE, LOC118502555|XP_035890751.1|ASTE, LOC118515212|XP_035917800.1|ASTE, LOC118515129|XP_035917704.1|ASTE, LOC118515185|XP_035917777.1|ASTE	LOC111598149|XP_023168994.2|DHYD
OG0002063	LOC118502562|XP_035890777.1|ASTE	LOC111596777|XP_023166896.1|DHYD
OG0002064	LOC118506846|XP_035900463.1|ASTE	LOC111598172|XP_023169035.1|DHYD
OG0002065	LOC118505157|XP_035896444.1|ASTE	LOC111604782|XP_023178761.2|DHYD
OG0002066	LOC118503644|XP_035893041.1|ASTE	LOC111604637|XP_030078758.1|DHYD
OG0002067	LOC118505857|XP_035898130.1|ASTE	LOC111592124|XP_023159927.1|DHYD
OG0002068	LOC118510936|XP_035909263.1|ASTE	LOC111603520|XP_023176919.2|DHYD
OG0002069	LOC118506005|XP_035898483.1|ASTE	LOC111593467|XP_023161997.2|DHYD
OG0002070	LOC118506014|XP_035898493.1|ASTE	LOC111603001|XP_023176167.1|DHYD
OG0002071	LOC118507225|XP_035901278.1|ASTE	LOC111596176|XP_023166047.2|DHYD, LOC111596178|XP_023166049.1|DHYD
OG0002072	LOC118507929|XP_035903125.1|ASTE	LOC111594010|XP_023162875.1|DHYD
OG0002073	LOC118503423|XP_035892555.1|ASTE	LOC111604310|XP_023178115.2|DHYD
OG0002074	LOC118507274|XP_035901471.1|ASTE	LOC111602585|XP_023175510.1|DHYD
OG0002075	LOC118508102|XP_035903478.1|ASTE	LOC111602460|XP_023175288.1|DHYD
OG0002076	LOC118504187|XP_035894253.1|ASTE	LOC111599732|XP_023171246.2|DHYD
OG0002077	LOC118512370|XP_035912613.1|ASTE	LOC111598206|XP_030079475.1|DHYD
OG0002078	LOC118507408|XP_035901762.1|ASTE	LOC111595572|XP_023165137.1|DHYD
OG0002079	LOC118505316|XP_035896853.1|ASTE	LOC111601006|XP_023173173.2|DHYD
OG0002080	LOC118506143|XP_035898783.1|ASTE	LOC111598108|XP_030078906.1|DHYD, LOC111595498|XP_023165036.1|DHYD
OG0002081	LOC118503442|XP_035892599.1|ASTE	LOC111599742|XP_023171272.1|DHYD
OG0002082	LOC118506034|XP_035898546.1|ASTE	LOC111592497|XP_023160493.1|DHYD
OG0002083	LOC118509900|XP_035907048.1|ASTE	LOC111602435|XP_023175259.2|DHYD
OG0002084	LOC118507329|XP_035901611.1|ASTE	LOC111593219|XP_023161642.2|DHYD
OG0002086	LOC118507183|XP_035901148.1|ASTE	LOC111593240|XP_023161664.2|DHYD
OG0002087	LOC118512331|XP_035912499.1|ASTE	LOC111604426|XP_023178254.2|DHYD
OG0002088	LOC118505278|XP_035896740.1|ASTE	LOC111605691|XP_023180131.2|DHYD
OG0002089	LOC118505914|XP_035898267.1|ASTE	LOC111598009|XP_023168772.1|DHYD
OG0002090	LOC118505956|XP_035898382.1|ASTE	LOC111594926|XP_023164188.2|DHYD, LOC111594915|XP_023164170.2|DHYD
OG0002091	LOC118507396|XP_035901742.1|ASTE	LOC111599671|XP_023171144.1|DHYD
OG0002092	LOC118504180|XP_035894225.1|ASTE	LOC111604699|XP_023178637.2|DHYD
OG0002093	LOC118504179|XP_035894224.1|ASTE	LOC111597001|XP_023167270.2|DHYD
OG0002094	LOC118503055|XP_035891813.1|ASTE	LOC111600142|XP_023171886.1|DHYD
OG0002095	LOC118503944|XP_035893714.1|ASTE	LOC111598161|XP_023169018.1|DHYD
OG0002096	LOC118503857|XP_035893462.1|ASTE	LOC111597944|XP_023168668.2|DHYD
OG0002097	LOC118507103|XP_035900999.1|ASTE	LOC111592166|XP_023159987.2|DHYD
OG0002098	LOC118508223|XP_035903705.1|ASTE, LOC118508221|XP_035903702.1|ASTE	LOC111592343|XP_023160240.1|DHYD
OG0002099	LOC118504082|XP_035894043.1|ASTE	LOC111602768|XP_023175799.2|DHYD
OG0002100	LOC118503359|XP_035892444.1|ASTE, LOC118503358|XP_035892443.1|ASTE	LOC111595088|XP_023164412.1|DHYD
OG0002101	LOC118507399|XP_035901746.1|ASTE	LOC111596377|XP_030081919.1|DHYD
OG0002102	LOC118503731|XP_035893238.1|ASTE	LOC111597127|XP_023167456.1|DHYD, LOC111596983|XP_023167235.2|DHYD
OG0002103	LOC118503304|XP_035892315.1|ASTE	LOC111602735|XP_023175755.2|DHYD
OG0002117	LOC118505507|XP_035897285.1|ASTE	LOC111603158|XP_023176403.2|DHYD
OG0002118	LOC118502971|XP_035891638.1|ASTE	LOC111598510|XP_023169551.2|DHYD
OG0002119	LOC118503759|XP_035893315.1|ASTE	LOC111598810|XP_023170002.2|DHYD
OG0002120	LOC118509540|XP_035906173.1|ASTE	LOC111597697|XP_030081712.1|DHYD
OG0002121	LOC118503831|XP_035893435.1|ASTE	LOC111595229|XP_023164628.2|DHYD
OG0002123	LOC118505667|XP_035897689.1|ASTE	LOC111592897|XP_023161107.2|DHYD
OG0002124	LOC118510740|XP_035908865.1|ASTE	LOC111603221|XP_030079309.1|DHYD
OG0002125	LOC118517608|XP_035919800.1|ASTE	LOC111602547|XP_023175462.2|DHYD
OG0002126	LOC118506343|XP_035899224.1|ASTE	LOC111605701|XP_023180144.2|DHYD
OG0002127	LOC118503477|XP_035892669.1|ASTE	LOC111596563|XP_023166605.2|DHYD
OG0002128	LOC118517429|XP_035919439.1|ASTE, LOC118505338|XP_035896885.1|ASTE	LOC111603227|XP_030079290.1|DHYD
OG0002129	LOC118508956|XP_035904776.1|ASTE	LOC111604250|XP_023178004.2|DHYD
OG0002130	LOC118508139|XP_035903554.1|ASTE	LOC111605070|XP_023179173.2|DHYD
